ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u1	Question No 55026218C by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u36	Mr President, honourable Member, first of all, I want to reassure you: it is not Assuralia who writes my texts and my bills and, in particular, the text on the reform of the insurance ceiling. However, the drafting of an insurance bill requires consideration of the insurance technique. I would also like to point out that, for the reform of the ceiling, we are advised by the experts of the National Bank of Belgium in order to ensure that this reform is guided not by particular interests but by the general interest. In the light of prudential rules, it is not possible to place the full burden of natural disaster claims on the insurance companies of the fire industry, particularly in the case of large-scale floods. In 2021, the fire industry suffered a significant loss as a result of the severe floods in July of this sad year. Reinsurers, for their part, need legal certainty and need to know the limits of the risk they reinsure, which is why they very rarely offer unlimited coverage. However, the removal of the insurer's individual intervention ceiling would de facto imply unlimited coverage. There is therefore a certain risk that many insurers no longer find reinsurers and ultimately leave the fire insurance market or require very high premiums to cover their risks. Indeed, their tariffs must be balanced under prudential rules in order to avoid a financial crisis. As indicated in the explanatory statement of the provision to which you referred, limiting the intervention of insurers also helps to keep insurance coverage within affordable price limits for consumers. I therefore do not think that the measure that you are advocating, namely the abolition of the ceiling, is in favour of consumer protection because it would make insurance prices unpayable for citizens. In the case of the surplus, I refer to the work done in this committee on your bill to repeal the insurer's natural disaster response ceiling. I will submit an explanatory note setting out my views on the matter, shortly after receiving the study from the National Bank of Belgium which I have requested.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u37	Minister, I told you that it was Assuralia who wrote the laws because, in the newspaper Imagine, Barbara Van Speybroeck indicated that this was a suggestion on their part. Moreover, there was already a suggestion by Assuralia when the ceiling on the payment of allowances was introduced by Charles Picqué, Socialist Minister of the Economy, in 2003; it can be read in the report of the discussions. That is why I allow myself to say that. It's not a free attack. These are proven facts. Moreover, we must always accept the blackmail of Assuralia, who, in order not to insure, always wishes to increase the premiums. In that case, let's cap the premiums! So people will find themselves there. Assuralia paid 650 million euros out of 2.57 billion. If it's up to the public, the taxpayers to pay those two billions, then let's cap the premiums for the insurers!
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u38	Mr Freilich has been prevented.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u39	Mr President, Mr Deputy Prime Minister, an agreement on a temporary lifting of patents to combat the covid-19 pandemic would eventually have been reached between the main players - the United States, the European Union, India, South Africa - at the WTO, after more than 17 months of negotiations. That is to say, how arduous these have been. I welcome this agreement because, as you know, my group has been advocating this for months. The text which still needs to be approved by all Member States, with possible developments in the meantime, would indeed allow patents to be lifted on vaccines for up to five years in developing countries. Russia and China could not benefit from this derogation. Minister, how did Belgium position itself? Has it given the Commission a mandate to move forward in this direction? When could the final negotiation take place? What potential points of attention do you think you need to be vigilant about in this context?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u40	Mr Lacroix, as you know, as you do, I am very close to this issue, particularly in the context of a regular dialogue between my cabinet and civil society, which has borne and echoed this very legitimate claim. The discussions have been under way for almost two years, as you have mentioned, in the World Trade Organization (WTO) and, like you, I am glad to see, or in any case to see, the release of this issue. This does provide opportunities to better combat the covid-19 pandemic and to ensure universal access to vaccines. The draft compromise that is on the table is, as you have pointed out, the result of a quadrilateral negotiation between the European Union, the United States, India and South Africa, the last two being the co-sponsors of the proposal on the suspension of patents. The draft compromise provides that developing countries will be able to benefit from an exception allowing them to allow a company to produce and export vaccines against covid-19 in a rapid and simplified manner, without the consent of patent holders. For my part, I have given clear instructions to my administration that Belgium should play a proactive role in promoting universal access to vaccines in the context of European discussions. As you know, and to remind the other members of the committee, it is the European Commission that speaks on behalf of the Member States within the World Trade Organisation (WTO). Fortunately, the European position has changed considerably during the negotiations. Belgium considered the draft compromise acceptable and supported the intention of the European Commission to give the green light to the draft compromise. All EU Member States have adopted the same approach. No date has yet been set for final negotiations with all WTO Member States. However, a discussion on this draft compromise could be on the agenda of the next WTO inter-ministerial conference on 13 June. For this to happen, the United States will have to approve this draft compromise internally. India and South Africa, for their part, indicated that they were awaiting the position of the United States, while noting that they would not oppose the proposed compromise. The point of attention on which we now seem to have to be vigilant concerns the application on the ground of what I hope will be decided within the WTO as soon as possible.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u41	Mr. Deputy Prime Minister, thank you. You confirm your commitment to this issue again, and remember that there is indeed a compromise to be forged. It would, of course, be easier to say on parliamentary benches that patents should simply be lifted. We are all aware, and my group is in favour of it, that vaccines, and particularly the covid-19 vaccine, are a good of public health. However, it is true that we are confronted with a reality where not everyone thinks like us. We must try to move forward, although difficult, but I look forward to the WTO meeting on 13 June and to the position of the United States, which could make it possible to unblock the issue on a sustainable basis and ensure that developing countries benefit from the derogations you have mentioned. I would be glad to hear about the health of these populations, who are already very badly affected in their daily lives.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u42	Question No 55026399C by Mr Gilles Vanden Burre is postponed.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u43	Minister, I was surprised to see that you had met – virtually, of course – the Saudi Minister of Economy at the beginning of April. I discovered it a little by chance on Twitter, but I didn't see you communicating about it: neither in the press, nor on your website, nor even on social networks. I am surprised that you have accepted such a meeting as the Saudi government humbly flouts human rights in this country and that Saudi Arabia is waging a cruel war in Yemen – the one we forget, by the way. It may be for this reason that you did not put this encounter so much forward. Minister, I also wonder what the purpose of this meeting was. What did you discuss: new trade or cooperation agreements? Can you enlighten us on this? Thank you.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u44	Member, thank you for your question. On April 4, I met virtually and at his request the Saudi Minister of Economy and Planning. He wanted to speak with me about Riyadh's candidacy for the organization of the Universal Exhibition of 2030, for which Saudi Arabia, like four other candidate countries, is seeking the support of Belgium. This was a classic diplomatic process, on a case in which the government will not take a stand until 2023, the date of the host city's election for Expo 2030. So it did not call for advertising, in one sense or another. This is the case for a whole series of meetings I have with my foreign counterparts. I took the opportunity to ask my Saudi counterpart about his government's 2030 vision, the socio-economic reform programme put in place to get Saudi Arabia out of its historic oil rent. I also welcomed the important success of the AWEX mission to Saudi Arabia from 12 to 17 March, which involved more than 60 Walloon companies active in sectors such as health, environment, entertainment and transport.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u45	Minister, thank you for your answer.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u46	Question No 1, by Mr De Pasquale (H-l Mr Freilich's 55026280C and 55026506C are converted into written questions. Question No 1, by Mr De Pasquale (H-l 55026447C by Mrs Depraetere and 55026730C by Mrs Dierick are postponed. Debates of the European Parliament Mrs Verhaert's 55026640C is converted into a written question. Question No 1, by Mr De Pasquale (H-l 55026735C by Mr Prévot and Mr 55026759C by Mrs Lanjri.
