ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u1	Colleagues, Mrs Fonck, Mrs Merckx and Mrs Zanchetta are excused. Their questions will be deferred.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u27	Dear colleague, myopia develops mainly during school years and is therefore more common in older children and adults than in younger ones. The cause of myopia is complex. In addition to genetic factors, environmental factors also play a role, such as playing little outside and looking very closely during reading or using screens. Pathologies such as myopic maculopathy and optical neuropathy in highly myopic eyes can lead to significant irreversible visual impairment and blindness. In addition, myopia increases the risk of other pathological eye changes such as cataract, glaucoma and retina detachment, all of which can cause irreversible vision loss. In addition, myopia increases the risk of other pathological eye changes such as cataract, glaucoma and retina detachment, all of which can lead to loss of irreversible vision. Several recent scientific publications do indeed report an increase in myopia. The number of people with myopia in 2020 is estimated at 2.6 billion worldwide and is expected to reach 4.9 billion by 2050. The expected prevalence of myopia by 2050 is 65% of the population in Asia, 56% in Western Europe, 54% in Central Europe and 50% in Eastern Europe. Accurate figures on the prevalence of myopia in Belgium are not available because it is not systematically recorded. The Federal Centre for Health Care Expertise conducted a study in 2013 on eye refractive defects, where a survey of a sample of the population showed that seven out of ten respondents reported eye defects, of which 38.4% were myopia. A recent study of free mutualities on vision problems in children shows that myopia is the most common refractive error in adolescents. Its prevalence increases with age, as I said. Almost non-existent among young children is 3 to 10 per cent among children aged 10, one in five among 18-year-olds, and even 40 to 50 per cent among adults. The results of the study show that nearly one in five teenagers wear glasses. This would be mainly a myopia. Scientific research over the past five to six decades suggests that environmental factors are responsible for the observed increase in the prevalence of myopia, including outdoor time, community work, and the use of computers and smartphones. The main measures that can be taken to prevent the development of myopia and to reduce the progression of myopia include the intervention of public health care, lifestyle, optimisation of environmental influences, pharmacological approach with topical application of atropine ophthalmic drops, use of an optical device such as glasses and multifocal contact lenses. It is widely demonstrated that less community work and more outdoor activity protect against the development of myopia. The 20-20-2 rule is a good way to help prevent or reduce the risk of myopia: for 20 minutes of close vision, look away for 20 seconds and play outside for at least two hours a day. The World Health Organization recommends that no screen time be given to children under two years of age and no more than one hour of screen time to children between two and four years of age. As you know, the federated entities are competent for organizing public awareness campaigns and testing. The federated entities organize the detection of vision problems. Young children are screened by Kind en Gezin, ONE and Kaleido Ostbelgien. From school age onwards, children are monitored by the medico-curricular services (???, the CLB and Kaleido Ostbelgien). In case of abnormal results, the child is referred to the ophthalmologist or doctor treating the child. Parents may also refer the child to the ophthalmologist in case of concern. If the child is referred to the ophthalmologist by one of these institutions or the attending physician, it is important to follow up on them. By intervening in time, more serious problems can be avoided. Parents play a crucial role in this regard. Early detection of growing vision problems is necessary to avoid aggravation or to correct problems. All children should be screened for risk factors for ambleopia and other vision problems by the age of three. In addition to the federated entities, parents, relatives and the general practitioner have an important role in this area. With regard to the centres dedicated to the management and research of pathological myopia, reference should be made to the studies of the Federal Centre of Expertise in Health Care on eye refraction. Indeed, adults with eye refraction – myopia, hypermetropy and astigmatism – can be treated with surgery. About 3% of myopic, hypermetropic, and astigmatous people would now move towards corrective surgery. Refractive surgery is not reimbursed by compulsory health insurance, but some patients can obtain partial reimbursement through their supplementary insurance. This can be done in a hospital setting or in an extra-mural eye surgery centre. The publication of the Quality of Care Practice Law of 2019, which comes into force in 2022, ensures the quality of care in these extramural centres. There you are, Mr. Rigot, the answers to your questions!
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u28	Minister, I have no comment to add. Your answer is detailed. I see we're making it a priority. I also realize, as you mentioned, that this is a federal jurisdiction, but above all a federal jurisdiction, when it comes to prevention, awareness-raising and testing. I hope that the message can be sent to parents, general practitioners and teachers so that we can take things with the body or rather with the heart to avoid having, in the future, 50% of our myopic population with the dramatic consequences that this can have, even to the point of blindness.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u29	Minister, in December 2020, the Sciensano Health Survey reported a strong 21% increase in respondents taking sleeping pills and tranquilizers compared to 13% in 2018. Tranquilizers are neither anodized nor without consequence. Taking it is one thing, doing it without respecting the time and duration possible is even worse and can cause undesirable side effects or even habituation. Unfortunately, this is often the case with an exceeding of the limitation period. "These Z drugs, including zolpidem, sometimes have a reputation for safety, which would be totally wrong," says Professor Petrovic. In the early 2000s, an increasing number of studies showed that zolpidem causes as much habituation as benzodiazepines. Minister, since 2018, the AFMPS has reported an increase in sales of zolpidem. Analysis of the medical records showed that more zolpidem was sold than the recommended doses for all patients who had been prescribed the drug. So it can be said that there is an overconsumption of this medicine. How can the prescriber enforce the recommended doses as well as the timing of consumption? Can controls be carried out? Is an awareness-raising campaign to draw the attention of doctors and consumers to the dependence effect and side effects of drugs Z possible? It is known that these drugs can cause abnormal behaviour during sleep. What do you think of the introduction of a "black box warning" for such medicines? The package leaflet should contain a very visible warning in a black frame that indicates the possibility of abnormal behaviour during sleep.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u30	Mr. Secretary, the corona pandemic made more people grab sleep and tranquilizers. Sciensano's survey reported a remarkable increase, since 21 percent of those questioned were taking sleep and tranquilizers, while in 2018 they were only 13 percent. A survey carried out by the FAGG also shows that sleeping and tranquilizers are often taken much longer than the maximum two weeks prescribed by the medical guidelines. Zolpidem and zopiclon were introduced in the 1980s as a safer alternative to addictive benzos. According to the first clinical studies, these Z-medicines would lead to a less rapid onset of habitation. For that reason zolpidem became one of the most popular sleeping drugs ever. In the meantime, these findings have long been overtaken by science. The list of undesirable effects also continued to expand, especially with long-term use. The analysis of medical records showed that more zolpidem was sold than the recommended doses for all patients given the medicine together. In the United States, complex sleep behaviour after taking zolpidem already led to 20 deaths. Some cases of abnormal sleep behaviour have also been reported to us in zolpidem users. Partly because of this abnormal sleep behaviour, the FDA has introduced a black box warning for the Z medicines, which means that the package leaflet must contain a very striking warning in a black box with a reference to the possibility of abnormal sleep behaviour. In addition, the FDA proposes to reduce the recommended dose from 10 to 5 milligrams. Mr Minister, are you planning actions to raise awareness about the use of sleeping aid in doctors and patients? Do you also see the best practices from America and possibly from other countries?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u31	The survey conducted in 2020 by the Federal Agency for Drugs and Health Products (AFMPS) on the use of benzodiazepines and related drugs did indeed show that zolpidem was the most widely used sleeping pill among respondents and is often used for a significantly longer period than recommended, increasing the risk of addiction. The summary of the characteristics of products containing zolpidem contains information for prescribers on the maximum dose and duration of use. The prescriber is responsible for his behaviour as a prescriber, but he may, however, consider that in some cases it is necessary to depart from the recommendations, which is possible within the framework of the freedom of prescription. No systematic monitoring is performed if the maximum dose and duration of use are met. In 2013, the BelPEP expert platform was created. The aim is to achieve a more appropriate use of psychotropic substances, including benzodiazepines and Z-Drugs. Several campaigns have been launched to raise awareness among health professionals on this issue. Support tools and training are also offered, particularly to general practitioners in order to support them in their practice. You can find all the information on www.somniferesetcalmants.be to make health professionals and the public aware of these practices. The AFMPS issued a communiqué in September 2021 on the rational use of benzodiazepines and Z-Drugs, including practical recommendations. My teams are preparing a new awareness campaign around the rational use of benzodiazepines and Z-Drugs but also antidepressants for general practitioners, pharmacists, psychologists and, indirectly, patients via waiting rooms. New aid tools and trainings have been developed and will be disseminated in the second part of the year as widely as possible. The pharmacist also has an important role to play in educating consumers about possible side effects and the risk of addiction. The risk of sleepwalking and complex sleep behaviour is known and described in detail in the Summary of Product Characteristics (SPC) and the package leaflet for Stilnoct, a medicinal product containing zolpidem. Health care professionals and patients are advised that this may occur after the first use or subsequent use of zolpidem and that the risk of such behaviour is increased when alcohol or other central nervous system depressants are used concomitantly and when zolpidem is used at doses above the recommended maximum dose. It is also indicated in the SPC and package leaflet that if the patient has complex sleep behaviour, treatment should be stopped immediately and reuse contraindicated. Regarding abnormal sleep behaviour, the Belgian Centre for Pharmacotherapeutic Information, an ASBL funded by AFMPS and responsible for disseminating independent information on medicines, published an article on this risk on its website in 2019. Other risks, such as dependency, are certainly as important and even more frequent as that of abnormal behaviour.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u32	Minister, our society has been terribly shaken by the crisis of the Covid-19. Many are those for whom sleep is difficult to find and yet necessary. I believe it is necessary to work on awareness-raising, prevention, but also, even if I respect the autonomy of doctors and their right to prescribe, to ensure that they do not have too much hand. Physicians should be careful not to guide patients to the drug's shelter, even if they usually start by asking to work on the consequences of their illness before they can work on the causes. It is with this state of mind that we must move forward: to reduce the drugs that can limit the consequences of malaise and work, over time, in the context of mental health, on the causes to avoid this refuge in antidepressants, which can hide serious consequences for the future.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u33	Thank you, Minister. The figures on the use of sleeping and tranquilizers speak for themselves. It is crucial to raise awareness. In the meantime, I also found the toolbook you were referring to. That seems very interesting to me; I will look into it over the next few days.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u34	Minister, my question is a transition to the problem we have just discussed. Our society suffers, for the moment, from an important evil, which also affects our teenagers. A study of Free Mutualities on the use of antidepressants and psychotherapeutic benefits in adolescents sheds light on a problem that remains underdiagnosed. In the 12-18 age group, major depression is considered alarming. She's very present. In 2020, 6 out of 10 teenagers took antidepressants for less than 6 months. Finally, the study shows that about half of adolescents taking antidepressants also use psychotherapy. Minister, do you confirm the figures from the study of Free Mutualities? In the face of this scourge and the warning cry of adolescents, which must be heard, what solutions within the reforms carried out, involving in the same movement the federal, regional and community competences, target young people between the ages of 12 and 18? A carte blanche signed by 83 French-speaking Belgian children and psychiatrists informs us that the number of applications for the care of young people is such that today the healthcare staff can no longer take care of them all within the necessary time. Lack of places, lack of care professionals: in short, you will have understood, the situation and the consequences for young people are dramatic! What solutions and initiatives do you intend to take in the short and medium term to try to solve this problem in the best possible way?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u35	Thank you, Mr. Rigot. I would point out in passing that there is a defective camera in this room, so we don't see the speakers.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u36	Mr President, it's very good: I didn't go to the hairdresser.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u37	Mr Rigot, it goes without saying that I take note of the studies carried out by mutualities among their members. It is evident that these are studies that focus on members of a specific mutuality. It may therefore be problematic to generalise the results of these studies and apply them to the Belgian population as a whole or to a specific age cohort of this population as a whole. I think these are still important signals. The evolution of INAMI spending on antidepressants, the ATCN06A class, issued to children and young people from zero to 20 years of age for the period 2016 to 2020, shows that there is an increase in the number of children and young people taking antidepressants. Growth is higher in the Flemish Region than in the other Regions. Growth is visible in children 11 years of age and older while there is a reduction in the group of younger children up to 10 years of age. For the moment, it is not explained why the consumption of antidepressants has increased but the question is currently being studied within the BelPEP platform, which I mentioned in a previous answer: the Belgian Psychotropics Experts Platform. I assume that the measures I took last year, specifically to improve mental health care for our young people, are well known. So I won't develop them here. You know that this is an agreement that INAMI has reached with the sector to significantly extend psychological assistance in the first line. This agreement is now gradually being deployed on the ground. I also believe that it is important that the possibilities of this Convention be implemented very quickly. I have therefore asked the coordinator of mental health care networks to speed up the pace of development on the ground and of what is possible thanks to this agreement of July 2021. In addition, you know that I have strengthened the staff of the child-psychiatric services and the forensic units For-K. I have expanded mobile crisis teams for children and adolescents and have established liaison teams that can be deployed, among other things, paediatric services. You know that I have also taken specific ad hoc measures to help students in difficulty or in need of some psychological help. This year, I will launch an additional investment of EUR 35 million. Within this framework, networks for children and adolescents in mental health care will be able to choose, depending on the needs of each area of activity, to place more emphasis on home care, in addition, for example, to the provision of additional crisis beds. The objective is for each area of activity to carry out, by June at the latest, a detailed analysis of the available supply and priority needs within the budget allocated to it. I read about the carte blanche signed by 83 child psychologists and Francophone psychologists. What struck me most was that these caregivers were unanimous in highlighting broader social responsibility in the emergence of mental health problems among young people. That is why I cannot overemphasize the importance of Health in all policies, in this case Mental health in all policies. In all policy areas, actions and initiatives should always be tested in advance as to what effect they could have on the mental well-being of our young people. After all, mental health providers face these effects on a daily basis, particularly with an increasing number of admissions reporting increasingly complex mental health problems. In line with the White Paper's reasoning, I hope that you have also asked this question to my colleagues responsible for other policy areas both within the federal government and in the governments of the federated entities. I believe that there is a need for a broad approach to mental health.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u38	Minister, thank you for your answers. I do agree with your analysis: First of all, the data??- Is that what you're saying? concern, as you say, the affiliates of this mutuality. It is true that some of these figures need to be relativized. They're worrying and you're worried about them. I welcome the number of actions that you have already implemented. It's impressive in a few months. You have made this priority one of your battle horses. You are right to say that this is a social and cross-cutting responsibility. Therefore, I will not fail to question your competent counterparts at the federal level and to ask my colleagues from the federated entities to do the same in order to adopt a cross-cutting and general approach to go as quickly and as best as possible in order to provide an answer to all our teenagers who need to know that we are listening to them and that we will ensure that, tomorrow, they take much less of these damn antidepressants.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u39	Given their absence, Ms. Sofie Merckx and Ms. Kathleen Depoorter's questions become irrelevant.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u40	Mr President, Minister, I introduced my question to ask you about your willingness at the time to turn the Covid Safe Ticket (CST) into a vaccine pass, while 12 of the 18 scientific experts interviewed in our work on compulsory vaccination and vaccine pass have very clearly questioned the usefulness of the same CST. In their view, if the CST could have had a motivating effect on vaccination, it would not have had the desired effect on health: it gave a false sense of security, did not allow for the exclusion of infected and contagious people and did not take into account the dynamics of the epidemic, not to mention that it was vitiated by numerous frauds or that it completely disregarded all possibilities of social life, and therefore of infection, in sectors that were not subject to the same CST. The vaccine pass – which was to be the extension of this CST – was also strongly criticized during these hearings, as it would exclude people cured of the covid-19 and thus have some immunity, and increase polarization within our society. Today, this CST is disabled, but we all know that it is only temporary since it would be enough to go back to orange code to see the CST reactivated. This would be a decision that should be taken by the Codeco, as you have said recently. However, this CST has never – contrary to what you have already said – been evaluated! Like Commissioner Corona, each time you rely solely on studies on health care in France, Italy, Germany, but never on the CST in Belgium. Minister, are you going to take advantage of the suspension of the Covid Safe Ticket to finally evaluate the health effectiveness of the device in Belgium and, if necessary, decide to remove it, even independently of the barometer's colour codes? Has GEMS been mandated to conduct this evaluation? If so, on the basis of what data? If not, why?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u41	Mr. Secretary, the PVDA has always resisted the coronapas. We believe that it is inefficient and also leads to polarisation. What had to be a form of travel pass was actually quickly turned into a hidden vaccination obligation. The data show that any extension of the CST did not bring any significant increase in the number of first doses of the vaccine administered. The total vaccination rate has not increased since the introduction of the coronapas. Moreover, the majority of experts in the hearings in our committee believe that the CST can no longer be considered a sanitary measure. Furthermore, legal specialist Marc Verdussen mentioned the fact that when the travel pass and the CST were announced, it was not said that it would serve to limit certain places in society, an error. Yet you intend to keep the CST alive. Even if it doesn't apply today, it was stuck in the barometer, the toolbox, as you sometimes call it. Even more, despite the strongly negative advice, you and your party apparently want to replace the coronapas with a vaccination pass. Minister, how should the CST still be seen as a sanitary measure, since the vaccines are no guarantee that the virus will not be transmitted? What are your plans regarding the time limit for replacing the corona pass with a vaccination pass? By the way, are they still up-to-date? How can you justify a vaccination pass, given the many negative opinions during the hearings on compulsory vaccination?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u42	Mr Warmoes, you have said that your party has opposed the CST, but it would be more accurate to say that your party, the PVDA, has really opposed any measure we have proposed in the fight against the virus, whether it is about child mouth masks, the closing hour for the cafes or the CST. You were systematically against it. So I'm not surprised you're against the CST either. But I'm closing this couple's thesis. I do not really want to anticipate the discussion that we should be having in the Consultative Committee on the CST. That's what we agreed on. It has been said in the Consultation Committee that we would reflect on the future of this instrument on the basis of the opinions available and on the basis of the debates that have taken place in the various Parliaments. Those debates have been important. As far as I am concerned, the conclusion is quite frankly not that such an instrument is of no use at all. I would like to repeat that. What does an instrument like that do? Well, it makes sure that when people come together they have to show a test certificate, or a vaccination certificate, or proof that they have recently been cured, which makes that meeting less risky than a meeting in which those documents are not requested. An important condition is, of course, that people's behaviour does not change in a risky way, because when people think that there is no risk anymore, it goes wrong. I've made the equation before, but I want to make it again. If the doctor prescribes you statins because you have a problem with cholesterol, and you take those statins carefully but you eat fries with mayonnaise every day, you don't do sports and never come out, it won't be so good for your health. If you think you can do that because you're taking those statins, maybe it's not right at all. That does not at all prove that it is not an effective medicine in itself. That does say something about accompanying behaviour, which is necessary, and about the context in which something is introduced. We really need to distinguish between the principle of an instrument, asking that people who come together for an activity where there is a risk of infection have either been vaccinated or tested negative or have recently been ill on the one hand, and what happens if that instrument is wrongly understood as a free-conductor to abandon any caution. That broader debate actually applies also to vaccination. For a while many people had the idea that if one was vaccinated, one would no longer be at risk. That's as crazy as thinking that whoever wears a seatbelt in the car is no longer at risk of getting hurt. or that anyone who scruplesly respects speed limits is not at all at risk. Of course it isn't. What we have learned over the past period is that we must pursue an en- en-en policy. It is vaccination, when a lot of virus goes around wearing mouth masks, a test policy. Indeed, a coronapas can be helpful to allow activities to take place safer, always on the condition that people doubt that such security is not absolute. Mrs Rohonyi, I believe that the difficulty we are encountering in Belgium with regard to evaluation and the reason why we often refer to France results from the fact that we have introduced the CST incrementally, step by step, by drop in a certain sense. It is therefore very difficult to see a decisive impact, given the very incremental way of introduction. It is much easier to see the impact in France where, suddenly, there was a major break in politics with a fairly broad introduction of this instrument. In fact, I regret the fact that we did not follow this example. I am not saying that we should have followed the French example in all its dimensions, but introducing such an instrument in a hesitant, step-by-step way, as we have known in our own country rather than in a decisive, well-coordinated way, makes evaluation difficult. You may know that I am an economist and, in econometrics, we need a certain clear discontinuity in events to assess the impact of an intervention. It is therefore not surprising that we often refer to the French example instead of the Belgian example, given the gradual, incremental, somewhat hesitant introduction of this instrument in Belgium. How should it be used in the future? Should it be used on the basis of its three dimensions (vaccination, negative test, healing)? Should one day perhaps be passed to a "1G" instrument, a vaccine pass? I don't want to get ahead of decisions, but what's important to me is to be well prepared and that's where I'm actually a little worried. I have the impression that with the passage to the yellow code of our barometer, which indicates that there is always a circulation of the virus, that with the lifting of a whole series of measures, people think that the epidemic is part of the past and that it is no longer necessary to be prepared. I think we need to be well prepared. Being well prepared means having a clear assessment of an instrument such as the CST. And, if the evaluation indicates that this instrument, in one form or another, may be useful in the future, the legal basis, the legal framework for its activation must be prepared. That's my vision of things. As in the context of the debate on the vaccination obligation, it is not a question of launching it immediately and using it tomorrow. This instrument must be used when necessary, but the legal framework must be provided to avoid months of preparation for legistical work in order to launch it. This is one of the questions that will arise at the level of the Consultation Committee. Is it agreed that this is an instrument that, in either form, can be useful in an epidemiological emergency? If we are convinced that the instrument can be useful, can we have a permanent legislative framework that allows us to launch it quickly if we want to activate it? I would like to add another thought. The evolution of the figures over the past few days shows that we really cannot think that the epidemic is over. This underlines the need to think with a cool mind not only about tools such as CST and vaccination campaigns, but also about other instruments in the future. There's no reason to panic about the rising infections today. Some of them were predicted. The increases aren't explosive. There's a lot of viral circulation and it's increasing. Hospitalisations are also increasing. The hospitals are under pressure, because first of all people are admitted not because of covid, but because of covid. This brings with it additional concerns, among other things, with regard to insulation. A second reason for the pressure on a number of hospitals is the flu epidemic, which evolves to a second peak of moderate intensity. These two factors, combined with the fact that hospitals are catching up with care, put a lot of pressure on a number of hospitals. Firstly, I would like to call on the people to pay attention to this and, as in the past, to show a degree of solidarity with the hospitals, where there is a lot of pressure again today. Of course, I also call on the people to be careful of themselves. This means that we must maintain the measures taken, such as the obligation to wear a mouth mask on public transport and the pharmacist and the general practitioner. I think we need to maintain it for a while, that we all have to be careful and that we need a positive culture in relation to the mouth mask. We have to think it's normal that some people, even though it's not mandatory, walk into the store with a mouth mask, because they feel a little vulnerable. It's a good thing people are thinking about that. I would also like us to look positively at instruments such as a corona certificate, which, if used properly, can help to make our lives safer. Covid's not really out of the world. That's a very big mistake. The fact that the situation may be manageable for a few months does not mean that after the summer we will not be able to get back into severe weather again. This has historically happened with the major flu epidemics, which have lasted several years. We ended up in heavy weather years after the first waves with severe waves. This historic lesson must not be forgotten. I'll come back to your question. I started my answer a little polemically, because we cannot always look so negatively at the measures taken. We need to evaluate them with a sober head. If several people think they're useful, whatever the CST I think, we need to take the necessary steps to get those instruments ready for use, so that it doesn't take an endless amount of effort to re-activate them. That is the kind of debate I want to have in the federal government and, in the Conciliation Committee, returning to what the people in the street should be doing. Today we must not forget that, since the epidemic is not gone, we simply have to be extremely careful and maintain the good habits we have learned, and I recommend all listeners to get their booster shot.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u43	Minister, I want to clarify things. Unlike the PTB, my party has supported you in the development of certain health measures. This was in particular the case of the CST, in any case originally because our hopes were placed in this instrument in combination with other instruments. The problem is that today, this CST has never been evaluated. This assessment is still lacking, so you are telling us today that we are going to think about the future of this CST on the basis of the opinions that are available. What are these opinions? You are also telling us that this reflection will take place in the context of the debates that have taken place in Parliament, when, as I said in the introduction, a large part of the experts we have had the opportunity to hear in Parliament have questioned in a fairly clear and virulent way the usefulness of this CST. My question, therefore, is whether you are prepared to follow these advices by terminating this CST. Or are you going to put in place an objective evaluation of this CST? In any case, I believe that the need for this assessment remains relevant, even if we are to remain in yellow code. As I said, this CST could be reactivated. This could be done in the coming weeks or months. We can see that Sciensano's figures are on the rise. You also said earlier that we had to be very careful with this relative calm, that we had to prepare ourselves and that we had to prepare ourselves with a legal basis for the activation of this CST. I fully agree to have a legal framework, which would also allow us to avoid unnecessary waste of time with a new cooperation agreement. I wonder, however, why you are in favour of developing a legal framework to activate the CST but not for the vaccination obligation. This has indeed been a true niet on the part of the overall Vivaldi majority this morning concerning the generalised vaccination obligation, whereas these are two tools which are perfectly complementary and which must be seen as the same range of tools against the virus. Finally, each time you quote the example of France. You say it's easy to evaluate the effectiveness of the vaccine pass. But the objective of the vaccination pass in France was finally much more honest than in Belgium, since it was clearly said that this vaccination pass was intended to push for vaccination, where, in Belgium, we were told first that it was to participate in activities safely, which in fact was a false safety. I would like to urge you, Minister, to evaluate this CST objectively and, in addition to that, to put in place your ventilation plan. We're still waiting for your bill. There is also a need to raise the level of health care staff because it is this lack of staff that is still a problem. It is this set of measures that must ultimately enable us to avoid a measure as ineffective as it is disproportionate that has become the CST today.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u44	Minister, I must of course reply to your attempt to put us in the corner of those who are against everything, but of course that is not true. Apparently, that's what Mrs. Rohonyi needs, too. For starters, under your predecessor, we were still screaming for adult mouth masks when there were no mouth masks. We have also supported you in rolling out the vaccination strategy and developing everything related to testing and tracing systems as well as all preventive measures, such as ventilation and CO2 meters. In the broader sense, of course, we have always advocated investment in health care. More importantly, we have joined forces with our doctors of Medicine for the People, along with other doctors of the first line. We have participated in testing, in source research and contact research, and also very important discussion of vaccination with our patients to convince them, because we do believe in science. In this way we were able to remove their questions and doubts about vaccination. So it's not true that we're against everything. We are opposed to the more repressive approach. You say that one should keep one's head sober, but the hearings show that there is no need for the CST now. It does not apply now, but you are still considering it, and it has been clearly said that it undermines the confidence of the people. That's the problem with that instrument.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u45	Mr Minister, there are signs that many schoolchildren have suffered from the pandemic. Logopedia is often a very good tool for helping children with learning difficulties. However, it appears that the quota of the maximum number of hours reimbursed is not sufficient in some cases. One of the factors is the problem of irregular didactic supply due to the covid pandemic. I refer to online lessons, the temporary closure of schools and the quarantine. There is therefore no denying that the exceptional corona period has affected many school children in their development and they could use additional support. Minister, I have a number of questions about this. Have you heard of an increase in applications for speech therapy through the sickness funds? If so, I'd like some key figures. In view of the corona problem, will you increase the maximum number of hours reimbursed, whether temporarily or not? If not, why not?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u46	Mrs Samyn, we do not actually have figures that indicate that the covid crisis as such has increased the demand for logopedic treatment. As I have already said, treatments already in progress before 1 March 2020 have been granted an extension of the maximum period during which the quota of sessions authorised by the nomenclature is granted, either at the start of the exceptional health insurance measures or after that date. That maximum period, which is two years in normal circumstances, may be extended for several exceptional periods of six months each, which may, as appropriate, extend the duration of treatment to three, three and a half or four years, if necessary. It was intended that the permitted sessions could be used over a longer period to compensate for periods where treatment was hampered by restrictions, school closures and quarantines of patients or providers, or simply as a precaution. The number of sessions of 30 minutes and therefore the total number of hours of concrete treatment has not been increased, as it is not clear that the pandemic as such and in itself leads to the need for more sessions for logopedic treatments. This is all the more true, since the practical difficulties mentioned above have, in fact, prevented a higher than normal rhythm of sessions. In fact, in normal circumstances the providers already adapt the rhythm to the therapeutic needs and distribute the sessions more or less for better efficiency in the course of treatment. If plenary sessions are postponed because of the practical difficulties mentioned above and at the same time the number of plenary sessions allowed is increased, the snowball effect of the high rate at which they need to be provided in order to exploit them all may be unsustainable, first and foremost for the patient, and certainly not for the benefit of therapeutic effectiveness. It is therefore not intended to increase the number of sessions specifically due to the pandemic. More generally, i.e. outside the covid period, the Convention Committee continuously evaluates the number of sessions per condition. In 2017, the number of sessions was revised in depth, with increases but also reductions in certain quotas when it appeared that the increase in the effectiveness of treatments even made it possible to reduce the number of sessions needed to achieve the desired goal. The hypothesis that the current number of sessions during the covid period or in general is insufficient and needs to be increased, taking together all logopedic disorders, must therefore be nuanced. The Agreement Committee will continue to ensure that the ideal number of sessions for each disorder is properly modulated over a certain period of time.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u47	Minister, it is a pity that you do not have any specific figures yet. After all, it cannot be denied that many schoolchildren have been affected in their development. As I said in my question, speech therapy is often a very good means of helping children with learning difficulties. It is indeed possible to extend that period because of corona. However, this is only valid if not all the assignments have been taken. Such extra support would be welcome for the children who have been disadvantaged in learning. An extension of the maximum number of hours refunded could have been an additional support. You are undoubtedly aware of the cost of speech therapy. A lot of families are already having a hard time. An increase in the number of hours would also have had a welcome financial impact.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u48	Debates of the European Parliament Mr Patrick Prévot's 55025157C was converted into a written question.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u49	Mr President, Minister, cross-border human assistance policy plays a crucial role in my region and in those bordering our country. Greater cooperation of our relief services must be implemented with our direct neighbours in order to protect and help our citizens in the best possible way. Nevertheless, I have received information relaying a failure for French services to assist individuals on Belgian territory, even though they were better able to help them in terms of distance and time. A Franco-Belgian agreement on urgent medical aid, signed in Tournai on 20 March 2007, agrees that Belgian and French SMURs may intervene in the other territory at the request of one centre in one of the two countries with the unified call system of the other. Article 16 of the Convention also states that "an annual consultation shall take place between the competent Belgian federal and regional ministers and the French Minister of Public Health or their representatives concerning the continued application of the agreements set out in this Convention, on the basis of the reports to be prepared for the Joint Commission of the Franco-Belgian Framework Agreement for Health Cooperation". Minister, what are your intentions in terms of improving cross-border cooperation on urgent medical aid? Could you give me details of the annual consultations between France and Belgium on the implementation of the agreements contained in the Convention I have just mentioned? Are there any structural problems in the implementation of this Convention? What procedure has been or can be implemented to remedy this, if any?
