ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u1	Debates of the European Parliament Mrs Dierick's 55023193C is converted into a written question.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u34	Indeed, Minister, we must not take any risks with food safety. That is what the consumer rightly expects. It is therefore crucial, particularly within the European single market, that we can rely on the controls carried out abroad. It is therefore worrying that so much contaminated meat from Poland finds its way to our store stalls, but it is good that the European Commission is taking action to remedy this problem. That is extremely important.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u35	Minister, I agree with Mr De Caluwe that it is reassuring in itself that the European Commission is acting and recognises that there are many notifications from Poland. I hope that we can agree with Europe on the strict line and that we will not refrain from doing so. Finally, I have a suggestion. Your policy paper states that you intend to set up a knowledge centre on zoonoses. Since there are so many problems with salmonella, you said that it is the most frequently controlled species, there is perhaps a role for the centre of knowledge on zoonoses to investigate and take steps in this area.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u36	Question No 55024812C by Mr Patrick Prévot is transformed into a written question.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u37	Mr Minister, this question concerns the environment of the Tenneco company in Sint-Truiden. In the previous series I asked a question about this because there is quite a bit of concern about historical PFOS pollution in that neighborhood. From your answer I could see that the BFSA had not been informed by the competent environmental administration and could not take or take any ad hoc measures. Over the past few weeks something has come to light in Sint-Truiden. A local opposition party in the city council has decided to take blood samples of its own from the local residents. This shows that the inhabitants have a slightly increased PFOS level in their blood after all. They're all very worried. Tenneco says he will take samples himself in the neighborhood and in the gardens. Gardens are not federal jurisdiction. I'm worried on two fronts. Tenneco will now take samples himself. At 3M in Zwijndrecht we have already seen that when the company itself stands for something, the standards are often somewhere else than with someone who has a high regard for public health. Is this the way you prefer to work? I've already asked a lot of questions about several places with increased PFOS values. Then you must always answer that according to the distributions of competences, the BFSA can only take action if the competent administration informs them. The PFOS Committee of Inquiry in the Flemish Parliament shows that the Flemish environmental administration does not always take the steps it needs to take. I wonder if we should maintain the system, while the BFSA is waiting for a notification of an administration directed by the region. Can we not give a more proactive role to the BFSA in this respect when it comes to food safety that is close to our hearts?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u38	Mrs Creemers, since the answer to your question of 19 November 2021, the BFSA has no additional information available. There is therefore no reason to carry out further investigations. The BFSA itself does not have information about the blood tests or their results. It cannot, moreover, comment on its possible significance for public health, since it does not have the authority to do so. Since it is an environmental contamination, it is primarily the Flemish government that conducts the investigation and the competent authority is in charge of taking measures against the residents, including any food they produce themselves. Information from research, including from companies, can be taken into account by the competent government in its decisions. I cannot comment on the reliability of the medical results, as I am not aware of the research that will be carried out by the company concerned and what that will mean. I can tell you that there are no agricultural activities in the immediate vicinity of the farm. If food businesses were located in a contaminated zone, it would remain their primary responsibility to ensure the food safety of their products through their auto-control system, as laid down in European legislation, and to take into account environmental contamination in their auto-control system. In order to help operators, the BFSA has developed guidelines for setting up a self-checking monitoring exercise. Groundwater used as drinking water does not fall within my competence. The BFSA cannot be accused of negligence in relation to the entire PFAS file. For many years it has been carrying out a risk-based control programme with sampling across the territory, long before the Flemish government took initiatives. Based on the results, the BFSA has never been given an indication of a possible PFAS problem in the food chain. As soon as the BFSA, which had to be informed by the press that there was a possible problem with the company 3M in Zwijndrecht, knew about the problem, it took action. First through a reorientation of the control programme and a specific action in the vicinity of the 3M site, then through background monitoring of products from Flemish farmers. This background monitoring will soon be extended to the entire Belgian territory. In the case of concrete environmental contamination, the BFSA needs first information from the regional authorities to take the appropriate measures or, as you put it, to take action. As you know, I am responsible for the environmental safety of the food chain and, with the Minister for Health, I have called on the European Commission to quickly obtain harmonised European standards for PFOS. In the future I will continue to take this competence to heart and I will continue to pay attention to the PFAS issue together with the BFSA.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u39	Thank you, Minister, for making my point exactly. I think we are in agreement. It is terrible that the BFSA, responsible for our food safety, should read in the press that there is a major problem near Zwijndrecht. That's just the essence of my last question. The BFSA learned in the press that there is a problem. Next, the BFSA takes action to ensure food safety, which is great. However, we must admit that there is a problem in the flow of information somewhere. We're gonna have to look at that from a little distance. Surely our food safety cannot depend on a link that we cannot control? We must be able to do something about this, together with the regions. I hope that at a later date we will be able to discuss this further in order to find solutions, so that the BFSA does not have to read the newspaper every day to find out where our food safety may be compromised.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u40	Minister, a very interesting study has been carried out in France on spray residues. This shows that 90% of the samples viewed are between 21 and 100 metres of oatmeal residues in the buffer zones against pesticides. I have been frustrated for years because I think the buffer zones are far too narrow and too small. The rule also says that pesticides should only be used when the wind is right, but that is very difficult to control. I have the following questions. Are there similar studies in Belgium, of course in cooperation with the regions, because I am very aware that it is not just a federal competence? In the last five years, have there been approvals for the irrigation of areas in the vicinity of publicly accessible areas and, where appropriate, exceeded the watering standard? Are we not also faced with the challenge of reviewing the buffer zones? Is that in the pipeline or not?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u41	Mrs Creemers, a number of studies have been carried out in the past on the presence of pesticides in the vicinity of sprayed areas. There are no such studies anymore, as I know. In other words, it is not clear from the possible presence of pesticides whether there is a problem for residents because it is not clear which concentration and frequency they were exposed to. As part of the reduction plan for plant protection products, my competent administration follows up the published epidemiological publications to assess the chronic effects of plant protection products on the population. Given the pace of publications relevant to our Belgian situation, it was only in 2020 that it was possible to draw the first conclusion and a number of guidelines for a policy on chronic risk management were drawn up. This will be further monitored in the context of the reduction plan. When granting federal authorisations for the placing of plant protection products on the market, authorisations shall be granted only if, on the basis of the evaluation of the toxicity of the plant protection product concerned, no specific distance has to be maintained to protect residents or passers-by. It is therefore not possible to be even stricter in this area. At federal level, no separate permits are granted to spray specifically accessible places. In the context of the NAPAN, we work together with the Regions. Measures designed to protect specific vulnerable population groups fall within the competence of the Regions. Finally, the draft NAPAN 2023-2027 programme, which is currently under public consultation, includes a joint action to harmonise opportunities for the protection of residents between regions.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u42	Thank you, Minister, for your answer. It is indeed about residents and passers-by, but also about hives. There are figures about bees at the BFSA, because beekeepers with massive bee mortality must warn the BFSA. In such cases, a veterinarian should also be present. I'm very glad you mention it to NAPAN. Last week we had a very interesting hearing on the NAPED. It mentioned the huge amount of EUR 4.4 billion in expenditure, annual costs for the State, as regards hormone-distorting effects caused by hormone-distorting substances. According to the report, most of them can be traced back to pesticides. That led my colleague de Laveleye and myself to ask to discuss the public consultation on the NAPAN in Parliament, just as we did with the NAPED. Colleagues mentioned the hearing on the NAPED as very interesting, and we have learned a great deal from it. A hearing can also put a magnifying glass on that public consultation, because it allows people to study the NAPAN that could otherwise not do so. Mr President, I would ask you to put that question to the committee tomorrow in the course of the discussion of the rules of procedure. We ask the Minister's administration to explain the willingness to come to NAPAN. Before that public consultation ends in mid-March, we ask for a dialogue in the Chamber with the people who have described federal actions in the NAPAN.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u43	Mrs Creemers, you can suggest that tomorrow. With your persuasiveness that can be planned or not, we will have to wait and see. Then we'll make the necessary arrangements. I take it the Minister will not object in his own right.
