ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u1	Colleagues, our agenda normally starts with a topical debate on judicial expertise.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u34	Mrs De Wit, like you, we are looking for solutions to better succeed those convicted who end sentences. In consultation with experts, we analyse all options. This is a complex debate, because we must remain within the limits of justice and the European treaties. Master Damen's suggestion is valuable, but we've already presented it to the experts. They argue that internment is only possible if the person concerned is or becomes insanityable during his or her detention. However, we will continue to look for ways to provide the best possible response to this problem. There is no zero risk, and we will never be able to achieve it. Thinking that there will never be such a case again is not true, however good the legislation may be. A second comment is that we will not get there with a law alone. We need to focus on practical implementation, because we cannot simply lock up all the convicted people and throw away the key. A forensic care circuit must be developed and invested in it. Then we are talking about many tens of millions of euros. In this way, prisoners can receive tailor-made treatment both during and after detention, which seriously reduces the risk of recidivism. The responsibility of that forensic care circuit lies not so much with the Justice Department, but with Health and the Länder. Don't worry, initiatives have been taken for several months. That is now being worked on. We hope to reach an agreement with our colleagues, knowing that this will require serious investment.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u35	I understand, Minister, that this problem cannot be solved simply by means of legislation. We know that, too. Without legislation that would allow the field of work to begin to work out, it will be difficult to make this happen, unless it is also the case that transmissive letters are made to deviate from other legislation. Well, I hope we get to see those letters. Mr Minister, we must be able to make something possible in terms of accountability and internment. It's really time to work on partial insanity. The Netherlands does the same. That's a gradual approach. We must dare to look at that slope and look at what is an appropriate approach for a person so that, even after the end of the sentence, a person who is dangerous and at high risk is not sent back into society without any follow-up and can make new victims. Otherwise, we can continue to cry out on the stage and remain indignant. However, it is our duty to try to do something about it. Shall we solve every case? We should not be under this illusion. You're right about that. However, we must at least set out the ambition to avoid as many risks as possible. I therefore expect you, Members and myself to have the necessary creativity to resolve this. The provision is a possibility; partial insanity is a solution. In this way the bridge to the internment can be struck, in order to ensure that such a person does not just walk free, without being followed up. After all, explain that to new victims: we could not do it. We cannot accept this, and we cannot accept it.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u36	Madam President, my colleague Ortwin Depoortere had actually asked Minister Verlinden because it is a bit of a different perspective. For the rest, however, it is about the same thing. The services seem to have linked the question to this committee.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u37	I also refer to the written version of my question.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u38	Mr Boukili is not here.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u39	Madam President, Minister, on the occasion of the Easter weekend, it was a strange bell sound that was heard in the judicial district of Hal-Vilvorde. Indeed, the Hal-Vilvorde prosecutor's office has decided not to process the fraud files any more. Or, more specifically, the prosecution will no longer take up cases of fraud whose financial damage is less than EUR 10 000 and whose alleged perpetrators could not be apprehended in Belgium. This directive is already applicable in the judicial police. From now on, police officers will receive a complaint knowing that it will not lead to any judicial action. We can imagine without difficulty the motivation of our police officers and the transformation of the police station into a gas factory that could result, not to mention the reaction of the victims who will be denied justice to them, especially those who consider that 10,000 euros is already a lot. The decision is justified by the Public Prosecutor's Office because of the lack of resources and staff, not only within the Public Prosecutor's Office but also within the ranks of the police. The bells rang but did not collect eggs, just the same explanations to not say the same excuse about the usual flaws of justice. Minister, what do you think of this decision of the Hal-Vilvorde Public Prosecutor's Office? [[Given its geographical location close to Brussels, a metropolis open and connected to the rest of the world, but also the narrowness of Belgian territory, is this decision not an incentive to commit a scam - I go a little far - of a smaller scale, then to leave the territory with the assurance that it will not be pursued, in other words, to save the files?]] In the face of this situation, do you have any reserves of emergency personnel to deploy on the spot, even temporarily, to reverse the decision of the Public Prosecutor's Office and to remedy in practice the situation he is experiencing? This, of course, awaits lasting and structural solutions. Unfortunately, the prosecutor's office and the police in Hal-Vilvorde are no exceptions or isolated cases. Do you therefore know whether decisions of the same order are taken or will be taken by other prosecutors? I am thinking in particular of those in the border areas, particularly in Tournai. Investigations abroad of offences worth less than 10 000 euros would rarely be effective. Can you engage with our European and international partners to increase the effectiveness and effectiveness of prosecutions? Crime, in fact, must not pay in Belgium or elsewhere!
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u40	Colleagues, media coverage on the policy of investigating the facts of scams has come after the dissemination of information from the King's Attorney of Halle-Vilvoorde to the federal and local police. Such information is in accordance with Article 151 of the Constitution, which provides that criminal law policy is determined by the Public Prosecutor's Office. It is important for us to be able to explain this information correctly. What are the concrete guidelines? The circular 2021/03 on the policy sheet on prevention code 20 aims to orient the investigatory capacity towards those investigations in which the clarification of the facts and the prosecution of the suspects is possible. People want to use the investigative capacity smartly, namely when there is a chance of success. This is called detective management, with the aim of using existing capacity as efficiently and effectively as possible according to a number of criteria, based on the experience gained in previous investigations. It is important to note that phishing is often a form of internationally organised crime, where the perpetrators or organisers are often abroad, which can hypothesize successful detection and prosecution. That is not a choice, it is unfortunately the reality. In this context, the letter provides that no further investigation will be carried out for certain types of fraud under certain conditions. I am referring more precisely to cases which are not connected with Belgium and for which only an investigation abroad is possible. For example, for a foreign account number, no investigation is ordered by the Office when the damage amounts to less than EUR 10 000. In this case, the file is kept by the police for an ex officio police investigation (EPO). This means that the facts are included in a PV, but that the PV is not subject to prosecution. As part of an EPO, the police service can conduct limited investigations. If the damage exceeds EUR 10 000, in cases also without any connection with Belgium, the police will submit the case to the Public Prosecutor's Office in the form of a standard report. The competent prosecutor will then decide, depending on the country to which the investigation relates, on the relevance of a European investigation decision and a request for legal aid in order to identify and interview the account holder. The amount of EUR 10 000 mentioned is indicative and is based on the experience gained during the surveys. If the damage is less, but there is a chance of recovering that amount, the prosecution will conduct an investigation. What preceded this letter? The problem was that the policy orientations of the instructions on fraud investigations were dispersed in various other directives, both local and national. This led to a lack of uniformity in the decisions taken by judges. With this letter, the King's Attorney wishes to offer more uniformity and legal certainty and to obtain a better view of where the detective capacity is going, both at the level of the public prosecutor and at the level of the police. This control does not affect the individual discretion of each magistrate in each file, it is a matter of beacons. A magistrate may deviate in any file, whether or not after consultation with the Chief of Staff. The police can also contact the court for other adapted guidelines for any file in which they consider it useful or deemed necessary. In the past, much more was worked with amounts, often only with the amount of the disadvantage as a decisive factor in the decision of the public prosecutor on further investigation. Now the disadvantage is an indicator, just like other elements. These directives have been drawn up after analysis of the degree of clarification for various scams and after analysis of the success factors in order to clarify the crime. The links with our country are, of course, important at this level. The amount of injury is only a limited indicator of the possibilities for clarification. That is why, as I said, this amount is only indicative, after consultation with the police, the judges concerned and the Public Prosecutor's Office. Several zonal security councils set out the public prosecutor's vision and stressed the importance of prevention. Fourthly, given the scale and by definition international nature of the phenomenon, smart detectives through detective management are a necessity. There is no need to always require a number of standard investigative acts for each case, although the Prosecutor's Office knows in advance that they will not succeed and that they will mobilize investigative capacity. Fifth, the APO-BP, the Official Police Investigation Service, is regulated nationally by a debrief from the College of Attorneys General. For example, the vast majority of PVs on home burglaries, where the investigation possibilities are exhausted and no unsub could be identified, are kept with the police. The advantage is that the parquet doesn't receive those files, which means administrative lighting. However, it can still be requested, file by file. Citizens can obtain a copy of the file, for example for insurance purposes. This has no impact on the victims. This is a measure that has nothing to do with the actual handling of the case. This method has existed for years in various fields. A transparent approach to the prosecution policy from the court to the police is a very conscious choice of the King's Attorney of Halle-Vilvoorde. With regard to the framework of the Halle-Vilvoorde parquet, I can give the following figures. The legal framework shall be 24 magistrates. Two of them are posted to the IGO. There are also four places not filled, a magistrate is on maternity leave, a selection procedure is under way for a place and three seconded French-speaking magistrates and a Dutch-speaking magistrate of the Brussels parquet are working for the Halle-Vilvoorde parquet. As far as the approach to phishing is concerned, we are not stuck. It is important that the judiciary and the police assume their responsibilities, and we do so, especially with regard to a phenomenon that we know is taking more than worrying forms. Phishing and by extension cybercrime are a criminal threat facing us all. You know we're investing in the Justice Department. Specifically in this domain there are 33 additional people to strengthen the parquets. In the fight against phishing, police and justice are not enough. Above all, we must prevent citizens from being victims of this fraud. At this level, my colleague in charge of consumer protection, in consultation with the banks, will take the necessary initiatives to combat phishing or to prevent money from reaching the phishing organizers. The Centre for Cybersecurity Belgium is developing initiatives to alert and raise awareness among citizens, including via the Safeonweb site. So impunity is not what we install with this letter. On the contrary, this directive ensures that criminals who have a chance of being prosecuted can also be effectively prosecuted. First of all, we need to reduce the chances of the Phishers being beaten as much as possible, by warning citizens, by ensuring that the money is blocked in time, before it reaches the organisers' account. Finally, we want to increase the possibilities of getting caught, but also to be punished, thanks to a targeted strengthening of the Public Prosecutor's Office, with 33 more people to combat this phenomenon.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u41	Minister, your detailed answer is a little bit like the headlines. I note that when there is a chance of getting caught, the criminals will be prosecuted, regardless of the amount higher or less than EUR 10,000. Developing criminal policy in an arrondissement is the responsibility of the prosecution, but I understand perfectly well that if the perpetrator can be caught, whatever the amount, there will be prosecution. Minister, for many people, a sum of less than EUR 10,000 is also a huge loss. Other citizens, who may have a better financial situation, will feel a little less bad, but of course they must also be protected, they are also victims and they also have the right to prosecute the perpetrators. I am pleased to have been able to gain knowledge of this nuance.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u42	Mr. Secretary, you are indeed nuanced in the coverage. I understand that such investigations abroad are difficult and do not always succeed and that there is sometimes a need to consider them. However, it is difficult to explain to a victim. In the case of €10,000 phishing, we are already talking about serious crimes. You say that the perpetrator can still be prosecuted if the amount is lower than the EUR 10,000, but it is not really a deterrent signal to the perpetrator, if one knows that there is a very good chance that the crimes will not be prosecuted. Of course, that's frustrating for the police, too. Of course I also continue to call for the Halle-Vilvoorde parquet to be strengthened. We have a very wide hearing next week, with the prosecutors, the prosecutors of the King, a representative of the Attorney General and the federal judicial police. More generally, we will discuss the lack of people and resources there. It is then wider than phishing and the parquet of Halle-Vilvoorde.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u43	Minister, thank you for your answer. You tell me that the choices of criminal prosecution have always existed and that they are made by the Public Prosecutor's Office and not by the government. That's right! Except that these choices must be real choices, not the result of budgetary constraints imposed by the government, which therefore reinforce the sense of impunity among the perpetrators and that sense of class justice, of two-tier justice that already exists in the population. To reassure us, you are putting forward several elements, including the fact that the Public Prosecutor's Office will need to be strengthened accordingly. The question is when, since without this strengthened framework, we will be told that the infringements will be prosecuted regardless of the threshold of damage of EUR 10 000, they will only be publicity effects. In the meantime, you say that this threshold of EUR 10 000 is indicative, but there is still a threshold despite all that it does not reveal the seriousness of an offence or the need to prosecute the perpetrator abroad. This threshold of EUR 10 000 represents an extremely large sum especially for victims in precarious situations. Compared to this very arbitrary threshold of 10,000 euros, it should not be forgotten that an author can make several victims in several countries. You yourself have recognized this, so that if we are not able to establish the link between the cases through a thorough investigation transmitted to the prosecution, we will never know the extent of the fraud that should be pursued.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u44	Minister, thank you for your detailed answer, but I do not understand one thing. I agree with the fact that prosecutors and the judiciary in general, in the pursuit and investigation of the perpetrators of the offences, are acting according to guidelines and are underpinned by the effectiveness of the action. It is not possible to recruit enough inspectors and judicial police officers to prosecute all offences of any kind. We are well aware of that. Moreover, and this is where I do not understand the EUR 10 000 threshold very well, when an infringement is not very likely to succeed for a lot of reasons because there is a lack of elements, why should a fairly high threshold be set in this way? Indeed, this reasoning of effectiveness could apply to all offences, if I confine myself to fraud offences, despite or notwithstanding their maximum or minimum threshold. In a file, when there is a possibility of success, why stop? You say it yourself, they don't. If, below EUR 10 000, there is a possibility of success, they are working on it. This must be valid for all files. Why do we have to go into bigger files when we know we're not going to get anything back? That's what I don't understand. That is the first principle. The second principle, as we know, is that there is a recruitment problem. We're confusing things. It is impossible to argue. I see the difficulty you find yourself in between the bottom and the shape. As long as there are reasonable recruitment problems, there will be a suspicion of dropping some of the cases that might be successful. That's the real problem. I find that in the communication - which now allows us to ask a question - the threshold was set out very firmly, as if we could not go down below. Your answer is interesting to more than one title since it appears that we can still do it. But I think it's all the reasoning itself that's not good. Either you're effective - whenever you can get something back, you're acting - or you can't - because you don't have enough staff anyway. It must then be said and made clear to a category of litigants that below a certain amount it is too expensive to implement the police and the judicial organization, and therefore not to do so. But I know we're never going to get that clarity. We must then be ambitious. We must resume our work with ambition and ensure that there are enough people to deal with all the cases that are worth it and that will give the people who have been tried the feeling that justice has been done.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u45	Questions Nos. 55027016C, 55027019C and 55027023C by Ms. Sophie Rohonyi are deferred.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u46	Minister, in January 2021, I would ask you about the cooperation of social media in the removal of images in violation of the Revenge porn law. More specifically, I asked you how many requests for the removal of images of a sexual nature had been made by our courts to digital platforms, but also and above all the number of images that had actually been removed. At the time, you were replying to me that the figures available to the support service of the College of Courts and Courts are extracted from the applications with which the registries manage the judicial files. It also appeared from your response that the IT application of civil courts of first instance would not permit the recording of this requested data because there would not currently be a separate code that would identify cases related to the removal of sexual images. The situation would be different in civil cases – compared to correctional cases – for which it would be possible to generate figures. This is quite challenging, especially since it is essential today to be able to have these figures in revenge porn. Indeed, this violence is still too widespread in us. The harmful consequences are extremely important to victims, especially young victims. What is the status of the review that you announced you had conducted with the College of Courts and Courts on the availability of these figures for civil cases? How is cooperation with social media in the removal of sexual images currently taking place? Are initiatives complementary to this cooperation with social media taken by your firm to combat this phenomenon? Are you aware of the creation of the Stop Non-Consensual Intimate Image Abuse (StopNCII) platform, which allows victims to save their compromising photos before this content is analyzed and then shared to cooperating companies such as Facebook – who will thus spot the disputed photos on their platform and delete them? Do you support this initiative? What do you think is its added value in relation to the cooperation between the judiciary and social media through this famous law on revenge porn?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u47	The answer to your first question does not differ from the answer I gave, namely that the encrypted data available to the support service of the College of Courts and Courts which are extracted from the applications used by the registries to manage judicial records do not allow the requested data to be recorded. Indeed, there is no separate code to identify cases involving the removal of images of a sexual nature. On the other hand, Justice relies heavily on digitization and effective data management. With our digital transformation plan, we want to ensure better hardware and software, design digital folders, connect existing databases with each other, develop Just-on-web and in this way work more effectively. The data approach, the creation of new codes will also be processed but later. Unfortunately, I still cannot give you answers directly since we depend on the codes – an encoding system that is old and that we want to change. Once the judgment and judgment databank is operational – planned for 2023 – the bill will be introduced in Parliament. The company responsible for the data bank will be selected for the summer. Once ready, based on the analysis of the names of the terms, it will be possible to give more information than we can do today. With regard to your second question, since the introduction of the law of 4 May 2020, the Institute for Equality of Women and Men (IEFH) has become a trusted signaler (rusted flagger) allowing internet platforms such as Facebook to quickly remove images. Child Focus does the same when it comes to minors. To this end, they cooperate with the Federal Police (IRU:Internet Reference Unit). We are trying to make it clear in an accessible way that the IEFH is a trusted signaler. An alert form is available on its website, through which citizens can report revenge porn so that the images are quickly offline and can no longer be disseminated. We are in constant dialogue with the Director of IEFH. We need to see what the active role of Justice could be in this area. Finally, the fight against revenge porn is also part of the national action plan against gender-based violence. To answer your third question, the new sexual criminal law, which will enter into force on 1 June next – the new law having been published in the Belgian Moniteur on 30 March – includes an explicit basic offence of non-dissemination, non-consultation of images and sexual recordings with a severe penalty. A person who disseminates sexual images of an adult intentionally or for profit risks an effective five-year prison term. In the event of an aggravated offence, the penalty may be up to 15 years. I expect an even more active approach from major media players such as Facebook, Meta and Google. They promised to do so. A meeting is scheduled for May 16 with IEFH and social media companies about the law. The goal is to technically refine the law so that social media can more quickly offline non-consensual sexual images. I come to your fourth question. This strong initiative is already actively supported by the IEFH. Indeed, the latter makes explicit reference to it on its website. I can only welcome this initiative.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u48	Minister, I thank you for your detailed answers, although your answer to my first question – which is fundamental – is the same as that given to me earlier. Indeed, there is still no separate code for obtaining encrypted data. You say that this will be done later. What do you mean by that? Are we dependent on the establishment of the famous database of judgments and judgments expected by 2023? For the rest, the problem remains. Indeed, you repeatedly say that the fight against sexual violence is a government priority, which I have no doubt about. That is why we supported your sexual penal code. At the same time, however, there is still a major problem in collecting data on sexual violence. Whether it's femicides, revenge porn or sexual abuse, it's the same problem every time. However, these data are essential in order to be able to objective these phenomena and therefore to take targeted and effective measures. I am thinking in particular of offences committed by minors. This is often the case with revenge porn. There is a need for preventive measures to be adapted not only to the dissemination of images but also to the accomplices of the authors, who then share these disputed images. I believe that this data collection work must already be done in the civil courts as well as in the organizations that receive complaints. As you said, the IEFH has in the meantime become a trusted signaler. Data collection work can be done with Child Focus, the data protection authority. It is important to be able to probe them, also to know how long it took the platforms to remove these disputed images. As we know, the longer the image stays on the internet, the more it will hurt the victim. Finally, I come to my questions about the StopNCII help platform. Would it be interesting to institutionalize it and provide it with a legal framework to ensure that victims' privacy is scrupulously respected?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u49	I refer to my question as I have submitted it in writing.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u50	Madam President, your concern about this payment is, of course, justified, but the pro-Deo funds for the year 2020-2021 have not yet been transferred. This is traditionally done after budgetary control and, as you know, it is just behind us. The file will soon be completed so that the payment can be made as soon as possible. Unfortunately, the administrative administrative process that we have to follow step by step under the Royal Decree of 20 December 1999 takes a long time. The concrete value of the issue has now been approved by the Council of Ministers last week, I think, if I am not mistaken. The orders will then, as always, transfer the funds to the individual lawyers as soon as possible.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u51	Minister, I do hope that the situation can evolve rapidly. As you know, a lot of lawyers do pro bono work. In the current context, many lawyers, often young lawyers, will be waiting for that pro-Deo money. I hope that this can indeed be paid out quickly to the issues and then to the individual lawyers.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u52	Madam President, Minister, on April 12, the European Court of Human Rights (ECHR) handed down a ruling recognizing discrimination suffered by congregations of Jehovah's Witnesses in the Brussels Region, where their exemption from the property discount was removed. If I do not wish to dwell on the particular case of Jehovah's Witnesses in Brussels, I am still surprised by a few recitals and analyses of the ECHR's decision. According to the Court, "neither the criteria of recognition nor the procedure by which a cult may be recognized by the federal authority are provided for in a text satisfying the requirements of accessibility and predictability". The same judgment adds: "In addition, in particularly vague terms, they cannot, in the Court's opinion, be regarded as providing a sufficient degree of legal certainty." In fact, the Court's judgment denounces the absence of a text regulating the procedure for the recognition of a cult. There is also no time limit for the proceedings. The RTBF, which relayed the information, notes, moreover, that no decision has been taken to date on the applications for recognition submitted by the Belgian Buddhist Union and by the Belgian Hindu Forum, respectively, in 2006 and 2013. So it is not new files that have been entrusted to you. Such legal uncertainty opens the door to subjective decision-making, hindering good relations between the state and Belgian religious bodies. In the case of the above-mentioned procedure, it resulted in a fine for Belgium – which is never acceptable in terms of good governance. Therefore, Minister, do you confirm the absence of a legislative framework for the procedure for the recognition of a cult? What are you doing to regularize the situation in the eyes of the European Court of Human Rights and to clarify the process of recognition of worship? Is a list of criteria being drafted or updated? Incidentally, what is the status of the procedures for the recognition of Buddhist and Hindu cults, as discussed above?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u53	Madam President, ladies and gentlemen, the criteria for recognition in the context of an application for recognition of a cult or non-denominational philosophical organization have never been and are not included in a law. This is indeed an administrative practice. My services intend to analyse the Court's judgment as soon as it is published. The consequences of the judgment and the actions to be taken are currently being studied by a working group within the Justice FPS, which I asked to present to me the results by 20 July at the latest. I also spoke about this at the last Council of Dialogue, which took place a few days ago in my office. The Court is talking about the need for an accessible and predictable text, and this is the most important one for me. I am not going to anticipate the Working Group's proposals, but I do not think that is unclear. The list of recognition criteria is hidden somewhere on the Justice FPS website. I can send you the link. We must examine whether these criteria are sufficient and how we can then effectively translate them into an accessible and predictable text. Procedures for the recognition of Buddhism as a non-confessional philosophical organization and Hinduism as a cult are under way. The recognition of Buddhism has been included in the government agreement and has been incorporated into my policy note. My services are working closely with the Buddhist Union of Belgium on a text providing for its recognition, which I hope to submit to Parliament this year, and with the Hindu Forum of Belgium on the materialization of the granting of a subsidy for the structuring of its representative body.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u54	Minister, thank you for your answers. I suspect that in order to analyse such a stop, we must not act in haste. So I am making an appointment with you next July to understand the best consequences that you will have from this judgment. Whether for the secularism or neutrality of the State, it is important to have objective and accessible criteria in all matters. If these criteria exist and they are on the Justice FPS site, they are hidden somewhere, as you said. This is obviously to be improved.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u55	Minister, last year, the League of Families conducted a comparative and critical study on five methods of calculating the maintenance contributions used by judges, mediators, lawyers and parents. The study highlighted their respective advantages and disadvantages, checked their compliance with the legal provisions – both the Civil Code and the decrees – and also showed on which results, sometimes considerably different, they could produce. In addition, if some methods are paid, others are made available free of charge. This also raises the question, since the legality of methods and their conformity with the interests of the child appear to be uneven. The League of Families and the Gezinsbond do not recommend the use of the Hobin method, which would not conform to the legal bases, but which would also lead to results which do not respect the best interests of the child. However, it is this criticized method that is available free of charge on the Courts and Courts website. The League concluded its study by calling for a "single, flexible and compulsory calculation method for calculating food contributions, in order to combat poverty among single-parent families, but also against child poverty and gender inequalities". It recommended that the Federal Food Contributions Commission should increase its capacity to form a working group to develop such a single calculation method. Minister, do you agree that the coexistence of these methods does not lead to sufficiently predictable, objective and equitable results for parents? What further action do you intend to take on the recommendation to develop a single calculation method as advocated by these associations? Could additional funding for this be provided to the Food Contributions Commission? If so, within what time frame? Could you then indicate whether, at present, every legal professional who wishes to use paid software must acquire it personally and at his own expense or whether a form of collectivisation is organized? What could you answer to the concerns of the League of Families regarding the free availability of the Hobin method, knowing that it is neither proposed nor recommended by the Commission on Food Contributions?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u56	Mr President, ladies and gentlemen, in order to answer your two questions, I confirm to you that at present no method of calculating the respective contributions of parents is preferred by law, the latter merely determining in general the nature of the parents' financial faculties and the costs to be taken into account in the calculation. Therefore, each judge is likely to develop his own method of calculation based on the consideration of one or the other source of income which he considers relevant, which makes the determination of the amount of that contribution unforeseeable. There are, of course, paid software such as PCA-VOB which makes it possible to anticipate it somewhat, but its use is not compulsory and must be supported financially by the person who uses it. On the basis of these findings, a Commission on Maintenance Contributions was established under article 1322 of the Judicial Code. The purpose of this commission is to make recommendations concerning the determination of the contribution of each father and mother in accordance with article 203bis of the Civil Code. Article 1322 also provides that the King may determine a method of calculation to facilitate the recommendations of the Food Contributions Commission. The Committee on Food Contributions has just resumed its work and continues to refine its method of calculating contributions on the basis of the methods used by practitioners. Financial resources have been made available to support the Commission in the study of these different methods. I await the committee's recommendations before proposing a possible method of calculation. A single method of calculation could facilitate the work of judges and could lead to the granting of maintenance contributions which would not be too different depending on the place of residence of the citizen. However, I would like to point out that the determination of a single method of calculation should not prevent the judge from exercising his discretion, particularly with regard to the best interests of the child.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u57	Thank you very much, Minister, for your answers. I am glad to know that the committee is continuing work to refine a method of calculation and that you are actually considering the outcome of the work. I don't know if you have a scheduled date yet. I see you're saying no. Perhaps it would be interesting to know when or at what point the commission would think it had completed its work in order to know whether you could actually propose a single method. I understand that a certain degree of discretion must be preserved for the judge. I don't think that's what was particularly at issue here. But what the associations want to do is to insist, as you said yourself, on the importance of being able to predict the result at a minimum. In the study of the League of Families there are two case studies which apply each of the methods to the same family with considerably different results. There are variations of several hundred euros. There is even one case where it is one parent for one method and the other for the other method that finds itself having to pay. It's obviously something complicated for parents. You know that I care a lot about the generous dimension of things. These issues are not gender neutral since most single-parent families are families with single mothers. For all these reasons, I am glad to know that the work is under way. I would be very happy to be able to see the conclusions of the committee when they are available.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u58	Debates of the European Parliament Mr Van Hecke's 55027067C is converted into a written question.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u59	Minister, this question had been introduced before our interesting debate yesterday on the attractiveness of magistrates, but it nevertheless retains some usefulness in the urgency given by the arrival of these large trials. Six years after these attacks in Brussels, compensation proceedings were scheduled for 19 April. Victims who are still awaiting the determination of the amounts to be paid by the insurers have, however, seen the hearings postponed because of the absence of the judge in charge of the Chamber. In view of the lack of effective judges, the case was dismissed on 13 June 2023 for pleading. There is clearly a clear lack of judges at the Court of First Instance in Brussels. The shortage is not new. I would remind you that your general policy note developed at the end of 2021 was proactive in terms of the new means, especially human ones, to be made available to the justice system. My first general question was answered yesterday. Is judicial shortages monitored in collaboration with the courts of first instance? As a matter of urgency, what role can you play as Minister of Justice to deal with this shortage, particularly in the urgency of current judicial debates?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u60	Dear colleague, we are constantly reflecting with the College of Courts and Courts to allow the recruitment of magistrates from the seat. The College sent us recruitment cards for the year 2021 for the Brussels Court of First Instance as follows:- the Dutch-speaking court: four vacant places of judges published; - the French-speaking court: twenty-two vacant places for published judges and two more for judges specializing in tax matters. As regards the case concerning the attacks in Zaventem and Maelbeek, four judges are specifically dedicated to this case in the context of the specific recruitment for this extraordinary trial. The necessary actions are therefore undertaken. We publish announcements and new judges are recruited. With regard to your second question, since the beginning of the legislature, we have been committed to strengthening the judiciary by opening many places for magistrates, clerks, jurists and referenda. In total, there are 1,400 additional persons for the judiciary, including 827 magistrates and judicial support staff. This is a tremendous effort by this government! This has led to a very large wave of recruitment and more than half of these people have been working for Justice in the meantime. The College of Courts and Courts and the College of the Public Prosecutor's Office are independent bodies responsible for assessing the staffing needs of the various courts and prosecutors' offices in the country. We open the vacant places based on the recruitment slips provided to us by these two colleges. With regard to the organization specific to each court, it goes without saying that the Minister of Justice has no power to intervene in the operation of the court. This competence is reserved exclusively for the head of the corps. However, I can assure you that the situation is being closely monitored in order to allow for a faster and more efficient functioning of the justice system, particularly in Brussels.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u61	Minister, thank you for your answers. As far as the attacks are concerned, you tell us that the particular appointment is not within your competence but is the subject of requests made by the colleges of magistrates and courts and tribunals. You also say that four judges will be dedicated to this extraordinary trial, which I welcome. I would also like to point out the need to keep attention to these trials, which are of great importance in the immediate future of our justice system.
