ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u1	Mr Demon apologized.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u32	Mr Depoostere, it is true that the Ghent police area has identified incidents on 18, 21 and 22 May. There were no incidents from 19 May. Following the facts on 18 May, 15 minutes were prepared for facts on the Blaarmeersen itself or on the route between the Blaarmeersen and Gent-Sint-Pieters. The investigation into the facts themselves on the bus is part of the further investigation following a declaration by De Lijn. Camera footage is available. They were seized for the purpose of identifying the offenders. The city of Ghent and the police have been confronted with such facts several times in recent years. It is certainly the case that the police forces are preparing to deal with this phenomenon every time it threatens to go wrong in a period of good weather. This year an exploitation plan was developed in consultation with the relevant services and with the operator of the Blaarmeersen, including atmospheric management on the site and access guidance. The plan works in stages and runs until the third Sunday of September. In addition to the extra commitment of various partners, additional staff from the police are also provided on the route between Ghent-Sint-Pieters and the Blaarmeersen but also on the site of the Blaarmeersen itself. Depending on the number of visitors and the weather conditions, police capacity is adjusted and so happens throughout the summer. You will understand that this extra effort requires a great deal of flexibility on the part of the police. I would particularly like to thank them for that. On the train between Gent-Sint-Pieters and the Blaarmeersen, persons who seem to be on their way to the Blaarmeers but exhibit unwanted behaviour are controlled by the police. The mayor has authorized a systematic identity check. The police are visible on the site of the Blaarmeersen itself. In any case, the police remain available and can act in case of emergency and proceed to enforcement if necessary. As I pointed out in plenary last week, I sent a circular last year with preventive and repressive measures to the local authorities, the provincial governors and the administrators of the recreational areas. A survey of the FPS Home Affairs with all involved partners has shown that the circular is appreciated and provides a clear overview of the means or ways to act. For example, on the basis of a ban on access, the operator can deny access to visitors and gas fines can be imposed for, for example, noise pollution, spills and damage to the public domain. Mayors may also proceed to a temporary place ban. The ban on places has been in the ANG since 1 July. This allows any police officer to immediately check whether a restraining order is in force during a police check.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u33	Madam Minister, the measures of course apply not only to De Blaarmemeersen in Ghent, as you had already understood. It must be safe for everyone to go to any recreation area in Flanders. The circular letter is indeed a nice and good way to deal with this type of violence and incidents. However, this needs to be put into practice. That is why I am calling for a sort of swift justice whereby the perpetrators can be served immediately and immediately know what their punishment is. If not, there is a risk that the same perpetrators will cause the same incidents. There are some things that are, of course, very good. The fact that the operators themselves can prohibit access to a particular domain seems obvious to me. The issue of a ban on places should be the same. One can also work more preventively. At the stations of the Brussels-Capital Region one could already check which young people are planning to move to such recreational areas to make amok. There may also be some responsibility for the Brussels-Capital Region. Thank you very much for your clear answer.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u34	Mr Van Langenhove, you had two questions...
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u35	Mr President, I would like to ask Mr Van Langenhove his questions, but I am waiting for my turn in the Foreign Affairs Committee. I have already understood that Mr Segers will be joining us later with his questions. Before you were President, it was customary that if you were not present at the time when the question was raised, it would either lapse or be converted into a written question. Once again, I would like to ask everyone his question, but not if whoever sits here waiting for it to become the victim.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u36	That is correct, but if Mr Segers asks and someone else does so, then I try to apply a certain flexibility in the work. You are right, but Mr Van Langenhove is in time for his question on illegal migration across the Channel. You can certainly ask all that question.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u37	Madam Minister, illegal migration via the so-called Channel Route has been on the rise for several years and reached its peak last year when more than 28,000 people reached Britain by this route. To control this phenomenon, France and Belgium called in Frontex's assistance at the end of last year. Since early December, the European Border Agency has been patrolling by aircraft, including over the North Sea. Questioned about this recently, Secretary of State Mahdi stated that Britain is willing to invest enormously in strengthening security in France and Belgium, adding no reason why we should not do so, and he referred me to you on this point, given the shared competence. How do you generally assess Frontex's commitment in this area in recent months? What concrete results did this operation yield? It is, of course, a matter of being happy that she is here, but a second to be happy about certain concrete results. Do you consider that a further commitment of Frontex in this area is useful and would you perhaps even like to scale it up? What financial and logistical support will Belgium now receive from the United Kingdom in the fight against illegal immigration? What additional huge investments are the British prepared to make? Are there specific Belgian wishes in this respect? If so, which one? Has there been any consultation between the competent British and Belgian authorities on this matter? How do you assess the existing police cooperation in the border region between Great Britain, France and Belgium? After all, your French colleague was not very satisfied with that. What are the shortcomings and what do you think should be improved?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u38	Mr Van Langenhove, until now, the deployment of the Frontex aircraft has shown an important added value for France, with several interventions already reported, especially when weather conditions were good. Since the start of this operation, no detection has been carried out by the Frontex aircraft over the Belgian territory. It is possible that during the summer months more migrants would cross the border because of the weather conditions and then again mainly from France because of the better geographical location from that point of view. However, it is always possible for outgoing migrants to drift from France to Belgium, which would also make patrols over Belgian territory useful. In 2020, €784,000 of aid was provided in the form of detection equipment, vessels and vehicles. At present there is no longer any financial support, but the United Kingdom is still providing assistance through the use of control teams for the shipping police in Zeebrugge. A thermal camera was installed in De Panne, which was co-financed by the UK Border Force, in order to detect incidents at sea in a timely manner where people would be in danger. The detection software there analyses the thermal images in real time and automatically sends a notification to the Maritime Information Crosspoint and the Maritime Rescue and Coordination Centre when a potential incident is observed. If necessary, the Belgian police services will be notified through the usual channels. The camera is currently in trial. In addition, the United Kingdom has purchased night vision goggles, drones and other equipment for the West Coast police zone and provides ground sensors to detect illegal activities in the dune area. Currently, the federal police are not involved in calls for additional investment by the United Kingdom. However, there are ongoing calls between the port of Zeebrugge and the UK Border Force about investments in improved port terminal security, whereby private companies and the port company could take additional security measures in the form of a central security and command room, from which all cameras and detection devices in the port can be monitored and possible actions taken in the event of illegal climbing. The UK Border Force invests about £3 million in this center and another £1.4 million in additional cameras on the port site. There is very good cooperation between Belgium and the United Kingdom to reduce irregular migration to the UK and to combat smuggling networks. Contacts between the two countries are frequent, both at political, administrative and operational level. Within the federal police, the shipping police cooperates closely with all neighbouring countries in the fight against illegal migration. On 23 March I had another meeting with the Home Secretary Mrs Patel on the joint fight against irregular migration. A bilateral police cooperation agreement between the UK and Belgium is needed if it is to be even better implemented, including post-Brexit. During the bilateral meeting, negotiations to draw up the Convention were launched. In the meantime, work has already been done on this. For Belgium, it is essential that border control actions with France are based on criminal intelligence and information generated in ongoing investigations. On a day-by-day basis, any incidents are monitored and followed up by the areas concerned, both the Prefect of Northern France and the West Flemish police zones. Operational consultations will also take place between the services on this subject.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u39	Madam Secretary, thank you for your comprehensive answer. I note that more than one intervention was made in France, but not yet in Belgium. Of course, that can still happen. Perhaps it would be useful to focus on distress by making it clear that the resources are in place and that they will be used to ensure that illegal migration to Britain is driven back. Investing in detection equipment, the use of control teams in Zeebrugge, and the thermal camera that is on trial, but which we will have to follow up to see what results it will yield, are indeed investments by the United Kingdom. It can always be better. It is not really a question of huge investments there either. We must dare to draw the British's attention to their responsibilities in the bilateral consultations. It's because of their somewhat bizarre internal policies that allows for a giant black economy that so many people want to move there. People don't need papers there to show why they're there. For our part, too, there is, of course, a great responsibility, of you and your colleague, Sammy Mahdi, to ensure that we can prevent this problem, rather than cure it. We can, of course, do this by much better guarding the European external borders, by installing both legal and physical borders there, so that these migrants do not get to Belgium, and not to Great Britain either.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u40	MM. Samuel Cogolati and Olivier Vajda are absent. Their questions Nos 55028118C and 55028137C are not applicable.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u41	Madam Minister, the Belgian State has recently been convicted by the Namur Court of First Instance on the application of the Civil Security Act of 15 May 2007. This law, which organizes the reform of the relief services, provides that this funding must aim at the parity of contributions between the municipalities and the federal State. The court therefore ordered the Belgian State to adopt the Royal Decree implementing Article 67, paragraph 3, of the said Law, on penalty of penalty if the latter does not comply within 9 months after the service of the judgment, that is, before 14 July. The State appealed this decision, but this appeal is not suspensive. A working group has therefore been set up to determine the terms and conditions for funding the federal share, a working group in which your firm is, of course, involved. It is clear from these discussions that the Walloon municipalities would in the end finance their relief areas relatively little, unlike the Flemish municipalities. However, this seems to ignore the role of the provinces in this issue. Neither the provincial contributions nor the ongoing reform of the Walloon government - which provides for the resumption of the financing of the areas by the provinces instead of the communes - are mentioned. The consequences of such an analysis could naturally be catastrophic for municipal and provincial budgets. Minister, what is the government's position on this? Have you seen the work undertaken by the Walloon Region? Can you assure the Walloon municipalities and provinces that their contribution will be taken into account in the discussions, so as to avoid, once again, increasing the finances of Walloon municipalities with a view to rebalancing?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u42	Dear colleague Reuter, in order to implement article 67, paragraph 2, of the Law of 15 May 2007 on Civil Security, a royal decree must determine the ratio of the expenditure of fire services borne by the municipalities on the one hand and by the federal State on the other, on the other, as at 31 December 2007, as well as the revenue and expenditure items of the municipalities and the federal State to determine this ratio. Article 67(2) provides that the municipalities of an area shall not together contribute more in real terms than their present contribution, the present contribution being that determined on 31 December 2007, as explicitly provided for in the text of Article 67(2). As a result, the expenditure of the municipalities should be taken into account as at 31 December 2007. In order to allow the comparison of these expenditure with the evolution of the federal government's expenditure, the amount of municipal expenditure will have to be indexed. The decision of the Walloon government of 2019 concerning the participation of the provinces in the budget of the relief zones therefore has no impact on the work relating to the preparation of the royal decree implementing article 67, paragraph 2. Moreover, the purpose of the working group set up in connection with the drafting of the royal decree implementing article 67, paragraph 2, of the Act was not to compare the contributions of the municipalities between them. We're working on this royal decree project and we'll come back to you when he's ready. Thank you.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u43	Madam Minister, thank you. If I understand you correctly, but I will read your answer carefully, whatever the participation, the purpose of the 2007 law must not increase the communal finances of any kind. So in the working group, that's why you didn't take provincial participation into account. To clarify all this and pending the royal decree, I will analyse your answer. I hope to hear from you soon enough. You are aware that communal finances are extremely complicated. We are the last small link in the chain and necessarily adding to those budgets would be catastrophic. Today, as far as my province is concerned, we can count on the support of the Walloon Brabant Province to help finance these relief areas, but an additional budget would not be sustainable in the short term or even in the long term.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u44	Mr. President, Madam Minister, attacks on rescue services, especially our firefighters and ambulance workers, are becoming more and more frequent. On Monday 23 May last, once again, as paramedics intervened at a lady's home in Roux, Charleroi's entity, it was reported in the press that a father and his son, blocked by the rescue service's vehicle, had attacked the emergency workers with a knife. This is obviously totally unacceptable! If a judicial investigation is still under way in this case, we know, unfortunately, that the number of attacks on paramedics and rescue services is increasing from year to year, leaving serious psychological and even physical consequences for the attacked personnel. Not to mention forced arrests due to incapacity for work. It is time for a strong response to protect our paramedics and rescue services during their operations. My question is simple, Madam Minister: in the face of this resurgence of aggression, and in collaboration with your colleague in charge of justice, do you intend to take steps to combat these attacks, but also to prosecute the perpetrators?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u45	Mr Thiébaut, as I have already said, a campaign entitled "Fire is not always your worst enemy" was launched at the end of 2021. Staff are encouraged to report cases of violence both within the relief zone and with the police. Prior to the launch of the campaign, a letter had been sent to the relief areas, asking them to develop a policy on aggression and to encourage staff members to file complaints with the police. A FAQ (Frequently Asked Questions) on the theme of violence was also developed. It is an online document that is updated as new information becomes available. This FAQ strongly advises staff members to report any physical or verbal assault. In addition, the Federal Knowledge Centre for Civil Security has developed, in collaboration with experts in the field, two new trainings on aggressive management during interventions. Training provides knowledge and skills on this issue so that assistance and assistance can be provided in safe working conditions in situations of aggression. The aim is to take appropriate action to ensure that victims are not deprived of their right to relief and that rescue workers ensure their safety. On the other hand, in criminal matters, I want a zero-tolerance policy for attacks. I am in favour of the legalization of penalties in the Criminal Code for all acts committed against firefighters and police officers. An amendment to the Code is currently under way to provide for consistent penalties for assaults on persons with social functions, including police officers and first aid workers. In addition to these measures, taking into account the fact that police officers and paramedics regularly refuse to file complaints for fear of reprisals, I have asked the Minister of Justice to amend the Code of Criminal Investigation to allow first responders to file complaints without mentioning their personal address. This possibility already exists for the police. Adopting a similar provision for firefighters and paramedics would encourage the filing of complaints in the event of aggression and would allow for a real view of the phenomenon, but also for taking appropriate measures to combat attacks. Finally, a draft law on the use of cameras by the operational civil security services is being prepared. Their use in interventions will deter perpetrators of violence and make it easier to identify those responsible.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u46	Madam Minister, thank you for your very concrete answers. Minister, I also intend to ask your colleague from the Department of Justice, because there is also room for work in this area.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u47	I refer to the question that has been put.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u48	Mr Metsu, none of the tasks carried out by the DAP must be carried out by the DAB. The tasks of the SAB are listed in Articles 23 and 44/16 of the Police Office Act. The DAB currently has 1301 staff, 1244 members of the operational framework, 1 police chief, 24 police commissioners, 109 chief inspectors, 3 security coordinators, 344 security assistants, 835 security officers and 57 members of the CALog staff. I can also provide you with that information in writing. As you know, there are currently no legal provisions providing for the SGI to take over the security of Jewish institutions. That has already been decided by my predecessors. With regard to the targeted campaigns, the federal police, and thus also the DAB, participated in around 20 events, including federal and integrated police jobs. In the second half of this year, the DAB will present itself to the provincial schools and also to the students of secondary technical education to warm them up for a job with the police. The SAB was generally satisfied with the events in which it participated. It is difficult to determine whether this has increased the number of applicants, but the evaluation of the events indicated success.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u49	Madam Secretary, that doesn't help me very much. I think you've slipped your mind in your first sentence. None of the tasks performed by DAP should be performed by the DAB?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u50	(...)
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u51	Okay, now I get it. I will ask a few more detailed questions about the Jewish institutions, which I think would be better.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u52	Mr President, Mr Metsu, when I took office, it became clear that some emergency power stations are suffering from staff shortages which unfortunately cannot be eliminated overnight. We have certainly made this a priority in the recruitment of additional operators, as I pointed out in my policy statement. Several selection procedures are launched each year by the services, with varying success. Sometimes too few candidates show up, sometimes the number of candidates who eventually pass the written and oral tests is low. As a result, not all vacant places can be filled immediately. A valid candidate cannot be used immediately either, as he must undergo basic training with a theoretical and practical part before being able to be employed. I am not yet talking about the medical screening that the successful candidates must undergo, the security clearance they must obtain or the notice they may have to go through with a previous employer. Every year selections are organized and every year new people are also employed. The services of the FPS are currently looking at how these selection procedures and recruitments can be done even faster, but of course we remain dependent on the offer of candidates and the possible still to be performed notice periods. In addition to operational staff, my attention is also focused on framework staff. A promotional examination for experts and site coordinators was organised in 2021-2022. The function of site coordinator is, by the way, new and was created specifically to assist the service chief in HR and logistics matters. A new promotional examination for shiftworkers will be organised next year. At the same time, we have unfolded the plans that have a direct impact on the well-being of operators. One aspect of this is the introduction of the 112 app, which allows a better and faster location of the caller, allowing the operator to intervene more quickly. In addition, the number 1722 was introduced, reducing the pressure on emergency number 112 in the event of thunderstorms and storms. I also mention the e-stop shop 1722. The roll-out of the top provincial architecture, designed to ensure that emergency power stations can assist each other when one of them suddenly faces a sharp increase in calls, has also been completed for six emergency power stations. There is also systematic work on procedures and their simplification. I had already listed these initiatives in my policy plan, and as I have said, the services are now systematically introducing them. Unexpected difficulties can make planning difficult. For example, the development of the upper provincial architecture was delayed by the covid pandemic and by the complexity of the software, which the software developers have played. Any concrete action we take will be discussed with the emergency power station manager, but of course there is no problem in further sharing these action plans with the emergency power station staff if this is desirable. It is therefore the case that systematic improvements are being made to assist operators in the performance of their jobs, without losing sight of the best possible service to citizens. Finally, you will not be surprised that innovative solutions are also being used. The 112 menu does not exist anywhere else in Europe. It has drastically reduced the number of useless calls to the 112 emergency number and reduced the number of calls to the 112 emergency centres for the police. Together with the Innovation Lab of the FPS Policy and Support, my services seek to explore the possibilities of artificial intelligence in the support of the operators. So, Mr Metsu, we are clearly not there yet, but we are already far beyond the beginning of this policy period. This is an important operational service. I will therefore continue to follow this dossier closely.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u53	That's a clear answer. Thank you.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u54	Madam Minister, this issue is more acute and important to consider. It is no longer surprising that the local police forces but also the devolved federal police services in the province of Antwerp are facing shortages. Their operation can no longer be guaranteed. People's safety is being compromised. This is not due to the fact that no budgets are available or vacancies are open. In Antwerp, 19 of the 24 police zones are in a difficult situation. Today I read in the newspaper that this is not just the case in Antwerp, but that it is about the whole of Flanders, but not about the whole country. Madam Secretary, are you aware of these poignant deficits? Do you recognise the specific problem and the additional high workload of the province? This is also linked to the priority rules introduced in the previous legislature because there was an acute threat of terrorism at the time. Are you prepared to review the priority rules on mobility so that recruitment campaigns are no longer cancelled? One of your stickhorses is the renewed selection procedure with the police. Everything would go very fast, the lead times would be shorter. Quality would not be lost. Today, however, we hear on the field that there is no success in getting candidates to enter the police schools and the corps in good time and in sufficient numbers. Can you confirm this? What's the cause of that? How well on track are we to recruit 1,600 inspectors who will not make a replacement rate for 2022? Is there currently a large shortage of Dutch-speaking staff on the recruitment service of the DGR? Does this then have a negative impact on the planning of the generic selection procedure? Are there enough people employed in medical services? Previously, we also asked a question about the shortage of occupational physicians for medical checks. Is there sufficient training capacity in police schools? Is the SARA tool sufficiently developed? If not, why not? We often hear great stories here, but reality often overtakes these stories. That is why I hope that we will have a pertinent and intellectually honest answer here.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u55	Mr Metsu, I always try to be intellectually honest. That is absolutely my approach. I have one more question. As regards the recruitment of the 1,600 inspectors, you say that they will not make a replacement rate. What exactly do you mean by that?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u56	Those 1,600 additional inspectors would be added net and would not have been included in the replacement ratio, I understood in the past.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u57	No, I never said that. That also covers the movers, but we hire more inspectors than people leave. I will explain this further in my reply. It is indeed my ambition to recruit at least 1,600 inspectors every year. Last year we achieved that ambition. Then we recruited 1,897 prospective inspectors, the highest number of recruitments ever. As I just said, that also covers the movers. In the past, much less new aspirants were recruited, so the movers were not compensated. With this ratio we have net more than the movers, but that does not always mean that 1 600 net people are added. In 2022, 996 were recruited to date, from which 698 could start their training, because they themselves indicated that they wanted to start the training. These figures provide a similar picture compared to last year's recruitment. From our experience in 2021, we have learned that, mainly in the second half of the year, an application is made for posts with the police. We will continue to work in the coming months to get the number of 1,600 recruits. I read in the newspapers that I would have promised that 3,000 extra people would be recruited, but I never said that. In my policy statement and other statements in the Chamber, I have always talked about 1,600 people. Of course, in addition to these 600 prospective inspectors, security agents, agents, CALog staff, specialised profiles, including for the FGP, and Commissioners are recruited. Saying that we're just telling great stories isn't correct. We're not here yet. I won't say that either. We're only halfway through the year. We must continue to work hard, also because of the situation in the labour market. The police are not the only sector in which we have to look hard for good profiles. We are not without hope that we will be able to get those figures again this year. We are not blind to reality either. There is a tight labour market and therefore we must continue to focus on making a job attractive to the police. That is what we have tried to do with the sectoral agreement in which we also provide for a large increase in remuneration for boarding workers, so that it becomes more attractive for new start-ups to the police. We must also focus on modern, active and creative recruitment, like all employers. That is why we worked on joint recruitment actions in 2021. It has also been proposed to all governors to coordinate a provincial action plan for recruitment to the police forces, possibly together with other emergency services. In this way, people interested in safety professions can be attracted. The governors supported that approach. We are convinced that this local and provincial anchoring can ensure that one in the province can focus on one's own priorities and opportunities. At the same time, it creates a broad support base for recruitment. In the spring there are job days organized in all Flemish provinces. In addition, new partnerships have been established to attract and encourage recruitment, including with Belgian Cycling and the CAPITAL non-profit organisation. Today we must also take account of the success rate. There are some people who do not pass the tests, but they remain necessary. Not everyone has the right capacity to join the police. We absolutely must continue to guarantee the quality of police work. Since September 2021, we have also started with a new recruitment concept, with the main aim of reducing the lead time and also involving the various services in the integrated police. In 2022 we are in a transition year, because there are people in the old recruitment concept and people in the new recruitment concept. Those two are running next to each other now. The people who were attracted to the old system were recruited as a priority at the beginning of this year. Now we are moving more and more to the new system. For the recruitment of the number of candidates, his Recruitment and Selection was already strengthened with psychologists and administrative staff through secondment and external recruitments last year. In addition, the Dutch administration was strengthened. Despite all efforts, the medical service has not yet fully succeeded in attracting all the necessary doctors. A study will be carried out, together with the ULB, to further address this. You asked about the training courses that were cancelled in the police school or couldn't continue. For 2022, this is a single training programme. Four courses have started with less than the maximum number of aspirants. This has to do with the fact that not all aspirants immediately apply for training after they have been selected. This is again a question of supply and demand. It goes without saying that we must avoid this as much as possible, so that schools can continue to organise themselves with a view to the moments of training and so that everyone who has been selected can attend the school as soon as possible. Those people have to sign up for it themselves and start according to their own agenda or their own professional activities, so not immediately. There was also a temporary problem in the screening of candidates through the introduction of the new recruitment concept, which in some cases did not allow them to flow quickly. I can confirm that this problem is now over and that, of course, we will continue to monitor it. We want to eliminate every hiccup in the recruitment concept. We also note that there is a challenge for local recruitment initiatives that we also have. You know that some local areas have asked if they could recruit themselves locally. We have discussed this point several times with the GPI. This was also part of the proposal that we put on the table in the negotiations on the qualitative part of the sectoral agreement. That's where this is being discussed. We can see that there is now a lower occupation than was envisaged in places where recruitment is carried out locally. So we see the same challenge there. As far as I am concerned, it remains of the utmost importance in the future to constantly align with the federal police, the local police and the police schools in order to guarantee the flow to the police schools. As I said at the beginning, I haven't lost all hope of getting those 1,600 new aspirants before this year.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u58	Madam Secretary, first of all, I am pleased that the number of 3,000 is now gone. I read that again this afternoon in the newspaper. Even with all the internal recruitments, promotions and so on, we would never get 3,000 people. We do not need to talk about this anymore. There are very few people here in the room. That makes sense because there are questions on the agenda for the Minister. However, in Parliament there are a lot of mayors and police council members of local police areas. I'm allowed to preside over a well-functioning zone myself. Together with the corps leadership, we have decided to go to a maximum number of recruitments, just to ensure the safety of our citizens. That's one of our spearheads. The vacancies are there, but they're not filled out. We also read in the paper today that there are no candidates. You indicate that there is a shortage of labour in the labour market. I want to believe all that, although I hear there are quite some candidates. However, there are insufficient staff in the recruitment department of the federal police to deal with the applications. So all the candidates are literally lying there in a pile. They lie there waiting to be selected. We must wait for the recruitment staff to be able to do their job. My colleague will also ask the question, but I propose that a split be made between the Dutch-speaking and French-speaking candidates. In the case of the French-speaking candidates, I find there is much less of a problem. Among the Dutch-speaking candidates there is an acute problem. Of course, that's where the shoe pinches. The services also need a fair and comprehensive vision. You're gonna report that, too. You're always trying to give an intellectually honest answer. We do not always agree on the figures. Once again, however, the experts today need a detailed vision. There is a great deal going on in the security landscape, but I do not think that the vision is quite clear yet. We are sitting here in a permanent circle studying, although acute knots need to be cut. Certain solutions are almost obvious. So I'm gonna make another plea. You're already doing this, but keep doing it. Listen very actively to your experience experts and the experts in the field. I hope that we will be able to resolve certain problems very quickly.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u59	Thank you very much, Mr Metsu. The incident is closed. Ladies and gentlemen, my Vice-President, Mr Metsu, reminds me of the need to be present to ask his question when it is scheduled. I think he is right about the letter of the Rules of Procedure. Otherwise it becomes a pigeon house and it is no longer under control. Today I would like to allow it one last time, but in the future I will deal with it a little more strictly. I think it shows respect for the minister and the services...
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u60	I know that, but everyone has an agenda. If everyone's gonna screen their calendars, we're gonna be here in the morning. That's what we're trying to avoid. For today, however, I would like to allow it. Mr Van Langenhove, you have the floor for your question on border controls.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u61	Madam Minister, I refer to the question that has been put. I'm curious how you feel about things.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u62	Mr van Langenhove, whether or not to introduce border controls within the European Union is a Member State's responsibility, but, as you said, it is subject to a set of conditions laid down in the Schengen Borders Code. The national threat level set by the OCAD is not of that order that we could now introduce temporary internal border controls. The threat level for internal security currently does not justify such a drastic measure with a significant impact on the free movement of goods and persons on our territory, based on the information available. The measures taken by the other Member States to which you refer are all based on their own threat analyses and were implemented as such by those Member States, as provided for in the Schengen Borders Code and in line with the Court of Justice. A proposal to amend the Schengen Borders Code is currently under discussion in the relevant Council, particularly at European level. It also concerns the temporary reintroduction of controls at internal borders. As the discussions are still under way, I cannot go into detail on this at the moment, but I am very much in favour of discussing this later.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u63	Madam Minister, I would like to go into that a little bit more in depth today. The extension of the derogation is, in my view, contrary to the judgment of the Court of Justice of the European Union, which pointed out that an extension of border controls for more than six months is, for the same reason, contrary to the Schengen Borders Code and that Member States cannot therefore rely on that exception. However, you will not be surprised that I do not mind at all. My group is very much in favour of border controls, certainly if they can be organised in an efficient, sporadic way. They don't have to have a drastic impact at all, as you say wrongly. If we use high-tech means of introducing border controls sporadicly, at appropriate times, at the right people and in the right places, this will have no drastic impact at all. In this way, we can secure our internal borders and ensure greater security. Criminals, and possibly even wanted terrorists, can be caught with border controls. This has already happened in the past without having to have a drastic impact on border traffic. You have not really stated whether you are in favour of any reform of the Schengen Borders Code, with the exceptions contained therein, so that Member States can introduce border controls more flexibly if they deem it necessary. This can be useful in the future for many reasons. This has already happened in the past because of the coronapandemic, but it can also happen because of terrorism or for important meetings. As you have not gone into this in more detail, perhaps I will put forward a follow-up request.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u64	Madam Minister, the special committee responsible for evaluating legislation and policies on trafficking in human beings and smuggling started a few weeks ago. We received a visit from Patrick Bourgeois of the FGP Brussels, who advocated a processing centre for transmigrants. I quote: "For a while, there has been a processing centre for transmigrants (ACT) where local police could send migrants. We thought that was not a bad idea, but only the administrative aspect. No information was collected or given. We are therefore in favour of an ACT, but with a judicial objective." In the Committee on the Interior, Secretary of State Mahdi recently said that this is primarily your responsibility. Earlier he said that he thinks this is a good idea and that we can count on his support. Minister Van Quickenborne has already indicated this and you have already done so. We have already discussed it several times in committee. You agreed with me that we should use a different term. You said that there would be no immediate need for an additional centre or an additional administrative centre for police duties alone. Everyone seems to agree, however, that such a centre should transcend purely police practice. In addition to Mr Bourgeois, the Committee P also quotes: "There is a need for an integrated policy in the field which will also automatically lead to even better humane treatment of migrants, more efficient and effective judicial or investigative investigations and better motivation within the integrated police to deal with this phenomenon which is sometimes perceived to be insufficiently meaningful." So everyone thinks it's a good idea. Will you now work on such a well-framed centre with, for example, a contact point for the smuggling maggistraat, which was all explained earlier, knowing that the previous centre for transit migration in Steenokkerzeel just failed in part because of the non-integrated concept and limited framework? What timeline will you do that and where?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u65	Mr Segers, a centralised, integrated handling of transmigrants is regularly put forward as the ideal solution. In September 2018, the Administrative Centre for Transmigrants was established in Steenokkerzeel, but it soon turned out that an inefficient way of working did not benefit anyone. On the contrary, it increased the problems already identified by the P Committee in the field. Thus, the organisation of transport to the ACT and the surrender to another handling service led to a very sensitive extension of the already long and labour-intensive processing process. The impact of the ACT on the phenomenon of transmigration, nuisance and insecurity and the underlying criminal networks on human trafficking was also virtually nil, as the facts showed. That's why it was closed, as you pointed out. The phenomenon of transmigration manifests itself most strongly in the province of West Flanders due to its geographical location. However, the introduction of a central facility has not been evident for many reasons for many years, not least the extent of the province and the general spread of the phenomenon. That is why it has been chosen to proceed with a sensitive extension of the Federal Police Intervention Corps. This will enable rapid local support to be offered to those police areas where groups of migrants are found. However, it remains utopian to think that unlimited reception capacity could be available everywhere and at any time, regardless of whether it is local or centralised. For large groups, additional solutions will always have to be sought in solidarity. The DirCo of the federal police can play a role in this, but local authorities can also make a contribution here. The humane treatment of transmigrants is, of course, paramount here.
