ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u1	The Minister of Mobility tells me that he will have to leave us at noon.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u40	Minister, thank you for your answer. Indeed, people who live in rural areas - I do - are generally afraid that the railway line serving their commune or region will disappear on the pretext that it would not be profitable. Fortunately, I have been able to see that significant investments have been made on line 132, which connects Charleroi to Mariembourg in recent years, or even in recent months, whether it is the renewal of the rails and ties or the partial renewal of the signalling system. I have also observed the repair of several works of art or security or other work. I also hear that further work will soon be carried out. What is gratifying is that there is support for the business world. Indeed, I will mention the work of the connection linking quarries to line 132. In any case, I am pleased that the completion of this work reflects the desire to sustain this rural line. Ensuring the transport of passengers while promoting economic development through the transport of goods is essential for this basin of life in the south of the Entre-Sambre-et-Meuse.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u41	Mr Delizée, it is true that I do not have your history on line 132. However, as you mentioned, we met with Mr Gilson yesterday and I was able to tell him about line 132 and the fact that, in recent months, new rumours had come back and been disseminated in the press about the sustainability of this line. However, Mr. Gilson responded that whenever there were problems on some lines - including 132 - the federal government had provided solutions. This confirms what the minister had said at the time - since he had already been questioned about it - about the fact that there would be no closure of lines under this legislature. At this stage, and with respect to line 132, it can be seen in any case that the undertaking is being fulfilled. The details of the resources devoted to it were discussed. Thank you for that. Neither am I a "local" of the stage, but we also have lines that are in a certain state in the region of Huy-Waremme, but I am glad that means are devoted to it. Indeed, I also believe that we need ambition for rail, especially for freight.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u42	Minister, you want to increase the supply of rail transportation. The Council of Ministers has, moreover, decided to commit significant resources to make the necessary investments. However, a few weeks ago, a CSC delegation was present at Mariembourg station - proof that a lot is happening on line 132! - to distribute leaflets and propose to commuters to sign a petition. In fact, the union believes that political ambitions cannot be realized without ensuring sufficient employment and minimum security. In the 2000s, there were approximately 40,000 railway workers in service. The SNCB and Infrabel now have about 28,000 people. During the health crisis, trains had to be removed due to a lack of staff. In addition, some categories of agents even experience difficulties in taking their days of rest. Minister, is there a recruitment campaign underway within these two companies? If so, what are the most sought-after profiles? Are there any difficulties in recruiting staff? If so, what are the reasons for this and what is the intention of SNCB and Infrabel to address it? Is the aim to maintain, increase or decrease the current number of jobs?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u43	Mr Bombled, thank you for asking me about the staff of SNCB and Infrabel, the railway workers who are the soul of our railway companies and who make our trains run safely at all times and under all circumstances and who solve the sometimes difficult problems that arise in such infrastructure. You offer me the opportunity to thank them, as well as those who repaired the network after the floods, those who remained mobilized during the covid and who were sometimes victims of it. I look forward with you to the near-return to normal in the transport offer since the beginning of this month. I am obviously concerned about the staff situation and wish the best in this area for our railway companies. To do this, different ingredients are essential: a vision of the future - that is what we are working on with vision 2040 - and ambition. The government is very clear about this, as we want to double the modal share of rail, both for people and for goods. This ambition must be reflected in the documents under negotiation: the SNCB service contract, the performance contract for Infrabel and the masterplan for freight. All this will lead to more people, more revenue, more goods, and of course we will have to recruit staff. You have to already. Recruitments are under way at the SNCB and Infrabel levels. SNCB has just launched a major recruitment campaign to recruit 1,300 new employees. The vast majority of vacant posts are operational profiles. These are visible trades known as an attendant, a train driver, a station assistant, a station sales agent or a security officer at Securail. There are also less visible jobs such as technician, manoeuvring driver, co-worker preparing trains for departure. At Infrabel, among the most sought-after technical profiles, employees responsible for the maintenance of railway infrastructure, such as maintenance agents, electro-mechanical technicians, mechanics, welders and engineers, are the main contributors. Last week, in Leuven, I attended a meeting between future engineers, Infrabel, SNCB and other railway companies to convince them to work in this beautiful railway sector. To meet this challenge, Infrabel does not spare his efforts and recruitment campaigns are carried out very actively and in a targeted manner. Infrabel organises, for example, in the next few days, day jobs in Denderleeuw and Malines. Nevertheless, the labour market is currently very tense. The shortage of technical labour also affects SNCB and Infrabel. This is especially the case in certain regions, in Flanders, and for certain profiles such as technicians. In these regions and for these profiles, additional efforts are therefore being made, in the form of large-scale recruitment events and communication campaigns. There is also collaboration with organizations such as VDAB, Forem, Actiris and many other actions to increase the flow of candidates. The emphasis is also on internships. To taste the railway is to choose the railway! Mr Bombled, in addition to a vision of the future and ambition, we also need means. In addition to the structural resources of SNCB and Infrabel, more than a billion and a half have been made available for rail since the beginning of the legislature. But future contracts will have to be accompanied by a fiscal trajectory on which I am working very hard. I look forward to your party's support for these necessary means.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u44	Mr President, Minister, thank you for your answer. It is true that companies such as SNCB and Infrabel are constantly recruiting. Just go to their website to find out. Of course, the health crisis prevented most of the job fairs from being organised, which hampered the recruitment campaign. As you pointed out, these fairs can again be organised under different names. I am thinking in particular of the Job days. Indeed, in railway companies, there are a multitude of trades that exist, and it is important to show the skills of railway workers to job seekers. Some trades use state-of-the-art technologies for which SNCB or Infrabel have achieved a high level of expertise. There is also the Infrabel Academy, the Belgian Railway School, whose aim is to be able to fill a large number of technical vacancies. However, as you pointed out, there is a real difficulty in recruitment. I am thinking in particular of technicians. The risk is that at some point, the lack of staff will lead to increased pressure on the incumbents. If this pressure becomes too high, mistakes could be made, endangering the safety of the workplace and, perhaps, the railway user. It is therefore important to continue investing in recruitment campaigns and to empower our railway companies to attract new railway workers. Mr Minister, at any rate, we will remain very attentive to this issue.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u45	Mr President, Minister, SNCB has chosen how it will use €28 million received to improve public accessibility at railway stations. Approximately half of this amount will be spent on digital accessibility projects, while the other half will be spent on upgrading and dock equipment. Mr Minister, apparently only about 15 stations will be the subject of work to make them more accessible. Can you tell me which stations it is? What about the other stations? Should it be inferred that they will remain difficult to access for persons with disabilities?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u46	Mr President, Mr Bombled, the accessibility of rail and rail is another of my priorities that I share with SNCB and Infrabel. Currently, around 75 stations are independently accessible in Belgium. This is the legacy I receive from my predecessors. I'm trying to expand that number of stations. An autonomously accessible station is a station that does not have any obstacles from the entrance of the station until the train climbs from the docks. My ambition is to double the number of stand-alone stations by 2025, i.e. 150 stand-alone stations, to reach 250 stand-alone stations in 2030, i.e. one in two stations in Belgium. To achieve these objectives, budgetary resources have already been made available under the Boost plan financed by the European Recovery Plan. As part of the continuation of the Boost plan funded by the federal government's transition plan following my proposal, 28 new million euros have been allocated to make our trains and stations more accessible in the broad sense. This envelope will be invested in two ways. As you said, about half of this amount will be spent on digital accessibility projects, but also on the development of a new interface and the purchase of sales machines that better meet the needs of people with reduced mobility, including intercoms and audio. The other half, on the other hand, will be dedicated to upgrading and equipping the wharfs. The location of the works will be decided on the basis of the plans for the modernisation of the infrastructure of the network, since each time it is a collaboration between Infrabel and SNCB, each doing its share of work in this complex railway world. Care will be taken to ensure that modernization works do not disturb rail traffic as much as possible. I believe that this accessibility is a condition for making mobility a freedom.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u47	Thank you, Minister, for your answer. It is important to make arrangements to improve accessibility for people with reduced mobility. As you know, everyone has the right to full inclusion in society, including reasonable accommodation. It is also enshrined in the Constitution. Therefore, it seems essential to me to consider all persons with disabilities in the same way. In other words, the improvement of accessibility should not be limited to 15 additional stations. On the contrary – and you have given indications in this direction – the investment must be permanent so that the proposed infrastructure can meet the needs of people with reduced mobility, whether they use the station of a large city or that of a small rural municipality. I would therefore ask you to pay attention to this.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u48	Debates of the European Parliament 55025760C by Mrs Verhaert will be converted into a written question.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u49	Minister, at the meeting of the Consultative Committee on 4 March last, it was decided to switch the coronabarometer to code yellow. As of Monday 7 March, the Covid Safe Ticket disappeared in the hospitality industry and various restrictions for all kinds of events fell. Since the Covid Safe Ticket has fallen away and people are allowed to experience uninhibited sport, culture or other events together and the catering industry no longer has any restrictive measures, it is a little strange that the duty of mouth masking from the age of 12 onwards remains mandatory in public transport. More specifically, I am talking about the duty to mask the mouth on the train.The duty to mask the mouth still applies only in the train, so not in the stations and on the platforms. Train passengers should not wear the mouth mask there. Why are rail passengers from 12 years onwards still obliged to wear a mouth mask on the train? Do you think it is logical that people living in different locations, during various activities or events in the same room or surroundings without a mouth mask should wear the mouth mask on the train? Is there currently excessive pressure on the care sector, in particular on new hospitalisations or inclusion in intensive care due to corona infections? Do you believe that the duty of mouth masking on the train will improve the attractiveness of public transport? Will you take steps to put an end to compulsory oral masking on the train? If so, when and how? If not, why not?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u50	Minister, the corona measures have been relaxed virtually everywhere. Mouth masking is a big exception, because the train still applies. Now it may be that there are reasons for that, but I would like to know them. You were clear on previous parliamentary questions on the subject. You said that SNCB was simply following the advice of the GEMS. The latest GEMS opinion on the subject dates from 28 February and stated that the wearing of a mouth mask on public transport should be maintained until the entry into force of code yellow. By now, code yellow has been applicable for more than 3 weeks, especially since 7 March. Today we are March 30th. I note that in the meantime several other European countries, including neighbouring countries, have abolished oral masking on the train. Why does SNCB go against the advice of the GEMS? Who made that decision and for what reason? Why should today, after reaching code yellow, still wear a mouth mask on the train? If yellow is no longer the criterion for abolition, then what is it? What route are you taking today?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u51	Mr Roggeman, Mr Toventos, on 4 March the Consultative Committee confirmed the transition to code yellow, synonymous with a return to a daily life as good as normal. That is a good thing. No more mouth mask in school, no more CST use. This has always been my creed: not a day longer than strictly necessary. We must now learn to live with covid instead of putting daily life on hold. As far as the figures on non-wearing of the mouth mask are concerned, I refer you to the monthly reports delivered to the committee on the basis of the pandemic law. My latest report shows that 34 pvs were drawn up between 28 January and 24 February to avoid wearing the mouth mask. For the period from 24 February to 25 March, SNCB informs me that Securail has prepared 18 pvs for the non-wearing of the mouth mask. SNCB tries to communicate as well as possible about the importance of the mouth mask and will continue to do so as long as it is asked to do so. Since the beginning of the health crisis, SNCB has followed all the safety measures imposed on it. She will continue to do so. The trains are still thoroughly cleaned and disinfected on a regular basis with special attention to the steering stations, the space reserved for the train guide, and sensitive areas such as pushbuttons, railings, doorknobs, tables and toilets. The air is completely refreshed in all trains every ten minutes, as recommended by the High Health Council. Air treatment systems shall be maintained regularly and the filter elements replaced. Trains are thoroughly cleaned at regular intervals, avoiding dust accumulation in the air distribution system. The presence of CO2 varies greatly according to the movements of passengers, such as exiting and opening the doors. Therefore there are no systematic CO2 measurements, but the tests you cite are positive for confidence. Trains do not appear to be hotbeds of contamination and passengers are safe from a health point of view. The change to code yellow does indeed mean the end of compulsory teleworking. Together with SNCB, we are doing all we can to get people back on the train, while also ensuring sanitary safety. In the meantime, the occupation of the trains is also moving in the right direction. In the week from 14 to 18 March, the global occupation was 79% compared to the same week in 2019. The Consultative Committee with the various governments, including the Flemish Government, Mr Roggeman, has decided to maintain the oral mask obligation from the age of 12 on public transport, i.e. bus, (pre) metro, tram and train. The Royal Decree of 15 March 2022 regulates the obligation to wear the mouth mask on trains to limit the spread of the coronavirus, which will soon enter into force retroactively. On 10 March 2022, I implemented the decision of the Consultation Committee of 4 March. The KB does not go against the GEMS's advice, quite the contrary. At the time when the GEMS issued an opinion, the threshold for colour code yellow had not yet been reached for the daily hospitalisation indicator, while the IC-load indicator reached the threshold for code yellow on 22 February. The GEMS has recommended that the masks in public transport be maintained until both formal thresholds for code yellow have been reached, which has not yet been the case. Together with the experts, we will then re-evaluate the health situation. The current situation will be examined on the basis of developments. For example, the Consultation Committee will decide to lift the obligation to wear a mouth mask in public transport or to retain the obligation for a while. The aim is to protect the most vulnerable among us in a place where it is sometimes a little busy. I am also in close consultation with my regional colleagues, as always, with regard to oral masking in public transport. We agree that an obligation or recommendation to wear a mouth mask in public transport must be applied uniformly throughout the country, but not a day longer than is strictly necessary.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u52	Thank you, Minister, for your very comprehensive and long answer. Mr Roggeman and I have just asked what the decision is based on continuing to require mouth masks on the train. The reason I have not been able to understand with the best will in the world from your answer, which I have listened carefully. That remains a question for me. I still don't see the logic. People coming together in the living room, people meeting at sports events, people visiting cultural events together, people going to the cinema together, people playing sports, cards or concerts and festivals, and people sitting in the car together, can do all that without a mouth mask. However, where the same persons are required to sit on the same train, the covid alarm shall be used and mouth masks shall be worn without delay, even if they are safely at the window during a train journey to the sea. Maybe the same people are on the train half an hour after their train ride together again without a mouth mask in the same poorly ventilated office space. I am therefore completely unaware of the logic. The duty of masking on the train is illogical. Take an example to your colleagues in the Netherlands, where the mouth mask obligation on the train has been abolished. This would improve the comfort of rail passengers and perhaps the occupancy rates of the trains and the revenue of SNCB. I've heard you explain that trains are not hotbeds of contamination. By doing so, you yourself indicate that the duty of masking is simply illogical. That is why I am free to table a motion for a recommendation for the abolition of oral masking on the train.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u53	Thank you, Minister, for your reply. SNCB is indeed following the measures imposed on it by the government. I have heard from you today two criteria for abolishing oral masking: firstly, the introduction of code yellow, which has been in force for several weeks now, and secondly, the threshold values for hospitalisations. I look forward to that, first of all, of course, in the interests of the patients themselves. I note, however, that, despite these criteria, you are still holding up a political battle. I hope that, when we dive below the threshold of hospitalisations, we will be able to effectively abolish the duty of masking and that the temporary measure will not slip into permanent public transport.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u54	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion for a recommendation was tabled by Mr Frank Toventors and reads as follows: "The Chamber, heard the interplay of Mr Frank Toventors and the reply of the Deputy Prime Minister and Minister for Mobility, - considering the government's mobility plans to lead more people to the use of the train; - considering the importance of the comfort aspect in promoting the use of the train, - the abolition of oral masking in hotels, sports, culture and all kinds of events; - whereas the duty of mouth mask is not compulsory in stations and on platforms, - considering that teleworking is no longer compulsory, so that people also work together and without a mouth mask on the work floor; - considering that there is currently no excessive pressure on the care sector, hospitals or intensive care departments; - considering that there is no longer an epidemic emergency; - considering the high vaccination rate among the population, asks the government immediately take the necessary measures to abolish the duty of mouth masking on trains so that passengers can move in a comfortable way." A motion for recommendation was tabled by Mr. Frank Troosters and reads as follows: "The Chamber, ayant entendu l'interpellation de M. Frank Toventors and the response of the Deputy Prime Minister and Minister for Mobility, - in view of the government's mobility plans to encourage more of our citizens to use the train; - in view of the importance of the comfort aspect in promoting the use of the train; - in the light of the abolition of the requirement to wear masks in the sectors of the Horeca, sport, culture and at all kinds of events; - Whereas the wearing of the mask is not compulsory at stations and on docks; - in view of the fact that telework is no longer compulsory, so that workers can again interact without a mask at the workplace; - in view of the fact that there is currently moderate pressure on the care sector, hospitals or intensive care units; - in view of the fact that there is no longer a question of an epidemic emergency; - in view of the high rate of vaccination among the population; asks the government to take immediately the necessary steps to remove the requirement to wear the mask on trains so that passengers can move comfortably." A simple motion was tabled by Mr Nicolas Parent. A simple motion was tabled by Mr. Nicolas Parent. The motions will be voted on later. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u55	Mr Minister, in carrying out his supervisory mission and taking into account the results of a previous review, the P Committee decided to launch a monitoring inquiry into the way in which security services, such as the SNCB security service, give effect to the powers conferred on them, in particular as regards the powers governing the use of force and force. Research was also carried out into how any complaints that might have resulted in this could be dealt with and dealt with. That was a rolling investigation between 2018 and 2021. The report on that research is very interesting and comprehensive. In summary, several findings emerged from the investigation. For example, the current uniform is perceived by the security officers as inappropriate. Problems arise in the implementation of identity checks and in the exercise of the right of opinion. There are uncertainties in the implementation of a security check and in the use of handcuffs. With regard to the use of pepper spray as a defence, the legislative framework is restrictive. There are also problems with the use of dogs. Furthermore, the quality of some of the planned training courses is inadequate. Cooperation between Securail and the police is not always optimal either. Finally, the complaint procedure is flawed. Mr Minister, are you aware of the content of the said report? I suppose so. How do you assess the pain and working points cited in the report? What measures will you take in the short term to respond to the comments made and the recommendations listed in the report? At what time will that happen?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u56	Mr Toventos, I attach great importance to the safety of passengers and all railway workers. This is a necessary condition to ensure and increase the attractiveness of the train. I therefore support and encourage all measures that contribute to improving that security. I therefore consider it important to discuss this with you and your colleagues in committee. We also have the opportunity to do so on a regular basis. Together with the experts of my cabinet, I have taken careful note of the report of the P Committee and its findings and recommendations. In any case, I think it is essential that there is a clear framework within which Securail operates and that the service has the appropriate means to perform its tasks properly. I take this opportunity to express once again my appreciation for the work of the staff of Securail, which makes an important contribution to the safety of passengers and train staff. First of all, I would like to remind you that I recently asked for an opinion from the Private Security Advisory Council to assess the adequacy of the division of tasks between the police and private security services, as well as the adequacy of the legislation on the operational framework for Securail agents, their defence and their uniforms. I would like to await that opinion before taking any initiatives, together with the Minister for the Interior. I repeat that security officers such as the staff of Securail are responsible for security, but they do not have a police officer's statute. The division of tasks between the police forces and Securail is the subject of discussions with the cabinet of the Minister for the Interior, which I regularly give the necessary impetus to. I refer in particular to the ongoing discussions in connection with the revision of the Duquesne letter. The aspect of training is also part of the bilateral talks. I would also point out that a reorganisation of Securail has been under way since the beginning of this year. This reorganisation took place after extensive discussions between the management of SNCB and representatives of the trade unions in December. The tasks of Securail and rail safety in the broad sense are an essential part of the ongoing negotiations with SNCB on the new public service contract. New recruitments are provided for in function of that contract description. The equipment of the Securail agents is subject to periodic renewal. Certain equipment must comply with the conditions laid down by the Law regulating private and special safety. The choice of new equipment models is discussed in the occupational prevention and protection committees and gives rise to the implementation of tests on the ground with a panel of agents. That's what happens for the bulletproof vests, for example. The vast majority of the Committee P's recommendations are addressed to my colleague from the Interior, Mrs Verlinden. I also note that most of them are in line with the issues that the security services want to raise in the Private Security Association (PSA) in the Private Security Advisory Council. The limited number of recommendations addressed directly to SNCB, such as the introduction of a complaint management process, have already been implemented or are currently being analysed for further implementation. As far as the complaints procedure is concerned, I can tell you that there is a rigorous system for monitoring complaints. They are centralised within SNCB because they enter via different channels: Ombudsman, customer service, legal services or direct complaints via the address of the Corporate Security service. The complaints concerning Securail will in any event be dealt with by the Corporate Security Service which provides the person who lodged the complaint with a reply. The measures which SNCB can take in the short term have already been taken. This is the case, for example, with the recommendations on cooperation with police forces. The multidisciplinary working group of the Private Security Advisory Council seems to be the ideal forum for this. In addition, I refer to the discussions we had last month in this committee on train safety and the introduction of a discreet reporting system by WhatsApp or SMS for passengers who feel unsafe on the train. The development of this application is given priority within SNCB. Other measures include prevention campaigns, extra patrols of Securail and cameras on new trains. On the other hand, I believe that the recommendation for greater uniformity between the security services and more distinction between the services and the surveillance sector could already be followed. This subject was also discussed with the Home Office. I hope that all the recommendations will be responded to as soon as possible and that this year will take place in the interests of rail passengers and staff and their safety. However, as has already been said, most of it is addressed to the Minister for the Interior.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u57	Thank you, Minister, for the comprehensive answer. However, I remain hungry. Advice has been requested, but we are waiting for that advice to be taken. It looks at the reorganisation of Securail. I refer to page 6 of the report, which shows that this reorganisation is not going so fast. It's about that sideways, though. You say the recommendations are being analysed. However, the problem of increasing violence and increasing crime within the railways has been on the increase for a long time. I have often talked about sexual or other forms of intimidation, verbal or physical aggression, phenomena such as black riding or vandalism, etc. I am very pleased with the work of the Standing Committee on Police Supervision. The monitoring investigation is very close to the mark and shows that the numerous initiatives that my party has already taken on this matter are more than justified and appropriate. On several occasions we have talked about the shortage of manpower, both at Securail and the railway police. I even tabled a motion for a resolution on Securail. The limited powers and defences of SNCB's security agents, the administrative procedures and the failing cooperation between the agents of Securail and the agents of the Railway Police and the need for more and better training are all not new. There is no serious and well thought-out, adequate policy in this area, with the necessary measures to ensure that rail passengers and railway staff can feel safe again both on the train and on the platforms and at the stations. In fact, it is your job as Minister of Mobility to work with your colleagues in the Interior and Justice to ensure that the fear changes. The perpetrators of acts of violence, the criminals must be caught and then punished severely and effectively. That's why I used to preach with Flemish Interest in the desert every time we sued new facts and asked for measures. Apart from the well-known triads of played indignation, expressing compassion and announcing half-measures, what has happened now and what is constantly to be waited for, very little happened and we dragged ourselves from incident to incident. All this makes me lose more and more trust. That is why I have tabled a motion of recommendation in response to the results and recommendations of the monitoring investigation of the Standing Committee on the Supervision of Police Services. I ask the government to take immediate and in consultation with the relevant actors the recommendations of the P Committee's monitoring report and to take immediate additional measures to improve cooperation between the SNCB security service and the police. Finally, I would also like to ask for additional measures which will give the Securail service more power.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u58	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion for a recommendation was tabled by Mr Frank Toventors and reads as follows: "The Chamber, heard the interplay of Mr Frank Toventors and the reply of the Deputy Prime Minister and Minister for Mobility, - considering the government's mobility ambitions to encourage more people to take the train; - considering the importance of a sound and decisive safety policy in the rail sector to ensure the safety of both rail passengers and SNCB personnel; - considering the increasing extent to which facts of sexual or other harassment, black-driving, vandalism and physical and/or verbal aggression occur within the track; - considering the problems and concerns already raised by Securail personnel in the past; - considering the long-standing shortages within the staff framework of the Railway Police; asks the government - to take into account immediately and in consultation with the relevant actors the recommendations contained in the monitoring report of the Standing Committee on the Supervision of Police Services; - take additional and immediate measures to improve cooperation between the SNCB security service and the police forces; - take additional measures to increase the effectiveness of the Securail service.' A motion for recommendation was tabled by Mr. Frank Troosters and reads as follows: "The Chamber, ayant entendu l'interpellation de M. Frank Toventors and the response of the Deputy Prime Minister and Minister for Mobility, - in view of the government's ambitions in terms of mobility, in particular encouraging more of our citizens to take the train; - in view of the importance of an effective and firm safety policy in the rail sector, in order to ensure the safety of both rail users and SNCB personnel; - in view of the increase in the number of cases of sexual and other harassment, restlessness, vandalism and physical and/or verbal assault in the railway sphere; - in view of the problems and concerns that the personnel of Securail have already reported in the past; - in view of the long-standing shortcomings within the framework of railway police personnel; asks the government - to implement immediately and in consultation with the relevant actors the recommendations made in the monitoring report of the Standing Committee on the Supervision of Police Services; - to take immediate steps to improve cooperation between the SNCB security service and the police services; - to take additional measures to increase the power of action of the Securail service." A simple motion was tabled by Mr Nicolas Parent. A simple motion was tabled by Mr. Nicolas Parent. The motions will be voted on later. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u59	Question No 55025817C by Mrs Mélissa Hanus is transformed into a written question, as is Question No 55025838C and Question No 55025839C by Mr Josy Arens.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u60	Mr President, Minister, the Franco-Belgian train line linking Tournai to Lille is used by many users, particularly because of its border situation and the presence on its way of the Institut Saint-Luc, a school frequented by many French students. These users decided to launch a petition deploring the quality of the service of railway line 94, which would be punctuated by a multitude of delays and train deletions, after a long period of work during which this line had been blocked. This petition, which brings together some 400 signatures, is addressed to the services of SNCB as well as to the services of SNCF. It aims to request that consistent train schedules be restored to the arrival and exit times of students and that measures be taken to ensure the quality of the line. Minister, what are your intentions in response to the requests of the users who signed this petition? Is there a plan to improve our train network for the Tournai-Lille line? More broadly, is monitoring carried out in collaboration with our neighbours on the quality of our cross-border railway lines?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u61	Mr Senesael, SNCB informs me that, from November to December 2021 and following extensive work on the French rail network, trains between Lille and Tournai were replaced by buses. At the end of the work, the trains were put back into service with a temporary adaptation of the timetables due to a prescribed slow-down at the level of the work carried out. The slowdown has led to a four-minute schedule adjustment, which can make a big difference. This slowdown was lifted in early January. Since then, the usual hours have been restored. In addition, in recent weeks, the Lille-Tournai line has been heavily affected by the lack of SNCF personnel affected by the covid pandemic. Operational agreements provide for assistance from SNCB staff in the event of a failure on the French side. This assistance was limited by the difficulties encountered on the SNCB side for these same reasons and by the technical specificity (the fact of driving on two networks of the service which reduces the staff with the ad hoc competence). Nevertheless, since the end of February, the situation has gradually normalised. A steering committee composed of the two railway companies is responsible for monitoring these services and analysing the measures to be taken to improve the quality of the offer. The work done on the line inevitably causes temporary inconveniences which I hope will be as short as possible. This is also the philosophy of the network manager, Infrabel. I was able to go to Tournai last November to visit the titanic works of complete renewal of the line between Tournai and Mouscron. I realize that the concomitant work from Tournai to Lille and Mouscron may have undermined the patience of the Tournaisis commuters. I would like to thank them for their patience because this work is essential for strengthening and improving the rail network. I have no doubt that, since then, they have enjoyed having a completely refurbished infrastructure since it was the will to do so and that is why the traffic has been interrupted for many months. We now have a line that is there for decades and that I fear, Mr Senesael, will survive us.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u62	Minister, thank you for the explanation of your answer. As I am from Estaimpuis, which is located on the Mouscron-Tournai line, I can confirm the work that has been undertaken and the quality of these. However, this obviously disturbed the users, especially the Froyennes stop, considered for the Institut Saint-Luc in Tournai. Like you, I wish that all this will be part of the past and that the future will be brighter.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u63	Minister, thank you, this concludes our question-and-answer session. We will set a future date to deal with the issues that could not be raised today.
