ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u1	Ladies and gentlemen, Minister, we have until 2 p.m. today to answer questions.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u42	Madame Minister, a number of municipal councils in Flemish Brabant, including those of Machelen and Beersel, have approved a motion, which goes beyond the limits of majority and opposition, on the shortage of police personnel. The motion, which your cabinet will undoubtedly have received, calls on the federal government to take immediate action. The municipalities in the arrondissement of Halle-Vilvoorde experience increasing urban pressure from Brussels. There is not only the increase in population, Halle-Vilvoorde also has more and more to do with urban crime phenomena that blow over from Brussels, problems of public order and enforcement and so on. The thirteen Chiefs of Staff of Halle-Vilvoorde have also written an open letter to you about this. I know there has already been a certain consultation, but what is the current state of the discussion between your cabinet and the police chiefs involved? What's the further timing? When will concrete action be taken on their concerns? In your opinion, should anything change the way the local police areas in Halle-Vilvoorde receive their dotation? In that respect, I refer to the parameters. The criteria for funding police areas are, moreover, examined more generally in the States-General of the Police. One can take the criterion of the number of policemen against the number of inhabitants, the criterion of the ground area or the criterion of the crime rates in a given zone. These are all factors that can play a role. However, it should be noted that the current figures and the current parameters show a large difference in the number of police officers calculated according to the number of residents in Brussels and Halle-Vilvoorde. There is a certain distortion, which creates competition between the Brussels and the Flemish Brabant corps. Will you revisit that? If so, at what time? How could the competition between Brussels and the Flemish Brabant corps be neutralized?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u43	Mr Depoostere, I have already informed your colleagues Moyaers, Vandenput and Goethals in this committee that I immediately had a virtual consultation with them and with the mayors of the Halle-Vilvoorde arrondissement on 4 April after receiving that open letter from the 13 Chiefs. At that time, according to my appreciation, we discussed in detail and openly the various themes and possible solutions, both at local and supralocal level and at federal level. Of course, there is no consensus on what these solutions can be. That is what we must continue the debate on. These themes include staff themes, recruitment, selection, activation measures in absenteeism, police operation, organisation and funding. Finally, it is my goal to explore with such conversations, including with other services and actors, how local authorities and the federal government can contribute to optimally functioning healthy local and federal police services. I experienced the meeting with the chiefs and the mayors as constructive. It is my intention in the autumn to follow up again with the mayors and police chiefs concerned the situation of the police zones, as well as the results of certain measures and the state of play. As I said earlier, you know this, because you referred to the fact that, 20 years after the police reform, I would like to enter into the debate on the revision of the funding of local police. You have undoubtedly also followed the hearings in committee on this issue. The problem is, of course, not new. You now appeal to me, but many of the predecessors were faced with similar questions about this revision or the application of the KUL standard. Apparently, that's not a simple matter. It was already discussed during the hearings, and I am convinced that transparent and simplified funding of the local police forces is insisting. That is precisely why we have set up the multidisciplinary committee for funding and optimal scale. In this exercise, attention is also paid to the basic functions of the police. It is intended that this working group will complete its work this summer so that these recommendations can be submitted to the members of the multidisciplinary committee. In view of the ongoing work of this committee and of the working group on basic functionalities, it is still too early to give my opinion on this. However, some issues are already on the agenda. The scale is important. I just heard what was being said about the financing of the local areas. That also has to do with scale. The requirements that we are asking the police today are that they should have a reasonable size in order to provide an answer. I also believe that not only criteria such as population, territorial size or crime should be taken into account, there are other socio-economic or geographical factors that can play a role, such as the presence of a penitentiary institution, a psychiatric facility or a football stadium, the amount of tourists present at a given time, etc. So I do not think it is feasible or realistic to find the key to financing in a single criterion, such as territorial expanse or population. I understand that the Flemish Rand, especially the police zones adjacent to the Brussels-Capital Region, has to do with the expanding and moving phenomena peculiar to the complex agglomeration and society. This is not only the case for the Brussels border, but also for other areas. Even in the most rural areas there is talk of urban or metropolitan problems. There are few zones that say today that they get money too much. Thinking about it with a closed envelope is, of course, a challenge. On the other hand, it is important to check and clarify whether the claim is correct that the Flemish Rand loses candidates to the Brussels police zones because of the statutory contributions, since the Brussels police zones attract hardly any Dutch-speaking candidates. Unlike the French-speaking candidates, Dutch-speaking candidates, regardless of the region, continue to be more difficult in general. This is, of course, also linked to the pressure on the labour market. My cabinet naturally follows, I would say, the situation in the police areas in Halle-Vilvoorde. As I said, a follow-up meeting is scheduled in the autumn.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u44	Madam Secretary, I would like to make an appeal. Apparently the water is on the lips of the congregations and the chiefs of police in Halle-Vilvoorde, otherwise they would not write an open letter. It means that things have to be done. The motions approved across the boundaries of majority and opposition are also an important signal in municipal councils. Madam Secretary, I would urge you not to wait too long for the results of the States-General or the interdisciplinary working group. For some zones one can make an exception. A pilot project could then be set up there. Many proposals have been put forward, including by the Chiefs of Police, who have found each other in them and share ideas and suggestions for action. I hope that the discussions with you will also be managed properly for the rest and that they will produce concrete results. You doubt the progress of police officers in Halle-Vilvoorde to Brussels because of the premiums. I'm told the opposite. I do not have the figures with me, and I do not want to make it a figure fetishism either, but I am told a different story, namely that it is an aspect which deserves attention and which apparently requires a solution. Thank you very much for doing what is necessary in this area.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u45	Madam Minister, I refer to the text of my question as tabled.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u46	Mr Depoorter, on the basis of the information I have at my disposal today, I can inform you that no routers or other network material of the Huawei brand are currently being used or purchased at the Home Office. Only for telephony there are some mobile phones of that brand in circulation. The crisis centre has no Wi-Fi or ICT components or cameras or badge systems of Chinese or non-European origin. Also the OCAD has no Wi-Fi routers of the brand Huawei. According to the information for which the federal police have central control, she doesn't use Huawei material. As for your questions about foreign espionage and interference, a competence of the intelligence services, I would suggest that you address those questions to the relevant Ministers of Justice and Defence.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u47	Madam Secretary, thank you for your reply.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u48	Madam Minister, you will probably, like me, have read the latest annual report from Police Watch. The findings contained in the report are intriguing. Of the victims of violations of integrity by members of the police force, only 29% file complaints. Police Watch notes that a large number of victims end up giving up on the complexity of the process; 35 per cent of those who renounce to file complaints say they do not do so for fear of reprisals, while 27 per cent believe that it will be of no use. Overall, the lack of confidence in existing complaint mechanisms accounts for 62% of non-complaints. Police Watch advocates for more accessible, effective and independent complaint mechanisms, including the possibility of filing a complaint online. I would like to hear your response to this report, Minister. Do you agree with the observation that the complaint process for violations of integrity within the police force is too complex and likely to discourage the filing of complaints by victims?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u49	Mr Boukili, I agree with the findings of the Police Watch report, which argues for more accessible, effective and independent complaint mechanisms, as well as for the importance of being able to file a complaint online. The integrated police service meets these requirements as citizens have several possibilities to file a complaint for violations of integrity by police services, including through the internal control services of each police zone or federal unit via the Inspectorate General (AIG) or the P Committee. With regard to the Federal Police, this can also be done via the complaint form available on the Internet, which contains all the useful information on the possibility for a citizen to file a complaint about an intervention or contact with the police services. I am aware that improving accessibility and confidence in complaint mechanisms is a constant focus of attention. This is why the federal police included the development of client-oriented complaint management as a strategic objective in the Federal Police Integrity Policy Note. This objective is specified by means of five operational points. Attention is drawn to the increased visibility and availability of the Single Window of Complaints for citizens, the registration of complaints, the processing time and qualitative follow-up of complaints, constructive relations with the supervisory bodies and Unia, as well as the reporting in the form of an annual report with recommendations.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u50	Madam Minister, thank you for your answer. I am pleased that we share the same view on these conclusions. I am also happy to hear the points made to deal with this problem, which must be taken very seriously. We all believe that respect for the integrity of the police is fundamental, whether it is with regard to the victims or within the police, where police officers have sometimes wanted to report violations of integrity by colleagues and have been subjected to reprisals. As a result, they avoid doing it again afterwards. Let's try to give them the means to be tranquillized. We have tabled a bill to put in place a green line that could be used anonymously and handled by Committee P. This would establish a relationship of trust between the police and the citizen, but also within the police among colleagues and put pressure on all these people within the police who would not abide by the integrity rules. I therefore hope that, when this proposal comes to the table, you will support it, given that we share the same view on the conclusions, and that we can make progress on this subject.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u51	Mr. Parent, the Internal CPS is currently evaluating the report of Committee P. However, I can already state that the legislation regulating private and particular security does not prevent the two security services interviewed from considering and implementing the majority of the recommendations drafted by Committee P in order to improve the exercise of their powers. One issue highlighted in the investigation, however, is the finding that security officers do not have sufficient knowledge of their skills, use them in the wrong way or create confusion among citizens about their real skills because of the practice of identifying themselves as judicial police in their activities as security officers. The repeated position of Committee P on this last point is very clear. The identification of security officers in this capacity by means other than the identification card issued by the Inland FPS should be avoided, especially with regard to persons and passengers who are not familiar with such terminology and may not be able to properly estimate its scope. With regard to the lack of knowledge or practical skills, it is primarily for the security services to provide and develop solutions in accordance with the legal framework. My administration will ask the relevant security services how they take or plan to take action to comply with the relevant recommendations of the report. The revision of the Duquesne Circular is part of the rail police specialization file. I had asked the federal police to present me with a project validated by the Standing Committee on Local Police. A consensus on this integrated project has now been reached on the concept of specialization, but a final point on the provision of SNCB video surveillance images for the benefit of police areas is still under consideration. Various meetings are expected to take place during the summer on this subject.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u52	Madam Minister, thank you for the status of the matter. This allows us to see that things are moving forward and on track. As you know, this sharing of skills between the railway police and Securail is a fundamental subject for strengthening rail safety. I am therefore pleased that the file is moving forward because if we want more people on the rail, we need to strengthen safety for both passengers and staff. There is also a strong expectation from the Securail staff to provide clarity in the definition of their missions. I would therefore like to give you an appointment at the end of the summer to take stock with you of the development of this issue. Thank you already for the interim answer.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u53	Minister, in early May, an attack on a rare violence occurred in the middle of the afternoon in downtown Tournai. Individuals, members of the Hell's Angels biker group, hammered members of the rival Bandidos. I assure you! It wasn't filming a movie! In recent years, a number of debates have already taken place with your predecessors in our assembly on the issue of violent biker gangs. Parliamentary debates on both the misdemeanours, traffickings and even murders committed by the latter, and the alleged or established membership of certain public officials in the latter. These gangs represent a major danger to our rule of law, which we must protect with respect for fundamental freedoms. Minister, at the integrated police level, are there specific guidelines for these violent biker gangs both to combat their harms and to monitor and monitor them? In collaboration with your colleague from the Department of Justice and State Security, do you envisage new directives, or even new legislative measures, to better follow these violent gangs, the people who belong to them; or even proactively, without obviously affecting freedom of association? In this context, is a reflection carried out in collaboration with our neighbouring countries?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u54	Mr.Senesael, the guidelines for the follow-up of criminal motorcycle gangs are included in Confidential COL 6/2009. The DJSOC Central Management Highsider Service is responsible for monitoring criminal biker gangs that meet the definition of this circular. Within the Federal Police, the DAO is also in charge of the administrative police follow-up of the motorcycle clubs included in the ministerial list; this is based on the MFO-3. COL 6/2009 is currently under review. It will place greater emphasis on the common approach of the judicial and administrative police. In this sense, it is a new directive aimed not only at taking proactive measures to prevent the establishment and expansion of this grouping, but also at involving a more uniform policy of prosecution. However, new legislative measures are not envisaged. In the fight against criminal biker gangs, collaboration exists between neighbouring countries. Experts exchange data on the phenomenon and discuss common paths. However, the policy in the Netherlands and Germany on the civil ban on bikers' gangs is not a solution chosen by Belgian experts, as it makes it almost impossible to follow up the people who belong to them, and hence the phenomenon. The assessment of this measure by the experts from the countries concerned is not positive. Although they are less visible to the citizen, the members of the targeted biker clubs are still well present and still commit misdemeanours. I hope I've given you enough information with my answers.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u55	Minister, thank you for your response.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u56	Question No 1, by Mr De Pasquale (H-l 55028658C by Mr Delizée, 55028805C, 55028806C, 55028807C and 55028808C by Mr Senesael, 55028826C by Mrs Goethals and 55028859C by Mr Moyaers were postponed to another meeting.
