ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u1	Mrs Muylle and Mr Bacquelaine apologize. Their questions therefore become without object.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u26	Currently, the number of Ukrainian patients currently admitted to Belgian hospitals is still very limited. In the coming period, more patients could be accommodated through the European Medical Evacuation Mechanism. Various hospitals and physician associations have indicated their interest in contributing to the care of these patients, which is to be welcomed. Refugees from Ukraine, under temporary protection status, are in insurable from the moment they register in Ukraine. This therefore immediately opens up the right to insured health care. However, some hospitals and health-care providers appear not to be automatically able to account for health-care benefits. Indeed, every refugee is required, after obtaining his or her visa, to join a mutual fund. On the ground, it is found that a number of refugees are in fact not in insurable order and that therefore the hospital or claimant cannot charge for the services performed, not knowing to which mutual address the invoice. It seems, moreover, very difficult to find Ukrainian patients after their consultation, as they often do not yet have a telephone number or a fixed address. Minister, have the hospital federations ever told you about this problem in terms of billing? Have any specific information been provided to hospitals in this context? Are solutions being considered? Could an automatic membership of CAAMI be considered? Can you communicate the number of Ukrainian refugees who have been or have been taken care of by our hospitals in both hospital and outpatient settings? What measures have been taken to ensure optimal management of health care for these refugees?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u27	Mr. Chairman, Mrs. H annoyance had tabled a question. She can't be there. I would like, without going into the details of her privacy, to wink at her and tell her all my support today in the moments she lives. Minister, to follow the Migration Committee with your colleague Mahdi – I am very interested in the issue of Ukrainian migrants – I would like to ask questions other than those asked by my colleagues. Before being migrants, namely refugees, what defines these Ukrainian people, is the war situation that everyone knows here. Physical, psychological shocks, physical violence, torture, gender-related violence, mourning of relatives, imprisonment, exposure to horrific scenes, the list is unfortunately long of what characterizes a refugee. But beyond these direct consequences of the war, there is a whole series of post-traumatic shocks that are unfortunately quite common in this category of audiences, namely anxiety, post-traumatic stress disorder, depressions, and even suicides, which has been referenced in particular by Médecins du Monde and Médecins Sans Frontières on the psychological aspect. There is, however, a mental health care staff in these refugee populations who could eventually also help their colleagues here in this reception and psychological follow-up of people in distress from Ukraine. My first question is the following. Would it be possible to envisage a mechanism that would allow access to the profession of these Ukrainian people more quickly? With regard to the specificity of Ukrainian women, since most Ukrainian refugees are known to be Ukrainians, 70 per cent of the 39,500 refugees registered in Belgium are women. Particular attention will be paid to this category of refugees, in particular in terms of access to gynaecological consultations, for example. I know that work is being done with your colleague Mrs Schlitz in terms of risk and attention to victims of trafficking and trafficking in human beings from Ukraine. I think these are cross-cutting issues in many of your jurisdictions within the government. These were the two questions I wanted to ask in addition to those of my colleagues.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u28	Mr President, ladies and gentlemen, I will give an integrated answer with a specific explanation of the questions put by Mr Prévot and Mrs Depoter. Through its circular 2022/91 of 15 March, RIZIV confirmed the right to medical benefits in kind for displaced persons from Ukraine. Registration with the sickness fund shall take effect retroactively from the first day of the quarter in which the refugee registers his arrival in Belgium. When registering with a sickness fund, we assume that refugees currently have no income. Ukrainian refugees are therefore entitled to an increased allowance once they are registered. I would therefore like to reply immediately to the questions that have been raised about the budgetary provision. This is, of course, open-ended financing. That makes sense, too. That is also true for Belgians or residents of our country who enjoy our health insurance. People get refunds and compensations according to their needs. That's not a closed budget. We will fully integrate these people into health insurance in an open budgetary approach, and we also assume that they are primarily people who are entitled to the increased compensation. Mr. Prévot noted practical problems that were real. To be precise, I will answer you in Dutch. Don't blame me, Mr. Prévot. I am aware of the practical problems arising from the invoicing of care provided when people concerned have not yet been able to register with a sickness fund. On the one hand, the principle that the right should be opened from the first day of the quarter in which the registration took place, but I also insisted that a technical solution should be developed by the Foreign Affairs Office to assign a national register number at the time of registration on the Heizel, or a BIS number which, when registered in the municipality, automatically turns into a national register number. At the same time, the RIZIV consults with the Foreign Affairs Office and with the sickness funds on a concrete approach to organising registration with a sickness fund on the occasion of registration at the Heizel. There is a willingness in principle among the sickness funds to do so, but this remains to be worked out in practice. I believe that this is an answer to the problems you have raised, Mr Prévot. If we can do all this, the practical difficulties should be solved immediately. There was also a demand for hospital capacity, including Mrs Vanpeborgh. I can confirm that an initial capacity of 150 Belgian hospitalization beds has indeed been made available. That is about 10% of the capacity to be reserved in the wake phase in our general hospitals and university hospitals in the number of beds for covid patients. That number can, of course, evolve, if necessary, and is therefore not a permanent closed situation. The Hospital & Transport Surge Capacity Committee is closely monitoring the situation within hospitals every day and is also closely involved in this dossier to ensure that the burden within our hospitals is properly spread and that hospitals are able to deal with it in an acceptable manner. We register federally in the European support mechanism and actively cooperate within the European procedures, in particular within the "Standard Operation Procedure for Allocating Ukrainian Hospital Patients throughout the EU" developed by DG Santé, in collaboration with DG Echo. This means that immediate neighbouring countries, Poland, Moldova, Slovakia, take care of the acute patients, stabilise them and then call on the European system. Belgium offers help within that system and Europe ensures matching supply and demand. So far, one patient has been assigned to us through the system. That patient arrived in Belgium on 14 April and was hospitalized at the university hospital Sart-Tilman in Liège. In a way, that was still limited for the time being, but we are ready for this European-organised solidarity. Then there were questions about the role of the Military Hospital. Mrs Fonck, Mrs Gijbels and others asked why this military hospital cannot do more, including in response to what the University Hospitals Council said about it. Our Hospital & Transport Committee Surge Capacity consults with the military hospital. Now there is something, ladies and gentlemen, which makes sense, but is not so obvious in practice. It makes perfect sense to say, "War victims are admitted to a military hospital." The patients for whom the European system is being used today are, however, the victims of war, but they are not necessarily wounded soldiers. No, it's refugees who are sick or have somehow been injured. To be honest, that makes the choice for a military hospital less obvious. We must also acknowledge that, in addition to a number of niche services in which the Medical Component of Defense really excels, such as the Burn Center, the Military Hospital itself no longer has the capacity of an average hospital as one might hope. That is, of course, the result, Mrs Fonck, of some years of disinvestment and savings. That is the reality. With all due respect, therefore, for the Medical Component, we must also admit that the way my colleague, Minister Dedonder, describes this capacity is in line with reality: capacity is limited. Moreover, Mrs Dedonder has ordered a study on the future and future dimensioning of the Military Hospital, which is still ongoing and in which my administration is also involved. This study determines what we can expect from the hospital in the future. In the Military Hospital, we can handle a number of things in an excellent way, especially the burn problem. But for the rest, it would not be correct to say that patients from the target group of Ukrainian refugees would all end up as a priority in that hospital that is now fully ready. I don't think that's obvious. Immediately, it was said that the reception of Ukrainian refugees is once again a major challenge for the whole healthcare sector, as well as good reception and housing, education and employment are important priorities. A number of members have made a very correct reference here to specific risks associated with endemic infectious diseases within this target group, as well as to the fact that vaccination rates against covid and a number of other pathologies in Ukraine are generally low. Our RAG and RMG have also picked that up in a specific advice. The Risk Assessment Group, which also involves the Länder, has assessed the risks. They say that the risk related to a number of specific infectious diseases is generally low, but there is still a risk. For example, tuberculosis is more common in Ukraine than elsewhere. In addition, we talk about preventing infectious diseases such as measles and polio by vaccination. A strategy on screening has therefore been developed in the Risk Management Group, in which the Länder also actively participate. This strategy is being implemented in practice, with the exchange of good practice with general practitioners' associations. The registration of infectious diseases is primarily the responsibility of the Länder. Therefore, I do not have any figures here with regard to the number of positive screenings. But the guidelines are clear. I also assume that this approach will be properly implemented and followed. The Länder have also been genuinely committed to this. I also think this is going relatively smoothly. Also in the IMC Public Health the Ukraine problem is regularly addressed. In relation to the catching up of a number of vaccinations, such as measles and polio vaccinations, information and awareness is provided through the competent bodies of the Länder such as Child and Family and ONE. Of course, it is important for Ukrainian parents of children to be informed about the importance of these vaccinations if their children have not yet been vaccinated. For covid vaccination, cooperation with vaccination centres shall be established. If there was a previous vaccination with an unapproved vaccine in Belgium, this person is unfortunately considered not to be vaccinated and a vaccination with a vaccine approved in our country will be proposed. Our vaccination centres do not keep separate lists of the number of persons of Ukrainian origin with an INSZ-BIS number that they vaccinate, so I cannot give exact figures. Undoubtedly, many of these people's questions will end up with general practitioners and pharmacists, and sometimes also with hospitals. It is therefore important to organise properly the provision of support and care, particularly in the first line. It was referred to in the questions: the Flemish family doctor's association Domus Medica asked whether we would not help our general practitioners by setting up specific areas of concern. This means that Ukrainian refugees are being brought together in certain places to centres where general practitioners are available, as well as nurses and where psychological support may be available. I thought that was an excellent idea and immediately consulted with Domus Medica and with the regions. I can tell you that this is not a simple exercise. There is a great deal of difference in the regions, the situations are very heterogeneous in the field, but we are working on it. Today there has been a consultation with the Länder on the concrete organisation and support of such concerns, including with federal financial resources. This has been the subject of a decisive discussion today. A consensus has also been reached on this consultation, although it has called for some consultation. On the basis of that consensus, I will submit a proposal to the Insurance Committee on Monday for approval and immediate implementation on the basis of the technique of a convention. This means that we can rely on various programmes and projects, such as the agreements with BELTA and FARES on intensive home treatment for MDR-TB, such as intercultural mediation, such as primary psychological care, RIZIV-supported activities of organizations such as Doctors of the World, the Born project in Brussels, etc. On Monday, I'd like to knock that off on the Insurance Committee. Then it'll be a matter of looking into who's playing on it. For me, that should not be evenly spread everywhere. That's an offer that's open. Both in Flanders, Wallonia and Brussels, we will be able to respond to this. I understand that Domus Medica is really interested, but I can imagine that it is more needed in larger centres than in a small rural municipality. It's open. Mrs Vanpeborgh, I am glad to hear from you that part of this reality is already under way. There will be support that will allow for permanence and that we will be able to mobilise all these networks well. I was asked about the budget for this. The funds are provided, we have a Ukraine commission. We must not worry about this, we must not worry about it. As far as I'm concerned, it's not a closed budget either. By the way, if we did not get out of Ukraine's commission, we could still use the funds provided for in the administrative costs of the RIZIV, if necessary. So we will find a budgetary path. We should not come here immediately with a closed budget. We simply have to respond to the needs that exist on the ground in a correct way, with a proper organisation. This will relieve our general practitioners. If there are needs, they will eventually end up in the system, they will end up with the general practitioners or in the hospitals. So I do not immediately feel the need to formulate a closed budget. We will provide all the necessary financial resources for this. Mrs Depoorter, you have called for special attention to be paid to mental health care. I would like to answer that in a more general sense, but the concern is absolutely justified. The psychosocial managers of the FPS Health are following the meeting of the federal coordination committee, COFECO, which has been caught up in this crisis. In those meetings, the question was asked to support the coordination of psychosocial assistance through a working group on Psychosocial Support and Protection Exploiting. The mission has been included to identify and streamline the initiatives of psychosocial support, prevention and protection of abuse and trafficking in human beings. Among other things, a meeting was organised with the partners of various federated entities responsible for psychosocial support. It is about sharing information, pooling initiatives, communicating well. Among other things, information is available through the info-ukraine.be website. The aim is to ensure maximum complementarity and cross-fertilisation through the pooling of initiatives, through global communication on psychosocial support and protection initiatives. In addition, an initial inventory of various initiatives was made from the existing inter-kabinettes working group on mental health. That inventory was delivered to COFECO and the RMG. In addition to what is happening in the Länder, the federal reimbursement of psychological care and mobile teams, as well as the use of intercultural mediators through videoconferencing, can be used. The care providers concerned will be trained through a webinar to make use of these mediators. The range and added value of intercultural mediation is also brought to the attention of the general practitioners. The RIZIV has therefore sent a letter to all healthcare providers and the mental health networks about the insurability of these Ukrainian refugees, when they are registered and their access to health insurance, so that there can be no doubt about that. With regard to the organisation of care, it is very important that we offer low-threshold mental health care, including to this group, along with basic care, and that there is also scope for psycho-education. We need to pay attention to pregnant women, to the many children, but also to the caregivers and families who take care of the refugees. The Länder have received a list of all the coordinators of our local networks. They are available to make psychological care available very concretely together with local organisations that receive refugees. I think that is very important. Part of the work is still under construction, especially the concerns, the crowning glory of the work to be done. It is an important challenge for our mental health networks, for example, to really stand ready and fulfil this mission. I do not doubt the good will and ambition of the people, but it is a bit of a litmus test for the quality of our organisation. So we are working hard on it, in constant consultation with the Länder.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u29	Minister, you have answered some of my questions and some others have not, whether or not you do not have the figures yet. As far as infectious diseases are concerned, you said that the general practitioners screen them. Is that passive or active? Are people who, for example, present with a flu and passerby tested for all kinds of infectious diseases? You can answer that later. In the meantime, I've been running the numbers again. Yeah, they're still up-to-date. Only a third of Ukrainians have been fully vaccinated and I cannot imagine that these figures have changed substantially in recent months, with the appalling Russian invasion. The vaccinees are mainly 65-plussers and this vaccination has often happened with a vaccine that has not been approved here, namely a Russian vaccine or a Chinese vaccine. I also asked what the vaccination status of these people is when they offer themselves here for.......................................................................................................................................................... You did not reply to that either. I wonder how this is taken into account, because if we proceed to follow-up shots here, we will have a heterologous vaccination, with vaccines of which we do not know the consequences. On the other hand, I am pleased that you seem to follow this up fairly well, in cooperation with the Länder. I would like to insist that you continue to do so. A low degree of vaccination against corona, but also against polio or measles, poses not only a health risk to Ukrainian refugees, but also, of course, to our own people.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u30	Thank you, Minister, for the detailed, very concrete and reassuring answers. As far as hospital capacity is concerned, you say that it is 150 beds but that this number can still evolve and that it is being followed very closely. It will have to be done in hospitals for understandable reasons, but it is reassuring that this is being properly followed up. There's also really a clear system behind it. First of all, we are talking about the surrounding countries and, if there is stability, they may be forwarded to us. As far as vaccination is concerned, you have also replied very comfortingly and clearly that the Länder are involved, which is good to hear. They take up their duties. It will be discussed in the Inter-Ministerial Conference, but the Risk Assessment Group and Risk Management Group are also working intensively on this. On your third point, the concerns, I share your opinion. I think that is a really good initiative. In our first-line zone, I notice that this works particularly well. People arriving will be referred immediately. They get a free appointment. The vaccinations are all checked immediately, Mr Creyelman, even if they are vaccines other than those we know. So there really is knowledge and know-how, which is really well looked at. The only downside I hear and that I just want to give is that not everyone comes to those appointments. That is very unfortunate, because these agreements are a way of getting control of them. As far as mental health is concerned, I am very pleased to hear that the intercultural mediators are being retiring. That's very important. I notice that there is also attention to the caregivers and the families that people receive. The reactions resulting from what these people have been through are often underestimated, but this has to be dealt with. I often see that people don't know how to deal with that.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u31	Thank you, Minister, for your reply. As far as Article 29 of the Reception Act is concerned, screening is indeed a federal competence, as you mentioned more or less as you will work through the commission of 800 million. I understand that you cannot put a closed budget in front of you, but the fact that a commission is being reworked, as has been the case several times during the covid pandemic, and there is no estimate, is a matter of concern to me. The average cost of health insurance for the healthy citizen, for the 90% that spends the least, is EUR 693 per year according to the 2021 figures. Extrapolated to 200,000 refugees coming here, that amounts to 138 million euros. So, out of your 800 million, 138 million goes to the non-sick people who stay here during the crisis. It would be a success if they could all return within a year. However, you also know that this may not be the case. Even if we have an agreement tomorrow, the reconstruction of Ukraine will still take a long time. I know it's not the strong point of the Vivaldi government, but I still urge you to use some financial orthodoxy in this one. Prime Minister De Croo has promised 800 million to Mrs von der Leyen, but most of it was actually intended to be used here. The amount you have provided will not suffice. I think it would be more appropriate, then, to work with estimates and to register budgets and ensure that there are agreements with the Länder and to follow them correctly so that everyone knows what is expected of each other. Of course, every level will accept its responsibility. That has always been the case in this cooperation so far. Mr Prévot has already mentioned registration. As a pharmacist, I replaced my staff during the Easter holidays. I've had some Ukrainians on the floor who did have a national registry number, but no refund. Then it is very difficult, because then it is the families who are temporarily responsible for the costs. It is retroactive, but when it comes to antiepileptics, for example, it becomes quite expensive. It is not because one has a national register number that one receives direct reimbursement. Often the flow of information is not optimal and one is ignorant in the pharmacy. It is already very loyal that the families help in this crisis and come with the people to the pharmacy, often to translate, but it cannot be the intention that they or the pharmacist should advance the sum. That may need to be dealt with again.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u32	Mr President, I have asked a lot of questions about how to deal with this crisis, especially about the health care for these Ukrainian refugees. I have received answers to that and I am therefore satisfied.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u33	Minister, with regard to the specific question about the Military Hospital and the limited capacity to deal with war victims, you are trying to minimize that, but I believe that the question raised by university hospitals is quite right. You cannot say that that question was asked by people with little knowledge. They are people who are very worried about the existing hospital capacity, which is still catching up with a lot of work. You're saying this isn't about war injuries, but of course it can still happen. I find it irresponsible that the Military Hospital is currently only able to cover 25 victims, then only for burns. We still have to ask ourselves about this preparedness. What if we're dealing with war injuries? What if the war gets closer? Then what shall we do? We should not only prepare for a next covid wave, there are several threats on which we must prepare ourselves as best we can. Apparently, the hospital capacity of the Military Hospital cannot be scaled up, even in wartime. At the same time, however, I hear that two full floors of the Military Hospital are being occupied by the Brugmann Hospital and that apparently no arrangements have been made to evacuate them if necessary. Such a solution can be found in peacetimes, but not in wartimes. You are still talking to the Military Hospital, so I think you yourself are not entirely satisfied with the way things are going. I hope that you will soon record this with your colleague, Mr Dedonder. These hospitals are still suffering from the sufferings of COVID-19 and the refugees from Ukraine who are still joining them can be very difficult.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u34	Thank you, Minister, for your answers. The answer to the concerns was not very satisfactory, but you probably cannot do it because it has not yet been worked out. I share your view that this is a very good and well-intentioned idea, but I do wonder where you will get people to manage the concerns. We've just had two years of corona crisis, hopefully, in which the care has been under pressure and is under pressure. They certainly haven't recovered from those two years. The same caregivers will now also have to take care of the crew of the concerns and therefore the care of Ukrainian refugees. Don't get me wrong, I think the concerns are a good idea and Ukrainian refugees who need care should also get them. I doubt the feasibility of all this. We must not lose sight of the fact that there is a lot of delayed care to catch up on and that there are huge waiting lists in mental health care, to name but two problems. I hope, together with you, that these concerns will be met, so that it is not only a good idea but also a feasible idea. However, as I have said, I have some doubts about its feasibility.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u35	Minister, thank you for your answer. I once again welcome the mobilization of caregivers and volunteers on the ground who are doing enormously, in a difficult context, for Ukrainian refugees who are ill. Helping on the spot is very good and you have to do it. But there is a stake in helping Ukraine. I come back to my suggestion about the equipment and chronic patients (chronic dialysis) that are not or not very mobilizable. It seems to me that we have the ability to send dialysis equipment to the site to respond to calls. With respect to funding, you say that you will settle the aspects related to invoices. There is what is taken into account by health insurance and what is not. You need to keep a close eye on two issues: first, it cannot be the responsibility of hospitals and health-care providers; second, it cannot be the responsibility of host families, which would be indecent given all the efforts they are already making. You need to keep an eye on it and anticipate it in order to solve these problems that will arise. As far as the military hospital is concerned, I did not say that it has to deal with all health care problems related to Ukraine. All uninjured Ukrainian patients and refugees who require specialized treatment in oncology, dialysis, etc. are and will continue to be cared for by civilian hospitals. I was talking about the war wounded. In my view, the military hospital must be the main actor for this type of injury, even if it is to receive additional expertise from civilian hospitals. Minister, we have few doctors in a position to deal with major war injuries. However, there are security requirements and you are not the spokesman for the military hospital, but the Minister of Health. In relation to this, you must be extremely attentive to the burden that would be postponed, in an impossible and unacceptable way to civilian hospitals if a large number of war wounded arrived in Belgium and were dispatched there. Re-discuss with the Minister of Defence: the military hospital is able to become a crisis hospital, provided of course that it wills and is redeployed operationally. There are more than 25 beds in the military hospital. You've been there before, I imagine, or you'll find out. There are more than 25 beds in the military hospital. Some, as my colleague said, are busy. You have to see how to organize things. Beyond the situation in Ukraine and the possibility for severe war wounded to arrive at our home, there is an issue in our country with regard to the future and the need to equip ourselves with a crisis hospital. We need it, beyond the problem of burns for which this military hospital is in my opinion the preferred actor. We don't know what the future holds and govern, minister, that's foretelling. We have lived the covid, we are now living the situation in Ukraine. No one knows what will be done tomorrow and I think that in terms of health, health crisis policy, we have important issues to anticipate. Thank you.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u36	Minister, thank you for your full answer. I had stressed the very practical aspect of what we had on the ground, namely the insurability of Ukrainians in our territory. I hear you've also heard of these problems. I have been contacted by hospital staff and other health care providers, as well as representatives of CPAS. In general, when you don't know who to turn to, you push their doors. This is very good, because you must never be ashamed of doing so, as CPAS is often of great help. However, the workers themselves are sometimes diverted and destabilized in view of the role they must assume in the management of the post-war crisis. I have heard with satisfaction that you have taken the case in arm-to-body and that solutions are emerging in order to take care of the people from the first day. This also means providing them with a national registry number. Of course, that is eminently essential. I hope that all of this will be in order and that good communication will be disseminated to hospitals, health care providers, and CPAS, so that every link in the chain is notified and receives the right information in order to pass it on to the public concerned.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u37	Minister, thank you for your answers, which reassure me in part. During my visit with some of my colleagues at the Ukrainian Refugee Registration Centre in Heysel, I saw the high proportion of women and children and, at the same time, the great disparity in the specific measures for the care of these people in terms of both physical and mental health. I hear that in the meantime measures have been taken and widespread, which is positive. I can only encourage you in your business, with the Office for Foreigners but also with the mutuals, to ensure that asylum seekers can register with a mutual on arrival. I shall return briefly to three points. With regard to tuberculosis, you explain to us that the risk of contagion is low, but that you do not have access to data on the possible positive detection of this disease because it would be the responsibility of the federated entities. I am surprised, especially from the moment you announced to me in plenary that on 23 March you had convened an interministerial conference which had allowed preventive and curative measures to be adopted. From then on, I think the exchange of data should be self-evident, which does not seem to be the case with your answer. Besides, you assured me that screening would be systematic. Here too, I must insist that this screening must be possible as long as we have to welcome new refugees on our soil, which could last for a long time, given the seriousness of the situation in Ukraine. However, it seems to me that I have not obtained a clear commitment to this. Regarding covid, you tell us that if the person has been vaccinated with a vaccine that has not been approved by the European Medicines Agency, he will be considered unvaccinated and we will ensure that he/she is offered another vaccine that will be approved by the European Union. It is finally common sense, but I would like to draw your attention to the fact that two thirds of Ukrainians are not vaccinated at all, mainly because of the fears expressed about vaccines in general. Two vaccines were proposed from the outset in Ukraine: either the Russian Sputnik vaccine (which was banned a year ago by the Ukrainian government) or the Chinese Sinovac vaccine. In my view, an important piece of information is to be done to reassure Ukrainian refugees who have not been vaccinated arriving in Belgium in order to explain to them that the vaccines available in our country have been checked, which is not the case with the two vaccines available in Ukraine. Finally, I realized that, on the info-ukraine.be website, there was a lot of useful information for Ukrainian refugees on reimbursement of health care, care professionals and vaccines. This extremely useful information is used only in French and Dutch. For tuberculosis, this information is only available in Dutch. It is important to ensure that this very important and interesting information is also available in English but especially in Ukrainian. The Partenamut mutual did. We must also be able to do so via this info-ukraine.be information site.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u38	Dear colleague, the wholesaler's margin is the responsibility of the Minister of Economy. I have therefore consulted with his services to provide you with the answers to your questions. With regard to your first question, the SPF Economy carried out in June 2021 a brief analysis concerning the margin of wholesalers. It shows that in 2019, two companies together accounted for 68% of the total turnover of the sector. There was a decrease in the weighted average net margin between 2014 and 2019, with a sharp fall in 2017. There was a decrease in the weighted average gross operating margin between 2014 and 2019, confirming the downward trend in the company margin. This confirms the decrease in the net margin cited by the federations. The Economy FPS calculated the weighted average net margin for 2019, which was 0.2%. With regard to your second question concerning the introduction of a system for indexing the margin of wholesalers, this requires a more detailed analysis, in particular of the financial consequences this would entail for health care, since this would then become a cost for health care.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u39	If I relayed this question, it was to avoid what you quote in your answer: 68% of the turnover is generated by two companies. Comeos points to this fact as a situation of duopoly or even monopoly, which could lead to an obvious decrease in the quality of services, but could also have consequences for pharmacies and ultimately for patients. Thank you for taking the lead with the Minister of Economy, which saves me from asking him a question. I will certainly return to you once the reflection has been expanded.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u40	Minister, last year Secretary of State Schlitz proposed her national action plan against gender-based violence, a plan of 201 measures. However, few of these measures have a specific budget. We have asked Secretary of State Schlitz several times about the concrete implementation of certain measures and the budgets that may be foreseen. This specific question concerns measure 51, which states that resources will be made available for the training of medical personnel in relation to intra-family violence, domestic violence and female genital mutilation. Mrs Schlitz referred us to you, so I would like to ask you if you have provided a budget to implement this measure. In last year's budget format, we read that, overall, 15% linear savings are being made in health care. Isn't that a contradiction? Mrs Schlitz does not answer our questions and has referred us to you with the question of making the various ministers responsible for the implementation of this plan.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u41	Mr President, I have tabled a question on the same subject and I am surprised that it was not attached to Mrs Merckx's. So I'd like to know if I can put it down.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u42	Mrs Rohonyi, your question on a broader subject, it seems better for you to put it separately.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u43	Thank you, Mr. President. I will listen to the answer given to my colleague, which will allow me to elaborate on my question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u44	Mrs Merckx, in the budget, to be precise in BA 25 51 43 12.11.15, an annual amount of EUR 65,000 is provided for the training of healthcare staff in hospitals in relation to intra-familial and sexual violence and female genital mutilation and for the development of tools to assist care staff in the detection, treatment and follow-up of victims of intra-familial and sexual violence and female genital mutilation. It is true that this is situated within my services. Since 2009, therefore, on behalf of the Minister of Health, regular training cycles have been organised for hospital care providers for the detection, treatment and follow-up of victims of intrafamilial and sexual violence and female genital mutilation. During the COVID-19 pandemic, an online learning path for hospital care professionals was developed on sexual violence. I would also like to see such an online learning path developed for intra-family violence, as well as specific modules on the target groups of older people and children within the above mentioned learning paths. It is being considered whether additional resources can be used in the framework of covid for the development of these online learning paths. The basic training on female genital mutilation will also be offered in 2022 and will be refinanced through the State budget in the aforementioned basic allocation. In addition, initiatives will be taken to support general practitioners on detection, guidance and referral of victims of intra-family and sexual violence and female genital mutilation.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u45	Thank you for the short, concrete answer. I understand that EUR 65,000 is foreseen every year. It is just not clear whether this is a new or an existing budget.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u46	I don't think this is a new budget, but I'm not 100% sure. I don't know when that's planned.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u47	We will look up the number in the report and see if it was there last year.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u48	The merged questions and interplay No. 55525443C) by Mrs Fonck, No. Mr Boukili and Mr No 55000268I 55027038C by Mrs Rohonyi are postponed at their request.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u49	Mr President, the Royal Decree laying down the conditions and modalities under which the National Institute for Sickness and Invalidity Insurance grants financial compensation for the operation of the General Union of the Nurses of Belgium - AUVB - was approved at the Council of Ministers of 18 February 2022 and signed by the King on 24 February 2022. It was published in the Official Journal on March 25, 2022. It entered into force on 1 April 2022. This Royal Decree has the programme law of 2 January 2001 as a legal basis and regulates the financing modalities for a period of three years, namely 2022-2024. Compared to previous years, the draft does not contain any additional conditions. It is identical to the previous Royal Decree, with the exception of the years and the amount adjusted annually to reflect the consumer price index on 1 March of the year in question. Thus, the financial impact is EUR 403.962.80 for the year 2022. 75% of that amount shall be paid before 31 March or, as regards 2022, in the month following the publication of the Royal Decree. The remaining 25% shall be paid after audit of the annual accounts if sufficient expenses incurred in the representation are demonstrated. The amount shall be allocated to the financing of the running costs of the AUVB and the associations of nurses who are part of it, in particular for their participation in meetings of federal bodies in which they are located.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u50	Mr President-in-Office of the Council, we must of course provide an organisation with resources. It is therefore a good thing that this is settled. However, when we look at the spectrum of nurses, there is not always a one-on-one representation by the organisations. For example, many self-employed home nurses are not affiliated to a professional association. In the covid pandemic, we discovered the problem that we couldn't find them all to distribute, for example, PPE's. A subsequent review of a KB or at a subsequent consultation could perhaps look at how much of the home nurses are members of such a professional organisation and how we could create the framework through that organisation so that we can reach the people immediately in the event of crises.
