ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u1	Ladies and gentlemen, the Minister can stay until 6 p.m. today.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u27	Mr Vermeersch, I refer to the committee meeting of 14 December 2021, in which I answered all your questions and those of other committee members.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u28	Mr President, it is a great pity that you do not go into the topical and urgent debate. You stated in committee in December that you would go further on the dossier in the context of the budgetary negotiations, i.e. in the spring budgetary control. We would have liked to have heard more about this. I understand from your discretion, which you also show when it comes to the VAT proposals or the cliquet system that is still not in place, that you still need to clear up in-house. No answer is also an answer, in particular that the government is not yet out, as is the case with many cases. I wish you every success and a good continuation of your internal work.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u29	Minister, I refer to the text of my question as tabled.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u30	Mr Vermeersch, the German coalition agreement states that the new German coalition wants to strengthen economic and monetary union and that the Stability and Growth Pact, the SGP, has proved its flexibility. For Germany, that pact should promote growth, ensure debt sustainability and stimulate climate-friendly investment. According to Germany, there should be room for public investment to enable the green and digital transition and to close the significant investment gap created after the 2008 financial crisis. In addition to investment, Germany also stresses the importance of necessary structural reforms. In order to make the green and digital transition a success, Germany also always stresses the importance of private investment, as the German Finance Minister reiterated at Ecofin yesterday, and of course also the important role that public investment can play as a catalyst. As always, Germany will, of course, play a crucial role in the debate on the reform of European budgetary rules. I will therefore maintain close contact with my new German colleague, just as I do with all my other European colleagues on this point, just because of the importance for both Europe and our country.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u31	Thank you, Minister, for your reply. I think that Germany clearly indicates which direction it wants to go and that means that everything there is more or less under control. It will depend mainly on the French elections now, because the winner of the French elections will determine how the axis of France-Germany, if it remains in place, will change the budgetary rules. If, as my party hopes, there is a serious change in the French administration, then it could be a bit of a mess in the negotiations on the budgetary rules. Germany is clearly under control, but France is still a great question mark. The latter will, in my view, determine the direction of European budgetary rules. I'm sure this will be continued.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u32	Madam President, Minister, the EU Tax Observatory report, published at the end of 2021, on new forms of tax competition in the European Union brings us a European vision and a comparison between the different countries. This is interesting in the context where we are, during the preparation of a tax reform. Some organizations, including Oxfam, have made an initial analysis. In this report, we learn that corporate taxes have fallen from 35% to 21% since 1995 in the European Union and that the effective rate would be even lower through different mechanisms. In Belgium, the gap between the statutory tax rate and the preferential tax rate is particularly large. In the European Union, only a few countries have an even greater gap. This demonstrates an aggressive tax policy in Belgium, for the benefit of tax avoidance and optimisation through different mechanisms. The report also tells us that the overall tax contributions of multinational enterprises have remained stable over the last twenty-six years, while their profits have increased more than GDP over the same period. What are the causes of the erosion of the tax rate for these businesses? The EU Tax Observatory report identifies clear causes and points out some of Belgium's responsibilities in these mechanisms. According to the report, four tax regimes are considered responsible for the reduction of the effective corporate tax rate: R&D incentives, intellectual property, notional interests, tax rulings. However, over the period covered by the report, Belgium used all four. Belgium's role is particularly important on the issue of tax rulings: in 2016, it accounted for almost 50% of the rules declared to the European Union. At the level of intellectual property, Belgium offers one of the strongest preferential treatment. Minister, have you read this report? Do you share the findings on the erosion of the tax rate of multinationals and the responsibility of Belgium? In the context of the tax reform that you are preparing, this is the right time to question this report. Do you intend to review the four tax measures in Belgium, with a view to putting an end to our tax competition policy?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u33	Madam President, Mrs Cornet, I have read this report. My administration is currently conducting its analysis. I only partly agree with the findings of this report. It is true that the corporate tax rate has fallen everywhere. Belgium, with its open economy, has followed this trend. The Belgian company tax rate has been reduced to 25%. But that remains, however, higher than the average rate of 21% to which you referred. The study also focuses on the effective level of corporate taxation. However, this level is not only a function of the difference with the nominal rate, but also of the nominal rate itself. In the presence of a high nominal rate, the effective level of taxation may also be high, even if the difference is large. This is the case in France or Belgium. Conversely, a low nominal rate such as that applied in Hungary or Bulgaria results in a low effective level of taxation, even if the difference is small. The four tax measures linked to the difference between the nominal rate and the effective level of taxation are reflected in Belgian tax law. As for notional interests, the report shows that the Belgian scheme is less generous than similar schemes in other Member States of the European Union. The same applies to tax incentives for research and development. In this respect, Belgium is below the European average. Finally, in the field of intellectual property, our deduction for income from innovation certainly gives rise to a low tax but for a smaller range of income than in many other Member States. The measures have been developed within the existing international framework and have been examined in the light of it by the authorities. The government agreement provides that the government supports the revision of the code of conduct and advocates broadening the definition of harmful tax practice. Any changes to the international framework will be dealt with accordingly.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u34	Minister, thank you for your answers. I hope we agree that tax competition between Member States must be stopped. This is one of the recommendations of this report. We must put an end to the preferential system and, in any case, ensure that it does not fall below the minimum tax rate of 15% to which we are going. Exemptions should also be minimized as much as possible. I asked you today because, as I said, we are in a context of tax reform. In doing so, it is important to ask the right questions. You have eluded my last question about how you intend to review the various tax measures that are pointed out. I saw, this morning, the Corona Coalition that smoked your firm with fumigants to invite you to be transparent and to establish a dialogue as part of your work on this tax reform, with a view to greater tax justice. I hope that you have heard them and that this report will help you and will be taken into account when preparing for the reform.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u35	Minister, since 1 January, there has been a further reduction in registration fees for the purchase of a family home in Flanders. They now amount to 3%. For example, out of a property worth €350,000, the savings will be €10,500 for the purchaser. It is a very nice economy and it is very important at the moment for households. Last year, I asked you about your priorities in terms of access to property, especially for young people. It's a real problem. In Brussels and Wallonia, all young buyers find themselves at a disadvantage compared to young people in the Flemish Region. The former Budget Minister, Jean-Luc Cucke, in Wallonia, had announced quite a few measures to help the first purchasers, in particular the discount or the housing check, but for the moment - and we cannot go back to it - there is a significant gap between the different regions and this is a real problem in our country because we are still trying to find some harmonisation. Minister, I would like to have your opinion on this difference between the Regions, which I believe is abnormal. Are there any measures at the federal level, including tax measures that could harmonize all this? The Government Agreement provides for "measures to reduce the cost of acquiring real estate or to review the financing of a housing loan", in agreement with neighbouring sectors and countries. What's the status of this? Have discussions already begun? Have any progress been made?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u36	Madam President, Mrs Reuter, concerning the differences in access to property between the Regions, this matter has its legal and constitutional basis in the Special Act of 1989 which states that registration rights in transfers of immovable property are a regional tax. Therefore, it is not for the federal legislature to harmonise the different conditions for access to property. As I pointed out in an answer to a previous oral question, my administration is currently preparing a study on the various costs associated with the acquisition of real estate. I intend to ensure, within a reasonable period of time, greater transparency and a reduction in the costs associated with these transactions and the refinancing of a mortgage. However, this study relates only to federal taxes, fees and fees. The main registration rights, such as the right of sale and the right of mortgage, are not covered, nor are the notary fees that fall within the jurisdiction of the Minister of Justice.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u37	Minister, thank you for your answer that I already knew. Of course, registration fees are the responsibility of the Regions. My question went a little further than that. You're telling me that you're working on a tax on fees and fees, which is already very good. I hope that the ministers of the various regions will talk to each other. How, however, could we move towards harmonisation? This could be an initiative of the federal government even if registration fees are exclusively the responsibility of the Regions and even if notary fees are the responsibility of the Minister of Justice. A discussion and contacts between the different decision-makers could still help to reduce real inequalities in the same country, as is the case today.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u38	Minister, this question is already dated. I'll update them with your permission. At the meeting of the Consultative Committee at the end of last year, it was finally decided to limit the number of persons per table to a maximum of six, to allow only seats at a table for the time being and to limit the opening hours from 5 p.m. to 11 p.m. Immediately after that meeting of the Consultation Committee, the three Catering Federations already consulted you, the Minister of Finance, on additional aid measures. Among other things, the federations advocated a temporary VAT reduction. Meanwhile, it has become clear that they were allowed to knock on their chins, if I may. The Catering Federations also put on the table a Catering Baxter Plan, a plan supported by calculations with ten concrete questions for government support, for example the extension of the crisis bridging right and temporary unemployment, but also a temporary VAT reduction and aid to the end-of-year premium. With your permission, Minister, I come to my questions. Firstly, you said that the discussion on energy bills often mentions that the temporary VAT reduction in the catering industry would have cost the Treasury about EUR 800 million. Can you confirm that number? Secondly, a temporary reduction in VAT, as I have already mentioned in previous questions, tends to give rise to permanent price increases. We see this everywhere in Europe, but also in our country. That is, of course, problematic. Do you keep an eye on such matters, as Minister of Finance? Is there a monitoring on that? Thirdly, to what extent did the government ultimately participate in the catering Baxter plan? Which of the ten specific questions were finally answered? What questions can be answered in the future, for this sector which has been particularly affected by the corona crisis and which is still subject to restrictions at the moment?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u39	Mr Vermeersch, on the one hand, the temporary reduction in the VAT rate for restaurants and catering services is an important measure for the catering sector, but on the other hand it has a significant negative impact on budgetary revenue. The introduction of such a VAT reduction even if it is only for a quarter of a quarter is a significant obstacle to public finances. Moreover, the catering industry remains free from closure under the current corona measures. On the basis of the information available, and taking into account, inter alia, the budgetary margins available, the government has therefore opted for other measures, which also provide other sectors with the necessary support during this corona crisis. The government will, of course, continue to monitor the situation of the catering sector very closely to support them with appropriate measures if necessary. The Catering Baxter Plan is a highly developed plan, with proposals to support the catering industry in response to the measures taken to combat the covid pandemic. The proposals put forward in this report also relate to the powers of colleagues. If you have any questions about this, I would ask you to address them. As regards the tax deduction of catering, event and reception costs at 100%, introduced by the Law of 15 July 2020, this measure was applicable until 31 December 2020. We did not renew or renew the measure afterwards. However, we have been working on an important new fiscal support measure. This concerns the tax credit for non-recoverable expenditure which supports companies that had to order certain events, as a result of measures to combat COOVID-19. A new optional regime will be proposed to transform deductible non-recoverable expenditure into a refundable tax credit. In this way, any liquidity problems encountered by event organisers will be mitigated. In addition, of course, we have taken a whole series of other measures. I am thinking, among other things, of the exemption from fees granted by the Regions, Communities, provinces or municipalities to the affected companies and extended until the end of March 2022. Of course, we have offered several tax concessions again to our citizens and businesses, as we have done in the past.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u40	Minister, you say that the hospitality sector has remained open under the current measures. That is true, but there are important restrictions on, for example, the number of people per table or opening hours. As Deputy Prime Minister, you have a privileged position on the Consultation Committee. That is why I would like to call on you to decide on Friday's relaxations in the catering and events sector. We are all slowly agreeing that the current circumstances are beginning to allow it. If it is not possible, I believe that additional support measures are needed for this sector. Finally, out of concern for our consumers and since we are implementing several measures of VAT reductions, I would like to call on you to carry out a permanent monitoring to ensure that this temporary VAT reduction does not give rise to permanent price increases. These would be detrimental to both consumers and the catering industry themselves and all studies would indicate permanent price increases.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u41	Minister, I refer to the written version of my question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u42	Mr Vermeersch, in your question you are referring to a tax big bang, following a leak in a French-language newspaper. I would ask you not to attach too much importance to the leak. As I have already explained through other channels, there is a reference to elements of fiscal measures, some of which were not even discussed in the academic working group. My administration informs me that the tax reform coordinator will produce a first report at the beginning of 2022. I assume that this report will be available during this first quarter of 2022. Of course, it is not the intention to hit the middle class. However, the aim is to reduce the burden on labour. That is the commitment of the tax reform. It is therefore clear that the working middle class must make progress. The government agreement explicitly provides for a shift in fiscal pressure and states that the measures should lead to a budgetary balance in the light of fiscal reform and have reasonable payback effects.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u43	Minister, you say that I do not have to worry about or attach too much importance to what you call a leak. But a leak like that doesn't just happen. We welcome the prospect of a comprehensive tax reform. You answer that we can expect the proposals this quarter. However, we must work with the information we get, which we find in the press, which we can collect. Despite your reassurance that I do not have to attach much importance to this, I have to note that the newspaper article lists very concrete measures. I'll list a few things. In the personal tax system there is a less rapid increase in the tax brackets, of which up to 60% would be taxed. We are very concerned about that. Furthermore, a number of capital taxes are proposed, such as a tax on real rental income of 30% and an added value tax on real estate of 25%. The tax advantage for pension savings, which Flemings in particular do, would be reduced. There would also be a new regime for long-term savings. In addition, the article refers to the limitation of the 80% rule on supplementary pension for selfemployed persons. As far as entrepreneurship is concerned, sole proprietorships would be taxed more heavily. Last but not least, in the context of the price increases we are constantly talking about in committee, there is an increase in VAT from 21% to 22%. That worries us very much, all the more so since it is brought by a respectable French-speaking economic newspaper. Minister, we are also listening very carefully. You confirmed it here today. There must be a tax shift for you, but no tax cuts. There we fundamentally disagree with you and your government. We believe that in the country with the highest taxes in the world there should be an effective tax reduction and not a tax shift.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u44	Ladies and gentlemen of the MR, I hope that you have also listened carefully: you will have a tax shift in the government, but no reduction in the tax rate. How can your party still look straight in the mirror if its members say one thing in the press but ultimately in the government support other plans and statements silently?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u45	Mr Cogolati, you are referring to reports on possible corruption. The Minister of Justice is responsible for the prosecution of this matter. Questions concerning development cooperation fall within the competence of my colleague, the Minister for Development Cooperation. At the same time, I will probably also answer a number of questions from Mrs Depoorter, who is not present. That's how I can give the combined answer. However, it is possible that notifications have been made to the CFI within the preventive part of the money laundering legislation. However, the CFI cannot disclose information about files or certain persons. The CTIF states that the Belgian financial sector is currently very aware of the risks associated with money laundering, in particular by politically exposed persons, and is well organised to deal with them. As the figures in the most recent CFI activity reports show, there are more and more reports and it transfers 10 to 15 files each year for serious evidence of money laundering resulting from corruption or embezzlement by persons performing public functions. CTIF collaborates with its foreign counterparts, including the Democratic Republic of the Congo, on the basis of cooperation agreements or on a case-by-case basis. The last two questions, which I suspect Mrs Depoorter has, are the responsibility of the Prime Minister.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u46	Minister, thank you for your answers. Of course, I will address my questions on development cooperation to the competent minister, as well as to the Minister for Foreign Affairs, and those concerning prosecution of the prosecution to the Minister of Justice. The questions I asked you concerned the fight against tax fraud. It seems to me essential that what has been revealed through the "Congo Hold-Up" case, thanks to the articles published and which will still appear in the coming weeks, can be followed up with effect from the federal government. It is important to combat organised tax fraud and the avoidance of such funds effectively.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u47	Minister, I refer again to the written version of my question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u48	Mr Vermeersch, I have indeed drawn up a proposal for the introduction of a negative cliquet system. I have also written out the draft royal decree. The government has discussed it for the first time. The proposal was not finally dealt with by the Council of Ministers because prices were beginning to fall again at that time. That is why I have always indicated that I will continue to monitor prices and that if prices are again above a certain level, I will, of course, not hesitate to put the proposal back on the table.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u49	Minister, I cannot thank you for that answer. Not only has our energy bill increased, also a tanking has become significantly more expensive. The price of a refueling has now increased by 20 euros. At the request and initiative of the Flemish Interest, here in Parliament, you confirmed that you would intervene in the price at the pump. But ever since then, it has remained silent, deafeningly silent. We know why now. Until today, we have heard nothing about this proposal. I've called that a crook's trick before. The increase in the price at the pump means that many hundreds of millions of euros are disappearing in the state treasury. Our car is again, for the umpteenth time, the milk cow of the state treasury. Apparently, the driver can knock on his chin. The prices at the pump are still a third of diesel and petrol, the rest are costs and charges, excise duties and VAT. That is why we want an immediate stop on the increase in excise duties on diesel and petrol. As far as we are concerned, a refueling operation must remain feasible and affordable for everyone.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u50	Minister, we know that the problem of customs is important and that the movement of staff shakes the customs because of a shortage of staff. There is an overall staffing problem in the FPS Finances, we have already addressed this issue several times. It comes to our attention that last year, with a view to the negotiations on the budget and in particular the staff envelope of the various departments, the SPF Finance requested an increase in its envelope and, in order to do so, carried out a file showing that any recruitment to the SPF Finance pays much more than what it costs, since it helps to bring tax in more effectively. This is a reality which I have been repeating for a long time and which renders incomprehensible the systematic reductions of staff that have been applied for many years, reductions which you are continuing and even claiming, if one refers to your political orientation statement of 3 November 2020 calling for a FPS Finances "as thin as possible". Despite the FPS Finance case, the increase in the budget envelope was refused and new linear savings were imposed. In these circumstances, it is difficult to believe in the so-called ambitions to fight aggressively against major tax fraud. Do you confirm that the FPS Finance provided such a file to the government? Has it been given to you personally? Can we provide a copy of this file? How high was the demands of the FPS Finance regarding the staff envelope - in euros or in number of agents? What were the government's arguments against this increase in the envelope?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u51	Mr Vermeersch, Mr Van Hees, the communication to which you refer concerns the Control 5 department in Antwerp Linkeroever. This is a specialised service where the workload is high and is also difficult to reach due to the lack of public transport. Departure staff are replaced, but the specialisation of a caibureel limits the possibilities of additional recruitment and ensures that, more than in other services, new staff are not immediately available for self-employment. Although my administration is trying to avoid this as much as possible, there is no permanent presence of staff centralised at the border inspection post Linkeroever (GIP LO) from which the service is provided. The public authorities must carry out their tasks and obligations by means of the funds made available to them. As a function of this, staff who were permanently employed at certain cai offices are centralized at the GIP LO pending additional staff. After all, in implementation of the staff plan 2021, there are still 16 recruitments to be made for the Antwerp site and 14 more for the Beveren site. The establishment of the staff plan 2022 is currently under way, asking to update the analysis carried out by the AAD&A in relation to the performance of its tasks. The emergency procedure with regard to the inactivity of the scan tunnel at the border inspection post of Rightoever in Antwerp will certainly be included. Despite continuous efforts by the Personnel Service, the outstanding functions are not filled in. As regards the period mentioned, customs officials had to take up their remaining leave by the end of the year, while there is still the impact of covid and the same customs scanning services at the request of the public prosecutor have also been increased in the fight against drugs with the mobile x-ray scanners. Mr Van Hees, the note to which you refer is an administrative document among others in the preparatory work for the drawing up of the staff plan. In fact, my firm has been in contact with the administration regarding potential projections, even though no official documents have been prepared. It is a discussion and reflection document that was not and still is not intended to be discussed publicly. The administration's proposals had ranges, depending on the related objectives, of up to several hundred recruitments in the years 2022 to 2024. As indicated, this is a working paper that needs further refinement, which does not mean that it has not been useful. On the contrary, elements of this document were used when I took my decision, in the context of the budgetary conclave at the end of 2021, to grant additional appropriations in the context of the fight against tax fraud and in the context of transfer pricing. This represents EUR 4.85 million and 78 recruitments in 2022. These files, which were the ones that were introduced and defended, were accepted. With this kind of high-tech equipment such as the scanner, there can be technical problems that the customs operator of service cannot of course solve on his own. For the period mentioned, it was a problem with a sensor that caused an electronic communication failure in which the scanning system was in alarm setting. Periodic preventive maintenance and the resolution of technical failures is contained in public contracts with strict service level agreements and fine clauses that are closely followed. For example, the aforementioned problem was resolved fairly quickly, within two hours. However, my administration does not have a quantified economic impact of the temporary inactivity of its scanning equipment.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u52	Minister, we are very concerned. Last summer, customs personnel carried out actions to address the serious shortage of staff at customs. Today, however, it appears that this problem is greater than ever and that permanent customs offices are necessarily closed. In my second question I gave an example of some of the crowded alarms. It is only a grasp of the inactivity of the scanning equipment on right bank due to organizational reasons, technical problems and circumstances. I can confirm today that this is not an arbitrary example. At the moment there is again a busy alert for physical checks on left bank. At the moment it is warned that the scanner on right bank is not operational again on Friday 21 January for organisational reasons. That day, there's some kind of emergency procedure. So the problem is not temporary, because it is becoming a permanent and structural problem. Where customs personnel used to do their job to express their displeasure, the work is now simply often shut down and offices are closed because there is simply no staff left to do the job. Such action by the trade unions is temporary, while the staff shortage could be long-term. There is therefore an urgent need for action on the part of the customs authorities. There is an urgent need for additional staff, so there is an urgent need for more people, resources and powers for our customs. We will repeat this view often enough.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u53	Minister, thank you for your answers. With the example of customs, there is a shortage of staggering staff in the FPS Finances. This poses concrete and serious problems. With regard to this file provided to you by the FPS Finances, I understand that it is not intended to be published. So you refuse my request to provide it to us. That was a pity because the factual elements contained in it had to be very interesting. I take note of your refusal. There was a fork in the applications but you say it could reach several hundred recruits. Here, we are far from the account as you quote some agents that you add to the "transfer price" cell. Overall, we do not reach several hundred more. We have fewer staff in the FPS Finances and that's a problem. Minister, it seems to me that you are not really in line with your administration, even if it is run by someone who has the reputation of having the same label as you. I feel you're not really in line with the FPS Finance requests. I find this disturbing.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u54	Mr Minister, the Council of European Finance Ministers (Ecofin) has allowed the reduced VAT for demolition-reconstruction to be extended. This allows Member States, in particular Belgium, to apply reduced rates to a range of goods and services. In response to the economic crisis of the Covid-19, VAT reduced to 6% was applied to demolition-reconstruction for 2021 and 2022 for the whole Belgian territory. Specifically, this measure taken by the FPS Finance runs for the period from January 1, 2021 to December 31, 2022. The extension beyond 2022 by the European Union is especially positive for Wallonia, since it plays a major role in the reconstruction of the areas affected by last summer's floods. In addition, the extension provides greater clarity and legal certainty for those affected. Minister, are you aware of the exact expiry date of this extension granted by the European Union? Will it be possible to extend again the measure taken by the European Union after its expiry? Does Belgium intend to apply this new EU measure to other goods and services? According to the Annexes to Directive 2006/112, a maximum of 24 points may be implemented.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u55	Mr Minister, the reduced VAT rate of 6% for the demolition of buildings and the reconstruction of houses was introduced on 1 January 2021 for a period of two years. If a number of conditions are taken into account, this is a tax incentive for many Belgians with a brick in their stomach. In addition to the tax incentive, this measure also has major ecological benefits. For example, part of our decayed, outdated or little isolated residential heritage will be accelerated. The VAT reduction will be discontinued on 1 January 2023. People who buy or build homes have questions about a possible extension for two reasons. Firstly, there is a delay in the construction market because people find it difficult to find a contractor. Secondly, increasing the prices of materials and the scarcity of materials means that the budget is exceeded. Minister, will the VAT reduction stop on 31 December 2022? Does the government have plans to extend them? What happens to construction projects that start in 2022 but continue in 2023? Are there any transitional measures under consideration?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u56	On 7 December 2021, the European Council of Finance Ministers reached agreement on the proposal for a Directive reforming the European rules on VAT rates. The new rules take into account the changing needs of Member States and the changing policy objectives of the European Union. They also ensure greater flexibility for Member States in applying reduced VAT rates. I would remind you, however, that this proposal for a directive is currently before the European Parliament for its opinion. It is only at the end of this procedure that the Council will formally adopt this proposal, which is why this future directive will not enter into force for a few months. The new European tariff rules will indeed provide a basis for the current Belgian measure which provides for a reduced VAT rate of 6% for transactions relating to the demolition and reconstruction of a dwelling. However, I would like to point out that this measure is compatible with the current rules of the VAT Directive on tariffs, as the Council of State also pointed out when the draft programme law which introduced this provision was submitted to him for advice. In any event, both in the current wording and after the entry into force of the reform of the tariff provisions, the VAT Directive provides a framework within which Member States may apply one or more VAT rates but not to certain categories of transactions laid down in the VAT Directive. Thus, this reform of the VAT Directive on reduced VAT rates does not entail an extension of the Belgian measure by means of a European regulation. On the other hand, it amends the permanent legal framework at European level that this measure already met and will continue to comply with after the amendment. With regard to the government's general rate policy, this new European legal framework will allow Belgium as well as the other Member States greater flexibility in applying reduced rates. Such policies must, however, focus on the real needs in this area and take into account the difficult fiscal framework that our country has been experiencing for a long time. The VAT reduction from 21% to 6% for demolition and reconstruction was set up about a year ago as a re-launch measure, with three concrete objectives, namely to support the purchasing power of our families, to boost the replacement of obsolete and energy-consuming homes and to support the construction sector in crisis time. In addition, this measure is also very important for the regions of our country where many private homes suffered enormous, sometimes irreparable damage as a result of the exceptional weather conditions last summer. The recovery measure is still running until the end of 2022, but, in my view, an extension is necessary. In the years to come we will have to face a major challenge: to accelerate the process of durabilization of our aging housing stock. An extension would also make it more affordable for families to exchange an old home for a new, sustainable home. In addition, I am aware that the number of construction projects that are being launched today or that will be launched in the near future will exceed 2022. Families and promoters therefore need clarity and legal certainty quickly. I will therefore propose the extension of this measure to the government at the appropriate time. I can still inform you that 20 days after the publication of the new text of Annex 3 in the Official Journal of the EU, the law of 13 April 2019 establishing a reduced VAT rate for the purchase of bicycles and electric bicycles will enter into force.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u57	Minister, thank you for this very important information. First of all, I welcome the possibility of this extension. Indeed, in your answer, I detect the will to work on it. It is pointless to tell you, Minister, that I am fully convinced that this measure, initially envisaged as a stimulus solution – as you rightly pointed out – will have to be maintained in its usefulness. I have already given you some motivations in my question, particularly in view of the health situation we continue to experience, but also of certain events that occurred last summer, namely the floods. So I'm waiting for the rest. Together with my colleague Tim Vandenput, I will see what initiatives we can already take on this subject.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u58	Thank you, Minister, for your clear answer. I am pleased to hear that you are also convinced that an extension is needed for various reasons, of which ecology is one. The current scarcity in the market of both materials and workers to carry out the works results in delays in billing. If there is no extension, it is very likely that people who are counting on getting their building fully finished and invoiced by the end of 2022 will see it move to 2023, which means that they will have to pay the rest of their invoices under the 21% VAT scheme. It would also be likely that they would agree with the contractor for tax reasons to prepare the invoices in advance for non-executed works. I wouldn't want to put the owners in that position, even if that might be their choice. For large projects, the Breyne law for billing exists according to implementation. These are all proposals or initiatives that we need to look at in a pragmatic way. I am very glad that you are in favour of this.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u59	Questions Nos 5502322C and 55023329C by Gilles Vanden Burre are transformed into written questions.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u60	Mr Minister, on Wednesday 8 December, the Brussels Labour Court ruled in the Deliveroo case. It has actually been said that the bicycle couriers are self-employed and that the tax P2P status, including 85% of the bicycle couriers, can no longer apply because the condition of that tax favor is not respected by the platform. It is not the first time that this has been unclear. You may recall that the FPS Finance in 2019 for a long time told Deliveroo's bicycle couriers that they could not benefit from the measure, because it was not about services between individuals. They were therefore outside the scope of the legislation. Eventually, the FPS Finance decided in September 2019 that the bike couriers of the platforms should be allowed to use the statute, but that it should be effective about performance between individuals. The couriers were therefore delayed for the declaration of their income in that context. Have you already taken note of the ruling of the Labour Court and what is your opinion on the P2P Statute? In the meantime, I know that the Labour Auditorate has appealed against the judgment. It does not therefore have a general application, but it is important that we know what your intentions are in this area, so that the status of bicycle couriers does not depend on judgments of judges, who may be quite different in this respect. Has the FPS Finance also taken note of the ruling of the Labour Court and what is its analysis? Will the FPS change its position? How does the FOD react to the bike couriers?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u61	Mrs Vanrobaeys, my administration is currently examining the consequences of the ruling of the labour court. The published instructions stipulate that, when the limit is exceeded, the income from the collaborative economy is classified as professional income, but the analysis of the results is still ongoing. However, it is important to note that my administration is not a party to the trial and that, moreover, the time limits for appeal have not yet expired. There is therefore no intention at the moment to take a decision on the outcome of the judgment to amend the tax legislation.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u62	Minister, I look forward to that analysis, including on the consequences of exceeding the income threshold. After all, I have already asked you written questions on this because it appears that there is very little control of the income threshold. I think that is an important first step and I intend to take initiatives on this. There is now an appeal from the Labour Auditorate, but the bike couriers need to be given security. The statements now go in all directions. The bicycle couriers may be employees or self-employed under the employment relationship law, whereas according to the P2P statute they are self-employed who, if they meet the conditions, are exempt from tax and social security contributions. There is also the European Commission's initiative, which talks about a rebuttable presumption of worker status until proven otherwise. We must not leave the people who work for such platforms in that uncertainty. I therefore call on the government to sit together and coordinate with each other, and above all to put an end to the abuses that sometimes occur now about exceeding the ceiling and working with minors and people without papers. We need to make final legislation so that the bike messengers can count on security and good social protection.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u63	Mr Piedboeuf, a reminder letter was sent to some citizens who had already fulfilled their obligation. These are citizens whose declaration has been sent by post and whose file has not yet been processed or citizens whose declaration has been received in the meantime. The reminder letter stated that it should not be taken into account in the event that the declaration had already been made.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u64	That's perfect! Thank you very much, Minister. So you confirm. I wish you a good end of the day.
