ParlaMint-NL_2020-12-17-tweedekamer-6.u1	No, we'll continue with the Temporary Law Second Chamber Election Covid-19.
ParlaMint-NL_2020-12-17-tweedekamer-6.u50	I would like to go on with this, because I do not think it is entirely hypothetical what Mr Van Raak is describing. I think it can very well happen. I myself sometimes gave someone a power of attorney because I could not cast my vote on the day itself. I live in Groningen and I had to be here in The Hague for my work. That's when I took care of it a few days earlier. But not everyone feels comfortable asking the neighbor or the neighbor to cast a proxy vote. Maybe you want to do that in a trusted circle, but you don't have your family living around the corner, making it even more complicated and it's practically impossible on the day itself. So I really don't think it's hypothetical. I also hear the Minister reacting, and I think it is wise not to give the impression that there are all those who complain about entering a voting room on election day. We wouldn't want that. But we do want people to have the opportunity to vote. And for those who cannot have that power of attorney, it is not a bad idea to give more space to drive-through polling stations and to polling stations in the open air with the experience of today's elections. I also see in the response of the Minister, in the written input and in the reactions of the VNG and the mayors that there is plenty of scope to set up these polling stations in other special ways. Is it then an idea that we ask the Minister to consult with the mayors and the municipalities to at least make one location available in each municipality to set up such a drive-through voting office, or such a ballot street, as Mr Van Raak calls it? Does the Minister wish to discuss with them whether that is possible without rejecting it right now? Because I think this is a real point. It would not be good if these people would not be able to vote on election day.
ParlaMint-NL_2020-12-17-tweedekamer-6.u51	No, I understand. Once again, I would also like to thank everyone for not having this problem on 17 March. I get that it's not nice if on that day you have to do all the practicalities about giving someone else a power of attorney. But what Mrs Van der Graaf is asking, and what Mr Van Raak is suggesting, namely to organise such a drive-throughtest street in every municipality, is quite organizationally complex. Then you ask even more of municipalities, which have actually already said to us: we can do this; you already ask a lot of us. We are now in the second wave of corona. At present, about 50,000 to 60,000 tests per day are carried out. Of course, I cannot rule out that this is still the case, but let us hope that it is a lot less. That's a lot of people, but if you spread that across all the municipalities in the Netherlands and all the Dutch people, it's not about huge numbers, which you have to create a huge logistics circus for, while there's also an alternative to it. So again, I take it very seriously and we have also really discussed it with the VNG: could it? We have explored all the possibilities for this, and we have come to the conclusion that, in these elections, in these circumstances and in this already complex preparation of the elections, it is an excessive burden and that it is not feasible. So we will bring to the attention of the people the alternative, for which we have also made this additional power of attorney possible.
ParlaMint-NL_2020-12-17-tweedekamer-6.u52	Then I'll try one more time, because it's already happening. This has already been deployed in many places in the country, including during the reclassification elections. The minister himself made a support team from her ministry available to municipalities, and the best practices are there. Is the Minister prepared to enter into further discussions on this subject, hear the debate and hear the situations that we can all imagine and which can happen to us all? In March the R is still in the month. It could happen to all of us, and it would be a shame if voices were lost because people have a runny nose.
ParlaMint-NL_2020-12-17-tweedekamer-6.u53	That's what I want to do. There must be no loss of voices. People must be given the opportunity to vote in one way or another. I understand that Mrs Van der Graaf is again trying to bring it to the attention of the House. But what we are discussing here today and what you are voting on in the end is what we are going to do. The congregations have asked me and you not to let them do any more than this, because they can't.
ParlaMint-NL_2020-12-17-tweedekamer-6.u54	Please continue. How far have you come with your response?
ParlaMint-NL_2020-12-17-tweedekamer-6.u55	I'm in the total answer halfway. The results will not be announced earlier, I say to Mr Van Otterloo. For a second there, I thought he was suggesting that in his input. Votes issued on Mondays and Tuesdays can only be counted on Wednesdays. This can be done on that Wednesday from 7.30 p.m. or from the time the college determines in the municipality. If a polling station has already finished counting the letter votes, the result will not be published. That is only allowed after the ballot boxes are closed, so it is only after 9 p.m. So we don't want results to get out while people are still voting. Early voting therefore has no effect on voting.
ParlaMint-NL_2020-12-17-tweedekamer-6.u56	Very briefly, Mr. Van Otterloo.
ParlaMint-NL_2020-12-17-tweedekamer-6.u57	Yes, very briefly. What I was concerned with was that that count is public and that the risk is reduced as much as possible that that count becomes known before the other ballot boxes are closed. It's about the people who can access it.
ParlaMint-NL_2020-12-17-tweedekamer-6.u58	I think it's obvious.
ParlaMint-NL_2020-12-17-tweedekamer-6.u59	Counting is public, but the results aren't published.
ParlaMint-NL_2020-12-17-tweedekamer-6.u60	Please continue.
ParlaMint-NL_2020-12-17-tweedekamer-6.u61	Then everything that has to do with the organisation, the number of polling stations, volunteers and so on. Let's start with the volunteers. We need a lot of polls and counters. If you put it all together, it's 70,000 to 80,000 voters and counters. Everything we do extra, including the early voting and counting of letter votes, makes for additional actions. That's all human work. So we need a lot of people. In addition, we must also take account of last-minute outages due to quarantine, disease and so on. So we also need a reservoir of polling station members who can be flown in last minute. We are now adopting a directive of about 10%. That is why we started the national recruitment campaign on 30 November. We have also arranged for state officials to be able to work at polling stations without having to take leave of absence. Last week, the number of applications was the central number of applications, i.e. via the website elkstemtelt.nl at 25,000. That is a very nice and hopeful result. In addition, today's message is that we will also use maximum MBO students in consultation with the MBO Council. This applies across the board: from the construction and dismantling of the polling stations to counting and polling stations. I'm incredibly happy about that. What I do not have any idea at the moment is how much has entered the municipalities themselves. There are municipalities that are already reporting and saying they have plenty of people. That's very nice, but that doesn't apply to all the municipalities. And even to these municipalities, I say: go on for a while, because think of the 10% and the fact that people can stop. So I ask them to keep doing their best and to take care of enough people. So, on the basis of the way things are going, I am in a positive mood, but it keeps my full attention. In January, I will assess the situation of the municipalities and what else we need and can do. They also asked whether enough young people had been reached. I think we have seen with the MBOs that young people are certainly willing to help. This also means that there will be new arrivals for the polling stations. I thought that Mr Van der Molen asked for this and that we will soon have a whole reservoir of voters who have already experienced it once and who will hopefully be motivated by all the other elections to come forward to join and help. Mr Van Otterloo asked about the speed tests for the polling station members. He's drawn attention to that before. I said at that time that I would very much like to monitor with the VWS colleague how we could make use of the opportunities that exist in the coming months. But it is about a large group of people, of course, completely scattered across the country. So it is again a very large logistical operation to make it possible for all polling stations and all polling stations. Again, I promised. I'm gonna do that, too. We'll keep an eye on it and see what we can do with those quick tests and what we could do with the election. I'd love it if I could, but I can't say I can. What I can say is that we can never force it. Giving voters the opportunity is one thing, but we can never say we have to. Quick tests should not, just as vaccination should not. That's the other side of the story. Of course, they are asked to do the regular health check. He has also tabled an amendment to that effect. It's not an obligation, as far as I'm concerned. The only national policy we have is: have you tested for complaints. The same applies to members of the polls. But again, I'm gonna follow those developments around the quick tests and see what's possible. I have to advise against the amendment. I would like to look at the number; that is the amendment to item No. 9. Then the polling stations, another point. First the polls, now the polls. If there are enough, Mrs Özütok and others asked. The municipalities are really working very hard on it. Really compliments on that. It's got all the attention. There are also very nice initiatives, also from the government, the provinces and the waterboards. They make their offices available. Branch associations, shipping companies, health insurance companies, car parks: all kinds of places are presented as possible suitable. I'm very happy about that. In the end, the municipality must decide which premises are suitable and which are not. It was also about drive-through voice rooms. This is certainly looked at in the municipalities. We have seen it with enthusiasm, but it has been very limited. But that's what's being looked at now. It is nice that municipalities do so and that they take sufficient account of the spread. For Mr Van Raak asks me in every debate whether I can guarantee that there will be no fewer voting rooms. I agree with him. It would have such a bad look if there were fewer polling stations due to corona. I believe that the number of voting rooms should be maintained. I also welcome the motion on that point which calls for it. I've informed the mayors about that. I'll keep an eye on that. I will also repeat that poll in January. Then I will inform the Chamber at the beginning of February.
ParlaMint-NL_2020-12-17-tweedekamer-6.u62	Thanks to the Minister for doing her best to get some more polling stations in municipalities but also in other institutions. That last point made by the Minister was precisely my question. When can she inform us about this? Could that be the end of January, too?
ParlaMint-NL_2020-12-17-tweedekamer-6.u63	I'll do the poll in January. My intention was to inform the Chamber in February. I can imagine that the President also thinks that this should be for the election recess. So I'm gonna say that one way or the other: as soon as possible. Mrs. Chicken of the Labour Party asked about the schools. I did indeed send a letter to all the school boards together with Mr Slob. Mr Slob also consulted the umbrella organisation. I think they also say: "Let's leave it a little decentralised too. So don't try to lay everything down from above and think about it. We schools must also look carefully at what is possible." This is done locally, in consultation between municipalities and school boards. In consultation with Mr Slob, but also with the PO Council and the VO Council, we have drawn up a guide: schools as voting rooms. We've discussed it with them, too. They'll find them useful, too. We are trying to be as helpful in this dialogue as possible, but I am confident that the municipalities can get out together with the school boards. Again, it is important that we have enough alternative locations if schools may not be available for good reasons. We're helping with that again with a support team of polling stations. Mr Bishop asked about the opening hours of special polling stations. Firstly, and that is also the lesson of the reclassification elections: there is indeed a need for this type of polling stations. The experience of these reclassification elections shows that it is not necessary to do so for a very long period of time. It doesn't make much sense to do it very early in the day. So those lessons from those re-organisational elections are being learned and drawn. The municipalities make arrangements with the health care institutions and that is really customization. The size of the polling rooms and the counting, that was also a lesson from the reclassification elections. Quite simply: if a polling room is too small to count too, so that you can vote with walking routes but counting is too complicated.Of course you need a lot of people for that. Then we need to count at a location that's big enough. That can be done, and this law makes it possible to ensure that low regulation rules are laid down on how these voting documents are transported to another location and so on. You should then think of compulsory separate transport of the key to the ballot box, minutes and the ballot box itself, in which transport is carried out by at least two persons. Such matters are all regulated by lower regulation. Mr Sneller asked about the suspension of the session. Of course, polling stations should not close unnecessarily early. You can't ever do that. Voting stations are just open from 07.30 a.m. to 9 p.m. on Wednesdays, and also Mondays and Tuesdays, because those are the same times. That possibility of suspension is only intended for counting. If you find that members of the polls have become so tired, that you can reasonably no longer do that process carefully, then as chairman, even after consulting the mayor again, you would be able to suspend the hearing in order to continue it the next day. That's what it's meant for. Then the transparency of counting. Yeah, that's important. Mrs Özütok asked about it. It's open to everyone, but yes, it has to be at 1.5 meters. That's what we're dealing with right now. After counting, the municipalities must publish all records on the internet, which we have made mandatory for a year. That did not go well in the elections last year, so we need to keep a very close eye on that and we need to learn from it. The plenary sessions of the main polling stations and of the Central Voting Office, i.e. the Election Board, are also open to the public. This bill also stipulates that sessions should be broadcast on the Internet and that voters can also participate in and possibly raise concerns in a digital environment. In addition, the minutes of the main polling offices and the central polling office should also be published on the Internet. As far as the central counting experiment is concerned, I do not know yet, as I say to Mr Sneller, how many municipalities participate in it. The municipal councils must of course agree and that is not yet clear in all municipalities. My expectation is now that about 35 municipalities will be involved. Finally, financial compensation. Based on the 2013 data, we have calculated that the elections are normally about 43 million. But, of course, that's different now. For this I also had extensive consultations with the VNG and in September I already agreed with the VNG to provide an additional 30 million. At that time it was mainly about alternative locations, the layout of the polling rooms and that sort of thing. Then I added 22 million in the December circular, for example for postage, letter votes and that sort of thing. That's a pretty big estimate, that's my estimate. So I believe that the municipalities are quite well prepared with this compensation, but of course we will also look at it. I heard one of the members say they have clues that this is not experienced by every congregation. Well, here's what we agreed, but, again, the money for the election we're just making available. That is not something we are negotiating endlessly, because it must not be a lack of resources.
ParlaMint-NL_2020-12-17-tweedekamer-6.u64	I had also noticed that it is very nice that aid is being offered from all over the country by all kinds of organisations, but they sometimes address us as Members of Parliament with the question of who they can report to. So I also have the explicit question of who is coordinating it. I understand very well that the municipalities are ultimately involved, but some coordination could help. Where can they report in?
ParlaMint-NL_2020-12-17-tweedekamer-6.u65	When it comes to practical matters such as polling stations and so on, does Mr Van Gent mean?
ParlaMint-NL_2020-12-17-tweedekamer-6.u66	Yeah, and also volunteers, for example, in terms of people.
ParlaMint-NL_2020-12-17-tweedekamer-6.u67	Oh, yeah, the volunteers. So that's what this website is for. Anyone can volunteer there. You can do that in your own municipality. The same is true for people with ideas about polling rooms. This can also be done by the municipality, but it could also be done by us, at the Ministry of Foreign Affairs, because we also have a central team that helps to provide sufficient voting rooms. So there are two options. Mr. Chairman. Then I come to the other points.
ParlaMint-NL_2020-12-17-tweedekamer-6.u68	Are there a lot of them?
ParlaMint-NL_2020-12-17-tweedekamer-6.u69	If you can give me another 15 minutes, I'm all set.
ParlaMint-NL_2020-12-17-tweedekamer-6.u70	Fifteen minutes?
ParlaMint-NL_2020-12-17-tweedekamer-6.u71	Yes, of course, that depends on the interruptions.
ParlaMint-NL_2020-12-17-tweedekamer-6.u72	I don't think they're too bad.
ParlaMint-NL_2020-12-17-tweedekamer-6.u73	I agree. That will be up to your Presidency, and there is no other way.
ParlaMint-NL_2020-12-17-tweedekamer-6.u74	Please continue.
ParlaMint-NL_2020-12-17-tweedekamer-6.u75	I just wanted to comment on the questions that were asked about if we were in a lockdown in March as we are now. I don't know. I can't anticipate that. I'm hopeful. I think what we're doing right now is what's getting us to control that virus. Of course, you can see through your eye hair. You can make the comparison with spring. There are good reasons to expect and equally cautiously optimistic around mid-March, but careful, because I don't know. That is why I think it is so important to do everything in my power to ensure that those elections can continue in corona time. That's what we're doing, and that's why this law is so important. So the question makes sense, but I can't really answer it. I can only say that we will do everything we can to ensure that the elections can continue. Mrs Van Esch went into that a little more in depth. She asked if we could not take some more time, because then we might have held the elections preventively a little later or something like that. But I also think that's crazy. I do not think it is necessary or desirable to postpone the elections even at this time. I really think it's my job to make sure we do everything we can to keep them going in a safe way. I believe that these measures are necessary for this purpose.
ParlaMint-NL_2020-12-17-tweedekamer-6.u76	We all think it is desirable that they just continue, but I have asked questions about "stel; what if...?" In the answers to the questions during the written round of questions, the Minister indicated that until two days before the elections, additional rules could be established by ministerial regulation. That is quite something, because it is actually a kind of open-ended agreement that we are about to agree to. How far can that go? Can the Minister say one or two days in advance: things are getting so out of hand with this corona, the elections are simply not going to happen on 17 March? Or can there be any other major changes and how far does that go? How am I supposed to imagine that? Because the minister is giving himself a huge blow to the arm.
ParlaMint-NL_2020-12-17-tweedekamer-6.u77	There are two things: let me see if I can convince Mr Bosma on that point. The second point he makes is that he says: you're actually giving yourself a kind of carte blanche before that election. But that is not what is proposed here at all. The temporary law provides a basis for ministerial rules on hygiene measures and personal protective equipment in voting rooms. They were also used in the reclassification elections. These are actually the usual rules we're using now, so the cough screens, disinfecting the hands and so on. There are also the masks for the members of the polls, how you provide assistance to people who need help and that sort of thing. So this is not really meant as a carte blanche, as Mr Bosma has read it, but as a defined basis for those hygiene rules. Suppose the general rules would be changed. Then this is where the hook is made to make that adjustment before the election. I cannot imagine what measure we would take together on top of the hands, the mouth caps and so on. But, yeah, just because I can't think of it doesn't mean it doesn't happen, and then luckily it can. The other side of Mr Bosma's question, which is a more fundamental question, is: what if? I'm just saying, I don't know. I can't predict that. We're doing everything we can to make sure it can go on. But if the situation surrounding the virus and the epidemiological developments were to require us to consider it, it would of course have to be a joint decision of the cabinet and parliament. There's no other way. A postponement of the elections requires the assent of the Chamber. That also requires a law. That's what the Constitution says. In the first letter I sent to the Chamber in the spring, I have already been very open about it. I said: that is very undesirable and we do not hope for any of that. But in the end, in the worst case scenario, that's what you should be seeing each other. We have also seen in other countries that this has happened. So I cannot rule that out, but we must do everything we can to prevent it from happening.
ParlaMint-NL_2020-12-17-tweedekamer-6.u78	My fear, on the basis of the answers to the questions put by GroenLinks, is that two days before the elections the Minister can still come up with a ministerial arrangement which will make it possible to achieve a far-reaching settlement, and I am not talking about masks or cough screens, which will change the way the elections are held, is therefore unfounded.
ParlaMint-NL_2020-12-17-tweedekamer-6.u79	Yes, Mr Bosma can really rest assured of that.
ParlaMint-NL_2020-12-17-tweedekamer-6.u80	Mr Van Otterloo. No? You're just a little bit in the picture, aren't you?
ParlaMint-NL_2020-12-17-tweedekamer-6.u81	So one thing is very clear: with this law there are no hooks to keep the election on another date. If that happens, it'll come back to the Chamber with a bill to act like this. It is also not covered by the COVID-19 Emergency Act. We're dealing with an orderly bill here.
ParlaMint-NL_2020-12-17-tweedekamer-6.u82	Yes, ideally indeed with an orderly bill. But you know that an orderly legislative proposal also takes time, namely at least a few weeks, and that is, of course, very quickly. What if we said together that it was not justified from a health point of view and that it was only very shortly before the elections? We say: you can't reasonably expect people to come. Then that just affects the turnout. In that case, the legitimacy of the elections is also at stake. That could, of course, be shown very shortly in advance. Again, I hope not. But that is something we need to discuss and organise here, also in a legally responsible way.
ParlaMint-NL_2020-12-17-tweedekamer-6.u83	I think it is very good that we are taking that decision here in Parliament and we are not being told by the media that the elections will not continue. That's very good.
ParlaMint-NL_2020-12-17-tweedekamer-6.u84	Listening well is also an art.
ParlaMint-NL_2020-12-17-tweedekamer-6.u85	Oh, yeah. That's why I'm doing this interruption. But has the Minister also prepared an emergency scenario? Suppose we have too few people at the polling stations on Monday, Tuesday or Wednesday at one time. There are municipalities that say: we can't open polling stations. Do you have people standing by? Have you spoken to the Defense Department or are there any other official services that some people have found willing to go to these municipalities to open those polling stations? I want to talk about those emergency scenarios.
ParlaMint-NL_2020-12-17-tweedekamer-6.u86	If we were to find out together that we should ask Defence to stand by the polling stations, then perhaps that is when we should look at each other and see if it is still wise to hold elections. That might have a very bad look. I think we're all hoping that this emergency isn't going to happen. But having enough people is indeed very important. That's why I'm going to say to the congregations until the end: provide a reservoir of at least 10% of people you can use. You could also imagine that, if there's a little more outage in a certain part of the country than elsewhere, you'd be looking at how to fix that. But we do have to organize it so well that it is not an obstacle on election day and the two days before that.
ParlaMint-NL_2020-12-17-tweedekamer-6.u87	Are you going to round up a little bit? I expect more proposals.
ParlaMint-NL_2020-12-17-tweedekamer-6.u88	I come to another point where there may be a single interruption: the exit polls. It's a bit different, that's my impression. I've agreed to speak to the polls, to the polls. That's what I'm gonna do. They've already been contacted through the department. I made an appointment to consult with them in early January. I can tell you that's gonna be online. We have a large number of polling stations in the Netherlands. They're used to working in a certain way. I would like to say that my first commitment is to ensure that they can do their normal work, even now that the polling stations are being redesigned. There must be sufficient polling stations, chosen by themselves, where they can carry out their polls. This needs to be taken into account in the walkways. I think it's all gonna work out. The second point is: when are the exitpolls coming? We do not really have any rules for this in the Netherlands. I think that's fine and we shouldn't do it this time. I assume that will be my commitment to the conversation that the polling stations do not publish exit polls before Wednesday 9 p.m., as is the case now. That is not to prohibit it; that is not my commitment at all. I think that can be dealt with very well in the conversation with them. I am confident that this will be supported by them. That is why I am not in favour of Mr Van Raak's amendment. I told you, we have a tradition that we don't have any rules for that. Some countries do, such as Spain, Greece and Turkey. The amendment says that you may hold polls and do exit polls, but explicitly forbids the publication of the results thereof. I think that's quite a limitation of their role. The question is whether this containment is proportional and enforceable. Is there really an urgent need to make legal agreements on exit polls for these elections, which we are indeed doing differently than usual? Or can we just make an appointment and say: don't do exit polls on Mondays and Tuesdays, because that is a completely random group of voters; just do it on Wednesdays? Mr. Chairman. Then there's the support statements.
ParlaMint-NL_2020-12-17-tweedekamer-6.u89	Two things can actually happen. One. The Minister makes a good appointment with the polling stations and says: we're going to do it for those three days as we always do. Then the amendment is, to say the least, superfluous. Two. I can't. Then we will have an influence, which the Minister also says we should not want. Then the amendment is a codification of a standard that we had in fact already unwritten.
ParlaMint-NL_2020-12-17-tweedekamer-6.u90	It is indeed an unwritten appointment. It's actually the practice. There is no legal or otherwise written record on this issue. My commitment is really focused on self-regulation. My bet is, let's do what we always do. That means Wednesday at 9:00 p.m. exit polls. That's the stakes of the conversation. Mr Van Raak says: it is the setting of the standard. But by setting the standard, we go much further than we've ever done in the past, because then we'll settle it legally. Once again, I am not in favour of this, not only for reasons of principle, but also because I think we have noticed that it is not working so well abroad. We know the situation in France. That's where it's being bypassed. What cannot be done in France is published on the Internet sites in Switzerland. Then it has very little effect, I think. I do not know exactly what we are doing with the ban. Voters can be informed in all kinds of ways. A lot of information flows continue, even when you would impose a legal ban on this. I'm really not in favour of it.
ParlaMint-NL_2020-12-17-tweedekamer-6.u91	I fully agree with the Minister. Its commitment is self-regulation by the agencies themselves. Is it prepared to inform us of this in the same letter about the polling stations following the discussions?
ParlaMint-NL_2020-12-17-tweedekamer-6.u92	That is actually a very good suggestion from Mrs Özütok. Let me agree with the Chamber that after the meeting in mid-January I will inform the Chamber of 14th or 15th, I do not know the date by heart.
ParlaMint-NL_2020-12-17-tweedekamer-6.u93	Please continue.
ParlaMint-NL_2020-12-17-tweedekamer-6.u94	On the statements of support, there was a question from Mrs Van Kooten-Arissen, and I also believe that there is an amendment, which I do not have the number for a moment. Her suggestion is to ensure that video meetings can be held for making statements of support. I understand that, and it is also good in itself if new opportunities are sought on behalf of new parties, but I must nevertheless discourage the amendment. The deadline for making the declarations of support starts very soon, on 4 January. It is really not feasible to organise this legally and practically for that time. My main point is actually that I don't think it's necessary, because I already got the signal. I have sent a letter to all the mayors saying that they must organise their trial carefully, so that there must be people who know what it is about, expert people, and that also those who come without an appointment... It was also about making an appointment first. No, it's not. You just need to be able to report to the counter and there the statement of support must be arranged by the municipality.
ParlaMint-NL_2020-12-17-tweedekamer-6.u95	But that doesn't solve the big problem that there may soon be 80 new parties that each have to ask almost 600 people, each individually... From the last election I remember very romantic stories: we went to the market with a van, got in together and then went to the town hall to sign all those statements. But, yeah, it can't be anymore. We're gonna have to ask everyone individually to come to City Hall. The hard lockdown at least lasts until January 19th. You're not gonna ask people in a hard lockdown to leave the house for signing a support statement, I guess. This is already very difficult and difficult for us to vote on. That is what we are talking about this whole debate, so let alone a declaration of support. There is by chance already an arrangement in the Temporary Law COVID-19, Article 26, for example, for an act to be signed in the presence of the notary. I set up my amendment exactly like this. It is quite similar to the system that has been put in place. Why doesn't the Minister want to see if that's possible?
ParlaMint-NL_2020-12-17-tweedekamer-6.u96	Mrs Van Kooten-Arissen points out that we are now in this lockdown, which makes it extra complicated. I agree with her. We all experience the consequences of this in all kinds of ways, especially with 80 new parties. I didn't know there were 80, but I take Mrs Van Kooten-Arissen's word for it. If you want to start a new party and participate in all the constituencies, you must have nineteen times 30 signatures. That's a lot. If you count the Antilles as well, I think it's 580 signatures. On the other hand, it is about a limited number of people per municipality. The town halls, the offices of town halls, are excluded from the lockdown. People who have to take care of something there can just do it. That's a legitimate reason to leave your home, do these actions coronaproof and go home. It does require some additional explanation, but there are no practical obstacles to doing so. There are practical obstacles to doing what Mrs Van Kooten-Arissen asks in her amendment, because it is really impossible to change the law before then and to organise it in the municipalities. Again, the letter to the mayors is very clear about that.
ParlaMint-NL_2020-12-17-tweedekamer-6.u97	That is why I have included a Member with whom this regulation has retroactive effect. In this way, support statements can be collected throughout the month, from 4 January to 1 February. At the time of entry into force of this supplementary law, they shall be valid retroactively.
ParlaMint-NL_2020-12-17-tweedekamer-6.u98	Again, I appreciate Mrs Van Kooten-Arissen's attempt. In order to meet her and others who have come to me with this problem, I have ensured a careful process. All municipalities are aware of this, so that it is possible for those who are setting up new parties and want to participate in the elections along that route.
ParlaMint-NL_2020-12-17-tweedekamer-6.u99	Yes, finally, Mrs Van Kooten-Arissen.
ParlaMint-NL_2020-12-17-tweedekamer-6.u100	The Minister has already extended the application period from two to four weeks. That's not for nothing. This means that it is particularly difficult at this Corona time to obtain the necessary number of declarations of support. Then it is also so that it was before the Minister decided to extend the application period that we are now in a hard lockdown. That makes it even harder. If you assume that we can relax on 19 January, you have just over 10 days left to collect the statements of support in the manner indicated by the Minister. Maybe that's feasible, but maybe it's not. That is a real defect in this election. Then, for all these new parties, you set a huge threshold for interfering in the democratic process as we set it up in the Netherlands.
ParlaMint-NL_2020-12-17-tweedekamer-6.u101	I understand the concern and I also like the fact that Mrs Van Kooten-Arissen is showing herself to be the person who is watching the affairs of new parties and the people who are working on them. But the lockdown itself is not an obstacle. It is not the case that we have to wait and see exactly what is happening on 19 January to ensure that these declarations of support can be made at the town halls. You can do that now. They are open and excluded from the lockdown rules. It is vital that that process can continue. It is also important that new parties explain this to those who are going to give a statement of support. So they can just go to the window for that.
ParlaMint-NL_2020-12-17-tweedekamer-6.u102	Then I suggest you move on.
ParlaMint-NL_2020-12-17-tweedekamer-6.u103	Mr Bosma rightly drew attention to the abuse of powers of attorney. That risk already existed and it continues to exist with two to three powers of attorney. I think it is very good to emphasise here once again that abuse of the power of attorney, for example recruitment, is punishable. It's not allowed. That is also clearly stated on the voting card. If there are signs of recruitment or other forms of abuse, they will be investigated. That's incredibly important. In the run-up to the elections, I will also discuss this with the Public Prosecutor's Office. It's not allowed. I have already undertaken to give the Chamber the final state of play by the beginning of February at the latest. With regard to the evaluation of the elections, as with any election, we are going to evaluate them. And now we do that even more thoroughly because of all the news. I expect the Court to have the results of the evaluation by June at the latest. I say to Mr Sneller that international observation missions are supposed to be present at our Lower House elections. The OSCE has already expressed its wish to be present with an observation mission. I have already said something about the ministerial regulation on the storage, transport and the like of ballots. That arrangement will be in consultation next week. After consultation, the scheme is established and published and can enter into force at the same time as the law. That is the normal procedure for establishing a system. Mr Bosma asked about the masks. I have already said in another debate that wearing a mask is mandatory in the voting room. There are the same rules as for other public places. A voter who arrives without a mouth cap will be asked by a member of the polling bureau to put on a mouth cap. Exceptions for people who cannot wear a mask for medical reasons apply there, of course, as everywhere. Only in the extreme, so if a voter does not give up a medical reason and knowingly ignores the rules, he or she could be refused entry. Mr Bishop asked about the use of enforcers. In principle, the polling station itself is responsible for and also capable of maintaining order within the voting room, but it can indeed call for assistance if necessary. That's a responsibility of the municipality. In consultation with the municipalities and with the ministry of JenV we will see if there are any special circumstances in relation to enforcement that require additional measures. So we're gonna keep a close eye on that. I say to Mr Öztürk that we have not considered voting online, not even with DigiD. The voting secret is very important. People need to be able to vote strictly anonymously. There must be no relationship between your voice and anything else in a system. So we don't want to vote online, in any way. Mr Van Gent asked for attention to be paid to the blind and visually impaired. It is true that, apart from these specific elections, this has been the focus of attention for some time now. At least we have the mold and audio support that can be used. We have seen in previous elections that relatively few voters make use of this. We are going to see if municipalities can work together a little better now that we also have several days to vote on. That might be interesting for this group, too. I am also talking to the eye associations to see if there can be more attention to this, so that people know that these possibilities exist. Then we can organize that a little more centrally. This point has been highlighted. I have a question from Mr Bosma, but I believe Mr Van der Molen spoke about it. It's about OSV and its control. I have already informed your Chamber that I have asked the Election Board and the municipalities to develop a proposal to check whether OSV has worked correctly in adding votes and thus in calculating the result. That proposal must be made in mid-January. So if I do inform the Chamber about all the other points, I will also be very happy to inform the Chamber about them. Then it is also clear how this control is going to be carried out and where it is going to be done. The Election Council also carried out such a check during the reclassification elections on 18 November and then found that the OSV had worked correctly. But I would like to come back to that in January or February. Mr. Chairman. Finally, the age limit for members of the polls. Excuse me, I should have dealt with this question earlier. Members of the polls must be 18 years of age or older. Tellers too, because they are alternate members of the polling bureau and therefore also apply to them the age of majority. That age limit is also laid down in the law. This does not mean that 18-minners cannot be involved at all, because, for example, they can play a role in building a polling station. By the way, by far the majority of Mbo'ers are 18-plus. Mr President, thank you. That's it.
ParlaMint-NL_2020-12-17-tweedekamer-6.u104	Thank you. Then we have had the first term from the government.
ParlaMint-NL_2020-12-17-tweedekamer-6.u105	I actually want to have a short suspension so that we can do a detailed work arrangement in between. Then we move on to the second term of office and government. Yeah? I shall now suspend the sitting for a few moments.
