ParlaMint-NL_2020-01-23-tweedekamer-9.u1	The Minister has the floor.
ParlaMint-NL_2020-01-23-tweedekamer-9.u35	No. The answer is: of course that outcome has relevance. Otherwise, we should not have done this social dialogue. In the coalition agreement it has been said that medical-ethical questions should always be viewed through three glasses. Firstly, has the medical scientific necessity been sufficiently demonstrated? Two: has the medical-ethical reflection taken place adequately? A third element of this review framework, a third one to look through, is: has there been a social dialogue and sufficient political reflection? So a hunch jump to the solution, which you like to do in a lot of files, you should not want to do with medical-ethical questions. That's the common ground of this coalition. The last step, that social dialogue, did not actually take place sufficiently on this issue, on the issue of embryo farming, before a proposal was put forward. You can find all kinds of things and maybe you can look at them differently, but that was at least the agreement between four parties at the start. That is why the government agreement states that the cabinet will not make a proposal to this effect before the social dialogue is conducted and that social dialogue is conducted. So if you ask me whether the outcome will be taken seriously into account in the decision of the Cabinet as a proposal to your Chamber, then the answer is, of course, yes. Is this a linear outcome, so is it tarfed "what do you think, then we're gonna do it"? No, it's not like that. But it is taken seriously, like the government agreement, which also means seriously in the review framework as it has been put on paper. But I'm not getting ahead of myself either. Your question is: is it seriously considered, is it indeed taken into account and is it an important factor in the government's assessment? The answer is "of course." Otherwise, we wouldn't have gotten that assignment from the coalition in this way.
ParlaMint-NL_2020-01-23-tweedekamer-9.u36	What we, as PVV, are very afraid of is that this social dialogue is much more an expert dialogue. Is it not useful to make a cut so that we actually have the expert dialogue, but also try to start this conversation with people in society, perhaps at a different level in terms of language choice, so that we can get a better view of how the population looks at this? Isn't that a much better way to handle it?
ParlaMint-NL_2020-01-23-tweedekamer-9.u37	That's a very good way of dealing with it. I know exactly what you mean. That is actually the criticism I hear from a number of other groups: are we actually doing enough? Perhaps it is more a question? This can be done partly by raising the level of knowledge or promoting the level of knowledge as part of the social dialogue, and partly by choosing a different type of conversation or location. Every time we asked a party to establish this dialogue, that was also part of the mission. Well, one day it'll work out a little better than the other. We just have to be honest about that. I indicated in the previous general consultation: give me the opportunity to work out, per dialogue, what we can do about it and what we can do about it and how we can do about it. We'll do that on the basis of how the dialogues are now being designed. Then we can continue the conversation. So in February, the letter will follow. I promised it to Mrs Tellegen, I think, in the previous AO. Then we can continue that debate. But I totally get your point.
ParlaMint-NL_2020-01-23-tweedekamer-9.u38	I am pleased with this remark, because it prevents us from wanting to move on in a somewhat hasty way. I get that. I understand very well that we want to do this right and take care of it quickly, but in a well-considered way. I think with this addition we'd better go that way.
ParlaMint-NL_2020-01-23-tweedekamer-9.u39	In the meantime, the conversation has gone a little further. I hear how the Minister is currently responding to the questions about himself interfering in that social dialogue. The Minister is very capable of explaining in a simple and clear way where the dilemmas lie, what the right information is and what it really is about. I'd like to see that part of him. That is why I have just welcomed Mrs Ploumen's question. I think it is very good to explain that the Minister has no choice but to follow a cabinet position, which is the result of a government agreement between such different parties. I think it's important that he does.
ParlaMint-NL_2020-01-23-tweedekamer-9.u40	Mrs Dijkstra once again gives me encouragement.
ParlaMint-NL_2020-01-23-tweedekamer-9.u41	Yeah, enjoy it!
ParlaMint-NL_2020-01-23-tweedekamer-9.u42	I have just explained my hesitation. I have also heard your encouragement to do so. I still think it is appropriate to choose a good time in this dialogue and also the right words and the right direction. I merely point out that my consideration of deliberately dimming has been to give this dialogue the opportunity and scope to be a real dialogue rather than being reactive to the position that a minister has already taken. You also don't want people to think: if you're already out, what are we doing here? Of course you don't want to. But I understand your encouragement. I will come back to that in February. I'll surprise you!
ParlaMint-NL_2020-01-23-tweedekamer-9.u43	Well, I'm curious. We're repeating ourselves a little bit, but I think it's important. I hear the Minister say that he should ultimately relate to the results of that social dialogue. I told the Minister that this dialogue must be social and representative. Because a dialogue that has taken place between experts, of which we know the outcome. We could now draw conclusions from that. In other words, my encouragement to actually find ways of involving society in the debate, as Mr Jansen has just said, is important. I do not want the cabinet to say that the dialogue has not got off the ground, but this is the conclusion and this is what the policy consequences look like. At the same time, I do not want it to lead to delays, as Mrs Ploumen has just expressed all her concerns.
ParlaMint-NL_2020-01-23-tweedekamer-9.u44	No, exactly. As a coalition in the coalition agreement, we gave a clear mandate to the cabinet. I have to say: as a coalition, you have given a clear mandate to the cabinet. I received that assignment after I was asked for this role. I started working on that assignment. In that mission, it is very well stated how this coalition wishes to deal with medical-ethical themes. This coalition has also taken responsibility for this in relation to the wide noises in the Chamber. Where it is true that some parties ask if it can't be a bit louder and say: you used to be on this line and now you seem to have agreed to this line. To be honest, I also like that about the medical-ethical debates we are having here. There is rarely a subject on which you dare to say so transparently, aloud as a political party: "Look, this is what I originally think. If I could read you my party program, this is what you hear. At the same time, I thought it was a good idea to come to this agreement with the coalition parties, knowing that they started from a very different starting point." Like you both just did. So transparently explaining "this is the proposal we found each other on, but this is what I actually find," you rarely see in coalition agreements. If you want to discuss medical-ethical themes in a good way, you want the content to come into its own enough and you want to look at all sides of the matter before you take steps, then it is very healthy to deal with them in that way. That's exactly what I like to do. That was the reason for my initial hesitation. It is not initially in the sense of: that hesitation is completely gone now that I have heard your encouragements. It has been a conscious choice not to go through a porcelain cabinet like an elephant at the start of these social dialogues. In that I made a conscious choice. I hear your encouragement and at least I have made an agreement with you that dialogues must be truly social, with all the limitations that we can think of. I think so, too. This also sometimes has to do with increasing the level of knowledge, with seeking other stages to conduct that debate and with the degree to which you yourself draw attention to it. In this way, I would also like to close my February letter to you.
ParlaMint-NL_2020-01-23-tweedekamer-9.u45	In my view, we must be careful not to start pretending that the social debate and the dialogues have only begun when this cabinet is in office. Mr Van der Staaij and I have both referred to the debates on the Embryo Act and on embryo selection, which have already taken place at the beginning of this century. That was almost 20 years ago. It is not that nothing has happened in all this time and that we have only now started to talk about the options, the possibilities and the risks. I would like to ask the Minister whether it is not also a form of parking policy to start a whole series of dialogues again. There is, of course, a time when, as a parliament, we must take stock of the long discussions that have already taken place. I would just like to ask the Minister whether he thinks this method is appropriate, namely that we should wait again for a whole series of dialogues which have actually already been conducted here in the Lower House, but also in the rest of society. There must also be a moment when we, as politicians, are able to take stock of the situation: these are all the views that exist, and that is why we are now going on to consider them. There's got to be one of these moments, right?
ParlaMint-NL_2020-01-23-tweedekamer-9.u46	Of course. There's gotta be a moment like this sometime. But I think it is a sensible line that the coalition has made these agreements. I also feel at home that you do things in the right order, that you first have a social discussion before you come to any decisions and that you take carefully and carefully the steps you have to take. I think that's wise. You can also come to another political choice. Of course you can. I think that the line chosen by this coalition is sensible, namely to keep that order and not to take political decision-making until after you have given the right space for a social debate. You must at least have given everyone the opportunity to interfere in that. I feel at home in that. I like that line. Sure.
ParlaMint-NL_2020-01-23-tweedekamer-9.u47	Okay. So the Minister says that he does not recognize himself in anyone who claims that this approach is also a form of parking policy and that it is also a way of moving a difficult discussion mainly to a next cabinet, because that is the feeling that lingers with me, and I think also with others. I think that's a shame. We should not do anything hasty; I agree directly. But I told you, we've been talking about this subject for over 20 years now. As a cabinet, but also as a coalition, you should not push back to society too much. Of course there are different opinions within society, but it is up to us here in this building, in this Chamber, to weigh those opinions and then to make sensible politics. I want to be vigilant about this, but I fear that it will be done, and that new proposals and new legislation will now be moved forward to another cabinet, because I think that is the line that has been put in place at the moment.
ParlaMint-NL_2020-01-23-tweedekamer-9.u48	No. I think I have already explained why I think it is important for these social dialogues to take place. If Mr Hijink means by his observation towards this coalition that if you put together a coalition that sometimes doesn't provide the space and opportunity to make some decisions that perhaps one or two parties within the coalition would have taken if they had had it all on their own, that is, of course, clip-and-ready. I don't think that's something to run from either. I think it is right to be transparent about this. I heard Mrs Tellegen and Mrs Dijkstra are extremely transparent about this. I am sure that if you had questioned the CDA and the Christian Union on that, they would have been equally transparent about why very precise agreements were made on medical ethics. This is because we have been prepared to bear government responsibility, but we find it very difficult to cross a number of medical-ethical bridges that we would prefer not to cross. Every time parties decide to become part of a coalition, they will take stock and say: these are the things I can bring into this coalition. No one in the Netherlands has it on their own; I think that is one of the beautiful things about Dutch parliamentary democracy. Nobody's in charge here on their own, and just when it comes to medical ethics, it's a good thing. That means that you always have weighted, prudent and cautious steps to take, as you actually do yourself. But you're taking steps.
ParlaMint-NL_2020-01-23-tweedekamer-9.u49	Mr. Hijink, very briefly.
ParlaMint-NL_2020-01-23-tweedekamer-9.u50	But then the conclusion is right that the contradictions within the coalition are actually mirrored as a kind of problem for the whole of society. These contradictions will also be certain within society, but in the end the contradictions within the coalition will indeed be leading and it will then become apparent that it is not so much a lack of social discussion but above all a problem of contradictions within this coalition. Well, that's important to establish here today.
ParlaMint-NL_2020-01-23-tweedekamer-9.u51	The fact that there are sometimes contradictions on medical-ethical themes has not been your observation. And you're certainly not the first to have determined that either. Moreover, I believe that these parties themselves have determined this when they were at the negotiating table. They've determined that very intensively. That has also led to the precise agreements that are contained in the coalition agreement, so that is not news. What has really been a new agreement in this coalition is that the mere fact that we disagree should not prevent us from taking steps on a number of points. That'll always be small steps. That's not a bad thing either; it's part of this theme. But we'll take some steps. And you won't be able to predict all the medical-ethical themes that come our way in advance. So let's see a way of looking at medical-ethical themes. Those are the three questions I just mentioned. One of these questions is: has there been sufficient social debate? And has time been taken for political reflection? I think that makes perfect sense. That is what every coalition should do on this issue.
ParlaMint-NL_2020-01-23-tweedekamer-9.u52	Political debate and social reflection: always good, especially on such an important subject. At the same time, it seems as if this is a question that still really needs an answer; as if this is a question that has not been answered before. But it is true that the previous cabinet has made a proposal to create opportunities for the cultivation of embryos specifically for that purpose, but that the Council of State said in a critical opinion that the weighting seems to be out of balance. It strikes me that I hardly hear that in the discussion anymore. Now all I hear is that there are parties that are trying to slow things down politically. But that was already a fact, wasn't it?
ParlaMint-NL_2020-01-23-tweedekamer-9.u53	Absolutely. The Council of State was critical. Reference has also been made to an opinion of the Health Council. That was, of course, a much broader advice, in which embryo culture was mentioned in relation to the much broader embryo discussion, so not only culture to improve the IVF practice and improve the results of ivf, but a much broader advice on how to deal with embryos at all. In relation to this, the need for embryoculture has been mentioned. In short, it's true. Yes, it is true that it has not been discussed for the first time; it has been discussed for a very long time. But this coalition considered at its start that at least there was not enough room for this social debate. Everyone may, of course, think differently, but that was the start of this coalition and thus the mission of this cabinet. If the question is whether this means that during this cabinet period you could no longer 'decide to', then I say: no, we have to relate to the results of that social discussion. Because that is what the government agreement says: the cabinet will not come up with a proposal until after that social debate has taken place. That is why I choose that focus point, because it is also really part of the mission in this cabinet period. But you are absolutely right: the Council of State certainly had a number of fundamental hesitations.
ParlaMint-NL_2020-01-23-tweedekamer-9.u54	Thank you. In 25 minutes, at 4.15 p.m., I would like to start the next debate.
ParlaMint-NL_2020-01-23-tweedekamer-9.u55	We have had quite a social debate here, Mr President.
ParlaMint-NL_2020-01-23-tweedekamer-9.u56	Yeah, you're going deep. That's very beautiful.
ParlaMint-NL_2020-01-23-tweedekamer-9.u57	But I've answered a lot of questions, too. I will answer some very specific questions. Mrs Tellegen asked about this analysis of carriership. In December, that report was presented with an ethical analysis by Theo Boer and Inez de Beaufort. This is the starting point for social dialogue, which runs until July. I have already indicated how we want to deal with this social dialogue, so I will come back to that. Mrs Ellemeet has also asked a question in relation to carriership. She actually says: why don't you look at the theme of carriership in the same way as this law? The same arguments apply to that theme of carriership, don't they? Shouldn't you have dealt with this right away, as the previous cabinet actually had in the same bill? I really do look at that in a different way. Choosing sex is already possible in sexually related diseases. That's a choice between 100% chance or 0% chance. So it's a choice between "1" and "0." So with something that only happens in girls or only in boys, it is already possible to choose sex, albeit as a final step in that whole pgd procedure. In addition, you first looked to see if you can get it out in another way, so whether you can also discover that gene mutation in another way. This legislative proposal then actually contains a small broadening of the scope of application. It's not about 100% or 0% chance, but about 90% or 10% chance, or 50% or 10% chance. In any case, it is an uneven gender incidence that is very different. But carriership is a 0% chance. This has to do with the recessive transmission of this type of disease, i.e. through a recessive gene. So you must also have another carrier of that same disease to express it. So you are sure that the embryo that is produced is never an affected embryo in the sense that the child who grows up from it will also have that disease. That does indeed mean that the weighting will be very different from the proposal before us. That is why we certainly do not regulate this in a single legislative proposal and say: boy, that is all about the same. No, there's a big difference.
ParlaMint-NL_2020-01-23-tweedekamer-9.u58	The Minister explained the purpose of the bill: there may be diseases that are so serious and that have such a negative impact on life that, if there is a choice, we want to avoid passing those diseases on to a next generation. That is what we want to avoid; that is the whole purpose of this proposal. Let that be precisely the purpose of preventing carriership of such a disease. That's the point. The difference is then: do you solve it, just to put it this way, in the next generation, or can it be that you solve it in subsequent generations? But the goal remains the same, namely that we want to offer future parents the opportunity to prevent a disease in very serious diseases that are sexually bound and where you can see that difference. Whether you do that for the child that gets the couple, or that you do it for next generations: that's exactly the same in spirit?
ParlaMint-NL_2020-01-23-tweedekamer-9.u59	But that is, of course, completely different in the medical-ethical weighting. That's completely different. In the case of sex-related diseases, the 100% probability that that sex-related disease will manifest itself in someone who is also infected with that gene will become manifest. This bill represents a small broadening of the scope of application, because that probability distribution is sometimes not 100/0, but 90/10 or because there is another chance of expressing that disease in the embryo that you now grow into a child in the context of IVF. What we are talking about here is that you are actually quite sure that the child who grows up from the embryo that we are talking about will not get that disease. It's a recessive communicable disease, so it's not like that kid's gonna get it. You're even sure that kid's not gonna get it. If you're sure, isn't the medical-ethical weighting completely different in relation to the entire context of the Embryo Act? That doesn't mean you should never go over that, but I think it's really unwise to put that under the same accolade, because it would also have something to do with sex choice. No, the whole weighting will be different, because the child who grows up from it will not have that disease, but will only carry it. So it's about passing that disease on to another generation. The child himself will one day be able to undergo that pgd treatment. In short, it really is a fundamentally different medical-ethical weighting.
ParlaMint-NL_2020-01-23-tweedekamer-9.u60	What I learned in the college ethics I followed at the university is that you have to go back to the essence, to the core: what is it about in the end? What's the essential assignment you have? In this case, if I translate it into this bill, it is that we want to avoid, as far as possible, burdening a next generation or subsequent generations with a severe disease, if that is the wish of the parents.
ParlaMint-NL_2020-01-23-tweedekamer-9.u61	No, that's not the point. You do have to get back to the essence. The essence of this bill is to prevent a serious illness in the child being born, not in subsequent generations, but in this child being born. That's the point. That is why you first try to check by gene mutation detection whether an embryo is or is not infected with a serious disease that you are trying to prevent. If that doesn't work, it's possible to proceed to gender-based selection. It is quite right, moreover, that Mrs Dijkstra says that this is not about gender choice. No, this is a means to prevent... That remark is therefore quite right. It's always about the one kid that's about to grow up. So it's not about the next generation. It's about that one kid. That is exactly the difference between carriership and this bill. In short, and again, it has not been said that you should not ever make a decision about it, but what I oppose is that you pretend it is about the same. It's not about the same. It's really a fundamentally different medical-ethical weighting.
ParlaMint-NL_2020-01-23-tweedekamer-9.u62	I really think that in such a debate we should not try to put the other one down with words that at least I do not recognize myself in. That is exactly what the Minister says: we must be able to have an open discussion here.
ParlaMint-NL_2020-01-23-tweedekamer-9.u63	Sure.
ParlaMint-NL_2020-01-23-tweedekamer-9.u64	With all the integrity I have on this subject, I'm trying to contribute something to this. The Minister may think otherwise. What really matters to me is that parents may have the desire not to saddle their offspring with that word, and I shall only use that word for a moment with a very serious disease. That could be the wish of parents. That is what we are saying here in this debate. When it comes to very serious diseases, we have a very careful procedure for this. That is the essence for me and, as far as I am concerned, my amendment is essentially about that.
ParlaMint-NL_2020-01-23-tweedekamer-9.u65	Yeah, so I'm looking at that a little differently. I think this is a good bridge to move on to the amendments. In that case, I have already explained a little what my opinion will be on this amendment. Shall I begin with this amendment? Then we take the tension away at once. I have to mention the right song. Could the piece no. 11?
ParlaMint-NL_2020-01-23-tweedekamer-9.u66	Probably piece No. 12.
ParlaMint-NL_2020-01-23-tweedekamer-9.u67	Oh, it's changed. Yeah, I'm sorry. I'm sorry. The amendment in part No. 12 is the amendment tabled by Mr Ellemeet and Mr Ploumen to replace the amendment to item No. 11. I think we have just had a very long discussion, because this is indeed about adding the element of carriership. I have said that I understand that you see this in the same direction. I meant to say that I understand that you see this in the same vein, but for me, the medical-ethical weighting of these two subjects is really a different one. That is why I would really like to deal with this as a matter of my own accord and not add it to this bill, but I would like to conclude the public debate first in order to reach a cabinet judgment. I therefore advise against this amendment.
ParlaMint-NL_2020-01-23-tweedekamer-9.u68	I am struggling with this because it is very complicated and we will have to vote on it later. The Minister actually gives a more procedural reason to discourage this now, while I am more looking for a substantive consideration in order to vote for or against this amendment. I understand that as a minister you can say: I prefer it in another law or at another time. But that is a procedural argument. What is the reason why this amendment by Mrs Ellemeet and Mrs Ploumen should not be recommended?
ParlaMint-NL_2020-01-23-tweedekamer-9.u69	First of all, I would like to stress that this procedural argument is also an important one, because it is linked to the mandate given to this cabinet by the government agreement. As regards subjects where there has been insufficient medical-ethical reflection or where there has been insufficient social debate, this coalition has chosen to instruct the cabinet to do this in the right order. I understand that you see that as a procedural argument, but for me and for the cabinet this is an important argument. I would just like to say that I will give a procedural answer to another amendment later, because that procedural answer is important in dealing with medical-ethical issues. I have tried to give the substantive argument that we really want to see this as two separate issues, in response to Mrs Ellemeet. Where this bill deals with the creation of embryos that will or will not have a disease that they carry not only in the sense that they could pass on that potential to a next generation, but in the sense that you are either very sure or very likely to develop that disease yourself and that you will get that disease yourself, you have a different weighting of the need to intervene. Then you have another weighting of the possibility you want to offer parents to intervene in the creation of the embryos, or actually in the selection of embryos you want to create. That really is a different weighting. Because in one case you're sure, or almost certain, and in the other case you're sure that the child that's being produced will at least not have that disease. So the heaviness with which you look at the potential transmission of that disease really counts differently. Again, that doesn't mean that eventually you can't come to a substantive choice to do it anyway, but the weighting is fundamentally different. That is why I do not believe that this should be included in the same legislative proposal, or that it should be included in the same amendment. It really has a different weighting. Another argument is, of course, that the gene mutation detection is now getting so much better that you also have a lot of possibilities along that path. It is then less objectionable, because it is not about sex choice. Mr. Chairman. Then I will go to the other amendments, which are about breeding. In my view, there are two amendments on cultivation. I just need to get my extremely orderly administration in order. I refer, if I am well informed, to the amendment to item No. 10...
ParlaMint-NL_2020-01-23-tweedekamer-9.u70	And the amendment to item No. 9.
ParlaMint-NL_2020-01-23-tweedekamer-9.u71	The amendment in part No. 10 by Mr Ploumen and Mr Ellemeet and Amendment No 10 by Mr de la Malène, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party Both are on the same subject, although Mr Hijink's amendment is much more focused on the extent to which it applies. I have just made an attempt to illustrate what might be a contribution and why it may or may not be entirely useful in relation to such a social dialogue, if you want to keep it going. In doing so, I reflected on the arguments that could possibly be a background in order to move on to the possibility of growing embryos for research. In this case, it is specifically research aimed at improving IVF practice, or wider. That is the variation in these amendments. The medical-ethical arguments must be weighed, as expressed in this debate. On the one hand, you could say: the Embryowet has quite deliberately said that you should never separate the creation of embryos from the purpose by which you achieve those embryos, namely to satisfy a child's wish. You always see embryos in relation to passing on life and entering into relationships. That's one way. You could say that's not instrumentalizing the embryo. That's what it's often called, although that might be a bit of a problem word. On the other hand, it is said: "We have already done research on embryos under a number of conditions. We already grow embryos, in the context of that IVF practice. In order to improve that IVF practice as such, you will need to make research possible, namely for day two, three and four of the development of such an embryo." That's what's on the other side. These are two fundamental reasons for providing an answer to these questions. The cabinet has chosen to conduct the social dialogue before making a choice. That is also explicitly stated in the coalition agreement. I am committed to referring to the coalition agreement in this way. That is why I would like to discourage both of these amendments. That's a procedural argument. I'm well aware of that. But it is a substantive procedural argument, because it is related to that agreement in the government agreement to conduct the social debate properly before reaching a position as a cabinet. I would therefore advise against both amendments.
ParlaMint-NL_2020-01-23-tweedekamer-9.u72	Mr. Hijink. And then I'd like to go to the second term.
ParlaMint-NL_2020-01-23-tweedekamer-9.u73	This is a very typical outcome to the moral dilemma we are facing here. It is also the discussion I had with Mrs Dik-Faber. The choice now made by the cabinet and by the coalition parties actually comes down to the following. Because of the procedural argument that the minister has just appointed, namely "we are not going to grow a limited number of embryos in order to do research," we cannot, in total, improve the effectiveness of creating the new life, which the Christian Union is so keen to do. That is, of course, a very strange outcome of this debate. You opt for a less effective method of ivf, which eventually leads to more residual embryos that you have to throw away or, as the Christian Union says, "destruction of life." That is the effect of this choice. But with a less far-reaching procedure, you can make sure that this destruction is stopped and that women need fewer IVF treatments and could therefore receive better care. I think that is a very typical outcome of this debate.
ParlaMint-NL_2020-01-23-tweedekamer-9.u74	You call it 'a result of this debate', but this debate is about the legislative proposal before you. So it is not 'a result of this debate'. It could be a result of a debate that has yet to follow. So by definition it is not 'a result of this debate', because there is simply another legislative proposal before it. At the same time, I understand the arguments put forward by Mr Hijink. When I was at the meeting in Utrecht, as part of the social dialogue, I found another citizen there, in the person of Mrs Tellegen, who had approached it as an interested citizen. So this is, of course, an argument that has a role to play in choosing how to handle embryo cultivation and how to look at it. What you are actually doing, and I really like that, is that you want to broaden the scope of research, while at the same time focusing on the medical-ethical concerns on the other side. That is simply a very valuable contribution to the discussion. My objection is that we do not finish that discussion today, because we are doing it in the way we agreed. So first we have the social debate, and then we weigh the outcome and we come to a decision. I think that at some point we will be pursuing this discussion in this house.
ParlaMint-NL_2020-01-23-tweedekamer-9.u75	Very well, thank you. So much for the first term. I'm gonna see if there's a need for a second term. There is. Mrs Ellemeet, please be brief and pointy. The same applies to Mrs Tellegen. Mrs Ellemeet is going to do it without paper, I see. The floor is up to her.
ParlaMint-NL_2020-01-23-tweedekamer-9.u76	Thank you, Mr. Chairman. That doesn't necessarily mean I'm faster, but I'm gonna do my best. They are in themselves very valuable and important but also difficult debates on such issues. You can simply disagree deeply, and then we, as opposition parties, are also opposed to a coalition that differs from one another. That makes it all extra complicated, because that adds an entire dimension. But my frustration is in the following. Yes, it's very good to look for the floor and discuss it with each other. I also wholeheartedly support Mrs Tellegen's and others' call for a genuine social debate. But let's be honest. A social debate, a conversation with each other, is desirable, but sometimes it is also seized by this cabinet to delay. That is the feeling that lingers with me. You can talk to each other about a lot of important and indeed groundbreaking developments, but there are also issues that are closer to practice and which you might ask yourself: is that debate necessary for that or can we take more steps? I have heard a number of colleagues say quite honestly: this is the space I have. I would consider that honesty or openness, let me put it this way, to be appropriate for the Minister. Is that debate really necessary for everything, or is it fair to say that that space is not there? Then maybe we can also prioritize a little more clearly in what we really want to have the conversation about and what we want to park in this period. Because that is, I think, the issue, especially when we are talking about Mr Hijink's proposal and the broad call from researchers, scientists and people who, for example, have a child's wish to give room for research into embryos, especially in the first few days, because that can improve the quality of IVF treatments. About the carriership we have changed the necessary. For me, the essence of the proposal we are discussing here is that we do not want to pass on very serious diseases to future generations. That's the core for me. That is why, as far as GroenLinks is concerned, it would fit very well to include the carriership in this. But there's a difference of opinion. That can also be done on a subject as complicated as this. I wanted to leave it at that. Thank you, Mr. Chairman.
ParlaMint-NL_2020-01-23-tweedekamer-9.u77	Thank you. Then Mrs Ploumen of the Labour Party.
ParlaMint-NL_2020-01-23-tweedekamer-9.u78	Thank you, Mr President. I cannot escape the impression that the contrast between the clarity of the positions of Mrs Tellegen and Mrs Dijkstra and the mist created by the Minister is really great. We have indicated that this bill is, as far as we are concerned, a step that we should take, but also that we would like to take a bigger step. All things considered, we also consider that a responsible step. It is a step that has also been widely discussed and discussed. We are very sorry that the Minister does not agree. I must say that his answer to the question of whether there is a decisive role for social dialogue does not reassure me. He does not have to answer that, because then he will say that there are three perspectives that weigh the cabinet. I agree with that in itself, but that has already been discussed and I get the strong impression that whatever comes out of that dialogue will not affect the government's thinking, because there is also something like the government agreement, as the Minister says. I'm not fighting that, but that's a bit of a conflict between us. Mr. Chairman. Having said all that, I think that the Minister should show himself more actively in the debate and invite people to participate in the discussion. That can be very good without taking a position. He does that on other subjects too often. To encourage the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the VWS Minister can play an important role in making medical-ethical topics subject to discussion, including embryo selection and embryo breeding;]] [[calls on the Government to make the issue of embryo selection and the cultivation of embryos more explicit in society, by having the Minister of the United States of America speak publicly about the importance and significance of this subject and the advantages and disadvantages of the various positions, and to inform the Chamber of how this mission is to be fulfilled,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ploumen and Mr Ellemeet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35173-14]]
ParlaMint-NL_2020-01-23-tweedekamer-9.u79	Finally, Mr President. I would like to thank colleagues for the debate we have had, I would like to thank the scientists who have taken the trouble to come to the round table and I would like to invite all the people to speak out and to relate to it. Even if it is not for all of us, and we should be happy with that, it has a huge implication for their lives, their children's desires and their potential children. We also have a responsibility to them. Thank you.
ParlaMint-NL_2020-01-23-tweedekamer-9.u80	Thank you. Mr Jansen of the Group of the Party for Freedom.
ParlaMint-NL_2020-01-23-tweedekamer-9.u81	Thank you, Mr. Chairman. Contrary to other moments, we do not now have the idea that the college is training here. In this case, I think the Minister is making the right steps.
ParlaMint-NL_2020-01-23-tweedekamer-9.u82	You said something about the college. The former alderman of Rotterdam feels appealed, but...
ParlaMint-NL_2020-01-23-tweedekamer-9.u83	Sorry, Minister. Let's talk about the minister. I believe that the Minister, on behalf of the coalition, is taking the right steps at the right pace. As a PVV, we can broadly agree with that. The Minister's invisibility surrounding the dialogues has been discussed. We believe that a little more could be done. The Minister can, of course, simply state what the balance is, without taking a stand. It is worth noting that the Chamber itself thinks about this in a nuanced way. But his presence could be good in itself. Then, very briefly, a response to the amendments that have been announced. I will not completely close the door to the amendment to item No. 13, but we do want to be consistent. That too is an issue that will be addressed in the dialogue. So I'm leaning towards voting against that, but I'm not exactly closing the door for you yet. Thank you, Mr. Chairman.
ParlaMint-NL_2020-01-23-tweedekamer-9.u84	Thank you. Then Mrs Tellegen from the VVD Group.
ParlaMint-NL_2020-01-23-tweedekamer-9.u85	Mr. Chairman. I thank the Minister for his careful and clear response. As I said earlier, I think he is very capable of raising the profile of resistance in society, such as what we have talked about here today. That's an encouragement. As I said, we are taking two important steps today. For some parties in this house, those steps don't go far enough. For other parties in this house it is the maximum achievable. That's what we're dealing with right now. The VVD would have liked to have taken greater steps in the field of carriership..................................................................................................................................................................................................................................................... That wish stands for my party. Its implementation will be delayed for a while. Let me come back to the social dialogue, because that is what we are hanging on a lot. That was also agreed in the coalition agreement. That is all very well, but if we do so, and if we call it a social dialogue, then that dialogue must also be social. That, I believe, is not the case at the moment. That's not weird either. The subject is difficult for long hauls, fast home. I would have liked to have tabled a motion on this. I do not do that, because the Minister has clearly indicated that he will soon come to the Chamber with a letter on how he will bring the social component into these dialogues. I would like to say to the Minister once again that this should not lead to delays again. But if we are going to draw policy conclusions from these dialogues, I also believe that these dialogues should be conducted socially and not just with experts. I'd like to leave it at that. Thank you.
ParlaMint-NL_2020-01-23-tweedekamer-9.u86	I'd be fine with that. Mrs Dijkstra of the D66 Group.
ParlaMint-NL_2020-01-23-tweedekamer-9.u87	Thank you, Mr. Chairman. I thank the Minister for his reply. It was clear and clear. So he's very good at that. I would also like to thank the Minister for his commitment to examine with the scientific associations for obstetricians, gynecologists and embryologists whether the model regulations in the Embryo Act are still up-to-date and complete. I think that's important. I would like to add that this may have to be done on a regular basis, because developments sometimes go so fast. Actually, that's what this bill is all about. The point is that the professionals in the conversation with the parents help with this absolutely unflinching decision and all its consequences. How can you prevent a serious hereditary illness for your desired child? Let me now turn to the social dialogue. Can I have a promise from the Minister that it was indeed completed this summer? I understand that this has already been promised. I hear the Minister asking what the subject is. The subject of social dialogue, namely the cultivation of embryos for scientific research. Can we talk about it again soon? 'Cause I'd like to take away the image we're trying to slow down. I don't want to slow down. I just want to keep going. That's what my party wants. I hope this works. Thank you, Mr. Chairman.
ParlaMint-NL_2020-01-23-tweedekamer-9.u88	Thank you. Then Mrs Dik-Faber of the Christian Union Group.
