ParlaMint-NL_2020-05-27-tweedekamer-5.u1	I now give the floor to the Secretary of State for Finance.
ParlaMint-NL_2020-05-27-tweedekamer-5.u63	I still don't understand. I think that is important for all those parents who are watching and wondering whether or not they are entitled to compensation. That must be a larger group than the group of CAF 11 and CAF-like cases. That's why it's clear. But with all the others inside CAF and outside CAF, it's not clear. If you then look at Donner's criteria, such as asking out evidence, even over several years, zero tolerance if there were errors and imperfections or if there was anything missing from evidence... That happened to a lot of people without being part of a fraud investigation. That is all the hardness of the scheme. That's exactly why we already got the message from the Tax Administration in 2015 that it was going way too fast, that there were falling back and that this was way too hard. I do not see how the Secretary of State can cut with scissors that one group is entitled to compensation and the other is not. Does that then end up in the legislation? I can't judge it. How are the parents supposed to judge that? What about the lawyers who stand by them?
ParlaMint-NL_2020-05-27-tweedekamer-5.u64	We'll talk about these laws next week. The exact nature of these different groups and the conditions under which one group is eligible and the other group is not eligible for compensation or for the hardness of the regulatory clause is also included. So perhaps it would be a good idea to discuss this further next week. But as far as we are concerned, there is a clear distinction to be made between the group that has been treated as biased and the group that has been affected by the hardness of the scheme.
ParlaMint-NL_2020-05-27-tweedekamer-5.u65	That is why I have such difficulty with Donner's report and with what he has done, although I also admire it. He talks about institutional bias, which was a summation of factors throughout the decision-making process. But look at the criteria, such as number 5: rejecting or reducing the claim in case of the least or least irregularity in the documents. That's what happened to a lot of people. That doesn't even have anything to do with bias. This has happened to a lot of people, not only if the Tax Administration has acted biasedly. Then you're really just in the hardness of the arrangement. I think a lot of people are watching: do I get or do I not get compensation? And we don't get it.
ParlaMint-NL_2020-05-27-tweedekamer-5.u66	The point is as follows. We are indeed talking here about the distinction between biased action... In fact, that doesn't mean much more or less than that the government deliberately put people in a situation where they didn't get what they deserved. A lot of work has been done to detect fraud. There wasn't a good look at the pieces. All kinds of information have been requested and it was not necessary to request it. Extensive research has been done. Decisions were also taken before any investigation was carried out. The childcare allowance has been stopped in people without even checking whether there was a right to it, whether there were receipts, etc., etc. This has also happened group by group in the case of the CAF investigations. You were the subject of such an investigation because your childcare agency was, at least in our opinion, committing fraud. That's how it was in most cases. There the sum of these different criteria played a role. That's exactly what Donner says. It's not about the singular fact. It's not the only fact that you were investigated, for example. It was a combination of factors that played a role in this. In that sense, the scheme was expressly not acted on in accordance with the structure of the scheme. In the case of the hardness of the scheme, we did indeed act in accordance with the scheme. There was indeed done exactly what was in the scheme, for example the story I was just telling. There was a receipt missing, but there was no proportional recovery, so for example: you didn't have the receipt for December, but you had the rest of the vouchers and you just got the first eleven months. No, you had to pay it back all year. That's exactly what that arrangement said. So that is the hardness of the scheme. That really differs from the biased actions, where other things are at stake, and where we are going to investigate this, it is also possible that documents may have disappeared deliberately, where there may have been ethnic profiling, etcetera, etcetera. So there really is something else going on here than where we have just acted in accordance with the rule, which we all now say, Donner and we are a little wider than Donner: that should not have happened and we think that we should put it right.
ParlaMint-NL_2020-05-27-tweedekamer-5.u67	Maybe I should ask the question another way. My point is that this was the decision of the Council of State, and that is why we are going to look back at the legislation that the legislation itself was biased. The all-or-nothing approach contained in the laws and regulations was envisaged. We assumed that people might start cheating. That's why you had to be as hard as possible, and if there was anything of an imperfection, all recovered. There is already a bias in that. If you then make a distinction between people who are only covered by the hardness clause that we are about to introduce, and the actions of the Tax Administration, then there is a difference that I think is gradual. I do not see this sharp distinction between the tax administration that went wrong and the laws and regulations that were too harsh. So what is the distinction between the hardness clause and the biased action of the Tax Administration? Because those criteria are not too harsh.
ParlaMint-NL_2020-05-27-tweedekamer-5.u68	I think I've just made it very clear what the difference is. In one case, the government has behaved in a non-legal manner and there has been bias. In the other case, there was the implementation of a law. I very much agree with you that that law was not good, even more so, that it was super hard and also very hard to work out. However, as far as I am concerned, there is indeed a distinction between these two categories, which is without prejudice to this, and I would like to make it clear that in both cases parents may be very badly affected.
ParlaMint-NL_2020-05-27-tweedekamer-5.u69	I'm looking for a sense in which different ways parents are treated. I understand the group, similar to CAF, group by group, that compensation scheme. Then there is a group of other CAF cases that are not now characterised as group-by-group too fast, biased. If I understand correctly, these people will then be assessed individually and, if that is the case, they will still be able to get into the compensation scheme. In the third group there is the possibility to do something in excess of the amounts we already have if there is any damage that goes on, in the impact on their marriage or selling their house.
ParlaMint-NL_2020-05-27-tweedekamer-5.u70	Exactly.
ParlaMint-NL_2020-05-27-tweedekamer-5.u71	Then we have the group hardness of the arrangement. That's where the law was applied, but we think that's too hard with that all-or-nothing policy. My quest is what we're going to do as parents sitting in this corner, which, if it's right, will be decided during the next period, and instantly, from the personal data search or from the blacklists, which was something else underneath. So how do you deal with that group? Are they still going to the compensation scheme, or is the Secretary of State saying: I have set up a safety net clause that gives me room to add to it here too? It is primarily intended for "you suffered from the severity of the scheme, but this is so hard for me to do more." Can she also use this to increase the fee if there is more going on, e.g. ethnic profiling? Does that go down that route, or does the Secretary of State switch to what I just call the "Donner's Regulation"?
ParlaMint-NL_2020-05-27-tweedekamer-5.u72	Since it concerns hypothetical cases, we have not yet given a ruling on them. However, as far as I am concerned, it is clear that if there are situations where this would have been the case, we must find a solution either along one route or along the other. In fact, I think that if I have been shown to be ethnically profiled, I should once again make a proposal to your Chamber on how we deal with it. The scheme offers two routes for this. That is the route of either compensation or safety net determination. Again, we're going to talk about it again next week. But that is what we will have to talk about, because I also think that this should be looked at again. But again, we haven't figured that out yet. Where it is, we need to talk about it further.
ParlaMint-NL_2020-05-27-tweedekamer-5.u73	We would have preferred that information from, for example, the authority, precisely because you want to do it in one go. However, I understand that the Secretary of State says: if we judge someone and we say 'you are not covered by the compensation scheme but by the 'hardness of the scheme' scheme, I am sorry, Mr President, for all that jargon, that person will get back the money he had to pay. But what we are still saying is that that does not in any way limit the possibility of doing something on top of it, regardless of its shape. People are entitled to this if it becomes apparent that either by blacklists or otherwise, there has indeed been bias and group action.
ParlaMint-NL_2020-05-27-tweedekamer-5.u74	I agree that we need to see what that fits into.
ParlaMint-NL_2020-05-27-tweedekamer-5.u75	In December we also stood here with Minister Hoekstra and even with the Prime Minister. At that time, the promise was actually made that people would receive their files in the short term. It was said that we are not making promises that we cannot deliver and we are going to ensure that this is dealt with in the short term. Now I understand from the answer that it is all a bit more complicated. That is why these files cannot simply be transferred. It appears to be thousands of documents distributed throughout the organization. I wonder how you can't submit those files, but then you can let Donner decide that 8,000 files do not qualify for that compensation.
ParlaMint-NL_2020-05-27-tweedekamer-5.u76	Perhaps I could take up a few elements of your question. You mentioned the situation in December. Then all we had left was parents who had been part of a CAF investigation. This involves both the CAF 11 study and possibly other CAF studies. We have seen later that there is also that hardness of the scheme. That is why the scheme has been extended. Thus, more parents than parents in the CAF files may have been affected by the problems associated with the childcare allowance. We have just talked about these two different arrangements. So after December, the Donner Committee's investigation was further extended. In the cabinet response we prepared in March, we said that we want to do much more and that we also want to offer the parents who have been the subject of this biased investigation of ours a possibility of compensation. Which parts of your file do you need to actually assess whether you are eligible for compensation? You don't have to have the whole file on parents. That requires elements. Of course, we're gonna put it together with the parents. We are going to do everything we can to ensure that it comes to light, so that we can do parents justice and give them what they are entitled to, either in accordance with one scheme or in accordance with the other. Then the first selection Donner had asked us to make. I understand that sometimes it's really complicated for the parents, too. It's got complicated steps in it, so I'm trying to make it clear. Donner asked us to first look at the CAF files as a total. So the question is this: are there, in addition to the CAF 11 dossier, where it has been clearly demonstrated that this bias was there and where parents have now also been compensated, other CAF files that dealt with the same type of procedure and are there CAF files where that has not been the case? That selection is now made. If this is not the case, it is sometimes due to the fact that there was no childcare allowance. Sometimes it also has to do with the fact that in such a case, for example, no action has been taken towards parents at all. Then an investigation may have started and there may have been an investigation into an agency, but nothing else happened to the parents, which didn't cause these parents any problems. So on that basis, we were able to make that distinction. However, as some of you mentioned earlier, there is also the possibility that, apart from being subject to a CAF investigation, there are multiple parents in your CAF file who have not all been treated in the same way biased. So there may be a CAF file where maybe half of the parents are eligible for a scheme and the other parents are not. That variant also exists. The fact that it is so complex also means, of course, that we always have to look very carefully at those files.
ParlaMint-NL_2020-05-27-tweedekamer-5.u77	Is it clear to these parents on the basis of what criteria they fall into one group or another? Can they object to that? Will they have the time to appeal or object on the basis of their total file? How are you gonna take the people in there?
ParlaMint-NL_2020-05-27-tweedekamer-5.u78	What we are going to try is to communicate as openly, as well as clearly and as clearly as possible, and to indicate on the basis of which criteria decisions have been taken. Again, we do this not only from the Tax Administration/Applications, but together with independent committees, which we have watched. We think it is very important that a very careful assessment is made. Of course, these parents are entitled to know why a decision has been taken and on the basis of which criteria it has been made. In any case, we have said: before we enter a period of objection and appeal, we first sit down with the parents at the table to pick things up and understand what is going on. We will then do the re-evaluation, if necessary, before we actually enter that appeal and objection procedure. We want to prevent parents from having to go to court to get them right. I think it is incredibly important that we look very closely at these files together with them.
ParlaMint-NL_2020-05-27-tweedekamer-5.u79	If I'm right, 40 parents have already objected.
ParlaMint-NL_2020-05-27-tweedekamer-5.u80	That's about people from the CAF 11 file. People have already received money in December. Further calculations were then made and some of them received a further sum at the end of April. They were given their final decision. Those parents are still covered by the scheme in force in December. I realize that it is extra complex, but the arrangement in force in December is not the same as it is today. So we asked these parents to indicate: if you do not agree, you must of course report to us; then we will look again. But in December we did not have the arrangement we now have in our cabinet response, namely that you have the possibility of additional compensation if you can show that this is linked to the problems of childcare allowances. So the CAF files haven't been completed in every way. Parents have simply received a sum and they have also received a final decision, but with those who are in those files, we are also going to take a step further if they so wish.
ParlaMint-NL_2020-05-27-tweedekamer-5.u81	Mrs Van Kooten-Arissen, then Mrs Lodders and then Mr Nijboer.
ParlaMint-NL_2020-05-27-tweedekamer-5.u82	I hear the Minister say that we look together as openly, as well as transparently as possible with the parents to see elements in their file, the CAF file or any other file, and then see what category they fall into and what they are entitled to, to do justice to the parents. Now it's true that parents who already had a contact have been called. We have heard that tomorrow thousands of parents will receive a letter stating which category they fall into. On what basis was that decision made?
ParlaMint-NL_2020-05-27-tweedekamer-5.u83	Exactly what I just indicated to Mr Azarkan: based on the first qualification, or the first classification that we have been asked to make with regard to all CAF files. Which CAF files are subject to group bias and in which case is this not the case? That is the first step we have taken. We're going to inform the parents about that. We know that it is quite hard for parents to get off our mail, especially if that mail means: your file is not a group bias. For a lot of people, that's very difficult. In fact, I've had some parents on the phone about that. They have made it very clear that this is the case. That's why we chose to call people in advance, so they know that letter is coming. I also recorded a video that I put on Twitter to inform them about. That is why we have done so in this way, but that is based on that very first step in the assessment of the CAF files, which is to make a distinction between files in which group-by-group bias played a role and files in which it did not.
ParlaMint-NL_2020-05-27-tweedekamer-5.u84	Yeah, but it's not with the parents, is it? That's based on a first selection. That whole file has yet to be compiled! It is very strange that these parents are now suddenly confronted with a phone call or with a letter, in which they are told in which category they fall, that they do not fall within that compensation scheme. I can tell you that those parents, who were sitting here in the public gallery during a lot of debates, including one of the parents I was talking about in my contribution, are really going through hell. They're incredibly sad, and then they get one of those phone calls from the IRS. From: "Well, we've looked at it, first selection, you're out of the scheme." That's not right, is it? Surely all these files must first be completed and communicated to parents in full transparency?
ParlaMint-NL_2020-05-27-tweedekamer-5.u85	Well, we're completely transparent and we choose to compensate them, too. Just two things. Number one, I know with you how serious it is for those parents and how hard it is for them. That is why I think it is important that it is very clear what the step we have now taken is. The step we have taken is exactly what we have indicated that we would do. We had already announced this in webinars with parents. It is important that it does not say in that letter that they do not receive compensation in the sense of a scheme or compensation or otherwise. It merely states that in their CAF file there is no mention that they are part of that group-by-group biased treatment, and that, if they do not agree with that, they can, of course, discuss it with us. Mr President, it is sometimes a bit difficult to talk, with...
ParlaMint-NL_2020-05-27-tweedekamer-5.u86	Yes, it is a bit annoying that everything is being called in between from the room. The room is noisy anyway, so please bear that in mind. What do you say outside the microphone, Mr. Ommzigt?
ParlaMint-NL_2020-05-27-tweedekamer-5.u87	One and a half meters doesn't work for...
ParlaMint-NL_2020-05-27-tweedekamer-5.u88	I'm aware of that. But what I wanted to say is that these parents have not been told that they are not eligible for an arrangement. They have been told that their CAF file does not fall within the category of group bias, that on that basis they are not covered by the compensation scheme either, but that they can use the hardness of the system and so on and so forth. But that is before their file has been reviewed, because in this case it was only about whether or not they were subject to group bias.
ParlaMint-NL_2020-05-27-tweedekamer-5.u89	So we are talking about the hardness of the system, and we have already discussed it very extensively. That legal protection is not open to these parents, because that is exactly what it is: they are completely out of control. That legal protection... They are not eligible for debt relief, for debt restructuring. All these parents are now totally trapped.
ParlaMint-NL_2020-05-27-tweedekamer-5.u90	The fact that parents are trapped is very clear to me and I have already indicated that I am in the process of looking at it together with municipalities and so on and so on. But in all the decisions that are taken here and all the decisions that we submit to committees, all these parents have all the legal protection. They can call us at first and ask for a re-evaluation. There's objection, appeal, there's everything. But I have also indicated that I think it is so important that we do not get into that situation and that we should also consult them on this.
ParlaMint-NL_2020-05-27-tweedekamer-5.u91	I'm sorry, but you're easily ignoring all these problems. People have to beg for a re-evaluation. They have to beg to get some more steps taken in their legal protection. Those people are totally grounded, both mentally and financially. They need help, and the Secretary of State isn't gonna make it through a webinar or a phone call. Those people really need to be taken into account in their files. That dossier must be completed and they must be given the rights they deserve, because they are not a fraud. And as far as the hardness of the system is concerned, no one can ever have meant that innocent people are going to be completely destroyed.
ParlaMint-NL_2020-05-27-tweedekamer-5.u92	But I also agree with you 100%. You're talking about a situation that has arisen... In fact, one of the most important reasons why I'm here is because things got so out of hand, that things went so wrong and that parents are in so much trouble. I've spoken to dozens of parents, I know how serious it is, and I'm also extremely motivated to deal with this. But you must not say that these parents will have no legal protection from now on. That's not true, because they have legal protection. All of this has been included in our arrangement. And again, we're gonna talk about it extensively next week. It is also our express wish to do this together with those parents, because I very much want them not only to be done justice, but also to have confidence in that government.
ParlaMint-NL_2020-05-27-tweedekamer-5.u93	Just came by the parents of the CAF 11 case. I assume that the Secretary of State will return to them separately. They may have had a final decision, but there are also a few problems with them. I'd like to go on for the last hour and a half. The Secretary of State has begun to state that these people can be classified into three categories and that the distinction has actually been made: you fall into category 1, you fall into category 2 or you fall into category 3. Let me say it in my own words; I hope that everyone will understand. It would be very helpful if the Chamber, preferably before Friday, would receive a flowchart. I think that would help not only me, but all the parents as well. In that flowchart, it should just be explained clip-and-ready what happens, for example, when you are in box 1. Then how did we lead your file to the end? And if it turns out that you may not have a right to something, to what extent can you possibly use category 2 or category 3? What about the evidence? How can parents who have an incomplete file be assured that their information is being evaluated? I actually have the following very specific question that I asked in my speech: does the Secretary of State want to make such a flowchart? Because we've been here for an hour and a half trying to convince each other that it's all right, but with all due respect to the parents who are listening, I say: they really don't understand anything about this.
ParlaMint-NL_2020-05-27-tweedekamer-5.u94	I think that's a very good idea. This is indeed linked to the law that we are going to discuss next week. Then we can have a very sharp relationship with each other about how it works with those categories, regulations and so on. For I do my best to explain it in the most understandable way possible, but I agree with you: it is indeed incredibly complex.
ParlaMint-NL_2020-05-27-tweedekamer-5.u95	Thank you very much for this commitment. I hope that we can have this by Friday at the latest, so that we can also use it in the input on the emergency legislation before us. We are talking about compensation, and we are talking about a safety net clause. That is what I hope to see in that schedule. Maybe some things haven't worked out yet, but I really want to see it very visually. People who are perhaps a bit less educated lyrically should really be able to see it. That would help us.
ParlaMint-NL_2020-05-27-tweedekamer-5.u96	Absolutely.
ParlaMint-NL_2020-05-27-tweedekamer-5.u97	Mr. Nijboer.
ParlaMint-NL_2020-05-27-tweedekamer-5.u98	I've been a spokesperson for several years about the misery in Groningen. In 2012 there was an earthquake. I actually recognize a lot from there today. There are different groups and different procedures, one is entitled to this and the other is entitled to that, everyone has to be done justice and hard work is being done, but it continues. I said in my term that I find it unacceptable that it should take until 2021 to do justice to anyone from any group. Can the Secretary of State promise to compensate everyone who has been wronged here in a few months?
ParlaMint-NL_2020-05-27-tweedekamer-5.u99	I can't. However, I indicated that we will start paying out to the first parents in July. We are doing this on the basis of the work that we are going to do in the coming months, including with them. I'm going to do everything I can to deal with all the files as soon as possible. But it must also be done carefully and it is indeed very complex per parent. It's not like all parents are entitled to exactly the same thing. There are complex dossiers, it's about several years, it's about very different types of amounts, it's about a lot of different situations. If we want to do it legally and do it right, and we want to do it righteously, and on the other hand we also want to ensure that the parents are well involved and that they understand it well, then we need time for that. I say again: the first amounts will be paid out in July, but we will really need more. I told you, it's about 20,000 parents. An incredible amount of people have to work on this. We've set up an organization of about 500 people to work on this. It is indeed a lot of work. I also think it is important that it should be very clear to the parents when it is their turn. A question has also been asked about this in one of the contributions; I'm bumping through the cubes a little bit, I must say. In order to make it very clear when who is next, it is not only necessary that we make clear which files they are and how many have come in, but also who can be dealt with by us at what time. In this context, it is very explicit that the people most affected should be the first to be helped. This is partly about, for example, the amount of the amounts, as has already been said. But it is also, for example, about whether someone is still in debt at the moment and is very much in financial trouble, because it is probably more important to help someone. But there may also be other elements.
ParlaMint-NL_2020-05-27-tweedekamer-5.u100	These are all very recognizable arguments. In Groningen, the houses with the greatest damage must also be strengthened first. But this approach to the rule of law, which is about procedures and does not want to create precedents, it all has to be neat and every case is complex. The lives of the people and their children, who grow up, do not stand still. My question to the Secretary of State is to make that factor of time much more binding, including for the cabinet itself. I'm just asking her not to accept that that solution is taking so long. We are now another year after the apologies of Secretary of State Snel, who would arrange everything for parents as soon as possible, and only a few parents have been compensated.
ParlaMint-NL_2020-05-27-tweedekamer-5.u101	I agree with you more than anything. I have also said in my contribution that I think that speed is very relevant. But again, it is also about care and about the fact that there are a lot of dossiers involved. Perhaps it reassures you that some of the people who are or have been very involved in Groningen's file are on our administrative advisory committee, in order to avoid that, so that we do not have to deal with any problems that might have arisen there. That therefore helps us to make the right assessments, including in terms of the arrangements, in terms of pace and in terms of communication with affected people. So we're working very hard on that. Again, I would point out that we want to make a very tight schedule and that we also want to share it with the parents. I suggest that we also report very regularly to your Chamber on how many cases we have, which have been dealt with, how fast that is going and what is going on and so on. I am, like you, very impatient to ensure that this goes as quickly as possible.
ParlaMint-NL_2020-05-27-tweedekamer-5.u102	In Groningen, the word was "beautiful." "We're going to compensate everyone generously." And there is no Groninger who thinks he has been treated generously. Here we run the same risk with "careful." I really believe that the Secretary of State is trying to do it carefully and fairly. But if, in the end, none of those parents feel right, their lives are broken and they're in uncertainty about what's going to happen for years, then we didn't succeed. I really believe that politics is obliged to impose a deadline now in order to find a proper solution for each individual case. That is to be measured by the question of whether people think that their right has been done. I'm asking the Secretary of State to go along with that.
ParlaMint-NL_2020-05-27-tweedekamer-5.u103	I think Mr. Nijboer also knows that these parents have so incredibly lost faith in the government. I want to avoid giving these parents a deadline that is not based on any substance or which is not feasible or based on nothing. That gives them an idea that something is going to happen, and that deadline may not be feasible. So I do not think that is a sensible idea at the moment, since I do not yet know exactly how many files there are, nor exactly how long we take to assess a dossier, together with that parent. I do not think it is wise to lay down some sort of planning already, which I do not know whether or not I can make it. If there's one thing we shouldn't do to these parents, it's promise that we can't deliver. But I agree with you that it is very important to share it, including with those parents, as soon as we have more insight into it. I also very much agree with you that we should treat the most affected parents first and that we should not delay making files extra beautiful. We have to do this, and we are already doing it very hard at work.
ParlaMint-NL_2020-05-27-tweedekamer-5.u104	Finally. I'm not asking the Secretary of State to make promises she can't keep. Then you end up in the ditch from the shore; no one was helped with that. However, I do not think that the approach is right if the outcome is that we have not compensated people until 2021, as is now foreseen................................................................................................................................................................................................................ Well, then you'd better do it differently. I therefore believe that the cabinet should not accept that it is taking so long. Parents can't wait that long.
ParlaMint-NL_2020-05-27-tweedekamer-5.u105	No, Mr. Snels, first Mr. Edgar Mulder. Then it's your turn. Yeah?
ParlaMint-NL_2020-05-27-tweedekamer-5.u106	In advance, I have heard the Secretary of State say two or three times that the CAF 11 case has been closed. That's not true. Around 20% of the people concerned have objected, so that is still ongoing. That's not finished. What is even more important or equally important is the following. The Secretary of State talks in one sense about restoring trust and being careful, but already labels thousands of people without having access to the file. And I don't think that's right.
ParlaMint-NL_2020-05-27-tweedekamer-5.u107	Maybe we should talk about the CAF case. I don't think I said that the CAF 11 case is complete. There's been compensation. All the people who were part of that CAF 11 case received financial compensation as early as December. A number of parents have objected to this. Those things are still going on. My point was that compensation has already been given to people in this case. I referred to the initial assessment of whether there was a group-by-group examination of the dossiers. That is a step we have taken on the basis of the Donner Committee's opinion. That is not yet under discussion at file level. It is not yet a question of whether parents receive compensation or not, it is a question of whether you belong to the group of parents who have been subject to a group-by-group biased treatment. In other words, is the CAF file you're in next to the CAF 11 file, there are several CAF files, which are group-by-group bias? That is the distinction that has now been made. For that, we have not all had to assess the individual dossiers. We did look into what happened in those CAF cases.
ParlaMint-NL_2020-05-27-tweedekamer-5.u108	Quite literally, the Secretary of State says: we did not have to assess all the dossiers in substance...
ParlaMint-NL_2020-05-27-tweedekamer-5.u109	Not yet. Of course, we will, because we have to work with these people to determine what compensation they will get.
ParlaMint-NL_2020-05-27-tweedekamer-5.u110	But if you don't look in a file, you can't label it either. Where things went wrong at first, which is why we've been standing here for years, is precisely that people are labeled because they were in a group somewhere, at a certain agency. No individual assessment has been made. I hear we're doing the same thing again. I don't understand why you can't explain that in a few words. We're talking about it for an hour and a half. If we do not understand it, then the rest of the Netherlands has a problem with it. It is your job to explain in a few sentences why what you are doing is right.
ParlaMint-NL_2020-05-27-tweedekamer-5.u111	That's a very broad sentence. It is now specifically about the letters that will fall on people's mats this week. These are parents who have been subject to a CAF investigation, sometimes without even noticing or ever knowing. In the context of these fraud investigations, offices were looked at. In some cases, it has been concluded that not much was actually going on or that nothing was going on and nothing else happened to the individual files of the parents who joined that office. These are the parents we have indicated "you have not been part of a group-by-group biased approach that you have suffered or noticed." And that's exactly the difference we're making. There are parents where that is the case and there are parents where that is not the case. And that's what we're going to report to the parents in that letter. We also indicate, of course, that they should contact us if they do not agree, because then we have to discuss what is going on with each other. Is there any additional information that makes them think it is? We also indicate in that letter that they may be eligible for, for example, the hardness of the scheme.
ParlaMint-NL_2020-05-27-tweedekamer-5.u112	But despite the fact that you have released EUR 110 million to invest in research and despite the fact that you have put 500 extra people to work, who should assess 40 dossiers each, you continue to insist that it is good not to do so and simply to label them in advance.
ParlaMint-NL_2020-05-27-tweedekamer-5.u113	No, it's not good at all to... For the sake of clarity, this 110 million is not for research, but it is for the organization that is going to ensure that all parents, in total, are examined and viewed. On this basis, decisions are also taken on compensation. Once again, we do so that each of them gets a personal contact. But the first step that we had to take, I understand very well that that is complicated in that whole process flow and we are going to do that too.. was about the question in which CAF files there was such bias. In CAF 11 that was clearly the case; in some others it was not. We will ensure that more information is provided on this matter.
ParlaMint-NL_2020-05-27-tweedekamer-5.u114	Mr. Snels, there you are again.
ParlaMint-NL_2020-05-27-tweedekamer-5.u115	Mr President, I have now given up the hope that today we will be able to clarify the distinction between the different groups. So that has to be in the legal process. A brief question on what Mrs Van Kooten-Arissen said about communication and all those letters. We know that didn't go well in the past either. We also know that the Secretary of State is working hard on it and also working with the municipalities. Now I, and I think other MPs, received an e-mail from the debt relief association. They're looking at how the IRS is now communicating with part of their clients. There will be a huge overlap between the people in the debt relief and the affected parents. They're offering their help. Would the Secretary of State undertake to contact this debt relief association and to involve them in the way people are helped?
ParlaMint-NL_2020-05-27-tweedekamer-5.u116	Sure, because we have already had contact with them, for example about two questions. If parents receive compensation, this can have an impact on how they continue to provide debt relief and the debts that are still in it. Together with municipalities, I want to look very closely at what is happening. Again, we'll get back to that in that law next week. You want to prevent someone who is about to be compensated or who receives financial compensation from us, from losing their right to allowances in one way or another or being taxed for property. That's what our law provides for. And we are also talking to the association of debt relief workers to see how we can make it work properly. By the way, we do this again with a number of municipalities involved, to see how we put it together properly. Forerunners are Tilburg, Rotterdam and Amsterdam. So I'd love to, because they play an important role in helping their clients. With their clients also plays that not only the Tax Administration or Fees is part of the package of their debts. That could be others, too.
ParlaMint-NL_2020-05-27-tweedekamer-5.u117	You had divided your speech very neatly into parts, but by the interruptions...
ParlaMint-NL_2020-05-27-tweedekamer-5.u118	Yeah, I'm gonna keep going. I would have stayed with the piece on the compensation scheme itself.
ParlaMint-NL_2020-05-27-tweedekamer-5.u119	But there's been a lot of interruptions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u120	Yeah, I think I've already had some of those. I'll walk you through it. We have said how it works if people do not settle for the level of their compensation. The first is helping the most poignant groups; I have also said something about this. We think it's important to do that as soon as possible. I see another question here that is open, across the border of €1,500 a year. Donner's research, or rather Donner's opinion, suggests that parents should be eligible for recovery if they have had to pay back an amount of €10,000 per year or if that amount has been recovered. We've lowered that line. We have thus increased the group that is eligible for this. The main reason for this is that we believe that there is a very large group of parents who are between €10,000 and €1,500 recovery per year and who would otherwise not be eligible for the scheme. You ask what this means for the execution. The element of these people is already in our calculation of the 20,000 parents eligible. This means they'll be taken too. This means that they have also been taken into account in the financial calculation that we have made, half a billion euros of compensation, and in that provisional, very crude planning that we will be doing so this year and also part of next year. With regard to communication, we are going to try to find many forms of communication, because we find it incredibly important that we approach parents as well and as personally as possible. I already told you. Parents are given personal business managers, who are already working. Some of them are already at work. I also had conversations with parents with them to give as many parents as possible personal attention. But it won't be easy, because a lot of parents really lost faith in the government and in us. There will therefore have to be very careful talk and surgery. We are trying to do this in the best possible way. Of course, we will continue to steer on that. Last but not least, we have set up the parent panel, the chairman of which is Arre Zuurmond, the Ombudsman of Amsterdam and the Amsterdam region, to help us do the best we can with communication with parents. We think that is very important.
ParlaMint-NL_2020-05-27-tweedekamer-5.u121	It's about the point of the €10,000/€1,500. The Secretary of State has indicated that the cabinet has decided to lower that border, so that the group will grow. That line supports my group. But the group gets a lot bigger. My question was: to what extent can the Secretary of State make a distinction, bringing forward the most poignant cases? With a larger group, we need a longer period of time to assess all the files. Is the Secretary of State prepared to look for an opportunity to perhaps put some divisions between them, so that precisely those poignant cases stand in front of the queue to be helped? How's she gonna do that?
ParlaMint-NL_2020-05-27-tweedekamer-5.u122	That is what we are doing, because in principle we are working on the basis that we want to help those who have applied first. But we also want to ensure that the most affected people are the first to be dealt with. For example, the level of outstanding debt can play. It can also be said that there is something personal that makes someone very eager to be helped earlier. We have seen very nasty situations, so we would really like to treat these parents a little earlier. So that's what we're gonna do. I'm not going to say exactly what this all works on, because that's what I find so unhuman. Above all, we want to ensure that people who are so affected can be treated as quickly as possible. For example, the amount or amount of what they have ever paid will play an important role in this.
ParlaMint-NL_2020-05-27-tweedekamer-5.u123	Please continue.
ParlaMint-NL_2020-05-27-tweedekamer-5.u124	Did you talk to parents yourself? Yeah, I do, and I'm gonna keep doing that until this file is resolved. First of all, we are talking about these poignant cases; that is what I have been talking about. The timing. Mr Bruins asks whether we should adopt the opinions of the Council of State. That's what we're gonna do. Then I am ready for the second block, but perhaps some of it has already been dealt with. So I'm going to browse through that as well. The second block is about Donner and the ADR.
ParlaMint-NL_2020-05-27-tweedekamer-5.u125	Mr Edgar Mulder has a question on the previous point.
ParlaMint-NL_2020-05-27-tweedekamer-5.u126	Could it be that I have not heard an answer to the questions about the host parents' agencies and their contacts with them?
