ParlaMint-NL_2020-11-11-tweedekamer-9.u1	We shall now proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2020-11-11-tweedekamer-9.u41	Thank you, Mr. Chairman. We suffer from Americanitis, a tendency to always look over our shoulder at our big brother. That's a dependency that we seem to be getting rid of very hard. Are we gonna be covered? Aren't we walking too far out of the pass? Of course, I agree with everyone that we need to restore the transatlantic bond. But we also need to get rid of that Americanitis. We need to stand on our own two feet. Of course we can breathe relievedly now that Biden has been elected, but please let's not count rich. Mr. Chairman. My contribution today is really only about one question. What lesson does the Netherlands learn from Trump, in the context of the large coronapandemic? Four years ago, all the alarms went off here. A lot of politicians pushed the snooze button. They thought, "Trump will come around." Some thought, and at least the Prime Minister at the time: let's give him a chance. Others thought: for four years we bite our teeth, but that will be fine. Even today, after Biden's profits, many politicians look hopefully at America. They think our big brother will continue to protect us, push China back into its den, stop Russia from interfering in Europe, and act globally to protect values. But I don't think anything less is true. America simply cannot play this role anymore, even under Biden. Of course, much will change under Biden, also for the better. Especially for the better. But Trumpism isn't gone. America remains war tired, polarized, has to deal with a huge economic crisis, has to do with a major coronapandemic and therefore has neither the capacity nor the will to regain this position. The world has changed. That's why I'm saying today: hear that alarm clock and don't press snooze again. We're gonna have to do our own thing. It is time for a century in Europe, in which the protection of our interests and our values go hand in hand. We must stand up for our own safety and become that player on the world stage. And we can do that through the European Union. As European countries, we spend most of our time worldwide in the field of defence, after the United States. We have the biggest single market, the biggest diplomatic service. We spend most of our time on development cooperation. What is lacking is really only the political will and the strength to use these resources for a strong foreign policy. The good news is today: we can become a great power, but then we have to want it with each other. This requires a change in our mentality. It requires us to stop looking at what our big brother is doing while we've been living on our own for years. It requires the Netherlands to be more active: the brake and the British blockade policy. Foot on the accelerator, hands at the wheel and join the Franco-German plans for a strong Europe. To this end, as the Minister's own officials also advise, more investment is needed in public knowledge and commitment to the European Common Foreign and Security Policy. I ask the Minister whether he is prepared to do so and whether he is also prepared to look at the occupation at the posts in Berlin and Paris. Mr. Chairman. In order to grow up geopolitically, we must no longer be susceptible to blackmail, to bribery, to the Trojan-horse politics of China and Russia. We need to get rid of veto in our foreign policy. After all, we saw how these vetos paralyzed us in Belarus and we saw it before in Venezuela. We have seen it in so many areas since then, a human rights statement towards China was stopped by Greece, and I would like to ask the Minister if he is prepared to take the political flight forward again and to launch an active campaign together with like-minded countries. Then we can finally get rid of those vetos. It's gonna take a job. Mr. Chairman. Having control of our own security, being able to defend our own borders and then acting externally around those own borders means that we will have to work towards a European military force. We can already take a small step by setting up a European Security Council. Then we can respond more quickly to crisis situations, make a more unambiguous and robust European sound heard in conflicts and act more decisively if necessary. I ask the Minister whether he is prepared to work with Germany and France to set up such a European Security Council. Is he willing to involve the British as well? Mr. Chairman. We can only be a credible player if we really stand up for our values and protect the human rights that are under so much pressure all over the world right now. We need to give our human rights policy teeth. European Magnitsky legislation affects human rights abusers where it hurts, in their pockets: no more luxury trips and children who are no longer able to go to boarding schools in Europe. I hope that in December, two years after this Minister took the initiative, we will finally be able to see white smoke. I ask the Minister whether, as requested by the motion widely adopted in this Chamber, he has already identified names for the list of officials responsible for the terrible human rights violations against the Uighurs in China. I urge him to ensure that these names are made available as soon as this regime arrives. Mr. Chairman. In addition to these steps towards European maturity, I also consider it an expensive duty of this minister to restore Euro-American leadership in this world. There must be a clear European commitment to this. As far as I am concerned, there will be a clear European commitment to a major Euro-American summit to strengthen that Western unity by returning America to international agreements and organisations such as the WTO. But I am also thinking of the Iran deal, the lifting of sanctions against the Criminal Court and, of course, the return of America to the Climate Agreement, not to mention restoring NATO's credibility. I ask the Minister to respond to all these points. How will he be committed to restoring that transatlantic bond? On that last point of the Climate Agreement, the Netherlands must, of course, set an example when it comes to compliance. I would therefore like to ask the Minister whether he is prepared to ensure that all foreign policy instruments and full Dutch diplomacy are in line with this Climate Agreement. Mr. Chairman. Then human rights. This cabinet has shown itself to be a human rights defender. The human rights fund has been greatly increased. I also mention the Magnitsky legislation in Europe, Syria's state liability for crimes, the connection to the charges against Myanmar and Russia's liability. I should like to focus myself today on a specific subject which has been put even further under pressure by Corona, also in my own country. That's the freedom of the press. Journalists are the frontline soldiers who guard the truth and the facts. Where the work is made impossible for them, democracy slowly dies in darkness. Worldwide, this freedom of the press is under pressure, including as a result of Trump attacks on the free press, sometimes copied too eagerly here by parties in the far-right part of the spectrum. That is why I tabled an amendment with colleagues from the coalition to increase the resources for the protection of journalists. But I think we're gonna need more than that in the next few years. The Minister has promised 9 million for freedom of the press. I ask him if he is prepared to use these resources strategically through tried and tested organisations, so that it does not become a patchwork of resources, jars and organisations, but a real, multi-annual effort aimed at protecting journalists. Mr. Chairman. Then I come to a core task of Foreign Affairs, the consular services for the 1 million Dutch people living abroad. Where the previous cabinet was sometimes "out of sight, out of heart," these Dutch people are at the heart of this foreign policy. That's worth a compliment. The 24/7 window is a one-stop shop; I am sorry, Madam President, in four years time there has still not been a good Dutch translation of it. This means that those Dutch abroad can just call the government 24 hours a day, seven days a week. Well, that's what you have to come up with in the average municipality in the Netherlands. That's an incredible service. Mr. Chairman. We're going to the ballot box in four months. During the previous elections, voices went wrong abroad, for example because Dutch people didn't know whether or not they were registered abroad. I ask the Minister if he sees possibilities to make it easier for Dutch people outside the Netherlands to check whether they are properly registered as voters for the forthcoming Dutch Parliamentary elections. Mr. Chairman. Then let's talk briefly about the digitisation of all services. In 2018, I filed a motion calling on the government to have fully digitised the consular document delivery by 2020. That has not yet been achieved, but we have taken great steps. There are still many services that are not digitally accessible from abroad. That often leads to high costs. I would like to ask the Minister if the Loket Abroad can be filled with all public services for Dutch people outside the Netherlands by mid 2021 at the latest. Mr. Chairman. Then there are a few comments about Suriname, a country that is very dear to my heart. After years of living under Bouterse, that country now has a fresh wind: Santokhi. Finally, we can strengthen the ties with this important country, with which we share such an intimate history. In addition to restoring the diplomatic relations that went quickly we now need to see how we can help Surinamese Dutch and Surinamese. I am thinking of one specific point: traveling to their families in the Netherlands is often a result of visa requirements at the moment. Those visa requirements are not without reason, because Suriname does not yet meet all the conditions, but I would very much like to see the Netherlands help Suriname, in a good partnership, to remove those blockades. I have therefore tabled an amendment together with the other coalition parties to spend EUR 2 million on supporting Suriname in this process in four years' time. Finally, Mr President. I conclude with Indonesia, where we have to face the black pages of our history. Children of Indonesians who have been executed on a stand-by basis are not eligible for compensation because of a so-called reasonable period of time. I would like to say that justice must not be allowed a term of two years, nor a term of two years. I would like to ask the Minister whether he is prepared to remove this deadline from the regulation, because this may not be about the letter of the law, but about the spirit of what we want to do with each other here. That is taking responsibility for history. We don't want to cut it. We do not want to keep setting small thresholds which make it even more difficult for these people, who have already suffered so many traumas, to achieve their rights. That doesn't suit the Netherlands. That doesn't fit in with how we behave in the world. Mr. Chairman. Finally. I think this cabinet has done a lot in the field of foreign policy. Mr Van Helvert mentioned already the investments in diplomacy and defence, development cooperation, human rights, he mentioned the active attitude in the field of human rights, whether it is the Magnitsky legislation, whether it is the arms embargo against Saudi Arabia, whether it is the state complaint against Myanmar, the commitment to sanctions in the field of cyber, are really serious steps forward that I am incredibly proud of. I believe that the challenge now lies in this change of attitude, the desire for us to show that leadership from the Netherlands and the European Union. President Theodore Roosevelt said a century ago: our main benefit to humanity rests on combining power with high purpose. Let that, I would say, be the role of the Netherlands and the European Union, let that be the guiding principle of a European century. Thank you, Madam President.
ParlaMint-NL_2020-11-11-tweedekamer-9.u42	Thank you, Mr. Sjoerdsma. I now give the floor to Mrs Ploumen on behalf of the PvdA.
ParlaMint-NL_2020-11-11-tweedekamer-9.u43	Thank you, Mr President. The coronapandemic that affects so many people and which is causing more people to live in extreme poverty, democratic recession, autocratic leaders such as Poland, who use the corona crisis to limit women's freedom of choice, the lingering conflict in Yemen, where people's suffering is immeasurable, 80 million people fleeing worldwide, a violent war on Europe's borders, in Nagorno-Karabakh, Islamic violence in France and Mozambique, a threatening world war in Ethiopia, the reports of recent weeks have been sad. That is why I am holding on to a hopeful idea, namely that only a small percentage of people are needed for change for the better. To be exact, 3.5%. If 3.5% of us protest non-violently, visibly unitedly, then political change is already in motion. That's what an investigation by Harvard scientists shows. I knew it, if we stand strong together, we can achieve a lot, but it's now also scientifically proven. Don't stay still, go down the street bravely, that's a powerful weapon. For example, the women of Belarus hope to force the last dictator of Europe to resign, so that their country can become the youngest democracy instead of the last dictatorship. Every Sunday they march in Minsk for a new Belarus. In Hong Kong Alexandra Wong, also called Grandma Wong, a 64-year-old activist, did not skip a demonstration. With thousands of others, she went out against the new security law and China's oppression. Many of those protesters were arrested, including Grandma Wong. This week, pro-democratic politicians are resisting China's intervention in their parliament and today we heard that their resistance has been smothered. But they're not giving up, not even Grandma Wong. In Poland, hundreds of thousands of men and women go into the streets and the churches to protest against the tightening up of the abortion law. And the Polish Government was forced to postpone the introduction of that law. I am counting on a delay in this case. My point is this: if all these citizens, with courage, but sometimes with the courage of despair, make their voices heard for change, for the defence of freedom, what does the Netherlands offer them? Is the Netherlands uncompromising on their side? Does this cabinet support them in the fight for democracy, freedom and dignity? The answer is: sometimes, but often not. Mr. Chairman. This cabinet needs to do more. The copy-paste plans from the previous budgets that have entered this budget do not provide sufficient instruments to counter the democratic recession. In that budget, I hope the Minister will clarify this and I hope to clarify it. There is also a reduction in the Human Rights Fund, a kind of disguised austerity. In fact, there has been a shift in this budget, which actually means that lhbti activists in Russia and women's organisations in Brazil are being hit hard. I would like to hear from the Minister whether this shift is not a disguised austerity. If it is, I'd like to see that corrected. Mr. Chairman. Is the Minister prepared to invest more in the embassies in order to better support local human rights organisations, as the space for citizens to organise themselves is shrinking in many countries? Mr. Chairman. In that light, I have another proposal, and Mr Van Ojik has already spoken about it. Together with GroenLinks, we would like a democratisation unit to be set up at the Ministry of Foreign Affairs, a unit that is proactively acting as a revolution is about to happen, if there is to be rapid support for democratisation movements such as we saw in Belarus and last year in Sudan. Mr. Chairman. This minister believes that the Netherlands has its influence on economic strength. However, I find that rather shaky and uninspired interpretation of foreign policy, and also a lack of recognition of the importance of value-driven foreign policy. That is why we are calling for this policy to be reviewed. We are making a number of proposals for this. Our position vis-à-vis China is not fish or meat. Last year, it was clear from the nothing China note. The cabbage and the goat were spared. Thanks to the Chamber there was an orderly human rights paragraph. The Chamber has regularly discussed the terrible situation of the Uighurs. I would like to encourage the Minister, within the framework of China's policy, to step up his commitment to justice for them and transparency about what is happening to them. Mr. Chairman. The geopolitical influence of that part of the world, China, East Asia, is rapidly increasing: rising tensions in the South China Sea, the continuing nuclear threat of Kim Jong-un, the mockery of democracy in Myanmar, the violation of the Papuan rights in Indonesia. Reason enough for an Asia strategy, a proactive Asia strategy. Will the Minister make an effort to make it and submit it to the Chamber? Mr. Chairman. My group is also disappointed by the lack of a broad partnership with our closest neighbours: the African continent. The cabinet focuses on stopping migration, and that's about it. But that is a misconception of the struggle for influence and raw materials that is being fought on that continent. It is also a denial of the fact that Africa's security and our security are linked. I would therefore ask the Minister to work towards an equal and geopolitical partnership with Africa, bilaterally and with the EU. These talks should focus on fair trade and combating tax avoidance, but also on cooperation in the fields of security, the fight against terrorism and regulated migration. I'd like a response. Mr. Chairman. Another part of the world: Suriname. Mr Sjoerdsma spoke about it, but I also mean other colleagues. I would have liked to ask the Minister how he sees the future relationship of the Netherlands with Suriname now that Santokhi has been democratically elected. I would like to hear from the Minister what he wants to do to intensify the relationship in the interests of both countries. Last week, the Americans elected a new president. Now we have the president-elect Joe Biden and the new vice president Kamala Harris. On that stage in Wilmington, Delaware, I don't think any of us had ever heard of Wilmington, but it was world news... Kamala Harris had a message for women and girls all over the world: dream with ambition and lead with conviction. With them we can once again hope for a reliable ally in the United States, but it is not that the sky is opening now and we can sit back. The European Union and the Netherlands will have to act as a geopolitical superpower, which we are. We will have to continue to act as a great power that wants to exert influence, not just when it comes to economics and trade. Others also talked about it: if the EU wants to do this effectively, we must at least get rid of the unanimity rule. Will the Minister make a commitment to this? There is also a great opportunity with the new US administration to stand together for women's rights. That's why, together with She Decides, an international movement, I started a petition to support Biden and Harris to put an end to the Global Gag Rule once and for all. I would ask the Minister to share that message with the allies. Mr. Chairman. Finally, on the relationship with America. President-elect Biden has already said he wants a summit of the democracies. I assume that the Minister will support this and that the Netherlands will participate. Mr. Chairman. My last topic is security. 75 years after Hiroshima and Nagasaki, the threat of nuclear weapons is increasing. The cabinet has so far excelled in saying no: no openness about the storage of American nuclear weapons in the Netherlands, no serious discussion about double-sided disarmament, no bridge builder between nuclear superpowers and the signatories to the UN Treaty banning nuclear weapons. The coalition agreement states that the Netherlands wants to work for a world without nuclear weapons, but how is my question? Mr. Chairman. I'm rounding up. Against the depressing reality of the democratic recession is the resilience of the 3.5% of citizens claiming their freedom. In this democratic recession, these citizens need a strong and courageous foreign policy of the Netherlands. With such a policy, the Netherlands will not be alone at all. It will only strengthen our position in Europe. It will increase our influence in the world and that is also in the interest of the Netherlands. Thank you.
ParlaMint-NL_2020-11-11-tweedekamer-9.u44	Thank you. Mr. Van Helvert.
ParlaMint-NL_2020-11-11-tweedekamer-9.u45	Mrs Ploumen made a fine speech. It stands for stronger democracy in the world. It is also concerned about the waning democracy. I agree with her. I also believe that countries can trade better than make noise with each other. What strikes me is that as two beautiful states of law...
ParlaMint-NL_2020-11-11-tweedekamer-9.u46	I already know the question, Mr. Chairman. Or should I leave it to Mr Van Helvert?
ParlaMint-NL_2020-11-11-tweedekamer-9.u47	Well, I wonder if Mrs Ploumen knows the question.
ParlaMint-NL_2020-11-11-tweedekamer-9.u48	I'm gonna go stand up for it.
ParlaMint-NL_2020-11-11-tweedekamer-9.u49	If this is not an interruption, I would be interested to hear Mrs Ploumen's reply.
ParlaMint-NL_2020-11-11-tweedekamer-9.u50	Well, perhaps first the question: what do you think Mr Van Helvert wants to ask?
ParlaMint-NL_2020-11-11-tweedekamer-9.u51	I think he is going to ask why, at least, the Labour Party does not support the second part of CETA.
ParlaMint-NL_2020-11-11-tweedekamer-9.u52	Is that right, Mr. Van Helvert?
ParlaMint-NL_2020-11-11-tweedekamer-9.u53	And that while Canada is such an ally and such a beautiful democracy and while Justin Trudeau is our friend Jesse Klaver's friend and my friends' friend, et cetera. I think that's the question.
ParlaMint-NL_2020-11-11-tweedekamer-9.u54	Was that the question?
ParlaMint-NL_2020-11-11-tweedekamer-9.u55	No, not yet, but I'd like to hear the answer to that.
ParlaMint-NL_2020-11-11-tweedekamer-9.u56	Do we do that first or do we ask your other question first? I am happy to answer that; I have done so a number of times. We have considered that the second part of the CETA Convention is simply not enough for us, because it was with Canada that there was a great opportunity to ensure that not only companies but also civil society organisations and trade unions would have equal access to dispute resolution. It is precisely in the knowledge that Canada is also in favour of this that it is very disappointing that this cabinet has not been able to negotiate it. That is my answer to that question.
ParlaMint-NL_2020-11-11-tweedekamer-9.u57	Are you satisfied with that, Mr. Van Helvert?
ParlaMint-NL_2020-11-11-tweedekamer-9.u58	I understand you always want something better. You can always see what's better. The alternative is that you don't have this right now. The question is whether that is what we want to achieve. Parties all the way to the side, on the flanks, think you should tell your own supporters that it's better that we do it alone. We know that the PVV likes to do so; Forum does so and also the SP likes to do so. But if parties that are closer to the middle, on a birthday, don't dare to explain that you have to turn in a little of your own will to get a lot further together, I'm very worried. Doesn't Mrs Ploumen also worry at the moment when everyone wants the best in a negotiation?
ParlaMint-NL_2020-11-11-tweedekamer-9.u59	The Left Party Party of Labour is not concerned about this. Neither is Mr Van Helvert's CDA. The part that we were not satisfied with, and which we could not agree with, is even missing from the trade agreement with Japan, which this coalition has wholeheartedly concluded. I have not seen Mr Van Helvert be very unhappy about this either, nor has Japan.
ParlaMint-NL_2020-11-11-tweedekamer-9.u60	Finally, Mr Van Helvert.
ParlaMint-NL_2020-11-11-tweedekamer-9.u61	That is true, but it remains to be seen that there is no treaty now because we do not like parts of it. And I find that sad, because we are all talking about the 75 years of liberation, where Canada also had a big finger in the mouth. This was interesting again, Madam President, but my real question was about the agreement with another ally, namely the United States. Of course, with every ally there may be some disrespect about things, but in general, if gross geese, we simply do a great deal together with the United States. What is the position of the Labour Party with regard to the agreement with the United States on the contribution to defence?
ParlaMint-NL_2020-11-11-tweedekamer-9.u62	Ah. Mr President, perhaps one last sentence on the previous point. Let me then express my disappointment at the fact that this cabinet in Europe has not received sufficient support for an improvement in that part of the treaty, although Canada wants it. Mr. Chairman. It is clear that Mr Van Helvert did not read the electoral programme of the Labour Party. I think he's the only one in there. Thank God I've got it here! Otherwise Mr Koopmans would have had to present it again. Mr Sjoerdsma has it, too, I think. I'm gonna go look up that particle.
ParlaMint-NL_2020-11-11-tweedekamer-9.u63	Mr Sjoerdsma has it, too. He's got all these charming assistants today.
ParlaMint-NL_2020-11-11-tweedekamer-9.u64	Maybe we can just copy it, Mr. Chairman. Seriously, Mr. Chairman, I'm gonna try the... Page 93, I'm telling Van Helvert here. Point 9.4 deals with international security. There is talk of an active role abroad. On the second bullet, at the bottom, rule 45, it says: increase the defence budget.
ParlaMint-NL_2020-11-11-tweedekamer-9.u65	Is that true with the copies you have, Mr. Van Helvert?
ParlaMint-NL_2020-11-11-tweedekamer-9.u66	By the way, we don't have that deal with America, not with the United States. It is a standard set by NATO. The agreement is that countries will grow there.
ParlaMint-NL_2020-11-11-tweedekamer-9.u67	Last question, Mr. Van Helvert, because you are already over your number of interruptions. You're gonna get rid of it. That's good. Then I will go to Mr Sjoerdsma, because he has another page of the election programme, I think.
ParlaMint-NL_2020-11-11-tweedekamer-9.u68	No, Mr President, it is a shame to discuss the election programme right here. We have plenty of opportunity for that, I hope.
ParlaMint-NL_2020-11-11-tweedekamer-9.u69	That's right.
ParlaMint-NL_2020-11-11-tweedekamer-9.u70	I just had the next question. It is a bit about the subject that Mr Van Helvert also raised: that beautiful free trade agreement with Canada. Can Mrs Ploumen imagine that her first parliamentary group, of course free of burden and back-spoke, is going to vote in favour of that treaty? Can you imagine that?
ParlaMint-NL_2020-11-11-tweedekamer-9.u71	It's just up to the First Chamber. I can say that again to Mr Sjoerdsma in all sorts of keys and other words, to the left, to the right, because we have exchanged this before. That's really up to them.
ParlaMint-NL_2020-11-11-tweedekamer-9.u72	Well, that's good news. I heard that last time, and then I might have thought too little about it and thought...
ParlaMint-NL_2020-11-11-tweedekamer-9.u73	I can't imagine!
ParlaMint-NL_2020-11-11-tweedekamer-9.u74	...that it was a bit of a procedural answer. But of course it is not a procedural answer; it is just very good news, I think. Mrs Ploumen sees that space. She can't speak on behalf of the senators. It's not funny, and it's lame. But it's a good thing that space is there. I don't hear anger, either, if that were the case. So that space, that freedom for the First Chamber... I would almost say: "Mr Koole, can you hear me across the street? Go for it!"
ParlaMint-NL_2020-11-11-tweedekamer-9.u75	Too bad Mr Sjoerdsma and his group in the House of Representatives did not take the liberty of negotiating for so long until there was something really good, because it was within reach.
ParlaMint-NL_2020-11-11-tweedekamer-9.u76	Thank you, Mrs Ploumen.
ParlaMint-NL_2020-11-11-tweedekamer-9.u77	You're welcome, Mr. Chairman.
ParlaMint-NL_2020-11-11-tweedekamer-9.u78	Then I give the floor to Mr Voordewind on behalf of the Christian Union. Well, the election starts somewhere around March 17 or so. All right, Mr. Voordewind.
ParlaMint-NL_2020-11-11-tweedekamer-9.u79	Thank you, Mr. Chairman. I just realized that I did not bring my new election programme, so if colleagues want to copy it, please!
ParlaMint-NL_2020-11-11-tweedekamer-9.u80	Mrs Ploumen has an order proposal.
ParlaMint-NL_2020-11-11-tweedekamer-9.u81	I do not now participate in the new elections either, but I will undoubtedly support them wholeheartedly.
ParlaMint-NL_2020-11-11-tweedekamer-9.u82	Mr Voordewind is now bringing it up himself, otherwise I wouldn't even have him... It's a bit rude, because he didn't even take it, but on page 90 of his election programme it says that there should be exit scenarios for the euro and that it's clear that Europe is prepared to take tough decisions. Now it seems to me that something that makes Mr Sjoerdsma very unhappy. What's the deal with that?
ParlaMint-NL_2020-11-11-tweedekamer-9.u83	I assume that you are quoting from the old electoral programme, because the new electoral programme has yet to be adopted. So it would be very handsome if you had that at hand right now. We have, of course, also discussed the euro extensively and whether what we are doing now is sustainable for the future. We've come up with different scenarios for that. We have also looked at whether you should not go in two directions, two paces when it comes to developments in Europe. In that context, you should see that remark.
ParlaMint-NL_2020-11-11-tweedekamer-9.u84	Please continue. Mr Sjoerdsma pretends he hasn't heard. Maybe that's okay. Yes, you can say something. Mr. Sjoerdsma, what exactly is it?
ParlaMint-NL_2020-11-11-tweedekamer-9.u85	I would like to thank Mrs Ploumen, because I had not noticed that part in the Christian Union election programme. I sincerely hope that the members of the Christian Union will be more sensible than the authors.
ParlaMint-NL_2020-11-11-tweedekamer-9.u86	That is another appeal from Mr Sjoerdsma to the Christian Union's supporters.
ParlaMint-NL_2020-11-11-tweedekamer-9.u87	We're gonna see it, because I think they're putting the finishing touches to the new election program. We're gonna watch what's in there.
ParlaMint-NL_2020-11-11-tweedekamer-9.u88	It'll be taken. Now you can start again.
ParlaMint-NL_2020-11-11-tweedekamer-9.u89	Yes. I've moved on ten seconds, but we're gonna make it in my time. Mr. Chairman. This is the last budget of this minister in missionary condition, so it is also good to look back a bit. I am not going to repeat Mr Sjoerdsma's words about the profits of this cabinet. This minister has also invested in human rights. Other colleagues have invested in international policy, development cooperation and defence. Colleagues have referred to it. Hopefully we're on the verge of a new era, under a new American president. But we know that an end to the Trump period does not automatically mean that Europe will be embraced again by America. We need to keep our own pants up much more than before, also for our own security and within NATO. The corona pandemic has shown that we are also economically dependent on abroad. This is not just about the protection measures we needed, but it is wider than that. That is why colleagues Heerma and Segers have also tabled a motion to the General Political Reviews on strategic autonomy. I ask the Minister: have any further steps been taken to implement this motion? There are concrete ideas about this. Mr. Chairman. Then I begin my contribution to the war in Nagorno-Karabakh. Fortunately, yesterday there was the good news that there is an agreement between the warring parties, although led by Russia. The threat of the mass ethnic cleansing of the Armenian population in Nagorno-Karabakh seems averted, at least for the time being, because the agreement that has been concluded does not mention the status of Nagorno-Karabakh. That makes us fear the worst.
ParlaMint-NL_2020-11-11-tweedekamer-9.u90	Mr Voordewind understands, I think, that I want to ask him the same question as I asked Mr Van Helvert. Why is he arguing for an arms embargo this morning, when he did not support Mrs Karabulut's and myself's motion on 6 October? That motion called for a cabinet commitment to subject all warring parties to an arms embargo. Isn't it a little late now, given the terrible events of recent weeks?
ParlaMint-NL_2020-11-11-tweedekamer-9.u91	I read that motion right then. That motion called for Armenia to be included. At that time we saw objections, because Armenia was the underlying party. If Armenia, as an underlying party, could not gain access to weapons, then we were sure that it might have ended even faster. That is why our motion is very much aimed at reaching an arms embargo against Turkey and Azerbaijan. It is not too late, because we know that the ambitions of Turkey and Azerbaijan do not stop. This is a Chamberlain deal, I might add, from '38, where they, I believe, made the statement that they will not stop until all of Nagorno-Karabakh is taken. In that respect, it is still relevant.
ParlaMint-NL_2020-11-11-tweedekamer-9.u92	Of course, that's just bullshit talk, with all due respect. This motion calls for the government to work in the UN for an arms embargo against the parties and countries involved in the conflict. If you want to achieve lasting peace, such an arms embargo must apply to all countries. That is what the Minister would have done. So let me ask Mr Voordewind again: why an arms embargo this morning, now that it is simply too late, it is too late, and on 6 October, when you could really have meant something to the people of Nagorno-Karabakh, vote against it? I am not saying that this would have been the ultimate solution, but I am sure that this minister's commitment in Europe and in the UN would have contributed. A great deal of unnecessary suffering would have been avoided. They're crocodile tears. I think this is really very bitter.
ParlaMint-NL_2020-11-11-tweedekamer-9.u93	I think it is very bitter for Mrs Ploumen to say this. I ask her, according to the procedure, not to do so, so it is a rhetorical question, then, who were the parties who started the aggression and the attack. That was Turkey. That was Azerbaijan. Turkey has been involved in this conflict by military means. It took the Minister four weeks, but in the end he also acknowledged it. Jihadist fighters were brought from Syria by Turkey to Nagorno-Karabakh. My point was: we might have had a more focused motion back then... I have, of course, already called for an arms embargo against Turkey, which was last year. Turkey is an aggressor to many surrounding countries: Libya, Syria, you name it. That is why our approach, of the coalition parties, is specifically directed against Turkey's aggression.
ParlaMint-NL_2020-11-11-tweedekamer-9.u94	Finally, Mrs Ploumen.
ParlaMint-NL_2020-11-11-tweedekamer-9.u95	Your commitment should have been directed specifically at ending the violence in Nagorno-Karabakh. And that could have been done by addressing Russia, Turkey, Israel, all the countries concerned. You left that behind. That's a fact. And that is not a pity for me or for Mrs Karabulut, we find it painful, but it is particularly bitter for the people of Nagorno-Karabakh, and especially for the Armenians who have had to submit to this deal last week.
ParlaMint-NL_2020-11-11-tweedekamer-9.u96	Did Mrs Ploumen in 1940 call for an arms embargo against England, while England and Europe were attacked by an aggressor, namely Nazi Germany? I don't want to make comparisons, because all the equations break down, but you have to think carefully about which underlying party, attacking party you exclude from the ability to defend itself. That is why our motion is specifically directed against Turkey's aggression. And I really hope, Mrs Ploumen, that you will support this motion.
ParlaMint-NL_2020-11-11-tweedekamer-9.u97	I would like to say to Mrs Karabulut and Mrs Ploumen that the DENK Group did support that motion. Because if you are in favour of a sustainable solution where you want parties to go round the table, then you must also ensure that an arms embargo applies to anyone who uses arms. But it can't be that you tell one party that they can't have weapons anymore, when you tell the other party, because that's what Mr Voordewind is doing. Yes, you can have weapons. While there's a war going on. And a war always knows winners and losers. I would like to put the following question to Mr Voordewind. Is he actually happy with the peace agreement? What should the status of Nagorno-Karabakh be?
ParlaMint-NL_2020-11-11-tweedekamer-9.u98	If there was one party happy...
ParlaMint-NL_2020-11-11-tweedekamer-9.u99	Answer the question!
ParlaMint-NL_2020-11-11-tweedekamer-9.u100	He's just getting started. Calm down!
ParlaMint-NL_2020-11-11-tweedekamer-9.u101	I'm just getting started. If one party was apparently happy with the use of weapons by Azerbaijan and Turkey, then it is the gentleman behind the microphone here: Mr Kuzu. Because we were able to read the tweets on Twitter. We have read that he applauded the victory of Azerbaijan and Turkey, that he apparently encouraged Turkey to attack Nagorno-Karabakh and all the surrounding provinces, that thousands of people have been slaughtered. And now he's come to tell me to go plead for even-handedness! Mr President, this really is a farce!
ParlaMint-NL_2020-11-11-tweedekamer-9.u102	Yes, Mr President, that is why I said: answer my question. Because DENK was in favour of Karabulut and Ploumen's motion. And Mr Voordewind was not. And he's standing here blaming me for cheering! Mr. Chairman. There is also a historical aspect to this conflict. This historical aspect is very quickly omitted by the Christian Union, but also by the predecessors of the Christian Union in the Chamber. I dived into the Acts of the 1990s, when the first conflict flared up in Karabach. Do you know what the result was? That 2 million Azerbaijanis had to flee. And then I didn't hear anyone in this room. I've checked the Acts. And certainly not the Christian parties here have firmly condemned that, as they do here today. If that's not hypocrisy, Mr. Chairman, I don't know.
ParlaMint-NL_2020-11-11-tweedekamer-9.u103	I call on Mr Kuzu to take off his mask. Mr Kuzu may pose as a predecessor of an embargo on the warring parties, but why did he cheer when he sent that tweet when he said: what good is that the Azeris and Turkey have now slaughtered the Armenians and that they can now put the flag of Turkey and Azerbaijan back in Shusha? Mr. Chairman. That wasn't even-handedness. That was a pure partiality of this Mr Kuzu.
ParlaMint-NL_2020-11-11-tweedekamer-9.u104	Mr. Chairman. I'm gonna distance myself from that. Mr Voordewind has to show me where the cheers are. Because that is not the case. I'll ask the question again. I have six more questions to ask, and I'll keep asking them every time. The DENK Group was in favour of the motion by Mrs Karabulut and Mrs Ploumen who asked for that even-handedness. Mr Voordewind was against it. I ask him again, and I will ask him again three more times: how can you blame me for being one-sided in the story when you do it yourself?
