ParlaMint-NL_2020-09-02-tweedekamer-6.u1	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2020-09-02-tweedekamer-6.u55	Actually, two types of trade-offs. I find the one consideration more of virologists and epidemiologists. The other consideration is also a political one, and that is what I am interfering with. One consideration is: what choice has the most effect on stopping the infection chain? That too can be a choice in scarcity, namely: what is the most important thing to do? Of course, that's how it was in the spring. When there was still very little test capacity, first the high risk patients were tested. After that, for example, care workers were added. And then the teachers came along, because they had to get back to work. And that's how it's been expanded with a group. That was for the main reason: stopping the infection chain. But there's a second, and that's the social effect. That is no longer merely a medical consideration, but that is more a choice of social impact. Hypothetically, if demand is just structurally transcending supply, then you have to make choices. And, of course, I left that question with the OMT. Then you have to prioritize in who does and who doesn't. We have now said generously: testing everyone with complaints. It is my strong suspicion that there are a lot of people without complaints. Otherwise, that increase would never have been as fast as it has gone. Perhaps the trial with the app and the trial at Schiphol Airport contributed a bit to that, which created the atmosphere that you can also get tested if you don't have any complaints. What I've learned from that is that, now that demand seems to transcend supply so strongly, you might have to start prioritizing again. Then the question to the OMT is: how would you do that from infectious disease considerations, which groups are priority? Then the political-administrative question can still be: but teachers, for example? Even if you wouldn't necessarily prioritize them from the infectious disease chain, the societal impact of not being able to work for teachers can still mean that you want to test teachers as a matter of priority. The same is true of asymptomatic testing. Does asymptomatic testing generally prioritize symptomatic testing when there is scarcity? The answer is no. I don't actually see any expert doing that. When it comes to the effects of asymptomatic testing in a number of groups, opinions are now divided. That's what the pilot setting has to answer for.
ParlaMint-NL_2020-09-02-tweedekamer-6.u56	But we're not philosophizing anymore. That app's coming up. In two weeks, that reality will be over and the test phase will be over. There are test streets at Schiphol Airport and there's scarcity. In short, what you are now philosophically putting on the table is already reality. My question is then very specific: what priorities are we going to make in this scarcity? Are we gonna hang on to the test streets, or are we gonna go with an app like that? Why have these questions not been answered in advance and why do we need to clarify this, a little philosophically in the debate? Because there is scarcity, the test phase is over and will be active soon. So these questions should have been answered now, or at least within two weeks, the moment you start your campaign, I download the app and I get a notification. Moreover, the people who have already downloaded it are also told: you must report. So that also means that that app is being modified.
ParlaMint-NL_2020-09-02-tweedekamer-6.u57	That's right.
ParlaMint-NL_2020-09-02-tweedekamer-6.u58	In short, why are there so many open ends while we are two weeks ahead of the launch of that app?
ParlaMint-NL_2020-09-02-tweedekamer-6.u59	Because otherwise we'd have to keep everything waiting for everything, and it can't be like that. So what we're doing is developing that app and testing it in practice. In that setting, we allowed them to coincide with the advice of the OMT to investigate whether asymptomatic testing is of added value. What I point out to you is that this is the maximum clarity that is to be given at the moment: that app will be introduced at the time of its introduction in accordance with the national LCI Directive. So if the choice has not yet been made that asymptomatic testing is of added value in this setting, then the app will be introduced in accordance with the then applicable directive, i.e. only somatic testing. If the choice has already been made and the directive has therefore been amended, then the new directive will apply, but my expectation is that it will apply not only to the app but also to the other contacts at that time, because it is actually a similar group.
ParlaMint-NL_2020-09-02-tweedekamer-6.u60	I have four questions. Yeah, but there's scarcity. Surely it is in no way obvious that asymptomatic testing will be carried out? Surely we can draw that conclusion now because there is insufficient testing capacity? But what story do we have for people who are about to get a notification, who know that they have been around for 15 minutes with someone who has been tested and perhaps belong to the risk groups but should not be tested, just because we already know that there will be too few tests? That is a conclusion that we can already draw in this debate.
ParlaMint-NL_2020-09-02-tweedekamer-6.u61	You could do that if you had the choice today whether or not to introduce it nationwide. But the parliamentary debate is taking a little more time, so we are not faced with the choice today whether or not to introduce it nationwide. That'll be another time. So what I can't do for that reason is keep everything waiting for everything. So what I am saying is that we will introduce it in accordance with the national directive at that time. Two is the question: yes, but what then for those people who come forward as contact? Can they be tested or not? Of course, there is nothing more to this than at the moment for the people who come up with contact from the source and contact research. They can't be tested at the moment if they don't have any complaints. Only when they have complaints can they be tested. So I want to stress that the group that comes out as contact from the app is a group that you should actually look at in the same way as the group that comes out as contact from a source and contact research. It's actually the same kind of group.
ParlaMint-NL_2020-09-02-tweedekamer-6.u62	I have to finish. Every time we ask questions about the source and contact research, it's not because we're trying to be annoying, but we try to keep understanding in society for what we're doing. I find it hard to explain that you can get tested at Schiphol Airport even though you've been in a cabin on the moors, but not when you get a notification that you've been around someone for 15 minutes, even though you want to, even though you're part of a risk group. We're two weeks ahead of launch, at least that's the schedule. These seem to me to be very essential questions that LCI should have answered by now and not in two weeks' time. This is constantly the case when we talk to the Minister about testing, capacity and source and contact research. There are a lot of questions and there is very little clarity. In doing so, there is also uncertainty towards society about what we are doing with each other. I'm very concerned about that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u63	Don't get me wrong. I can really imagine Mrs. Kicken's questions. What I'm putting on the other side is that you have to weigh it up. If I had wanted to make sure, before I had even done that test with asymptomatic tests in the case of using the app, that the capacity absolutely allows it, we would not have started that test for the time being. Then perhaps we would never have known and then I would have had a very complicated debate here in the Chamber, because there are a lot of scientists who say: asymptomatic testing can be of added value. There's an OMT that says, "Go check that out." I should have said to you: yes, but I'm not doing it yet, because I'm not quite sure I can do that permanently, both in a trial and afterwards. That means that all the time, where you have no absolute certainty about how the future is going to develop, you still have to make choices. I think this is a responsible choice. Could I have operated on that, too? Of course that could have been done, but I have made this assessment, to at least do that test setting in an asymptomatic way, because I also want to learn what the added value is. I also see the added value of it, when you come into contact with it, that there is immediately an action perspective of testing. So that's what I'm sharing. I do say this: it also applies to the people who emerge from research into sources and contact. It doesn't apply to that yet, but maybe later. I also say that even the certainty about sufficiently guaranteed test capacity is, given the current world market, a certainty that you can have as much as possible, but which is never absolute, until the time when we have been able to do the risk spread in such a way that we have a lot of innovative test methods that are comparable in terms of reliability. Then there's something else. But right now, when we're working with those PCR tests and the whole world is doing so, there's such an extreme scarcity that supplies can just be disappointing, which means the capacity is still less than you wanted. It's not easy to influence the question, we've seen. From 100,000 two weeks ago to 160,000 now in the test streets of GGD's. In short, I fully understand the concerns or hesitations Mrs Kuik has. In fact, I'm actually sharing them. But I still think that the considerations as I make them now are the best way to go about it. There are also other options, but I think this is the best way forward, so we are actually saying that the national LCI directive currently in force applies when it is introduced.
ParlaMint-NL_2020-09-02-tweedekamer-6.u64	I wonder whether the Minister is not making it much more difficult than it really is and using a lot of words, which he drowns in. There's scarcity. We all know that. You might actually think that you should try as the thunder to ensure that this scarcity is resolved, so that care personnel, teachers, but also people who have received a notification can be tested as a matter of priority. That is also the wish of society and this Chamber. If the minister said "we're gonna do something about this scarcity and we're gonna go in that direction," I don't think he's gonna hear us complain anymore. But he doesn't say that. We're all getting considerations over us. I have the same thing as Mrs. Chicken: I can't explain this either. I can't explain the differences. Why do you get to sit on a plane with a mouth cap and so on? We need to be able to explain all these equations, and I shall not be able to do so anymore. In the context of this confusion, I have already voluntarily downloaded the corona app. That app says, "What does it mean when you get a call? What can you do in this situation? If you have no complaints, do a corona test and stay home until you know the results." Why is that in the app?
ParlaMint-NL_2020-09-02-tweedekamer-6.u65	Because it is at the moment, in the trial phase in the east of the country.
ParlaMint-NL_2020-09-02-tweedekamer-6.u66	No, it's not.
ParlaMint-NL_2020-09-02-tweedekamer-6.u67	Yes, I do.
ParlaMint-NL_2020-09-02-tweedekamer-6.u68	No, it's not at the moment. You're just saying we can't and we're not gonna do it like this.
ParlaMint-NL_2020-09-02-tweedekamer-6.u69	I'm just gonna do my best to explain it as best I can. We're in the pilot phase right now. The app hasn't been entered yet. We have said that before we go national, we will first discuss this law with each other in both Parliament's Chambers. So it wasn't entered. He will be tried out, because otherwise you won't be able to learn what you might need to change before you roll him out nationwide. That is why it is currently being tried in five GMD regions in the east of the country. The OMT has advised: Try out that app in such a way that you allow someone who comes out of that notification app as a contact to be tested immediately. That is good, because then we can also test the perspective of action and also see the added value of asymptomatic testing in this group. Wise idea, so that's what we're gonna do. However, we do not yet have the outcome of that test to determine whether it has added value. What we do now have is a great deal of concern about the scarcity of test capacity as a whole. Mrs Kuik rightly points that out, and she is also right to ask how to proceed in the future. Now, if you're going to roll out the app nationwide, are you going to test without complaints or test with complaints? Of this, I say that at that time it will be as the directive requires it. What is the determining factor in whether or not to amend the directive? The directive now states that the general policy is testing without complaints. What is the determining factor in this? That's one: did it have added value there in the east of the country on that app? And two: can we actually do that in terms of test capacity? Because priority will always be given to testing with complaints. As things stand at present, the national directive is testing without complaints, but we are now trying that app in a limited setting and testing without complaints is also possible. And the national directive will or will not be amended. In any case, I say that the national directive will be leading if we introduce that app. It is therefore possible that, if this directive has not yet been amended, we will be testing with the app only with complaints. It's possible. Then the question is whether that's bad. We also do it now for people who come forward from contact research, so it's not that bad, because it does stop the infection chain when you say to people: ooh, stay home, keep an eye on yourself and when you get complaints, get tested. That certainly helps, even now in the regular source and contact research.
ParlaMint-NL_2020-09-02-tweedekamer-6.u70	It hasn't gotten much clearer to me. Anyway, we're a little used to that. I'm just gonna sit back and wait for the moment that that app is gonna run and what it looks like. And then I hope that this sentence goes out of the app if it's not possible to test without complaints.
ParlaMint-NL_2020-09-02-tweedekamer-6.u71	Good.
ParlaMint-NL_2020-09-02-tweedekamer-6.u72	Of course. That app will be adapted to the current situation. So if at that point the advice is: stay at home and get tested if you have complaints, then the advice in the app will also be adjusted accordingly. It is, of course, technically adapted to the directive in force just before it is introduced.
ParlaMint-NL_2020-09-02-tweedekamer-6.u73	Mr Middendorp. With the foot pedal, please.
ParlaMint-NL_2020-09-02-tweedekamer-6.u74	Thank you, Mr. Chairman. I have asked the Minister in my speech, and hearing this debate, I ask you once again whether it is not very likely that it can be very useful to look a little longer at that asymptomatic testing in that app situation. I repeat this question on the basis of these interruptions. Secondly, and that is actually the question. The Minister refers to the LCI Directive. This is seen, among other things, on "has added value." I understand that. There are political choices. The Minister has talked about this in detail. But that LCI directive is based on models of virologists, epidemiologists and so on. I said in my contribution: I do not think we can rely on the assumption that the analogue regular source and contact research as we know it now is the same and will produce the same results as the new source and contact research via the app. The Minister just said that it is the same, but it is not, and that is going to come back in those models of the LCI directive. So I understand the Minister when he explains how these steps are being taken to arrive at an LCI directive. I also agree with the idea that this will be crucial in what action advice people are going to get through that app. I just want to point out to the Minister that it is a risky path if he assumes that sending digital action advice in contact research is the same as analog. Because I am almost certain that it is not, just because of the examples I have mentioned in my contribution. No telephone contact also means a personal contact and that is already a huge difference. And there are many other arguments.
ParlaMint-NL_2020-09-02-tweedekamer-6.u75	A few points. One. I agree with you that this will have a different effect. I agree. But the question of drawing up an LCI directive is: in what risk situation should what legal advice apply? Both those who come out of the source and contact research and those who come out through the notification app, in both situations it is people who have been around for 15 minutes from someone who is infected, within 1.5 meters. These are actually the same parameters as those underlying the BCO Directive, based on international statistical assumptions on the risk of contamination. The same assumptions apply to both analogue contacts and digital contacts, one might say. For this reason, the same advice then applies; I would think from that logic. You then say: yes, but if they haven't been in contact with the GGD by phone, but only receive a digital advice, then you have to expect something different from those people in terms of their behaviour. I very much agree with you on that. That then says something about effectiveness. That is exactly what we are taking with us in the evaluation. I therefore honestly believe that we will overcome the differences as you see them with the evaluation. But where you might have to be right, is that more motivated by the logic of the infectious disease control: which risk contacts should do what to stop that infection?
ParlaMint-NL_2020-09-02-tweedekamer-6.u76	The Minister won't be explained. He won't be explained. Look, he's asking a lot of the people who're gonna download the app. At least I assume the Minister wants as much of the population as possible to use the app. Then I also think that these people should expect something back. And that's not happening right now. If you say to people "use that app and help fight the virus," then I also think you should offer people something when they get a report. Now that's settled well, in that trial. In the trial, it's clear: you get a report that you've been around for 15 minutes from someone infected with the virus. It's a big deal when you get a call like that. That's pressure on people, too. I think it makes a lot of sense for people to want a test. That is what is happening now, in those pilot regions. What's the Minister saying? "We're gonna introduce him nationwide and then we're gonna take out exactly that part." I don't think he's gonna get that explained. If you want that app to be used, you have to be consistent and say, "Here's the app. Get tested when you get a report, for your own reassurance, but also to stop the virus." Isn't it crystal clear that those two have to go straight on?
ParlaMint-NL_2020-09-02-tweedekamer-6.u77	I agree with Mr Hijink in his speech. I would just like to put two considerations to that effect. One. If the scarcity at that time is such that you cannot do this, you will have to make another choice. So if you have scarcity, you have to prioritize what is most effective for fighting the virus. That's one. Two. Of course, we have a test setup right now. But if you introduce the app, you have to do so on the basis of the current directive at that time. That could indeed mean the following. Suppose you enter that app in mid-September and the directive at that time is "test without complaints." And the scarcity at that time has not led to a conclusion other than "testing with complaints." Yes, then the directive at that time is 'test with complaints'. And then you can ask: does it really make any sense? My answer is: yes, then it still makes sense; apart from the behavioral effect you can expect, it also makes sense for the faster and more complete picture of the contacts. So that makes sense anyway. Do people actually get a test when they get that report? No. In such a case, it would not be so at that time. But that's no different than in the regular BCO. If you now come forward as contact in the regular source and contact research, it is not that you can be tested immediately. Then you'll be advised to stay home for ten days. So we shouldn't be so special about that app. The app is an addition to the regular source and contact research, so what applies to the source and contact research should also apply to the people who use the app. That's really the best way to go. And at first it's really a professional idea what choice you make. Of course, we also have an opinion on this from the distribution of scarcity as politics, but initially it is a medical, professional view of who is priority, what is the effect of symptomatic or asymptomatic testing and what the added value is in a number of settings we are currently testing.
ParlaMint-NL_2020-09-02-tweedekamer-6.u78	Finally, Mr Hijink.
ParlaMint-NL_2020-09-02-tweedekamer-6.u79	The Minister is now hiding behind directives again, and that frustrates me greatly. We have been discussing RIVM guidelines here for months, for example on protective equipment. Each time we were told that it was not possible in the context of the scarcity, that it was not necessary and that there was no need to wear protective equipment in the nursing home. By now we know: if only we had done it. The directive has now been amended and is recommended to carry protective equipment in areas at risk. Now really stop hiding behind the guidelines and use common sense. We want people to use that app, at least that's what the minister wants. Then you have to be consistent. It's not the same as the regular source and contact research. If you get a call from the G.D.D., you'll be told you've been exposed to someone with the virus there and there. That happened in a certain setting, at home, at work or at school. Then you can remember where you were then, but that's obviously not the case online. You're gonna get a call and then you're gonna have to wait and see where that happened. That's a real difference. If the minister wants to make that app a success, he must have something to offer people. Not only can you report that someone has been in the vicinity of someone who has the virus and then tell them to wait and see if they get any complaints. Why would people use the app if you only get a test if you have complaints? Then we don't need the whole app, do we?
ParlaMint-NL_2020-09-02-tweedekamer-6.u80	No, I don't agree with you. It could be of added value to have you tested as soon as you've had that notification on day seven after the last contact. That is why we are now testing the app in this way. I agree. I would point out that, within the framework of the directive, there is not necessarily a big difference between the contact that emerges from the source and contact research and the contact that emerges from the app. They're people who've been within five feet of someone who's been infected for at least 15 minutes. You say that an app like this doesn't make any sense if you just have to get tested if you have complaints. Then you could follow the same reasoning for the source and contact research. Of course it isn't. It makes sense to use that app to stop that chain of infections. You have to make sure someone who's been in contact with the virus actually stays at home. Then you can still have telephone contact with the GGD about this so that it is not just a digital notification. Just on the basis of that app, you can go back to the exact moment you were in contact with each other. You do not know the setting. That doesn't keep track of the app. The day on which that contact took place can be retrieved through the registration of the codes that have affected each other. In short, there is indeed a meaningful design for the use of that app, even if it cannot be tested immediately when you get a notification. You can do that. It will be examined whether it is of added value to do so immediately. Whether you can make that happen depends on the choices you have to make in scarcity. That's how it is. It's not easier than that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u81	Let me make a brief comment.
ParlaMint-NL_2020-09-02-tweedekamer-6.u82	Perhaps we should be informed again very quickly by means of a new OMT advice or something. I don't think it's explaining that you can get a test if you live in an area where there's hardly any infection and you report to the GGD with a snot nose. However, if you live in a region with a lot of infections and you've had a report, but you don't have any complaints yet, you can't get a test via the GGD. I don't think you're gonna get that explained, even though you still want people to actually use that app.
ParlaMint-NL_2020-09-02-tweedekamer-6.u83	I've been listening to the Minister very carefully. I think it's weird. I hear the Minister's answers. Then I look at the Lessons Learned: different or new. It says: faster and more large-scale testing of people who have been in contact with someone who is infected, even without having any symptoms or symptoms. And second point: direct access to tests when people have been in contact with index cases instead of only when signs and symptoms occur. When I hear the Minister's answer, I don't think we're ever gonna get enough capacity. We'll never wake up. We can talk about lessons learned, but if we don't have capacity, we can never put these things into practice. Are we consistent? We are right to test people in nursing homes as well as asymptomatic. Then why not other people? Other parties have said that there are more eligible professions, such as firefighters, teachers and conductors. All these people come into contact with other people a lot, but they're not a priority group. Again, I agree with you on the nursing homes, but why do you make that distinction? Do you think you'll ever recover with test capacity?
ParlaMint-NL_2020-09-02-tweedekamer-6.u84	It seems that the answer to that last question is simply "yes." For example, I am looking at the contract we concluded last Friday with a German laboratory. This leads to a delivery of 44,000 tests over the months. I look at the agreements with some major suppliers about materials for the most commonly used machines that rebuild in the coming weeks/months. Then there is no other way than that the capacity has to increase very considerably. In addition, a number of innovative testing methods are under development. We can also make use of this, especially in the situation of tests without complaints. So yes, the capacity is going to increase enormously. But so is the question. The demand is also going to rise enormously. We've seen how fast that can go. If possible, this is even more difficult to influence than the offer. The question is therefore even more difficult to influence if possible than the lab capacity you have to handle that demand. For now, it's about doing things in steps. Of course, I would have liked to be perfectly clear about what we would do now when it was introduced nationwide. But I can't give you that clarity for two reasons. One. The trial continues for longer than possible because the date of introduction has been postponed due to parliamentary treatment. This means that the test has not yet been completed and that the conclusions on value added have not yet been drawn on the basis of that test. Two. Even if the outcome would be positive, you might still have to say, for the sake of capacity, that it is better not to do so at the moment. That's why I'm taking these two things apart. Just let that investigation go, that's a good idea anyway. On that basis, let's draw the conclusion whether or not you want it in case contacts come out of the app. Let us decide on the introduction on the basis of the current directive. I think that's the best way to go. Of course, at that time, we will communicate very clearly to people what they do and what they cannot expect on the basis of the introduction of the app and whether or not they can get a test. We have to operate on that one step at a time. I don't think anything else is possible.
ParlaMint-NL_2020-09-02-tweedekamer-6.u85	I hear the answer, but the problem is, of course, that this Minister has been promising this for months. It has been said for months that we are going to scale up the test capacity in such a way that we can cope with demand. I do indeed think that there are several parties who say that if we use the app, we will have even more testing capacity. So the catch-up we have to make is even more extreme. It's great that we can use German laboratories, although I actually think we should be able to do that ourselves.
ParlaMint-NL_2020-09-02-tweedekamer-6.u86	I agree.
ParlaMint-NL_2020-09-02-tweedekamer-6.u87	But still: do you have any time limit in mind in which we can recover or use the time limit that we have set ourselves for testing people?
ParlaMint-NL_2020-09-02-tweedekamer-6.u88	It depends on the question you are asking. In particular, the next few weeks will be the most tense in terms of available capacity, given the question as I see it now developing. You can also see that in the waiting times at the test streets. I hope there will be more air in a few weeks. We have, of course, also made the existing agreements for this. But I'm not going to link hard numbers to it, and I'm not going to link hard deadlines to it either, because by then, something new can happen in the execution. That is, of course, just the experience of this crisis: each time something new occurs in the implementation which is another setback for what you want. That is why I think it would be wisest to separate these two choices from the introduction of the app and whether or not testing. Otherwise, you will make everything dependent on everything, and if we do so in this crisis approach, we will never make any progress. So we have to take it one step at a time. The introduction of the app requires an anti-abuse clause. We need a good basis for this. That's what the law now before us is about. There's a trial going on right now. This test can go on a little longer because parliamentary treatment is taking a little longer. Not bad at all; then we're going to do it that way. By the time we are ready for national introduction, we are making up the mind: what is the current directive? This is how it will be introduced.
ParlaMint-NL_2020-09-02-tweedekamer-6.u89	One more comment. I hope the Minister gets right with those few weeks. We've been hoping that for months alone. With all due respect, I really hope you're gonna make it happen.
ParlaMint-NL_2020-09-02-tweedekamer-6.u90	We're doing everything we can. They're working on it day and night.
ParlaMint-NL_2020-09-02-tweedekamer-6.u91	I've drawn attention to the large group of people who can't work at home. These include, for example, people who work in health care or education or who are self-employed and who are also dependent on not working at home for their income. I have asked about possible behavioural effects, but also about the consequences for society. In an influx of people from this group who are being tested, there will also be more self-insulation. This can have consequences for the continuity of our education. Can the lessons be continued? Can the care still be provided? Does anyone still have enough income? Has the cabinet considered the implications for this group? What's the message from the Cabinet for them?
ParlaMint-NL_2020-09-02-tweedekamer-6.u92	That happens in a number of ways. The first is that we must bear this in mind. I think that the digital side of it in particular should be taken into account in the ongoing evaluation. This could be a negative side effect. Imagine that there are a lot of contacts in the picture that you can actually say: have they really been contacts with a serious risk of infection or is that not so bad? Suppose that would be the effect we don't see, by the way, then combined with the quarantine obligation can indeed have a more negative effect on society than you really would like.
ParlaMint-NL_2020-09-02-tweedekamer-6.u93	I suggest you move on.
ParlaMint-NL_2020-09-02-tweedekamer-6.u94	I think I have one more thing to do. You also have to lower the threshold to go into quarantine. This is, of course, also a responsibility of employers and employees. But a motion has also been passed asking the cabinet: what could you do to help people go into quarantine? I believe that's the motion on the quarantine package. We're in the process of carrying out that motion. I think I can get back to that by the end of next week.
ParlaMint-NL_2020-09-02-tweedekamer-6.u95	Please continue.
ParlaMint-NL_2020-09-02-tweedekamer-6.u96	Then I'll go to the anti-abuse clause. A number of questions have been asked. Mr President, for the sake of encouragement, these were the most complicated blocks. The anti-abuse clause is perhaps the most important part of this bill, because it gives hands and feet to the will that we all have, that the app and the use of the app are absolutely voluntary. Both compulsion and urge are forbidden. So you have to take the anti-abuse clause widely. It concerns both direct and indirect obligation to use. That is how we read that provision. But let me go straight to Mr Hijink's amendment and now a number of other authors. It actually lifts the text from the explanatory memorandum to the legal text. That's how I read it. That might not be strictly legal-technically necessary, but if we want to emphasise with each other that there must indeed be voluntary use and that we interpret the anti-abuse clause in a broad way, then perhaps that is also a very nice reflection of the feelings of the Chamber, and thus in the most nailed way part of the legislative history. I think it is good to do so, so I would like to leave the opinion on this amendment to the Chamber.
ParlaMint-NL_2020-09-02-tweedekamer-6.u97	Is it true that this is the amendment in part No. 13 is?
ParlaMint-NL_2020-09-02-tweedekamer-6.u98	Yes, excuse me, this is indeed the amendment to item No. 13, in place of Amendment No 13, to replace Amendment No 13, to replace Amendment No 13, to replace Amendment No 13, to replace Amendment No 13, to replace Amendment No 13, to replace Amendment No 13, to replace Amendment No 13, to replace Amendment No 13, to Then the question is whether we can guarantee that it is not used for other purposes. The bill explicitly states that data processed within the framework of the CoronaMelder may not be processed for other purposes. This ban applies to everyone, including the public authorities, as well as to investigation and enforcement services. Many questions have been asked about the scope of the anti-abuse clause, but I think I have actually answered them all at once with my response to the amendment. Why is the hotline in the IGJ? That is because we thought it would be wise from a citizen's perspective to have at least one hotline. Then, of course, it's always a choice where you put it, but the choice has been made on the IGJ. Have we considered a lot of other options? Honestly, I don't even know. We have just dropped the choice on the IGJ, but it is a logical choice because this is an inspection that is close to the care and because there is enforcement under the Wpg. But if, for example, there is a dispute between employer and employees, then the Inspection SZW might be a more logical enforcer at that time. In particular, therefore, we want the citizen's point of contact to be clear, that is the Health Care Inspectorate, but then it may also need to make use of the opportunities that other enforcers have to act in an individual situation. That's the subject of conversation right now. The inspection will further elaborate on this in consultation with other enforcement services. In particular, we have driven from a citizen's perspective, so that he does not have to look for the window that could help him in his situation. Then there is the question of 50PLUS on the Dutch order of lawyers. This question was about maximum punishment. We have joined the penalty periods as set out in Article 67 of the Wpg. This is based on the Wpg. The aim is, of course, not to say that I believe that Mr Middendorp has said this very clearly in order to impose fines. The aim of this law is, first of all, to standardize, to standardize socially that we do want people to use the app, but that we do not want it to become mandatory. Mr Van der Staaij was right to point that out. That has also been a moving insight for me in the first few weeks. At first I thought that in order to achieve a certain degree of adoption, perhaps we should prescribe the app in a number of situations. Pretty soon I came to the conclusion that if we start pulling that end off the rope, the resistance will only grow. On the contrary, you want there to be no resistance, but rather social experience that this is of added value. Not only should you not want to think about this obligation for the time being, but also not want to think about it in the first place. You have to standardize that very clearly. In the first instance, therefore, it is about standards. But only normalizing without having teeth when it does, is the other extreme. This means that you have to organize those teeth and that you also have to organize a supervisor. That's where the punishment came from. By the way, it will always be determined by the Public Prosecutor's Office and ultimately by a judge. So the maximum penalty it will never be, is my estimate. What are the Minister's considerations about voluntaryism and what does he really think? That was Mr Van der Staaij's question. I've just said that a little bit. At first I thought it might be necessary, but later I thought: no, this is exactly the wrong way to create the enthusiasm for the app. So we need to be clear. The app must be voluntary. We will also emphasise this in communication; that was the next question. A uniform enforcement framework. The inspection is currently working out what enforcement looks like. That also has to do with which supervisor you are in any situation or that everything must be done by the IGJ. That is being further developed at the moment. I can very well imagine that at that time people are working out what the enforcement framework looks like. But it does depend very much on the situation. If something too enthusiastic has accidentally been exerted, you will, I presume, engage in conversation. If there is really a very nasty way of taking advantage, I think you're getting the enforcement tools out of the closet a little earlier. Of course proportionality is always part of maintaining it. What if employers ask employees not to install the app? That's an interesting question, too. Well, that could happen, too. The legal text is intended to exclude any form of pressure. Of course, it was initially thought of an obligation to use, but the law, in conjunction with the explanatory memorandum, actually excludes any form of pressure. This should also be the subject of this debate. Anyway, I think it's worth a conversation, so let's keep an eye on those signals. One can't be true, namely pressure to install the app, but the other can't be true either. The choice to install the app is explicit to people themselves. DENK and the SP are asking if I can rule out police and enforcement and intelligence services accessing the data. The answer is yes. Mr. Chairman. Then I'll go to tech.
ParlaMint-NL_2020-09-02-tweedekamer-6.u99	A quick question. Mrs. Buitenweg.
ParlaMint-NL_2020-09-02-tweedekamer-6.u100	This was also about the anti-abuse clause. I asked about the government itself and whether it is possible for the LCI Directive to distinguish between people with the app and those who receive notification through source and contact research.
ParlaMint-NL_2020-09-02-tweedekamer-6.u101	Yeah, that's on its own possible. Of course, we have just had this whole debate about it, so I am afraid to go back to that again. But now, in practice, it is the people who emerge as contacts from the contact research. They're just being asked to stay home ten days since the last contact you had. And people who are now appearing in that pilot region in that app are asked to do so, but they are offered a test on day seven after the last contact. So now that distinction is made. That is now in a pilot stage, so it is not yet in the LCI directive. It seems to me to be the most logical thing to do in terms of substance if these two groups are to be treated equally. But if you ask me whether it is technically or legally possible to make a distinction in the LCI directive: yes, because that is what is most important from the point of view of disease control. And in that light, you may distinguish between one group and the other group.
ParlaMint-NL_2020-09-02-tweedekamer-6.u102	Finally.
ParlaMint-NL_2020-09-02-tweedekamer-6.u103	Yes, Mr President, but I think this is an important point. Because it's not about, say, on the one hand the group of people who downloaded an app and on the other hand all the other people. It concerns people, groups of people, who are informed that they have come into contact with an infected person. In one case, the means is the source and contact research, and in the other case the means is the app. And now the Minister says, yes, if the drug is the app, then you may also be offered a faster test. And it's possible to make a distinction, so people who get a notification through the source and contact research won't get that opportunity to do a test without symptoms. Then the government itself makes a distinction based on the app, namely in the ability to test. And I don't think this should be possible, because then there is still a reason, namely: if you want you to be tested, then you have a good reason to download that app. I think this is really undesirable.
ParlaMint-NL_2020-09-02-tweedekamer-6.u104	No, you're very much reasoning from a "say" "Awb" look, a legal look, from a kind of General Law treatment-like way of looking. But this LCI directive is a medical directive. So it makes sense for a medical directive to take a situational view of what is most effective in the context of infectious disease control, in this case, as you also allow different treatments for different patients. Then you never look at: is this right, because you should really have the right to exactly the same thing. No, because in different situations you should be able to apply something different depending on the effect you can expect from it. This is how the LCI Directive was drafted, and that is a professional directive. But I'm just an amateur, and we are, I think, all of them. We've become more and more informed amateurs, but when it comes to virology or epidemiology, I think we're all thinking from that angle. But if, with you, I think out loud about whether it would make sense to make a distinction in that, I would think: no, because they are actually in the same way in the picture. At least they have come under the same definition in another way, namely: they are people in the app as well as in the regular source and contact research who have been wrong with someone who has been infected within 1.5 meters for fifteen minutes. So it's the same group with a similar risk of infection. And because that is the case, I think it is perfectly logical that the LCI Directive should always provide the same advice for action, namely: whether or not testing without complaints. And at the moment, it is action advice that is offered: testing without complaints. And of course we also have the research setting that we are currently using, and in that research setting asymptomatic testing is tried out for that app group. This has not yet led to an amendment of the directive. That might be possible, but it seems to me in itself logical that the same choice should be made for both the app group and the regular contacts. But what's the big deal there? That is where the deciding factor is: what is the most logical thing to do from the point of view of disease control?
ParlaMint-NL_2020-09-02-tweedekamer-6.u105	Good. Yes, Mrs. Buitenweg, I...
ParlaMint-NL_2020-09-02-tweedekamer-6.u106	Yes, I know, Mr. Chairman, and after this, I will stop. But this is an important point. And fortunately it was answered more firmly in the technical briefing earlier and I believe that in the written reply too. But I was afraid the minister would come back here and skip something. He said again later that there is hardly any possibility that we could be treated unfairly. I really want to call him to that, because otherwise I think that there is an indirect preference for the group that has the app, because they can then test earlier. So I would like to ask the Minister to be a little stricter on this and to ensure that the government does not implicitly favour the people who have downloaded an app, compared to the people who are in the picture through the source and contact research.
