ParlaMint-NL_2020-11-05-tweedekamer-12.u1	The next item is the continuation of the EZK budget, including the National Growth Fund.
ParlaMint-NL_2020-11-05-tweedekamer-12.u103	Nevertheless, Mr Van der Lee van GroenLinks has a question for you on this point.
ParlaMint-NL_2020-11-05-tweedekamer-12.u104	I just want to say that I can live with that and therefore I do not necessarily need to hear an opinion on the amendment. That will then be the subject of this debate, but that debate will have to take place before we vote on the budgets.
ParlaMint-NL_2020-11-05-tweedekamer-12.u105	Let us do it this way: I will give a written response to that amendment before the votes.
ParlaMint-NL_2020-11-05-tweedekamer-12.u106	Very good. Maybe I can say one more sentence about that generational test. I have noticed not only in the political but also in the social debate and during the round table that some people are very much in favour of adding to the things we are already doing. In that light, it is not yet entirely self-evident. I have heard very well what the Minister said, but I think it is important for the management of expectations that we record that kind of thing. And that is what we are going to do in the debate on the Growth Fund.
ParlaMint-NL_2020-11-05-tweedekamer-12.u107	I hear this isn't gonna be a fight. Mr Bruins, but also Mr Amhaouch, are good readers of the piece and they have concerns about the region. Mr Amhaouch also picked out a sentence and asked: what does this phrase actually mean? That sentence is: the committee can also have a certain spread... et cetera. How's that? It is not expressly the case that an ex ante allocation of funds between regions has been agreed. Why not? Because that's extremely unwise. We have the Belgian practices of the 1980s as an example: then port facilities in Wallonia had to be built, because they also existed in Flanders. That's what we call "the waffle iron policy." That is not possible and, moreover, if we were to guarantee a region a certain amount of resources, then there would be no more good proposals and certainly no more creative proposals. No one actually thinks so. Nor do I hear from the regions that this is the way it should be. But we do think that this will create a reasonable spread. Why do we think that? We think that for two reasons. The first is that everyone here can see that these economic opportunities are clearly scattered across our country. What, for example, are extremely promising and extremely strong knowledge clusters in the Netherlands? I would then call Wageningen and Eindhoven and everyone sees that it is spread across the country. When I call hydrogen, I call it a molecule, ten of you say the North. They don't just mention the North, but they'll mention the North explicitly. So they're scattered all over the country. But there is also an economic argument that is correcting. That is the absorption capacity of a region. If you honour ten proposals in one region, nothing will come of eight, because the absorption capacity will be inadequate. You have to weigh that in and this is going to be a spread something. If that is not the case, we have an annual debate in the Chamber on the budget of this vehicle. Then let's talk about that. My point is not that we will decide to introduce an ex ante regional distribution, but that we will have questions as to how great opportunities in the region could have been left unhonored.
ParlaMint-NL_2020-11-05-tweedekamer-12.u108	I thank the Minister for this answer. I see it can happen like this. On top of that, I see that the regions outside the Randstad are simply needed to keep the Randstad habitable over the next 30 to 40 years. However, I am concerned that every time I feel that GDP growth is a leading indicator of the Growth Fund. The calculation of GDP can only be done in cases that are reasonably close in time and are reasonably concrete. The higher the population density, the higher the GDP increase if you invest there. Before you know it, it'll end up in the West again.
ParlaMint-NL_2020-11-05-tweedekamer-12.u109	I don't know that a certain investment is more profitable if there are more people living around it.
ParlaMint-NL_2020-11-05-tweedekamer-12.u110	Well, for example, it is with a railway line; the fuller the train is, the higher the yield is if you lay a railway line somewhere.
ParlaMint-NL_2020-11-05-tweedekamer-12.u111	That also depends on the density of the network that is on the ground. If there's no railroad, it's a whole different story. But let's not draw curves in the air, when we don't really know the connections. I'd like to say it in a different way. I have spoken quite often about this to Mr Bruins. So I know that we both think that the social balance of costs and benefits is important. In addition to this, we must ensure that a greater proportion of the prosperity increase will be achieved by households and that we also have room for all kinds of other collective provisions. So we need to boost the level of our new type of prosperity. Then it doesn't make much sense to say: I can't calculate it very precisely, so let me go to another parameter. That's not how he thinks, and that's not how I think. I'd rather we take an approach to something we really mean than calculate exactly what we don't need. He thinks so, too.
ParlaMint-NL_2020-11-05-tweedekamer-12.u112	Sure. I do have the idea that that includes qualities like believing in something or choosing something with guts and guts. Not everything is calculable, especially with regard to large economic indicators. Do I find that kind of dreams, visions, guts, courage and belief in that Growth Fund?
ParlaMint-NL_2020-11-05-tweedekamer-12.u113	Not everything is calculable, but we must force ourselves to make everything evaluable. I have another question from Mr Moorlag.
ParlaMint-NL_2020-11-05-tweedekamer-12.u114	But first, Mrs. Agnes Mulder has a question.
ParlaMint-NL_2020-11-05-tweedekamer-12.u115	Yeah, at the same time. I'm gonna go back to what my colleague Bruins said. How does the Minister indicate hydrogen in the Growth Fund?
ParlaMint-NL_2020-11-05-tweedekamer-12.u116	That question has been asked and I have actually answered it. I have mentioned the following example. In the growth strategy, we have two columns that are both related to hydrogen. One is transition management. If we screw that up, we're 10-0 behind. That is an extremely important point. Energy infrastructure plays a key role in this. Furthermore, we explicitly have the piece of infra. That Growth Fund is there to do things at its crossroads. I'm not gonna make any promises to the hydrogen industry, because the assessment isn't with me. However, this is a key element of the type of investment that could contribute to economic development, including the economic development of the new type. I'm not making any promises, because I'm not the judge, and I shouldn't be. Mrs Mulder should not be either. But I can see that it's an excellent thing that could be considered.
ParlaMint-NL_2020-11-05-tweedekamer-12.u117	I have a question along the lines of this. It is now always about green hydrogen in relation to the Growth Fund, but there are many more sources where green hydrogen and new projects can be financed. We talk about the DEI, about a possible combination of wind farms and a little SDE++ and about the Just Transition Fund. What a lot of investors are actually waiting for is an answer to the question of which train they can jump on and when it will pass. It would be so nice if the Minister could give us a pathbook of that. That just gives the market a lot more clarity.
ParlaMint-NL_2020-11-05-tweedekamer-12.u118	I believe that question has already been asked. I wanted to answer that in the context of the section on climate.
ParlaMint-NL_2020-11-05-tweedekamer-12.u119	So you're gonna have to wait a little longer.
ParlaMint-NL_2020-11-05-tweedekamer-12.u120	I do not know whether I can be as exhausting as Mr Sienot and I would undoubtedly like to be, but the answer comes along. I would like to begin with Mr Moorlag's question on the Growth Fund. Actually, he's overreacting. He says: yes, 20 billion; the infrastructure alone is 40! Well, I say, that's 50. But the author of an investment plan of 50 billion must also go overboard. I don't think this is the measure. In fact, I can imagine that if you see good opportunities for this, you will have to push up the amount, but that should really lead to economic developments. We're not gonna raise public debt so we can't give a generation the corresponding income. Because then we're just transferring things to generations. That is not what this fund is for. I can imagine that we are considering this amount more closely, but not in the light of this example. It is true that a lot of money has to go to infrastructure, but we have an exceptionally good tradition for infrastructure in the Netherlands. That's what the user pays for. There is a need for extensive industrial infrastructure. Yes, there can be a kickstart, but I don't think anyone in this Chamber thinks that the industry should get all the infrastructure new style for free. I don't think so. Companies must make an appropriate contribution to this. The user pays, even if it is an industry and also when it comes to infrastructure. So yes, kick-starts can be made. I think that hydrogen is an extremely important example, but I cannot imagine that we are now taking 40 billion in infrastructure out of the fund and getting rid of the idea that the user should ultimately contribute to it. Nevertheless, I do not rule out the possibility that there will be other thoughts on amounts, but again, that must be something that will really benefit the next generation and will see something of it in the rise in prosperity.
ParlaMint-NL_2020-11-05-tweedekamer-12.u121	There is a question for you from Mr Stoffer of the SGP.
ParlaMint-NL_2020-11-05-tweedekamer-12.u122	We are still going to have the fundamental debate on the Growth Fund, but I have asked a few questions. Suppose my daughter comes to me and asks: Daddy, do me $100, because I want to do good things for the future. Then I say, "I trust you, so it's okay in itself, but then I want to know what you're gonna use it for. Suppose she says to me: yes, ask my classmates! Then I say, we're not gonna do that; I want to know about you. Well, that's actually happening here, because the cabinet is asking Parliament for 20 billion to do something good for our future, for the future of the future generation. Then I ask: there are some proposals; can we not share them with each other? And then I get the answer: 'Transparency about the proposals is of course important, but communication about the proposals submitted is primarily for the independent assessment committee'. That means I'm going to have to send a letter to Mr. Dijsselbloem of the committee, for example. That's not how we got married. Why can't the cabinet just give us a little bit of transparency, because we are asked for the 20 billion? I'd like a clear answer to that.
ParlaMint-NL_2020-11-05-tweedekamer-12.u123	You want to avoid two situations. Suppose that daughter needs €100 to invest something in the future, leaving it to daddy and daddy to buy other sports rims for that. That's what we tend to do: Daddy's going to spend it on himself. It may also be that daughter who gets €100 and buys an electric skateboard for that with all good intentions, future-proof. That is very nice, but it does not contribute to the future. It is useful that, if we borrow money from a next generation from public funds, we have very, very sensible people with precision to see that it also meets the earning capacity of that other generation. Then it might be a pot for the study. That is boring in the short term but wise in the long term.
ParlaMint-NL_2020-11-05-tweedekamer-12.u124	In itself, I agree with this. But still, if you're releasing 20 billion, you have to feel a little bit about where it's going. What I don't want is that it goes, for example, to traditional infrastructure or something like that, because we can just arrange that directly with each other. So there's got to be some insight into potential proposals. I really don't need to see the whole list of proposals, but I'll give you the following. Before we here as a SGP later on, possibly, that's really one thing for me: are we going to do it or not? If we are to make a positive assessment, we really need to have the indication that it is going to hyperloop development, hydrogen development or I don't know what. I need to see that it's really forward-looking, that I can't do nice things with it, but that it really ends up with my daughter or grandchildren. That's the guarantee I need.
ParlaMint-NL_2020-11-05-tweedekamer-12.u125	But now Mr. Stoffer is turning it around. He says: to see what the criteria are, I have to take a look at these proposals. But, of course, that's a really weird size. Whether these proposals are in line with these criteria is not at all clear at this stage. Perhaps there are proposals where Mr Stoffer is laughing, and perhaps I am laughing. I haven't seen them, but it could be. The way for Mr Stoffer to exercise parliamentary control is to look at the objectives. There are three pillars; those are the projects. Because steering at project level seems very unwise to me and has gone completely wrong in the past. It has to be about directing on targets. Rooms send on targets. And so does Mr Stoffer. He can learn about those goals. Furthermore, we simply have to look year after year at how the responsibility of the fund runs. This includes budget law and so on. But now to look at the current projects, which I do not know, in order to assess whether the criteria are good, is the reverse world. Mr Stoffer should not want to do that. He must consider himself higher. It is not the project promoters who determine what the money is needed for, but it is Mr Stoffer, who, through the criteria and his parliamentary law, determines the objectives.
ParlaMint-NL_2020-11-05-tweedekamer-12.u126	Final word, short.
ParlaMint-NL_2020-11-05-tweedekamer-12.u127	I am really looking forward to that debate on the Growth Fund itself. I think that's going to be a good debate.
ParlaMint-NL_2020-11-05-tweedekamer-12.u128	Me too! We now come to climate and energy.
ParlaMint-NL_2020-11-05-tweedekamer-12.u129	Ah, but Mr Amhaouch has another question.
ParlaMint-NL_2020-11-05-tweedekamer-12.u130	We have a very nice fund, the National Growth Fund. I must say, quite a lot of people were surprised at how the first trial went. That went pretty fast. It was also said at the time: we have to submit projects. The ministries themselves have looked at what is feasible in the short term. So there was a hat, but we didn't see that rabbit coming. I find the answer to the written questions rather unclear, so the following question. The second tranche will come in spring, but it is a lot of money and a lot of major projects. Companies are working on it, provinces are working on it. So can the Minister promise that he will come forward with a very short-term description of how this procedure is going to develop and what the time span is? Surely we cannot say at such a large Growth Fund: somewhere in the spring the second tranche will start? That doesn't fit in with the allure of such a beautiful project.
ParlaMint-NL_2020-11-05-tweedekamer-12.u131	I am, of course, still a little dependent on how the parliamentary procedure goes. A certain modesty suits me. Mr Amhaouch's first sentence was: we now have that fund. No, we haven't got anything yet. It depends on Mr Amhaouch whether we have that fund, and I now have some reservations. I can set up a whole fund that is not there yet, but I have to look at the Chamber first to see if the co-legislator is charmed by this. So I would like to be somewhat cautious. But let us come back to this in the debate on the Growth Fund. Is that an idea? I wanted to move on to the subject of climate. I would like to thank the various speakers for the simply nuanced input and their response to what we are doing now. Hundreds of parties are working on a climate agreement, and I think that deserves the right words. A few marched to full war strength with militaristic rhetoric, but overall I found it... Mr Sienot feels addressed, but he should not. What facts are we dealing with? For it is clear that more needs to be done. I have just said that we are in a situation where we cannot read exactly when we are doing what we are doing. We have to adjust every year. So that's what we should do this year. This is the first KEV, in which what is already ready for the Climate Agreement is put on the grill. In the beginning, we presented a kind of planning for all these measures: what should be done when? In the beginning, Corona took us to a disadvantage, which later largely ran into us. So gross mode is the planning in terms of activities in order. But that means that there are measures that have not yet been crystallised. Some of them, for other reasons, are a little less than I had hoped. About half of the measures could be passed on, from another we knew it would not be finished. One measure that I had hoped would be completed, for example, is the CO levy. We knew it wouldn't be through the Chamber yet, but I thought we had a definite price path. But what did we agree on in the Climate Agreement? We would also base the price path on European subsidies, but they are not yet fully available. As a result, the PBL could not understandably make that price path yet and therefore there is no definitive price path in it at the moment, so that the measure could not be fully passed on. So some of it is not finished yet. My second point is that I was somewhat reassured because of the measures that could already be passed on, because these calculations are not disappointing. Grosso mode is the estimate of what could be calculated about what was in the Climate Agreement. But what's new though some things aren't entirely new, because they've been rolling from the band before, but they've never been in a KEV before is that there are some things in there that I can't blame any of the hundreds of performers of the Climate Agreement, but which do mean that there's work to be done. I call the statistical adjustments. A number of megatons of extra emissions have been found in the statistics following the completion of the Climate Agreement, but we have not agreed on sister and so much megaton, but 49%. So I have to cut 49% of the new emission sources. We haven't made it yet, but that's what the Climate Act says; that's how we agreed. No one else can do anything about it, it's nobody's fault, but that's what happened. Furthermore, in the past we have worked with a PBL estimate for the gas price and the energy mix. Well, it's falling out quite differently, because the Germans are also making a bit more speed with the shutdown of their coal power stations. That means a few things. At European level, that is good news. Everyone knows that. This means, for the same climate law, that we have to provide compensation for this. That's just the way it is. We can say we couldn't help it, but it's a law, an obligation, and we have to implement it. This means that some of the tonnes still have to be passed on. Twenty-five megatons have been calculated. 20 megatons of that have yet to come. We have the effect of all these adjustments since the conclusion of the Climate Agreement and that is about 14 megatons. Mrs. Mulder also asked how far off we are. Well, if the measures that have not yet been calculated would produce what we think, I think there are uncertainties in them and I do not dare to guarantee that; I do not yet sign them and the PBL is in charge of saying that we only have the setbacks to compensate. We still have to do about 14 megatons to reach 49%. I saw a recent estimate in which the bandwidth now ends at 46. I think that's pretty high when you think those exogenous effects are so big. I honestly think 46 with those exogenous setbacks is unlikely. At least I'm afraid to bet on it. Anyway, what does this mean? This means we have to compensate for that. We have also strictly taken a rhythm for this in the Climate Act. I don't want to say that we have to stick to that. Look, if measures have not yet been implemented, they must be corrected immediately that year. If there is insufficient progress due to all kinds of changes in the environment, this should be corrected somewhere after the 2021 KEV. I think it would be wise to look at this earlier with a new cabinet and to go ahead already; I will say something about it in a moment. So there is no need to wait for that. We have a complete review of sectors every five years. The Climate Act says that, and in all honesty, this means that we simply have to get to work now. They're working on that, too. There is a committee that looks at both the possible additional measures on this package and the measures we need if a 55%, if any, would be embraced by the Commission in 2021. Then we'll get a share of that too. So that's a bit of the picture. Do I think it's weird that this is coming out? No. In fact, I expect that all Cabinets between now and 2030 will continue to look at how the world has changed every year, and in all honesty thereafter. It is very important that we stick to the goal and that the measures are at the service of the goal. We're gonna see it again next year and the year after that. Sometimes it's not that bad, but sometimes it's not that bad. Things are complicated. This is the adventure we entered into. We're struggling with the task. Whoever imagined an autopilot might have been naive from the start. Mrs Dik-Faber asked this question. She says: in November there will be... I know the question as hers, but she wasn't there. Then it must have been Mr Bruins.
ParlaMint-NL_2020-11-05-tweedekamer-12.u132	We might hear it from the answer. Please continue.
ParlaMint-NL_2020-11-05-tweedekamer-12.u133	Yeah, we're gonna hear it from the answer. That committee will be coming up with all its plans in November. We've been asked, what are we going to do with that?
ParlaMint-NL_2020-11-05-tweedekamer-12.u134	Mr. Bruins.
ParlaMint-NL_2020-11-05-tweedekamer-12.u135	Yes, Mr Bruins. Look, I know the origin of some of the questions. Sometimes that bothers me a little bit. I know Mrs. Dik-Faber. Mr Bruins asks: what are we going to do with that? He's not coming in November. It's coming up at the end of the year. I think there are two things that can come out of that. There may be a number of things that we can say: they are no regret, affordable and sensible. Then we could still decide to do so. But in all honesty, I also find it a little uncourteous to ignore in large steps or in large investments that there might soon be another cabinet with other ideas, preferences or a different weighting. Walking in the footsteps is at least uncourteous. It means that it will undoubtedly have to play a role in the new period of government. In collecting the ideas, Mr Sienot introduced the term: cover a longer climate table. I like that one. But how are we gonna cover it? That committee that's working on it has gotten ideas back at all those tables with all those stakeholders. There has also been an online event with 1,000 participants, in which people could present ideas. But in all honesty, I do not think that is quite the length of the table Mr Sienot is referring to. I like an online event with 1,000 people delivering ideas. But let me promise that I'm going to try to get wider input from society in addition to that I'm not going to charge the committee with new work. Think of SMEs, students, students, entrepreneurs, scientists. Let's try to make that table as long as we can. I like that initiative. I also think it's a nice verbal find. This means that, in accordance with the Climate Act, we should have some permanent concern about whether we are doing the sensible things and whether it remains cost-effective. But I would also like to leave aside a concern, in all openness. 'Cause I have a concern that's not in the pieces yet. I don't read my concerns in the PBL documents yet. But I think it's in next year. In the atmosphere of the experts and the scientists I hear them gong. It is also a concern which sometimes makes me less optimistic and which we should pay close attention to here. We have a climate agreement. In addition, we've been relying on what experts say. That's what I'm defending. I think that's wise. Sometimes things come out of there that you don't like, corona for example, maybe in climate terms, but I attach great importance to working wisely, not just with feelings, images and interests. Those experts say things. For example, the Planning Office for the Environment has all kinds of schemes and scenarios. In all there is a significant proportion of biomass in, for example, the built environment. CCS isn't the most popular guy in the class either, but it's very much in it. It was much wider in scope. Take the 1.5°C scenario of the IPCC. 30% of the reduction worldwide comes from biomass and nuclear energy. CCS is added to that, but I have not been able to see this quantified in reduction, because that is what it says on the basis of energy sources. Every year, the IEA surprises us with a visit, where it has extensive lists of things we serve up in the debate but which, according to the IEA, belong to it. And then the Green Deal. We don't know what's under the hood yet. The hood isn't open yet. But I do know that under the hood there are considerable amounts of biomass. That's what the experts say. All these sources of emission reduction have become severely discredited. The social debate on this is getting rather vicious. I think that the use of woody biomass is justified on a temporary basis, because these are not 80 years old trees. If they are 80 years old trees, Mr Van Raan and I are sitting next to each other in the benches telling them that this is not right. But the public support for it is very fragile. So a third of our task is simply on the road. Then it is attractive to offer all future alternatives and talk about innovation; I always say that, but it is far away. The sweet and tempting song of hydrogen is now sung in all Member States, but hydrogen is not an energy source. It's a carrier, a storage medium. Hydrogen is sensible, a system parameter, but it is not an energy source. It does not play a dominant role at least before 2030. We need energy resources after 2030, not just carriers before 2030. So that's a big concern. Moreover, at the same time, we are in the process of telling each other two things. The first is that the ambition should actually be raised. Intelligibly, with all kinds of expert reports and the coalition agreement in hand, there are still quite a lot of blue chairs, including my own chair, in this room that say: it should actually go up. Actually, we all think the costs should be reduced. We are all looking at the energy bill and we also think that the social costs should be reduced, because they all end up with us in one way or another. But the only proposals we're all getting sent and on the table are things that lower the target range and increase costs. On the list of things that are proposed to me are all things that are target range lowering and cost raising. That's what I'm worried about. I don't have the solution yet, but I think we should all recognise and discuss the sensitivities. I think it takes an iron discipline to keep us to the facts, because things that don't seem to be right but they're good. Things that seem to be good, but they're not good, they're bad. We have to stick to the facts. We should also go off on... We have to honor our experts. We need to maintain our expertise. We must honour and trust the institutions that we have, and which do not have so many countries. If they are wrong, they are academically wrong and then they recover automatically, because science is constantly talking to itself. That is what a sensible government can do: recognize that there are concerns and try to reason as wisely and rationally as possible, with openness about everything, with experts on the basis of facts and figures. And that's quite a job. For example, at Urgenda, which I now briefly comment on. Mr Van der Lee has asked. He asked for two things, first of all, are we gonna make it? Of course, that's the stakes. We are quite busy with measures in the coal sphere. They haven't been calculated yet. When someone reads the report superficially, he says: it's very uncertain if you'll make it. Yeah, uncertainties can never be erased. But the measures we've taken, you have to take them. For 2020, it is uncertain. I've always been very honest about that. Corona helped us a little, but that's help you don't want. So before 2021 and the years after, we must make sure that the verdict is complied with, because it can be copied to subsequent countries. Mr Van der Lee has put it with one sentence and quite a lot of precision. I also got a very vague answer at first, from: we do such good things. But no, Van der Lee actually wants the production of electricity from coal to fall further every year. By which he means, what are you doing between 2023 and 2030? I have to be honest about it: we'll do whatever it takes to get that verdict. For that all sails have to be added, because such a coal power plant cannot be wrestled in every direction. There's a maximum bet. Coal plants will end in 2030. For the time being, the measure does not apply. I'm not gonna make a better story out of it either.
ParlaMint-NL_2020-11-05-tweedekamer-12.u136	Mr Van der Lee is getting up, so he wants to create an interruption.
ParlaMint-NL_2020-11-05-tweedekamer-12.u137	I would have expected this answer from the Minister in his own right. That is why I asked another question. The combination of probably not getting Urgenda in time, the risk of getting back above 25% in the years after, the power of the verdict that is in place and the systematic nature of the climate law when it comes to the 2030 target, in my opinion, forces this incumbent cabinet to come up with additional measures. If the Minister makes the choice with regard to coal as he has just put it, then he will have to offer a different assurance in the form of new, additional policies instead.
ParlaMint-NL_2020-11-05-tweedekamer-12.u138	Mr Van der Lee's question was about the years 2023 to 2030. The commitment is precisely to do things to make sure that we get the verdict on a multiannual basis, in the years 2021, 2022 and 2023, and who knows what. So, in general terms, I agree that we need to do multiannual things to get the verdict. As soon as this is no longer necessary, this measure is not foreseen and it will again be foreseen from 2030 onwards.
ParlaMint-NL_2020-11-05-tweedekamer-12.u139	Mr Van der Lee, please use the microphone.
ParlaMint-NL_2020-11-05-tweedekamer-12.u140	Then I'd like an answer to that other question. Is there going to be an alternative policy? The Minister must have something ready when we shoot through the 25% again. Then start thinking, clashes very hard with what the Court has said. Then you get what we've seen with nitrogen, that suddenly parts of the economy have to be shut down. I'll just mention one possible outcome. So...
ParlaMint-NL_2020-11-05-tweedekamer-12.u141	My bet is right to make it.
ParlaMint-NL_2020-11-05-tweedekamer-12.u142	Let Mr Van der Lee finish his sentence and then the Minister will have the floor.
ParlaMint-NL_2020-11-05-tweedekamer-12.u143	I would like to hear from the Minister whether he will come to the Chamber with additional instruments before 1 February 2021 in a letter.
ParlaMint-NL_2020-11-05-tweedekamer-12.u144	I will soon inform the Chamber in what way through the coal measure and with what dimensioning and timelines I am committed to reaching the verdict.
ParlaMint-NL_2020-11-05-tweedekamer-12.u145	My question follows on from that, but I would first like to point out that the Minister's speech, which concerns him, is of unprecedented cynicism. Science and some parties in this Chamber have been warning for years that more needs to be done. The Minister himself said in previous debates that he started too late. The Minister is also constantly saying: we need to do more. In order to suddenly appear as the one who is concerned, is of a cynicism that is unprecedented. I know the Minister means well, but I don't think he even realizes how cynical that sounds.
ParlaMint-NL_2020-11-05-tweedekamer-12.u146	Now you must ask your question quickly, otherwise you will have too long an introduction.
ParlaMint-NL_2020-11-05-tweedekamer-12.u147	Can the Minister or not guarantee that the Urgenda judgment will be passed this year? Otherwise, additional measures will have to be put in place.
ParlaMint-NL_2020-11-05-tweedekamer-12.u148	I am working on additional measures. The Chamber knows in large part what measures they are. As soon as they're ready, I'll call it in. And that's the bet to make it.
ParlaMint-NL_2020-11-05-tweedekamer-12.u149	The question is whether the Minister can guarantee that what is now standing will also be achieved. If not, what additional measures will he take?
ParlaMint-NL_2020-11-05-tweedekamer-12.u150	As soon as I calculate my additional measures, I'll let this Chamber know. I'm very busy with that.
ParlaMint-NL_2020-11-05-tweedekamer-12.u151	I have a question that fits in with that. The Netherlands must generate 14% of renewable energy by 2020. That goal is not being achieved and therefore the Netherlands has to pay 200 million to Denmark. We think that is a very sad situation; we are going to spend money from all the Dutch people in Denmark. That doesn't help the climate and makes people poorer. But now the PBL says that maybe this isn't even enough. Does the Minister recognise that conclusion from the KEV?
ParlaMint-NL_2020-11-05-tweedekamer-12.u152	Here too is the commitment to make it.
ParlaMint-NL_2020-11-05-tweedekamer-12.u153	Yeah, that's how we beat every debate to death! 'Cause of course this is every time. Every time the minister says, "Our goal is to make it." Then such a deadline passes and then he says: well, too bad, still didn't make it. That way, we're wasting a hell of a lot of household money. I was expecting something more serious anyway. This is the big debate, the debate on next year's budget. Then you can't just say: well, our goal is to make it and if we don't make it afterwards, then we're just going to spend some money on another country?
ParlaMint-NL_2020-11-05-tweedekamer-12.u154	Let's put it this way. If we had started at a much earlier stage, we would have achieved this renewable energy target, but it would have cost more resources rather than less.
ParlaMint-NL_2020-11-05-tweedekamer-12.u155	You will continue your speech.
ParlaMint-NL_2020-11-05-tweedekamer-12.u156	Yeah, I'm afraid it's what it is. But Mr Van Raan still owes me an answer on cynicism. I see Mr Van Raan as the one who has promoted the climate issue in a great way before me. But that's not what I'm doing here either, and I'm not monopolising it at all. I have a very different concern, namely that the way in which we solve this must go at the lowest social cost, because we have to bear these costs together. And that's what I'm worried about. So I'm past the point of doing this. That was the coalition agreement. I've accepted that assignment, and I stand for it. I am referring here to the fact that we also have to make it and that so far the large quantities of proposals that come in are more likely to bring the target range out of sight than closer, and to increase costs rather than lower. That's the concern I share here. We're not gonna solve that today, but I wanted to put it down. And that other concern was Mr Van Raan; he was with it earlier. But I don't mean that one either. He's not in question anymore either. We have a coalition agreement on that. Mr Harbers is actually asking for direction. How do we ensure that all these parts come together, especially in the field of industry? This steering role will be more than in the past for the government. We have developed a system that looks a bit like infra-planning. That is the multiannual programme Infrastructure, Energy and Climate, those cluster energy strategies. There, these companies are going to talk to each other at a very detailed level about the exchange of heat, intermediates and residuals. Those cluster energy strategies will be matched with those RESs, because they are related to them; they are also part of such a RES. They are aligned with the Transition Vision Heat and in one case the North Sea Programme also has a relationship with it. And all this fits back into the Energy Main Structure Programme, which is the plan that the SES's and the RES's have received. Then we are still working on a legislative programme to remove legal obstacles. However, Mr Harbers says that the Council of State is calling for a more coherent legislative programme. I am not at the stage where I consider that the precise views of the Council of State on this matter are beyond doubt copyable to this system. However, I would like to undertake to discuss with the Council of State how this coherence should be further improved. That is my commitment to Mr Harbers, in relation to his comment on the Council of State.
ParlaMint-NL_2020-11-05-tweedekamer-12.u157	Mrs Mulder has a question on this.
ParlaMint-NL_2020-11-05-tweedekamer-12.u158	Yes, thank you, because I have tabled a motion on this in the past together with Mr Van der Lee. We're thinking about whether we might do the same today. But that coherence is very important and we really do miss that direction. So I think that the Council of State point is really very important. When's that gonna come?
ParlaMint-NL_2020-11-05-tweedekamer-12.u159	Well, I don't know if we're missing direction. I have here a list of letters that I have sent about how all kinds of points of part-direction are put together and how those chunks are connected again. That's a very long list. So I don't subscribe to the lack of direction. I agree, however, that the Council of State, after studying it carefully, says that there are opportunities to ensure further coherence in the legislative programme as well. And I'd like to work on that.
ParlaMint-NL_2020-11-05-tweedekamer-12.u160	Mr Harbers of the VVD stands up for his interruption. Go ahead.
ParlaMint-NL_2020-11-05-tweedekamer-12.u161	Maybe it will be in the Minister's speech shortly, but I still miss two things in the Minister's list. If you're going to make a comparison with the MIRT, we need to see how we can build it very well from the start. I think that the legislative programme is also concerned with the coherence between the laws that are coming. There's a heat bill coming up. It's in consultation. The Minister also plans an Energy Act. That's a bundling of laws that already exist. It warns of the interrelationship between these laws, not only by the Council of State, but also from the field. All these criteria must be consistent. I think 2021 is the year in which this type of coherence needs to be established. The same applies to the coherence with the available instruments in the SDE++. I pointed that out yesterday. Maybe you will.
ParlaMint-NL_2020-11-05-tweedekamer-12.u162	I'll get to that in a minute.
ParlaMint-NL_2020-11-05-tweedekamer-12.u163	You cannot have a multi-annual programme on the one hand, and on the other hand, grant instruments that are not in line with that.
