ParlaMint-NL_2020-11-25-tweedekamer-5.u1	The next item is the budget for Justice and Security.
ParlaMint-NL_2020-11-25-tweedekamer-5.u35	Mr. Chairman. What a huge mess is the Dutch asylum policy after ten years of VVD in power. It's failed on failure since the VVD is on the buttons on migration. Fred Teeven performed a children's pardon. Klaas Dijkhoff allowed adult men to take their underage brides to the Netherlands and then broke all migration records. Then Mark Harbers, known for covering up asylum crime and the private bus line for troublesome asylum seekers. Finally, it has been up to Mrs Broekers-Knol for a year and a half to screw up on behalf of the VVD. For a year and a half we have heard Mrs Broekers-Knol talk about hard work, hard work and serious work. I've only become more sceptical about all this superlatives and VVD marketing talk, without even one positive result for the people who are dealing with all the nuisances and who see their rental homes passing by their noses to asylum seekers. But this is just the tip of the iceberg. The failure of the VVD and Mrs Broekers knows no bounds. Let's start with the case of Morocco. Illegal Moroccans still plague entire neighborhoods with their intimidation, theft and nuisance. Mrs Broekers is still virtually not getting these troublemakers out of the country. She has been de facto declared persona non grata by the government from Morocco and is still not welcome in Rabat to talk about troublesome Moroccans. What a mockery. Isn't it time for sanctions, Mr. Chairman? An entry ban for Moroccans, for example, or the withdrawal of Royal Air Maroc's landing rights, freezing the assets of dignitaries, summoning and then sending home the ambassador of Morocco? Or is Mrs Broekers in this sacrifice by the Moroccans? Of course, this problem of illegal Moroccans does not come from the sky. No, illegal Moroccans simply enter the border across the Netherlands by car, bus, truck or train, just like all the other so-called asylum seekers. And that's where the real problem lies. Our borders are wide open and no one is stopped at the EU's external borders. Anything and anyone can come in and then choose the country that suits them best. Will it be Merkel's "Wir" Germany or the Netherlands where the VVD offers asylum seekers, illegal or terrorist, shelter, gives free food, care and so on? So what does a large part of those asylum seekers do? They travel nicely to the Netherlands, because there you get everything at the expense of the indigenous people thrown in your lap. In fact, even if you don't have a right, you get it anyway. And if you're not supposed to get it, then the VVD will find a way to pamper you anyway, because then they'll just start a bed-bath-bath project for illegal foreigners. This project is now being converted into a so-called "national immigration facility" in which processed asylum seekers are helped by creative means to obtain a residence permit. How well such projects work, we have been able to see in left-naïve Amsterdam: 3.3 million hard-earned tax peaks away, and a total of one illegal stranger who has left. So what does Mrs Broekers think will happen if this is the VVD policy? That people are gonna leave the Netherlands? Of course not. They come and masse here, and no one can blame it, except those who make and maintain this policy. All this malpractice has led to the influx into the Netherlands, despite corona, being unprecedentedly high. At least 500 asylum seekers come to the Netherlands every week. The trouble is that these people not only cause nuisance, but also cause huge costs. We have seen that, before the PVV came up with the initiative law to abolish periodic penalty payments, the Secretary of State lost 1 million euros every week to fake asylum seekers who were indicting. That's a lot of money, but what do you think of the costs involved in providing shelter for all those people, food and daily spending in azc's? How about the free health care these people all get from the Cabinet? Or what about the police deployment due to all the nuisance, all the fighting and stabbing and thefts from stores? What do you think all that costs? And who do you think can afford all that? Indeed: Henk and Ingrid. Mr. Chairman. As if all this weren't bad enough, millions of taxpayers' money are being thrown over the bar. Think of all those left-wing projects such as vlog courses, Arab party nights and I know a lot of what other nonsense municipalities offer to outlawed illegals with a legal obligation to leave. And that legal obligation to leave, Mr. Chairman, is another thing. The legal obligation to leave is often passed by the shredder by this cabinet. Speaking of respect for the rule of law! This cabinet should be careful that the European Commission is not going to try to withhold EU funds because of our disregard for court rulings and therefore for undermining our rule of law. Mr. Chairman. I've been talking about the failing policy. I have talked about how it works, and I have talked about those responsible for this policy and about the costs. I would like to talk about the impact of this policy on the people of the country, because this shameless pro-migration policy is not without consequences for many of our fellow countrymen. Look at the nuisances that asylum seekers cause, whether they are azc's in Budel, Gilze en Rijen, Ter Apel, Harderwijk, Bloemendaal, Westerwolde, Emmen, Overloon, Echt, Susteren, Nijmegen, Amsterdam, Oisterwijk, Ommen. I can go on like this for a while. I have here a whole list of places where asylum seekers from azc's are being harassed. On and around almost every azc throughout the Netherlands there are problems with theft, intimidation of women, violence and fighting and there are other nuisances because asylum seekers look inside people, sleep in gardens and so on. Anyone who is still trying to convince the public that it is just a small group of nuisances knows that he is lying very loudly. These aren't small groups anymore, and these aren't bullshit. Theft, rape, attempted murder, the homosexual co-inhabitant of an azc pouring boiling water, intimidating Christian asylum seekers. And then another COA that blocked gay and lesbian dating apps. It can't be any crazier. It's running out of spigates. And what did our Secretary of State do? It has appointed a number of goat woollen socks officials to harass illegal immigrants by telephone. Her last achievement is a list of 70 action points, actions that could have already been taken, but never taken. The only thing that shows a list of 70 points is that the cabinet is trying to radiate decisiveness. A huge disappointment, especially considering that the PVV only needs three points to solve the problem. Here he comes. One. Close your borders. Two. Picking up trouble suits and illegals, locking them up and shutting them down. Three. All lucky seekers return to the country of origin or to their own region. On the other hand, this cabinet is not doing anything to deal with this mass migration crisis. Scared if they're before the election, they're just gonna let it all happen. The VVD desinformation machine is working overtime to inform the people whether or not they are using state media about the effectiveness and handling of nuisance and crime. Meanwhile, the VVD signs the Marrakesh Migration Pact. You know, that pact that would supposedly make countries take back their illegals. All we had to do was look at the case of Morocco to see how this pact did not work there. Almost no one is being forced back to Morocco by this cabinet. Where the pact does work, it can be seen from the influx, which is unprecedentedly high despite the Chinese virus. I argued it before. That influx is over 2,000 a month. The Dutch have to stay at home and are not allowed to travel abroad, but nepasile seekers come in with hundreds of them a week. This unhindered influx means that the azc's, the asylum-seekers' centres, are packed and that municipalities will soon be put under pressure again or will be obliged to take care of these asylum-seekers. And what is the solution of the cabinet? It's not stopping the influx, it's helping asylum seekers move into a social housing facility faster. Over 5,000 homes are being withdrawn from the rental market this year, and more than 27,000 homes should be given priority to asylum seekers in 2021. The Dutchman who has been on the waiting list for many years is once again the victim of this "way with us" policy. It's a hell of a scandal. So this cabinet is only making the situation worse. Instead of deporting people, hordes of people are allowed in. Instead of saying "up to here and no further," the cabinet is about to accept even more migration legislation from Brussels. I am referring, of course, to the European Commission's new migration pact, a terrible bundle of binding legislative proposals, all of which involve unelected Brussels bureaucrats on how to organise our admission and expulsion policy here in the Netherlands. It will not surprise you, but there will be no expulsions in these legislative proposals. Of authorisations, on the other hand, all the more. There is no limit whatsoever on how many asylum seekers, illegal immigrants and low-skilled migrant workers will be admitted under these new EU plans. And what is even more dangerous is that the European Union is about to decide how many illegals and asylum seekers we need to take in. When there is a country that thinks it is in crisis or the European Commission believes that the EU still needs some low-skilled migrants, the state of emergency can be declared unilaterally. And then the mechanism in which the European Commission determines how many migrants and asylum seekers we have to accept will come into force. This is not only about people who have the chance to be considered refugees, but also about illegal migrants, where it is already clear in advance that they have no right and will not be allowed to stay in the EU. So the EU's new policy is to legalise illegal immigration, and so on paper pretending that the problem does not exist. But these problems do exist, and they do need solutions; they do not need to be watered down and watered down. The PVV has several and perfectly implementable solutions. I have already indicated to you how we could wash the little pig called Morocco. Now I will explain how the PVV would like to tackle the problem of mass immigration. If we really want to deal with the problems, we must first stop bringing in new asylum seekers or illegal migrants. It may sound familiar to you, but mopping with the tap open simply doesn't work. And that crane, it's currently wide open. So stop letting new people in. Then we have to clean up in the Netherlands itself. As far as the PVV is concerned, every asylum seeker is sent back to or the country of origin, or Belgium or Germany, because that is where they all come across the border, and so they were safe before they decided to travel to the Netherlands. There is therefore no longer any question of dangerous flights, and economic motives must never be rewarded with residence permits in the Netherlands. So we have to start to stop allowing asylum applications in the Netherlands. And then the situation with the Syrians. Syria is largely safe again and, according to the cabinet, IS has no more areas under control. There is therefore no reason for Syrians to stay here in the Netherlands. So these people can go back and help rebuild their once beautiful country. If we take this decision now, we can send back 44,000 Syrians who are currently all occupying a social housing facility or a place in an asylum-seekers' centre. This makes tens of thousands of places available for our elderly people, who would like to live in lush environments. Or places for all those young people whose lives are on pause because they can't find a home, thanks to this cabinet policy to give asylum seekers priority to housing in social housing. So a win-win for the Syrians: back to your homeland, with your own language, culture, habits and food. And a win-win for our elderly and young people, for which beautiful and affordable living space is available. And then we need a solution for all those people who are illegally staying in the Netherlands who cause nuisance and crime. I've ripped off a tip of the veil before in my text. That solution is simple. Not 70 points of the "old wine in new bags" type, but a simple, clear, realistic and feasible solution to deal with nuisance and illegality, namely: picking up, securing and deporting illegal immigrants and criminal aliens. Success guaranteed with this three-stage rocket from the PVV. And finally, Mr. Chairman. It is perhaps at the heart of where this cabinet policy goes so wrong, and that is the position of the Dutch citizen in this whole story. Put that Dutchman back on one, let their rights prevail over those of people who come here only for economic gain. Make exceptions in favour of that Dutchman, instead of constantly making exceptions in favour of illegal migrants and asylum seekers. Reason from what is important for the Netherlands, stop mass immigration and let the Netherlands be the Netherlands again. Thank you, Mr. Chairman.
ParlaMint-NL_2020-11-25-tweedekamer-5.u36	Thank you. Mr. Azarkan.
ParlaMint-NL_2020-11-25-tweedekamer-5.u37	Mr President, thank you. A bit of a sour contribution from the colleagues of the PVV. Normally it's from those happy people... We have heard Mr Van Dijk speak in a previous AO about the devolution theory and we have seen his colleagues do so in the First Chamber. Actually, he sums that up now. He warns of another people. He warns of people who do not naturally belong here in the Netherlands; you have to send them away. We know that his party wants Muslims not to be able to live together here. If you have two passports, if we, you and I, commit an offense, then we have to leave the country. That's actually what he's saying. Does Mr Van Dijk know what this population theory led to in the 1930s?
ParlaMint-NL_2020-11-25-tweedekamer-5.u38	If Mr Azarkan van DENK had listened carefully to my text, Mr Azarkan would know exactly what I meant. And what I have meant is that the European Union is in favour of this policy in which we are going to replace the ageing of our population with people from outside. And we have seen where they lead: asylum seekers' centres that are overcrowded, violent outbursts, nuisances, crime, the huge costs involved. Well, I understand the frame Mr. Azarkan is trying to push the PVV, but I would ask Mr. Azarkan to look into his own bosom instead of throwing unfounded accusations our way.
ParlaMint-NL_2020-11-25-tweedekamer-5.u39	Unfortunately, these are not unfounded accusations. We know that the language that Wilders speaks has been taken over by Breivik, the language that warns others who are going to take over here in the Netherlands, for people of foreign cultures. That's literally in Breivik's manifesto. Seventy-seven young people shot, 30 times the name Wilders is in it. I know the PVV is also looking at scientific literature these days. Dr. Bart Jan Spruyt, self conservative, says: Wilders is indirectly responsible. We also saw it last year with Tarrant in Christchurch. Exactly the same lyrics. He said: I have gone around Europe, I see what is happening there and what, among other things, the PVV warns about. This is extremely dangerous rhetoric. I would like to ask Mr Van Dijk of the PVV to distance himself from that.
ParlaMint-NL_2020-11-25-tweedekamer-5.u40	I'm sorry, but we've never, ever, associated ourselves with Breivik and other terrorist attacks. This is some serious bullshit. I find it rather insane to turn this kind of accusations our way, because you know what it does: people are threatened, our party leader needs to be protected for years because of your supporters. I'd rather be worried about that. The comparison with terror attacks by deranged religious lunatics is far from my point of view. The PVV has nothing to do with that. The problem I raised relates to the unlimited influx of illegal migrants, of people who come here for economic reasons. Mr Azarkan van DENK can try to pull all kinds of conspiracy theories and I know a lot about the hair to push us into that corner.
ParlaMint-NL_2020-11-25-tweedekamer-5.u41	Thank you, Mr. Van Dijk. I now give the floor to Mrs Becker on behalf of the VVD.
ParlaMint-NL_2020-11-25-tweedekamer-5.u42	Thank you, Mr. Chairman. This year we celebrated 75 years of freedom with each other. I realized that not only my generation, but also my parents' generation, had only known peace. We have to go all the way back to my grandfather and grandma's generation to know what it's like to live in an unfree, unsafe country. So the last generation that felt that is my grandfather's. We could simply build our lives at a young age, but he was sent into war as a conscript in his twenties and saw comrades, also twenty-something, dying there. My grandmother waited at home in suspense to see if he'd come back alive, my grandmother, who couldn't go to college at the time, because that wasn't customary for girls. I remember when I used to think of that as very special stories to hear from my grandmother and grandmother. Now, now that I'm an adult, I realize even more that the freedom I have, that I can stand here today, is a freedom they didn't have. That I may say what I think, that there are equal opportunities for men and women, I say today on the international day against violence against women, that we may love whom we want, gay and straight: that is freedom. That my colleague, Mr Dilan, was going to say that again today, from a country where her family could not have been freed, came to Holland, became a Member of Parliament and fought every day for our ideals: that is freedom. I'm proud of that. Our security and our freedom are worth defending. But unfortunately, there are others who want to undermine our free way of life. Unfortunately, that has become painfully clear again over the last few months. Terror attacks in several European countries. Beheaded a teacher in France. People who thought they were safe and peaceful in a church, but would never come out alive again. The free word under pressure. Teachers who showed a cartoon and are therefore threatened. Other teachers who may not even dare now. Politicians who can't be safe across the street. The wretched thing is that some of the perpetrators and some of the bereaved came here just because they were looking for security and freedom. It was the reason to leave their home country and apply for asylum in the EU. Others came here looking for work and a good life, but once here some of those people suddenly question those same freedoms, like a kind of freedom à la carte. But that's not how it works, Mr. Chairman. In order to protect that freedom, especially against those who want to threaten it and who can threaten our free way of living together, we must guard our borders. Figuratively, we have discussed this with each other a lot over the last few weeks, but certainly also literally. We must also discuss asylum and migration policy in the budget debate today. We must draw a line around those countries with which we share our values. To do so, in order to protect the common borders of fortress Europe much more effectively, a fundamentally new asylum system is needed.
ParlaMint-NL_2020-11-25-tweedekamer-5.u43	I don't know if you had the paragraph yet...
ParlaMint-NL_2020-11-25-tweedekamer-5.u44	Maybe I can finish this block.
ParlaMint-NL_2020-11-25-tweedekamer-5.u45	That is good, and Mr Van Dijk will have the floor.
ParlaMint-NL_2020-11-25-tweedekamer-5.u46	After World War II, our grandfathers and grandmothers rightly said that we must always provide shelter to people fleeing a war. That thought supports the VVD; let me say that very clearly today. But the Refugee Convention in which this is laid down has begun to lead its own lives. Instead of offering protection to the most vulnerable, in one place as close to the war as possible, to their own homeland and to their own culture, it has become a free pass for smugglers to drop people off at the gates of the EU, risking their own lives and a cynical earning model. With a full Lampedusa, a full Lesbos and full Canary Islands as a result. We, as free and safe countries, would have signed up to take care of them all, wouldn't we? No, Mr. Chairman, that's not true. Yes, everyone is entitled to shelter if he or she flees war and violence. But that does not mean automatically in Europe. Nor does it mean that everyone should be allowed to choose a country of destination. As far as the VVD is concerned, refugees stay as close to their homes as possible, so that they can quickly return to their homeland after the war. People who come here for another reason and have no right to stay must leave. It can't be that you wouldn't have to leave here if you're done and we shouldn't have to shut you down. Unfortunately, people always point to international agreements why none of this is possible. This weekend in the newspaper a portrait of Moroccan street gangs who live here in the Netherlands as asylum seekers, while they were already safe in their home country. That is not what our asylum system is for. We need to be able to change this. Not only by looking at the Refugee Convention, but also, above all, at the EU's interpretation of it, as the Donner Commission rightly told us recently. The VVD calls for a completely new European asylum system, in which people are receiving reception not here but in the region. If there is no window here where you can report spontaneously, it is not attractive for even more people who want to take advantage of our hospitality. In this way, we can choose who can come here on invitation and reduce the chance that unwanted criminals, such as IS fighters, will reach our country via the asylum stream. This is not a harsh, but rather a social story. It makes people stop putting their children on those boats to reach a Greek island. It puts an end to overcrowded camps, burning out of desperation. We will only stop these degrading circumstances by setting much clearer limits as the EU. That's what we're gonna do. Fortunately, this Secretary of State is also committed to this. We encourage her, as the Netherlands, to make this new system truly stricter and fairer in the negotiations on a new European asylum system. We have already discussed this extensively with each other, and I would like to encourage her to do so again today.
ParlaMint-NL_2020-11-25-tweedekamer-5.u47	Yes. I see that Mr Emiel van Dijk, Mr Van Ojik, Mr Voordewind and Mr Jasper van Dijk wish to intervene. Mr. Emiel van Dijk.
ParlaMint-NL_2020-11-25-tweedekamer-5.u48	This is, of course, the story we hear every time, over and over again. The election's coming up. We only have a few months to go and then suddenly the right-wing talk comes out at the VVD. But keep in mind: it's that VVD that's been on the buttons for ten years. Who could have changed something for ten years. Who for ten years has let in 750,000 non-Western migrants. Who in ten years has let in 2 million other Western migrants. And now this VVD suddenly comes up with "we have to close the borders," with a mini-Schengen and with "if necessary we close the Dutch borders." That's completely the electorate's way of looking at it. I wonder: isn't the VVD very ashamed to turn off that same string just before the election every time?
ParlaMint-NL_2020-11-25-tweedekamer-5.u49	The VVD has worked hard in recent years, not only this period, but also the period before that, to do everything we can to keep our country free and safe. By taking the lead in Europe to get a Turkey deal done, when there was an asylum and migration crisis in 2015. By ensuring that there are not huge numbers of........ much higher than what has already been mentioned...
ParlaMint-NL_2020-11-25-tweedekamer-5.u50	750,000 in ten years!
ParlaMint-NL_2020-11-25-tweedekamer-5.u51	Mrs Becker has the floor. You'll have the opportunity in a moment.
ParlaMint-NL_2020-11-25-tweedekamer-5.u52	Thank you, Mr. Chairman. The VVD didn't just do that. We have also made our asylum system stricter and fairer in the Netherlands, for example by tightening the sliding scale. That is an official term for the ability to take people's status more quickly if they are guilty of criminal behavior. We have ensured that false hope has been removed at the end of the procedure, so that people do not pile up. We have made sure that discretionary power has been abolished. We stopped with the children's pardon. The Secretary of State was the first to say that he was going to receive troublesome asylum seekers in a closed setting and that otherwise they would no longer have the right to receive them. We have merged the interviews to get the asylum procedure even faster and even more stringent. I can go on for a while, but unfortunately Mr Emiel van Dijk is not really interested in the answer. It seems as if Mr.Emiel van Dijk has some sort of VVD-corvee, because he reacts every time the VVD comes up with a seriously substantiated plan. He knows that if it's okay with me, because I'm in a lot of debates with him. I'm thinking about what we can do better. Of course we won't all settle that tomorrow, but I promise you this is a realistic story. The PVV only wants to pretend that everything that the VVD does is only done before the elections, when I hear from them alone that we should leave the European Union. Do you have any idea what that means for your voters, for jobs, for security? Do not come here now saying that we do not accept our responsibilities!
ParlaMint-NL_2020-11-25-tweedekamer-5.u53	All I hear from the VVD is talk, talk, talk: we work hard, we try, we do sister and stuff, our Secretary of State has said we're going to do this. But nothing's gonna happen. 750,000 non-Western immigrants have been admitted to VVD in ten years. Bed, bath and bread for outlaws: we're going to catch them. Illegality punishable? No, we're gonna throw that off the table. We're not gonna criminalize illegality. Do you want me to keep going? Yes, I will. Azc's filling up. We give rentals priority to status holders. Closing the borders? No, we are not, because Europe is not allowed to do that. And then, this morning, they're gonna come up with a news report that they're gonna close the borders. What a gross hypocrisy of the VVD! VVD-corvee? I'm sorry, but all the lies, all the misinformation and all the things the VVD keeps calling out to the voters, they just need to be named. Then I'm on that microphone to emphasize that and to bring those lies to light. This just can't be!
ParlaMint-NL_2020-11-25-tweedekamer-5.u54	Mr Emiel van Dijk, of course, is about his own input, but I think it's just a shame. We should have a fundamental and concrete debate today on what we can do to improve the migration system. That your whole contribution then is about another party and what that party would not do well, namely the VVD, I find testifying to some sort of emptiness and lack of own ideas. When the criminalization could be arranged illegality, the PVV ran away from the Catshuis! We would have liked to have done it. Unfortunately, we do not have a majority for it at the moment. You do need responsible parties who are willing to work constructively together. I invite the PVV to that, but we haven't seen them yet. I haven't heard any other viable proposals apart from a nexit. I wouldn't recommend it to the voters of the PVV either.
ParlaMint-NL_2020-11-25-tweedekamer-5.u55	I understand perfectly what Mrs. Becker is trying to do here. With a diversion, she tries to emphasize our position on the next. But it's not about us, it's not about the meeting at the Catshuis. It's what the VVD does. The VVD is lying. They're professional liars. Every time, just before the elections: we are going to do this, we are going to be strict, asylum seekers out, stopping migrants and closing borders. Sometimes I look at it and wonder if Mrs. Becker has access to my computer.
ParlaMint-NL_2020-11-25-tweedekamer-5.u56	Can I have some silence in the room?
ParlaMint-NL_2020-11-25-tweedekamer-5.u57	The only difference between the VVD and the PVV is that we still stand by our word and that we stand by what we say. We would stick to it, unlike the VVD, which has immediately thrown illegality off the table. Then you can't blame us or the Catshouse. The VVD threw illegality off the table, brought in 750,000 non-Western migrants. Anyone who's finished is welcome to stay here. Criminal asylum seekers are offered bed, bath and bread. Not one of them gets thrown out of the country. And in the meantime, tough in the media, we're gonna have to put things in order and we're gonna take care of things, if necessary by closing our borders. Really, you should be ashamed of yourself!
ParlaMint-NL_2020-11-25-tweedekamer-5.u58	Mr. Chairman. I haven't heard anything new. I would like to invite Mr. Emiel van Dijk to look more seriously at our plans. In fact, without doing much damage to the Netherlands by leaving the European Union immediately, we can certainly gain more control over our own borders. We have written down a very serious plan for this. I regret that the PVV needs all these terms of strength. I'd rather talk about the content. Oh, I have more interruptions. I was about to move on, Mr. Chairman.
ParlaMint-NL_2020-11-25-tweedekamer-5.u59	No, I have Mr Van Ojik, Mr Voordewind, Mr Jasper van Dijk, Mr Grotehuizen and Mr Azarkan. First Mr. Van Ojik.
ParlaMint-NL_2020-11-25-tweedekamer-5.u60	There is a great deal of interest in Mrs Becker's opinion. Her praise for freedom is very appealing to me. The way she put it, it's great. But if she's going to talk about the UN Refugee Convention, something's going wrong for me. The essence of the UN Refugee Convention, in which, as far as I know, the Netherlands participates, is that you have the right to apply for asylum and seek protection in every country that has signed the UN Refugee Convention. Mrs Becker allows you to apply for asylum anywhere, especially in the region, if you do not do so in the Netherlands. That's how you listen to it. In fact, she says that the Netherlands must get away from the UN Refugee Treaty. Is that right? Does the VVD claim here that the Netherlands withdraws its signature under the UN Refugee Treaty?
ParlaMint-NL_2020-11-25-tweedekamer-5.u61	We agreed in the government agreement that the UN Refugee Convention should be reviewed. That's what we argued with the CDA. I hear Mr. Emiel van Dijk screaming in between, but I go on quietly. So we got that in the coalition agreement together with the CDA. That was not for nothing, but precisely because the interpretation of the UN Refugee Convention that has arisen over the years is that asylum seekers should be able to choose their own safe destination. As far as we are concerned, that is not the intention. The intention is to stay close to home in the surroundings, on your continent, where you are safe. When it comes to countries where there is war around the European Union, we as the European Union are also dependent on our own continent to provide that security there. I think it is a great risk if people fleeing a war do not go to the first safe country, but choose the most prosperous country for their future. I understand very well that people want that, but it is not possible for all prosperous societies, such as the Netherlands, to have these pressures. We have asked the Donner Committee to investigate that. The committee has said that you could adapt the UN Refugee Convention to that, but that does not make much sense, because it has now been incorporated into European legislation. That is why I proposed today in my plan that, while you are negotiating a European asylum system, we should also see what might be needed in the future to adapt treaties and advocate an opt-out when it comes to European regulation and the UN Refugee Convention, in order to achieve the objective I have just mentioned. We need to do that now, so we can, if we need to.
ParlaMint-NL_2020-11-25-tweedekamer-5.u62	My question was, I believe, simpler than Mrs Becker's answer suggests. 97% of refugees are currently being received outside Europe. We do about 2% to 3% throughout Europe. Is Mrs. Becker saying she wants to bring that number down? Does it want 98% or 99% of the world's flow of refugees to be absorbed in the countries that are often already so vulnerable, which already account for 96% or 97%? She can find that, but then she will have to get the Dutch signature from the UN Refugee Treaty. Fortunately, with international treaties, it is not the Group of the European People's Party (Christian Democrats), the Group of the Green Left or the Group of the European People's Party (Christian Democrats) and European Democrats that decides what is to be done on the basis of that treaty, but we have all agreed to do so. We have agreed that for those seeking protection there is the right to apply for asylum in the Netherlands. I would like to hear from Mrs Becker whether the VVD stands for the right to apply for asylum in the Netherlands.
ParlaMint-NL_2020-11-25-tweedekamer-5.u63	No, because I do not agree that this is the core of the UN Refugee Convention. That's exactly why I'm asking for those analyses. I know that Mr Van Ojik thinks that the Netherlands should bring more people here. We're not in favour of that as a VVD. Apart from the question of'more or less', it is mainly a question of control. Since everyone can apply for this procedure here, two thirds of our asylum population currently has no right to asylum. People who already had a lot of problems in Morocco can therefore decide to go to the Netherlands, to apply for asylum here and to come to the shelter, and from there to show criminal behavior. That is not how the asylum system is meant. And if we make sure that we decide who is really entitled to asylum at the external borders of Europe, then you have much more control. And that is the beginning of a very important solution.
ParlaMint-NL_2020-11-25-tweedekamer-5.u64	I read the AD this morning, too. Of course, we know Mr Malik Azmani's old plan and in the AD I now saw a new plan by Mrs Becker. She actually says: that migration pact is going to take a while. She's not that excited about it either. Last week, together with the CDA, she supported a motion from the Forum for Democracy that we must miss today, I think, in order not to continue even the rescue operations in the Mediterranean. Now she comes up with a plan, in which she says it will take a very long time and that in the meantime we have to see for ourselves how we can get to a mini-Schengen and if necessary also be willing to close our own borders. Does she not think that this undermines the efforts of her own Secretary of State? He says: I am glad that there is now a migration pact. It says: you can differ on a number of points of view, but at least we are going to see in Europe whether we can get support for this plan. Doesn't Mrs Becker think that this is undermining the efforts of her own Secretary of State?
ParlaMint-NL_2020-11-25-tweedekamer-5.u65	No, I even think it's an incentive. If you, as a country, have seriously explored the possibilities if this does not succeed, then it can encourage everyone to take a serious look at a well-functioning European asylum system. We don't depend on Brussels here. Brussels, and the Member States, should not think: well, as long as there is no solution, all countries are at the mercy of what is happening in Brussels. We also need our own process in order. And while the talks are taking place in Brussels, we must also do something here. I certainly still have faith in the talks in Brussels. You referred to my colleague Azmani's plan. I also see elements of this coming back, such as making agreements with countries outside the European Union and more reception in the region. I think that's great. Only, we shouldn't bet on one horse. We need to protect our society in every possible way, so we also need to have other plans in the closet if it is to be needed.
ParlaMint-NL_2020-11-25-tweedekamer-5.u66	I'm just trying to understand where this plan is different from the Azmani plan. I read here that the Dutch borders should also be closed and that people should actually be taken care of in their own region. Mr Van Ojik has already said that this is what kind of a thing is it? 95% is already happening. But is it exactly the same plan as Mr Azmani had? He said: 'Boys, even the external borders must be closed and one has to be taken care of in one's own region. Is it a repeat of Azmani's plan? If so, it is a real undermining of the migration pact. Because then you actually tell all those European officials, including the Commissioner, who have been working for years to do this, that they have to stop working, because you really want the external borders to be closed and that all the people who are being picked up in the Mediterranean are being sent back to what is it? Where are they going? Libya or Syria. Can you explain that again? 'Cause I don't understand anymore.
ParlaMint-NL_2020-11-25-tweedekamer-5.u67	No, Mr Voordewind does not understand that very well, but that undoubtedly depends on my own explanation. So I'm glad to be able to explain it again. If I may say so, as far as we are concerned, negotiations are currently taking place in the European Union to make the ideas of the Azmani plan a reality. It is about his idea to decide at the European external border who is or is not entitled to asylum and, more importantly, about his idea of receiving many more people fleeing war and violence in the region, by making agreements with countries outside. The European Commission has finally recognised this for the first time, and that is a huge profit. So we should definitely do that. My plan is something wrong with that. I say, in the meantime, while we pursue that, have your own country and your own homework in order. Mr Voordewind also knows that it may take some time with 26 Member States. So make sure that you are ready with other countries in the Benelux for a mini-Schengen and for a grip on your own borders, to prevent us from being flooded and make it appear uncontrolled to us as a society. Mr Voordewind should not want that either. Can I say one more tiny thing, Mr. Chairman?
ParlaMint-NL_2020-11-25-tweedekamer-5.u68	Well, a very small thing.
ParlaMint-NL_2020-11-25-tweedekamer-5.u69	In his first interruption, Mr Voordewind claimed that last week the CDA and the VVD supported a motion from the Forum for Democracy to completely stop NGO activities in the Mediterranean. That motion was nothing other than to say that NGO activities can sometimes also encourage human trafficking. In certain specific cases, the judge may see this as a criminal offence at the moment, and it must remain so. It's not necessarily not a criminal offence. That was the motion, and I actually wanted to correct it.
ParlaMint-NL_2020-11-25-tweedekamer-5.u70	I really think Mrs Becker is a talented MP.
ParlaMint-NL_2020-11-25-tweedekamer-5.u71	Now you're gonna have to look out.
ParlaMint-NL_2020-11-25-tweedekamer-5.u72	She gives nice interviews in the paper and probably gets a nice spot on the list. We're all gonna see that. Only that flirting just with the PVV did I find a little less, that invitation to come to the table to talk. I would ask you to agree with your party leader, because Mr Rutte wanted to look to the left. I thought that was much more sensible. But now I'm going to the content. Mrs. Becker has a lot of plans. This morning she was in the paper again. You'd almost think, "Is she in the opposition or something?" But it's not. She's with a party that's been in power for years. That is why I miss the reflection on the asylum policy of this cabinet and previous cabinets, because there is not very much of this policy. There are major delays with the IND and the return policy is completely failing. Mrs Becker referred to the very impressive article that was in the NRC this weekend. That article also states: "Spain and France are able to bring their people back to their asylum seekers, who have been subjected to nuisances". The Netherlands does not succeed at all. How is that possible, Mrs. Becker? You're at the helm. What's going on in there?
