ParlaMint-NL_2020-10-01-tweedekamer-7.u1	Now let's move on to the General Financial Reviews.
ParlaMint-NL_2020-10-01-tweedekamer-7.u41	I think I have to answer this in two layers. The first layer of the answer is that with the Job-oriented Investment Discount, we really have an ugly word for it, but we have a broader objective if you are trying to keep up investment throughout the economy. That's the first thing. So the objective is just as different. The second layer of the answer would be that during the General Political Reviews a motion was adopted in this Chamber in which the seeker is indeed focused on the job sector. The cabinet gave Chamber judgment on that motion, because it is aware that there may be a need for more in that whole complex of construction and landlord tax. It's gonna take money for that. Maybe Mr. Nijboer thinks of the BIK, but I didn't think of that. I was just trying to explain that the BIK has a different goal. That would be the layers in my answer. The first is another broader objective. Two. It is not whether-or, it is and-and, where I think that the construction sector will be able to receive sufficient attention through the adopted motion.
ParlaMint-NL_2020-10-01-tweedekamer-7.u42	The latter is true: we are, and that is no secret either, in talks with GroenLinks and the Minister of the Interior and the Minister of Finance to do more about it. I also hope this will improve. With regard to this tax measure, the Prime Minister said in the General Political Reviews: you never really know what is happening about employment, it just has to happen, but you never really have an idea. I'll fight that. I am arguing that tax measures cannot have any idea of the impact on employment and on investment. That was already the case with the dividend tax, and this is perhaps the case with this measure. Is this measure calculated on the number of jobs it will generate and how much investment it will generate? I can just give you a railroad book table. They also always indicate what a GDP reduction does, what a labour cost reduction does, what lowering the landlord's tax does, what spending does. We just know that. It's just general knowledge. Can we also expect such an underlying economic analysis in this measure?
ParlaMint-NL_2020-10-01-tweedekamer-7.u43	If the Chamber wishes to do so, I hear that Mr Nijboer wishes to do so in any case, then I can ask the Central Planning Bureau to review this measure. I agree with Mr Nijboer that is the advantage of age, because I have already done in my life that you can make it of this too. Some are harder than others. Evaluating effects on investment is not easy, but I think it should be possible in itself.
ParlaMint-NL_2020-10-01-tweedekamer-7.u44	Finally, I will be very brief. If there were fiscal measures in the field of business which were clearly better than this measure and which would also fit into government policy, would the Secretary of State be prepared to look at whether both the cabinet's objectives were to achieve broad economic investment and not just build it, I understand, and would employment be more accessible in that way?
ParlaMint-NL_2020-10-01-tweedekamer-7.u45	I think the cabinet is always open to better ideas. We think this is the best idea at the moment. I spent a lot of my free time on this and we came up with this. Better ideas are always welcome.
ParlaMint-NL_2020-10-01-tweedekamer-7.u46	I would like to address my fellow Members for a moment. I have Mr Azarkan, then Mr Alkaya, then Mr Mulder and then Mr Bruins.
ParlaMint-NL_2020-10-01-tweedekamer-7.u47	I've already enjoyed, especially the first part, of the college's basic economy. Consumer spending, public spending, and, of course, business investment; it is incredibly important. I also asked about the BIK whether it could be that a company abroad orders, buys, or invests in machines, which makes it so efficient in the Netherlands, for example the handling of luggage that no longer goes with people, but automatically, that we have fewer jobs.
ParlaMint-NL_2020-10-01-tweedekamer-7.u48	Yeah, it's both possible. I thought Mathijs Bouman in Het Financieele Dagblad said that you should only give these investment discounts to investments that destroy jobs. I thought that was a somewhat radical point of view from Mr Bouman. But his reasoning was as follows: over the next few years in the Netherlands, we're shorting people rather than jobs, so that's worth pursuing. I think that at the moment, at this stage of the crisis, that goes a little far. Now you want to do something in taxation that helps both those investments and employment. But Mr Azarkan is right: we cannot regulate this in any way, nor should we be allowed to buy goods only in the Netherlands. That's not allowed. We are in an internal market. That's the first thing. So you shouldn't want to. And second of all, you can't arrange that investment doesn't destroy jobs, too. Investment has this strange character, as Mr Azarkan rightly points out. Let's take a very simple example. When a baker first makes bread and then buys a bread machine, it destroys the job of the person who makes the bread by hand, but at the same time more people might work in that bakery. That's the effect of that investment. So those two things usually go together. To sum up, in reply to Mr Azarkan: no, you cannot arrange that these are only Dutch investments. It wouldn't be nice either, because if Germany were to take care of this, we would have stayed in the monkey. German car companies make quite a lot of investments in the Netherlands, as you know, near Brabant. So you don't really want to. And second of all, you can't arrange for every job that followed from the BIK to be preserved. But my firm expectation is that a billing of the BIK's is actually what you are asking for, and will not lead to fewer jobs in the Netherlands. That won't be the outcome of the Central Planning Bureau.
ParlaMint-NL_2020-10-01-tweedekamer-7.u49	A clear answer and, in my view, consistent with the Prime Minister's response to it. I don't want that first one either, by the way. I don't think you should just order in the Netherlands, because if we all do that and we protect our own economies, you're more on that side of the spectrum and I think we'll be worse off in the longer term, especially as a country dependent on abroad in terms of income. Still, the second one. It's called the Job-related Investment Discount, but then it can also work out that we have fewer jobs. I find that difficult. I have not read what Mr Bouman said about it, but for the next two years I do not expect it to go very well in terms of unemployment. So I think we really need all hands on deck to make sure that as many people as possible keep their jobs. I find it difficult to explain that the Job-related Investment Discount will then work out in such a way that it might be better in the longer term, for innovation and for other effects, but if that means that people will come home with that money, then I find it difficult to rhyme.
ParlaMint-NL_2020-10-01-tweedekamer-7.u50	I told you at the end of my first answer, we might be a little too fast. I'd like to repeat it quietly one more time. My firm expectation is, knowing this kind of effect on how this is going to work in the economy, that if you ask the Central Planning Bureau, our best source for this kind of thing will say that it will have a positive effect on employment. But I was only honest with Mr Azarkan that it will not be so in every company. That also differs from the type of investment. Just one more example. If an order service buys extra cars with the BIK.That's an investment.They have to be made. They are not usually made in the Netherlands, but there are extra drivers in those cars, you can assume. So it's gonna create extra jobs. But if that investment is used to be labour-saving, it can be done with some investments, it will destroy a job in that company, but then there may be another job elsewhere. That's how these things work.
ParlaMint-NL_2020-10-01-tweedekamer-7.u51	These effects are indeed difficult to predict. I fully acknowledge that. I had a hunch... No, let me start another way. First of all, it is very good that the Secretary of State corrects that we do not get the documents until after the WED procedure has been completed, because we simply have to weigh up here and we simply get certain documents when we ask them. That's very good. Why we have therefore asked and why this is so important is the following. I had a suspicion that there would be a connection with the Research and Development Promotion Act. That is where the wage costs of a specific group of workers are only deductible, whether or not they are one-off investments. If you just hire people who are engaged in research and development, you can deduct certain costs. Now that group is enlarged, you can deduct all wage costs, then one condition has been set: yes, then you have to make investments. So I cannot escape the impression that the Secretary of State has already made an assessment of 'deze,zeze,zeze ze companies will probably be eligible if we define it in this way'. So it's already clear in advance: we want to give a discount to those companies and then we're going to shape it so that specifically those companies get a discount. Can the Secretary of State rule that out?
ParlaMint-NL_2020-10-01-tweedekamer-7.u52	This is so ingenious that I really need to think about it. The answer's just no. I haven't seen anyone come up with this. I think it's ingenious. The device, the BIK, comes from the fact that there was a Vpb reduction in the macro plates. We've been looking to see if we could use that VPb reduction more efficiently in this crisis time. That's where this measure comes from, nothing more, nothing less, without thinking about the exact business it would go to. The only reason we use the Wbso-systematic is because that system is just there. It's a.. what do you want to call it? In order to be able to grant grants in a simple manner, a stamped, certified system. That brings all kinds of benefits. It means, for example, that you really have to pay wages in order to enjoy it. And that again has the advantage that you can't use empty bv's to invent all kinds of smart constructions. That's it.
ParlaMint-NL_2020-10-01-tweedekamer-7.u53	I do not rule out the fact that the Secretary of State has actually thought of this. It is clear that VNO-NCW thinks this is a good idea. Of course, he may have thought of this as well. I can very well imagine that the average catering entrepreneur is not going to make any investments now, no matter how many discounts you throw at it, because there is still a lot of uncertainty. I can also very well imagine that there are big companies that were already planning to invest and that think: well, a discount like that suits me well, I'm going to invest early. I can imagine that the employers' organisations have said: you know what, we're going to put that in, then our big members are going to make as much progress as with a reduction in corporation tax, only then it has something job-related in it. So that's very bad. So I'm curious to see what's in those pieces that we're getting sent. I am curious to see what will come out of this WOB procedure, and I expect the Secretary of State to take a critical attitude towards lobby organisations of this kind, because someone will benefit from it.
ParlaMint-NL_2020-10-01-tweedekamer-7.u54	Sure, somebody's gonna benefit from this. People who invest benefit from this. I do not agree with Mr Alkaya on the incentive that this gives. He is right that the overall uncertainty in this economy does not promote investment, but on balance, given where we are, this BIK works. Even as a cafe or what kind of business makes investments, the BIK works positively. The only question is whether that entrepreneur is actually going to make that investment. You don't know that, I don't know, that's gonna have to turn out. Mr Alkaya is right that uncertainty is bad for investment. That is precisely why we are putting in place a system that is trying to promote these investments. In that sense, we have the same reasoning.
ParlaMint-NL_2020-10-01-tweedekamer-7.u55	Mr. Mulder, you have a question?
ParlaMint-NL_2020-10-01-tweedekamer-7.u56	I get the explanation, but he's no good. Isn't it just possible to take a job-oriented measure on the condition that he has to create new jobs? You can just include that in a measure like this, can't you?
ParlaMint-NL_2020-10-01-tweedekamer-7.u57	You can include that in the measure, but that means making the measure extremely complicated and inefficient. I do not think Mr Mulder wants to go to an economy where the government is going to decide for entrepreneurs what kind of investment they are doing. That's actually what he's saying. You do want some investments and some investments do not. If investment in a café should lead to labour savings, you come up with: you may not buy a dishwasher, but you may buy additional bar stools. I don't know what kind of economy we're going to. What we are doing here is promoting investment by making them cheaper with that premium. In the economy, on balance, this usually leads to more jobs.
ParlaMint-NL_2020-10-01-tweedekamer-7.u58	That's a very weak defense. I'm not suggesting that one investment shouldn't be allowed and the other investment should be. The story is that if you invest without creating new jobs, you just invest, and if you do it in a way that creates new jobs, you can use that arrangement. Then the scheme is really job-related. It's not that complicated at all. I find it funny that part of the defense of a Secretary of State for Finance is not to complicate a settlement. That's a you-bowl of thunder when I look at everything that's constantly being proposed. So again, it is very simple, Mr President. We can simply include in the assumptions that an investment is job-related if it creates jobs. Anyone can still invest, but without the percentage discount. If an investment results in jobs, you can use the two times 2 billion. Sounds like a win-win to everyone.
ParlaMint-NL_2020-10-01-tweedekamer-7.u59	Shortly, then, once more: impossible. This really makes it very complicated. I'm gonna have to check to see if jobs are being created. Secondly, this is a kind of economy that many of the members of this Chamber do not want. We are going to use instruments to determine whether or not jobs are being created. This is a very simple scheme, whereby you give a premium on investments. In general, we know from long experience that stimulating investment will create additional jobs on balance. It's as simple as that. You're not gonna steer per company, with: you're not gonna get this, because you're gonna have to create extra jobs. You get an economy in which artificial jobs are created. I don't know if Mr Mulder wants that. People are going to create jobs to get BIK. I don't understand anything.
ParlaMint-NL_2020-10-01-tweedekamer-7.u60	Finalizing, Mr. Mulder. You don't have to answer the question. You may ask questions to the Secretary of State.
ParlaMint-NL_2020-10-01-tweedekamer-7.u61	I just can't get an answer. It is possible to record this. It's not complicated at all to check it out. It would be a stronger underpinning of this instrument than if you said: we have invented something that meets the wishes of large companies. In this way, if it creates jobs, it is also much more interesting for SMEs. I'd say just think about it again. And stop, I say, by telling you, Mr President, that this is going to be complicated.
ParlaMint-NL_2020-10-01-tweedekamer-7.u62	I do not understand that last point about SMEs. Indeed, I have just explained that there is an SME accent in this scheme, with even a higher percentage of deduction, and that 60% of the ICI reaches SMEs. That will also be evident on Monday from pieces we are going to send to the Chamber. I do not understand that remark.
ParlaMint-NL_2020-10-01-tweedekamer-7.u63	I don't think it's a big deal if a job is destroyed when an entrepreneur buys a smart machine, if that smart machine builder is in Ruurlo, and not Munich. For that, we need Minister Hoekstra's Growth Fund. Having said that, thank you for the clear commitment that there will be an SME test for the BIK scheme. I'm very happy about that. I have a question about the estimate that 60% of the BIK scheme will go to SMEs. Of course, there's an assumption in that. I know the smartest people work in finance, but there is a certain distortion in how that arrangement will work out. I would be delighted if we could get some more information on the documents on 5 October and a little more insight into how the officials came to this estimate. Perhaps there can also be a gini coefficient for this distortion distribution, so that we can check that this is a realistic and reasonable estimate. Can the Secretary of State agree to that?
ParlaMint-NL_2020-10-01-tweedekamer-7.u64	My short answer is: yes, we will.
ParlaMint-NL_2020-10-01-tweedekamer-7.u65	There is a question from Mr Snels.
ParlaMint-NL_2020-10-01-tweedekamer-7.u66	From 2 billion dividend tax to 2 billion profit tax to 2 billion IGV. I assume that the Secretary of State does not blame us for being somewhat suspicious of what exactly this arrangement should be doing. But the substantive debate is important. My question as an economist is how much deadweight loss this arrangement may have according to the Secretary of State.
ParlaMint-NL_2020-10-01-tweedekamer-7.u67	There's no standard for deadweight loss. Let's take a few other examples. If you lower the Vpb, there is Mr Snels, I don't think that's going to give you deadweight loss, of course. If you lower labour costs for employers, all employers will receive lower labour costs, including those who do not accept additional people. So you always have deadweight loss. I'm not gonna put a mate on that. If Mr Snels asks whether it is important to know what the efficiency or effectiveness of the scheme is, the answer is, of course, yes.
ParlaMint-NL_2020-10-01-tweedekamer-7.u68	That's exactly my question. I understand that the Secretary of State is looking for fiscal measures to support companies in difficulty in this crisis, including investment. However, I fear that this scheme will compensate for investment and grant investment subsidies to companies which already invest, so that the money will reach those who do not need it and not those who do. That's my great fear. That is why I welcome the Secretary of State's commitment to allow the CPB to pass that on. The Secretary of State spoke of railway books. But railroad booklets only make sense if you also know alternative routes. That's how they work, as the Secretary of State knows. Is the Secretary of State prepared to have such a railway book made, with BIK, social charges, landlord's tax and early depreciation in a number of variants in a row? Then you get the pass-through with the effect on investment and on jobs and then you see, in accordance with Article 3.1 of the Compatibility Act, what the purpose is, how effective and effective the investments are and whether alternatives have been considered. Then it becomes a meaningful exercise of the CPB.
ParlaMint-NL_2020-10-01-tweedekamer-7.u69	In the debate we have just had with Mr Nijboer or with you, I would like to have it passed on to the CPB, on the basis of exactly the same reasoning. It is right that the Chamber should ask: we are getting a proposal, could you show how this proposal relates to other proposals? By the way, there are 2 billion bets for other forms of the CPB, which everyone can use in such a way. I would be happy to add it if we send the booklet for this measure to the Chamber. I hope, of course, that this measure will prove to be the most effective at the moment in maintaining investment.
ParlaMint-NL_2020-10-01-tweedekamer-7.u70	That's a very nice commitment. Then we really get a complete railway book. I'd like the Secretary of State to be right, but we'll see that when the railroad book is ready. Thank you.
ParlaMint-NL_2020-10-01-tweedekamer-7.u71	Thank you. And deadweight loss is a loss of prosperity?
ParlaMint-NL_2020-10-01-tweedekamer-7.u72	Pretty much.
ParlaMint-NL_2020-10-01-tweedekamer-7.u73	Look! I'm getting so much college here.
ParlaMint-NL_2020-10-01-tweedekamer-7.u74	It's a grant for expenses that have already been done anyway, so a grant for nothing.
ParlaMint-NL_2020-10-01-tweedekamer-7.u75	I think the Secretary of State has come to an end...
ParlaMint-NL_2020-10-01-tweedekamer-7.u76	No. I said no too soon, but I'm almost at the end. I have one more topic, namely the local authorities, the co-governments. You are lucky, because I am also a co-fund manager of the Municipal Fund and the Province Fund. I would like to say a few words about this, because I believe that some Members have made comments and put questions to Mrs De Vries, Mr Bruins and Mr Van Otterloo. Of course, after the last six months, since we are talking to VNG, the IPO and the waterboards, I recognize that there is pressure on the finances of the other governments. Let me repeat the numbers, otherwise the wrong picture will linger. The municipalities have more than 5 billion more resources in the municipal fund in 2021 than in 2017. This year, too, the cabinet invests in municipalities if you like. This spring, for example, 130 million were made available for the social domain, including 55 million structuralally for Safe Home, women's shelter and homeless people. For the years 2019 to 2021, more than 1 billion have been made available to the municipalities for youth care. We have added another 300 million in the last Million Note. I myself have been heavily involved in the corona support for the municipalities. In the context of the corona crisis, more than 1.5 billion has now been transferred to the co-governments, including the very desired deletion of the scale-up reduction for 2020 and 2021. In addition, the agreement with the municipalities and other co-governments is that we will give a real compensation for the income they experience lost and incurred as a result of corona. In short, the financial position of the municipalities has our attention. This is also apparent from the fact that we have almost weekly talks with the UNG and other organisations on this subject. I believe that I have come to the end of my speech. But I forgot something, I see.
ParlaMint-NL_2020-10-01-tweedekamer-7.u77	If you've forgotten anything else...
ParlaMint-NL_2020-10-01-tweedekamer-7.u78	No, the Secretary of State has not forgotten anything, but during the Spring paper debate we also discussed this with the Minister. We did receive a letter about the part of the scale discounts and the conversation with the CPB; thank you for that. What we were talking about at the time was Article 2 of the Financial Relationship Act, which says: don't give municipalities a job, without giving them enough budget. How can we guarantee that even better if we have a budget rule here? Now I saw that on the VNG's ALV there was also a motion that asked: shouldn't there be an independent referee who can determine for this task whether that is the budget that is needed, rather than being a kind of negotiating game? 'Cause you'd want that to be just something you can determine, right? How does the Secretary of State view that?
ParlaMint-NL_2020-10-01-tweedekamer-7.u79	If Mr Sneller will allow me, I would like to discuss this with the Minister, because this is a typical thing that lies at the intersection of the two of us. I must also honestly say that I do not recognise that motion from the VNG ALV. I just need to figure out what it's about. I'd like to get back to that in the second term.
ParlaMint-NL_2020-10-01-tweedekamer-7.u80	Otherwise, we're gonna do it again with his co-fund manager in two weeks. So I have every sympathy for that.
ParlaMint-NL_2020-10-01-tweedekamer-7.u81	That's not nice to my beloved colleague.
ParlaMint-NL_2020-10-01-tweedekamer-7.u82	The Secretary of State will come back to it in the second term.
ParlaMint-NL_2020-10-01-tweedekamer-7.u83	I am also going into this point. The Secretary of State is right to say that the two-year scaling-up discount has been lifted, so to speak. But that's a temporary measure. Now, of course, the cabinet can hardly rule over its own grave on the one hand, but there is also the fact that after that there is a substantial discount in the accres. This gives the municipalities a worrying future in financial terms. So the question is also what is going to be discussed in these weekly conversations about the possibilities of giving them more comfort for the future than these two years.
ParlaMint-NL_2020-10-01-tweedekamer-7.u84	The discussions we are having at the moment are really about the here and now, about this year and next year, corona and what is happening now. If Mr Van Otterloo means to ask whether we are also looking at the longer term and how to deal with it, even after this cabinet period, I think the answer is: yes, we should look at that. But it's a bit for formation in a next cabinet. My own experience is that this relationship is, of course, complicated in this way. I think the Minister agrees with me that we should just talk about it and take a closer look at it in the longer term. But there are all kinds of difficult questions for the municipalities, such as their own tax area, etc.
ParlaMint-NL_2020-10-01-tweedekamer-7.u85	Thank you. Then we have come to the end of answering this part of the cabinet. The chair will be cleaned for a while. I give the floor to the Secretary of State for Finance, in charge of Fees and Customs.
ParlaMint-NL_2020-10-01-tweedekamer-7.u86	Thank you, Mr. Chairman. It is also a pleasure for me to be standing here. I should also like to thank Members for the singular question I have to say in this case. On Prinsjesdag you received from me the bill improvement feasibility surcharges and last Tuesday the progress report on the child care allowance. I am convinced that we will be able to discuss both issues further, so I will be brief today. I turn to the question put by Mr Alkaya. He asked whether the cabinet would be willing to make every effort to give parents an advance on the money they were entitled to in the context of the recovery of the supplementing problem. Of course, we want to compensate the parents who have been injured as well and as quickly as possible. We want to offer them tailor-made services, as we agreed with your Chamber, to listen carefully to what parents say to us and, of course, to answer the questions they ask us. I really need time to help those parents. I have to be honest with you about that. We need more time than we thought, not only to listen to the story of the parents, but also to make sure that they can put their lives in order. This takes time, from us, and also from the municipalities we work with, for example. We are looking at how we can not only compensate parents financially, but can also help with housing and, for example, problems in the field of work or otherwise. Last Tuesday, in the progress report, I indicated that we would like to help parents with acute financial problems and parents in very distressing situations by the end of this year with an emergency payment. At the moment we have a group of about 250 parents in mind and we are looking at whether we can assess these parents as much as possible, so we can go through all these things and completely compensate those parents. If that is not possible, because more work has to be done on our side, or certainly because there is a problem on the part of the parents, we will make sure that we make a first payment. That first payment is therefore a payment that parents never have to pay back. This comprehensive assessment is a wish of the Chamber, but it is also a wish of ours as a cabinet, because we want parents to be helped as best as possible. But it's still customization. So we are always striving for clarity. The rush payments and the progress you are asking for could also slow it down for other parents. That is why we want to make sure that we help the parents who are most acute and in a distressing position this year, as much as possible with full treatment and if that is not possible, with a first payment. We have also strongly urged parents who are in trouble to report to us. I would like to take this opportunity to raise another issue today. That is the proposal to look at improvements to the surcharge system, which your Chamber has also called for. Over the last few months, I have seen that the present system of supplements has created incredible problems. This is seen not only in the childcare allowance, but also in other parts of the supplement scheme. It sometimes leads to fraud, but in many cases, especially with regard to childcare, it leads to very serious problems for parents. Those parents sometimes suffer for years from what the system tried to achieve for them, but did not achieve. You have received an interim report from me in which I have outlined the possible alternatives overall, but at the end of this year I hope to have worked out a number of concrete variants of options that fit together with the cabinet. They could then be introduced in order to transform the present system of allowances into a system which does not have the disadvantages of the current system. Of course, in the meantime, I continue to use a lot of energy to solve all the problems of the injured parents as quickly as possible, but certainly also well and carefully. Thank you.
ParlaMint-NL_2020-10-01-tweedekamer-7.u87	Thank you. Mr. Alkaya.
ParlaMint-NL_2020-10-01-tweedekamer-7.u88	Last year, as a Socialist Party, we took the initiative to give many of the parents a Christmas package, precisely because they are in financial difficulties and have not been able to face this type of holiday for many years like many other people happy and with good feelings. That is why it is so important that we make sure that, for those holidays and now that there is a solution in sight, they do not have to get through those dark days without our help. That is why I call on the Secretary of State not only to work carefully and properly, but also to look at the possibility that we will at least transfer a part of it in advance. Let's say €500 to €1,000 of that compensation amount per six months. That's a lot of money for these parents, because it's enough to be able to watch those holidays again. What kind of risk would we take if we were to transfer such an advance?
ParlaMint-NL_2020-10-01-tweedekamer-7.u89	My intention is precisely to give parents, in acute and poignant circumstances, either the full compensation or at least a large part of it for the holidays. That's an amount they don't have to pay back. In the progress report I also indicated that I made an emergency provision for very special cases. I do want to avoid driving all the work we're doing to compensate these parents, especially those 250 parents I mentioned. And I'd do that if I were to do other files in the meantime, because that's what's slowing us down with these parents. My intention is therefore to make sure that parents do not have a nasty Christmas or a nasty sintering classroom as in recent years. I really want to ensure that parents with acute problems and parents in a distressing situation are actually helped before that time.
ParlaMint-NL_2020-10-01-tweedekamer-7.u90	That delay doesn't mean anyone wants it. Suppose the Secretary of State really believes that it would delay us if we were to talk to more parents about 250 herself, but there are 300 to 600 people who are paying an advance than she is planning to do right now. If we could just pay those 8,100 parents who called in an advance... But if it really would lead to delays, of course we all do not want to. So let me do it like this. I am about to table a motion for an extreme commitment on the part of the Cabinet to give, where possible, where it does not lead to delay and the risk is low for the Cabinet, as many parents as possible, at least more than 300 to 600, an advance on the money they are simply entitled to, so that they can get through the holidays a little better than in recent years.
ParlaMint-NL_2020-10-01-tweedekamer-7.u91	Of course, I'm gonna take a look at that motion. I haven't seen the text yet. But again, my intention is precisely to ensure that people who are now in financial distress are in acute trouble, helped before that period. I'd like to focus all our efforts on that. We're working really hard to get that done. But I like to look at the lyrics.
ParlaMint-NL_2020-10-01-tweedekamer-7.u92	I would like a moment from the human suffering that Mr Alkaya quite rightly refers to, back to the system debate that is behind it and the solution to it. Thank you for the interim report on this. My question is: if these packages come to the Chamber in December, at the end of the year, will they be ready for implementation? Or is it still about steps before that? We would, of course, like the formation, whoever is there, to be able to take as many decisions as possible, which can then be implemented as soon as possible.
ParlaMint-NL_2020-10-01-tweedekamer-7.u93	That's exactly my intention. The idea is to make such packages... In the current letter you see what is possible if you want to change the fees. Think of variations that are on the one hand about changes in the underlying systems, the housing market and childcare. On the other hand, think about working on taxation or income. But it is indeed important to make proposals in such a way that the people who are about to negotiate can make a choice. Because the last thing I would like to do, I think, is to do with your Chamber, because it adopted the motion at 150-0 to ensure that we get another system, which is that we cannot make such a choice at the next formation. That will, of course, depend on the parties. As far as we are concerned, it is very important that a subsequent cabinet in the formation can make a choice as to the proposals that have been completed and the implementation tests.
ParlaMint-NL_2020-10-01-tweedekamer-7.u94	That sounds really good. Thank you for that. This includes what the introduction of the transition to that new system would involve and how to bridge it. Indeed, many of these system changes call for ingrowth paths to be explored further. But is that as much as possible?
ParlaMint-NL_2020-10-01-tweedekamer-7.u95	Yeah, I think so. Perhaps we will have to devote part of the period to the formation. On the one hand, of course, it's about what you want, what your final picture is, what it's supposed to look like. Of course it is about the steps to be taken. Such a final picture can sometimes take a little longer. But both issues are part of what we want to deliver in the near future. Thank you.
ParlaMint-NL_2020-10-01-tweedekamer-7.u96	Thank you. Then we've come to the end of your first term. We're moving on to the second term. That is a natural moment for me to leave the Chair. You will continue in a moment under the inspiring leadership of Mr Bishop.
ParlaMint-NL_2020-10-01-tweedekamer-7.u97	I suspect that Mr Azarkan has a point of order. Go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u98	That's right. I would like to ask you for a brief moment of suspension so that we can discuss for a moment, five to ten minutes max.
ParlaMint-NL_2020-10-01-tweedekamer-7.u99	Shall we make that seven minutes? Time starts now.
ParlaMint-NL_2020-10-01-tweedekamer-7.u100	I shall be the first to give the floor to Mr Edgar Mulder of the PVV. Go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u101	Let me start with the bad news. I'm not available as Minister of Finance. So no matter how much GroenLinks wishes it, it's not gonna happen. Mr. Chairman. The economy is on a dive. Almost overnight we are in the deepest recession since the Second World War. This is not only due to the economic contraction, but also to the sharp rise in unemployment rates. In the second quarter alone, 340,000 jobs disappeared. Today we read that the corona pandemic is again causing mass redundancies. For example, the redundancies at Shell alone amount to 9,000, at KLM it is 1,000 and at Tata Steel it is 850 jobs, and it goes on and on. There's gonna be a lot of hits. The cabinet is trying with 46 billion in measures to prevent companies from going bankrupt and people from losing their jobs unnecessarily. But we also see today that that doesn't work. There's gonna be mass layoffs, so what now? What's this cabinet gonna do? The PVV is in favour of doing the same thing now, not to reduce the support for the next quarter, the next six months, but at least to continue and not to pay the discharge penalty to cats for a discharge bonus. That is why the next motion, which I can also table on behalf of Mr Tony van Dijck, is tabled. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are mass redundancies due to the corona pandemic;]] [[calls on the Government not to reduce aid to businesses,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Edgar Mulder and Mr Tony van Dijck. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-7]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u102	Mr. Chairman. The PVV also wants an increase in purchasing power for citizens, in order to boost consumption. Instead of wasting billions in and to other European countries, we should spend it on our own citizens in our own country. That is why the next motion, which I am also able to table on behalf of Mr Van Dijck. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to remove the signature of Prime Minister Rutte at the European Summit under the EUR 750 billion recovery package and not to give the EUR 50 billion of Dutch money to Southern European countries but to spend in our own country;]] [[calls on the government also to increase the amount of money in the Dutch purse by significantly reducing the burden, by reducing the low VAT rate to 0% for a year, significantly reducing the energy tax and significantly reducing the rents,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Edgar Mulder and Mr Tony van Dijck. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-8]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u103	Mr. Chairman. The PVV finds it ridiculous that the government still pushes a flight tax through it, especially now that aviation is in such a bad state of affairs. There are 6 500 jobs at risk simply because of the tax on freight traffic, all because of the climate nonsense of this cabinet. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the flight tax unduly endangers many jobs;]] [[Calls on the Government to refrain from introducing a flight tax as of 1 January 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Edgar Mulder and Mr Tony van Dijck. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-9]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u104	After a long discussion, Mr Van Dijck agreed to table this motion on his behalf.
ParlaMint-NL_2020-10-01-tweedekamer-7.u105	This unanimity is striking. Thank you very much. I call Mrs Aukje de Vries on behalf of the VVD.
