ParlaMint-NL_2020-02-18-tweedekamer-30.u1	The next item is the order of business. At the request of a number of Members, I propose that the following motions be renewed: 28625-266; 26407-120; 26407-119; 35300-A-18; 29398-781. I propose to carry out the following work: 32820-335; 2020Z01577; 34602-2; 31239-311; 33612-72; 30196-694; 32813-443; 31239-309; 32813-441; 29023-255; 32813-440; 33612-71; 31239-308; 3179-392; 30196-689; 32813-406; 27879-74; 32813-403; 29477-647; 35300-XVI-156; 33506-41; 21501-07-1648; 21501-20-1509; 35000-VIII-206; 31288-797; 31288-808; 32140-66; 34602-1; 28362-24; 26695-130; 29477-646; 29614-149; 25295-80; 25295-78; 32793-473; 25295-77; 25295-77; 2020Z00699; 3544-2; 29544-960; 28684-610; 31936-716; 29279-563; 196375; 2020Z00743; 24515-449; 29614-149; 25295-87; 25295-78; 32793-473; 25295-77; 25295-77; 2020Z00699; 3544-610; 31936-76-71; 29279-65; 2147; 2147; 2147-65; 2020Z00743; 2147-449; 214747; 247-449 I propose to add to the agenda: VAO Pregnancy and birth, with Mrs Ploumen as the first speaker on behalf of the PvdA.
ParlaMint-NL_2020-02-18-tweedekamer-30.u185	For the sake of short, I agree with Mrs Ploumen's eloquence.
ParlaMint-NL_2020-02-18-tweedekamer-30.u186	Mr. Chairman. I agree with what Mr Groothuizen said. There will already be a broad debate on migration. This could be involved.
ParlaMint-NL_2020-02-18-tweedekamer-30.u187	Mr. Van Dijk.
ParlaMint-NL_2020-02-18-tweedekamer-30.u188	I notice they don't want to talk about it. I was standing here last week to bring the debate forward. Everyone says no, slide it in the long term.
ParlaMint-NL_2020-02-18-tweedekamer-30.u189	But there's going to be a big debate. Maybe it'll come back there.
ParlaMint-NL_2020-02-18-tweedekamer-30.u190	Yeah, in 2025, I think, Mr. Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u191	No, it has been said from the Chamber that this must be planned quickly. Thank you, Mr. Emiel van Dijk. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mrs Belhaj on behalf of D66.
ParlaMint-NL_2020-02-18-tweedekamer-30.u192	Mr. Chairman. This morning, the NRC and the NIS reported on the air strike in Hawija on the basis of WOB documents. We've talked about Hawija before in this room. For D66, these publications, including the documents that are well-known, raise many questions. I would therefore like to have a debate with the Minister of Defence, preceded by a letter in which the Minister makes a clear statement as to whether it could have known at the time that there might have been civilian casualties and why the Chamber was also not informed in accordance with its own protocols. I would also like to see all the pieces that have been wobbled be attached to the Chamber. That's my request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u193	Support for all requests, President.
ParlaMint-NL_2020-02-18-tweedekamer-30.u194	Mr President, support for all requests. I would also like to invite the Prime Minister to this debate. It is a matter of crucial statements by the Prime Minister, which, according to the documents, are not correct. So please join the Prime Minister and schedule the debate soon.
ParlaMint-NL_2020-02-18-tweedekamer-30.u195	Mr. Chairman. It is crazy that we should always read this information in the newspaper and not get it directly from the minister, so support for all Mr Belhaj's requests.
ParlaMint-NL_2020-02-18-tweedekamer-30.u196	Mr. Chairman. Just so I'm clear, I'd like a letter first. I'll wait for the letter to see how we proceed.
ParlaMint-NL_2020-02-18-tweedekamer-30.u197	So for the time being, no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u198	Mr President, support for the letter and also for the debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u199	Support for all requests, including Mrs Karabulut's request to invite the Prime Minister.
ParlaMint-NL_2020-02-18-tweedekamer-30.u200	The same goes for DENK. Support for all requests. And the Prime Minister.
ParlaMint-NL_2020-02-18-tweedekamer-30.u201	I like to join the VVD. First a letter and then we can see if there is a need for a debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u202	There is a majority in favour of your request, Mrs Belhaj. There is no majority in favour of the other requests, namely to schedule it as soon as possible and to ask the Prime Minister to do so. The cabinet is about its own delegation; we have had this discussion here a few times. But some of them gave it to me. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mr Van Wijngaarden on behalf of the VVD.
ParlaMint-NL_2020-02-18-tweedekamer-30.u203	Mr. Chairman. The number of stabbing incidents is increasing. In addition, more and more mayors are calling for a tightening up of the knife ban in one way or another. Different variants do the rounds. The Minister of Justice and Security is meeting with these mayors. He's organizing a conference. We think it would be a good idea to have a debate in the Chamber afterwards, after the Minister has done so.
ParlaMint-NL_2020-02-18-tweedekamer-30.u204	Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u205	Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u206	No support. Looks like it's for an AO.
ParlaMint-NL_2020-02-18-tweedekamer-30.u207	I have no objection to a debate, but I do not want a debate on criminalising something that is already criminal. So I'd rather have a good letter from the Minister first. I would also prefer to involve this in a general discussion.
ParlaMint-NL_2020-02-18-tweedekamer-30.u208	So no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u209	No.
ParlaMint-NL_2020-02-18-tweedekamer-30.u210	Mr. Chairman. I agree with that. And I think March 4th could be the first opportunity.
ParlaMint-NL_2020-02-18-tweedekamer-30.u211	You join Mr Van Nispen?
ParlaMint-NL_2020-02-18-tweedekamer-30.u212	Yes.
ParlaMint-NL_2020-02-18-tweedekamer-30.u213	I agree with that, too. I do think that a letter is useful, because sometimes there is a lack of clarity about what is and is not punishable. I think that can be clarified in a letter. Then an answer can also be given to the mayors' request. Then we can discuss it in an AO.
ParlaMint-NL_2020-02-18-tweedekamer-30.u214	Mr. Van Wijngaarden, you have no support. At least you have no majority.
ParlaMint-NL_2020-02-18-tweedekamer-30.u215	No, I'll try a majority to ask for a letter on this. So I suggest we do that. I note that I do not know whether this will be possible before 4 March.
ParlaMint-NL_2020-02-18-tweedekamer-30.u216	The request for a letter does not require any support at all, as that is an individual right of Members of Parliament. So you don't need a majority for that either. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Thank you. I call Mr Laçin on behalf of the SP.
ParlaMint-NL_2020-02-18-tweedekamer-30.u217	Mr. Chairman. Every day we see reports of people becoming isolated, because public transport is becoming increasingly hollowed out. That's what the SP says very often. We often ask for attention to be paid to this problem, but the OV Ombudsman also calls for attention to this problem in the last quarterly report of 2019. He states that it is a public provision for people who have no alternative and that these people must not be forgotten. I will not ask for a new debate. Last Thursday, I requested a debate on the tens of millions of extra paid by travellers by check-in and out.
ParlaMint-NL_2020-02-18-tweedekamer-30.u218	What do you ask?
ParlaMint-NL_2020-02-18-tweedekamer-30.u219	I would like to turn this debate into a majority debate, and I really want to talk about the problems in this area in broad terms.
ParlaMint-NL_2020-02-18-tweedekamer-30.u220	So a thirty-member debate...
ParlaMint-NL_2020-02-18-tweedekamer-30.u221	Yeah, I added that on Thursday.
ParlaMint-NL_2020-02-18-tweedekamer-30.u222	... converting into a majority debate. And what else did you say?
ParlaMint-NL_2020-02-18-tweedekamer-30.u223	That I want to make it a majority debate and bring the issues together.
ParlaMint-NL_2020-02-18-tweedekamer-30.u224	Yes.
ParlaMint-NL_2020-02-18-tweedekamer-30.u225	Mr. Chairman. It can go faster. We'll soon have an AO Public transport and taxi. So no support for this debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u226	No support, Mr. Chairman. It's fine with an AO.
ParlaMint-NL_2020-02-18-tweedekamer-30.u227	Mr. Chairman. It is good to have a letter and then to involve it in the debate which Mr Laçin is referring to.
ParlaMint-NL_2020-02-18-tweedekamer-30.u228	I didn't ask for a letter. And I don't need it.
ParlaMint-NL_2020-02-18-tweedekamer-30.u229	Last week's support, Mr. Chairman. Now we're gonna have support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u230	We'd like to discuss this at the general meeting. No support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u231	We would also like to participate in the general discussion.
ParlaMint-NL_2020-02-18-tweedekamer-30.u232	It is important, as far as we are concerned, to speak properly about this once in plenary. So full support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u233	It is very important for 50PLUS, Mr President. So I'd like to give you a heartfelt support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u234	Congratulations on your support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u235	You have no majority, Mr. Laçin. It is still a 30-member debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u236	Mr. Bishop wanted a letter. Maybe it'll come before the debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u237	Good. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Leijten.
ParlaMint-NL_2020-02-18-tweedekamer-30.u238	Mr. Chairman. We have on Thursday the conclusion of an important debate on the House's information position in order to be able to properly control the government. After the end of that debate, I actually want a VAO and a vote. I am now making a preliminary announcement on this matter.
ParlaMint-NL_2020-02-18-tweedekamer-30.u239	I see no one has any objection to that. So that's what we're gonna do. Mrs Geluk-Poortvliet on behalf of the CDA. Mrs. Agema's already standing by.
ParlaMint-NL_2020-02-18-tweedekamer-30.u240	Mr. Chairman. On behalf of my colleague Mr Slootweg, I propose that we postpone the debate on the plan of action of the Task Force on Living and Care on Thursday morning 20 February, because we want to have a letter from the Minister for Housing and a letter from the Minister of Health on how the motions tabled at the debate on the increasing waiting lists for nursing homes on 15 January will be further developed.
ParlaMint-NL_2020-02-18-tweedekamer-30.u241	Mr. Chairman. This is my debate. Four weeks ago, I received support for this in the regulation of work. Everyone here sees the urgency of waiting lists for nursing homes, replacements for nursing homes and adapted homes. I really have no idea why Mrs Poortvliet is making this request here. There is a great urgency. That is why I have also made my request to deal with the task force's plan of action as soon as possible. There was universal support to deal with it before the February recess. I really have no idea why the Minister cannot just have the letter he has promised here by Thursday morning at 10.15 a.m. if Mrs Geluk-Poortvliet thinks it is so important.
ParlaMint-NL_2020-02-18-tweedekamer-30.u242	Good.
ParlaMint-NL_2020-02-18-tweedekamer-30.u243	But on the task force, I've already finished my input, Mr. Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u244	Yes. Clear. You do not support the request. Mrs. Geluk-Poortvliet, where is Mr. Slootweg? You speak on behalf of Mr Slootweg?
ParlaMint-NL_2020-02-18-tweedekamer-30.u245	Yes. It is absent and I did the debate last time.
ParlaMint-NL_2020-02-18-tweedekamer-30.u246	Okay. Then that's clear, too.
ParlaMint-NL_2020-02-18-tweedekamer-30.u247	Mr. Chairman. There are tens of thousands of people waiting for a place in a nursing home or a place in a nursing home or a health care neighborhood. We just can't wait at all. We really need those places. We need more adapted, small-scale homes. Every month we wait longer now is wasted energy.
ParlaMint-NL_2020-02-18-tweedekamer-30.u248	So no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u249	I certainly do not support this. I think we should do this debate as soon as possible. That's Thursday.
ParlaMint-NL_2020-02-18-tweedekamer-30.u250	I'll support the request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u251	Mr. Chairman. I share the urgency of some of my colleagues. I think we should talk about it quickly too, but I also think it is very important to know what the cabinet is going to do with the motions that this Chamber has already adopted. I can therefore imagine that shortly after the recess we'll settle it and wait for the letters from the cabinet.
ParlaMint-NL_2020-02-18-tweedekamer-30.u252	On behalf of Mrs Ellemeet, I do not support the request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u253	I understand the urgency. I feel the same way, but we also have an important debate on housing on Wednesday. The letter that's there could be involved. To be honest, I find Mrs Luck's speech logical, because the letter is flimsy, too thin to have a debate about it. We also do not know how motions have been carried out. So I really want a comprehensive letter first and then the debate. So support the request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u254	I understand the CDA's request. We also support that request, but we ask you, Mr President, through the CDA, to plan that debate as soon as possible after the recess and when this request is received. We fully support Mrs Agema's urgency.
ParlaMint-NL_2020-02-18-tweedekamer-30.u255	Mr. Chairman. With the backing of Mr Van der Staaij, I support the request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u256	Mr. Chairman. I think Mrs Agema has a point here. I don't know if the CDA has communicated with her about this proposal. I would therefore ask you to do so. Support for this request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u257	I do not support the request, Mr President.
ParlaMint-NL_2020-02-18-tweedekamer-30.u258	There is a majority in favour of postponement, but it is true that we have planned this at the request of the Chamber. It had to be put coûte que coûte on the agenda before the recess. Then this is indeed very annoying. I understand the anger of Mrs. Agema and others. So I would really like to appeal to you not to take debates off the list at the last minute. That's one. Two: it is also very neat to agree with the applicant. But a majority is in favour of postponement. If it's scheduled next time, I hope it won't be postponed again. Thank you. Then we'll plan it after recess, Mrs. Luck-Poortvliet. Thank you. A letter has also been requested. I therefore propose that the stenogram of this part of the meeting be transferred to the cabinet. Ms Yeşilgöz-Zegerius on behalf of the VVD.
ParlaMint-NL_2020-02-18-tweedekamer-30.u259	Mr. Chairman. Last week, the D.A. made the third mistake of including a photo of star witness Nabil B. in the Marengo trial in the criminal record. I have previously requested a debate on the circumstances in this case. That has now become a thirty-member debate on the news that the key witness's new attorney did not feel safe. We know that by now, the lawyers of the key witness' family members have withdrawn. Once again, I would like to ask my colleagues to support me in calling for a majority debate on the 30-member debate that is already in place and to plan it quickly, preferably for at least the May recess. It's worrying enough.
ParlaMint-NL_2020-02-18-tweedekamer-30.u260	Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u261	Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u262	Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u263	Also support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u264	Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u265	You have a majority, Mrs Yeşilgöz-Zegerius. Then we'll plan it.
ParlaMint-NL_2020-02-18-tweedekamer-30.u266	Thank you to my colleagues.
ParlaMint-NL_2020-02-18-tweedekamer-30.u267	Thank you. This brings us to the end of the rules of procedure.
