ParlaMint-NO_2006-11-23.ana.ud969e38	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2006-11-23.ana.ud969e368	Document No 8:87 for 2005-2006 indicates that the Storting has adopted several different compensation schemes in the context of World War II, including: to Japanese prisoners. However, Norwegian war sailors who were imprisoned in Africa have not received any compensation from the Norwegian state. This injustice seeks to correct the proposal by the proposers. A number of Norwegian seafarers were held captive in Africa during World War II. During the summer of 1940, 26 Norwegian ships were detained in French colonies in North and West Africa. Over 700 Norwegians were interned. For many, it was almost two and a half years long imprisonment. In line with many other Northmen who were imprisoned during the war, many of the people involved in this matter have suffered physical and mental suffering and injuries of a significant nature as a result of the captivity of war. The majority of the Committee, the members of the Workers' Party and the Socialist Left, have a great deal of understanding and compassion for the sufferings that many of the ropes of war were subjected to during World War II. However, the majority believe that it has not been given that all those affected by difficult conditions during World War II should be granted a reasonable compensation. Reference to St.meld. No 44 for 2003-2004. The right has its own proposal that they will probably comment and make for themselves. The Progress Party has noticed that several groupings have been awarded replacements, but the war ropes that were imprisoned in Africa during World War II do not come under any of these arrangements. The party of progress refers to the great and important efforts of our seafarers during World War II, and is of the opinion that this forgotten group should also come under a system of compensation for the torture and pangs they were subjected to during their captivity. I will then be allowed to present the proposal of the Progress Party: ‘The Government asks the Government to submit proposals for a compensation scheme for African prisoners during World War II.’
ParlaMint-NO_2006-11-23.ana.ud969e390	The representative of Thore A. Nistad has taken up the proposal he referred to.
ParlaMint-NO_2006-11-23.ana.ud969e393	A brief explanation of vote by the Christian People's Party. We support the proposal from the Left, which has been taken up in the vote by the Progress Party. The comments of the majority are, of course, completely unlandishable, but I think the question here is whether we should perhaps raise ourselves a little above the very strict and formal and see that this may be a particular reason for extending the lavishness compensation scheme for this group, or get a special compensation scheme, as proposed by the proposers. The most important thing for us is that we show a condolences to a group that has been forgotten. There is also a line for us in relation to those who were in Japanese captivity, who the representative Finn Kristian Marthinsen took up in the previous period in this room, and where there was a solution in collaboration with the Government. The time is short for those who can benefit from such a separate compensation scheme. That is why we also consider it necessary to vote in favour of the proposals of the Progress Party, even if we are in favour of the Right proposal, where we first get an investigation. But it's a good legal principle called intersection, and there might be reason to do it here.
ParlaMint-NO_2006-11-23.ana.ud969e402	The proposers have undoubtedly put the spotlight on an injustice, and the Right would very much like to contribute to the equal treatment of Norwegian war ropes connected to Africa with other Northmen who felt the war directly on the body and who have subsequently received compensation. The injustice is as described here, in that Norwegian sailors who were taken captive in Africa have not been compensated for the disadvantage they actually suffered. The size has previously adopted several compensation schemes in connection with World War II. The time has now come to find an acceptable solution for a group of Norwegian seafarers — about 700 in the number — who were imprisoned in Africa during the last world war. Someone managed to escape, but most of them were imprisoned for two and a half years. The right supports the view of the proposers that there should be a reasonably high threshold for the use of an adapted cheap substitute scheme. On the other hand, there is no fundamental difference between the Nordics who were in Japanese captivity and those who were imprisoned in African countries. In the light of this, the Right has promoted its own proposal whereby compensation is to be granted either by the responsible States during the Second World War or by means of a compensation scheme in Norway for the suffering suffered by these seafarers. With this, I'm taking up the minority proposal from the Right. So we do not require long investigations, and I ask that the vote be put up so that the right-wing subsidiary can vote in favour of the proposals of the Progress Party.
ParlaMint-NO_2006-11-23.ana.ud969e413	The representative Elisabeth Aspaker has taken up the proposal to which she referred.
ParlaMint-NO_2006-11-23.ana.ud969e416	The rapporteur has presented the views of the majority and minority in a factual way. It is also apparent from the observations that the majority, consisting of the Labour Party and the Socialist Left, are not in favour of supporting the extension of the system of cheap pay to those imprisoned in Africa. After all, it can be seen that there is no support for people who have been subjected to abuse or who have suffered a significant overload to be guaranteed the rights associated with this in retrospect. But, of course, they must. What is important here is that on an individual basis, for example: be without afterwards, have the right to a disability pension, and some will be entitled to the grant of a war pension. Some will have received occupational injury compensation, or will have been accepted for health consequences due to occupational disease. This means that, in sum and on an individual basis, there has been an opportunity to assess each of those in Africa. What this question is about is whether to look at schemes collectively for the whole group, because it comes into a special position. I have experienced that discussion also in Finnmark, for example. in the case of those who were in the Alta Battalion and to whom they were exposed. What you quickly see when you start to evaluate it professionally is how different it may have been for the different, and that there will be individual assessments that must be the basis for what kind of rights the individual should have. It is important to stress that there is no resistance from the majority to fair treatment. However, because the situation may differ from one to the next, one has to go into reality and consider them in terms of the benefits to be provided. The regulatory framework thus has a number of mechanisms linked to the need to ensure that individuals, e.g.: economic, does not get into a disaster if you become destitute because of the actions you were exposed to during World War II.
ParlaMint-NO_2006-11-23.ana.ud969e425	I was born in 1943, so the people here have experienced, I've only read about. I have been employed in and am still employed with leave from the Church's Bymission. In that context, I met a place near Oslo at a home for war sailors, for which I fought. I just have to admit that what I then experienced, and not least experienced the way of society to see people, made me a little depressed. I wasn't dismayed because of the people, because they lived their lives. I was depressed because of society. In fact, I ended up in the situation around 1990 that I had to fight to let these people live their lives without being subjected to a social abuser. When I express it that way, there's some intensity in it. But it was just seeing people for what they were. Here I am talking about people who were heavily harmed by alcohol. That's not the theme of the group today. I don't know the people each. But we are approaching the time when there is almost no longer any time left after World War II. It's getting fewer and fewer of them. We've bit by bit, as we've had to see ourselves in the mirror, as a community and as an individual, doing things without comparing groups. We made the Jewish settlement. We took the situation for the Sami and the women who lost school during the war. We took the settlement for taters and gypsies. We took the war children, that is, the children of German soldiers and Norwegian women. Children would not suffer. Former Major Finn Kristian Marthinsen took up the situation for those in Japanese captivity during the war. I have to admit that in this case it struck me like a fist in the diaphragm when I became familiar with the group. I think I have to say it so personally. I'm aware of what's going to happen here today. It is that the majority is voting down a minority proposal from the entire opposition. I am also aware that we have now come up with a cheap substitute system that makes it extremely difficult for the Storting in many ways to exercise a judgement. But it's probably the path that's left for them. I'm happy to, for example. The representative Ballo now stated that he also saw that people here might have been through something. I think there was something in it. I'm not going to use this pulpit to drive polemics against anyone. Nor shall I use it to say anything but that I think it would have been a difficult matter for Norwegian society to recognize that the war was a world war after 1939. We know that much of the Norwegian fleet was absolutely crucial, especially with supplies to the United Kingdom, because the Western powers won. Democracy won against Nazism and fascism. As for those who were in the camps of the Vichy regime, which was a kind of cooperation state for Nazi Germany, I feel, with the intensity of being born as a result of the battle of Stalingrad, and as one of those who are close to the last surviving testimonies of time, that with a very good conscience I promoted this proposal. I have some feelings here, and I'm glad the President has allowed me to present it in a calm manner. The proposal is there. It speaks for what it is. Let me also in deep thought say that the sea is no joke. Without a comparison, the Stortinget chose to find a solution in the context of the “Development Senior” – which I think was an honest matter – and both government and big business are willing to go through the “Western” loss. In Norway, we have often had deep respect for what has happened in connection with the sea. It's been very important to our country. On that basis, I guess you should try to find a solution for the people you're talking about here. There are not many left alive, and the time witnesses are getting fewer and fewer. I am pleased that the proposal has been promoted by the Progress Party of the Committee. I am pleased that the Right subsidiary supports the proposal and that the Christian People's Party has said that they will support it today in the Chamber.
ParlaMint-NO_2006-11-23.ana.ud969e448	Like the previous speaker, I believe that this matter is not simple, and it deserves the Government to comment on the issue, because the conclusion behind it does not mean that we underestimate the suffering that this group was also suffering during World War II. Nor are we underestimating the dilemma that the representative of Dørum raised in his speech about the challenge that we all face in the way of society to meet such groups of people. The outcome of the handling of the matter today does not at all relieve us of any responsibility in relation to how we as society meet such groups of people, how we view them, and how we make life the best possible after such a traumatic event that they were exposed to. Many people, in the rest of the world and in Norway, were subjected to harsh and difficult stresses during World War II. In some cases, the Norwegian State has provided financial compensation for experiences during the war. Among other things, compensation has been granted to Norwegian citizens who were in Japanese captivity, as has been pointed out, and to surviving Norwegian Jews and their survivors for the injustice committed against them and their families during the war. I have a great deal of understanding and compassion for the suffering of the ropes of war that were imprisoned in Africa. However, it has not been given that all those affected by difficult conditions during World War II should be granted a reasonable compensation or fall within arrangements outlined here. In this respect, I would like to point out that a cross-ministerial working group has assessed an overall approach to dealing with claims for compensation for groups in society. The report of the Working Group has been submitted to the Stortinget in St.meld. No 44 for 2003–04 — i.e. under the previous government — to which the Stortinget has joined. In cases where the State has previously provided compensation for experiences during World War II, there have been particular circumstances. This does not mean that we underestimate other types of relationships that give reason to look at them in a different way or that can be met in relation to other needs. It was in St. Prp. No 67 for 2000-2001, compensation for Norwegian nationals who were imprisoned in Japan during World War II, as shown by the fact that Norway and the other allies, in the context of the peace agreement of 8 September 1951, had waived the right to claim compensation from Japan, and that there was therefore no basis of international law for the Norwegian State to claim compensation on behalf of former Norwegian prisoners of war or interned. There is reason to stress, however, that the Government found that the agreement should not have a decisive effect on the granting of compensation, since Norway was not obliged to compensate the individual individuals for such an agreement. On the other hand, it was pointed out that through the peace agreement the Norwegian State had de facto deprived these persons of the opportunity to receive compensation from Japan. Although they were not formally excluded from the promotion of individual claims, this was nevertheless not realistic. In St. prp. No 82 for 1997-1998, A historical and moral settlement with the treatment in Norway of the economic liquidation of the Jewish minority during World War II, the then government presented its proposals for settlement to Norwegian Jews. The settlement was meant to be a confession and an apology from the Norwegian state against surviving Norwegian Jews and their survivors for the injustice committed against them and their families during World War II. The Norwegian State under the Quisling regime took part in the anti-Jewish measures taken against the Jews. The particular feature of the case was that it was considered that there was a legal basis for compensation, i.e. a basis of liability, for financial loss and an adequate causal link between the damage and the loss. It was disregarded that the limitation periods had been exceeded. In St.meld. No 44 for 2003-2004, the compensation scheme for children of war and compensation schemes for Roma/taters and elderly women suffering from educational injury, which we had in place, and which came under the previous government, a general assessment has been given of how to deal with future demands from different groups. It has been stated that, as a starting point, there should be a high threshold for extending the cheap compensation scheme and that the payment of cash to individuals from the public, outside the social security system and without the existence of legal liability should continue to be considered relatively exceptional. In this respect, I would like to point out that the general rule in the case of cheap substitutes is that the public has had an influence on the incident and can be blamed. I can't see that the public had any influence on the incident in the present case. In comparison, the State had not established any influence on the damage itself in Japan either, but in that case the possibility of repairing the damage through compensation had been made more difficult. These are some of the difficult assessments that need to be taken into account in such difficult issues as this. The establishment of special schemes creates expectations about special schemes also for other groups. In this respect, the principle of equality requires the establishment of additional special arrangements for groups with a requirement of per. today is not met by current arrangements for similar cases. However, such developments may have a precedent effect which is not transparent. In this respect, I would like to point out that it has not been established whether there are other groups of persons who were interned abroad during World War II and who should be given the opportunity to obtain compensation. Furthermore, it is possible that persons who had similar experiences in Norway would promote claims as a result of the establishment of such a scheme. In view of the above — difficult assessments, but nevertheless an attempt by the Storting and the previous government to create some standards for such settlement — I am of the opinion that there are no such factors in the case that the cheap compensation scheme should be adapted in order for this group to seek compensation from the Norwegian State.
ParlaMint-NO_2006-11-23.ana.ud969e474	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 579]]
ParlaMint-NO_2006-11-23.ana.ud969e482	We're going to voting.
ParlaMint-NO_2006-11-23.ana.ud969e505	During the debate, Mr Horne presented three proposals on behalf of the Progress Party and the Right.
ParlaMint-NO_2006-11-23.ana.ud969e568	Two proposals have been put forward during the debate. It's proposal No 1 by Mr Thore A. Nistad, on behalf of the Group of the European People's Party, on the proposal from the Commission to the Council (Doc. 2, from Elisabeth Aspaker on behalf of the Right At the request of the representative Elisabeth Aspaker, the President will propose that a vote be taken first on the proposal of the Right and then, alternatively, between the proposal of the Progress Party and the vote, so that the Right may vote in a subsidiary way for the proposals of the Progress Party, which she has requested. - It's passed. The proposal from the Right reads: ‘The Government asks the Government to investigate how to secure compensation for the suffering suffered by African prisoners during World War II either from the responsible States during World War II or through a compensation scheme in Norway.’
ParlaMint-NO_2006-11-23.ana.ud969e598	An alternative is to vote between the vote and the proposal of the Progress Party. The proposal reads as follows: ‘The Government asks the Government to submit proposals for a compensation scheme for African prisoners during World War II.’ The right, Christian People's Party and the left have announced that they will vote in favour of the proposals of the Progress Party.
ParlaMint-NO_2006-11-23.ana.ud969e622	There is no record. Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
