ParlaMint-NO_2006-02-09.ana.ud1041e51	The representative of Laila Bavøy will make a private proposal.
ParlaMint-NO_2006-02-09.ana.ud1041e459	It's going to be line change.
ParlaMint-NO_2006-02-09.ana.ud1041e462	This week, too, representatives of the Socialist Left Party have been out and raised doubts about Norwegian foreign and security policy. Despite the fact that yesterday the Prime Minister from this interlocutors decided that our presence in Afghanistan should stand firm, we read in the evening post that the representatives of Reikvam and Langeland disagree with this. We were supposed to pull ourselves out completely, says Reikvam, according to the Evening Post. Consensus in foreign policy has rarely been more important than it is at present. So I'm going to ask, isn't it soon that you in the Socialist Left Party take inwards that you actually sit in government, and you talk to one tongue in such matters?
ParlaMint-NO_2006-02-09.ana.ud1041e469	Well, we're going to go inwards and we're going to be in government. We are very pleased that we are in this government, because we believe that we can get more solidarity, more peacemaking and more international exchange when we sit in government. I believe that the reply to the representative, Mr. Waksdal, after what I said should be completely unnecessary. We support the presence in Afghanistan through the ISAF forces. We do that because the ISAF forces aim to promote stabilisation and support the civilian population against the attacks that come, not least, from warlords such as them. Dostum in the northern areas. What we don't support is that we should participate in a U.S. warfare. But neither does the government. The government has pulled the strengths out of ‘Enduring Freedom’, and we are happy about that.
ParlaMint-NO_2006-02-09.ana.ud1041e477	I noticed with interest that the SV representative paid great attention to avoiding enemy images, and then she spent a long time drawing an enemy image of Denmark – of all things on the globe. I thought that was pretty funny. But my question is about continuing what was just inside. A few days ago, we had a very serious attack on Norwegian soldiers in Afghanistan, and one of the reasons why it didn't go any worse than it did was that we could claim aircraft support from Enduring Freedom, F-16 aircraft. Then I think it's a little strange to hear SV repeat their objections about how important it is not to get in touch with «Enduring Freedom». I assume that Ågot Valle does not regret that the Norwegian soldiers received the support they received, but is she able to draw any practical consequences from it?
ParlaMint-NO_2006-02-09.ana.ud1041e484	SV supports having the ISAF forces there. Afghanistan is in a troubled security situation, to put it mildly, not least because Afghanistan has many warlords. It is clear that when our forces are in dangerous operations – as it turns out this is – it may be necessary to have aircraft support. That's why we've also supported in government the downcast of the F-16 planes. But I think the picture is much wider than the representative who thinks he is. I believe that much of the frustration in Afghanistan is due to the warfare that has taken place through the ‘Enduring Freedom’ operation. Therefore, the SV operation does not support ‘Enduring Freedom’ and we are pleased that we have withdrawn from it.
ParlaMint-NO_2006-02-09.ana.ud1041e491	The representative Valle had an ongoing analysis of the situation in the Middle East and of Hamas’ waltziger. I believe that the reason Hamas won was, among other things, what they have done socially. But I assume that the representative Valle is saying that it is not possible to accept that a government does not recognise the State of Israel's right to live in the whole. That requirement must be established. Then to Afghanistan. I'm recording that the representative Valle says it was good to fly there. It has SV support. That's good, it's a new line. But it is the Taliban that is the problem. They are both ‘Enduring Freedom’ and, in particular, ISAF’s main enemy. When it has been attacked, the Taliban recognizes that it is the ones behind the attacks. Therefore, there is also a part of this image. Does not the analysis by the representative Valle become simple?
ParlaMint-NO_2006-02-09.ana.ud1041e502	I think the representative Lilletun is right that Hamas was so upset because of the work they have done socially. The fight against corruption was also an important theme in the campaign. I said in my post that Hamas does not recognise Israel is very critical. There are certainly other areas of policy that are critical. But I believe that it will be double-ethical to make tough demands on Hamas right away, without promoting the same demands on Israel, which have repeatedly broken international conventions and resolutions in this area. The situation in Afghanistan is very complex, and we might be able to get back to it later.
ParlaMint-NO_2006-02-09.ana.ud1041e511	The cord shift is over.
ParlaMint-NO_2006-02-09.ana.ud1041e514	I would like to start by thanking the Minister of Foreign Affairs for a broad and good deal. It was a useful review of the foreign policy of the plural government. It was with pleasure one could see that there was much one who could recognize in the messages that came there. Compared to what we've seen in the last few weeks of confrontation and choice, the reactions in much of the Muslim world have been different in Norway. As several speakers have pointed out, I also believe that there is a great deal of work to be done in building up a trust and trust capital, which has led us in Norway to succeed in avoiding confrontations so far. We can only hope that it will last, for example: in relation to the demonstration announced on Saturday. Otherwise I just refer to what was said by the Christian People's Party in the round after the Prime Minister's speech yesterday. The Minister of Foreign Affairs said that the Government has three main tracks in its foreign policy. Track One Was ‘to support the further development of an international legal order, where use of power is regulated, without prejudice to the law of the most powerful’. In 2005, I had the pleasure of working part of what happened in 1905 and how the first foreign minister we had, Løvland, expressed himself, and it was actually quite similar to what the Foreign Minister said here. It is, in fact, a hundred-year tradition, and hence the new government's foreign policy is well in line with what has been our Norwegian foreign policy for 100 years: that as a small country, we are dependent on an international legal order. That track has full support from the Christian People's Party. The second track was to take care of and further develop the relationship with friends and allies. When the Foreign Minister highlights ‘close friendship and cooperation with the United States’, he continues a line with which today’s opposition party is not unknown. But one might say, well, here's the other part of the Storing thing that's had to go into a friendship that may not have been so hot in the past. It's interesting to see that it seems to go further and further. It's going to be exciting to follow it through. I registered that the representative Valle, who had a broad and interesting post, was not at the point where the Foreign Minister had when it came to being our friends' friends. It gets exciting about her later in the debate commenting that very bit. Track three was to promote peace, reconciliation and development. When the Foreign Minister came to the third and last lead, I am sure that a recently resigned Prime Minister at the Oslo Centre for Peace and Human Rights will look into his wardrobe to see if anyone had trusted his clothes. It's an expression that he used quite a lot in his foreign policy speech. It says that that point, of course, has the full support of the Christian People’s Party. The Minister for Foreign Affairs warned that Norway's most important strategic field of activity in the coming years is the North. He held high expectations, and the Christian People's Party is in complete agreement with regard to those expectations. Other representatives of the Christian People's Party will come back to the substance of it in later articles. There was no less discomfort when the Foreign Minister added that the Government is based on the treatment of the previous government's notification of the North. Right should be right: I want to commend both the Foreign Minister and others in the Government for the way in which they have put this matter before them, both nationally and internationally, and implemented it in Norwegian foreign policy. As I have said, it is inflamed with praise, and it is given with it. The Minister of Foreign Affairs further states that the Government will not seek membership of the EU and that we will cooperate with the EU based on the existing agency through the EEA etc. There is once again reason to say that there is no primary program for the Workers' Party, the Centre Party or the SV as the Government's fronts. It is the Christian People's Party's party program that is being fronted by the Government. At that point, there won't be any protests from our side. On the contrary, we'll back it up in the best way possible. Then I noticed that the Foreign Minister was making expectations about a stronger Africa effort. That's good. He said that Norway needs a renewed African policy that can see development policy and foreign policy in context. It has actually been a heart issue for the Christian People's Party for a long time. Nor have we ever had a Norwegian Development Minister with more commitment and knowledge about Africa than Hilde Frafjord Johnson. She was, as it is called, childbirth in Africa, talking floating Swahili and leading an Africa policy after three headlines. Firstly, support for political development, good governance, transparency and the fight against corruption. Secondly, active efforts for peace and reconciliation. It might make a difference. in relation to the peace agreement in Sudan and other important political issues in Africa, in which she had a finger in the game. And thirdly, a strong effort for economic and social development. The Christian People's Party thought that the Blair Commission's recommendations were good, but we need more than words, we need tools, and that means money. The Christian People's Party noted with joy the outcome of the G8 meeting, where the large countries were some to double the aid, from 25 billion dollars to 50 billion dollars. As a follow-up to its budget proposal in the autumn, the Cooperation Government put forward proposals to increase aid to Africa, with clear targets on how much would be distributed to Africa and the least developed countries, and had a stepping-up plan for it. Here one must respectfully say that the first government of Stoltenberg did was cut off the promises made by the government of Bondevik with regard to Africa. It's true that the same thing is going to come to Africa via the United Nations, but the G8 escalation plan was actually that the nations for their own licenses should have a stepping-up plan, and then the United Nations comes in. Here we're going to follow the Government carefully, and to challenge her that she has an active Africa policy, even when it's about the licenses to Africa. Because there was a new course that would leave here in relation to the licenses, it was the wrong course. I allow them to wait for a new whole budget to come, and expect that there will be an increase in relation to what was inside the fall. The government has announced a new policy in relation to Cuba. Essentially, I agree with those changes, but it requires that one is very active in relation to the civil society in Cuba. The contact now made with the regime must be used for clear speech and close contact with the dissidents and the opposition. The opposition is very vulnerable because it doesn't have support from the United States, but it's on its own. It needs support from countries such as Norway. I challenge the Government to get started again with a human rights dialogue. I am of those who believe that human rights dialogues are a good way of working. The representative, Mr Høglund, said in his statement earlier today that, among other things. Shirin Ebadi had criticized the EU's human rights dialogue with Iran. Yes, but she didn't criticize that they had a human rights dialogue, she didn't think they had good enough substance in that dialogue. I expect from such a dialogue. Therefore, it is not the way to go – as the Progress Party says – not to have human rights dialogues, but to put a substance in those dialogues that actually work. So I would like to conclude immediately with what the Foreign Minister did in relation to the fact that Norway can actually make a difference. It's important to believe. I think it's been a lot of times. The Minister for Foreign Affairs gave some examples. The government will have the full support of the Christian People's Party to work hard to make the difference that Norway can make clear, to create a fairer value.
ParlaMint-NO_2006-02-09.ana.ud1041e551	It's going to be line change.
ParlaMint-NO_2006-02-09.ana.ud1041e554	As usual, it is difficult to find any ambiguity and basis for any critical theme related to contributions from the Christian People's Party and Lilletun in terms of foreign policy. It is hardly surprising if you look at the tradition of Norwegian foreign policy and who is gathering support about it. Lilletun acknowledged that there was complete dissatisfaction with the Minister for Foreign Affairs' statement and also the committee leader's first statement today. But I still want to ask about two relationships. One is linked to the United Nations system, which we believe is the most important multinational body we have. We want to increase support both politically and economically, but at the same time are in favour of reforms. We note that at least one party here in the Chamber believes that we should link economic reactions to a possible lack of progress, which we disagree with. I would like to hear Lilletun's comment on it. Finally, I would also like to hear Lilletun's assessments of the support for the new regimes in the Middle East, if we are to give them time to turn around. There is no doubt about the objectives of the Workers' Party for further negotiations related to the development of the Middle East.
ParlaMint-NO_2006-02-09.ana.ud1041e563	When it comes to the United Nations system, and if we're going to get there immediately, the answer from the Christian People's Party is completely crystal clear. It's not the way to go. We must fight strongly for reforms, and we know that in an organisation with so many members there is no fast job. But we have to be clear. Obviously, we have a voice to use there, because we're one as big contributor as we are. But we're not really here to start cutting. It will go against the poorest and the programmes that all UN organisations have on the move. today. The Christian People's Party believes that those who have won the elections in the Palestinian territories must of course have time to come after the shock of having won. But we support what President Abbas has said, and what President Mubarak has said, which is in line with what the Foreign Minister said yesterday, and which is in line with the proposal put on the table today by the Progress Party. That must be the objective of what is to be done with Palestinian rule.
ParlaMint-NO_2006-02-09.ana.ud1041e570	It concerns the relationship to human rights dialogues, and whether Shirin Ebadi said one or the other. It's a little bit back in time, and we might have a slightly different view of it. But at least: the conclusion, as I clearly understood it, was quite clear that while the dialogue had been going on, and it had been going on for some time, the human rights situation in Iran had been exacerbated. Then you have to ask, what is the result? Is this a fruitful way to go forward? Or are there other ways that should be tried? And doesn't this also give the regime a hint of legitimacy, that you wrap up the problem in one sentence, and then you're free to do business and any other business outside this dialogue?
ParlaMint-NO_2006-02-09.ana.ud1041e577	We debated Iran after an interview from the representative of Höglund. It was a good debate, and it was quite clear that both the Government and all the parties took a sharp distance from the developments that have taken place in Iran. But at the same time there was agreement in the hall that it was necessary to keep in touch. What should such a contact contain? Yes, there are many things it should hold, but according to the Christian People's Party's view, a human rights dialogue is an important piece. Of course, we don't have to think anymore that we don't have to overthrow the regime because of Norwegian investors or other circumstances, but that we're actually clear. Iran is not only a pastor, but Iran also has a well-founded opposition that is actually trying to establish a party that has something in common with the party that has come to Turkey, which is a Muslim party that thinks secularly when it comes to development. Then it is important that we actually have contact with that environment and not just stay home.
ParlaMint-NO_2006-02-09.ana.ud1041e585	Jon Lilletun said in his reply to Ågot Valle that the main reason Hamas won the elections in Palestine may be that it has been committed to improving the social conditions of the Palestinian population. Jon Lilletun obviously has that right in it. But I note that Kåre Willoch in a chronicle in the evening post on 30 January points out a different relationship. Willoch says: ‘The election ceremony for Hamas was a natural consequence of the failure of the Palestinians to have a credible prospect of freedom.’ Furthermore, Kåre Willoch says: ‘But the United Nations has required Israel to withdraw from the entire territory occupied in 1967. No peace solution that does not meet this requirement can be lasting, because extremists will then have all the arguments they need to recruit for new terrorism. This will leave it to terrorists to fight for the implementation of the UN decision." Interestingly, the BBC News yesterday quoted Khalid Meshal, the Palestinian leader of Hamas. He said that a long truce must be based on Israel moving out of the occupied territories. Does Jon Lilletun see that here is a key to finding a solution in Palestine?
ParlaMint-NO_2006-02-09.ana.ud1041e604	It is quite obvious that the only way up to a solution is for the Palestinians to get their lives better, to experience a regime that gives them what a state of law gives, and to experience that their dignity is preserved. At the same time, there is no other way to reach that goal than the Roadmap for Peace, which the Quartet is working on. I would like to remind you that there is an unfortunate spiral of terrorism and retaliation, and that there is a basis for delay in the peace process itself. If I were to say the opposite of what the representative Ballo said, I could say that if terrorist organisations, like Hamas, had stopped the terrorist attack, one might already have been in pursuit of a peace agreement in accordance with the road map. But I don't want to put the debt on just one part here. It is obvious that it is required that both are willing to extend.
ParlaMint-NO_2006-02-09.ana.ud1041e609	The cord shift is over.
ParlaMint-NO_2006-02-09.ana.ud1041e612	Initially, I would like to thank the Minister for a very thorough review of Norwegian foreign policy. I think it's necessary, given the fact that today's foreign policy image changes quickly, and that we're all concerned with the situation we're seeing around the world, linked to, among other things. the numerous attacks on Norwegian embassies and personnel in international operations. The situation is serious. The Central Party is pleased with the way the Government, the Minister of Foreign Affairs and the Prime Minister have dealt with this, and I am sure that in the important time to come, too, this will be done in a good way. The Norwegian foreign policy is covered by major and important areas, and an important point for the Central Party is that the Government has now started to invest in the north. For this work to succeed, it is absolutely essential that we constantly work to anchor it locally and regionally, and that the Government establish a good dialogue with the parties involved. The centre party is therefore pleased that it is set up to continue cooperation patterns, such as: Barn cooperation – a work that has worked well for a long time. As a basis for the Northern Region policy to be developed in the future, it is important that we have some clear characteristics. Among other things, we must: have a firmness and clarity in relation to the enforcement of Norwegian jurisdiction. Fuzzy command lines between civil and military power are unlucky and will be able to create unclear situations in matters like the one we had linked to "Electron". In a clear and firm enforcement of jurisdiction, the basis for a completely necessary dialogue with, inter alia: Russia. This is a sensitive and delicate area, but we must build on the good neighbourly relationship we have with Russia and other European allies. By creating an international understanding of Norwegian politics in the north, we can hopefully get rid of more situations like the ones we had with the Spanish jets. It is also important that we do not celebrate at the level of ambition in relation to the environment and nature. The Nordic regions are rich in natural resources, both renewable and non-renewable, and we should ensure this in the best possible way for both present and future generations. The centre party is concerned that we should treat the earth as if we were to live forever, and that should also govern the cross-sectoral policy to be pursued for the north. It is a challenge to make the close link between our economic, environmental and security interests in the area visible. The Central Party is pleased that the Government has committed itself to a policy that will also provide value creation, housing, living conditions and work for those who live and work there. We must not look blindly at the problems, but also at the challenges and potentials of the region. In all areas, knowledge will be one of the keys to succeeding in the ambitious goals of which it has been and is a broad political consensus. Knowledge is the basis for the development of business, environment, infrastructure and resource management. But knowledge is also the key to dialogue with our neighbouring countries, to dry new thinking and to creating new instruments for sustainable development. Even though the Center Party is engaged in a new and strengthened North Zone bet, it doesn't mean that we're not occupied with parts of the world that are further away. Norway must be and has always been an active participant in the rest of the world. Our own voice gives us the opportunity to influence and play an important role in many areas. It is absolutely essential that the Government in the future strengthen its efforts in the formal institutions, not least in the United Nations. It is in Norwegian interest that we do not have a situation in which nations can remedy themselves on their own. We are, as the rest of the world, dependent on a global, good cooperation in the UN. Through active participation in the UN, Norway has the opportunity to play an active role in peace, reconciliation and disarmament. We must not let go of the fight for the strengthening of international law, and in this particular case a strengthened UN is crucial. While there is no doubt that there is a potential for modernising the UN as an organisation, criticism of a cumbersome system should lead to increased efforts and participation rather than to reduced support. Norway must be a driving force for reform so that UN organisations are well equipped to meet challenges from the world community, whether in terms of health, environment, terrorism or poverty reduction. The UN political body, aid organisations and development programme must be brought closer together in order to work for functioning countries based on democracy, international law and accountability. For Norway, Africa has long been a continent in which we have had active participation in many countries through, among others, bilateral cooperation. Now is the time to think new, and the Central Party is pleased that the Government is working actively to formulate a foreign policy for Africa, where the objective is a continent that provides good conditions for building a future for the people of each country. The Central Party is committed to Norway's care and further developing our active role in strengthening human rights. It is therefore important that the Government also engages in dialogue with individual countries, and we are concerned that a critical dialogue with, among other things. Cuba may have an impact on the whole of civil society. Without critical dialogue and commitment, we will have only limited impact, and the Center Party therefore supports the Government's choice to actively engage also in Cuba. We live in a predictable world. The impact of Hamas’s statements in the Palestinian elections on Middle East policy is still difficult to say. We must recognise as a nation the democratic electoral process that has, after all, taken place, but we must call on the future government to follow a course in which internationally recognised borders are respected and where the solutions to the conflicts must be sought through dialogue and without violence. The challenges lie ahead in the field of foreign policy. But in all areas, we must work actively with high ambitions and with faith that we should be able to create change. Respect for human rights must be at the root of Norway’s international commitment at all levels. We must face the constant threats to international peace and security in an offensive way, so that people do not continue to be depleted by poverty, disease and war. The world is not getting safer and the global threat to the environment is no less if we build high walls. We need to use resources to strengthen global cooperation forums that have legitimacy across cultures, religions and distinctions between poor and rich. In a world of rapid change, we need to develop global understanding.
ParlaMint-NO_2006-02-09.ana.ud1041e644	It's going to be line change.
ParlaMint-NO_2006-02-09.ana.ud1041e647	The Foreign Minister's statement states: ‘The Government will not apply for membership of the EU. We will cooperate with the EU based on our existing EEA Agreement, participation in agencies and supervision." It goes on to say: ‘We will call around the works of agreement that ensure a level playing field for Norwegian enterprises and jobs.’ I experience this in stark contrast to the Central Party's insistence on the right to reserve, and we find little of the previous requirement to terminate the EEA Agreement. But I assume the Foreign Minister is speaking on behalf of the entire Government. Can we enjoy a new European policy from the Central Party?
ParlaMint-NO_2006-02-09.ana.ud1041e664	It must be for the representative to consider whether or not he can enjoy the answer he is now receiving. The central party has joined the government, and we have clear wording in the Soria Moria Declaration. The centre party is committed to an active policy towards the EU, where we want influence without being members. And we're positive that we're going to be able to do that.
ParlaMint-NO_2006-02-09.ana.ud1041e671	Several have not asked for the word for a line.
ParlaMint-NO_2006-02-09.ana.ud1041e674	I would like to thank you for a broad statement by the Minister for Foreign Affairs. The left joins the Foreign Minister's presentation and the many perspectives drawn up here. We essentially agree with the conclusions of the Foreign Minister. There is a dramatic situation that has arisen in the wake of the caricatures of the prophet Muhammad. We have witnessed violence and other unacceptable methods both in Afghanistan and in the Middle East. The situation is exploited by secondary groups. The reactions are not representative of the vast majority of Muslims. More and more Muslims clearly show that they take a strong distance from violence, and there is therefore reason to praise Norwegian and other Muslim leaders, who have shown calmness and respect for dialogue and fundamental democratic values. The left supports the management of a very acute situation by the Foreign Minister and the Government. We are pleased that the Government continues to regard the ISAF forces as a contribution to stabilisation in Afghanistan. These are a support to the country's elected president and the country's elected national assembly. The Left therefore also supports the Government’s policy that Norway remains committed to its long-term commitments in Afghanistan. We are also pleased with the firmness shown by the Government to the Syrian authorities in connection with the attack at the Norwegian Embassy in Damascus. The Left also supports the emphasis of the Minister of Foreign Affairs on the role of the UN as the main international player in the fight for human rights and conflict resolution. It is a fact that there is insufficient contact at the popular level between Western societies and the Muslim world. There is too little contact between public organisations. Trust must be built between the West and the Muslim world. Peace is based on trust and respect, and must be built primarily through interpersonal interaction and understanding. It is therefore a problem that such a relationship is far too small between the West and Muslim countries. The left, as already announced, will therefore follow up with a proposal on how the Government can help build trust between Norway and the Muslim world. Norway has a special responsibility to help work for peace in the Middle East. We must recognise the legitimate demands of the Palestinians for a country of our own, and Israel's right to exist within safe borders. Norway must support a lasting peace settlement based on the relevant UN resolutions. This implies that Israel must withdraw to its borders before 1967 and that illegal settlements in occupied countries must return to Palestinian control. We cannot accept that Israel is building a wall of international law in occupied areas. Our requirement is that this must be torn down. Norway must increase its commitment to supporting democratic forces in all non-democratic countries in the Middle East. In this context, it is also natural to bring forward the recent Palestinian elections. The election gave a majority to a political party that has uncertainty about what stands for. This was also pointed out by the Minister for Foreign Affairs in his statement. I would like to stress that the Government must deal with a new democratically elected majority in Palestine, with the challenges and uncertainties associated with this. The left notes that the Minister of Foreign Affairs announces and is positive about changes in Norwegian Africa policy. We will stress the fact that Africa has for a long time been marked by war, hunger and suffering, but that peace agreements and democratic development hopefully change the continent. Today, Africa is characterised by the fact that large areas are still under occupation, civil war or the rule of oppressors. We will therefore point to the African Union as an important contributor to continuing positive development in Africa. The left will also stress that the Government in its African policy must cooperate closely with the various institutions of the African Union, and we look forward to seeing with excitement what the Government's work on new African policy is all about. The left also noted that a large part of the foreign minister’s presentation had been devoted to the challenges in the north. We share the Government's ambition about the Barents Sea as a cooperation sea, with clear borders, clear legal rules for economic activity, and not least high standards for safety and the environment. We record that the Government assures us that the Barents Sea remains one of the world's cleanest seas and one of the world's richest seas on fishing resources. The left assumes that this will be followed up in the overall management plan submitted to the Stortinget. The Left would stress that if the Government is to follow up its ambition that the management plan should become a ‘foreign policy document which may also be relevant in other regions’ – yes, the Left assumes that the Government also has the ambition to ensure a broad domestic policy majority in the Storting for this management plan. Finally, the Left line shift is recorded in the Government's Cuba policy, where SV's Langeland and LO seem to have come forward in normalising the relationship with one of the world's longest-standing dictators. The situation related to the democratic processes in Belarus and Ukraine is worrying. Both countries will have important elections in March, and the Left urges the Minister of Foreign Affairs to follow developments in Ukraine and Belarus closely in the future.
ParlaMint-NO_2006-02-09.ana.ud1041e705	It's going to be line change.
ParlaMint-NO_2006-02-09.ana.ud1041e709	My question is on a topic that may not be so much affected in this debate, namely Norway's active position in the WTO negotiations. Following the change of government, the Minister of Foreign Affairs and the Minister of Agriculture have been negotiating in a very offensive and clear manner, thus presenting the Norwegian positions. In fact, from some quarters it has been claimed that there is a marked change in Norwegian policy profiling. My question is: Is Left satisfied with the government's offensive work in this field?
ParlaMint-NO_2006-02-09.ana.ud1041e718	There is no one who can say anything but that the WTO negotiations are difficult negotiations. Our former Minister of Agriculture, Lars Sponheim, did an important job there, and I record that this government continues in many of the same tracks.
ParlaMint-NO_2006-02-09.ana.ud1041e723	Several have not asked for the word for a line.
ParlaMint-NO_2006-02-09.ana.ud1041e726	In its presentation, the Minister for Foreign Affairs drew attention to the north and argued that ‘knowledge, presence and activity’ was key to the government’s efforts in the north. Of course, I fully agree with the Minister for Foreign Affairs on this. However, I wonder what the government means by activity in the area. It is now approaching 30 years since hydrocarbons were found for the first time in these areas, but the activity has been very small. The only visible result so far is the Snow White expansion. In its Declaration of Accession, the Government wrote that Northland 6 was not to be opened up to petroleum activities. The remaining areas in the north were to be included in a management plan to be submitted to Stortinget for treatment. No signals were given that something should be opened up. Is this government talking about presence and activity? The Minister of Foreign Affairs claimed that the petroleum industry in the Barents Sea must comply with the world’s highest environmental and safety standards. I can assure the Minister for Foreign Affairs that over many years the world's most stringent health, environmental and safety requirements have been developed on a Norwegian pedestal. Nowhere else do you have such demands as in Norway, and at least this is not what must be behind the government’s addiction to start. Significant petroleum activities are being set up on the Russian side in the Barents Sea. Norwegian technology, which is the world's foremost in this area, should have all the possibilities of being used on Russian pedestals as well. But if we are to have credibility, we must ensure that we also have petroleum activities on the Norwegian side. Only then can we help to ensure that our technology and our environmental and safety standards can also be used outside the Norwegian base. ‘The energy dimension changes the perspective in the northern regions’, said the Minister for Foreign Affairs, and further stated that ‘The Barents Sea can become the most important petroleum region in Europe’. This, of course, is quite right. But isn't it soon that one throws off the action mud, ends the gnawing and opens up? The Minister of Foreign Affairs pointed out that when gas production decreases in southern Norway, there will be no capacity available in the grid. It can be extended northwards if the resource base is present, he said. Of course, this is also completely right. The basis of resources is present to the greatest extent. The problem is only the political paralysis the majority in this House has demonstrated for many, many years. Norway today appears to be an energy storm power and is considered by our customers to be a reliable supplier of energy. Almost as important as the energy itself is too many, the security of supplies is that you can trust the supplier. In large parts of the world, the use of energy will increase significantly in the coming years. Norway has opportunities to have large market shares in this, if we want to. Transformation of natural gas into LNG means that Norwegian gas can be shipped all over the world, and this gives us enormous opportunities in the future. We also see that energy resources are increasingly being used as a political and economic tool in a larger geopolitical game. We have in fresh memory the disagreement between Russia and Ukraine about gas prices, a conflict we probably haven't seen the end of yet. A few weeks ago, the presidents of Venezuela, Brazil and Argentina signed an agreement to build a gigantic Venezuelan gas pipeline and south-eastern parts of the South American continent. I don't feel sure that the political and economic power this gives Venezuela and Hugo Chávez will be particularly stabilising for the South American continent.
ParlaMint-NO_2006-02-09.ana.ud1041e747	I would like to begin by thanking the Foreign Minister for a very thorough and comprehensive foreign policy presentation. We live in a troubled time. The events of the last few days in some Muslim countries are very serious, and it is a dramatic time for the whole world. Attacks at our embassies and other countries' embassies are totally unacceptable, and we condemn these acts. Today we see that the poor and most needy again pay for the price of the conflict by the help workers having to withdraw from several areas. The situation we have experienced in recent times can only be resolved through dialogue. The work of building peace and reconciliation must continue to be our main contribution to a better world. The government has put the northern areas very high on the agenda, and I want to use my speaking time to go further into this. The government has a comprehensive and broad perspective on the north. It's to be invested in the north. It's to be built in the north. These new notes have created a new optimism in the northern part of the country. The perspective in the north has changed, from the cold war with a one-sided security policy perspective until we focus today, alongside sovereignty and security, on industrial development and environmental challenges based on research and development, as well as on living conditions and cultural cooperation. Of course, with the northern regions as the main strategic area of government, special expectations are being created in North Norway. But a positive development in the north undoubtedly has a great potential for the benefit of the entire nation. So this is not a regional bet, but a national bet. In the north we find and extract petroleum. In the north, we also find the largest fish resources. But on the other hand, it's in the north we also find serious signs that climate change is over us. And in the north, we still have open questions with other countries about sea areas and fishing resources. The Government has also decided to launch a long-term and cross-sectoral focus on research and development in the north, called Barents 2020. Barents 2020 shall act as a link between international competence environments, academic institutions, businesses and organisations in different countries engaged in the north. Two fields will be very central to Barents 2020: first, the development of petroleum technology for northern areas, where we can draw on our experience from the North Sea, and second, measures to provide better knowledge of how to master the challenges of environmental and resource management in the North. People to the people-cooperation is an important driving force in the north. From the beginning of the 1990s, Barents’ cooperation has contributed greatly to the development of people’s cooperation. This must now be further built on. The Nordic regions are developing to be one of Europe's new major energy regions. The decisions taken by Norway and Russia on petroleum activities in the Barents Sea are followed with great interest worldwide. Petroleum activities are in the starting pit in the Barents Sea. The Norwegian management plan for the Barents Sea comes in the spring. However, regardless of Norwegian decisions, Russians will start extensive oil and gas extraction in the Barents Sea. And it is immeasurably important that we contribute to Russian oil and gas activities in the Barents Sea within the very best environmental standards and with the very highest petroleum technology. I am very pleased that the Foreign Minister has made it very clear that our petroleum activity in the north is going to follow the world's highest environmental and safety standards. Valuable fish stocks in a vulnerable marine environment shall be ensured. As a coastal state and a fishing nation, Norway has a great responsibility in this way. The relationship with our big neighbor in the east is and becomes important. Norway and Russia must work together in and about the Barents Sea. We are once again in the process of negotiating with Russia on the Barents Sea divider line. A clear maritime divide will trigger new opportunities for Norway and new opportunities for cooperation with Russia. Bilateral cooperation with Russia is also essential in order to bring environmental crime and poaching to life. The climate change we see coming will, in a few decades, pose significant challenges for the environment on the globe, and most likely the effects will be in the arctic strata. The research shows that the Arctic temperature increase is likely to be up to eight to ten times stronger than the average global temperature increase. This will lead to changes in the north environment. Sea temperature will increase, with the consequences it will have for biodiversity. It will directly affect human living conditions. In particular, the indigenous population in arctic regions will be exposed. We therefore need a cross-sectoral policy to address this. It must be based on knowledge and dialogue, and Norway must be in the forefront. We must be foremost in the world in research and knowledge of the developments we see in our part of the world. That's how we have to meet the big challenges and the exciting opportunities that we see in the north.
