ParlaMint-NO_2006-06-15.ana.ud2170e119	The representative, Olemic Thommess, will make a private proposal.
ParlaMint-NO_2006-06-15.ana.ud2170e600	Thank you for that question! I'm also concerned about this. If you look at our proposal, we do not have from the Christian People's Party with 'as far as possible'. So it's the opposition here that sharpens the government's policy. I am pleased that there is an overall committee that says ‘as far as possible’. But if you look at the proposal, which we believe goes one step further – and it is necessary to go one step further – it is the Christian People's Party's policy. We're not in a kneeling. We stand upright, and there we must stand – for the environment and for the generations to come.
ParlaMint-NO_2006-06-15.ana.ud2170e609	No more words have been asked for.
ParlaMint-NO_2006-06-15.ana.ud2170e612	In the Center Party, the ostrich is strong. Not only should you manage well what you have, it should also be handed over to the next generation in better condition than when you took over. Through this management plan, we provide a good basis for doing just that. Today, and in the coming years, this hall will take very important decisions for large northern sea areas, which are not only one of the richest food barrels in the world, but can also prove to contain one of the world's most important energy reserves. When we know that the state of nature and ecosystems is good today, we are very pleased that this plan and a concerted expansion state that we will in the future have a development and management of the area that will take place within an ecologically sustainable framework, and with the practice of the precautionary principle based on knowledge. We therefore assume that future generations will benefit from the rich nature and reap from it in the same way that we have the opportunity to do it. Much attention has been paid in the public debate to the petroleum activities associated with this plan. It is undoubtedly important, but this plan also points to some other challenges that need to be addressed wisely. The management of fisheries resources has been a success, if we compare with many other seas. Nevertheless, considerable work is needed to secure fish as a resource for the future. In the case of other marine biological resources, these must be managed in a good manner in order to ensure balance and sustainability. We know that shipping is growing rapidly. This also requires action. In particular, the presence and active management are important to support our territorial obligations and requirements. The centre party is very pleased with the basis this plan provides for a good and active policy in all these areas in the coming period. In the big group, we have been very pleased to note the government's focus and the resources that the government invests in an active north-eastern policy. The northern regions are one of our most important areas of activity in the future. Through this plan and other important measures, the Government and the bulk of the population have proved that we are serious. The centre batch was chosen not to open the most vulnerable areas to petroleum activity. We're going to sign that election vow today. At the same time, there has been an important movement in the Central Party on the issue of oil and gas activities in the northern regions. From saying a bastant no in the past, we have opened up activity under very strict requirements in the staging program for the current period. This in recognition of two important factors: firstly, technological development has made extraction safer and more environmentally friendly, and secondly, oil and gas activities have significant industrial and value-added effects both at regional and national level. No one can claim that the developments we see today in Hammerfest are not positive. In line with the main focus of the plan on knowledge-based development and management, a process will also take place in the Centre Party in the coming years to prepare for the roll-out of the management plan. The closure of marine areas for petroleum activity is an instrument to protect highly vulnerable and valuable areas from pollution. If it should prove possible that we find it environmentally sound to open larger areas of oil and gas activity through new technology and knowledge, we do not reject this bartant in the Center Party. The years ahead are thus also a challenge for the oil industry. Today, Stortinget releases areas of activity in the northern regions. If the companies in the next few years demonstrate that new technologies, efforts and not least the willingness of local initiatives are capable of meeting the demands of the environment and society, the way to opening up other areas is shorter. This perspective is important for growth and development in the north, but it is also very important to stress that this is one of many perspectives to be taken care of and that they all depend on nature and the environment not to be confused. Even with a strong growing industry in oil and gas, North Norway must succeed in many other things if one is to reverse the negative trends. Fisheries, agriculture and tourism are industries that will be crucial for the success of the region in the future. The management plan presented today, with an overall increase joining the main strands, is a step forward for Norwegian resource planning and Norwegian north-eastern policy. When, in addition, the balances are in line with our policies, I am not afraid to say that we regard this as a victory, and that it lays the basis for a policy that gives the generations of the future the same opportunities that we have.
ParlaMint-NO_2006-06-15.ana.ud2170e629	It's going to be line change.
ParlaMint-NO_2006-06-15.ana.ud2170e632	One of the issues that many have raised, but on which the government parties have still not answered, is the logic of allowing an impact study on Northland VII and Troms II, but not having any activity and knowledge acquisition in Northern Ireland VI. Can the representative explain why a distinction should be made between three areas that, according to the government parties, are all vulnerable?
ParlaMint-NO_2006-06-15.ana.ud2170e637	In the case of Northern Ireland VI, the Government declaration states that there shall be no petroleum activity during that period. In the case of Northland VII and Troms II, knowledge is acquired, not as an impact study under the Petroleum Act, but as the State itself acquires this knowledge. There is a big difference, simply because you don't take the next step and say that the purpose of this is to open these fields for expansion.
ParlaMint-NO_2006-06-15.ana.ud2170e642	The centre party likes to market itself as a batch that wants to put the whole country into use. In contrast to this, the Centre Party in this case has emerged as a major brake block for increased petroleum activity in the north – contrary to the assurances given to its voters by the centre party people in the north. The role of the central party leader as mediator between the Workers’ Party and SV has also not contributed to increased activity, but to mitigate the level of activity. The Troms and North Nordland are being deprived of important opportunities for development, and the region feels brand new. I have two questions for the representative Borten Moe. Can the Away Moe explain why the Center Party says that you want to use the whole country, but only parts of North Norway? And can the Away Moe explain why the lot cannot be included in the comment from the Right and the Advance Party, which requires government agencies in the field of petroleum activity to be strengthened in the north, as activity increases in the north?
ParlaMint-NO_2006-06-15.ana.ud2170e658	The management plan balances well the considerations between business development and the environment. With regard to the most vulnerable areas outside the Lofoten and the West Pole and in Troms II, it states that today we do not have enough knowledge to open up activity in these areas. This is in line with the Central Party programme, and what we have said both before and after the elections. As far as areas further north are concerned, it is my opinion that we are opening up quite a lot of activity with opportunities for development and growth and value creation in this region – also in line with the programme of the Centre Party. With regard to the note on increased administration northwards, it has been tried earlier in relation to the Oil Directorate. It was centralized. We have chosen to support the Government, which says it is important to maintain an overall professional environment. So there's technical grounds for that.
ParlaMint-NO_2006-06-15.ana.ud2170e667	Ola Borten Moe said there has been an important movement in the Center Party on issues related to oil and gas activity in the north. That was a good illustration. The center part is barely recognized, and there's a reason to ask, where is the journey going? In today's program, the Center Party says that you don't want to open up gas and oil exploration outside the Lofoten and the Vestral. Nature and Youth today invited the parties to meet in the lawn outside to hear on which side they will participate in this work further. The center part didn't meet up, so it might be a good opportunity to solve that question right now. Now when one is moving away from the old point of view, can Ola Borten Moe say something about which side the Center Party will participate in the next round, towards 2010? Will there continue to be petroleum-free zones outside the Lofoten and the Vestreål, or is there a position on the way away?
ParlaMint-NO_2006-06-15.ana.ud2170e674	That I didn't get started early enough today to play football with the representative Kvassheim outside the Stortinget, I don't think you should put too much into it. Of course, we will be working towards the next roll-out of the management plan to say that the environment is at the centre and that all activity will take place on the basis of sustainable development in the region. It permeates the programme of the Centre Party. It also, in my view, permeates this management plan, and I hope and believe that we should be able to have constructive discussions on it in the future.
ParlaMint-NO_2006-06-15.ana.ud2170e682	The cord shift is over.
ParlaMint-NO_2006-06-15.ana.ud2170e685	The work on the management plan was started by the Bondevik II Government. The aim was to provide the basis for good management of environmental and natural resources. The plan was also intended to provide the basis for positive developments in the northern part of the country. The plan currently in place can help to achieve these objectives. The methodology of the plan may be a model for other countries facing similar challenges and similar plans for other sea areas should be developed. But the left also had other expectations of this plan. We wanted a balanced plan, and we wanted a plan of long-termity. Unfortunately, these expectations have not been met. The parliamentary leader of the Labour Party, Hill-Marta Solberg, has said that the plan opens up huge petroleum activities in the Barents Sea. She's right. It is well done by the Workers' Party to get the SV – the only batch that is programmed to work against all petroleum activities in the north – into the structure contained in the management plan. One could understand that if it were a balanced plan, where it also included petroleum-free areas where the conflict with environmental and fisheries interests was most evident. But I can't find such a balance in the plan. This means that there is a fight going on even for the areas outside the Lofoten and the Vestral, and the development interests say they have good predictions and opportunities to reach when the plan is due to be rolled in 2010. Several central workers' parties have said that it is in the cards that these areas should be opened in the next round, and I was not reassured when I heard the answer from the Central Party representative here when he was asked on which side the Centre Party will participate in that work. He did not clarify whether the Center Party will also, beyond 2010, oppose activity in the Lofoten and the Vesterålen. As government parties act, it can unfortunately be a realistic prediction – as the oil industry hopes – that these areas will be opened at the next intersection. The left shall make its way to a different outcome, namely a petroleum-free zone outside the Lofoten and the Vestral. It is regrettable that the proposals of the Left and Christian People's Party on this very matter today are supported only by the two parties mentioned. The left, as opposed to SV, goes in for petroleum activity in the north, but we have foreseen a balanced arrangement. A balanced approach means that when some areas get green light and some areas get yellow light – a person should gain more knowledge before a person decides whether it becomes yes or no – this must be balanced with the most vulnerable areas getting red light. What we have today is a plan of development. The Minister for the Environment has called the plan ingenious. That, I think, is alarming, given the distance the reality of the plan has from the SV program. In addition to the lack of balance, the Left considers it critical that the plan has too short a time perspective. It should provide clarifications that could at least have been valid until 2020. The government parties have a majority in Stortinget. That means they can do what they want in this and other things. In the past, it has been suggested that a would seek cooperation in the United Kingdom – anchoring this important decision more broadly. It has an unrelenting will to — not in any materially important areas the Government has shown the will to include, for example: Left and Christian People's Party to get a stronger environmental focus on the plan. This lack of cooperation means that good proposals on oil protection, tug capacity, means of covering knowledge gaps and zero emission requirements for farms are being voted down here today. It is alarming that all opposition parties are united behind several of the proposals. The Progress Party is also in favour of good environmental proposals that SV, the Centre Party and the Workers' Party will vote against. Oil preparedness needs to be strengthened when petroleum activity is increased in the northern regions. The government promises such strengthening, but the promises are little obligatory, and what one does in practice, is neither uplifting. For example, there is no willingness to provide the necessary support for the ‘Clean Coast’ project of the Villlmarks Fund — a project based on mobilising voluntary efforts in coastal zone preparedness. It is important to have such voluntary efforts in addition to public and company preparedness. The ‘Clean Coast’ action has mobilized significantly with people – at a low price – and I am amazed that the Government does not see the significance of this. There is no good promise in any way as to the willingness to further prioritise oil protection. The left focusses on the need for administration to be knowledge-based. Significant gaps in knowledge have been identified, and it is natural that this is followed up by a clear strengthening of research and monitoring. The government must use sufficient resources to strengthen the knowledge base in environmental and climate sciences, maritime law and marine ecology. The government must also ensure that sufficient resources are made available to ensure further monitoring, coordination and follow-up of the management plan. Research environments depend on long-term and predictable funding in their work. That is why we propose that the Government should allocate sufficient resources to meet the knowledge needs of the overall management of the marine environment in the Barents Sea and in the sea areas outside the Lofoten already in connection with the state budget for next year. I hope the present state councils can confirm today that such a commitment is already in the next state budget. There has been practice in the Norwegian Concession Rounds on the basis of which environmental and fisheries advice is sought from the underlying agencies of the Ministry of the Environment and the Ministry of Fisheries. The Left assumes that this practice will continue and attaches great importance to the availability of environmental and fisheries advice to the public. The left considers it important that the advice should include proposals on which blocks should be avoided due to environmental and fisheries conflicts, as well as recommendations on any remedial measures, such as: drilling time limitations. The left is concerned about the overall impact of long-distance pollution, future activity and the harvesting of natural resources in combination with climate change pressures. The left considers the announced investigation of the consequences of increased levels of CO2 in the sea and the atmosphere to be very important. It must be assumed that the oil activity of the Government is carried out under the Kyoto Protocol. The left considers it necessary to focus more on the control and monitoring of the renewable fishing resources in the Barents Sea and to support the Government’s measures to ensure good management of fish stocks. It is positive that the management plan addresses illegal fishing as its own theme, and it is important that it intensifys the efforts to reduce illegal fishing. We need to strengthen control of Norwegian and foreign fishing activities, both at sea and when landing catches. The left is alarmed by the signals that larger trawlers are destroying the seabed, important coral reefs and fishing grounds. The management plan recognises that heavy bottom gear irradiation damages the bottom so that the bottom communities change character and are thus destroyed. This message shows, for example: to 30-50 pst. of Norway’s corals have already been destroyed by such radiation and that ‘new’ findings are made by fungal communities and corals at each exploration. In particular, Tromsøflaket has been designated as an important area where there is currently little radiation. In one area there has been a change since the plan was presented, and we have had a public debate on it. It's been a positive change. It was announced in the management plan that the Government would add new required maritime transport sailing managers about 30 nautical miles from the coast of Vardø to Røst. Against this background, it was disappointing and alarming that the Government sought the IMO to lay its ranks much closer to the coast than 30 nautical miles. There were strong reactions in the environmental movement, and the Fiskers were drenched. When I signed on behalf of the Left in Stortinget, the Minister for the Environment confronted with this breach of promise, the response was that the arrangement with the sailing team was good and could not be adjusted. Later on, you adjusted it anyway, and that's good. However, parts of the members are still being laid up up to 18 nautical miles from the coast of East Finland. This undermines the professional base and recommendations made by the management plan. The positive effects of the management plan on North Norway have marked the debate today. It's natural. The left also wants to contribute to a positive development in North Norway, and we see that petroleum activities can contribute to it. Some exaggerate expectations about what will result and underestimate the importance of other industries such as travel and fishing. A positive development in North Norway will depend entirely on a good interaction between industrial development and sustainable resource management. Unfortunately, the management plan that we are dealing with today is not based on such a balanced principle.
ParlaMint-NO_2006-06-15.ana.ud2170e726	It's going to be line change.
ParlaMint-NO_2006-06-15.ana.ud2170e729	The Chairman of the Committee from the Left now says that they will establish petroleum-free zones in Northland VI, Northland VII – and Troms II. The first one isn't so eye-catching. The Bondevik II administration also assessed the creation of a petroleum-free zone in Northern Ireland, but not in Troms. The left was involved and presented that policy. In St.meld. No 30 for 2004-2005, Possibilities and challenges in the north, what we call the Northern Region Communication, as the Bondevik II Government presented, we can read the following, and I quote what was then the Left's policy: ‘The potential for new findings in the Barents Sea is good New findings could lead to further developments outside Troms’. [[...]] When the setting for this message was presented on 9 June last year, the left was for oil extraction in Troms, but on 8 June this year, when the setting was presented in the present case, they were against. What is the reason why the Left has turned this case around in 364 days?
ParlaMint-NO_2006-06-15.ana.ud2170e744	The left has always said that the advice and recommendations given to us in the management plan are to be given decisive importance in determining the areas to be opened up to activity and the areas to be petroleum-free zones. It's based on the principle that we've made our choices. This means that we follow the technical recommendations in the areas where we propose that there should be petroleum-free zones. As can be seen from the proposal, it is primarily linked to the Lofoten and the Vesterål, because we hoped that there could be a minimum of what a compromise with the government parties should contain. Because we have noticed that SV has been bastant that a prerequisite for a balanced arrangement was that there had to be some petroleum-free areas. That's why I concentrated on the Lofoten and the Vesterål in that context, to form the basis for support from the two out of three government parties that share our views on this matter. I can assure the representative of the Workers' Party that the most predictable thing in the debate we now have on petroleum-free zones is that we are going to be on the barricades at the next crossroads of the position we are fighting for today.
ParlaMint-NO_2006-06-15.ana.ud2170e751	I said earlier in the Chamber that the management plan is a real compromise. That means it's hurting everyone who's been there. I have also publicly said which point pains SV the most. What is alarming about the treatment in Stortinget and today's debate is that on the point of environmental which has hurt us the most, the Left and Christian People's Party has also agreed with the Government. What I think was the most difficult environmental to accept on the basis of professional criteria are the oil drillings that are going to happen close to the Finnmark coast, and the ones that are going to happen on the Tromsøflaket. They have the Christian People's Party and the Left Eclatant jump into the notes, and no one has mentioned it in the debate. Of course, I could be happy about that. But is it because, in a way, there are real conflicts of interest that the Left does not dare to go in, that here it's just easy to refer to the Lofoten and the West Pole, which everyone agrees with, and then you don't take the real thing?
ParlaMint-NO_2006-06-15.ana.ud2170e758	I thank you for this angle, because it gives me an opportunity to point out again an area where the Left and Christian People's Party is responsible for a more environmentally friendly policy than the SV and the other government parties. We tried with a formulation when it was at least Goliath was going to stress that the work currently being done to map the resources was not going to automatically open up for development, that it was going to be an open process, with an open outcome. I see that as an outstretched hand to the government parties to get a formulation in an area where large parts of the environmental movement now fear that the crash from SV and the other government parties in the case of oil activity in the north will lead to that there will not be a real assessment of the Goliath project when it comes to treatment. It shows that we are also consistent in our policies in this area and are on a more offensive line than SV does.
ParlaMint-NO_2006-06-15.ana.ud2170e763	The representative of Kvassheim addressed the issue of the publication of environmental advice in his statement. If I am not completely wrong, it was precisely the government of his party that kept this information from the public. I would like to ask Kvassheim if he can guarantee the Norwegian people that it will be the Left and Christian People's Party that imposes on Ivar Kristiansen, Børge Brende and Right one of their greatest defeats, if they in government will join in on the proposals that the Left here put themselves as guarantors behind. Finally, Kvassheim was occupied by the slide flight carried out by the Centre Party. I have also noted with interest that the Left has done about the same thing, you were in the previous period against activity in the Barents Sea, during this period you are in favour. So my question is, where is this going to end?
ParlaMint-NO_2006-06-15.ana.ud2170e770	First of all, with secrecy: it is right that the Workers' Party established the practice, which was continued by subsequent governments, that information in the context of the concession rounds was exempt from disclosure. It lamented the Left and the work against both in position and in opposition. I'm glad that the change that has taken place has contributed to the transparency of these processes. What we have done in addition to fighting for this in government and opposition is to make sure that changes in the disclosure law mean that there will be transparency in documents from underlying agencies, so this is in place. With regard to the Left’s point of view, it is right that we have gone from a position where we were opposed to activity in the north – and that is where we distinguish ourselves from SV, which is still opposite everything in the north – to open up a balanced development of activity and protection. It is reflected in the document, and that is the basis on which our policies are to be based, in this period and in the periods ahead.
ParlaMint-NO_2006-06-15.ana.ud2170e777	The cord shift is over.
ParlaMint-NO_2006-06-15.ana.ud2170e780	The size is currently examining the first regional management plan for the marine environment in a Norwegian sea area. The Barents Sea and the sea areas outside Lofoten have unique natural values and large renewable fishing resources. There are large populations of cod, hyss, herring and solder, as well as coral reefs and bird mountains of international value. We must take care of this! At the same time, this is a sea area where we expect considerable activity in the future. The extraction of oil and gas, the transport of oil from Russia along the coast and increasing traffic by cruise ships will be the main activities. The challenge is therefore to be a leader, so that we ensure the maintenance of the good environmental status by strengthening the management of the marine environment. This is an important reason why the Government has chosen to start with a management plan for the Barents Sea. The approach to the management of the marine environment presented by the Government in St.meld. No 8, is a preliminary work in an international context. The management plan is also a milestone in establishing a comprehensive ecosystem-based management of all Norwegian seas, as committed by Norway in the Johannesburg Declaration of 2002. The government has as its objective: The management of the Barents Sea and the sea areas outside Lofoten shall facilitate the sustainable use of the areas and resources for the benefit of the region and society as a whole. The management plan identifies particularly valuable and vulnerable areas: these are areas that have a significant impact on biodiversity and biological production across the sea. The areas are well professionally documented, with an agreed professional basis. Possible adverse effects may have long-term effects. Therefore, these areas are given a high level of protection in relation to human influences in the Government's proposal. Important measures here are to proceed cautiously with the petroleum industry and to ensure safe maritime transport and sustainable fisheries. The Government’s proposal for a framework for the petroleum activities in the sea area takes account of this fact. The proposal provides protection for particularly valuable and vulnerable areas along the coast and other areas with the same status. At the same time, the proposal provides for foreseeable framework conditions for the petroleum activity. The Government’s solution has therefore found a good balance between the environmental and petroleum considerations. Some of the other important challenges ahead are the reduction of long-range transport pollution into the area, the further development of sustainable fisheries, the provision of safe maritime transport and ensuring that we meet the key knowledge needs. The northern regions act as an outlet for pollutants transported here by sea and air flows. The environmental toxins have harmful effects on seabirds and polar bears. This is a global problem, and the Government will therefore strengthen Norway's leading role in international environmental work through systematic knowledge building on the effects of pollutants and through new initiatives in international forums such as the Stockholm Convention. The government will further strengthen efforts to ensure biodiversity. The fisheries management must be further developed, inter alia: by setting management targets and strategies for several fish stocks that are commercially exploited. In particular, the government will focus on stopping illegal, unreported and unregulated fishing. Ship traffic is the highest risk factor associated with acute oil pollution and it is therefore important that the risk of acute oil pollution from ships remains low. The Government has therefore applied to the United Nations Maritime Organisation (IMO) for the establishment of required navigational managers outside the territorial waters. This will prevent accidents at sea and allow more time for emergency measures, while ensuring the transparency and control of the movement of vessels. We have extensive knowledge of the Barents Sea-Lofoten sea area. At the same time, we have identified and prioritised significant knowledge needs in the plan. In response to the knowledge needs, the government will introduce a more coordinated monitoring system for assessing the state of ecosystems. Monitoring the marine environment will provide a good basis for proper decisions and actions in the future. Effective monitoring requires adequate monitoring of sea areas. The government is now giving priority to monitoring the prevalence of seabirds through the project SEAPOP, and monitoring the seabed in the most valuable and vulnerable areas of the management plan area through the project MAREANO. How important the mapping is, we got evidence of a very recent incident when the Marine Research Institute reported a wrecked seabed on Tromsøfladet. Not only did they find the deep beam tracks across the entire area, they also found wires and parts of trawl bags. This is an area we wanted to take care of because of the rich and ecologically important fungus fauna. Now they're asking if it's already too late for parts of this area. It is therefore high time that we started monitoring Norwegian sea areas. The management plan covers the Norwegian part of the Barents Sea. The government wants the entire maritime area to be guaranteed overall governance in the future. The Government therefore proposes to strengthen cooperation with Russia on a number of points, in particular in relation to the new Norwegian-Russian marine environment group under the Norwegian-Russian Environment Commission. The government attaches great importance to the fact that we can't rest on the laurels. Through a professional forum, a monitoring group and a risk forum, a more coordinated follow-up shall be ensured. Interest groups shall be involved in the work through a reference group. This shall be a living management plan, in which systematic knowledge acquisition and flexible follow-up ensure that activities in the area do not threaten the natural basis. The diverse and productive marine environment must be ensured for the future. This is also how we ensure the potential for continued value creation for our descendants. I am pleased that the Committee in its position supports the steps taken by the Government in the management plan for the Barents Sea and the sea areas outside the Lofoten. This will also form the basis for the further work of this government on the management of other Norwegian sea areas.
ParlaMint-NO_2006-06-15.ana.ud2170e826	It's going to be line change.
ParlaMint-NO_2006-06-15.ana.ud2170e829	The theme I have addressed earlier without having received a satisfactory answer, so I try again, now at the highest level. The issue of the impact assessment of Northland VII, Troms II and Nordland VI has been discussed many times, and is that which is largely a unanimous political wish from the states of North Norway, it is that one can at least carry out an impact assessment, without one having thus concluded in advance that it should result in an opening or not – that the impact assessment must conclude. We have seen that impact assessments have been carried out before on the Norwegian base, without it having resulted in opening. The question then arises: what is the environmental justification for not being able to carry out an impact assessment of Northland VII and Troms II, and what is the environmental justification for implementing seismics on, for example: Northland VII, but not Northland VI?
ParlaMint-NO_2006-06-15.ana.ud2170e836	It is true that the impact assessment under the Petroleum Act – as the representative is also concerned – is carried out for the purpose of oil extraction, although it is quite correct, as the representative says, that there is not necessarily any automatic way of doing so. But it's for oil extraction. Then we've said in this plan that we don't want oil extraction now, because we need to have some knowledge about Northland VII and Troms II. It has been especially related to seabirds, and it has been linked to the seabed and coral reefs. Now we're going to acquire that knowledge. In the case of Northland VI, we have said quite explicitly that there should be no petroleum activity there. This is an area where we already have a lot of knowledge. So it's not like the knowledge holes are everywhere. There's a lot of knowledge, and we have so much knowledge that we can say it's not relevant with petroleum activities there.
ParlaMint-NO_2006-06-15.ana.ud2170e843	There is a large area of the management plan, and there are many themes that it could have been exciting to raise. But the Council of State raised this point with the fact that we may have been operating on the seabed that we – as the Council of State itself said – may have destroyed forever, and the Council of State referred to the Evening Post's lookup this week. On the part of the Christian People's Party and the Left, we have challenged the Government in the position, asking it to ‘assess to temporarily protect the areas designated as highly probable valuable bottomhabitat areas against bottom radiation now’. On the basis of the post that the Council of State has now made, and with the heavy she put on this, can I expect the Council of State to assess it, and that it might also be a positive assessment – that some areas already need temporary protection before the large programme is closed?
ParlaMint-NO_2006-06-15.ana.ud2170e850	One of the most important steps we take with the management plan is to be knowledge-based. That's why the government has also prioritised a lot of work on knowledge mapping. We have knowledge of a lot of things, but one of the areas where we have a big flaw is what's really about the seabed and the coral reefs. That's why it's high time we started mapping. In the case of temporary protection, it is per. today not the question that we will be able to confirm. However, as Minister, I make continuous assessments of both the situation and the measures that need to be taken to improve the situation of the natural and environmental state. So we make assessments continuously, and of course it includes all types of protection.
ParlaMint-NO_2006-06-15.ana.ud2170e857	In the past, the Minister for the Environment has told Stortinget that it was not desirable or possible to adjust the IMO’s application in respect of the route of navigation so that it remained in line with the management plan. She could use the opportunity today to explain why this was still done. She didn't. The Christian People's Party and the Left have proposed that the Government introduce zero emissions for petroleum-related land installations. To the press, a representative of Bellona says that it would be scandalous if the SV and the Central Party today voted against this proposal. Does the Council of State consider that this proposal on zero emissions for petroleum-related land installations is a good proposal which could be of good support to her in further work and which would make it clear that a high and predictable level of ambition is required in this area?
ParlaMint-NO_2006-06-15.ana.ud2170e866	First a few comments on that with sailing trails. It is quite right, as the representative of Kvassheim says, that we have submitted a corrected application to the IMO regarding the boundary of the sailing path. It is primarily for the sake of new information related to fisheries issues that we have done so – it is possible that the Minister for Fisheries will also come up with more details later, but that is the main consideration. This makes it possible for us to keep this combination – to have a route of navigation below the monitoring system, taking into account, among other things. the fishing interests.
ParlaMint-NO_2006-06-15.ana.ud2170e871	The cord shift is over.
ParlaMint-NO_2006-06-15.ana.ud2170e874	The management plan deals with the sea areas outside the Lofoten and the Barents Sea, and with the expected North Sea bet that two governments have set up, this plan is a good document for the specific policy to be pursued for the northern regions. The management plan shall clarify the overall framework for marine activities and facilitate coexistence between different industries such as fisheries, maritime transport and petroleum activities within the framework of ecosystem considerations. Fisheries in these marine areas shall continue to be managed in a manner that ensures the livelihood of our future generations. At the same time, culture and industry, tourism and tourism should be further developed. It shall also be the petroleum activity. When we know that 25 pst. of undiscovered resources of oil and gas assumed to be in Arctic areas, it goes without saying that these resources should be put into use. We need more feet in industrial development in the northern part of the country. Then we are totally dependent on being able to use the natural resources we have. This can help young people to remain in the country. Through the Government Declaration and the Management Plan, we have had a postponement in both Nordland VI and VII and Troms II until 2009–2010. I was disappointed, and many with me. But we northerners are not known to give up, because with the signals in the management plan that no areas should be defined as petroleum-free zones, and no restrictions have been imposed away from land, we regard this as a postponement while strengthening the knowledge base. I am pleased that the Government is not pursuing the same policy as the Christian People's Party and the Left. Then there had been lasting protection from the Lofoten to the Barents Sea, and the North and South Troms had been taken by the oil map. I wonder if we would have had any management plan at all if the Bondevik II government had continued. Everyone knows that Sponheim of the Left has stated that without petroleum-free zones outside the Lofoten and the Western Pole had left the Government. How would the Right turn out of that situation? Nordland has a big challenge, and we're going to take it. We need to build up knowledge of both natural areas and technologies and develop them together. This is best done in our own part of the country through the R & D environments we have. We have to be prepared when 2010 comes. The Narvik University has been conducting technological education for over 50 years. It educates engineers at all levels and also has Russian and Chinese students. North Technology, co-located with the university, is a technical-natural research institute intended to be a central element of R & D relevant to the north. We also have the College of Bodø, which is about to become a university. It has good research environments and has already established cooperation with Russia on education and training programmes in energy. Northern VII is one of the most promising exploration areas on Norwegian pedestals, with great potential for detecting oil and gas deposits. It is therefore important to use the period up to 2010 in relation to the environment, but also in relation to what a development in this area will provide in terms of employment and value added. Some claim that the petroleum industry will create jobs in Northern Ireland. It is therefore worth noting that the Ministry of Local Affairs will launch a project to identify the ring-fence of petroleum activity on land in North Norway. But it is also important that industry itself is aware of creating ring-effects locally. This can be proven before 2010 by the activities that are imminent further south in Northern Ireland, for example: through the development and operation of Skarv/Idun.
ParlaMint-NO_2006-06-15.ana.ud2170e902	This is a sad day for North Norway, and in particular it's a sad day for Northland and Troms. The rapporteur of the case, Tore Nordtun, said in his speech that North Norway is the national part of the possibilities. It is therefore sad that this day will remain as the day when the Workers' Party allowed environmental fanatics in SV to win over reason and thus refuse a whole part of the country to take advantage of the opportunities that lie there. When I say it's a sad day for the people of North Norway, I'm talking not only about those who vote at the Advance Party, but also about all those who believed in the Labour Party election promises about oil and gas extraction. When I say that this is a sad day, it is not only because oil and gas extraction is being pushed far out in time, but also because this decision helps to kill the optimism and positiveness that was spreading around the country after the population has seen the impact of the Snow White Development on the region: more direct jobs, more jobs in the supplier industry and more jobs through the subcontractors. We already see the result. The removal after the government proclaimed its position, has already shot speed. In several coastal communities, such as: Bø in Northern Ireland, where the optimism and confidence that oil and gas extraction outside the Lofoten and the West eels was to be started, thereby providing more jobs, had stagnated the relocation. The decision taken today is a blow to the face of these small municipalities, and therefore the inhabitants and most municipal government representatives are also raging, regardless of party affiliation. I hear that the government parties, and then especially the Workers' Party, are fossils away from their election vows. Yes, they even call the decision positive. What the Workers' Party calls positive is only perceived by the environmental fanatics of SV and Left as one win. The many people I've spoken to from North Norway, and among them are municipal government representatives from both the Workers' Party and the Center Party, see the decision as a betrayal of North Norway and as another nail in the chest. It is claimed by the opponents of oil and gas extraction that the risk of pollution is so high that if pollution occurs, the consequences are so great that extraction must be prohibited. In particular, it was claimed from SV. In this case, it is not about believing what the future will bring, but to a large extent about what experience we have from oil and gas extraction in the North Sea over 30-40 years. It is my claim that the few emissions that have been, are not measurable today, and have had no negative impact on life in the sea. The oil industry, like the aviation industry, is probably the safest part of the business we have. These two have clear similarities. There is a risk that operations will go wrong, there are major consequences if things go wrong, and both have therefore taken precautions, so that things will not go wrong. Every day there are thousands of planes in the air above us, with hundreds of thousands of people. If these planes were to fall down, it would be a disaster that would far exceed an oil spill. There are thousands of aircraft that are up there every day and pollute with their emissions, even if they wouldn't fall down. Nevertheless, I hear no one, not even in SV, who wants to ban air traffic. Now this is not a call for SV and the Government to put all the planes on the ground, but a picture of two types of industry operating in fields where an accident will have dramatic consequences. But yet there are just these, with their focus on safety, which have fewer accidents. When I used to talk about the people of North Norway being positive about oil and gas extraction, I'm building this on things I've talked to people about, but also on polls that have been conducted, and that show that there's a large majority that require oil and gas extraction as soon as possible. Yes, even fishermen, who have been the greatest opponents in the past, have turned around, and the atmosphere is much more positive for extraction. More and more fishermen are out in the media and say straight away that if we are to have people living in the districts of the north, the oil industry must come as soon as possible. And what's really interesting is that after the ringing effects of Snow White have come for one day, several S.B. and centre party peaks have also been out and demanded extraction. Finally, I would say that everyone wants safety around oil extraction, not least the oil companies themselves. Over 40 years in the North Sea, they have proven that they can deliver safe production. Now it's time for North Norway to have its share of the cake, and to participate in the value creation that has taken place in oil extraction in other parts of the country. We want that participation as soon as possible, and not in 10-20 years.
