ParlaMint-NO_2006-05-10.ana.ud1109e24	The representative Jon Hunter Gåsvatn will make a private proposal.
ParlaMint-NO_2006-05-10.ana.ud1109e583	The Minister of Oil and Energy assesses different measures, and he assesses many different measures, which any responsible Council of State must take. I'm not going to come to the government's conclusions here in the main hall until the government has actually concluded. We are going to deal with what the Minister of Oil and Energy is presenting to the entire College of Government. With regard to the Tent Credit and the application for a concession, it is for treatment in the Ministry of the Environment, and I have not, as I have said before, intended to do proceedings here in the storeroom. I note that the Minister of Environment's thinking is at the root of the Soria Moria declaration, and it says that we must have clean-up on all new gas plants.
ParlaMint-NO_2006-05-10.ana.ud1109e590	The President will accept two follow-up questions – first Ketil Solvik-Olsen.
ParlaMint-NO_2006-05-10.ana.ud1109e593	I only got one measure from the Council of State, and there was a commitment to renewable energy. This has been promised by the government in two weeks' time, but they began to promise this already three months ago, so the two weeks are very long in the government's time. Unfortunately, they can't have two weeks to last for three years, so the power crisis in Middle Norway will probably come before the government is prepared. The majority government promised that they would trade and not negotiate. The only thing we see they have in the toolbox about energy policy is a armchair, where they sit and wait for players to make investment decisions without the government having to do anything. I'm afraid we'll finally get a tent camp outside of Stortinget. It is likely that the population of More and Romsdal will come here and protest, because SV is not willing to take up the fight internally and allow gas power stations without CO2 cleaning. Then one would like to have bothered with a small marking on the lawn instead of a tent camp. Both NVE and Statnett have said that the only thing that can solve the power crisis in Central Norway is gas power plants without CO2 cleaning. Will the State Council allow the professional community to follow this advice?
ParlaMint-NO_2006-05-10.ana.ud1109e610	I have repeatedly tried to say that the government is working hard and intensely with the combination of taking environmental concerns and climate problems seriously and taking the crisis in Central Norway seriously. This is what the Minister of Oil and Energy is doing. To me, it's completely incomprehensible that it's not right that we now have to work as thoroughly as we do, so that we get wise decisions. For the decisions we are about to take, there will be long-term consequences both for the environment and for the power crisis in Central Norway. I think it is possible to achieve a comprehensive policy that includes both energy efficiency improvement, renewable energy and gas power plants with CO2 cleaning.
ParlaMint-NO_2006-05-10.ana.ud1109e618	Gunn Berit Gärde - for follow-up questions.
ParlaMint-NO_2006-05-10.ana.ud1109e621	There are major challenges both for the Minister of the Environment and for the rest of the people when it comes to the power crisis in Central Norway, but I would like to remind you that this is not just about a power crisis in Central Norway, it is about a national lack of power. I agree with the Minister for the Environment when she talks about making sure that we get the environmental concerns in place when we are about to build a new one. Statoil managers have said that it is not profitable to build a gas power plant without cleaning and that cleaning will follow. My question goes to these mobile power plants that are intended to be replaced in a crisis situation. The NTNU environment has been told that it is possible to make them less impure. Will the Minister for the Environment take the initiative in working with NTNU and the researchers there to put in place less impurityful mobile gas power plants?
ParlaMint-NO_2006-05-10.ana.ud1109e636	In the assessments made by the Government, there are many different elements. The preliminary assessments of mobile gas power plants are that they are highly polluting, that they have high emissions of CO2 and NOx – so not only CO2 problems related to mobile gas power plants – and that they are inefficient. At the same time, the possibility of new technologies is also assessed and price, opportunity, availability, etc. assessments are carried out. All these questions are being considered by the Minister of Oil and Energy, and his assessments will, of course, be the basis for decisions by the Government.
ParlaMint-NO_2006-05-10.ana.ud1109e650	The oral question time is over.
ParlaMint-NO_2006-05-10.ana.ud1109e656	There will be a number of changes in the configured question list, and the President will show you in the context of the list distributed to the representatives' seats in the room. The President proposes that the proposed changes in today's Question Time be approved – and sees it as accepted. The changes were as follows: Question 2, from the representative John Thune to the Minister of Finance, is taken up by the representative Line Henriette Holten Hämdal. Question 10, from the representative Per Roar Bredvold to the Minister for Transport, is taken up by the representative Morten Ørsal Johansen. Question 19, from the representative Olemic Thommess to the Minister for Children and Gender Equality, will be postponed until the next Question Time, when the Council of State has left. Question 20, from the representative May-Helen Molvær Grimstad to the Minister for Culture and the Church, will be moved and answered before question 1. Question 22, from the representative Peter Skovholt Gitmark to the Minister of Health and Health, will be answered by the Minister of Finance as the appropriate representative. Following a request from the Minister of Finance, this question is moved and answered in response to question 5, which is to be answered by the same Council of State. Question 24, from the representative Jan-Henrik Fredriksen to the Minister for Agriculture and Food, will be drawn up by the representative Hans Frode Kielland Asmyhr.
ParlaMint-NO_2006-05-10.ana.ud1109e673	We go after this first to question 20.
ParlaMint-NO_2006-05-10.ana.ud1109e680	I have the following questions for the Minister of Culture and the Church: ‘71000 Nordics have gambling problems and a further 133,000 are at risk. 9 out of 10 dollars put on the vending machines comes from game addicts. We know that the vending machines are the main cause of gambling problems, and several municipalities have now decided to make the local environment a safe zone for the gambling addicts. Will the Council of State prepare for the introduction of a ban on slot machines that can be put into operation if Norway does not win the EFTA Court of Justice with a monopoly system or if the case goes out on time?’.»
ParlaMint-NO_2006-05-10.ana.ud1109e689	Since Stortinget adopted the automatic reform in 2003, the awareness of the serious gambling problems the machines contribute to has become even greater. I very much appreciate the commitment of individuals, local authorities and others to counteract these problems. It also suggests that restrictive gambling policies will lead governments have broad support. The automatic reform, with a halving of the number of machines, less risky games and much better control of both game development and game resolution, will be the best way to control the automatic market, since, at the same time, the emergence of an illegal automated service will be prevented. I have great faith that the EFTA Court will conclude that this arrangement is in line with our EEA obligations. At the same time, I understand the impatience that now exists to impose restrictions on the machines quickly. The government takes the problems of today's automatic regime with the greatest seriousness. As you know, the Government has proposed to ban the use of banknotes on vending machines this summer. We also consider further restrictive measures that do not require legislative change and that can be implemented this year. I also consider preparing a total ban on vending machines. As the representative sees it, a total ban could be an alternative if the EFTA Court comes to an conclusion that is contrary to what the Lawyer’s right comes to. However, the issue of the introduction of a total ban must also be weighed against the risk of blooming of an illegal automatic activity by such a measure. A ban requires legal support, and implementation will therefore also take time. The preliminary signals we have at the time of the EFTA Court proceedings indicate that it is not appropriate to impose a total ban before the EFTA Court’s decision is delivered. As I said, the Government is optimistic, as we got such a clear ruling in the Lawyers' Court, which judged the case on exactly the same regulatory basis as the EFTA Court is to do.
ParlaMint-NO_2006-05-10.ana.ud1109e700	I would like to thank the Council of State for the answer, even though I feel that I have not received a clear response on whether the Government will initiate and propose a ban if we do not win out to the EFTA Court. I interpret the council so that he will wait. What the Christian People's Party is concerned about is that all the steps that are being taken take time. You can look at the ban on using seats in automatic machines. It has to be time, for one must have listeners, one must have things. And my question to the Council of State is, because things take time, will the Council of State immediately start to work to see how we can get rid of the machines if we don't win, in solidarity with the many game addicts?
ParlaMint-NO_2006-05-10.ana.ud1109e707	I think the representative, Mr. Molvær Grimstad, who I think shares the same objectives as the Government in getting control of the gambling problems, has a somewhat defaitistic attitude to the case in the EFTA Court. I am, like my predecessors and Molvær Grimstad's party trap, the former Minister of Culture, Svarstad Haugland, very optimistic that we will win out in court. After all, the court of law gave full support to the state. The Supreme Court was actually going to deal with the case, but then ESA came in and brought the case before the EFTA Court. In my view, there should be no reason why the EFTA Court should come to a different decision than the law enforcement. They're the exact same rules that we're based on. What, if any, is to happen if we lose the case in the EFTA Court against presumption, the Government has not taken a decision. But it is in the nature of the matter that there are then two alternatives. One is the total ban on slot machines; the other is the introduction of a type of concession scheme for one or more players. But there Stortinget said earlier that it is not a good solution to get control of the gambling problem.
ParlaMint-NO_2006-05-10.ana.ud1109e714	There are many voluntary teams and organisations that get income from the automatons that go to very good work. But at the same time, we know that 9 out of 10 dollars that are put on the machines comes from game addicts. Therefore, it is important that the Government looks at compensation schemes for voluntary teams and organisations in connection with the work to get rid of the automates and the blossoming of the black market. It seems that the Christian People's Party is important. But those who also receive income from the slot machines are some political parties, including the Labour Party. Governments have not answered clearly before in the spontaneous Question Time if they want to clean up their own houses and do something to get rid of the Workers' Party's automatons. Had a monopoly been introduced, these machines would be gone. It has not been the intention that the political parties should spend money on this. They won't do that with a monopoly, but it had been removed after the schedule. So my question is, will the council clean up in own houses in this area – yes or no?
ParlaMint-NO_2006-05-10.ana.ud1109e723	As we also talked about in the oral question procedure, I haven't chosen the line that we're going to point a moral index finger at some of the players in the playing field. Neither the Red Cross, the Cancer Association, nor the political parties shall be set up for the regime that is today. It's our job as political authorities to create legislation that applies to everyone and that everyone should follow. It is quite right that when the Act was passed in 2003, a significant point for the Stortinget was that good compensation arrangements had to be in place. The compensation should be paid when Norwegian Typing takes over automatic operation. It goes without saying that that compensation isn't in place until we get what the Storting has decided, and that's what we're now working on. Then the compensation will also take the form of a share of the gambling profit from Norsk Typing, but a lower share, because we are going to reduce the gambling and thus the gambling dependency problem.
ParlaMint-NO_2006-05-10.ana.ud1109e730	So we go to question 1.
ParlaMint-NO_2006-05-10.ana.ud1109e737	I allow myself to ask the following questions to the Minister of Finance: ‘The Government decided in the 2006 government budget to impose a one-off charge on light goods vehicles between 3500 and 7000 kg. This charge leads to a sharp increase in prices. The increase is between NOK 35000 and NOK 200000 per person. Car. Operators who have ordered these specially built cars under the old charging rules will, due to A very long conversion time was paid for extra costs that could not be taken into account, when the car was ordered before the changes were known. Will the Council of State ensure that these too may be exempted from the levy?’
ParlaMint-NO_2006-05-10.ana.ud1109e746	No, I have no plans to grant more such exemptions, simply because we had good transitional arrangements when this one-off charge on light trucks was introduced. When a one-off charge was imposed on trucks with a total authorised weight of between 3,5 tonnes and 7,5 tonnes, transitional arrangements were also made to ensure the considerations pointed out by the representative Hoksrud. Under the transitional regime, trucks introduced from 1 January 2006 could be registered without a one-off charge until 1 March 2006. If the car was ordered before 10 November 2005, which was the time when the proposal was made known, the deadline for registration without a one-off fee was set at 1 April 2006. This also applies to cars introduced after 1 January 2006. Compared to the previous tightening of the one-off charge, the transitional system provided for the introduction of a one-off charge on light goods vehicles is very modest. It is not appropriate to grant additional general exemptions from the one-off charge for light trucks, since I have been so flexible in this transition.
ParlaMint-NO_2006-05-10.ana.ud1109e755	I would like to thank the Council of State for the answer. I find it sad that the Council of State does not see that it takes a very long time to rebuild some cars. This has caused someone to get into a very bad situation because of the introduction of this fee. So I think it's sad that the Council of State doesn't want to give it to them, the possibility of this fee ticket. So a follow-up in relation to the state council's taking up the issue. State Secretary Tongesvik has stated at a conference that the Government will review the fee from 2007. With the signals given by the Council of State, I am very uncertain whether there is any wish from the Council of State. Can the Council confirm whether she will look at this until the 2007 government budget, or is this definitely by the Council of State?
ParlaMint-NO_2006-05-10.ana.ud1109e764	It is well known to Stortinget that it is the responsibility of the Minister of Finance how and with which deadlines this type of charge is implemented. We have been very light and flexible precisely because we are well-known that many have ordered cars in good time, and that it is a long delivery time. Those who ordered a car before 10 November have been allowed a deadline of 1 April. The remainder has been granted a deadline of 1 March. It's a very flexible and long transitional arrangement. I consider this case to be closed.
ParlaMint-NO_2006-05-10.ana.ud1109e771	I understand your council that she is quite clear and clear that this fee will still be there. I find it very regrettable that a charge is imposed and that there are even greater environmental problems in the big cities, by the fact that many choose to buy a more expensive and larger car, which is cheaper compared to the charging problem, in order to get goods transported. I find that very regrettable. Then I also have to ask another question to the Council of State: it has been said that for the next year a new charging system will be introduced in connection with the 2007 state budget. Here are the signals that this should be proven neutral. Now, the revenue from this levy is very low in 2006. They've budgeted for the state with NOK 270 million net. Will this be part of the total level of revenue of car charges? And does the Council require this to be applied to the charges initially levied in 2006 as part of the new charging system?
ParlaMint-NO_2006-05-10.ana.ud1109e780	I must be allowed to come back to these questions when we present the state budget for 2007. However, the representative Hoksrud is quite right that we are now working extensively to get a more consistent composition of the one-off fee, so that environmental considerations are also taken into account when people buy a car, because the one-off fee is so important. Then there will also be a relationship that you take more seriously when you buy a new car – not just every time you stand at the petrol pump. But I must stress once again that the transitional rules on these one-off charges have been very modest. We have listened to the industry along the way, just to implement it so that it will not have unreasonable effects on some. But of course, it will always be so that someone falls outside. Unfortunately, this is always the case when we set a deadline.
ParlaMint-NO_2006-05-10.ana.ud1109e791	This question, from the representative John Thune to the Minister of Finance, will be raised by the representative Line Henriette Holten Hämdal. Question originally put by Repr. Holten Heimdal, cf. p.s. 1949.
ParlaMint-NO_2006-05-10.ana.ud1109e796	I would like to ask the Minister of Finance the following questions: ‘It is important to increase the protection of the coniferous forests in order to ensure biodiversity. Voluntary protection is an important strategy to reduce the level of conflict in forest protection. Today’s legislation does not give all forest owners the same possibility of conditional tax exemptions. It is unfortunate if the protection process is stopped due to such legislation. Will the National Budget Council make a proposal to resolve the situation of forest owners who do not have the means to reinvest the amount of compensation in accordance with adopted rules?’
ParlaMint-NO_2006-05-10.ana.ud1109e805	I fully agree with the representative Holten Hemdal that forest protection is a very important environmental measure, and that the best thing is to get this done through voluntary schemes for individual forest owners. Therefore, we also have rules in the tax law that provide conditional tax exemptions when one involuntarily realises gains in the provision of forest for protection, so that is initially taken into account. The tax liability is then deferred when the taxpayer reinvests the consideration received. The rules on conditional exemption in the event of involuntary realisation normally require that it be reinvested in a new object of the same nature, i.e. reinvesting the gain in something else that relates to the business under way. In the case of forest protection, this is considerably more liberal in that, in addition to new forests, it can also be reinvested in buildings or facilities for use in forestry activities. The organisation of forest-related outlanding activities will also be covered. Furthermore, if the forest property is operated in combination with agriculture, it could be invested in land used for agricultural production or for the acquisition or cost of construction or facilities included in the taxpayer’s agricultural holding. Therefore, there is reason to believe that there will be relatively few forest owners affected by a safeguard measure without adequate reinvestment opportunities. The representative Holten Heimdal asks if I will present proposals in the context of the revised national budget to resolve the situation for those forest owners who do not have the opportunity to reinvest the amount of compensation under adopted rules. Now there are two days until the revised national budget is presented, and I do not think it is right to answer such a question when it expires immediately.
ParlaMint-NO_2006-05-10.ana.ud1109e816	I would like to thank the Council of State for its response. I'll be able to wait 48 hours, especially if I get a positive answer. I am pleased that the Minister of Finance sees the importance of this scheme within environmental measures, but also that it is probably best that we run a voluntary process. There's not many of these. But we know that if one forest owner doesn't have the opportunity to reinvest in anything, then maybe he or she will become the plug in the system in a larger protection area, and that's unfortunate. The voluntary scheme we now have has given good returns – 120 dean have been given voluntary protection in the last two years. That's about a quarter of what we've been able to protect in the last 15 years. So the arrangement has worked. But it's important that we get rid of this one little unit. And I think it doesn't cost that many dollars either. But I am willing to wait until the revised national budget is presented.
ParlaMint-NO_2006-05-10.ana.ud1109e825	I'm familiar with the problem Holten Heimdal raises. It is true that part of these protection processes goes much slower, or stops, because there is one forest owner in the area who does not see the possibility of reinvestment. But at the same time, we have reason to believe that we should have a fair and fair tax system that treats everyone equally. And what we do if we make exceptions for some forest owners in such a context is, of course, to facilitate the realization of some property objects never comes to taxation. This is the dilemma of assessing tax rules in this area.
ParlaMint-NO_2006-05-10.ana.ud1109e830	Does Line Henriette Holten Heimdal want follow-up questions?
ParlaMint-NO_2006-05-10.ana.ud1109e833	No, thank you.
ParlaMint-NO_2006-05-10.ana.ud1109e842	I would like to ask the Minister of Finance the following questions: «Predictability is important for business. In the context of the tax reform, it was decided that a ‘white list’ of countries not considered to be low tax countries should be drawn up annually and thus not subject to NOKUS taxation, etc. For 2006, the Tax Directorate has chosen to keep all EU countries out of the list. While Sweden and Denmark are not listed, countries such as Belarus, Russia, Indonesia and Morocco have been included. Does the Council share this assessment?’
ParlaMint-NO_2006-05-10.ana.ud1109e851	The representative Sanner is entitled not to be included in the list of countries not to be considered as low tax countries in the EEA. This is because the list of low tax countries used under the NOCUS rules is the same as that used under the so-called exemption method. This method was introduced in 2004 and exempts limited liability companies and assimilated companies from the taxation of profits and dividends from shares in other companies. The exemption does not apply to share income from companies resident in low tax countries outside the EEA territory. At the time of the introduction of the exemption method, regulatory provisions were also provided for lists of countries to be considered as low tax countries and countries not to be considered low tax countries. For the 2004 and 2005 years of income, the list concerned only the exemption method. Since the exemption method includes the income of companies from shares resident in the EEA country irrespective of the level of taxation of the company’s home country, the EEA countries were not included in the lists. The NOKUS rules to which the representative refers are those governing the taxation of owners of Norwegian controlled companies, etc. resident in low tax countries. The definition of low tax countries in the exemption method and in accordance with the NOCUS rules coincide. It was considered appropriate to make the lists of countries to be regarded as low tax countries and countries not to apply also to the NOCUS rules. Therefore, from 1 January 2006, those lists also apply to the assessment of whether a country is to be considered a low tax country in relation to the NOKUS rules. For the purposes of this revision of the lists, the EEA countries were not included in the lists. For companies resident in countries not included in the lists, the application of the NOKUS rules will be based on a concrete comparison of the level of taxation in Norway and in the company’s country of origin. This will also apply to EEA countries and is in line with previous practice. However, I agree that the predictability and predictability of tax payers means that EEA countries which are not considered to be low tax countries are also included in the list of non-low tax countries. The inclusion of EEA countries in the lists will only have an impact on the application of the NOKUS rules. It is provided that the lists are reviewed annually. It would therefore be natural to consider which EEA countries should be included in the list of countries not to be considered as low tax countries for the next revision of the list, i.e. next year.
ParlaMint-NO_2006-05-10.ana.ud1109e868	I thank you for your answer. I stumbled a little over the first half of the answer, where the justification was appropriate when comparing the NOKUS tax and the exemption method. However, I am very pleased with the conclusion of the Council of State, namely that one will look at this again and then open up the possibility that EEA countries can also be included in this list.
ParlaMint-NO_2006-05-10.ana.ud1109e875	The representative Sanner has understood the answer quite correctly, but a little explanation as to why it happened was probably also in place.
ParlaMint-NO_2006-05-10.ana.ud1109e884	I will ask the Minister for Finance the following questions: «The tax limitation rule in the Tax Act concerns very many low-income pensioners. Many people also have some wealth. The rules make these taxpayers receive an additional tax when the property exceeds NOK 200000. This means that those with the lowest income here in the country, but perhaps with a small asset, may pay a significantly higher marginal tax on wealth than other taxpayers. Does the Council of State think that such a wealth tax on low-income pensioners is fair, and if not, what will she do with it?"
ParlaMint-NO_2006-05-10.ana.ud1109e893	The changes made by this government in the taxes on wealth have strengthened the distribution profile of the tax system. This also applies to the distribution of pensioners. Pensioners and other insured persons are going to pay 35 pst. of all taxes on wealth in 2006. In 2005, this proportion was higher, at 37 pst. So we've made changes in the wealth tax that benefit pensioners. Most pensioners who pay taxes on wealth have been reduced as a result of increased deductions. However, some pensioners who come under the so-called tax restriction rule may have had some increase in the added value of the tax restriction rule, and therefore tax, because of it. increased equation values. The tax limitation rule is a special rule designed to reduce the tax on persons with low tax capacity. So that's the background and the starting point for this rule. In practice, the rule provides tax exemptions for revenues below DKK 125 400 in 2006. Here it also takes into account that wealth gives tax power, by 2 pst. of net worth over NOK 200000 is added to the income. Income on a tax-free net income and this property allowance is taxed at 55 pst. If the taxpayer is not paid to be taxed under the tax restriction rule, the ordinary tax rules are applied. So here you can pick the value for the value for the value for the value for the value Some pensioners may receive a very high effective marginal tax on, for example: deposits, both because interest income is included in net income, because of the addition to the property of the tax restriction rule and because of the property tax. The government will continue to work on the distribution profile of the property tax. In this respect, I would also like to take a closer look at the added value of the tax limitation rule that the representative fleet deals with.
ParlaMint-NO_2006-05-10.ana.ud1109e906	I am very pleased that the Minister of Finance particularly points out that the increase in the values of equations has resulted in some pensioners getting increased taxes. Now it's like the tax restriction rule doesn't just apply to people with a small fortune. It concerns several hundreds of thousands of people who do not have wealth, and it is a target group that may be even more up-to-date with the Minister of Finance. When these taxpayers come into the tax position, marginal taxes are very often going to be high. There are examples that if you, for example: housing aid, which is also regarded as income, may be more than 100 pst when entering the income position, the marginal tax. This is also an argument for a closer look at the whole tax limitation rule. Does the Council share that view?
ParlaMint-NO_2006-05-10.ana.ud1109e917	What the fleet representative addresses is a major challenge, because it sets a limit on income both in the tax system, of course, and for different benefits, such as: housing support. This allows for such a threshold effect that some taxpayers or beneficiaries of social security schemes may have very different outcomes, even though their actual income or benefit may be very low. This is a major challenge, and it is also a major challenge to see these different elements in context, so that it does not become unreasonable for the individual. I have, of course, the focus on this, and I am going to follow up on this also in relation to what is my constitutional responsibility, namely the tax regime. However, it is important that the Minister of Finance also differentiates between the other arrangements, so that the sum of what is important for the individual, both taxes and benefits, does not give unreasonable or incomprehensible results.
ParlaMint-NO_2006-05-10.ana.ud1109e924	What the Council of State calls threshold effects is probably more perceived as unfair when you receive the tax bill. That is my last point in this round, namely that the results of the tax restriction rule, that is, how the tax authorities arrive at the tax settlement, are completely incomprehensible to the taxpayers. And that's not because they're pensioners, because we have a retirement pensioner in this country that probably understands a lot of its own taxes. I think it should be done something to make it easier to understand this. Then, within the possibilities that exist, you might be able to relate – call it unfairness or threshold effects. Does the Council of State want to look at this, which is a little bit easier to do with?
ParlaMint-NO_2006-05-10.ana.ud1109e935	I fully agree with the representative that most pensioners in Norway are very up-to-date people who follow closely, and that tax rules can often be complicated. I attach great importance to the fact that tax rules should be as simple to understand as possible, both because people should be able to check whether they are similar to what is their own income, and because it has something to do with the legitimacy of the entire tax system.
ParlaMint-NO_2006-05-10.ana.ud1109e942	Then we go to question 5 from the representative Jan Tore Sanner to the finance minister. For those who had to wonder about it, it's because of earlier postponed questions that the representative Jan Tore Sanner gets to ask two questions at one and the same question time.
ParlaMint-NO_2006-05-10.ana.ud1109e950	‘The Minister of Finance, by letter to the Financial Committee of 16 March of this year, rejected the proposal of the Right to examine changes in order to facilitate the participation of all employees in its own business. The Minister of Finance himself represents a party which, in its party programme, speaks warmly of the need to better facilitate enterprises owned and run by employees. What is the rationale of the Council of State that it is positive that employees are sole owners, but negative that employees become partners or increase their share of the shareholders?’
ParlaMint-NO_2006-05-10.ana.ud1109e957	The representative Sanner is right that we have had a round in Stortinget on this question earlier. Let me just start by saying that SV's involvement in this field is initially not about the Right's proposal, namely that this is a purpose that should have its own tax subsidies, but about other types of measures. The Working Environment Act has given employees influence and formal representation in the bodies of enterprises. The fact that work, not just capital, is the basis for influence is an important part of the Norwegian welfare model, which this government defends and will further develop. The emergence of more enterprises where employees are also influenced by co-ownership is positive, but I am sceptical that society should stimulate this through tax subsidies, which both break through the tax reform and have adverse distribution effects. It is surprising to me that the Right now proposes to make the tax rules for the purchase of shares by employees more favourable. This is, of course, contrary to the central objectives of the reform initiated by the former Minister of Finance Per-Kristian Foss himself. The Bondevik II Government carried out a number of restrictions on the taxation of benefits in kind, including: the reason why they contributed to eroding the tax bases of the tax system. Proposals now being promoted by, among others: The representative, Sanner, violates these principles and reopens to reward a limited group of workers with fiscally favourable arrangements. I just want to remind you that the purpose of the tax reform has been to ensure a greater degree of fiscal non-discrimination between persons at the same input level, regardless of the source, of how income has been earned. The proposals of the Right will break this principle and lead to employees who otherwise pay equal pay paying different taxes. Favorable tax rules for the purchase of shares by employees may lead to widespread discrimination in the case of taxpayers who are offered such remuneration and those who do not. It is primarily high pay that has large economic benefits associated with options and shares in employment. Therefore, a more modest taxation of such benefits would be most beneficial to this group. It will therefore also have an effect on distribution. As I have explained in response on 16 March, there is already a certain incentive in the tax system for employees to acquire shares in their own company, by reducing the taxable benefit by up to NOK 1500 per year. years. In my view, there is little reason to believe that the use of shares and options will be too low when the tax regime substantially equates this form of remuneration with wages. In my view, this is also illustrated in the presentation of the background to the proposal made in Document No. 8:28, where, among other things, it is pointed out that in the enterprises where ‘the employees have been offered to buy shares: [[...]] I would also like to remind you that shares and extensive option programmes may have negative effects. Business management — and thus employees — can get too strong a motivation to focus on the short-term appreciation of the company's shares, both through financial arrangements and in accounting. One shouldn't go back that far in time until one can find examples of just this. I am open to the fact that co-ownership can have such positive effects both for democracy and for value creation that it may nevertheless be right to consider a stronger public arrangement, but not by further tax subsidies on shares and options.
ParlaMint-NO_2006-05-10.ana.ud1109e974	I have to admit that I was surprised by the Council of State's response, and in particular by the tremendous commitment of the Council of State to combat measures that could increase the degree of participation in businesses. Both national and international studies show that co-ownership is positive for society, for businesses and for employees. It increases motivation and builds up the barrier between work and capital. But it is possible that this old ideological idea makes barriers in relation to the government's thinking. Making it possible for more people to become co-owners in their own company is not just about the high-wages. We know that many members of the Joint Undertaking are also joint owners in their own businesses. Road cover is a company that has had a great deal of success, like many knowledge companies. I also record that the Council of State here is talking about tax subsidies. We do not hear about this when you talk about the union deduction. To my question. The Council of State says that she wants other measures to increase the level of participation in businesses. What concrete measures are there in mind by the Council of State?
ParlaMint-NO_2006-05-10.ana.ud1109e987	Firstly, the representative Sanner cannot interpret the answer I have just given as a general resistance to company ownership. But I have fundamental and important distribution policy reasons for not wanting to contribute to it through tax incentives. It's because of the distribution policy. Even though employees with very common incomes now buy shares in their own businesses, the benefits of tax incentives will benefit those with the highest incomes most. Because we need a tax system where you have equal treatment of different incomes at the bottom, it's a path that I want to warn against. You can imagine other barriers that today help to make it more difficult to become a partner in your own business. It may concern legislation and other matters, but it will often be outside the constitutional responsibility of the Minister of Finance. Therefore, the Government will come back to this question at a later stage.
ParlaMint-NO_2006-05-10.ana.ud1109e994	When the Council of State says in its written, read reply to me that other measures can be envisaged, the Council of State must be able to put it into practice. Reports have now been submitted to show that what would work best to stimulate increased ownership is either to increase the tax base or to shift at the time of taxation. I do not see any major differences in principle between such measures and the increase in the union quota. Let me return to the Council of State's answer. When the Council of State in its reply says that she wants other measures, it must be allowed to ask: What concrete measures? Is it the case that today's shareholders should be required to give up power to persons who do not have shares, or is it by increasing the representation of employees, for example. in the governing bodies?
ParlaMint-NO_2006-05-10.ana.ud1109e1001	I'm not going to ask any more questions about this. I just want to say that it is not relevant for this government to introduce different kinds of tax rebates to encourage employees to buy shares in their own company. There should be no reason either, because it turns out there is no special barrier for employees in that way. They're actually doing it today. But there may be practical and legal changes that can make it easier and less bureaucratic for employees to implement this. I or the Council of State that has the constitutional responsibility for this, will come back to that in case.
ParlaMint-NO_2006-05-10.ana.ud1109e1006	We go to question 22.
ParlaMint-NO_2006-05-10.ana.ud1109e1013	This question, from Peter Skovholt Gitmark to the Minister of Health and Welfare, has been transferred to the Minister of Finance as the appropriate agent.
ParlaMint-NO_2006-05-10.ana.ud1109e1016	I have the following questions for the Minister of Finance: ‘The Tax Directorate has changed the search criteria in the public register. This change poses many practical problems, especially for private healthcare providers. In the past, the patient’s date of birth could be applied for, as well as parts of the first and last names. The new rules require the use of 11 digits in person numbers, as well as the entire first, middle and last names to seek out the patient. Why should private health providers be subject to stricter data protection requirements than those which are their orders?’
ParlaMint-NO_2006-05-10.ana.ud1109e1025	I first drew attention to the fact that the representative Gitmark had previously asked me this question in writing. It happened on April 10, this year, and he got the answer on April 25. It is true that under the rules in force, there is a slightly higher level of access to the provision of information to public authorities than to private operators. This is because the public register was created as a common register for different public authorities, so that they do not keep their own separate personal registers. Thus, the purpose of the public register is primarily to serve public interests. The population register is dependent on receiving information from each individual citizen in order for it to contain correct information at all times. Individual citizens must have confidence that the information provided to the public register is not freely disclosed to individuals and private institutions. Otherwise, there is reason to fear that it will be more difficult for the individual citizen to report new or changed circumstances. Therefore, the need for accurate information in the register depends on the confidence of the population that the information is essentially used in line with the main purpose of the register. Persons and private institutions may be provided with non-tariff information from the public register under the Public Register Act if the information is necessary for the exercise of legal rights and obligations. The regulation of the law provides that information on a few ‘named identifiable’ persons may be provided unless the information can reveal a personal relationship. The birth number alone is not considered sufficient to identify a person. Birth numbers may be confused between persons, for example by giving the birth number of other persons in control situations or by giving up the identity of another person when a digit is typed incorrectly. Personal data protection is such that more criteria than birth numbers are checked. In the interests of privacy and the risk of confusion of information, the Central Office for Public Registration decided in 2003 to restrict the search criteria so that the full name and date of birth or full name and birth number should be known. However, as from 15 March 2006, it is also possible to look up surnames in combination with the following elements: first name address point or municipality For privacy reasons, information will not be provided if the search criteria meet the data subject's personal data to more than one person. In such a case, the search must be further specified in order to ensure unambiguous encounters, or an enquiry can be made to the Special Register at the South Hedmark Equation Office for Manual Processing. The Ministry of Finance and the Ministry of Renewal and Administration have recently set up a working group to carry out a broad review of the role of the public register as the central register in the field of personal information. The main tasks of the working group are to assess the purpose of the public register and the principles for the provision of public records, both to private and to the public. The working group shall submit its final report by 1 April 2007.
ParlaMint-NO_2006-05-10.ana.ud1109e1056	The reason why this question was raised again is that as a representative I was not satisfied with the answer given in writing by the Council of State. Now that it is said by the Council of State that this is in the public interest, will the Council of State also confirm that it is in the public interest to have patients treated as best as possible and that the private healthcare providers offer an essential service also to the public health service, which is their order? Let me give you an example: private x-ray institutions, which provide their services exclusively on request from regional health care companies, are now saying that they cannot do their work in a safe and rational way because of the new rules, which means that in too many cases they have problems especially with long names and special letter combinations. Does the Council of State see that this is a problem that needs to be solved?
