ParlaMint-NO_2006-03-09-lower.ana.ud367e43	The representative Bent Höie will make a private bill.
ParlaMint-NO_2006-03-09-lower.ana.ud367e362	We perceive that this matter is largely about technical changes as well as some minor improvements to the scheme. We agree with that, with some comments, some reservations and some amendments. As we can see from our remarks, we would have wished that more of the management of this had been up to the parents, among others. by taking out the parental allowance for the first six weeks. We believe that parents themselves have to choose when and how they want to withdraw their respective quotas, and that politicians have to be less eager to rule. At the same time, we will express concern that an extension of rights will be a new burden for employers. It is already tough enough to be an employer in Norway, and a red-green government is not going to be much easier. With this, I would like to address the proposal on which the Committee on the Rules of Procedure is voting.
ParlaMint-NO_2006-03-09-lower.ana.ud367e376	The representative Ulf Erik Knudsen has taken up the proposal he referred to.
ParlaMint-NO_2006-03-09-lower.ana.ud367e379	The approach to much of what we address in this matter is simplification of legislation and better performance, and there are good principles when dealing with laws. So, there's always a lot of good in this. It is true, as the representative Gjul says, that almost the only – but not the only – batches disagree, is the extent to which newly-baked parents should have full choice as to how to withdraw the parental quota. It is on the right to maintain the Bondevik Government’s proposal that the feather quota be available for collection within the first six weeks, if the parents so wish. When I hear the argument of May Hansen that it is necessary for fathers to be alone with the child in order to get it done, it is a father vision that I must really say that I am almost offended by. We're not in the 1960s anymore, nor in the 1970s. Once it was such that fathers became a bit flattering in their eyes and sweat and warmth if they were to change diapers. It's not like that anymore. The fathers of today actually want to have the best relationship with their children. Today's fathers relate to children as naturally as mothers do. I am absolutely convinced that all, most fathers will be able to find out how best to find the best within each family the first weeks after the great thing has happened that you have had a child. When you say that the child's experience of this, i.e. the child's best, suggests that parents should be absolutely separate, I also have to wonder: What survey has been conducted among newborns to find out exactly how the child feels about the presence of one parent or another? Frankly, everyone who has children knows this is nonsense. The first weeks after a child is born, it's about creating peace and harmony, a good feeling in the house, a good vibration around the little child that's there. It's about giving room for the warming experience that it's for all parties to take in the experience of having children, and making it their own. No one should come and tell me that one should be able to make a norm in order to experience this separately, necessarily better than to experience it together. I think that in that case is a rather arrogant approach given all the parents involved. I want to get back to the topic in the previous case. When the driving role in gender equality, or in other important issues, is balanced against the best of the child, or in this context, it might as well be the best of the family, when is what most important? I have to say that this case really illustrates. This tastes of substitutive motives, with a significant emphasis due to gender equality, not to say a lot more weight than the question of the best interests of the child and the family. This is an expression of a guardianship in which the majority in this room believe that one should have an approach to how people should also in the very, very closeest and most durable relationships set up their lives. This promises very bad for family policy in the future. Another theme on which the Right is also concerned is the interests of the self-employed. At this crossroads, we accept the tightening up that it is proposed in the legislation on the feather quota in the case of self-employed workers only in the case of disease. We take note that the work in relation to the situation of the self-employed when you have a newborn is something we come back to. We hope that the consideration we have here will also be taken into account in this context.
ParlaMint-NO_2006-03-09-lower.ana.ud367e394	Parents have the primary responsibility for the growth of children, and it is important that society makes the best possible provision for them to be able to follow that responsibility in a good way. What it means, varies from family to family. Families are different and have different needs. In order to ensure the best possible growth conditions for children, flexible family policies are important. The proposals in Ot.prp. No 12 will provide families with simpler and more user-friendly legislation for maternity, childbirth and adoption benefits. This is a simplification that has been strongly requested, and I am pleased that the new government chose to join the proposal that was promoted by the Bondevik II government. The Ministry proposes that birth and adoption benefits should be designated as parental pension, not as birth and adoption benefits, which many have been living in today. The focus is on parents regardless of whether they are biological parents or adoptive parents, and that is good. The term «parent» underlines that the performance is intended for both father and mother. The linguistic change makes it clear that father and mother are equivalent caregivers for the child. The proposal would put an end to the time-accounting system in favour of more flexible and simpler rules for the graduated withdrawal of parental leave in combination with partial work. The purpose is to facilitate the collection of parental leave over a longer period of time, in accordance with a written agreement on part-time work. The withdrawal must be completed within three years of birth or taking care. With the new scheme, parents may, for example: choose to work one day a week and in addition receive birth pay. For others, it may be better to work several days a week and thus extend the leave for a longer period. In the new scheme, reduced working hours are agreed with the employer. It allows for individual adaptation, which benefits both the employee and the employer. Norway is at the top of the class in facilitating the conditions for newly-baked mothers. But it must not be a rest cushion. The community has stressed that both parents should be able to work and combine work and family life. The main intention of the proposal is that parents should be able to combine work and care as they wish, in dialogue with the employer. So to the point there's some disagreement about in the committee. The Ministry proposes to grant access to the spring quota during the first six weeks after birth or the adoption of care. The need for care can often be extra high in the first few weeks, and the proposal allows parents to be at home at the same time, with parental leave, during this period. There may be an increased need for care without the need for a medical report. The Christian People's Party believes that it is desirable that as many fathers as possible use this leave alone, but we want it to be a flexibility and an opening so that some families can assess the need for care so that they take leave at the same time in the beginning. Here one has to view this as a flexible family policy, but the Christian People's Party would like to support the intention that father who gets to be alone with children connects important ties with the child to later on. It is not either – or, but it is both a flexibility and an emphasis on the need for a father to have more time with the child when it is newborn. At the same time, it is proposed to limit the scope of the derogation for the parental quota only to cases where father is prevented from taking care of the child because of illness, and this is good. This rule change makes it visible that parents are equally committed whether you are a father or a mother. The Ministry also proposes to grant the right to holiday pay for maternity benefits. Today, maternity benefits do not pay holiday pay, and it is proposed that maternity benefits should be entitled to holiday allowances equivalent to sickness benefits. As today's rules are, the woman comes out less financially if she has maternity pay, than if she has sick pay during pregnancy, as many have been today. The scheme of maternity benefits is important for healthy pregnant women working in an environment that poses a risk to foetal development. For these women, today’s rules mean that they lose the entitlement to holiday pay for a relatively long period. It is not in line with the goal of being able to combine family life and work in a good way. That is why I am pleased that we are today likening maternity benefits to sickness benefits in terms of earning holiday money. I'm addressing the proposal that the Christian People's Party is included in the vote.
ParlaMint-NO_2006-03-09-lower.ana.ud367e417	The representative, Bjørg Tørresdal, has taken up the suggestion to which she was referring.
ParlaMint-NO_2006-03-09-lower.ana.ud367e421	The simplification of legislation and the increase in flexibility resulting from today's changes to the laws are mentioned earlier in the debate. On the centre side, we would like to stress that it is important to have a code that is easy to practice and, not least, that appears to be easily accessible to those who are going to use it. Today, we adopt changes that facilitate the situation of women who take out maternity benefits during pregnancy, by also giving entitlement to holiday money. It is important to ensure that women who work in an environment that is at risk of the foetus. The amendment of the law will ensure greater flexibility in relation to the withdrawal of parental leave, and we are pleased about that. The family quota was introduced to ensure that the child was given more time. Father and children would have time together, and Father would have a more active role in caring for the child in the early days. The solution entered by the minority today does not necessarily give the same gain. On the contrary, she can lead to a less active role for father in an important phase of growth than he would have had with the schemes that the majority advocate. The increase in flexibility to which the minority refers could thus weaken the very intention of the scheme. For the centre part, it is also an independent point that the spring quota increases the period of coexistence between parents and children. In any case, the minority solution will not give the same gain. I note that this is not a point on which the representative Thommes places emphasis. I'm also somewhat surprised that the Christian People's Party can stand behind a system that in many cases will lead to children getting a shorter period of their parenthood. One should believe the party had a goal that was the opposite.
ParlaMint-NO_2006-03-09-lower.ana.ud367e432	The proposals for a simpler legislation on pregnancy, childbirth and adoption provide for greater user-friendliness and flexibility for parents and facilitate equality in care responsibilities between father and mother. I am pleased that the Committee has largely joined these proposals and that there is such a great deal of consensus in the Chamber at this point. The change in the terms ‘paternity allowance’ and ‘adoption allowance’ to ‘paternity allowance’ underlines that the benefit is intended to be to the parents, regardless of whether it is adopted parents or biological parents. The change can raise awareness that the benefit is meant for both father and mother, and I hope that this can inspire parents to share the benefit period more equally than they actually do today. Amendment of the laws makes it more difficult to obtain derogations from the parental quota. This is consistent with the purpose of the spring quota and the responsibility of fathers as parents. It's only when dad's too sick to take care of the child that he's going to be able to transfer the father's allowance to his mother. At the same time, there will be more flexible rules for the withdrawal of the spring quota by allowing the spring quota to be included in a graduated withdrawal system in combination with partial work. The majority of the Committee did not agree with the proposal that the quota should be set at the same time as the mother during the first six weeks after birth. I support the majority's view on this. Such a change ensures that we do not weaken the intent of the quota that Father through the Grete Berget called “lovely coercion” would spend more time with the child as an independent caregiver. Father would be allowed to be a father on his own premises. During the first six weeks after birth, mother has an obligation to take out parental leave. In my opinion, a spring quota withdrawal during this period will give father a less independent role than when the spring quota is taken out later. The Time Account Scheme was an important innovation when it was introduced in 1994. However, the use of the Time Account Scheme has not been expected. In 2004 it was only 2.1 pst. by women and 1,1 pst. by the men who used the scheme. I hope and believe that simplifications can better meet the needs of parents. The conversion of the Time Account Scheme provides simpler and more flexible rules for parents wishing to start part-time work before the social benefit period is over. The changes are in accordance with the right to partial leave adopted by new labour law, and payments of parental leave are now to be extended in time when a written agreement has been reached with the employer on part-time work. The changes also facilitate the allocation of a graduated withdrawal between father and mother, and the aim is that simplifications can help more fathers withdraw from this quota.
ParlaMint-NO_2006-03-09-lower.ana.ud367e449	It's going to be line change.
ParlaMint-NO_2006-03-09-lower.ana.ud367e452	I would like to focus on the situation of the self-employed. It is apparent from the proposal that the Ministry is carrying out an investigation in the case of self-employed persons. In this case, the self-employed men may become, but when it comes to the problem, the various rights of self-employed women related to the pregnancy and birth situation may be equally important or more important. I would like to ask the Council of State where the work is. I assume that the element that we have in relation to the self-employed person in this case is also inserted into the matter that comes, so that you get an overall solution that is good. If not, it's actually a tightening up we're about to do today, and it's isolated not a particularly favorable starting point. So where does the matter stand? Is it going to say something about how long it will take, and you want to drag the theme of the day into a whole?
ParlaMint-NO_2006-03-09-lower.ana.ud367e459	What I can say is that the government is committed to ensuring entrepreneurs and business interests good conditions in order to combine professional careers and child care. We know there's been a lot of commitment in this field -- from all the games in the hall, I think -- over many years. But I also think we should be honest and say that this is not about a major political disagreement, but perhaps more about what we have had the opportunity to enter our budgets. As you can see, Olemic Thommessen's party, Right, has had ample opportunity to sort out these biases in the years that Right has been in the Bondevik II government. I hope there is some understanding that I can't say anything about how the budgetary process is going, but I want to point out what we say in the statement. I also take it very seriously that it is such a collapsing magnification that has said in many contexts that this has to be done. So here there's no political disagreement, but I think we have to be honest and say that it's more about what we can find space for in the annual budgets than about a real disagreement.
ParlaMint-NO_2006-03-09-lower.ana.ud367e464	I would like to ask the Council of State a question. This matter really surprises me a little bit, because I see the Council of State as quite innovative and modern and quite close to a social liberal thinking in family policy. But here I feel that you fall back very much on old-fashioned thinking that the state should decide how the family should feel. You make rules from an ideal family, but we know that families are so incredibly different, we know that the living conditions of people are so different. I have a friend who has been listening to the debate, and from now on I received a message. He is at home with mother and child and experiences the amazing community as it is. So I don't understand how a modern, innovative state council can agree that there should be a moral index finger to determine the ideal family. The fathers who really need this challenge are the ones who don't take out any leave at all, and not the ones who want to do it. A couple relationship can have major challenges related to a child now, and maybe it's right for someone to choose to be together.
ParlaMint-NO_2006-03-09-lower.ana.ud367e471	First, I want to thank you for the compliment from the representative Trine Skei Grande. It was nice. Then I want to say that I actually share a lot of the thoughts and values left in family policy. With regard to this point – and it may be that the representative from the Left is right – we cannot avoid recognising that we need to look at the actual situation after we have had a forced father's quota. We experienced a lot of resistance. We were met with the same kind of argument from the opposition the time we heard now, that this is an old-socialist policy. In the beginning, it was only 4 pst. That took out my dad's quota. Today it is a success. Almost 90 pst. chooses to withdraw the dad quota. I can see that there are many families that have great benefits from being together about it. The intention of a forced father's quota has just been to get the strong interaction between father and child. I believe that has been very successful. We are on the proposal that is on the table today. [[President clubs]] In the end – I'm going to give up, but I just want to say, of course, if families do this in an excellent way, the Labour Party and the other two parties will also review this. There's no problem. But there I think we're actually not yet.
ParlaMint-NO_2006-03-09-lower.ana.ud367e484	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-03-09-lower.ana.ud367e489	I was challenged by the representative Olemic Thommess – a violent commitment: I had talked about the «best of the child», and I was assigned part of Gunn Karin Gjul's recording. I have not talked about the best of the child in this debate. I did that in the previous debate. What I've said is that when we got a father's quota, the joke was with a father's quota that Dad was going to take it out alone. That was the background for the feather quota. Now that we're expanding our father's quota, it's for the family's total leave to be extended. That's what I said. It is not desirable to shorten the period of leave. When you see your child’s needs, it’s like having children’s kindergartens around the age of one. In fact, the expansion we are now making of the family quota means that the family can share the leave and be at home with the child can have a care situation in kindergarten. So Dad has the right to leave the first 14 days after birth. Some employers do not pay leave for 14 days after birth. That's what we think is quite objectionable. We want to pressure employers to take on the responsibilities of employers in relation to fathers' right to leave after birth. If you grant Dad's quota for the first six weeks, Dad will lose 14 days. So with the expansion that the previous government did, and the expansion that we've said we're going to promote later, the 14 days that we've now given extra to Dad will be eaten up. It is clear that this is a policy on gender equality. It's been the whole time. We've always said a lot about that, both in position and in opposition. But this is, of course, an equal opportunities policy measure for father's rights. I am quite impressed with the fathers today who are largely using the quota, and who are also largely sharing the rest of the parental pen.
ParlaMint-NO_2006-03-09-lower.ana.ud367e500	The Christian People's Party has been a proponent of increasing the father's quota. The Christian People's Party has programmed increased paper issue. There has been an important family policy action, not only for reasons of equality but above all for the sake of the child, for the purpose of the relationship between father and child and for the sake of future care and good and close contact between father and child. The Christian People's Party is in no doubt that it is important for Dad to spend a lot of time with his child in relation to his father's quota and all the way in the first few months and be allowed to take responsibility alone. The main purpose of this is to strengthen the child’s bond for the entire growth. The Christian People's Party agrees that for the vast majority of fathers and families, the father's allowance should extend the leave, not shorten it. But sometimes, in some families, there may be a need to reinforce the fact that both parents are at home. Families are different, and there may be some who make the choice to reinforce and take time at the expense of extension. I believe that most of the families with young children think it's good with long leave and want to take it out as intended with the father's quota. The birth rate is primarily for the child, secondary to the family, and the families are different. I'm pleased to see the extension of the father's quota. I believe – and that’s the most important thing about the father’s quota – that it provides a basis for fathers to choose to be home when the child is a baby and needs fathers to be at home with them, and for father to be more with the child in the rest of their childhood.
ParlaMint-NO_2006-03-09-lower.ana.ud367e509	It was the intervention of the representative Olemic Thommessen that made it necessary for me to take the floor again. I note that there is a significant difference of opinion between the former government partners Right and Christian People's Party on the issue of father's quota and emphasis on whether it is at all important that father is at home alone with his young child or not. If I have understood Thommes' representative correctly, he doesn't actually think it's so terribly important that Dad is at home alone with the child, that it doesn't matter that Dad takes out a larger part of the leave. Then I just have to admit that I think the representative Thommess has not understood the point. He has not understood how modern men think. Modern fathers, today's young fathers of 30 years, want to take a greater share of care for their children. They want to be more at home with their children. In fact, they want their mother to be gone when they are at home and take responsibility for their children. Because that's actually how we mothers are, as long as we're home, we take over control and don't let dad go to more than he needs. That's the way it is today. It is only when Father is allowed to drive alone at home, that he really gets to eat with the little one and be cared for – and take care of him alone – for the child. So the representative Thommessen asks whether there is a conflict between equality and children's needs. In this case I believe that it goes hand in hand. Because there is one thing that is certain of our experience – we who grew up 30-40 years ago – is that absent fathers are poor equality policies, and that is bad for the child. I hope someday the father quota can be superfluous. For the goal must be that we do not have to have a spring quota. The goal must be that mother and father share so much of the leave between themselves that it becomes more equal, so that the spring quota is actually not necessary in length.
ParlaMint-NO_2006-03-09-lower.ana.ud367e519	I think that's the representative, Gjul, who didn't quite get the point. It is not that the Right feels that it is not important for a father to be alone with the child. It's probably positive that Dad is alone with the baby – that's good. But it's actually not so important that we decide. When the representative Gjul says that modern fathers want yours or daughter, and wants to be alone with the child, she takes her mouth too full, for she cannot speak on behalf of all modern fathers. But she does so in confidence that the socialist parties, in line with the way you think about it, set up a template for what's best, and then everyone should be so good at what's right in their heads. Fortunately, that's not the right starting point. The right point is that the best solution is where you decide, that those who are in the situation have an opportunity to decide for yourself. To the representative of May Hansen, I would like to say that when I was so easy to tell her to talk about the «best of the child», it is a bit linked to the comments. There is the «child’s need» that has been addressed. Now I understand that the disagreement between the government parties in this case is quite great. We're used to the last period that in the Right, as a government party, we often had to find ourselves in answering for what the Christian People's Party and the Left meant. I understand that's not the case with the constellation of the day, and we're told that we have to argue in free play with each of the three parties. Otherwise I find it striking to notice that the representative Hansen is quite clear that it is not the best thing for the child to talk about, this is an equality matter. She clearly said that. The main aim is to strengthen equality through this instrument and to press employers. Equality is important, and it may be timely to press employers, but for the Right, it is now the best thing for the child to do that is the overall consideration that should be at the heart of all aspects – and I mean in every context – where the child is involved. And the closest we can come to know what's best for the child in this context is what's best for the family. It is the family that is the framework of the child’s life, and this must take precedence over the need to push employers or promote gender equality on a more fundamental basis – and on behalf of many people who are not allowed to express how they themselves achieve equality. It's an outdated view of men from whom I take a great distance, and it's striking that it just comes from these teams.
ParlaMint-NO_2006-03-09-lower.ana.ud367e536	The representative of May Hansen gets the floor for a brief comment, limited to 1 minute.
ParlaMint-NO_2006-03-09-lower.ana.ud367e539	There should be no doubt in this room that the child's needs and best interests are the background for us in the Socialist Left Party to believe that children should be allowed to be with their fathers. The attack on me was that I had used the «best of the child» in the cabin and torment in my post. I did not use that expression at all, I said that according to the child's needs, we believe that this is important. If the representative Olemic Thommes had been concerned with fathers, fathers' rights, children's needs and children's best, he would have helped push employers to pay fathers the first 14 days after birth. He hasn't been into that. I have great respect for modern men, and the modern man tells me, is that they want to take greater responsibility for their children and have their own rights in relation to postnatal leave. And that's what this is all about. We're also saying that we're limiting the possibility of transferring parental allowances to mother. Why would the Right agree to that?
ParlaMint-NO_2006-03-09-lower.ana.ud367e546	Olemic Thommessen gets the word for a short note, limited to 1 minute.
ParlaMint-NO_2006-03-09-lower.ana.ud367e549	I take note of May Hansen's corrections. It is true, as she says, that the comments say ‘the child’s needs’ and not ‘the child’s best’. That's how I like to eat it in my mouth. But when it comes to the issue of respect for today's men, I notice that the way SV – because you have to take one party now below – wants to express respect for today's men is to say that they are not mature and do not have the ability to decide for themselves when to withdraw the quota. It's hard to understand that there's a good way to express respect.
ParlaMint-NO_2006-03-09-lower.ana.ud367e556	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 163]]
ParlaMint-NO_2006-03-09-lower.ana.ud367e572	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-03-09-lower.ana.ud367e579	This case is a case that is over from the Bondevik II administration, but there is a broad consensus about it, which I as the case-rapporteur am very pleased about. It is an important matter, whether or not it may seem insignificant within the regulatory framework. The funny thing is that there's a little bit different reason why it's important, from the different parties. The main emphasis of most people is probably in both a school policy justification and a social policy justification. The main reason for social policy is to have a fair, consistent system for all. School policy is behind the Stortinget as a whole, so all the parties want the training obligation to be met, so that we ensure that all children get a good schooling. The disagreement relating to the argument is whether this is an instrument of coercion. The hearing bodies have different approaches to it. I just want to drag the lines back to the first post I made today, about the instruments related to forced marriage, where I said that the best way to combat forced marriage is safe young people who are ready for their choices. Safe young people who are clear and safe in their choices are often also young people who have received a school, a training, an education that enables them to make the choices properly. So you could say that this is an indirect effect, related to coercion. There is a certain discussion in the case, and the hearing bodies were also engaged in the reporting obligation that we here impose on the school. I have a personal commitment to this, so I'd like to spend some time on it. Today, there are very few systems that actually register children. Today it is such that children can so say disappear from the surface of the earth without any public authorities noticing it. Some schools, e.g. in Oslo, the inner east, which has had a large proportion of minority-speaking students, i.e. a large proportion of students who have attended school in different countries, to put it simply, have developed very good practice on this. They have developed good systems, which also mark the disappearance of young people and good warning procedures, as the Committee has also noted in its comments. This is something you should take further and see if it can also be transferred to other municipalities. The reporting obligation may be exercised in many different ways. Some are afraid that this can be shaken by the trust between school and student. It depends entirely on how the reporting obligation is exercised. For me, who has traveled a lot around the school world in this city, it is clear that, for example. A school like Tøjen, which follows its students quite accurately, follows up so closely that it happens that the teacher also knocks on the door of the family and asks: Does the child now go to school somewhere else, or is the child at home? That means they use the entire spectrum they have on a legal basis, which is all the way to the door. It's perfectly okay for a teacher to knock on a door, he can't demand to come in, but he has absolutely legitimate permission to knock on the door and ask where the child is. And such an exercise as is seen to have been built up in the inner eastern schools of Oslo is the exercise of the reporting obligation and control that I believe expresses a proper attitude towards actually managing children's rights, and that you actually have the opportunity to discover it the day the children disappear. Now it is not that the Committee is in any way critical of children staying abroad in parts of their growth. Multilingual competence and multicultural competence is a competence that we need to maintain; it is important in future societies. I believe that the vast majority of children who grow up in future Norway will deal with multilingualism and multicultural backgrounds in different ways. That's why it's just a force. Therefore, it is also important in this case to follow and look at the effects of this tightening on this whole field, where it is both about the opportunities of ethnic Norwegian children to be abroad for a few years and the opportunities for children who have a different cultural background to be abroad for a few years. I recommend the setting, which is unanimous.
ParlaMint-NO_2006-03-09-lower.ana.ud367e605	The current attitude involves the introduction of reporting obligations for schools in relation to the absence of pupils from primary school education and a tightening of current rules on the payment of child benefit if the child is living abroad for more than half a year, against today, when the payment stops after one year. The Labour Party welcomes these changes on the basis of school policy and social policy considerations. For the Workers' Party, school policy has been a cornerstone in the development of the welfare state. Through a general and democratically organized school, we have wanted to ensure equal opportunities for developing skills and facilities. Over all years, we have seen it as a value in itself to develop the Community School in which the sons and daughters of the director and the industrial worker are to meet and integrate socially and thus be equipped to meet society in an equivalent way. In this way, our school system has helped to give children from different social groups the same opportunities to be equipped to participate in society in different contexts. Under the training obligation, children growing up in Norway shall be guaranteed the right to training that provides them with the requisite ballast for equivalent participation in the Norwegian community. The Labour Party is concerned that schools report children who are absent from school for longer stays abroad. The Workers' Party is concerned not only about a school point of view, where important and necessary education is lost, but perhaps most of all because children are deprived of fundamental rights, rights which are just about to give them the start that is essential to further developing skills and facilities and thus to be able to participate fully in society. The purpose of family allowances is to contribute to the cost of child care, and the level and extent have been assessed on the basis of the cost of growing up in Norway and the contribution of the community to this end. If children are outside the country’s borders, it is not unreasonable for the Workers’ Party to lose child welfare after six months. It is from such reasoning — school policy and social policy — that we support the proposal to introduce a reporting obligation for schools in case of suspicion of school absence in case of long-term stay abroad. We do not consider it reasonable to impose a reporting obligation on high school since the obligation to train is limited to primary school. I also find it necessary to link a few comments to some of the reasons for the changes proposed by the Bondevik government through Ot.prp. No 13th@item: We share the school policy and social policy reasons that are being done here, but we do not find that we can join in the reason that these are measures to prevent forced marriage. In this way, we share the scepticism of many of the hearing bodies, and several of their opinions that one has to approach this problem in a different way. And in this way, we refer to the important work that the Council of State is doing to get a real picture of the extent of coercion and, in this context, to provide targeted measures that should be more accurate.
ParlaMint-NO_2006-03-09-lower.ana.ud367e622	The progress party joins the main features of Ot.prp. No 13 on the law on amendments to the Child Welfare Act, etc. As demonstrated by the debate in Stortinget earlier today, the Progress Party is very committed to preventing coercion. Document No The 8th proposal from the Progress Party, which was before us today, is just one of many proposals that we have put forward in this area. Of course, it is nice that Norwegian young people get into the world and take education. This strengthens our competitiveness in the globalised economy. However, this applies in the first series of Norwegian youth who have completed high school, young adults such as young people. undertakes economic training in the United States, marketing training in Australia or medical studies in Germany. This is positive for Norway as a nation. However, it is not positive to send small children to fundamentalist Muslim schools in the home country of immigrant parents. This is negative for three reasons: 1st@item: inlistbox It continues the anti-Western, undemocratic and anti-woman attitudes of fundamentalist Islam.2. It is the exposure to pregnancy.3. It gives poorer understanding of Norwegian language and society. The Progress Party believes it is obvious that participation in education in Norway is important for minority-speaking children and the integration of young people into Norwegian society. When you are required to report schools to the social security office in case of absences that may be due to stay abroad, we believe that this may help us to stop some of the negative developments in the sending of children more or less forced out of the country. But we're convinced that this must apply to all schools where the students are under 18, not just the primary school, as the majority have suggested. Some of the groups such as: Most vulnerable to forced marriages are those 16 and 17 years of age, when pressure is increasing. We are deeply disappointed that the majority is failing these young people, where perhaps clear and clear decisions and concrete action are most important. However, this reflects how problems related to the immigrant group are handled in Norway: there is talk, it is seen, it is investigated, it is researched, and it is monitored, but little or nothing is done. One is terrified of trotting Muslim environments on toes, and then often the things you put up to become a blow in the air. We have noticed in the hearings that some of the hearing bodies are concerned about the relationship of trust between home and school. Confidence is clearly an important factor between school and home, but the safety and safety of children are more important for the Progress Party.
ParlaMint-NO_2006-03-09-lower.ana.ud367e651	Many good principles have been discussed in this matter. I think this room might also have to ask: how are we dealing with instrumental legislation? So we're talking about a social security rule, a social security rule that obviously has to apply to all Norwegian citizens, whether they're blonde and blue-eyed or brown-eyed and dark. We're talking about a rule that's well-founded as a social security rule. There is no need for any other motivation, either for school policy, for immigration policy or for coercion, to adopt this provision. It's good on its own. I feel that it's a little important to mention it, because many of the posts have been about completely different things, excellent and important things, and I'll also talk a little bit about them. But it's not that we can start to imagine that we're bringing together social security legislation because it's going to serve all sorts of purposes other than social security policy. The order of things must be in order, if we are not on dangerous roads, on very wild roads, in the thinking around legislation. Right and I also think that the legal certainty of this is important. It is linked to the fact that the legal certainty of children as such is an important topic, and we have few links in our law and in our practical arrangement of society that, I say, automatically alerts children's difficulties. We have systems in schools, of course, where concerns are to be reported – there is something. But I think it's important to see the context, see if you shouldn't go inside and strengthen children's legal certainty, see how this can be done better. I think the Oslo Schools approach to this, where absenteeism from school makes you not only report to social security, but also to the police and, I think, to child protection, is a good routine. It doesn't suspect anyone, but it does make the children who need it actually see, and it's very, very important. Unfortunately, we know many examples of Norwegian children moving abroad. This does not apply only to immigrant children. We know from the previous period of ageing debates around Norwegian children in Spain, children who lived under very difficult circumstances, where there was a connection between the auxiliaries in Spain, Norwegian auxiliaries with Spain and the opportunities of the school authorities to deal with the different types of schools down there in relation to school here, certainly a conspiracy of difficulties, which I am not so sure if we got to the bottom of. It is just as important to me as the more immigration policy issues that have been used to justify what we are now talking about. I also agree that going to school in Norway is an important integration area, and we will work to strengthen it. In this sense, there is a positive effect of this provision: it's obvious that when you take away your social security, your children reappear. I think you have experience in school. But that is not the real reason why this rule was adopted, and it says this – the representative Knudsen was involved in it himself – a little in connection with that document. The 8-proposal that was discussed in the Stortinget earlier today, which would therefore use marriage law as an instrument in relation to coercion as a topic. It's not an easy question to deal with, in principle, across the board, but I think it's important here, in order to say it a little popular, to separate the snares and the bars when you're working on legislation, so that you always know what's the main point and the basis of the rules you're agreeing to. Right supports setting.
ParlaMint-NO_2006-03-09-lower.ana.ud367e664	The President accepts popular expressions.
ParlaMint-NO_2006-03-09-lower.ana.ud367e667	The changes in the Child Welfare Act now make it possible for schools to have a reporting obligation to the social security office when children and young people have a long absence in addition to normal holidays due to stays abroad. The home of such a obligation to notify is included in the Law on Social Security. It is for practical reasons that the basis for reporting obligations is added to the People's Security Act. This means that messages given to the organs of the social security system will be for general use and not limited only to child care. The social security system will also be able to use messages for control in relation to benefits under the Social Security Act. Children’s benefit recipients under the applicable law are obliged to report abroad in addition to regular vacation stays, but the social security scheme does not always comply with this obligation to notify, and as a result, payment of child benefits may be made in error. Today’s legislation does not provide an opportunity to impose a mandatory obligation on schools if children and young people stay away from school for a longer period of time. This is why it is important to bring about legislative changes and take action that can help with the provision of training, which is very important for the integration of minority-speaking children into Norwegian society. It should be up to the schools and schools in each municipality to find out how the reporting obligation can best be met and organised. It is important to provide effective procedures for prompt notification to the social security system of absence, so that the establishment can assess the right to family and other social security benefits and whether they have been properly paid. It is important to develop procedures to prevent mispayments. It is important to point out that the change is made mainly on the basis of school policy and social policy grounds. The training obligation must be followed up by the school authorities. The reporting obligation does not apply to secondary schools, since they are not covered by the training obligation. However, children have disappeared from schools without the authorities knowing where they are, and this is also happening in high school. Oslo Municipality has developed procedures to register this. It is positive that there is an overall committee behind the comment to ask the Government to consider appropriate measures against this group. As the Socialist Left Party sees it, we share the doubts of the hearing bodies that there are some appropriate measures to combat coercion. The Socialist Left believes that other instruments and crisis measures need to be taken to address this problem. This government will come back specifically through a new foreign law during 2006. Finally, it is important for the Socialist Left to point out that being able to attend school abroad can enrich children and young people and provide cultural and linguistic benefits and understanding for their cultural and ethnic backgrounds. We live in a globalized world where knowledge of language will be an important factor in being able to cope. It is important that the Ministry carry out an evaluation to identify any unintended negative consequences of this change.
