ParlaMint-NO_2006-12-07-2.ana.ud1908e30	and
ParlaMint-NO_2006-12-07-2.ana.ud1908e539	First of all, if, at a time when we have permanent production in place in Central Norway, which is absolutely necessary to get in place, Statnett comes to the conclusion that the mobile gas power plants will no longer be needed, they will be completely negotiable. Even the costs of renting during this period may be higher than the cost of selling them afterwards. There's a little bit left to see, there's a little bit ahead of you. But of course that possibility is present. I'm going to try to answer some of the things that have been raised, starting with the question from Børge Burnde in relation to the industrial power regime and the work going on there. There is no reason to hide that there is a demanding job. I've also given expression to many times. The EEA Agreement limits what kind of space of action we have in relation to that work. The competitive situation of the industry is not a curious problem. This is why the EU has also launched a work to be completed in the spring of 2007. I have had many conversations with industry and with the workers around this relationship, and most, including the undersigned, are of the opinion that it makes sense to wait for the work that the EU is now doing, to see how far it is possible to co-operate with the Norwegian system that we are working with, the one that the EU is coming to. I have also had close contact with both the European Commissioner for Energy and several of my colleagues on this subject. Then it is also the case that the contracts entered into under St.prp. No 52 for 1998-99, has a clause which implies that some of these are problematic. We now go to ESA to talk to ESA about whether it can be possible to change those contracts, so that they will be adequate in relation to the needs of the industry. In the case of Elkem Bjälvfossen, we have been in close dialogue with them. And Elkem Bjélvfossen did what I asked. We had close contact over the winter and discussed the framework conditions for the Bjälvfossen, but it was not possible to arrive at a system that would be satisfactory for that company overall. What we have done, on the other hand, is that we have entered into close cooperation with the Ministry of Economic Affairs, Trade and Industry, the Ministry of Local and Regional Affairs and the Ministry of Oil and Energy, in order to get to the conversion project that Elkem is working on, which is a good conversion project in this area, and which also has full integration from the workforce. The time doesn't allow me to get answers to so many questions. But in any case, to answer Ketil Solvik-Olsen's question about Mongstad: The government will come back to the Stortinget with a review of the Mongstad project in spring 2007, including the budgetary effects. However, it must not be forgotten that the Mongstad project is a project that will progress far in time and will be implemented in several phases. It also implies that the Stortinget will be presented in several stages.
ParlaMint-NO_2006-12-07-2.ana.ud1908e552	Only a few words to conclude in the debate, and first of all to the gas pipeline to Grenland, which has been mentioned a few times now. I want to underline one thing, and that is that we are in a phase now where Gassco, the company that this hall among others. have asked for further consideration of the issue, putting the last hand on the work with regard to the closure phase in order to move towards a pre-projection. So there are now negotiations on ownership and gas volumes in the further work. Gassco, after what I have heard, has an ambition to conclude on this work on December 15. So the government has now decided to deal with the process that Gassco outlines. And I want to stress that it comes after a recommendation from Gassco, which may be the best professional community not only in Norway, but in Europe on that particular topic. I think it's quite valuable to focus on that process. So the Council of State really says that he's clear just these clarifications have taken place. It makes me pretty safe, as well as being a total mass that really wants the same thing. So the Christian People's Party representative played a little game that there was a difference in the comments here. When I read it, maybe for the third and fourth times, I don't find any difference in principle. We want the same thing in this room, and we actually have the same use of words in the notes. We might have spent time unifying ourselves in front of this debate, but we haven't, and it's a majority and a minority. I am quite certain that the majority is clear and clear about what it wants, among other things. by following up the Soria Moria Declaration, which clearly underlines that the State is going into the financing side. It's reassuring. So to something that the representative Torbjørn Andersen took up, and that concerns the Energy Act, which the government parties have clearly announced that one should have a review of. One really doesn't want so many changes until one has been evaluated and got the picture complete. But the representative Andersen points out something of the essence. He says it has become a serious problem that the law has not contributed to investment. Nevertheless, they will not evaluate the law, nor will they recognize that it is perhaps the market that is the reason why it is not being invested. Similarly, he says that the CO2 interference to which this government is now adding up is helping to stop the gas power projects. Then I want to underline one thing, and that is that Andersen's opinion must be based on errors, because it has never been promoted as many interesting projects on gas power plants with CO2 management as in the last few months.
ParlaMint-NO_2006-12-07-2.ana.ud1908e569	It was with wonder that I heard this evening the second article by the representative Børge Brende, and that he actually gave so much attention to entering the industrial power regime. The representative, Mr. Børge Brende, could consider the case in relation to the Right's past. I know it very well. It was in the last period, and the Right had the Minister of Energy. Time and again, questions were raised about industrial power contracts in Norway, their importance and their development. What was the Right answer at that time? We don't do anything about this, it just has to go its own way. That was the answer from the Right – no doubt about it. Then we had the goal of taking on this work as soon as we got into the government position. So let's do that. The work isn't over, we see what difficulties we have, but we try, because we see the importance of getting it in place. But then Børge Burnde comes up and says, incredulously almost, yes, the industrial power regime, we have to do that, and we have not done that before, but it was remarkable that we should not have it now! The right answer was before: we don't take that at all; it gets to sail its own sea. So Børge Brende is calling for an action plan – and we are going to bring it – for the power situation in central Norway. Where was the Right in the four years of the Action Plan? We have started the Kårstø facilities, we have completed a negotiation with Mongstad, we are in the process of the Tjeldbergodden and Skogn. Nothing happens, says the representative Børge Burnde from the Right, nothing happens, where is the gas pipe? Does Børge Burnde think that we should start rolling it out the day after the election last harvest? Nothing's happening! After all, we have one investigation after another in order to have the best possible basis for decision-making, and we have the political basis for decision-making. [[Laughter]] I must almost go down and sit down! I ask, what world is Børge Brende operating in?
ParlaMint-NO_2006-12-07-2.ana.ud1908e581	The right did not go into the last election campaign and promised Norwegian industry, as today's Prime Minister did, lower power prices to the industry. The right did not indicate before the 2005 elections that there is a large legal space that can be fully exploited to establish a new industrial power regime. The right did not show in its comments before the elections last year that ‘although a scheme might contain illegal aid elements, there is a possibility’. Now I quote from the notes to today's three government parties. In fact, the right, as requested by the representative Nordtun, responded exactly in the same way as today’s oil and energy ministers, in today’s debate, where the Council of State, Mr Enoxen, asserts that there is ‘no reason to hide that there is a demanding work’. I think I quote the State Council of Enoxen correctly: ‘The EEA Agreement sets limits.’ What the representative Burnde did was, I suppose, to ask: where is the matter? It's a rather important question, because we got a government shift quite simply for the good reason that the 40-50 communities in the country that are based on one-sided industrial operations and on the operations around the process industry, saying that this was so easy to put in place that a new government would immediately grasp this. Blank guarantees were issued – a red-green government was put in place, and we will fix this in the afternoon. Then it must be allowed to ask questions, when we are in government year 2, where does the matter become that it would take some afternoon hours to get in place? In addition, the representative Ola Borten Moe showed that, in the previous period, in particular when Børge Brende was Minister for the Environment, there was a rather aggressive and conflicty approach to the concept of nature protection, national parks, etc., with reference to Trillemarka. It seemed very interesting to me to register as a playoff from Borten Moe. What the previous government put in place was a protection proposal, which was adopted on the initiative of Børge Brende, which now consists of 43 km2. You are now fighting to go up to, as landowners and municipalities suggest, 100 km2, and we know that the directorate is now proposing 147 km2. Can we interpret the representative Borten Moe so that there will be no conflict if you go back to 43 km2, or should you go up to 147 km2 without any conflict?
ParlaMint-NO_2006-12-07-2.ana.ud1908e605	I think it's a little strange when I listen to the representative from the Christian People's Party, Holten Hämdal, and the representative from the Right, Kristiansen, and when I read in the various local media and in the nations how Gunnar Gunnersen stands and grumbles about the fantastic protection policy and predatory policy that the two current parties stand for. Then it's a little bit important to look at the story. Who was the father of predatory politics? It was Børge Brende. Who was it that pulled the case through in Stortinget? Well, it was the Christian People's Party with the case rapporteur who went through the matter in the Storting, without respect for local democracy, without respect for the local processes. And who was the one who hit his chest the last time that he was so powerful in terms of protection? Well, it was Børge Brende, who took advantage of someone driving a protective case after a protective case. And the Christian People's Party backed up on that. Who deprived owners of rights without providing tax relief for good compensation? Yes, it was the previous government. And this government is correcting it, by not taxing voluntary protection. We provide voluntary protection, we facilitate good processes between landowners and states, and we reverse the tax austerity that the previous government did to create better and more locally anchored processes that don't create so much local resistance. At least I think in the name of honesty it's strange that a representative from the previous government parties beat their chests to create good protection processes locally, when they made it economically less favourable to be on the team, while this government has made it more beneficial to be on the team in relation to protection processes and get good, local protection processes without having to resort to bad solutions down on people's heads.
ParlaMint-NO_2006-12-07-2.ana.ud1908e614	At the end of this budget debate, let me thank the Committee for a good cooperation, especially with regard to the position on the budget of the Ministry of the Interior. The Ministry of the Environment's budget has not received much attention in this Chamber today. I think it's because it's really quite eye-catching in the sense that we have a lot of things that a collective committee is behind. I just want to mention some of them. There is an overall committee that underlines the value of voluntary environmental work. It is also – believe it or not – an overall committee that writes that climate change is probably the biggest challenge facing the world. There is also an overall committee that agrees with the ambitious goal of ending species eradication by 2010. Furthermore, there is an overall committee that underlines the importance of the work done by the Art Database, which we have been shown in the last two days through the presentation of the Red List. There is also an overall committee that is pleased with the work being done by the Directorate for Nature Management to follow up this work on the endangered species. We have put in place concrete action plans relating to individual species, for example, which we have already put in place, action plan to take care of estuary, damfrog, red forest and mountain reefs. We continue to work with, among others. Dwarf goose and large salamander. There is also an overall committee that calls for a power cap for more care and better management of our protection areas. It's an important job, and it's important to do it much better than you've done in previous years. It's also an overall committee that's concerned that we're going to take care of our world heritage areas better than we've been able to do at this point. An overall committee further writes that the need to increase efforts to combat Gyrodactylus salaris — this salmon-infecting parasite — is important. It is an important environmental battle, but it can be won, even if the needs are great. An overall committee is also concerned about saving the mountain reefs and wants an increased effort for it. An overall committee also agrees on liming, and there is an overall committee that is behind the effort we are making to help save wild rain and manage this amazing species of animal we have in Norwegian nature, in a good way. There is also a broad consensus on much of what goes on in waste, and there is a broad consensus that it is important that we get clean-up measures for contaminated land. I haven't brought everything yet. There are several areas, but I'm not reaching anymore. Let me just say that the position that this committee has taken in the field of the environment is a good tool for the Minister for the Environment in the work she is going to continue with us in order to return to Norway as an environmental policy country.
ParlaMint-NO_2006-12-07-2.ana.ud1908e633	I registered with great concern that the State Council, Odd Roger Enoksen, did not come up with a single word about this with gas pipes for Grenland. It was only on questions from Torbjørn Andersen that the theme was mentioned. Then the council said there was no reason to doubt the gas pipe. I have to say that we actually didn't sow doubt, but point out the actual conditions. And the fact is, the Workers' Party in the opposition has promised NOK 3 billion to the gas pipe. 100 000 people in Grenland don't forget that. And the government has so far not delivered anything concrete. The facts are also that the Workers' Party has promised that the gas pipeline will come, but the Council of State has not yet stood up and guaranteed it. He didn't say yes, the gas pipe is coming. So far the answer is plans and processes. When the representative of Terje Aasland is standing here on the platform and comes up with a lot of diplomatic ideas in relation to the fact that we all believe the same thing, I am becoming a top-notch listener, because it is quite different from the Terje Aasland who in the election campaign seemed to be in a rather different way. He actually did that in his first post here today, when he characterized one of his co-workers. I'm not going to repeat the characteristics, just tell the representative Aasland that one should be careful to throw stones when sitting in glasshouses. Then I remember again all the promises from the Workers' Party in opposition, about NOK 3 billion on the table – an election campaign where it was said that the gas pipeline would come, only we would get a new government. The height of the drop is high and the expectations are high. Now the government has to deliver that gas pipe to Grenland, because so far the Workers' Party and the Government actually have a credibility problem.
ParlaMint-NO_2006-12-07-2.ana.ud1908e646	I expect the evening and the end of this year's cape struggle in «environmental resistance». But anyway – it is tempting to sign up here. The first one I'm going to draw attention to is the representative Ola Borten Moe. I registered that in February he had a good suggestion of increased wreckage on older vehicles to get them out of the system, because they were environmentally polluting. The next thing that happened then, of course, was that this seemed the Workers' Party and SV was a good suggestion, and they supported it. So it was in February. There is no such proposal today. Policy may have changed. Several months have passed from February to now, and, as I said, policies are changing rapidly and efficiently. It is also a fact that what the representative Borten Moe was for in February promoted the Progress Party in the financial position, without any special support from the Centre Party and those who were positive about it in February. Another thing that is being discussed is the conversion of car charges. It is quite a pleasure to note that we are now bringing up the diesel car in Norway. They're doing the trick now, and they should be everybody's. We're raising one diesel car after another, while we're seeing that maybe the part of the world that's most concerned with the environment, California, prohibits the cars that we run up and say we have to have a lot of them here. Of course, it may be that in our wisdom we have understood things they have not understood on the other side of the ocean, but it is also true that California, in particular, has been a global forum for taking environmental and environmental responsibility seriously. So what's illegal there is the best thing in our class. There might be a logic here, but it's not that good to see. So to another important topic: industrial power regime. I registered that the council said a few words about it. I also record that the old government parties defend their – what to say – well-being from the previous period in this way, but there is no doubt that they have been under strong pressure from the then opposition in relation to addressing this. I guess that's also how the power of action is a key. Then I expect the Danish State Council to have this high on the block, to take it up and to be active towards the EU in finding a regime that we can live with and that can take care of the powerful industry in the country as well. It is then a little worrying to note, as one of the major newspapers showed, that there are three major meetings in the EU where our oil and energy minister has not found it timely to be present. But there's probably a good reason for that, too, in line with the lack of support for wreckage.
ParlaMint-NO_2006-12-07-2.ana.ud1908e658	The representative Andersen has spoken twice before and gets the word to a short comment, limited to one minute.
ParlaMint-NO_2006-12-07-2.ana.ud1908e661	The representative of Terje Aasland, the Workers' Party, gave me a visit on my post where I came into the Energy Act and the changes and evaluations that the Government has told it to come into that area. Let it be clear that as we see it in the Progress Party, the Energy Act was right. It has had many good effects. Today, the Nordic electricity market is the only international, functioning electricity market in the world. This shows that the intentions of the Energy Act are good. And, as I tried to say, the law has worked on the offer page. When the law has had the negative side effect that it's not built out enough capacity, it's not primarily the cause of the Energy Act. The blame must be on politicians from among others. The Labour Party, from which Terje Aasland comes, take for themselves, because they have, as I have pointed out, repeatedly entered and voted down or halved a good force project. In the last year, 4 TWh has been voted down by these parties.
ParlaMint-NO_2006-12-07-2.ana.ud1908e668	This time I will start with Kari Lise Holmberg's question, so we are absolutely sure that it will be answered. As an experienced government party, the Right is of course fully aware that such large and complex projects as this must be through a significant process before the Government takes its position on them. Gassco is at the end of the work they are doing with the commercial operators who are going to use this pipe, and will present the result of that work before Christmas. Immediately afterwards, the government will take this matter under consideration. In the Soria Moria Declaration, we have established – and it is a broad majority behind – that this pipe should also be realized with state participation. As soon as the outcome of Gassco's work on the relevant actors is available, we will finalise this matter in the Government. This is a project that will take considerable time during the implementation phase. We're going to try to make it as short as possible, but it's also a big project implementing when we think about the investments to be made. To Ivar Kristiansen I would say: let it be clear that there is a room for action for industrial power. We have put in a considerable effort to clarify that space of action. The government's ambition is to establish such an industrial power regime. However, both the industry and the actors working there feel that it would certainly be appropriate for us to put this as closely up to the work that the EU is now doing. So that's one of the reasons why we're different from what's going on in the European Union, not that we've iced this up in some way. Let me conclude by saying that there have been periods of high temperature in this debate, and we like to focus a little bit on both sides. We are talking about demanding things like power balance, renewable energy investment, the situation in central Norway, development and infrastructure for gas – which I have now been faced with – and not least the climate challenge of CO2 management. These are major challenges. I have been asked earlier today whether there was a willingness in the government parties to cooperate on these issues. Yes, it is, although it may have not exactly worked that way in my previous posts. But let's be clear: we're set to listen to good recordings that come, also from the opposition, and my door is open, also for the opposition, in relation to accepting recordings and ideas that have to come, also in this room, of course. It was just supposed to be missing. Fire has used the term Enoxen’s breakup several times. Yes, I will admit that I have taken one lesson. I have had big, complex issues for treatment in my department, many of them at the same time, and it has been difficult to have a clear view of how long it would take to get into the goal of some of these demanding issues. It's a lesson that I'm going to take from the work that's been done. But that definitely doesn't mean we're talking about a breach of promises. It means that things have taken longer than I expected.
ParlaMint-NO_2006-12-07-2.ana.ud1908e682	The representative Børge Burnde has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2006-12-07-2.ana.ud1908e685	I think the representative Tore Nordtun had a good summary of the debate on behalf of the red-greens: 'We're in the process. [[...]] We have one investigation after another in progress." Now the industrial power regime was investigated. Now gas pipes to Grenland were investigated. Now we're looking at how to get a gas power plant in Forest in place. An action programme against the power crisis in Central Norway was now also investigated. When I raised the question of the state of the industrial power regime, it was to get an update of where it says that. When we were in government, we were told clearly that it was just starting. There was no sense in figuring this out. Now it turns out that this is more complex, and I fully understand that, because we've been saying that all along.
ParlaMint-NO_2006-12-07-2.ana.ud1908e692	I realized that the Council of State said in its last speech that gas pipes to Grenland should be realized. It's about time. I think it took a long time for the Council of State to be clear, but at least I realized that the Council of State now gave a clear message that gas pipes are coming to Grenland. Nevertheless, I find it interesting to note that there is a great difference between being in opposition and being in position for the Workers' Party in terms of gas pipes to Grenland. In this connection, I have to return to Sylvia Brustad, who, on behalf of the Workers' Party in 2003, made a proposal to grant NOK 3 billion. more for gas pipelines and infrastructure to Grenland. When the representative Terje Aasland from this pulpit says that there is no great difference between the comments of the Workers' Party and the opposition in the Stortinget, he is partly right in it. However, it should be said that in the context of the financial debate, a similar proposal was put forward by the representative of Brustad on behalf of the Workers' Party in 2003 but which the Workers' Party has now chosen to vote down. There's a big difference between what the representatives are saying in the pulpit here and what they're doing in their homelands and promising the voters. The representatives promised that the Union would not be shut down if there was a red-green government after the 2005 elections. The same batches in Telemark have also promised that gas pipelines will be realised by 2009. Now there are investigations of the consequences and whether you might want to think about establishing something from 2009, so it seems like it's far from what you say in the home state to what you do in this room. We think that's very sad. In the end, I also want to quote from a prominent business manager, Eivind Reiten. He says that it is always nice to have happiness on the road, but these only get important when the money comes. That's also the case with gas pipes to Grenland.
ParlaMint-NO_2006-12-07-2.ana.ud1908e708	The representative Ola Borten Moe has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2006-12-07-2.ana.ud1908e711	Gunnar Kvassheim has used this debate to argue over the Government's renewable energy effort. He has stopped using mobile gas power plants in Trøndelag. On the direct challenge of what is left's option in Trøndelag if there is an energy shortage, Gunnar Kvassheim answers that you should have bio-fired mobile power plants. That's exactly what Statnet ordered. You spend almost $2 billion. in biofired power plants, and Gunnar Kvassheim uses a lot of this debate to overwhelm it. I find reason to ask Gunnar Kvassheim to explain the Left's point of view here. I would like to ask, is that how you support this decision, or are you not doing it? If you put this back-up power in place, and it turns out you can't get hold of bioenergy, what does the Left think you should do? Are you going to go on a chord with the Left promised in ours, that you have to have the same security of energy supply in Middle Norway as in the rest of the country, or do you accept to run this power generation?
ParlaMint-NO_2006-12-07-2.ana.ud1908e718	The representative of Terje Aasland has also spoken twice before and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2006-12-07-2.ana.ud1908e721	I just want to clarify an obvious misunderstanding with regard to the proposals for appropriations made by the Workers' Party in the past. With regard to the DKK 3 billion that was referred to should have been proposed for gas pipes to Grenland of Sylvia Brustad, it was before the agreement with the previous government. It reconciled one, strangling another course, another process, other than government budget appropriations. And that's what we're dealing with now, and that's about to end. That's the reality of it. I believe that I have been clear and underlined what is in the majority's position, clear comment and recommendation on the further process, and the Council of State has done so to those degrees today. Now the Progress Party itself has understood that one wants to be clear on that. With regard to Hoksrud's statements on the election break, I can assure you that we have already fulfilled eight out of ten specific cases for Telemark. And that must be a good starting point.
ParlaMint-NO_2006-12-07-2.ana.ud1908e733	Ketil Solvik-Olsen has had the word twice before and gets the word for a brief comment, limited to 1 minute.
ParlaMint-NO_2006-12-07-2.ana.ud1908e736	It was Nordtun's representative who engaged me a little. When he talks about the government conducting an investigation, and takes it as a proof of action, I am a little specified. Sylvia Brustad, who was an energy policy spokeswoman for the Workers' Party in the previous period, criticized the Stortingen to ask for an investigation and could not cut through. That's why I ask, where are the principal clarifications from the Government that show that it's actually dealing with politics and not just with administration? That's what we're now seeing examples of. We have not been given any clarification on the industrial power regime, we have not been given any clarification on the progress of energy laws, two-price systems, the involvement of the Celestial Goods and money to Mongstad. There has been no clarification of the state responsibility in relation to Grenland, we have not been given any explanation of the costs of building Mongstad, nothing on the mapping of the north areas, nothing on petroleum research, framework conditions for gas power plants and nothing on the study of thorium – all of this we demanded in the introduction. On the other hand, we have been told that the government has not planned to send any action plan for Middle Norway to Stortinget. You can ignore answering these problems, but they don't disappear for that reason.
ParlaMint-NO_2006-12-07-2.ana.ud1908e743	Gunnar Kvassheim is the next speaker. It is probably too much to be told about the environment policy to the left in 1 minute, but it is speaking time.
ParlaMint-NO_2006-12-07-2.ana.ud1908e746	Our policy is very clear and clear, so if anyone was going to make it, it was us. I can invite Borten Moe to a round of clarifications at my office over the weekend, if he is sincerely interested in getting answers to his question. We did not argue about the government’s policy – we described it. We described the policy as well as the experience of central centre party people in Trøndelag – as insufficient to release renewable energy. With regard to the attitude towards mobile gas power plants, we are of the same opinion as the Environment Minister was when she made her statement at MaiJazz this summer, and also in this case we intend to stand on that line when we are being tested in practice. But we've said that we can be open to using biofuels as part of a strategy to solve the problems within the region. Our main concern is that as the Government is now moving forward in energy policy, by weakening the renewable solutions, we will have to use the gas power plants to a very different extent than would have been the result of the Left's policy.
ParlaMint-NO_2006-12-07-2.ana.ud1908e755	Kari Lise Holmberg has had the word twice before and gets the word to a short remark, limited to 1 minute.
ParlaMint-NO_2006-12-07-2.ana.ud1908e758	Now it seems that Terje Aasland is only a pale shadow of itself. Suddenly, an investigation on gas pipes is completely fine. What Telemark had expected was that Aasland would be on the line for the gas pipeline, not for an elusive oil and energy minister. When the three billion are mentioned, it must be perfectly legitimate for a magnificent to remember that this is what the Labour Party has stood here on the Parliament's pulpit and promised the voters. There is every reason to recall that political promises should be kept – not avoided when dealing with realities.
ParlaMint-NO_2006-12-07-2.ana.ud1908e763	The President would point out that it is not so positive to describe his fellow colleagues. Several have not asked for the floor for case No. 6 and 7. [[See pages 1120 and 1138]]
ParlaMint-NO_2006-12-07-2.ana.ud1908e773	Then Stortinget would be ready to go to voting.
ParlaMint-NO_2006-12-07-2.ana.ud1908e781	Ten proposals have been put forward during the debate. It's the proposals No 1 – 5, by Jan Arild Ellingsen on behalf of the Progress Party and the Right-wing Proposals No. 6 and 7, by Jan Arild Ellingsen, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities. 8, by Elisabeth Aspaker, on behalf Proposals Nos. 1 – 8 is included in the setting, while the proposals from the Left are distributed in the hall. First of all, there is the vote on the motions for resolutions. Nine and ten from the left.
ParlaMint-NO_2006-12-07-2.ana.ud1908e823	President! The Progress Party, the Right Party and the Christian People’s Party have earlier today indicated that they should support the proposal. Has there been a change?
ParlaMint-NO_2006-12-07-2.ana.ud1908e830	Is that the case? – Then we actually take the vote again. The proposals from the Left would then receive broad support.
ParlaMint-NO_2006-12-07-2.ana.ud1908e844	It is then put to the vote on proposal No. 8 from the right. The proposal reads as follows: ‘The Government is asking the Government to open up for several private actors to analyse DNA, in a situation where the analytical capacity is detonated and cannot be estimated to be reduced without assistance in a transitional phase.’
ParlaMint-NO_2006-12-07-2.ana.ud1908e859	It is then put to the vote on proposal No. 7 from the Progress Party. The proposal reads as follows: ‘The Government asks the Government to come back with an investigation in relation to the need for and alternative location of a modern and forward-looking training centre for police-operative disciplines.’
ParlaMint-NO_2006-12-07-2.ana.ud1908e874	It is then put to the vote on proposal No. 6 from the Progress Party. The proposal reads as follows: ‘The Government is asking for the introduction of a system of central financing of forensic services and DNA analyses.’ The right, Christian People's Party and the left have announced that they want to support the proposal.
ParlaMint-NO_2006-12-07-2.ana.ud1908e891	The proposals are then put to the vote. 1–5, from the Advance Party and the Right.
ParlaMint-NO_2006-12-07-2.ana.ud1908e2750	The Progress Party has announced its intention to vote against.
ParlaMint-NO_2006-12-07-2.ana.ud1908e2767	A vote shall be taken on the proposal by Mr Solvency Horne, on behalf of the Party for Progress and the Right, submitted by the meeting of Mr Odelstinget on 23 November 2006: ‘The Government asks the Government to set up a Commission on Company and Commercial Law in accordance with the model of the Banking Law Commission.’
ParlaMint-NO_2006-12-07-2.ana.ud1908e2773	President! Earlier in the course of the debate, it has been noted that the Left wishes to support this proposal.
ParlaMint-NO_2006-12-07-2.ana.ud1908e2780	The left wants to support this proposal.
ParlaMint-NO_2006-12-07-2.ana.ud1908e2796	The vote will take place on behalf of the Progress Party on the proposal of Mr Solvency Horne from the meeting of Mr Odelstinget on 23 November 2006. [[(see section 4.4). Deep. O. No 12):]]
ParlaMint-NO_2006-12-07-2.ana.ud1908e2815	The vote will take place on behalf of the Right from the meeting of 23 November 2006 of Mr André Oktay Dahl, representative of the Parliament of Great Britain. [[(see section 4.4). Deep. O. No 12):]]
ParlaMint-NO_2006-12-07-2.ana.ud1908e2834	The vote will take place on behalf of the Right from the meeting of 23 November 2006 of Mr André Oktay Dahl, representative of the Parliament of Great Britain. [[(see section 4.4). Deep. O. No 12):]]
ParlaMint-NO_2006-12-07-2.ana.ud1908e2853	During the debate, 26 proposals have been put forward. It's the proposals No 1 and 24, from Line Henriette Holten Hemdal on behalf of the Christian People's Party proposals No. 2, 21 and 26, by Børge Brende on behalf of the Right-wing Proposal No. 3-9, by Ketil Solvik-Olsen on behalf of the Progressive Party, the Right, the Christian People's Party and the Left proposal No. 10–13, from Ketil Solvik-Olsen on behalf of the Party of Advancement and the Right-wing Proposals No. 14 and 15, from Børge Burnde on behalf of the Right, Christian People's Party and the Left Proposals No. 16-20, by Mr Solvik-Olsen on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 22 and 23, from Line Henriette Holten Hemdal on behalf of the Christian People's Party and Left Amendment No. 25, from Gunnar Kvassheim on behalf of the Left Proposals Nos. 1–25 is included in the vote, while proposal No. 26 is distributed in the hall. First of all, there is a vote on proposal No. Twenty-five, from the left. The proposal reads as follows: ‘The Government requests the establishment of a feed-in scheme for support for the production of new renewable electricity based on the principles of the Green Certificate Scheme, at the latest in the context of the 2007 Revised National Budget.’;»
ParlaMint-NO_2006-12-07-2.ana.ud1908e2897	It is then put to the vote on proposal No. 24, from the Christian People's Party. The proposal reads as follows: ‘The budget asks the Government of the Revised National Budget 2007 to consider the establishment of a green fund for sustainable development.’
ParlaMint-NO_2006-12-07-2.ana.ud1908e2912	The proposals are then put to the vote. 22 and 23, from the Christian People's Party and the Left.
ParlaMint-NO_2006-12-07-2.ana.ud1908e2936	It is then put to the vote on proposal No. 21, from the right. The proposal reads as follows: ‘The decision asks the Government to set aside 4 million. crowns for the refurbishment of Røro's church within the amount allocated on the cap. 1429 entry 72 Protection and preservation of peace and security of cultural and cultural monuments.’» The Progress Party, the Christian People's Party and the Left will support the proposal.
ParlaMint-NO_2006-12-07-2.ana.ud1908e2953	The proposals are then put to the vote. 16–20, from the Progress Party.
ParlaMint-NO_2006-12-07-2.ana.ud1908e2998	There is a vote on the proposals Nos. 14 and 15, from the right, the Christian party, and the left.
ParlaMint-NO_2006-12-07-2.ana.ud1908e3022	There is a vote on the proposals Nos. 10–13, from the Party of Advancement and the Right.
ParlaMint-NO_2006-12-07-2.ana.ud1908e3058	There is a vote on the proposals Nos. 3-9 from the Party of Advancement, Right, Christian People's Party and Left.
ParlaMint-NO_2006-12-07-2.ana.ud1908e3112	There is a vote on proposal No. 26, from the right. The proposal reads as follows: ‘The Government asks the Government to provide the Stortinget with an explanation of the main features of the Action Plan to prevent the power crisis in Central Norway, which was promised early in the autumn.’ The Progress Party, the Christian People's Party and the Left will support the proposal.
ParlaMint-NO_2006-12-07-2.ana.ud1908e3129	We are then going to vote on proposal No. 1, from the Christian People's Party. The proposal reads as follows:
ParlaMint-NO_2006-12-07-2.ana.ud1908e4515	There will then be a vote on proposal No. 2, from the right. The proposal reads as follows:
ParlaMint-NO_2006-12-07-2.ana.ud1908e8018	President! I think I voted wrong.
ParlaMint-NO_2006-12-07-2.ana.ud1908e8025	President! I'm not sure what to vote for.
ParlaMint-NO_2006-12-07-2.ana.ud1908e8032	Then we take the vote again.
ParlaMint-NO_2006-12-07-2.ana.ud1908e10077	Three proposals have been put forward during the debate. It's proposal No 1, by Ketil Solvik-Olsen on behalf of the Progress Party, Right and Christian People's Party proposal No. 2 by Mr Solvik-Olsen, on behalf of the Group of the European Progressive Democrats and the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, and in particular Mr Solvik-Olsen, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, and of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the First of all, there is a vote on proposal No. 3, from the Progress Party. The proposal reads as follows: ‘The Government requests the presentation by the Government of the announced legislative proposal on the NOU of the Biodiversity Committee on the Conservation of Natural Diversity to make the necessary changes to strengthen the participation of local democracy in the management of predators.’
ParlaMint-NO_2006-12-07-2.ana.ud1908e10104	It is then put to the vote on proposal No. 2 from the Progress Party and the Right. The proposal reads as follows: ‘The Government asks the Government to file a case for the amendment of Section 11 of the Viltslagen, Emergency Army Paragraph, in time for the law to come into force before or coincide with 1 May 2007.’
