ParlaMint-NO_2006-12-04-2.ana.ud2368e28	No one has asked for the floor. [[Fotation, see page 876]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e379	I have to respectfully admit that the post we just heard was a special post, given that it came from a representative here in the Stortinget representing a government that has opened up 100 new wine monopoly sales. I have to say that it's quite special, considering what she put on in her post. So to the matter. The public should not intervene in the sphere and free choice of individuals, other than in very special situations. The starting point is that alcoholic beer up to 4.7 pst. a legal product is allowed to be sold in the retail trade, but only in parts of the time when the grocery store is open. In very many municipalities where grocery shops are open to e.g. %d %s %d %s" is "%d %s" 21 a.m. or 21 a.m. 22, pull a tarpaulin over the crates with beer at 2:00 p.m. 20. Beer purchased after 8 p.m. 20 is illegal and harmful, must know. Then the foreman's clumsy hand happens, and they say "fy," "fy, you're not allowed!" I, who lives on one edge of the country where border trade, including alcohol, is very widespread, know that alcohol purchased at Systembolaget or MaxiMat on Svinesund has about the same effect as alcohol purchased at the Vinmonopolet or at Rema or Rimi. You don't get drunk by one versus the other. Nor is it healthier to drink Swedish alcohol — or at home, for that matter. I also know that after noon. In many municipalities it is much easier for young people to obtain completely different and far more dangerous drugs than beer. So I don't think it's any particular thoughtful or sensible alcohol policy to use what I would call the 'breathing regime'. The right is confident that the individual and the individual municipality themselves are closest to finding the best solutions, including in the field of alcohol policy. I have registered that in this room, at least in words, if not in action, it has long been a unanimous desire to make Norway an attractive country for tourists. Not enough for foreign tourists to meet the world’s highest prices of beer, which alone threatens several hundred Norwegian jobs at Norwegian breweries, but stops it a German family who wants to buy a six-pack with good Norwegian pils for the grill food or bratwursten’s one spot, they will be met with tarpaulin and ban if the clock is 20.05. Not exactly the best Norwegian advertisement, to say it carefully. The impression that will be confirmed is that Norway is a country of particular interest. Therefore, it is natural for local authorities to decide for themselves the selling times for beer and other alcoholic beverages in everyday life. The sale of beer can then follow the opening hours of the shops, or municipalities may choose to limit the sales time to adapt the local conditions. Then it's up to the voters to cast the majority of local government, if you disagree with such a policy. It will increase local self-government for municipalities. The proposal will provide a general ban on the sale of beer in shops on Sundays and public holidays. The intention to limit the adverse effects of alcohol use must be balanced against consumer policy considerations, including the need to ensure systems of legitimacy in the population. Serving schemes that are most widely perceived by people as the purest molar housing regulations undermines respect for alcohol policy in general. Harmonization of the hours spent on beer sales and the opening hours of shops will appear logical for consumers, while contributing to greater integration of Norwegian alcohol policy in general. By restricting the State restrictions on the sale of beer and other alcoholic beverages in the shops, we will move the decision closer to each other. The representative proposal we have for consideration will give municipalities the right to set the selling hours on weekdays for beer with a volume percentage between 2.5 and 4.7. So it is not the shopkeeper himself who has to determine the sale time of alcoholic beverages. The disagreement between the majority and the minority in this case is essentially based on the ability of municipalities to make the necessary balance between social policy and consumer policy considerations. The right considers that the municipalities are fully competent to have this responsibility. I refer you to the minority proposal that has been promoted in the vote.
ParlaMint-NO_2006-12-04-2.ana.ud2368e405	This is a proposal we really don't need, now that we have growing problems with alcohol use and alcohol abuse. Instead, we should gather on measures that can reduce alcohol consumption. It would be naive to think that this proposal, if it had been adopted, would not have resulted in more and more opening times, especially in blue municipalities. Today, shops have the opportunity to stay open 24 hours a day, but most people choose to shut down once in the evening. Some grocery stores have been open until noon. 23), e.g. Here in the city. Most people close earlier, because it's not profitable to keep open anymore. In a situation where beer sales follow normal opening hours, it is easy to imagine that many shops will experience that it is profitable to keep things open much longer than today. The question is whether there is a lukewarm policy, when we already have major problems as a result of high alcohol consumption. I think it is rather unsolvable to children and also to the often young people who are going to work at the shops at night, like with minimal staff, and who are going to say no to the bewildered customers who want beer. Today's irritated customers will probably be seen as trifles in proportion. The left says they support the proposal because they believe municipal freedom is important, but they also have to take into account that they support increased alcohol consumption, at least, and major alcohol problems and alcohol-related problems. I don't think the police fully agree with them that this is the way to go. I would also like to point out a logical flaw in the proposal. The proposers write: ‘The harmonisation of the hours spent on beer sales in shops and the opening hours of shops will appear more logical for consumers and may thus contribute to a greater expansion of alcohol policy.’ But if the intention is increased municipal influence, and you don't want the municipalities to be able to limit the opening hours of the shops, this is not a matter of concern. In that case, it is assumed that the municipalities will not use their freedom to restrict beer sales. The proposers claim, I would say the most guilty of all, that they are also concerned with keeping the alcohol consumption down, but they argue the whole opposite in their proposal. Here, consumer considerations are emphasised, as if alcohol were a very common consumer product in line with milk and bread. It is also claimed that the stores have extra expenses due to the current system, which I find difficult to understand. If you have to put plastic over the beer for some time in the day, I honestly think you have an excessive care for the shops. I understand that customers are annoyed that beer sales close earlier than the store closes. That's what I'm going to do in some cases too. But I actually get that irritation, because it's more important that we have a society where we keep alcohol consumption under control. Voting down this proposal is just one of several measures in such a strategy. Others are e.g. to maintain the ban on alcohol advertising, to maintain the high level of fees, to maintain the monopoly of wine regimes and to prevent the Party of Advancement and the Right from being able to obtain wine in the shops. So the representative said Engeset that Norway is at risk of becoming ‘a country of particular interest’ because of this scheme. What I honestly think is taking things completely out of their proportions. I don't think it scares the tourists away from Norway that we're shutting down for beer sales at 1:00 p.m. 20 a.m. and 20 a.m. 18 Saturdays. And the fact is that more and more countries are starting to look at Norway and are being inspired by Norwegian alcohol policy, because they see that it is absolutely necessary for health policy reasons, for criminal reasons and also for children’s growing-up conditions to reduce alcohol use, and not just abuse, because increased consumption actually leads to higher alcohol problems. I also have to say that I think it was interesting to hear Fredriksen's posts, and I think I'm going to bring it up again, because I think the jamm that the representative in his post has completed the representative democracy.
ParlaMint-NO_2006-12-04-2.ana.ud2368e432	The Christian People's Party is committed to having a solidarity policy on alcohol, which means that as a society we are willing to have restrictions on alcohol, in solidarity, among other things. with people who have an alcohol problem. There is a known link between availability, consumption and alcohol-related harm. When availability increases, consumption increases and, therefore, the damage to alcohol. When access is restricted, the damage is limited. In view of the increasing alcohol consumption — almost two litres of alcohol is now being consumed more per person. person than in 1993 — and that every four cases of illness are taken up by persons with alcohol-related injuries, the proposal from the Right, supported by the Progress Party and the Left, is, in my view, a step in the wrong direction. I believe that nutritional reasons should not be opposed to alcohol policy considerations. Alcohol is not difficult to obtain in Norway today. Alcoholic beverages can be sold from 1 p.m. 8 to 18 a.m. on weekdays and until 8 a.m. 15 on Saturdays and days before public holidays. Municipalities may restrict or extend access to at noon. 20 a.m. and 20 a.m. 18 on Saturdays and days before public holidays. If today's provisions are to be amended in line with the proposal of the Right, this could result in far greater access to, for example: beer; several shops today have open until 9.00 p.m. 23rd Last@item: inlistbox The proposers stress that municipalities should be able to control the opening hours of the shops and hence alcohol sales, but there is room for this to happen today. There are very few municipalities that actually choose to use the option of restricting the sales time for beer. Just 5 pst. has done so. 61 pst. have, on the other hand, adopted the extension of the opening times in relation to the standard. The proposers stress that there is confusion and irritation that shops have a different period of sale for beer and other alcoholic beverages. Instead of proposing measures to correct this which increase the availability of alcohol, the proposers should, in my view, rather call for measures to increase people’s understanding of why alcohol is being treated differently from other products. When the Progress Party is constantly calling for information campaigns to respond to all the problems that alcohol causes, it could be a useful measure in this context. There is a need for awareness of why alcohol has to be treated differently from milk and bread, because the consequences of abuse are so great. The figures from the Oslo Police show that 90 pst. by violence in the centre of Oslo may be linked to the suburbs. On a national basis, surveys show that 60–80 pst. of all violence is actually alcohol-related. One side of alcohol abuse is that outsiders are hit, through fights and unrest, but another side of it, on which also the representative Inga Marte Thorkildsen was involved, is that children are hit — not least by parents who abuse alcohol. These are marked for life. The representative Fredriksen asked whom the proposal was most harmful to. I'd like to answer that. It is most harmful for children and young people – directly and indirectly. It is a fact that it is easier to prevent than to repair. Unfortunately, given the effects we have seen of the increase in alcohol consumption in the last 13 years, I cannot understand the aims and measures of the proposers.
ParlaMint-NO_2006-12-04-2.ana.ud2368e450	The point of the proposal is that municipalities themselves should be able to determine the sal times for beer and other alcoholic drinks on weekdays. That means that the hall of beer etc. then the opening hours of the shops may be followed, or the municipality may choose to limit the salsities in order to adapt them to local conditions. We have said in the committee something that we have also said otherwise, that this will increase municipal self-government. There can be no doubt about it. Each municipality should have an alcohol policy action plan, and the Left strongly trusts that local decisions will be taken by those who know the best local conditions. I myself have many years of experience as a municipal politician, and I know that when it comes to beer, wine and spirits, there are really serious debates, and big debates, about all this, and I think that these debates in the local government around Norway may be at least as serious as the debate on this in this Chamber – perhaps more. Local democracy is important to the Left, and the proposal is, in our view, a strengthening of local democracy. I mean to have read in the committee comments from the plural fraction that they misinterpret the proposal. The shopkeepers are not the ones to decide the beers' sal times, according to the proposal. It is still the municipality that will have the authority to decide, but it is therefore the State limitation of salsa time to be restricted. As has already been said here, the proposal will result in a greater understanding of the population. I totally agree with that. That means that the shopkeepers let go of unnecessary work on this screening that we have heard about. But first and foremost, the proposal means the promotion of local self-government. That is the main reason why the Left supports the proposal for a representative. Finally, I just want to say that our view of this matter obviously does not imply that the Left has changed its alcohol policy stance. We are in favour of an alcohol policy that allows the vast majority of people to use alcohol without causing unacceptable damage to individuals and society. The left trusts that this is a perspective that local politicians will last very, very well.
ParlaMint-NO_2006-12-04-2.ana.ud2368e463	I have noticed that the proposers believe that there should be consistency between the provisions for the periods of sale of beer and other alcoholic beverages between 2.5 and 4.7 vol. and the general opening hours. As is known, selling times for alcoholic beverages are regulated by the Alcohol Act. And it's, as some speakers have already been involved, so that the normal time for selling alcohol is between 1:00 a.m. 8 a.m. and 18 a.m. on weekdays and between hours. 8 and 15 on Saturdays. Then, as you know, the municipalities themselves can restrict or extend the sales time beyond this within the maximum time, which is from at noon. 8 to 20 p.m. on weekdays and at 8 p.m. 8 to 18 on Saturdays. Experience so far shows that it is much more common for municipalities to extend sales times beyond the normal level than to limit them. In reality, it is therefore the maximum time for sales that is normal in Norwegian municipalities. The general opening hours of the shops are, as you know, regulated by the Law on Holidays and Holiday Peace. This law means that the opening hours of shops can be – and in many cases – far beyond the maximum hours of sale of beer and raisins by the alcohol law. As the proposers themselves point out, Norwegian alcohol policy has proved effective in reducing alcohol consumption and harm. The research literature in this area is clear that price and availability regulatory instruments are very effective in limiting such damage. Norwegian alcohol policy has contributed to Norway being among the countries with the lowest consumption and the lowest number of alcohol damage throughout Europe. I understand that the proposers still believe that the difference creates unnecessary problems, confusion and irritation. The proposers acknowledge that research shows that Norwegian alcohol policy has been effective in reducing alcohol damage, but that the need to limit such damage must be balanced against consumer policy interests. It is difficult for me to see how this contrasts with consumer policy interests. On the contrary, Norway’s restrictive alcohol policy has stated its intention of protecting consumers, for example: by means of advertising restrictions with regard to children and young people in particular. I believe that an alcohol policy that contributes to good Norwegian public health is in line with Norwegian consumer interests. The proposal will include, inter alia: pointed out that we need to implement a natural adaptation to Europe. I don't think there's any target at all in all. But, fortunately, problems related to alcohol have been raised on the international political agenda in, for example: The World Health Organisation and the EU, and alcohol policy are increasingly seen in public health. I think that's good. It is necessary that we cooperate even more across borders in this area. Understanding that price and availability mean something for alcohol use has begun to spread in Europe, and more countries south of Europe have introduced measures because they see that it is effective to reduce consumption and harm. One of the most important and effective measures in the Norwegian alcohol policy has been to limit sales times. The rapporteur believes that it is necessary to distinguish between the characteristics of alcohol use and the abuse of alcohol. I would like to point out that harmful use of alcohol is not only about addiction, but also about careless use among people who cannot be said to have a dependency problem. Most of the damage caused by alcohol is related to acute harm caused by intoxication and not to alcohol dependence. This applies, for example: violence and accidents. We know that a large proportion of all violence in Norway is alcohol-related, and studies, among others. from SIRUS suggests that increased consumption of alcohol in Norway will result in more violence. And when the Oslo police go so clearly into the media as they've done lately, and pointed out how the increased density of these cities and the opening hours that apply have created more violence, I can't see why someone should support the proposal that's here on the table. To be honest, it's a paradox that the parties calling for stricter penalties for violent crime will weaken some of the best means we actually have to limit such problems. Furthermore, measures such as restriction of sales times limit consumption both among those who drink a lot and among those who have a lower consumption. International research shows a clear link between total alcohol consumption and the number of alcohol-related injuries and deaths. On this basis, I agree – perhaps not surprisingly – with the majority of the Health and Welfare Committee, who will not support this proposal, not least in solidarity with the many children and young people who suffer from it.
ParlaMint-NO_2006-12-04-2.ana.ud2368e489	It's going to be line change.
ParlaMint-NO_2006-12-04-2.ana.ud2368e492	I am a little in doubt if the council has read the proposal well enough before she keeps her post in the hall. This proposal concerns the fact that municipalities are even more likely to determine the sales times for beer between 2.5 and 4.7 pst. In this connection, I must remind the Council of State that in a number of other matters when talking about earmarking funds, among other things. contrary to the decision of the municipalities themselves, the Council of State itself has said that the sense is somewhat equally distributed whether at state or municipal level. Yes, the council has even said that it is despite all the municipal politicians who know the municipality their best, and who actually know what life is like out there in the municipality. Does the Council of State not see that municipal politicians should also have the opportunity to regulate this in their own municipality? It is not a matter of automatically following the opening hours of the shops, but of the municipality itself being able to make such a provision.
ParlaMint-NO_2006-12-04-2.ana.ud2368e497	I can assure the representative that I have read the proposal, and I have read it carefully. In fact, most municipalities today that have the opportunity to do so, I would almost say, take advantage of the maximum time available for the sale of beer and raspberry in the store. When we know how serious the problems alcohol creates — a growing problem, linked to children and young people, many of whom have been involved, related to violence and abuse, especially in the big cities, especially in Oslo — and know the context in which the police are quite clear, researchers are quite clear, drug policy organisations are ready, that there is a link between price and availability, I believe that it is going wrong to allow one to buy alcohol even more hours a day. I believe that there is a big difference between buying beer and buying beer, for example. milk and bread.
ParlaMint-NO_2006-12-04-2.ana.ud2368e502	I listened with great interest to the general considerations of the Council of State on the relationship between the availability of alcohol and alcohol-related problems, and do not have major problems in following the reasoning. But I have a question. If it is true that the Government and the Council of State intend to establish 100 new local wine monopoly sales, is the purpose of limiting the consumption of alcohol?
ParlaMint-NO_2006-12-04-2.ana.ud2368e507	The wine monopoly system is an incredibly important alcohol policy instrument. I think it's very important to keep it. If we're going to manage to keep it, we're going to depend on the entire Norwegian people ending up on the Vinmonopole. As the representative of pay knows well, in some parts of the country it is very far to a pole, we are talking about miles, and there is no reasonableness that those people should have to drive seven miles, 15 miles or what it might be, in order to buy a legally negotiable item. I believe that the worst thing that can happen in this context is that there should be a majority who will make sure that a get wine and booze into shops, as I have registered that someone wants. To avoid that, I believe that the main instrument is to maintain the Vinmonopole. But then we have to have a break up about the scheme, and I think it is right that other parts of the country also have access to legally negotiable goods, but not that one should extend the time any more than what is in force today.
ParlaMint-NO_2006-12-04-2.ana.ud2368e512	In response to my previous reply, I could at least record that the Council of State believes that the wit is somewhat equally distributed except in the drugs policy, the alcohol policy, because it is obvious that there is to be a state doing so, and the municipal politicians do not know the same thing, as one could at least get the impression from the Council of State's response. My question to the Council of State this time refers to Mr. Gunn Olsen's introduction at the outset, where she pointed out that perhaps one should consider whether the shops should actually have a shorter opening time, in order to adapt more to the state's connection with alcohol sales, and she would like to take that debate. At least then I would like to ask the Council of State to say something about whether it is the current policy of the Government that one now rather consider going the other way and letting the shops have a shorter opening time, so that, in this important state area, it is ensured that the population can also not buy bread or milk after noon. 20.
ParlaMint-NO_2006-12-04-2.ana.ud2368e517	This council has quite a hold on the fact that a lot of stores are open for quite a long time now, and I don't think there is any big problem. But I believe that there is a very important distinction between buying bread or milk a little late in the evening and having to buy beer at noon. 23 In the evening, or rush, for that matter. I think that's two completely different things. So we also know that the municipalities practice the system we have today, by making maximum use of it, a lot of municipalities do, and so I mean, frankly, there's no big social problem that you're not allowed to buy beer at the shops at 0 p.m. Twenty-three in the evening.
ParlaMint-NO_2006-12-04-2.ana.ud2368e522	The cord shift is over. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-12-04-2.ana.ud2368e527	When you listen to Martin Engeset's posts, it almost sounds like it's a popular demand that you have to buy beer in a store beyond the time that the law puts on today. It's a pity for the tourists, he says, who don't get to buy beer for their grill food, etc., and the prices scare tourists away from Norway. I want to ask the representative Engeset, because I don't spend my time reading the Right Programme: is it really that a person wants to harmonise beer, i.e. alcohol, with all the other foods? Does this also mean that you want to remove the advertising ban on beer, for example, that you should be allowed to start advertising this product? Because it's awfully sad if people don't know what kind of new brands come on the market! It would be contrary to the consumer interests that one is not allowed to market himself! As far as consumer interests are concerned, I believe that it is in the interests of consumers that we have an alcohol policy, that we have a policy that regulates and restricts access, as several speakers have said before today. I think it is rather sad if the Right believes that the alcohol should be treated and considered as any other product. Now I know very well that this proposal is only about opening hours, but I would like to challenge the Right if they believe that there should be full harmonisation between other goods and alcoholic goods.
ParlaMint-NO_2006-12-04-2.ana.ud2368e537	It was also the representative Engeset's contribution that made me take the floor again. I find it hopeless to discuss opening hours for the sale of alcohol without going any further in relation to alcohol policy. Now the representative Engeset was so amazed at my post. Maybe I should say yes, thank you in the same way, when the representative wonders that I am in my post, almost in a confession, saying that we are no suspended heads in politics. We open up poles in the municipalities, like the Bondevik government, with good support from the Right, did. Yeah, it was just supposed to be missing! It was an illustration from my side to say that yes, we are for pole. But that doesn't mean that there's a free front and a full mouth in terms of outlets for alcohol. I'm surprised that the representative Engeset doesn't give us anything right, that he doesn't reflect for a single moment on the realities we face in the evidence we know about the adverse effects of alcohol, and the link between availability and increased consumption that we know about, but focuses on the delay that we have to go over the beer boxes. I do not want to extend the debate, but I note that the members of the Health and Care Committee from the Right do not participate in this debate.
ParlaMint-NO_2006-12-04-2.ana.ud2368e548	This debate has probably gone on as long as politicians have been sitting in this Chamber. The theme has come up again and again, and the solution has been the same: make sure there is poor availability, people stop drinking! In 1916 they tried with bans. That would really help. There were many who rejoiced at the time. But there were as many people who asked to get the ban lifted as it turned out that there were only many more alcohol problems. The alcohol policy that has been taking place in Norway throughout all the years, which is being boasted in the clouds, has led to a poor alcohol culture — a drinking culture that we see around Oslo streets during the weekends. It's the result of our alcohol policy, not the result of people getting alcohol. They get it all over the world, but there's probably hardly any place where you see stuff like what you can sometimes see in Norway, and it's not because you get bought alcohol. When you talk about not buying alcohol at the shops after a certain time, you talk about: Who is not going to buy alcohol after noon. 20 in the evening? Are they just the ones with bad advice? All of us in this room can go and buy a pint of beer just when we wish, because we can afford it. But if a person with a slightly lower economy is going to have beer for dinner, he/she will not be allowed to buy it at the stores. That is what the representative from the Progress Party thought about the question: Who is the most harmful to? Is it the most harmful thing for those who don't have as good advice as us? Are they the ones we're going to spare all the time by making sure they don't get bought beer after closing time? There must be limits to care. Most adult people can take care of themselves, but we have to give them some trust. At least we can trust the municipalities, so they can make some decisions, because they are the ones responsible for alcohol policy. And then maybe we should think a little bit more after 100 years, when we see that the simple solutions that we've come up with in the past haven't worked according to expectations.
ParlaMint-NO_2006-12-04-2.ana.ud2368e562	It is kind of nice to listen to attempts to derail the debate here – that you are now asking to have the programme put to the right on the table, because you wonder what it says. But I guess that's not exactly what we're doing. I feel that there are obviously some people here who want to completely track down the debate and what it is about: who is going to decide when it is allowed to buy alcohol at the store? There is a minority here who clearly believe that this is a matter in which democracy and the municipalities should be able to decide. Then there's a majority who say that these aren't the municipalities themselves capable of. But the municipalities are very well able to take care of the elderly, sick and children almost on every occasion. Then, suddenly, local democracy is very important. But when people are going to buy a bottle of beer themselves, it's not that important. I also have to say that when, in the course of a five-minute post, I was able to complete the entire representative democracy, i.e. in five minutes, I see it as a great achievement. I also reacted very much to what Gunn Olsen from the Workers' Party said that she now wanted to have the opening time in the shops according to the hours of alcohol sales. We are soon back where we were in 1984, where it was not allowed to sell milk and bread after noon. 17, and at least not on weekends. And it wasn't the Workers' Party that went in the breeze to get this ban removed, so we could buy milk and bread after noon. 17 and on the weekends. It was a completely different party, which has a completely different tradition and history in terms of caring for consumers in society, which did.
ParlaMint-NO_2006-12-04-2.ana.ud2368e576	I note with interest that Brustad-bua's mother, the current councillor Sylvia Brustad, does not think it is a point to extend the opening hours, in this case for the sale of beer, if the municipalities wish. Just as it didn't come like any big bomb. Otherwise I have to say that I think it is a bit funny to record that the majority in this case is so strongly impressed by Norwegian alcohol policy. I probably don't belong to those who are most impressed by that very part of Norwegian policy. I think, among other things, not that the behaviour of too many Nordics on vacation in the South, who take care of what is to be caught, suggests that we have learned too much about how to behave in a good way for the use of alcohol. In the case of beer fees, we have NOK 20 per person in Norway. litres of beer at State fee. Sweden has SEK 7 per cent. Let's go. Let's go, let's go, let's go, let's go, let's go, I don't think it's anything to be very proud of, not least when we know that this threatens hundreds of Norwegian industrial jobs, as the majority in this case later on, as if they're very interested in rocking in other contexts. Questions have arisen as to whether the Right wish to achieve full harmonisation in relation to other products and to lift the advertising ban. The answer is no. I will not spend more time on it, because it is to trace what this matter is really about, namely whether you should have a ban on selling beer as long as the grocery stores are open. I think it's a paradox, as a member of the Health Committee Inge Wohnning also said, that when the government wants to open up the wine monopoly sale of spirits in each branch, with a hundred new sales – brandy to the whole people in each branch – it's fine, while people are going to buy themselves a bottle of beer after 1 p.m. 20, as well as your disaster. Then the Norwegian community is completely raging. This is not a matter of concern. It almost seems as if you believe and believe that only the state sells spirits with 60 pst. strength or whatever it may be, it's okay. I'm sure it's healthy. Only it's the state through the wine monopoly that sells, there's no problem. I think this is going to be a double moral that's not completely connected. I record that those who have always been against extended opening hours, and who are now unfortunately in government, are also in this case.
ParlaMint-NO_2006-12-04-2.ana.ud2368e591	The President will call for a sober debate.
ParlaMint-NO_2006-12-04-2.ana.ud2368e594	Yes, I can promise. Now I'm talking to a total waitress, so I'm going to stay sober. I agree with Engeset on one thing, and there is reason to question whether Norwegian alcohol policy has been successful in all areas, because there are major alcohol problems in this country. But I'm very surprised that the solution then is to get out, so it's even easier to get alcohol at all times of the day and preferably as cheap as possible. How is that going to solve any problems? The anxiety says that he is sometimes ashamed of the behaviour of the North in the South. As I have kept myself sober in most respects, I have also been sober at parties in Norway. I have to say that I'm not always as impressed by the behaviour in this country either, so it seems that there might be something about the attitudes towards alcohol in general and not the price and availability that, to say the least, affects Norwegian consumption the most. So to the discussion about the pole. It might be interesting to discuss it. I believe that some of the reasons for extending the polishing system are that there is the most controlled sales of alcohol available. Then there are probably some adults who buy alcohol on the pole as well and sell it to those who shouldn't have had it, but there's probably no place where it's being controlled as much as there. Then I also react to the attempt to push people with bad advice in front of them so that you can buy beer at noon. Twenty-three in the evening. Alcohol is so available in this country that I just can't understand what the problem is for those who can't get it within the opening hours we have. Then the price of beer is also the same, as far as I know. There are also people who even go to the step of arguing that if the youth doesn't get to buy beer at 1:00 p.m. 23 in the evening, they're going to use harder drugs. I've never heard my husband apologize for going over to harder drugs. There should be such a great need to buy a bottle of beer at noon. 23 in the evening, and when you don't get it, you have an excuse to do something else. No – then I think you better make a deal with the drug culture that is behind this. So finally something about this that the wit is evenly distributed. Now the representative from the Progress Party was up here and said that the party would like to tighten up in a lot of areas where they believe that the municipalities should not have such a responsibility as they have today. In this area, I must admit that we believe that we should have a strong national policy. I stand for that, and I'm not ashamed of that at all.
ParlaMint-NO_2006-12-04-2.ana.ud2368e611	It surprises me that some of the speakers here are talking about putting our alcohol policy in the hands of tourists who come into our country at random. I'm not so sure the tourists are going to buy so much beer here, because beer is probably quite expensive in Norway compared to what they're used to. Our alcohol policy is relatively strict. That's why we also have less damage than they do in many other countries. When the representative Engeset talks about our excessive fees, he should visit the website of the Nordic Council of Ministers and read the latest report on Finland. When those who lowered the fees two years ago, damage from alcohol abuse and violence exploded. When it comes to the Progress Party, they talk very much about local democracy and alcohol policy. It is quite funny that when we talk about care for the elderly, it should be earmarked or made public. In such an important case, you do not rely on the autonomy of the municipalities. Then I want to finish by asking the left a few questions. As I see it, the Left here may have changed some attitudes. Does the Left really believe that local self-government should go ahead of a solidarity policy on alcohol? I think about children and young people, and I think about big users. Did I hear correctly when the representative Gunvald Ludvigsen on behalf of the Left said that the alcohol policy of the Left would facilitate the use of alcohol? It is possible that I heard errors, but I must be allowed to ask.
ParlaMint-NO_2006-12-04-2.ana.ud2368e622	This has evolved into a rather colorful and diverse debate. In return, 90 pst is traded. of it on completely different matters than what the proposal is about. When I allowed myself to put a question to the Council of State instead, to which she carefully avoided answering, it was because I think the figures for the government parties, and in this case also for the Christian People's Party, which makes it a general premise that it is the availability that is decisive to the extent of the alcohol problem, to answer why it is then a proper form of alcohol policy to establish ever more wine monopoly sales, which differs from the daily trade by offering products with 10 to 15 times higher alcohol concentration. It is either necessary to make a consistent decision in order to implement the premise, in which case it is necessary to limit the availability of alcohol to the purchase of alcohol as the overall policy measure, or to allow selective arguments to be made — that in the case of wine monopoly policy, the general view is not valid. It's an advantage if you don't make the disagreements in this room bigger than it's for. If we all agree that a realistic alcohol policy in a society is a very difficult balance, much will be won. Then you might also bring the matter on which the proposal is concerned, down to the practical level where it belongs, instead of blowing it up to an enormously large issue that updates advertising policy, pricing policy and all possible and unimaginable side issues, which are not at all affected by the representative proposal.
ParlaMint-NO_2006-12-04-2.ana.ud2368e631	This issue of alcohol policy is an important theme and an important area of Norwegian health policy. The Health and Welfare Committee looks at the regular reports, the challenges you face, and the damage that alcohol can cause to individuals and not least to families around. The representative Ludvigsen pointed out that alcohol policy was important in relation to local democracy and self-government, that having the opportunity to extend the opening hours in each municipality was very important for self-government. But it is not that the municipalities also take responsibility for the damage this alcohol policy and the alcohol causes to individuals and families. Then suddenly there are others who have to take responsibility. We see that today's shops and municipalities are taking full advantage of the max times. If you travel around Europe looking at availability and price, you can see that we in Norway are not so terribly restrictive in all sorts of ways. I think we're liberal many times. If you end up meeting the door here tonight, you see that the streets are full of people who have been, or who are going to, in restaurants and pubs. Does the Progress Party believe that the alcohol is a groceries equal to bread and milk, that it is important that one should be able to buy alcohol at any time of the day? Comparing this with the debate on extended opening hours for the purchase of ordinary groceries will be completely wrong with my position. If you think this is a groceries, then I really realize that the alcohol damage is great here in the country. The representative Giltun said that we should not have too much care for individuals. We've seen what tragedies slot machines have inflicted on individuals and families, and we want to intensify the availability to counteract such a development. This is also a matter of alcohol policy. There is no question of prohibiting the sale of alcohol. It's not about restricting the sale of alcohol. We're talking about maintaining opening times that are already fixed and that work well. Nor is it about selling alcohol in each branch when we increase the number of wine monopolies. It's about the fact that every municipality, the one that lives in District Norway, has the same availability as the one that lives here in Oslo. There is a big difference between expanding the number of wine monopolies around the country and extending opening hours and comparing alcohol with groceries.
ParlaMint-NO_2006-12-04-2.ana.ud2368e646	Rarely have I experienced a debate that has taken so completely by and got so far out of course, as the debate on this proposal for a representative. The starting point of the proposal for a representative is that each municipality should be given the authority to decide whether to sell alcohol in addition to the opening time it currently has in the municipality, linked to beer. It was a little strange to hear representatives Karin Andersen's comments, because she actually said that there could be no problem, because you can get hold of beer anyway. Yeah, but what's the problem? Is it that they are actually allowed to sell beer legally during the opening hours of the shops, or is it that you need a state regulation, that it must be drawn for a curtain or covered until after noon. 20 a.m. and 20 a.m. 18 on Saturdays? It was tempting after Laila Davøy's intervention to ask for the word of a manifest misunderstanding. Because it is quite clear that the representative, Mr Davøy, has not at least read the programme of the Progress Party, and I should not deny her that either. But one thing I have to be allowed to say: Earmarked grants from the state are something quite different than publicising the care of the elderly. Already today, the money comes from the state, as it is true, without telling the municipalities how to use it. We just want to name some areas where you're going to use them. This proposal concerns whether the municipalities themselves should decide the sale time for beer in the shops, that the State does not have to decide this. That is what this debate is about. But to put it bluntly: this debate has now been strained by state care for elderly people on the one hand and – I kept saying – ban time on the other, that alcohol is available in any case, to have spirits in every village and country, that it will not cause problems, but if the municipalities are to be allowed to decide that beer is to be bought, for example. until 1:00 p.m. 21 instead of until 20, then it's a huge problem for society.
ParlaMint-NO_2006-12-04-2.ana.ud2368e657	I didn't intend to take the floor until the representative Davøy came up with the question of whether the Left has a policy. What I said in my previous post was that the municipalities should have an alcohol policy plan. It's supposed to be in every municipality. The left has a view of both beer, wine, spirits and other drugs. That's absolutely what we have. We have a drug policy. I believe that also the Christian People's Party has. The point, as I said in my previous post, is who is going to determine the salsities of beer. I have said that it is the municipality that will decide this, and that it means municipal self-government. Is there anyone who disagrees that there is a municipal self - government? I can't understand it. What I see here is that some people think that he who wears his shoe doesn't understand his own best. We've listened to that in many other contexts, or from those who want to deal with the opposite imagery. I myself have our municipal politicians, I have our spokesmen, and I still believe that in this role from this chair, I am as serious as I was in the old role.
