ParlaMint-NO_2006-05-23.ana.ud1471e51	The so-called alternate of the state of Troms, Ole-Anton Tegen, has taken a seat.
ParlaMint-NO_2006-05-23.ana.ud1471e833	The Minister of Development's presentation gives a clear overview of a committed government council in a high priority area of government. The centre party is pleased both with the warning of the national target and governance clearance and with the strengthening of efforts to strengthen the UN in the areas of peace building, environmental protection, relief and development. We think it's the right strategy to recognize that we're not as good at everything in Norway. At the same time, we have certain advantages, and they are going to be actively used in our work for development. Energy, peace and reconciliation, women's and gender equality issues and the environment are particularly highlighted, while emphasis should be placed on research, education, agriculture and fisheries. When Norad presented his strategy paper for the next ten years on 18 May, an MMI study on people's trust in Norwegian development aid was also presented. That's called 63 pst. do not know what the help money is. It was also called 59 pst. Of the people who were asked, don't believe the money came to those who need the most help. It tells us a great potential for information. It tells not only about the need to raise both local and central debates on development assistance, but also about what results to expect. So I think it also tells something about the need to stimulate the strengthening of the grassroots exposure in Norway. Voluntary organisations, trade unions and churches have extensive experience in development work. It is important to strike the right balance between stimulating and making demands. There is a long tradition in many communities in Norway to take initiatives and to be creative. I'll give you an example. It is the initiative that was taken at Finnøy in Ryfylke for a short time and which has the title of the Columbia project – with microcredit, with micropower plants and with day centres. This means that there are concrete results where this work is conducted. However, one should not underestimate the importance it has locally in the Finn Island towns, both among adults who are engaged, and not least among children and young people who see that what they are saying is directly helpful in an area that needs their support. Finn Martin Vallersnes has briefed on the IPU conference in Kenya. I had the opportunity to attend there. A seminar was entitled ‘Development of Africa’. It is gratifying to record the progress made, both in terms of human rights and democracy, in many countries in Africa. What still remains with me is the representative from Zimbabwe who cried out loud: put it on the women, if not closed one! And it's Wangari Mathai, who started locally with tree planting for peace, who now after two years in Kenya can register that a stronger fight is being called in her country to counteract corruption. In addition, there is a call for a stronger commitment to own control bodies in many countries, so that we can do even more.
ParlaMint-NO_2006-05-23.ana.ud1471e846	I guess we could all shout like the president of Zimbabwe: put on the women! In its good and comprehensive presentation, the Minister for Development presented women’s assistance, combating HIV and AIDS, women’s right to safe and self-determined abortion and women and gender equality. There are areas of action that the Right fully supports. The Minister for Development also mentioned UN Millennium Goal No. 4 on reducing child mortality by two thirds by 2015, and in that context the vaccination programme, which I believe is a very good and important initiative. However, there is one area I am a little surprised that the Minister for Development too slightly above, namely women’s reproductive rights – UN Millennium Goal No. 5, about motherhood and maternal mortality. This is an area that is so important and so crucial that it has earned a clearer and clearer voice here in the Storting. Reproductive rights are about fundamental human rights such as the right to freedom, the right to life and the right to health. Millions of women daily experience violations of these rights. The World Health Organisation report for 2005 ‘Make every mover and child count’ clearly shows the challenges and puts words and numbers on the serious situation. Several hundred million women and children have no access to life-saving health care and care for pregnancy and childbirth. Half a million women die each year as a result of pregnancy and childbirth. More than three million children die in their mother's life and more than four million newborns die the first days or weeks after birth. The WHO report indicates that these mortality rates can be significantly reduced if you can provide comprehensive and good health services in pregnancy, childbirth and in maternity. It is internationally recognised that the action plan of the UN Conference on Population and Development in Cairo in 1994 is the leading document in improving women’s reproductive health and rights. Although the world’s governments were unable to agree on all aspects of reproductive health when the Millennium Goals were due to fall, it is very important that this does not dampen Norway’s attitudes and efforts in this area. On the contrary, the Cairo document must not disappear in other and new objectives and strategies for action in other areas. Norway has to play a clear role as an active champion to meet the commitments of the action plan. Discrimination against women in this area is particularly extensive and cruel. As I said, millions of children and women suffer, and very many die because they do not have access to a minimum of health care and education. When we know that there are women who bear the heaviest burdens in relation to children, family, work, the older generation and the surrounding environment, we can hardly imagine what a tragedy it is for a society when women get sick and die. And it's not because of lack of knowledge that so many of the world's women are at risk of loss of life and health as a result of childbirth. No, it is because those with knowledge, those with political authority and responsibility for health and education programmes and social assistance programmes have failed. They have simply not given priority to women's health and development needs. This is gross discrimination. Women’s health and women’s rights are simply crucial for the development of these areas. And there's certainly no lack of vision. But visions require action, not just from women, but from responsible politicians, governments and organizations around the world. Only visions combined with active action can contribute to change. We live in a safe and peaceful part of the world, and we have freedom in relation to most. Freedom comes with a great responsibility and an obligation to contribute. Norway's starting point is the very best, and we have to take a power cap in the area that I have now mentioned. I will challenge and encourage the Council of State and the Government to pay considerable attention and effort in terms of women's reproductive health and the right to education. Development policy is most important, and Norway must play a leading role here.
ParlaMint-NO_2006-05-23.ana.ud1471e877	There was a great deal to enjoy in the Minister of Development’s presentation to the Storting — a Memorandum of Understanding for an offensive development policy which, in essential areas, announced the need for a change and an end to our policies in this context. There are, in particular, two areas I want to highlight. It is emphasised that Norway would be a critical partner to the World Bank and that Norway would actively use its future governing position in the World Bank. I am pleased that the Council of State stressed that Norway would be concerned that this is not a prerequisite, that there should be no requirement for privatisation in the event of debt cancellation and the payment of loans to developing countries, and that Norway would respond if the World Bank continued to press through ideologically based privatisation. This programme statement harmonizes with the experience we have had in developing our own welfare society: a strong state and a large well-functioning public sector have just guaranteed a society in which citizens have fundamental social and democratic rights. Our country is named for the world's best country to live in. If we had our own crew for women's situation, we wouldn't be behind the general crew. Norway is also a leading country in terms of women’s participation in work and policies and is in a particular class in terms of reproductive health policies. This commits, and it commits, in the sense that we must contribute to the participation of other women in this well-being. I am inexorably happy that the Minister for Development identifies women and gender equality as one of four main areas of action, and that the Government will launch a new action plan for gender equality-oriented development cooperation during the year. Bettering women's living conditions and their reproductive health is not only a prerequisite for combating poverty in the world, improving reproductive health is also a vital investment in future generations and a future world. Recognition of the key economic and social position of women in developing countries suggests that much more of the means of assistance should go for that purpose. I interpret the Council of State's statement to you that that's exactly what's meant. I would also ask the Council of State to seriously consider whether it would not be right to earmark a certain proportion of the aid for just reproductive health. The Minister of Development has previously called on this speaker to support the Global Fund for Safe Abortion, and I am therefore very pleased that the Minister of Development announces support for this fund to compensate for the reduction in support for those organisations that are working to improve reproductive health. More than 68 000 women die each year as a result of lack of qualified assistance in connection with abortion. No matter what attitudes you might have toward abortion and abortion, I don't think anyone can accept that women will die that way. Similarly, a person cannot combat AIDS by moralizing sexual behavior or by preaching abstinence. Information on how to protect against or prevent sexually transmitted diseases and the availability of condoms is what is needed. However, when the situation is that condoms cost as much as a meal and condoms become a deficiency because organisations in the field do not receive support when they are working on contraception, the fight against AIDS and the work to prevent unwanted pregnancies is difficult. Finally, I would like to express once again my joy and joy at the Council of State for the policy that places women's health and well-being at the centre.
ParlaMint-NO_2006-05-23.ana.ud1471e896	The struggle for human dignity and against poverty is the most important political issue for the Christian People's Party. Solidarity with the world's poorest, not just in words, but in action, is our greatest political challenge. And it is quite right, as the Minister for Development said, could there be any greater task for our generation than to make poverty history? If we are to succeed in this work, we must, as Minister of Development Erik Solheim said, do. We cannot accept the injustice that characterizes the world today. We must help ensure that everyone has access to human rights. It's about showing closeness and respect for other people's rights and equivalency. We have a good starting point financially to be able to share our wealth with those who need it. We should have higher ambitions than 1 pst. of GDP — more than one kr per. One hundredth of a second. But aid, or help alone, is not enough. Assistance will only provide long-term assistance and development if it is received by a well-functioning state that can build well-being and distribute the goods fairly – a country that spends not on war and corruption but on education, health and business. Debt relief, trade and investment, together with assistance, are essential to give developing countries real opportunities for development. Developing countries need a stronger position in international forums. It is an overall challenge to better integrate the poorest countries into the world economy. A more open world trade with increased market access for developing countries is more important to combat poverty than just aid. One of the main rich countries can do to support poverty reduction is to open up their own markets to developing countries’ products. The Minister for Development has defined four areas where Norway is among the best in the world, where we have a lot to contribute, including in the fight against poverty. It's energy, peace and reconciliation, women's and gender issues and the environment. It is clear that our competence is important in terms of energy challenges. And we have, and shall have, a strong peace exposure. The Government further points to women’s and gender equality issues, and it is positive that the Government will launch a new action plan for women’s and gender equality-oriented development cooperation. The Council of State states in its statement that the Government will place greater emphasis on the environment than the previous one. The Christian People's Party has nothing against it. But he doesn't say much specifically about what the government is going to do. I would like to challenge the Council of State and the Government in terms of poverty reduction and the environment, for here there is an – too many – unpleasant context. It is my claim that we cannot solve the poverty problems with economic growth. It's not sustainable. We need to solve the poverty challenges in the world with redistribution. It means in plain text that we have to stop the consumption spiral. That means that the rich part of the world must get less and the poor more. There's enough food in the world, it's just misdistributed. The Christian People's Party does not share the government's view of abortion. We want to strengthen the legal protection of unborn life in both the rich and the poor part of the world through increased efforts for women and children, both medically, socially and economically. But none of us want unsafe abortions. The Christian People's Party will therefore work for better access to prevention and guidance, better health provision and financial support. Nordahl Grieg says in the poem ‘To Youth’ [[(1936):]] Norway has established itself with a strong commitment and a clear profile on the international arena. In particular, efforts are being made in the field of peace and reconciliation and the priority given to assistance. It is more important than before to be visible and active. Value diplomacy is becoming increasingly important because opinion expects motives other than national interests in foreign policy. Norway should consolidate its position as a nation of peace and as a nation of humanitarian work, not because we are the best, but because we want to eradicate distress and hunger, and because we want it strong enough.
ParlaMint-NO_2006-05-23.ana.ud1471e924	Let me start by thanking the Council of State for a very inspiring and insightful presentation here in the Stortinget. Norway is a small country in the world, where its inhabitants have been incredibly fortunate both in terms of governance and in relation to natural resources. The debates here in Stortinget may sometimes seem a little petty, even for us who carry out our duties here. Instead of the negative angle of the Advance Party on the Socialist Left, we should be happy to see that the Minister for Development announces new measures. I registered that the representative Vaksdal also boasted of the Council of State, and that is good. Because while we've been debating here today, many people have died of hunger, have been tortured and raped – in our world. Families are involuntaryly separated. Fathers and mothers have experienced that their children have died between their hands because of a lack of vaccine. But here we get a debate on whether SV has turned around or not. I see the Minister of Development as a reform-willing and knowledge-rich state council. And that's good. The world faces major challenges, and Norway is known as a part of the world. What's happening elsewhere in the world is going to have an effect on us. If the Chinese start using toilet paper, the world's forests will be destroyed in 30 years. Climate change policy and climate change mainly affect poor countries, but it will also affect Norway. Environmental policy is also aid policy. Climate policy, pollution and the substitution of developing countries must be combated. I am pleased that this government believes that dialogue should be combated instead of the Bush and the Advance Party solutions. If poor countries develop in relation to the consumption society, of which we are part, simply the world will not have sufficient resources. Therefore, Norway, which has been so fortunate in relation to natural resources, in relation to democratic development and in relation to not being exploited by colonial powers, has a overall responsibility to show solidarity with those who do not. We live in a country built on equivalency and solidarity. Political decisions and actions have enabled us in small Norway to create the world's best country to live in. It's come because we've been able to solidify ourselves with those who need it. The greatest enemy of the welfare state is the dissatisfaction of contentment. Today, egoism and dissatisfaction may seem to be getting stuck in Norway. When parties are given increased excitement to cut to the poorest of the world while in a generation or two they will waste values that it has taken 150 million years for nature to build up, a wonder can be made about what is about to happen in our prosperous society. I am proud to belong to a party in a government that will build international solidarity. For the really big challenges – the fight against poverty, hunger, terror, environmental damage, loss of soil and human life – we must solve with others. Otherwise we'll never solve them. Then we know how it will go. I would therefore once again like to thank the Council of State for a promising and inspiring presentation here in Stortinget.
ParlaMint-NO_2006-05-23.ana.ud1471e944	Both I and all those who sympathise with the Advancement Party must be allowed to give a critical look at traditional assistance without that being tantamount to not caring about the world's poor. On the contrary, I believe that the burden of proof of the effects of aid policy is not with the Progress Party, but it lies with those parties that have defended a system that has not worked for many, many years. The world's poor about Norwegian debate on aid policy is all about whether we can allocate 0.9 or 1.1 pst. of GNI to the poor of the world, if they never see the money. Therefore, our focus must be the ability and willingness to look at an aid policy that is reaching. I record that all those who traditionally defend traditional assistance never allow themselves to go by themselves with some kind of self-critical assessment of whether the system you continue to defend actually works. I – and many taxpayers with me – see no value in pouring billions of dollars out of Norway and into the pockets of corrupt dictators. But we can see great values in finding other ways to get this money to the poor of the world, so that they actually get out of the mess. Then I think we should allow ourselves, as one of the richest countries in the world, to take that debate with a critical look at whether the aid actually works or not. When it comes to increased nutrition development, I have to say that I'm pleased that the government is signaling a greater focus on it. For the past, the focus has been on promoting Norwegian business interests in poor countries. It's supposed to be in conflict with a noble desire to help the world's poor. I am reasonably sure that Norway will be able to facilitate the emergence of Norwegian business around poor countries, it will seem far more effective on the development of democracy, on opening up these societies, on making them more transparent, simply because it means that the nations are going to be heavily dependent on the fact that the companies are there, because they create jobs, tax revenues, values for the society that might be slow, but probably can get out of the misery they've been in for decades. We owe it to the poor of the world to do something about it. Perhaps we should rather channel a little more of today's traditional aid money that way, instead of just cementing our faith in how the aid policy should be. The same applies to trade. I record that a lot of people in different classrooms talk hot and nice about how important it is to get the poor countries into world trade. But at the moment that we actually have the opportunity to do so, through the WTO negotiations, yes, all the instigating arguments come ahead of why we should not remove the customs barriers against the African countries, because it is only the EU that is going to benefit from it anyway. There are many in this room who use it as an argument why Norway should not help to reduce our customs barriers to the poor countries. But at least it's a step in the right direction to let them take part in the trade that over many decades has made Norway one of the richest countries in the world. It is also important that aid policy has legitimacy in the population. It is important that the people have confidence in the achievement of their tax money. I have to say that in all the debates I have followed on aid and development, you always end up in a discussion about how much money you have to give, but never are you able to take a self-searching look at whether the world's poor will be less poor and more satisfied with the maintenance of traditional aid. It is reasonably certain, based on many international reports submitted recently, that this is not the case. After all, we should dare to take those debates, change the means and actually ensure that the poor people around the world can regain self-respect through work, wealth development and trade. It's probably the key, and there's a key that no one in this room, at least not the majority, has to put in the lock.
ParlaMint-NO_2006-05-23.ana.ud1471e957	Despite the fact that the last article here could indicate something else, we must be able to conclude that there is a great deal of excitement about the development policy pursued in Norway. Not least this is the objective of 1 pst. assistance from gross domestic product. It is positive, but a great deal of agreement can also be unfortunate if it leads to the debate to a halt. When the target of 1 pst. I don't think it's due to a lack of political will, either from the previous government or from what we have today, because if you look away from the percentage, and focus on the crowns and ears, you see an impressive growth. When the percentage has not been reached, there is an enormous growth in the Norwegian economy, and not least the high oil price. It is therefore right to claim that the aid policy is and has been a field of activity, and I believe that the binding objective of reaching 1 pst. of GDP, is one of the main reasons why growth has been achieved in this area. Even if one is to stand firm on this goal, it is nevertheless important that one not only adheres to the quantity and forgets its contents. In particular, we want Norway to play an important role in development policy, and we need to focus on how these funds are used. Bad projects or experiences can undermine whole policies. Therefore, strong control and a critical look at the use of means of assistance are crucial. I have to be completely honest and say that when you see how much money Norway contributed to this sector, the debate is far too small both in Norway and in the UK. That is why it is positive that we have received this debate today and that we have received a statement from the Minister for Development. Most of the earth's population is poor. Many live in a wretched state of affairs, without meeting the most fundamental needs. It may be easy to lose your mod, but if you look around the world, you will also see another image. Overall, things are better with the world. Only in China alone have over 400 million people been lifted out of poverty in recent years. In other Asian countries, economic growth is positive. So the old Norwegian saying that when it rains on the pastor, it drips on the clock, fortunately also seems to be true here. Economic growth is a factor in reducing poverty. In Africa, the economy has been growing in many countries in recent years. Although one will never be able to transfer experiences directly from one country to another, we should try to find the common denominators for the countries that have gained positive development. I agree with Mr Solheim when he points out that a functioning state is decisive, that one must also have a market-based economy as an entity. As it seems to me, those countries that have had the strongest growth, either had a natural resource or managed to start a production of goods that they have been able to sell on the world market, which in turn has contributed to this growth. Therefore, the focus on economic activity, industrialisation and trade must be an important part of our development policy. From time to time there is a discussion in Norway about Norwegian businesses should establish themselves in countries with a lack of governance or dictatorship. Of course, there are limits to this. Nevertheless, I would argue that it is an advantage to obtain foreign investment in most regimes. In this way, you can be involved and contribute to development and dialogue, and you also get new channels for interaction, you get a people for people-to-people cooperation through people working in these companies, but one also opens up authority contacts in a completely different way. It is true that we in Norway have created an ethical code for investment in the oil fund. Perhaps it would have been an idea to develop a similar regulatory framework also for investments made by Norwegian businesses. This probably has to be a guide in that case, but I still think it might be important. If we are to get several Norwegian companies to invest in poor countries, I think it is important to have good financing arrangements, schemes that are better than we have today. Now I'm running out of time, but I just want to say that I fully support everything that has been said about indebtedness. I believe that this is one of the reasons why many of the new democracy in particular should be able to function.
ParlaMint-NO_2006-05-23.ana.ud1471e974	It is not difficult to agree with much of the state council's comment, but there are unfortunately large gaps in the statement. Africa as a continent is almost gone, and so is the Norwegian strategy to achieve the UN’s Millennium Goal number one – eradicating extreme poverty and famine. It's just Africa that has the largest proportion of the population who live daily for one dollar or less, and it's just Africa as a continent that is all too often hit by starvation. It's almost as if this is being sacrificed for the sake of the stature of middle-income countries from Latin America and their recent left-wing twist. In April Kjell Magne Bondevik was in Eritrea as the UN Special Rapporteur to the Horn of Africa. This is a country where it was estimated one year ago by the United Nations that two thirds of the country's 3.6 million inhabitants need food aid. Nevertheless, Eritrea will not comply with Bondevik's demand to start delivering food that they already have in stock. The government of the country will rather sacrifice its own population than its own pride. Several foreign relief organisations have been thrown out and signs of widespread famine are beginning to surface. I challenge the Council of State on what the Norwegian position is that Eritrea insists on self-driving when this is obviously not possible, and that its population suffers unnecessarily. Because it can't be passivity. One of the countries I know best is Zimbabwe. The vanguard here has managed to achieve another world record. This time it's inflation. Today it became known that inflation in the last year has been on the whole of 1043 p.m. It has, among other things, the effect that an average family of six needs $41 million of Zimbabwean dollars or about $2,000 a month of food. In comparison, an average works 14 million Zimbabwean dollars. I should also add that there are far more people who don't work than do it. Seven years of economic decline are a major factor in the population every day. 80 pst. by Zimbabwe’s inhabitants live below the poverty line, and more and more people have problems getting enough food. This is an outrage at its worst, and Norway must stand first for a democratic Zimbabwe that sets its own citizens’ needs ahead of those of the rulers. Africa can also help Africa. Only 10 pst. of all trade in Africa is regional, against 50-60 pst. in Europe and Asia. To quote South Africa Finance Minister Trevor Manuel: ‘Why is it that we find it easier to deal with Asia and America than our own African brothers and sisters?’ He answers his rhetorical question at a conference in Burkina Faso with strict visa restrictions, poor infrastructure and a lot of taxes and customs duties. I would also include corruption as one of the reasons for little trade in Africa. The U2 star Bono is in these days on a tour in Africa. He has as his main message that the continent needs more transparency, not bribes. All of this can do something about it. Jeffrey Sachs is one of the world's leading macro-economics and leader of the UN's Millennium Project. He has focused on seven instruments to combat extreme poverty. These are fertilizers and seeds to increase crops, anti-malaria bednets, better access to clean water, increased focus on crops that can be sold on the international market to gain access to currency, delivery of food in schools, call it the eradication of small worms that are common inside the bodies, especially to small children, and the introduction of new technologies, such as: mobile phones or energy-saving both generators and other electrical equipment. Let me take an example from a school in Sauri, Kenya. The school went from being at most medium to becoming the second best of the 253 district schools — these were exam results — because this school gave its children a meal a day. Obviously, children can stay longer at school, be more focused and learn more if they get energy and don't go hungry. Norway has a unique opportunity to be a major contributor to coping with the world’s extreme poverty.
ParlaMint-NO_2006-05-23.ana.ud1471e998	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-05-23.ana.ud1471e1001	I'll take the floor again to comment on a few of the posts. Let me say that unlike their party trap, Højlund, the representatives Øyvind Waksdal and Siv Jensen have had posts that cannot be undisputed. Vaksdal claims that Norway has uncritically spent money that has gone to private pockets to powerholders. Siv Jensen asks: What are we going to do with assistance when the poor have never seen the money? Then I almost have to ask the two representatives: are they familiar with the microcredits that have made sure that poor women in Bangladesh have acquired a small enterprise, sometimes by formalising the informal sector. Maybe they sold flowers, and then they got a small business using microcredit. Have they seen the circumcised women in Ethiopia who are being destroyed for life at birth and who are receiving help from Norway, or have they seen the work to combat precisely sexual mutilation? Have they been to hospitals in Malawi, supported by Norway through the United Nations Development Programme, and have they seen what they're doing? Have they been to Afghanistan looking at training police or contributing to democracy and training? Is this what's going on in private power pockets? Then it's necessary to comment on the Christian People's Party, which is an important part of the breadth of the aid majority, but which turns away when we ask questions about reproductive health. It is that the right not to be abused by sex, the right to decide about sexuality, the right to be born in a safe environment, the right to be prevented, but also the right to safe and self-determined abortion are important parts of working with reproductive health. I've seen pictures from Latin America: a woman who did the 16th abortion, another woman who used celery, a third woman who was lying in a blood pool after a wise man had tried to commit an abortion on her. No women shall be exposed to this. Regardless of what one might feel about the right to self-determined abortion, it is important that we support the Global Fund for Safe Abortion established by the International Family Planning Organisation (IPPF) and that we support the UN Population Programme. I do not believe that the Christian People's Party is on the line of the Bush administration in relation to these organizations, but I think the Christian People's Party is refusing and withdrawing from these issues, which I believe are absolutely crucial if we are to ensure the health of women in the developing countries in the years to come.
ParlaMint-NO_2006-05-23.ana.ud1471e1019	I'm a little in doubt. I am among those who throughout the day have greatly appreciated hearing the well-founded and well-founded contributions from the representatives of the Progress Party. I was therefore quite surprised after Siv Jensen's contributions, which I perceive more as a spontaneous reaction to the reasoned reasoning her own party traps have contributed to this day. There are some strange things that are said, including: that the Progress Party will make better use of the same resources. But that's not what we've heard before, through budgetary debates, etc. One wants to use less resources. So demand an initiative from the defenders of the existing aid policy to see what you are doing. One must have followed very poorly in recent years if one has not understood that there is a significant debate about the development of evaluation tools, not only for auditing but also for impact measurement, development of performance targets and definitions and the confrontation of consequences, both towards us as donors, and towards recipients, who practice this poorly. I assume that the Council of State itself can elaborate on what lies in the new impact assessments you are proposing to undertake, and which I think is an excellent continuation of evaluation methods. I think it all bears witness to a spontaneous post by someone who has actually been poorly followed.
ParlaMint-NO_2006-05-23.ana.ud1471e1028	Of course, it is not possible at this short time, three minutes, to respond to the many reasonable points of view that have come, but let me start by joining Vallersnes: the speech we heard from the parliamentary leader of the Progress Party was strange. Now the Progress Party must come out of the role of victim of politics and over in the role of actor, as a political party, as they appeared in Morten Höglund's contributions in an excellent way. There is not one person in this Chamber who has not taken into account all the critical points made by the Progress Party on Development Policy. We'd like to discuss them. Many of them are sensible, many of them are very central objections, so let's discuss them. We also want to hear the options of the Advance Party, what the Advance Party will do in a much better way, and then we can discuss it too. Then I would like to say that when we go into the aid policy, we have to go into it with the humility that Norway's contribution to aid is 1/40 of what, for example. The Iraq war alone costs. The whole world contributes to aid is much less than the cost of the Iraq war. The whole world contributes to aid is much less than the immigrants send home. The whole world contributes to aid, is just a prom, a fraction, of what, for example. All the warriors in the world cost. So let's have the humility that aid alone cannot change the world, but it can be a small contribution to it, and of course it should be operated in the most sensible way possible. Anette Trettebergstien, Sonja Sjøli, Britt Hildeng and a number of others have raised questions about assembly, abortion and a number of other related themes. I have to say that I am very pleased with the strong commitment that is in the Storting in this area. I don't want you to cheer on me or cheer on the government. I want you to continue to be active and express these views in all the international forums where Norway comes up, and in dialogue with all our partners. Because this is not something the government can do alone. This is the sum of what Norwegian politicians, Norwegian women’s organisations and Norwegian non-governmental organisations do, which can help us to have international influence in this area. And of course, we're going to make sure that money is given to the many things that were demanded. Then more people have been in Latin America. Of course, as in Africa and elsewhere, policy is the most important. Politics, whether it's left- or right-oriented, which is populist in the sense that you just do things to serve rulers right now, without having any long-term perspective, or contributing to dictatorship, does not promote development on any continent. But the fact that popular movements, church organizations, trade unions and indigenous groups that have been very far from power, can now again be included in a power structure and have their voice heard, on the other hand, is very important and significant for long-term development. The single element Norway can most likely contribute here will be different ways of promoting institution building. I get in a final comment back with a summary of the debate and a thank you to everyone.
ParlaMint-NO_2006-05-23.ana.ud1471e1041	It was the Chairman of the Advance Party, Siv Jensen, who made me take the floor again, for there was a lot of talk and many empty words here. The representative Jensen spoke about the importance of having a ‘critical look’ on aid policy. I prefer to call it development policy. The Progress Party will wind up today's u-help and Norad, it says in the programme of the Progress Party. Is it having a ‘critical look’ on u-help? The worst example, however, is that the Progress Party in the 2006 budget cut over DKK 2 billion in aid to Africa. Sub-Saharan Africa is the least rusted region when the UN's so-called Millennium Goals on poverty reduction are presented. In an international living conditions index of 2004, 23 of the last 25 places are occupied by African countries. Cut from the Progress Party will hit the poorest. For example, aid to one of Norway’s main co-operation countries, Malawi, was cut by 140 million. kr. Just 20 million. The kr is left over. Malawi is one of the poorest countries in the world. The country is ranked as No. 165 out of 177 countries on the living conditions index. 14 pst. is estimated to be HIV infected by the adult population. This year’s Norwegian budget is intended to support the development of governance in Malawi, economic reform, health, HIV/AIDS control and agriculture. So there are such measures the Progress Party wants to cut. But it doesn't have much to do with 'a critical look'. The Chairman of the Progress Party should listen to his representatives in the Committee and set up his policies and policies for the future to have a critical look at aid policy, but in fact also take part in the debate, which means that they have to give money to do so. We distance ourselves from the liberalist notion that everyone is self-sufficient, whether you're under the pressure or the dividends.
ParlaMint-NO_2006-05-23.ana.ud1471e1057	Before Morten Höglund gets the floor, the President will say that there has been a situation in which the Council of State would very much like to answer some of the questions he has received, but to which he does not have the time to speak. Rules of procedure make it possible for some participants in the debate to have access to more than one entry. The President will therefore, on the basis of the second paragraph of Section 36, propose that the Council of State and the leaders of the party groups in the Stortinget be given access to the number of three-minute posts they wish. Is there anyone who wants to vote against this proposal? - It's not. It's passed.
ParlaMint-NO_2006-05-23.ana.ud1471e1064	The representatives of Waksdal and Jensen will answer for what has been addressed to them, but I have felt that we have had a very good debate here today – I have to say – based on one, as I have said before, constructive presentation with many useful input. The representative of Klungland, on the other hand – I must be allowed to address it – pointed out that there was probably an undertone of it, that the Progress Party, as was said in the last article, was ‘say enough’. There was no solidarity. You wanted to keep the money at home and not help them out there. That's what I heard in that post, and I think it's not wrong to describe it. What we have just tried to point out in our policies for many years is the effect of the existing aid policy. I didn't think I had to come up here again just to repeat it. It's not about lack of solidarity, it's about seeing the results of what you're doing. It was referred to Africa and our cut in Africa. Africa is probably the continent that tragically has seen what crazy aid can lead to. If you can show that Africa is lifted up in a harmonious and growth-promoting environment as a result of aid, yes, we're going to give for it. But that's not the result, and that's the result we're pointing at. That's why I don't think it's necessary to make the kind of statements that this is a lack of solidarity, it's about being yourself enough. This is not what it is about; it is about addressing development policy constructively and trying to solve the challenges that we see, with instruments that help, not old-fashioned and not traditional, and not, as we have pointed out, planning economic instruments. That's the focus we've been trying to focus on the debate, and that's the focus we also feel that many others in the room have been trying to address through this debate, and look at it with new eyes. We would like to continue on that track, and we accept the invitation that we feel the Minister for Development has addressed to the entire Storting, to be in on it.
ParlaMint-NO_2006-05-23.ana.ud1471e1076	It is now a fact that all countries that have had good economic development over the last decades have been those that have moved away from the planned economy and from the market economy. Why in the world should we, then, push the poor countries around the world into a plan economy that they themselves have left because it does not work? I have to say that the last posts that have been here indicate that attack is obviously the best defense for someone. But it is not the Progress Party that has the burden of proof in development policy. It's the parties that have held on to traditional thinking around this for many, many years. I am somewhat surprised when highlighting the problems in the sub-Saharan African countries, which are perhaps the countries that have received the most traditional assistance and support from Norway for a long time, and which nevertheless seem to be heading in a different direction to the UN's Millennium Goal. It is then necessary to be able to take a factual and well-founded discussion about the tools that have traditionally been used. Everything else doesn't make sense. It's not like the Progress Party doesn't want to help the world's poor. But we've pointed out alternative solutions, we've launched alternative proposals, and we've launched alternative ways of developing and helping nations. It is well possible that the majority in this Chamber do not agree with that. But there's quite a difference between disagreeing with alternative instruments and accusing other parties of not caring. At first, Klungland spent considerable resources talking about how to deal with the world's environment if the Chinese started using toilet paper. That's a pretty good illustration of how you might think in some parts. I want all the world's poor people to have access to the consumption development that we enjoy in this country and that we have received as a result of economic growth and development over a long period of time. I want that for all Chinese, and what I want for all Africans. Why on earth should we deprive them of that opportunity? And how can you say – as some people do in this room – that the key to success is to redistribute the wealth created in our part of the world to the part of the world that hasn't worked out. No, the key to success is to make sure that the other countries that we and many of our fellow countries in the aid policy have kept away effectively, too, have the opportunity to participate in our trade preferences in the context of market economy principles. These are the debates we have to dry up. And the burden of proof is not with the Advance Party. It lies with the other parties in this room.
