ParlaMint-NO_2006-11-08.ana.ud1671e24	The called alternate of the Rogaland County, Siri A. Meling, has taken the seat.
ParlaMint-NO_2006-11-08.ana.ud1671e474	The size goes to the next main question.
ParlaMint-NO_2006-11-08.ana.ud1671e477	I have the following questions for the Minister of Local and Regional Affairs: A traditional centre profile has been to balance the economy between the public and private sectors. The Norwegian economy today has a very fast pace. The latest figures from Norway’s Bank and the SSB show that one of the biggest challenges in the Norwegian economy in 2007 will be labour shortages, with the corresponding wage pressure and the risk of interest rate increase. From history, we know that such economic growth is centralising, and that growth in the public sector in such a situation is like throwing petrol at the centralisation stake. Back as losers stand entrepreneurs and the small businesses in the districts. Does it not worry the Council of State that the economic situation is vacuuming the districts of the labour force?
ParlaMint-NO_2006-11-08.ana.ud1671e485	The government is concerned that we should pursue a policy that contributes to decentralisation. Therefore, any trend towards centralisation will worry us. That's exactly the basis for us taking up district policy in a whole new way. We presented a June announcement to the Stortinget entitled "Heart for the Whole Country". There are a number of different instruments that we can use to ensure that District Norway has both the competence and the willingness to address the challenges they face, and that has been carefully reviewed in the district communication. If we are to succeed in regional policy, we must be able to think districts in all sectoral policies. I can come up with a lot of smart actions, specific, targeted actions, on what we refer to as the narrow district policy, and there are many of those kinds of things inside the district communication. It is important, but if we are really to succeed, we must have the ability to think district policies in general industrial policy, in education policy, in environmental policy, in transport policy, etc. And that's what we've taken as the starting point for the government's policy. Districts and decentralisation in all sectoral policies should be considered. In addition, we need to strengthen the efforts of the narrow district policy.
ParlaMint-NO_2006-11-08.ana.ud1671e492	I thank you for the answer, and I have the following follow-up questions: the evolution rate is not getting us until about a year. My prediction is that we can stand here in the hall next harvest with a moving statistics showing a further centralization. In its programme for 2005-2009, the State Councils own party have a chapter entitled ‘Stop centralisation of Norway’. I quote from that chapter: ‘Through a series of independent policy decisions, the bulk of the population has been undermining parts of the rural labour market.’ We have a centralising economy and a government that in the district notification does not focus on the decentralisation of state jobs. Is the majority of the population not now in the process of making a series of new decisions that will further undermine the labour market in the districts?
ParlaMint-NO_2006-11-08.ana.ud1671e502	Firstly, I must stress that this government represents something completely new in the area of regional policy. Unlike the previous government, we are now taking a district political lift. We simply say that if people are to live and live where they want in this country – and there are a lot of people who want to live in District Norway – there are three things that must be in place: people must have jobs, they must have services, and they must be able to live in relatively attractive places. In terms of services, we take a promise for the local economy that a rare person has seen in the past. Attractive sites we work with in many different ways, including: with a completely new focus on local development. Then we come to the center – workplaces. There, we need to facilitate state jobs – spread them well into the country – and we need to facilitate the new jobs. It's just with a combination of this that we can give it business around in District Norway that we want.
ParlaMint-NO_2006-11-08.ana.ud1671e509	The President will accept three follow-up questions – first Per Sandberg.
ParlaMint-NO_2006-11-08.ana.ud1671e512	Let me first say that there is a little mixed reception outside the municipalities of the promise that the government claims they have given. The Progress Party is fully in line with the Government in relation to the need for municipalities to have increased transfers. But the issue is a little different, because there is a shortage of the workforce that is the big issue, and we have heard that in the Questionnaire today. That's how we have over 430 municipalities, and we have 18-19 municipalities. In the fight for skilled labour, it appears that the public sector is gradually becoming the loser. Among other things, there is a look-up in the Municipal Report today that says recruiting young people into the public sector almost becomes impossible in the future. It brings me to the discussion of the structure we have. This government now wants to build new regions, which are also to have labour, in addition to wanting to maintain today's municipal structure. Is it not time for us to look at the entire government – municipal structure and regional government together with government?
ParlaMint-NO_2006-11-08.ana.ud1671e519	It is a challenge that, in many sectors, we lack labour today. We have to be serious about that, and we're serious about that. Not least, State Councillor Bjarne Håkon Hanssen has presented a message that, hopefully, will give relatively rapid effect to this, namely the welfare message. There's the whole idea that we should be able to take out the difficult potential of having 600 000 – 800,000 people out of work today, and that we should at least be able to achieve to some extent. In relation to the attractiveness of the public sector, and perhaps primarily in the care of the elderly, where we have major challenges, I am convinced that strengthening the economy of municipalities makes working in the care of the elderly more attractive. Employees don't have to run properly as soon as they've done before, it'll be a better working environment, it'll be more attractive.
ParlaMint-NO_2006-11-08.ana.ud1671e524	Bent Höie – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e527	The question that Left travels today is absolutely essential, because it's a question of how a person distributes the whole big pie. The Council of State's response is the district announcement to the Government, which is in reality only cocky in relation to the social development you are facing. The scarcity of Norwegian society today is not economic, but labour supply. It is then very important to have the right balance between labour used in the private sector and labour used in the public sector. Moving that balance dramatically means that those who are going to finance our well-being will disappear, tax revenue will be reduced, and our welfare will be threatened. My question therefore goes to the Minister of Labour and Inclusion on the Government's view of the balance of labour in society today: Does the Government have plans or ideas to start a discussion or to present a comprehensive plan on how the labour force in society today is disposed of – and not least how it will be disposed of in the future – in view of the large plans that the Government has for investing in the public sector, and how could it possibly go beyond the value creation in the private sector?
ParlaMint-NO_2006-11-08.ana.ud1671e536	Before receiving the floor, the President of the Council of State, Bjarne Håkon Hanssen, will ask representatives who ask a question to another than the one to which the main question is addressed, to say so at the beginning of their question, so that the Council of State follows closely. That doesn't mean that State Council Bjarne Håkon Hanssen didn't do it now.
ParlaMint-NO_2006-11-08.ana.ud1671e539	President, thank you for that! I want to say that I very much agree with the good description Bent Höie gives, that we need a mental reverse operation related to what is scarce. We've all grown up at a time when we've been talking about the struggle to provide enough jobs for Norwegian labour, while we're increasingly talking about the struggle to provide enough labour for existing jobs. It's a pretty hard mental reverse operation we have to go through. Now I would like to say that the reports I receive as Minister of Labour are not primarily linked to the fact that the public sector is not able to recruit, although there are some challenges in Oslo, especially in the health and social sector. The scarcity factor is reported primarily from private business. Therefore, one might say that the challenges are very much linked to both the short-term and the long-term: mobilising a larger part of our own labour force, short-term working on labour migration.
ParlaMint-NO_2006-11-08.ana.ud1671e548	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e552	My question doesn't go to Bjarne Håkon Hanssen, it goes to the government council Haga, who got the main question. I also trust that the Councils will follow when we ask questions. The Christian People's Party is engaged in offensive district policy, and I am pleased with all the good intentions that are in the district message "Heart for the whole country" – "With the heart of the right city" for the whole country. We are also concerned that this is about jobs, and it is about good services. As the councillor and all-powerful woman at Utsira said, we must have at least equal well-being in the smallest municipalities, because we have to be attractive. It's true that we have to have attractive places where people can live. But my question is, where is it going to be of volunteering? It won't be good to live in District Norway if we don't have an up-to-date association and active teams and organisations. I miss that. What was set back after the hearing on the district notification in the municipal committee is that we need up-to-date non-governmental organisations. That's why I'm a little surprised that this government is kissing e.g. in higher education institutions, in the support of prayer houses, etc. Where is the Government’s policy on voluntary activity?
ParlaMint-NO_2006-11-08.ana.ud1671e561	The representative Tørresdal is quite right when she suggests that a living district policy requires that we have living volunteering and that we have fires around the country. And we are very clear on that in the district announcement. We seek to underpin all the good initiative that lies in very many communities, among others. through economic instruments. The whole idea of the district message is that we should grab hold of those who want to, and those who can, and then we use the means to substantiate them, not three solutions down on people's heads. So it points out a very important point. I believe that this is very well taken care of in the district communication, and the instruments illustrate that this is precisely what we want: to take hold of the fire souls, to substantiate them, to support them.
ParlaMint-NO_2006-11-08.ana.ud1671e566	We go to the last question in the oral question procedure.
ParlaMint-NO_2006-11-08.ana.ud1671e569	My question goes to the Minister of Local and Regional Affairs, who now has to follow! Coastalists all over the coast started a boom this winter to gain greater power in the beach zone. They wanted to take advantage of the potential for value creation that lies within their local resource, namely a large coastline. The local democracy commission put forward proposals on the same subject, and SV rapporteur Kurt Olsen in Lødingen said: «Many municipalities, such as Lødningen, are relatively desperate to create development and jobs. We have to reverse a negative trend. The beach line is one of the advantages we have." It was probably some of the desperation and impatience that the leader of the Center Party met when she was at the Senterung national meeting this weekend and was challenged as to why she had not done anything about this. The answer she gave, according to Stavanger Aftenblad, was quite surprising: ‘The reason why nothing has yet come from the government on this is that I have put my foot down. What has been presented is not good enough. We need a new beach zone policy that takes into account that we need to have a different policy on the outskirts than in press areas. And I'll sit and sit and sit until we get this in place." black Haga. But Stortinget has received the district message for treatment. It says about the coastal zone policy: ‘There is a stronger geographical differentiation in the guidelines, where protection is more stringent in areas where there is strong competition for coastal zones than in areas where there is little pressure.’ There is therefore reason to ask the Council of State: Why is the Government still sitting and still sitting and arguing about a position that the Government has already promoted for the Stortinget in June? Or is it that in the government it is the Center Party that writes the District Message, and the Socialist Left Party that writes the Plan Act?
ParlaMint-NO_2006-11-08.ana.ud1671e595	It's a correct quote from the district message. It's a quote that represents a position that is completely united in the Government. The government agrees with the government policy described for Stortinget. It's always been like that, it's always going to be like that, and it's like that in this case as well. Then there is a significant scope for interpretation within these general formulations, and the Government is going to hammer out a policy that is far more concrete than what these general guidelines indicate. In that process, there are a number of different considerations to consider, and that's the process we're in. The general one is defined in the district notification. Then we're going to go to work more concretely, as we have to do in legal work.
ParlaMint-NO_2006-11-08.ana.ud1671e602	I'm recording that what the council calls "crimination" when she speaks to her own, she calls "procedure" when she meets the Stortinget. But there is no doubt that in this area there is a significant internal conflict in the Government, and everyone is excited about what will result from this. However, this is also linked to the ongoing debate on a new regional level. For there are lines of conflict in exactly the same area, namely the question of what to decide locally and what to decide centrally. Doesn't the Council of State also see that in a society where the sense is equally distributed throughout the country, if the kind of question can be resolved by politicians who sit far away from where the problems are, it will be felt as centralizing for the local politicians?
ParlaMint-NO_2006-11-08.ana.ud1671e609	When it comes to administrative reform, we're going to get back to it. We do what we say, and we deliver a message to the Stortinget early in December, and then we get to take the discussion about the administrative reform at that time. There is no one who would disagree with the representative, Höie, that it can be perceived as provocative locally that central authorities take decisions that a local authority believes one should be in charge. Then there is a fine balance between securing national objectives on the one hand and securing the local space for action on the other. There are tensions in this, and we have to look forward with light and light so that we can balance the different aspects with each other. As far as the general relation to the beach zone is concerned, I believe it is well expressed in the district message.
ParlaMint-NO_2006-11-08.ana.ud1671e616	There will be two follow-up questions – first Ib Thomsen.
ParlaMint-NO_2006-11-08.ana.ud1671e619	It's a follow-up question to the state council Haga. We're all concerned with a positive development in the municipalities. We ask the municipalities, we often get the answer that they want road, road, road and own resources across the municipality, and that means the development of the municipality. But they experience the opposite, with great limitations. You can't treat all the municipalities as if they were around Oslofjorden. Does the Council not see the importance of differentiated land policies — an important instrument for the positive development of municipalities, rather than a restriction? The councils even talked about not dropping solutions across the municipalities.
ParlaMint-NO_2006-11-08.ana.ud1671e626	These are questions that you can deal with very generally, and then it's pretty easy. I think everyone will understand the need for a differentiated land policy. Then the question is how far a person should go when he encounters other considerations that are also to be taken care of. I think that if we're going to have a reasonable discussion about these issues, we have to be a little more precise and go into some areas of business. But the job of a government is to help us balance different concerns. In some areas, it is important that we have comprehensive national policies, and we have national ambitions, objectives, to be met, but this must be reconciled with the local space for action. We have to work towards the good compromises on this all the way.
ParlaMint-NO_2006-11-08.ana.ud1671e631	Kari Lise Holmberg – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e635	The main issue was the coastal zone policy and the concerns of the rapporteurs, and I will follow it up with the concerns of the rapporteurs about the tasks in the municipalities. Because, in the context of the new regional reform, it has come to light that rapporteurs around the country are actually quite concerned. The Committee was recently both in Oppland and Hedmark, and some rapporteurs expressed some concern about the future when it came to the tasks of the municipalities. However, although the Council of State has assured the municipalities that, in relation to the regional reform, tasks will not be lost, there have been several written signals from the government or department, from the KS, that the municipalities will not lose any tasks in this process. Then I would like to ask the Council of State: what is the motive behind the words ‘in this round’, and how does the Council of State explain the dark clouds that might hang over the Municipality of Norway in terms of task-sharing?
ParlaMint-NO_2006-11-08.ana.ud1671e643	We have established on many occasions that the administrative reform will not involve taking tasks from the municipalities, and that is a matter of urgency. There is no reason for rapporteurs to be concerned about this. If they haven't been calmed down before, we're going to repeat what we've said before, and I'm going to hope that they're calmed down now. No tasks shall be undertaken by the municipalities as part of the administrative reform process. I am uncertain where the representative has these wordings attached to ‘in this round’ from. In any case, it would be contrary to my instincts to relieve the municipalities of tasks, and I see no areas per. Today, where it is appropriate to do so.
ParlaMint-NO_2006-11-08.ana.ud1671e648	The oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2006-11-08.ana.ud1671e654	There will be a number of changes in the list of questions set out, and in this context the President will refer to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 4, from the representative Finn Martin Vallersnes to the Minister for Foreign Affairs, is postponed until the next Question Time, when the Minister for Foreign Affairs has left. Questions 5 and 6 from the representatives of Gunnar Gundersen and Tord Lien respectively to the Minister for the Environment are moved and answered to question 25, i.e. at the request of the Council of State. at the end of the Questionnaire. Question 14, from the representative Kari Lise Holmberg to the Minister for Labour and Inclusion, has been transferred to the Minister for Local and Regional Affairs who is directing him. At the request of the Minister of Local and Regional Affairs, this question is moved and answered in response to question 3, to be answered by the same Council of State. Questions 15, 16, 17, 18 and 19, from the representatives of Odd Einar Dørum, Jan Arild Ellingsen, Hans Olav Syversen and Elisabeth Aspaker respectively, to the Minister of Justice, are moved and answered before question 7.
ParlaMint-NO_2006-11-08.ana.ud1671e669	Due to the fact that many questions have been moved on this time, at the request of state councils, the questionnaire is a little vague, and the President therefore asks the representatives to be careful when their questions come up.
ParlaMint-NO_2006-11-08.ana.ud1671e676	‘Friendly organisations carrying out due diligence in the settlement of rentals to, for example: government institutions are given the estimated value of dues included in total taxable turnover, even if cash sales/sales are well below the VAT registration threshold. Among other things, for volunteering's hard work on the maintenance of our guy, this has unintended effects in terms of reduced effort, with poorer maintenance and access for people to rent space on the guys. Will the State Council consider changes to the VAT Code?’
ParlaMint-NO_2006-11-08.ana.ud1671e688	Voluntary organisations may be required to calculate VAT if they engage in business activities involving the movement of taxable goods and services. These are rules to ensure a level playing field for traders who place similar goods and services on the market. At the same time, we must take care of the role of the voluntary sector in society. That is why we have a number of exceptions for non-governmental organisations, so that they can obtain money for their activities. For example, the registration limit is NOK 140 000 for these, compared with NOK 50 000 for ordinary traders. Much of the effort made in the voluntary sector is done in the form of hard work, usually in order to solve the tasks of the organisation concerned — paint the clubhouse, maintenance of sports facilities, etc. Sometimes it is also organised for others – outside the organisation. If this is done now and then and does not have a lasting and professional character, it cannot be called a business. This kind of hard work will also not be in the way of the business of ordinary traders. In practice, I think it is relatively easy to identify what is a business, but there are certainly borderline cases, and then you have to consider the cases individually. Payed for goods or services by means other than ordinary means of payment, e.g. in the case of bartering, this is considered to be two sales on the basis of which a charge shall be calculated on the price of the benefit provided. Normally it will correspond to the turnover value of equivalent benefits. The objective is to ensure that the State does not lose VAT by reducing the tax base. The trade to which the representative Schlatten refers has not been assessed either by the Ministry or by the Tax Directorate. I therefore ask for an understanding that it is difficult for me to assess this question on the basis of the information I have so far. However, I would like to ask the Tax Directorate to take a closer look at this issue, including whether the considerations behind the rules warrant such an interpretation.
ParlaMint-NO_2006-11-08.ana.ud1671e701	I always understand the Minister of Finance's problems with possibly answering questions from time to time, but I see the answer as positive. I want to underline some of what she says in her listing of the legislation, namely that this has to do with competition with normal business. In my view, hard work in exchange for rent has no influence on it. I believe my advice – and also my prayer – from here must be that more consideration must be given to volunteering. Then it might be tempting to point out to the local government minister, who was just talking about volunteering in the districts, that it must be preserved, that the fires must be preserved. I think she said something like we don't have to three solutions down on people's heads. That's exactly what you're doing here, and I hope the Minister of Finance will take it with him.
ParlaMint-NO_2006-11-08.ana.ud1671e708	I said in my reply that I should ask the Tax Directorate to look into the issue that has been raised here. This is an example that has a level of detail that makes it very difficult to go in and say if it falls on one side or the other of the legislation. But we would like to take a closer look at the matter. The whole background to our border crossings is the situation in which professional non-governmental organisations are increasingly able to deliver goods and services, which will compete with small traders operating in the same field. That's why there's a need to look at how the rules are applied on a case-by-case basis, if we're in doubt.
ParlaMint-NO_2006-11-08.ana.ud1671e715	It is true that voluntary organisations gradually become more professional, but it is also a result of the demands of society – the society in which they live. I think that just this borderline case in terms of hard work, in particular in exchange for rent, perhaps especially in exchange for rent from state institutions, is so much so that it might require special regulatory solutions. I know the problems by changing the VAT law. It is not easy, and there are many considerations to take, and I must wish the Minister of Finance luck in finding a good solution here.
ParlaMint-NO_2006-11-08.ana.ud1671e720	I thank you for all the congratulations it is possible to give. The matter raised by the representative fleet is one that has so far not been subject to assessment either in the Tax Directorate or in the Ministry of Finance. It's when that case gets there, that we can go into the question of delimitation.
ParlaMint-NO_2006-11-08.ana.ud1671e729	‘Bioethanol cars are badly affected by the Government’s proposed changes to the one-off fee. The Ministry of Finance considers that the type-approval underpinning the motor vehicle register does not indicate whether the vehicle can use high-intensity biofuels. The Ministry of Finance therefore considers that it is not possible to adapt a special charging treatment for such vehicles. Will the State Council, pending a new motor vehicle register, provide the bioethanol cars with a one-off charge?’
ParlaMint-NO_2006-11-08.ana.ud1671e736	I am pleased that, in the context of the 2007 state budget, we have started to convert car charges in a more environmentally friendly way. So we're proposing a system that premieres cars with low CO2 emissions. It is an important signal for both consumers and manufacturers. In the new system, the one-off charge will be calculated on the basis of the weight, power and emissions of CO2 of the vehicle. If there is no information on CO2 emissions, use the car’s cylinder capacity instead. The weight, power and CO2 emissions data will be taken from the motor vehicle register. The motor vehicle register is again based on data from type-approval. Neither the motor vehicle register nor the type-approval contains per information today on which cars can use bioethanol. Nor are fixed criteria for which vehicles are to be considered as bioethanol cars. All petrol vehicles will initially be able to run on the fuel involved a greater or lesser degree of ethanol. The proportion could be increased, depending on the modifications made to the cars. Therefore, as indicated in the draft budget, it is not now possible to include a special fee treatment for such vehicles in the ordinary charging procedure. This applies initially regardless of the way in which a one-off fee is to be facilitated. However, I have already commissioned the Customs and Tax Directorate to take a closer look at these issues. This is, of course, in the light of the issue raised by the representative in his question. In the light of the feedback from the directorate, I would like to assess how the tax management of bioethanol cars can best be adapted to the one-off charging system.
ParlaMint-NO_2006-11-08.ana.ud1671e757	I thank you for your answer. In fact, according to the Norwegian Bioenergy Association, the Customs and Fee Directorate and the Road Directorate confirm that it is fully possible to provide a special tax relief for bioethanol cars. Starting with more cars that can go on biofuels is very positive, and the Right also supports the conversion that takes place to get a more environmentally friendly tax regime. What we see is that cars have a life span of about 20 years. And even if the pumps are not available today, they will come to us as we get more cars into the market. At the same time, we know that the tax conversion to which the Minister of Finance has been a driving force unfortunately leads to the choice of diesel cars by a great many rather than by example. biofuels cars, which result in both higher CO2 emissions and not least higher particulate emissions. How does the Council of State want asthmatics and others suffering from particulate and NOx emissions to respond to this, and what is her response to those environmental challenges?
ParlaMint-NO_2006-11-08.ana.ud1671e772	Let me take bioethanol cars first, because I fully agree with the questioner that it is desirable that we get pumps up with this type of fuel, while at the same time getting a larger part of the car fleet over to so-called flexible cars. Today there's only one pump in the whole country, and it's at the Storo Center in Oslo. It's a little long to travel for most people who were going to buy a bioethanol car. But this pump is there because our government and I introduced a full exemption for the so-called E85. I am very pleased that the Right now supports such a tax exemption that they themselves did not implement when they had the Ministry. It may seem that both in the motor vehicle register and in the type-approval specifications that make it easy to identify bioethanol cars, so as to agree on the definition of them, and that it is then possible to differentiate the one-off charge, so as to arrive at a favourable tax rate. The price is for the negotiators to decide at last. The rest I unfortunately cannot answer, if the representative does not ask me an additional question.
ParlaMint-NO_2006-11-08.ana.ud1671e781	Sweden has about 30 000 E85 cars, the United States has about 3.5 million E85 cars, and Brazil has 2.5 million E-100 cars. Norway is perhaps selling as little as 350 E85 cars this year. This is due, inter alia, to: that these cars cost NOK 6000 to NOK 8 000 more than normal petrol cars, and unfortunately the charging system does not take account of the environmental aspects that it has. I therefore ask the Council of State to speed up the work of getting a tax conversion that actually gives biofuels cars a tax relief. It has been said from Nobio that it is assumed that a tax reduction of approximately NOK 20 000 will lead to a sale of between 2000 and 3000 cars in 2007 alone. It is now known that hybrid cars have a special exception because their batteries weigh considerably more. It was not possible to imagine such a stencil charge for hybrid cars, for example. 75 pst. of ordinary CO2 emissions?
ParlaMint-NO_2006-11-08.ana.ud1671e791	Luckily for the work on getting to a more environmentally friendly car park, there has been a government change, because immediately after we started, I started to work on this work over a wide range. These are the general changes in the one-off charge, this is what we are going to do in terms of the annual tax on local emissions – which is also announced – and all of this work is to increase the use of flexible cars or much greater use of bioethanol. Hybrid vehicles are identifiable in the motor vehicle register today. The job we're going to do now is get the biofuels identifiable. It can go faster than we thought when we provided the budget. I have a high pressure on this work, because it is a strong wish from this government to get up the market that makes it interesting to buy a car that can go on the E85, while we continue to get the pumps up. However, there are differences in the charging system based on different models, so that the picture of the representative Skovholt Gitmark drawing from the differences in charges for flexifuel cars becomes somewhat too general.
ParlaMint-NO_2006-11-08.ana.ud1671e802	I would like to ask the Minister for Local and Regional Affairs the following questions: «As a wholesaler from Hedmark, I have received many enquiries from people, most of them, about long processing times for different applications. In the Glåmdalen newspaper of 30 October this year we could read about someone who wanted to sell a farm, and that the trial period took exactly one year. Is the Council of State satisfied with current practice, or will the Government work to ensure that the processing time is as short as possible?’
ParlaMint-NO_2006-11-08.ana.ud1671e811	For individuals and businesses, effective public sector procedures are very important. I have to limit my response to what falls within my remit, that is, the state's relationship with municipal administration. It is my opinion that the municipalities must ensure efficiency and user-friendliness in their proceedings. A nearby idea of reducing the duration of proceedings may be to introduce time-limits of procedure. However, a dilemma with regard to time-limits of procedure is that the total resources allocated to the proceedings do not increase as a result of time-limits. As a result, municipalities may have to transfer resources from other sectors to the sector where deadlines are introduced. So you just move on to the problem. It is also the case that it is the individual municipal maritime that is closest to knowing which matters are most urgent. At the same time, we must always assess whether, in the priority sectors, we should have procedural deadlines for the municipalities. In this area, too, we are facing the classic balance between state governance and local maritime governance. In my opinion, the role of the State must, however, be primarily to provide the municipal sector with sufficient resources, so that municipalities have the capacity for efficient and rapid processing. The government's contribution to the local economy is an important contribution to keeping procedural time down. The local government sector needs to ensure that the growth that municipalities now have is used to provide better services to citizens. We are now in the situation that Norwegian municipalities in 2006 and 2007 will have a growth of over 18 billion kroner. This money is supposed to go to a lot. They shall be used for maintenance and for the amortisation of debts. They shall go to better school and care services, child protection, culture, etc. However, it is doubtful that Norwegian municipalities now have the opportunity to strengthen the processing capacity, and thus the processing time could also be reduced.
ParlaMint-NO_2006-11-08.ana.ud1671e824	I would like to thank the Council of State for the answer, which, to my mind, was good. I hope and believe that the Council of State understands that when a case goes out, it imposes large extra costs on the applicants. It also causes applicants, both anxiety and uncertainty about what is happening. In the example I mentioned, someone wanted to sell a farm. It took exactly one year for them to get a positive answer. I hope the Council of State agrees with me that this is too long. State councils talk a little about procedural deadlines. Then it might be interesting to hear a little bit more from the Council of State about how long the deadlines might be, with the government we have today. Things take a long time, and it creates, as I said, uncertainty, extra expenses etc. It is therefore important that there are clear guidelines on how long a case should take. No matter how large a municipality has, it must give priority to this.
ParlaMint-NO_2006-11-08.ana.ud1671e833	I have to ask for an understanding that I cannot go into this single matter that the representative, Mr. Bredvold, refers to, but on the general we fully agree. We have too long processing times in many municipalities today. We have to bring them down, and I think we are making a solid contribution to it when we now strengthen the local economy as significantly as we do. Then we always have to consider which sectors it is wise to have procedural deadlines in. In the case of construction products, we have established an intricate system of deadlines. Whether to do so in other matters, we want to have a continuous assessment, but then all the way in this perspective: what is it wise to impose on the municipalities? What's the wisest thing for the municipalities to do with the sea?
ParlaMint-NO_2006-11-08.ana.ud1671e840	I thank the Council once again for the answer. Many municipalities are struggling with population decline. When you have such a long procedure that you don't get to move because of it – in this case, the farm is empty, but there are many such things, this is just one example of many – it doesn't contribute to the growth of a municipality, nor does it lead to population growth. Rather, there will be a decline in population, because in the meantime, those who were interested in a property or a house might find themselves somewhere else. In addition, the economic aspect for applicants comes. Could the Council of State imagine that if you exceed the time of proceedings – many hope that the work will be continued, and that you think a little more about it – can the applicants at least cover some of their expenses? In this case, the applicants had to leave with approx. NOK 50000 extra due to a long procedure period, according to this newspaper article.
ParlaMint-NO_2006-11-08.ana.ud1671e847	And once again, on general terms, we're in complete agreement. It is not sustainable that the length of the procedure should be as long as it is mentioned here. I see clearly that it has consequences for the individual, and it may be unfortunate also in terms of what the representative, Mr Bredvold, mentions here, as if you do not want to live in a place, but choose completely different solutions. So the question of penalties in relation to time limits. First, we need to clarify the areas in which these deadlines are to be met. But if you decide to have deadlines, I think it is quite reasonable that you also have sanctions, that it has the consequence that you do not meet the deadlines. There is a track you have chosen to enter in the case of construction products, where the system operates in such a way that if the deadline is exceeded, the construction fee will be reduced. So it's perfectly obvious that deadlines should be set, there must also be a clear incentive here in order for those who have been given the deadline to actually follow up.
ParlaMint-NO_2006-11-08.ana.ud1671e854	So we go to question 14.
ParlaMint-NO_2006-11-08.ana.ud1671e861	This question, from Kari Lise Holmberg to the Minister of Labour and Inclusion, has been transferred to the Minister of Local and Regional Affairs, who is directing him.
ParlaMint-NO_2006-11-08.ana.ud1671e864	I will be asked the Minister for Labour and Inclusion the following questions, but they are well answered by the Minister for Local and Regional Affairs: ‘It appears from the Evening Post on 26 October this year that there is a great deal of uncertainty about the costs of making public buildings available to everyone. In a public investigation, the cost is 80 billion. kr. [[NOT 2005:8]] Now a review of Civil Engineer Finn Aslaksen has shown that it will cost down to 10 billion. to make the public building of the country available to disabled persons. What will the Government do to arrive at a real and secure numbering material?’
ParlaMint-NO_2006-11-08.ana.ud1671e873	As part of the work on the revision of the Law on Planning and Buildings, I have commissioned an investigation to calculate the costs of requiring universal design in existing buildings, installations and outdoor areas aimed at the public. Universal design means that products, construction works and outdoor areas should be designed in such a way as to enable all people to use them in an equal way, as far as possible, without special adaptations or aids. The Norwegian Institute of Urban and Regional Research, NIBR, is carrying out the work, and we expect the report to be completed in March 2007. The investigation shall provide a more precise estimate of the cost of upgrading buildings to the public. The government is in favour of following up the Syse Committee's proposal to require universal design for new buildings aimed at the general public. We can't help but realize that the NIBR price tag will be crucial for how fast we can follow the selection's proposal to require universal design also for existing buildings. But let there be no doubt about our goals and ambitions relating to availability. In addition to what I mentioned, the NIBR asked to point out building types where an upgrade would have the greatest effect on expenses. Furthermore, they are asked to provide advice on the priority of type of building in relation to its utility and importance. In addition, the Ministry has asked the State Building Authority to determine which specific requirements they consider should be laid down in the regulations, i.e. the specific nature of the universal design requirement, including the elements of construction, facilities and outdoor areas which must comply with universal design requirements.
ParlaMint-NO_2006-11-08.ana.ud1671e884	The Council of State itself mentioned the review of the Syse Committee and the requirement there. This is politically an old thing, to say it like that. There is nothing new that has come on the table in this round. I looked at the budget for 2007. It states that universal design of dwellings and other buildings should be given high priority and that the construction industry should be encouraged to follow up, as the Council of State said. Furthermore, there shall be an assessment of the technical regulations of the Law on Planning and Building, as the Council of State also briefed. But there is little or nothing about concrete measures or the allocation of resources by the Government. I therefore want to be quite concrete and right on the matter: When and how will the Government improve the conditions of the disabled? When can disabled people expect to see concrete results?
ParlaMint-NO_2006-11-08.ana.ud1671e891	The representative Holmberg is quite right in that this is an old political matter, and it has been done far too little in the field of universal design in the later years. Now we have a review of the building part in the Planning and Building Act. It is an important field in which we must be clear about universal design. Now the discussion is on how to design the requirements. In addition, we have the House Bank as an important instrument. The House Bank has a clear focus on universal design, and there is a lot of good work in the House Bank in this area. But I don't think it's hard to say that we have many large unsolved tasks in the field, because it wasn't much to take over after others in this area either.
ParlaMint-NO_2006-11-08.ana.ud1671e900	It is likely that much is in contrast to the election campaign that the government parties led at the last big shot, also in this field. When it came to improving the conditions for poor groups of resources, it was almost not the way to do what to do, just to get into government. Now we see that many tasks could well be solved, because the tasks are clear, but there are questions about funding, and there are questions about the willingness to get it done here and now. However, the 2007 budget does not contain any measures. Does not the Council of State think it is a little strange in relation to the election campaign that the party of the Council of State also participated in, and all the promises made to vulnerable groups?
