ParlaMint-NO_2006-03-29.ana.ud2478e24	The called alternate of the Aust-Agder County, Kjell Ingolf Ropstad, has taken the seat.
ParlaMint-NO_2006-03-29.ana.ud2478e498	I can assure the representative Gerde that the government has a plan, and it's very good. With regard to the regional reform — or the administrative reform, which is the correct term — we initially have a three-fold objective. Administrative reform will contribute to more democracy, it will contribute to decentralisation, and it will help us to make greater use of local advantages. I believe, as the representative pointed out, that there are objectives that the Left too will be very pleased that we have defined. It's interesting that the Left didn't get done with this in the four years that they put in government. Now there is a government that aims to get the administrative reform in place. We're going to define the regional level. We will have things operational from 1 January 2010, as it says in the Soria Moria Declaration. We're now in a process where we define the problems. A notice shall be submitted to the Stortinget for the autumn and the representative shall receive a final answer as to what tasks we consider to be transferred from state to regional level, and, where appropriate, what tasks we see for ourselves to be assigned to the municipalities. Now let's do the problems first, and then we'll look at the geography. That's the only way to get ashore. We have had nine hearings around the country, and there we have received broad agreement that this is the process that must be underpinned. In terms of geography, we're going to get there at some point. I can assure you that we will take volunteering as a starting point. It would be pointless if the government were just to cut through across the people's will. But if you don't agree locally on how the regional breakdown is going to be, then you have to be absolutely sure that the government will as well as the ability to cut through and define what to the seventh and last will become the final boundaries – and then the Storting will deal with it.
ParlaMint-NO_2006-03-29.ana.ud2478e508	I thank you for your answer. The left, as pointed out by the Council of State, has not taken a position on what kind of regional level Norway should have in the future. We would first have an evaluation of the trials that have been started. For my part, I thought it was promising with the single-member attempt to merge the county council and County Council, which More and Romesdal have tried. It has actually made life easier both for the municipality and for private people who are going to deal with the county municipality and the county. But now the Council of State says that one should decentralize tasks, and many, including central party politicians, claim that without including hospitals in such a reform, new regions will not have any meaning. Does the Council agree that hospitals should come at county or regional level?
ParlaMint-NO_2006-03-29.ana.ud2478e517	We're now in the middle of a process of defining which problems are to be moved. I am challenged every day to say something concrete about what tasks I think should be moved. If I now started going into individual sectors and saying my heart's opinion about them, we would be in a very difficult situation. Now we listen to municipalities, we listen to counties, we listen to employees, and we listen to business organisations. Then we come to a time when we have to make the final decisions, and what I can say about tasks, is that both the Workers' Party, SV and the Center Party have great ambitions in their programs in terms of what can be moved. The details of this are given for the autumn, when the gross notification is available.
ParlaMint-NO_2006-03-29.ana.ud2478e522	The President will accept three follow-up questions – first Ib Thomsen.
ParlaMint-NO_2006-03-29.ana.ud2478e525	I've heard someone say in the past that they have a plan. It was the Olsen band, and they didn't always succeed in their plans. This strengthening of the municipalities was a central point during the election campaign, and it's probably also in the Soria Moria declaration. There's nothing to strengthen the county and the regions. I don't think anyone will go on a torch to create regions, but I think people will go on a torch because they want to strengthen their own municipality. The Danes have done it with two levels. They've managed to strengthen the municipalities. I did not hear the council say what should be taken from the municipality, and what should be added. Can I get an answer to that question? Then, in conclusion, I would like to propose that the Council of State use the gain by not establishing regions and putting down county municipalities to strengthen local democracy.
ParlaMint-NO_2006-03-29.ana.ud2478e534	It is a fact that there is disagreement in the United Kingdom as to whether two or three levels of government should be in Norway. The government is clearly of the opinion that there should be three levels of government. That's a choice we've made, and that's, among other things. to prevent unnecessary red tape at an intermediate level, which has been achieved by all countries that have tried two levels. So the government has decided that there will be three levels of government. The process may show that we are able to carry out some new tasks in the municipalities, but the fact that we choose three levels of government is also that there will be no massive transfer of tasks to the municipalities. That doesn't mean we don't need to strengthen the municipalities. We do that every day now by adding more finances to the municipalities, we do it every day by helping to increase the room for action. We do not do what would really take action from the municipalities, namely to run price financing, check policy, as the Progress Party wants.
ParlaMint-NO_2006-03-29.ana.ud2478e541	Kari Lise Holmberg – for follow-up questions
ParlaMint-NO_2006-03-29.ana.ud2478e544	I am aware that the Council of State has announced that the county elections in 2007 will go as planned, but in the case of the county or new regions, there will be a new election after two years. This bears the mark of haste. It is clear that the Government internally disagrees on the content, on the division of tasks. It also becomes clearer and clearer that the municipalities themselves, the politicians and the leaders, want the municipalities to have more tasks. In a management panel consisting of 200 conductors, there are 88 pst. who want the municipality to have more tasks. So the Council of State has set a very tight timetable with a big message in the middle of the state budget treatment for the autumn. You might have to wait with final treatment for spring. Then comes a new decision in relation to the boundaries. With all the uncertainties that reflect, with all the disagreement that it seems to be, isn't this too fast? Isn't this an undemocratic mess?
ParlaMint-NO_2006-03-29.ana.ud2478e551	The government has set up a broad democratic process linked to the administrative reform. That's why we're now using a lot of energy to listen to people, both in municipalities, in counties and in many other contexts, including non-governmental organisations and employee organisations. Hastings? Yes, we're in a hurry, because we want things done. Now we've been through many, many years where we haven't been able to figure out what kind of intermediate level we're going to have in Norway, what the content of the counties/regions should be. We have a lot of basic documentation. The problem has been that no one has cut through. The previous government had no idea about this and let things scour and go. The investigations are there, we have an excellent basis for making decisions. Now we're running the process, and we're going to cut through and get this well in place within the time frames that we've defined. It's not about anything rough that's going to go on democracy, it's about having the will and the ability to cut through and get things done.
ParlaMint-NO_2006-03-29.ana.ud2478e558	Last follow-up questions – Bjørg Tørresdal.
ParlaMint-NO_2006-03-29.ana.ud2478e561	The Christian People's Party agrees with the intentions of the governance reform. We want larger and stronger regions under popular governance. But there's one thing there's been a lot of focus lately, and that's the process. I could have said a lot about it, but I'm going to leave it down and focus on the purpose of the reform. What should the change mean for the individual population? How are most people going to notice this big administrative reform, or the change, that's going to take place? How does one imagine that this is going to work for people most in five to ten years?
ParlaMint-NO_2006-03-29.ana.ud2478e566	I think it will be such that even in the future people will feel first and foremost that they are close to their municipality, the primary municipality. And that's how we want it to be, because it's in your municipality that you have the daily offer related to school, care for the elderly, kindergarten, etc. So it's excellent that people have the main connection to their municipality. After all, when we implement the administrative reform, it is primarily to manage public administration in a wisest way, and then we believe that decisions should be taken as close as possible to people. That is why this is both a democratic reform and a decentralisation reform. We are convinced that, at regional level, more responsibility for industrial development in a broad sense will be given to a few solutions that are better adapted to local conditions, and one will also be able to take out the creativity that exists locally. So we will get results that are important to people, but the proximity I think will hardly be particularly large to the regional level, it will be primarily at the municipal level.
ParlaMint-NO_2006-03-29.ana.ud2478e579	Then we go to the next main question.
ParlaMint-NO_2006-03-29.ana.ud2478e582	I have a question to Haga, the Council of State. The government has gone high, often with great conviction, and is committed to a significant strengthening of the municipal economy, a strong and healthy municipal economy and a good welfare offer, which the Progress Party believes is also very important. The promises were in line during the election campaign: 10,000 more employees in the municipal sector, more hands in care, home care and nursing homes. Poverty was to be abolished – it was also said in the election campaign. Several teachers at school, several hours at school, free school food, which has now become fruit and green, and not least the swimming pools. Full swimming pool was used as a symbol throughout the campaign, they were to be filled up. And then: the follow-up and maintenance of schools and churches. 'The churches rot,' said the Council of State throughout the campaign. And the free principle in school was to be strengthened. Still paying the parents camp school and skiers. The government also encourages rapporteurs and municipalities to look at the school structure, what it now involves, and to develop a comprehensive plan to correct the financial imbalances in the municipal sector. We're waiting for that, too. Some in the Government have put their honor and position in that the Government will build kindergartens for everyone who wants to do so, and will introduce step 2 of the kindergarten agreement, which means that the price of the nursery will be reduced to NOK 1750. What's common to all of these bets? Well, it's the municipalities that are responsible for offering this. The government owes it to update the Storing and the population in this important area. Based on all enquiries by e-mail and telephone, there are still major deficiencies in the municipalities. Can the Council of State give an update on what the stand is like today?
ParlaMint-NO_2006-03-29.ana.ud2478e593	It may be that I should ask for a little more than 2 minutes to answer this question, but I will do my best within the timescales that exist. The government has great ambitions on behalf of the Municipality of Norway. We have set ourselves the goal of restoring optimism in Kommune-Norway, and we are going to make Kommune-Norway shine. There's a lot of ambition, and we're doing that project. The fact that municipalities could start in 2006 with DKK 5.7 billion more than they started in 2005, is in itself a clear expression of the efforts we have in the municipal sector. Fortunately, the reports are now pouring in to us that the extra money received by municipalities helps to strengthen the service provision around the country. We're getting reports of community schools that can be maintained, of increased school investment, of increased spending on care for the elderly. We're glad. We also received a study that showed that half of the municipalities that had closed their swimming pools because of their economy are filling up water in them again. That's what the Nettavis reported on here by day. So things happen all around Norwegian municipalities, and nothing is more pleasing to us, given that this is one of our important areas of activity. Then it's a good thing before we're in the goal of getting the local well-being as good as we want. Therefore, it must become a stepping-up plan for the municipalities. Therefore, we need to be even better at making good use of resources in the municipal sector. We also have discussions with the municipal sector about that.
ParlaMint-NO_2006-03-29.ana.ud2478e604	The reports also flow into the opposition policies of the Stortinget. I have e.g. received an e-mail, and I quote: «I work as a teacher at Gruben elementary school in Mo i Rana. The red-green option promised us in the Soria-Moria statement that it would be invested in the school sector, but as many of the other things they promised it would not happen, at least not here. In Rana it will be cut to the next year about. 50 teaching positions, 12.5 positions at my school. Is this the promise of knowledge?? This means that the students who need, and who are actually entitled to organised education under the Training Act, will not receive it.’ Then there are different reports ticking in. What will the Council of State do next year? Will she then follow up with a new 5,7 billion kroner, or will she want to increase even more when there are yet completed tasks in the municipal sector?
ParlaMint-NO_2006-03-29.ana.ud2478e614	It is a challenge that municipalities have been hungry for very many years, and there is a considerable delay – to use that word – in the municipal sector. The hunger and the lag in the municipal sector is so extensive that we can't fix this in a year. Yes, I have a lot of good reports about things happening in the municipalities, but I also get the same reports that the representative Thomsen does, that things aren't as good as they should be. It'll take time to correct what's been the big imbalance in the municipal sector, but we're on it. We've taken a huge lift. And then I probably don't take the budgetary procedure here in this room in the first place. We're going to get it into the government first, and we're going back to Stortinget at the time we're going to get back to Stortinget.
ParlaMint-NO_2006-03-29.ana.ud2478e623	The President will allow three follow-up questions – first Bent Höie.
ParlaMint-NO_2006-03-29.ana.ud2478e626	My question to the municipal minister is: When will the municipal minister put the rhetoric away from the election campaign and take on the responsibility that you also have as a municipal minister to give a correct picture of the situation in Kommune-Norway? The municipal minister continues to talk about the starvation of the municipalities and the inheritance she took over. However, the municipal minister is also well aware of the inheritance she took from the previous government: the surplus in 2005 in Kommune-Norway was DKK 8 billion, over twice as much as the additional allocation granted to the municipal minister, which amounts to 1 pst. the income of Kommune-Norges. In a letter to the undersigned, the Minister of State has itself confirmed that the growth in the income of the Municipality of Norway in 2004 was the highest since 1997. Can't the municipal minister finally say that there was a positive effort to strengthen the municipality of Norway under the previous government on which she can build with great joy?
ParlaMint-NO_2006-03-29.ana.ud2478e633	There are many numbers to refer to from the previous government, among other things. growth rates, with which the representative Höie is very well known, which are much lower in previous years. What is the situation in Norwegian municipalities is that they had a net operating surplus last year of 3.9 pst. We believe that the net operating result should be above 3 pst. But it's not hard to get a net operating result of over 3 pst. You can easily get that by cutting into municipal services. Interestingly, the representative Thomsen just before this question from the representative, Höie, just makes clear what needs are still still in the municipal sector. So the representative Höie and I can play with numbers and percentages, but that's just clearly interesting. Because what we have to be concerned about is what kind of service people actually have in the municipalities.
ParlaMint-NO_2006-03-29.ana.ud2478e638	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e641	State Council Haga has said that we should have a break in the debate on small or large municipalities or municipalities, and such – we should leave it behind when we are now engaged in the administrative reform. It has calmed down, until today we read on the front page of the Municipal Report, entitled ‘Fothen down for Hagas promises’, that ‘Stoltenberg will merge municipalities’. This creates unrest and some uncertainty as to what is the Government's real policy in this area. Is it the case that a person should listen to the promises that there should be calmness about the debate on community reunification, or is his foot down? What is the Government's policy?
ParlaMint-NO_2006-03-29.ana.ud2478e647	I think I recommend the magnificence representatives to listen to what both the Prime Minister and I say, rather than dealing with headlines in the Municipal Report. The Prime Minister has been very clear that we are starting from and practicing volunteering in the area of community reunification. This will in practice mean that if you want to get together locally, we do not put our foot down on it, but we do not want to contribute special baits in addition to what is already in the code for community mergers. We are not withdrawing benefits in connection with a community merger, except that we say that we do not want to fly around with carrots, as the previous government did, for example. that you would get a bridge provided you joined the neighbouring municipality.
ParlaMint-NO_2006-03-29.ana.ud2478e652	The president would say that the question was a little bit outside of the main question. But the government chose to answer that -- not so unnatural, maybe. Lars Sponheim – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e657	I understand that it is uncomfortable to be taken down by its own head of government on the first side of the KS’ Municipal Report, so I will not follow up that question, except to state that insofar as it has been starving in the last years of the municipalities, it happened not least during the Bondevik I government, where Åslaug Haga and her party were also present. But fortunately, significant parts of this have been corrected in the last two years, during the Bondevik II administration. My question is not about that, but it is about the situation we are now facing, if we are to look ahead and have a common desire that the local government economy should be strengthened in order to achieve better well-being. Primarily, the government has managed to raise the local government sector in line with the previous government proposal, with DKK 3.8 billion. That's good. But there is a danger that this will be negotiated in private consumption in the wage settlement we are now facing. There are demands that may be about the double of the action space that has been given. Is the Minister of State concerned that wage-fixing can take this welfare increase out of the municipalities so that it becomes a private consumption?
ParlaMint-NO_2006-03-29.ana.ud2478e664	First to the initial financiers of the representative Sponheim: Freewill is the basis of a municipal merger. It is totally inappropriate for this government to use coercion in relation to municipal mergers. The representative and I quickly agree that the needs of the municipal sector have been high for a long time. I insist that the developments we had in the municipal sector under the previous government were very unfortunate – a considerable aftermath. In the case of wage settlement, it is up to the parties to negotiate. I take as my starting point that the parties are responsible. I think everyone in the municipal sector is concerned that we should do well to help strengthen the service provision around. But I don't want to create any confusion about a payroll settlement, and just repeat: I expect that we will get a responsible settlement within the sector.
ParlaMint-NO_2006-03-29.ana.ud2478e671	Let's go to the last main question.
ParlaMint-NO_2006-03-29.ana.ud2478e674	I am delighted to ask the Minister for Fisheries a question. The government has announced a new business policy and that the toolbox should be filled in. In fish farming, the Government has introduced a new tool in relation to ownership regulation. Just before Christmas, with a short consultation period, the new rules on ownership of breeding were beaten by the Government. No one shall control more than 25 pst. by the concession biomass and permission must be obtained from the Government to control between 15 and 25 pst. of the concession biomass. The hearing raised strong objections from the farming industry, expert teams and the Competition Authority. The industry considers that there are exceptional limitations when no other farming nation has such limitations and that the proposal imposes unnecessary structural constraints on the industry. Professor Frank Asche at Stavanger University thought that the proposal shows little perspective if the goal is to build large, powerful businesses along the coast, and that it can close the door of any unit that can match the international food chains. The Competition Authority considered that the proposal was unfortunate as a result of strong international competition in breeding and indicated that the Competition Act in any case also applies to breeding and that the criteria for preventing mergers below 25 pst. is unclear. In Dagbladet on 9 December last year, there was a suggestion that government sources suggested that the rule of ownership was run through at express speed to prevent billionaires John Fredriksen and Jens Ulltveit-Moe from buying themselves into the industry. The Norwegian farming industry is profitable, non-subsidised, characterised by diversity, strong competition and international orientation. There are more than 200 operators in the Norwegian breeding industry. On the other hand, in more protected areas such as energy and agriculture, the Government has shown a markedly low interest in diversity, the spread of power and competition. Can the Government further justify the Government’s high interest in ownership control tools in the farming industry, and will initially prevent mergers that provide operators with more than 15 pst. of the concessions?
ParlaMint-NO_2006-03-29.ana.ud2478e685	Firstly, I would like to reject the fact that the regulation on ownership in the breeding industry is a new tool. It is a tool that has existed for many years, even under the previous government. What our government has done to ensure a varied structure in the farming industry as in other industries and to ensure that society can control how our natural resources are managed is to lower the boundaries of ownership. That means that if you have to own more than 15 pst. of the total concession biomass, the Ministry of Fisheries and Coast must be applied for authorisation. So the upper absolute limit of how much you can own, is twenty-five pst.
ParlaMint-NO_2006-03-29.ana.ud2478e692	I would like to thank you for your answer. The purchase of Marine Harvest is historical in the Norwegian farming industry. Marine Harvest is mainly old Hydro Seafood, which was sold out by the country in 1996 after buying up a large number of smaller operators in Norway and building one of the country's largest farms. At the time, it was described as a commercial disaster that this major operator operating along the coast was sold out and came to foreign hands. Now we are facing a new roadblock in Norwegian farming policy. Now we have the opportunity to buy back old Hydro Seafood and create the world's largest farm with Norwegian ownership, Norwegian head office and Norwegian stock exchange listing. The company will have more than 3000 employees in Norway and will be a leading player in the world market, but still well below the limit of competition law and dominant position. Can the Council of State comment on the many and, in my opinion, quite incomprehensible plays by red-green politicians about putting boilers in the way of buying back the Hydro Seafood?
ParlaMint-NO_2006-03-29.ana.ud2478e701	The Ministry of Fisheries and Coastal Affairs has received the application from Pan Fish and will be subject to a thorough and effective procedure. The red-green government has not yet concluded on this matter, but when we deal with the application, we will deal with it on the basis of the criteria set out in the ownership regulation. This includes, inter alia: that we shall assess it in relation to whether the acquisition contributes to achieving national industry objectives, whether it contributes to increasing the value of Norwegian fish exports, whether it leads to increased value creation, and whether it contributes to maintaining the industry as a profitable and viable coastal industry. Then we get back to the conclusion when the application is processed.
ParlaMint-NO_2006-03-29.ana.ud2478e706	The President will allow two follow-up questions – first Hans Frode Kielland Asmyhr.
ParlaMint-NO_2006-03-29.ana.ud2478e709	It is striking that every time this government talks about an active ownership policy, it focuses primarily on constraints. Ownership restrictions, which this issue concerns, and acquisition laws are examples of this. It is an explicit policy of most parties in the Storting that the fishing industry is the industry that will contribute income to the country once the oil goes away. It requires the industry to be structured, and Norwegian companies to be the leaders in the world. Therefore, it is positive that one of Norway’s richest men now takes part of the wealth home and invests in Norwegian business. This will help to strengthen the industry and will contribute to the necessary structuring of this industry. How will the Council of State facilitate Norwegian investors to build the world's largest fishing and farming companies?
ParlaMint-NO_2006-03-29.ana.ud2478e719	We will conclude on this matter when we have made the assessments we are going to make in the Department and in the Government. This government suggests that we should pursue an active industrial policy. This means, on the one hand, that we must manage the natural resources with which Norway has been blessed and ensure that the marine resources benefit as much as possible the fisheries-dependent coastal communities. Then, on the other hand, we will contribute instruments through the marine value creation programme and through research and development, so that we can generate new results, including for new marine species, and continue the positive developments in salmon farming – as a very good example of how well public and private partnerships work.
ParlaMint-NO_2006-03-29.ana.ud2478e726	Jan Tore Sanner – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e729	For market actors, and of course also for the farming industry, it is important that competition law is predictable and that it is clear. The new rules on ownership imposed by the Council of State open up political discretion if an actor controls between 15 and 25 pst. It's true, as the Council of State says, there's nothing new with an opening to search for the ministry, but the new thing is that the border is lowered. This has also been criticised by the Competition Authority, namely that there is a lack of clarity in these rules. Now we've had to frame up what's in the rules, but it doesn't seem much clearer for that reason. My question is whether the Council of State sees it as unfortunate that it is such a great political discretion that an actor has to deal with to control between 15 and 25 p.m. of the concession biomass. My other question is whether the Council of State will take the initiative to clarify this legislation.
ParlaMint-NO_2006-03-29.ana.ud2478e734	It surprises me that the limit that the previous government had in the ownership code is being produced as the only right limit. It is true that the previous government raised the threshold in relation to the limits imposed by Stoltenberg I a few years ago. Then the legislation we have is to ensure predictability of the industry, but it must also ensure predictability of all coastal communities dependent on fisheries and dependent on aquaculture. Then I think it's useful that one can also base political assessments, in addition to mathematics.
ParlaMint-NO_2006-03-29.ana.ud2478e741	So the oral question time is over. In an incursion, the President skipped a Document 8 proposal to be put forward. The President will then give the floor to Mr Kjenaas Kjos to put forward a proposal.
ParlaMint-NO_2006-03-29.ana.ud2478e746	I would like to propose, on behalf of Kenneth Svendsen, Robert Eriksson, Harald T. Nesvik, Thore A. Nistad and myself, the necessary changes to the applicable regulations and legislation so that wheelchairs which are only for outdoor use and have a maximum speed of up to 10 km/h may be allowed in line with normal battery-powered wheelchairs.
ParlaMint-NO_2006-03-29.ana.ud2478e751	The proposal will be dealt with in accordance with the Rules of Procedure. We're going to the ordinary question hour.
ParlaMint-NO_2006-03-29.ana.ud2478e759	There will be a number of changes in the configured question list, and the President will show you in the context of the list distributed to the representatives' seats in the room. The President proposed that the proposed changes in today's Question Time be approved. The President sees it as a matter of fact. The changes were as follows: Question 3, from the representative Kari Lise Holmberg to the Minister for Local and Regional Affairs, will be answered by the Minister for the Environment as the appropriate representative. Questions 5 and 7 from the representatives Odd Einar Dørum and Arne Sortevik of the Minister for Transport must be postponed until the next Question Time when the Council of State has left. Question 6, from the representative Per Roar Bredvold to the Minister for Transport, will be answered by the Minister for Agriculture and Food on behalf of the Minister for Transport, who has been away. Following a request from the Minister for Agriculture and Food, this question is moved and answered before Question 18, which is to be answered by the same Council of State. Question 8, from the representative Anders Anundsen of the Minister of Knowledge, has been withdrawn. Question 9, from the representative Jan Tore Sanner to the Minister of Knowledge, will be answered by the Minister of Finance as the appropriate representative. After a request from the Minister for Finance, this question is moved to Question 2. Question 15, from the representative Åse Gunhild Woie Duesund to the Minister for Health and Health, will be drawn up by the representative Kjell Ingolf Ropstad. Question 17, from the representative of Trond Helleland to the Minister for Renewal and Administration, will be drawn up by the representative of Øyvind Halleraker.
ParlaMint-NO_2006-03-29.ana.ud2478e782	‘Recently, examples have emerged that real estate sales tasks contain significant errors, which may lead to large economic losses for the buyer. In this context, it has been pointed out by several teams that the broker's responsibility for the information provided is not clear enough. Do the Council of State agree that the responsibility of the real estate agents for information provided in sales tasks must be clarified in the law?’
ParlaMint-NO_2006-03-29.ana.ud2478e789	It is a very important question that the representative Syversen raises, for the purchase of housing is the largest and most important investment for most people. The more important it is that we can be sure of the information given in the sales assignment. The real estate agent has a legal obligation to investigate information that can be provided and may also become liable if there are defects or defects in the sales task. The question is whether this is sufficient. A public inquiry into changes in the law on real estate was sent to the hearing in January – NOU 2006:1. It was sent out on 27 January and it has a period of consultation on 2 May 2006. It is assessed, inter alia, in the following ways: to impose on real estate agents a more stringent responsibility for the information provided precisely in order to safeguard the rights of purchasers. Today, the real estate agent has an obligation to give the purchaser a written sale task before an agreement is made on the purchase of the property. This obligation arises under § 3-6 of the Real Estate Act. The provision lays down certain minimum requirements as to the information to be disclosed in the sales declaration. The broker's obligation to investigate is governed by Paragraphs 3 to 7 of the Act. This provision requires the broker, as far as it seems reasonable, to obtain and control the necessary information about the property. Paragraphs 3 to 1 of the Act, concerning the broker's obligation to care for the seller and the purchaser, also apply when deciding on the broker's obligations to provide information about the property. In the case of the broker’s liability, the real estate agent imposes unstatutory liability rules – the so-called professional liability. This rule of liability follows from case-law and imposes a particularly strict requirement on the broker's diligence that he or she should not be liable for any lack of or misinformation provided to the purchaser. The selection that has been subject to the Law on Real Estate and Real Estate for the purpose of amending the law has, among other things: addressed the questions of changing and clarifying the broker's responsibility for the information contained in the sales task. In further legislative work, the issue of brokers will be subject to a more stringent responsibility for the fulfilment of their obligation to provide information. The committee has proposed the inclusion in the real estate law of a reference to the fact that the broker is liable under general compensation rules. In addition, the Ministry will consider in more detail whether the broker’s disclosure obligation should be clarified to a greater extent than that resulting from the applicable law. The sample assumes that such clarification could help to obtain more information about the property and make it easier for the purchaser to hold the broker responsible in the event of any later findings. In this context, the legal requirements for the information to be provided in the sales task will also be assessed.
ParlaMint-NO_2006-03-29.ana.ud2478e808	I thank you for the answer from the Minister of Finance, and that is an answer I perceive positively. It is true that there are several actors responsible for information. The tariff industry is also responsible, and there is also a certain responsibility on the purchaser to go through the information that is provided. The legal status of today may be more marked by the uncertainty of individual actors as to the information they themselves are responsible for controlling and producing. Now I am aware that the laws of the tariff industry are not under the Ministry of Finance, but my question is: in the further work of law, will the Government as such ensure that one goes through the responsibilities of the various actors, so that it appears clearer to the public and to the consumer than today?
ParlaMint-NO_2006-03-29.ana.ud2478e817	The representative of the Syvers is quite correct. It's not just brokers that are actors here, it's also buyers and valuers. It is clear that when we go through the Property Agents Act to consider making proposals to the Storting about changes to it, we're also going to wonder if we have a sufficient basis to just change the Property Agents Act, or whether we're also going to take the initiative to change other circumstances. That's the sum of this that's important for the sale of a dwelling.
ParlaMint-NO_2006-03-29.ana.ud2478e822	That's good.
ParlaMint-NO_2006-03-29.ana.ud2478e831	I have a question for the Minister of Finance: ‘The value added tax is 25 pst. for food consumed at the place of supply, e.g. in restaurants, and 13 pst. for food that cannot be consumed at the point of sale, e.g. at refuelling stations. More and more of them now address the problem that many outlets that only charge the low VAT also facilitate consumption at serve-site premises. Thus, the difference in the charge for initially equal catering/sales outlets creates a distortion of competition. What will the Council of State do to eliminate this development?’
ParlaMint-NO_2006-03-29.ana.ud2478e840	First of all, I would like to thank the representative Svein Flätten for being a very eager questioner to the Minister for Finance, and we have a sort of fixed meeting time here every Wednesday. The Ministry of Finance has a great responsibility, and I am very pleased with the interest shown by the Stortinget. As is known, from 1 July 2001, a reduced VAT on food was introduced. The reduced rate is today at 13 pst. However, foodstuffs placed on the market for the provision of food services are not considered to be the placing on the market of food and are therefore subject to a full VAT rate of 25 p.m. The system of different rates for the placing on the market of foodstuffs and serving services has now existed for several years. Corresponding systems also apply in some other countries, such as the United Kingdom and the United Kingdom. in Sweden. The charging authorities have issued several interpretative opinions in this area. The industry should therefore be well aware of the legislation and the closer practice. However, I would like to stress that it is a fundamental principle that VAT should have the minimum effect of distorting competition and that the turnover of equal goods and services should be treated equally. We have recently received reports from the travel industry that there may be problems in the area to which the fleet representative refers. The Ministry has, among other things: on the basis of this, the matter was raised with the Directorate of Taxation and asked the Directorate to assess the detailed design and practice of the legislation. The Directorate has also been asked to assess whether it may be appropriate to implement control measures to ensure compliance with legislation and competition neutrality.
ParlaMint-NO_2006-03-29.ana.ud2478e851	Let me repeat that I think it is nice to meet the Minister of Finance this way once every 14 days! Let me also thank you for a positive answer, especially because the Minister of Finance did not mention what has been mentioned most in the Questionnaire today, the legacy of the past and what has been, because this question is about the development we are now seeing in a slightly late stage of this – the system has been a few years. It's just to go down Karl Johan's street and adjacent streets and see that new types of serving sites emerge that, in a sense, avoid the competition that lies in this. I am very pleased that the Minister of Finance has brought this up with his offices, and could I then imagine asking another question: does she see any progress, i.e. in time, in this area? When can we expect anything about it?
ParlaMint-NO_2006-03-29.ana.ud2478e860	I have no specific deadline for when we can finish this review and present it to Stortinget or Flötten. But I can promise that we'll have full pressure on this case, because it'll be demanding as long as there's a difference of interest, and such a difference in rate as in this case, between 13 and 25 pst. ; it triggers creativity to try to get down to the lowest rate. The fleet has raised a problem that we are familiar with, and that we are now working on, and I promise we will do it quickly.
ParlaMint-NO_2006-03-29.ana.ud2478e867	Does Svein Fleet want the word for additional questions?
ParlaMint-NO_2006-03-29.ana.ud2478e870	No, I don't want to say anything but that positive answers are we happy with, so if you can just keep coming to the Stortinget every 14 days, I'm happy.
ParlaMint-NO_2006-03-29.ana.ud2478e875	It was the pure idyll, this one right here. So we go to question 9.
ParlaMint-NO_2006-03-29.ana.ud2478e885	This question, from the representative Jan Tore Sanner to the Minister of Knowledge, will be answered by the Minister of Finance as the appropriate representative.
ParlaMint-NO_2006-03-29.ana.ud2478e888	We'll see if this is going to be the same fun. I had originally wanted to hear the Minister of Knowledge's views on this matter, but I take note that it is the Minister of Finance who is right to answer the question: «Trondheim survey student has decided that the independent research organisation SINTEF shall no longer be exempt from property and income taxes. This despite the fact that companies which do not have acquisitions for their purposes are exempt from taxes on wealth and income. A change in the practice of equality will also affect other research institutions and mean a sharp deterioration in the framework conditions for research in Norway. Will the Council of State take the initiative in providing a political solution that will ensure continued tax freedom?’
ParlaMint-NO_2006-03-29.ana.ud2478e899	The representative, Sanner, may have to find that tax is the responsibility of the Minister of Finance, even though the Minister of Knowledge has a valid field to cover. Under the Tax Act, companies and entities which do not have acquisitions for their purposes are exempt from property and income taxes. The question of whether the institution has acquisitions for purposes or not depends on a specific assessment in the individual case. The essential elements of this overall assessment are the objectives set out in the statutes, the structure of the institution and the activities of the institution. However, if an institution which does not have acquisitions for its purpose carries on an economic activity, it would be liable for the income and wealth of that activity beyond certain amounts. This is the problem. A device that is first tax classified in a particular category may evolve over time to re-assess its classification. On the one hand, the purpose or actual operation may change and on the other hand, income patterns and economic performance may change. It may also be that collected data from later years’ operations provide a better picture of the actual conditions than those of the previous classification. The institution must reclassify from tax exemption to tax liability if this means a more correct classification under the tax law. The issue of whether an institution is taxable or not in accordance with these rules falls within the jurisdiction of the local authorities. The Ministry of Finance does not rule on the tax liability of individual cases in the administration of the equation. With regard to the tax treatment of research institutes in general, I can inform you that there is a work going on at the level of office where representatives from the Ministry of Knowledge, the Ministry of Industry and Trade and the Ministry of Finance are to see whether the tax rules in force are satisfactory. Further follow-up in this area will depend on this review.
