ParlaMint-NO_2006-05-30.ana.ud2641e38	The representative of Mr Sonja Irene Sjøli will make a private proposal.
ParlaMint-NO_2006-05-30.ana.ud2641e354	I have followed with amazement the debate, especially the speeches that have come from the Right. First of all, I think you're pompous across the street when you quote Arnulf Upperland, and when you also accuse us of lack of empathy. It's shooting something over the goal! I want not only to challenge the Right, but also to say that it is absolutely imperative that the Right now comes with a clarification of what they actually think about the predatory settlement, and what is Right Policy. They write in the committee comments that they support the predatory settlement. This means having three young Norwegian wolves in Norwegian territory. If you read the comment that the Right has made, it says that they ask the Government to come back to Stortinget in an appropriate way when there are more juveniles of border wolves than it was at the time the predatory settlement was concluded. When the predator agreement was concluded, there were three young people, this year there are two. So the right is that there will be more wolf on the border between Norway and Sweden, before the Storting does anything about it. Nevertheless, you give the impression from the pulpit that you are pursuing a completely different policy, accuses the centre party of a lack of empathy and quotes Arnulf Upperland: «You must not tolerate so deeply the wrong that does not affect you!» I think the Right should say from now on: Do you stand for the predatory settlement and accept the number of wolves that the predatory settlement involves? So to the Progress Party: the Center Party will continue to defend the interests of the communities in all the forums that we are represented. We got some of the things that were our policy, but it is basically the nature of the matter that when you get 6.5 pst. the suspension of an election, and eleven representatives, is a piece from a purely majority. Had we had it, the government statement might have looked a little different, even in this area. But we are behind the government statement, and we are behind the balance that the government statement has in the case of predators. And of course, we have expectations that what's our part of this is being fulfilled and followed up. But I also want to challenge the Progress Party, because the Progress Party writes in its programme, unlike the Centre Party, that we want wolves in Norway, but that we want local government. And then I ask the Progress Party: What part of the Advance Party's programme is this? You can't find the community that wants wolves. Is the Progress Party going to overrun the local administration, or is it not to count on the programme decision of the Progress Party to want wolves?
ParlaMint-NO_2006-05-30.ana.ud2641e367	The wolf tribe we have on the border between Norway and Sweden is far less guessed by political decisions than what has been adopted and desired in this Chamber. There is a wolf tribe moving in the border area, living in the border area, that is going to be on both sides of the border at any time. No political decision can prevent that! There is a debate in European predator management on the appropriateness of adopting national targets for wild game populations. I recently met an Italian professor – a prominent Italian predatory scientist – who indicated that over time European predators' debate will change, because it is recorded that predators' bodies are just in the border areas, and it is impossible to manage properly by adopting management plans by individual nations, because the animals of course move freely. In the Alps, this takes place between Italy, France and Switzerland; it takes place between France and Spain; it is similar between the old Eastern European countries — which have very large predatory bodies against Western Europe — and it is the same in the Nordic countries. I think that over time we're going to have a situation where we're also going to discuss in this room a common Nordic administration of the big predators, and I look forward to that debate. It's enough that we in the Center Party would travel happier down from Soria Moria if there had been something in the Soria Moria statement that border wolves were to count in the stock. Then I register that one discusses this, and in a way plagues the Center Party with this today. But it is to note that at least the proposals of the Right and Christian People's Party do not affect at all what is the theme, because they say that the Norwegian stock target should be established. This is not what we are discussing, but we are only discussing what action, if any, should be taken if the border wolves become a nuisance. The border wolf is not discussed in relation to the decision of the predatory agreement on three breeding family groups in Norway. It's supposed to be, regardless of the border wolves. The measures referred to are some of those that we are only trying to get into the Soria Moria Declaration, which has been quoted here before: ‘Assessing stocks from the effects on grazing, grazing animals and on the quality of life of people living in predatory areas’, ‘The emergency section of the wild law must be clarified’, ‘Efficient collection of pests’, and the current compensation system — that is, the compensation system we have — was not reversed, as the Stortinget decided. These are measures that the Centre Party has put forward to meet a situation that the Right Party and the Christian People's Party now point out has become so difficult, but with which they have no proposal to do anything about. I don't quite understand where they want to go!
ParlaMint-NO_2006-05-30.ana.ud2641e376	I was a little in doubt if the previous speaker was a central partyman until the very end of the article, because he did not sound very much like a central partyman in his argument about predatory policy. Earlier in this debate, Mr Borten Moe challenged me on what is the Party's predatory policy, because we are saying that it should be managed locally. He insists strongly that no community wants the wolf in its vicinity. I don't know if that's true or not. I am absolutely sure that the people of Elverum and the district around Elverum think that 31 wolves are too much. That is why I want to give the people of that area the right to manage predatory policies myself. But here's some misunderstandings going on. Among other things, Heidi Sørensen says there are two breeding flocks of wolves in Norway. That's not true. As I and the Progress Party want to define it, there are four breeding flocks in Norway. Then you might say that there are five breeding flocks in Norway. It is that the last, the fifth, breeding flock is most common in Sweden and least in Norway. Then I say, OK, then I don't count it in the number of breeding populations, but I say it's four. Then it's said that the wolf is threatened. It doesn't lead to any truth at all. Had all the wolves, the Scandinavian wolf and the Russian wolf, been in Norway, it would have been a problem. But the wolf in Norway represents the western marginalized distribution of the species, the periphery of the wolf. At the same time, we have most of the population of yerv and gaupe in Norway. Maybe it would be more important to focus on caring for these predators? It is, of course, the total predatory pressure in an area that is crucial for whether this is a problem for the quality of life of the population or not, not what species rips apart sheep, kills elk and scares the schoolchildren. If there are any from the government parties that remain on the list of speakers – I don't know that, and I'm sorry if I challenge them without anyone having the word – I want to challenge them on how much the burden will be on them, and how many cross-border teams we tolerate to get, before the government believes it's time to change this policy and say that we also include the cross-border teams in the stock target. How many flocks do we need? We see that the population is increasing in the border regions of Hedmark. We see that this is where the Swedish populations are increasing, and we know that this problem is going to grow. How many populations do we tolerate before the Government wants to change policy?
ParlaMint-NO_2006-05-30.ana.ud2641e389	It would have been satisfying, at least once in a while, to hear posts from one of the government's spokesmen without one ever having to draw out the Soria Moria statement. I think it's quite striking that this adventure should be the text, and that one can't stand being confronted with his own policy before the elections. I stand here with a long list of relatively interesting quotations from the debate both last year and in the previous year, where famous centre party sizes like Inger S. Enger, Per Olaf Lundteigen, Lars Peder Breck etc. have given relatively high and strong opinions on wolf policy in particular. But now it's Ola Borten Moe you send in the war. I'll register that with interest. I also followed the Minister for the Environment's comments with great interest, because she talked a lot about anti-conflict measures, and expressed a positive opinion on it. I could basically imagine challenging the Minister for the Environment a little bit when it comes to concreteing what she's thinking about. If not, this will soon become a spell without content. It is in the different parts of the country and in the different parts of the individual countries that have wolves, different pressures and different conflicts and problems related to the wolf population. In my own county, the municipalities of Aremark, Marker and Rømskog, bordering Sweden, have the biggest problems. In one of these municipalities, namely Rømskog, the smallest municipality in the county of the population, but one of the largest geographically, in recent years there has been one wolf, a lone wolf whip, which has killed 35-40 dogs. Two or three times the Directorate of Nature Management has been asked to allow the wolf to be killed, which has for years terrorized a small community. And then the challenge goes to the Minister for the Environment: How will the Minister for the Environment deal with such a matter? Doesn't she see that when small communities are hit in this way, you have to be able to accept taking out individual animals that terrorize for years? In the same way that the well-known submarine captain did not see the underwater limit, it is therefore completely impossible for the wolf to see the border between Norway and Sweden. That is why I think it is extremely important that the Minister for the Environment and the Government put full pressure on cooperation with Sweden in relation to the management of border forces. I could also imagine asking the Minister for the Environment to elaborate on what thoughts she has about how it should be done in practice.
ParlaMint-NO_2006-05-30.ana.ud2641e400	I think this is an interesting and rewarding debate, but I get a little frustrated when I hear the central party's exodus. I thought the Center Party was for living settlements, I thought they were for a good district policy, I thought they were for quality of life, but unfortunately it's not. We are experiencing that today. I think it is very strange that the representative Ola Borten Moe from the Central Party says that he is proud of what they have done in terms of compensation arrangements for animals that have been lost. So they are proud to have a replacement arrangement for lost animals. I'm absolutely convinced, and I'm talking to a lot of buffalo farmers, that there's no one who's got a buffalo for them to be taken by predators, and then to be replaced. No one wants it, and no one wants it. They will live by what they produce, and not by the fact that predators, in this case the wolf, are able to take their sheep. I am also a little aware that there is so little interest from the Hedmark bench in this matter. As far as I'm concerned, it's only Gunnar Gundersen and the signatory who's taking the case. This is a very important matter for many states, but perhaps for Hedmark the most. During the election campaign, as I mentioned in my previous post, representatives from Hedmark traveled around and told them what to do with predators. One of them was Trygve Schlagsvold Vedum, the first candidate for the Center Party. He's not here today, but he wrote a letter about, among other things, border wolves to us second first candidates on 21 August last year. I hear nothing from him today about this. We also see in a localist, Østlandingen, Saturday 27 May, that the group leader in the Center Party, Merete Furuberg, “expected a robber tower on the thing”. Where's the uprising? Previously, Ola Borten Moe responded to this post and said in the same article that he does not want any insurrection. I firmly believe that if we are to do something about this matter, there must be an uprising, and more than the Advance Party must be involved here. This is about living communities, good district policies and not least the quality of life of those who want to live in the district.
ParlaMint-NO_2006-05-30.ana.ud2641e411	The representative, Ola Borten Moe, has repeated that he is asking the Right to clarify what they really mean in this debate. I would then recommend the representative, Ola Borten Moe, to read what we ourselves write and what we ourselves propose, and perhaps take it inward more than listening to the review, for example, by the representative, Heidi Sørensen, the case rapporteur, of what we stand for. We haven't written that the limit population has increased. On the contrary, we refer to the response of the Ministry of the Environment to the Committee, which shows that the border stock is unchanged. But we say at the same time that the pure Swedish population has increased. As a result, we assume that the border population can increase, and therefore ask the Government to return to the Storting with measures if the population increases. We take note that the Center Party does not want such a review. We also take note of the fact that the Centre Party feels more comfortable to let this be handled through SV in the Ministry of the Environment. There is no breach of the agreement to ask the Government to return to the Storting if the reconciliation assumptions are changed in relation to the border stock. Today, the border population level does not warrant this, but it can turn around as a result of the developments we see in the Swedish population. I don't think this can be misunderstood either deliberately or unconsciously. The central party feels that we're wronging them. Yes, I understand that it may feel that way, but in the name of justice, we do nothing but quote the central party politicians themselves. We quote them word by word, and if it feels wrong, then we can't help anything special about it. I think we will in the future be more willing to allow this to become a debate on the situation of predators and the administration here and to a lesser extent on whether this should be a debate that is damaging to the Central Party. I think it's more like the Center Party itself that hurts the Center Party than anyone else. I therefore believe that the representative Sundsbø is quite right when he says in the debate today that the Central Party would have traveled much happier down from Soria Moria with another text.
ParlaMint-NO_2006-05-30.ana.ud2641e422	There has been an interesting debate to listen to, but the strangest thing in this debate is really the way the representatives of the Right and Christian People's Party argue in this case. It may sound as if they have left the agreement on living stock targets for wolves in Norway, which the parties were responsible for getting here in the Chamber during the previous period. There's every reason to ask what the Right and Christian People's Party really wants in this room today. Do they add to a profile where they are going to fight against the Progress Party in populist politics, instead of putting themselves behind the conciliation they have initiated? If that's the case, I think they're going to lose on it. As is known, the Party of Advancement already has several years of training, and the Right Party and the Christian Party must be regarded as novices in that sense. I must also say a little in relation to the building policy of the Advance Party, because it is well that if it had become applicable here in the country, the wolf could actually have gone free. There would have been neither sheep nor people in District Norway with a policy that doesn't have a district profile at all. But I record again that the rhetoric of the Progress Party really returns on them even in the whole debate that we depend on to have in the Stortinget.
ParlaMint-NO_2006-05-30.ana.ud2641e429	It might be a bit tempting to make a little post from a border dweller, because the real situation is that we had the first establishment of a wolf in Åsnes at the end of the 1980s. It's now documented, and it confirms Petter Wabakken. The process page also shows why the abstinence is now so great. At that time, it was ridiculed. Pasturettes and pasturage were slow, but certainly displaced, because people gave up. It's like the representative Per Roar Bredvold says, "People aren't looking for the replacement, people are looking to be able to run sensible nutrition." Now we're finally confirmed that the core of the establishment is actually in Åsnes. We have three wolf flocks in Åsnes, documented by Wabakken. Two of them are frontier flocks, and they shouldn't appear. It's obvious that this is a pretty strong abstinence to the situation. In addition, we are faced with the argument that since grazing is low in the field, it is well suited to having wolves there. So it is replaced by a predatory policy that has slowly but surely rubbed the interests away. Too many were actually the center part straw when it came to getting the situation illuminated. I dare say that it was not right in front of the election. The center party won a lot of votes on it. We didn't. As far as I am aware, the Right is attached to the entire robber's settlement. I haven't heard anyone discuss that the goal of stock size is going down. Personally, of course, I could have wanted it differently, but that is what I consider to be lost. Here it's important to start discussing the realities. Then we also have the issue of joint Nordic administration. If you ask Petter Wabakken again at the University of Hedmark, you get the impression that there is very little contact with Sweden regarding the management of these animals. There is also a conflict in that direction. So there's a lot of work to do here, and I don't realize then that you're not willing to start taking on such a compromise as the Right proposes, which would really just lead to you starting to look at it again. The representative of Klungland’s articles are seen in many ways as an article that merges into the series as to how the sense of abstinence builds up. So I would strongly recommend that you start discussing the realities of this. Then you actually have to take the cross-border teams and look at the load you have, and then you have to discuss the administration from that.
ParlaMint-NO_2006-05-30.ana.ud2641e442	Ola Borten Moe has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2006-05-30.ana.ud2641e445	I would like to thank you for the clarifications that have come. I do not fully share the reality of the Progress Party that there is no local majority for 31 wolves. I think that if you decide locally about the wolf population, there will be no local majority for any wolves, and then the Progress Party will have to make a choice. More interesting is the clarifications from the Right. I share many of the comments that Gundersen makes, but he has to go home to Hedmark and say – and I'll follow with him if he says so – that he supports three breeding flocks of Helnorsk wolf. He also supports three breeding flocks of border wolves. Today we have two. So he's going to have to go in for more wolves in border areas, not less wolves, and that's something he should say in the name of honor. The right has also said that you are on the predatory agreement. The same is true of the Christian People's Party. We take note of that, and I expect you to follow it in rhetoric as well in the country and in the newspapers of the time that comes.
ParlaMint-NO_2006-05-30.ana.ud2641e453	This case is very interesting. What we are now witnessing is that the Christian People's Party and the Right are abandoning the policies they have faced in the past, which formed the basis for the so-called predatory settlement, where the Center Party was not involved. Now, when the two lots rely on a different interpretation of the stocking target for wolf than that set out in that agreement, it implies a new attitude. The position of the left today is, of course, a matter of concern. As elected representatives, we must perceive what is going on among those affected by our decisions. There must be a central pillar in the social vision of the red-green government. The government must therefore start work as soon as possible to launch a new predatory game policy, with stock targets and conflict areas following a clear and unambiguous line, with greater emphasis on the attitudes of people living in predatory areas. There is a balance we are facing, and in that balance, the vision, assessments and values of the people living in the areas must be given greater emphasis, in order for us to have a development that can lead to wise future assessments. Everyone in this room is aware that the Center Party programme says that we are against the breeding wolf in Norway. Why are we doing this? Among other things, we're against it because it's not a genetically unique wolf tribe that holds hold in the regions of Sweden/Norway. On the contrary, it is a wolf tribe that is part of a significant Finnish-Russian tribe, and it is an internationally accepted fact. But in particular, we have a responsibility for mountain reefs and clean, where we have a different genetic situation. Finally, the Tord Lien of the Progress Party is having trouble with its own program, which says that one should be too breeding wolf in Norway. There was a significant minority at the national meeting in the Progress Party who disagreed with this wording, said on the grounds that one disagreed with the fact that one in Norway was to have breeding wolves. That is why people have to read the Progress Party programme. That application is probably not random.
ParlaMint-NO_2006-05-30.ana.ud2641e464	The President shall refrain from commenting.
ParlaMint-NO_2006-05-30.ana.ud2641e467	It is not surprising that the representatives of the government parties are behind the Soria Moria declaration. But what is alarming in this debate is that the Central Party says: ‘We stand behind that statement as long as this government is seated.’ They are behind the declaration, but not the policy, for the next reason that the representative Ola Borten Moe drew, was that it was the five parties that agreed, which must be responsible for this predatory policy, and not the Senter party. It is alarming that a statement, a paper, but not a policy to be promoted by this declaration is behind it. It has been said in this debate that if we begin to change the agreement, the agreement can be reconciled. But big parts of the deal have changed! This was done in this Chamber in December, when the entire system of compensation was changed, which today's government had laid down in the Soria Moria Declaration. So this hall has done that. The Christian People's Party is on the rendezvous. We haven't changed our position. We take the responsibility we took in 2004 and 2005, including in 2006. There St.meld. No 15 for 2003–04 was treated, half of Østfold would initially have wolves. In the agreement, the whole area was filled with an area of predatory game. According to the report of the Hedmark High School from 15 April, the Djurskogfögfög, which covers the area from the Rømskogen to the Swedish border, has four wolves. In the Rømskog, which covers the rest of the municipality, there are three wolves. These wolves are border wolves. They do not go into the agreement, but we say that this must be possible at a later stage if there are major changes from when we entered into the agreement. The Christian People's Party has a policy that is not populist. The Christian People's Party has a policy that takes the quality of life of people seriously, and we have a policy for sustainable management. We're not leaving this agreement, but we're asking that we come back if the border wolf population exceeds the population from when the settlement was agreed. But it's ‘if’ and ‘if’. It is important for this debate that we, from both sides, are at least right to the truth and not try to interpret each other too far. I think we're all served by it, and the people who live in this country are served by it.
ParlaMint-NO_2006-05-30.ana.ud2641e487	The representative Klungland has a capacity to always talk about the policy of the Progress Party when he is in the pulpit. This is a kind of secret love relationship that he has for us, where one gets the feeling of being back in high school. There one sees that the boys who have found themselves a girl they like, go and tear them into flakes instead of venture to say straight out that they are happy in them. The representative Klungland must not read blindly on Kolberg's little gray. It's more imaginative than the Soria Moria statement. I have actually read Kolberg's little gray self, and think it was quite cheerful reading, but especially the truth was not in it. When the representative Klungland lists up how bad it would have been in Building Norway if the Progress Party got governments, I can only say that the world wouldn't have been so bad, it would actually have been quite good. We would have had living settlements with the Advance Party as well, but would like to have a little bit more modern than the Government today adds up. Let me remind the representative of Klungland, and also all the other government parties, that it is not the Progress Party that protects Building Norway and reduces the possibility of activity on land. It is the red-green government that has done and they have supported all the protection proposals in the previous period. It is not the Progress Party that protects the seas and rivers from the fishing industry. It's the red-green parts that add up. It is not the Progress Party that protects virtually all watercourses and reduces virtually all power expansions, which would have been a good value creation in Building Norway. It is not the Progress Party that is cheering over an agricultural agreement which requires that the number of annual agricultural works should actually be reduced by 4000 annual works. In this debate, instead of hacking the other parties, we are trying to take the Soria Moria statement seriously. It says in the Soria Moria statement that if the number of wolves destroys the quality of life, one has to do something with it. What we see today in several areas is that the quality of life in Building Norway is actually being destroyed because the number of predators is large in certain municipalities. Then this government should have done something. It was the intention of the proposal that was now presented, namely that the Stortinget should give clear signals to the Government that the course we are at does not accept. But it doesn't happen. Unfortunately, the government parties have used this opportunity to say that the course they are at is still on. But let me remind the representatives of the red-green parties that the Soria Moria declaration is not actually sacred. We have already only seen in the committee that has worked on this matter, that several points in the Soria Moria Declaration have been open to debate. I'll mention two. One concerns small power plants, where the Soria Moria declaration set a limit of 1 MW. There we know that the government parties reportedly went to at least 5 MW in the negotiations with Sweden, but we have never confirmed it. The second is that even now the SV accepts mobile gas plants. [[The President clubs.]] It wasn't opening up for the Soria Moria statement either. [[The President clubs again.]] Then one should accept that there are also changes in predatory policies.
ParlaMint-NO_2006-05-30.ana.ud2641e504	The number is over. Gunnar Gundersen has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2006-05-30.ana.ud2641e509	I just have a comment on Ola Borten Moe, which I think took too much to his income. What I tried to say was that the right hand side of the looting game agreement was full, but my personal attitude is that we could have gone further. Hedmark Right has a decision about no to the wolf, but I like to deal with the realities, and that's why I fight for an understanding. I am very pleased that there is a development in the matter, and that you have been willing to start looking at it. I didn't expect it to be the center party that would stick its head in the sand and forget the realities.
ParlaMint-NO_2006-05-30.ana.ud2641e516	Tord Lien has also had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2006-05-30.ana.ud2641e519	The representative Borten Moe thanked for the clarification that had come from my side. I wish I could have thanked for the clarification that came from the government parties, but I cannot. None of the representatives of the government parties have responded to how many breeding wolves you can accept in border areas before you are ready to change policies. We did not get that clarification. Then I have to commend the representative Lundtigen to encourage people to read the programs of the Advance Party. I fully agree with that. It says great things very well, among other things. We're going to have wolves in Norway. There is nothing about the breeding wolf, as Lundtigen claimed, but that we accept that it is wolf in Norway, is in our programme. At the same time, however, our programme says that we do not accept that the Ministry of the Environment and the Directorate of Nature Management should be able to impose a heavy barrage on local communities without the community itself being involved and affecting the whole instrument. That is what is in our programme, and I fully support it.
ParlaMint-NO_2006-05-30.ana.ud2641e526	This has been a rather interesting debate, a debate that has been partly influenced by big words from both sides. But when the representative Ketil Solvik-Olsen of the Progress Party brings small power stations and other issues into this discussion, there will be some paradoxes that are difficult to follow, at least politically. I want to remind all the parties in this room of a couple of things that I experienced in last year's campaign in my home country, Nord-Trøndelag. We are not particularly afflicted by wolves, but we also have the species – eventually. Following the initiative of the Central Party, there was a debate in the election campaign between all the political parties that fought for election, and it was actually such that in the North Trondelag there was a settlement, a predatory settlement, which was also followed up in other states. Both the Right Party, the Advance Party, the SV, the Christian People's Party and the Left were involved in the conciliation. We agreed with the heart on a number of things. The stock numbers, that is, the predator agreement, were not the subject of this agreement. So the point of progress was also on the deal, to mention it in particular. What we agreed on was that, among other things, would focus on maintaining the old compensation schemes. We agreed that we would work on changing the emergency response paragraph. We agreed that we would work to get faster extractions of pests where it was decided to take out animals, i.e. a more efficient extraction. We agreed that we would make sure to work to get a better stock list, etc. There were many points that were taken up, where the parties sat down together and in reasonable order said that this right here we could agree on. I think, from a point of view, that this debate is very much influenced by the big words, because it's actually so that we should still be able to work together on these things. I would like to stress that this is also the reason why the government statement included these elements that something the government was going to work with. I am very pleased that the Minister for the Environment today makes it so clear that she will follow this up, both with emergency paragraph, compensation arrangements and rapid removal of pests, etc. It is also quite clear that the requirement we have for the Government and the Ministry of Environmental Protection, which pursues policy in this area, is that when the population becomes so that it goes beyond grazing, grazing animals and the quality of life of people, action should be taken.
ParlaMint-NO_2006-05-30.ana.ud2641e537	Per Roar Bredvold has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2006-05-30.ana.ud2641e540	Most of it is well said, and it has no intention of saying anything more here, for the vote will be as the vote will be. We're recording that the Center Party is not joining that Document No. The 8 that we have here today. It's a shame, and it's bad. This is about poor rural policies, and it is about poor quality of life. It's not about living districts. It is not a matter of listening to the rapporteurs around the centre party, for example. in Hedmark. All the rapporteurs and rapporteurs support the proposal tabled by the Progress Party and want it to be adopted. But the Center Party doesn't take that into account. It would have been interesting to be flying on the wall — as far as possible — at the central party meetings around the country, and especially in Hedmark. I think it will be difficult to continue good central party policy.
ParlaMint-NO_2006-05-30.ana.ud2641e550	When the topic we have up here today, people get very involved, I think it's related to making political decisions in areas that are directly related to biological facts. Those who are then closest to seeing the biological facts see that there is a misunderstanding between what is nature's biological course and what one on a political team thinks it should be. When I say that, it's because it's been decided in the past in this room that the wolf and grazing should go side by side, and that's something that all of those who are affected do not know how to work. When I bring this up, it's because I felt the need to read from the Progress Party program. It says: ‘In Norway, a herd of wolves, yews, bears and boars should be maintained.’ It cannot be understood otherwise than that it applies to both females and males of all those species. When it's said from the Progress Party here that it's not a breeding wolf, it's just a wolf, it's very special when it's in a context where it's called "wolf, yerv, bear and globe" and all those species have juveniles as part of the biological fact. No exceptions have been made to that. It would have been an advantage if one here had been able to dry up to say more clearly what are the biological consequences of the decisions being made, and that one is sincere and honest in relation to it. It would have led to a much greater respect. This applies to the rights and use of land as part of it, which is central, and which, if deprived of it, must have its own compensation. It's one of the elements. But my starting point was the attempt of the Progress Party to say that someone has a different attitude towards youth in the case of wolves, in relation to what is written about the other species. That is not what is stated in the programme or what is evident from the biological realities.
ParlaMint-NO_2006-05-30.ana.ud2641e566	Martin Engeset has also had the word twice, and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2006-05-30.ana.ud2641e569	I just drew myself because I want to ask for answers from the Minister for the Environment. In my speech, I had three questions and challenges for the Minister for the Environment. Then I think it is rather special that the Minister for the Environment is silent as an oyster and does not try to answer. There were anti-conflict measures and what she would specifically add up to them. It was about cooperation with Sweden and what concrete action should be taken to manage these cross-border flocks. And it was this wolf in the Roman Forest that has killed 35-40 dogs in the last few years. I had appreciated whether the Minister for the Environment could actually try to answer what I asked for.
ParlaMint-NO_2006-05-30.ana.ud2641e574	Unlike the Per Roar Bredvold Progress Party, we get more balanced opinions from Right Gunnar Gunnar Gundersen, and they come from the same county and the same area. Bredvold points out that the Central Party does not participate in this proposal. Of course we don't. He points out that it provides poor district policies, and that leads to poor quality of life. You don't listen to the districts, he also emphasizes in his last post. It is also the case – I would like to stress it – that predatory policies are closely related to agricultural policy elsewhere. I would like to point out that there are no other parties that have a more district hostile agricultural policy than the Progress Party. There are no other batches requiring a higher level of conversion to the agricultural industry than the Party of Progress. No other party's policy, if implemented, would lead to greater depopulation of the districts, border areas, than the policy of the Progress Party, if implemented. I want to mention it when one points out the so-called district enemy attitude to the Center Party. We are continuing to work to secure districts through agricultural agreements and through a balanced predatory policy, where we have reached compromises. That'll be our work in the future, and we'll stand for that.
ParlaMint-NO_2006-05-30.ana.ud2641e583	A little comment on Lundtägen's creative interpretation of the party program of the Progress Party. It's possible to come and ask us, and we'll explain everything to him. It says ‘should’ not ‘should’ – there is a significant difference. I'm not going to put myself up in the wolf's sex life, but I respect local management of the wolf. If it is true that all areas in Norway do not want wolves, the policy of the Progress Party is likely to make little wolf in Norway. It is quite clear, because it says «should» be wolf, not «should» be wolf. If it is that many areas want wolves, e.g. That Oslo citizens want wolves in Nordmarka, as they often say in polls, yes, then the wolf actually has a place in Norway too. I think that will be the case, that there are some areas where the wolf is not a nuisance to locals and therefore will be able to live well. In those areas where it is close to the population, local government must be able to say that we don't want it here. There's another thing I would like to have had an answer to. The bounties were imposed on 16 weeks of outdoor work. For most people, outlaws are the only alternatives, because they don't have enough fences to let the sheep go inside the fence. If it becomes a pasturage, what should the farmer do? In the nation on 26 May, sheep farmers Kåre Kleiva says that for him it is totally unrealistic to be able to fence in large enough areas before the grazing season begins to let the sheep out there. The damages are too small for him to dare to let his sheep out. In any case, he becomes either a criminal because he does not dare to let the sheep out on the pasture as he is ordered, or he goes bankrupt because his entire livestock – not all but up to 40 p.m., as statistics say – is in danger of being taken by wolves or other predators. There is also something I would like to have had a response to from the government parties, which says that the agreement they have made is so amazing.
ParlaMint-NO_2006-05-30.ana.ud2641e594	The debate makes it clear that the agreement in the Stortingen on the policy of predatory game must be firm. I'm going to answer some of the questions I've been given, and there's a couple of things I want to comment on. One is that we have national stock targets for wolves, but I would like to stress that there is no stock targets set for cross-border flocks. I would also like to stress what I said in my post instead, that the border wolves will be managed by the Norwegian authorities if damage or risk of damage occurs on the Norwegian side. Then I got questions about contact with Sweden. I also said in my post that I want to strengthen my cooperation with Sweden. However, I would like to mention the three areas where we have contact. One is that there is contact – and this has been a topic – between me as Minister for the Environment in Norway and the Swedish Minister for the Environment. In addition, we have contacts at the administrative level at the central level. Contacts are now also being established between Swedish authorities at regional level. This was among other things: a theme we discussed in Bodø in connection with the meeting in the predatory game subject there. I would also like to comment on this with a targeted focus on prevention and conflict mitigation measures. It has just been suggested that these funds should be allocated by the regional denominators themselves. That sum has been increased in the budget, but the denominators are to be allocated to them. What I see is that this is a lot of creativity, and it shows a lot of insight into the plans that are now being put into it. I can't list all the actions that are put in place around in the regional denominators, but I can for example. mention training activities and cooperation projects with organisations, such as Norway's Hunter and Fish Associations. So there are different types of measures that are now being launched locally. The regional surveyors make their final management plans during these days. They are interesting and should be absolutely read by all those concerned with the theme, because the management plans for the different regions also provide the guidance for the concrete actions to be put in place.
ParlaMint-NO_2006-05-30.ana.ud2641e607	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 2455]]
ParlaMint-NO_2006-05-30.ana.ud2641e623	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines after the intervention of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
