ParlaMint-NO_2006-05-24.ana.ud2089e24	The representative, Ms Eriksen, will make a private proposal.
ParlaMint-NO_2006-05-24.ana.ud2089e460	I must say that the Council of State shoots with lashes now, in this noise of the previous government and of today's government. We're probably seeing the difference between being in position and being in opposition. In the opposition was a very critical and pronounced itself very clear, but now comes one on thin ice compared to a work that the Teacher Publisher has published, «The Ibsen in our time». It's funded by a bank and sent to all the country's youth schools. I understand that there may be a problem with the borderline relative to contributions from business, as a ruler or whatever. But according to what the government said in the opposition, it doesn't matter what it says now, that if there's advertising in school books, it's a «debt statement». I totally agree that it would be a failure statement, but when a government council writes a foreword in a work sent to all youth schools, there is a little difference.
ParlaMint-NO_2006-05-24.ana.ud2089e467	I just have to be allowed to say that now I do not fully understand what the representative refers to. I feel that I have had a very consistent line in these questions, both today and in the opposition, as opposed to the Christian People's Party, which clearly looks for its identity by day and flirts a little both here and there. You might want to have a discussion about it. But I want to make sure that my commitment has been quite similar to the commercial pressure towards children and young people, and the government will have the best starting point for the child also when we discuss this in the continuation.
ParlaMint-NO_2006-05-24.ana.ud2089e472	The size goes to dealing with the next main question.
ParlaMint-NO_2006-05-24.ana.ud2089e475	My question goes to the Council of State Åslaug Haga. The municipal minister has made some juicy promises on behalf of the municipalities for the coming years, especially in school and care for the elderly. It's easy to make promises, especially on behalf of others. But how can the Council of State know that the local government in all 431 municipalities will invest in care for the elderly and school, when the Government does not commit to earmarking money for important national welfare tasks in the 2007 municipal bill? A report by the Central Statistical Office states that municipalities give priority to prominent cultural houses and more administration when they receive increased free income. According to the SSB, the priority is precisely school and care for the elderly. In fact, the report goes so far that it says that the community's commitment to primary school, care and care seems to be inelastic to income change. This means in clear terms that one additional crown in transfers leads to zero extra bets on municipal budgets for welfare. So even though the government is adding up to a income increase of NOK 2 billion to the municipalities, we are not guaranteed better well-being. In other words, only the proposals of the Progress Party on earmarking and price financing will guarantee better welfare services. Perhaps it is time for the Government to also realise that not all challenges in society can be solved by increasing budget lines. My question to the Council of State is whether the Government is deliberately leading people out of the light, or whether it is the case that the Council of State has not actually read the report «Incomesselasticities for municipal services» from perm to perm?
ParlaMint-NO_2006-05-24.ana.ud2089e488	As you know, the government provides a significant boost to the local economy. For 2006 and 2007, municipalities will have an increase of around DKK 8 billion in free income. I can assure you that there are going to be services of that. In fact, when Norwegian municipalities receive the funds as free income, they spend about two thirds of the money on school, care and care – 41 pst. for care, 35 pst. to school. That's the average. Then the challenges in Norwegian municipalities are usually different. Some municipalities have full coverage in the care of the elderly. In other municipalities, you don't have it. Then it would be pointless to create A4 solutions that force the municipalities to align themselves with state initiatives. All the experience suggests that making state bets, government designation, makes extremely poor use of the money. That lesson is important for us to spread to all parties. Most people have come to realize that ear tagging actually results in inefficiencies. We know that the Progress Party does not mean it. But all the economic analyses that we can look up just illustrate this.
ParlaMint-NO_2006-05-24.ana.ud2089e495	What is said here from the Council of State is obviously wrong. Through a single-cost financing of important welfare services, we will ensure that there is a need for the service that is essential for payment, not as it is today, statistical models that are reasonably complex and hopeless to deal with. In the nations, which I am sure the Council of State reads daily, it was recently an article that stated that the progressive party municipalities are actually the municipalities of the country that put the most emphasis on care for the elderly. Unfortunately, we have no guarantee that municipalities run by other parties, do the same. On the contrary: it actually indicates more that there is culture for the few that are given priority, rather than welfare for most people. If the Minister of State is more concerned with increasing transfers to the municipalities of the State budget than with ensuring that the money is used correctly, why is the Government making such offensive promises on behalf of the municipalities in Norway?
ParlaMint-NO_2006-05-24.ana.ud2089e502	The government assumes that the wit is fairly evenly distributed in the country. In fact, we do not believe that the people of the Progress Party on the Stortinget or the centre parties on the Stortinget know much better than the progress party people and the centre parties have locally. We basically believe that people locally are good at prioritizing different tasks. School and health are important. We put the framework for bet on these fields. If you look at what you spend on local culture, it's definitely not the cultural houses that get the big money, it's the local voluntary cultural work, which is very important for the development of good communities. So I would like to say that there is something that really will contribute to red tape, which I thought the Progress Party was against, that is price financing.
ParlaMint-NO_2006-05-24.ana.ud2089e510	The President will accept three follow-up questions – first Bent Höie.
ParlaMint-NO_2006-05-24.ana.ud2089e513	Also the Right believes that both the wit and the social conscience are equally distributed in the country. But now the Government of the Municipality Proposition announces that they will return with a new income system for municipalities in 2009. The proposition states that the Government will set down a selection to work on this in the light of the professional work done by the Borge Committee. But we were several who were very surprised when we read the last edition of the Municipal Report, where State Secretary Dag-Henrik Sandbakken says that there are politicians from the three government parties who will make up this selection. The majority of the Norwegian people actually live in municipalities governed by parties other than the three government parties. This is also a system of income that should be predictable for municipalities, a system that is therefore to be introduced in the same year as it is capitalisation. Does the Council not see that it would have been an advantage to invite with all parties, and not least with the Municipal Councils' Central Associations, in the political process of developing a new income system?
ParlaMint-NO_2006-05-24.ana.ud2089e524	It is right that we should have a review of the professional work that is now on the table – from the Borge Committee. We believe that the work of the Borge Committee, as it exists, causes distortions in the distribution of funds to the municipalities, which we cannot accept. For example, a solution was found. not the challenges associated with the municipalities of growth, as little as problems related to municipalities with a decline in population were solved. And the district profile of the Borge Committee was, in our opinion, not acceptable. That being said, there is a professional work at the bottom, as those who have been in the Borge Committee have done. We'll build on that. We will have a review of this professional work, but it will not least be important now to put the political leaders at the top of this professional work. The organisation of this has not been fully finalised.
ParlaMint-NO_2006-05-24.ana.ud2089e531	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e534	The government has granted more money to the municipalities and announced that the escalation will continue, and it seems the Christian People's Party is good. But the government has great ambitions about what the money is going to do, and all governments have to deal with the fact that the money can only be spent once. We now see in the municipal bill that there have been leaders: 2 000 new annual works, which is highly desirable, one must be able to pay the costs, the NAV reform must be payable, and the fact that more students in secondary school must be paid. It might almost seem that ambition is something big, and I would like to have a comment on it. If you take the lead, the room for action for local politicians will be small again. The Christian People's Party has faith in local democracy, but it must be an economic space if you're to have some money to decide about. Finally, the Christian People's Party would very much like to be involved in the political priorities to be set when creating a new income system. The government has said that they want us in terms of something as important as a new income system, and we want to be in the sample.
ParlaMint-NO_2006-05-24.ana.ud2089e541	Let me just follow up the last one first, which is the work we're going to do in relation to the Borge Committee. We're busy finding ways to connect all the games to that work. Then we have not entirely taken a decision on what form it should take. But what I can guarantee is that we'll work closely with all parties to come up with good solutions. But let me get back to the final organization something later. The Christian People's Party and the Center Party, with the Government, have common ambitions to facilitate increased freedom of action locally. This is about economic freedom, and it is about political freedom of action. We follow-up by providing municipalities with financial space for action in 2007. What is important for me to stress is that within the framework laid down, there is room for strengthening both school and care for the elderly.
ParlaMint-NO_2006-05-24.ana.ud2089e548	André N. Skkelstad – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e551	Governments have been in this respect with the welfare of municipalities earlier in this sequence. She said yesterday, among other things. that you wanted to bet on several municipal buildings, which I think is good. The report that Haga the Council of State mentions shows that it is not just the homeless in the big cities that are struggling, the growth in the number of homeless is greatest in the small municipalities. The Council of State party trap Anne Enger Lahnstein introduced the concept of Difference Norway in this situation. What will the Council of State do to reduce the differences between the districts and the big cities? The only measure, the measure, we have so far seen that the Government has put up with regard to the homeless in the countryside, is the possibility of imposing property taxes.
ParlaMint-NO_2006-05-24.ana.ud2089e558	It is quite correct that the latest up-to-date figures that we have received show that the number of homeless people is increasing proportionately more in smaller municipalities than in cities. The explanation of this is enough to say that, in the case of the homeless, most of the cities have been focused. So you can probably view the numbers as the result of the effort that you've had in the cities, actually worked. With regard to the instruments we have in relation to the homeless, much rests on local economy. Municipalities should also have room for action to deal with the housing side, which has been down-priorityed in the later years. In addition, there are many tools in the House Bank. There are earmarked instruments, and they are available to all municipalities at sea. Now we strongly encourage the municipalities that have increased the number of homeless people to contact the House Bank. There's money there.
ParlaMint-NO_2006-05-24.ana.ud2089e565	Let's move on to the next main question.
ParlaMint-NO_2006-05-24.ana.ud2089e568	The last few days have shown that the regional reform, for which Åslaug Haga is responsible, meets resistance not only in the Right, but also far into her own party and in the other government parties. More and more local politicians have started to wake up and see that this is a reform that can lead to significant centralisation. Former head of the Center Party Anne Enger Lahnstein says she is afraid that large regions can lead to centralisation within the region. The head of the Eastfold Center Party says he's an opponent, and doesn't see what you can win with the reform. The leader of the Moors and the Romesdal Center Party says the same thing. And the rapporteur from the Central Party in North Aurdal says that 'for Sp's part, one is in the process of leading the greatest centralization of power in a hundred years'. In today's World Gang Olav Gunnar Ballo of SV has a very good and eye-catching article on regional reform. He says that he is afraid that this reform can lead to significant centralisation, but not least he points to the fundamental question: what is the reason why the Government is in favour of reform without any apparent need to implement this reform, which is actually one of the greatest reforms in recent times. And he asks a very central question: what is the question, whose major regions are the answer? I would like to repeat that question to the responsible Council of State today, because very many do not see the need for this reform, and I fear now the consequence of it, both that undemocratic reform is being carried out in an undemocratic way, and that the consequences of the reform will be a significant centralisation. What is the question, whose major regions are the answer?
ParlaMint-NO_2006-05-24.ana.ud2089e582	It's not that the answer is big regions. The answer is that we must implement a democratisation reform and a decentralisation reform. We have always said that we need to move forward in this reform, which means that we first have to look at the tasks – which tasks are to be moved to the regional level, possibly to the municipal level – and when that job is done, we need to look at the geographical breakdown. How large a region it will be, today we are not able to say anything about it. I note that in many of the debate now, difficult regions are being developed. Then I just have to repeat what I've repeated for a long time, that here we're going to go step by step, now we're going to do the problems, and that's what we're going to focus on. There is no reason to be surprised that there is a debate on such an important reform as the administrative reform is and will be. What I might think the representative Höie should be a little careful about, it is to suggest – so one can get the impression through his questions now – that he and those who have asked questions about the arrangements for this reform agree. The starting point is that the lots have different starting points. Right wants a two-level model, the Government and the Center are quite clear that we want a three-level model.
ParlaMint-NO_2006-05-24.ana.ud2089e589	One of the main reasons for the representative Olav Gunnar Ballo is that Norway, as a small country, does not need three levels of government – we are, after all, no larger than a small part of a city in London. But there is absolutely reason to ask if it is not time for the head of the Central Party and the responsible Council of State to start listening to their own, when one has set up a raw drive to implement this reform as early as 2010. So that means that one comes with the division of tasks in the autumn of 2006, and then the matter has to be dealt with in the Storting, so one has to have a discussion about the geographical breakdown, and then this has to be in place. This means that the parties, which are now in the process of nominating the county elections in 2007, do not yet know whether there is a period of two years or four years. They write programs that they don't know about for two years or four years. Nor can the government spend any more time, get a good evaluation of today's county councils and get a good discussion on the basis of this reform before they run this rough, this undemocratic process, in relation to a severe reform.
ParlaMint-NO_2006-05-24.ana.ud2089e596	The government is not running anything raw. Thematics related to intermediate levels in Norway have been on the agenda for years. What it's missing in this process is the ability to make decisions. There are researched binding thesises, as the representative knows well, and the time is definitely ripe for making decisions. The government is adding up to a process where we're just listening. That's why we now have advice around our three parties, so we're conducting regional hearings, so we're practicing an open door in the Ministry of Local Affairs, where everyone who wants to talk about these things gets to come, that's why we travel a lot around the country to listen. There are no investigations and evaluations on it; it is on the ability to act.
ParlaMint-NO_2006-05-24.ana.ud2089e603	The President will allow two follow-up questions – first Ib Thomsen.
ParlaMint-NO_2006-05-24.ana.ud2089e606	The cooperation parties of state councils and several of their colleagues are clearly divided in the view of this with regions. It also appears clearly in today's VG. If ‘there is no willingness to have three levels of government with sufficient power and authority, we should only have State and municipality’, says Sverre Myrli, head of Akershu’s Labour Party. ‘A ‘half-hearted’ region level is not an alternative to the only change being that we get a little bigger counties’, says Grouchingsrepresentative Myrli. [[...]] Why are the colleagues of the Council so sceptical? Should not the Council of State ensure that there are clear and unambiguous signals about this important issue of society, which affects so many, and not signals that crack in all directions? We thought we would have a predictability when we got this new government.
ParlaMint-NO_2006-05-24.ana.ud2089e615	There is no doubt about what is the government's policy. It is set out in the Soria Moria Declaration. An administrative reform shall be implemented from 1 January 2010 based on a three-tier model. What is set out in the Soria Moria Declaration is also well thought of in the party programme of all the three government parties, so there is no doubt about it. That there is some disagreement within the parties if you want two levels or three levels, no one should be surprised. But there is no doubt about the government's policy. There is no doubt about the policy of the three parties. It is also interesting to note that KS produced a document yesterday, where the Progress Party and the Right are also involved in the final decisions. There is a very detailed description of how a three-tier model should actually work.
ParlaMint-NO_2006-05-24.ana.ud2089e622	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e625	The Christian People's Party wants a regional reform. We want a reform that will enable major tasks such as transport, the environment, health and food development to be tackled in a better way than today. We want a reform that is about moving power out of Oslo and out closer to people, and that the tasks should be subject to popular governance. For the Christian People's Party, it is important that it becomes a democratic reform, that is. that the tasks come under popular control and closer to where people live. To solve these problems, one has to have larger regions than the ones we have today. There have been some concerns about this particular question. It is said from the Council of State and the Soria Moria Declaration that if you do not have the regions as large as it is said today, you will have strong regions. And it's vital to get a force, it must be the size of these. They have to be larger than the states we have today, just to get big tasks under popular governance.
ParlaMint-NO_2006-05-24.ana.ud2089e632	There is a good summary by the representative Tørresdal here of what are the objectives of the regional reform, the administrative reform. Here the Christian People's Party is completely in line with the Government. We're all concerned about creating robust regions. If the regions are to become robust, they demand first and foremost the input of tasks, and that is the process we are in now. Once we clear up the problems, we'll see how we're going to deal with the geography. We've sailed a side view of the geography of this process. We also want to include in the message that comes to the Storting in the fall, the message that is mainly about the tasks, some leads for the debate related to geography and the geographical breakdown.
ParlaMint-NO_2006-05-24.ana.ud2089e639	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2006-05-24.ana.ud2089e646	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Finn Martin Vallersnes to the Minister for Foreign Affairs, has been withdrawn. Question 2, from the representative of Marit Nybakk to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs, who has been away. Question 4, from the representative Per Roar Bredvold to the Minister for Economic Affairs and Trade, will be answered by the Minister for Finance who directs him. Question 12, from the representative of Olemic Thommess to the Minister for Children and Gender Equality, is moved and answered at the request of the Council of State for question 2. Question 15, from the representative of Mr Gerit Gérde to the Minister for Fisheries and Coast, will be answered by the Minister for Food and Trade on behalf of the Minister for Fisheries and Coast, who has been away. At the request of the Minister for Economic Affairs and Trade, this question is moved and answered in response to question 5, to be answered by the same Council of State.
ParlaMint-NO_2006-05-24.ana.ud2089e674	This question has been withdrawn.
ParlaMint-NO_2006-05-24.ana.ud2089e681	This question, from the representative of Marit Nybakk to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs, who has been away.
ParlaMint-NO_2006-05-24.ana.ud2089e684	I have allowed myself to ask the Minister for Foreign Affairs the following questions, which I understand will be answered by the Minister for Development: ‘Recently, there has been a growing repression of Kurds in Turkey. Among other things, children have been imprisoned in Diyarbekir, and democratic rights have been restricted. Will the Minister for Foreign Affairs take these matters up with Turkey?’
ParlaMint-NO_2006-05-24.ana.ud2089e698	The Kurdish separatist movement PKK lifted its unilateral ceasefire last year, which has been part of the background of the constant clashes between PKK activists and security forces over the past few months. The situation was, as Marit Nybakk came in, particularly critical in Diyarbekir at the end of March. Street struggles between demonstrators and security forces led to many deaths, and several minors were arrested and reportedly still in prison. The Ministry of Foreign Affairs is following this situation very closely. Several Norwegian non-governmental organisations also follow the human rights situation in Turkey and are in close contact with the Ministry of Foreign Affairs and the Norwegian Embassy in Ankara on these issues. The Ministry of Foreign Affairs is not aware of any restrictions on the formal democratic rights of Turkey. However, it is a fact that a new terrorist law is being discussed in Parliament and that it is controversial in this context. The Turkish judiciary is now investigating what has happened to the unrest in Diyarbekir. The Ministry of Foreign Affairs will follow closely how the Turkish system handles this. In recent years, Norway has focused on a broad dialogue with Turkey, a dialogue involving security policy, European policy, business issues and human rights issues. Critical issues relating to human rights and democracy are regularly addressed, and we will continue to do so. Some things are followed up, for example: with a presence in legal proceedings. Norway has been an observer at several court meetings during a criminal case against Kurdish children accused of burning the Turkish flag. The trial against the children of Mersin has shown that although Turkey has new criminal law more in line with European standards, there are still shortcomings in the case-law. Norwegian and other international presences at court meetings affect local authorities in the right direction. Norway has supported and will continue to support several human rights projects in Turkey, including Kurds as a target group. Turkey's potential for bridge-building between the West and the Islamic world provides prospects and opportunities that need to be exploited. But then it becomes important that the Kurdish part of the population feel their interests cared for, and that the conflict in that part of the country is resolved by peaceful and non-violent means.
ParlaMint-NO_2006-05-24.ana.ud2089e709	I would like to thank you for your answer and, of course, I agree that a broad dialogue with Turkey is important. I think dialogue is important not least because of the role Turkey can play just as a bridge builder between Europe and the Islamic part of the world. Now we meet Turkey, among other things. in NATO, and Turkey is an important ally. They also have candidate country status vis-à-vis the EU, and in many contexts the EU has been very concerned about the human rights situation ahead of that status. The Council of Europe has also been concerned about the situation in Turkey for years. With regard to the multilateral institutions in which we meet Turkey – and this may be particularly true of NATO, also because we have a common interest in NATO as a foreign country, but a member of NATO at the moment – is it that the Minister of Development or Government will also address these matters in the multilateral forums?
ParlaMint-NO_2006-05-24.ana.ud2089e716	In any case, these many multilateral forums provide opportunities to deal with this with Turkish authorities in addition to bilateral talks at Council level and through our embassy in Ankara, so that multilateral relations provide such opportunities. If you look at it in substance, there is no doubt that what has affected legal standards and democracy most in Turkey is the process of applying for EU membership, which has clearly contributed to the fact that legal standards and democracy, including minority protection for Kurds, have taken significant steps forward. In that process, counterpowers have also emerged in recent times in the form of resistance to Turkish membership of the EU, and also resistance to some of the requirements imposed on Turkey as part of the search process. But it may be difficult to doubt that so far this application process has had a very significant positive impact on Turkey, and overall Turkey has been in a path that has gone in a democratic direction in recent years.
ParlaMint-NO_2006-05-24.ana.ud2089e721	Let me first say that I very much agree that the applicant process has had a positive effect on Turkey. I think that's absolutely right. However, it is alarming now, and we have received information from both Kurds in Oslo and groups who have come up and visited the Foreign Affairs Committee, that what has happened in Diyarbekir is actually the biggest turmoil in Turkey in the last ten years. Then it bothers me that we might have a set-back in relation to the positive development that has been. Mass detention centres of children – I think it was 80 pieces – are completely unacceptable. I am therefore very pleased that the U.D. is following this matter closely, and believe that Norway can also contribute to the positive role that we played in relation to the candidate country status in relation to the EU for Turkey, if you have a dialogue with Turkey and put some pressure behind it.
ParlaMint-NO_2006-05-24.ana.ud2089e728	Let it not be the slightest doubt that the Ministry of Foreign Affairs, the Minister of Foreign Affairs and I fully agree with Marit Nybakk that the arrest of children is unacceptable, and that we will follow very closely what happens in that way. Clearly, setbacks should be closely monitored and see if Norway can influence to prevent them. But if you look at it from a large perspective, Turkey has gone over the last few years in a clear democratic direction, and Interestingly, also under the leadership of a party that had the origins of Islamic forces in Turkey, and as the West in the 1990s wanted to isolate and have nothing to do with it – I remember we had debates about this in the Great Britain too – but that then came to power, and has contributed, along with the process of EU membership, to the democratization of Turkey. But like Marit Nybakk, we're going to be very vigilant against setbacks and closely monitor what's going on, and contribute from the Norwegian side to creating attention and interest and, hopefully, have a positive impact on what's going on.
ParlaMint-NO_2006-05-24.ana.ud2089e733	So we go to question 12.
ParlaMint-NO_2006-05-24.ana.ud2089e740	I have allowed myself to ask the Minister for Children and Gender Equality the following questions: ‘The Council of State has notified measures to improve the protection of children. Among these, it is proposed to rebuild state institutions, allegedly because, according to the Council of State, private institutions are too expensive and too poor. What evidence does the Council of State support in this regard, does the Council of State consider that public operation and ownership are a guarantee of better quality at a lower price, and does the Council of State see that private child protection institutions also contribute to a diversity that can have a positive impact on the overall supply?’
ParlaMint-NO_2006-05-24.ana.ud2089e749	First of all, I would say that there are a number of good private institutions that we need, and that we naturally use. By the end of 2005, there were about 100 more children in private child protection institutions than in state institutions. It is clear that private institutions are, and will continue to be, an important part of the overall supply to children and young people who, for various reasons, cannot live at home or in foster homes. It is also very important that we ensure the quality of both our private and state institutions. It is therefore important that we have put in place an approval system and a quality regulation that is handled by Bufetat. The private institutions may be divided into two main groups, institutions run by non-profit institutions and institutions run by private commercial operators. The voluntary organisations do not have a profit motive and have entered into different agreements with the country, including: operating arrangements. There the state can control both the economy and the professional content. Places in other private institutions are provided by competitive tendering and non-profit institutions serving households may also participate. The new Children’s Protection Act, which entered into force in 1993, introduced its own provisions on the treatment of illegitimate children and young people in the law at the same time as the state special schools were built up, and a new private market for the construction of child protection institutions was created. The counties at the time did not follow up on the establishment of public institutions. During 2005 and 2006, one new state child protection institution has been established in each of our five regions. The treatment of these institutions is based on the very latest research. The treatment results for young people living in these institutions shall be evaluated. When introducing new methods, it is essential that the State has sound governance both with the resource effort, the treatment facility and the results. I can also inform you that, when the County Children's Protection Institutes were acquired, the State has closed down public institutions that have not functioned satisfactorily or that have failed to fit in with the whole of the region's institutional services. The prices of private commercial institutions we know vary greatly, and some of them are very expensive. In some cases, the price is high because the resource effort required to make a good enough offer is actually so high. In other cases, however, there is a lack of good alternative offers that makes the price high. It's a market for it. In general, there has been a particular shortage of state sites that can offer a range of complex behavioural problems to young people. We want to replace some of the private commercial institutions with government places primarily for three reasons: Firstly, the capacity of today's state institutions must be used to the best possible extent. This is essential in order to comply with the budget framework of the establishment. If Bufetate is able to make full use of its capacity, the number of placements in private institutions will be reduced. Secondly, the further development of State spaces that can deal with young people with complex behavioural problems will increase the competence of national child protection. It is important that the State maintains a high level of competence, including: to offer appropriate measures to individual children. For example, it is an objective that all emergency placements are to be handled within the state apparatus, so that one ensures that Bufetat, who is to find offers for children/youth in cooperation with the municipalities and the home, arrives at the earliest possible time. Thirdly, the development of the State offer in some contexts is necessary in order to prevent private individuals from acting as a monopolist and taking out a high profit from their offers. In these cases, it is an objective that Buffetat should be more able to offer an adequate alternative within its own tools. The government is concerned that there is a good and varied provision of institutions across the country, and that all those in need of space should receive an individual and well-adapted offer.
ParlaMint-NO_2006-05-24.ana.ud2089e772	I would like to thank the Council of State for the answer, and I notice that she says that there is also a lot of good in private child protection. I fully agree with that. However, I have some comments to make to the Council of State. I see that in the light of the fact that the Council of State very often flag a rather critical attitude towards the private closest on a principle basis. These three reasons for expanding the public sector, I would like to comment. One was about the use of capacity. If there is a surplus of capacity, there should not be a great need to build many new institutions. With regard to the state competence, and that it's important, I agree with that. Of course, it is important to have State competence, but it is also important that the state acts in a way that makes it useful to the competences of private institutions. It's important that it's not perceived as a contradiction. The last thing I want to say about building a government offer to prevent the private from becoming monopolists is that in that case it is important that the state and the private operate on equal terms.
ParlaMint-NO_2006-05-24.ana.ud2089e783	First, I want to distance myself from the approach that the representative had. I think I did quite thoroughly prepare for my vision. The important thing is that we're able to have quality criteria in place, which means that we're ensuring these kids the best, and not that we're giving some private owners great opportunities for profit without these kids actually getting the services. It's like, at the end of the seventh, the community funds we use to pay these places, and that's why I really would have both believed and hoped that the bourgeois parties were also concerned with the approach to these issues. I think that the market can function in an excellent way in regulating costs, demand and quality in many areas. But I'm a little more uncertain about whether the market is suitable for regulating institutions for children's protection. On the contrary, we have seen that there have been many examples over the years that we have not been able to deliver in the way we should. [[The President clubs.]] That's why the government's starting point is...
ParlaMint-NO_2006-05-24.ana.ud2089e790	I agree with the starting point of the Council of State. Clearly, the important thing is to get the service delivered. It is important to make a good offer to the children. Then we think it might be at least as important to build up public competences, so that the public is a good buyer, a good supervisor and a good representative on behalf of the children. Then there is an important focus, perhaps more important than just whether the institutions are public or private. I hope that the Council of State will also invest resources at that very part of the work. When it comes to the moment you talk about private institutions, you talk about profit, I would remind you that there are a lot of people in the private sector, as the Council of State was also at the beginning, working on an ideal basis. Nor can I see that there is necessarily some fundamental contrast between profit and quality. The important thing is diversity, that we have a variety of child protection services that can stimulate this area, provide good quality and be a dynamic area that reaps experience from each other.
ParlaMint-NO_2006-05-24.ana.ud2089e797	I would like to agree with the representative that it is important that we build a good quality at our institutions. We also need to have an education for those who work with the weakest children, which means that we ensure them a good offer. As you can see, a lot has happened in this field. I was late yesterday in Stjørdal and opened a new institution that is just going to follow up and take care of youth with behavioral problems in a completely new way, where one goes much more thoroughly into the preliminary process. We have treatment, and we also have follow-up protection from the local environment. So there are methods that are being developed, and therefore it is important – I see that speaking time is running out – that the state is in a way in control of this important sector. At the same time, I would like to start a full-time study at the end that of course we should have good private initiatives in this field, and there I believe we have a good story behind us. But those who violate the authorisation regulations do not have the right of life to operate such a type of treatment for these children.
ParlaMint-NO_2006-05-24.ana.ud2089e802	The size then goes back to question 3.
ParlaMint-NO_2006-05-24.ana.ud2089e809	I allow myself to ask the Minister for the Environment the following questions: ‘The Directorate for Nature Management has sent a proposal for a revised regulation on the keeping and rearing of game for consultation. This proposal will directly address the possibilities of training and hunting hunting dogs by imposing a ban on the launching of game. Because the population of partridges and pheasant is not sustainable, this will mean the end of hunting these species. The proposal has aroused great concern in bird dog clubs. Will the Council of State take this concern seriously and not impose a ban on the launching of game?’
ParlaMint-NO_2006-05-24.ana.ud2089e818	The starting point for the question is a regulation on the keeping and rearing of game laid down by the Directorate for Nature Management on 15 February 1999. The Directorate has now launched a revision of the Regulation, including: to follow up our obligations under the Convention on Biological Diversity as regards the dissemination of alien organisms. The Executive Board's proposal for a revised regulation is out of the question at the hearing on 5 July of this year. In previous regulations, the launching of game has been permitted for certain species and under certain conditions. The Executive Board's proposal for a revised regulation means that such a release is no longer permitted. The launching of game has primarily been the launching of game for hunting or for the training of bird dogs. The Directorate is familiar with the release of fowl, such as: pheasant and partridge, has been in progress for many years and that in some areas the activity has also had a certain extent. In the light of current knowledge of potential adverse effects, the Directorate no longer finds the basis for continuing these activities. The pheasant is a foreign species in Norway. In the case of partridges, the natural indigenous population is likely to be very few and the species is placed in the highest threat category in the national red list for endangered species. Rape is to be counted as a foreign species if it is introduced into areas where it does not already occur. This is the result of Section 47 of the Wildlife Act. In the letter of consultation, the Directorate has highlighted the high level of attention in recent years on the potential adverse effects of alien species in the natural environment. In addition, the Directorate has shown that there is a real risk that farmed game may be the bearer of infectious diseases which may spread to wild populations of the same species or related species. The power to lay down rules on the keeping and rearing of game has been delegated to the Directorate for Nature Management. Following the implementation of the consultation on the regulatory audit, it will be up to the directorate to carry out the final evaluation for different reasons when the new regulation is adopted.
ParlaMint-NO_2006-05-24.ana.ud2089e833	I thank the Council of State for the answer. When is it true that pheasant has occurred in Norwegian nature since the 1870s, and partridges were first described in Norway in 1733, according to the reference work of ‘Jeeren’. My question to the Council of State is: Does the Council of State know at all about some cases where diseases from these farmed and legally endangered species have been transmitted?
ParlaMint-NO_2006-05-24.ana.ud2089e842	I must admit that I am personally not aware of cases of disease spread, but I think it is important to stress that it is the Directorate for Nature Management that has been authorised to determine the regulation, and that the Directorate is now in the middle of a consultation session. When the consultation round is over 5 July, the final regulation shall be laid down. I am absolutely sure that the directorate will let all input from different hearing bodies have an impact on the conclusions that the directorate will then draw.
ParlaMint-NO_2006-05-24.ana.ud2089e847	That is what we really have to hope for, because the 1993 revision of the Game Act made it clear to the relevant Grand Committee that the breeding of game could lead to important industrial development in the districts, and asked for this to be done in the preparation of regulations. This relationship is at least as topical today as it was 12 to 13 years ago, and I would encourage the Minister for the Environment to also bring the agricultural assessments into this work and ensure that the economic conditions for agriculture related to these activities are taken into account.
ParlaMint-NO_2006-05-24.ana.ud2089e852	All the different aspects of a case will be highlighted when final decisions are taken. I would also like to stress that it is important to continuously gain new knowledge about an area, and one of the new areas in which we have seen it as necessary to have an increased focus, is precisely the precautionary principle in terms of nature management and game launching. There's a perspective that might be a little different today than a few years ago, and where it's absolutely necessary that we take extra responsibility to be sure that our management results in good environmental considerations.
ParlaMint-NO_2006-05-24.ana.ud2089e863	This question, from the representative Per Roar Bredvold to the Minister for Economic Affairs and Trade, has been transferred to the Minister for Finance who is directing him.
ParlaMint-NO_2006-05-24.ana.ud2089e866	I want to ask the Minister of Finance the following questions: ‘Hedmark is highly dependent on truck industry in order for society to function and people to live and work in the districts, but an ever-increasing price of fuel, taxes and competition from Eastern Europe means that truck industry is struggling. What will the Council of State contribute to enabling this industry to have a framework of living conditions and thus to provide the services on which the districts are dependent?’»
