ParlaMint-NO_2006-04-26.ana.ud1963e24	The representative Anders Anundsen will make a private proposal.
ParlaMint-NO_2006-04-26.ana.ud1963e368	First, let me say that the Prime Minister has observed correctly when he says that the previous government did not give priority to reducing car charges or petrol taxes. We, on the other hand, prioritised relief for business, for home and for individuals. In addition, our priorities included: collective action, which was very important for the Left, and we had a record high collective effort in the last period. The Prime Minister has not mentioned it as one of his priority fields in what he has now mentioned as alternatives to reduced car charges, but I hope he will seize this occasion when he answers me. I believe it is essential that we – of course in combination with a good car policy, environmentally friendly cars, in order to save lives in traffic, safer cars and safer roads – succeed in doing so so that the car is less used in our cities. It's not really made to line up in the cities. It's designed to transport people across distances outside the cities. In cities one should essentially travel collectively. Will the Prime Minister take on such a priority, that is, collective action and would like to see the bicycle routes he has promised so many in the cities, combined with environmentally friendly and safe cars and safe roads outside the cities?
ParlaMint-NO_2006-04-26.ana.ud1963e377	Some of what I think is most pleasant today is noticing that I agree more with the representative Sponheim than I tend to be. I have agreed with both of his articles. I think they've been good, reflected, nuanced expressions of the center of Norwegian politics, and it's good to see that it's alive. So I agree with what the representative says, that we must also bet on public transport. When I say transportation, I should perhaps be better at clarifying that I am thinking both of roads and of public transport. We got extra appropriations for public transport, for rail, in the new revised budget we provided, and it's very nice that the Left supports it and is for increased efforts on public transport. It's environmentally friendly, but it's also good for the drivers, because there are fewer cars on the roads when more people who have the opportunity can take trains or other public transport. We're going to work on cycle paths. Multiple cycle paths are very good. There are too few bicycle routes available in Norway today, and I am in dialogue with relevant government councils to see what we can do to strengthen the cycle routes in Norway.
ParlaMint-NO_2006-04-26.ana.ud1963e389	Let's move on to the next main question.
ParlaMint-NO_2006-04-26.ana.ud1963e392	Today it is 20 years since the dramatic and tragic nuclear accident in Chernobyl. It hit hard. Many thousands were killed in the vicinity. We don't know how long-term the effects are yet. The accident also showed that borders are not protected. High-radioactive radiation was spread across Europe. We were many who hoped and thought that this tragic accident would put an end to nuclear power generation. Unfortunately, it didn't work out that way. Now the nuclear industry is on the offensive. An increasing number of countries are planning to build new nuclear power plants. In Norway, too, this solution has its speakers. In Finland, the world’s largest nuclear reactor is now being built. In the United Kingdom, Tony Blair says that the construction of nuclear power can be part of the solution for achieving the Kyoto targets. The left is skeptical and deeply concerned about the developments we are now seeing. It is true that the new plants are more secure than the old ones, but the waste problem related to the nuclear industry is just as unresolved today as it was when it was narrowed in Chernobyl 20 years ago. Does the Prime Minister of the Left share the concern about the progress of the nuclear industry today? And has the Prime Minister communicated this unrest to his colleagues, for example. in Finland and the United Kingdom — a concern based on the fact that the more facilities one receives, the more problems there are in handling and storing waste?
ParlaMint-NO_2006-04-26.ana.ud1963e403	I totally share the concern about the environmental problems associated with nuclear power plants, especially for the storage of waste from nuclear power plants. There is also a reason why it is totally inappropriate for this government at any time to support the construction of nuclear power plants in Norway, that there should be some contribution to the Norwegian power balance. It is clear that we too are concerned about environmental problems related to nuclear power plants in our neighbouring countries. There are nuclear power plants in several of the countries in our neighbourhoods: in England, Sweden, Finland and in many other European countries. What's one of our challenges is that we make ourselves dependent on increasingly imported power, and it's also some imported nuclear power. Some of the problem in Norway is that while we used to produce more power than we used in normal years, where it was normal with rainfall and normal temperatures, when it rains normally, when it's usually hot, Norway depends on buying more and more power from our neighboring countries. And it is a problem that we are importing coal power, nuclear power and environmentally damaging power from an increasing number of countries. That is why this government is committed to strengthening the power balance in Norway. That is why we are now building gas power plants and starting work to get CO2 management in place at Kårstø, and that we will step up efforts to develop other new alternative energy sources, to make us less dependent on importing power, and therefore also less dependent on importing e.g. Finnish nuclear power.
ParlaMint-NO_2006-04-26.ana.ud1963e418	I will give the Prime Minister a new opportunity to answer my question. Is this a problem he has raised with his colleagues in the United Kingdom, for example.? Last Prime Minister Stoltenberg ruled, he promised Left that he would address the Sellafield issue in conversations with Tony Blair. He didn't. It was taken up in letters, but the engagement was not good enough. The Bondevik II government stepped this up, and it gave results. The technetium emissions from Sellafield stopped. This installation remains an environmental and safety risk. This risk will increase with more nuclear power stations in the United Kingdom and more waste to be managed. Can the Prime Minister at this time promise that he will discuss this with Tony Blair, so that we can have expressed concern about nuclear investment, which also means more waste and thus a risk that goes beyond the national border?
ParlaMint-NO_2006-04-26.ana.ud1963e429	First to Sellafield. I've brought it up on several occasions. First of all, it is correct that we have sent letters. And I know that my colleagues can read and read letters, and get the message there. The second is that I also brought this up in meeting with Tony Blair. I did that not so many years ago, where Sellafield was a main theme in the conversations. We will, if necessary, re-examine this. But it's true that it's now at least been important steps in the right direction. We will follow closely the development of the Sellafield plant and other nuclear installations and review it if necessary.
ParlaMint-NO_2006-04-26.ana.ud1963e438	There will be follow-up questions – first Odd Einar Dørum.
ParlaMint-NO_2006-04-26.ana.ud1963e441	I think it's good what the Prime Minister now said about keeping the sea clean and avoiding nuclear pollution. The Prime Minister and his government have rightly followed the line that was also set out by the previous government, namely to see the importance of the northern regions, everything there – geopolitical, environmental and our resources. In this context, there is one thing that has been worrying me as a Norwegian politician and a Norwegian citizen for a long time, and that is that we have a neighbour – the former Soviet Union, the Russian Federation – who, very early through the current political leadership, abolished its Ministry of Environmental Protection, and who has a lot of unresolved environmental problems. But my point in this regard to the Prime Minister, who, together with his government, has spent a great deal of time conducting important dialogues with Russia, is whether he is also pressing here to scrap the Russian plans that have been made to have a comprehensive nuclear transport along the Norwegian coast, along the sea areas on which we are totally dependent, up to the Russian North. Can we get the Prime Minister's guarantee of intensity and commitment so that President Putin can clearly say that this is undesirable from the Norwegian side, just as our Minister for Fisheries has clearly stated in the case of Russian exploitation of fisheries resources in the same areas?
ParlaMint-NO_2006-04-26.ana.ud1963e448	This government is very concerned with the northern regions in general and also with environmental problems and nuclear safety in particular. Both this and former governments of changing colors have therefore granted money for this work, and we have had close cooperation with the Russian authorities both in the scrapping of old nuclear submarines, nuclear submarines, and in the safety of e.g. the nuclear power plant on the Kola Peninsula. We will continue that cooperation. We will continue to provide this assistance to help reduce the risk of nuclear pollution, for example. in the Barents Sea. Just in the case of transport and which routes are the right and most environmentally friendly, and which are not, I need to spend some more time evaluating it and finding out what must be the best advice and the best recommendations to the Russian authorities. But our whole cooperation programme with the Russians, in which several other countries also participate, is about reducing the risk of nuclear pollution and, therefore, choosing routes that reduce the risk as much as possible.
ParlaMint-NO_2006-04-26.ana.ud1963e455	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e458	Energy consumption in the world is increasing, and it will increase dramatically over the next few years. This is why several countries are playing a major role, among other things. nuclear power plants to cover their energy consumption. In the world today, there are 443 nuclear power stations. 27 new ones are under construction, but many more are under construction. Only in China and India will 60 new nuclear power plants be launched in the coming years. Also in our neighbouring country, they have nuclear power stations. In Finland, they are now building the largest, on which Gunnar Kvassheim was in. But in Sweden, where they've given the impression that they're going to invest less in nuclear power plants, they're still getting more production in the remaining nuclear power plants. And not least in our neighbouring countries in the east they have a lot of nuclear power stations that give great cause for environmental concern. Now there are some researchers who look at the possibility of using other things than uranium in nuclear power generation, and there's a lot of research on it, but common to all is that they say there's no money in this. The government is willing to use billions of dollars to realize a CO2 cleaning plant on Kårstø. If the same means had been used on nuclear power and nuclear power, we could get rid of the waste problem and secure the energy supply in the future. Will the government then look at the possibility of contributing to nuclear research in order to get uranium out as a fuel?
ParlaMint-NO_2006-04-26.ana.ud1963e468	I am a little uncertain about what the Progress Party really thinks, whether it is such that the Progress Party believes that we should also bet on nuclear power plants in Norway. In that case, I disagree. If the Progress Party believes that it is wrong to invest in CO2 management and to spend public money on it, so that we can get gas power plants without emissions of the greenhouse gas CO2, I also disagree with the Progress Party, because I believe it is absolutely necessary that the public use funds to develop profitable technology that enables us to get gas power plants without emissions of the greenhouse gas CO2. I believe that Norway should use the main emphasis of its research efforts in energy in those areas where we think we have a special advantage. There is no doubt that we have a special advantage, a special basis for becoming world leaders and especially good at gas power, because we are a big gas nation, and because we can then develop an energy carrier, strengthen the power supply and develop an environmental technology that the world demands, both because it needs power, and because it needs ways to deal with the greenhouse gas CO2. So I perceived the question almost as a criticism that the government is spending money on CO2 cleaning. I think that is wrong. And we have limited research on nuclear power. We have something at the Halden reactor, and we're going to keep doing that, but we don't have any plans to escalate that business significantly.
ParlaMint-NO_2006-04-26.ana.ud1963e492	There has been a touching consensus in Norwegian policy for many years that we should not use nuclear power. We're going to be fine in other ways. We have largely done so far by importing more, among other things. nuclear power. Whether that energy policy impresses the world can certainly be discussed. The sister parties they have tried to contact are obviously not impressed, because it is not that the sister party of a liberal or a social democratic party in Norway – in Germany, Finland or Sweden – necessarily follows Norwegian views because we falsify them. It's part of the world of reality. This, combined with the fact that there is increasing attention to CO2 emissions, and that there is limited capacity for reinjection, even if good technology is to be found, also leads to increasing attention to nuclear power. I think we have to recognise that nuclear power will come as one of several energy carriers in the years to come. Then is my question to the Prime Minister, since he concluded by saying that the Halden and Kjeller environments would not be destroyed: is it not important at least to assure these environments that they can continue, because they are researching and developing nuclear safety and are internationally sought? It'll be our small national contribution to nuclear safety in a day like this.
ParlaMint-NO_2006-04-26.ana.ud1963e502	I agree, to the extent, with both the messages contained in the question from the representative Foss. One is that I don't think the world is particularly impressed with Norway, which is opposed to a wide range of energy carriers like coal power, nuclear power, etc., but which import more and more of it. The answer to that is that we should try to make ourselves less dependent on imports, because it's a little weird to be against nuclear power, but using nuclear power, being against coal power, but importing coal power. That's the one. The second is that I agree that the Kjeller and Halden environments have very valuable competences and contribute to increased safety related to the use of radioactive substances by nuclear power. We want to go on with that. What I was a little uncertain about was whether the previous questioner thought we should not bet on CO2 management. So I strongly support the fact that we are paying for CO2 management, because there is Norway in a very special situation. In the case of nuclear power plants, many other countries have far more competence and have come further, but we need to maintain and develop the competences we have.
ParlaMint-NO_2006-04-26.ana.ud1963e517	Line Henriette Holten Heimdal – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e521	The Christian People's Party is against nuclear power. We think the developments we see in the country, and the discussion that goes on in other countries, are unfortunate. But nuclear power is on the rise, and when it's on the rise, the safety of our nuclear power stations is very important. The work of the Institute of Energy Engineering in Halden and Kjeller, to which the Prime Minister has referred, is crucial in relation to the competences they give to leading actors in this market. I recently had a conversation with representatives of IFE. They are concerned because in Russia there are 13 reactors with the same type of technology as the Chernobyl reactor had. We have to be able to ask questions about whether we've come a few steps further in the last 20 years, or whether we have as large environmental bombs in front of us as we had at the time. We've heard about it on the radio today. We're not going to relax for a minute. We're not going to leave this to the next generation. My question will then be: have we taken neighbouring responsibility for spending money, but are we able to understand whether the money is being spent properly, so that the security of these power plants is being upgraded, as is the intention of cooperation between Russia and Norway in this area?
ParlaMint-NO_2006-04-26.ana.ud1963e530	I fully agree that the environments we have at Kjeller and Halden, which operate with nuclear physics and with the safety of nuclear reactors, are very important environments. I have also been responsible for them in their time, and know that they are doing an impressive job and a work we need even if we don't have nuclear power plants ourselves. That's the one. The second is that we are concerned that the money we spend to contribute to nuclear safety and reduce the risk of nuclear accidents in our neighbouring areas, especially in North-West Russia, is being used as best possible. Of course, part of our bet in the north is that we are constantly going through and assessing whether the money can be used better, whether we can cooperate in other ways to ensure that we get as much back for the efforts we are making for nuclear safety in Russia.
ParlaMint-NO_2006-04-26.ana.ud1963e537	So today's oral Question Time is over, and we're going to the ordinary Question Time.
ParlaMint-NO_2006-04-26.ana.ud1963e543	There will be a wide range of changes in the list of questions set out, and in this context the President will refer to the overview presented in the seats of the representatives. The President will propose, despite the fact that he will express his dissatisfaction that so many changes are necessary, that the changes are accepted. – It shall be deemed to have been adopted. The changes were as follows: Questions 1, 3 and 4 from the representatives of Bård Hoksrud, Line Henriette Holten Hemdal and Jan Tore Sanner respectively to the Minister for Finance are postponed to the next Question Time when the Council of State has left. Question 2, from the representative of Gunnar Gundersen to the Minister for Finance, has been transferred to the Minister for the Protection of the Environment who is directing him. Question 5, from the representative Kari Lise Holmberg to the local and regional minister, will be raised by the representative Torbjørn Hansen. Question 8, from the representative Jon Lilletun to the Minister for Development, will be moved and answered at the request of the Council of State to answer question 25, i.e. at the end of the Questionnaire. Question 10, from the representative Peter Skovholt Gitmark to the Minister for Food and Trade, has been transferred to the Minister for Labour and Inclusion, who is responsible for the matter. Question 11, from the representative Petter Løvik to the Minister for Economic Affairs and Trade, has been transferred to the Minister for Oil and Energy, who is directing him. Questions 15, 16, 17, 18, 20 and 22, from the representatives of Ine Marie Eriksen, Odd Einar Dørum, Borghild Tenden, Trine Skei Grande, Vera Lysklätt and May Helen Molvær Grimstad respectively, are postponed to the next Question Time when the Council of State has left. Question 19, from the representative Anne Margrethe Larsen to the Minister of Knowledge, has been transferred to the Minister of Labour and Inclusion, who is directly responsible. However, the question falls because the questioner is not present. Question 21, from the representative Anders Anundsen to the Minister of Knowledge, will be answered by the Minister of Labour and Inclusion on behalf of the Minister of Knowledge, who has been away.
ParlaMint-NO_2006-04-26.ana.ud1963e580	The question has been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2006-04-26.ana.ud1963e587	This question, from the representative of Gunnar Gundersen to the Minister for Finance, has been transferred to the Minister for the Protection of the Environment who is directing him.
ParlaMint-NO_2006-04-26.ana.ud1963e590	I allow myself to ask the Minister for the Environment the following questions: ‘One of the main arguments against impregnated wood is that ecotoxicants are used to achieve the necessary protection. Alternative methods have now been developed that produce the same effect on degradation without negative environmental consequences. However, at cost, the alternative methods cannot compete with the current impregnation method and it is therefore difficult to motivate someone to make the necessary investments. Will the Council consider using instruments to stimulate new methods of impregnation?’
ParlaMint-NO_2006-04-26.ana.ud1963e604	Copper is currently mostly used for wood impregnation, bottoms on boats and impregnation of nuts in the farming industry. These three uses add up to a total annual emissions of 685 tonnes, corresponding to around 80 pst. of all copper emissions in Norway. It is a national target that copper emissions should be significantly reduced by 2010. I aim to reduce the use of copper for wood impregnation, bottoms for boats and notary impregnation. In the Soria Moria Declaration, the Government says that it will ban copper from impregnation of wood and work actively to make environmentally friendly alternatives profitable. State pollution control has assessed the means of banning, charging and leaching requirements for the three main uses and considers that more than one instrument is possible. I will now ask the SFT to draw up a concrete proposal for a ban on copper in wood impregnation and to clarify the consequences of this. I would also like to assess the need and possibilities to impose a charge on the use of copper in relation to several uses.
ParlaMint-NO_2006-04-26.ana.ud1963e613	I thank you for a thorough review of the problem. It's copper. It is good that the Council of States is following up and focusing on this area. This opens up many ways for new opportunities in Norwegian forestry, because it is both about replacing rainforest material, which is currently used, and about promoting Norwegian eco-innovation. However, I am sceptical about a ban. These are materials that are quite important in a market, and there are also many producers using them today. I would rather recommend to the Minister for the Environment the use of the fee instrument. It will create a completely different, justifiable, transition into a new system. I believe there is full agreement that this innovation that has now emerged should be phased into the market as quickly as possible, just to avoid unfortunate environmental impacts. I hope the Council of State will take it into consideration in the further assessments.
ParlaMint-NO_2006-04-26.ana.ud1963e620	I want to express great pleasure at the fact that we have a common concern about reducing the use of copper, because it's such a dangerous environmental poison. The SFT has assessed both prohibitions, fees and leaching requirements. I believe that we will end up with a combination of bans and charges, bans in the areas where use is most extensive, and charges in the other areas. I am pleased with the recording and promise the representative that I will take it further.
ParlaMint-NO_2006-04-26.ana.ud1963e627	It is good to hear that in this context the SFT will investigate this, because they already have a good understanding of the problem through a work they did in 2005. I therefore feel reasonably confident that it will be assessed so that we do not stop the market and burden today's producers too much without ensuring that there is a proper transition. There are also quite a number of jobs around the country. With this, I think we can find sensible solutions to this problem.
ParlaMint-NO_2006-04-26.ana.ud1963e634	I would like to stress that part of what we do when we look at prohibition is to assess the consequences and any necessary exceptions. I believe that this process should be well-managed, and that we should achieve the objective that is important, namely to phase out environmental expenditure.
ParlaMint-NO_2006-04-26.ana.ud1963e661	These questions have been postponed until the next question time.
ParlaMint-NO_2006-04-26.ana.ud1963e668	This question, from the representative Kari Lise Holmberg to the local and regional minister, will be raised by the representative Torbjørn Hansen.
ParlaMint-NO_2006-04-26.ana.ud1963e671	I will ask the following questions to the Minister for Local and Regional Affairs: ‘Right-wing representatives have tried several times to ask the Minister of Local and Regional Affairs about the Government’s attitude to municipal autonomy, on the basis of concrete examples of state overarching. These have been consistently answered by the sectoral Council of State. How will the State Council take over the overall responsibility of the Government to protect municipal autonomy from sectoral interests?’
ParlaMint-NO_2006-04-26.ana.ud1963e680	A living local democracy is the foundation of popular rule and a prerequisite for trust and legitimacy in the National People's Government. Local authorities have overall responsibility for the provision of welfare to their citizens, and this should be ensured by providing the municipalities with sufficient resources and freedom of action to perform their tasks. Municipalities are mainly to receive their income through framework funding, and the Government emphasises a greater interaction between state and local authorities through dialogue and consultation. All of this is the basis of the Government's policy for the governance of municipalities and shows that the basis of the Government's policy in relation to the municipal sector is an overall perspective. The representative of Holmberg, who originally asked the question, indicates that previous enquiries addressed to me have been answered by the sectoral government council. The current system is structured around the principle of sectoral responsibility, which means that when a State Council is responsible for an area, it also applies at municipal level. This means that the sectoral councils will respond to enquiries in their field of competence. That's the way it has been, and that's how it's going to have to be. As a municipal minister, I have a special responsibility for coordinating the state governance of the municipal sector, so that the overall perspective and the local maritime administration are ensured in the best possible way. Coordination is ongoing in the ministerial system and, in all matters relating to the municipal sector, the Ministry of Local and Regional Affairs is to be involved. The Ministry is also in the process of completing a municipal reform guide to facilitate State authorities to take into account the overall governance principles that apply to the local government sector when implementing reforms. The best example of coordination between ministries is the annual municipal proposal presented in May. The Proposition addresses the main issues for municipalities, and it forms part of an interaction between the Ministry of Coordination and the Department of Local and Regional Affairs. Another example is work on the further development of the consultation mechanism between the State and the Municipalities’ Central Association, which is to ensure dialogue and care for the interests of the municipal sector. In several areas of importance for municipalities, I aim to present issues to the Storting in the future, coordination issues that are therefore presented by me. I would like, among other things: present an out-of-office proposal on State supervision aimed at the local government sector. There will also be a review of earmarked grant schemes, in which the Storting will be involved. All of these matters will provide ample opportunity to put the issue of the municipal maritime administration on the agenda, which I look forward to.
ParlaMint-NO_2006-04-26.ana.ud1963e699	I would like to thank you for your answer. The programme formulations put forward by the Council of State now and in other contexts on the importance of local self-government are of little value when practice is different. If the local government has a self-esteem and a right to equal distribution throughout the country, the government must be able to accept that decisions are taken in the municipalities in which the government disagrees. Only then do you have real autonomy. Now 42 coastal rapporteurs – with SV at the head – have brought a blow to the Government about over-testing of the municipal autonomy of the coastal zone. In central party-driven Forsand they are not allowed to build new cabins, as a result of government policy in this area. What concrete action does the Council of State intend to take to shift power from the Councils of State and the State down to the municipalities?
ParlaMint-NO_2006-04-26.ana.ud1963e710	The representative and I fully agree that the local maritime administration has self-esteem, and that we should hang out on the local maritime administration. We have that as a starting point, and that's what we live for in our daily business. So it will always be that there are some sectors that we rely on to have national plans for. It is a continuous reflection of how we should be able to respond to the national needs of national plans and national holistic approaches, and to give local authorities freedom of action. Our starting point is that we're going to find the right balance point. And when we seek to make these decisions, the consideration of the local maritime administration is absolutely crucial.
ParlaMint-NO_2006-04-26.ana.ud1963e719	I also thank you for this answer. I still believe that the real effort on self-government will result from the concrete decisions made by the government, and I note that several concrete decisions made by the government have gone beyond local self-government. In yesterday's Political Quarter, the Central Party's municipal political spokesman, Trygve Schlagsvold Vedum, played out that the Government would deprive the statesmen of political power. We're assuming that this is also true in land and soil protection matters. The right-hand side supports this. But we're not just concerned with depriving the statesmen of power. We're also concerned about how that power is being moved into the system. If the power of the municipalities is transferred, the Centre Party shall receive full support from the Right. But if it just moves up to a new regional level, it just gets worse for local self-government. So here I would recommend to the Council of State to listen to the previous centre party leader, who today's Evening Post warns against the new regions. The question is, where should power be moved when the power is to be decentralised?
ParlaMint-NO_2006-04-26.ana.ud1963e730	There is a big and comprehensive discussion on how to develop the regions in Norway, and we had an interpellant debate on this in the Storting yesterday. In this field, there are different views between the parties, and it is very well known that the Right wants a two-level model. The government has said it wants a three-level model. The Christian People's Party and the Left made it clear in the debate yesterday that they want to be constructive fellow players in developing this intermediate level. The administrative reform/regional reform must be a popular governance reform and a decentralisation reform. Power must be moved from central bodies to closer people. What we are talking about mainly in the context of the administrative reform is strengthening the regional level, but it does not exclude that new tasks can also be transferred to the municipalities.
ParlaMint-NO_2006-04-26.ana.ud1963e743	I have the following questions for the Minister of Local and Regional Affairs: ‘The Council of State has stated several times: ‘It is therefore not difficult to obtain a net operating surplus of more than 3 pst. This can be achieved simply by cutting municipal services. The total share of municipalities in care services and primary schools has been reduced in 2005 to improve the overall operating performance of the municipal sector, and what is the main explanation of the increase in net operating performance of municipalities in 2005?’»
ParlaMint-NO_2006-04-26.ana.ud1963e752	Preliminary figures for 2005 show that primary school and care services increased service output around the time of the increase in the number of students and the number of elderly. In primary schools, the number of hours of education per person increased. students due to the extension of hours, while the percentage of hours spent in special education was slightly reduced. In the care sector, preliminary figures show an increase of between 500 and 2100 years of age; the increase is probably closer to 500 than 2100. There are considerable variations between municipalities. Not all municipalities have managed to maintain the service offer as well. There are several factors that have contributed to improving net operating surplus in 2005. Municipalities that lost their share of the new VAT compensation scheme in 2004 were compensated for this by a one-off allocation in the autumn of 2005. Tax revenue was higher than estimated in the 2005 budget. The new provision for the management of pension costs has given municipalities a saving in 2005 compared to what the expenditure would have been with the old regulation. Furthermore, there is broad agreement that municipalities spend too little money on maintenance. This also contributes to a higher net operating surplus. Many municipalities have used parts of the significant income growth in 2005 to strengthen the financial situation. All 80 pst. of the municipalities with a negative result in 2004, came out with a positive result in 2005. This suggests that, with weak results, most municipalities in 2004 have focused on strengthening their financial balance sheet. This shows that the municipalities act responsibly in relation to the financial framework, but that does not mean that the service offer according to Regereninga's assessment is good enough. Strengthening the local economy is needed to enable municipalities to provide more and better services to their inhabitants. I am constantly getting feedback from the people who experience that their nearest person is not getting the offer they are entitled to. The improved financial situation in the municipal sector is a good foundation for better municipal services in the future. In 2006, the Government has significantly increased the income of the local government sector and the ambition is that the free revenues should be significantly strengthened during the flooding period.
ParlaMint-NO_2006-04-26.ana.ud1963e761	The response shows, as the Technical Calculation Committee has come to the conclusion in respect of developments in 2005, that the main reason for the surplus, or operating surplus, is the growth of income. Will the Minister of Local and Regional Affairs now take advantage of the opportunity to withdraw the claim she made in an oral Question Time before Easter that the main reason was cut off from the municipal services?
ParlaMint-NO_2006-04-26.ana.ud1963e766	As I said in my answer, there are different reasons why you came out with a good net operating result in 2005. I mentioned the VAT compensation scheme, which came at the end of the year. I mentioned the tax revenue, which was slightly higher than estimated, and I mentioned new rules for pension management. This is partly grip like the sitting government did last year's harvest to improve the situation. A net operating surplus of 3 pst. is important to have, because then you have a stable economic foundation in the municipalities. But this does not say anything about the services you have around the municipalities. Thus, having a net operating surplus at a certain level is not an objective in itself, but it is important to be able to have a stable economic situation.
ParlaMint-NO_2006-04-26.ana.ud1963e773	The description of the cause of the operating result is quite correct, but it is quite different from the following description: ‘But it is not difficult to get a net operating result of more than 3 pst. This can be achieved simply by cutting into municipal services.’ I again asked the Council of State to take advantage of the opportunity to withdraw the incorrect claim.
ParlaMint-NO_2006-04-26.ana.ud1963e783	I can't withdraw that claim, because it's a completely correct description of the situation. There is no problem for a municipality to get a net operating result of 3 pst., at 5 pst., at 10 pst. It depends entirely on what you do with the expenditure side, and on what you do with the service sector. I could have undertaken to get a net operating result of well over 3 pst. in any municipality, regardless of the economic situation of the municipality, but there would have been some consequences for the service provision. There is a deep disagreement between this Government and the Right. We strongly disagree on the services to be provided in the municipalities. We believe that the service offer today is not good enough. We believe that it should be strengthened within school, health, care and culture. We are concerned that municipalities should also have the opportunity to develop the role that has been played too badly in recent years, namely the role of social development.
ParlaMint-NO_2006-04-26.ana.ud1963e799	I have a question for the Minister of Oil and Energy: ‘I have raised Statoil’s request for a new thermal energy plant at Mongstad in the past, and am surprised that the Council of State only outlines the procedure and does not provide a political signal or attitude to the project in a wider perspective. Of course, I am aware that the matter is being dealt with by the NVE. Has not the Council of State and the government to which it belongs, a policy which can indicate how to assess a matter which is therefore crucial to the power situation, the environment and the development of industry and industry?’
ParlaMint-NO_2006-04-26.ana.ud1963e808	Statoil's planned gas power project at Mongstad is an exciting project. The CHP plant shall supply the Mongstad refinery with electricity and heat as well as the Troll A platform and gas treatment plant in Kollsnes with electricity. In addition, a new gas pipeline is planned from Kolsnes to Mongstad as well as necessary connections to and conversions in the refinery. I think it is positive that we now see more current energy projects in the West. The evolution of the force balance in recent years has shown that new generation capacity is needed, especially in relation to the variations we can experience in hydropower generation from year to year. I have noticed that the planned CHP plant is expected to achieve a very high efficiency – 70 pst. With the link to the energy needs of industry at the Mongstad refinery and at Troll, Mongstad appears to be a project where we achieve very good use of gas resources. As the representative of Halleraker correctly points out, the application for a concession under the Energy Act and for a concession for the gas pipeline Kollsnes-Mongstad is now dealt with in the NVE, with possible subsequent appeal proceedings in the Oil and Energy Ministry. The application for an emission permit is now pending in the SFT. The SFT will make a recommendation to the Ministry of the Environment, which will then examine the application. It is therefore not right for me to comment on the application now, but I have tried to express my view of the project. I hope that can be satisfactory for the representative.
ParlaMint-NO_2006-04-26.ana.ud1963e819	I thank you for the answer, which I see as a lot more positive than what I got in writing. I hope that the treatment will lead to Statoil getting a response before the end of the summer, which they have wanted. Mongstad is one of the largest refineries in northern Europe. Upgrading the heating and energy system and transition to gas-based power will bring significant environmental benefits, but will also significantly strengthen the power balance in an area that is increasingly under pressure. A controversial transmission line through Hardanger is notified by Statnet as absolutely necessary if the energy situation is not improved in this area. I therefore have a follow-up question: does the Council of State see the win-win situation for industrial development, for the power situation and for the environmental situation to which Mongstad development contributes positively?
ParlaMint-NO_2006-04-26.ana.ud1963e828	It does so, especially if at the top of this, the many preliminary results – as we already see – of the government's efforts to establish a CO2 chain are added. This has led industry to become offensive on the ground and to look at the possibilities of using CO2 to increase oil extraction. Looking at a good energy project in the context of the opportunities to manage CO2 in a value chain – it should make it attractive in this area too – this could be a very exciting project. So I have great expectations of what Statoil and Shell are now planning on at Mongstad. The government has come a long way with the work on Kårstø. Internationally, the management of CO2 also arouses both visibility and increased interest. This means that in many ways we're going over in a new era when it comes to using gas for power generation, which could also have implications for Mongstad. It's an exciting project.
ParlaMint-NO_2006-04-26.ana.ud1963e847	I thank you again for the answer, which I see as constructive and positive. The Mongstad expansion will result in the installation of a gas pipeline from Kolsnes in Eyegarden to Mongstad. This provides pleasant opportunities for other exciting industrial developments in the area and therefore represents an important part of the overall picture in assessing this issue. Both in Slövåg in Gulen municipality and Luteland in Fjaler municipality there are great plans for exciting industrial development. One depends on the supply of gas, and primarily on the extension of the new pipeline to Mongstad. I expect the Council of State to know these plans, and I therefore ask whether this possible, exciting industrial development will be given priority when the Government is going to make its decisions on Mongstad.
ParlaMint-NO_2006-04-26.ana.ud1963e856	I have attended a large meeting in this area on the industrial plans available, and I also see it as very exciting. Of course, we will look carefully at how it is possible to contribute to the realization of these plans when we consider this application. It is now the case that this application is to be dealt with in those bodies. Of course, the opportunities for industrial development and the things we are now discussing will be followed up, and the decisions relating to concession will be crucial for how to follow up the things that are here. The industrial projects located in this area are very exciting and offer opportunities for industrial use of gas.
ParlaMint-NO_2006-04-26.ana.ud1963e863	Question no. 8 will be answered at the end of the question hour.
ParlaMint-NO_2006-04-26.ana.ud1963e870	I have a question for the Minister of Economic Affairs and Trade: ‘SIVA Fornebu AS refuses to participate in the planned capital increase of IT Fornebu Incubator AS. With this policy, the state runs away from its previous promises and slows down the positive development that has taken place at IT Fornebu. What will the Council of State do to make the remaining 22 million. kr of the investment framework for the State’s Fornebu exposure is granted, and what will be done to ensure active State involvement in the development of IT Fornebu, in line with the intentions?’»
