ParlaMint-BG_2018-07-12.u1	There's a quorum. I'm opening the meeting. Mr. Velchev, come in for a procedure.
ParlaMint-BG_2018-07-12.u123	Thank you, Mr. Simeonov. A statement has been made by Mr. Slavcho Atanasov, and then we will alternate the groups. Here you are, Mr. Atanasov, for your speech.
ParlaMint-BG_2018-07-12.u124	Mr. Chairman, Mr. Deputy Prime Minister, Members of the National Assembly! I've always defended the local government because I've been mayor for eight years. I am very glad that there are former colleagues of mine in this Chamber. I think they'll support me in what I'm about to say. The truth is that one of the mayors' biggest problems on the ground are just these many noisy entertainment facilities that are present in every municipality, only the mayors have the most problems, and I myself have had a lot of problems on this issue. These entertainment facilities with high decibel evenings created huge problems, and now huge problems for the people who live in the settlement. In Bulgaria there are 265 municipalities. I therefore disagree that everything should be decided locally in these 265 municipalities. On the contrary, mayors and municipalities need to cooperate very well with the central government, with parliament. Why am I saying this thing? Usually these owners of restaurants, from personal experience, are quite influential in the settlements. They have their own local lobbys, have their own local lobbys in the municipal councils of the respective municipality. And I remember my case when I introduced these very restrictive measures in my municipality in Plovdiv. Then I remember what a serious lobby formed in the Plovdiv Municipal Council for the protection of these noises, which plagued a very large part of the population of the city of Plovdiv. For this reason, I do not agree with the previous one that absolutely everything must be decided by the mayors on the ground for a very simple reason. As I said, these people are quite influential on the ground, and I'm not going to hide that some of the mayors are making a very good account of the elections coming after, and they don't want to get into conflict with those people who are very influential on the ground. For this reason, I believe that this law, which is currently proposing it in Parliament, the Deputy Prime Minister, and not because it is my party boss and deputy prime minister, will help! It'll help the mayors! [[Noise and lines.]] It will help the mayors to solve one of the most serious problems they have in their municipalities, so in this regard I strongly disagree that almost, in places for such important problems, we must only and only rely on the local solution. After all, that is why we are Parliament. After all, we, and that is why we have a government, when these so socially significant problems are in the whole country, not just in resorts. I say that in all major cities, and in smaller villages, there are these problems. It is right in this way that we help these mayors in order to get them out of this closed circle of local influences and of local impacts on their activities. And I am convinced that a large number of fellow mayors currently in the country will support these measures. I am convinced of this, so let us, fellow Members, think well, and at least I, not only will respect the decision of our parliamentary group, but with full conscience, I will vote on these changes. Thank you.
ParlaMint-BG_2018-07-12.u125	Thank you, Mr. Atanasov. - What's the line? Mr. Ali, come in. You have the floor for a line.
ParlaMint-BG_2018-07-12.u126	Dear Mr. Chairman, honourable Members! I take a cue to Mr. Atanasov: You were mayor and I am sure that then, if you were still mayor, you would think differently, but here the Deputy Prime Minister hinted, and you, for lobbying and for powerful companies, so-called, owners of such establishments, which apparently through their municipal councils or councillors, lobby for certain activities they carry out. I can say the exact opposite here. We are currently going to kill tourism with this law, and that is clear because, honourable Members, in these open-air establishments that are at sea, which are involved and which are the whole procedure, precisely for those establishments that are at sea, I am convinced, and because of Burgas or because of Varna, will burn all other municipalities in Bulgaria. Everything is being done precisely in this direction in order to clearly break down this business, which provides a livelihood to so many workers in these establishments. I am convinced that most of them are far from the residential neighborhoods and this sound is hardly interfering with those who are resting because those who are going to these resorts, where it is noisy, these tourists are coming precisely because of the fact that there are such open places and that there are such disco clubs. For example, I, when I want to be calm and no noise, go to other resorts where there are no such disco clubs. Or are we asking these open-air establishments to put clients in closed-houses? Is that it, or is there some kind of lobby maybe? [[Noise and lines.]] My fellow Members, I do not agree with what has been said here. I'm saying again, of course...
ParlaMint-BG_2018-07-12.u127	You're out of time, please!
ParlaMint-BG_2018-07-12.u128	People's health is the most important and the most valuable. [[Heckling]] There are ways! There are ways to define it local councils.
ParlaMint-BG_2018-07-12.u129	Time's up! I'm sorry. [[National Representative Tanner Ali speaks with microphones off.]] Thank you. I'm sorry, but I had to interven! Are there any other lines? Here's a line for Mr. Atanasov's speech.
ParlaMint-BG_2018-07-12.u130	Mr. Atanasov, it must be your noble motives to speak in this way, but there is one thing that you should know that every law, which in a communist way tries to order, will not receive this recognition from the whole Bulgarian society. This is absolutely certain and I am telling you that after a while this law will tolerate correction. I don't know if your motives are so noble, but the way this law started to be passed in society, it was the kind of self-harassment with a certain type of business on the Black Sea coast. And whatever you do, you won't be able to clean that stain! Because this law has gone from this starting position! That's the way it is, guys.
ParlaMint-BG_2018-07-12.u131	Thank you, Mr. Ebatine. Mr. Atanasov, come in for the back.
ParlaMint-BG_2018-07-12.u132	Thank you, Mr. Chairman. My fellow Members, I strongly disagree that these establishments are on the outskirts of the city. Yeah, some of them might. I'm talking specifically about my city that I've run. Yes, some of them are there, but we have not reached the level of some Western European cities where they have separate amusement zones. I say that especially in the big cities and especially in my city, Plovdiv, a large part of these entertainment facilities are just in residential neighborhoods, and a small part are in the center of the city. This one, first. Secondly, from personal experience I say this to you as mayor I had a reception day for citizens every day. A large part of these citizens' complaints to me, as mayor, were precisely about this unacceptable noise. People couldn't rest. That's what I'm saying, too! During my reign and as a district mayor, and then as mayor of the city, there were at least a few dozen protests in front of the municipality precisely because of these noises that were created in the neighborhoods where people live and want to rest, so this law is absolutely imperative and pressing. Here I strongly disagree that this will bankrupt the business, ruin the business. On the contrary, there are enough measures that can be taken and one establishment can be silenced. Many of the establishments in Plovdiv, after issuing the town ordinance to limit these noises, took measures to limit noises in their establishments. There are such serious technical possibilities for this at the moment, so I continue to stand up for my position. With the arguments you put in the back, I don't agree with them. Thank you.
ParlaMint-BG_2018-07-12.u133	Thank you, Mr. Atanasov. Mr. Bojankov had made a statement.
ParlaMint-BG_2018-07-12.u134	Dear Mr. Chairman, honourable colleagues, dear Mr. Simeonov! As a person who does not understand this matter, I confess, I followed with interest the debate to find out how I will vote and could not get an answer to the question asked by my colleague Naydenova: are the resorts within the scope of this law? I have heard from Mr. Simeonov that they should be regulated, but the Law is not a wish or regulated or not. And here are the hopes of many Bulgarian citizens, and here is the big question, because everyone who has travelled to Europe and around the world knows that at 22.00 in every civilized country the party ends, we, each of us, our rights and de jure, and if you will, purely morally, end where the rights of others begin. This balance in Bulgaria is definitely broken and in this direction we should look at the development of our resorts, because it is we and everyone here in this room, as well as those before us, are responsible in Bulgaria for tourism to be oriented in the cheapest possible way and many of the solvent tourists who are looking for peace, families who are looking for peace, to be expelled from Bulgaria and to seek a holiday, as they do, in neighbouring countries, and to lose these people. So please give us a clear answer: do resorts enter this range, or is everything just smoke? Thank you.
ParlaMint-BG_2018-07-12.u135	Thank you, Mr. Bojankov. Are there any lines to the statement? I won't. Mr. Deputy Prime Minister, you are welcome to address the statement of the MP Yavor Bojankov.
ParlaMint-BG_2018-07-12.u136	Mr. Chairman, Mr. Bojankov, ladies and gentlemen of the House! Resorts come on a common ground. The law does not separate the different areas, the different settlements. The law applies to everyone, everywhere. There's no doubt about it. There were other proposals, but if this law acts selectively, it means that there will most likely be reproaches that it will be lobbying. On the other hand, thank you for the clarification you have added to the picture for Europe. I would add something else from 1 January 2017 I have to tell you that in Ibiza and all the resorts of Spain was introduced the time of 11:00, after which there can be no sound. There are many other examples I can give you. Only for information about the country we are most trying to copy, noise restrictions and sound sounds in the open air are 20,00 hours. "Autumn and winter time" and "11.00" throughout the remaining period of the year. Neither are we the first nor will we be the last. Thank you.
ParlaMint-BG_2018-07-12.u137	Thank you, Mr. Deputy Prime Minister. Ladies and gentlemen, one message. Dear colleagues, 27 years ago today the Seventh Grand National Assembly adopted the Constitution of the Republic of Bulgaria. It regulates relations in our modern society and states that Bulgaria is a republic with parliamentary rule, a democratic, social and legal state in which all power stems from the people. The Constitution establishes a new model of state structure and governance and defines the fundamental rights, freedoms and obligations of citizens. On this occasion, the original of the new Bulgarian Constitution and exhibition, which has sealed moments since its adoption, is presented in the Northern lobby. All MPs are invited to attend its opening. Holiday till 12:00. (After the break.)
ParlaMint-BG_2018-07-12.u138	Dear Members of Parliament, take your seats, please continue our work. Quaestors, invite the MPs from the towers. Before the break, there was a statement made by Mr. Sevim Ali. Here you go.
ParlaMint-BG_2018-07-12.u139	Please extend the group's time.
ParlaMint-BG_2018-07-12.u140	Increase the group's time. To all groups, yes.
ParlaMint-BG_2018-07-12.u141	Thank you, Mr. Chairman. Dear Mr. Deputy Prime Minister, ladies and gentlemen of the House! The bill for amendment and supplement of the Law on Protection against noise in the environment has caused a great public response. I dare say that it is one of the most loudly discussed bills in recent years, given the noisy spectacular stocks that were held last summer in the resort complex Sunny Beach, this summer in the resort complex Sunny Beach.
ParlaMint-BG_2018-07-12.u142	In Sozopol and in Sofia too.
ParlaMint-BG_2018-07-12.u143	We can see that these shares have moved to Sozopol. Yes, you remind me, thank you. [[Reply from Deputy Prime Minister Valeri Simeonov.]] That is exactly what I was going to say, that these shares have moved to Sofia Municipality. The reason for such a large public response is that this bill, honourable colleagues, concerns a large part of the Bulgarian society, and especially business. It should be known that the tourist business is not only the owner of the business, but also the people who work in this establishment, their families. This shows in itself the scale, i.e. the people who will be affected by this particular bill. Dear colleagues, the current law imposes a ban on noise after 11:00, even more. At the risk of repeating my colleague Ali, who took a position before me, there is a Public Order in each municipality. They reach further in winter this ban applies after 22.00 pm and during the summer period this ban applies after 23.00 pm. Now with the proposals for amendment and supplement in the Law these powers are seized at the hands of the local authorities of the municipal mayor, the municipal councils, which are elected legally, for which the people voted, given that they can best reflect their interests, and not only their interests, but also the interest of the business. This, firstly, is a mistrust of the mayors of municipalities, and, secondly, of course, an insult to their constituents who have voted their trust to represent their interests. We in the parliamentary group of the Movement for Rights and Freedoms are aware of the fact that tourism is one of the national priorities in very few municipalities. It is in these municipalities that tourists who visit them, during the summer season, prefer, and understandably, to visit outdoor-type restaurants. Of course, we also take into account the need for tourists visiting these municipalities, the inhabitants of these municipalities are entitled to a peaceful rest in them. That is why we in the parliamentary group of the Movement for Rights and Freedoms are saying that these powers are of the competence of the local authorities and they are best aware of the specifics of each locality, they know best the needs of both the population and the business in the respective local place. Here is the place because I was provoked, one of the rapporteurs said that the National Association of Municipalities expressed a positive opinion. No, I will read you the last paragraph, the opinion, the proposal of the National Association of Municipalities, which was introduced into the National Assembly's Law on 14 June this year. And it reads as follows: In this regard we propose the Municipal Council, as a body of local self-government, to independently determine a time range in which the sound in the dining and entertainment establishments is permitted, and to impose restrictions on its intensity. I dare say, honourable Members, that none of the proposals and objections of the business, as well as the mayors, have been taken into account during the examination of this particular bill. This bill, again I say, passed under the sign of these spectacular and noisy stocks that were held last summer in Sunny Beach, this summer in Sunny Beach, and what the Deputy Prime Minister reminded me of, these shares were transferred to Sofia Municipality. We believe that these powers, again I say, are of the competence of local authorities, and the proposals that are being tabled do not reflect the interests of either the local residents who are in the respective municipalities or businesses, but only import restrictions. This bill, honourable Members, Mr. Deputy Prime Minister, is not universal and cannot be applied equally in all municipalities. Thank you.
ParlaMint-BG_2018-07-12.u144	Thank you, Mr. Ali. Are there any lines to the statement? Mr. Deputy Prime Minister, come in. In fact, you immediately answer all the questions, maybe that's okay.
ParlaMint-BG_2018-07-12.u145	Mr. Chairman, Mr. Ali, ladies and gentlemen of the House! There is no way I can agree with the thesis that you are obviously persistently trying to impose on your political power that there are certain functions that there are limits to powers. I can tell you quite heartfeltly that with this subject, as you can imagine, I've been doing a lot of detail since last year and I'm in on it. The mayors are most pleased with the changes in the Law. Yes, I can quote at least a dozen mayors who are pleased that these unpleasant activities they have to carry out under art. 16a, as it has been so far, should be carried out by the authorities of the Ministry of Interior. They are simply exempt from this commitment, and otherwise the law is the law so that it is the same for everyone. We seem to be missing the point here about how laws should be applied, but when there are too many loopholes in the law, you know that conditions are being created for it to be broken and not respected. In this regard, I assure you, because I do not have this time now, nor do I have these written approvals from the mayors, but the mayors are most pleased with this law. They're most pleased because it reduces their work, at least because of that. And it really is. Regarding the withdrawal of powers, what powers do we take away? In fact, the Law regulates from 11 p.m. to 7.00 p.m. under the current law and amends the control over this over the municipal authorities, but the restriction exists, it is for all cities, for all villages. There is no alternative, there is no possibility for change by the municipal councils or by the municipalities, except for public events or in advance. That's what we keep in this law. We do not revoke these powers of the local authorities. On the other hand, they cannot in any way make any changes to the legal text, and so far they have. They just have to do it. When law orders a general norm, it is appropriate for an institution to carry it out because otherwise the practice shows the inability to stop noisy establishments. I assure you, this is simply impossible. It goes, the first thing the municipal authorities can't do under the Noise Act. The law is very interesting. Secondly, when looking for the owner person, one procedure shall be entered in a sluggish, slow, one-month call, service of the relevant act, if any. Usually a warning is made, a preliminary indication of taking measures, a second check whether the measures have been taken and so on, which, for a victim of the noise aggression, is simply a law that does not apply, as if there is no law. If your home is against one such restaurant in any residential complex, I am sure that you will otherwise comment on this issue. Once again, just one figure from the statistics of 204 000 noise signals last year, 204 000 only on 112, more than two thirds are from residential complexes, not from the resorts. Regarding the noisy stocks, I expected you to express your personal opinion. Are you satisfied, or are you not satisfied with these noisy stocks, are they effective or not? In the circle of the joke, of course. Thank you.
ParlaMint-BG_2018-07-12.u146	You have to tell people.
ParlaMint-BG_2018-07-12.u147	Thank you, Mr. Deputy Prime Minister. Are there any other statements? I expect a sign for Members of Parliament to speak before I close the debate. Declaration on behalf of the group you have the floor, Mr. Boyadzhiev.
ParlaMint-BG_2018-07-12.u148	Thank you, Mr. Chairman. Mr. Chairman, Mr. Vice-President of the Council of Ministers, ladies and gentlemen of the National Assembly! Today we celebrate the 27th anniversary of the adoption of the new Bulgarian Constitution the fourth in our history after the restoration of Bulgarian statehood. I had the honour of being one of those 313 MPs who voted 27 years ago for her acceptance and signed this historic document for me. This day will always be associated with an account of its effectiveness. Over and over again, we will consider the basic rules written in the Constitution. Today, from the distance of time, we can surely say the following. First of all, the parliamentary system of government in Bulgaria was restored with the adoption of the basic law. The change of the public system was put on constitutional and legal foundations. Second, selected with the specialized tasks and functions of the Constitutional Assembly, as it was necessary to develop and adopt a Constitution, the Seventh Grand National Assembly under the political powers represented and the dominant understanding of the importance of the historical moment became a real national representation. It presented not only the main and ideas currents, but also the most significant public forces, as well as popular Bulgarian intellectuals with their civic position. In this sense, it can be said that the Seventh Great National Assembly was closest to the ideal of parliament as a forum of the nation, as a reflection of society's dominant spirit and aspirations. Unfortunately, this did not happen again in the next 27 years. Thirdly, the separation of authorities is one of the most serious merits of the Bulgarian Constitution. The basic law has established a new institution - President of the Republic, designated as Head of State, which represents the unity of the nation. As Head of State, he is a non-party figure to ensure statehood, stabilize constitutional structure and balance political forces and institutions. Fourth, our new Constitution is the first of the existing constitutions, which has introduced a new institution for Bulgaria as an independent body of parliament, the President and the Council of Ministers. The 27 years have proved the stabilizing role of our Constitution, and the solutions to parliamentary and constitutional crises included in it have also been proven. And one more thing that is not always well considered. In practice the Constitution gave way to Bulgaria's integration into the European Union. Accession has become possible because of the unconditional compatibility of our constitutional framework with that of the other members of the European Union. Dear MPs, it is good to remind once again today that the legal and political foundations of parliamentary democracy are built into the fourth Bulgarian Constitution. It guarantees the peaceful transition, fundamental freedoms and social rights of Bulgarian citizens. The Constitution states that Bulgaria should develop as a social and legal state. Unfortunately, these good and fair acts in the basic law today differ dramatically with the Bulgarian realities. I would like to remind you once again that there was a guaranteed right to work, free health care, accessibility to quality medical care and quality education, and many more right and good things that were unfortunately not realized. The Constitution lays down a social model of public relations, which had to be built and developed from the corresponding legal basis guaranteeing the rights of Bulgarian citizens, including their right to work and decent pay. This model corresponds to the Bulgarian folksychology, to the sharp sense of justice, traditionally for the Bulgarian community. As a participant in the events 27 years ago, you will also allow me something personal. The fourth Bulgarian constitution was made and adopted in a crucial period for Bulgaria. The sharp political confrontation sparked passions both on the street and in parliament. We had hot arguments in the hall, in the committees, in the couloirs of the National Assembly. We were opponents, but we weren't enemies. We, the younger ones, treated with great respect and respect for the elderly MPs, their suffering wisdom and nobility. The work at the Grand National Assembly for all of us was a priceless school. In plenary, real examples of speech art sounded. The bright controversy in it is very far from today's speech of parliamentary reality. 27 years ago, all of us, representatives of different generations, had the will and wisdom to overcome our ideological differences and close party interests to fulfill the historical mission assigned by the people. Even those who eventually denied the new Constitution and protested its adoption later had to take an oath before it to take important state and diplomatic posts. Those are the paradoxes of time. The Parliamentary Group of the Bulgarian Socialist Party (Bulgarian Socialist Party) reiterates that it is fully sympathetic to the spirit of the Bulgarian Constitution and its fair social model of public relations. We are ready to work with all parliamentary groups in the elaboration and adoption of quality and adequate laws guaranteeing the constitutional rights of Bulgarian citizens. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2018-07-12.u149	Thank you, Mr. Boyadzhiev. We continue with the discussion of the Draft Law on Amendment and Supplement to the Environmental Protection Act. Is there anyone who wants to make a statement? Dr. Daritkova, come in, you have the floor.
ParlaMint-BG_2018-07-12.u150	Thank you, Mr. Chairman. Dear Mr. Deputy Prime Minister, ladies and gentlemen of the House! I would like to congratulate the importers of the Bill, and the Ministry of Health, which in collaboration with Deputy Prime Minister Valeri Simeonov managed to prepare texts that guarantee an impact on one of the modifizable risk factors for human health, because by affecting these factors, we can really improve the indicators of public health. It is very important that we adopt legislative measures to protect citizens' health by limiting noise in the environment, which is particularly relevant in recent years. I believe that, with joint efforts, despite the objections, proposals and some opinions, we will be able to find the necessary legislative form to put this good intention into a good legislative norm to allow the implementation of measures that ensure the health of citizens from noise in the environment to be applied inconclusively. I thank Deputy Prime Minister Valeri Simeonov for understanding that we need to specify some of the texts between first and second reading, because some of the provisions can be interpreted ambiguously, and at the same time some of the proposals and opinions that we have received from many organizations contain technical proposals and legal amendments that I think will contribute to the better state of the legislative product that needs to be produced after considering second reading. I believe that with joint efforts we will find these good solutions, so we from our parliamentary group will support the Bill at first reading and I hope that in the second vote we will make the necessary changes to the texts of the proposed provisions and adopt a law that will benefit the entire Bulgarian society.
ParlaMint-BG_2018-07-12.u151	Thank you, Dr. Daritkova. Are there any lines? I can't see. Any other speeches? Here you go.
ParlaMint-BG_2018-07-12.u152	Mr. Chairman, Mr. Deputy Prime Minister, honourable Members! I, I think, needed this debate and really got a good debate on the changes in this bill to get a working law. What is the problem with the current law? There is a gap between the competent authorities that have to apply it and all signals of noise disturbance, whether through phone 112 or in any other way,.. are concentrated with the mayors of the municipal administration, and in order to prove that there is or is no violation of these signals, the mayors must refer to the regional health organizations that are the competent authority and must go and do this throwing. Very often in this process there was a gap because if it was after working hours or if it was on Saturdays and Sundays, there was no opportunity for RGIs to make this throwing and accordingly to impose sanctions. From there came the biggest problem in implementing this bill. What are the new proposals? They are, on the one hand, increasing financial sanctions, which I strongly support, because this is one of the mechanisms to make a law have its weight and work. There's a lot of extreme suggestions. For example, in the case of delegation of the rights and competence of the Ministry of Interior in the event of a first disturbance of noise work in these sites outside the regulated working time.. 7 days closing of the establishment, in the case of a second infringement. 30 days. For me, this measure is too extreme in terms of the fact that when there are such extreme measures, I think there is also favourable soil for corruption. On the other hand, most of the problems I think are in the summer tourist season, where most of the open places are. At the closing of a restaurant for 7 days, respectively 30 days, our season is so short that I think this establishment is pointless to work more. This, in my opinion, is a very extreme measure. As our colleague said, we will support the Bill at first reading, but I think the texts should be refined between first and second readings. In my opinion, we need to find a balance between, first of all, the health of people, and second of all, we need to create conditions for business to work, because on good conditions, in good tourist seasons some of the money also enters the health insurance system, which is distributed when needed and on people. I am also of the opinion that a little more rights should be delegated to local authorities who know the region best so that they are more competent and a little more flexible in defining areas where there may possibly be longer-term establishments and areas where the establishments will interfere with the population so that they are shorter-time. I'd pay attention to tourist towns, too. I'm from this town. I can tell you that there is a very large concentration of people there during the summer tourist season, which suggests some tension, but I say again, we must approach responsibly and find the balance between the health of people and the interests of business. Thank you for your attention.
ParlaMint-BG_2018-07-12.u153	Thank you, Mr. Boychev. Are there any lines to the statement? I can't see. Mr. Deputy Prime Minister, you have a say in this matter.
ParlaMint-BG_2018-07-12.u154	Mr. Chairman, Mr. Boychev, ladies and gentlemen of the House! I absolutely cannot agree with the proposals for change, which could possibly happen between first and second readings. I can tell you why. Because then we will be in the same situation that we are in at the moment with constant protocols, referring to the municipality or to where we need to, and at night this will not result in a stop of noise in the restaurant. I see nothing dramatic about introducing a more extreme measure. This is a matter of a political decision that will or will not take Parliament. I would like to remind you that, at present, for the second year now, provisions have been in place relating to the activities of the National Revenue Agency, according to which the institution is being sealed in case of failure to issue a receipt. I assure you this has an extremely disciplined effect. This has led to very serious additional revenue in the budget. I can't figure out what's scarier if I go into a shiny cafe, order a coffee for BGN 2.50. And they don't give me a bond, and as a result, they seal up the place, is that scarier for the public, or is it a silent disco with open volumes that freaks out the entire Bay of Nessebar?! I think the second is much more dangerous, and from this point of view, such a measure is much more pressing in the second case. I also do not deny the merits and effectiveness of the measures imposed by the NRA. So that's why we've proposed these restrictions. In addition, for loud noise, for noise aggression and for noise terror we bet in the Law closing the establishment within seven days. Seven o'clock! For a cash bond, which can be for one lev, can be for 80 pennies, it is necessary to close the restaurant up to 30 days. We have also taken into account the need for restaurants to work in the tourist season. It would be good for anyone who comes out here to speak, to declare a conflict of interest.
ParlaMint-BG_2018-07-12.u155	Thank you, Mr. Deputy Prime Minister. Is there anyone who wants to make a statement? I won't. I'm closing the debate. Let's move on to the vote. First vote on the Draft Law amending and supplementing the Environmental Protection Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. Vote 154 MPs: 127 against 17, abstention 10. The proposal has been adopted, and with this in the first vote, the bill under consideration. Thank you, Mr. Deputy Prime Minister, for participating today. The next item in our weekly program is: THE SECOND VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW ON MARKS AND THE GEORGRAFF REPRESENTATION. Mr. Kanev will present the report. [[Noise and lines.]] Mr. Kanev, let's get this straight: the law is short, but is there some kind of misunderstanding?
ParlaMint-BG_2018-07-12.u156	No, I was just thanking Daniel Kirilov for refusing to ask for a reorder of the points, since this law... My request is that we work on it efficiently. [[Noise and lines.]] The law is extremely important. We are in penal proceedings on it and my request is at second reading mine absolutely 100% supported by the Commission.
ParlaMint-BG_2018-07-12.u157	Here you go, Mr. Kanev.
ParlaMint-BG_2018-07-12.u158	In addition, the Council of Ministers submitted a report on the draft amending and supplementing the Law on Trade Marks and Geographical Indications, No 702-01-44, adopted by the Council of Ministers on 9 November 2017, adopted on the first vote on 23 May 2018. The Law on trade marks and geographical indications is amended and supplemented by the law on trade marks and geographical indications. The Commission supports the text of the importer on the name of the Law.
ParlaMint-BG_2018-07-12.u159	Thank you. Are there any speeches? I won't. We vote on the name of the Law. They voted 105 MPs: for 105, against and abstention there is no. The motion is accepted.
ParlaMint-BG_2018-07-12.u160	Colleagues, an interim vote for admission in the hall of Lachezar Borisov "Deputy Minister of Economy."
ParlaMint-BG_2018-07-12.u161	We are voting on a proposal for admission to the House of the Deputy Minister of Economy. They voted 104 MPs: for 104, against and abstention there is no. The motion is accepted. Please, the Quaestors, invite the Deputy Minister to the Chamber.
ParlaMint-BG_2018-07-12.u162	There is a proposal from the MPs Zhelyo Boychev and Hristo Prodanov. The Commission supports the proposal. There is a proposal from the MP Daniela Saveklieva. The Commission supports the proposal. The Commission proposes to create a new § 1: ................................................................................... In Article 4 (1) (b),
ParlaMint-BG_2018-07-12.u163	Are there any speeches? I won't. I put to the vote the Commission's proposal to create a new § 1. 99 MPs voted: 99 against and abstention. The motion is accepted.
ParlaMint-BG_2018-07-12.u164	The Commission shall, in principle, support the text of the importer and propose the following version for § 1, which shall become § 2: ..................................................... Article 3 is "Exhibitions from registration" Art. 51a. No geographical indications for agricultural products and foodstuffs falling within the scope of Regulation (EU) No 1151/2012 of the European Parliament and of the Council of 21 November 2012 on quality schemes for agricultural products and foodstuffs (OB, L 343/1 of 14 December 2012) shall be registered under that law.), hereinafter referred to as "Regulation (EU) No 1151/2012'
ParlaMint-BG_2018-07-12.u165	Statements? I won't. We are voting § 1, which becomes § 2, in the version proposed by the Commission report. 99 MPs voted: 99 against and abstention. The motion is accepted.
ParlaMint-BG_2018-07-12.u166	The Commission shall support the text of the importer for § 2, which shall become § 3, by proposing in point 2. 2 to be added at the end without law.
ParlaMint-BG_2018-07-12.u167	Statements? I won't. We are voting § 2 which becomes § 3 in the version proposed by the Commission. Vote 87 MPs: 87 against and abstention no. The motion is accepted.
ParlaMint-BG_2018-07-12.u168	The Commission shall support the text of the importer for § 3, which shall become § 4. "Transitional and final provisions' The Commission shall support the text of the importer on the name of the subdivision.
ParlaMint-BG_2018-07-12.u169	Thank you, Mr. Kanev. Statements? I won't. We are voting on the text proposed by the Commission for § 3, which becomes § 4, and the title of the division. They voted 93 MPs: for 93, against and abstention there is no. The motion is accepted.
ParlaMint-BG_2018-07-12.u170	According to § 4 there is a proposal of the MPs Zhelyo Boychev and Hristo Prodanov to drop out. The Commission does not support the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 4, which shall become § 5: .................................................................................. Registrations of geographical indications for agricultural products and foodstuffs falling within the scope of Regulation (EU) No 1151/2012 carried out until the entry into force of that law shall be deleted from the day of entry of the name concerned in the register referred to in Article 1. Art. 11 or art. 22 of that regulation, but not later than one year after the entry into force of this law.
ParlaMint-BG_2018-07-12.u171	Statements on the proposed texts? I won't. We are voting, first, on the proposal of the MPs Zhelyo Boychev and Hristo Prodanov § 4 to be dismissed, which is not supported by the Commission. They voted 107 MPs: 28, against 24, abstention 55. The offer is not accepted. We are going to vote on the proposal for § 5 in the version proposed in the Commission report. 100 MPs voted: 99, none, abstention 1. The motion is accepted.
ParlaMint-BG_2018-07-12.u172	The Commission supports the text of the importer for § 5, which becomes § 6, by proposing that the word "law" be replaced by that law.
ParlaMint-BG_2018-07-12.u173	Statements? I won't. We are voting on the Commission's proposal for a text of § 5, which becomes § 6. They voted 98 MPs: 98, no opposition and no abstentions. The motion is accepted.
ParlaMint-BG_2018-07-12.u174	There is a proposal from the MPs Zhelyo Boychev and Hristo Prodanov. The motion has been withdrawn. The Commission shall, in principle, support the text of the importer and propose the following version of § 6, which shall become § 7: .................................................... The Patent Office shall immediately inform the International Bureau of the national registrations of geographical indications for agricultural products and foodstuffs deleted under § 5 on the basis of which international applications have been made.
ParlaMint-BG_2018-07-12.u175	Thank you. Are there any speeches? I can't see. We are voting on the Commission's proposal for a text of § 6, which becomes § 7. 99 MPs voted: 99 against and abstention. The motion is accepted.
ParlaMint-BG_2018-07-12.u176	Colleagues, final vote. There is a proposal from the MP Daniela Saveklieva. The Commission supports the proposal in principle. There is a proposal from the National Representative Daniela Saveklieva, made in accordance with the order of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) The Commission supports this proposal. The Commission proposes to create a new § 8: ................................................................................... (1) Holders of rights of registered geographical indications for agricultural products or foodstuffs falling within the scope of Regulation (EU) No 1151/2012 may not claim infringements committed until the entry into force of that law. No administrative criminal proceedings shall be established for infringements of rights of registered geographical indications for agricultural products or foodstuffs covered by Regulation (EU) No 1151/2012 prior to the entry into force of that law.
ParlaMint-BG_2018-07-12.u177	Thank you, Mr. Kanev. Are there any speeches? I won't. We are going to vote on § 8 in the version of the Commission on a text proposed in the Commission report. They voted 107 MPs: for 106, against 1, no abstentions. The proposal is adopted, and with this at second reading the Draft Law amending and supplementing the Law on Trade Marks and Geographical Indications, No 702-01-44, submitted by the Council of Ministers on 9 November 2017.
ParlaMint-BG_2018-07-12.u178	Colleagues, thank you for your participation, for the extremely violent and active debates. I would like to draw attention to the MP Danail Kirilov that the Legal Committee tried to cut me off, but subsequently made the right decision. Thank you. [[Laughter, excitement.]]
ParlaMint-BG_2018-07-12.u179	Procedure, come in.
ParlaMint-BG_2018-07-12.u180	Mr. Chairman, ladies and gentlemen of the House! On the basis of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 1 sentence third of the Rules on Organization and Activity of the National Assembly, I propose that the time limit for written proposals on the draft amendment and supplement of the Law on Protection against noise in the Environment No 802-01-16 submitted by the Council of Ministers on 21 May 2018 be four weeks, i.e. the maximum prescribed in the Rules.
