ParlaMint-NO_2008-01-30.ana.ud1816e22	The representative Karita Bekkemelm, who has been on leave, has once again taken up the seat.
ParlaMint-NO_2008-01-30.ana.ud1816e442	Gunnar Gundersen - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e445	There is no doubt that the teacher's role in school is very central. It is central to building status both for the school and for the teacher. Then the Prime Minister should also choose his words carefully, for he came dangerously close to his new year to suggest that the teacher was responsible for the situation in school. We're not going to end up with that. This is a politically crazy process where you've lowered the requirement for school learning. The promise of knowledge is a recipe for starting to reverse that process, and I think we've just seen the beginning. Now there is a focus on teacher training. If we are to believe the essays in the Evening Post, a four-year teacher education is really a three-year education, if you look at time usage. It has been known that there has been a lot of criticism of teacher training - through a NOCUT report that came two years ago. It's announced a big shot in a year and a half. But what has the Prime Minister and the Government done to follow up the NOCUT report to the higher education institutions - that they put pressure on teacher training?
ParlaMint-NO_2008-01-30.ana.ud1816e452	First of all, I very much agree that the essays that have been in the evening post are very thought-provoking. Assuming that there is a correct description of the facts, a four-year teacher training is in practice three years old, because much of the time goes with other things and little is effective learning. Some of the background to the major quality reform in higher education and universities we introduced a few years ago was that students should have closer follow-up, more effective education and better progress. I believe that these are things we also need to follow up on in connection with teacher training. We come up with a big message about teacher training, precisely because we want it to be more real content and faster and better learning in teacher training.
ParlaMint-NO_2008-01-30.ana.ud1816e459	Dagrun Eriksen - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e462	I think there are many teachers who are pleased with the interest shown also by the country's prime minister, but I think there are some who would like him to visit and sit down in the classroom without the press present. And if the prime minister had then chosen a high school, I think he had been quite clearly informed that in the points from Utøya, in the points that have been presented this year after New Year, we have once again forgotten the secondary school stage. It's pretty serious, because in high school, we're starting to see the same results that we find in high school, that's the high drop-out. We have a theory of high school. All the great, practically strong students we have don't get masters in high school. My question to the Prime Minister is, with regard to all these points and everything he has proposed, will he take the initiative to focus more also on the challenges of high school, and not once again just at the very least?
ParlaMint-NO_2008-01-30.ana.ud1816e469	I agree that it is important to look at high school, but then I will share a dilemma with the representative Eriksen that I believe the whole Stortinget and the Government are facing. One is wanted to do something in school, change things when we see that there's something that doesn't work exactly as it should. But the second is that schoolchildren and researchers tell us very clearly -- and this is very correct -- that they don't want any more major reforms, they don't want a new set of curricula. They received curricula in the 1990s, and they now received new curricula in the Knowledge Lift. So there have been major reforms that have created a lack of predictability and stability in school. So we have to be able to make changes without breaking up too much of what is, because that itself is a problem. That's why we have no plans to create new curricula. We base the curricula that were adopted a few years ago on good and bad. What we're working on is to see if we can make professional guides in addition to the curriculum, so that we can give some clear signals about what to prioritize, and how to organise it based on the given curriculum. The contents of high school are part of the things we're going to look at, but we're going to base the curriculum that the previous government presented.
ParlaMint-NO_2008-01-30.ana.ud1816e476	The size goes to the next main question.
ParlaMint-NO_2008-01-30.ana.ud1816e479	Not long ago, proposals for a new national transport plan were submitted by the trade unions. In this context, I believe the Prime Minister agrees that it is important and of great importance that the Storting should be involved and given insight into the major needs of both rail and road, in order to assess the real needs and to provide the right framework for the next national transport plan. Based on what has happened in the last week, it may seem that the Government has given strong leadership to the levels, so that the proper and necessary needs have not been presented, that the levels have almost sub-dimensioned their wishes or hidden the real needs. In recent days, Railway Director Killi has also been out there criticising the Government of the underlying proposals. TV2 revealed that there are actually other wishes from the floors - at least from the railway station - that are significantly larger than what has been submitted to the Stortinget. In the last two days, Minister of Transport Navarsete has stated that there is no alternative or primary framework request from the agencies. On the other hand, TV 2 has revealed that there is this kind of framework proposal from the floors. Then is my question to the Prime Minister: are there alternatives, primary wishes, from the agencies that show that rail and road needs are significantly greater than those underlying the framework proposal from the agencies, and in which the Stortinget has come to understand?
ParlaMint-NO_2008-01-30.ana.ud1816e489	In general, I just want to say that any agency will always be able to lead in the field good arguments for more allocations to the area that the agency manages. It's relatively obvious. With regard to the specific question of what kind of plans exist or should have been available in the various transport modes, I am not aware of this in addition to the fact that a written question has been raised to the Minister for Transport about it. I think she'll have to explain that process internally in the notes. Then she'll have to answer that. In addition, the whole transport plan will be submitted to the Stortinget in December. The Stortinget then has every opportunity to ask questions about one and the other, about further needs, etc. Now, I think we're going to have to do the planning process as planned -- put it to the Storting, answer the questions that come, and then you get the answers to the questions you want to answer. What I want to add is that the government has followed up the agreement that the Workers' Party, SV, the Center Party and the Advance Party made on the transport plan in the previous period. Then we promised over 2 billion kroner more per year. years for four years. So now we're going to follow that promise. To be absolutely accurate, we are now at NOK 20.5 billion in total, over DKK 2 billion extra annually on the road, track, transportation purposes here in the country. Then we do what we promised, follow up the transport plan. Then there are multiple roads, more railways, 50 pst. increase in railway investment. It's a follow-up to what we promised together with the Progress Party. Then I also see that even though we spend much more money in this area, such as on health care, elderly care and municipality - when we presented the 2 billion in the previous period, the representatives of the then government parties said that it was airlocks and overburdens - although we have fulfilled and implemented, there is still a lot of unsolved in the Norwegian transport sector. [[The President announced the next speaker.]]
ParlaMint-NO_2008-01-30.ana.ud1816e502	I record that the Prime Minister is only interested in talking about history. I get that very well, because the situation with regard to our infrastructure today is much worse than it was two years ago. This is due to price growth, and this is because the Government has not followed up the agreement on the national road transport plan. Interestingly, the Prime Minister almost transfers responsibility to the Council of State - a government council that has stated in the Norwegian press that there is no alternative framework proposal from the agencies. Then it is interesting to be allowed to show the Prime Minister the original framework wishes for the railway that do not exist in the plans submitted to the Stortinget. Then my question is again to the Prime Minister: Will the Prime Minister contribute to the original wishes of the various departments also coming to the Stortinget, so that the Stortinget will also have a better basis for assessing the needs of the plan that will apply from 2010 to 2019, that it will not just be historic?
ParlaMint-NO_2008-01-30.ana.ud1816e511	With regard to the internal handling of this in the courts, I believe that the Minister of Transport must respond to it - not because I do not take responsibility for it, but simply because I do not know that matter. I know that she has received written questions about it and will answer them in detail and in addition. The second is that it's not right that plans have been made for the Storting. The size will get transport plans during the year -- I think it's in December, at least in the autumn once -- and then the Stortinget can ask the questions they want, and get answers to all the questions that might be about additional needs, more plans, etc. The crucial thing is that we have followed up what we promised, that we are now at a level where there is over NOK 2 billion more for purposes of transport than the previous government proposed, and that we are now making new plans. Traffic is important for this government. That's why we've also increased our efforts.
ParlaMint-NO_2008-01-30.ana.ud1816e520	It'll be as a result of time two follow-up questions -- first Trond Helleland.
ParlaMint-NO_2008-01-30.ana.ud1816e523	I understand that the Prime Minister does not want to know what has taken place during the examination of the etates' proposals for the national transport plan. It was due to be presented in December, but was postponed for one month, and the reason from the Council of Ministers of Navarsete was that the floors had gone beyond their limits. They had proposed measures that they did not have the power to propose. This means that the Government and the Council of State have been given access to these plans that the agencies have, but the Storting does not have access to them. I think it is a democratic problem that the public and the Storting should not know what is actually the real needs of the transport sector. I understand that the Prime Minister has no desire to do anything about it now. But he says that the promises are fulfilled. One of the promises in the Soria Moria Declaration was project financing. Now we see that the cost of many projects has increased. Will the Prime Minister implement the project finance promise, or will he push it forward, as proposed in the Yellow Book last year?
ParlaMint-NO_2008-01-30.ana.ud1816e530	Firstly, when I meet representatives from the Right, I believe that at least from the Right you should show humility in road construction. You promised 17 billion dollars a year for the purpose of transportation. You couldn't even fulfill it. We promised over $20 billion, and we'll do it. So we spend a lot more on the road than the Right was ever near when they sat in the government offices, and we do that because we spend money on the road, on the railway and on the common goods instead of on the tax havens. So all right-wing voters can be happy that it's the Workers' Party, SV and the Center Party that governs, so there's money going on here in the country. With regard to project financing, the challenge is: What is project financing? If project funding is to fund a project, I'm for it. I'm against not financing projects. But if project finance is to borrow money outside the budget, I'm against it, because I'm against borrowing - for a state that doesn't have big liquidity problems. I think project financing means different things. For some, project funding is a way to go around the budget; I have no sense of it. If it's getting money for projects, I'm for it.
ParlaMint-NO_2008-01-30.ana.ud1816e549	Ingredient S. Sørfonn - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e552	Today's government is still trying to create an image of the former government depriving the railway of priority, while the new government is implementing a huge effort. That's wrong. What happens now is actually a continuation of the path permissions that the Bondevik government started with. The government itself has the incentive to turn up the expectations of the railways in particular and of the transport sector in general, to give a lift. I feel uncomfortable when the big gap between the rhetoric and the professional assessments is visible, as it is. Then the expectation crisis becomes extra clear. The point is to make use of resources as efficiently and rationally as possible, so get the most out of the money. I want to follow up on the question to the previous questioner. It is true that the railway manager has assessed it in such a way that project financing and Public Private Cooperation will strengthen the development of the railway here to land. Is the Prime Minister in agreement with the railway director?
ParlaMint-NO_2008-01-30.ana.ud1816e559	Firstly, we have significantly strengthened rail efforts. There's no doubt about it. We put the ambitions at a higher level, and we've followed that level of ambition. The previous government had a lower level of ambition, a lower level of plan, and did not even follow up those plan numbers. So it's become substantially more to the railway -- 50 pst. increase in railway investment. This is a significant increase. With regard to how the projects are to be financed, I believe that we are in a situation where we can finance projects through the state. We do not have to finance them through different types of financial instruments. We're going to cooperate with private people. I'm open to working with private people, just to ensure that we don't undermine public governance with the projects and undermine the budgetary management instruments we have to have in place.
ParlaMint-NO_2008-01-30.ana.ud1816e566	The size goes to the last main question. Due to time, there will be no follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e569	On several occasions during the Question Time, the Prime Minister has said that the Norwegian school is very good at balancing differences. On the contrary, the relatively crushing judgment of the Workers' Party's school of unity tells us that it not only perpetuates social differences but also deepens and reinforces them. That's one of the reasons why the previous government made the promise of knowledge, and that's probably one of the reasons why the government, when Øystein Djupedal was the Council of State, promoted a big message about social inequalities in school. The right is very concerned that knowledge in school requires that we have knowledge of the school. That is why we are busy collecting as much information as possible. We're busy with systematics in that work. These are also our local politicians. When one of Højre's municipal councillors in the workers' party council asked Trondheim to provide information on the results of the national tests at each school, the councillor of the workers' party councillor Trondheim said no. Our municipal council, which is responsible for parts of the school policy in the workers' party-driven Trondheim, had to walk the path of the Education Directorate in order to know the results of the national tests in the Trondheim School. That means that that line of government has gone on, that there should be as much publicity as possible about what is public information, also needs to be down to local politicians who want to know more about school, just to make it better. It is also in contradiction with the modernisation strategy put on the table by the Government, where they believe that there is not enough coherence between the inputs and what is being obtained. They think there's too little knowledge, too little transparency, too little publicity. Then I have to ask the Prime Minister, which of the two versions is what should apply? Is it the government's modernisation strategy, which will have more transparency, more publicity, or is the government strategy chosen for national school-level tests, namely secrecy as far as possible, on what is public information?
ParlaMint-NO_2008-01-30.ana.ud1816e585	First a little bit about social inequality. I think it's important to separate two things. One is that of course there is social inequality in Norwegian school. Of course, it is also that if you are a child of parents with high education, high income and good social status, you are more likely to take longer education than if you have parents with low education and low income. However — and that is what is important in this context — as compared to other countries, this relationship is weaker in Norway than in many other countries. Compared with many other countries, Norwegian schools contribute to more social aberration — or less reproduction of inequality, if you like. It's a trait we have to take care of, strengthen and develop. The other thing that contributes to social smoothing is simply that there are so many people who get education. There is hardly any other country that has a higher proportion of the population with higher education than Norway. About half of the school years are now taking on higher education. The majority are women. We also see that many with ethnic minority backgrounds now take higher education. That we have a population where many have a lot of education, and where it does not least contribute to the smoothing of the gender gap, is a social bias that is of great importance. Although, of course, there is still social inequality in Norway, it is smaller in school than in many other countries. We'll take care of that. That's good, and we need to strengthen it. So for national tests: the whole point of national tests, and we and Trond Giske started implementing the national tests in 2000, was just to be able to provide schools, parents and municipalities with a better tool to improve quality. Therefore, they are available for these data and results. What we want to avoid is the confrontation and the war we had about national trials under the previous government. There were extensive boycott assessments, and the national samples actually didn't work out completely because there was so much controversy about them. That's why we haven't arranged for ranking, and that means we're not adding up to that kind of publication. But if you want that, you get that data.
ParlaMint-NO_2008-01-30.ana.ud1816e594	The Prime Minister is obviously wrong when he claims that there is a better balance between social inequalities in the Norwegian primary school than it is in other countries. If you compare e.g. The results of PISA in Norway and other countries will show one striking difference. In other countries, there are considerable differences between schools. In Norway, the differences are large within the classroom, between students. It's made us, for example. has had a situation in the Norwegian social-democratic school for very many years when one in five students has left school without being able to read and write properly. If there's something that helps to further reinforce the social differences in the lives of those people, it's just that they don't get the basic skills they're supposed to get while they're going to school. I notice that the Prime Minister does not want to respond to what happened with the District Council in Trondheim, simply because there is a consequence of the government's policy of transparency and secrecy about what is public information. The fact that Trond Giske was ordered by Stortinget both to carry out national tests and to report Norway to PISA is not the same as being open and public.
ParlaMint-NO_2008-01-30.ana.ud1816e601	The whole point of national tests is that the school owner and municipality should have access to data. I don't know the mood in Trondheim Municipality. But if a municipal council doesn't get access, I think it at least provides the basis for asking questions. I'm sure that they in Trondheim are able to find out for themselves, and I understand that the council has got access to this data by going to the state. It's nice that the government can help the municipal council with that kind of number. The crucial thing here is that we are now conducting national tests in dialogue with teachers and students in a way that makes it a better basis for strengthening school and school quality than it was under the previous government when there was war, confrontation and conflict around national trials and major boycott attacks.
ParlaMint-NO_2008-01-30.ana.ud1816e608	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2008-01-30.ana.ud1816e613	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. - It is deemed to have been adopted. The changes were as follows: Question 7, from the representative of Leif Helge Kongshaug to the Minister for Local and Regional Affairs, is addressed by the representative of Gunvald Ludvigsen. Question 8, from the representative of Gunnar Gundersen of the Minister for the Environment and Development, has been withdrawn. Question 11, from the representative Martin Engeset to the Minister for Transport, has been withdrawn. Question 14, from the representative Line Henriette Holten Hemdal to the Minister for Children and Gender Equality, has been transferred to the Minister for Health and Welfare, who is entitled to do so. Question 19, from the representative Harald Valved to the Minister of Knowledge, has been transferred to the Minister of Research and Higher Education who is directing him. However, the question will be answered by the Minister of Knowledge on behalf of the Minister of Research and Higher Education, who has left.
ParlaMint-NO_2008-01-30.ana.ud1816e630	Question 1 is from Hans Olav Syversen to the Minister of Finance. Hans Olav Syversen is not present, and we go to question 2.
ParlaMint-NO_2008-01-30.ana.ud1816e638	My question to the Minister of Finance is this: ‘Skärvøy Municipality, by decision of the local government on 10 May 2007, has, inter alia: determined that the properties owned by two named limited liability companies which are used for residential purposes shall be exempt from property taxes. One company is owned by private companies with the municipality as a minority shareholder. The second is the whole time of the municipality. Does the Council of State consider such exemptions and discrimination on the part of owners to be in accordance with the exemption provisions of Section 7 of the Property Tax Act?’
ParlaMint-NO_2008-01-30.ana.ud1816e647	The Property Tax Act provides for compulsory and voluntary exemptions from property taxes. The compulsory exemptions are listed in Section 5 of the Act. It follows from Section 5(d) of the Property Tax Act that property such as «the municipality itself owns» is free of property tax. The reason is that it is inappropriate to require the municipality to print and collect taxes from itself. It is assumed that the exemption covers only property owned directly by the municipality and not property owned by independent legal entities, even if a local authority has an interest in them. The exemptions in Section 7 of the Property Tax Act are voluntary for the municipality, so that the local council decides whether it will exempt properties covered by the alternatives in the provision. However, a requirement is that properties of the same category should be treated equally, unless there are factual grounds for different treatment. Under Section 7(a) of the Property Tax Act, the local government may exempt «Ownings of foundations or institutions intended to benefit a municipality, a county or the state». Initially, the property must be owned by foundations or institutions, and the question is whether this includes limited liability companies. The Ministry of Finance, by letter of 12 June 2003, received by the Committee 2003, page 1190, to a municipality, has stated that ‘foundations or institutions’ have been presumed to cover all types of legal persons in which no one has direct interests, including associations. Furthermore, in a letter dated 5 September 1996, the Ministry concluded that an enterprise for the purpose of employing disabled persons was covered by the provision. This company was organised through a limited liability company. On this basis, I assume that a limited liability company may be exempted from property tax as long as the other conditions of the Property Tax Act § 7(a) are fulfilled. Paragraph 7(a) of the Property Tax Act requires the foundation or institution to carry on an activity which ‘is intended to benefit a municipality, a county or the state’. In its letter of 12 June 2003, the Ministry stated that the question of what constitutes such an activity must be based on a concrete overall assessment. The Ministry also stated that in this assessment it is necessary to consider whether the Foundation or the institution performs tasks which may otherwise be performed by the public, whether it is intended to carry out profit, whether it distributes dividends to its members, and the financing of the Foundation or the institution. The property tax is a municipal tax, and it is up to the local council to decide whether exemptions under the Property Tax Act § 7(a) should be granted. I can therefore not take a specific position on the matter to which it refers, but point out that the exemptions must be within the scope of the Property Tax Act. Whether a limited liability company engaged in residential purposes can be exempted from property tax under the Property Tax Act § 7(a) cannot be determined in general, but is due to a concrete overall assessment of whether the business meets the requirement to be in favour of a municipality, a county or the state.
ParlaMint-NO_2008-01-30.ana.ud1816e660	I thank you for your answer. I'm a little surprised that the Minister of Finance doesn't see that if, as she says, you want to leave this to the municipalities, and then you get a municipal government decision that goes in the direction of what's done on Skjervøy - where you have a limited company, which is in itself private, with a small municipal share - and you say that this is okay if it's a majority for it, you don't get equal treatment. Other limited liability companies that also operate for the benefit of the municipality, such as: renting out to people who need housing, etc., and who may be privately funded, but for exactly the same purpose, will be treated differently. I don't think it's in the spirit of the Property Tax Act.
ParlaMint-NO_2008-01-30.ana.ud1816e667	I think I just have to refer to the answer that I have already given, because the law gives the municipalities the opportunity to act according to § 7(a), and it says that there is a concrete overall assessment that should be on the basis. So I'm sorry -- I don't think the representative Fleet and I'm getting a little further in relation to this concrete example in this questioning.
ParlaMint-NO_2008-01-30.ana.ud1816e672	Svein Fleet - to follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e675	I do not have it, for the Minister of Finance does not want to go further. But I think it's a little unfortunate that she places this openly -- not for local decision-making, because I'm very strongly in favour of it, but not when it comes to the cost of central laws like that. property tax law.
ParlaMint-NO_2008-01-30.ana.ud1816e680	I have very clearly underlined the action room of the municipalities in the answer I have given. It is within § 7(a), and it is therefore an overall assessment based on whether the enterprise meets the requirement to be in favour of a municipality, a county or the state.
ParlaMint-NO_2008-01-30.ana.ud1816e685	Before we go to the next question, the president will say that he has registered that the representative Syversen has come after he was called up. The President will draw attention to the fact that the Presidency has discussed this and has come to the conclusion that the main responsibility lies with the representatives and the Councils in order to be present at the time when their questions or matters are being dealt with in the Storting. The President is in doubt whether question 1 should lapse, or whether the doubt should benefit the defendant, Hans Olav Syversen. The President has come to the conclusion that question 1 will be moved and raised between questions 4 and 5, unless the Council has any objections to it. AscendingSort order for mail groups
ParlaMint-NO_2008-01-30.ana.ud1816e691	I am still present and have this question to the Minister of Finance: ‘Only 40 pst. by non-governmental organisations of the country are registered in the Entity Register. The Register of Liberalities, which shall provide easier access to registration, shall be in operation from 1 January 2009. That means that maybe as much as 70,000 associations and teams will be unregistered for years to come. This means that individuals in associations will be provided in an equation with the wealth and income of bank accounts registered in their name until they have received the order number. from the Entity Register via the registration. What will the Council of State do with this?’
ParlaMint-NO_2008-01-30.ana.ud1816e700	Voluntary organisations which do not have acquisitions for their purposes are initially exempt from property and income taxes. In many such teams and organisations, individuals in the association are listed as disponsors in relation to the organisation’s bank accounts. The representative Svein Fleet assumes that these persons will be assigned the wealth and income of such bank accounts registered in their name until the organisation has received an organisation number from the Entity Register. A voluntary organisation may be registered with the organisation number in the Entity Register. In that case, the bank or others with funds for management will report the voluntary organisation to the Tax Directorate as accounting officer, using that organisational number. Since the account holder is an organisation, the information has nothing to do with the personal statement of the disposer. In cases where the voluntary organisation is not registered in the Entity Register, i.e. where the account holder is not identifiable, the Tax Directorate recommends that the account be reported with the birth number of a disponent, as well as a special code indicating that it is a voluntary organisation. The systems of the Executive Board shall then ensure that the account is treated in such a way that the amounts of deposits and loans are not included in the personal declaration of the disposer. Either the association is registered in the register of units and thus has an organisational number, or is not registered, a private individual who is listed as being a member of the association’s bank accounts, i.e. will not be assigned the wealth and income of such funds if the bank reports to the Tax Directorate as it should. However, should wealth and income be reported incorrectly at the disposal of the disposer, he will not be taxed for this if he proves that the funds belong to a tax-free institution. So it's wrong what's the starting point of the question from the fleet representative. Finally, I would like to point out that in the case of the voluntary register, as the representative Fleet mentions in the question, this is under development and not yet established. However, as I understand it is suggested that registration here should not be an obligation, but rather a voluntary matter. This means that even after the establishment of this register, it could be organisations that are not registered. Anyway, I can't see that registration here will have any meaning from or to the equation of individuals, which in any case should not be added to the income and wealth of the team's bank accounts. I can therefore not see that there is a need to do anything about this issue, except to answer as clearly as I do in the questionnaire to questions from the representative fleet.
ParlaMint-NO_2008-01-30.ana.ud1816e715	I think the finance minister should be a little careful to say that my starting point is wrong. It's true, as the finance minister says, that the banks should do it that way. But now the finance minister himself says: if the banks do it this way. Then I believe that you have a responsibility to get this out to the banks, because the next position is -- as the finance minister says -- that if you're all like this, you have to make sure you don't have this as wealth and income, and that's of course easy. What's not easy is to tell all the people who get the simplified declaration, and who are not going to send it in, that they have to check if this is there or one. How many are the numbers that check this out completely? We know that there are a lot of people who are happy and let this go.
ParlaMint-NO_2008-01-30.ana.ud1816e725	I want to encourage those who are exponents of non-governmental organisations to follow up on that part of the equation. If the Bank has not provided any supplementary information on the income and wealth of the Bank attributed to a voluntary activity for which it is the author of the equation, it shall itself be responsible for following it. So the rules here are very clear. It should not be very complicated to sort it out either.
ParlaMint-NO_2008-01-30.ana.ud1816e730	No one believes more than me and the Right that people themselves are responsible for their own economy. But here we have quite clearly a relationship where the banks should be instructed, and where there should be a little more publicity around the obligation to implement this. I know from examples -- that's why I have raised the matter -- that this does not work. I hope that the Minister of Finance, through the institutions through which she can do this, will help to make things clearer, and that we will be informed and instructed on how to deal with them.
ParlaMint-NO_2008-01-30.ana.ud1816e735	Of course, I would like to contribute very much to the attention of banks around this special code, that what is involved in wealth or income, if any, is linked to a voluntary organisation and not to the investor's own private financial situation, is made clear to the banks. Now I think the banks are generally aware of this, but it doesn't hurt with a little extra attention.
ParlaMint-NO_2008-01-30.ana.ud1816e743	I allow myself to ask the Minister of Finance the following questions: ‘Many small Norwegian limited liability companies find it burdensome that they are subject to an audit obligation. At the same time, audit obligations are not imposed on Norwegian registered non-resident companies. [[NUF]] According to the Government’s website, a legislative committee has been set up to assess the audit obligation of small enterprises. How does the Council of State view this issue, and when can we expect answers from the legislative committee?’
ParlaMint-NO_2008-01-30.ana.ud1816e752	The government has established a selection to consider exemptions from the audit obligation for small enterprises, including small limited liability companies. The audit obligation limit should be equal to that applicable to limited liability companies and similar foreign enterprises operating in Norway through Norwegian registered non-resident enterprises, NUF, on which the queryor is involved. Therefore, following the mandate, the sample shall be based on the assumption that there shall be no difference in the audit obligation depending on whether the undertaking operates in Norway through the NUF or whether the company is Norwegian. That is also what has been said in the mandate of the legislative committee. Audits shall contribute to ensuring that creditors, investors, tax authorities and other users of accounting information have the assurance that the information contained in their annual accounts is correct. There are also some other requirements in the legislation and the statutory auditor's confirmation of different facts, known as special attestations. The auditor has extensive access to information on audited enterprises, accounting users save resources for their own control, and individual account users have equal access to audited information. The exercise of the functions of the auditor shall thus contribute to the efficient allocation of resources and to the fight against various forms of financial crime, including crime in the field of taxation and taxation. Audit requirements have a specific justification for limited liability companies and other forms of enterprise without owners that fully assume the obligations of the undertaking. At the same time, auditing entails costs for enterprises. The statutory audit obligation must require those costs to be proportionate to the benefits of auditing. The government will use the forthcoming investigation in assessing how the audit obligation for small enterprises should be designed for the future. The committee was given a period of 2 June 2008 to deliver its opinion.
ParlaMint-NO_2008-01-30.ana.ud1816e765	I would like to thank the Council of State for that answer and ask the following follow-up questions: If the legislative committee that assesses the audit obligation of small limited liability companies does not agree on a common recommendation, how will the Government proceed to the possible removal of the audit obligation?
ParlaMint-NO_2008-01-30.ana.ud1816e772	I don't think we're going to get ahead of what this sample will make of conclusions. However, I would like to stress: after the mandate, the election should be based on the fact that there should be no difference between the audit obligation depending on whether the company operates in Norway through the NUF or whether the company is Norwegian. I expect the sample to go into this issue, and that at this point, on 2 June 2008, we are a step closer to what is the queryer's intention with the question being asked today.
ParlaMint-NO_2008-01-30.ana.ud1816e777	I thank the Council of State for the answer and ask one last question. A number of European countries have removed the audit obligation for small enterprises. As far as I've been able to clean it up, Denmark has removed it, and Sweden is in a phase where they assess or work to remove the audit obligation. To what extent will it play a role for the Government what other countries do in this matter? And does the Council see the value of improving the framework conditions for small businesses in Norway?
ParlaMint-NO_2008-01-30.ana.ud1816e784	Of course, we differ to what is the law in other countries. The starting point here is to ensure equal treatment between Norwegian-owned companies and NUF companies, precisely in order to make it easier for small businesses to have a regulatory framework and not to discriminate through legislation.
ParlaMint-NO_2008-01-30.ana.ud1816e789	The story then goes back to question 1, from the representative Hans Olav Syversen to the Minister of Finance.
ParlaMint-NO_2008-01-30.ana.ud1816e795	First, I would like to thank the President for his goodwill, so that I was allowed to ask the question. I would also like to say that I fully agree with the personal responsibility he underlined in his introduction - so thank you for that. So to the question: ‘A common structure among persons with very high incomes is so-called ‘internal companies’. E.g. The 18 participants in the ‘internal company’ in Terra Securities received EUR 288.2 million, according to Today’s Economy. in 2005 and 2006, corresponding to a return of 1,149 per cent. It seems obvious that this has been designed to reduce tax requirements. Does the Council of State believe that this, and many other similar cases, provides a basis for assessing whether the law continues to provide revenue peaks with unreasonable opportunities to achieve low taxes?’
ParlaMint-NO_2008-01-30.ana.ud1816e806	Internal companies fall within the general definition of a participating company. It differs from other participating companies, such as partnerships or partnerships, in that it does not appear to be an outside company. In the company law, an internal company is defined as a «company which does not act as such vis-à-vis third parties». The members of the internal company may be persons, limited liability companies or other companies. Users of internal companies argue that such a company offers flexibility by the fact that there are few formal commitments regarding deposits and withdrawals of capital in the company. They also state that the form of the company provides for the appropriate regulation and allocation of underlying responsibilities, without the appearance of the business as untransparent and complex externalities. Prior to the tax reform in 2006, it could be very profitable to use internal companies for tax planning purposes. This could be done by establishing company structures in which such companies were incorporated as part of avoiding the calculation of personal income according to the sharing model. The aim of such events was to obtain something that was actually a return on labour, classified as capital income and thus reduced the total tax to 28 pst. The 2006 tax reform means that the marginal taxation of earnings and ownership income is largely the same, and the reform has reduced or eliminated a number of opportunities for circumvention previously in the tax system. Following the implementation of the tax reform 2006 and the introduction of the screening method, the profitability of events as mentioned above has been greatly reduced. Mainly, the effect of a reclassification from return on labour to return on capital will be saved employers’ fees. The Ministry closely follows developments in tax planning in the reformed tax system. So far, there are no indications that internal companies pose a particular problem in this context. But it's too early to draw clear conclusions about this now. Once the tax reform in 2006 has been made more effective, different outcomes of the new rules will be evaluated in depth. The results of this evaluation will be submitted to Stortinget. In my opinion, there are important considerations that can be addressed in order to introduce a registration obligation for internal companies. Such a registration obligation could contribute to transparency and facilitate greater transparency. In this context, there is consideration that draws in different directions and that needs to be weighed against each other, but this is in any case a problem that we are going to consider further.
ParlaMint-NO_2008-01-30.ana.ud1816e826	I quite agree with what the Council of State says. Some of the benefits were lost following the 2006 reform. At the same time, we see that in some environments there is still a significant element of internal companies. With regard to the description of what an internal company is, as the Council of State came up with, I believe in many cases that that is not the main reason why you still have internal companies. It is because of the fact that certain groups provide, as the Council of State was concerned, that real wage income is classified as something else and will thus continue to have a lower tax burden. But I am pleased that the Minister of Finance will look at this and ask quite specifically: does this mean that we are getting this to the Grand Duchy in the relatively near future?
ParlaMint-NO_2008-01-30.ana.ud1816e835	I want to be very careful about going into a further discussion about this relationship or other issues that are being discussed in terms of tax. Of course, it's because some of the tax rules that apply today are used by people who have good advice. They have a significant opportunity to conduct tax planning if we engage in a comprehensive public debate on these issues. But we do, on a general basis, a review - of course - of the tax rules as they are now, and we also need to evaluate the tax reform when we have sufficient information about how it has actually turned out. One of the problems to find out is the enormous adaptations made in 2004 and 2005, which disrupt the information we have on how the tax reform has actually worked. I expect that both in the budget for 2009 and in the evaluation that I can come back to the Stortinget and inform you about the implementation of, we will address the issues raised here by the Seven.
