ParlaMint-NO_2008-05-21.ana.ud1553e22	The representative, Karin S. Woldseth, will present a proposal for a representative.
ParlaMint-NO_2008-05-21.ana.ud1553e418	There may seem to be different views in the Government on how the Data Protection Authority should operate. The Progress Party has supported all of its time the Data Protection Authority and not least the Apenes leadership of the Data Protection Authority, which in our view should be a vigil for the privacy of people. When we record that it happens, what happens from the government's side, and what the state council says, I'm a little surprised that there's so different views of this from two state councils. I note that Heidi Grande Røys is the main controller of the Data Protection Agency, and I am then a little surprised that this Council of State has let the Minister of Justice lease the reactions to the Data Protection Agency. My question is: will the Council of State now confirm that it will consider the role of the Data Protection Authority?
ParlaMint-NO_2008-05-21.ana.ud1553e425	The Ministry of Renewal and Administration is the Administrative Board of the Data Protection Authority and has several meetings with the Data Protection Authority in one year, both formal and informal. I have invited the Data Protection Agency to several meetings to have professional discussions on various issues that are being dealt with, or international trends we see attacking privacy, and want to right the Data Protection Authority's voice when it comes to how we as the Department can deal with individual matters. I think it's exciting to have a computer monitor that has the role of being a free and independent body, highly up-to-date and up-to-date professionally, and that gives me challenges and good insights into how we can approach the privacy challenges from a political point of view. So I think I'm going to say - I've expressed it before - that there has also been a different attitude in the Progress Party to the privacy area, among other things. one in the crime area has not always focused on privacy.
ParlaMint-NO_2008-05-21.ana.ud1553e434	Bent Höie - to follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e437	I expect the Minister of Renewal to deal with this immediately with the Ministry of Justice and get cleaned up, so that we are sure that we have free and independent data surveillance that can participate in the social debate without having any ties. The debate on privacy goes every day, and the Government has set down a privacy commission, but it does little to help when privacy loses the daily fight. The Government has sent to the hearing a new regulation for the Credit Authority’s ability to collect traffic data. Among other things, the credit supervision may collect telecommunications information without the data being assumed to be relevant to evidence. The collection includes traffic data for both suspected and witnesses, without notice or consent. This means that this agency is given greater powers than the police. Will the Council of State take responsibility and put its foot down for this regulation, which is, in fact, a sneaking-in of the Data Storage Directive?
ParlaMint-NO_2008-05-21.ana.ud1553e446	We have free and independent data supervision, and we're going to continue to have that. Nothing that the Ministry of Renewal and Administration has communicated to the supervisory authority has changed. On the contrary, as I have said, we have strengthened the privacy area by over 10 million. kr at the time we have ruled. The Data Protection Authority has got a good deal of it through the projects we have supported them in. We will continue to support the Data Protection Authority in their various approaches to privacy. We have several issues for debate that challenge privacy - yes. The matter referred to by the representative Bent Höie is his responsibility to the Minister of Finance, and I entrusted her with the argument. So it's quite obvious that when we discuss such issues in the government, we have different approaches when it comes to getting them enlightened, but when the government makes decisions on such matters, the whole government is behind it.
ParlaMint-NO_2008-05-21.ana.ud1553e455	Lars Sponheim - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e458	This case has shown that the Ministry of the Government has broken the Public Administration Act by not filing a letter to the Ministry. I understand that the department has also accepted it. That's wrong enough, and that's the responsibility of the Council of State. Much worse is it that, following a case in which it raises uncertainty about whether the Data Protection Authority and the Chief Data Protection Officer are hereafter dared to say what is right in the fight for privacy. It is attached to this case after this round of the Questionnaire, where the Ministry of Justice has taken action and has stated after a meeting that the purpose has been achieved, that we do not know what purpose has been achieved. As long as it is suspended in the air, there is uncertainty as to whether the Data Protection Authority has in any way been restricted in its watchkeeping role. The Council of State has a job to do to clear up the Ministry of Justice and adequately explain and document to the Storting that the uncertainty many of us feel that the Data Protection Authority has reduced its independence here is being cleared up.
ParlaMint-NO_2008-05-21.ana.ud1553e465	To the extent that someone creates uncertainty about the free and independent role of the Data Protection Authority, it is at least not the Council of States. On the contrary, I have repeatedly asked questions from representatives in Stortinget that the Data Protection Authority has, and will always have a strong and independent role, at least as long as we are in government, and as long as I am in this chair. I have strengthened the Data Protection system's muscles so that they can do a bigger and more important job. I have seen down a data protection commission in good cooperation with the Left to get more actors on this track, which unfortunately the Data Protection Authority was very alone in the past. Now there's more on this path, which means that we get personal effects in many more forums, including in Stortinget. We need that. And we need, as I said, the independent role of the Data Protection Authority. Then someone gets the same or not as they say, but the point is that they've been assigned to be independent and pointed out consequences for the privacy of different issues. Then the government gets to take the argument into account in the different matters we're going to decide, and then we're going to see what the outcome of them is.
ParlaMint-NO_2008-05-21.ana.ud1553e472	The size goes to the next main question.
ParlaMint-NO_2008-05-21.ana.ud1553e475	My question goes to the Minister of Labour and Inclusion. We are currently experiencing a dramatic increase in the influx of asylum to Norway. Yes, I would argue that Norwegian asylum policy is in fact out of control when we experience a doubling in the asylum flow to Norway compared to the corresponding period last year. Unlike in the past, there is no such thing as the level of conflict out there in the world that can explain the increased inflow. On the contrary, it seems obvious that a very liberal asylum policy conducted by the red-green government, coupled with a situation where the rest of Europe is tightening up its asylum policies, leads to increased influxes to Norway. The revised framework outlines some measures to meet this challenge. There are measures on the entertainment requirement, which were already adopted in the context of new foreign law, the Dublin II Regulation, which is a matter of course to be followed, there is an increased pressure on return, which should also be a matter of course to be followed, more border controls, which should also be obvious - a number of measures of a cosmetic nature and which will not help the situation in Norway with the increased influx of asylum into Norway. What would have worked, on the other hand, was the introduction of stricter requirements to stay in Norway on the basis of an asylum application. So these other proposals that are being revised will not help at all. Will the Council of State take the initiative to tighten up Norwegian asylum policy, so that happinesses who do not have a basis for being allowed to stay in Norway will not be able to abuse the system and stay here on the wrong basis, thus reducing the asylum flow to Norway?
ParlaMint-NO_2008-05-21.ana.ud1553e486	Let me just first say that it is not the ‘maintenance requirement’ that is tightened up into revision, it is the maintenance requirement, which is two different things, especially for those that apply, I think. I disagree with the questioner that not a substantial part of the explanation for the increased influx of asylum seekers may be that the level of conflict outside the world is increasing. If you look at the countries from which we receive the most asylum seekers, it is Iraq, Afghanistan, Chechnya and Sri Lanka - that is, that type of country. A lot can be said about developments in Iraq, but the problem is that many things go from bad to worse. As a result, more people in the world are fleeing, and several of them are also coming to Norway. It's an important explanation of why. But then part of the problem is that many who come -- and what suggests being an increasing proportion -- are also people who don't need protection. I am promoting that claim by seeing that the rate of rejection in the UDI rises. Several are refused; others do not need protection. What the government is very concerned about is giving a signal to the world that there have been no changes in Norwegian asylum policy that make there other reasons than the need for protection to stay here. Therefore, it would be unfortunate both for Norway and for that country to come here and apply for asylum on a different basis from the need for protection. By giving some signals, the government wants to clarify it. However, those in need of protection have every reason to come to Norway, and they will receive a good treatment here.
ParlaMint-NO_2008-05-21.ana.ud1553e501	It is not that the measures outlined by the Government in the revised, including the maintenance requirement under the new Foreign Affairs Act, will lead to a reduction in the flow of asylum to Norway, precisely because these are cosmetic changes that will not lead to a change in reality compared to the influx we experience. Now the government has got a lot of criticism because you have to use tent clays, which is a clean and cut necessity when the red-green government has lost control of asylum policy. The need to place people in tent camps is, of course, not an optimal situation. So I challenge the Council of State on another point: what about using asylum reception abroad? Will the Council consider buying places abroad to place asylum seekers in reception there? Then you can save both money and get better living conditions for asylum seekers.
ParlaMint-NO_2008-05-21.ana.ud1553e511	What is strange in the debate that has taken place in the wake of the increased influx of people who want to seek asylum in Norway is that the measures we have now promoted are described by the representative Amundsen as «cosmetic changes», while I see that yesterday's daily newspaper in the chair writes that we «close the borders». Both descriptions of reality can at least not be correct, and my opinion is that both descriptions of reality are incorrect. These are neither cosmetic changes nor border closures. There is a signal in the world that the basis for seeking asylum in Norway is the need for protection. And the worst thing that can happen to people is that for different reasons, for example. poverty, refugees to the western world, seeking residence in Norway and being denied because there is no need for protection. Then, as returned, you will come back poorer than ever. It is an accident for those affected by it, and therefore it is important to correct an impression through some measures.
ParlaMint-NO_2008-05-21.ana.ud1553e516	It's going to be four follow-up questions-- first Bjørg Tørersdal.
ParlaMint-NO_2008-05-21.ana.ud1553e519	The Christian People's Party is committed to a fair asylum policy. That is, we give protection to those people who are in need and risk being persecuted and harassed in the country they came from. We know that very many come from conflict areas, where it is difficult, and seek shelter in Norway. The Christian People's Party is committed to having an effective return on unfounded applications, and it is right, as the Council of State said, that now the influx has increased. But one also rejects several, and one rejects them with unfounded applications. It supports the Christian People's Party. But the Christian People's Party is critical of the increased influx, is what one does in terms of the increased need to obtain lodging and a place to be for those who come to Norway, and now the Government has been a little diffuse as to why it has started planning to accommodate tents. I would like the Council of State to respond to the question of whether a person is capable of getting something different and more valuable for those who come here than a place in a tent, which is more suitable for speeders and youth on the road. And the second question is, what is the rationale for using tents? I hope you don't do that bad for those who are coming.
ParlaMint-NO_2008-05-21.ana.ud1553e526	I am pleased with that question, because then I also get the opportunity from the Stortings pulpit to stress that if we have to use the tent -- and that's still a if -- it's because we have no alternative. Now there is a critical situation in the transit reception, that is, where you are the first days and weeks to complete the asylum interview, before you are placed in an ordinary reception. On Tanum, the capacity is now detonated. We are working intensively to find alternative solutions, we want to get Dikemark, but we have problems getting permission from Asker Municipality, we are looking for opportunities for set-aside, etc. But if there's no alternative, I think it's better to place young, lonely, healthy men in tents for a few days than just to have to reject them on the border because we don't have any place to do with them while we do the asylum interview.
ParlaMint-NO_2008-05-21.ana.ud1553e531	Step Skei Grande - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e534	I don't share Amundsen's view of reality. In the last ten years, the number of asylum seekers in Norway has ranged from 17 000 to almost 1,500. In the last year, 46,400 asylum seekers have arrived in the Nordic region, and all of them, most of them, 36,000 of them, have been accepted in Sweden. And if you think that there is no reason for an increase in asylum applications now, you have to be among those who skip the foreign drug in the newspapers. It is at least quite amazing when you have voted in favour of the war in Iraq. What I'm asking is: why is it that the Council of State shares the reality of the Advancement Party and the Right here and does not support the reality of its own government parties, that this actually goes up and down with the international trends, and does it not necessarily come from being so liberal? Why does he not rely on his own governmental parties and the Christian People's Party and the Left in reality here?
ParlaMint-NO_2008-05-21.ana.ud1553e539	I'm trying to rely on what is at all times the fact of inflow, and the assessment that the Government is making on the basis of the need for action based on our analysis of reality. I agree with the representative of Trine Skei Grande that there are many conflicts in the world that make it natural with an increased influx of refugees into Europe, and we will deal with that in line with the best Norwegian traditions. But it is not a good thing for anyone, neither for those involved, nor for Norway and Europe, if we also experience an increased influx of people who do not need protection. This is something the representative of Trine Skei Grande can do very much about, because the Left has also been in government and rejected applications from clearly groundless asylum seekers. So that's where I thought we had a fairly common sense of reality, that it's those who need protection that are going to be.
ParlaMint-NO_2008-05-21.ana.ud1553e544	Kari Lise Holmberg--to follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e547	According to the director of the UDI, the large increase in the influx of asylum is not due to international conditions. Today's newspaper says she's writing it. It also agrees with the Right, because we believe that the reason why asylum policy is now out of control is the Government's own policy. On the right, the Government has consistently opposed the fact that asylum policy has been facilitated by the Government. We warned against lowering the threshold for the conversion of decisions, and we warned against the introduction of the three-year rule. We have warned against giving people false hopes, we have warned that signals out to the outside world of a smarter Norwegian asylum policy than the neighbouring countries are leading will cause more people from poor countries to sell everything they own and come to Norway, and that only makes it worse. In particular, we have warned that adults would use the children as doorkeepers to get footholds in the country. We've unfortunately got it right -- it shows the numbers now, and the government's genius has led to twice as many coming here. [[The President announces Councillor Bjarne Håkon Hanssen]] [[the President re-announces the Council of State]] Will the Council of State reverse the asylum policy back to the one we had earlier?
ParlaMint-NO_2008-05-21.ana.ud1553e552	The Council of State gets the floor!
ParlaMint-NO_2008-05-21.ana.ud1553e556	In fact, more people get protection - in terms of the number of people, not the proportion of applicants. This is because more applicants come from areas where conflicts are serious, and many of those coming need protection. But then we see that the proportion of asylum seekers who are rejected is increasing, and that suggests that, in addition to the more people who are in need of protection, there will also be more people who do not have that need. And then there's a complicated world out there we're going to try to give a signal to, that they need protection, they're going to be able to get protection in Norway, but they're not supposed to come, they're going to get rejected, and they're going to be transported out. I hope that it will be possible for the Government to have a good dialogue with the Right on what signals we are going to give to get this out in the world.
ParlaMint-NO_2008-05-21.ana.ud1553e561	Ib Thomsen - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e564	I now see that the Workers' Party and the Government are strongly pressured to establish more asylum recipients in Norway, after the large influx we see today. However, UDI has almost unlimited power with regard to the location of new asylum recipients, despite the fact that such reception has a significant impact on the community. It is a serious violation of local democracy, even though the Labour Party and the Government have said that they want and will strengthen local democracy. So it seems that the Workers' Party and the Government's main argument against local veto law is that state control is more effective, because then the state can quickly increase capacity as the flow increases, without the local democracy having an impact. The party of progress, on the other hand, is for local democracy and sees its own value. My question is: will the Council of State work to ensure that the UDI respects locally adopted decisions?
ParlaMint-NO_2008-05-21.ana.ud1553e569	It is not that local democracy is without effect. What we are now seeing about the problems of establishing Dikemark in the municipality of Asker as a transit reception is precisely that the objections of the municipality of Asker have led to the fact that what we planned to establish early in February is still not established. It's this kind of dialogue with the municipalities like as a result, the UDI has reduced its plans to establish a 300-place transit reception in Dikemark to 100 places. So UDI is in dialogue with the municipalities about setting up asylum recipients. At the same time, however, it must be that Norway has an international obligation to accept the asylum seekers who come here and to give their case a good, individual treatment. Norway, as a nation, has to have an apparatus to receive those who come here, and it must finally be such that the country has the opportunity to cut through to ensure that it has enough reception facilities.
ParlaMint-NO_2008-05-21.ana.ud1553e574	Let's go to the last main question - Martin Engeset.
ParlaMint-NO_2008-05-21.ana.ud1553e577	We cannot let a whole spontaneous hour of danger pass without the Council of State being confronted with the single area where the Government has undoubtedly failed the most, namely when it comes to combating poverty. My question therefore goes to the Minister of Labour and Inclusion. One of the most concrete and binding promises made by the red-greens in the 2005 election campaign was the abolition of poverty in Norway. The country's current finance minister, Kristin Halvorsen, who is sitting on the money bag, actually went so far as to say that poverty could be eliminated with a pen stroke, that it was just political will it was on. Now the situation is that the government in which Bjarne Håkon Hanssen participates sits on the largest purse that some Norwegian government has ever had at its disposal - almost 160 000 million. kr in increased tax revenue, inter alia. Thanks to the Right Growth Promotion tax policy of the previous period. In addition, the red-green government has a majority, can do just as it pleases, and has no one else to blame. Many had therefore hoped, believed and expected that the sitting government would do something for the poorest, those sitting at the very bottom of the table. But then, the promise of abolishing poverty was almost unremarkable and suddenly transformed into a goal. The working line is well and good and has the full support of the Right, but what about those who do not have a chance in the labour market because of the intoxication, psychiatry and lack of basic skills? They're stuck in a hopeless life situation because of the government's paralysis of action. What will the Government actually do to lift those sitting at the bottom of the table out of a hopeless life situation?
ParlaMint-NO_2008-05-21.ana.ud1553e586	These are important questions. I am very pleased that the representative Martin Engeset says that the Right supports the line of work. It is important to analyse: who are the poor? The poor have many faces, but to the extent that poor people in Norway have one common feature, they are out of work for some reason. If you're working in Norway, like most people, you'll have a salary -- because we have long traditions with good collective agreements around it -- that will enable you to take care of yourself financially. Therefore, the main strategy to combat poverty must be to get people to work. Then I am absolutely sure that you will wear different glasses to analyze the results, but the fact is that since the government change in the autumn of 2005, 200,000 more people have come to work. Now the government won't take all credit for it, but the government will take no credit for it. That's why I'm very concerned to say that claiming that we haven't fought poverty in a very effective way since the government change is wrong, in my opinion. When you manage to lead e.g. a labour market policy that makes so many people come to work, it is clear that we are fighting poverty. So the question is, now that we've gotten so far that we're down to just 40,000 unemployed, just 30,000 who live on economic social assistance, how are we going to move on to get them to work as well? This is the main response to the NAV strategy, the qualification programme - putting in place additional measures for those groups that are still out of work. It's completely possible, and we see that the so-called marginal groups are now going to work.
ParlaMint-NO_2008-05-21.ana.ud1553e595	It is true that every government must be measured by its results, even in relation to the promises and guarantees given. It is interesting to hear the council boasting that many people have come to work. That's all reason to rejoice, but I think the explanation is completely different from the government -- what it's done. We are in a situation in Norway where 600 000-700 000 people in working age are out of work. It may not be so much to be proud of and boast of. When we have an acute shortage of labour, but are unable to raise those groups that sit at the bottom of the table, and which have a hopeless life situation, into the labour market, in a situation where we have had the longest and strongest economic recovery in Norway in modern times, I may not think that the government should be so very high in terms of its own results. Then I think it's time to get a little more humble and admit that you haven't done very well in the individual area where you went top of the track and promised the most.
ParlaMint-NO_2008-05-21.ana.ud1553e602	I'm very surprised if the answer that I gave in the first place is considered to be very high. I tried to give a fairly sober analysis of the fact that the main challenge of combating poverty is getting people to work. Then we don't have to argue about who has the credit for it-- let's now it's right here and now. In fact, when 200,000 more people come to work, we've been fighting poverty in a very active and good way. Then get the honor that should be honored. But I agree with the representative Engeset that that means we're not in the goal. That is why we are now in the midst of the greatest reform that this society has ever implemented, the NAV reform. That's why we're now using billions of dollars to make NAV work, we're putting all the new measures into action, so that in the future the welfare system can help even better and even more than the 200 000 that we've done so far.
ParlaMint-NO_2008-05-21.ana.ud1553e607	There will be two follow-up questions - first Kenneth Svendsen.
ParlaMint-NO_2008-05-21.ana.ud1553e610	Kristin Halvorsen said in the election campaign that poverty could be eliminated with a pen stroke. I do not know if her pen has gone out of ink, but the pen cover has been missing, and almost nothing has happened. The government has presented a poverty report with some measures, such as the workline and the Qualifications Programme, which are good. However, the problem is the lack of measures and, not least, the lack of requirements which lead to the opposite of eradicating poverty. Because, according to the Central Statistical Office, there is growth in the number of poor people. Many who are categorised as poor are drug users, social welfare recipients and, in fact, some minor pensioners. When drug users who want and are motivated for detoxification have to wait for months in line for treatment, when the demand for social assistance recipients to stand up at eight o’clock in the morning is cancelled, and not least when the minimum pensioners have a pension well below the poverty line, and in all likelihood, what does the Council of State intend to do to reverse this trend with more poor people?
ParlaMint-NO_2008-05-21.ana.ud1553e618	One of the biggest challenges in combating poverty is that it is part of the groups to which the representative Svendsen refers, among others. social welfare recipients, where we see that there are many who have lived through many years of economic social assistance, and we see that there is an overrepresentation of people who are struggling with drug problems and mental problems. And it's just to try to tailor an offer to these groups that the government, in good cooperation with the Stortinget, has invested so much in getting up a qualification program where you can combine qualification measures, training measures, with treatment. You can treat your problems as part of a qualification program. I now spend a lot of time and effort getting the Qualification Program started in the Municipality of Norway and in the NAV offices. It's demanding, and it takes time. So far we don't have the world's best result to refer to, but I'm very optimistic that it's now getting loose, so we can see that relatively many are starting up on this program.
ParlaMint-NO_2008-05-21.ana.ud1553e625	Bjørg Tørersdal - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e628	Whether or not the Government has granted money, whether or not unemployment has fallen and many things have gone in the right direction, it is a fact that there is one group in particular that we should worry about, and that the Council of State should take even more into account, and that is the young unemployed and the young people outside the labour market. Very often it's the same people who have dropped out of school, who have never actually been to work, we find in the statistics as social welfare recipients or as young disabled people. Unfortunately, we have not managed to solve the challenges for this group. I want to challenge the Council of State to take new steps to see the relationship between ‘drop-outs’ in high school and those who are out of work a few years later. Is it possible to work together to get some targeted actions for this group?
ParlaMint-NO_2008-05-21.ana.ud1553e635	I believe that the Qualification Programme is a very important instrument for that group as well. I am very busy working together between the follow-up service in high school and the NAV office, precisely so that young people who drop out of high school will not go on for a long time without active follow-up. So there's a question of whether that follow-up is going to happen in high school or in NAV; I think we have to deal with that for each one. But that's how the Qualification Program can be a very good alternative to catching up with young people who have fallen out. They will then receive a security of income, but will have to participate in activities that are targeted towards work. The few results we have from the Qualification Programme so far indicate that it works very well for young people.
ParlaMint-NO_2008-05-21.ana.ud1553e642	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2008-05-21.ana.ud1553e647	There will be one change in the question list, and the President will refer in that context to the paper distributed in the seats of the representatives in the Chamber. The proposed amendment to today’s Question Time is proposed. - It is deemed to have been adopted. The change was as follows: Question 4, from the representative of Per Roar Bredvold to the Minister of Defence, lapses when the Council of State has left.
ParlaMint-NO_2008-05-21.ana.ud1553e659	‘In the last 30 years, the fishing industry has had to share the sea areas with the oil industry. Fishermen have shown great tolerance for this because they have seen that oil production has been important for the welfare development of the whole country, including along the coast. Now also comes the sea windmill industry and will be able to push fisheries forward. Can the Council of State guarantee that state-funded wind turbines will not divert the fisheries from the fishing banks, for example: by establishing a national plan for which sea areas are to be opened up for wind turbines?’.»
ParlaMint-NO_2008-05-21.ana.ud1553e671	To respond to the last, the government has committed itself through the climate agreement to create a national strategy for power generation from offshore wind power and other marine renewable energy sources. We're following this up. This work will also focus on the spatial aspects of offshore wind power and the concessional approach to be taken to ensure official control of which areas can be developed and to ensure that such development takes place in a way that takes into account other interests, including fisheries, and I could also mention shipping. Furthermore, offshore energy production is a separate investigation theme under sub-research petroleum and energy in the ongoing work on the overall management plan for the Norwegian Sea. This investigation is now open to wide public consultation. Offshore energy production will also be included in the work on the North Sea management plan in an appropriate manner. Furthermore, I can assure the representative that the State will take an active role in clarifying the relevant areas for offshore energy production. All relevant sectoral interests will be involved in such work and transparency and consultation will be emphasised. There is too much evidence to suggest that any offshore offshore wind turbines will become relatively flexible with regard to location, which may offer similar opportunities to adapt installations to other considerations. Offshore energy production is an exciting concept, which can have a significant impact on Norwegian energy production and exports, and not least on Norwegian technological and industrial development. Whether offshore energy production can be realised and can provide a seed bottom as a new Norwegian offshore industry, the time will have to show. However, I have great faith that it is possible to achieve a good co-existence between fisheries and energy production by being aware of the challenges of such co-existence already at the beginning of the process of establishing a legal basis.
ParlaMint-NO_2008-05-21.ana.ud1553e684	I thank you for your answer. The Council of State has previously said that sea wind turbines will lead to a lower level of conflict, because no one sees them. So today’s windmills have such a technology that they can’t stand on larger seas. It may be possible in the future, but today they cannot stand on larger seas, they must stand on sea grounds - grounds that are largely similar to fish banks. Then my question is: does the Council of State understand that when the Council of State says that no one sees these wind turbines, it may be appropriate to provoke an entire profession, a profession that contributes to the creation of value in Norwegian society unsubsidized, in the order of NOK 100 billion?
ParlaMint-NO_2008-05-21.ana.ud1553e693	Let me just first stress that I experience it so that I have good dialogue with the fishing interests on these issues, and I am definitely concerned that the fishermen's interests should be taken care of in this process. It's important when we discuss seamills, that we distinguish between bottom-mounted installations and floating installations. From a perspective of the future, I have good faith that we should be able to use liquid seamills. They'll be far more flexible than the bottom-solid mills will be. I can assure the representative that we must take good care of fishing interests in this important work in the future, and we must have close dialogue with them, so that we can achieve the coexistence that is necessary and that we have succeeded in doing so, I would say, to a very great extent within the petroleum industry.
ParlaMint-NO_2008-05-21.ana.ud1553e702	Dialogue and involvement of other sector interests and industries, co-existence, has probably also been an ambition for seismic shooting in Northland VII and Troms II. I interpret the Council of State as having ambitions to facilitate a much lower level of conflict in sea wind turbines than has been seen to have developed in these areas outside the West and Lofoten. I thank you for that, and would like to ask the Council of State to confirm that there is the ambition and a goal that the Government will place great emphasis on in the further work on sea windmills.
ParlaMint-NO_2008-05-21.ana.ud1553e707	I can assure the representative that we are doing everything possible to reduce the level of conflict now in Northland VII and Troms II, and we are actively dealing with the situation that exists in this area. Then I am very pleased that the Progress Party is now showing a considerable reluctance to the fishermen's interests. We have experienced well in the case of oil, that it is not necessarily the fisheries interests that have been the highest on the agenda of the Progress Party. The Progress Party wants growth in oil extraction without geographical constraints, and they further believe - and their programme says - that increased oil activity is compatible with fisheries interests. If the questions that the representative Lien is now asking about fishing interests and co-existence, are also based on the approach of the Advance Party to petroleum, I am very pleased about that.
ParlaMint-NO_2008-05-21.ana.ud1553e719	Let me just first confirm that my question is consistent with the game program, just as the previous questioner's question was. My question is: ‘A number of coal and gas power projects have been launched in Norway, including Hammerfest Energi’s project at Melkøya, Skagerak Energi in Grenland, Sargas coal power plants at Husnes and Industrikraft Møre in Fränna. These could contribute to a broader commitment to CO2 capture and storage, but all gaps in the explanation of the framework conditions and state contribution on the CO2 side. When will the Government provide predictable guidelines on how the Government manages projects beyond Mongstad and Kårstø?’
ParlaMint-NO_2008-05-21.ana.ud1553e736	Through the Soria Moria Declaration, the Government has set itself a very ambitious goal for the investment in environmentally friendly energy. In addition to the commitment to energy efficiency and renewable energy sources, the Government's ambition is to help us find the best solutions for the capture and storage of CO2. The Soria Moria Declaration provides the framework for this work. It's called: ‘By means of economic instruments and by investing in new technologies, we will ensure that new gas power concessions are based on CO2 removal.’ This is the basis for the State’s commitment to the establishment of CO2 management installations in the gas power plants at Kårstø and Mongstad. A main objective of the Mongstad and Kårstø investment is to promote technology development and reduce CO2 capture and storage costs. The development of cost-effective technologies is essential for CO2 capture and storage to be a good instrument in the fight against global warming. Through this commitment, we are committed to ensuring the development of the best possible technology so that CO2 capture and storage can become a real alternative, national and international. By ensuring that we secure experience and knowledge from the ongoing projects, the investment will also benefit new projects. Furthermore, the framework for the Authority's contribution to research, development and demonstration projects on CO2 capture and storage technologies is well established through the CLIMIT programme. The return on the Gas Technology Fund of more than 80 million. kr per year shall be used to support projects for the development and demonstration of CO2 management technologies.
ParlaMint-NO_2008-05-21.ana.ud1553e776	I was really standing here waiting for the answer to the question, because what the government is doing on Kårstø and Mongstad is well known. It's really discussed the Stortinget, at least in the case of Mongstad. Kårstø we have never had a real case about. It's also known that the government itself says it has ambitious goals. The problem here is that it has absolutely unpredictable and unexplained instruments for other projects. When Skagerak Energi wants to build a gas power plant in Grenland, when Industrikraft Møre wants to build in Middle Norway, they don't know what it means in concrete politics when the council says they're going to make a government contribution. There is no one who can plan a project with a promise of a state contribution when one does not know how large this is, either in percent or in dollars and cents. That is precisely what needs to be clarified if we are to get actors who are willing to come up with other projects. Does the Council of State here say that until Kårstø and Mongstad are realised and evaluated, is it not desirable with other gas power projects? Or does the Council of State want one to try to build gas power plants elsewhere?
ParlaMint-NO_2008-05-21.ana.ud1553e785	It is absolutely necessary that we have a realistic approach to these issues. And what do I add to it? Well, in that I add that we per. currently does not have technology that can be purchased in a store and applied to any gas power plant, coal power plant or similar. We are simply there in the process that we are dependent on technology development. Technological development is not something to be decided upon. Technology needs to be developed over time. That is why the full-scale plant on Kårstø is important, so it is not least the test centre on Mongstad that is absolutely crucial. We have to allow ourselves to go step by step in this process. In fact, today we cannot go to the store and buy CO2 management technology. The government can't do that, none of the companies that have been mentioned here can do that.
ParlaMint-NO_2008-05-21.ana.ud1553e793	This is like hearing the 2005 Progress Party, when the Government decided that by 2009 there would be a full-scale sewage treatment plant at Kårstø. We then pointed out that that technology does not exist, and therefore it is irresponsible for a government to demand that that technology should be put in place. Then the government itself has gradually seen the light. A realistic approach is very important, but then the government has to clarify to all other actors who think, want or consider building gas power plants, and say what kind of requirements it has. Should there be CO2 cleaning at start-up, as this State Council has previously said - which is currently confirmed will not be realistic for a long time yet - or should one be able to escape this requirement because a wish to try to realize gas power plants? As I understand the Council of State, the Council of State here says that the requirement that she herself has made about cleaning at start-up is not feasible. What the Council of State actually says is that under the regime of this government it will not be possible for any actors besides Kårstø and Mongstad to build gas power plants. Is that correctly understood?
ParlaMint-NO_2008-05-21.ana.ud1553e805	It is absolutely right that the Government and the Advance Party have quite different approaches to this issue. The government has had and has strong ambitions in this area. In the long run, we're going to drive forward the technology that makes it possible to clean both gas power and coal power. Then the government's policy is very clear. We have said that new concessions can only be given in cases where you can have CO2 management. Then there's one gas power plant that has all the permits, and that's Forest. They had the permits before this government joined. If they get profitability in their project -- well, they can only get started. But now it's important that we use all our energy to ensure that we get technology developments that will be relevant to what can become a number of coastal projects.
ParlaMint-NO_2008-05-21.ana.ud1553e818	I will ask the following questions to the Minister for Local and Regional Affairs: ‘Refers to a look-up in Troms Folkeblad on 15 May 2008, where it appears that the owner of a tourist facility is not allowed to build a service building because of the fact that it is not possible to build a tourist facility. that the reindeer industry claims to be built in a calving and grazing area. What will the Council of State do to strengthen private ownership so that business development can also take place in the districts, and does the Council of State believe that Sámi interests should prevail over local needs?’
