ParlaMint-NO_2008-05-30.ana.ud383e55	The representative, Mr Harald T. Nesvik, will present a proposal for a representative.
ParlaMint-NO_2008-05-30.ana.ud383e416	First, I'll be allowed to thank the committee. The matter we are about to deal with has gone at express speed in Stortinget. When we were to select the case rapporteur, we were told in the committee that the matter should preferably be done the day before. The Committee has therefore turned around: the first draft of the case was practically finished before the case was referred to in the Stortinget, and we have completed the proceedings both in the Kuf Committee, in the Foreign Affairs Committee and today in the Grand Chamber - all in ten days. Of course, it is not a wish situation to have to deal with matters urgently, but precisely in this case there has been such a consensus that it has been fully possible and justifiable. The issue is to empower the EEA delegation of Norway to integrate participation in the European Institute of Innovation and Technology into the EEA Agreement. The Foundation shall contribute to a better link between research and business environments and is a follow-up to the EU's Lisbon strategy for increasing employment and growth. Initially, the proposal was aimed at establishing the EIT as a European Technology Institute, but during the debate in the European Parliament, it was suggested that the EU should become much better at innovation and that this should be given a greater focus. Parliament then went in order to include the term ‘innovation’ in the name of the Foundation. In this way, it is made visible that one of the Institute’s important tasks will be to contribute to innovation and that the Institute will be an important factor in strengthening Europe’s competitiveness. During the debate in the European Parliament, it was emphasised that there is a lot of good research in a number of environments around Europe, but that researchers and universities do not have the necessary skills or financial resources to translate their results into commercial products. The situation in Norway is not in any way different from that in the rest of Europe. This is something that the KUF Committee has repeatedly been involved in both debates here in the Chamber and in meetings with research councils and university environments. The committee was back in the United States for a while, and in this respect we visited, among other things. Massachusetts Institute of Technology - MIT. What everyone noticed was the widespread focus of those there on patenting and commercialising the results of their research and development. The creation of the EIT could also help us in Norway and in Europe to have a system that, through a variety of networks, can facilitate a much better link between research and business opportunities. There are plans to set up an EIT Board of 18 people this summer, and Norway has proposed two qualified candidates through the UH Council. In addition, the location of the EIT Secretariat shall be chosen. Now there is no plan for the EIT to become a large institution in the traditional sense, but for it to have a relatively simple formal structure. The main task of the Institute will be to facilitate knowledge and innovation networks, known as KICs. In the beginning, it is added to establish two or three KICs. At the same time, a strategic innovation agenda shall be established which will be the subject of consideration by both the European Parliament and the Council. This agenda will be underpinned by the further establishment of innovation networks. Through its work and activities, the EIT shall contribute to increased mobility in the European Research Area and in relation to higher education. It is foreseen that higher education institutions participating in such networks will apply their degrees and diplomas to an EIT logo, which in itself, hopefully, will become a quality stamp and a visualisation of the innovation work. The EIT proposes to link universities, research organisations and business together as a triple helix in different ‘Science and Innovation Communities’. These Community structures are intended to contain at least three institutions or establishments and to be at least two different countries. The KUF Committee is of the opinion that Norway has both the professional competence to contribute and not least the benefits to be gained by participating in such work. NTNU/SINTEF has already been pointed out, as for example: the success of the project can contribute to European climate and energy research. The total budget of the EIT is estimated to be EUR 2.4 billion, with most of the funding coming from business. The Norwegian contribution is GDP-dependent and will be at 2.28 pst. of the EU contribution. Total 2010-2013 period is estimated at 56 million. kr. For 2008, the amount will be NOK 500000, and the Government has proposed in the revised national budget to cover this by charging the Research and Innovation Fund. Here, the position and the opposition are separated by layers in the committee. The opposition points out that this fund is to be built to ensure Norwegian research-strategic space and is not used to cover current obligations assumed by the Government. The Committee also points out that Norway has participated or participates in a variety of research, education, innovation and business-related programmes, both nationally and internationally. The size has been waiting for and also called for an innovation message. The government has announced that it is on the way, and we assume that this message will shed light on the various aspects of the work being done, based on an overall assessment. The Committee, having regard to the comments made, has agreed that the EEA delegation should be given the necessary powers to participate in a decision to include the EIT in the EEA Agreement, but we assume that the matter will be referred back to the Storting if the EEA Committee takes a decision that deviates significantly from what has emerged in the proposal.
ParlaMint-NO_2008-05-30.ana.ud383e444	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2008-05-30.ana.ud383e460	No one has asked for the floor. [[See page 3454]]
ParlaMint-NO_2008-05-30.ana.ud383e476	No one has asked for the floor. [[See page 3454]]
ParlaMint-NO_2008-05-30.ana.ud383e492	No one has asked for the floor. [[See page 3454]]
ParlaMint-NO_2008-05-30.ana.ud383e508	No one has asked for the floor. [[See page 3454]]
ParlaMint-NO_2008-05-30.ana.ud383e516	President: The Grand Duchy shall now vote in cases No. 1-6.
ParlaMint-NO_2008-05-30.ana.ud383e524	During the debate, Odd Einar Dørum has put forward a proposal on behalf of the Progress Party, the Right, the Christian People's Party and the Left. The proposal reads as follows: ‘The Government is asking the Government to return to Stortinget as soon as possible, and at the latest in the context of the 2009 State Budget, with a concrete financial escalation plan for the strengthening of the university museums, with a view in particular to building and magazine conditions.’
ParlaMint-NO_2008-05-30.ana.ud383e571	There is a vote on the proposal by Mr Anders Anundsen on behalf of the Party of Advancement, the Right, the Christian People's Party and the Left, submitted by Mr Odelstinget's meeting on 23 May 2008. The proposal reads as follows: ‘The Government asks the Government to amend the Training Act so that those wishing to complete secondary education are entitled to such education regardless of age.’
ParlaMint-NO_2008-05-30.ana.ud383e590	There is a vote on the proposal by Mr Anders Anundsen on behalf of the Party of Advancement, the Right, the Christian People's Party and the Left, submitted by Mr Odelstinget's meeting on 23 May 2008. The proposal reads as follows: ‘The Government asks the Government to propose a change to the Training Act so that students in need of linguistic development are guaranteed the same rights as students in need of sign language development or alternative and supplementary communication [[ASK]]
ParlaMint-NO_2008-05-30.ana.ud383e609	There is a vote on the proposal by Mr Anders Anundsen on behalf of the Party of Advancement and the Christian People's Party sent from the meeting of Mr Odelstinget on 23 May. The proposal reads as follows: ‘The Government asks the Government to propose, at the latest in the State budget for 2009, an increase in the allocation to the Parental Committee for Primary School, so that it will be sufficient to discharge the new responsibilities imposed.’
ParlaMint-NO_2008-05-30.ana.ud383e628	There is a vote on proposals submitted by the Odelstinget meeting on 23 May 2008. The proposal reads as follows: ‘The Government asks the Government to draw up as soon as possible proposals for provisions obliging secondary school to parental cooperation.’
ParlaMint-NO_2008-05-30.ana.ud383e658	Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
