ParlaMint-NO_2008-06-19.ana.ud497e228	The representative, Ulf Erik Knudsen, will put forward a proposal for a representative.
ParlaMint-NO_2008-06-19.ana.ud497e635	It's going to be line change.
ParlaMint-NO_2008-06-19.ana.ud497e639	As usual, there is a wide spread in the posts of the representative Jacobsen. It was a lot about the United States. But he now came back to the defense at the end, so thank you for that. The Northern Region bet is important for the government parties, and this is specifically mentioned in the Soria Moria document. The advance party is very concerned with the operating budgets of the marine and coastguards, that sufficient funds are provided for sufficient sailing days, because we have a large area to cover. So my question is, how does SV view that our new frigates should be able to operate continuously with only two crews per. frigate? And how many frigates will continuously be able to sail with so few personnel?
ParlaMint-NO_2008-06-19.ana.ud497e648	I'm not going to assume my primary position when it comes to frigates and MTBs, because now we have them, and now we have to operate them in the best possible way. I'm not in doubt that we're going to get it. How many teams we're going to be able to do at the beginning, I can't stand here and guarantee, but as it is in the long-term plan, and also in the current budget, we're going to be able to operate them. We're going to get very close to the situation that we were in in the previous big time, where the Progress Party was part of the government base, when one actually had to add a good part of these boats to the dock. We're not going to get there. We're going to operate these in the best possible way.
ParlaMint-NO_2008-06-19.ana.ud497e653	In all the years I have been a member of the Stortinget, the opposition to Norwegian defence policy itself has been in SV. Since we are now approaching the end of this period of government and SV has had government power for three years, I would like to ask Jacobsen how he sums up his victories from this period. Or the question asked more precisely: What has happened in Norwegian defence policy that would not have happened if SV were not in government?
ParlaMint-NO_2008-06-19.ana.ud497e658	First of all, I would say that from SV's point of view, we always have our defence friends. But now it's not like friends are people with the most HIV money after. Friends can also be a given challenge, which I went into my article. I think what we've got the most in mind, and I'm proud of both our representative in the Defence Policy Committee and, in part, my job here in the house, is that we've been able to say that there's going to be a balance between professional military overbudgets -- too much will one have -- and the fact that we politicians come in and dry say ok, but we want to put it and it in the pot, and then they get the rule after that.
ParlaMint-NO_2008-06-19.ana.ud497e663	The representative Bjørn Jacobsen was deeply concerned with values in the Defense, and it is also the Christian People's Party. He moved mainly beyond the borders of the country and linked it to the United States and to the treatment of prisoners. It's also Christian People's Party busy. But now I want to bring it home a little bit and take the challenge from Jacobsen seriously in terms of values in the defense. So we have a capacity in Defense today that has a lot to do with the family situation of those who are employed, with frequent movements, with soldiers who work a year and a half to get this to hang together, and in the case of international operations, we see that our soldiers who can be used there must be too often. This greatly affects the family situation. It wears on the individual soldier. In addition, we also see that the veterans who have come home are struggling with mental problems and believe that they are not being followed up. Does the representative Jacobsen see that we need to strengthen the economy of Defence? And does the representative Jacobsen see that the army must be strengthened if we are to maintain the quality we have today?
ParlaMint-NO_2008-06-19.ana.ud497e672	After all, the army has been strengthened by 1 000 settings - 40 pst. When it comes to the veterans, I totally agree that there's a lot we've done in this government. We're the ones who have started the good work, and we're going to continue with the good work for the veterans. Then, of course, the representative is concerned with something important that concerns the family situation of people who are not least in the operational service, who must be both here and there, who are on international missions. There is no doubt that we have to do even more so that they, as the representative says, will not work half a year and a half. Now I feel that people who are in the Defense are willing to take on extra burdens at least over a few years, at a time when they are very active in the Operational Service, like the rest of us did when we were younger. But there's no doubt that this has to be put up so that we're not on more missions than we have people to. In addition, we know that we have a mission in the United Nations that remains, so we don't have to take on more than we have enough people to do.
ParlaMint-NO_2008-06-19.ana.ud497e681	The chord shift has been completed.
ParlaMint-NO_2008-06-19.ana.ud497e684	It has been said and written that the defense stands at a crossroads in connection with the processing of this long-term plan. The Christian People's Party would rather say that the Stortinget stands at this crucial crossroads. What military defence does Norway need? Does government and growth have the will to grant what is needed to get a defense where there is a balance between ambition and resources? Today’s debate shows that there is considerable disagreement about both the size of the financial imbalances per year. today, the structure necessary for the future defence, and the price tag of operations and material acquisitions. Security policy developments have a number of features that point to the need to strengthen defence. These include increasing opposition and global rivalry, increased competition for resources, sustained challenges for the UN and NATO, not least related to international operations, and increasing challenges in the north. Since the Christian People's Party does not have its own representative in the Defence Committee, we have not been able to flag views directly in the vote, but I would like to thank you for the close and good cooperation we have had with the case rapporteur, and it is a pleasure that the opposition is largely united in the vote. We have been involved in negotiations on settlements, but have felt the unwillingness of the government parties to get an impact on change. The Christian People's Party called on the Government to follow up the recommendation of the Selection of Defence Policy on a broad political defence settlement as a basis for predictability. The answers we received from the Council of State have shown that she has not seen this need, or that the challenge of bringing together the three parties in the Government was too great and the compromise was too compromised. We never got in touch along the way, and it is paid today with a split adjustment. Government lots and opposition lots have different views on the structure to be adopted. We support many of the Government's amendments, but in some areas the Government goes further in rationalising than the Christian People's Party believes is advisable to ensure important elements of Defence. The Christian People's Party agrees with the Government that the geopolitical location and strategic resource interests of Norway make us face increasing challenges in our neighbourhoods. This dimension of our security policy situation separates us from many of our allies. Therefore, much of the government party's argument for ending the Olav protection is incomprehensible, not least when the location - the municipality of Tromsø - is used to defend closure, by having little or no impact on business or jobs. It's not business and jobs it's all about. The consequences of closure are not seen in relation to our need for NATO support or overall societal preparedness. Proclaiming increased strategic importance and presence in the northern regions and at the same time putting down Olavs protection as the base of maritime defence is very difficult to understand. The operational command structure of the defence is today constituted by the Joint Operational Headquarters of the Defence Department at Jåttå in Stavanger, with Landsdelskommando Nord-Norge at Reitan near Bodø. The Christian People's Party has noticed that the Government believes that there is a need to adjust this command structure, and the view of the party will be presented in a later article. But I just want to clarify for my own part of I will vote for the move of FOHK to Bodø, in line with my vote when FOHK was created on Jåttå, where I voted against. There should be bases for all defenses in both North Norway and South Norway. The army has its main base in North Norway in Inner Troms, which becomes a force center and a core area of the Army. The Christian People's Party is concerned that the Army must be strengthened in order to become relevant. In addition, we are occupied with it must be good employment for the employees. Both the Defence's own organisations, the Labour Inspectorate, the National Audit Office and the Defence Ombudsman have pointed to an excessive labour pressure for many of the employees, which the Christian People's Party believes is the best possible solution. The Christian People's Party shares the Government's view that air defence in the future should continue the breadth of its capabilities, but concentrated on fewer bases, assuming that equal trade unions are co-located where it is rational. I want to finish my post where I started: we are at an important crossroads, where the elections and decisions are crucial for the future of defence. I would remind the majority in the Chamber that it will only take a simple decision to rebuild the Defense, but it will take many years to rebuild it.
ParlaMint-NO_2008-06-19.ana.ud497e721	It's going to be line change.
ParlaMint-NO_2008-06-19.ana.ud497e724	The Christian People's Party has long talked about the importance of the North and everything the party will do to bet there. The presence of the defence is an important part of the Northern Territory operation. I think there's a broad consensus about that here in the house. When the Christian People's Party is flagging the northern regions so high, there is reason to ask why the party is going against moving joint operational management northwards to Bodø. This is a very concrete effort in the north, which also has professional military support. This was one of the main reasons why there was a breach in the negotiations that could have led to a settlement. Does the party not believe that the defence or anything else can be directed from the northern part of the country? What is the reason why the Christian People's Party is going against such a concrete move to the northern part of the country? Now I ask for the party's view and not the representative Sahl's view.
ParlaMint-NO_2008-06-19.ana.ud497e734	First of all, I find that there are different perceptions of why it became a breach. It's not like there was a break because of FOHK. We clearly stated that the Christian People's Party did not negotiate with an ultimatum. The reason for the breakup was that there was no movement whatsoever in the government parties to get a total arrangement for a settlement for which the Christian People's Party, in cooperation with the other opposition parties, could go in for. In the case of FOHK and moving, arguments may be used both for and against. It's about moving a headquarters that was created a few years ago. The Christian People's Party's view here will be explained in an article later today. Then, for my part, I would like to say that I am happy to belong to a party in which one is given the freedom to vote on the basis of one's own conviction, which the Workers' Party's representatives could not do in the previous round, when the headquarters was moved to Yåttå.
ParlaMint-NO_2008-06-19.ana.ud497e743	I see from a proposal from the Christian People's Party and the Left that the Christian People's Party will support a future strength structure as described in the proposition, with the exception of the number of Homeland Districts. I think it's good that they don't want to support a reduction in the number of Homeland Districts. But the number of Homeland soldiers has been reduced in several stages. For a few years ago, there were 83,000. Now it's down to 50,000. In the proposal as it appears that the Christian People's Party will support today, there is a reduction of 10 pst., that is to say 5,000 men. I don't think this rhymes particularly when you say that you don't want to reduce the number of Homeland Districts, but you want a reduction of 10 pst. - 5,000 men - in the number of soldiers. Then the question is, how does it relate?
ParlaMint-NO_2008-06-19.ana.ud497e750	The Christian People's Party is very concerned about taking care of the Home Office, and we are very concerned about what is being proposed about the removal of home security education, which is currently taking place on the Guards. We see it as far more important than trying -- as we did -- to compromise on 45,000 home-protection soldiers. We know that there is only a small part of the Home Security Force that is operating at all times. Our attempt to reach a compromise was that we put ourselves on 45,000 Home Guard soldiers, and we don't see it as the big problem in terms of the ability of Home Guard in the future. We see it as much more important that the Home Security now does not swallow up in the Army, that we take care of the Home Security's own identity, with the task of taking care of the local environment.
ParlaMint-NO_2008-06-19.ana.ud497e757	I understood that the representative Sahl did not entirely agree with his own party. But at the same time, I found that the party has chosen to give priority to Olav protection over headquarters. I'm sorry about that. We're concerned with Army operations. I note that the Christian People's Party, on the basis of its budget, is lower than what has been the government's budget so far. When the Christian People's Party wants more bases: will it not go beyond operationality when the budgetary framework is tighter?
ParlaMint-NO_2008-06-19.ana.ud497e764	The Christian People's Party has no problem admitting its past to the Defence. We have been concerned for some time that there was a need for a round where the defense went on its own to see where it was possible to rationalize. But we have come to the conclusion today that we are now at a minimum level. The Christian People's Party will follow up what we have said and be in the position to have a defence and a structure in the future where there is a link between structure and the crew we have, and the economy that will be in place. We believe that the Army should be strengthened, as should the government parties. It's just so sad that we didn't get concrete numbers on the table and an opportunity to negotiate about it.
ParlaMint-NO_2008-06-19.ana.ud497e769	The cord shift is over.
ParlaMint-NO_2008-06-19.ana.ud497e772	Let me begin by thanking the rapporteur for a very thorough presentation. He gave a good description of the situation around the attempt to get to a wider platform than we could. The majority now deals with the Long-term Plan of Defence, where the Center Party, the Workers' Party and SV have prioritised the defence of the people, presence throughout the country, and have a special focus on the north. I find it a pity that there was a breach in the negotiations on a defence policy settlement, when the Right, Christian People's Party and Left focused on increased structure, while, as government parties, we would rather focus on building up greater operationality by building up the Army further in the north. Let me say, however, that I am pleased that in many important remarks there is a unanimous committee that makes it clear why we need the Defense and that supports the main direction of the Proposition. In the change of line, the rapporteur pointed out that the Stortinget, this hall, determines the frame. We don't disagree with that, but with the priority of structure that the opposition had, they would, no matter what framework we had, have chosen to strengthen the structure at the expense of operationality. Norway’s geopolitical location and strategic resource interests mean that we face increasing challenges in our neighbourhoods. This dimension of our security policy situation separates us from many of our allies. For this reason, the Nordic regions are the main strategic focus of the Government. The most important role of defence is to help ensure Norwegian sovereignty and prevent and address the security challenges in our neighbourhoods, thereby contributing to the security, our interests and values and to regional stability. This also suggests that attention should be paid to national tasks such as sovereignty and crisis management through military presence. The challenges in our neighbourhoods are partly a function of the global challenges, and as such can only be solved in a broad multilateral framework. At the same time, Norway is facing challenges in the north, mainly nationally, related to ongoing resource management and unresolved jurisdictional issues. Potential conflicts of interest in the area of resources mean that we cannot rule out situations of security policy. The strategic importance of the northern regions both economically, environmentally and militarily, combined with the uncertainty associated with the development of Russia, suggests that this is an area of high priority, including in the field of security and defence policy. The challenges put together demand that the defence must be able to solve problems both at home and outside. The challenges in our neighbourhoods seem to be greater than previously assumed. Therefore, the design of the operational structure of the defence must focus heavily on national needs and tasks. In order for Norway to have a credible capacity to perform these tasks, sufficient capacity is required. At the same time, Norway's contribution to international crisis management through the UN and NATO remains of fundamental importance. The alliance must therefore also be reflected in the strength structure, with Norwegian forces being based as much as possible on NATO standards, in order to be able to operate closely with allies throughout the conflict spectrum. This requires strengths of adequate quality, response capability, endurance, strategic and tactical mobility, self-protection and training standards. It is suggested that the activities of the Defence Agency in each part of the country are concentrated to a slightly greater extent than today. This is necessary both to create robust environments of competence and to ensure greater predictability for employees and their families and for the Defence Host Communities, and is also in line with the recommendations of the Defence Policy Selection and Defence Study 2007. A higher concentration is materially justified for operational reasons. It will optimise the interaction between the different parts of the Defence and enhance the ability of joint operations, while reducing operating costs and increasing resources thereby contributing to operational activities. We choose in the proposal for a long-term defence plan to strengthen the Army, especially in the north, and to bring together the Air Force helicopter environment at Bardufoss. Maritime defence is also going to be strongly represented in the part of the country with one of the world's most modern fleets, among others. new frigates, new MTBs and a heavily modernised coastguard. In this respect, let me mention that we assume that the management of the training and training centre remains in Ramsund and is not moved from there. The important training of our allies will be concentrated to the north in the future. Similarly, to strengthen operational management, today’s two operational headquarters are merged into one, where management resources on the operational side are concentrated in a robust environment. The headquarters is located at Reitan near Bodø, thus helping to strengthen the military presence in the north. We notice that the Progress Party, the Right, the Christian People's Party and the Left seem to go in to retain parts of the management at Jåttå in Stavanger, and thus will not contribute to either a collection of the Defense Operational Management or a bet in the North. The defense depends on clear management and clear command lines. Decisions must be able to be taken and implemented at a high rate. The move from Jåttå to Retan will not have consequences for the continuation of the Joint Warfare Centre, JWC, as the command structure of NATO is now organised. Norway’s host country obligations towards the JWC will be fully met. Another thing we're taking is that the top leaders of the defense are located where they have most of the business. The inspector-general is moved to where the main activity actually takes place, such as: means the General Inspector of the Army is moving with his staff to Bardufoss. The centre party has achieved a strong commitment to the Heimevertet in relation to what was proposed in the 2007 Defence Study. We are pleased that HV will in the future consist of 45,000 soldiers and commanders, and that the commanding training for HV will take place at the garrison in Porsanger. At the same time, we are greatly increasing the number of yearbooks in the Army, which will have the greatest consequences in the North, and here we are pleased to have the other parties agreeing to say yes to the defence, and to say no to the defense chief's desire to transform the entire Army into reputable battalions. At the same time, through a painful process, we have accepted a greater concentration of the base and support structure, which will provide a better balance between economic framework conditions and defence tasks. This has made it possible at the same time to maintain an important capacity such as the MTB weapon, which can have an important strategic role in the future if the level of conflict in the north increases. It will clarify, together with new frigates and the decision to purchase new fighter aircraft, that Norway focuses on national sovereignty and presence.
ParlaMint-NO_2008-06-19.ana.ud497e798	It's going to be line change.
ParlaMint-NO_2008-06-19.ana.ud497e801	The centre party is engaged in district policy. The central party is also a member of a government which appears to be engaged in North-Area action. How, then, can the Center Party defend that Olavs protection is being laid down, a war station that is being used by our NATO allies, also to a great extent for training? How does this relate to district policy and north-eastern action?
ParlaMint-NO_2008-06-19.ana.ud497e806	Let me be honest enough and say that it was painful to propose the closure of the Olav Protection Force. We would have liked to have managed to keep that base. But I have clearly stressed in my post that operationality was priority no. 1st@item: inlistbox When we were to choose between the operationality and the bases we have at our disposal, we had to make some painful decisions where the operationality weighed most heavily, and that's the main reason for the conclusion we came to.
ParlaMint-NO_2008-06-19.ana.ud497e811	It seems that the representative Samuelsen is grossly exaggerating what the so-called structural measures should lead to. So the government's proposal is 275 million. kr increasing to 375 m. kr, or less than one quarter of what is proposed in the field of investment. And in the case of Olavsverm, we're talking about an amount somewhere between 17 million. SEK 32 million. kr, and it's all right when Samuelsen becomes a question of «operation», as he says. The reality of the difference between the Government's and our Northern Territory bet is that, on our side, we are betting on operations, sailing days, flight hours and exercises, and on Olavsværr, while the Government is betting on the removal of the Inspector General and the transfer of some more activity to Retan. We'll bet on combat force. The government is betting on office workplaces. That is the reality.
ParlaMint-NO_2008-06-19.ana.ud497e819	I cannot entirely agree with the description, but I find that the Right as opposition party has reached some other conclusions than they did when they were in position. Once again, I'm going to be honest to say that I would like to think that we had the opportunity to get a higher frame, but we couldn't. Within the framework we have at our disposal, we have prioritised operationality, and I think that was a proper priority.
ParlaMint-NO_2008-06-19.ana.ud497e826	I have great respect for the priority of the Centre Party and the Samuelsen representative. How, then, will the representative explain the closure of the Home Protection Education Centre on the Guards? There is, of course, a place in Norway - well - but it is part of the basic operational capacity of Home Security. This is the place you will be trained after the conversion in 2001 so that you can be functional within the task of Home Security. The parliamentary leader of the Central Party, Lars Peder Breck, has, in Trønder-Avisa on 1 March, almost given a blank guarantee that when it is on the Central Party and settlement within the Government, it will have to be saved. But my central question is: Decommissioning the educational center of the Guards -- is it making the Home Guard operational, or is it making it something completely different? How can the Center Party eliminate such a heavy element by ensuring that the Home Protection system becomes operational in a good way both at the very pointed end and in all other ways in our defense?
ParlaMint-NO_2008-06-19.ana.ud497e833	What our parliamentary leader has said to the newspaper, the representative of Dørum gets to bring him up to speed. With regard to the operational aspects, we have to remember that in the Defence Study there was a reduction in Home Security, down to 30,000 men, and also a cut in the Protection Forces. We were able to get it up to 45,000 men. It's no secret that the Center Party was early out there and signaled that they wanted to keep both the Guards and 50,000 men, but in the compromise that exists, we didn't get there. This continues to be the case with operational means that are decisive.
ParlaMint-NO_2008-06-19.ana.ud497e840	The cord shift is over.
ParlaMint-NO_2008-06-19.ana.ud497e843	I want to throw some other perspectives into this debate. Left – and I – it is very good that in Norway it is now in fact a recognition that the defence must get more money. It's interesting that a government with SV is able to promise 800 million. kr more to the Defence. But I also believe that SV was the last to prevent a broader compromise. That's interesting. It is quite important that this debate be conducted in Norway when you see how to kiss in our neighbouring country Sweden. As a member of the Parliamentary Assembly of the Western Union, it is my impression that the more command stations you set up, and the more penthouses you have, the less defence budgets become in many places. What is now happening in Norway is in any case positive. The left sees it that when it is like this for Norway, it is because Norway is a rich country towards the north. We are totally dependent on our security commitments in NATO through the job we've been willing to take on in Afghanistan. And we're starting to get very clear about the challenges in the north. It is still the speech of the Chief of Defense in Oslo Military Society last year, where he among other things. addressed a previous report from the Swedish Defence Research Institute on potential threat scenarios in the north, which should not be speculated about. But at least you're prepared to keep what you need to have in defence policy, as well as everything else like a country that Norway has to do. I therefore think it is worthy that both the Chief of Defense's study and the Committee of Defence Policy have eaten the debate so much that all political parties have to make a choice. Do we now use less - and do we go the path of confusion that it leads to - or are we willing to bet more? The left has been involved in turning this course - we are willing to bet more. I also think it is quite worthwhile at this time that we can read a chronicle of three Nordic Defence Heads - ours, the Swedish and the Finnish - on which areas you can cooperate. It is improperly positive, and I think these perspectives must be included. So I'll go into what's been the main challenge of the Left. Firstly, we would also like to thank the rapporteur. We thank you for a real tone when we tried to find something in common. This applies to everyone who was in the conversations, and those who were involved in the conversations - I would like to underline that. But now that we're going into this, I'm going to say that the big concern was, where in the world is the balance point in terms of the relationship between money use and structure in the defence? From the first day I entered this house, in 1977 - with a long stay after that - until today the defence budgets have been among the most numerically budgets we get to the Stortinget. It's almost been an investigative task trying to get the numbers and how they're defended. I'm absolutely sure this is inside the head of the defense chief and in the head of those who work under him, and I think this a good piece on the way is in the Department of Defense. What the representative Petersen and the majority write about in the committee position is that Stortingen wants to be more involved. The size doesn't want it to be that you give money - because then, in the next round, discover that pilots don't have a licence, that you don't get to train them, that you don't get to sail where you're going. We want to know where the military operating bottom line exists, not just the economic one. We in the left think it is positive that the defense acquires accounting systems that count the flow of the crown in the defense, so that you keep it in order. But we would have liked to see - and we will have that later, in the case of the Defence Logistics Organisation - that the defense was also able to measure well. We learned a few years ago that in Norwegian school they were unable to measure. People couldn't count, people couldn't read-- they had to have a knowledge promise. And I'm going to go into how in the defense you set real goals and have real order functions, so you see what you get back. Then it's also necessary to say -- because there's sometimes a culture in Defense because there's someone sitting there waiting for happiness to occur at the next rematch -- that it's not that happiness occurs at the next rematch. I want to give the defense director the credit from here that when he points to a debate - which he has done in the Defence Study - we have to make some choices. The Chief of Defense and I can have opinions that we don't share, but that's not the point. You have to eat it so much that you get it on the table. And I now expect the Defence Logistics Organisation to pass the test that we want Norwegian school students to pass when it comes to measuring results in a meaningful way. It is not that if you just hand out a check to a base somewhere, you could say that it is a customer relationship or an order relationship. What do you measure? How do you take advantage of the overall competence of the defence in terms of people, investment and equipment? It is a very important debate, and that is the debate we have not had. We'll get it. Therefore, the Left joins in the considerations put forward by the majority. When the budget is presented for the autumn, we want to know what we get operationally. And we're being tested. We see that every day. When we're in operations and doing good jobs -- as far as I can see -- in Afghanistan, we're being tested. We're being tested in all sorts of ways. The representative Petersen really wants the Storting to be more involved in many of the painful choices that until now have been pushed into behind the closed doors of the Ministry of Defence and in the top management of the Defence Department. We want to know what is what, and we want to know what we get in this area, as in every other area. So to the matter today. How does Left resonate? First of all, we have learned that in terms of the money to be taken away to find the balance, the main emphasis is on cutting investment and making it more efficient. The base structure is a small part of it. It's not irrelevant, because I understand psychology. But then no one has to come and say that the base structure is what blows up the management of the heads of defense. It is the ability to improve efficiency, and it is the choice of investment. I experience, for example: The defense chief's posts in the Evening Post -- which he had with the two Nordic colleagues -- as an attempt to find some answers to it. I think it's positive. But then to Left's reasoning: when we want to keep Yåttå, it's because we're very busy keeping NATO in Norway -- not NATO out of Norway. We don't think we can think in cold war terminology, but we have to take care of those areas where we're perceived to be all right. Joint Warfare Center is here. This means that NATO has a commitment in Norway. It also applies to AWACS operations in the ORLAND. It's even suggested to shut down the main flight station in Ørland and move it to the center of Bodø, without anyone doing the maths. The government has slowed down. But to chase away an AWACS operation, not to be sensitive to what a political-psychological landscape is for -- that someone is there -- not to take over that we have just renewed a pre-storage base with an American marine amphibian brigade, which is located in Trondelag, must count. We need the friends we're going to have. We need the operative we can have. And then, of course, we have to do what we're going to do ourselves. Then I come to the left's three other perspectives. First of all, we find it completely pointless to put the training center on Guards, not because you're going to be sentimental because the Guards are in Trondelag, but because it's a place where you teach people that Home Security is what it's supposed to be, and not just what it's going to be when you've been through everything else. The fear of the left is real. We fear that with 45,000 on the paper of completed training, we will, after a few years, be given de facto a home protection of 30,000-35,000. We don't get people recruited from the smallest municipalities. We get people exclusively from the biggest cities. Homeland is losing its nationwide character. And what happens then is that we lose part of the anchoring that makes the Norwegian people willing to pay dearly for what they don't immediately see, whether it's ships or planes. Defence also rests on the ability of the people to be involved and see things around them. It is, in my view, an incredibly short-term measure, just as the closure of Yåttå is. With regard to the proposal to shut down the Homeland Districts in Agder, we can't see the big logic in it. Nor can we see the logic of putting down an excellent base on the Olavs protection. We're looking at it as part of our entire northern basin. In our budget we follow the Right and the Advance Party, which is again close up to the Right, far, but we have to be honest. We don't have enough money to phase in a fourth battalion under the Army in the coming long-term planning period, but we want to do that, and we want a escalation plan for this. That is why I am now addressing a proposal that is distributed in the seats of the representatives here in the Chamber, which I am promoting on behalf of the Christian People's Party and the Left. The proposal reads as follows: ‘The size is linked to the future strength structure of the defence as described in the Proposition Table 6.6, with the exception of the number of HV districts. The Ministry of Defence is authorised to initiate the amendments. It's a goal to build a fourth battalion under the Army. The government is asked to return to a escalating plan for this.» When we do that, it's because after some of the visits I've been on, I know how small the army is. I'd like to know that, for example. Telemark battalion is fully set up with all its strength capacity and not only partially. I know -- without going into numbers here -- that it will mean a practical difference, and I understand how far our army is under pressure. We get it measured daily in Afghanistan. So is it that what we see in Afghanistan now has been a debate on in a number of other European countries in the past. One can read about it in the United Kingdom and anywhere else. They are tested in practice in areas where there is no longer a theory, but that is how things appear in practice, which is absolutely crucial. I would like to say that I am proud to have met people who have been to Afghanistan, both officers and soldiers. There are well-motivated people who know what they're doing. They're doing a reasonable job. I would like to say once again that the Norwegian officers, with the head of defense in charge, should have commended for having formulated very clearly that it is also necessary to have meaningful civil missions when acting in such a country. One of the things that has made a strong impression on me is how the responsible officer is deeply concerned about a chaotic civil organization in that country. We have had a big debate on the military section in Stortinget. With these words, I've given a reason for the Left's position. I have also taken up the proposal that I have made on behalf of the Christian People's Party and the Left here today.
ParlaMint-NO_2008-06-19.ana.ud497e901	The representative Odd Einar Dørum has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2008-06-19.ana.ud497e906	First, I would like to address the suggestions made by the Workers' Party and SV in the setting. I'm glad Dørum said what he said about the defense. This ain't no Tomb for the Defense. This is actually a long-term plan that now reverses a negative trend for the Defense, giving the Defense a new direction forward. That we're different from our neighboring country, I'm happy. Today, the Left has made a proposal on the Army that is significantly weaker than the right-wing proposal, and, as the representative now also says, this should not be phased in until the next long-term. It gives a little bit more credibility to the left, because the left is actually the party that has given at least to the Defense for the last three years. They have cut about half a billion dollars both in 2007 and 2008. What I want to ask the representative is: does the proposal mean that it will not be phased in until the next long-term?
ParlaMint-NO_2008-06-19.ana.ud497e917	The representative Signe Eye has taken up the suggestions she referred to.
ParlaMint-NO_2008-06-19.ana.ud497e920	Let me first start by saying that when the left has to have chord negotiations with itself, we let go of chord negotiations with SV. We can then, of course, promote this proposal, as opposed to Mr Øye and the Labour Party here today. The representative Eye should be happy that we dare to live out parts of the Workers' Party's lay by proposing a strengthened army. It is quite right that we want to spend a little longer than a long period of time, but we are serious about the proposal. And we travel it because we're concerned about the Army, and because it's an intrusive reality when you live in a country like Norway. So we know people who are in Afghanistan and elsewhere, and what they tell in an honest and sober way, makes an impression. That is why the proposal has been put forward.
ParlaMint-NO_2008-06-19.ana.ud497e927	The representative of Dørum has submitted a proposal to support the future strength structure of the defence, with the exception of the number of HV districts. He also said a little about the number of Homeland soldiers. In the future, there will be a 10 pst reduction. in the number of paramedics, from 50,000 to 45,000. It's not that long since we reduced the number from 83,000 to 50,000, so I don't think this rhymes completely. I thought the Left was very concerned about Homeland, which I'm sure they are. The reduction in the number of so many men is a quite significant and significant decrease.
ParlaMint-NO_2008-06-19.ana.ud497e932	The left and this representative have basically been on the day of the judgment when we were to greet a Norwegian Minister of Finance. Then you have to have good cards on your hand. So in chord negotiations with ourselves, we've been willing to cut Home Protection by 10 pst. What is absolutely crucial in our opinion, and which unfortunately is voted down here today, is to keep training on Guards. It's an attempt to give us the Home Security adopted in 2001, with the forces of effort we have, and with the follow-up units. I am very afraid that this decision will do two short-term things: weaken the national anchoring of the Home Office. I'm very afraid that what you're going to get is coal that's being recruited from the biggest cities, so that you lose some of the more piggy areas where Homeland means something very concrete, even when it comes to defense anchoring. Then, of course, we're very afraid that this is the beginning at the end of a anchoring of the defense of the people, which is often trivialized. I've never understood officers who don't realize that you should have a anchoring in the people to get enough money to pay for ships and planes, because it's quite expensive. That's the Left's point of view.
ParlaMint-NO_2008-06-19.ana.ud497e940	I want to go back to surgery. I'm trying to compare the figures in the budget to the left of the defence. I find that it is approx. 200 million. the difference in kr. I have reservations that the figures in the government have proposed for the current year in the long term, and the left hand's figures, are correct. Back to this with operationality. It's possible that structure, as we've been talking about, doesn't make up the big numbers in this, but when we're pressed on the frame, each of the heads we can save on structure to strengthen the operation, will be important. Does the Left agree with such a representation?
ParlaMint-NO_2008-06-19.ana.ud497e947	The left is primarily concerned that if we are unable to deliver what the FLO will deliver, approx. 600-700 million. kr a year, we're going to have a pretty intense round dance every year in terms of parts of the structure. So we're busy. That's what's important. We believe that the changes that we have made, and which we have also proposed funded in our willingness to clean up in terms of structure, are good measures - from the NATO connection on Jåttå to the Olavsværn in the north. But the most important and most expensive of our actions is the Training Centre on Guards. And why are we proposing that? Well, it's making Homeland operational. It's keeping operational home protection, as we've adopted it. And I just have to say, with the greeting of the Central Party - and now I'd like to forget the parliamentary leader - and to the representative Samuelsen, that I don't think it's any particular good day when the Central Party is involved in the liquidation of operational capacity in today's Home Office by agreeing to vote to drop the Center at the Guards. It is probably a burden and suffering that the representative Samuelsen has to bear with him - I regret that he has to carry it with him - and I hope that this can lead to a rematch later on.
ParlaMint-NO_2008-06-19.ana.ud497e952	So the chord change is over.
