ParlaMint-NO_2008-05-07.ana.ud368e22	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2008-05-07.ana.ud368e460	Torbjørn Hansen - for follow-up questions. The President will ask everyone to follow the clock. When the lamp goes out, close your mouth.
ParlaMint-NO_2008-05-07.ana.ud368e465	I think it becomes more absurd when a Minister of Industry from the Workers' Party is using the country's best paid business lawyers with a fee per. a day which is roughly in line with the annual salary of an industrial worker, in order to deal with a matter of high top management wages. I think that's quite absurd. Had this matter been handled in a tidy manner by the Government, the need for business lawyers had been considerably less for the Council of State. My question is about the general policy of the Ministry of Industry on the use of external consultants, and it goes against the Aker Holding case in this case. What is the reason why the Minister of Industry hires consultants with an annual salary to handle this matter, when he does not use a crown to make a financial quality assurance of a purchase in Aker Holding of NOK 5 billion from the smoking system?
ParlaMint-NO_2008-05-07.ana.ud368e472	It is therefore wrong that we have gone crazy in consulting. There are fixed salaries for what a lawyer should have paid, and when many of them work around the clock for a few days, there will be many hours. It's a function of that. I would also like to remind you that last summer the representative of Hansen's party leader, when this matter was up to date, actually went out and demanded that I make sure that we had a thorough review. But now I'm being criticized for providing the thorough review. In addition, this case has been reviewed in cross-sectional terms, once in a while, including: in consultation within the committee, and the claim that it was poorly handled, is thoroughly driven back, although I know that many will continue to claim it anyway. Well, we used external consultants in relation to the Aker Holding case. These included: the consultants who said that when Aker Holding's value was assessed by seven, eight reputable companies in Norway in relation to the information that is the same to which we could obtain: [[The President cut off]]
ParlaMint-NO_2008-05-07.ana.ud368e483	Ingredient S. Sørfonn - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e486	This situation seems to be merging into something that might be a pattern. For the government has a lot more problems, and one of them is an increasing distance between life and learning: the government is against options and bold final packages, but they practice such schemes themselves. They are strict in the requirements for cleanness in supply and procurement, but break the laws and regulations themselves in this area. They're too open and public, but they're practicing the opposite. And even if this isn't a violation of the laws that apply today, it will at least be a violation of the laws that are passed and that will enter into force in the fall. My question is simply: does the Council of State see that it is particularly bad pedagogic to make clear and strict demands on others without even living up to these great ideals?
ParlaMint-NO_2008-05-07.ana.ud368e493	On the basis of how the representative has obviously perceived things, perhaps pedagogicism must have been a bad thing. It is a mistake that the state is running options, as the representative said. On the contrary, we have ensured that there has been a stop in the conclusion of new option agreements. We are, in the name of propriety, in the same way that the previous government was, concerned that the rules governing acquisition, of course, should be followed. In the department for which I am responsible, as I said, the use of money for the kind of consulting services has actually fallen. We have had a thorough review of 34 agreements, of which there was one agreement in which there should have been protocol, but where it was not. That proves what the representative said that it is a major trend. There are a few exceptions to what is the general rule. Our office is extremely tidy when it comes to ensuring that the papers are in order, because we know that [[The President cut off]]
ParlaMint-NO_2008-05-07.ana.ud368e500	Let's go to the next main question.
ParlaMint-NO_2008-05-07.ana.ud368e503	My question goes to one of the state councils which has the weakest framework conditions in relation to the 2005 commitments. I see it moving a little bit in the foot of all three, but it is the minister of research and higher education who gets the credit this time. Since SV took up the offices of the Ministry of Knowledge, the criticism of the Government’s education policy has been raised from the whole school system and higher education. There's been a lot of cutbacks in higher education. This has led to a major cut in the supply of students, and the follow-up plan for higher education staff has disappeared. In the Progress Party, we have probably believed that it is SVs that initially very weak school and education policies have led to the commitment to higher education from this government being generally down-priority. In the last edition of the magazine Education, we actually get our confirmation. There, the former Minister of Knowledge says a part about SV’s education policy. This he says on questions about what was his greatest challenge as Minister of Knowledge: ‘SV lacked a comprehensive education policy. As a member of the government, it doesn't seem like a party just to be against Kristin Clemet and what she did. Much of the responsibility lies with the former committee leader. He devalued systematic knowledge. We simply took over an educational policy that was lightly thoughtful and easy to attack. The two unsuccessful election campaigns of the party leadership in school must also take some of the blame. Both the election campaign in 2001 and 2003 revealed a serious failure in our education policy.’ In what way does the Government’s numerous betrayals of higher education reflect the political history of former State Council Djupedal on SV’s easy-to-use and easily accessible education policy?
ParlaMint-NO_2008-05-07.ana.ud368e519	In the same interview, former State Council Djupedal said that he was involved in concrete and policy-making. My work as State Council for Higher Education and Research is now concentrated on obtaining both a good basis for a good higher education policy and a good basis for a good research policy. I have spent half the year sitting in the Council of State to obtain information about the learning situation around the higher education institutions, universities and colleges, get me information about how the research can be carried out. I'm fully aware that there is a need for resources. I am constantly working on that matter. But I also want to point out that, after all, there is a lot of positive stuff going very well in our higher education institutions. We train people to a high level of competence. We conduct research at international level. I am quite proud to see the results that come from our educational institutions in quite a number of areas where we need to be at the forefront in terms of education and research, for example. on global challenges and key health and welfare research. Norway is well ahead thanks to good and high-quality researchers, professors and students. But it's clear that this is a way to go. Together with the rest of the Government, it is my work now to get this done in an even better way in the future. The starting point of SV is clear and clear. That is what we are constantly in the process of chiseling out to a good basis for a future education policy.
ParlaMint-NO_2008-05-07.ana.ud368e529	It was a little difficult to track the answer to the question, but I note that the Council of State at least agrees with the former Council of State Djupedal in the history description. It's worth noting. It is true that this government has cut large in higher education. It introduced the so-called rest cutting and took away 300 million. kr from higher education. I hear the Council of State is now saying that there is a need to allocate resources to the sector. That's what former State Council Djupedal meant. He has a thrilling story about this cut in the same interview. I want to quote from it too: "But I fought hard against the cut of about 250 million to higher education and warned very strongly Kristin Halvorsen that we were going to get criticism and lose tens of thousands of votes in higher education." I would like to hear what makes the Council of Aasland believe that her voice will be heard in the Government, when her predecessor's voice did not.
ParlaMint-NO_2008-05-07.ana.ud368e541	I came in as a state council after the framework had been laid for the state budget for 2008, which we are now in the middle of. In this way, I have not been able to influence the basis on which this state budget is built. In the six months that I have now been the Council of State, as I said, I have spent time and effort to get the necessary reasoning and information in relation to the future picture we have to draw, and the job we have to do in relation to higher education and research. It is my clear ambition that we need a good basis to follow up on this in the future. As I said in my previous answer, we have a good starting point. I would also like to remind you that there has not been a complete lack of investment from the Government this year. Among other things, we have provided money for 350 scholarships, which is quite significant for these educational institutions. So we're on the right track.
ParlaMint-NO_2008-05-07.ana.ud368e550	There will be follow-up questions - first Gunnar Gundersen.
ParlaMint-NO_2008-05-07.ana.ud368e553	In the case of scholarship positions, there is no provision for basic funding so that institutions can afford to receive these scholarship holders. There are quite interesting quotes from former State Council Djupedal: ‘SV lacked a comprehensive education policy’ and that it does not hold ‘for a party just to be against Kristin Klemet’. The Council of State said that they had now made this concrete to what the Government is for. In that case, it appears that the basic appropriations for higher education are too cut. It is in order to reduce the freedom of action of research through the disposal of research funds from the Research Fund in addition to what the Research Council recommends. And they've tightened up the TaxFUNN system. It's a shame to say that, but we've gone from clear and clear and offensive policies in the last period to seeing very clearly what you're against, but not what you're for.
ParlaMint-NO_2008-05-07.ana.ud368e562	There are two dimensions in a discussion about what a good education and research policy is. One is about resources, and the other is about content. The content of the bets to be made is very important to clarify. I believe that both the Government and the Swedish Government have a clear relationship with the starting point of our knowledge policy, which is about a lot that is far too extensive to take up a question time like this. But, of course, we have a clear starting point both in the programme and in the Soria Moria declaration. Then comes the challenges posed by the resource situation, which will always be an important task to work with in relation to the budgets. I am in the process of making an effort in relation to this, and can assure the representative that I am doing absolutely my best to get a good resource situation in place as well.
ParlaMint-NO_2008-05-07.ana.ud368e569	Hans Olav Syversen - to follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e572	It's really strong the former minister of knowledge serves on his own party's policy and on the government's lack of commitment to higher education. Djupedal says he warned SV leaders and Finance Minister Halvorsen against introducing the so-called rest cutting, with a cut of 250 million. kr in the appropriations for higher education. I quote what he has further said: ‘I also gave a slide lecture to the government with a presentation of some of the about 1000 critical articles and articles in the media. The presentation made enough impressions, but it had no practical consequences.» The Christian People's Party and more with us have warned of the serious consequences that the cut may have, and I therefore ask whether the Council of State shares this concern. And when a real educational tool such as slide screening does not work for the Government, what means will this Council of State use to convince its own party and the Government to bet?
ParlaMint-NO_2008-05-07.ana.ud368e582	I will not comment on the instruments for possible influence of the Government. I can only assure the representative that in the months I have now been the Council of State, I have worked very hard to get that overview and build confidence in the sector, so we have a solid and good platform to build on our knowledge policy. I have to repeat what I have responded to other representatives here, that I believe and know that there is a lot of good work going on around. I also know that there are some challenges that, among other things. the above-mentioned cut has led to, but I would also like to make it clear that these scholarship positions - of course, there is a dispute as to how well funded they are - were in any case a good allocation from accumulation and government to educational institutions, and have, of course, helped to ensure that universities and colleges have been able to do their job, namely to carry out good education and quality research.
ParlaMint-NO_2008-05-07.ana.ud368e589	Odd Einar Doorroom - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e592	I'm not going to deal with research in general, or the current government policy in that area, because we can discuss that on Friday, but in this interview with former government council Djupedal he also says something that needs to be understood as follows: that he has made sure that his successor has come to the covered table. Then I have to ask the Council of State: does the Council of State think it is covered when last year we had a decline in the general teacher training search of 16-17 p.m., and this year we have had a decrease in all teacher training, both five-year-olds, professionals and general teachers, so that if we are to rely on the newspaper Our Country, we have had a halve since 1996? Is this coming to the covered table, when we know at the same time that we will be missing teachers in a few years because many are approaching the age limit, when we know that the government parties have voted down all the proposals in the Stortingen to recruit? Does the Council feel that she came to the table when recruiting teachers for the Norwegian school?
ParlaMint-NO_2008-05-07.ana.ud368e599	I am very aware that we have some challenges in both recruiting teachers and other important professional groups. I am fully aware that we have also received good input from the opposition, not least from the Left, in relation to this, and we will discuss some of this in a debate later this week. The challenges have been there all along, and what has been done in the past has laid a foundation for what we are doing now. There has been no lack of action, and what we are concerned about in this government and for my part in the field of higher education right now is to get as good a holistic approach as possible, not just a piece by piece and divided, but a holistic approach to the different educations. As far as teacher training is concerned, it is also about recruiting - a very important aspect of it all - that we aim to get not only enough teachers, but well-qualified teachers. We'll come back to that in later discussions, but what's been the most important thing for me is to see the overall grip in this.
ParlaMint-NO_2008-05-07.ana.ud368e607	Let's go to the last main question - Jan Petersen.
ParlaMint-NO_2008-05-07.ana.ud368e610	My question goes to the Minister of Defence. A few weeks ago, the head of defense gave an interview to the Norwegian Telegram Bureau where, among other things, is concerned with the immediate development of the budget: ‘We must cut in drills, training, fuel and ammunition consumption, flight hours, sailing hours and training days in the army.’ And he says, among other things, on the effect thereof: ‘One of the main challenges of cutting off the training offer to, for example, pilots is that they will lose the licence in the case of too few flight hours.’ This is a very dramatic message, which obviously goes beyond the operational capability of the defense, but also beyond motivation and recruitment, because it is obvious that pilots without certificates will hardly thrive in the defense. This is not something that can be solved by creating a balance of defence in the short term. This is a problem that needs to be addressed now in order to solve it in the short term. My question to the Minister of Defence is: What action will she take in the short term, so that this very dramatic situation does not arise?
ParlaMint-NO_2008-05-07.ana.ud368e629	All Ministries and all governments must govern according to the budgets they have. It's not that we have less resources available, but we have a high level of activity in Defense, we have a large foreign exposure, which, of course, wears on the entire organisation. As far as our pilots are concerned, they're not close to losing a licence for resource reasons. In the current year, we have not completed Cold Response. There's several reasons for that. There are both resource reasons and this about introducing a new financial management system, which very much seized the same people in the organisation. We're in a situation now that I think many are. We're looking at it in terms of expansion, we're looking at material acquisitions -- things are getting more expensive, and we have to constantly adapt our activity to it. In the case of operation in general, I would not say that it is down to some irresponsible level, so that there is reason to call for warning. But if we don't manage to achieve a long-term plan that is also able to balance resource use, so that we have a real relationship between the activity we put up, the resources we have, and the economy we invest, then we'll get into a very, very difficult situation.
ParlaMint-NO_2008-05-07.ana.ud368e638	What I got from this answer was that the Council of State has not intended to do anything about this, and does not see any drama in the situation. Then I'd like to repeat what the head of defense really says. What he says is that we have to cut in exercises, training, fuel and ammunition consumption, flight hours, sailing hours and training days in the Army. All of this is about the operational capability of the defence. Does the Minister of Defense really mean that you can live with a defense that can be described in the way that the head of defence here makes it clear?
ParlaMint-NO_2008-05-07.ana.ud368e645	I would like to remind you that the defence this year uses approx. 31 billion kroner for their business. Very much of that business is, of course, operational and also practice and training. I've seen an overview of today's practice activities, which covers all defenses, no later than today. In the short term, if you are going to make changes to a budget, you have to take it on board - all of them - from the budget you have. I don't want to say that we're down to an irresponsible level, but this is a concern in the long term if we don't get a long-term plan that has a balance between activity, the number of personnel we have in the defense, and the economic resources made available.
ParlaMint-NO_2008-05-07.ana.ud368e652	There'll be follow-up questions -- first Per Ove Wideth.
ParlaMint-NO_2008-05-07.ana.ud368e655	That the defense is in deficit, there is no doubt about it. It does not help to spend a lot of money when it is obviously not enough. In an article in the Evening Post of April 24, this year, we read that the defense is in arrears, among other things. in the case of training of soldiers for foreign missions and the purchase of equipment to improve the capacity of the forces in Afghanistan to face a more serious threat picture. According to the same article, the inspector-general has announced that there will be far fewer Norwegian soldiers in foreign missions in 2009. Can we again see that the accounts for 2008 will be of the same nature as we have seen in previous years, which actually resulted in the General Inspector of the Army leaving? And is it true that there are already restrictions on the budget for 2008, so that we cannot meet what we were going to do in Afghanistan in terms of now putting in effort forces at approximately. 30 men, who can't be decommissioned because there's no money?
ParlaMint-NO_2008-05-07.ana.ud368e662	These were many questions to answer in a short time. I would like to say that as long as I have been the Council of State, there has been budgetary control in Defence, and we have been busy managing the business. It's a big business, it's been a lot of activity, and you have to manage the budgets and the resources you have. But it hasn't gone beyond the activity. We have had an activity that has been sound in relation to the tasks we have had. Special attention is paid to preparation for international operations. With regard to the general inspector of the Army's statements on the load in the Army, there are some groups in the Army who have been heavily burdened. I also want to remind you that we currently have almost 700 soldiers in Afghanistan, very many from other sectors of defence as well. We have special forces in Afghanistan, we have a large helicopter contribution, we have personnel from the FLO and also from the Homeland Protection Agency. So there are many who contribute in Afghanistan.
ParlaMint-NO_2008-05-07.ana.ud368e673	Erna Solberg - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e676	I hear a defense minister talking a lot. But the description given by Chief of Defense Dien is not about anything that lies ahead, or the long-term consequences. It's next year's budget, based on what the government has outlined in the long-term defence program. That's where he says you have to cut in the operational areas. That's where he says it's getting smaller for practice and training, fuel consumption and ammunition. That's where he expresses concern about whether the pilots retain their aircraft licenses to fly to training hours. And it's read out from the priorities that the Minister of Defense and the Government have done in what is now being put before the Great Government for consideration. Then my question is: is the Minister of Defense comfortable with the fact that the lack of priority and the lack of willingness to increase the appropriations that the Government stands for is going to have this kind of response, which is going to make our soldiers less equipped to perform difficult tasks in the future?
ParlaMint-NO_2008-05-07.ana.ud368e683	Our soldiers shall not be, and will not be, less rusted for the tasks they have and shall have in the future. It's our first task to make sure that the soldiers we send out are well-trained, well-equipped for this. If Solberg's representative had read the long-term plan that is now under consideration in Stortinget, she would have seen the defense chief's comment behind that long-term plan. It actually applies from 2009. It says that if you get to the long-term plan like it's supposed to, it'll be a match, and we'll get a good defense. But here's the whole concern that one should not be able to get the big, wide decision in the Stortingen that brings together resources and the means at its disposal.
ParlaMint-NO_2008-05-07.ana.ud368e689	So the oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2008-05-07.ana.ud368e694	The President will inform the representatives that there are currently no changes to the questionnaire, and the Government deserves to be commended.
ParlaMint-NO_2008-05-07.ana.ud368e700	My question to the Minister of Finance is this: ‘The Norwegian economy is low. When interest was raised on April 23 for the fourteenth time during this government, the central bank manager Jan F. Qvigstad said that an important element in the normalisation of the Norwegian economy is a normalization of the savings rate. Economic experts support the Bank of Norway in this view. Do the Council of State agree with the Bank of Norway in view of the fact that too low savings keep interest rates higher than they could be, and what instruments does the Council of State intend to use to change that situation?’
ParlaMint-NO_2008-05-07.ana.ud368e714	Norway’s saving is high in an international perspective. In the period 2000-2007 the savings were around 35 pst. GDP. Among OECD countries, only Switzerland and Korea save almost as much of their GDP as Norway. However, household savings have fallen in recent years and are now at the lowest level since the mid-1980s. The decline in household savings must include, inter alia: is seen in the context of the fact that interest rates have been very low over several years. There is reason to believe that normalising the level of interest rates will also contribute to saving. Current statistics suggest that the strong growth in consumption over the last few years is at a loss. The Ministry of Finance estimates an increase in household savings from 2007 to 2008. The Ministry of Finance will provide new estimates for the development of the Norwegian economy in the revised national budget, presented on 15 May. In the 2007 economic perspective, the Central Statistical Agency estimates an increase in household savings of 4 percentage points from 2007 to 2010. For households with a debt, higher interest rates clearly move towards higher savings. On the other hand, both economic theory and past experience may suggest that tax incentives for certain savings products primarily affect the composition of savings and not overall savings. A reason is, among other things, such schemes are used in particular by persons with relatively high income or wealth. Therefore, as a tool for increasing pension savings, such schemes are ineffective. Such schemes also have poor distribution effects, such as: the experience with IPA shows. For example, a more effective way to increase pension savings is to: introduction of compulsory occupational retirement provision. The distribution effects of such schemes are also much better.
ParlaMint-NO_2008-05-07.ana.ud368e723	I thank you for your answer. I perceive the answer so that the Minister of Finance - not surprisingly - believes that tax incentives only distort savings and do not increase savings. But then I'm also a little surprised that the finance minister now seems to rely largely on us getting a higher interest rate, we also get a higher savings. I hope that you do not want interest to be as high as possible, because it is not only people who save, who depend on interest, but also those who have to pay interest on their obligations. I then realize that the Minister of Finance has nothing to do with tax incentives, and that is nothing new. But does the Minister of Finance think that it is good to increase the tax on savings, and that it is a decent tool if we think saving is too low?
ParlaMint-NO_2008-05-07.ana.ud368e730	There can be no surprise to the representative Fleet that an abnormally low level of interest rates, far below what is a normal level of interest rates, can also have an impact on savings. That's not exactly a stimulus for people to save. This means that a more normal level of interest may also have the effect of saving. But, of course, it is an important challenge for our government to be able to maintain both a historically high level of employment and a historically low level of unemployment while not increasing interest rates beyond what Norway’s Bank has now presented in its interest path. With regard to the overall composition of fiscal policies, it is important to ensure the fairest possible distribution.
ParlaMint-NO_2008-05-07.ana.ud368e737	Now this government and the finance minister have increased taxes on very many types of saving - on ownership in Norwegian business by increasing the tax on shares, on saving in IPA, on saving in housing by increasing the value of the equation, and also other types of saving. Overall, I am a little surprised that you think it is beneficial for saving. I understand that you don't want to stimulate taxes, but I have trouble understanding that you want to increase the tax on savings. Can the Minister of Finance say anything if you want to go further on this increase in tax on savings? Do you think the results are so good that you want to keep going that way?
ParlaMint-NO_2008-05-07.ana.ud368e742	As far as the taxes on wealth are concerned, the overall effect of what the Government has done -- that's quite right, as the representative Fleet says -- is an increase in the tax on equity. It has a very clear distribution effect, because we know that equity is distributed incorrectly. But that money has been used to increase the deductions, and this has led many ordinary people with very small assets to increase the incentive for saving. So I think that the representative fleet should have a much more nuanced view of the savings effect of the changes in the wealth tax that the government has made. As for what the government's tax proposals are going to look like next year, the representative knows very well that I'm not going to go into that. But we're working all the way to create an increasingly fair tax system.
ParlaMint-NO_2008-05-07.ana.ud368e752	I allow myself to ask the following questions to the Minister of Defence: ‘The defence fails with much older equipment, including: Five frigates. The way these are removed can be discussed. While the world pays well for steel, the defense chooses to lower these in the sea. Environmentally, this is also strange in the environment-conscious everyday life we live in. Is the Council satisfied that this is the way to get rid of equipment, when it is actually possible to sell it and thereby add more financial resources to the defence?’
ParlaMint-NO_2008-05-07.ana.ud368e761	It is true that the defense uses some of the unarranged frigates of the target vessels for practice and test shootings. For the defence, these vessels have no operational value in addition to the use as target vessels. KNM ‘Oslo’ was harvested after the 1994 accident; KNM ‘Narvik’ is museum ships in Horten, KNM ‘Bergen’ and KNM ‘Trondheim’ are located in Ramsund and are prepared as target vessels. In 2002 the KNM ‘Stavanger’ was lowered by a torpedo from the submarine KNM ‘Utstein’. An environmental certification was carried out on the vessel in advance of the lowering, such as: meant that the vessel was ribbed for equipment, cleaned and cleaned for oil and other chemicals. Reports from the Swedish Defence Research Institute on environmental certification of target vessels identify potential environmental impacts. These reports have concluded that the area around a lowered target vessel is not affected to an appreciable extent. The defence has invested considerable resources in the development of ‘New target missiles’ for the new frigates and missile torpedo boats, and experience shows that test firings are very important to ensure the operation of such weapons systems. The intention of missile firing is not to lower the target vessels, although this cannot be excluded, but to use them repeatedly. Authorisation shall be obtained for the conduct of missile firing on a case-by-case basis. The defense has carried out cost calculations showing that it is cost-effective for the Defence to use unearned frigates as a target vessel compared to hiring target vessels. The NSM project has on several occasions hired target vessels to carry out test firings. According to the Defense, their experience and cost estimates show that the use of the remaining two frigates as target vessels will be the most cost-effective option. I would like to stress that it is very important for the Defense to be able to carry out test firings against target vessels, for the operationality of both the crew and the material. The defence indicates that the chosen solution for the use of some end-of-life frigates as target vessels will be implemented according to the existing guidelines and environmental requirements. Furthermore, the defense informs that this is the most cost-effective way for the Defense to meet the need for test firings, even at high steel prices in today’s market.
ParlaMint-NO_2008-05-07.ana.ud368e772	I thank the Council of State for the answer. Such a vessel weighs 1745 tonnes. It is clear that there are quite a few kilos of steel we are talking about, and also other metals, and it amazes me what the council says, when I know that there are companies that want to buy these boats to cut them up and use those resources. I know that the defense hires target vessels, but I can't believe that it's more expensive than selling the boats and getting rid of them in an environmentally sound way. So my question is, does the Council know how much we could get for such a ship for scrapping? The council said that there were calculations made, so how much could we have got for such a ship set up against what it costs to rent? The council says it costs more to rent.
ParlaMint-NO_2008-05-07.ana.ud368e777	According to the defense, there's between 500 and 1,000 tons of steel in the frigates, and that means you can get an income of between 2 and 4 million. kr. For comparison, renting a target vessel per year is expensive. Day 101 000 EUR, so it is expensive to rent. Here there are two aspects that have to be taken into account. One is the need for test firing, and the other is that this is also the most cost-effective way to dispose of old frigates.
ParlaMint-NO_2008-05-07.ana.ud368e782	President Knut Grinde of Fosen Recycling says that such a frigate contains a net of 1000 tonnes of steel, in addition to other metals such as copper, brass and aluminium. He says, "lowering these is resource depletion. There are currently good metal prices, and the frigate could be melted about and thus become something useful». In addition, I believe that the defence of an environmental perspective on this too. I would believe that the Minister of Defense is not satisfied with the fact that the bottom of the sea is going to be a war cemetery for old ships, and the defense also has a responsibility not to spread waste around in a perhaps unlucky way. Because it's clear that lowering a ship, even if it's cleaned for dangerous substances, is not good for nature. And according to the Soria Moria statement, the government is an environmental government?
ParlaMint-NO_2008-05-07.ana.ud368e787	The defense has a very strong searchlight on the environment in all its activities. What we're dealing with here are calculations made at the Defence Research Institute, and they're strong inside and leading in terms of how this disposal happens. I just repeat that the defense needs to have target vessels for their test firings. There's no goal in itself to lower them, the best thing is whether they can be used many times as target vessels. I would also like to say to the question of economics, that there have also been the figures I have given, that this is a profitable way to do it, especially because you also depend on these target vessels, which have been certified as environmental before they are used.
ParlaMint-NO_2008-05-07.ana.ud368e797	I have the following questions for the Minister for the Environment and Development: ‘Through Moss Avis, the company Movar IKS has been found to have exceeded the required limit of concession for the landfill of waste by up to 75 % over the years 2004, 2005, 2006 and 2007. The County of Eastfold has set a ceiling of 40 000 tonnes, while the company has deposited 70 000 tonnes in 2007. What will the Council of State do to ensure that state regional environmental authorities follow up on compliance with given concession conditions and that serious breaches of the concession provisions have consequences?’ [[Counties]]
ParlaMint-NO_2008-05-07.ana.ud368e806	Let me first thank the representative Engeset for addressing this important matter to people in the Mosse region, and thus also contribute to the pressure needed to stop this pollution. All landfills for waste shall be permitted under the pollution law. It is essential that waste facilities operate under the conditions laid down in the permit. The exceedances of the concession limit for the landfill of waste that has occurred at the waste facility of Movar IKS are illegal and unacceptable. It is the county that processes applications for authorisation for the landfill of waste and is responsible for monitoring compliance with the permit conditions. It goes without saying that there are limits to how far the Council of State can go into the matter, but I mention on a general basis that environmental protection authorities have different instruments to use to ensure that concessions are respected. The Pollution Act authorises the taking of a decision on periodic penalty payments in order to ensure compliance with the permit, as well as decisions on the conversion or withdrawal of the authorisation. However, less interventional instruments are usually sufficient to ensure compliance with the concession, such as the implementation of supervision and other follow-up of the waste deposit. We have been informed that the county council in Eastfold earlier this year was on the supervision of Movar IKS following a complaint against odour defects in the area around the property. The report of the county post-supervisory operation concludes that there is likely to be a link between the odour disturbances and the exceedances that occurred at the landfill in 2007. This is very unfortunate. Immediately after the supervision action, Movar IKS assured the county council that the amount of waste going to the landfill in 2008 will be kept below the established limit of 40000 tonnes. Movar IKS is an intermunicipal waste company, and I am aware that the case is also being followed up locally in Moss municipality. I would like to stress that waste companies that violate the concession terms undermine the waste management legislation. Violations of concessional conditions can have negative environmental consequences and cause disadvantages to the community and the local population. On the basis of the information I have now received, I am confident that the County Council of Eastfold will now follow up the case with Movar IKS.
ParlaMint-NO_2008-05-07.ana.ud368e819	I thank the Council of State for the answer. I am pleased that the Council of State so clearly states that this is an illegal and unacceptable breach of the provisions. It is true that public authorities are often very careful to ensure that businesses and private individuals comply with all the laws, regulations and regulations. In this case, however, we see that the inter-municipal waste site has for years exceeded the concession limits, and has informed the County Environmental Protection Department about this, but the exceedances have been allowed to continue year after year, without the county having lifted a finger. Is the Council satisfied with the fact that the regional environmental authorities of the State have, in this way, been holding their heads under their arms and arms in ribbons, to put it a little simple?
ParlaMint-NO_2008-05-07.ana.ud368e826	Let it not be the slightest doubt that the representative Engeset and I agree that there is no excuse for doing anything illegal or contaminating that you are state, municipal or intermunicipal. Accurately on the point, the same requirements must be imposed on all enterprises, whether they are wholly private, half private or quarter private, whether they are municipal, intermunicipal or state. Everyone shall comply with the legislation in force in Norway. It is difficult for me to decide whether the county should intervene earlier. The important thing now is that we have received a clear assurance from the County Council in Eastfold that the matter is now being followed up with Movar. The company has assured them that from now on they will abide by the rules laid down. Of course, we need to be in continuous dialogue with the county council to make sure that the supervisory responsibilities of the county council are fully implemented from now on.
ParlaMint-NO_2008-05-07.ana.ud368e833	I thank you for that additional response. There is much evidence that some municipal waste sites are so low in price in terms of the landfill charge that they attract significant quantities of waste from a large geographical area, far beyond their own geographical impact. This creates a kind of waste trafficking, which contributes to high emissions in transport, much lower sorting requirements than is environmentally appropriate, and ultimately undermines the cross-political objectives of waste and environmental policy. Can the Council of State be calm as Minister for the Environment of an environmental party such as SV and look at this?
ParlaMint-NO_2008-05-07.ana.ud368e838	I agree with the representative Engeset that the issue of waste management is a topic where there is a great deal of mess in Norway and where we will need to gradually have a stricter regulation. We need to get better management of this. A proposal for a ban on the landfill of biodegradable waste is being addressed in the Ministry of the Environment and will lead to the development of alternative treatment capacities. There are also plans for the development of treatment facilities throughout the country. The waste shall be recovered in the future and recovered as energy through combustion and biogas production. So I agree with the basics that Engeset draws up, that this is an area where we have a significant job to do in the future, both in Moss and nationally.
ParlaMint-NO_2008-05-07.ana.ud368e846	My question goes to the Minister for the Environment and Development: ‘The Reich Antikvaren has notified the rescue of Glambrua in Elverum. Brua is typical of time, but has never been regarded as some aesthetic pleasure. The bridge is a very central trajectory through Elverum and for traffic to Trysil as a ski resort. It's just a matter of time before you have to find new solutions with more capacity for traffic across Glomma and through Elverum. Fear is now great that the desire for peace will create problems in this way. Do the councils agree with the Riksantikvar in his assessments?’
ParlaMint-NO_2008-05-07.ana.ud368e855	I would first like to make it clear that Glambrua was protected by the Riksantikvaren by regulation of 17 April 2008 based on the Cultural Memory Act § 22a. Peace has been adopted in the light of the proposals of the State Road Administration for a protection plan. The protection plan has been drawn up in consultation with the Riksantikvaren. The peace of Glambrua is part of a greater conservation work where 40 of the bridges of the State Road Service have been satisfied. The peace is a follow-up to the project Statens Kulturhistorische Immobilien. The project presupposes a review of all state properties with a view to maintaining a representative selection of cultural memories for the future. The aim of this rescue is to maintain a range of road-related constructions and facilities representative of the historical development of the road network in Norway from around 1537 until now. The State Road Service is now preparing a management plan to describe how the maintenance of bridges is to be followed up in practice. The management plan will form the basis for future use of Glambrua. The municipality has been a consultative body during the work on the rescue and management plan. It appears from the draft management plan that the protection does not prevent the possible extension of the bridge or new bridge in addition. Let me also add that I do not want to decide whether Glambrua is a particularly beautiful construction work or not, but it is clear that it is difficult to have that starting point in the preservation of old construction works in Norway. There will normally be shared opinions about, locally and nationally, and it is obvious that we have a number of industrial property judgments and many other things, for example. build from architectural epochs, which don't necessarily appeal to me personally, but as there may be good reason to protect - although I had to think they aren't pretty, and also whether the representative Gundersen had to think that they are not the most beautiful construction works in the world.
