ParlaMint-NO_2008-06-17-lower.ana.ud527e55	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-06-17-lower.ana.ud527e437	This is therefore a proposal for a law on a tax-advanced individual pension savings where persons over the age of 18 can receive a tax-payable income deduction of up to NOK 15 000. To put it practically, this grain is threshed at least twice before in this room, and then there are few new cereals to get out of the debate, but I will give my mind. The disagreement is that the opposition wants a limit of NOK 40 000 instead of NOK 15 000. The limit of NOK 15 000 could add significantly to the individual’s pension savings. The centre party is in a strong savings tradition. We're basically positive for saving, and we're very satisfied with the main savings incentive scheme we've had in Norway in the post-war period, that's access for those who don't have much to get their own housing by deducting debt interest when you've acquired your own cheap home. It has been the most important savings incentive scheme. It has led to a very healthy and good development in Norway, and there is a system that many fences are hot about. What is at the heart of this case is the balance between the savings-stimulating measures and the allocation considerations. Thus, there is a balance between the necessary pension savings as well as the social security and compulsory occupational pension, and the tax-stimulated saving of future pensions. Under the scheme, the money is tied to the retirement age and excluding property taxes and current taxes on income. The central party is strongly behind the government's proposal. We have noted the opposition's remarks that in 2007 households had a negative savings rate, which the government has also carried out with strength. With a more normal level of interest rates, the savings will probably change slightly in 2008. We focus on saving, but if I were to say something about the future, then in terms of tax-favored saving, one should aim more unequivocally at the scheme that could have a more positive effect than this: BSU, Housing saving for young people, with tax deductions, so that one could stimulate young people to a greater degree of savings behaviour in order to acquire their own housing. So the center part is behind the setting. There is a sobering balance between savings incentives and distribution considerations.
ParlaMint-NO_2008-06-17-lower.ana.ud527e452	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-06-17-lower.ana.ud527e455	Only a brief comment to the representative Holmås, who is no longer in the room, who stated the incredible that it is better with public savings than that people should run around and save themselves. Then the representative Holmås misunderstood something fundamental, namely the self-value of saving, self-value by saving for his own future, instead of believing and hoping that the public would do so. This is also the argument of the Progress Party for tax relief, namely that people get more disposable income and can assess their own well-being, and not allow government councils in the various departments to assess what is to be done free of charge, regardless of what people need. If people want to spend the money one way, they're going to be allowed to do it. Instead of being socialists running around and saying what we're going to do for free for everyone, the Progress Party wants most people to be able to control their own money to a greater extent than today. We're going to have basic funding for the basic tasks -- it's going to be financed by the public. But over the other problems, most people have to decide. Whether they want to give their money to their children, whether they want to travel to the South, whether they want to sit in a pub and drink beer, is up to every single person. That is what is freedom for the individual and the Progress Party, and that is why we want tax relief. The impact of the Community policy pursued by the Government has become that more and more people are totally dependent on public transfers. More and more people live on social security, more and more people live on social schemes, and more and more people depend on subsidies in any context. This is thought to be an unfortunate development for Norway. It is not what the Progress Party considers to be common. Then everyone gathers in the booth, and that's not a good strategy. It's better to raise the strong to bring the weak and the less prosperous to a higher level. Instead of giving money to everyone over a low shoe, it is better to provide opportunities for those who are strong and can create jobs and provide opportunities for those who are further down. The Progress Party believes that. But the government believes that everyone should be helped, and thus believes that poverty is being combated. We see the result today: poverty is not being combated. On the other hand, poverty is increasing, and more and more people are living on public transfers.
ParlaMint-NO_2008-06-17-lower.ana.ud527e464	Several have not asked for the floor on case No. 4th@item: inlistbox
ParlaMint-NO_2008-06-17-lower.ana.ud527e481	At the request of the Finance Committee, the President will propose that the debate be limited to 65 minutes, and that the speaking time be allocated to the groups as follows: the Working Party 20 minutes, the Advance Party 15 minutes, the Right 10 minutes, the Socialist Left Party 5 minutes, the Christian People's Party 5 minutes, the Central Party 5 minutes and the Left 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies from the main speakers for each group and up to five lines with replies from members of the Government within the allocated speaking time. Furthermore, it is proposed that those on the list of speakers, in addition to the allocated speaking time, should have a speaking time of up to 3 minutes. - This is deemed to have been adopted.
ParlaMint-NO_2008-06-17-lower.ana.ud527e490	As Odelstinget does, we are now making a few changes to the tax regime in June, for 2007. It will be easier for private employers to get an overview of what they need to do to hire household help, joiners, etc. legally. There are two main steps to get to this. Firstly, the limit on the payment of an employer’s fee for private and recreational work is increased from NOK 50 000 to NOK 60 000. This means that when the total annual salary paid by the household does not exceed NOK 60000, no employer’s contribution is payable. Payment for private passports of children under 12 years of age and children with special needs is currently exempt from the employer’s fee regardless of the amount of the pay. Secondly, the limits of the amounts that determine when the various simplified arrangements for the payment of tax credits can be used will be coordinated, so that a common limit of NOK 60000 can be reached. In those cases where the total salary paid is DKK 60000 or less, two alternative settlement arrangements for tax credits can then be chosen: one can draw on a normal tax credit account and pay the total amount to the country once a year, not six times a year as other employers have to. Alternatively, you can notify and pay advance payments to the country on each payroll payment. Anyone using the latter simplified scheme will not obtain the number of the organisation and set up their own tax credit account, as other employers will have to. Such simplifications are important in the fight against black work. I think this is a better measure than for example. tax exemptions for work at home, as some other batches have proposed. The challenge is to make this action known, so that people use it. In the share bill there are also some adjustments/establishments in the company tax scheme. The proposals relate to the conversion of last autumn’s ship’s cabotage. The main thing is that the time period for the transitional arrangements for the entry into the accounting system is extended to 1 January 2009 so that all companies have time to reorganise in time to enter the accounting value scheme. The other changes are adjustments/establishments of a more technical and systemic nature. The minority of the financial committee has objections to the effective date of one of the adjustments. In the event of changes in the shipping tax last autumn, rules were adopted to ensure that, when companies enter into the scheme from ordinary taxation, latent tax liabilities relating to these activities are taxed. Taxation shall take place, inter alia: when shares in participating companies are realised to companies within the scheme. In the event of an error, this legal provision only mentions ‘sales’ and not other types of realization, such as: deposits on shares. This error is proposed to be corrected so that the tax cannot be circumvented by realising shares in companies within the scheme other than through sale. The entry into force of this Regulation is set at 5 October 2007, i.e. the same date as the original rule entered into force. In the new company tax scheme, when a company chooses to move activities that have been outside the scheme into the scheme, all latent tax liabilities shall be settled. This involves technically complex rules, but the basic intention is clear: all latent obligations must be settled. The clarification proposed in the fourth paragraph of Section 8-14 of the Tax Act implies the creation of an obvious incurrency and thus the sealing of a possible hole in the rules. This is hardly unexpected on anyone. To let not close again such a hole I see no reason to. Furthermore, there is hardly any change in the substance of the rules at this point, but to bring the text of the law more into line with the interpretation which had to be based on the equivalency authorities, in accordance with the intentions of the Equilateral Decision. Also the preparations of the original rule, cf. Ot. pp. No 1 for 2007-2008, supports this, using the wording ‘realisation’ and ‘sales’. The government has recorded that the time period for the transitional rules on entry into accounting values was too short and proposes a change to that point. However, the previous lack of transitional rules does not excuse those who may have chosen to use a possible regulatory hole. So a little bit about increasing the number of appointments for the payment of petroleum taxes. We go in to increase the number of payment appointments for petroleum tax from two to six semesters. All the hearing bodies that expressed their views were in favour of this increase, so that the entire committee joins the proposal without any comments. The background to the proposal is that the large payments of petroleum taxes affect the execution of bank settlements and create uncertainty in the money market. The tax system should not have such adverse effects. So another point. Amendments to the Equation Act for the fishing and fishing industries are proposed. Firstly, an authorisation to impose on fish sales laws an obligation to provide information to the authorities of the equation on the value of all the turnover of raw fish traded or authorised by the sales organisation. Secondly, we are now proposing a basis for the equality authorities to charge fees for late or unsubmitted pay and draw tasks for employers in the fishing and fishing industries. Such control tasks from the fish sales teams could contribute to the detection of income that has been tried and hidden from taxation, as well as to the expectation of a preventative effect on black labour. The equality authorities have the right to charge employers in other industries, and this should also be the case for the fishing and fishing industries. We are today adopting a new basis for the authorities to obtain control information on the use of foreign payment cards in Norway. The background to this is that the establishment of bank accounts abroad is an offer that is easily accessible and open to all. International control experience shows that the use of foreign payment cards linked to a bank account abroad is a common method of using money hidden abroad, either for tax reasons or because they originate from criminal activities. The background to the proposal is that the Equation Authorities are currently unable to identify the holder or user of such foreign payment cards. Control of the use of foreign payment cards in Norway could reveal funds placed abroad that are not taxed here. In addition, the controls can identify persons who are actually resident in Norway and who should be taxed here but who claim that they live abroad. The measure is also assumed to have a certain preventive effect. The proposal implies that the traders will have to provide some more information and possibly make some technical adjustments, but the government assumes that this will not be difficult to implement, and we have to deal with that. Mutual fire and livestock insurance companies are currently exempt from tax liability. The exemption constitutes an unfortunate distortion of competition between various insurance companies and is problematic in relation to State aid law under the EEA Agreement. Moreover, the legal provision is unclear and the original justification is no longer applicable. The Committee notes that the Ministry of Finance is considering proposing to the Stortinge to abolish the tax exemption with effect from the 2008 income year in the context of the 2009 budget.
ParlaMint-NO_2008-06-17-lower.ana.ud527e541	It's going to be line change.
ParlaMint-NO_2008-06-17-lower.ana.ud527e544	I would like to thank the President-in-Office for a good review. It is true that the vast majority of the changes promoted by the Government are unanimous on the part of the Finance Committee, and the rapporteur has also noted this. Towards the end of the rapporteur's statement, she addressed this by giving the authorities of the equation an opportunity to obtain control information on the use of foreign payment cards. In the course of the Committee's proceedings, an overall opposition has a non-majority of comments. You agree to the amendment, but in many ways you are concerned about the development you see of more and more information to be shared, and that this may to some extent be free of privacy. An overall opposition says in its comment that it will nevertheless support the proposal, but that it ‘will closely monitor developments in the future’. Since the majority have not joined the note: do not the Workers' Party and the Government's parties share this concern that there will be an increasing amount of surplus information that can be misused in relation to privacy?
ParlaMint-NO_2008-06-17-lower.ana.ud527e553	In this case, as in some other matters relating to personal data, there are different considerations that collide. Privacy is important, but it is also important to collect money for taxation according to the law we have. The world is getting smaller, it's probably going to say -- not larger, but it's getting smaller -- in the sense that we live and travel and move across borders, and it also opens the possibility that many more can try to avoid taxation. The kind of tax evasion is very unfortunate for all of us who pay the tax we must and should. In the worst case, it may mean increased taxes for those who pay their taxes in Norway, while others, who then use other options and reduce taxes, do not. So it could mean higher tax levels, which are bad. So there are different considerations that need to be taken care of, and in this context, tax considerations are most important.
ParlaMint-NO_2008-06-17-lower.ana.ud527e562	The government is proposing to increase the deduction of fish. It's excellent, even though it's a little late and a little bit small. In this context, reference is made to the tightening of the net pay scheme. In the context of the revision, the Government has, in my opinion, made a little hole in the principle that the net pay scheme should apply in full. Does the representative Agdestein think that net pay arrangements for the various areas of shipping contribute to an increase in wages? It is assumed that they do so, i.e. pay increases more when you have net pay arrangements, so that you should look into the net pay schemes and what it does with the pay level as such.
ParlaMint-NO_2008-06-17-lower.ana.ud527e569	The net pay system is a result of international competition, because there are other countries that have such a type of scheme, which we have also seen fit to introduce. In the years that we have behind us now, there has been strong growth in the industries affected by this. It's become a payroll -- maybe it's supposed to be -- that's partly distorting between industries. Therefore, it is correctly observed by the representative Fleet that we have done something about that exact relationship. What we're going to do, if we don't, we're going to get back to it on a later occasion.
ParlaMint-NO_2008-06-17-lower.ana.ud527e576	Let me grasp this last answer, for it has become quite clear, not at least in the last few years, the unreasonableness of the fact that seafarers working on a passenger boat between Norway and abroad or on supply boats in the North Sea are going to drop taxes, while seafarers who lie for days and perhaps weeks on shrimp fishing outside Greenland are going to be so severely discriminated against. The government takes a little bit of the consequence of this obvious unfairness, and - in parentheses, noted - at a time when we lack labour and need labour that is able to pay taxes in many areas of society, increasing the fishing deduction is good. It obviously does not correct this unfairness, but with the adjustments made in the net pay scheme, I see this as the Government is now on its way. The representative then answers that this may be returned on a later occasion. Is there reason to expect that we will already be able to see in the current period that the Government goes further in correcting this obvious unfairness and misuse of money in Norwegian society?
ParlaMint-NO_2008-06-17-lower.ana.ud527e583	I was also aware before this change of lines that Left and Lars Sponheim are strongly opposed to the net pay system. It is not the Workers' Party and the other red-green parties. We might have to make changes, so that it doesn't get so enormously expensive and gets intentions that aren't desirable. And I repeat, as I said to the previous replicator, if we're going to look at it and make changes in the future, I can't answer that right now.
ParlaMint-NO_2008-06-17-lower.ana.ud527e589	The cord shift is over.
ParlaMint-NO_2008-06-17-lower.ana.ud527e592	What we are dealing with in this matter are the tax and tax changes that we are making in connection with the revised national budget and some other laws in addition to the tax and tax legislation. The Progress Party has had as its starting point the fact that this is a revision of the budget. These are the points made in the bill, and the proposals that need to be made due to changes that have occurred since the government budget was presented, which our comments focus primarily on. One of the changes that came up now, and that the case-speaker initiated here, is the changes in the rules for private work in the home, etc. Here a committee proposes to increase the exemption from the employer’s tax from NOK 50 000 to NOK 60000 for work in the home and leisure accommodation other than for the care of children. Of course, the progress party has no problem in supporting a proposal to increase this limit on the exemption from the employer's fee from NOK 50 000 to NOK 60 000, but we have expressed our belief in the fact that this will have a noticeable effect on the use of so-called black work. We're of the opinion that the tax pressure in Norway is too high, and that's why there's a black market today. We therefore believe that the tax burden must be greatly reduced, which the Progress Party believes will be an effective contribution to reducing the use of undeclared work. Of course, simplifications like the ones shown here are good, and we're waiting to see how many simplifications happen in practice. We mean, of course, that all the simplifications are good, but we don't think it's enough in this case. Then there are also suggestions to increase the fisherman's deduction. This deduction is currently a maximum of 80 000 kroner. The majority proposes to increase this to NOK 115,000. The progress party sees this as a step in the right direction, but thinks it's not sufficient. In this context, we show that the Progress Party proposes an increase in the seafarer’s and fisherman’s deduction in connection with the treatment of the 2008 State budget to NOK 160 000. This proposal is re-examined in the light of the fact that the competitive situation has worsened further since the 2008 state budget was approved. So that's why we think it's necessary to bring it up again. We note that the Government does not propose to give the seamen the same increase in maximum deduction, and that there will be a running figure of 80,000 kroner with its plural arrangement. We are therefore proposing an increase also for seafarers to NOK 160 000, and it is mainly for seafarers who are not covered by the net pay system that we have in mind. We think it's important that they are treated on the same line as fishermen. For those who are covered by the net pay scheme, this will probably not give such a very large figure, because we expect the reindeer and the reindeer teams to draw this into the wage negotiations. In the case of the réarlag tax system, both the Progress Party, the Right, the Christian People's Party and the Left refer to the clarification of the wording of the fourth paragraph of the Tax Act § 8-14 to apply not only to the hall, but to all types of realizations, and we indicate that the legal clarification is already in force from 5 October 2007. This is also something the case spokesperson had in mind. This means that transactions other than those made by a taxpayer after that date, which he had to assume were not covered by the rule, now have entirely different, negative tax consequences than foreseen at the date of the transaction. We believe that it is unfortunate that missing transitional rules have resulted in a completely different effect from what one would expect when the transaction was carried out. An overall opposition therefore proposes a change in the entry into force at this point, and suggests that this effect should only take effect from the beginning of the 2008 income year. It is also proposed to provide an authorisation to the equality board to obtain control information on the use of foreign payment cards. The party of progress, similar to the rest of the opposition, supports this, but we share the Data Protection Authority's concerns about privacy violations by providing surplus information. We will therefore be following developments in the future carefully and, if necessary, continuously considering whether to propose tightening. Although this is not directly mentioned in the setting, I will include two charges where the Progress Party proposes a reduction in relation to the revised national budget. One is the petrol and diesel tax, which we propose a reduction of NOK 2.50. This is not a dispute about the state budget, but it is simply the simple point that when we adopted the state budget, we created a crude oil price and a level of charges that would result in a pump price for the consumers and for the caristics of approx. NOK 11 per year. liters. So now he's approx. 2,50 kroner - and above it - higher than what one saw, and then we found it natural and appropriate in the context of the revised national budget to reduce to the level envisaged during the treatment of the government budget. This will cost about $3.2 billion, but at the same time, the government is expected to get maybe $150 billion more than that, because of the increase in the crude oil price. That's why we think this is a cost that is both right and reasonable and that we absolutely can afford. Another charge change that we're proposing is to reduce the VAT on food from 14 to 12 pst. This is then a proposal that the Center Party has previously been very busy with, as well, like the Progress Party. The reason we are now making this proposal in the context of the revised national budget is that food prices have increased, and they will also increase more in the future than was natural to expect when we deal with the state budget. So we're proposing a 2 pst tax cut. on food. It's also an important contribution to those who have the least to travel with, for those who have the least to walk with use a larger proportion of their disposable income to buy food for those who have very good finances. Otherwise, the opposition has made many proposals that the Progress Party has previously supported and in which we are still some. But because this is a revision of the budget, we have not joined these proposals. Of course, that doesn't mean -- I'm going to emphasize -- that we disagree with these proposals, but on the other hand, we don't want a rematch in this game. We will come back to these proposals in the ordinary budgetary procedures, and we hope that the rest of the opposition will. Maybe we can also get multiple numbers for some of the suggestions with time and times. Finally, I would like to re-submit the proposals in the section to which the Progress Party is a proposal maker or co-sponsor.
ParlaMint-NO_2008-06-17-lower.ana.ud527e624	The representative Gjermund Hagesetter has drawn up the proposals he referred to. It's going to be line change.
ParlaMint-NO_2008-06-17-lower.ana.ud527e629	The representative Hagesetter himself showed that there was strong price pressure on food and fuel. I wonder what the Progress Party intends to do to ensure that a tax cut at such a time as there is so much price pressure will not end up in the pockets of business and all the joints associated with it with oil production and distribution of it - and the same applies to food production and distribution - but will benefit customers without building up a large bureaucracy.
ParlaMint-NO_2008-06-17-lower.ana.ud527e634	The answer to that is simple and straightforward. It's that we want to ensure good competition. We will stimulate the best possible competition. And then we are absolutely sure that such a cut will benefit consumers. This was also shown when we had the debate about cutting fuel prices, that it would end up in the pockets of the gas station owners. I have never seen any figures indicating that a country with a lower petrol charge than Norway has a higher service margin for service stations than one has in Norway. Therefore, I believe that if one stimulates constructive and good competition, consumers will benefit from the reduction in both VAT on food and also the tax on petrol.
ParlaMint-NO_2008-06-17-lower.ana.ud527e639	The representative Hagesetter is right that he mentions some things that strictly do not belong to this debate, so I use the chance, me too. I am busy with the system that the Progress Party adds in terms of fuel taxes. One thing is that it obviously becomes bureaucratic, and most likely much of the tax relief will somehow disappear before it benefits consumers. We have experience of this, for example. when we reduced VAT on food for a number of years ago. However, some other goods are dependent on consumers in Norway, for example. clothing, which has become significantly cheaper in the last 15-20 years. The logic of the argument for the Progress Party is maybe that you should put VAT back on food, because there is a loss in the state of VAT revenue. But it's not very useful to spend time now. The party of progress has had the opportunity to reduce fuel taxes earlier in cooperation with the Right and other parties here in Stortinget. What I'm asking is, can the representative Hagesets guarantee that the fuel charges will be reduced to a future civil government in cooperation with the Right and possibly the other centre parties?
ParlaMint-NO_2008-06-17-lower.ana.ud527e648	What I can guarantee is that the Progress Party will work to reduce the fuel charge. The representative Mikalsen referred to clothes, but it's actually a certain difference, because Norway doesn't produce that much clothes. On the other hand, we produce a lot of crude oil, and we export a lot of crude oil. So when the price goes up, the state is getting richer, while the caristics are getting poorer. And in a country that exports crude oil, one should fix it. I would also like to remind you that among the ten largest oil exporting countries, only Russia and Norway do not subsidise the pump price to consumers. Nor has the Progress Party proposed. On the other hand, we have proposed a strong reduction in fuel taxes, and that is what we will work for in the future to realise.
ParlaMint-NO_2008-06-17-lower.ana.ud527e657	Both in the food industry and in the oil industry, I believe that there is free competition. I wonder whether the representative, Mr Hagesetter, believes that there is so much competition in the daily food industry in Norway, and that this is why the lower food tax we set down in the past did not benefit consumers accordingly. I wonder what concrete things the representative intends to do with the competition if he believes it is too bad now.
ParlaMint-NO_2008-06-17-lower.ana.ud527e662	I guess I'm not the one who claims that competition is bad. Representatives from the red-greens claim that competition is so bad that if it reduces VAT, the reduction in VAT will go to the shoppers rather than to the consumers. I believe that competition will lead to a reduction in fuel taxes that will benefit consumers. Of course, we want to do that by making sure that there is a good competition, that there is no cooperation between the players in the industry. We also have the Competition Authority that is looking after. I'm pretty sure it's a good competition. It may be that he can be even better. At least we want to make the best possible way for a good competition.
ParlaMint-NO_2008-06-17-lower.ana.ud527e669	The cord shift is over.
ParlaMint-NO_2008-06-17-lower.ana.ud527e672	The tax proposition of the Government in the context of the revised budget this year is not a comprehensive document. It might well allow you to say that. It doesn't contain that much. Although we are in the middle of a fiscal year, it would have been possible for the Government to take a few minor steps in tax policy that could show a direction for business, for value creation and the private economy of people, and that would allow people to save and thus create their own private well-being. We don't see that. What we've seen in these dirty three years from the red-green government has been essentially tax cuts. In particular, this applies to increases in the property tax on ownership of Norwegian enterprises. It is harmful, in particular for small and medium-sized enterprises which do not have the resources to meet such costs when the return may be poor. So to the proposition. There are two things I want to mention. The first one concerns the fishermen's deduction, which I've been in for a string exchange. It is interesting that the Government now realizes that the net pay system creates a pressure on the labour market, on competition - i.e. a distortion of competition - among others. in the fisheries sector, but not only in it. When we are soon up to NOK 2 billion in annual costs for the scheme, I think it is good to start looking at this. We have also proposed to increase the fishing deduction further, just for the same reason that the government has had. We've also suggested it earlier, because we've seen this problem at an earlier point in time. So a few words about the shipping tax, on which the rapporteur went. She said that the clarification proposed in the fourth paragraph of Section 8-14 of the Tax Act is unnecessary, because it involves an incurrency and thus a hole in the tax law. I think those who do this deal with the law as it is. It should therefore be correct. There may have been arrangements that you didn't have the prerequisites to know about, have the right knowledge of when you did. That is why we have proposed a different date of entry into force. I also allow myself in this context, since it is probably the last possibility, to comment on the environmental part of the tax credits withdrawn in the shipping tax, even though this is not in the proposition. The final result of this. The final result of this was, as we know, that the Government failed to fulfil the promise to facilitate the accounting of the third party as equity. We've seen a curative attempt to solve this problem by getting an investigation from a couple of NHH professors saying that in some cases it might be thought that the environmental component can be accounted for as equity. But those who are responsible for the relationship with the legislation, namely the auditors of the Norwegian Auditor's Association, are crystal clear that this report does not entail any change in their follow-up to the legislation. If the Government now believes that this NHH investigation professionally indicates that in some cases the environmental component can be accounted for as equity, it would be my expectation to follow this up with adapted guidelines and rules in relation to the retrospective shipping tax - and preferably in cooperation with the Auditor's Association, so that a solution can be found that is professionally sound and acceptable by those who, after all, have to put their final stamp on the accounts of companies. There's some of the knot in this. In addition to what has been proposed, some individual proposals in this position are promoted on the right. The basis for these proposals is that it is worth working, that the lack of labour is important, not least it is important to get people back to work. There is some background to our proposal on the deduction of taxes on health care paid by employers and insurance costs. Secondly, savings must be made, and we have had a debate on this earlier today. Saving also helps to dampen the pressure in the economy, and enables people to take more responsibility for themselves, for their own lives. That is why we want to improve the tax-advanced savings schemes, such as individual pension savings, individual annuities and the BSU, i.e. the housing savings scheme for young people. We are also concerned with generational shifts, both in business and for families. That is why we repeat our proposals to facilitate the inheritance tax in the event of a generation change in business. This is particularly important for small and medium-sized enterprises, which do not have the same opportunity for a lower-cost inheritance as larger enterprises with larger resources, which can use long-term and long-term resources. We propose half the employer's fee for apprentices. There is a great shortage of labour, especially the skilled, in many sectors. There's a big drop-out in high school. Young people have difficulty entering the labour market, and we believe it is important to stimulate enterprises and employers to take young people into training. We are also proposing to increase the depreciation rate for operating funds, in the so-called balance group c, i.e. car combinations and vans. There are generally good times in business, and then it is right to stimulate initial investment. However, the transport-dependent industries, in particular with the fuel prices we see at times, need to increase profitability, which will provide increased depreciation opportunities in the long term - of course in addition to environmental benefits by making the fleet more recent and environmentally adapted. Overall, I think it must be allowed to say that part of our proposals - and not least that in many cases the opposition stands together - indicates a different direction in some areas than the Government has proposed. There are important areas that I hope the Government may come back more strongly at the next crossroads, which is immediately over the summer holidays. I take up the suggestions that we have with others, and those that we are alone in.
ParlaMint-NO_2008-06-17-lower.ana.ud527e694	The representative has drawn up the proposals he referred to.
ParlaMint-NO_2008-06-17-lower.ana.ud527e697	I have not submitted to the big debate. I agree with the majority position on those points where there is largely unanimity in the committee, and will mention only some of the points where the Christian People's Party either alone or jointly with the other opposition has divergent proposals. The first, as mentioned in the debate, is linked to the proposal for increased deductions from fishing. There's a meeting with the government industry, but together with other opposition parties, we're increasing our deduction proposal to 150 000 kroner. There is no doubt that the Government's proposal comes as a result of a very good net pay scheme, which I understand is that the Government now feels so good that you start with some - albeit relatively small - limitations. The representative Lundtägen was in the previous case concerned with saving, and he highlighted especially Housing saving for Youth. The opposition is happy to meet in this matter. It may be too much to hope for the support of the representative Lundtigen, but I think he agrees with the intention. In line with a proposal we have previously been dealing with, it is also being promoted by us, together with others, proposals for tax exemptions for research institutes - in order to overcome the ambiguity. Similarly, a proposal for a deceased inheritance tax is made if family holdings continue after a generation change, with a depreciation of more than 10 years. I have noticed with interest that a sample in the Center Party not only supports it, but will have a double rate of depreciation. When you don't get five years, at least I expect the Center Party to support ten years, as the opposition suggests in this setting. Otherwise, we also ask the Government to look at the possibility that employers who pay collective travel for their employees will have an opportunity to deduct this. In addition, we ask the Government to consider - it is a little controversial - whether to tax those who have free parking space at their workplaces in the larger cities, in order to use both carrots and whips to promote more environmentally friendly transport. Fortunately, the social arrangements for self-employed people have had something done with the previous year. 1 July of this year. We go a little further in our proposal in this matter. The same is true of a repetition of the Christian People's Party: supporting voluntary activities and increasing the gift allowance to NOK 18 000. We have a tight labour market, and we have good early retirement schemes. We also propose a tax deduction of NOK 3000 for 62-year-olds and 63-year-olds who work and do not receive any form of pension. At the other end of the scale, we propose to cut the cut-off for 68-year-olds and 69-year-olds, who today have a curtailment of their pension if they are at work. With this I address the minority proposals that the Christian People's Party has in the vote.
ParlaMint-NO_2008-06-17-lower.ana.ud527e718	The representative Hans Olav Syversen has drawn up the proposals he referred to.
ParlaMint-NO_2008-06-17-lower.ana.ud527e721	I just want to get into four points in the present setting. The first concerns the simplification of the payment of an employer’s fee in the case of private domestic work. The government now agrees with a proposal that one should not pay such an employer’s fee until one has paid NOK 60000, while the amount previously was NOK 50000. At the same time, an unlimited exemption from the payment of the employer’s fee for the private care of children under 12 years of age and for the care of children with special needs continues. It's a model, and it's a nice change from the Government. I would appeal to the Government to implement similar simplifications in other areas where the legislation and the payments are more to the detriment of the individual than to the benefit of the Treasury. There are a number of such rules that involve many people and could have been similarly simplified to the benefit of others. The next point concerns the fisherman's deduction. It's a special fisherman deduction that means you can get a 30 pst deduction. of net work income from fishing and fishing, up to a limit of DKK 80000. The maximum limit is raised to NOK 115000. It's a positive step. Once again, the shipping system is a theme. The most important thing that is the management of environmental funds - how the rules are to be understood in terms of accounting equity. For the Government, it has been important to establish rules to enable part of what the Government calls tax liabilities under the Company Tax Scheme for 1996 to be accounted for as equity. The question is how to practice it. There was a longer debate on this matter in Odelstinget on 24 April, where I also addressed that question. I then said that this should be popular about «equity with liabilities». If this was unclear in relation to current accounting regulations, it must be clarified in the light of that understanding and that the new understanding then is equity with liabilities. What was the government's concept in that debate was qualifying environmental measures. There is something that will be followed up in this setting. Thus, in the case of investments in qualifying environmental measures, it avoids taxation when entering the scheme. Finally, there is a question of mutual fire and livestock insurance companies. There is a rule from the tax law of 1911, where mutual fire and livestock insurance companies are exempt from tax liability. What is important in the review that the Government has promised is that one goes to the source and looks at what was the background of the exemption. And the purpose of the exemption for that type of company at the time was that one would have the opportunity to raise a fund so that one could have reasonable premiums, so that one would have many with him. Now there are many of them, but what remains, in line with the original purpose, is that the mutual society has the purpose of not taking money out of the company. In other words, it is a mutual society that should aim at the most reasonably possible assurances for those taking part. And those who participate, those who are policyholders, are also the owners of the company. So it's important that you get a review of that understanding. So the companies that have recently decided to take money out of the company have broken the mutual principle, and for those companies it is quite natural that one goes over to pay taxes on their profits.
ParlaMint-NO_2008-06-17-lower.ana.ud527e738	It's going to be line change.
ParlaMint-NO_2008-06-17-lower.ana.ud527e741	In a reply earlier today on the fishermen’s deduction and net pay scheme, the representative Aasen Agdestein expressed considerable concern about what she called the ‘spire of wages’, which had come as a result of the net pay scheme in a very hot labour market. She was little specific about what she thought about this. The representative Lundtigen often tends to be more precise about how he will solve problems -- if you see it as a problem. Shares this concern for the development of the total net pay scheme, which is soon to be NOK 2 billion, but which does not least help to push up the wage level and steal people from other professions, among other things. likely from agriculture?
ParlaMint-NO_2008-06-17-lower.ana.ud527e748	I think this has little meaning for land-based activities, whatever it is. What is the point of the net pay scheme is that there is a system that means that the employer will have a fairer workforce than you would otherwise have. That is why I fully agree with what the representative Agdestein said about the effect of the net pay scheme. What the government has now done is to adjust to the scheme, so that it is more consistent with what was the original starting point, and that one will thus also be able to gain a greater degree of understanding and upliftment in the population. What else will happen to the net pay scheme is not given. It's something that comes up in future budgets.
ParlaMint-NO_2008-06-17-lower.ana.ud527e755	We have read in the newspapers that the representative of Lundtägen’s party colleague, the head of the Business Committee, has headed a work in the Centre Party’s ‘Workshop for Enterprise Policy’, which has recorded the party’s programme work. We have understood, according to the newspapers, that this group is in favour of cutting property taxes on working capital, doubling of the base deductions, conditional exemption from the inheritance tax for generational change in family holdings and a separate business deduction for self-employed persons. I'm not going to make it a point that the Center Party has had the opportunity to vote for this already today, but I understand that you might be on your way. My question to the representative Lundtigen will be: does he share the views of his party colleague on these tax issues, and does he see it so that there may be a possibility that this might be the central party's policy in the next period?
ParlaMint-NO_2008-06-17-lower.ana.ud527e762	This is an important work as part of the preparation of the forthcoming major elections programme. What comes out of it is the Central Party national meeting that decides. What is my view and that of Ola Borten Moes is that one has to facilitate sustainable manufacturing activities in the mainland and use the necessary instruments that are included there, including taxes and charges, to help do so. The centre party has a long tradition of long-term regulation and long-term development of equity and business development. The incentives to do so must be balanced against the distribution effects it has. Ola Borten Moe represents the party in a good way on business policy issues.
