ParlaMint-NO_2008-04-08.ana.ud2463e67	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2008-04-08.ana.ud2463e497	At least let me start by quoting one sentence from the unanimous vote of the Committee: ‘Norwegian soldiers have made a great effort to create greater stability and security for the Afghan people.’ It's a unanimous committee that says this, and it's probably okay to keep up for future debates. In the debate on the matter to which this setting applies, not least Major General Rosén's relationship has been the focus. So let me highlight two things. One is that the committee does not criticise the opinion of Major General Rosén, who created some debate, namely that he would not send his own son to the area because of poor sanitation. On the other hand, it is a unanimous committee which is very critical that as a result he had to sign a taushet statement on general matters. During the hearing - as will be seen in the annex to the suspension - the Council of State went very far in saying that this declaration should probably have been in addition. I think that was a good thing, and in many ways, I get recognition of something that you can do more often, that is, contribute to a little bit of self-criticism. But I guess it stops there. The committee says in the unanimous vote that if Rosén had received the same money that was later put at the disposal of the defense, he would also get it. This is stated in a more detailed wording on page 8 of the setting: ‘It is therefore possible to ask questions as to whether the Defence itself could not have achieved such agreements in the past if it had been opened under similar conditions.’ This is a unified formulation from a joint committee, including government parties, and must be read on that basis. It is, as the rapporteur also said, strong criticism of the Council of State on two important points. It's a unanimous committee - including the government parties - that says that they ‘supposes that the Minister of Defence did not address the matter until after the matter was brought up in the media and the Stortinget got involved. The Minister of Defence himself states that it has long been a problem to obtain enough doctors for Afghanistan’. So once again we see an example that one thing only gets political momentum after the media has picked it up. The Committee on Control and Constitutional Affairs has further clarified the matter. That's the setting. On another point, there is also very strong criticism when the Committee says that ‘the Council of State should at an earlier stage inform the Council of the challenges facing it’, that is, of the sanitary situation of our forces in Afghanistan. In my opinion, this is a strong criticism in parliamentary language, not least because it concerns an important area such as the Council of State's obligation to provide information to the Stortinget. The rapporteur - here I must be allowed to express some disagreement, even if it is a unanimous vote - interprets it so that the dramaturgy that prefaced the matter in the media, that is, before the committee took up the matter and discussed, is quite different from what can be read in the vote. In fact, I do not agree with that assessment. For once, I would say, I think that the media had a good basis for quite strong wording in this matter. But it is clear that there is a difference between both language and form in majorisation settings and in newspapers, which are more or less dependent on daily sales. I should perhaps not mention to a rapporteur who has a press background that there must be quite a difference in form. But when a joint committee, including the government parties, makes such strong criticisms that you should have informed the Storting better, and that you should have been faster about taking initiatives, there are quite strong issues in parliamentary terms.
ParlaMint-NO_2008-04-08.ana.ud2463e526	Let me first repeat to both the representative Foss and the representative Hagen that, in my opinion and after the position, there is no strong criticism from the Council of State. Had it done, we would of course not have been in the setting. The setting reflects an absolutely necessary clarification of something that emerged with the background of the tragic event that happened in Meymaneh last November when a young Norwegian soldier lost his life, and one was badly injured. This led to the discussion that we saw in the public, and that is quite right, as the rapporteur points out. In relation to the dramaturgy that was in the press, and the heated discussion that was, Mr. Lånke has provided a sober and proper attitude that a collective committee can stand behind, precisely because it is balanced and proper. It has addressed the challenges of the matter. That's absolutely right. In this, it's because of the episodes that happened in Meymaneh, and what came out in the discussion about Rosén and the hearing about this, we have to make it clear that something could have been done differently. At least that is not a strong criticism. In it there is only a necessary gain of experience. Let me also stress that this is a political responsibility. It is, of course, the responsibility of the Minister of Defence and the Defence Management to do what is possible to have a readiness to enable our soldiers to have access to the best possible sanitary service in operations abroad. You can never guard against what can happen in Afghanistan or elsewhere. This is precisely why it is so important to ensure the highest level of medical and sanitary preparedness. An overall committee agrees that it is important that the security of our soldiers should always be the highest priority. At the same time, we also agree that, as I said, it is not possible to guard. That will happen again, I guess we also agree with the fact that we are participating in as risky warfare as in areas in Afghanistan. The Norwegian authorities shall facilitate framework conditions enabling the defence to carry out medical assistance, surgical assistance and emergency medicine at a high level. It means good and accessible medical coverage and sanitary skills. That, we see, will be absolutely crucial in critical situations. What this case has also shown is that it has been difficult to recruit medical personnel for the Defence. It's been a challenge. It is also clear from the statement that there have been many different reasons for this - both that it has become more dangerous to go to Afghanistan, that sanitary missions in Afghanistan are about attracting a scarce specialist resource, and that the mission in Afghanistan has been somewhat meritorious and to a small extent has given professional updates. That is why it is positive that the Minister of Defence and the Minister of Health have concluded an agreement, as it was announced on 5 February, where, together with the Medical Association, an agreement has been made to ensure surgery in the short term. As I understand it, more long-term agreements with health care businesses have now been ensured that the situation we had for a few weeks, namely that there were no surgeons present, is now resolved for the future. It's a very satisfactory situation, and a joint committee is pleased that what was the challenge now seems to be solved. The situation that arose is not because of economics, although it has been part of it, because it turns out now that once you have looked through the matter, that there was financial resources made available. The reason why much of this was demanding was simply that it was difficult to recruit special competencies in surgery and emergency medicine. That was actually the main reason why you couldn't have sufficient surgical preparedness. The Committee has also commented on the resignation agreement between the Defence and Major General Rosén. At the hearing, different views were expressed on what has happened - this is also reflected in this debate. Leave it, but I agree with what others have said - and as the Minister for Defence has also said - that a passport in this agreement could probably have been worded differently. It is important to stress that, of course, the general freedom of expression also applies to the defence staff. That means that you can also participate in a public discussion about priorities and views about the defence -- of course you can. And if you choose to read the agreement as some people have done, it can be understood as a -- let's say -- intervention in the general freedom of expression. Let me stress that I assume without further notice that this was not the purpose of the agreement, but that one should have formulated something different, I think everyone sees that.
ParlaMint-NO_2008-04-08.ana.ud2463e547	The position of the Supervisory and Constitutional Committee of the Storting in this matter deals with three different areas: firstly, the handling of the medical situation of the Norwegian forces in Afghanistan; secondly, the armed forces in Afghanistan; and thirdly, the resignation of Major General Leif Sverre Rosén as head of the Defence Sanitation. The security of the soldiers during foreign operations has been my top priority since I took over as Minister of Defence. It was actively working in the Sanitary Service to obtain agreements that could provide sufficient and predictable access to surgeons to the Stabilisation Unit in Meymaneh after the closure of the Norwegian Field Hospital in Mazar-e Sharif. It worked with agreements with other countries, but this work did not lead to it. In this respect, I would like to repeat what I said earlier in the Stortinget, both in plenary and in the hearing of the Control Committee, namely that, in retrospect, I would like to have taken the initiative towards the Medical Association and the Minister of Health and Care at an earlier stage, as the Committee on Control also points out in its position. But it was always working with solutions that we believed would have an effect. I would also like to stress that I myself have had a strong commitment in the ministry to succeed in precisely medical coverage through many measures, both infrastructure measures, which were necessary to get doctors in place, and to get doctors to Afghanistan. I would also like to stress that the medical coverage was never below the level of ambition underlying the decision to deploy the forces in Meymaneh. I have also noticed that the Control and Constitutional Committee believes that I should at an earlier stage inform the Stortinget about the challenges related to the safety and sanitary situation in Afghanistan, including medical coverage. However, I would like to make it clear that when the Stortinget was not informed about this matter, it was not to hold back information, but rather on the basis of an assessment that the safety and sanitary situation had been considered as sound overall. Had the head of defense at any time meant anything else, I would of course immediately inform the Storting about it. However, when an overall committee says that the Storting should have been informed of the current situation in the past, I will, of course, deal with it and ensure that in the future the Storting gets the level of detail of the information on the ongoing operations that Stortinget wants, as I also stressed in the hearing. The second main point of the position of the Control and Constitutional Committee concerns the armed forces of sanitary personnel in Afghanistan related to the provisions of the Geneva Conventions. I share the Committee's assessment of the need for thorough training and clear legislation in relation to the practice of conventions. I also fully agree with the committee that it is a matter of course that Norwegian forces comply with the Geneva Conventions. As regards the last issue in the Committee's position, namely the relationship of resignation between the Defence and Major General Leif Sverre Rosén, I note that the Committee refers to the point of the termination agreement relating to the confidentiality of the parties. As I also said in the open hearing of the Control and Constitutional Committee, the wording of Rosén's retirement agreement could be suitable for misinterpretation. However, the Chief of Defence has stated that it has never been intended to restrict Rosén’s general freedom of expression, but only to facilitate the most orderly management of the health of the defence during Rosén’s period of leave. I agree with the Committee that this point of the agreement could have been worded differently in favour. Finally, I would like to take the opportunity to briefly explain developments in the medical situation in Afghanistan after I, in a reply to the representative Højbräten, briefed the Stortingen on this February 5th this year. The temporary surgeonship agreement with the Medical Association has met the expectations we had at the time of the conclusion, and secured until 1 April full coverage of surgeons in Meymaneh. For other medical categories, too, this is currently good coverage. From 1 April of this year, medical conditions under the Special Agreement for International Operations shall be granted, where the Medical Association has concluded a collective agreement in line with the agreements concluded for other categories of personnel. In the longer term, we are working to recruit up to 24 surgeons and anaesthetics in cooperation with civil health companies. So far, 20 posts in four hospitals are advertised under the authority of this scheme. These doctors undertake to serve in foreign operations up to three months per year. years in a five-year period. In addition, we are working on a collaborative solution with Macedonia, which, if we succeed, can at times relieve the need for Norwegian specialist health professionals in Afghanistan. The provision of health care to Norwegian health professionals in Afghanistan is therefore now and in the coming period at a satisfactory level. With regard to the safety situation of Norwegian personnel in Afghanistan, I would also like to point out the significant improvement that occurred last week by the fact that an air medicine evacuation unit with three helicopters became operational in Meymaneh. That, as in Norway, there will be days when weather and climate make it impossible to fly, must not overshadow the fact that here we have had a strong improvement in the evacuation opportunities in Meymaneh. I would also like to take the opportunity to mention that we are currently actively working on finding alternative air transport routes into and out of Afghanistan if it would be necessary to make changes in relation to today's arrangements. Finally, I would like to underline three points: firstly, our forces in Afghanistan have never been without medical coverage during this period, even though for periods there have been a lack of certain categories of specialist health professionals. Secondly, the medical situation is only one of a number of factors affecting the overall health and safety situation. And thirdly, our managers in the operating area have continuously adapted the operating pattern to the sanitation resources we've always had available. In total, it has therefore been assessed by the Defence Manager that the total amount of sanitary aid granted to Norwegian departments during the period has been sound. I would like to emphasise again that the security of the personnel has had the greatest focus in the period I have been Minister of Defence. However, it is important that we, as decision-makers, recognise that no matter how much we do, there will be a risk associated with such operations.
ParlaMint-NO_2008-04-08.ana.ud2463e577	It's going to be line change.
ParlaMint-NO_2008-04-08.ana.ud2463e580	I would like to ask the Council of State a question about the relationship with Major General Leif Sverre Rosén. The hearing revealed that the defence was satisfied with the agreement that was signed between 2 and 6 July. When asked if he was satisfied, he answered the following: ‘No, of course not. Well, we're human. And I'm going to live on in a community, I'm going straight back. With such a paper, where it says that I've been fired, how do you think it's to deal with it? You feel that you have to go to the ground and look down when you go to the store." So it's the way the major general, who has served the defense over a long life and done his best to tell us about the lack of sanitation in the defense, felt like getting that agreement. Does the Council of State think it's in place with a never-ending apology for the treatment of the Major General?
ParlaMint-NO_2008-04-08.ana.ud2463e592	With regard to what has been said earlier in this case, I want to relate to the agreement that was concluded between the Defence and Major General Rosén. I perceive, after all, that there was an agreement between two parties, and relate to it.
ParlaMint-NO_2008-04-08.ana.ud2463e598	I referred in my post to the criticism that the committee is included in the vote, and I feel reason to take up again one of these points that I do not think the Council of State has given a satisfactory response to. It goes into this with why you haven't given information to Stortinget in the past. She then said something about the fact that the security situation in Afghanistan was considered satisfactory, but if the head of defence had told me that there was a need to do more, she would of course have given information to the Stortinget. But it was well known, there was knowledge about it in the department, both because of the repeated call of the Defence Sanity that more effort was needed here, more personnel were needed here, and because of the difficulty of recruiting. And the deterioration in the security situation was well known. So here it seems like the council is trying to say that you were in good faith. But does not the Council of State admit that it is she who is really responsible for this, and that she should have informed about it when the knowledge was present in the department?
ParlaMint-NO_2008-04-08.ana.ud2463e605	This is also a matter that can be easier to evaluate in retrospect. I would like to stress that we have always had games in Meymaneh. For shorter periods, for some single weeks, it has not been the necessary specialist medical service. There will be an assessment when you want to inform about something that is perceived as a defect - should you come to Stortinget every time there is a situation? What matters to me is the Chief of Defense's assessment of whether or not the entire operation we're conducting is sound or not. The head of defense has also repeatedly said that this with sufficient personnel is of course one of the factors. Then again, I would like to show that we have taken many initiatives in the area of sanitation, not least the agreement we have concluded with Germany, which has enabled us to borrow German doctors if necessary.
ParlaMint-NO_2008-04-08.ana.ud2463e616	I want to go back to my previous line and my question. The Council of State points out that here there are two parties that have concluded an agreement that she will take note of, or inform, as if there were two foreign parties. She has just referred earlier to the integrated strategic joint management. As Minister of Defence, she has authority of instruction and responsibility for what is going on in the Defence. The Council of State is the head of one party. And when the other party, Rosén, pronounces himself as he has done in the hearing, that he feels kicked, and that he must go with his bowed head in the shop as a result of the picture that the Defense drew of him in the public room, and then you are familiar with the committee position that exists here, doesn't the Council of State think it's in place with a complaint to Rosén, so that he can go again to the store with his raised head, which he deserves?
ParlaMint-NO_2008-04-08.ana.ud2463e623	I have to refer again to the agreement that was concluded with Rosén, which was a permit agreement. There had also been a discussion in advance between Rosén and the head of defence about a wish on the part of Rosén to take out a leave. It would have been about that. six months earlier. These are the conditions in this case that I believe I can decide on. I saw that agreement as an agreement that had been concluded between two parties, with whom I was then informed that Rosén was very satisfied, and which also gave him an opportunity for the professional update that he had asked for.
ParlaMint-NO_2008-04-08.ana.ud2463e628	I want to go back to what was my question, and that went on the orientation -- and the lack of that -- to the Stortinge on the medical situation. I just want to give the Council of State the opportunity to complete its answer, because I don't think the Council of State answered my question about her responsibility in this situation. It might seem that she was in good faith, that everything was very well, but that in the department you knew that was not the case. Does the Council of State see that it is her responsibility, and that she should have given the Stortinget an active information about this at an earlier time?
ParlaMint-NO_2008-04-08.ana.ud2463e633	Of course, it is my responsibility that we have sufficient medical coverage. Of course it's my responsibility. At the same time, the starting point was that this was one of several relationships. We were never without doctors, we were never below the level that was when we took over this PRT from the British. On the contrary, we have had a better medical response. In many areas, we would have taken action to improve the situation. We had taken a lot of initiatives, we had focus on this all the time. And then you always think that you're going to succeed in getting the necessary stable medical coverage. In retrospect, we see that it didn't work out. I wish, as I said, that I had taken initiative with the Minister of Health earlier. When it comes to information for Stortinget, it has never been my intention to hold back information. If this had been a situation that would have stopped us from being able to operate in total, I would of course have informed the Storting about it.
ParlaMint-NO_2008-04-08.ana.ud2463e647	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-04-08.ana.ud2463e652	Just a few notes. Carl I. Hagen and Per-Kristian Foss described the position as «strong criticism» by the Council of State. Konrad Adenauer said that we're all living under the same sky, but everyone doesn't have the same horizon, and we're obviously reading a little bit different things out of the setting. I just want to stress, as Mr. Øystein Djupedal pointed out, that from our point of view we do not perceive the critical comments that lie there, on some points, as ‘strong criticism’. We don't think that would be the basis for that. But when a matter arises that gets political attention, and as it has been difficult to solve, one will always be able to point out that one could formally go to the bodies of the Stortinge with information earlier. So Carl I. Hagen said that he perceived this as an uprising for Rosén. I just want to stress that what was also in place when the matter was expanded in the media, was a kind of implicit responsibility position on the health of the defense because you failed. I have never shared that assessment for my part. Efforts were made for a long time to get things done, but they did not reach the goal. And then a new grip had to be taken. This does not mean that you have pointed to the health of the Defense and its leader as a scapegoat. The complainant also said in his statement that the purpose was not to find scapegoats. So just some reflections about what Carl I. Hagen said that the Stortinge must be able to have its formation or deal with matters if you are in state-owned businesses doing irresponsible staffing. Yes, we agree. But I think you should be very careful about going into individual matters and making an assessment of who might be right, and who might be wrong. I think that's a rather demanding assessment. When Carl I. Hagen says that you see a pattern in the defense -- not only in this case, but also in other matters -- where you don't meet any understanding from their superiors, but just criticism, I don't know where Carl I. Hagen has his experience in human resources from. I think everyone who's been close to having jobs where you've had it knows that it's quite demanding. So finally just to the representative Foss, who I think mixed up signed and the case rapporteur when he said he disagreed with my name of the media dramaturgy, and thought that the media had good coverage for what they wrote. What I pointed out was statements from two representatives of the Progress Party who suggested early in the case that this could end with mistrust proposals. It was a starting point from the jump that I believe was a lot higher than the impact we have had on the matter.
ParlaMint-NO_2008-04-08.ana.ud2463e667	Let me begin by regretting that I confused Ola T. Lånke, who is the case rapporteur, and the representative Hansen. I am completely behind everything like Mr. Loan has said in this case...
ParlaMint-NO_2008-04-08.ana.ud2463e672	Per-Kristian Foss may be able to take the second speaker. I think that's much more dressy!
ParlaMint-NO_2008-04-08.ana.ud2463e676	On the other hand, it was so nice to look at the president! Therefore, to the representative Hansen: Whether you have the horizon or the sky as a reference frame, I would say that the criticism that is addressed in this position, I see as strong, both in the wording and in the fact that a collective committee is behind it. What would be stronger? A mistrust proposal would be stronger. But that would have been voted down, and the Council of State would have gone into a defensive position -- that expression might be misunderstood, but the Council of State would defend all its actions. Here we see that the Council of State has now said: Yes, I should have done it differently. First of all, as she said, the privacy statement could have been made differently. Second, she said that she had wished that she had taken the initiative to reinforce the sanitary situation much earlier. Third, she said that she should probably inform the Stortinget at an earlier time. She tries to explain why she didn't, but she takes note that the Storting had wanted more information and at an earlier time, and takes it into consideration. So here we get by the case rapporteur, just to repeat it, a wise attitude and good wording, and then we feel that the Council of State is changing its practice, and I think that is more important for a control committee than getting the proposal down.
ParlaMint-NO_2008-04-08.ana.ud2463e685	The Council of State recently maintained in the reply that she relates to two parties, two parties she has nothing to do with, and has no responsibility for. When one party is the Defence and Defence Department, I wonder very much about it. She is, in fact, herself the top responsible in both contexts, and she is the one party. So she insists that Rosén was satisfied with the agreement, despite the fact that I quoted from his reply during the hearing. I can also quote from another answer he gave, when it came to whether he repented a little of this: ‘It is possible that it is critical, but such a situation needs to be experienced. It has to be experienced. And even though I have had very good support from many teams, I have to say that it is not--in retrospect, of course, you could think more rationally. But I'm no more than a human being, and I also felt, to say it, that I had little support, so I didn't get any advice, I went from office to office, from the HR director to the head of defense, and then I also learned that you had to be aware that if I didn't leave then, or sought relief, there was someone who would use stronger tools." It is this staff policy that I am asking questions about. It is the supreme authority of the State Council. She is also at the top of the press that the Admiral Raxen has referred to publicly, and as Arne Morten Greenseter mentioned, when they were pressured to seek leave, and for this, with Karlsvik, who has been persecuted for two and a half years, won in two trials and finally got a very favorable settlement for him, a total defeat for the Council of State and the Department's real leadership. We also know about other things. We had one on the TV 2 news yesterday, about two of the employees of Karlsvik, who for two years have been waiting to receive a response from the Defense for what their position is. It's a frustration that we have a lot of signals about growing in Defense, especially in Maritime Defense. Then I think it is frightening that the Council of State is actually expressing that she has not learned anything from all of these matters, but continues to show that apparently Leif Sverre Rosén was satisfied, and she talks about two parties as if these are two parties she has nothing to do with. So one is the Defence Department, which now has an integrated strategic direction in which the Council of State is the top responsible. And if anyone is going to get the order to have the proper treatment of employees, it's the responsibility of the Council of State. I think it's sad that she obviously doesn't take that responsibility.
ParlaMint-NO_2008-04-08.ana.ud2463e697	I will not comment on Hagen’s comments, but I would like to comment on Per-Kristian Foss’ comments, because it should not be a summary of this debate. That Per-Kristian Foss wants to see it the way he does, that this is a strong criticism of the Council of States, I understand, that's the role of the opposition. But at the same time it's in this, and I think that Per-Christian Foss is the foremost one to understand, that as a position, we would never have been in this criticism if it were perceived as a strong criticism. Because there is no basis in the case for strong criticism, but there is a basis for improving medical preparedness in Afghanistan, and we have contributed to this through this case. That means that we have now established agreements that make our soldiers in Afghanistan always have a good surgical readiness, which they did not have for a short period of time. What also emerges from the case is that it has been constantly medically prepared, so that in the case as such, if you look at it from the point of view that the case exploded in the media, a reasonable, balanced conclusion has been reached. The case rapporteur, Lånke, has done an exemplary job in this way in balancing the different considerations involved. That in a retirement agreement with Rosén an unfortunate wording has been used, which both the Council of State and we, an overall committee, see should have been different, yes it is a very small and limited matter when one thinks about how large and extensive this matter was initially, and how much attention it received at the time it exploded. We are very pleased that this matter has come to pass that we now have a better medical preparedness for our soldiers in Afghanistan, and I believe that both the defence management and the defence minister, and also the Stortinge, not least the defence committee, I believe, who have certainly followed this matter with interest, now at all times will be more considerate and attentive as to the fact that medical preparedness and health preparedness are very important components when choosing to send soldiers abroad.
ParlaMint-NO_2008-04-08.ana.ud2463e706	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 2826]]
ParlaMint-NO_2008-04-08.ana.ud2463e722	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies following the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-04-08.ana.ud2463e731	Most people react with disgust when it comes to sexual mutilation. We view it as what it really is -- a criminal act and an abuse of children. Evidence of this is that the entire Health and Welfare Committee shares the deep concern of the proposers that girls in Norway are being sexually mutilated. We know that female genital mutilation is prohibited and punishable in Norway, and that practicing it is contrary to fundamental human rights, the UN Convention on Women and the UN Convention on the Rights of the Child, as it emerges from this attitude. The government has recently presented a new and comprehensive action plan on gender mutilation. The action plan presented has worked from seven different departments concerned by this - health care, child protection, school, kindergartens, police and the groups concerned - all important actors to prevent gender harm. It is recognised that better public cooperation, more competence and effective enforcement of the law are essential. I think we can connect to that. The majority indicate in the setting of the Government’s initiative to involve other important actors in this work. Money has been spent on the prevention and awareness-raising work of non-governmental organisations in settings where appropriate. The government has also increased its efforts to combat gender impairment by 18 million. kr during the period. The entire Committee emphasises in particular what the action plan proposes to strengthen international efforts to prevent gender discrimination. It's very important because WHO figures show that as many as 3 million girls are exposed to sexual harassment every year, and that's cruel numbers. Through this action plan, gender mutilation work will be even more clearly anchored by national, regional and municipal authorities. The Committee considers that Norway is thus contributing to zero tolerance for this serious crime against children. It is clear from the case that there are a number of proposals from the minority in the Committee. They're going to report it on seagoing shipping. The proposals are, in my opinion, made with the best intentions and are an expression of an original commitment to the matter. I don't feel that there's any real discussion and disagreement in the Committee on the intention to prevent and prevent sexual mutilation. However, a majority, consisting of the parties to the government and the Right, believe that the intentions of the proposers are respected in the action plan against gender discrimination, and that is why we do not support those proposals.
ParlaMint-NO_2008-04-08.ana.ud2463e744	Female genital mutilation is prohibited in Norway. The penalty for mutilating girls is imprisonment up to three years and up to eight years if the mutilation leads to death or significant damage to body or health. Ergo, that's where the penalty is. The challenge, on the other hand, is that it is difficult to detect and combat sexual mutilation. Gender impairment as such has never been legally tried in Norway. This is a cross of thought. We have a theoretical law with little or no practical significance, when both magnification and government care too little about them. It's sad for the individual, in this case the girl child. It is sad as to the willingness to stand for a good integration policy. You talk nice about human rights, but you really don't do much to fulfill them. It is the youngest girls who are most vulnerable and who are most often exposed to mutilation. Today it is estimated that we in Norway have approx. 6 700 girls from high-risk countries. The deciduous largest group comes from the high-risk country of Somalia, and when I mention that country in particular, it is based on the fact that prevalence of sexual injury in Somalia is up to 100 pst., according to the World Health Organisation. The bands of the country of origin are often dense, both mentally and physically, and many are regularly visiting the country of origin. It is therefore not easy to detect sexual mutilation committed in Norway or abroad. Culture and family traditions stand strong, and it is not easy for anyone to break out of environments where these traditions stand strongly. The Progress Party agrees with the intentions of the proposers, but does not believe that prevention measures are sufficient to detect gender harm. Sexual mutilation is an abuse and a criminal act that must be taken very seriously, and therefore good concrete measures must be put in place to detect and punish those who are overreachers. I record that no other batch wants to introduce a mandatory health check of the female child in the 4-year-old age, but how can you reveal anything about this mutilation? It is a tragedy for the individual, and it is also a tragedy for a society to stand still on the sidelines and see that defenceless girls must carry out this mutilation. It is also sad that one of those in government, who called for mandatory health check, Karita Bekkemelm, is no longer the Council of State and can defend such an attitude. In this context, we are promoting proposals to extend the compulsory health survey for children with a view to increasing the coverage of gender mutilation. We want to make parents responsible for the damage that has been done and revealed. Furthermore, the Progress Party wishes the professional groups covered by the elimination obligation not only to have an obligation to avert the mutilation itself but also to have an obligation to report and report the situation. We want to take the initiative in international cooperation so that it can be possible to prosecute offences against sex injury, and to change today's legislation so that criminal offences abroad can be prosecuted, even in cases where sexual mutilation is not prohibited. The Norwegian law states that participation in sexual mutilation is a criminal offence. That is exactly why we are promoting this proposal. With this, I will address the proposals of the Advance Party.
ParlaMint-NO_2008-04-08.ana.ud2463e761	The representative Jan-Henrik Fredriksen has taken up the proposal he referred to.
ParlaMint-NO_2008-04-08.ana.ud2463e764	All those who are aware of what sexual mutilation involves must be shaken by such atrocities carried out against innocent girls. Anyone who has heard the screams of the victims of the cruel custom feels a strong urge to do something immediately to prevent this. I am therefore pleased that an overall committee is behind the proposalers' intention to combat sexual mutilation. In 2002, the Co-operation Board presented an action plan containing 33 concrete measures to combat gender harm. Most of the measures were aimed at enhancing the skills of auxiliaries in schools and in other public institutions. The goal was that more people should be aware of the problem and therefore take action to prevent girls from being subjected to this torture, as it actually is. In addition, a significant effort was made on the OK care & knowledge measure, on gender harm. This measure focused primarily on the settings in which sexual mutilation was practised and aimed at preventing it through information and dialogue. The government of Stoltenberg has commendably followed up this work on a new action plan with many good actions. In this area, however, there is a danger that we will become more concerned with showing political power than with finding out what actually helps to prevent gender abuse. In the name of action and good intentions, it is easy to resort to symbolic policies. We also need to be aware that, after fighting injustice, we can commit a new wrong. In my opinion, compulsory screening of all Norwegian girls is a measure that will contribute to thousands of girls being subjected to unnecessary and unpleasant examinations, despite the fact that they are never in danger of being sexually mutilated. Then one could perhaps claim that this would be justified if we had succeeded in preventing some girls from being circumcised. However, I doubt the effect of such an action, all the time the parents of those who are actually at risk can effectively avoid control. This is also pointed out in the final report of the OK project, which was aimed at changing attitudes in settings where sexual mutilation is practised. I share the intention of the proposers to ensure that both health professionals and potential offenders are given more information about sexual mutilation and the serious consequences of this. This was a key instrument in the CSR action plan, but the measures were mainly targeted at population groups where this is practised. After further consideration, the Right considers that the second proposal in the vote is in line with such a targeted information campaign, and we will therefore support it. The entire Norwegian criminal law is based on the assumption that Norwegian law is known to all as long as the rules are properly advertised. The fact that one claims not to know the criminal provisions does not give exemption. On the basis of this, we find it unnatural to sign that certain criminal provisions are known. In that case, some groups of men should be asked to sign that they know that rape and violence in close relationships are punishable, and in the opinion of the Right, this is completely unnecessary. Lack of knowledge of what is punishable in Norway is in any case no excuse for committing criminal offences. There should be no doubt that Norwegian society regards sexual harassment as a very serious and criminal offence and that those who commit or contribute to this criminal act should be held responsible. One of the measures taken on the initiative of the Cooperative Government is the imposition of a criminal sanctions obligation on a number of groups of public servants suspected of sexual harassment. From the Right, we clearly believe that public aid agencies should report to the police if they have a concrete suspicion. I notice that representatives from the Left and Christian People's Party now believe that the threshold for reporting suspicions is too high. I think it is important in this context to remember a central principle of legal certainty, namely that one is innocent until the opposite is proven. We cannot allow large groups without further justification to be considered as potential attackers. Therefore, the Right will insist that there is a concrete suspicion of the obligation to notify. The fight against genital mutilation must be conducted within the framework of the rule of law. Right-wing believe that the fight against gender mutilation must be waged in the settings in which it is practised, through information and discussion with those who consider putting their children to this. We must make clear that this is a serious criminal act against which Norwegian society will react strongly. However, it is important to distinguish between our own need to express moral indifference and what effectively helps to prevent sexual mutilation. In this way, it is worth noting the conclusion of the final report of the OK project, which states: ‘Not threats, but information and dialogue with women and men from countries that practice circumcision is the only way to overcome this cruel custom.’
