ParlaMint-NO_2008-02-28.ana.ud2591e47	The representative of Åse Gunhild Woie Duesund will present two proposals for representatives.
ParlaMint-NO_2008-02-28.ana.ud2591e487	I think I'll start with what I've also written in the interpellation text, namely that I know that there are a lot of competent, pleasant and conscientious people working on this field, and that they have a huge amount of work. Nevertheless, I think there may be some signals from the political environment that have not arrived, and that there are some cultures that sit down. That is why I have chosen to raise this as an interpellant debate and not as a private proposal, and hope that the Council of State will also participate in a slightly more reflective round of how we can reverse trends, how we can create cultures that do not undermine the political desires we have. In the legal security system, we have set some procedural requirements. This applies to the rules of procedure of the Administrative Act, which include, inter alia: flexibility, obligation to provide guidance, professional secrecy and a number of other things. Then we have some unwritten rules that the procedure should be sound. And we have some unwritten standards that are about good governance, but also about good peoples. Trust in a democracy is based on a closeness, an understanding of the motivation for action, a sense of justice, and also a sense of equal treatment, and proper treatment. What has come to light through work for many years in this field is that many people feel very lawless during treatment in this system. I want to give six main examples of things that we often encounter. The first is that there is a very long process time - we have known that for a long time - but also that you get incorrect information about what is the process time. Let me take an example from a letter I have received: ‘We applied for a so-called engagement visa 16/2 2007 at the embassy in Ankara. We were told that the treatment period is 6 months. When I returned to Norway, I checked with UDI’s websites. It didn't say six, but eight months of treatment. In the summer/summer, treatment duration increased to 9 months [[I see that UDI has now put it down to 10 on its websites.]] Another problem is that very many people spend a very long time in the queue on UDI's information phone. It was actually an initiative to make it easier to identify applications and to make it easier to obtain information on applications. As one writes to us: ‘UDI’s information telephone is a small useful measure. After up to an hour in queue -- sometimes longer, sometimes shorter, you didn't get any answers to any of the world's things. They did not know where the application was in the order, could not say anything about the treatment time beyond what was on the websites.’ Another printer: «First, you sit on the phone for 40 minutes and wait for answers. When you finally get there, they can't really explain what you're asking. Why must it be so difficult? [[...]] A third element is all the letters that are not answered. According to the Norwegian administrative law, all letters must be answered. We don't know that's happening. I'm quoting again: “I then wrote to the UDI asking why they claimed that the purpose of the stay was uncertain when the purpose was to visit me. I did not get an answer to this question. This surprised me, when I thought that both I and the visa seekers had a claim for a better reason." Another printer: ‘I made two written enquiries in letter form with specific questions during the period. I have not received an answer to these to date. I was told by a friend of the embassy system that they did not respond to general enquiries." [[UD]] My fourth point is what very many people experience that is very painful, especially related to visa applications, and that is suspicion. Here we have a lot of examples. I can quote from one: "In the period before the grant, we applied twice for a tourist visa for my girlfriend, and I made an unofficial enquiry to the immigration officer at the embassy. What we experienced there was a code that suspected all applicants as potential cellars and hoppers who were to be rejected at any price." Another printer: “I was informed by UDI that the rejection had been forwarded to the Department of Foreign Affairs, while they informed me that the case had been sent to the police. I contacted the Haugesund Police Chamber to answer questions, and they gave the impression that they had no objections against receiving visits from friends in Peru. [[on visa]] [[I became 'heaven', and began to wonder if it was to me something uncertain about!]] I was treated very kindly, but they clearly expressed their dissatisfaction that the UDI would burden them with such “fills” and said they had other things to spend time with. They said they were abandoned over the UDI, as they said had evolved into a state in the state." The fifth point concerns incomprehensible refusals/bad reasons. Here I also have a lot of examples. I'm not going to go into detail about them right now, but people feel that they're getting unwarranted rejections, are justified by information that doesn't exist, or are justified by information that they couldn't possibly have known they should have given. The sixth point is case handlers who follow the rule line completely slavish. Here's a good example. Someone has written to me: ‘We had applied to get au pair from the Philippines. The contract was completed, but we heard nothing from UDI. Finally we contacted him. After three quarters of the phone queue and a lot of argumentation with the telephone guard, we finally got to talk to our case handler. [[...]] She said that we had not filled in the contract correctly. After the correct number of hours that are legal, we would unfortunately have written: ‘Maybe there will be some extra work if there is a crisis in the home. The salary will then increase’. We'd thought of a sudden illness or something like that. But it wasn't allowed! Au pairs should work up to 30 hours a week. Basta. Okay, we said. - Can't you just delete that sentence and we'll sign it again as an employer? - This is just for the au pair. But no! The contract was not properly completed and it had to be before she began to process the application. That is, we had to: write a new contract, fax it to the Manila Embassy, our future au pair had to travel five hours to Manila -- again -- to sign, and then fax it back to the UDI. As a result, the case handler could finally start looking at the matter. Is it nice to be slow in that system? It is part of the story that it took us a year to get permission." Now I've drawn six different points out, and I have to all the points a lot of examples of things. There are problems that citizens experience in everyday life, in the face of a system that is probably overworked, but where it has also developed a culture for the real purpose of managing an immigration stop - while in this house there has been a major change in the attitude towards labour immigration, in the attitude towards visas, in the attitude of girlfriend associations, etc. I feel that the attitude change has not occurred downwards in the system. That's why I think it's important that we politicians give signals down the system that there might not be a crisis if our lecturer in Haugesund gets a visit from his friends from Peru. It's quite incomprehensible to people when they, for example. appears on the list of visa-free countries and sees that Guatemala, Honduras, Chile, Costa Rica and Nicaragua are visa-free, while at the same time it is very important to stop a university secretary from Lima from visiting his friend in Haugesund. There's a lot of examples like this that you've come up with over time, and that's why I wanted to collect all of this. My challenge to the Council of State is whether you can do some bigger thing to solve this, whether you can turn cultures -- and also try to give political signals that today's challenge is not necessarily to stop everyone who wants to have friends on visit, and that there might be a slightly different focus in this administration.
ParlaMint-NO_2008-02-28.ana.ud2591e550	The representative, Skei Grande, addresses an important topic, which there is every reason to take seriously. It concerns both information, guidance, accessibility, how to be met by government employees and the length of the procedure. Let there be no doubt that the Government aims to have a comprehensive, efficient and user-oriented foreign management. The Commission, which examined the Foreign Affairs Directorate in the spring of 2006, criticised the quality of the proceedings. Following the review, a major follow-up work has been carried out both in the Department and in the Directorate for Foreign Affairs. The Directorate for Foreign Affairs has implemented a number of measures to ensure the necessary quality of the procedure. This means that the Directorate for Foreign Affairs is now using more resources per year. I'm sorry. The work of putting the user in focus and developing the service in the foreign administration is done systematically and at several levels. The Ministry of Labour and Inclusion, the Ministry of Justice and the Ministry of Foreign Affairs have now developed a common service strategy for the Foreign Administration for 2008-2011. Its purpose is to focus users on all parts of the foreign administration. The strategy points to some overall service objectives and bet areas for the period. Each activity shall draw up an action plan for its own area of responsibility, based on the objectives and challenges it faces. A user survey shall also be carried out in 2008. Anyone working in the foreign administration should know about the service strategy whether they have direct contact with the users or not. All shall show respect for the needs of users, both in service and information tasks and in the role of controller. This includes, inter alia: that applications are to be processed within a reasonable period of time and that applicants are to receive good and comprehensible information in the course of proceedings and when they receive an answer to the application. Users shall meet with kindness, transparency and respect, and the staff of the foreign manager shall act in such a way that users are given confidence in the proper handling of applications. The areas for service for the years 2008-2011 are: effective, legal certainty and predictable process at all stages of the management of aliens, coherent, coordinated and targeted information to users, personal service and transparency to all persons making contact; In recent years, the Directorate for Foreign Affairs has seen a sharp increase in the number of cases, particularly in the areas of labour immigration, family immigration and citizenship. This has given rise to major challenges, including providing adequate and good service. In 2007, the Foreign Affairs Directorate dealt with 91 000 cases, 32 pst. more issues than in 2006. Foreign subjects dealt with in 2007 12 000 complaints, 1000 more than one year earlier. I am pleased that the capacity has increased, and that the number of pending cases during 2007 was reduced - in the Foreign Affairs Directorate by 17 p.m. and in the Foreigner’s issue of 27 p.m. As the number of pending cases decreases, so does the time taken to deal with them. In order to increase its capacity, the Foreign Affairs Directorate received an additional allocation of 82.5 million in spring 2007. kr, and UDI increased the crew by about 150 years. The appropriations continued in 2008. Both I and UDI are aware that the level of service in the foreign administration can and should be improved. A number of measures to improve user service have therefore been taken in 2007. UDI's information service has increased staffing. The average waiting time on the phone has been reduced from approx. 20 minutes at the beginning of 2007 to 7 minutes at the end of the same year. In 2007, 118 000 telephones were answered. That's an increase of 16 pst. from the previous year. In addition, 34 000 e-mails were answered. Furthermore, UDI has established its own employer service, which means that employers can contact UDI's case handlers directly by telephone or by e-mail. This has been very well received. In October 2007, a service centre for foreign workers was opened on the island of Tøen in Oslo. This is a cooperation between the UDI, the police, the tax administration and the Labour Inspectorate. The service centre provides better and faster service to people applying for a work permit and to their employers. This is a test project which will gradually be expanded to several sites. Increased efforts in 2007 have thus been positive and, as already mentioned, have produced results. I would also like to mention that the UDI has adopted an overall strategy for the period 2007-2010, where the commitment to service is one of the main elements. A project has been launched for the introduction of full electronic processing in the foreign administration. Considerable efficiency gains can be expected here, which will also benefit the user. As part of this project, electronic self-service solutions are also provided for a number of application types. In addition, users should be given the opportunity to check their own status online. The 2007 revised national budget provided a first allocation of 15 million. kr, followed up in 2008. Another important strategic approach is to further differentiate the procedure. The UDI shall facilitate legal and desired immigration while at the same time preventing illegal immigration. The strategy proposes to spend less time and resources on issues that are experientially curative and concentrate a greater proportion of the resources on issues where the risk of misuse of the immigration provisions is high. Such differentiation would mean that curative matters could be dealt with more quickly. Developing systems to facilitate this is now under way. There is also a lot to learn from a better interaction and division of labour between the actors in the foreign field, i.e. UDI, police and foreign service. Police and foreign stations are currently the first line service for all applications for residence and work permits. The police are taking decisions in a significant number of cases. Most visa items are processed at foreign stations. In addition, many cases are in several instances before decisions are taken. The Ministry of Labour and Inclusion, the Ministry of Justice and the Ministry of Foreign Affairs have therefore launched a separate project to review the flow of business throughout the administration of foreign affairs in order to achieve efficient resource use, rapid procedures, satisfactory quality and good service. Through better interaction between the different actors in the foreign field, increased processing capacity, new electronic solutions and a more differentiated procedure, I expect a large part of the users to experience an improved level of service in the next few years. The users of the administration shall meet with respect. It is also a fundamental prerequisite for the management of non-residents. A user survey in the autumn of 2007 shows that 89 pst. Of the people who had contacted UDI's information service, they said that they experienced being met with kindness and respect - this is up from 80 p.m. in a similar study for 2006. I would also like to mention that six-monthly studies are carried out on the theme ‘Trust in Norwegian Foreign Authorities’. The results of the December survey show that confidence in foreign authorities has never been greater since the survey started six years ago. Although developments in 2007 have been positive, and a number of measures have been put in place to improve the service, I still see that the provision of services to non-residents can be even better. There is also a systematic effort to improve this area. This is an area I will continue to focus on in the future. The strategies and reporting by the agencies on the achievement of results will be followed up by the Ministry to ensure that the foreign administration is seen as a service set in line with good governance, as is the work of Trine Skei Grande. Finally, I would like to mention that my department has initiated an external review of foreign policy in relation to the choice of decision-making form. The results of this review will be used as a basis for the work on the regulations of the new Foreign Affairs Act.
ParlaMint-NO_2008-02-28.ana.ud2591e598	I thank the Council of State for the answer. I understand that there are enormous challenges in this field. I also understand that there are many positive things happening. I am particularly positive about a differentiation of the procedure, because it is perceived by Norwegian citizens in particular who want friends to visit, which is quite incomprehensible that there is going to be so much energy to do otherwise quite simple things as difficult as possible--so you have to understand. Then I am very positive about what is said about electronic processing. I would like to know if the Council of State has any progress plan for exactly this. It's part of the administrative law that I feel is important, both when you're working on visa applications, and when you're working on more serious issues, and that's the duty of information. I would like to quote from an e-mail from a resident who had filed an appeal against a refusal. He was informed that ‘they also stated that they had noticed that she’d – she who applied for a visa to come as her guest to Norway – ‘had work in her home country, but that there was no evidence that she had been given free/permit by her employer to travel to Norway’. In addition, it says: ‘I also cannot understand that this can be a valid argument. I actually thought that you are free to travel where you want on your holiday without any leave/permit from your employer.’ In any case, he had done this many times, including during a visit to other countries. It also says: "They also wrote that it was not documented that she was in possession of property or that she has other financial obligations in her country of origin. Why do you have to have this kind of documentation around the world? Should you have a debt in order to obtain a tourist visa to Norway? I asked UNE if the visa seeker had been made aware that such documentation is required. I did not get an answer to this." I believe that the obligation to provide information related to the background to the refusal may be solved by improving the procedure in an electronic way, because then everyone is told what they are actually going to say. But I have another challenge for the Council of State. It is to look at whether it is possible to think of Altinn as well in this respect - to give applicants a password and the opportunity to follow their application online - because it is clear that in the case of Servicetorget, we have received a lot of complaints that you really do not get an answer. An electronic processing process will make it even much easier to follow their case online and thus also get to know where it is in the queue, and what has happened to it since the last time. We are also very positive about the evaluation of UNE. The left wants such an evaluation. We also believe that it must be possible for some foreign stations to apply for visa applicants in a grey zone to report to the foreign station on return. This, in combination with e.g. a financial guarantee from the resident would allow the foreign stations to conduct a slightly more liberal visa practice in some cases. I wonder if the Council of State is willing to also assess such grips.
ParlaMint-NO_2008-02-28.ana.ud2591e632	What we need to be aware of in this matter is that we are moving in a border country between the desire for an effective procedure and the need for control. There is no doubt that there are many of them, for example: apply for a visa to Norway, which has a 100 pst. fair grounds, and which certainly experience the control to which they are subjected, as premature, that it leads to a long period of proceedings and that they do not intend at all to abuse the visa they may receive. But just because our experience is that others have completely different intentions, they also become people with a 100 pst. fair motive exposed to that type of control. It's hard when you're sitting with the application in front of you, just through the application to decide which of the two categories I now had, the applicant belongs to. But as long as we're going to have a visa policy in Norway, I think we have to take into account that a check is being carried out that leads to a number of questions that some people will experience as unreasonable from the point of view of their honest intentions. It is clear that the example that Trine Skei Grande now referred to - among other things. in certain contexts, it is assessed whether one has property and financial obligations in its home country - is about assessing whether one believes that there are strong return assumptions. Of course, you check the fact that if you do not have any obligations back in your home country - neither property nor financial obligations nor work - well, then the return assumptions are weaker than the other way around. I think we need to distinguish between a possible desire for a general liberalisation of visa policy and a criticism of the UDI regime. It doesn't necessarily have to be two sides of the same thing. Although I ask questions about the starting point of the interpellant through what I have said now, I still feel quite certain that as a base tone the interpellant and I have exactly the same intention that this should of course be checked and checked - but not more than what is needed, and in a proper, friendly and proper way. I agree with the interpellant that electronic processing is an important instrument. I am quite shocked that so many for so many years have allowed the UDI to function in the way they have - almost at a rock age level in terms of documents. I am therefore very pleased that we now have electronic processing in place, which means that the ambitions of the interpellant that people can follow their case online will be part of the reality.
ParlaMint-NO_2008-02-28.ana.ud2591e650	As with the interpellant, of course, the Progress Party also believes that it should be a matter of course that users experience service and respectful treatment when in contact with the UDI when in contact with the UNE. There, as in all other parts of Norwegian administration, it should be a matter of course. But I have to say that as far as the Left's approach to this matter is concerned, I am, like the Council of State, a little bit concerned to see where the border goes between the very clear desire of the Left for a far, far more liberal immigration policy and what goes directly on the administrative level. To the extent that there is some control in the foreign field, it is clear that some users will experience a part of the procedure that may be a bit difficult. But it's an effect that you have to have control of the area. I'm questioning what the situation would have been if the Left with its very, very liberal immigration policy had been implemented. What had happened not least to the processing time, as the interpellant also took up. This, of course, would have led to far, far more applicants in the foreign area, who would have in turn led to longer queues and longer processing time. It is obvious that there is a link here between foreign policy and queues and processing time. It's not going to get out of hand. I have some problems seeing where the Left really stops talking about politics and rather talks about administration as such. It is positive that the Council of State is moving towards seeking a more differentiated procedure between areas where it is experienced to know that illegal applicants and people exploiting the system and areas which can actually be quite simple to deal with. I think that differentiation is important because we have subjects in the foreign field where there is much more abuse of permits than there is in other areas. Family immigration is such an area, and not least in the area of asylum it is absolutely the case. Then it's very positive that you signal a greater degree of differentiation. Secondly, I think it is a little special that Trine Skei Grande, on behalf of the Left, talks about signals and attitudes in the Stortinget, and about whether it should be implemented in relation to the administration. It is the policy change that management has to deal with. It is the decisions taken in the Grand Duchy, not possibly the positive and very liberal view of immigration, which must be reflected in this way. At the request of the Progress Party, we should have far stronger control of this field. But I'm saying that all the time we have a certain degree of control in this area, it's going to be dissatisfied users. I have personally received such enquiries from people who feel that they are being unfairly treated, who complain and feel that they are not being met with really good service. But what I often see is people who are dissatisfied with the rejections they have received. That's usually a reason people have been denied. As long as you have a discount on the foreign field, you'll never get 100 pst. user satisfaction. I hope that the Left does not want us to have 100 percent user satisfaction when it comes to UDI and UNE decisions. In that case, it is the very, very liberal immigration policy of the Left. It certainly does not want me to see completed in this country.
ParlaMint-NO_2008-02-28.ana.ud2591e665	I would like to start by saying that I think the Council of State in its contribution came with many positive signals. It is good that we have got a common service strategy that will go over several years, with user studies, where you can follow your case online, and differentiated procedure. I think it is very good, and I look forward to it being implemented. Trust in our asylum institute depends on decisions being implemented and implemented as quickly as possible. In addition, more rapid processing and more rapid settlement will be beneficial for the overall integration work. In fact, I am generally concerned about the length of the procedure that we have had and that we still have with the foreign authorities, both in the cases where asylum seekers are allowed to stay and to reside, and in those cases where it takes too long to enforce decisions on rejection of asylum or residence permits, or expulsion and expulsion decisions. There is a work that needs to be given greater attention, regardless of whether it is a matter for the foreign administration or the police. As is known, the legislation in the foreign field has been established in such a way that it is UDI and UNE that assesses and determines individual matters. As politicians, therefore, we should not go into decisions in relation to individual cases in that area. But it is important that we deal with procedure and bureaucracy, and it must be as effective as possible without jeopardising the necessary thoroughness and quality. On the right, we want a strict but fair immigration policy, and it must be predictable. In principle, we believe that the legislation we have is good and sufficient only if it is used with the right discretion, or what we in good Norwegian can call healthy farm fat. I hear the Council of State say there has been a positive development in 2007. I think it's good that the Council of State sees that it can get better, because that's also my impression. I'm aware that we have borderland, and that it's not always easy. But I see clearly that our bureaucracy has great potential for improvement in relation to individual matters. I have to be so honest and say that in many inquiries I have put great questions about administration and practice in relation to our law. There is not a long time between getting an enquiry from people who have been rejected or who feel ill-treated in relation to bureaucracy. I'm going to take one concrete example, it knows the council from a previous question from my side. There was a Northman who had been to Colombia on vacation, met a girlfriend there, and had been there many times and developed the relationship. After a year and a half, he thought it was time that she was allowed to come to Norway. All the papers were provided and the financial guarantee was provided. All the papers were in order and everything was after the book, but they were refused. First, six months went by, and then there was an appeal and a new rejection. This involved me in this case, where my concern is that the answer I saw from the UDI was that they had interpreted everything in the worst sense in this case. We're in the frontier country, I'm aware of that, but I get worried when I see -- with my eyes -- that there's not enough emphasis on an individual treatment and a sense of discretion. Why I say that, is because the letter from UDI contained an explanation that says -- it says in English, I'm going to try to translate -- after UDI's experience with special groups or nationalities, where they have poor experience, they've developed the practice that in very rare cases they grant visas. It's only in very special cases. I believe that the burden of proof should actually be reversed. At least an individual treatment should be provided on a neutral and discretionary basis. On that basis, I have great doubts about a part of the UDI procedure. I'm also going to take a little bit of the visa regime, which I think can get better. I know that the Embassy in Morocco has good practice in following the visa seekers and checking that they come back to the country on return. I am a little sorry that the Council of State did not want to go into it as a general contribution to the new Foreign Affairs Act. That is what we are going to propose and hope that there can be practice in our country.
ParlaMint-NO_2008-02-28.ana.ud2591e684	The Directorate for Foreign Affairs has some core values: they must show respect for users and their situation. They must show respect for their colleagues and contribute to a good working environment. Staff shall ensure the quality and efficiency of all they do. They shall be factual and objective, loyal to the law, instructions and objectives of their activities. They shall see the whole and the interaction between tasks and take joint responsibility for achieving good results. They shall communicate openly and clearly. There are high targets and core values to be agreed upon. Like Trine Skei Grande, I get a lot of enquiries from people who have been in contact with UDI or UNE. Unfortunately, I have to say that the problem that is the starting point for the interpellation today often seems to be real. I have a great deal of understanding that the foreign administration can be a challenging field to work on, also challenging in order to meet the high targets in terms of core values. It takes a lot of an employee to maintain professionalism, when a manifest encounters a strong destiny. As an employee of the UDI, you will also meet closely with people who will try to exploit the system. I understand that it may be difficult to start with blank sheets for each new case. I don't know if that's possible at all, because you'll always carry with you experiences from past cases. There is no doubt that the foreign administration may be a demanding place to contact. A large number of employees are required to have a comprehensive overview of a demanding set of legislation, regulations and circulars. The person making the request depends on getting the correct information and answers to their questions. The field is complicated for those who work on it for the day to day, and then we can imagine how difficult it is for the man in the street. It'll be frustrating if you don't experience getting the help you need. There may be answers to questions that should really be good for the case handlers to answer, for example. questions about the variant of the application to be selected. I just heard from a young Norwegian and very resourceful woman with an American girlfriend. The two would like to live in the same country and spend more time together to get better acquainted. He had a job offer at a school in Oslo and had worked as a musician in the United States for many years. She contacted the UDI and the police in good time before the expected date of the girlfriend's arrival. She also met personally many months before the planned arrival because she felt that she was getting poor help via the phone. She would be sure to do everything quite right. Nevertheless, to make a long story short: She met a system of case handlers who gave totally contradictory information about what type of residence permit the girlfriend was going to apply, about where she was going to turn, and she met case handlers who just didn't know, but who just put her over and put her over. It can't be like that! At the same time, there is another side of the matter that it is important to bring with it. I think we, as big-time representatives, are getting calls from people who are using us as a last resort, with a call for help, when they feel that all other possibilities are tested. We are not contacted by all of them - the high percentage - who are satisfied with the answers they have received from the foreign administration. We hear nothing from the thousands who have nothing to complain about. But in sum: I agree with the interpellant on this matter. There is a need for a review of the UDI and an evaluation of the UNE with a view to examining whether the administration of foreigners has been serviced, in line with good administrative practice, and to examine whether there is a potential for efficiency improvement - not only because it is important to be sure that those in direct contact with this administration are treated in line with core values, but also because it is important for the general population to respect the institution of asylum. Then I have to be allowed to add: regardless of whether people are refused or not at their own application, they will be treated with respect. Core values apply to all those in contact.
ParlaMint-NO_2008-02-28.ana.ud2591e706	Let's do a little thought experiment. Let's say that the interpellation, with the examples, had not been about today's topic, but had been about the meeting with the new welfare management. Then the Storting would be deeply engaged as an agent - and I am absolutely sure that the Advance Party would be deeply engaged as an agent, for they are! If this debate had been about how the planetate, for example. in the municipality of Oslo, a person who is applying for permission to build a garage, I am absolutely sure that we would have had a dedicated municipal debate if the behaviour had been close to the behaviour of the representative Trine Skei Grande. For my part, and on behalf of the Left, I am actually pleased that the Council of States has been consistent in the two debates on parallel issues in which I have spoken, namely, the meeting of new welfare management, by being open and clear that the rules of the game are being followed in society. You have to meet people really. It was the same attitude that the Council of State had today, and I am pleased about that. At the same time, the Left fully acknowledges the dilemmas expressed by the Council of State when he spoke about the balance between control and being proper. In this debate we have not challenged the policy, we have challenged the way to act. I'm just allowed to say that the Progress Party has hurt to believe it. I am absolutely convinced that the representative, Amundsen, would be adamant to the pulpit as an agent if it were for new welfare management or foreclosure and coercion in a municipality. As a liberal, I am simply told that it is a selective liberalism that is practised. In the Progress Party it is a selective ombudsman role. The councils don't do that, and I'm glad to be able to say that. I think what the representative Skei Grande has taken up is in the Council of State's response, that we have to be able to meet people in a proper way. There's a cross of thought here. On the one hand, for many years in Norway, we have been on guard that no one should abuse the institution of asylum, and then we have been open - at least an overwhelming majority in the main hall - to have an honest door to Norway, i.e. a labour immigration. We've been for that. We've also been for when people have settled in this country in a proper way and have fulfilled the old oath, commitment, which is social democracy and left love, namely that you have to do your duty and demand your right, people have to be treated properly, no matter who they are. That is exactly what is at the heart of this matter. Let's take a case that was in the public light recently, about a lady who had won the competition to become a scholarship at NTNU, and who is now expelled by Schengen and Norway. So she was treated as tough as mulla crickets, except that we're not sending out crickets right now. I'm not going to criticize that, because that's the good reason. But I think, what if we had someone with a duty of guidance similar to that of the Municipality of Oslo? If you fill in a bad garage request, there's a bureaucrat calling and saying, "Hello, you've filled in a little bad application." Maybe you should have done it this way instead. Imagine if someone had told this person that family reunification can be tough in your case, but that there are actually places in specialist workplaces -- we have other allowances. Imagine if someone had said, "Drop the application." In your case, you could probably go home safely and send the application. Then we might have kept a very competent worker in Norway, and we had not expelled one from Schengen and Norway for life. So, there's something about this lack of guidance. I understand that this is difficult in a system like the UDI, which has so much pressure, where they are going to manage control in some areas, but then they are going to respect Norwegian citizens who link contacts in a legitimate way with visas, and then you get transition to work immigration in other areas, which is what we want. What I'm happy about is that the Council of States has been open about this and done it in a real way. I would like to say to the Council of State that he can count on the policy to be liberalised in the Left, we should say so. We're going to say that from about. We're going to flag it so clearly that it'll be clear. But when it comes to dealing with the obligation of guidance in a sensible way, we actually believe the same thing about this that we believe that a primary doctor should speak properly to a patient, that a social worker should speak properly to a client, and that one in the new welfare management should speak properly, without giving the normality that one should, of course, care for law, law and duty. We have that expectation in all other parts of society, and therefore it is quite important that we also have it in the administration of foreigners, in a world where there is as much openness as there is, and where we in Norway, at least with great openness and willingness, wanted to increase labour immigration. We had a debate with the Prime Minister in the spontaneous question hour, where the question was, how much labour would we actually have in this country if we were to spend even more oil money? It is now that we in Norway want to have these free hands, and then it becomes a crossroads when we get the episode from NTNU, where NTNU says that they do not really feel that they met service or help on the road, but that they did. There are certainly other aspects of this matter as well, but the pure principle of understanding these regimes requires good political direction. I am at least glad that I have now heard a councillor--since I have been in a similar position once--that meets this openly, not with the winch bridge pulled up. At least that promises good for the continuation.
ParlaMint-NO_2008-02-28.ana.ud2591e728	I am at least very happy that the opposition parties are concerned about this matter, sail if I think that the Progress Party is a little boisterous about what was the subject. I have to say that I am the representative of my constituents, and from the e-mails I received only this morning, you can see that there are many who are very happy to be heard about something that they feel like a hopelessness that you do not get through. It's not just about rejection, it's about how you're treated. I hope that at the end of his speech, the Council of State might say something more about the date when he thinks he is able to get an electronic procedure. One wrote in one of my inquiries: ‘I believe I heard on the radio that the government has stated that it wants more tourists to the country, much more. In a chronicle in the Evening Post on 1 June 2007, Foreign Minister Støre asks the question of Norway in addition to being perceived as a small and rich country is also perceived as a foreign country. I think, unfortunately, that the very many applicants for a tourist visa who have been subjected to the systematic suspicion that I have the impression that UDI and UNE are driving will unfortunately answer, ‘Yes, Norway is a bad country’.’ This is not just about the conclusion of the application, but it is about the treatment you receive along the way. For example, I see myself. it is very healthy of an agency to learn to apologize when you have rejected the application, and learn to apologize when you have made a mistake and it is fixed one year later. That might also be a healthy part. I think it's a healthy part of an interpersonal relationship that one actually also learns to apologize when it's done wrong. Many applicants perceive that they have the opportunity to make as many mistakes as they do without saying that they are sorry on the one hand, while on the other hand they are actually taken for not having attached documents that nobody asked for. I believe that this duty of information is a major challenge for the agency, which I believe can be solved in many ways by electronic processing, in order for things to go both faster and more correctly. We in the left are also concerned that things should be right. I think we're on the right track, but it's also important that we address the frustration that many people feel when they encounter such systems. And then I actually think that a lot of this could go a lot faster if you were more concerned with making arrangements that ensure return e.g.. on visas, which can be done at embassies and elsewhere, but to try with light and light to find all kinds of possible, imaginable faults, in order to be able to find an argument for a refusal. Or you just get to say that from some countries you can't come to Norway. It would really be an equal system, if you can't find another administration of this.
ParlaMint-NO_2008-02-28.ana.ud2591e748	Let me just first comment on a few things of what the representative Holmberg was in his post. I'll say 100 pst. agree that any applicant for a stay in Norway is entitled to an individual treatment. The whole foundation of the foreign administration shall be to see each applicant. It should be the strength, and there are also challenges associated with it. I fully agree with Holmberg that you cannot have general rules that a person from a country per. the definition shall not be given a visa, e.g. It must be an individual treatment. Then there are some countries we have reason to control extra carefully, because our experiences are very bad. But it has to be an individual treatment. I have tried to go to this debate with a very humble attitude, because I believe there is every reason to focus on the fact that the level of service can improve in the foreign administration. I don't want to polemize in relation to the debate, but the humble attitude might also have been an idea that some more had. It is now under this government we have got 150 new jobs in the UDI, it was in 2007 that the waiting time on the phone went down from 20 minutes - it was even longer before that - to 7 minutes, and that is now we are introducing electronic processing. During the previous government, documents were run between the UDI and the police in a van, daily. During the previous government we had no service office on Tøen. We've got that now. There is now a common service strategy between the Ministry of Labour and Inclusion, the Ministry of Foreign Affairs and the Ministry of Justice. Thus, a number of measures are now being implemented in the field by area. I am humble as to the fact that we have not reached the goal, but humility may clothe more than just us who are now responsible for it as per. today is the situation. So we've taken over after some people, and it was enough work to get started when we took over. Then I think what the representative Dørum has in mind is very important, that is, the obligation to provide information, the obligation to provide guidance. It is a very demanding matter. The case from Trondheim is about a person who is applying for family reunification, is granted on that basis, and since then, after the assessment by the foreigner, the authorisation she has received is misused. It's a crime that it has to react to, I mean. There can be no difference between King Solomon and Jørgen hatmaker. However, if there could have been better guidance on initial treatment, it is an important matter to discuss further.
ParlaMint-NO_2008-02-28.ana.ud2591e757	The debate on substance is closed. 4 is over.
ParlaMint-NO_2008-02-28.ana.ud2591e763	The size is then ready to go to voting.
