ParlaMint-NO_2008-02-13.ana.ud1703e22	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2008-02-13.ana.ud1703e450	There will be follow-up questions - first Lars Sponheim.
ParlaMint-NO_2008-02-13.ana.ud1703e453	The point is that Aker Kværner's activity at Sellafield helps to implement a project that I have understood the Norwegian government is opposed to, in line with previous governments. Aker Kværner has the right to do that. Within the EEA Agreement, they may undertake missions even if they are in favour of Norwegian political interests. The problem is getting significantly bigger when the Norwegian government, with the State Council of Solheim at the table, chooses to buy into this company. It can only be seen from the outside that one thus places less emphasis on political commitment by not reopening the Thorp plant or processing plant. A bishop calls this double morality. Former state councillor Berntsen is a pain in the ass. I have even good memories of sparkling rounds between former state councillor Berntsen and then big business representative Erik Solheim. I just have an idea of what words Solheim would use in this case. What will he use when he stands on that side of the pulpit?
ParlaMint-NO_2008-02-13.ana.ud1703e463	Thorbjørn Berntsen is probably the best Environment Minister Norway has had, but God isn't, and right here he said himself a little too early. Reality is the general problem: we are – to speak well Norwegian – ‘dead against Sellafield’. We believe that the reprocessing plant there could be a threat to the Norwegian coast and should be closed, as we believe that the Kola plant should be closed. But then the question is, when the British and Russian governments maintain this, isn't it entirely legitimate to try to make security there as good as possible? We have helped to try to make the safety of Kola as good as possible, despite the fact that we want to shut the plant down. It can't be wrong to help try to make the security of Sellafield the best possible, while using all the political channels we have - and we will continue to do so - to try to get it closed, and above all to ensure that reprocessing is not a permanent part of the British nuclear industry.
ParlaMint-NO_2008-02-13.ana.ud1703e468	Per-Kristian Foss - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e471	I don't stop being impressed, not over the council, but over Kjell Inge Smoke, who manages to raise $5 billion and bind the state that owns for ten years, and at the top of it all he now acquires two councillors as press workers. I understand that the Council of State did not follow the Focus programme yesterday, where the Minister of Industry appeared as a spokesman for the company - it was very well done, at least with the script he had. And the current Solheim State Council also appears in the same way. Doesn't Erik Solheim, Councillor Solheim, realize that this weakens the Norwegian credibility of the protests against Sellafield? Does the Council of State really believe that double standards work twice as well?
ParlaMint-NO_2008-02-13.ana.ud1703e476	In my opinion, the opposition introduces a completely irrelevant issue in this, namely the question of 100 pst., 50 pst. or 0 pst. state ownership. Whether it's a 100 pst. privately owned company, my perception is nevertheless exactly on the dot the same. All major Norwegian companies should think about the reputation of Norway as a nation from their foreign activities, but I can't see anything wrong in implementing security measures, even making money on security measures. At least I don't understand that the Right doesn't see it as wrong. Earning money on security measures must be a good thing. There are a number of installations around the globe that we are opposed to, but we still have to try to help make them as good as possible. As far as I know, right-wing governments have in many different ways tried to help make the Kola power plant safer, despite the fact that we are against it all. There's a dilemma there, because it can be interpreted as making things safer, can extend the business, but I think it's a price we have to pay.
ParlaMint-NO_2008-02-13.ana.ud1703e481	Ingredient S. Sørfonn - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e485	Riding two horses is a sport that I don't think should be recommended. But this combination of the Gulf Stream and that technetium, among other things. from the Sellafield plant, has a half-life in terms of radioactivity, in 200,000 years, making it a struggle against the Norwegian coast. It can't just put the Norwegian coast black, but it can actually almost make it brighter, even worse. The Bondevik II government got to stop the emission from Sellafield. Now we find that strong participations have completely different assessments. The fact that a Norwegian, large industrial company, where the state recently entered heavily on the owner’s side, has a contract with the Sellafield plant weakens Norwegian involvement against the damage caused by Sellafield. My question is: does this council worry, and what will he do to prevent the Thorp plant from being reopened?
ParlaMint-NO_2008-02-13.ana.ud1703e492	That's a very important question. The Prime Minister addressed this in a very clear way with Gordon Brown last fall. I went to London in December to address this issue with the new British Environment Minister. I got an answer from them back just a few weeks ago, and the positive thing about it is that at least they think they deserve to keep Norway constantly informed about what they're doing. There are unfortunately indications that the British are going to reopen Thorp, even though we are against it. Then the next big question about a strong impact on the British will ensure that reprocessing does not continue at Sellafield after the deadline that is around 2012, as we hope that the reprocessing will be stopped. In any case, it is positive that the British have said that in their future nuclear power plant plans in the United Kingdom, reprocessing should not be part of it. If the situation with respect to Thorp is negative, at least there is a positive element in the situation.
ParlaMint-NO_2008-02-13.ana.ud1703e499	Let's raise another main question - Torbjørn Andersen.
ParlaMint-NO_2008-02-13.ana.ud1703e502	Thank you for that, Your Honor! My question goes to the Minister of Oil and Energy. The government has for a long time declared a large-scale commitment to increased prohibitive energy production in Norway. But we have seen that this work has been very boring and slow for the Government so far. Even this puzzled grant scheme, which would replace the electricity certification system, is now being stamped out because of objections raised by ESA. So the investment in renewable energy hasn't at all, as I see it, been something special to boast about. So it is now up to five years for micro, mini and small power plants, and that is approx. 370 small power plants that are now in line at NVE and waiting for proceedings. Last night we could read that it takes up to 20 years to process all applications for wind power projects in Norway, with the limited processing capacity now available in the NVE. In fact, this sounds incredible - at a time when renewable energy production is going to be high here in Norway. Then my question to the Council of State becomes this: This with a lack of procedural capacity has been known for a long time. So why hasn't the government too far made sure to do something about this plug in the system, and what will you possibly do to solve this?
ParlaMint-NO_2008-02-13.ana.ud1703e513	I will respond specifically to the question of processing capacity, but first I almost have to clear up some misunderstandings. The investment in renewable energy yields results so it consumes. Enova is ahead of the forecasts, and we know that investments in small power plants are now being made, which are important. We are setting up a new round of wind power, with a new round of investment aid. We have a positive development in a number of areas in the field of renewable energy. So it's going well, and it's going faster than Enova's predicted. This is not least due to a huge financial effort. So it's right that we have challenges with regard to the NVE's procedural capacity. It is precisely because the enthusiasm for contributing to the development of renewable energy is so great. Yes, there is a long queue both for the concession treatment of small-scale power plants and for wind power. Therefore, increased resources have also been deployed in the NVE. That's obviously not enough. I'm going to discuss this with the NVE tomorrow, how we're going to deal with it further in the future, but there's more resources put in. The NVE has also been asked to prioritise resources towards concessional treatment. We have asked them first and foremost to focus on the applications that could contribute to the rapid impact of new production, and Mid Norway is also in a special position. But the point is: we have maximum attention around the challenges related to the lack of case handler capacity.
ParlaMint-NO_2008-02-13.ana.ud1703e520	I thank you for your answer. I remind you that yesterday, at the staging room last night, we witnessed how this government is struggling with its energy policy ambitions. It became quite clear yesterday that the government is not in any way able to fulfill its beautiful promises to maintain an industrial power regime for the Norwegian power-intensive industry. We also know that the government is sitting with a huge - we'll say - energy policy workshop in prison, which is called the right to fall back. It's going to be very interesting to see if the government isn't going to go on a solid pledge breach in this case too. I just want to say that after hearing the Council of State boasted of all that this government has now achieved in the field of renewable energy, I am nevertheless very in doubt that this government will really deliver something that really stands for building up new energy production in Norway. It's okay with a little bit here and a little bit there, but we need something that really monasteries. [[The President announces the next speaker]]
ParlaMint-NO_2008-02-13.ana.ud1703e529	I think I can write the question out. There has been a significant change of pace and a significant change in the price of renewable energy investment with this government. In future work, we will base the broad agreement in the Storting, in which the Progress Party did not participate, but which is offensive in terms of renewable energy. An important pillar of this work in the future will hopefully be green certificates. Now we're in the middle of discussions with our Swedish friends about a green certificate scheme. It's said too early to predict whether we're getting to the goal, but there's a strong desire on both sides to get this done. This will be a mechanism that will probably trigger significant amounts of renewable energy. It is a market-based system, which will mean that consumers will notice this on the electricity bill, but I also understand that the Progress Party – although they have not been involved in the agreement on climate – is agreed with.
ParlaMint-NO_2008-02-13.ana.ud1703e538	There will be follow-up questions - Peter Skovholt Gitmark.
ParlaMint-NO_2008-02-13.ana.ud1703e541	It must be in place to remind the Council of State that the Government is now in government year three, of four. One should expect action soon. In the case of Enova, it is highly unclear whether Enova reaches its targets. We don't get to know that for years. What is clear is that Norway is among Europe’s worst in terms of renewable energy support regimes, and this means that our best forces choose to invest in renewable energy beyond their borders and not in Norway. My question is: When does the Council intend to make it attractive for Norwegian companies to invest in Norwegian renewable energy? Does the Council not see that it is a major problem that the NVE is currently struggling with the fact that they have only three case handlers in the renewable sector, who - as the previous question asks - do - that our windmill bet is most likely not to be able to deal with it until 20 years have passed, and that a normal procedure in the small power sector is several years?
ParlaMint-NO_2008-02-13.ana.ud1703e553	Again - in relation to the obvious misunderstandings: the NVE employs around 420 people. There are far more than three of those who are engaged in renewable energy, just so it's very clear. The government represents a change in pace, a significant change in the price of renewable energy, and a great deal is happening. Yes, it is true that in some areas and in some countries better arrangements are available on the continent, and we are studying them. We must not forget that Norway has 99 pst. renewable electricity production. We are thus in a completely different situation than the countries on the continent. But it doesn't prevent our ambition is to raise additional renewable energy. That's why we're working on a [[The President cut off]]
ParlaMint-NO_2008-02-13.ana.ud1703e562	Bente Thorsen - to follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e566	The Council of State says that Enova is well on track to grant grants to renewable projects. It's very positive. She also says that the government is now resuming negotiations with Sweden on a predictable green certification system. It's also positive, but given that we have to have predictability, this is urgent. Because we also know that the EU's renewable directive will not allow any encroachment by the Norwegian/Swedish side. If the negotiations take too long, ESA may be forced to say no to the Swedish-Norwegian certification system. Does the Council of State realize the urgency of completing this work? Does the Council of State mean that we are well placed to work on the implementation of the Swedish-Norwegian electricity certification system? When will this work be completed, if any?
ParlaMint-NO_2008-02-13.ana.ud1703e571	There were a lot of elements here, and not everyone was really good at understanding about ESA and the relationship to a green certificate market. But in any case, the situation is that we are in discussions with our Swedish friends about green certificates. We are working on the basis of a wish that the negotiations will lead to a positive result, so that we get those arrangements in place as soon as possible. It says in the climate agreement that we should introduce other schemes if we do not come ashore with green certificates, schemes that will contribute to at least as good conditions for those who want to invest in renewable energy as the green certificates. I can only confirm what I have said many times before. We have maximum attention on the negotiations with the Swedes, and we would like them to arrive as soon as possible. We're working in parallel to think about what to do if they don't get ashore.
ParlaMint-NO_2008-02-13.ana.ud1703e578	Gunnar Kvassheim - to the last follow-up question.
ParlaMint-NO_2008-02-13.ana.ud1703e581	I note with satisfaction that when representatives of the Government are pressured into environmental issues, they are increasingly using the climate agreement as a crutch. I'm very happy about that. Good help was given to a more offensive environmental policy in the climate agreement. What's a problem in energy policy is that there's no match between what one says one will do, and what one actually does. It is true, as the Council of State says, that the signals that it should be committed to renewable energy production have led many enthusiasts to projects involving both small-scale and wind power. Those who work with small-scale power plants are faced with a tougher tax regime than before, which means that many projects are at risk. Those who work with wind power face many years of proceedings. Will the Council of State, in addition to having maximum attention to this, promise a rapid clarification as to whether it will strengthen the supply of resources to the NVE and that the enthusiasts who are in line with projects will be informed when their project can be addressed?
ParlaMint-NO_2008-02-13.ana.ud1703e593	Firstly, I am somewhat surprised that the Left reduces the climate agreement to a crutch. I believe that it is significantly more significant than that. With regard to the specific question, the answer is yes. With regard to the processing capacity of the NVE, we are very aware that it is not good enough in the renewable field now. We have to try to solve this by re-prioritising the NVE's resources. They've done that to some degree. They probably have to do it more. In addition, this is a budgetary question. It's about the total resources of the NVE. We also have full attention to that. In the case of small-scale power plants in particular, it is made clear that all applications under the NVE prior to 5 October are to be dealt with under the old regime. So now we're going to have a review of the tax ego that was adopted in Stortinget before Christmas. We will come back to that in the context of the revised national budget.
ParlaMint-NO_2008-02-13.ana.ud1703e604	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2008-02-13.ana.ud1703e609	There will be a number of changes in the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. - It is deemed to have been adopted. The changes were as follows: Question 6, from the representative of Vera Lysklött to the Minister for Local and Regional Affairs, has been transferred to the Minister for the Environment and Development who is directing him. The question will, however, be answered by the Minister of Finance on behalf of the Minister for the Environment and Development, who is involved in the second meeting. Question 7, from Mr Bård Hoksrud to the Minister for the Environment and Development, is postponed to the next Question Time, as the Council of State is involved in the second meeting. Question 12, from the representative Borghild Tende to the Minister for Labour and Inclusion, will be answered by the Minister for Justice on behalf of the Minister for Labour and Inclusion, who has been away. At the request of the Minister of Justice, this question is moved and answered before question 1. The question will be raised by the representative of Inge Hallgeir Solli. Question 14, from the representative Elisabeth Aspaker to the Minister of Justice, is moved and answered at the request of the Council of State before question 12, answered before question 1, i.e. first in the Questionnaire.
ParlaMint-NO_2008-02-13.ana.ud1703e627	The first question to be answered after these changes is question 14.
ParlaMint-NO_2008-02-13.ana.ud1703e633	I allow myself to ask the following questions to the Minister of Justice: ‘NRK Focus had a report on 5 February on a pedophile network that has operated for thirty years and with identified Nordics in key roles. Abuse has taken place both in Norway and abroad, and a large number of children are involved. Håvard Aksnes, Kripos, acknowledged in Focus that the reason the police had not come to an end in the matter was that such investigation is unusually resource-intensive. Does the Council of State agree that such a serious matter is not being investigated when the network still appears to be in full activity?’
ParlaMint-NO_2008-02-13.ana.ud1703e647	In the Soria Moria Declaration, the government has argued that it will intensify its efforts to combat child abuse. I have therefore committed a broad effort against this type of crime, which is also supported by the Right. It concerns both violence in close relationships in general and sexual abuse in particular. Combating such crime requires increased efforts at several levels, because it is expressed in several ways and in many contexts. A part of the reinforced effort in this field is to strengthen the competence to prevent and better prevent children from being subjected to abuse. In addition, children and young people who have been abused need to be provided with good help and treatment. In order to strengthen cross-sectoral competence both in dealing with criminal offences and in increasing the provision of assistance to children, it is well known – as I said earlier today – that the Government is establishing children's homes. We opened in 2007 two children's homes - in Bergen and in Hamar - where questioning of the children, studies of them and treatment can take place in one place. During 2008, the Government will open up three additional children’s homes to offer these skills in all parts of the country. I say that because this is important, also in order to be able to reveal the kind of issues that the representative Aspaker raises questions about here today. International cooperation against abuse is essential in order to achieve better control and prevention of the type of crime that the representative asks about. Interpol is working to detect and identify those who are being overreached. are on assault images, while at the same time building up the possibilities for identifying new abuses. This is a challenging but at the same time a laborious and resource-intensive work, which is also a priority for us. On the Norwegian side, this work was supported financially last year and will also be supported this year, with a total of EUR 300 000, corresponding to EUR 2.4 million. kr, something I announced to Interpol's Secretary-General in my meeting with him last year. This will give Norwegian police authorities access to the database, which could bring great benefits in terms of coordinating matters internationally. It will also increase the ability to identify victims as well as to detect the attackers. I have been informed that the Police Directorate is now working to increase the crew at Kripos and to develop the technological prerequisites, in order to increase the effort to tackle child abuse and to strengthen the police’s opportunities for ‘ online patrol’, which the Government initiated in the context of the revised national budget. In addition, there is a complete review and upgrade of the current respondent in terms of tampering. A new and improved version of the ‘red button’ is expected to be established during 2008. This will make this service more accessible and in many ways represent the visible part of the police activity of Internet users, especially children. Kripos has continued the prevention work with filters. This is a filter that disables access to websites that show images of child abuse. I would also like to mention that in December 2007, the Government presented an action plan against violence in close relations, the ‘Return Point’, for the period 2008-2011. The plan contains 50 measures, with many good elements, which will be accurate also in terms of this type of crime. Investigation of sexual abuse against children is a priority task for Norwegian police. Unfortunately, it cannot be excluded that previous convictions or suspicions of sexual abuse against children continue to be perpetrated. However, I would like to remind you that the specific investigation of criminal cases falls within the competence of the independent prosecution authority and the police and is in this way difficult to deal with here and now. The case referred to in the Focus programme was investigated by the Follo Police District with assistance from Kripos in the period 1998-1999 - a long time ago. The investigation resulted in several convictions, but also in some corrections. However, I have been informed by the Advocate General that there is no basis today to assume that Kripos and the police districts concerned have failed to prioritize the matter or the matters referred to. Serious sexual offences are known as central priority issues. This is reflected in the last circular of the Riksadvokat on objectives and priorities. This priority has been in force for a long time. The Advocate General states that there is also no reason to doubt that there have been sensible balances of investigation efforts, withholding available funds and the prospect of succeeding in clarifying possible further criminal offences. This kind of thing we have to recognize is resource-intensive. The question of the use of resources to combat child abuse falls within the responsibility of the Directorate of Police. However, there is no basis to assume that Kripos and the police districts concerned have failed or failed to take action for resource reasons. The Directorate of Police has announced that this has also been confirmed by Kripos, who has otherwise earmarked personnel for intelligence, investigation and methodological development in the field of sexualised violence, with particular emphasis on issues relating to abuses against the most vulnerable of us, children and young people.
ParlaMint-NO_2008-02-13.ana.ud1703e670	I thank the Council of State for the answer, but I think that is all reason for concern about the resource situation in the police and their ability to follow up. I think that the investigation into the Lommeman case now shows that there are signs that the police are taking self-criticism, that they believe that the matter has not been taken seriously enough in the past and that there has not been enough resources put in. I also think when it comes to the pedophile network, even though some of this is a long way back, that there is a lot of evidence that they are in full swing. I expect you to follow it up actively. This is also about Norway’s reputation in relation to our being a country that has placed great emphasis on children’s sense of security. We're going to investigate, and we're going to get to the bottom of this. I have a question for the Council of State: in connection with the genocide discussion here yesterday, there was news that eight new posts had arrived in Kripos to give priority to that type of investigation. When will the Government follow up with similar replenishments to Kripos to follow up child abuse?
ParlaMint-NO_2008-02-13.ana.ud1703e677	I would ask the questioner to exercise caution with every opportunity to say that there is a lack of resources, and that results are not achieved. It's an unfortunate signal to send out, all the time a total accumulation has actually granted more money to the police and for action in this regard. Then the handkerchief thing is pulled out. If it were to be an example that we are now in a situation where we don't bet on these kinds of things, we send out wrong signals. In that case, the recipient must be addressed to former ministers of justice and the former government, who in that case did not succeed, among other things. to get a breakthrough in that kind of thing. When we actually get breakthroughs, there must be reason to say that these are issues where one sees that it is useful to put in action. It's useful to use more resources on it, and now, as I said in my reply, you've been aiming to work on increasing crews in Kripos in relation to the kind of issues the asker asks about.
ParlaMint-NO_2008-02-13.ana.ud1703e684	More than anyone else in this country, the Red Children have engaged in assaults against children. They've done a lot of research and a lot of good and thorough work. What they're very clear about is that the identification of the victims, children who are victims of abuse, is a very cumbersome and difficult job. I think it's almost alarming that the council then tries to tell here that it's not about resources for Kripos. It's about how many people you have, which you can put on the job to pursue these kinds of things. The council also did not respond - in the case of the pedophilia case and a few other types of examples that we now have - if he does not see that it hurts Norway's reputation that we do not manage to keep order in our own house, when we are so busy telling how good we are to fight child abuse. The truth is that we now have some stories and examples showing that Norway too has clear improvement points in this area.
ParlaMint-NO_2008-02-13.ana.ud1703e691	I wonder about the questioner's angle in these matters. It is not that I have said that this is not about resources. Rather, on the contrary, I have said that it is about resources. That's why the government came to Stortinget in connection with the revised national budget last year and said we wanted an additional allocation to Kripos in relation to the police station on the net of 6 million. kr. That's why we've decided to spend 2.4 million. kr to support Interpol's work in relation to identification. That's why we've spent resources putting down the Faremo committee and now want to get a separate police station online as a result of it. What is my warning index finger is that the representative from the Right is constantly drawing out that it is not doing anything, and that you are not getting a break through. It is a very unfortunate signal in relation to all the victims who have expectations that something will be done. We also have to signal that it is possible to get a break through the cases. All that time Right also helps to create a majority for the proposals that come, among other things. As far as resources are concerned for Kripos, I actually think that we should agree to say externally: we are strengthening Kripos with, among other things. Six million. kr.
ParlaMint-NO_2008-02-13.ana.ud1703e698	Then we go to question 12.
ParlaMint-NO_2008-02-13.ana.ud1703e704	This question, from the representative Borghild Tenden to the Minister for Labour and Inclusion, will be raised by the representative Inge Hallgeir Solli. The question will be answered by the Minister of Justice on behalf of the Minister of Labour and Inclusion.
ParlaMint-NO_2008-02-13.ana.ud1703e707	‘In Thiensaken, a number of questions are raised that obviously require broad discussion and comprehensive treatment. The matter was, however, dealt with by the head of foreign affairs, without the whole mention being called in. Is the Council of State satisfied that a large number of matters in the Foreign Affairs Study are being dealt with by the facilitator alone?’
ParlaMint-NO_2008-02-13.ana.ud1703e714	I will answer this question on behalf of my fellow State Councillor Bjarne Håkon Hanssen. The Foreign Affairs Act provides that the decision-making procedure is to be determined by the Foreign Affairs Department in each case, with the exception of cases dealt with on a large scale. The decision as to whether the case is to be decided at the hearing or by the facilitator shall be taken by a facilitator on the basis of the legal criterion «essential questions». This is understood in practice as issues of material importance to the decision or outcome of the case. Such matters shall be decided at the hearing. It is important for me to stress that matters that are also assessed and decided by the principal have been prepared and evaluated by other professionals in the Study of Foreign Affairs. This has also been the case in the Thien case. It is necessary to carry out an assessment based on the documents of the case, against existing country information, legislation and practices. It is not always possible to assess the basis for the assessment of the form of decision solely on the basis of the fact in the specific case. The proportion of attenders’ meetings could be influenced by the type of cases that enter the Foreign Office as a complaint. In the context of the regulatory work on new foreign law, the Ministry of Labour and the Ministry of Inclusion will assess whether rules can be laid down to determine specific types of matters as a general rule at the hearing. In this context, it will also be assessed whether provision is to be made for provisions relating to the concept of ‘essential questions’, which is a central concept in determining the form of the process. I can also inform you that the Ministry has initiated an external review of foreign policy in relation to the choice of form of decision. The investigator shall be subject to at least 100 random asylum cases decided in 2006 and 2007. The results of this review will be used as a basis for the work on the regulations of the new Foreign Affairs Act. Finally, I would like to stress that urgent procedure is also a side of legal certainty, which means that a proportion of the foreign student's cases should be decided differently from the hearing.
ParlaMint-NO_2008-02-13.ana.ud1703e730	I thank the Council of State for the answer. This specific case concerns Thien Thi Vo. She has lived in Norway for eight years. She has been married for two years and eight months, while the requirement for a residence permit is three years. Thien bore a child who had a serious illness. The child died and is now buried at the Nittedal church. She has close family here in the country. Thien takes care of herself, and her employer very much wants to keep her. She is now pregnant for the fifth month with her new partner, and if the decision to expel Thien is effective, father and child are separated. The Grand Duchy and the Ministry shall not deal with individual cases. It is the UDI and Foreign Affairs Department that do, but the Council of State can assess whether the foreign student’s assessments are in accordance with the intentions of the law. The state council partially responded to it now. However, I would like to ask: If there is no agreement between the intention and the practice of the law, will the Council consider giving new governance signals about another and more humane practice to the UDI and the Foreign Affairs Department?
ParlaMint-NO_2008-02-13.ana.ud1703e739	First of all, I would like to say that it is important and good that we have a great commitment around matters that are dealt with in the Study of Foreign Affairs, and also by the principal alone. These are important questions, where we need all kinds of public engagement. I think that's one of the prerequisites that we also get good decisions in the bodies that are actually going to make the decisions. This belongs to the department of another Council of State, but I am convinced that the Council of State of Bjarne Håkon Hanssen is also concerned that all the framework conditions surrounding these rules will be evaluated on an ongoing basis. The fact that you're now working on the regulation is just a signal that you're conscious, among other things. in relation to the concept of ‘essential issues of doubt’, which ensures the process. So at the same time, with good experience from the justice sector, I have to say that we depend on finding a balance in order to ensure a quick process in these matters as well, so that some things have to go in a simplified track. It also benefits the applicants.
ParlaMint-NO_2008-02-13.ana.ud1703e748	The Council of State mentioned this with significant doubts, and that is the leading point in this type of case. I just want to end by commenting that when there's a big difference between what some people out in society at least see as significant doubt, and what the Foreigner's point of view as substantial doubt, it's clear that there's a great deal of press coverage and a popular commitment. What I want to point out is that it will be important in these kinds of cases where I feel that there may be significant doubts, that they should receive a wide range of treatment throughout the Study of Foreign Affairs.
ParlaMint-NO_2008-02-13.ana.ud1703e755	I just have to point out that the Ministry of Labour and Inclusion is now working on how the term ‘essential issues’ is interpreted and applied, and whether there is a need to make changes in the practice in relation to the regulations that come. At the same time, I would like to stress that part of our task as head of a department, being in government, is just to be responsive to the activity that happens out there in society. I believe that these rules are best served by the fact that we have broad legitimacy and trust around them. That's why I think there's reason to welcome all possible commitment, including around these kinds of things, because it sheds important light on the unusually important challenges for both individuals and society.
ParlaMint-NO_2008-02-13.ana.ud1703e762	Then we go to question No. 1st@item: inlistbox
ParlaMint-NO_2008-02-13.ana.ud1703e769	The question to the Minister for Finance is as follows: «Very many minor forms of accounting, in particular in the districts, have been subject to temporary derogations from the rules of having authorised the accounting officer as a day-to-day/professional manager. In very many places it is not advisable to recruit staff to meet the formal requirements of the law. Will the Council of State take the regulatory initiative which allows for permanent derogations in cases where today's leaders undoubtedly have an adequate real competence, so that smaller accounting firms in the districts can continue to operate?»
ParlaMint-NO_2008-02-13.ana.ud1703e778	A public authorisation scheme for accountants was introduced by the Accounting Act in June 1993 and entered into force on 1 September of that year. Under the law, natural persons and companies must be authorised by the credit supervision before they can account for others in industry. The purpose of establishing a public authorisation scheme for accountants was to increase the qualifications of those who undertook accounting tasks in order to improve the quality of the accounts and the information to be provided by the accounting officer to tax and tax authorities. Training and practice requirements are required to obtain authorisation as accounting officer and continuing training requirements in order to maintain it. A company may not become an authorised accounting company without having an authorised accounting officer as the Executive Director. The introduction of a public authorisation scheme for accountants and accounting companies has been accompanied by flexible transitional arrangements. All those who, at the date of entry into force of the Act, kept accounts for others and who were approved accountants by the Institute for the Approval of Accounting Officers or who were registered accountants in the Foundation Registered Accountant could obtain authorisation as an accountant by sending a message to the Authorization Board for accountants by 1 March 1994. Furthermore, accountants who, at the date of entry into force of the Act, did not comply with the authorisation requirements were given the opportunity to continue their activities until the end of 1999. Within this transitional period, such accountants could be authorised either by satisfying a training requirement which constituted half of the ordinary requirement or by choosing to take a specific test to demonstrate that they had sufficient qualifications to keep accounts for others in business. Exemptions from the authorisation requirement were provided for agricultural, horticultural and forestry accounting teams and for fishing and fishing activities at the time of the establishment of the authorisation system. This was justified by the specific accounting and annual accounts rules applicable to the agricultural sector. The specific accounting rules for the agricultural sector - the obligation to quote - were repealed in 1999. Activity in primary industries now follows the provisions of accounting and accounting legislation as other traders. On this basis, the exemption was provided for in the accounting regulation for agricultural financial statements, etc. repealed in 2006. Existing accounting teams were given a deadline until the end of 2007 to comply with authorisation requirements. In my opinion, the authorisation scheme for accountants and accountants has worked well. Many suggest that the scheme has contributed to better accountancy services for traders, better reporting to tax authorities and to combating financial crime. I believe this is just as important for entrepreneurs in the districts as in the central districts. I therefore do not want to accept any changes that would allow accounting companies in the districts to operate without having an authorised accounting officer as the Executive Director. The training and practice requirements for becoming an authorised accountant shall contribute in a practicable manner to the adequate competence of authorised accountants. In my opinion, it would not be practical to allow the authorisation of accountants on the basis of an alternative test of the competence of persons who do not meet the training and practice requirements. I also point out that the basis for the specific exemption from the authorisation obligation for agricultural accounts etc. are no longer present.
ParlaMint-NO_2008-02-13.ana.ud1703e791	This is not an unexpected response from the Council of State. I thank you for that, even if it's negative. We need to be aware that there are probably several hundred accountancy offices, especially in very small places, which are now simply shut down, because it is not possible to obtain these personnel, and because in these one-off companies you may have to free yourself for both one and two years to acquire the necessary skills. I will not argue so much more here, because I have understood that the Council of State has so far decided not to do anything about it, but at least I would recommend to the Council of State to ask the Banking Authority to respond to the requests they are receiving for continued dispensation. There are enquiries in the Credit Authority that are several months old, and I think a yes or no will be practical when you have to apply for another job.
ParlaMint-NO_2008-02-13.ana.ud1703e800	I am sure that the Credit Authority will deal with these matters as quickly as they can, and they will closely follow up on what matters are raised in the Questionnaire and also in the Stortinget. It is obvious, of course, that for those in this situation a rapid clarification of the situation will be important. It is a wish from the representative Fleet that I can help to make it more focused on in the Credit Authority. On the main issue, I have gone very carefully through the transitional rules that apply, the requirements that have been set up, and the flexibility in the way in which they are introduced. We now face a number of challenges in finding skilled labour. I think we're doing ourselves a bear service if it's to be followed by lower demands on one area after another. In this area, it is well justified and documented, and with flexible transitional arrangements, the standard has been raised in a way that both city and country serve.
ParlaMint-NO_2008-02-13.ana.ud1703e810	I do not disagree that you should not accept a lower general standard, but I have to say that I may be a little surprised that a finance minister from SV is not more concerned with preserving tiny small businesses in the districts, looking at real competence, and perhaps also looking at the fact that even though these transitional arrangements have been in place for very many years - I see it - it will be so that there are people here who have had a full real competence, who have kept the accounts for a number of companies and industries that are subsequently audited and approved. They have a life course, they don't seem to be able to get this extra education. Maybe you should consider looking at whether no further exemptions could be granted, so you got a phase-out by phased out humans as such, because they will eventually be.
ParlaMint-NO_2008-02-13.ana.ud1703e815	I am sure that the representative fleet sees that there is a balance between different considerations in order to raise the standard in this area. In addition, there has been a flexible and long transitional regime, which has just taken into account the real competence of many of these people. And at some point, such a transitional arrangement must cease. That is the background to the procedure in this case. However, with regard to the applications for which the Credit Authority is assessing, I would like to contribute to clarifying the situation for those who may have applications.
ParlaMint-NO_2008-02-13.ana.ud1703e825	I want to ask the Minister of Finance the following questions: ‘Hamar and Ringsaker municipality in Hedmark believe that the parties are required to pay property taxes, while for example: in the municipality of Elverum, the general rule is that the landowners have to pay this tax. This means that the municipalities interpret the legislation differently, a regulation that has not been adjusted since 1992, and thus the Ministry of Finance is uncertain about what is right. Will the Council of State address this matter in such a way that we have clear legislation that cannot be misunderstood?’
