ParlaMint-NO_2008-05-09.ana.ud1168e43	The representative Ib Thomsen will present a proposal for a representative.
ParlaMint-NO_2008-05-09.ana.ud1168e394	In my previous post, I asked the Council of State to comment on what I consider to be a task of the Control and Constitutional Committee. Let me quote from the setting, the last paragraph: ‘The Committee will also highlight the need to carry out a larger and wider administrative audit of Norwegian agricultural policy and address this with great interest.’ I think you should be relatively arrogant on the part of the Government if you don't take such a note from a unanimous control and constitution committee seriously. I would ask that the Council of State now, when he has the opportunity, comment on this remark.
ParlaMint-NO_2008-05-09.ana.ud1168e405	Let me just make it clear to the representative of Kielland Asmyhr that administrative audits are not carried out by the Ministry but by the National Audit Office. What we have asked for is for the Riksrevision to look at the whole of agricultural policy. We have received assurances from the National Audit Office that they are doing such work, and we have been confirmed by the Ministry of Agriculture and Food that they are also positive that such an administrative audit of agriculture is being carried out. That means that we have asked for this, and the Riksrevision will at the appropriate time return to the Stortinget with a larger administrative audit that I of course require, in the usual way, that the Ministry of Agriculture contributes, so that this revision of the overall agricultural policy is as precise as possible and as precise as possible. With regard to the small exchange which has been linked to the conduct of a Council of State and a department in connection with the reports of the Riksrevision, there is no doubt that an overall committee has precisely expressed the surprise that the Ministry of Agriculture and Food, when presenting this report, has probably gone a little too far in relation to the situation of the Storting. The Riksrevision is an independent body during Stortinget. To the extent that a Council of State or a department disagrees with the report of the Riksrevision, it is natural that it is linked to the treatment of the Stortinge, not to the submission of the Riksrevision. I think that through what Stortinget has unanimously written in this setting, this message has been received by the Government, so we're probably not going to experience this again.
ParlaMint-NO_2008-05-09.ana.ud1168e416	First of all, I believe that there was a useful cleaning up of the case rapporteur in relation to different types of evaluation and audit to be carried out. As for the position of the Committee, that a desire for a broader review and a wider evaluation of the use of BU funds, it is a work that I am in the process of starting up. I have an ambition to get better performance indicators in place, so that we will be able to see in the future what this is all about, how we can see in better ways than today the effects of the means used to create new jobs in agriculture.
ParlaMint-NO_2008-05-09.ana.ud1168e423	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 3247]]
ParlaMint-NO_2008-05-09.ana.ud1168e439	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies following the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-05-09.ana.ud1168e448	It has been exciting to be the case-rapporteur for the Left’s proposal for a five-year general teacher training. Many have opinions about this, and it involves teachers, teachers, and teachers. One in general teacher training here in Oslo told me that her students often asked why their education was so often debated by us politicians. This is because teacher training is one of the most important education we have, and the teaching profession is one of the most important professions. The Left's proposal for a five-year general teacher training has been supported only by the Progress Party. They will explain their positions. Most of the signals I have received in connection with this proposal for a representative are that the introduction of a five-year general teacher training is the way to go. But a change in the number of years does not occur overnight. The signals have been clear that we need to know what content we want, and what we might want more of. It's not useful with an extra year of what we have today, if that's not good enough. Earlier this year, Gunnar Gundersen’s representative had an interview where teacher training was widely debated. Also, there were views on whether or not to have a five-year general education. The majority of the Committee considers that the issue of a five-year general teacher training cannot be dealt with as a single measure. It's important with totality and long-termity. The five parties which do not support the proposals of the Left have a common approach to this, that an improvement in the four-year general teacher training already available can be a solution. But no one closes the door for general teacher training to be five years old once in the future. I believe that there are a number of improvement points in today's general teacher training, but the left starts at the wrong end. We cannot conclude until we know what the fifth year should contain. The left has a slight approach to the challenges facing general teacher training. I have seen it so that the representative Dørum is impatient. That's all right, but expanding without knowing exactly what's needed for me is going to be wrong for me. I don't think all of the 29 institutions for general teacher education are ready to start a five-year education right away. It takes time to build a professional environment at master level. Let me deal with some of the challenges I think general education is facing. Many teachers fall from the middle of the race, and we don't know why. Do we know if practical training is good enough for all institutions? Is practice necessarily something more important, or is quality more important than quantity? The period of practice is very different from institution to institution; it is the first time the student is in primary school, school takeover and exchange between practical school and institution. We have challenges in getting the very best of them to choose to become teachers. In the last three years, there has been a slight decrease in the number of applicants for general teacher training. In the same period it was approx. Seven hundred people who had general teacher education as their first choice, despite a small increase in the number of places of study. The teaching profession is of the professions where at least scientific literature is read after completion of education. Teachers do not update on new learning methods and on research results. Then there have appeared a number of questions to me that the Left has not taken a decision on - not the Progress Party either, for that matter. There are questions like: are we going to be able to choose between a three-year general teacher training and a five-year general teacher training? Should you be able to work as a teacher at school after a three-year general education? Are you going to have to apply to the master's degree after completion of bachelor's education? What are they going to do with a bachelor degree? Are we going to have a system where you add an extra year to the general teacher training we have today, so it's going to be four years plus one year? Should the extra year be just more practice? Are we going to facilitate specialisation in the field of science or within the level, or are we going to have a combination of this? If we want teachers specializing in a level, should this specialisation be directed towards a single step, towards the general or towards the general childhood? If we want teachers who specialize in subjects, how many subjects are they going to specialize in? I hope that the Left and the Advance Party will be able to clarify their positions on these issues. I look forward to the presentation to the Stortinget of the paper on general teacher training and to a further discussion on this education. During the examination of the proposal for a representative, the Left presented a new proposal, supported by the rest of the opposition. The proposal is based on ‘as close as possible to review the framework for general teacher training in order to ensure that it is up-to-date with the Knowledge Lift’. I believe that this proposal must also be discussed in the context of the handling of the notification. We have to see everything together, and we have to do that in dealing with the big message that will be presented.
ParlaMint-NO_2008-05-09.ana.ud1168e484	The general teacher training was probably given a shot at the bow when in 2006 NOKUT gave it something similar to a smack act. It's serious. Although all educational institutions have put in place targeted measures to improve general teacher training, it is difficult to close their eyes in order for this training to require a basic upgrade. General teacher training needs more than a paint strip in order to appear to be sufficiently improved. The Progress Party believes that a total renovation is necessary. This means that you need to review the content of your education. One must focus on professional immersion, management and parental cooperation, ensure pedagogical and didactic education and make education more practical. The party of progress is amazed at the fact that government parties do not take this challenge seriously. So it's been two years since the NOCUT evaluation showed us frightening results, and there's no national action taken to improve the situation. The government parties are still sitting on the fence and are waiting for a future big message, as the rapporteur explained. The development of a five-year teacher training course with increased professional depression is not an easy solution to a complex problem. There is a concrete start to a process that will result in a general teacher education that is complex in a completely different way and ends in a five-year cycle. It is quite frustrating that government parties clearly state that it is ‘lowly appropriate’ to treat the reform of general teacher training as a proposal for a representative. It is simply an expression of a lack of respect for the Storting's only way of initiating matters when the Government fails to present something better. If the government parties could point to concrete action - they have no desire for improvement and extension of general teacher training - then a view of that kind of statement with a certain credibility could be given. But there is nothing to suggest that neither the Government nor its parties on the Stortinget are taking the challenge seriously. They are currently most concerned about finding excuses for not doing anything. In any case, it does not provide better general teacher training. There is no disagreement between the Progress Party and the Left, which supports the proposal, that an additional year in itself will not lead to better general teacher training. But then it is also pointless to present it as if that is what the proposal is all about. The proposal is based on a concrete start that will end with a five-year education - of course with a total content reform. The opposition stands together on a proposal for a review of the general teacher training framework to ensure that it is up to date with the Knowledge Lift. When the government parties in the setting say that they are engaged in ensuring general teacher training both in the short and long term, but will not participate in such a review, it is clear that the involvement of the government parties is only staffing - nothing more. What measures have the Government and its major parties taken to ensure the quality of general teacher training in the short term? The only thing that has been done is that you have debated the challenges in an interpellation. It is a tragic poor follow-up of one's own intentions, to say it carefully, which should be done in this room. I am genuinely concerned about the recruitment of general teacher training. It keeps sinking. I'm concerned that the majority in this room have taken the unusual thing to talk about problems, difficulties and challenges, but not acting to improve. I'm afraid we're losing important time. It will affect the children who go to school, while we have democratic power in this house. I don't like it. I don't like an action lamb majority, either in this or in other areas. The proposals in this matter will be addressed by the Left later in the debate.
ParlaMint-NO_2008-05-09.ana.ud1168e505	It is good that the Stortinget will have the opportunity to discuss general teacher training even before the Storing message comes around the turn of the year. Many of us believe that it is a long time to wait, and then we would like to have a debate in the meantime. The debate on teacher training has improved since the NOCUT evaluation came in September 2006, with good reason. The evaluation gives clear information that general teacher training needs more of everything - more of all, more of it, more of it, more of it, more of it, more of it, more of it, more of it, and not least more of it. The institutions are also clearly told to take a greater responsibility, perhaps especially for the quality and for the lack of students. There are some colleges that present numbers up to 51 pst. failure of general teacher students. It's not durable. The evaluation also made clear that more practical corrections need to be made and not just practical corrections, but more relevant practical corrections of education. At the same time, it is important to bear in mind that the debate on general teacher training must start at the right end. In the opinion of the Right, the correct end will be to discuss the content of general teacher training. Then we have to sum it up and figure out if we're going to have a four-year or five-year education. There aren't many decades since we had a two-year general education, we got a three-year-old and then a four-year-old. If you are going to take a sloppy look at general teacher training in 2008, there are many disturbing signs. There has been a halve of teaching time since the 1990s. Today it is only 12-14 hours of compulsory education every week. There are fewer mandatory themes now than before, and no obligation for students to be present. Many educational institutions feel, on the contrary, that they have an obligation to state their reasons separately if something is mandatory. Only 45 pst. conducts the general teacher’s study in a normal time, i.e. that there are a lot of people who spend longer. We have a challenge to upgrade both quality and labour. At the University of Oslo, a study was carried out not long ago to monitor how the general teachers at the University of Oslo worked. It is no exaggeration to say that the study intensity was not particularly high. ==References== 20 pst. students study less than 20 hours a week, and on average they study 24 hours a week. It is necessary to impose stricter requirements on students both on presence and on labour input. There are many who, in my opinion - rightly - claim that before we discuss whether to do general school education at five years of age, we must make it become a four-year-old. Today, the reality is that general teacher training is actually three years old. We need to create a culture of learning in general teacher education and a culture of leadership. I think it is great that the Municipality of Oslo offers newly trained teachers a 50-hour class management course, among others. That's good, but at the same time it tells us something about what's one of the major shortcomings of general teacher education today. Strictly speaking, it should not have been necessary, but it is a good step, which gives Oslo good teachers. The proposal on which the entire opposition stands together is, in my view, a very important point. When the new framework plan for general teacher training came in 2003, the knowledge promise was not yet planned - indeed, it was planned, but it was at least not finished. And all that the Knowledge Promise deals with is class management, basic skills, assessment skills, and requirements for both students and teachers, is not caught up in the framework plan that is now in force. For example, it says nothing about basic skills and management, and it says very little about the follow-up, student assessment and follow-up of learning outcomes. It is therefore important that, pending a new general teacher training course, we be able to do the training that exists today, as best we can, in order to offer our children the best teachers possible in the future. That's why I really encourage the government parties to think about one more time considering whether they can't support the point that's about a review of the framework plans. I think it takes more than a big message at the turn of the year to change the culture of the general teacher training institutions, simply because we have seen that the new education we received in 2004 has not been taken sufficiently seriously by the institutions. It does not just have to believe that a big message will change the culture of the institutions. I think we need a stronger culture of learning from teacher training institutions, and I hope that today's debate and the debates we are going to have in the future can contribute to that.
ParlaMint-NO_2008-05-09.ana.ud1168e528	I agree with the case-speaker's comments and would like to thank her for a good work in the committee. In SV we are very pleased with the big message that comes to us during the fall. We are very pleased that the department has started the follow-up to the NOKUT evaluation at the right end. The ministry has put an unlikely amount of work into the dialogue and follow-up of individual institutions. It sounds as if the opposition has a tendency to forget that the evaluation of NOCUT points to the vast majority of follow-up measures for individual institutions. The smaller number of amendments proposed in the report were national measures. This is why it is so unlikely that the Ministry of Knowledge has put so much effort into following up individual institutions. The institutions are asked to make plans for a follow-up to the evaluation, and they are asked to report annually. We have the impression that the dialogue between the department and the institutions is good. It's in our opinion good governance, and it's starting this discussion at the right end. Then the department has taken national action. These include: Set of 40 million. kr in the current year's budget for various measures and for a quality improvement in teacher training. So it's not that one has not taken national action, but one has done the most important thing first: to follow up the institutions. Every single day, there is work on these institutions that is about educating teachers for the future. It sounds like the opposition doesn't care at all. I believe that the reason why teacher training has such a big political debate is that we're so busy with teachers. We're as busy with teachers as the most important resource in school, and we're so busy that education is going to be good enough. And it's a huge paradox in Norwegian education history that this is an education that is exposed to a lot of reforms. I do not doubt the good intentions of the Left when they make proposals in relation to the teacher reform, when they come forward with proposals that they did not get through when they put themselves in government. The last time general teacher training was reformed, so left in government. But the problem is that, with the good intentions of the Left, a Right Party and the Advance Party are included in the purchase, and it is essential in this debate where we are therefore discussing future teachers. The committee leader said to Dagbladet on 6 January: ‘The Red-Green Minister of Education of the day is the 15th in a row of red-green contributors, who have been involved since the war to create the crisis in which the school is now located.’ I would like to refer to a central party election of progress, Sylvi Listhaug, who said to Dagbladet on 21 January this year: ‘It needs to be much easier to kick teachers. Today the school is a protected enterprise." Further: ‘We must put an end to the fact that these teachers have a blank mandate to destroy people’s future.’ This combination is amazing. So the ball is in crisis, and it's the teacher's fault. What kind of political outburst is the opposition willing to send? Then the Left is seen in the shadow of those who are future partners on the civil side. I want to distance myself from the characteristic that the Norwegian school is in crisis. There is an unlikely amount of good learning every day in the Norwegian school. Most people learn what to do because they have good, competent, committed teachers. They also scor well on international investigations when it comes to matters that are important, for example: English and social understanding. We have a main challenge in Norwegian school, and it's that there's too many people who don't learn what they need to learn. Even if the majority learn what to do, there are too many people who don't learn what they need in order to survive in working and social life. And the biggest challenge is that what one actually learns in the Norwegian school, it's related to social background. But we can't sit on the Storting saying it's the teachers' fault. What kind of political outburst is that? And how, then, when one is a representative of the same party, is it possible to wonder that recruitment to general teacher training is going down, when that is the political message that we want to send? It doesn't want SV, it doesn't want the majority. But we can't fight the opposition, who wants to send that message to future teachers. I believe that the committee leader is also taking up a rhetorical point with regard to the fact that it was not the previous reform of 2003 that was wrong, but the follow-up of the institutions. Well, it's either the teachers' fault, or it's the teacher's fault. We have a political responsibility to make sure that the content is good enough, and I'm unlikely to be happy that the department has started at the right end, starting at the end where one is in dialogue with the institutions. And then we are very happy to get that message. Then we're going to discuss the whole thing, also considering the national measures that we're now necessarily taking. There's a lot of people involved in this field, and we're very happy with the dialogue that we have with all the parties involved.
ParlaMint-NO_2008-05-09.ana.ud1168e567	On the part of the Christian People's Party, we have not yet taken a stand on the concrete proposal contained in this proposal to extend teacher training to five years. We will also refer to the forthcoming report on teacher training and will await it before we take a final position on the proposal. At the same time, I would like to stress that this does not mean that we want to put the content of teacher training on hold. It may be necessary to initiate individual measures while waiting to deal with the staging message. I would like to stress that, in order to improve teacher training, it will not be enough just to expand teacher training. Often it is seen as a solution in school, the last time in the state budget for 2008, where the government added extra hours to primary school for the smallest students. We disagreed, and suggested using the same means to employ more teachers in school, teachers who are present at the same time. I believe that the most important thing to improve the school is to look at the content, as well as the four-year teacher training we have today. If we're going to fill up with an extra year, we're going to have to have a clear formation about what we're going to fill that year with. A fifth year must mean strengthening the steps we choose to take in order to improve four-year teacher training. Only when we have that starting point will it be fruitful to discuss a fifth year. We may have to have more practice, like a whole year of practice, but we need to figure out what we want before we decide to expand. One of the main points of the evaluation was the need to better link theory and practice. It is a fact that many newly educated teachers feel insecure in the classroom situation. One talks about the great practice that some newly-trained teachers experience when they're going to be in the classroom for the first time on their own. That is why the Christian People’s Party has proposed the introduction of a mentoring system for newly educated teachers. In concrete terms, all newly-trained teachers should be linked to an experienced teacher in the first year of work. Together with this mentor, they will be able to discuss different issues and the mentor will also be able to assist in teaching. I think it's possible to find different models of how to do this in any five years. So we're open to evaluating a fifth year when that time comes. I would like to raise two issues that I have mentioned to the Council of State in the past. The Christian People's Party is committed to general teacher training - that is, to all subjects. Is it not the Council of State that is concerned when the University of Stavanger plans to remove music education from general teacher education - music, which is an incredibly important subject and which is also an important activity in all subjects? It should be unnecessary in this room to argue for music in primary school. It's a very important part of the formation of children. I would like one to include in the big message - that all the subjects must be involved in order for it to be a general teacher training. Another element is that lecturers in high school serve more than teachers in teacher education. Yes, there are wage negotiations that decide such things, and yes, it is possible for universities and universities to pay higher wages to their employees. But it is nevertheless a fact that those who are going to train our teachers earn less than those who teach. What kind of a signal is it when there is a desire for high quality teacher training? One must in any case relate to the fact that one should look at the whole of the teacher's education. Finally, not everyone fits to be a primary school teacher, even though they qualify for admission, even though strict requirements are imposed on mathematics and English. I have had the pleasure of recruiting several hundred teachers in my youth - in a project where we interviewed all the candidates. They may have all the formal qualifications to be admitted to teacher training, but equally lacking in what is needed to be good mediators, what is needed for learning in children. It is therefore important that teacher training also give important signals to those taking this training, that they should test whether they are appropriate to the teaching process. It would be awful to have to go for five years before you find out if you fit the teaching profession, and even worse to practice in school for many years if you don't fit. Before it was said that it was difficult to get into the teacher's school - and that was the case for a few years - but it was easy to get out. I am very concerned that professional requirements should be imposed when entering and when an examination is taken out - but suitability must be an important element of general teacher training.
ParlaMint-NO_2008-05-09.ana.ud1168e589	In the proposal, the proposers refer to the recent debate on the quality of Norwegian school and Norwegian general teacher training. In particular, this debate has been updated through the results received by Norwegian students in the PISA and PIRLS international monitoring projects. The results show that Norway is below the average in several OECD countries. I'm going to be the first to admit that we could better be on that list -- but at the same time I notice that I want to ask what it is that is not being measured in these studies. They asked, for example: not whether the students could learn about their cultural background, whether they had knowledge of democracy development and understanding of society. It was also not stressed whether the students could cooperate etc. We have to wake up a little bit in this debate to make the school worse than it is. I also think this actually has something to do with recruiting for the teaching profession. The proposers also mention that it is essential that Norwegian general teacher education is of high quality, that teachers form the support pillar of the school as a social institution, and that the competence of teachers is crucial for the learning of students. This is not difficult to be completely, completely agreeing. We all have good or bad learning experiences, not to say learning experiences from school. Emphasizing the role of the teacher is very important. So a little bit about NOKUT: I think it's important to notice that something pretty much pointed directly at the teacher's institutions. Not so much went to the national school, it went directly to each teacher's school. They came up with 129 specific advice, and 123 of them were directed directly to the institutions. The main follow-up work therefore needs to be undertaken by the institutions, together with their partners. The evaluation points to challenges that directly interact with each other. It addresses management and organisational challenges and professional challenges, such as: professional aspects, professional knowledge and the interaction between professional studies, pedagogical theory and practice. Following the coming of the evaluation report, the Ministry of Knowledge has been concerned with the evaluations, weaknesses and recommendations addressed by the evaluation. They've also done something about it. All institutions are required to establish a follow-up plan and report annually to the Ministry on the implementation of measures in all areas where the panel found weaknesses. I think it's important to be aware that it's actually like this. In the debate, I hear that nothing is happening in this area, nothing is happening in the area of teacher training. But, as I have tried to say, there are actually several concrete actions that have been initiated: On the 2008 state budget, it has been set by approx. Forty million. to various measures aimed at strengthening teacher training and giving new knowledge of teacher training. The research programme Practice-oriented R & D for kindergarten, initial and teacher training is also under way. We have introduced the programme Guidance for newly-trained teachers.We have a project with new models of teacher training for primary school at the Telemark College and at the Vestfold High School. I would like to mention something about the representative Tørresdal, namely suitability. I fully agree with what she said, and I know that it is especially thought of in the attempt in Westfold. I think it's very important that you not only think about grades, but think about fitness as well. KD also supports a research project at the University of Stavanger to identify and evaluate different selection methods for admission to teacher training in order to gain more knowledge of the motivation of the students for the teaching study and reasons for non-response. It must also be very interesting given the high drop-out that is also at the teacher's schools. All of this is going to be a very good experience to have with you in view of the upcoming big message about teacher training. It would also be right in that context to take up the length of education. It may end in five years, but the point is that we don't need more of the same in teacher training. The NOKUT report has proved that teacher training is a complex area, and we need to see everything together.
ParlaMint-NO_2008-05-09.ana.ud1168e620	In my meeting with political youth organisations exactly 48 years ago, I learned the following, I was in the Young Right: Take a debate technique where you attack an opponent by assigning the opponent a position whose madness everyone can understand -- shoot it down. To do it personally - that was one of the reasons why I chose neither the AUF nor the Young Right at that time. I think you should relate to what you stand for. And the Left Party and the Advance Party are united in one of the two proposals, is simply that one should have ambitions for a teacher's education, demands for a subject, pedagogics and practice. Of course, that doesn't mean that what we're dealing with, we're just going to banalize by saying that we're going to put something on top of something -- we have to be taken seriously in what we're saying. We need to be taken seriously with regard to the advice that we have all received from NOKUT, that we should do this. That's what the NOCUT sums up. Everyone who has been in education knows that in order to be good you need weight in the subject, you need weight in the education, and you need weight in the exercise. If you add it, it'll be the five years. Everyone knows that those countries around us that have teachers with great status, like Finland, have kept that line for 40 years. In this room, there is even scope to again problematise the concept of ‘knowledge’ from part of the government parties. I almost don't think my own ears when I hear it. That concept I actually thought we had conquered back, that we're proud of knowledge, and we don't let it float into the impossible word 'competence', which you don't know what it means -- you don't know where it starts, you don't know where it ends. Knowledge has been reconquered--I thought it said there. The ambition of the left is that we should have an education that builds status. We don't have the status of an education when the applicant figures go down. This year, they have declined in general teacher training, vocational training and the five-year training cycle. According to the newspaper Our Country, it's halved, so we now have almost as few applicants as we have places. And then we know that by far 50 pst. further falls on the road through education and on the road into practice. It's the acute crisis. In this situation, those with the shoes - the Education Association, the Student Organisation and others, and all the teacher organisations in Europe - say that you should outline ambitions for the future, you have to go for the five-year course. And then it's not that we can go and buy that race at IKEA and almost install it tomorrow. There's going to be a banalization beyond the hopeless in the staging room, when someone thinks that some of us with significant general education should say something so stupid. We set an ambition-- and we see that we have to figure it out, we realize that it's going to have to go a race to deliver it, and we see that it takes time. Reforms in Norway take time. But you put the ambition first. The fact that you meet representatives of red-green parties who speak almost like a parody of conservative parties from the last century is a strong experience. If you become so oblivious, you can wonder where in the world it was that they got counted in politics. Is it gone on the way? It's almost like the head of the expedition in a department that's supposed to warn a government council not to be out of control at the next budget conference. You shouldn't talk like that if you believe in anything. I allow myself to be so free. It's a little depressing that this is age-independent -- so you can't think about it either. But you have to believe something, you have to want something. Olof Palme said, politics is wild. It's clear what the Left wants, it's clear what the Left and the Advance Party wants: we want an ambition that enhances science, pedagogics and practice. It takes time, and it requires a reform. Who's in on this? That is what I have said, NOKUT has recommended it after summing up all the points that the representative Inger Enger raised, the Education Association stands for it and the Student Organisation stands for it. We have a large width out in the field - out there among those who wear the shoe. The most acute thing, apart from the lack of recruitment, is when the country's largest school owner, Astrid Søgnen, in Oslo, meets the committee and sees us into the White Eye and says that now we expect those who graduate, can the Knowledge promise, in the sense that they can meet the skill requirements of the Knowledge promise and know how to deal with small and large children who are going to strive to achieve this. We expect that. We expect this to be reviewed, we expect the study specialisations to be reviewed, and we expect the students there to be followed up. So it says the country's largest school owner, who has achieved quite significant results under the political leadership we have been subjected to - not from the government parties, but from the Left and the Right over the last seven to eight years. In the Bondevik II government, we agreed to start work on the promise of knowledge, and we continue to do so as a political party. It's joyful, as an old Left-Representative, almost to challenge a red-green coalition by saying that I think they're dwashed in the course, have no ambitions, are not proud of knowledge, will not do anything with the school--they're trying almost to say they want anything else, and that we, the Progress Party and the Left, will do it overnight. It was a really pointless description, but there won't be any speed in a debate without it being temperature and agitation. That's what I came to when I chose away the AUF and the Young Right, that the power of agitation is based on that you want something. And then I'm going to deal with the suggestions. 1 and 2, the first proposal on behalf of the Advance Party, the Right Party, the Christian Party and the Left, and the second on behalf of the Advance Party and the Left.
ParlaMint-NO_2008-05-09.ana.ud1168e648	The representative Odd Einar Dørum has taken up the suggestions he referred to.
ParlaMint-NO_2008-05-09.ana.ud1168e651	My respect for knowledge is very great, and I'm working on providing the concept of content every day. A good teacher provides the basis for the lifelong learning of individual children and young people. That's why we need skilled, knowledge-rich and motivated teachers. Teachers are faced with changing demands in line with society’s changes and reforms in school. In the announced announcement, which the Ministry of Knowledge is working hard on, every day, we will place great emphasis on analysing the role of teachers and clarifying the expectations of the school, which teachers must meet. Teacher training must also be organised so that the teachers we are training today also function in school as we see it in ten, twenty or thirty years. There are a number of different quality-enhancing interventions that need to be considered in order to strengthen Norwegian teacher education. Some measures will be necessary in the short term; others will be of a longer-term nature. Action areas need to be seen in a coherent way, in order to reinforce each other. The Committee's attitude shows that the issue of extending general teacher training cannot be seen as an isolated measure. Improvements in teacher training can be made both within a four-year model, with increased emphasis on guidance in the first year of the profession and in the event of an extension of five years. The forthcoming Single European Act will provide a good opportunity to discuss both the range of actions and the overall objectives and principles underlying the further development of Norwegian teacher training. The position we have received today from the Committee ensures that we will come forward with good, long-term solutions in the communication. NOW’S evaluation has provided us with a better knowledge base for further development of teacher training, and we started working on it from the day one after it had arrived. Many of the same challenges as NOCUT have identified are also found in studies conducted by teacher training in other countries. We have gradually also received more international and Norwegian research in this area. Research shows that, in addition to the academic competence of teachers, the pedagogical competence is also important for the pupils’ learning outcomes. The aim of any change in the structure and content of current teacher training must be to strengthen both professional and professional aspects of the teaching role. The government has taken a step on the way to the impact of NOKUT’s evaluation by introducing reinforced demands for the addition of teachers in the subjects of Norwegian, mathematics and English at the youth level. However, new knowledge demonstrates that the need for teacher competence is not the same at all levels and in all primary education subjects. It is therefore necessary to assess a more differentiated teacher training, which focuses on professional, vocational, pedagogical and practical teaching at school. There also appears to be a need to give the educational profession a new content and a new and more coherent role in education. More than today, the profession must be able to address practical, educational and professional challenges that teachers face in everyday life. With the support of the Ministry of Knowledge, work has been started on the pedagogical subject in the professional environments. It is also necessary to consider whether it is necessary to give stronger central guidance to the structure of training in order to provide it with a more holistic professional device. In this assessment, we need to look at Norwegian universities that have gained good experience in different types of organisation of education and practical training. We have many good examples, including in the NOCUT report, of teacher training that is development-oriented and of good quality. Many suggest that an exploratory and development-oriented approach should have a greater impact on both professional and educational performance. Teacher students must be involved in R & D work and tasks combining theoretical knowledge and experience from practice. The individual teacher, principal and teacher must have the will and ability to re-use knowledge of their daily activities and contribute to school development. This presupposes that we have a research-based teacher training. Professional staff in teacher training need a level of professional competence. In addition, there must be a clear prioritisation in the institutions of R & D work relevant to professional and professional training. National research programmes are also necessary to improve the link between vocational education and training and to contribute to the uptake of research-based knowledge. NOKUT recommended a five-year master-level teacher training. Many who have supported this proposal have also pointed out the major consequences of such an upgrade. First of all, it will require the competence of teachers, who will be able to meet far from all professional environments today. Developments towards any more specialised teacher training will have an impact on the individual institution’s capacity and student base to offer. Clearly, it is desirable that institutions develop more master's offerings for teachers, where there is expertise in professionals and where there is a national need. The school-oriented master’s offerings developed must have a content and a device that the school needs. Such a development can be seen today gradually in many universities and universities. This is a process supported by the Department.
ParlaMint-NO_2008-05-09.ana.ud1168e684	It's going to be line change.
ParlaMint-NO_2008-05-09.ana.ud1168e687	Most of what the Council of State says in its statement, of course, sounds contemptible. I noticed in particular that the Council of State respects knowledge and works to fill the concept of content. I hope the Council of State has come a little way, because the NOCUT evaluation of general teacher training was announced in 2006 - and now we write in 2008. SV has a political tradition of being impatient, and it's affordable, because it leads to quick action. But when the party is in position, it seems that the pace of action is somewhat reduced. It worries me a little bit. NOCUT concludes, as the Council of State itself said, that a five-year general teacher training is necessary. It has support from the Education Association, the Student Organisation and a number of others. Then I would like to ask the Council of State, despite the fact that she has notified a big message: How long will the Council of State take to reach the same conclusion as mentioned above?
