ParlaMint-NO_2008-04-30.ana.ud2456e24	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2008-04-30.ana.ud2456e438	As far as I heard, the representative said it was wrong that the hospitals and the municipalities had received more. It's not wrong, it's quite right. This government has provided significantly more money for hospitals and significantly more money for municipalities. That doesn't mean that it's enough, but that means that it's now more spent on care, more on those who have it the hardest, than when the Right put in government. For example: Health south-east, they have increased the appropriations for the purchase of ru services. However, that does not mean that everyone who submits a tender is awarded the tender. Health South-East assesses quality, costs and self-capacity, and then they choose someone over others. This must be the case when there is a tendering procedure or negotiations with different private suppliers. The fact that someone gets no is not proof that something is fundamentally wrong. It just means that even though the framework increases and we grant more for the purchase of private ruservices, it's not that everyone gets a yes.
ParlaMint-NO_2008-04-30.ana.ud2456e445	Odd Einar Doorroom - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e448	As a citizen and a city missionary, I need to say something. There is no doubt that people with drug problems thought they would get a better offer when everything was put in the healthcare system. And it's a fact that there are 70 fewer private treatment sites in Health South-East now. That's 440, that's 370. That's also the case, if I've been properly informed, that now there's only one place where you get help more than one year. Anyone who has the slightest indication of help to people with drug problems knows that most people need help for more than one year. It doesn't help to make the world's best perfect tender document based on unforgivable administrative light if you forget the people who need help, behind this. So I want to ask the Prime Minister to go into the ombudsman role, look at what's going on in these systems, see who's left behind. It may be that the formal light is unnegligible, that the management economy is completely correct, but there is something wrong when the systems are so that people stay behind and don't get the help that they should have and that we politicians wanted them to have. Is not the Prime Minister concerned about this?
ParlaMint-NO_2008-04-30.ana.ud2456e457	I am very concerned about the enormous problems and human tragedies associated with drug abuse - drug abuse, alcohol abuse, drug abuse in general. It's about prevention, and it's about treatment, rehabilitation. We've granted more, and we're going to continue to grant more, because it's still too little. But in addition to prevention and treatment, it is also about something else: it is about respect, human dignity, not denying that there is no lack of respect for people in deep life crises. So I think we, as citizens of society and as political leaders, as well as giving money and adopting laws and regulations, also have something to do with conveying an attitude to the people affected by drugs. I think that too will help and remedy the problems.
ParlaMint-NO_2008-04-30.ana.ud2456e465	Then Odd Einar Dørum can be standing to ask the next main question.
ParlaMint-NO_2008-04-30.ana.ud2456e468	If the President allows me five existing seconds in respect of both the Prime Minister and me, I will begin now. The Prime Minister often uses fine words about having the world's best school, but seems unprepared for what is needed to get to the right actions. Let me give the Prime Minister a quick course in reality. We have just received numbers from the Coordinated admission to teacher training, which shows that there is a decrease in the general teacher training application, a decrease in the five-year training application, a decrease in the vocational training application. So we know last year it was 17 pst. The number of applicants for general teacher training has decreased and, according to our country, since 1996, we have halved the number of applicants for general teacher training, so that we now have only as many applicants as we have places. In addition, we know that in a few years we will really lack teachers because of the age distribution of the teachers who are now working in school. This is a reality that requires action, and the Left has tried to bring elements into the debate. When we promote proposals for systematic further training for teachers to feel status and respect and in the profession, it is downrooted by the red-greens. When we propose that we have national recruitment plans to recruit teachers on a broad basis, it's downrooted by the red-greens. When we then promote proposals to improve the quality of teacher training, with more professional immersion, more pedagogy and more practice, the red-green mice sit still, because they are waiting for a big message. Is it now such that the Prime Minister is doing something more than promising big messages that are waiting for him, or is it such that he is simply leading a government that is not prepared for the practical and concrete actions that are needed to give us good teachers and many enough teachers in this country of ours?
ParlaMint-NO_2008-04-30.ana.ud2456e479	First, I would like to say that in the school debate we have to strike a balance between seeing the problems and not black-painting. There are many challenges and problems in Norwegian school. There's a lot that doesn't work well enough, but there's also a lot that works very well. If we don't get it, I think we just weaken the school further, the motivation to become a teacher weakens, the recruitment of the teaching profession further. In fact, what works well in Norwegian school is that the vast majority learn what they need to learn. Our schools contribute less to social inequality, actually more to social education, than the schools in most other countries. We score high on some goals in international statistics, but then we work on others, for example. in some natural sciences and in some linguistic subjects. Then the teacher is the key. That is why we want to strengthen both the training of teachers and the continuing training of teachers. This was a main message in my New Year's speech, and since then we have had close dialogue with the school's people, not least many teachers. What we're working on now is actions related to a couple of three things: one is to strengthen teacher training. What we're looking at is the possibilities for more time for immersion in special subjects. The second is that teachers tell us that they want more practice. They've been in teacher's school for many years, but almost not taught. And the third is learning through more time for pedagogics. In the case of continuing training of teachers, the main message we get is that we have too many short courses and too little systematic re-training. All of this will be presented in the paper. I have respect for big messages, because that's the way the government can put forward its proposals, discuss them with the Storting and then follow them up.
ParlaMint-NO_2008-04-30.ana.ud2456e490	My post was delivered in love with the school, to good teachers, to great people who do something. The point must be that they must know that they have successors. The point must be that they really get the professional satisfaction they are entitled to. It's showing respect for what's the building block in school. I myself have come out of a seven-year-old primary school, and what was it that taught me? Well, that teachers who were good teachers in their profession and safe as adults carried most through most. It is this declaration of love that was the basis of my serious question to the Prime Minister. It is often the case that we in Norway have created good responses locally, and it has built itself nationally. Perhaps the most serious example is that the welfare society, the welfare state, would say, was built through the welfare community, not least in the city we are now in, Oslo. So in Oslo it's decided to invest in systematic further education for the teachers in Oslo school - it starts in the autumn. Is it the case that the Prime Minister wants to get involved and learn from this action and turn it into something that we can also invest in nationally, given that we are building from below in Norway?
ParlaMint-NO_2008-04-30.ana.ud2456e501	I think we have a lot to learn from many municipalities in school policy, because it's a diversity, and many have very good experiences and good results. I've looked at what you do in Oslo. We've also talked to other municipalities. And once again, because the local economy is strengthened, it is easier for more municipalities to invest more in the school, whether it is in the form of several hours, which is now coming, or it is in the form of more continuing training of teachers. A rather significant sum was spent from the previous government to the continuing training of teachers. We have continued the appropriations, and we need to look at how we can now handle that money in the future, so that there is money for the further training of teachers.
ParlaMint-NO_2008-04-30.ana.ud2456e508	There will be follow-up questions - Vera Lightcloth.
ParlaMint-NO_2008-04-30.ana.ud2456e511	I am very pleased that the Prime Minister has expressed ambitious goals for the school, and in that I hope he also includes the school for the Sami students here in the country. In the Sami school we lacked and have for a long time lacked Sami textbooks. This is something I have focused on up to several times in this room without any improvement for that reason. Now it turns out that it says and has been for a long time around 150,000 new, ready-made Sami textbooks stored on different publishers around, and it has not benefited the Sami students and teachers in any way. With reference to the ambitious goals he has for school, will the Prime Minister turn words into practical action and ensure that this matter is resolved as soon as possible, so that the Sami students throughout the country can receive the textbooks and the training they require?
ParlaMint-NO_2008-04-30.ana.ud2456e518	I believe as the questioner that all children in Norway, including Sami children, are entitled to good education and that Sami children are entitled to learning materials in Sami. I do not know that there are 150 000 textbooks in stock around the Norwegian publishing house, but I will take that back to the Ministry of Knowledge and ask them to investigate the matter. The Government of the Ministry of Labour and the Ministry of Inclusion will shortly present its own major policy message. Education is an important part of that communication in order to ensure the same educational rights as other parts of the population in Norway.
ParlaMint-NO_2008-04-30.ana.ud2456e525	Anders Anundsen - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e528	If you are going to recruit teachers, it is important that your teacher's job becomes attractive, and further training opportunities for teachers are part of the way to make your teacher's job attractive. We hear what the Prime Minister is answering the questions here today, and we have heard what the representatives of the government parties have said earlier about continuing training. It is almost like hearing the opposition's proposals being repeated both by the Prime Minister and by school-political speakers for the government parties. Among other things, Education No. 7 says Gerd Janne Kristoffersen, Minister of Education Policy for the Government Parties: "We must put in place a system for continuing training of teachers." A few days later, the government parties vote against concrete proposals from the Advance Party and the other opposition to ensure a good system of continuing training for teachers. Will the Prime Minister now ensure that there is a better match between what the Prime Minister and education politicians in the government parties say and what the same parties do when voting in the main hall?
ParlaMint-NO_2008-04-30.ana.ud2456e533	It's a very common -- what should we say -- method from the opposition parties, and especially from the Progress Party, just to put in a lot of suggestions. For many years, we have voted against proposals that only come over the table in Stortinget, because we want good preparation and quality assurance before we finally implement measures, for example. to strengthen teacher training. That is why we have notified measures - and there will be measures - to strengthen teacher training in the big news given to the Stortinget. This will provide a basis for the necessary strengthening of teacher training. We are going to present our proposals, vote for them and invite the opposition to a broad majority for that type of proposal.
ParlaMint-NO_2008-04-30.ana.ud2456e539	Gunnar Gundersen - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e542	‘Balance regime’, said the Prime Minister in his first reply. I get a little provoked when I hear that you should always pay attention to the fact that things work well, and that there has to be a balance. It helps one of the five out of school with problems with reading and writing skills, terribly little, when you don't focus on actually having big challenges in school. There was a change of pace under the previous government. Then the Prime Minister also says that he wants to strengthen teacher training. Well -- the national virtue that Council of State Djupedal announced has gone over two years waiting for a big message, despite the fact that many of the challenges were only operational challenges -- it's going on management, it's going to analyse the numbers of teacher training, and it's getting to grips with the issues on a daily basis. The Prime Minister has linked the success of the school to his own position in the form of the new year. We've had three lost years in focusing on knowledge, quality and demands at school, and I just want to ask, when is the change of pace coming, or is it the last year also going to be a lost year?
ParlaMint-NO_2008-04-30.ana.ud2456e549	First of all, I don't think the voters and the school deserve us to do some sort of blackmail between the parties about the problems at school, because different parties have been in government responsibility, and different parties have to admit that if we had a very simple recipe on how we ensure quality, this would have been done a long time ago. Secondly, concrete things have been done while we have been in government responsibility. One is that it has been provided for several hours. Norwegian children in primary school have fewer hours than most children in other European countries - now there are several hours in languages and mathematics. That is what we believe we can strengthen the quality. The other thing we've done is we've given significantly more money to the municipalities. It also provides a basis for improving the quality of school. And the third is that every year there is extra funding for the further education of teachers. Therefore, there is more continuing training of teachers now than before. The challenge is that the content of this continuing training may be a little too short. There is a need for something more systematic in terms of continuing vocational training, and that is what we are now looking at.
ParlaMint-NO_2008-04-30.ana.ud2456e554	Dagrun Eriksen - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e557	These several hours referred to by the Prime Minister are carried out in school buildings which, unfortunately, are not of the quality they should have been. It is serious when the Education Directorate and the Social and Health Directorate report that more than half of reported school buildings are in violation of the law. A poor work environment prevents well-being, prevents motivation, and prevents good learning. Here I had actually expected that the Government and the Ministry of Knowledge, when that report came, took responsibility and wanted to attend and create a good school. Instead, we hear in the NRK State Secretary, who is now going to send a sharp letter about “skärpings” to the municipalities again. It has become a reference every time there are challenges that the school has to address. This feels the Christian People's Party becomes a disclaimer. We have had a successful loan arrangement - free of interest. The Christian People's Party wanted to continue it. Shouldn't the government also be involved in implementing that scheme, instead of again blaming the municipalities?
ParlaMint-NO_2008-04-30.ana.ud2456e562	The key to the quality of Norwegian school buildings is the overall framework for Norwegian municipalities. They have increased significantly. It's the municipalities that own, operate and maintain the school buildings, and we've done the step-up with earmarked grants that we promised, and we've put on a few extra billion there - more governments have done it. But now we believe that it is important that we also trust the municipal politicians, and in some municipalities it may be that what is needed most are more teachers in relation to the number of students; in other municipalities, what is needed most is the renovation of a school building. That's why we're giving money more as free money, less as earmarked funds. They can be used in school anyway, but we think that the needs vary between different municipalities. In some places it's about the contents of the classrooms, in other places it's about cleaning up the classrooms, and that's why we think the municipalities have to decide for themselves.
ParlaMint-NO_2008-04-30.ana.ud2456e567	So the oral questioning process is over. As previously agreed, we will now deal with case No. 2nd@item: inlistbox
ParlaMint-NO_2008-04-30.ana.ud2456e584	The Presidency proposes that the matter be sent to the Health and Welfare Committee. Siv Jensen has asked for the floor.
ParlaMint-NO_2008-04-30.ana.ud2456e589	Initially, this is a matter that is very urgent, not least because you are about to tear down the rig on the plot. But because the Prime Minister in the Questionnaire stated that he would not object to the private building of a medical hotel, I see it as such a positive signal that we accept the attitude to send it to the committee for treatment.
ParlaMint-NO_2008-04-30.ana.ud2456e594	Several have not asked for the word.
ParlaMint-NO_2008-04-30.ana.ud2456e603	The size would then go back to case No. 1, regular Question Time.
ParlaMint-NO_2008-04-30.ana.ud2456e617	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. - It is deemed to have been adopted. The changes were as follows: Question 2, from the representative of Mr Ingreig S. Sørfonn to the Minister for Foreign Affairs, will be answered by the Minister for Defence on behalf of the Minister for Foreign Affairs, who has been removed. Question 8, from the representative Martin Engeset to the Minister for the Environment and Development, is postponed until the next Question Time, when the Council of State has left. Question 9, from the representative Ketil Solvik-Olsen to the Minister for the Environment and Development, will be answered by the Minister for Knowledge on behalf of the Minister for the Environment and Development, who has left. Question 13, from the representative Mr Bård Hoksrud to the Minister of Justice, has been transferred to the Minister of Labour and the Minister of Inclusion who is directing him. Question 17, from the representative Anders Anundsen to the Minister of Knowledge, is moved and answered at the request of the Council of State for question 9, to be answered by the same Council of State.
ParlaMint-NO_2008-04-30.ana.ud2456e637	The question is as follows: ‘The interest rate has been increased by 3,5 percentage points under the current government. This, together with international financial turmoil, results in banks lending rates of 8-9 per cent and are more than doubled for the vulnerable mortgage market. It is estimated that several hundred thousand households are already at the limit of their tolerability. Does the Council of State consider that fiscal policy has a role in this situation, and in that case how will she use it to improve the situation of those with rapidly rising housing costs?’
ParlaMint-NO_2008-04-30.ana.ud2456e646	In the high economic cycle in which the Norwegian economy is involved, a gradual normalisation of the level of interest rates has been natural. A gradual rise in interest rates was notified by the Bank of Norway long before this government took over. Since the spring of 2005, when the Right controlled the Ministry of Finance, it has been clear that interest would rise. In this context, I would also like to remind you of the Governor's answer to Mr Sanner's question during the consultation in the Grand Duchy on monetary policy last year on the consequences for interest rates of a fiscal policy that is weakly expansive today. The central bank manager then said: ‘The most important thing about the fact that we now have interest rate increases is that the interest rate was so low - it was so low in Norway, and it was so low out there. The fact that we have had such an abnormally low interest rate has created growth in the economy, and there we have to answer with interest rate increases." In the fourth quarter of 2007, the average lending rate in banks was 6.65 pst. Statistics on average lending interest rates in the first quarter of 2008 are not released until the end of May, but that the level of interest rates should be as high as 8-9 pst, as indicated in the question of the fleet representative, does not seem likely. If people have mortgage interest rates of that magnitude, I would recommend that they contact the bank and investigate what other banks can offer. There has been a record increase in employment in recent years. There have never been so many people at work. Unemployment is very low, and 200,000 more are working now than in 2005. There are 160 000 more than the Bank of Norway predicted in spring 2005. The positive developments in the labour market and the high income growth over several years have given many households a much better economic armament and a safer life base. It is important for those with increased housing costs. The main objective of economic policy for our government is low unemployment and sustainable growth. That's what we focus on when we conduct an economic policy that contributes to a balanced development in the Norwegian economy, and that interest rates do not become unnecessarily high. We follow the rule of action, just as previous governments have done. It provides for a gradual escalation in the use of oil revenues as the trend in the expected real return of the State Pension Fund - abroad. But of course, we have to look at what is the capacity of the Norwegian economy, how we handle the rule of action, which initially calculated a real return of 4 pst. from year to year. Now we have a situation of pressure in the Norwegian economy, which is why we have retained in the last budgets regarding the use of oil money. It is in line with how almost the whole of the Storting has set up economic policy, including the Right. After all, the representative Fleet comes from a party that has not at any time proposed an alternative economic policy in relation to the framework proposed by the Government, which would have any bearing on the level of interest rates. If, instead, the Government were to set up budgetary policy with a view to achieving the main objective of not least unemployment but lowest interest rates, it would have to be cut on a very large number of areas. This would mean public funding for school, health, care, kindergartens, railways, transport, etc. would have been streamlined and cut in billions of dollars-class. That's why I believe that in line with our platform, we have been able to find the balance point that takes into account the most important things in the economy, and that an interest rate of between 5 and 6 pst. is what the Bank of Norway calls a normal level of interest.
ParlaMint-NO_2008-04-30.ana.ud2456e664	The background to my question is the concern of all the borrowers who now receive a significantly higher interest rate. Those who have a loan of about 1.5 million. kr, has increased its interest expenses by up to NOK 40000 per year. I perceive that the Minister of Finance's message to them is nothing but that this is a normalization of the level of interest rates. My question was what she might think of doing in relation to fiscal policy. I get an answer that the Right does not have any alternatives. My question is primarily about what alternatives the Minister of Finance has to do with this. For the normal level, the borrowers do not experience the normal situation. They have entered this loan market in the period from 2001 and have had a completely different relationship to what was normal. Does this have any bearing on what the Minister for Finance thinks about fiscal policy in the future, in the future budgets?
ParlaMint-NO_2008-04-30.ana.ud2456e673	It is of great importance to the way we think about the 2009 budget, which we are now preparing, that the budget itself should not contribute to an abnormal growth in interest rates. That's why we've kept track of the use of oil money. What's not relevant to our government is cutting billions of dollars in public budgets to keep an abnormally low interest rate over time. There is no one who has taken up loans now, which may have been unknown that interest was going to approach a more normal level. Norges Bank has said that, and I've been saying that ever since I started. So this doesn't come as a surprise to anyone. The abnormally low level of interest rates has also contributed to a stronger growth in housing prices than would otherwise have been the case, thus affecting many who have been in the start-up phase.
ParlaMint-NO_2008-04-30.ana.ud2456e682	In October 2005, when the Bondevik government delivered its last budget, the estimate of the interest rate was less than 3.5 pst. in April 2008 and a maximum level of less than 4 pst. I think it's talking about a normalized interest rate, and then I want to go back to, for example. The 1990s, long before both the rule of action, inflation targets and globalisation, are of little comfort to those borrowers who are now struggling with strong interest rates. For hundreds of thousands in this country, housing costs are also well-being. The question to the Minister of Finance is therefore once again: is she going to take a stronger approach to budgetary policy in view of the fact that we are now seeing such undesirable developments for many borrowers?
ParlaMint-NO_2008-04-30.ana.ud2456e689	I think that the representative Fleet should ask that question to himself, because the Right has not provided any alternative state budgets to indicate that an abnormally low interest rate in Norway had continued. If you were to do that, you would have to cut billions of dollars in public budgets. Right hasn't done that. Now it's like the happy news since spring 2005, when Norway's Bank expected interest rates to rise to 4.8 pst. In 2008, there were far more people employed than they believed at the time, about half the total number of people employed. 160,000. And no one manages to keep a historically low unemployment over time with an abnormally low interest rate. It has no recipe on the right, and no one else has a recipe on it. So I think the Right would do the homework before they go out and give the impression that if it had still been a bourgeois government, you would have had an abnormally low interest rate in Norway.
ParlaMint-NO_2008-04-30.ana.ud2456e699	This question, from the representative of Mr Ingreig S. Sørfonn to the Minister for Foreign Affairs, will be answered by the Minister for Defence on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2008-04-30.ana.ud2456e702	I am grateful that the Minister of Defence will answer my question. The question is as follows: ‘In 2006, Israeli solar data Ehud Goldwasser and Eldad Regev were kidnapped by Hezbollah, while soldier Gilad Shalit was kidnapped by Palestinians. Being a prisoner/gissel of cynical terrorists over a long period of time is an inhumane impression. About a year ago, the U.D. confirmed that they were in contact with Hamas about the cases. What has the Foreign Minister done since then, and what further will he do to help the Israeli solar data be released?’
ParlaMint-NO_2008-04-30.ana.ud2456e711	As was said, the Israeli soldiers Regev and Goldwasser were abducted by Hezbollah. Norway has no dialogue with Hezbollah on this matter. Gilad Shalit was abducted by Hamas. From the Norwegian side, we have raised this matter with Hamas on a humanitarian basis, among others. on request from Shalit's father. Norway’s involvement in this matter has also been through contacts with relevant actors. It is Norwegian view that a solution related to the question of the exchange of prisoners will be decisively capable of creating a better climate between the parties, also in order to find solutions to other problems that appear to be stuck. This has been communicated to the relevant parties. In Norway, the question of the treatment of both Israeli and Palestinian prisoners has also been raised repeatedly with the relevant parties.
ParlaMint-NO_2008-04-30.ana.ud2456e722	I thank the Council of State for your answer. The background to my question is that I know that there was a contact with Hamas. It was reported in the Newspaper for approx. a year ago. But after that time it has been an earless quiet. In any case, the general record has not been made that anything has happened since that time. This is a deep human tragedy for both those who are in debt and, of course, for those who are relatives. There shouldn't be so much imagination to understand. With the state of Israel celebrating this year's 60th anniversary, it would have been a gesture to Israel if one could help resolve this situation. It would clearly have consequences far beyond the individuals involved.
ParlaMint-NO_2008-04-30.ana.ud2456e731	I understand that it may be desirable to know more about these matters, but what is being registered from the Norwegian side is that there are already negotiations on these kidnapping cases between the parties involved - in the case of the Shalit case also through Egyptian intervention. Norway does not intend to take part in these negotiations. We are also aware that the Shalit case was discussed in a meeting between Hamas and former President Jimmy Carter on April 21. Hamas then promised to comply with a request from Carter to have Shalit send letters to their parents.
ParlaMint-NO_2008-04-30.ana.ud2456e738	Yes, I have a great understanding of the way in which the Minister of Defense expresses himself in this matter, but at the same time it is very important that the public is busy with it if one is to solve this. Because we live in a media time where things pop up. Then it becomes silence around it -- and then a lot of deep tragedy. So maybe it could have been solved-- it'll just be lying there. My point is that Norway has had and has great confidence in the different parties in the Middle East conflict, and it is important that we both use and strengthen this trust. So I choose to interpret the Government's answer positively in the way that this is a matter that one has not put on the shelf, but that one uses the channels that exist, to get it solved. I might also hope that my question can further contribute to that happening.
ParlaMint-NO_2008-04-30.ana.ud2456e745	I can only confirm what was said by the questioner, that Norway has great confidence in the Middle East conflict. But in these cases it is done as explained in the answer.
ParlaMint-NO_2008-04-30.ana.ud2456e753	I am delighted to ask the following questions to the Minister for Research and Higher Education: ‘The Bergen Higher Education Environment sees the construction stop situation as very serious. The government has justified the situation with pressure on the construction market. Now there are clear signs that the pressure is decreasing. Among other things, the forecasting centre shows a decrease of 20 pst. for the start-up of new dwellings in 2008. The first 3 years of higher education will result in a maximum limited activity of respectively. $80, 170, and $260 million. Will the Government announce the start of construction this year as the reason for the stoppage is in the process of disappearing?’»
ParlaMint-NO_2008-04-30.ana.ud2456e762	Let me first stress that I am well aware that a number of construction projects in the university and higher education sectors are waiting to be realized. I can mention in particular new buildings for odontology education at the University of Bergen, new buildings for nursing training in Oslo and the co-location project at the Högskolan in Bergen. All three projects are highly prioritised. Appropriate and functional construction is an important objective in the university and higher education sectors. This I will do all I can to fulfill. New buildings at Kronstad will co-locate the university in one campus area and provide new and useful premises for the establishment. At the same time, the construction project of the University of Bergen is one of the largest projects in the university and higher education sectors, with a cost framework of approximately DKK 1.8 billion at price level on 1 July 2009. The government did not find any room for start-up appropriations for new construction projects in the State budget for 2008. Although there is evidence that the pressure on the construction market is diminishing somewhat, there is still reason to consider projects of this magnitude in terms of an excited construction market and economic cycle. I would like to stress that new buildings for the University of Bergen are among the highest priority construction projects in the university and higher education sectors. At the same time, I would like to stress that it is the Stortinget that adopts the start-up grant for new buildings. Appropriations for the launch of new investment projects must also be seen in the context of the overall budgetary situation for each year, which has implications for the progress of the respective projects. I can therefore not confirm the construction start this year for this project on behalf of the Government, but I can confirm that it is on my priority list of the three most important and highest priority buildings.
ParlaMint-NO_2008-04-30.ana.ud2456e775	I would like to thank you for the answer, although the answer did not clarify what is my core question in this case, namely whether there is pressure in the construction market that is the cause of the construction stop, or whether the construction stop in the education sector is part of what we describe as rest cutting for higher education in Norway. For we have not seen the corresponding stoppage of investment in other areas of the public sector. This is quite important to me, because the red-green parties in Hordaland spend a lot of time and energy explaining the unfortunate situation of educational buildings in Bergen with the tight relationship in the construction market -- which is then a fact. But that explanation is not very credible if the government is now dampening the pressure in the construction market, when it's not the same pressure, yet it doesn't trigger these buildings. We see here that in the case of higher education, this will lead to a very limited activity in the first three years. So I ask again, is it the construction market or priority issues that are the challenge in terms of these buildings?
ParlaMint-NO_2008-04-30.ana.ud2456e784	I can assure the asker that it is not a priority on my part or on the part of the Ministry of Knowledge. We want those buildings to be realized in the priority order that I mentioned, and this built as it is asked here, namely the Bergen University, is one of the highest on our list. I must admit that the odontology building at the University of Bergen is in front of this. But it's the construction market situation that is the most important reason why we haven't been able to make room for this so far. It is not that we do not want this, it is not a wild policy. But of course we follow the situation in the construction market carefully, and I have contact with the Government, of course, because it is primarily the decisions of the Government and then the Stortinge that underpin what is to be realized every year.
ParlaMint-NO_2008-04-30.ana.ud2456e789	I think it's important that the Council of State realizes that the high school community in Bergen is reasonably disappointed by this government. I would quote from a decision made by the College on 17 December 2007 which has been sent to the Ministry of Knowledge: ‘The board strongly regrets the unfortunate situation of higher education, in which it remains uncertain after 13 years whether it will be newly built or not.’ The University of Bergen is probably the only university in Norway that hasn't got a single penny for new investments in the last year, while there is a school that has very big challenges due to location in five different places. I must therefore ask the Council of State: can we risk that the Government, when you start new constructions, will get rid of this problem by launching the first two buildings, and that we will therefore be left with a high school in Bergen which will be put back again this time when the train for these construction projects is running?
ParlaMint-NO_2008-04-30.ana.ud2456e801	I can assure you that I have very good dialogue and contact with the management at the University of Bergen and am well informed about both the disappointment and their views on the matter. I have--and need-- ongoing information from them. As far as our priority list is concerned, there is a visualisation of the three main projects. That doesn't mean that the list is no longer than these three. I want to fight for that when there's always an opportunity, an opening in store and government to realize a building, we're going to try to get as much as possible. Because there is a great need, I fully agree with the representative in it, but we depend on getting exactly the clear signal we need, to get these projects started. So I'm going to promise that I'm going to follow the University of Bergen very closely, and I'm fully aware of the situation the university is in. The situation is the same when it comes to some other construction, but we are very clear that Bergen has priority in the things we have on top.
ParlaMint-NO_2008-04-30.ana.ud2456e813	I would like to ask a question to the Minister for Local and Regional Affairs: «Departure in secondary school is a growing problem. My home state of Finnmark is among the states that are struggling most with this. There may be many reasons why students choose to complete an education. However, many have to leave home to take the desired education. The provision of housing to students in secondary schools is often small private furniture or collectives. Can the Council of State say anything about the extent to which the House Bank assists municipalities and counties in facilitating housing for high school students?’
ParlaMint-NO_2008-04-30.ana.ud2456e822	I see the challenges that the question maker, Lightcloth, travels. The rule is that everyone should have a real freedom of choice with regard to where they want to bow. We will facilitate equivalent living conditions throughout the country. I think it's also important in this context to remind ourselves of it, and therefore emphasizes that we're busy keeping up the main features of the construction pattern. Through regional policy, we are working for a balanced development between cities and countries. It involves efforts in many areas. Local authorities are responsible for the adequate and varied provision of housing for different groups of the population within the municipal borders. This also includes housing for elephants in the secondary school. The House Bank can help municipalities with the housing policy challenges they may face through guidance, training, networking, loans and grants. The economic tools of the House Bank are over, not specially designed for elephants in secondary schools. Nor is the Husbank’s appeal to student housing. When it comes to the question of what the House Bank is doing to secure housing for elephants in a secondary school in Finland, I can tell you that there is actually contact. Husbanken's regional office in Hammerfest is involved in discussions with the municipality of Hammerfest, the municipality of Finnmark County and the Student Association on a possible cooperation project to acquire furniture for students and elephants in further schools in the county. The conversations are at such an early stage that at this point there is no basis for telling us what the result is.
ParlaMint-NO_2008-04-30.ana.ud2456e833	I thank you for your answer and have the following follow-up questions: Student interaction builds and manages a relatively large volume of buildings for students, but targets little students in secondary school. The county councils also do not provide any organized housing services to these students. The municipality of residence or the municipality of the host of the individual student also does not often take responsibility for students who move on to the place of residence. The youngest and least experienced lodgers are offered a private furniture market, often with little adult supervision. Does the Government consider any State instruments channelled through the municipalities or counties to follow up on the hybel residents in secondary school in a more systematic way?
ParlaMint-NO_2008-04-30.ana.ud2456e842	Let me first say that there is an important problem that is raised here. There's a decline in the secondary school, and it's important to focus on it. This theme does not directly fall within my remit, but it is a fact that an effort is being made not least by the county's follow-up service to make it work better. Since this question concerns Finnmark, I have checked the number a little bit closer. It's desperation that Finnmark is overrepresented -- naturally, by geographical considerations -- when it's about the number of elephants that live on hybel. So far, the government for its part has not discussed any special efforts.
ParlaMint-NO_2008-04-30.ana.ud2456e849	I also thank you for this answer. I have one last question: in my home country, Finnmark, host families have been tried for students who have to leave home to take secondary education. However, for various reasons, it has been difficult to recruit host families at school. From other counties, we have also heard of attempts and initiatives to provide better housing and more follow-up to outlying students. Will the Council of State initiate a systematic review of trials and actions carried out in this area?
ParlaMint-NO_2008-04-30.ana.ud2456e858	With the background of this question, I checked carefully what number is leading. It turns out that something less than half of all the elephants in the advanced school cage on the hut. It has been measured by the number of people who receive a bus scholarship. The number varies from state to state. In Finnmark, the figures for 2006-2007 show that 59 pst. Of those who received support from Lånekassa, 1,865 elephants, cage on the hut there. I would say that this is primarily a responsibility between the county and the municipalities where these young people live. But I'm going to take this matter with me and this issue back to the Minister of Knowledge.
ParlaMint-NO_2008-04-30.ana.ud2456e866	I would like to ask the Minister of Defence the following questions: ‘According to the leader of the Norwegian army, Major General Robert Mood, Norway should halve the force we have in Afghanistan. This is because it is not possible or proper to keep so many soldiers in international operations, as the burden on the soldiers becomes too heavy. Does the Council of State share this view?’
