ParlaMint-NO_2008-04-04.ana.ud1664e57	The representative, Olemic Thommess, will present a proposal for a representative.
ParlaMint-NO_2008-04-04.ana.ud1664e594	The matter is well explained by the rapporteur, so I will not go into what he has said and repeat it. But I could now imagine drawing a line from the two previous issues and until the matter we are dealing with now. The two preceding cases concerned young people suffering from mental illness and long-term beneficiaries of social assistance, groups requiring close follow-up in the NAV system because they have complex needs. And deaf blind people are another group of special needs. It seems to me that it is actually a stillborn project to create individual action plans for each diagnostic group. I am convinced that only fragmentation and lack of completeity in the auxiliary equipment lead. The NAV system shall, according to the new device, respond to the needs of individuals in a qualitatively good manner. Diagnosis is still important, of course, but the diagnosis must therefore be subordinated to the individual's own resources. You should be seen as an individual, not as a member of a group with a particular diagnosis. The same can actually be applied here as in the other cases, it becomes too simple and uniform to say that the governmentization of parts of the municipal auxiliaries is the answer to what may not work in the current situation. The biggest challenge for this group, the deaf-blind -- as for many others -- is not about more formal rights, but about getting good coordination of services from various help agencies. I said it as a municipal politician at the time that the fragmented state is the biggest problem of the municipality, and I haven't changed my mind about it since I came to the Stortinget - I've just written it a little bit about it: the users' biggest problem is a fragmented auxiliary device - especially users with complex needs. Action is now being taken to put it in place, through individual levels and coordination of services. Personally, I have never hidden the fact that I really want a little more authority for NAV, that once an individual plan has been put in place, NAV could be empowered to order the other agencies that may not provide services in due time. We are not there yet, until the sector thinking is unfortunately too rooted, but I am absolutely convinced that one day we will also get that far. The party of progress is in its comments amazed, or wondering, at the other parties. It is a well-known feature of the Progress Party, the Progress Party is always most amazed when they stand alone against the rest. But at the same time they are in their desired position. What surprises me is that the Progress Party is, in fact, still maintaining its proposal, having received the detailed answer from the Council of State in the matter, which shows that the situation today is quite different from the situation ten years ago when the comments to which the Progress Party refers were written. But there is also something that I have realized since then that I have been to Stortinget: Earlier, in Carl I. Hagen's Glansdays, I registered that in every debate on TV was the standard replica: the Progress Party has made proposals in Stortinget, but unfortunately remained alone. After I came here and saw the flood of Document No. 8-proposals that keep knocking open doors, I've understood that. In this case, there is absolutely what is the case--a knocking open doors. That doesn't mean that we in the majority are satisfied with today's practice. But the challenge here is to use the tool that lies there. It is about the qualification of auxiliaries, not new action plans, which unfortunately have proved not to work very well for the users for whom they are intended.
ParlaMint-NO_2008-04-04.ana.ud1664e607	As the rapporteur says, it is correct that a number of things have happened in this area. But that's still the way that there's a lot left before we're in the goal. I ask myself, is it such that the deaf and deaf blind make up such a small group that they are why we don't want to get hold of it? Is that why it's so easy to lean back and look at what's done before, rather than go into the new issues that have arisen in recent years? It amazes me. It also makes me wonder at the posts of the representative Christoffersen, because this is not about opening doors, it's about taking a number of enquiries like, among other things. those who have also been signed have been given seriously. It's about trying to get into the everyday life of the people who are addressing the people who are signed as a big-time representative. I feel it is my duty, my task, to take the enquiries seriously and to be the people's ombudsman. Then I think it's going to be a bit pathetic, excuse me, that you're almost accused of running a polemic that's going to turn open doors in order to show a political account. The kind of attitude and argument I thought you would avoid getting into this room. I would like to take a look at a conference that was in Trondheim, which shows that there are still major problems, which are also about the challenges of the NAV system - quite rightly that the action plan ten years ago was incorporated into the action plan we have. But given the enquiries I've received in the last year, it's also true that people don't think this works well enough, and would have liked to have seen that there was a separate action plan that was more focused on helping them. To take one example from the conference that Adecco had in Trondheim: There a lady rises up in the hall and says: I have the impression that NAV and the public system are not willing or interested in helping me. They are more interested in letting me get dissatisfaction than in giving me an offer for a job. That is why I finally cut off asking for help from NAV and went to the private company Manpower. After 14 days they had arranged for assistants, opportunities and offers, so that I could get out of work. Why does it not work in public? Why is it that people do not receive the type of assistance or assistance they need when they turn to the public utility, which should be NAV? I'm asking the question. At my discretion, it is also time to take these enquiries seriously and get to an action plan that works much better. The second relates to the provision of housing. I'm not talking about a government agency -- that the state should have its own housing office, or run and run. I'm talking about financial instruments. We know, and the FFO has also pointed out to the committee on several occasions, that this varies greatly from municipality to municipality. You don't have a uniform or good enough offer, and some ports are largely outside in some municipalities. Then I think it is our job to try to find new schemes and new solutions that ensure everyone an equally good offer in terms of financing solutions, regardless of which municipality they live in. In any case, it should not be such that the municipalities can use it as a reason for lack of money to do so. This should be seen in other ways, and I believe that this will also be important in order to avoid discrimination against individual groups. That is why I think it is still highly topical to maintain the proposal of the Progress Party in the vote, and I allow myself to take it up.
ParlaMint-NO_2008-04-04.ana.ud1664e622	The representative Robert Eriksson has taken up the proposal he referred to.
ParlaMint-NO_2008-04-04.ana.ud1664e625	When it comes to dealing with the matter, I agree with what the case rapporteur said about it. I think one of the reasons we have the case on the table is some of the requests we get that I perceive is not so much about lack of arrangements, but about getting the arrangements we have to work in practice and in the everyday life of these individuals and families. I have had a lot of enquiries from families with children with disabilities, and what they experience is that they have to be their own coordinator in the system. First they have to know what they're entitled to, and then they have to figure out the system seam. That's how I think there's too many people with different types of disabilities. I also see that we have a challenge to make the interaction work, to get information to those who need it, and to put in place the coordination that needs to be there for everyday life to work. For people do not live their lives in the different public sectors. This is about getting overall management and individualisation, along with the characteristics of this field, namely that it requires high levels of competence in highly specialised areas. It is an area that is vulnerable around it, because it requires a competence that is not general. It takes time to establish that not only professionals to provide assistance have it, but perhaps also that someone in the environment around and in the social everyday life you have to live in, have some of the skills that are needed to make everyday life work. I'd like to start a little bit from one of the last things that Eriksson's representative said. He talked about the housing offer and about making this public. I totally disagree with that. But I think there's a very big difference between how the municipalities manage to take advantage of the subsidies that are actually able to establish housing as the individual with disabilities will have it, and so that not everyone necessarily ends up in a nursing home. There may be a need to look at schemes, even in the House Bank today, which can make it easier and easier for people who also have no prospect of getting high incomes through their lives, so that we can have arrangements that allow them to be in a much better position to decide where and how they want to live, through state support schemes that can be put at the bottom, with clauses in these dwellings. It may also be a matter of almost living property that some people with complex and severe functional losses experience, because they feel that a municipality can decide where to live, not only internally in the municipality, but that they will live in this municipality. I had e.g. a case with a girl who lived in a municipality in Hedmark, who received an offer at a school in Westfold, because there was the best offer. She lived there until she was an adult, and then suddenly decided the municipality where her parents lived, and where she had lived until she was 16: No, now you're going to move home, because we can give you a cheaper offer in our municipality than what you get where you now live. So she had lived her entire growth somewhere else, in an environment where there was a high level of competence, and where she had social networks. But the municipality had the right to move her home to the municipality and said, well, we'll teach people who'll be around you. But it takes a very long time, when you don't have sight or hearing and depend on completely specialized knowledge of interpretation and specialized sign language. I understand that individuals in this system feel that they do not own water. That's why I understand that we need to look at how the housing situation in particular works too many -- that they have the ability to get a self-contained dwelling, decide what kind of housing they want, but also that they actually have to be able to choose which municipality they want to live in. For the living property, as is known, Norway has been suspended.
ParlaMint-NO_2008-04-04.ana.ud1664e642	The proposal of the representatives of the Progress Party involves eight actions for the deaf and deaf, which the proposers consider central to improving the living conditions of this group. The Christian People's Party shares the proposalers' intention that the authorities have an important responsibility to assist those who have special needs, including deaf and deaf. I want to commend the representatives of their great commitment to better integrate this group into society as a whole. The Christian People's Party believes that all people must be viewed as individuals to be assisted by individual needs, and not according to whether they belong to a particular diagnostic group. I'm glad that a joint committee apart from the Advancement Party ends up about the principle view. Former Minister for Children and Gender Equality Manuela Ramin-Osmundsen briefed the Department in a letter of 5 February on its work on the measures proposed in the draft representative. I have noticed that several of the measures requested in the proposal for a representative are already in place, or are working with the Government. I share the representative's wish for good information on the rights and relief measures of deaf and deaf people. This is ensured, inter alia, by: at the Eikholt national resource centre for deaf blind people. The previous social committee was visiting there and was powerfully impressed by the work they were doing. The Christian People's Party considers that the proposals for the right to additional school years in secondary school and access to adult education are respected by the provisions of the Training Act, as set out in the letters of the Council of State to the Committee. With regard to the offer at primary school, I believe that the rules for special education specifically adapted to the needs of students are a more correct and important contribution to meeting the needs of people with disabilities than the statutory right to extra school years. In its observations on decisions taken in the Grand Duchy from 10 years ago, the party's progress party refers to decisions taken in the Grand Duchy. I even attended many of these in the light of the situation at that time. Already at that time, an overall committee, including the Progress Party, felt that there was no need for a separate action plan for deaf and deaf people. I don't see why the need has changed today. As pointed out in the comments of the majority and in the letters of the Council of State, a number of measures have, fortunately, been taken to improve their supply and information in the years since then. We are now impatient to get them started, and that is probably the main challenge for the new minister. We have all been concerned about the interpretation service, and I really look forward to the report that will be completed in a month's time. In view of this and the assessment that assistance to people with special needs for assistance should be equivalent for all groups who need it, the Christian People's Party does not see it as desirable to have a separate action plan for actions aimed at deaf and deaf people. The Christian People's Party therefore joins the majority of the Committee and proposes that the proposal be annexed to the Minutes.
ParlaMint-NO_2008-04-04.ana.ud1664e663	Action against disabled persons is one of the most central areas of government activity. Today, we are promoting a new law on discrimination and accessibility for people with disabilities. It is especially gratifying that we also have the opportunity to discuss these questions at Stortinget today. I know that people with disabilities face many challenges in their everyday lives, and the representatives are due to raise an important discussion about a group that needs special attention. Since I coordinate enforcement responsibilities in terms of policies for the benefit of disabled people, I am now speaking on behalf of the Minister for Labour and Inclusion, the Minister for Health and Care and the Minister for Knowledge. To say something about the situation of deaf and deaf blind people, I must first focus on what has happened in Norwegian society in the last ten years. We have gone from focusing on single diagnosis to focusing on individual needs. That is why we have now been given a regulation on an individual plan, which is intended to be offered to the individual by the representative Karin Andersen. We have also received a new strategy plan for rehabilitation and rehabilitation. Norway is in the forefront of special offers for small and rare diagnostic groups. This will also benefit the deaf and deaf. The representative proposes that the financial responsibility for the provision of care for deaf blind and deaf people be transferred to popular security and that we be given a diagnosis-based funding system. I do not think that this system is suitable for giving the individual a better individual offer. The deaf blind are a very heterogeneous group. Some have been born deaf blind, approx. 100 people, while others have become. Some have been working at a time when they were not deaf blind, while others are living in a completely different situation. Some people have also reduced their functionality in other areas, so if you're only based on a diagnosis, I don't think we're facilitating this system well enough for the individual. So there are people with a similar diagnosis who would have totally different help needs. That is why I believe that we better address the need for individual organisation through today's system. There are also state special educational support systems that provide information on deaf and hearing impaired persons. You can visit the Eikholt National Resource Centre for the deaf. It is very good, provides good information and shows the amazing work done by Eikholt. In this respect, with the number of years of primary school and two additional years of secondary education, the provisions on special education have largely been complied with. If you have the right to special education, you also have the right to two more years. It should surprise me a lot about people who are deaf blind, not having the right to special education. This also applies to adult training. A new proposal has been sent from the Ministry of Knowledge to give all adults the right to complete high school, even after they have reached the age of 25. This will also include deaf blind people. With regard to the proposal on the availability of sign language skills or interpreters, I refer to the Patient Rights Act. Individuals have the right and local authorities are obliged to offer relief measures to persons who have particularly burdensome care. It's the law of the Social Services Act. The provisions are independent of diagnosis. Forms of relief services are to some extent available in the State special educational support system and in the Eikholt national resource centre for deaf blind people. There is provision for overnight stays, and a week’s camp school for deaf - blind children and young people is arranged each year. I am also familiar with the challenges we face in interpreting. That is why the Directorate will report on this before the end of May 2008. When it comes to the desire to get more people to work, the Working and Welfare Act has gone through this, and they say that deaf blind people are a group that has a lot of hidden resources. I therefore believe that the proposal presented by the representatives has been largely taken care of by existing laws and practices. We will do everything in our power to improve the success of people with disabilities in the Norwegian community, and these proposals will also benefit the deaf.
ParlaMint-NO_2008-04-04.ana.ud1664e686	It's going to be line change.
ParlaMint-NO_2008-04-04.ana.ud1664e689	It is always nice to get acquainted with new state councils, so let me first congratulate you on your appointment as State council. As the Council of State also pointed out, the interpretation service is now being evaluated and evaluated, and a report is to be submitted. There are still many people who feel that the interpreting service is inadequate, and that, even though much is good, it is also fragmented and works unpredictablely in many situations. For example, in hospitals, today’s legislation does not require trained staff to perform interpretation. We also hear that there are great variations in interpretation, and in many cases, especially in hospitals, you don't get the necessary interpretation. Will the Council of State ensure and guarantee that an interpreter service based on trained interpreters is provided?
ParlaMint-NO_2008-04-04.ana.ud1664e697	With regard to the interpretation service, we in our society are demanding that interpreters have special competence. This may apply to people with disabilities who want to take higher education, and in that case the interpreters must have a level and knowledge equivalent to what the user needs. It is quite clear that increased competence in the interpretation service is required during the coming period. So now we're going to go through the interpreting service. We get a report, and I want to look carefully at this report to see if we can design measures that will enable us to help users in a better way than today.
ParlaMint-NO_2008-04-04.ana.ud1664e704	First, I will also be allowed to take the opportunity to congratulate the new Council of State, and I hope and wish that we will have good cooperation. As most of the members of the committee, and who asked the previous question were also concerned, I am engaged in the interpretation service. Many cannot function either in the workplace, in an educational situation or in leisure time without such a service. After all, the Directorate of Labour and Welfare has been tasked with providing a comprehensive and forward-looking report on the interpretation service by the end of May. My simple question to the Council of State is: Is the work on track, for this is what many people are waiting for?
ParlaMint-NO_2008-04-04.ana.ud1664e713	The Directorate of Labour and Welfare was given this task in October 2007, and I am familiar with the fact that there is no indication that this work has been postponed. I welcome this report with great interest, so that we can get a better overview of the situation, and, if necessary, take measures that will improve the situation for users.
ParlaMint-NO_2008-04-04.ana.ud1664e718	Several have not asked for the word for a line. Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 2732]]
ParlaMint-NO_2008-04-04.ana.ud1664e737	The central thing about this interpellation is to get one to now unknown part of recent Norwegian history, primarily women's and children's history. Because many of those who can contribute information in the matter are starting to grow old, it is important to raise the matter now. This interpellation is, as I see it, about women who pride themselves on Norwegian authorities. They were proud that the children they gave away would have a good life. This was not always the case. History includes an establishment in which midwives established private midwives, where they re-established close cooperation with private adoption intermediaries and where the public of the counties acted as pro forma approval schemes. By the fact that the public did not do their job, both mothers and children were seriously neglected in my opinion. Some of the saddest thing about this neglect was that the mothers were sure that the children would get better if they were adopted away than if they stayed home with their mother. They knew that the state would approve the adoptive parents, and that the children would come to people who put better into it than they did themselves. The state was their guarantor of good parents to the child they had to put away, but in my opinion the state neglected its task and was thus a poor guarantor. On the 31st of March - so on Monday - the NRK had a suggestion that an Eastern European woman had volunteered as surrogate mother for a Norwegian couple who paid the woman and took over the child. She did it to get money for herself and the family in dire need. On Tuesday, the focus of the NRK was on the issue of child trafficking. The purchase and sale of children took place again, as was also done in parts of the Norwegian post-war period. The postwar trade didn't give many mothers much money. The money went to adoptive mothers and adoption lawyers in many cases. The authorities knew about their activities, but nevertheless the control of these private, often unprofessional, intermediaries was minimal. It is important for me to say that many adopted people came to good families, even in the postwar period. The point is that control varied greatly. The state at the county often made the job easy for the more or less unprofessional intermediaries, such as midwives and adoption lawyers, by not checking that the adoptive parents were good enough for the job. The County conducted much more superficial and fewer studies of the adoptive parents than of the serious intermediaries, such as the United Kingdom. Oslo Health Council, Adoption Office, did. For example, they seriously gave mothers the opportunity to change their mind. The child was not given away until after two months. The unprofessional gave the child away to the foster parents, later adoptive parents, after two or three days. The serious ones even checked those who wanted to become adoptive parents. They investigated the economy, housing relationships, relatives, friends, and they cooperated with different authorities, such as contributors, urban rights, child protection subjects, and nutritional topics. They also required a medical certificate and a new X-ray due to the risk of lung disease. The unprofessional intermediaries had it easier. The foster parents applied to become adoptive parents, and within a few days, weeks or months this was arranged as follows: They presented a marriage certificate, a record of good conduct from the police or a lieutenant, an equation certificate from the last fiscal year, and a certificate that adoption would be assumed to be beneficial to the child. Such a certificate could be obtained from a civil servant, for example: a priest or a mariner. You could obtain a certificate from two private people who had to state their position and address. In such cases, the police or county police officer had to confirm that these two were credible and reliable persons. In other words, the examinations were minimal. As I said, many children came to the benefit of adoptive parents and were well-grown by circumstances, including those communicated by the more unprofessional actors. Other children came to adoptive parents who certainly had good intentions, but who were unable to handle the child, which could be revealed by a better control. They could not realize that the child had his or her own will, a genetic inheritance, and the need for his or her own development. When the child did not behave as they would, the doll they had bought, the adoptive parents began to repent. They had literally bought the cats in the bag, as it appears in one of the reports about this relationship in the Smälen newspaper. Being constantly told that ‘you can’t do this to us, we who paid so much for you’, can be very devastating for a child’s development. So it's not just about physical abuse, which is also seen in a mentioned interview in the Smålen newspaper, but also about mental abuse, which characterizes the adopted people throughout their lives. Also, this abuse could have been avoided if the state had done a real job investigating the adoptive parents. Of course, adoptive children can have poor parents even if the studies are good. But the state at the county did not take the children and their carnal mothers seriously enough at the time. They left the children to their own fate without doing enough to make sure they would get it right. The adoption was to benefit the child, said the adoption law of 1917. This most important part of the law was grossly broken on several occasions. So far, the evil-willed adopted have been unknown to them why they got it like this. They did not know where to turn. They have not even known that the problems they have had are common to many others, and that this is the cause of them too many. Last year came the book "Mothers Without Children", written by Björn Steinar Meyer. Now they know, and I know, more. They've got an explanation and a story. We don't know -- at least I don't know -- how many people came to poor parents. No one has in retrospect examined how things have gone with the children, but as one I have met, said: After all, some of us have probably gone badly. This neglect is important for the public to take over, in line with the neglect of tattoos, children's protection and German children. I would like to add that when I met this story, it became quite strange, because I am a social worker and have been trained in the Castberg child labourers. It's some of the professional pride I got in the luggage in my education. So these came almost 100 years ago, and they were going to make sure that children were born outside of normal marriage, they were going to be fine. The story that I describe takes place approximately. 40 years later. It is a very heavy reminder of how late fundamental conditions in a society, socially and culturally, change, although governments with a broad base have adopted good laws with good intentions. It doesn't change the situation for those involved, but it's a very heavy reflection on social policy. It's not new to me, I've met it in many other areas: that we have strong ideals, which we do our best for or strive to achieve. In this case, at least this hindrance, the contrast between it, let me say, the social political heritage I got with me in my education, and what I've met in these stories, has become so strong that it has led me to use the right I have as a magnificant, to promote this interpelation. My intention is that I would like to hear whether the Council of State will review this adoption activity more closely, for example. equivalent to the work carried out in the case of orphanages, or if she otherwise wishes to meet the people concerned.
ParlaMint-NO_2008-04-04.ana.ud1664e777	The representative Dørum, in his interpellation, puts the spotlight on an epoch in Norwegian adoption history where social conditions were completely different from those we know today, not least in relation to the situation of single mothers. It was a period during and after the war that was characterized by social and economic conditions that were partly difficult. It was also difficult for many children who were born of single mothers. Many people were drawn to stigmatizing terms such as ‘loose young’ and ‘unfit’. For many women, therefore, adoption became the only real option. The representative Dørum will have the honor to take up this relationship in our close history. He also contributes in part to meeting some of the objectives of the interpellation, namely to focus on a part of Norwegian adoption history. Although some may wish to focus on adoption issues during the period, it is not possible that everyone wants a focus. It is not necessarily the case that all those who have adopted away children in this period want to be called up by a public investigation commission. It can be seen as difficult for a lot of people. Adopted is also not a uniform group, and many of those who were adopted away in that period are not aware of it even today. That is why I think we should be careful before, if necessary, launching a survey. It'll be able to arouse strong emotions, and break into new and established family relationships. Although we have to assume that the vast majority of people grew up well, we are familiar with simple stories that are here being taken up in a good and thorough way. But we have to be careful to draw general conclusions. I am concerned that we regard this as an important matter. Former State Council Bekkemmen signalled that she would launch a public inquiry into Norwegian adoption policy. To this end, it will be important to look at how adult adopted people should be taken care of when they seek information about their biological parents and about their adoption case. Individuals who have suffered innocently during growth in adoptive families may apply to the Grand Duchy for cheap payments. This scheme is precisely designed to ensure individual compensation for those who have come out unluckily compared to others in the same situation. Those who today believe that they have suffered from congestion as a result of an adoption carried out during that period may therefore benefit from the cheap compensation scheme. Our adoption legislation extends back to 1917. So from 1917 to 2006, more than 65,000 adoptions have been registered. When we got a general welfare development and it was easier to be accepted as a single mother, the number of adopted in Norway was reduced with Norwegian background. In 2003, there were only three such cases in Norway. Adoption communication is about finding adoptive parents of the individual child. During the period Dørum talks about, and mentioned in the good book of Bjørn Steinar Meyer, ‘Mothers without children’, midwives accepted pregnant women offering ‘discreet residence’ at the end of pregnancy and at birth. Then we got a new Children's Protection Act in 1953, where it was forbidden for individuals to run adoption agencies. The ban was punishable. The organisation of a public adoption agency gradually took shape in the 1950s to 1970s. So it's clear that the authorities have improved in this area. Single boilers, as described in particular. book the representative Dørum refers to, makes a strong impression. I have a great understanding of those who have had to live in such a difficult situation. Bjørn Steinar Meyer also describes in the book a woman's vision that I'm happy we've put behind us. But despite double morals and sad individualisms, Meyer's book is not entirely without hope and joy. There were children who came to a good and loving home, and this too is well described in this book. In our days, we often present the 1950s as the happy hometime where people had time for care and time for each other. However, care was not always unconditional. If you broke social norms, you didn't necessarily get part of the same social community. If you were, for example, same or traveling, got pregnant without being married, or was gay, the condemnation was great. It was harmony, but it wasn't always so easy to be different. As I said initially, it is difficult to define adopted as a uniform group, but I will refer to St.meld. No 44 for 2003-2004 on the compensation scheme for children in war and compensation schemes for Roma/taters and elderly women suffering from educational injury, as Minister of Justice Dørum, at the time, presented in 2004. His conclusion, expressed in the biggest report, was that all future reasonableness-based requirements of different groups in society should be addressed through the Grand Britain’s cheap substitutes scheme.
ParlaMint-NO_2008-04-04.ana.ud1664e803	Of course, state councils don't want to talk about it in general when it comes to thousands of adoptions since 1917. I haven't done that either. I've been going into Norwegian history at some point -- and let me stay a little bit at it. In this period of Norwegian history, I grew up. I still remember those who went to so-called special schools. It was very clear to me that they did that, and I know what it meant for me to view that kind of business later on. Then later, as a good adult, I learned about lobotomy and forced sterilization. This led to some of the claims that Huitfeldt the Council of State now raised. We learned about orphanages. There appeared relationships that were unknown to me. They were also unknown to me when I was educated as a social worker, but they came up. I have had no intention of doing anything but getting it on the agenda. I think the Council of State has answered me very well, and I think she gives two important comments. First of all, she says she wants to look at Norwegian adoption policy, which I think is wise anyway. I also agree with her that the authorities have clearly improved, of course they do. But it could be an opportunity in such a situation to ask those who have something to say, to report. It's not a systematic review of who did what, but it's a systematic call for those who want to be time witnesses to report. The background that I've traveled this interpellation is time witnesses, witnesses who have signed up. They've taken that challenge and burden there's too many to stand up with their faces and tell. And such an investigation as the Council of State is talking about gives us an opportunity to get what has been good, but also an opportunity to get what has not been good. To give time witnesses an opportunity to be heard -- perhaps especially against this story where the Council of State and I agree that we did not have the controls we should have, and also agree that there have been clear and strong improvements since that -- is to give them a chance to be seen and heard. Through the stories of time witnesses, the responsible authorities will have a chance to make up their minds about what this is. Then you also avoid what the Council of State says about not imposing anything on anyone. Of course, I totally agree that you shouldn't, but that gives those who want to say from, an opportunity to do that. Then I also realized that some people wanted to say something about economics. It has not been the primary purpose of my interpellation. I am very aware of the proposal made by the Council of State, Huitfeldt, to use the cheap substitutes system - and to quote on it - ‘with its application’. The size has adopted some of these measures. It hasn't been my main theme here. Others may think that it should have been a main theme, but for me it has not been. For me, the main theme has been to get the story illuminated. And I would like to ask the Council of State to comment on the idea I have of giving the witnesses an opportunity to be heard in discussing Norwegian adoption policy, as she described in her statement.
ParlaMint-NO_2008-04-04.ana.ud1664e816	I want to give Dørum honor to the representative for a very nuanced approach to these questions. I hear from the representative's descriptions that he has spoken to many people who are in this situation. So do I. And for some, being called up and examined will be a new intrusion. So contact between the authorities and time witnesses must be based on those who volunteer, those who want to get attention. The fact that we're now starting a job with a NOU to go through the entire adoption field gives us an opportunity to discuss this. So this I think is an interesting input, which I want to take with me when we're going to work on mandate and composition of such a sample.
ParlaMint-NO_2008-04-04.ana.ud1664e830	The representative Dørum describes the relationship with post-war adoption as it's good we're even. I have not read the book to which the representative refers, and post-war wounds I know first and foremost through the history books. My perception is that one time there was a society different from what we have today -- where the view of women, the view of Alein mothers, and probably also the perception of what was the best of children, was different than today. Social conditions were different. And so were the economics. It's far from today's economic prosperity to the many that experienced in everyday life. Today almost did not suggest that biological parents in Norway should adopt away their child. That parents couldn't afford to take care of their kids was, unfortunately, a much more common reason for adoption before, and too many lone parents can only imagine what it was like. Adoption in the 1940s and 1950s was therefore certainly the mark of the social opinion society had of single, single mothers, but also of tough economic realities for many. Despite the fact that most people today live with a good economy, that we have a relatively open and tolerant society, and that the awareness of children and children's best is very strong, it is nevertheless that too many children experience that the relationship with parents, that care and life are not the way it should be. This was certainly the case in the 1940s and 1950s, and this is the case today. There's a lot of reasons for that. The adoption ratio at that time may be one reason, but it was and are many others. I believe that applies to all parental-child relationships, both at that time and today. Fortunately, they are all, most children are well and have a good upbringing. I think that also applies to the vast majority of those who were adopted in the period of Dørum's focus. So I agree with the Council of State that identifying a single group of adoptions from the period we're talking about is difficult. Adoption mediation is currently governed by the adoption law. There is an independent selection for the adoption of children living in Norway, and there are some tough demands on those who want to become parents and who are in the central register of adoption seekers: there is thorough information for the biological parents of the child about what adoption is, and it is possible for the parents who want it to be consulted on the issue of adoption. And the most important of all: it's the best thing for the child that's always going to be the deciding thing. However, many people feel that not everything is perfect in today’s adoption agency either. The former State Council, Mr Bekkemmen, announced a review of the whole adoption field, as State Council, Huitfeldt, has done well. I support the Council of State that in this review one should be able to see more closely how mature adopted persons should be taken care of when they contact to find information about their biological parents and about their adoption case. I believe that in a good way, I will meet the wishes that I perceive the representative Dørum made available in his contributions. Those who experience that they have suffered innocently during the growth of an adoptive family, I think I should look at the possibility that exists within the Stortinge's cheap substitute scheme. Although it was not obvious what the representative intended to focus on with this interpellation, at least it is a possible answer for those who have suffered innocently in growth.
ParlaMint-NO_2008-04-04.ana.ud1664e849	I want to thank the interpellant for focusing on a very dark story in women and children's lives. I myself am a midwife from Eastfold, and I have received many children who have been adopted away right after birth. It's always bad for them. The author Bjørn Steinar Meyer, in his report book ‘Mothers Without Children’, has directed the search for a dark chapter in Norwegian adoption history. It's not a merry story Meyer serves in the book. The stories in the book are about 16- and 17-year-old girls who had to go to the Witch to hide their growing stomachs. It is a privately-practiced adoption agency that was primarily business-based for those who supported this practice. After that time, the legal framework for adoption communication has changed - fortunately. In the past, individuals were free to engage in intermediary activities without public funding requirements. I would like to mention that the author of this book in a newspaper essay in Sarpsborg Arbeiderblad on 15 November says about the practice of midwives that it was ‘just business, but she was a necessary evil in society’. Fortunately, women now have other rights - including children. Fortunately, we have another abortion law. Fortunately, we now have economic rights in the welfare state of Norway that allow women to care for their own children and get support for it, but we should not ignore the fact that this is still happening in large parts of the world. The review of the new Child Protection Act in 1953 highlighted the need for effective control with both the dissemination of adoption and the placement of children in foster homes. Such intermediary activities were prohibited under the Child Protection Act. Having said that, I would like to stress that although the adoption practices described in this book were very critical, it does not mean that all children who were adopted had problems in their adoptive homes. Nor has it been given that an adoption relationship that has developed unluckily necessarily has its direct cause in how the adoption itself was implemented. There may be many reasons why an adoption relationship develops negatively, in the same way as other parent-child relationships. I mean, we don't have 100 pst. guarantee that this does not happen or will happen in the future. SV is therefore committed to facilitating good arrangements for all the parties to adoption cases. I therefore assume that the review of the adoption field signaled by the former Council of State, Mr. Bekkemmen, will also address further how adults adopted should be taken care of when they seek information about their biological parents and about their adoption case. From the debate and from what the Council of State has now said in its statement, I feel confident that this will be reviewed. With regard to the matters presented in the book, and with regard to matters relating to the extension of these that have been explained in the press, I cannot decide, based on the information that has been obtained, whether or not there is a basis for claims. Of course, anyone who considers that they have a basis for claims may do so in an ordinary way. An action for damages against the State will normally be dealt with and resolved through the existing legislation to deal with such claims. Adoption decisions differ by the fact that it may be problematic to prove that there have been errors in the procedure, and that this is so serious that it means that it triggers compensation. I therefore believe - from the SV's point of view - that the cheap compensation scheme is the most appropriate scheme. Finally, I would like to say: this is a dark story for women and children that we now have, through a law and through changes both through abortion laws and welfare schemes, left behind us. As a midwife, I am very, very happy that we now have a society that takes this seriously. I put my trust in the fact that the Council of State is following up what the former Council of State has said in this area.
