ParlaMint-NO_2008-12-03.ana.ud109e99	The representative Finn Martin Vallersnes, who has been on leave, has once again taken up his seat.
ParlaMint-NO_2008-12-03.ana.ud109e410	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 970]]
ParlaMint-NO_2008-12-03.ana.ud109e426	This national audit report is a follow-up to a similar study presented in 2005. That study revealed a number of shortcomings in the achievement of the objectives related to the duration of the proceedings of key actors in the criminal justice chain. This was the case both in the police, in the state lawyers' offices, in the courts and in criminal matters. The size at the time looked seriously at what was revealed, and thought there was a need for a new investigation in the near future. So it's this successor that we're going to end today's treatment. Effective criminal proceedings are important both for legal certainty and for people’s perception. The size has therefore set time limits for the different stages of the procedure. The national audit has looked at the achievement of the target in relation to ten different deadlines. Four of these apply in relation to cases where the defendant was under 18 years of age. The present study shows that there have been clear improvements in the achievement of the target since the previous survey, in fact at all stages. This is positive and suggests that the measures taken have been effective. However, there is still a breach of deadlines in a significant number of cases. It is therefore absolutely necessary to continue to work actively to improve the achievement of the target. In some cases, there may be good grounds for not complying with the deadlines. Therefore, the law also provides for exemptions if ‘special circumstances are obstacles’. The reservation has been taken into account both for legal certainty and for practical reasons. It is absolutely essential that both the investigation and the proceedings be sound. The defendant's freedom of defence shall be safeguarded. In particular, in the case of young offenders, there may also be concerns about having the personal and social situation of the victim properly monitored. It is also important to facilitate individual follow-up and appropriate criminal responses, especially for young offenders. This means that there is an overall committee which considers that non-compliance with the time limits is acceptable when it is necessary for the proper functioning of the procedure. But the possibility of exception must not be a sleeping cushion. The time-limits for their initial maintenance are set and it shall be possible to keep them. It's e.g. not satisfactory in cases where the offender is under 18 years of age, when the time-limits from a case have been received for the initiation of main proceedings in the main proceedings and the law enforcement is respected in less than 50 p.m. of the cases. The same is true of the time limit from the time when a case is received in criminal proceedings and the time of the commencement of settlement. The study also shows that there are considerable local variations in compliance with the deadlines, both at the police, at the state prosecutor’s offices and at the courts. Comparisons show that in some cases the differences between districts are so large that this cannot only relate to differences in case content and complexity. It is therefore appropriate to ask questions about non-discrimination. The Christian People's Party believes it is important that the Department takes into account the facts that the investigation reveals. Although improvements have occurred in a few years, this is not good enough. Further action needs to be taken to further reduce the duration of the proceedings and to improve non-discrimination from area to area. At the same time, it is important that due account be taken of the proper conduct and the legal certainty of the individual. Let me just point out at the end that the representatives from the Progress Party and the Right have some specific comments in the vote. From the point of view of the rapporteur, I consider these comments to be more complementary to the joint comitology, and therefore do not have any content on the part of the rapporteur on the basis of criticism. However, I refer to the comments of the entire committee, which I think are comprehensive in view of the view the committee has wanted to make in this matter now.
ParlaMint-NO_2008-12-03.ana.ud109e443	It's important that we have an alert look at how the criminal case works at all stages. An important part of this is that statutory time limits for processing time are respected. That's the theme of this case. The survey at hand identifies the achievement of the objectives of the police, the state prosecutors' offices, the courts and the criminal justice system. The rapporteur said that since the previous investigation there have been positive improvements at all stages, which is very good. This suggests that the measures taken have been effective. However, there is still a breach of some general deadlines in some cases. The housing queue was around 2,500 people in 2005; today the housing queue is less than 500. That is, we almost don't have any real reconciliation queues. Nevertheless, we see from the report to the Riksrevision that more than half of the convicted people have to wait more than two months for compensation. This gives bad signals both to the offended, to relatives, to the condemned, and to society in general. Therefore, the work continues to cut in the pay queue. The exceedances in violence also give unfortunate signals and unnecessary burdens to those affected. I would like to stress that an effective criminal case is very important both for the sake of legal certainty and for the legal perception of most people. Fast follow-up in all stages also has a preventative value, either individually or in general. It is also important that police procedures be speeded up in order to ensure that evidence is provided and that the case can continue in the judicial system. In some cases, however, there may be good grounds for not complying with the deadlines set. It is important that both the investigation and the proceedings are sound, although this may mean that deadlines cannot be kept. Derogations from statutory deadlines are allowed here. It is also important that, especially for young offenders, provision is made for individual follow-up and adapted criminal responses. I believe it can be accepted that the deadlines are not met when it is necessary for the procedure to be sound. Action is still needed to further reduce the duration of proceedings, while at the same time ensuring legal certainty for individuals. It is necessary to have procedural systems that provide information on time and reasons for breaches of time limits and to facilitate the follow-up of cases throughout the criminal justice chain. However, I would like to stress that the government has done a lot in this area, and that the figures are really on the right track at all stages, as this case also shows.
ParlaMint-NO_2008-12-03.ana.ud109e458	Let me start with the conclusion, which is to give tribute to the Ministry of Justice because it has actually addressed a good part of the challenges that were raised last time, and also a great reward for the National Audit Office, which is still holding the department in its ears. So there's the dynamic that's needed to move forward. In this way, I think it is absolutely right to give honey both ways. At the same time, it is also correct, what was said on the part of the rapporteur – I assume from my point of view at all events – that the comments on which the Right and the Advance Party stand together in the vote are a continuation of, and at all events no contrast to, the Committee. So that's perfectly understood. The reason why you have chosen to post these comments is, among other things: two ratios. One is that quick and good processing is extremely important for the sake of a person who is a possible perpetrator. So the person in question clearly needs to clarify as quickly as possible if he has committed a criminal offence. It is, of course, a great burden to go around and have the suspicion against themselves. In that way, it's about doing that as quickly as possible. The same will also apply to the person who is a possible victim. For the victim, it might be at least as tough, and in some contexts it's clearly worse, because you're going to wait to know if you're being believed, with the burden it brings until there's an exact sense of what's happened. It means at least I'm two of the primary things we have to look at. Something else that I think is important about the Riksrevision report is that it has pointed out that the department's figures and references have not been correct in some contexts. That's what I expect the Council of State has registered, and I expect him to follow it closely up in the future, because I think that's unfortunate – it may not be a correct word to use, but it's not good when that happens. I assume that this will be followed up, and that the Council of State will take note of the point I am making here. Similarly, I am lucky to note that there is still a potential for cooperation. Things can be improved through even better cooperation with the agencies concerned. It will again serve both a possible perpetrator and the victim. Overall, it will serve the rule of law. That's what's obvious and the primary thing in this case. Finally, my conclusion will be that rapid processing is a key, but it should never be at the expense of legal certainty for any of the parties involved.
ParlaMint-NO_2008-12-03.ana.ud109e475	Let me begin by saying that the study that the Riksrevision has now done and that the committee has dealt with, we are taking very seriously in the department. We always take the Riksrevision studies seriously, but this is particularly important also for political reasons, in addition to the more auditable, mainly because we write in the Soria Moria statement and believe that it is important if we are to prevent new crime, that the reaction comes quickly and effectively. It's absolutely crucial. There are many who are involved and who compare to the question of speeding up criminal proceedings. As you can see, the follow-up to the Riksrevision is very useful to us. Then I would also like to point out something that the case rapporteur also had in mind – and I believe that the case rapporteur had a very good report in relation to how we from the Regeningas and the Department assess the situation – that these deadlines set in the criminal case cannot be absolute for each individual case. I understand that a broad political majority also agrees with that. Where you don't get to the bottom of who the perpetrator is, where you look for good reactions especially to young offenders, and where you need to make sure that you get good defenses at the right time, we can't set deadlines on an ongoing basis, but we need to ensure that legal certainty takes place at the right time. That's the other one. The third thing I want to point out, which makes the investigation important, and which may be a challenge for all of us, is that when you present this kind of investigation from both the National Audit Office and from us politicians out in the media, it is almost presented as going all the way in the wrong direction, and courts, police and prosecution authorities don't deliver. The nuance underlying the Riksrevision, as well as the Letter from the Ministry of Justice, that there must be significant improvement, in many of these areas one must have improved the whole sector, is important not only to show that everything is going better – it can be good enough for politicians – but also that it is useful to do something in this area, that one can succeed in reaching the deadlines set by the Stortinget and that one can also succeed in achieving the political objectives we have in relation to the criminal proceedings. In many cases it is more important to have a rapid response than necessarily to have a strict response. Getting in quickly, especially towards the youngest lawbreakers, is absolutely vital if we're to see any effect of it all. That is why I think it is important to point out that the developments which the rapporteur also saw show that, for example: in the case of violence and the 90-day period, where 22 pst. of the cases were within the deadline of the last investigation, now more than 50 p.m. and that the average period of proceedings for the first half of 2008 is now down to 114 days. We're approaching both averages, and what we want as a deadline, the goals set in these matters. This is something we are now discussing in close dialogue with the police director, the National Attorney and other actors, so that we can ensure that developments continue. When a deadline is set for the police in relation to those under 18 years of age, to sue within 42 days, they had a goal achievement in the previous survey of only 4 pst. The first half of 2008 shows that the average duration of treatment is now 30 days, and that more than half have been treated after 16 days by the police. There is reason to give the police credit for the fact that in the situation the police are in, they are able to deliver on these matters so quickly. It is absolutely crucial to the youngest lawbreakers. I could take several of the cases, but I'll just stay short of the court's efforts. There's reason to point out that the myth you've probably had for years, that everything takes so long in the courts, the courts are about to push aside. The courts are civil, and also criminal, in the process of becoming a very effective and good dispute resolution mechanism in Norway. We have courts, especially in the case of the District Court, but this also applies to most of the courts of law and of the Supreme Court, which must be among the fastest in Europe. We also have some of the strictest deadlines. With regard to the average duration of proceedings, in particular in civil and criminal cases in the courts, the time limit is now over. That's good, and there's reason to commend the courts for that. But where there are still challenges with regard to what the Riksrevision is drawing on, we need to continue working to keep the deadlines to a greater extent than you are doing now. The efforts that we have behind us show that this is possible. Finally, I would like to point out what the representative, Mr. Lydvo, had to say about the settlement queue. One of the main reasons people come in late for settlement in Norway is that we've had a queue. When 400 new properties have been established during this ageing period, this has resulted in the fact that we have got the pay queue down to approx. 460 Judges. The dilemma is that as long as you work with queues, you take old things, and then you will always risk things coming up beyond the two-month deadline set. However, on the basis of, inter alia, The National Audit Office's statements and also a wish from the Government that we should have a faster response, we have opened up this year so that those who are actually prepared to get a quick response, and who want to zone, will be able to do so immediately, because we are now getting better capacity in prisons. It will also help to ensure that more people come within the deadline set. We have the ambition – and have had it all along – to have completed the reconciliation queue completely by the autumn of 2009. We hope that in the spring the queue will be in 0-- not in 460, but in 0. This will mean that people will be called to atonement within the deadline. Then we're also hoping that the new rules we've been given on calling for a pardon, and who will stand for it, will help people also meet for a propitiatory settlement, so that we get a criminal code that triggers responses within the deadlines set.
ParlaMint-NO_2008-12-03.ana.ud109e494	Several have not asked for the floor on case No. 5th@item: inlistbox [[See page 970]]
ParlaMint-NO_2008-12-03.ana.ud109e510	At the request of the Judicial Committee, the President will propose that the debate be limited to 2 hours and 5 minutes and that speaking time be allocated to the groups as follows: Working Party 45 minutes, Progress Party 25 minutes, Right 15 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 10 minutes and Left 10 minutes. Furthermore, the President will propose that there be a replication of up to three lines of reply following the speeches by the main speakers of each party group and five lines of response following contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2008-12-03.ana.ud109e521	The aim of justice policy is to create a safer society. To measure whether we are on the right track in the fight against crime, we use statistics on notifications, clarification and processing time. But the statistics say nothing about how well the police or other actors prevent crime, or how it is to be the victim of a criminal act. A meeting that has made a strong impression on me was the meeting with a young girl who had been subjected to an assault rape in Oslo. Her description of the conditions during the first police hearing, where policemen came and went, and so she had to repeat time and again the details of the cruel assault she had just been subjected to, was strong and depressing. There has been a development in police and emergency services since this happened, but both the government-appointed rape committee and other investigations show that unfortunately this girl is not alone. The victims often experience contact with the police and the judiciary as a new burden. Other numbers can tell us that the risk of becoming a victim of a criminal act is 2 pst. in Sogn and Fjordane and 6 pst. in Oslo. But the numbers say nothing about all the old ladies who are afraid to leave the house in fear of a criminal act hitting them. My grandmother is one of them. She who is an active and strong lady, has now become anxious for sounds, for alien footprints across the lawn and for the development she reads about in the newspaper. This is how many older people are passive in their voluntary prisons. These stories are also important in designing justice policy. So if we just look at the numbers and just deal with what's in the paper, we go blind. There are few events that affect a human being more than being exposed to a criminal act. Therefore, I am pleased that the Government is strongly focused on strengthening the victims' position. But it is also important to prevent new crime. As a result, the criminal health report, which is to be addressed to the spring, is becoming important. At the same time, there is a need to increase penalties in some areas, and the new penal code to be presented soon becomes an important milestone. This requires an overall approach to justice policy, but also that we politicians are exasperating in our reasoning. We have a responsibility to prevent people from feeling more insecure than it actually is. I must be allowed to congratulate the Committee on the orderly and constructive budgetary work. In its general observations, the Committee states that ensuring social security is a welfare issue and a public responsibility. We stress that priority must be given to prevention, both targeted by the players in the justice sector and in society at large. It is therefore very gratifying that more than 260 police councils are established throughout the country after the Stortinge took the police role message two and a half years ago. We are pleased that the reconciliation queue is being removed, and a unanimous committee is pleased that the Government will introduce a readmission guarantee to help the prisoner by release. Furthermore, the Committee welcomes the extension and strengthening of the compensation for victims of violence, and we further say: ‘An important and proper action has been taken in relation to violence in close relations, both with a separate action plan, organisational action that has, among other things, given us our own family violence coordinators in all police districts and a separate plan against trafficking in human beings.’ The Justice Budget is a continuation of the change in the red-green majority started in this field when we took over the autumn of 2005. The appropriations for the justice field will be increased to approximately DKK 1.7 billion next year, and we will see more positive developments in the fight against crime, where the number of reports has fallen and the percentage of information has increased. However, we are also facing major challenges, in particular related to the needs of the police, as evidenced by the ‘Police against 2020’. Much is done during this period. The police have got a raise of over 800 million. kr, excluding compensation for wage and price increases. I note that the Progress Party supports the red-green parties by showing that the growth in the number of police annuals is significant under the current government. The main change in course that has been made is that we have doubled the number of students at Police College in a few years. The record number of 552 students is now being taken up, and the increase in the recording will be noticed as early as next year. As a result, about 52 million are added to the police districts through the etiology. NOK for operation now at the end of the year, and we are increasing the operating budget of the police next year by 216 million. kr. This reinforcement will provide room for more than 300 new posts in the police force. But when police appropriations have increased so strongly in recent years, when the number of police staff has increased by 25pst. in the last ten years, and the feedback is nevertheless on the fact that there is now fewer active service than before, it suggests that we need to have a review of operation and structure. It shows that all the challenges cannot be solved by more money alone. I am therefore pleased that the Minister of Justice has started work on this in close dialogue with the police organisation. Another very important result for this government is the removal of the soot queue and the strengthening of the content of the soot. We have reduced the queue for unconditional prison sentences and are actually well on track to remove the whole queue during 2009. To me, it is still a mystery that the Bondevik II administration could sit still and watch the queue just grow. We have also reduced the use of forward release, as was just introduced by the Bondevik II government. In addition, we have put in place a nationwide pilot project with electronic advocacy, and the first reports are very positive. For example, Jens Egil Holand, head of the Free Health Service in Troms, said: to Troms Folkeblad yesterday that he was very pleased with the pilot project so far, where strict reconciliation provisions are combined with the possibility of those sentences to combine reconciliation with work or education. This is a punishment that works, and I am surprised that both the Right Party and the Advance Party are proposing to cut this measure – the Progress Party is right not in the budget, but in the comments – despite the fact that research from Sweden demonstrates that electronic compensation reduces the relapse rate, and despite the first positive reports from Free Care. I must also mention that this government will finally begin the construction of new Gulating Lawyers, so that we can assign legal premises and good and secure working conditions. Right-wing criticism of our justice policy is often strange to me. It's rare they present new thoughts. It's the government's proposal they recycle, only with the small difference that they always grant a little more, and with the great difference that these are matters that were not proposed and were not prioritised by the Right when they put in government. We're setting up the very first fight units this year in Norwegian prisons and strengthening our efforts to next year. Right plus in its alternate budget. We realize the construction of children's houses. The right is dissatisfied with the fact that it is being built too few. The right stresses the importance of continuing the admission to the Police College at a high level when it is this government that has almost doubled the admission. My question to the Right is, when the Right is so concerned with these matters, which are quite rightly important, why didn't the Party give priority to implementing them in the last period? In my opinion, the party of progress demonstrates a lack of holisticity when looking at the results of their alcohol policy. The lot will cut the alcohol fee by 6 pst. This will significantly increase violence in society, and also probably increase sexual violence. When Finland reduced its alcohol taxes, the crime of violence increased by 29 p.m. Finland has now reversed this policy. The proposals of the Progress Party will in turn require more police, more prison sites and more health services, and it will cost far more than the Progress Party itself has at its disposal. With the budget submitted, the Government has the power to put justice policy in a comprehensive perspective. By working along several fronts at the same time, we prevent crime and secure society. I hope several grandmothers will dry to go out in the street. Then we need an active fight against crime and a strong community. It's our policy.
ParlaMint-NO_2008-12-03.ana.ud109e569	It's going to be line change.
ParlaMint-NO_2008-12-03.ana.ud109e572	I have a simple question for the representative Bjørnflaten. A short time ago, the majority decided to ban the purchase of sex in this country. At the same time, the sale of sex is not prohibited. And then my question becomes simple: who is it you've thought that these girls are going to sell sex to in the future?
ParlaMint-NO_2008-12-03.ana.ud109e579	The Norwegian sex market has changed significantly over the past few years, and we see an increasing incidence of foreign prostitutes in the streetscape. That's the main reason why we now thought it was important to impose a ban on the purchase of sex. There's reason to believe that many of these girls are victims of forced prostitution, victims of human trafficking. The experience shows us that it is very difficult to make any demarcation in this regard, so we thought it was important to introduce bans now. Many people have asked why we don't also criminalize selling sex. The reason for that is precisely what I pointed out, that many of these are already victims, they are victims of forced prostitution, they are victims of trafficking in human beings, they are victims of poverty, they are victims of addiction, and therefore we believe that it is not right to impose an even greater burden on them.
ParlaMint-NO_2008-12-03.ana.ud109e586	The representative Bjørnfacen was inside the police several times in his post. But I want to challenge her as follows: In the summer of 2007, 120 years of police work disappeared as a result of new working time regulations, without any action or strategy to compensate for them. From the new year 2009, the new working time regulations for police lawyers are coming, and it has been suggested that dozens of annual works will disappear as a result. How does the 2009 budget take account of this collection of prosecution capacity in the police?
ParlaMint-NO_2008-12-03.ana.ud109e593	At the time of the introduction of working time regulations, there was also a background that included: The Joint Police Association was among the most keen to get the working time arrangements in place, because it was thought that there was a need for the police to have a more regulated working time. I also see that the working time regulations have produced good results in many places where you used to have a backup guard and where you now have an active lucky day service. I do not agree with the representative when she says that we have not taken this into account. As I was in my post, at the end of the year we have strengthened the operating budget, and we are further strengthening the operating budget for the police, which means that it is possible to employ 300 more people. I'm referring to the fact that the police lawyers' union, PEL, has also gone a long way in supporting the current government in terms of our description of reality, and supporting the current government in the work it is doing to strengthen the police. I am very pleased that there is now a dialogue between the minister and the organisations about, among other things. the working time arrangements.
ParlaMint-NO_2008-12-03.ana.ud109e602	The chairperson of the Committee was in charge of the electronic redress system, and praised it on the basis of the few results already seen. So I would essentially ask: can it be expected in a further development of this that what was presented in the preliminary draft consultation on this, namely that electronic compensation could also be used in custody cases, is something government parties now want to look at?
ParlaMint-NO_2008-12-03.ana.ud109e607	As the representative of the Syversen was in the Chamber, it is a test procedure for the time being. And even if the first results so far are positive, it is also important that we evaluate the scheme before we come back to how it might be expanded and how it should be used. But I assume that if the results are as positive as they have been up to now, we will also consider it in relation to custody. Then I would also like to say that we are going to have a debate in the spring on the criminal welfare report, where the very alternative to compensation is becoming important, and where this is one of the important means of preventing relapses and contributing to a good return to society for the defendant and the sentenced.
ParlaMint-NO_2008-12-03.ana.ud109e615	So the chord change is over.
ParlaMint-NO_2008-12-03.ana.ud109e618	Four years ago, it was the first budget debate for this Judicial Committee. If I don't remember correctly, there was a slight nervousness – you can use the term – ‘thing’ here that wondered how to do this, and how to fix it – just the same way that the undersigned stood here eight years ago together with the then opposition politician Storberget. So for some of us, the learning curve has been longer than for others. What is at least a fact is that the Judicial Committee has worked well together, as the chairman of the committee also pointed out, and basically we agree on it all, mostly in the big picture. But then I also thought, since I've had the pleasure of sitting on the Justice Committee for eight years, that I had to look at what it was like before. So I've gone back and read the debates for the autumn of 2001, 2002, 2003 and 2004. If there's anyone who's wondering what we talked about then, I'll give you a brief feedback on that. We were talking about a lack of police. Is that surprising? Is it new today? No, no, no. We talked about an increase in crime. Is it new today? No, no, no. We were talking about solitude, the contents of the solitude and the solitude queue. Are we talking about this today? Yes, we do. We talked about quick reaction in 2001. And we're still going to do that. We talked about a lack of operational resources at the Norwegian police station. Do we still do that? Is there anyone who recognizes it? Yeah, probably most of them. And we talked about, among other things, violence in close relationships, as we do today. Then I could possibly have concluded that we have not come any further, but I assume that some people would say that this is a direct mistake. The fact is, however, that we are discussing the same things, and the question is, have we solved some of the major problems and challenges we have in the justice sector? I don't think so. It's possible we've done something with them. It's possible we've come further in relation to DNA. It is possible that we have come further in relation to violence in close relationships. It is possible that we have gone further in looking at the challenges that the Norwegian police have seen together. It is possible that we have come closer to looking at the interaction between the different aspects of the justice sector. But with respect to reporting, we haven't solved the problems. So I'm assuming that those who stand here in four years might be discussing the exact same things. And that's not necessarily wrong, but it probably shows on the contrary that there are no simple solutions. There are no shortcuts here. There is only one way to solve this, and it is through a long and targeted work where you can focus on what should be – and is – the most important thing. It will, of course, depend on where you stand politically. But for my part, it was quite interesting and also a little bit fun looking back at this, because it was a little alarm clock relative to: what are we going to do today? What are we discussing today? Yes, we are discussing the same thing as we did here in the autumn of 2001, 2002, 2003 and 2004. So if I were to move a little further, I've also taken the liberty of looking at what the Right Representatives did in the last period. When I look at what the Right Representatives did in the last period compared to today, I have to ask myself a question: if today's Justice Profile for the Right is correct, then I would argue that those who sat here for the Right in the last period did a bad job. What is at least clear is that today's Right-wing representatives have a significantly higher focus on the justice sector, on combating crime than they had in the last period. It may have a natural explanation. It is possible that it is as simple as you put in government, and therefore had some leadership/restrictions for what you could, and what you couldn't. But I might have left the right answer to that myself. But with respect to reporting, I think that right today is doing a good job, challenging things that are important. I had, with respect to reporting, liked to see an equally active Right in the previous period, and that should have been possible. The right had even – if I don't remember completely wrong – the Minister of Finance. They had a party leader who was in government. So when the story was written, the possibilities were present, but for different reasons, what could have been done did not happen. But I'll leave that, as I'm done with that part of the history description. Another thing that I think is worth taking with me is an interview on the News Channel with then Justice Minister Odd Einar Dørum at the PF National Meeting at Røros. In view of the political crisis that has been discussed now, he said: I experienced something similar when I was Minister of Justice. I tried to solve it, but it was very difficult. My proposal for what I had to do to help finance some challenges was to do two unpopular things. I put on the part of free legal aid, and I doubled the fines. That was the tool I had, and the opportunity I had to solve the things I was set to solve. Again, I perceive that the then Minister of Justice – and he is still here – is an up-and-coming and honest person who is not afraid to tell me about how he sees things, and he should have respect and respect for that. But I also felt that he was very open and direct in relation to the fact that he ended up in a situation where he had to choose a poor solution to move on. But he chose to do it because one was more important than the other. Both I and the then big-time representative Knut Storberget think I criticized him a bit for both, but he did because he thought it was the solution he had there and then. He must have respect and honor for that. If we go a little further and look at what's happening today, I've taken that freedom and looked a little bit in various newspapers. The online newspaper has an article on November 11th this year, where Erling Grimstad is interviewed. He says the police have completely lost control of financial crime. He says we have mafia-like conditions here in the country. He says, ‘– Police have completely lost control of financial crime. This fact has a very negative impact on society. I don't want this at all." So, of course, you could say that Grimstad is wrong. Then you can look at the Evening Post on 29 October this year, which has a front page where it says that 410 posts in the police are unoccupied. It is also referred to as ‘on weekend, four officers of 250,000 people’. It is possible that this is a greater challenge than the then Minister of Justice Dørum had. But at least it's a challenge that I can't see that the red-green government has come up with a solution – so far. Another case – Sunnmørsposten 21 October: ‘Freit for drug sales’. Head of the Sunnmøre Police District Narcotics Department, Sinde Ryssevik, reported: ‘The seizures we make are almost random. Unfortunately, it is free for heavier substances on Sunnmare today, says Ryssevik. The reason is simply that the police at Sunnmøre are standing completely without the opportunity to talk to informants." So what you're doing now is giving up on crime. Furthermore, it is stated in the Official Journal of Drammen on 23 October: ‘The police officer should actually clarify drug crime. Instead, he must drive the police patrol in the square." Prioritisation? Yes, possible. It's possible that it's red-green priority. But if that's a good priority, I reserve the right to be highly doubtful about. In the October 26th issue of the journal of Rome, it says: ‘Did not have time for 29 calls.’ And on: «Two police patrols and a total of four police officers. It was the police crew on Rome's rich night to Saturday." Then you've taken out a print from the police log, where you briefly referred to the reality of Rome that night. There were two cases of pro-mille driving that were reported, with nothing to do with it. There were three fights with which nothing was done, and there was also theft with which nothing was done. If that's what you're talking about in the budget position, that the local police are important, and that people feel that you can get support and response when you need it, yes, then we have a challenge, and unfortunately it's not small. On Friday 28 November, Dagbladet had a case where the police warned against staying at Karl Johan and Grünerløkka to avoid ransack. Is it so to understand that parts of the capital are now becoming an exceptional zone because ordinary citizens cannot go there with the danger of being exposed to crime? In that case, crime has won, and the law-abiding citizens have lost. It's a situation that we can't have. Let me finish this part by pointing out a press release from the National Audit Office in relation to financial crime. They issued a press release on 6 November, including the following: says: ‘Since book-keeping and business controls are key instruments in the work of these agencies against economic crime, the decline in supervision and controls is not in line with the assumptions for increased efforts in this area,’ says Jørgen Kosmo.’ In other words, it's not that it's only in relation to the visible crime that the red-green government fails – but it's also that in central fields, as I see it, both the Council of State and the parties seem to be engaged in fighting, namely financial crime, they don't deliver. Finally, in the autumn of 2004, the current member of the Judicial Committee, Gunn Karin Gjul, said about the budget: ‘The working party takes the situation in the police seriously This problem is a combination of structure and tight budgets. [[...]] In order to maintain good policing and to ensure good staffing both during the evening and during the weekend, the individual Länsmannskontoret and the individual police station need more money for operations and unoccupied positions... It is our duty to say from and ensure that the safety of ordinary people is not impaired." So now I've briefly explained some of the things that various media have shown. I actually think the representative Gunn Karin Gjul's description from the autumn of 2004 can actually be used as well today. So I would say that even though the red-green government has increased the budgets – they have, of course, done so, something else would have been spectacular, not least in terms of wage and price increases and other challenges, and the profile you have had – I think it is time to promote a new slogan, at least on our behalf. It should probably be: Out with Knut. It is possible that it is inappropriate, but I think we need, through the election to next year, to get a new course. So a little bit about what the Progress Party itself is doing. Some people may have been waiting for it too, but I expect it to be quite familiar. For our part, I hope, and we have an ambition, that we will hold on to the profile we've had at least over the last eight years, with a greater commitment to the Norwegian police. We believe that the police are among the best in prevention, and are one of the best tools in fighting crime. So we need more operational resources for the Norwegian police. We need today, since it's claimed and it's a fact that we lack police-trained people, to hire more civilians. The government does, but we still think you have more to go on. So we're going to claim that we need an investment budget. When times are tight and you're struggling with your budgets, you have to put some things aside because you can't afford everything. Then we think that we should consider setting up a scheme, as well as what we had before, by getting a central funding of some of the investments to address the challenges we actually have, and recognizing that this is the case. Then it's also that a budget is made up of large items and smaller items. For the Progress Party, it has been important to focus on the job they volunteer. We've recorded that this government has also said something about, and that it's important to have them in all parts of society. Of course, we support that. Another matter that has been on the map now, and with which the government has done a job, concerns the landslide judges. The Justice Committee has met them. We've taken on some of the challenges they have, but we still believe that we have a job to do and a piece to go to get to a proper level. The same applies to the situation with regard to the recruitment of judges, which we consider worrying from our point of view. Furthermore, before I go down, I will include our suggestions in the vote. We have also this time chosen to make some proposals that we had of course hoped the Government would be in. One of them relates to the interaction between criminal justice and psychiatry, child protection and the education sector. It is that when children are affected by this, you have to work across the board. Just as I realized that the Council of State commented on it in the previous case, so a budget alone does not solve a problem, especially since you do not have an exclusive right to it. Then you have to solve it together. Research is also a key to knowledge. The Right Party and the Advance Party have a proposal that we would like to see the majority join, but it has chosen not to do. And, not least, we clearly believe that it is now time to look at the justice sector together and get an analysis of what is needed within the different parts of it, an overall plan. It'll also give you better assumptions to be able to have a proper budgeting, we'll claim. In order not to forget to mention one of the things we are often accused of talking about, namely, punishment, I would say that we want the Government to present a case that deals with the level of punishment in this country, so that we can compare it a little bit with the level of punishment in other Nordic countries. Now the state council is about to present the penal code to us, and then we'll see what kind of references he has. So the last point: it's still so that a lot of things with a known perpetrator are settled. That's what we think we're looking at. I perceive that the Riksadvokat is critical of it. I understand that the Council of State has clear opinions on how it should be, but there we still have a job to do. Finally, I would like to address our proposals, and at the same time say that the Progress Party will support proposal No. 22, from the left.
ParlaMint-NO_2008-12-03.ana.ud109e711	The representative Jan Arild Ellingsen has taken up the suggestions he referred to. It's going to be line change.
