ParlaMint-NO_2008-05-29.ana.ud558e57	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-05-29.ana.ud558e631	Let me first thank the interpellant for an important interpellant, which also very well follows up the discussion we had on the basis of Finn Martin Vallersnes’ interpellation for a while back. Last weekend I was in Australia, in Australia's drought zones. I think they illustrate very well the relationship between climate change and food security in the world. There are places that have been among the world's grain chamber, where it is now incredibly dry. Just because Australia distributes the small water they have, with impressive precision and impressive state control, they get at all some significant agricultural production. Australia has never had it so dry. The last three years have been the driest Australia ever since measurements began in 1890. Although no one knows the precise relationship between international climate change and drought in Australia, at least I did not meet a single expert who thought anything other than that what you saw was an acute drought, yes, but within a generally downward trend towards a drier weather, more salt content in the soil and a much more difficult ecological situation in Australia. What is the individual farmer's response to this? It's natural, to look for products that can withstand a more dry climate and that can make more sense in a more dry climate, to survive at all. In short, it means the transition from rice and wheat to wine and almonds. Because you get a far higher profit on the same area in a more dry climate if you produce wine than if you produce rice. So once again, how things happen locally in Australia affect the international market, where rice is the raw material that has risen most in price -- at least of food -- in recent years. So the relationship between climate and food price increase should not be underestimated, even if no one can say on the dot how close that relationship is. We went into the debate after Vallersnes’ interpellation on what the reasons might be for food price increases, but let me just add one moment to what was said there. Because if you go more closely into the figures in countries like China and India and Africa, you can see that while there are, for example, India. is, above all, a general growth in all forms of consumption as a result of the richer country, in China what has also been seen in us is a drastic change in the pattern of consumption. While in India there is about the same increase in meat consumption as in direct consumption of cereal products etc., in China there is a dramatic much higher growth in the consumption of meat and dairy products versus the direct consumption of cereals. What we see then is the sum of what affects the world, that many countries get richer and thus can eat more of everything. But some countries have now become so rich that a significant number of people can move from one type of diet to another. Of course, the sum of this becomes a strong pressure on prices. Next week there is a big meeting about the international food crisis in Rome. This is a meeting that only six months ago was considered to be a relatively inconvenient UN meeting. With all due respect, there was no big sign either of state councils or heads of state, while now it seems to be a large number of -- many dozens -- heads of state coming, and a selection of state councils, from all over the world. And the Secretary-General of the United Nations, Ban Ki-moon, will be personally in charge of the meeting. So it's gone from being an important but not so important meeting to the very central forum. What I want to emphasize, as I see it now, at that meeting in Norway, is primarily three aspects: One is the link between climate change and food security. If we do not manage effectively to combat climate change, we will drastically reinforce the problems of food. The second is the significant market failure that we have seen in Africa, which actually leads African countries to produce less, not more, agricultural products now, while Asia has the exact opposite trend. And more than that, if you go below the numbers, there's a dramatic difference. Asian countries have almost no increase in the land used for agricultural production, but a substantial increase in production, while in Africa there is a significant increase in the land entering agricultural production, while there is a decrease in production. So when you increase the area while you get less output, it's obviously a drastically reduced agricultural productivity. There is a need for a drastic conversion of Africa's agriculture, in other words. And the third, which was also the interpellant, is the acute situation some states will face in the intersection of security, the potential for war and conflict and food insecurity. Let me then address the concrete proposals that the interpellant has made. He demanded a ‘New Deal’ for international food security and a Norwegian contribution to it. First, he asks for more money. Yes, but let's not forget that the main answers to the food security problem are not money, but politics, and that the most important thing for agricultural production is not necessarily what happens directly in it, but everything that happens around it. As I was in the last time, if it's not a port that works in Dar-es-Salaam, you don't get fertilizer enough to create a more productive agriculture in Tanzania. If there are no roads to bring fertilizer to the manufacturer, it will not be found. However, if there are no roads from the manufacturer to any market, they do not sell their goods - and therefore no incentive to increase production. Of course, Norwegian forestry is essential for agricultural production, including: because it is essential for biodiversity, which can provide long-term inputs to agriculture. Education is, of course, essential for agriculture, because educated people, a trained peasantry, who can more, of course, use new, more productive ways of farming faster. So we must not focus closely on money for agriculture, but look at agriculture in the broad context of development. But otherwise, I agree. The representative also asks for reforms in the World Food Programme. Yes, Norway has been a strong driver. That's also why we didn't increase the appropriations last year for the World Food Programme, just to demand those changes. Now it's really important, positive things going on in the organization. If you look at where the World Food Programme today buys its products, Uganda is no. 1 on that list. There is also a long list of poor countries where you buy your goods, so that the original impression of an organization dumping American surplus grain on poor African markets is no longer a comprehensive picture of the organization, even though it is American-led. So there's been positive changes here, but let's encourage their continuation. Let us also encourage close cooperation between the World Food Programme and the other two food agencies, FAO and IFAD, to use the abbreviations. The interpellant also wanted a close link between the issue of security, i.e. military state security, and food issues. I think that paying out cash almost always is better than distributing food directly, and that it will also be the most important tool to strengthen states that can get into trouble. The interpellant wants to address Norwegian biofuel policy in depth. I share that view. Of course, the attitude that comes from the state pollution control system today is going to go through thoroughly from the government. We want to engage in dialogue with our partners in the climate agreement. It was just supposed to be missing-- this is part of the climate agreement, and we're of course going to engage in dialogue with the Right, Christian People's Party and the Left to look at what's the natural interference requirement. The other two elements of what comes from the SFT, we believe that we are fully in agreement, namely a strong incentive for the rapid implementation of certification rules, which may be difficult to find strange. However, we need to influence the rules that come in the EU, and if the EU rules can also switch to a more global legislation on biofuels, nothing is better than that. Biofuels are a brilliant idea, to be promoted, but as with many other good ideas, one must avoid the growth of it. So certification - yes. The second element, the rapid introduction of second generation biofuels based on agricultural waste or forest waste, I perceive that there is also full consensus in the Storting, and we have to do what we can to get to it quickly. Then we're going to look at the exact integration requirements we're going to promote for 2008 and 2009 based on the setting that SFT comes with, but in the government-opposition dialogue. Let me just say in the end that one of the things that I'm putting the greatest emphasis on is public-private cooperation that we're now working on with Yara and with Jeffrey Sachs and Kofi Annan, which has been the driving force in the work of a global system for an African green revolution. However, a Norwegian contribution under this framework could be cooperation with Yara to promote policies to remove the obstacles that could increase productivity in African agriculture. African agriculture cannot continue to reduce its productivity when productivity increases almost anywhere else on the globe.
ParlaMint-NO_2008-05-29.ana.ud558e665	Let me first thank the Council of State for a very timely response. I am also pleased that the Council of States went on to specify the Norwegian positions within the important international decisions that will be in a short time, and I will go into some of the shades. We can now, among other things: reports from Ethiopia on, as I mentioned, the threat of large-scale hunger and malnutrition. Nutrition analyses from the country show alarming and increasing signs of malnutrition among children. UNICEF has on its side asked for 20 million. US dollars for emergency rations, but only received 5 pst. of this so far. The UN says that donors do not respond, because attention is directed to natural disasters in Burma and China. I think it is a very timely illustration of an emergency situation, to which I would like to hear the comment of the Council of State. It is absolutely in place with the support of these countries in the unfathomable tragedies that occur there. That's why I mean, and that's my main message, that we have to have two thoughts in our head at the same time, we have to think about both money and politics. The Council of State included this dichotomy in its answer. There is a need for - and it is not possible to get out of - emergency aid and increased transfers to, among other things. United Nations Food Programme. However, in the longer term, and in countries that already have a certain social safety network, further action is needed. For traditional food distribution, the State Council has the disadvantage of undermining local food production. Demand for local food is weakened, thereby also reducing the potential of a viable local agricultural sector that can provide food self-sufficiency in the longer term. The government should therefore call for the reform of the UN Food Organisation, and it confirms to the Council that it is committed to and has been involved in, for example. by extending its mandate to other forms of long-term food aid which may stimulate rather than weaken local agricultural production. The representative Holten Hemdal will come closer to the agricultural side of this commitment from our side. My question in the follow-up is whether the Council of States will call for the UN Food Programme to be extended to support new and longer-term food programmes that stimulate local agriculture. To a greater extent than in the past, Norway will use Norwegian aid to support transfers of funds to poor families in order to ensure that families provide nutrition, school and health services to their children, in a way such as: Mexico and Brazil have had very good experiences?
ParlaMint-NO_2008-05-29.ana.ud558e676	I share the representative's concern about what we often see, namely that some crises that - quite correctly - are high in the media's attention have been easy to overshadow the others. I say, as a remark a little bit on the page, that the amazingly different response that China and Burma - Myanmar - have shown to the two gigantic crises that the two countries have now been in, is well the best international evidence on the benefit of an engagement policy and helping to open up a country. China reacted 30 years ago exactly as Burma today does -- there were earthquakes in China in 1976. China was probably even more closed then than what Burma is today. The fact that the whole world is engaged with China, talking to China, relates to China, that China has got a big, wide middle class, has made China respond and react to the earthquake in a way that almost every country in the world is taking off its hat. It is important to draw such lessons as well. I share the positive considerations about the programmes that include: Brazil's on its way. The Bolsa Familia programme is the world's largest social policy programme. It attracts great, international, positive attention and is a programme in which there is just a cash link with families with responsibilities, for example. to bring the children to school. That's something we like to help support, but we also like to contribute, in cooperation with the Brazilian authorities, to creating even more attention to the idea. As for emergency aid and what the World Food Programme should engage in, I would like to take the views of the interpellant. The only contradiction I have is that we have to look closely at what the individual parts of the United Nations system are going to do, because there is a tendency that all UN organizations want to do everything. It's going to be a worse system than when there's a clear worksharing that shows who has to do what. With that reservation, I would like a positive response to the idea of what the World Food Programme should do. But we should continue to be a clear driver of reform. Let me also mention one last concrete thing. Norway contributed two years ago to the so-called Exogenous Shocks Facility, the ESF, in the International Monetary Fund. It was intended to help countries that were in an emergency situation as a result of, for example, increased oil price or natural disaster. So far, not one dollar or one dollar has been paid out of that fund. We have considered contacting the IMF and demanding money back, since they have not been used, but instead we have contacted the IMF and demanded that the IMF amend this fund, so that it can be used to assist countries that are experiencing acute payment problems as a result of increased food prices.
ParlaMint-NO_2008-05-29.ana.ud558e687	Let me first thank the representative Højbräten for bringing up a very topical topic. At the same time, I would like to thank the representative Vallersnes for bringing up almost the same topic in an interview on 8 May. This means that we now have an opportunity to really discuss this issue in a thorough manner, and an important issue cannot be debated too often. This is about lack of food. These are rising food prices that have led to insurrections and demonstrations in several parts of the world, and which many now believe threaten the Millennium Goals, among others. halving poverty by 2015. Today, the Millennium Goals are the basis of all our development work, and I also refer to the previous debate. Let me do a simple rewrite of what the Council of State said in a previous statement: It's always been poverty -- our generation is the first one who has the means to do something with it, but it's the will it stands on. So I would like to say that the increase in food prices is a complex problem, and I think that was very clear in the interpellation with Vallersnes. When the production of biofuels contributes only to 10 pst. of the increase in prices, and only seizures of 1 pst. of the arable land of the world, this can hardly be the main cause of this food crisis. Let me also refer to the Council's response, about growth in consumption, change in consumption, climate -- not least -- and, of course, too low food production and too low productivity. The debate is important, and let us hope it can contribute to more systematic development in order to ensure increased food production and productivity and to improve self-sufficiency in poor countries, among others. in Africa. It will necessitate reforms for poverty-oriented agricultural development, food security, strengthening women’s rights and the right of use and ownership of land and water by poor people. There shall be a FAO meeting on 3 June in which the Council of State shall be present. I think it's important to work to find a common plan for how to deal with crises, especially in vulnerable countries. It will be to look at food supply, conflict, peace and reconciliation, among others. Then, as the Council of State said, we need to increase productivity primarily in Africa and set ourselves the goal of getting to a green revolution. It is true, as was also stressed in the previous debate, that African farmers have been out-competitive on the domestic market because cheap and subsidised food from Europe and the United States has been dumped. As if it were not enough - misunderstood food aid has led to local farmers not having sold their products. I mentioned in my post on 8 May Niger, where international media proclaimed a food crisis that was probably not there either, but this led to a number of relief organizations pouring food into the country. As a result, the local farmers did not receive a provision for their food on the markets and simply shut down production. Food aid must only be used exceptionally and in acute emergency situations. I fully agree with the Council of State: he used the word “cash”, and cash, money, is much better to provide assistance in such situations so that the needy themselves can buy the food that is needed. We also need a global food security policy to stimulate local food production and strengthen food security in vulnerable regions. So even though food prices are rising, perhaps some rural areas benefit, because there are a lot of people living from agriculture, the problem, according to the UN has been, is that the majority of the population of developing countries will live in cities in 20 years. A development policy must also take account of urban poverty. The slum population in cities is very vulnerable to increased food prices, and there are already countries that actually subsidise food in urban areas. I think the High Bank mentioned the use of robust food stores to deal with crisis situations. It's something else that we too until recently had as part of our civil protection. Ultimately, this is about policy, about lasting structural changes that ensure development, and that we achieve the UN's Millennium Goals.
ParlaMint-NO_2008-05-29.ana.ud558e713	I will also give tribute to the interpellant to address a very important topic, and I think it has been said very well in the debate so far. I'm not going to necessarily repeat it, but I'm going to focus on a little bit of other aspects. As for emergency aid and the danger of famine, I'm sure Norway will stand up, and I hope the world community will stand up. But as I said here, it's also important in how the help is given. One thing is that we don't dump food from the West, but if we buy food locally, it's important that we don't undermine local markets and local distribution. Therefore - as the representative Nybakk was in and as others have been in it - this can be important in giving cash to use the existing markets and distribution systems. Because it is not that there is always a shortage of food, but the price has become too high. And here it seems that many -- also, we get hope, beyond the borders of Norway -- have learned from past mistakes. Then I think it was very gratifying that the Council of States spent a lot of time talking about the need for reform in African agriculture. Because we see, as the Council of State was concerned, that there is a decrease in production. Here, from our point of view, we want to focus on the high customs barriers. Usually we've talked about high customs barriers on food, but here there are high customs barriers not just on food, but for example. on fertilisers and agricultural machinery - all you need to have a modern, functioning agriculture. There is no reason, at least from our point of view, that these countries that are struggling to feed their own people should have these rates of duty. The use of fertilisers in Africa is on average one tenth of what it is in OECD countries. It has something to say about how much food you can produce. And even though the agricultural land is large, it's a manual agricultural production, without much use of machines, nor the use of fertilisers. This is simply linked to a protectionist policy that needs to be stopped. Then you can discuss whether countries need to protect their own food production. I believe that this is not very sensible either, but protecting against the import of fertilisers works at least very negatively. I also believe that a stimulus and competition in food production would have been good. Competition generally contributes to better performance, and what we have seen is that the countries that protect their markets most often stagnate most. There are few incentives to produce, and the quality of the goods is often also worse than it could have been. Not least, there is a higher proportion of the population of African countries living in cities. They are hit very hard by high customs walls. 70 pst. of the world’s trade barriers are between poor countries. The customs barriers we have against the poor world are a huge problem, but the customs barriers between poor countries are at least as big a problem. So these things have to be taken into account in order to achieve exactly what the Council of State correctly pointed out: we have to do something that gives a completely different level of production in African agriculture. This won't necessarily just fix things. It's about competence, and it can be about investment. But unfortunately, we see that some governments that have tried to initiate measures - I could mention Nigeria as an example - have failed to get the money to reach the poorest farmers. On paper, the programmes have looked good, international NGOs and international aid countries have been able to support them, but the beneficiaries have simply not seen much about the money. So once again, the way you do this is very important because if it produces results. But with the kind of high thinking going on here, which will take place at the FAO meeting, etc., we might get a new boost, not least for African agriculture, which will mean a lot.
ParlaMint-NO_2008-05-29.ana.ud558e732	It's been three weeks since the last time we discussed the topic in the last interpellation, and some people have wondered that it came up again. But let me say it this way, as others have also been about: this is such an important topic for so many around the globe that we should really discuss it at regular intervals. I think today's debate already shows that we're further developing part of what we had up last time, so it's valuable. For my part, I want to refer to the posts I had on May 8th, and do not repeat the analysis that I was based on then. However, as stated at the time, it is obvious, as many people are concerned, that short-term measures are needed here for the hungry. That it can be more about money than about food to take into account local markets and local production, I think it's absolutely essential, and -- which maybe especially Høglund deepened instead -- that one is very aware of how the effect is of how one helps. But there is also talk of the long-term measures that are more structural, more political and focused on the causes. I asked some questions to the Council of State on 8 May, which was answered to some extent, but I would like to repeat some of it, because I think it might have deepened something. These included: a statement of what the Norwegian positions will be; ‘for both acute and structural measures at international level, when it comes to meeting the international community in a short period of time? Secondly, what Norwegian measures will a set of measures help to achieve those objectives?’ Looks like I'm getting unlimited speaking time here, President?
ParlaMint-NO_2008-05-29.ana.ud558e746	Yes.
ParlaMint-NO_2008-05-29.ana.ud558e749	Yeah, that's so sweet. And on the other hand, ‘The question is whether the Council of State agrees with the Right that agricultural development needs to be given a stronger priority in the aid budget.’ Yesterday, May 28th, a FAO report came out in front of the World Food Security Summit next week in Rome, to which the Council of State referred -- and we are very pleased that he is going to be present. In yesterday's report, the FAO calls for a double approach. Firstly, of course: to ensure that vulnerable groups do not starve in the short term. They define some of what ‘exposed groups’ are. Secondly, providing for a long-term rise in efforts to strengthen agriculture in order to counteract high and fluctuating prices. So one might ask, what is raising agriculture in the longer term? Several have been involved, including the Council of State. Clearly, there are many things to do. One of these is areas. We've been up to date, in the previous debate, that land that can be put into use has plenty of access in the world if it's set up a proper incentive policy. These include irrigation, technology, adapted and disease-resistant seed varieties, fertiliser access, access to local, regional and international markets. We have to face up to the fact that before one can enter the international market, one must have built up an experience and a quality of competence locally, so regionally, and then one can get out further. Obviously, there may be a difficult definition of how much and what types of protectionist measures one should accept in developing developing countries where they evolve from local to global markets, but here I think one must be willing to see something flexible about it, as long as it goes in the right direction. It is also about infrastructure to get the goods to and from, which the Council of State had to attend. I am left with the question of what the Government will contribute to Rome next week. The Council of State has indicated that he will contribute well with good analysis, but I may ask for something more about the measures that a Norwegian-based person might consider both proposing and joining in. And above all, the question is whether the Government will follow this up as a priority area in future development/aid budgets. So finally just a little comment on this very important point on which the Højbråten was concerned, on the mandate of the World Food Programme, and which the Council of State also commented on. I agree that it must be important, first of all, to develop mandates, but also to see it in the context of what the other organisations have of tasks. We have too many examples, as the Council of State said, that there is overlap, and that one goes a little on the other's bed - and that is at least ineffective. So here, there's a need for coordination. At least one must be able to expect that the part of the UN reform which is now concerned with the ‘One UN at country level’ must be able to deal with this in individual cases at country level.
ParlaMint-NO_2008-05-29.ana.ud558e767	I think that both the interpellant and the state council had very important and interesting posts that highlight an important question. Also the fact that this is the second time in a short time we have this debate shows that there is an engagement in this hall. And there really needs to be a commitment to the poor of the world, because it's the poorest that are primarily hit by the food crisis. The fact that there is commitment also shows that the FAO meeting has a greater significance than it was going to have. The fact that the UN Secretary-General has set up a working group to look at food crises underlines the need for commitment. The situation of at least 850 million chronically undernourished food prices is serious. So now we hear that the new 100 million are at risk of life being degraded because of food shortages. As others have been asked, we see the result. There's social unrest, there's riots and the loss of opportunities because this food shortage and hunger primarily -- or especially -- hit kids hard. The interpellant was aware that we can imagine a development in which more children are taken out of school because the parents can't afford to send them there, or because the children have to do other things, and Marit Nybakk was concerned that it threatens the possibility of reaching the thousand-year targets. So, as many have said, and as we stressed in the previous discussion, there are many reasons for the food crisis. That is why more solutions need to be found. One important reason, which is also shown by the fact that there are now smaller food stores, is that there has been speculation in the food price. Another reason is the monopoly of food trade to a few multinational groups. There has been too little attention in the debate, I think. Furthermore, subsidisation of the use of agricultural land for the production of biofuels and a link between climate change and food crises. So I'd like to say a little bit about agriculture. When the committee was visiting the World Bank, we met Norway's representative there, who was also a member of the World Bank's board. He was very clear that agriculture had long been a priority in the work of the World Bank. It was not least because of pressure from the West that it had happened. So we have to admit that agricultural development has not been taken seriously enough in Norway’s development policy either. But there's been a trend, and the fact that you're looking at this again shows that it's possible to reverse that trend. Agriculture is very important for food security in many poor countries, and, as others have also said, the African farmer is usually a woman. In this way, we could lift much of what we said in the previous debate, into this debate. Food has become part of international trade on the same lines as other goods, and we see the result. Since the 1980s, the 50 poorest countries and developing countries, as a group, have gone from being net food exporters to net food importers. Thus, developing countries have increasingly been able to protect their own food production. I told you in the previous debate about Ghana, which has gone from having a large production of chicken and tomato to having to import the same products. It was not least because of two things: the requirement of the Bretton Woods institutions to stop subsidising, among other things. Fertilisers and dumping of subsidised food from the EU and the United States. I would like to point out that perhaps we should re-examine the old 1974 demand that the right to production for our own people also means political space for action. And then I want to highlight the right to water as a human right and the connection between peace, conflict, war and food production.
ParlaMint-NO_2008-05-29.ana.ud558e785	First of all, I would like to thank the interpellant, who puts this important matter on the agenda. About 1 billion people live in extreme poverty in the world today, and three-quarters of them live and work in rural areas in developing countries. More than half of the extremely poor depend on agriculture and farm work for their livelihood. In the poorest countries, nearly 70 pst. primary industries — mainly agriculture. The production, further processing, transport and sale of agricultural products often constitute the main basis both for paid work and for the informal sector. Unfortunately, agricultural investment has been declining in many developing countries over the last decades, and many of the assistance provided by developed countries. This has had negative consequences in a number of areas. Negligation of agriculture has implications for both employment and food security. While overall food production has increased in the world over the last 20 years, production per year has increased. built-in in Africa - which the Council of State had in mind in its reply to today’s interpellant. The council also said that this will be some of his messages when he travels to Rome next week. He said that there is a need for a drastic change in agriculture in Africa, because without a strong commitment to agriculture in poor countries, it is difficult to see any long-term solutions to the food crisis. The International Agricultural Fund for Agricultural Development has concluded that poverty reduction cannot succeed without focusing on rural interventions. To reverse the negative trend, the Bondevik II government presented an action plan for agricultural development in developing countries. This action plan put support for the agricultural sector into a coherent context, focusing on policy reforms, industrial development, product quality, local markets, exports, rights and the environment - or as the Council of State says: we need to see everything that happens around agriculture, in the context, whether it is ports or roads. Yes - and therefore, on several occasions, a unanimous foreign committee has called for a more active follow-up to this action plan. Because you do agree on the overall picture, but unfortunately not quite on the instruments. My challenge to the Council of State in this debate is: What can the Council of State say about the follow-up to the present action plan? Has assistance to the agricultural sector increased or has it weakened in recent years? But perhaps even more important: what will follow-up be further? Can we now get a promise that agricultural aid will be increased in the context of the food crisis we are seeing on the stairs? Today, the SFT has presented its recommendation on the placing on the market requirements for biofuels. Both the inter-pellant and the state councils point out that rich countries’ greenhouse gas emissions contribute to drought and food production failures. In a press release today, the Council of State says that he wants to participate in the recommendations of the hearing bodies, including the SFT recommendation, and he says in today's debate that he will also have dialogue with our partners. On the part of the Christian People's Party, I would already like to stress that it is important that we have a reliable certification system that can demonstrate that the biofuels sold in Norway have a minimum of 50 p.p. climate benefit, that it does not result in loss of biodiversity, and that it does not result in loss of rainforest, wetlands or protected areas. The SFT today points to cooperation with the EU. Yes, there is no doubt that the EU may be ahead of us here, but there is no doubt that there are strong industrial interests that will influence these things in the EU. I have to confess that I am not quite sure that taking into account the environment and food prices will be crucial when the EU sets its framework for these different directives. For the Christian People's Party, this is absolutely vital, because we cannot be involved in a policy that does not take environmental considerations into account - that is also the case with the biofuels policy.
ParlaMint-NO_2008-05-29.ana.ud558e806	I would also like to thank the High Commissioner for the initiative and follow up on what Mr Vallersnes has said. It's affordable, and I'm very happy that the opposition is active in this field, because it allows us to get a cross-political focus and a greater degree of consensus. In fact, as the representative Højbräten says, much more is threatened by poverty and hunger. The causes are complex. It's a very demanding situation. There are no simple solutions. Something can be done politically, something can be done economically, but there are also long structures that are crucial to what is happening. We agree on the cause of climate change. We agree on the eating habits. Eating habits are found in other countries, such as Norway, from potatoes to the inner file, only that in Norway it is more extreme. Some of us are used to eating what's on the plate when we're supplying the sea -- we might even be modern in Norway. It's also an opportunity to go along with the sea. We're in the middle of it going from porridge to farmed salmon, it goes from sheep meat to chicken. We know the context of the increased energy prices. Increased prices of stock oil also provide opportunities for increased prices of bio-oil, with its natural market implications. We also have a political ideology over quite many years that I will claim from my point of view is contributing to the situation in which we are living, an ideology based on the fact that the freest movement - the functionality of the market - is also going to take place in the field of food. There's a growing awareness that this might not be the case. I heard with interest from the representative, Höglund, who said that food prices are now at a level that is too high for many. I'm glad to hear that. It shows that there are limitations to the market mechanism in the food sector also in the camp of the Progress Party. It's good to hear that things happen. Norway’s role in food security: The Soria Moria Declaration states that all countries have the right to a policy that can ensure national food production for national consumption, or in another way: one must follow the internationally accepted guideline that each country is trying to follow, namely to ensure sufficient food production for its own inhabitants. Norway has a responsibility here. We have to make ourselves at least dependent on others. And just for information, I can mention that our imports of flour from the outside world have hardly been higher than it is this year. It's over 2 million bucks, if we were to use Norwegian soil for it. And the whole increase in Norwegian meat production occurs on imported flour. It's also a cross of thought. Food safety related to emergency stores has been mentioned here. In Norway, we had stockpiles, in their infancy, from 1810 to 1996. In 1996, ‘casher’ became out of the country, taking its income. Now we have a business warehouse of 15 days, which is very little to be rusted with when we are at the lowest production level. Then to the ethical positions in the matter. It should be that in Norway it is not ethically acceptable to have food on the tank. We all have opportunities to generate a technology so that we can support the production according to those we want to integrate biodiesel, and that we can provide the production based on second-generation biofuels. I am very pleased with the Government's position here, that at least food should not be produced on the idea in Norway. So for agricultural aid and the revitalisation of increased agricultural aid from Norway. On several occasions, the size has underlined the importance of an action plan on agricultural aid, and it is more urgent than ever. I get sick when strong support players on the red-green side in ever stronger layers of order are calling for action in this area. The content of the action plan is not least important. The experience from 1974 is that this is something far more than fertilizer. It's a question of seeing the social community as a whole, using local resources, seeing that soil is the use of soil, the gain of solar energy, having the great understanding of where fertilizers then become an important supplement. But it's not fertilizer that in itself is the solution.
ParlaMint-NO_2008-05-29.ana.ud558e825	I would also like to take the opportunity to thank the interpellant for addressing this important and very topical question. It makes a strong impression when the UN warns that food prices can lead to hunger, war and refugee flows in the world. I am particularly concerned about the areas in the world where children live with chronic malnutrition. I believe that we are facing a major and complex problem here. It's complex because many relationships can help drive food prices up, and because we're dealing with both acute and longer-term conditions. Several others have also been mentioned in this debate. The interpellant points out in its question to the rich countries’ greenhouse gas emissions. They contribute to global warming, causing drought and food failure. In Australia - as the Council of State also mentioned - the problem of food production failure has occurred with great strength after many years of drought. Also in Africa and Asia there are many problems with drought or floods. Many suggest that climate change and extreme weather will become more frequent in the future and that this will make it more difficult to feed a growing population. The world's population was 2.5 billion in 1950, while the figure is expected to surface at about 10 billion in 2050. This means that in the future there will be many more mouths to saturation. It should be noted that the trend towards a higher standard of living in developing countries leads to a higher consumption of food, as others have also mentioned. At the same time, there is a distortion from the consumption of vegetable food for the consumption of meat. For example, a Chinese man ate 20 kg of meat in 1985, while he ate 50 kg in 2007. The consumption of meat is expected to increase rapidly - in China as in many other countries. As we know, a lot more land is required to produce meat than to produce the same amount of vegetable food. But we don't have to look all the way to China. In Norway, the production of feed for farmed fish requires four times as many proteins as we get from the fish we eat. I also want to mention that food is used to make biofuels. This is problematic if it is done on a large scale, as we know that one full biofuel tank corresponds to one person's consumption of grain for one year. Already today we see that in some countries there is an area conflict in the cultivation of food and cultivation, for example. sugar, maize and soya for fuel. In addition, there is widespread speculation about the placing on the market of raw materials. Batches of raw materials are held back to raise prices and increase profits. All of this is a relationship that helps drive up the prices of food, which will make it harder to feed a rapidly growing population. The list can be done much longer. It is therefore difficult to see a single solution to such a big and complex problem. We've already seen riots in many poor countries because of high food prices. However, the problem is also of a longer-term nature. Even if we were to be able to solve the current problems we see today, these problems are most likely to arise again. When a number of conditions contribute to making food more difficult to produce, and the world's population is increasing as fast as it does, we're likely to see more of hunger disasters in the future. Therefore, the right to clean water is also crucial in this situation. I understand well the reasons for the interpellant's questions about possible exceptional measures. But at the same time, I would like to stress that the problem we are facing is huge and complex. It requires that we contribute to finding broad international solutions, such as: at the meeting in Rome next week. One should distinguish between the acute problems we face today and the longer-term ones that are expected to arise. The former requires a handshake for starving people, whereas the latter requires a more structural approach. I am pleased that the Council of State in its response to the interpellant today has mentioned many different and good measures and forms of acute and long-term help. Finally, Norway, as a small, rich and well-born nation, has a clear responsibility here.
