ParlaMint-NO_2008-06-20.ana.ud1237e36	The representative Per-Kristian Foss will present a draft constitution.
ParlaMint-NO_2008-06-20.ana.ud1237e763	The representative Hans Olav Syversen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e768	In his statement, the representative Mr Syversen spoke consistently about this budget, this budget on which it has not been delivered. This is a budget, and it is also a revised budget. As I know the representative of the Seven and Christian People's Party, it is a serious party in economic policy. I know that the representative Syversen knows that it is not possible to put all that will into a revised budget, because then we are going to revise it. But when the representative is so concerned about poverty, my question is: Is high employment, i.e. work for everyone, the social security settlement that we have now had, and the qualification programme where the government spends 230 million. Is it for those who do not have work to get into work, measures to reduce poverty?
ParlaMint-NO_2008-06-20.ana.ud1237e775	I fully agree with the representative Sund that the Christian People's Party is a serious party on economic issues. That's what I'm going to end up with. I also agree that many of the general measures to which Mr Sund referred are also important in the fight against poverty. But I don't think one comes from the fact that, in addition to the general, to which she referred, one must also strengthen the targeted measures. I mentioned rushes, and I mentioned family protection. I mentioned poverty reduction, including: by increasing the allocation of the housing support schemes. I believe, frankly, that the representative Sund also agrees that one does not exclude the other, and that it may well be far into the ranks of her own party that it is disappointing that it does not do more in the fight against poverty, including in this revision.
ParlaMint-NO_2008-06-20.ana.ud1237e782	Too many children leave school without being able to read and write properly. Too many children don't have a good enough sense of numbers. Being able to read and write and understand numbers, depth and space is important and necessary to master life and succeed in school. We can't accept that that's the way it is, and this government is doing a lot of this. From the fall of the year, we are expanding, for example: the five-hour period from the first to the fourth step. These are hours of reading, writing and understanding numbers. This is early work in practice. From next year there will also be more teachers in these steps. It is important to address the problems before they grow too large and too difficult. This is prevention in practice: give young people a solid and good start to build on this in their lives. In its alternative budget proposal, the Christian People's Party cuts this hour-long extension, a cut of 400 million. kr. This is surprising. My question to the Christian People's Party is: Why isn't the Christian People's Party on the government's priority in school?
ParlaMint-NO_2008-06-20.ana.ud1237e789	With regard to the description of how important the school is, not least in a social cohesion situation, I don't think there's any disagreement between the representative Jensen and me, or SV and the Christian People's Party, for that matter. But with regard to the arrangements for the use of the money in the budget, there is a significant difference. The SV and the Government are waiting for more hours. The Christian People's Party says no, now we should use the extra resources we have, to strengthen the teaching of the hours we have. When, for example, the representative Jensen refers to mathematics, writing and reading, this is exactly one of the points: we put the resources in the teachers, more teachers in the hours we have. But it can also mean that you can take out groups of classes, give extra education where you need it, just to those students who have the biggest challenge of mastering both reading, writing and mathematics. We think that's better use of the money than the government adds up to.
ParlaMint-NO_2008-06-20.ana.ud1237e794	The Political Spokesman of the Christian People's Party spoke well in his speech for international solidarity, for the weak groups, for the voluntary organisations and for a greater need for and emphasis on green taxes. The Christian People's Party is putting on a little bit more than the government at all of these points, and that's the opposition's privilege. But I say I'm glad that the Christian People's Party has that focus, and I want the Christian People's Party to continue to have that focus on the things that are mentioned here. When it was a special greeting to the housing support, I think the voters of the Christian People's Party are pleased that it is the municipal minister Magnhild Meltveit Kleppa who is responsible for it, and that it then has great opportunities to be improved. My comment is just that I hope the Christian People's Party will take the consequences of emphasising themes, and that in the big political choices ahead they will also take the consequences of it. It strengthens the credibility of the Christian People's Party.
ParlaMint-NO_2008-06-20.ana.ud1237e801	I thank you for the comment on my post. I think that, insofar as the representative Lundteg had a good summary of what is the essence of our alternative to the government's revised budget, namely the involvement of the groups he mentioned. I can assure the representative, Lundtigen, that we will also bet on them in the budget that comes to the harvest. When the representative says that we surely find it reassuring that it is Meltveit Kleppa who is presenting changes to the housing support system, I think I almost have to quote Heikki Holmås, who was very sharp on the centre party when the ordinary budget came, and said that here it was not done much from the centre party when it was the housing support: we get to see, said the representative Holmås. I'll say the same thing: we'll see. We hope and believe that the proposals for changes that we know are needed will come. So far, we think that's going to happen.
ParlaMint-NO_2008-06-20.ana.ud1237e806	I am pleased that the Christian People's Party, with several other parties, is with the government parties in terms of increasing focus on the environment in this budget, and among other things. supports the proposal on petrol and diesel prices. I believe that both the representative Syversen and many of us must admit that the polluter pays principle is good and good, but that it can conflict with the issues of distribution policy and poverty of which the representative Syversen has been concerned. In the setting, the Christian People's Party, and the representative Syversen also said in his post, that they want a reinforced green tax policy, and one of the proposals is an increased electricity tax. Christian People's Party has experience in ruling with high power prices, and it may not just be a pleasant experience. Does the Christian People's Party see that this has a policy of distribution that cannot be corrected politically - especially when it is business that receives these tax reliefs - because those who are hit most by high electricity prices are those who are often not in a tax position?
ParlaMint-NO_2008-06-20.ana.ud1237e815	Yes, I see that can be a challenge. At the same time, our response to the Government is that when you increase, for example. taxes that also affect those who do not have that much, it is a challenge that we take seriously. Therefore, we are somewhat surprised that the Government does not strengthen the targeted measures to address poverty. When, for example: in the case of electricity, those affected by this, who do not have additional funds to pay such a bill, may obtain support. It is precisely where the housing aid scheme could have been used to get the aid directly to those who need it the most. I can assure the representative, Aasen Agdestein, that exactly the distributional nature of the tax and tax arrangements, we are concerned about, and we compensate for that by ensuring that those who need it receive targeted measures through other budget lines.
ParlaMint-NO_2008-06-20.ana.ud1237e823	I am pleased that the representative of Syversen addresses this with the fight against poverty in a country like Norway. With the stamp we have received in the world, we should avoid such a situation that is described. My question is: does Syversen agree that the most effective use of poverty reduction funds will be to strengthen the municipal budgets? My claim is that the municipalities, through their knowledge of the inhabitants, through their organizations, with their apparatus, are the ones who have the best knowledge of where the shoe prints. This refers to housing aid schemes, investment grants, fuel subsidies - a number of measures in the municipal sector. These types of schemes could have been targeted at the nearest millimetre - strengthening the local economy, which the local government minister has signaled will be a good tool.
ParlaMint-NO_2008-06-20.ana.ud1237e830	At least there is a need to strengthen the local economy. With the cost growth that many municipalities now experience, it is absolutely necessary. I agree that a good municipal economy is important in order to reach those who need it the most, including in Kommune-Norway. At the same time, I and the Christian People's Party are concerned that you also see to it that there is a life outside the state and the municipality. We have a wide range of voluntary organisations, which are making an incredibly important and incredibly focused effort for those who work the most in this society. I would essentially encourage the Government to spend a little more time and also to make sure that non-governmental organizations get viable conditions, and not strangle them, which unfortunately has been the case within the care of the last few years, and unfortunately then under the control of this government.
ParlaMint-NO_2008-06-20.ana.ud1237e837	So the chord change is over.
ParlaMint-NO_2008-06-20.ana.ud1237e840	The revised national budget of the year, which we are discussing today, is very sober. There is a strong focus on the revision of the State budget based, inter alia, on: decisions with financial implications taken since the adoption of the budget for this year during the harvest. It is a pressing step forward for the addition of changed prices and costs, of which we now have a better overview, and there are only some important adjustments, where the appropriations for the pension expenditure of health enterprises are the most important. It is not right to say that the revised national budget of the year is expansive - this is in relation to the cost developments that are part of today's high economic cycle, as well as the expectations that most people have that public appropriations should ensure a better level of equity between the private and public sectors. The government adds the template for the opposition parties. There are many who want more money for good purposes, but it is the government that has to reconcile the whole based on some priorities. We're in a strong economic climate, which offers great opportunities, and which has a lot of good sides. The most positive side that I would like to highlight is the possibility for weak groups to enter the labour market, and that it is very central and important in all of the Government's work to consolidate the situation of the weak groups in the labour market. It's extremely important. Obviously, economic activity also causes weaknesses. One of the most central is that it provides opportunities for an even greater degree of use-and-cast mentality from those with higher revenues than is needed to pay the obligations every month. There is a need to correct economic activity both in recessions and in economic upturns. In the early stages of economic activity, there is a need to correct economic activity for the benefit of the community and to build Norway. There has been too little room for it when cyclical and framework conditions give rise to strong activity growth in the private sector. It is difficult to break up lower private consumption growth in people with solid income, with the consequences it has for totality. It is a paradox in this debate that the opposition criticises the red-green government for a lack of public investment that not enough money is allocated to the state budget. It is in all modesty to turn the policy's main contradiction, the policy of distribution, the relationship between community and increased private wealth, upside down. People are told that it is the red-greens who have the greatest interest and responsibility to safeguard the interests of the community. That is proof of our long political tradition. The Right Party has been bluffed here today in terms of their revised national budget, as they outsmarted the fact that it is less expansive and finances the bulk of the budget with money already paid to private operators. Private saving will be a central theme in the future. There has been a negative saving for households in 2007. It's been many years since it was like this. We are now inside a more normal interest rate level, adapted to the economic cycle of the day. This will lead to an increase in savings. When there is such a safe employment, such a strong wage growth and such secure Community funding, it is quite obvious that it is extra demanding to understand the need to increase private savings. However, it is important to stimulate young people to increase their savings in order to ensure a more sober behavior, so that they can deal with tougher times when they come -- and that's what we know, President! We are facing a strongly imported price increase as a result of increased energy prices, including food prices and commodity prices. This leads to additional challenges for the Government to ensure that price increases are kept in check without an interest rate policy that creates even greater difficulties than many feel today. Finally, I would like to say that safeguarding the Community's interests during a boom is demanding. It is more difficult to slow down private consumption growth in order to make room for investment in the Community than to strengthen Community investment in a low economy in order to stimulate increased employment. Here lies the great challenge of the Government. The red-green voters--and far more than they-- are impatient. They want you to go even deeper into this challenge, and I'm pretty sure of that.
ParlaMint-NO_2008-06-20.ana.ud1237e866	It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e869	We have witnessed that the government has imposed compulsory protection and violated private property rights in Trillemarka-Rollagsfjell. Now at least a joint development fund is set up for the three municipalities concerned, Rollag, Sigdal and Nore Uvdal in Buskerud. That's the cross-political agreement. The government proposed no more than 30 million. Over five years. However, the representative Lundtigen shares the views of the Progress Party, the Right, the Christian People's Party and the Left that the fund should have a total of 100 million. kr. Will the representative Lundtigen guarantee that he and the Central Party will grant more on the 2009 state budget, or is it just talk and double communication with the voters?
ParlaMint-NO_2008-06-20.ana.ud1237e876	In the years I have been sitting here, I have witnessed strong statements from the Progress Party in Buskerud regarding Trillemarka. I have not seen much of the Advance Party at the meetings and events that have been on the matter. The centre party has now gone into that matter with the aim of getting away from conflict and into dialogue. An alternative was developed that was epocalypticly positive in order to engage in dialogue. It was not selected. As part of the government's solution, it was said to have a local administration in the area. When going from government to local government, it is not unnatural for the state to finance local government on a permanent basis, not just over a five-year period. That is what I have said in my remarks. I'm standing by. But that's not the central party's position, that's what more people have been up to.
ParlaMint-NO_2008-06-20.ana.ud1237e881	Protection of Trillemarka has caused resentment between the landowners and the municipalities on the one hand and the central authorities on the other. The representative Lundtigen has been one of those who have consistently defended local democracy and stood for the interests of Rollag, Sigdal and Nore Uvdal. The government chose to outrun local democracy and went for a coercive solution that was far from that municipality and landowners had agreed, after a very good and active work locally. Then we have come into the situation that the representative Lundtigen must now admit that his remarks in connection with the revision are his own and not the Central Party. I found it a little eye-catching when the committee leader, Sandal, said, Lundtigen is talking on behalf of himself. I'm talking on behalf of the Center Party. Is it now the Workers' Party that governs the Central Party's policy in this matter?
ParlaMint-NO_2008-06-20.ana.ud1237e890	To get away from the cheap Young Right rhetoric, we can take a little historical review of the case. The term ‘Brende traps’ became known. There was a trap that was set up in Sigdal to catch types that went under the umbrella "Børge Burnde". It was a pretty fast way to go to create an understanding of a nature reserve in this area when the Right Party had contributed to the conflict that was there. When we know what's happened here, it's pretty bold to attack my person the way you do. I take note that the Government fell upon a different solution, both geographically and financially, than that of the community. I'm sorry about that from Stortingen's pulpit. You had the opportunity to get away from conflict and get dialogue, a conflict that the Right was the foremost exponent for when it was at worst.
ParlaMint-NO_2008-06-20.ana.ud1237e897	In its statement, the representative of Lundteg stressed the priority of Community solutions. I remember having a great sense of community solutions in the traditional meaning of the word. Community is important, but at the centre of Norwegian politics - and there has always been the Centre Party and the Left - it has always been clear that community is more than state and municipality, that community is more than government budget appropriations. It's from the fact that people in the community are finding themselves together to solve common tasks unselfishly, to the big organizations that are important drivers of community solutions -- unselfish and without profit. At the beginning of this debate, the National Association of Heart and Pulmonary Diseases protested against how their institutions for rehabilitation are being strangled by this government, because the ‘Community’ clearly does not include that community. Is the representative of Lundtigen satisfied that the Community concept of the red-green government does not capture all this unselfish community between people who do not live exclusively by the state budget?
ParlaMint-NO_2008-06-20.ana.ud1237e904	The representative Lars Sponheim knows that he is now talking to a better person. He knows that in this government there is a commitment to the community between the third sector, which is voluntary Norway, and public funding is very central. I think the representative should be careful about teaching the Center Party because you don't focus enough on it. We can only walk around Organisation-Norway and see how many of the Center Party's trust elected and co-players are key members of the Community-Norway. The center part wants to bet on this line. We want to do more along this line. We see the many positive things that are here, not least in criminal matters, crime, crime, and so on. It is completely impossible for the public to do a job here without ensuring a culture in which the people who need help have people in the local environment who can with a helping hand accompany and assist in everyday life.
ParlaMint-NO_2008-06-20.ana.ud1237e910	I wonder at the fact that the representative Lundtägen asks questions about the commitment of the Progress Party to this, and actually begins to ask for our participation in the Trillemarka case. I have personally been to Trillemarka several times. It may be that the representative Lundtigen has a little poor memory, but one of the times I was actually with Lundtegen in the woods in Trillemarka and met representatives from these municipalities. My question is then: Is the representative Lundtigen disappointed and dissatisfied with his own party, the Center Party, in this Trillemarka case?
ParlaMint-NO_2008-06-20.ana.ud1237e917	For us in the village there's something called that there won't be any summers of one swallow. I have to say that it is quite indicative of the participation of the Progress Party in this work: you have been so far inside and sung your short throat, and then you travel again. But there are others who have taken the job. I'm proud that someone else did the job. I hope that the Advance Party can take off the paint shoes and put on the rubber boots and do a larger part of the job. But now it's just a bold suggestion. Whether I'm disappointed or not - there's a lot of people in the Buskerud Center who are disappointed that the opportunity that this was right to get over from conflict to dialogue was not used. That's all I have to say to that. If you had done that, it would have had a far greater impact on the protection of biodiversity than many in this room are aware of, because there are a lot of people in the countryside who stand for a culture where you have these questions in focus.
ParlaMint-NO_2008-06-20.ana.ud1237e924	I think the representative Lundtigen misunderstood my post, because what I actually did was boasting of the representative's commitment to Trillemarka. Instead, I was met with a tiger about Young Right rhetoric, “Brende traps”, etc. I have also been to Trillemarka many times. I have been to public meetings and I have been told – which I also believe was partly justified – for the infringement that was done when there was a temporary protection of Trillemarka. But what happened afterwards was a positive process in which voluntary protection proposals were given greater emphasis. Then it's very surprising that a government that wants to be on the side of local democracy has chosen a solution with coercion, and is doing something over the head of local democracy, and that even the state in Buskerud disagreed with. Does the representative Lundtägen think it's a shame to stand here and say that he speaks on behalf of himself and not on behalf of his own party, and even less on behalf of the Government?
ParlaMint-NO_2008-06-20.ana.ud1237e931	Then I'll be very short. I would like to thank the representative of Greece for the reputation he has now given to the representative of the Central Party from Buskerud. It's rarely diet. Thank you very much!
ParlaMint-NO_2008-06-20.ana.ud1237e936	The cord shift is over.
ParlaMint-NO_2008-06-20.ana.ud1237e939	There are dramatic days in political Norway. The size has gathered to its last big plenary debate before the summer, and probably in this session. The debate is not just about a dramatic situation - I think it is sad and wrong, I had seen it as a matter of course that the country's Prime Minister had met his parliament in the situation we are now in, where all newspapers depict a government that has been severely weakened after the last few days. It would have required that we had had a broad and important political debate in this situation. But there is a debate on the revised national budget. I insist on what I have said in the past - and I have agreed on a number of revised treatments - that this is probably the most politically unsubstantiated revision-treatment I have been in. It bears witness to the entire treatment until now and to the interest surrounding it. All the pressure is gone. As far as I have been able to register, it has not been a single press person present in the main hall during the revision process, and it illustrates well what I am saying. It means that if we had had a broader and stronger debate on other and major political issues with the Prime Minister at this last major debate in Stortinget, it would not have gone much beyond the revision process. But it's not like that, and then we're going to deal with what the Storting wants to debate, while everyone else is dealing with other political issues at this moment. Instead of tying up all aspects of the budget and budget proposals, and disagreements that, despite everything in this context, are relatively small, and less than they might seem, I would like to contribute to raising some issues that I think are relevant in the context of this review and which have been part of the discussion in the Financial Committee. The first of those issues I leave a challenge to the government and finance minister for the last time I finished working on the 2009 government budget. I hope they can come and meet some of these challenges. In our country, where everything is going so well and it seems to be what is credoed throughout the budgetary process, that it goes so great for the country - and that does, of course, the growth is record-breaking, and material consumption is increasing faster than ever - there are increasing delays between 20 and 25 years. The same misdemeanors are almost without exception those who drop out of high school. 20 pst. does not complete secondary school. Every fourth boy in high school ends. It's a human tragedy. But it is also a challenge for the Norwegian economy when many start with social security so early and remain secure out of life. One teacher as long as one is at hearings in the finance committee, and I have to say we had an interesting hearing with LO's chief economist, Stein Reegård, who chose to sweep away from the revised national budget and say that the government is sitting quietly in the boat--and that's wise--and then presented a report that says that 70-90 pst. of those who drop out of school have some background in child protection, usually from institutions. So we could say find the list of names. This is also an important perspective in the fight against poverty. If we don't do anything active now, we can quickly end up in a situation in a few years' time where almost 80 pst. of us have completed education, higher education, and can live the good life, while the remaining 20 pst. consist mainly of those who dropped out of school and went right over to permanent unpaid pay. It is humanely important and also very profitable to use large resources targeted at this group. Adults choose their lifestyle and lifestyle, but no one chooses their childhood. The left has addressed this challenge by providing the first small allocation in this revised budget. But don't let that be a top score. My point is that we want to pay a lot of attention to this challenge. Here, there is the possibility of targeted efforts, which makes sense for the economy, but above all important for many people. I challenge the Government to participate in such a coup d'état, among other things. in the 2009 budget. There are also other things I want to spend some time on. It may have its backbone in the debate that the Prime Minister has drawn up about a kind of being or not being for the Nordic welfare model. Instead of looking back, as we left-wing people with greater pride than any other party can do on this issue, I think it is important to look ahead: what do we want, and what do we have to do with the welfare community to take care of it in the future? Because we're not just one of the world's best countries to live in, we're also the world's most expensive country to live in, the country with the highest cost to run a welfare society. And these costs are rising, not least in the public sector, faster than ever before as a result of, among other things. an expansive economic policy. This is in the long run a major challenge, which seems to be not adequately addressed by the Government. In the context of the Financial Committee's hearing on the credit notification, the Governor, as we know, is a very mild man in shape, with an unimaginable, at my discretion, vehement criticism of the policy that has been pursued in recent years. The main point was that while we had a strong productivity growth in the 1990s, because we introduced new technology, exposed new areas to the market and open competition and organized ourselves better, this has now stopped altogether. The result is that this government is a threat to the public sector, because the public sector is not allowed to evolve to remain strong and effective. So it's not going to be able to solve the problems it's going to, for the benefit of its citizens, at ever higher costs. The option will quickly become the one-sided privatisation of the right side. I'm afraid of a public sector in the process of stagnating because the counter-reaction can quickly become the right-hand response to privatisation. The left is happy in the public sector. We want a strong public sector. We want to use the public sector. But then it needs to be modernised much faster than it is now, by opening up markets and competition. The truth is that other Nordic countries have gone much further than Norway in reducing the volume of regulation in the product and labour markets, reducing the level of state ownership in industry, reducing barriers to entrepreneurship, simplifying public bureaucracy and reducing barriers to international trade and investment. Norway is the country that has contributed at least in this context, and in the red-green government is the strong and, at my discretion, conservative forces that will further slow down and lead a counter-current policy that will easily lead to stagnation where we need new innovation. You shouldn't be strange to the fortune-teller to see that if we don't do the necessary steps today, we have to increase taxes significantly to maintain the same welfare offer as we do today. The problem is just -- which is well illustrated in several newspapers, not least in today's business Wednesday this week -- that then the tax will be so high that less will work or make the extra effort in the labour market as the country needs. Therefore, the welfare society needs to be modernised and become more cost-effective. I have registered with wonder that Minister of Finance Kristin Halvorsen spent a lot of time at SV's national government meeting on Monday to characterize Left and Right as parties like "flies out" and who are not honest with people, because we have asked questions about which issues are being pushed out of the climate agreement. The only thing left has pointed out is that if the point of the climate agreement on increased fuel charges is to be pushed forward, the point of increased bet on public transport should also be followed at the same time. We believe that a combination of carrots and whips is the best instrument in environmental and climate policy. This has been followed up by proposals to increase the incentive scheme for public transport in cities by 100 million. NOK 100 million. kr in compensation for increased fuel prices for public companies and increased investments in rail by 150 million. NOK, of which 1/3 will be used directly in the Oslo area. If there is any finance minister that should be characterised as cowardly, there are representatives from the government parties who have arranged to drop the increased fuel taxes proposed by the government. Left hasn't done that. In addition, there is a glimmer of criticism of the Left in environmental policy, while the Government is literally running with full gas for oil activity outside the Lofoten and the West Pole. I record that the Minister of Finance's party trap No Marte Thorkildsen was in Lofoten for a short time ago to build a popular alliance against oil extraction in this area, given the recognition that it is absolutely necessary to create a pressure against the Workers' Party. I take note of the fact that SV's impact in the Government seems to be minimal in the energy and environmental field, so there is a risk that oil exploration in the Lofoten and the Vestral will be carried out too fully, without the necessary impact assessment. Today, Left proposes: ‘The Government requests the immediate effect of the Government to stop all seismic investigations in the vulnerable sea areas of Northland VII and Troms II until all consequences of petroleum activity in these areas have been identified.’ I guess there's a certain danger that SV, as we heard in a reply, is sweeping out and voting against. Otherwise, I would like to sum up briefly by saying that the Left prioritises education, the environment, health, poverty reduction and a targeted industrial policy in its alternative budget. I'll bring this up to the left's suggestion in the setting.
ParlaMint-NO_2008-06-20.ana.ud1237e995	The representative Lars Sponheim has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e1000	The Left clearly believes that more measures should have been taken to increase access to labour - despite the fact that the Government has implemented a series of measures to get people on the edge of the labour market, to work and to make labour immigration easier. Fortunately, the unemployment rate is now high. It allows people with weak labour market skills to gain a better foothold. The government party, as the representative Sponheim is very aware, has been committed to making a very high effort when it comes to labour market measures. My question to the Left's leader is therefore: how can the Left explain that the party wants to make a bigger cut in the rights of labour market measures? Such an operation will make it even harder to obtain more labour in our country.
ParlaMint-NO_2008-06-20.ana.ud1237e1009	Let me first say: the consideration of the revised budget in the committee has shown - with clarity from professionals from different environments - some important things. One is that capacity utilisation in the Norwegian economy is now too high, and it has to go down. Not least, the governor stressed that. It was also said that the wage growth is now so high that it is not sustainable over time. This says that now more needs to be done on the supply side of the labour market. Then we also know - it has also been made clear during the treatment - that there are 100 000 job vacancies in Norway. It is then important that many of those who may be stuck in different schemes today can become available for the same labour market. Then it's also the way that politics is to take priority. The left is giving priority to the very weakest in this budget, with a focus on drug care, rehabilitation and the hospital sector, among others. to correct the bias, in which the representative Sandal has also been involved.
ParlaMint-NO_2008-06-20.ana.ud1237e1018	The experience with fruit and green in high school is good. A better learning environment than the day is reported, and this action has helped to improve the diet of young people. Of course, free fruit and vegetables are most important for those students who have a problematic home situation, and the scheme has proved to be popular both among students and teachers. The left's programme says that you want to introduce a free meal to primary school. Nevertheless, in the context of the revision, we see that the Left wants to remove the system of fruit and vegetables. Don't Sponheim mean that a system of fruit and vegetables is a natural part of such a free school meal, and wouldn't it be a good start to follow up what's in the Left's program?
ParlaMint-NO_2008-06-20.ana.ud1237e1025	After a civil past as a lecturer at perhaps the country's foremost fruit growing school, I would like to talk a lot about fruit cultivation, fruit and quality, and the importance of fruit, but politics has taught me that you have to do the important things first, and the Left prioritizes the important things in school. It's about quality in school, and it's not just about having the best teachers. The most important job in this society must be to be a teacher. Then we have to use resources, so that we get the best people to be teachers. So we're going to have to say that for the left, the path is for teachers in the priority queue. That doesn't mean we're against the banana, but that means we're very good for teachers. We're so very much for teachers that we're actually willing to wait a bit of free fruit.
ParlaMint-NO_2008-06-20.ana.ud1237e1033	Left, with party leader Lars Sponheim in the head, writes in the setting of St.meld. No 2 at ‘It is primarily the responsibility of the Government to conduct a policy that ensures the lowest possible interest rate and thus the least possible pressure on the exchange rate’. Does the Left believe that the lowest interest rate is more important than work for all, sustainable development and, above all, good welfare schemes? If that is the case, why does the lot itself not be in favour of a significantly tighter budget, which is the assumption if interest rates are to fall to several levels? It's a saying -- freely rendered -- that we're going to live as we preach. The representative Sponheim is a practical man, and someone would say a man of action--at least with the trip across the mountain--so why don't the Left do more yourself, if the world is as you describe it?
ParlaMint-NO_2008-06-20.ana.ud1237e1045	I became a little bit curious about this line. What the replicator here says is that the option at the lowest interest rate should be higher unemployment or other conditions that you don't want. With that he signals that the government is not so much concerned about keeping the lowest interest rate possible. At my discretion, a government in its fiscal policy, in the context of the economic cycle that is, and within the limits of the economy, must always work at the lowest possible interest rate. I've been worried this spring -- and I've expressed it in this room -- about the fact that I hear more and more, including the Minister of Finance from the government side, start talking about that now we have a normalized interest rate. A government must always work at lower interest rates. There's nothing that re-distributes from poor to rich as much as high interest rates. So I also know as an economist that a level of interest will normalize over time to be a little bit on the plus side of a real interest rate, but that's not what's political. The political thing is to hold back, so that all those who have recently purchased a dwelling, in these days will not be afraid to go to the mailbox - therefore the lowest interest rate possible.
ParlaMint-NO_2008-06-20.ana.ud1237e1052	The reason I asked for a reply was the clear call from Sponheim to stop the seismic shooting outside the Lofoten and the Vestral, and it is well from the fact that this has created considerable resistance from the coastal population in the north. I have two questions. But before I come with them, I just want to note that the Central Party was an active driver of oil activity exposure until 2010, when the Barents Sea Management Plan is being re-examined. Am I mistaken if I say that there was a unanimous growth, with the Left, which said that further knowledge and information was needed until 2010, until the re-examination of the management plan should take place? Is there any disagreement between the Left today? Then I must be allowed to remind you that when the Left sat in government, we had an oil and energy minister, rightly from another party, who was very restrictive in his openness when it came to-- [[President clubs]]
ParlaMint-NO_2008-06-20.ana.ud1237e1059	The replica shall be up to 1 minute!
ParlaMint-NO_2008-06-20.ana.ud1237e1062	- when it came to oil.
ParlaMint-NO_2008-06-20.ana.ud1237e1067	Let me say: the management plan has been good for one thing, and that is to put on hold some areas that you could fear could come to early development. The management plan and the thinking around it have one big flaw in the Left's vision, and that's that it operates with green light: expansion now, or yellow light: we get to investigate and wait for new technology. The left will work to ensure that, in addition to that, there will also be red light: some areas will have to be protected permanently for oil and gas activity, just as we have done for a good deal of land in rural areas. If we get through the kind of thinking that I and Left think is necessary, what's in line to get permanent protection -- and then we don't need to know what oil and gas resources might be, it's actually just painful when we're going to have permanent protection in those areas -- are the areas outside the Lofoten and the West Pole, and I'd like to add the areas outside the Dark Coast, how much of the valuable herring our mud. It should be permanently protected, and the oil and gas that may be there should not be taken up, simply. Then there are other areas - also in the north - that should be opened up for oil and gas activity.
ParlaMint-NO_2008-06-20.ana.ud1237e1072	There are several things in Lars Sponheim's posts that I could agree with, but it's at least one thing that's true, and that's that it's a shame -- you can regret it, but that's the way the world is -- that this spring hasn't been marked by, to a large extent at least, discussion about political issues, for example. on the agricultural settlement, on a new, good AFP solution, on a fantastic settlement for the minimum pensioners and other pensioners and also here in the Chamber today on the revised national budget, which is a very important discussion. But we have to take it for what it is. But since we're all alone, I thought that I should challenge Lars Sponheim to think a little loud about how he now--in addition to going on autopilot and characterizing the red-green government--the situation on the bourgeois side evaluates one year and three months before the election. How will the Left Leader characterize the situation? For example, he wants to. could there be any new reflections on their relationship with the Progress Party and the economic policy they have set up? Can Lars Sponheim say something to us, when we're all alone here in the hall today, about how he thinks things should be one year and three months before the election?
ParlaMint-NO_2008-06-20.ana.ud1237e1079	Let me first say that the first thing I saw when I came into the main hall today was if the representative Torgeira Mikalsen, whom I have a great sense of, was wearing a dark blue suit. I think that would have been exciting for the political debate ahead, but perhaps not so much for the election campaign we're facing. I have a great sense of Torgeir Mikalsen's policy approaches. Not least, on the government side, he may have understood most of Left's need for red-green tax conversion, and it's a modern thinking. So to the question. I just want to say that what I have said about this both in this Chamber and on other occasions is solid. It's Left's clear view that the Left can cooperate in government with what we think are bourgeois parties, who think long-term in economic issues and environmental and climate issues, and who think it's all right with diversity and that people are a little different - some should look a little weird, and some should have a little dark skin color. We're happy about this. It's civil policy. Then it says quite clearly who we can sit in government with!
ParlaMint-NO_2008-06-20.ana.ud1237e1086	That's the line change.
