ParlaMint-NO_2008-11-25.ana.ud2412e74	The representative Finn Martin Vallersnes, who has been on leave, has once again taken up his seat.
ParlaMint-NO_2008-11-25.ana.ud2412e611	I think this debate requires that we look a little bit closer at the municipalities, because it is those who know the great increase in the body, and it is those who notice that the authorities have been under a strong pressure this year. The forecasts have so far been that there will be about 15 000 asylum seekers, i.e. three times as many as last year and year before. Before the summer UDI placed asylum seekers in tent camps, asylum recipients are now established in municipalities around the country. It is understandable in the fast process which took place during some summer months that many rapporteurs felt frustrated and overwhelmed by the UDI. I don't think we should underestimate it. There is an urgent need for reception facilities, and local authorities are therefore facing major challenges. One thing is the location in the municipality, we need to understand that. Other things are that when so many new asylum seekers reach a municipality, policy must take this into account, not least in terms of transferring resources to municipalities. It's also been done, but it might be to go a little far to say that it's fully funded. Host municipalities have obligations in respect of both kindergarten, school and health services for residents. Once asylum seekers arrive, offers must be quickly put in place. Although the life of an asylum recipient is temporary, at least for 60 p.m., the children should attend school and the sick should have health services. Norwegian training and other activities shall be organised. All of this, in fact, makes great demands on the municipalities that have received challenges from the UDI this year and asylum seekers. In most of the cases, I'm sure you've done well, but I'm sure you're not going to be surprised that in some municipalities it hasn't been painless. In my home municipality, Skien, there was a decentralised reception in the center. It did not go without pain, and I understand that the working party rapporteur and the municipality felt overwhelmed and exposed to poor information and dialogue with the UDI. But there are also examples of the opposite. Right-wing rapporteur Jonni Solsvik in Andøy Municipality has had a constructive and good dialogue with UDI, and that is probably the case for most municipalities. Then I am pleased that the rapporteur in the debate was positive and talked a lot about the importance of the competence of asylum recipients. Then I just want to finish by saying that the Right now has proposed a further development of the reception system we have today, a further development that will involve some specialized receptions of competence, to the joy of the residents there and to the benefit of the environment. I look forward to that debate.
ParlaMint-NO_2008-11-25.ana.ud2412e622	First I have to comment on what was said about Stavanger. One of the mottos of the Capital of Culture Year is ‘Open Port’. Stavanger wants to be an international city open to immigration and asylum recipients. A large majority of the politicians in Stavanger are positive to asylum recipients in the municipality. I would like to have said that, because it was given the impression of something else. Or I would like to correct and say: the local politicians from the Progress Party are negative, but the large majority in Stavanger are very positive about the establishment of asylum recipients – in a city that is under pressure on the housing market, but that has found suitable premises for a successful project with asylum recipients. That's also important to say. With regard to the housing situation, there is a challenge for the whole country. In some areas there is a lack of housing, but very often there is asylum reception in already existing housing stock. For example, in my own municipality, Sandnes, it is a closed psychiatric hospital that is receiving asylum. There is no pressure on the housing market in Sandnes that there is an asylum reception in the municipality. This debate has shown that there is a broad majority to say no to this proposal by the Progress Party. I'm glad. What I hope can be a positive result of this debate is that there will be an enhanced dialogue between the UDI and the municipalities with a view to good cooperation. There is a high potential for improvement in the provision of welfare services for those living in reception centres. If a few people want better training and health care, it is very important that there is a good relationship between the individual reception and the municipality in which it is located. It is also important that you can set up and close reception facilities in line with the need for reception facilities; others have been there before me. But just because you have to do it, it's important that you have good dialogue with the municipalities. Finally, many municipalities take a positive view of establishing reception. When you get a debate about the right to veto, you would think it was a problem you got. Fortunately, a great many municipalities say yes, we are ready to create jobs and integrate new residents, and we want both asylum recipients and the settlement of refugees in our municipality. One must not create the impression that there is a problem that there are new residents in many of the Norwegian municipalities. On the contrary, many municipalities, fortunately, want both immigrants and others to be warmly welcomed.
ParlaMint-NO_2008-11-25.ana.ud2412e635	I'm a little uncertain about whether the Progress Party posts deserve a comment. Nevertheless, I feel that I have to do it, precisely because of the language – the way they communicate. Through the language, we create images. That's the way we have to create images to each other. The representative Amundsen began his intervention in talking about massive inflows and massive debate. These are not the actual conditions. There has been an increase in the number of asylum seekers – that is correct – compared to what we agreed when we made the budget. But if we compare it to previous years, it's pretty much the same level. So talking about massive influx is going to be completely wrong. But I understand the point of doing that. It's to create a picture out there among the people most. Then there was also a massive debate. That some municipalities have felt overrun, yes, well, and that some municipalities have been negative, yes, well. But that there has been some massive debate out there, where the municipalities have been negative, I cannot understand. So to some of the things that the Progress Party writes in its comment. They write that the majority's comments contain factual errors. Sometimes I wonder if the Progress Party understands the language. In what we write, there are a few facts. We refer to international conventions, and we refer to section 41 of the law. We refer to surveys and represent numbers, and from that we draw some conclusions that of course there may be political disagreement. But the facts are there. We're just reproducing the results. And then you can question the value of a bunch of studies. But what comes out is the facts, and then we draw some conclusions. I do not think the Progress Party has understood the difference between facts and political analyses and assessments. We can only regret that. But it's a little unfortunate when this is made in a note. Then you can say that it's itself they reveal, not the others. It is good enough for them to reveal their own lack of knowledge and understanding in the Norwegian language. Finally, it is important that there is dialogue between municipalities and government authorities. I feel that it is also largely a good dialogue. But sometimes we may need something to happen quickly, precisely because the number of asylum seekers is now greater than we expected. Then some municipalities can feel this as an overrun, and that is not good. But basically I feel that it's a good dialogue, and it's going to go on. Then we have some national targets, and if the national targets conflict with the local self-government, we have to say, OK, here we have to put the places that we need.
ParlaMint-NO_2008-11-25.ana.ud2412e644	I record that the representative Rikvam is very concerned about semantics. I have to admit that in my post I was a little bit more concerned with mathematics. When we talk about a massive increase, I think that a triple of the number of asylum arrivals compared to what was agreed in the 2008 state budget should be referred to as a massive increase. When we have a situation where Norway is the country in Europe that accepts most asylum seekers per. population, there is a massive increase. We have had the fastest increase in the world in the number of asylum arrivals. It's massive. I do not think any further Norwegian training from SV is necessary. Then it is pointed out that the Progress Party uses the word ‘facts’ in its comments. Yes, we use the word facts in references to some polls and surveys that have been made. For, like the Council of State, the representative refers to a study among the municipalities of the country, asking the rapporteurs in these municipalities about their attitude towards the establishment of asylum-seekers. With a red-green majority of rapporteurs, there is clearly a red-green response – yes. It's that simple. But it's not the population of these municipalities that's kind of asked. This also refers to the intervention by the Council of State. I'm a little disappointed that the Council of State on a direct question chooses not to answer. In my question to the Council of State, I referred to Skrolsvik, the municipality of Tranøy, at Senja, where in a building with 90 inhabitants, 100 asylum reception places are now established. It's dramatic for a small village. Although you try to problem that debate and make various accusations, it is actually that it has consequences for the people who live in this municipality. I think it's a little arrogant when you first leave to answer a direct question if you think this is a decent way to deal with this. I challenge the Council of State to take the floor and to explain whether it is really a good way to deal with Norwegian asylum recipients, to set up an asylum reception with 100 residents in a town where 90 people live – and despite the fact that the municipality has made a clear statement on it. This refers to the directive of the European Union, which is now under way. As Bjørg Tørresdal correctly says, it is about internalising so-called IDless asylum seekers and asylum seekers to leave. It is entirely in line with the policies of the Progress Party. 95 pst. by all those who come to Norway and seek asylum are without ID. I cannot imagine anything other than that you will be able to place very many very quickly in closed reception according to EU rules. It is not that we are in favour of the whole directive, but I say that there are others in Europe who present solutions that are very similar to the policies of the Progress Party, whereas this government is not at all willing to look at new measures to do something to reduce asylum immigration to Norway.
ParlaMint-NO_2008-11-25.ana.ud2412e658	To contact the representative Amundsen first, I commented on the fact that Amundsen claims that there is no contact with the municipalities. It is a fact that in Skrolsvik it has been. That's the fact I pointed out. Whether the size of that reception is correct is a professional assessment I do not attend on a daily basis. I agree that there is a lot of noise in a building with 90 people, but that does not mean that there has been no contact with the municipality. But the reception has grown larger than the municipality wanted. So that municipality has been notified and has been in dialogue with the UDI. That's my main point. Nor is it the case that the board of KS – and, as far as I know, the members of the board of directors of Amundsen’s own party – require that it be possible for the municipalities to say no, i.e. have veto rights. I really took the word to comment on the post from, among other things. Holmberg. The ski is a very good example of a dilemma we're up against. Decentralized reception often works very well. In particular, it works well for those who are subsequently granted a residence permit in Norway and are getting to work early on integration. But decentralised reception can be a dilemma in a situation where there is pressure in the housing market, and that's what was the situation. The rapporteur in Skien, Rolf Erling Andersen, was one of those who were present at that meeting where I got the signals that were the basis for the signals that I subsequently gave to UDI, starting from that dilemma. Here we are talking about a municipality that was positive to reception, but wanted to have influence over the device and over the choice of the model that the tenderer had submitted. It shows a dilemma. In terms of competence, I fully agree that this is important. This is why we have special solutions, such as: that child protection is the responsibility of unaccompanied minor asylum seekers under the age of 15. In next year's state budget, which is now under treatment in the United Kingdom, we are putting in place additional measures for lone minor asylum seekers aged 15 to 18. We've reinforced the efforts of the reinforced departments, which are a special form of reception, and then we have a waiting reception, which is also a special type of reception. So we have some special types of reception. I am prepared to discuss further types of reception adapted to those asylum seekers who actually come to Norway. It must be an ongoing debate in which we agree that quality is important. So finally, in terms of the number of arrivals, the representative Amundsen has at least been out in the media saying – and he has repeated it here – that the government has no control. Well, that's just the point, the government has control. That's possible that's why the representative Amundsen gets a little despair, because he loses some of the kick-offs in the public debate. What we've said is that if we don't put in cautious measures to tighten up so that there will be fewer of those who don't get to stay in Norway, the number will increase beyond 15 000. That's why we've put these measures in place. These are the figures on which the State budget is based and which led to the adjustments made in the year's budget.
ParlaMint-NO_2008-11-25.ana.ud2412e669	Per-Willy Amundsen has had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2008-11-25.ana.ud2412e672	We have just witnessed a reasonably eye-catching opinion from the Council of State, where he actually says that it is the government's misguided and wanted policy that 15 000 asylum seekers should be sent to Norway every year. That is the consequence of the Council of State's statement of this pulpit today. We get 15,000 this year, and that's the number he's operating on next year's budget. I interpret it as meaning that the so-called – I repeat, the so-called – asylum curtailment to which the Government has put in place was only in order that the number should not exceed 15 000. In that case, we have some big challenges ahead of us. In reality, a completely different immigration policy has been introduced than that pursued by previous governments, with a constant, long-term high number of asylum arrivals – 15 000 – every year. In that case, it's alarming.
ParlaMint-NO_2008-11-25.ana.ud2412e677	I have to be allowed to say that it is directly alarming to hear how a representative of a magnificence stands and distorts what I say from the Spokesman's Chair, that it is, as it were, the Government's wish that the number of arrivals should increase to 15 000. It's, if I'm allowed to say that, President -- at least I say it -- all over the world. What is real is that when the number of arrivals forecast rises, in line with the rules for realistic budgeting, we shall base the number in the budget. We have done so, by providing additional appropriations on the basis of the forecasts available in 2008. Then we have put in the same number – which is at that point, from the point of view of realistic budgeting – for 2009. With regard to the government's tightening measures: the amundsen referred instead to disagreement in the government, but there was a consensus in the government that we needed some tightening measures to stabilize and end the growth of the number of arrivals. This is why the Government introduced 13 measures, which we believe is a basis for not having to increase the estimate in addition to the estimate that was there. It is not that the government sits and decides that next year we should be surprised to suggest that we should include 15 000 asylum seekers. There is a world-wide situation and assessments between countries for which there are asylum arrivals, which determine that number. Then we deal with it, and then we put budgets out of the forecasts we have -- not based on Amundsen's various wishes about what the world really should look like.
ParlaMint-NO_2008-11-25.ana.ud2412e686	The Council of State pointed out, quite correctly, that the designation of other representatives as ‘on earth’ is not parliamentary language. Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2008-11-25.ana.ud2412e706	No one has asked for the floor. [[See page 650]]
ParlaMint-NO_2008-11-25.ana.ud2412e724	In May 2003 Stortinget St.meld. No 14 for 2002–2003 on the coordination of Aetat, Social Security and Social Services. The majority of the Committee, consisting of the Labour Party, the Progress Party, the Socialist Left Party and the Centre, indicated that: ‘The Social Committee, when dealing with a number of welfare reforms, has expressed concern that people with a need for assistance are not being adequately assisted’. They pointed out that this was the basis for the unanimous adoption by the Stortinge in the course of the budgetary procedure in the autumn of 2001 of the following: ‘The Government asks the Government to examine the issue of a single establishment for the social security, social security and social security systems and to present the matter to the Grand Duchy in an appropriate manner during 2002.’ The government of Bondevik had in St.meld. No 14 did not follow up the Storting decision on an overall establishment which would also cover social services, and the above-mentioned majority decided to send the case back and ask for a new case for different models for a joint establishment. In St. prp. No 46 for 2004–2005 the case was brought back to Stortinget, and an overall committee decided to introduce New Labour and Welfare Management – popularly called Nav. The Workers' Party, SV and the Center Party had then gone away from the desire for an overall establishment, and only the Advance Party still complies with this requirement. The Labour and Welfare Administration Act came in Ot.prp. No 47 for 2005–2006 and was treated in Odelstinget in June 2006. The need for a welfare reform was based on better organisation of the instrument to achieve more comprehensive and efficient management of labour and welfare and to address the ‘casting ball’ problem that hit many of the users. The Committee underlined the need to: S. No 198 for 2004–2005 that the proposal for a welfare reform was primarily an organisational reform to meet the needs of users. The Committee was also concerned that the new agency should be able to ‘take rapid action in labour market policy’ and that they ‘expected an organisation which does not impede rapid migration’. In the opinion of the Committee, a main objective of organisational reform had to be to aim at more user-friendly, coordinated and efficient welfare management. Another objective was to ensure more adapted services for those who cannot, or who to a very limited extent, participate in active work. The Committee was concerned that persons who had fallen out of the labour market for various reasons or had not entered the labour market would meet a public service offer which could provide assistance quickly and individually, and that persons who, for some reason or another, did not have income from their own work would be guaranteed a secure economic foundation. It is natural that a combination of two state institutions with different cultures, objectives and management tools imposes great requirements for both planning and implementation. It was therefore the Stortinge’s premise that there was a need to invest heavily in common empowerment and cultural building and sufficient resources for its implementation. The last one has been followed up a long time ago, and the Stortinget has only granted 100 million in the last few months. additional to the implementation of the reform. One of the major prerequisites for the reform was that good and well-adapted individual services should be provided, speedily cleared and prompt action should be taken and safe financial arrangements should be ensured. Another important premise was that users should be assured one place to turn when needed for welfare services, and that users should be offered a comprehensive clarification and a fixed contact person to assist with guidance and follow-up. In short, the aim was to create more user-friendly labour and welfare management than the one that Aetat and social security offices could create individually. There are too many signs today that the main objectives of the welfare reform will not be achieved. Section 1 of the Labour and Welfare Administration Act states: ‘The management of labour and welfare shall meet the individual with respect, contribute to social and economic security and promote transition to work and active activities.’;» It also states that Nav should be adapted to individual needs. We are constantly receiving enquiries and reading in the paper that people feel badly treated by Nav. They are not treated with respect. They still have to go from one office to another, waiting time is long, benefits are ended before new decisions are taken, people are referred to the social office, and no one seems to have got a fixed contact person, as the Storting intention was. As far as I can see, Nav now has a general trial period of eight months. I receive many enquiries from users who have been informed that e.g. the rehabilitation allowance period has expired and that it will take many months to process the application for disability benefit or temporary disability benefit. The fact that the user does not have the means to manage without income for eight months only means that he or she is referred to the social office where at the top of the whole meeting a new case handler who does not know the case. This is an unworthy treatment for people who need help and requirements for Nav services and benefits. Some time back, you could read about a young man, a mechanic, who was 23 years old who was injured in an accident at work. He was paralyzed in one arm, but still wanted to be 100 pst. economically active. That's why he asked Nav for re-schooling. Nav offered him a carpenter's course! The hub should be one door to services and services if necessary. Nav is currently fragmented into many departments for different disciplines, and social services are still a municipal office that does not provide its services through the same contact person as Nav otherwise. The promise of one contact person to the user and one door to the welfare seat is repressively broken. Nav should help more users to make use of their residual working capacity, to get more people who receive disability benefits back to work, and to prevent more and more ports from receiving permanent passive benefits. Unfortunately, we see that an increasing number of people are being dissatisfied, that users of miscarriages who want to return to work — in whole or in part — are not receiving help, and that very few disabled people have come into work after Nav was introduced. Nav manages a very large proportion of the state budget. The budget proposal for 2009 is close to DKK 280 billion for welfare purposes. It is a great and responsible task to ensure that the money reaches those who need it the most and who have the right to benefits. It requires competence and qualifications in a number of areas to ensure that the funds — and not least the care of users — are channelled in a timely manner. Unfortunately, I get the impression that there is often a lack of competence and ability in different contexts within Nav to a greater extent now than before the reform came into force. That is very worrying. It cannot be accepted that, for example: In September, there were 19 000 interruptions in the waiting period, and the objective of the number of social clients on the qualification programme is not met. Nor can it be accepted when we continue to hear about social security abuse and users who have been illegally receiving social security funds for a long time. There is little confidence when we read in the newspapers that, in such a situation, Nav offices should be closed for two days because the employees are going to be on a course. New work and welfare management was meant to be an improvement for users. They were to have one contact person to deal with, individual plans were to be drawn up, beneficiaries of social assistance were to be on the qualification programme, more on disability would be helped to get back to an active work situation, and everyone would get one door to Nav. It hasn't been like that. The Progress Party has supported the reform because it was initially fully in line with our programmed policies. We cannot accept that the implementation will not succeed after the intentions of a total expansion, and I am eager to hear how the Council of State plans to ensure that the will of the Storting is done, and how he will help to correct the imbalances that seem obvious today. I am aware that it is a great task to establish many Nav offices, and that we are in the middle of the process. However, significant funds have been allocated to implement this. In addition, the government parties, with the support of other parties, have, in my view, shot themselves a little in the foot by keeping the social office municipal and thus avoiding baking the culture that lies in the municipalities, into the two state institutions, which would in the long run be much better for implementation.
ParlaMint-NO_2008-11-25.ana.ud2412e783	Before preparing my response to the interpellation, I read through the minutes of an interpellation debate on the Nav reform on 7 February this year. That was a good debate. It showed that there was a cross-political consensus on the need for reform and understanding that it is difficult to implement it. At the same time, it was agreed that users should also receive good service during the reform period. As my predecessor, Bjarne Håkon Hanssen, said: ‘We’re going to get caught up in the bad experiences of users, because we can’t live with users having bad services for years because we’re implementing the NAV reform.’ Further: ‘we’re going to be hard on the one hand to demand that NAV take this seriously and deploy resources to solve the problems that arise.’ [[...]] I'm going to end up with that. We also had a debate just under two weeks ago when the additional appropriations for the Employment and Welfare Act were adopted. As I see it, there are two different types of problems we face in the management of work and welfare. The first is problems that we know about from the previous floors. In particular, this applies to the lack of follow-up of users, and it takes too long for active measures to be taken for persons on health-related benefits. That's why we chose to adopt the Nav reform, and now we're establishing something new. The second is problems arising from the implementation of the reform itself. These challenges require different responses. With regard to the problems we already know, it's my opinion that the best thing we can do is carry out the course we're in now. I am sure that when the new organisation and content reform are in place, we will have the labour and welfare management that was the goal of the Nav reform. That's what I'm saying because we see that several of the Nav offices that have been set up for a while now work as we want. The problems related to the implementation of the reform itself are explained in the budget proposal and in the St.prp. No 87 for 2007-2008. In particular, there are two areas that are critical and where users have less experience than before. It's trial time, and it's available on the phone. In the first half of 2008, the Labour and Welfare Unit has established specialised administrative units to ensure efficient resource use and to release time for individual guidance and follow-up of users in the Nav Office. At the same time, the establishment of the Nav offices has continued with full strength. Each such establishment is itself a small reform. Both the establishment of the administrative units and the establishment of Nav offices have contributed to the significant and unfortunate increase in the balances that we have seen this year. To reverse this trend, 100 million have already been adopted. kr more to the Employment and Welfare Act this year. In the draft budget for next year, the strengthening has continued. So this is going to be increased by 200 million. kr for the years 2008 and 2009 for targeted efforts to reduce residues. The Directorate of Labour and Welfare has a close and good follow-up to the individual counties to reverse the unfortunate trend. Less remains have been notified in September and October. I will follow developments continuously and receive regular reporting. The availability on the telephone of the labour and welfare management has been too poor. As a result, many people meet directly at the Nav offices to get answers to simple enquiries. The Directorate of Labour and Welfare is working systematically to ensure better accessibility by telephone. The counties that have established customer centres now report good results. Once upon a time, these states had the biggest problems. In addition, new technical solutions are established that relieve the Nav offices and provide greater flexibility. In addition, the ETA implements several immediate actions locally. The interpellant notes that the lower number of participants in the qualification programme than planned can be seen as a sign of failure to reform. The introduction of new instruments is demanding. This is why we have from the outset had a specific approach to reporting from the Nav offices to the Directorate of Labour and Welfare to capture conditions that can help delay implementation. In recent months, much more applications for programmes have been registered than in the first half of the year, and the number of participants has increased significantly. This may indicate that the close follow-up produces results and that we can expect that the number of participants will continue to increase significantly by the end of 2008. In addition, the action is important because it underpins the very intention of the Nav reform to cooperate across the Nav office and where municipal and state instruments are seen in the context. The introduction of the qualification programme means that many who would previously be dependent on economic social assistance are now entitled to an individualised programme with a corresponding financial benefit. It is an important social policy reform that will help reduce dependence on economic social assistance and increase the number of people in the target group. In addition, there is strong month-to-month growth. By the end of October, 3,600 had applied for participation in the programme, and the number of participants was 2,500. The interpellant also notes that there are challenges in terms of skills requirements for managers and employees and cultural development between different environments. Ensuring competence and establishing a common culture means far more than the physical aggregation of former establishments. This is why extensive training has been provided in connection with the establishment of the Nav Office, both for employees and for managers. Each Nav Office undertakes modular training. The modules are selected according to the competence of each employee. Both government and municipal staff are undergoing training. Building up cultural differences between the two former states and employees from the local social services is a major concern when establishing the Nav office, and continues after the Nav office has come into operation. However, cultural differences are mainly built down in everyday life when employees with different backgrounds work with users and using common tools in the Nav office. Interpellant asked questions about what the Council of State would do to ensure that the Nav reform would be implemented in line with Storting’s intention. The Ministry has closely followed up and regularly reported from the department. Personally, I have monthly meetings with the Director of Labour and Welfare. Let me add that I also get a lot of messages about development in other ways, including from the users themselves. This gives me a good starting point to take action, if necessary, to ensure that the reform is carried out in line with the intentions, as exemplified by the additional appropriations this year. Finally, I would like to stress our responsibility as politicians. The Nav reform concerns 17 000 employees and more than 2.5 million users per year. The employees stand every day to realize the goals we have, and they do a formidable job of which we already see a lot of results. What we're saying has a lot to say about how employees experience their everyday lives and what results we can expect from them. Now, if we give signals that can be interpreted as if we want something else with the reform, it would be disturbing. It is therefore important that we, as politicians, stand firm on the long-term objectives and strategies, as there still seems to be a broad political consensus on them.
ParlaMint-NO_2008-11-25.ana.ud2412e821	I have never been contacted as many times in my time at Stortinget as I have been in the implementation of the Nav reform. The Council of State said that there is a broad consensus in the Storting on the intentions and objectives of implementing the Nav reform, and the interpellation today is part of precisely focusing on the desire and commitment of an aggregate increase in the achievement of the objectives set out in the previous decisions. The Council of State was also concerned that the former Council of State for this area, Bjarne Håkon Hanssen, said in an interpellation debate that he would address these problems. The problem is that nothing has happened for a long time. Now it looks as if the processing time goes down, and it's good news, it's very good that the balances go down. But one of the problems I addressed in my post is that very many users feel poorly treated at Nav. It has nothing to do with the remainders. They won't be met with respect. It is important to be trained through skills enhancement to ensure that users are treated with respect in the Nav offices. I hope that the Council of State will take care of it. I know that we are in the middle of the process of establishing the Nav offices. But it is also the case that significant amounts have been allocated over time to achieve these objectives. There are 700 new employees. It should also be possible to demand results along the way. As I said in my post, the government has not made it easier by not lifting municipal culture as part of the state system. This creates even more problems for which you should be careful. I would like to know if the Council of State agrees that perhaps the social offices can be withdrawn as part of the state, and thus all of this is rooted in one common culture under one common direction. Today, we also see on the NA24 website that there are large appropriations going to consulting services, over 1.2 million. kr goes to consulting services instead of to customer care. I would like to hear the comment from the Council of State on that too.
ParlaMint-NO_2008-11-25.ana.ud2412e832	Let me start with the last point of the interpellant, which was about today's look-up on consulting services. I'll be the first to agree that I think those amounts are large. When we have several content reforms that go in parallel with the Nav reform itself – that is, the contents of the Nav offices – some of the problems with long processing times are missing communication between the old floors and the old buildings and municipalities. At the same time, we have the pension reform. I am very concerned that it is being used the best available qualification available to design good ICT solutions. It's in line with Storting's assumptions, I see. The most important thing for me in this area is that in terms of what the Directorate of Labour and Welfare is called the fight – that is, the new system for the calculation of pension schemes, which is about to be completed now – I am primarily concerned with the quality of quality, so that users get the right pension and at the right time. It's a big, challenging task, and that's the main focus, of course, within the framework of a housekeeper's good use of the funds allocated. Then I would like to stress to the representative himself that we are in the middle of the process. Based on some questions I get and some articles I hear, it sounds like the time has come to assess the results of the Nav reform. But there are 160 local offices that are not set up until next year, maybe a few in 2010, for building reasons. That means we're in the middle of a reform. In that reform, empowerment is one of the focusses on providing better customer service. Because it is not that people work at the Nav offices today who have a worse attitude towards users because Nav has been established. So we're talking about more old cultures to coordinate. And it's just having customers in focus and having a good customer service – including for example: Telephone services, as I say, are part of the good customer service – which is better than the one that was before the Nav reform, which is the important thing. I have nothing more to say about the municipal social offices than that this is the solution that the Stortinget has chosen and that I am going to fully defend and implement, because I am going to carry out the reform that the Stortinget has adopted. I believe that the peculiarity and competence of the community's social actions are now well included with the solution we have chosen for the local Nav offices. Then I must finally be allowed to say that I record that the Progress Party is also concerned about the Nav reform in the light of the many public enquiries that the representative receives, that I get, and that others get. I'm probably getting enquiries about even more examples than the ones we read about in the media. That is the basis for the assessment of the progress of the reform. But the representative's party suggested in this year's government budget that we should spend 431 million. kr less to implement the Nav reform. I don't imagine that users would get better services and faster answers if that had been the conclusion.
ParlaMint-NO_2008-11-25.ana.ud2412e845	I am not quite aware of the number in the series of Nav debates today's debate, but it is important that the reform be followed by politicians on behalf of the users, so far I follow the interpellant Kenneth Svendsen. But I do not follow the inter-pellant in his proposal to also state the social office part of the reform, because I think it is important that the reform is also followed by the eyes of local politicians, because they are even closer to the users than we do. I am also convinced that the culture that exists in the municipal social offices is a valuable procedural culture to include in the further reform. Then I want to go back a little bit in time, to February this year. The majority in this Chamber, through the interpellation of Per Rune Henriksen, expressed their concern for feedback: on length of proceedings, on missing documentation, and on unavailable case handlers. There were feedbacks that stand in quite sharp contrast to the goal of the Nav reform, namely a better everyday life for users through one door where there were three, a simplification, better individualisation of services, and taking a positive approach to people's own resources. The current state councillor Bjarne Håkon Hanssen was in that debate openly and honestly that in such a great reform it has been, and it will certainly continue to be, examples of routine failure. His promise to the Stortinget, however, was to grips with such bad user experiences when they had to show up. State Council Dag Terje Andersen has followed up this promise. He has explained that in his own article here today. We also had an extensive debate here on Thursday 13th of this month on additional appropriations for Nav. In this respect, I really have a question for the representative of Kenneth Svendsen. He showed in his first post the 'will of the great thing' of the Nav reform. For my part, I find it a little difficult to see that the Storting has one expressed will in this case. If the Advance Party's 2008 alternative budget had been adopted, what would the situation have been for the users of the Nav ET? Governments mentioned a cut of 431 million. NOK, and there were some more cuts actually. There was a cut at the operating point of 50 million. kr for Chapter 604, and together with the Right Advance Party, it was possible to cut 30 pst. on equipment and maintenance only in the case of smarter tenders, the right did not propose a cut. The advance party already cut off with that gunner 75 million. kr on the equipment front and an expectation of 431 million efficiencies. kr. So it's more than $12 billion in cuts – less for operations and necessary equipment, and so powerful efficiency measures that it would necessarily also lead to cuts in the number of employees. As if that were not enough, the Progress Party wanted Nav again to be responsible for the purchase of health services to the sick, and that the management of health reimbursements as a whole should be below the Working and Welfare Session – the last correctly allocated earmarked funds. Then I'm a little excited about this, because the Progress Party's draft budget for 2008 and the fact that the Progress Party was actually involved in redispating $40 million. NOK 60 million and additional appropriations. NOK – 100 million. kr extra to the floor – it is a little in contrast to what the Advance Party has previously stood for. The budget for this year is without the cuts proposed by the Progress Party itself, and on top of that, the Progress Party in this month is contributing 100 million. Extra kroner. So I have one more question: does it mean that the Progress Party will now continue its new view of the need for resources in Nav, or will we, when we meet for the budget debate next month, again experience new, irresponsible budget cuts from the Progress Party, which will only lead to a poorer service provision for users? I don't, like, get the policies of the Progress Party all the way into this field.
