ParlaMint-NO_2008-12-15.ana.ud2230e124	The representative of Marianne Marthinsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-12-15.ana.ud2230e512	Then the representative Olemic Thommess brought up the proposals he referred to. It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e517	I listened with great interest to the contributions of the representative Thommessen and have also read with great interest the main comments of Højre – and their ideological stand for their family policy. From a note of great interest, I would like to quote: ‘In today’s society, the big family is almost gone, we see growing breakups in life and families are in severe trouble. The increase in family violence, drug abuse and mental disorders may be related to these changes in family life.’ What I'm wondering about the representative Thommes being able to answer is: Does Right think that family violence is a new phenomenon that did not exist in the big society, or is it that Right wants to go back to the old peasant society? In that case, they must change their agricultural policy. Or do you want to go back to the old housewife, so women go back to the kitchen bench?
ParlaMint-NO_2008-12-15.ana.ud2230e527	Of course, there has always been family violence. Unfortunately, it does. But we also see that there has been a negative development in relation to it, and that we live in a society where the community members have quite large stress factors around them. Taking care of the family as a framework is about having a good foundation for the security of life in general. And security, predictability, is actually, I think, an important factor in countering family violence as well. It's about trust in close relationships, and it's about the ability to take responsibility. The problem with the government's policy is that the state assumes responsibility all the time, and that makes the inhabitants disclaim responsibility. You look at the state as someone who arranges for you, instead of feeling the responsibility for actually caring for your own well-being and internal family welfare. That's the right starting point.
ParlaMint-NO_2008-12-15.ana.ud2230e533	The government has attacked the offer received by children in private child protection institutions. The government does not seem to care whether or not children receive a good offer in a specifically exposed situation. It may seem that the most important thing for the Government is to move the vulnerable children into public institutions. In their comments, the right makes a big point that it is the quality of the offer to determine, not who is offering it. How will the Right ensure that children who are in a vulnerable situation and need care in a child welfare institution are provided with this care regardless of whether there is a State, non-profit or commercial provider that has the best offer?
ParlaMint-NO_2008-12-15.ana.ud2230e538	It is short and good to equate these offers. It is a matter of creating the best possible channel between those who are responsible for the children in the municipalities, those who sit in municipal child protection and meet the children, and over to the offer – that channel must be much better. There has been a proposal from the Right for an offer portal, in line with what is available in Denmark. We think it is a drivingly good proposal, which is just about making offers available, which is about making knowledge available. Today, we see that there will be a conflict between Buffetat, who will make offers on behalf of the state, and those who are closest to the child, who actually see what the need is. You get a discussion about economics, about location, at all, an unfortunate mix of considerations, which has also created a very unworthy framework for some of the places we've seen. As far as possible, floating between offers and what is needed is our answer to that.
ParlaMint-NO_2008-12-15.ana.ud2230e543	The right in its article is occupied by the poor. The centre party has noticed that the opposition strongly disagrees with the view of the importance of cash support, especially for families with low income. Both the Right Party, the Christian People's Party and the Left believe it's okay not to price the child's rights. However, in the case of cash support, an overall opposition distances from the reduction in cash support resulting from the lack of price compensation. In its alternative budgets, the Christian People's Party proposes an increase of 168 million. kr, Advance Party 45 mill. kr and left only 13 mill. kr. The right joins the criticism of the government parties, but for me it has been difficult to see the Right increase in cash support. Therefore, my question to the Right becomes the following: How much does the Right propose to increase the cash support?
ParlaMint-NO_2008-12-15.ana.ud2230e548	If there's someone who's been trying to keep an eye on the cash support, it's actually the Center Party, who's gone, I kept saying, all the ideals and the guard and reason for taking care of something that really matters to sparsely populated areas, places where the cash support was most popular. Then we could have happily added the cash support into a wide range of regulatory measures. We think it has been more important to keep a focus on poverty. I don't think the Senterparte has much to do with that either. It has been more important for us to ensure that we increase the level of child protection grants, to increase the level of grants for youth actions in larger urban communities, quotas for homes with reduced resources, etc. – rather than spending money on more general, broad measures, such as cash support. But it's clear, the cash support should be increased over time, and we'll probably also be on it gradually, even if we don't have room for that this time.
ParlaMint-NO_2008-12-15.ana.ud2230e553	The cord shift is over.
ParlaMint-NO_2008-12-15.ana.ud2230e556	Norway is designated as one of the world’s best countries to live in. This gives us a unique starting point for ensuring that all children in Norway can grow up well and safely. It is necessary to ensure that children and young people have equal opportunities and that children’s rights are respected. To use SV's word: different children, equal opportunities. The nursery arrangement that the whole Stortinget was behind after a Document No. Eight proposals from the Progress Party and the SV are historic. The government and not least Kristin Halvorsen went to the elections on full kindergarten, max. price and legal right to kindergarten. This government is now implementing the welfare reform of our time. Since 2003, 57,000 children have been placed in kindergarten, and this is a historic activity in kindergarten. SV believes that kindergartens are good for children. A kindergarten with an organized educational, social, linguistic and physical stimulating environment ensures good offers for children. We are also pleased that the Government is betting in parallel on child care coverage and the content and quality of kindergartens. Work on the follow-up to the recruitment strategy for the kindergarten sector 2007–2011 and the competence strategy for the kindergarten sector 2007–2010 is very important. Children who go to kindergarten score higher in more areas than children who are not in kindergarten. Good language development and social competence are qualities that provide a good starting point for further learning and not least integration. The maximum price and full child care coverage are a prerequisite for children’s families to have a real freedom in the choice of care solutions for their child. Cash support has led to a development in the number of children who need a nursery offer, because parents cannot afford to say no to cash support. Kindergarten as a preventive child protection measure has fallen dramatically, because the free space is no longer attractive, because it means loss of cash support. We also know that there are percentages of families with a minority background who use cash support. Language is important for integration, and children who are in kindergarten have better language development than children who are not in kindergarten. These are the unfortunate consequences of the cash support, alongside the fact that it has been a brake pad for equality between women and men. SV therefore believes that the cash support must be phased out during the next downtime period. Full child care coverage has been a struggle for the women's movement and the left side of Norwegian policy for over 30 years. The fact that we are about to reach the goal is a great victory for children and their parents. Full child care coverage also allows both parents to provide care and to be active. It is important for equality between women and men, alongside the fact that this government also performs by extending the paper issue by four weeks. This gives children more time with both parents and is an important welfare asset in our family policy. Equality and organized family policies are good for both children and adults, and we see that in same-sex families there are fewer divorces, which are also important for children. At the end of my post, I will focus on those children who have major challenges in our society. Unfortunately, children in need of child protection measures, children in need of care failure, abuse and violence are often ignored — and measures are taken too late. I believe that we need to strengthen competence through education, so that everyone who works with children is more competent to see and discover and help children who have difficulties. Some of the weakest children in our society, who have the biggest challenges, are lone minor asylum seekers. It is a particularly vulnerable group that comes to Norway without caregivers. SV is very pleased that child protection is now responsible for them under 15 years of age and will stress the importance of the responsibility of the lone minor asylum seekers between 15 and 18 years of age for the protection of children as soon as practicable. We are very pleased with the measures and reinforcements that have been made in this budget for this group around the country.
ParlaMint-NO_2008-12-15.ana.ud2230e573	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e576	When we were dealing with the large kindergarten agreement, SV was very concerned with sibling moderation and income-rated parental payment – so concerned about it that we actually got a prescription for treatment in the Stortinget for the first time in history. Now it turns out that there are very many municipalities that have not introduced income graded parental payment or sibling moderation. Why has SV not been clearer and more on the track in this respect? Have they already forgotten that they worked so much on this? Did they forget it as soon as they got inside the government doors?
ParlaMint-NO_2008-12-15.ana.ud2230e583	I was concerned to some extent with this in my reply to the representative of the Progress Party. Because when we made a settlement in Stortinget, it depended on the municipalities maintaining nominally what they had used in kindergarten from before. It was also such that no one should come out worse: Graded rates and spaces should be maintained. The municipalities that have not done so, I do not believe that they are doing what was the starting point for the conciliation. So it turns out that a lot of municipalities have free places, and over 80 pst. has graduated rates as well. However, I believe that it is absolutely necessary for municipalities to do their job in this area, because it is an important measure for families with children with less and poor income.
ParlaMint-NO_2008-12-15.ana.ud2230e590	We have recently seen a very large increase in emergency positions in child protection. It's an increase of 20 pst. And actually it's all the way up to 31 pst. the last time. We know there's a lot of explanations about this. Unfortunately, we have a child's protection that gives us a little too many explanations. We also see that there is free capacity in private child protection. And we know that some of the reason is that it goes out too long before you put someone in an institution or reinforced foster home. Does not the representative Hansen think it should be more important to use the capacity that it says, than that we expose children to the pain that does not involve finding a place? Does not the representative Hansen think that we owe them the use of the resources that we actually have?
ParlaMint-NO_2008-12-15.ana.ud2230e599	I fully agree with the representative from the Right that there has been a worrying development in child protection that we must look at. More and more children need child protection measures, there are several complex problems, and it is difficult to find appropriate measures for all children. One of the things I said in my post, and that was basically my starting point, was that we have to do a job for all the professionals working with children. It is very important that we see and detect children early. I also believe that we may need to evaluate both the laws, regulations and everything, so that we get equal treatment, and that those children around this country who need child protection measures, who are going to be in a foster home, should not sit for one year and wait for it. What is important is that children have adapted measures. And it's not certain that the institution that's close by is the best offer. That's also important to say.
ParlaMint-NO_2008-12-15.ana.ud2230e609	The Christian People's Party is proposing the addition of income-graded bets to kindergartens to give an extra handshake to those with the lowest income, but I'm recording that SV does not support this. This applies to the single minor asylum seekers over the age of 15. Can the representative May Hansen say anything about when they're transferred to Child Protection? It seems like it's all blue based on the signals that the government has sent. So I have a question of equal pay. I know the representative May Hansen and SV who are passionately concerned about equality. Therefore, I am somewhat surprised that the government party will not be on a proposal asking the Government to present a compulsory plan for equal pay and to contribute to measures for women-dominated education groups in the public sector in line with the recommendations of the Equal pay Commission. Or does SV want to support these proposals when we're going to vote over them in the hall today?
ParlaMint-NO_2008-12-15.ana.ud2230e618	There has been a reduction in an equal pay commission. The various proposals that have been consulted, and it is clear that we should look at this from the SV's point of view. It's very important. We haven't had an equal pay trend in Norway in 25 years. We have a sex-shared labour market. The most important thing we can do to get equal pay on the track is to remove the cash support, so that women do not work more part-time than men. It is also important to get women out of work on the same footing as men. This, and that men also come home and provide care, is the most important thing we can do for women's career. As far as minor asylum seekers are concerned, we say in our note, and so does the Government, that this should be in place as soon as practicable. And we work that all the time.
ParlaMint-NO_2008-12-15.ana.ud2230e627	So the chord change is over.
ParlaMint-NO_2008-12-15.ana.ud2230e630	The centre party will spend most of its time focusing on family policies in general and kindergartens in particular. The babysitting of the times is approaching the interview. We believe that the goal of full child care will be a reality by August next year when all children who have reached the age of one year before the end of the same month are legally admitted to the nursery. With this budget, we have arranged for 265,000 children to have a kindergarten offer by the end of 2009. The children's hail lift is approaching 25 billion kroner, and it will cost more in the years to come as we reach the maximum price from 2009 until the target of a reduction in the maximum price stage 2 is reached. The centre party believes this is the right priority. Recently, several studies have been presented that show how important a qualitatively good kindergarten offer is for reading and math understanding and, not least, social skills. Therefore, it is alarming that the left will go the opposite way and increase the maximum price. This will particularly affect those groups which have weak economies and which are most in need of stable, stimulating childcare services. Since this government took over, the price of a nursery place has been really reduced by 855 kroner per person. month, or 27 pst. In order to ensure adequate and predictable funding for kindergartens, we have chosen to postpone the inclusion of the earmarked state grants in the municipalities’ 2011 Framework Grant. In the introduction of a new funding system, the Centre will focus on the economic non-discrimination of municipal and non-municipal kindergartens. There shall be the same good quality of the offer regardless of who owns the nursery, in the same way as employees must be guaranteed equal conditions for equal work. In parallel with this adventurous expansion of kindergartens, the quality of the offer has received increasing attention. A Quality and Content Scoreboard will be promoted during 2009. Furthermore, a new framework for the content and tasks of kindergarten has helped to improve quality. In addition, the Government has stepped up its efforts to develop skills and recruit children’s homes. With increased appropriations in 2009, there will be 150 new places to study for pre-school teachers, 150 places to study post-secondary education in kindergarten education in part-time for people with other educational education, as well as an extension of the offer of pre-school work-related education aimed at, among others. assistants. In the last three years, over 60 million have been used. kr annually for measures of competence and recruitment in the kindergarten sector. The centre party wants to focus on family and parents in the next year's budget. We are pleased that family protection is now being strengthened, so that even more people can be helped in difficult situations. Family protection has a central role to play in preventing a break in life, but it is so important to achieve good cooperation where parents choose to separate. Family protection will be added 10 million in 2009. The total appropriation will then amount to 315 million. kr. Family protection also plays an important role in relation to ethnic minorities, gay families and children exposed to violence. In the budget, we have chosen to put in place various measures to strengthen the rights and conditions of parents. The Soria Moria declaration is fulfilled by the extension of the feather quota by four weeks. As a result, fathers will be entitled to 10 weeks of parental leave from July 2009. The total parental leave is extended by two weeks as a result. It's high time we gave fathers better opportunities to spend more time with their children. At the same time, extended fetal leave could make it easier for mothers to return to work earlier. Since the one-off grant at birth and adoption has remained still since 2003, we are now proposing to increase this aid to NOK 35 263. This is an act we are doing to strengthen the economic situation of young children's parents. Parents are the most important caregivers in children’s lives, but sometimes parents do not extend to them, and society needs to set up to ensure these children’s and young people’s safe growing-up conditions. The centre will highlight in particular the importance of research on different methods, so that we are becoming more and more confident in tailoring individual arrangements for each individual child and youth. Early efforts at home with care failure are essential to succeed in getting these children and young people on a positive track and thus a lastingly good growth situation and development. Finally, I would therefore like to express my satisfaction that the Government will strengthen cooperation between child protection and kindergartens.
ParlaMint-NO_2008-12-15.ana.ud2230e658	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e661	The centre party has traditionally been very concerned that one should have a shortage in the nursery sector. We know that a lot of private kindergartens have worn out, and that more people have gone bankrupt. If one should be able to achieve the goal of full child care coverage – based on the latest statistics of the State Council, there are well 2,500 children who have applied for the time they themselves have seen as an application criterion, waiting in place – how will the Centre contribute to the non-discrimination of municipal and private kindergartens? For if nothing else is done, more than one person will go doll, and it will take longer before one reaches the goal of full child care coverage. Does the Center Party have any gold cards in their sleeves that they can bring with them that the Government has not brought, to prevent that from happening? When it comes to cash support, it will take even longer to reach the goal of full needs coverage, plus that many people who want a different form of care, those who want to keep and use the cash support, will be forced to go to a different option than they want to.
ParlaMint-NO_2008-12-15.ana.ud2230e668	It was not this government that introduced the funding model for kindergartens. In my opinion, it is a financing model that has expired. I can't see that flaking by offering a minimum requirement of 86, 87 or 88 pst. will resolve that situation. In fact, one with and stress is that it is the minimum funding to be available and not the background to the entire funding scheme, namely that the starting point is that the kindergartens should be financed in relation to costs. It is the responsibility of the municipalities to provide. Otherwise, in the case of cash support, we have not said that we are going to go away from cash support. There will be a big discussion at the national meetings of the individual parties of spring.
ParlaMint-NO_2008-12-15.ana.ud2230e675	This line change might be a little bit of a prayer to get the Center Party back to the center. What I'm wondering about the attitude of the Center Party is: how does it feel to be on the ideological course of Regeringa, both against private kindergartens and against private children's protection institutions, when you stand for the tradition that the Central Party, in spite of everything, stands for volunteering, in relation to the whole structure of what kindergartens and child-rescue institutions have been? How is it for the Central Party to be involved in such an ideological process towards everything they've previously stood for? Wouldn't it have been better to come back to the center and the other center parts? Wouldn't the Center Party feel more at home there?
ParlaMint-NO_2008-12-15.ana.ud2230e684	I don't entirely accept the premise that Trine Skei Grande is making here, that it's a crazy drive towards private kindergartens and private child-rescue institutions. It is not that this government does not appreciate the fact that more than half of the kindergartens are private. We actually need them. If it hadn't been for the private kindergartens, we wouldn't have had the situation that we're almost in the goal of full kindergarten coverage.
ParlaMint-NO_2008-12-15.ana.ud2230e689	A small follow-up on private kindergartens: In what the Government has proposed, to include funding in the framework of municipalities, there is no requirement for municipalities to treat municipal and private kindergartens in a non-discriminatory manner. Now, when we see that a lot of people have stopped building private kindergartens because they feel insecure when it comes to the form of funding, will the Center Party be helping to change what the Government has presented? It creates a great deal of security for many private kindergartens today and will lead to a lot of people not willing to bet on it. I am not reassured that the municipalities will be fully responsible, without the clear criteria laid down by the Government. We would rather not have included funding in the framework until we achieve an equality. It's too early to put her into the framework now, if at all, that's the right way to fund kindergartens in the future.
ParlaMint-NO_2008-12-15.ana.ud2230e694	What is clearly established in the proposal made by the Government is that there should be a framework funding for kindergartens. But when it's said, there's a lot of opportunities to take the lead, so that we ensure an economically equivalent treatment. There we in the Center Party have ambitions to succeed and have a real treatment in Stortinget.
ParlaMint-NO_2008-12-15.ana.ud2230e700	The cord shift is over.
ParlaMint-NO_2008-12-15.ana.ud2230e703	Today Norway lost one of its great children's book writers, Anne-Cath. Vestly. I had actually thought that there could be something you should mention in the cultural debate, but I really want to mention it in the debate in this field. Because she told us that watchmasters could be ladies, that fathers could be at home with children, that children could live in a town and have a good time, and that children were actually in the stomach of their mother before they were born. What she did for equality is actually a lot more than what we're going to do with this budget, no matter how we've twisted and turned on it. Fighting for equality is about some structural things, but it's also a lot about what we do up in our heads to each other, and there Anne-Cath did. Vestly a great job. We can't exactly say if what the government has done in its reign in relation to the equality field. We in the Left are very disappointed that you do not point forward, nor do you point to a seaworthy right of use for fathers and see that it is an important step forward. Now it might not be so important to raise the women's rights in relation to this. It is the rights of fathers towards children that have to be lifted. The government has lifted the kindergartens as one of the big fields they want to bet on. Had they had ambitions similar to what they've accomplished, and where a lot has been good, they might have been able to win there. The problem for the government now is that ideology is in the way of the solution in a lot of areas. The difference between public and private causes us to see that fewer and fewer private buildings are being built away because funding is uncertain. Equality is also becoming more important than quality. The left has put a lot more into recruiting highly qualified staff in kindergartens and in the quality of kindergartens. Media surveys today suggest that quality is no longer a concern, but that there are enough adults in kindergarten to keep children safe. Then we started moving in the wrong direction. Child protection is another field where ideology stands in the way of the good solutions. I'm curious if the skills we have in a lot of areas are capable of surviving this government. I hope so. But there is nothing in the foundation of child protection management that means that we are able to hold on to that competence until we are replaced by government. Another area where the Left has been involved in the field of child protection is after-sales protection for those over 18 years of age. I think it is bad that the Government has not entered into any more binding agreements for post-closure protection. Another point that I would like to mention from the alternative budget of the Left is adoption. It is one of the most beautiful things I can imagine when a family takes responsibility for a child who was not originally theirs. That's why we in the Left want to increase adoption support to 1 G. It is very good that the Council of State has put down a sample in this area, because here we need to devise a new policy to support those who do. But I'm very disappointed that you don't want to increase the financial support for parents who take on this responsibility. Another area in which the Government has been committed is sexual abuse. The fact that you fight so much in that area, but yet you are not willing to commit in terms of the only center we have, which actually helps men who have been exposed to this, I cannot understand. This is an important centre of expertise, and I believe that the Government could at least help give them the status it is to be a national centre of competence in this area. Finally, I think it's funny that we've been able to provide a life-cycle study that shows that there is one group in our society that actually has health development, income development, housing conditions and other things that are much worse than other groups – they're single. For some reason, the development of this group is not important to the Government. I had hoped that with a new government council, we could get a new tone in this area, because there are not too many other groups that could have submitted such a living conditions survey without any political impact afterwards.
ParlaMint-NO_2008-12-15.ana.ud2230e725	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e728	The Committee, including the Left, shares the Government's objectives of full childcare coverage, high quality and low price to ensure that all children are entitled to good and accessible kindergartens. We can expect that with the general uncertainty associated with the financial crisis, some of which also lose their jobs, more families of children will also mark the change in income and economic situation. In its alternative budget, the Left proposes inter alia: to increase the payment of residence in kindergartens. Would it not affect those families of children who have already had the worst advice? And what will the Left do in its alternative scheme to compensate for increased prices in the kindergarten to make sure that no children are hit and not allowed to go to kindergarten because of excessive prices?
ParlaMint-NO_2008-12-15.ana.ud2230e735	I am very pleased that the Workers' Party has chosen to ask this question, because then I am getting a mistake in a previous line change with a employee party representative. Last year, the government did the same thing we do now. In 2007, the government adjusted its prices. That's what we're doing now. We do not increase the payment with this – we adjust the price of the payment. We don't think that's going to lead to so much change. We don't think it'll be a much bigger disaster now than the Workers' Party did last year.
ParlaMint-NO_2008-12-15.ana.ud2230e742	The centre batch has noticed that the opposition batches are very fragmented in view of the length of the parental leave and of the papiermission in particular. The Progress Party does not wish to extend the parental leave now, nor does it want to designate the extension to Dad. Christian People's Party on the other hand wants four new weeks reserved for father, from July 2009. On the right, the Government supports the extension of the parental leave by two new weeks from July 2009 but does not want to extend the father’s part by two weeks of that part of the parents can now freely divide. The left will extend the parental leave by two new weeks from January 2009 and will be based on the father’s independent right to benefit, from July 2009. But I can't see that the Left neither supports nor takes away from the Government's proposal to designate two extra weeks as the father of the total parental leave. Does the Left not see that this can contribute to the faster strengthening of the role of father as a caregiver, and therefore also to gender equality?
ParlaMint-NO_2008-12-15.ana.ud2230e753	Before the representative Trine Skei Grande receives a reply, the President will recall the proposals that may have to be made in the course of the debate. The President requests that the representative do so in his reply.
ParlaMint-NO_2008-12-15.ana.ud2230e756	Yes, I would like to take the opportunity to promote the Left's proposal. As far as the parental leave is concerned, the left has always been in front here. We've been in this house since the morning. What has been left's priority in this budget is to give fathers maritime access rights. As I said in my post, for the left, it's important that there's actually no women's rights in relation to this that you now need to strengthen. It's my father's rights that need to be strengthened. That's why we've prioritised seafaring revenue rights. We're always going to be in front of this, and I think maybe we're the opposition party that's closest to the government in this area.
ParlaMint-NO_2008-12-15.ana.ud2230e763	The representative, Trine Skei Grande, has drawn up the proposals she referred to. No more words have been asked for a line.
ParlaMint-NO_2008-12-15.ana.ud2230e768	I must say that I am surprised at the comments of the Right, which blame the timing of family violence and mental illness. Here you should take a course in equal opportunities, among other things. Left here in place and by the Christian People's Party, because the Christian People's Party comes with a very proper presentation when it says that equality has contributed to a positive social development. So we know that in families where you share your work tasks, it's a more stable relationship. If we're dedicated to strengthening the family, it's about equality in our time. And we see – and the representative of the Progress Party should notice – that families who share maternity leave also have more children. So we, who are busy with family values, are concerned that we are now getting a longer spring quota. It alerts us in this budget to 10 weeks, and in the big message that we just provided, to 14 weeks, plus that we want to do something with the two weeks after birth. It means too many families, and that means we're going to be one of the most equal countries in the world. We're going to be even more equidistant. That's why Norwegian men are among the world's most domestic workers, who spend most of their time with their children. That's a proper development. I'm a little surprised that the Right Party, which is traditionally a quite modern party, is now responsible for most of the abominations of society. It's immature! I am also concerned about strengthening the role of family protection. Now, when we're going to discuss the Children's Act in Stortinget for spring, I'm absolutely convinced that family protection is the answer to many of the challenges we have. We see that an increasing number of children are in families with major conflicts after a divorce. That is why it is right that we in this budget strengthen family protection. I also notice that the representative from the Right calls the State Child Protection a fear-based power structure. The husband of the characteristics of the child protection reform for his or her own government is to be looked for a long time. On the other hand, I agree with the representative Karin S. Woldseth, who points to the need to strengthen municipal child protection. I think when we talk about increased emergency positions, it's a lot about the capacity of municipal child protection. That's why I'm concerned that we can do a job around this in the time to come. We have tabled a number of legislative changes to be addressed, and there will also be some economic consequences in terms of strengthening municipal child protection. There has never been a proposal from a government that involves such strong legislative provisions on the right to follow-up protection. Because now we flip the principle and say that post-protection should be normal. Reasons shall be given if there is no provision for back-up protection. We also want a cooperation agreement with KS. We are increasingly seeing cooperation with the municipality and the state as a challenge. We have also been committed to strengthening the municipal competence programme in this budget. As for the transition to foster homes, our government, like the previous government, has been concerned with strengthening the role of foster homes. But I probably didn't come up with as dramatic and bastful formulations at this point as my predecessor Laila Bavøy did. She said that youth should be no longer in behavioural institutions than six months. I have never said the same and I therefore agree more with the representative Thommessen. But in terms of whether we do this, not according to the best needs of a child, but only based on economic considerations, I would like to remind you that this government has increased the funding for the state child protection by NOK 1 billion. It provides a basis for quality. In addition, the previous government said that the cost growth of child protection was reduced by contributing to a gradual transition from the use of expensive institutional measures to the use of effective family and community-based measures. So these were the wordings of the previous government. I believe that with the measures we have taken now in the protection of state children, we place greater emphasis on quality, because we have better funding than the previous government provided.
ParlaMint-NO_2008-12-15.ana.ud2230e790	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e793	In my post I told about the youth who, because of lack of action, has been placed a whole month at a hotel in Oslo, without the supervision of public child protection. The guy's lawyer pays him a day's money, so he has something to live for. Does the Council of State feel that it is better to place a youth in a hotel rather than using private child-rescue institutions that have both a good offer and a place?
ParlaMint-NO_2008-12-15.ana.ud2230e798	This government focuses on good cooperation, both with private and public institutions. As far as this case is concerned in Oslo, it is not part of the state child protection. The municipality of Oslo is responsible for the fact that this boy is in a hotel, and is therefore not part of state policy. I am concerned that we have good offers, through, among other things. MultifunC, which might have been of interest to many of the kids who have heavy behavioral problems. I also notice that some children are being sent to other parts of the country. I don't think that's the best thing about youth with big behavioral problems. But this situation is the Oslo Municipality, where the Progress Party is in charge. Of course, we want to add to a state child protection policy in cooperation with Oslo, but this is not a result of state policy.
ParlaMint-NO_2008-12-15.ana.ud2230e803	In Haugesund, we have just had a bad example of brutal violence and abuse among young people, where violence has been perpetrated by children who have run away from a child protection institution. We have also seen cases in the past where child protection institutions have had quite major problems with violence. A few questions have been raised a few times as to whether there is no need for a slightly stronger provision for child-rescue institutions on how to deal with that issue. We have proposed this. As far as we understand, and from what we can read from the budget proposal, the government is working on reviewing the rules. But I don't have the impression that you're doing this with a view to giving some more stringent remedies, that is, better tools for child protection institutions to deal with the issue. I also asked myself how this work was based. Could the Council of States tell us when these rules come?
ParlaMint-NO_2008-12-15.ana.ud2230e810	In cooperation with the Ministry of Justice, we are now going through proposals on alternatives for children in prison. We will look at many different measures that can provide a better offer for individuals. What we're sure about is that we don't want to go back to the old prisons, where the kids with the biggest behavioral problems were grouped together in big units. We've seen that in many cases have enhanced negative behavior. But I would like to remind you that child protection has extensive use of coercive paragraphs. With regard to the current situation that we have seen in Haugesund, these young people have been placed without the possibility of a visit. So I want to remind you that we have relatively strong coercive paragraphs in today's child protection too. But the important thing is to build an offer that can give these kids a way out. Then is not lock and always hit the right tool.
ParlaMint-NO_2008-12-15.ana.ud2230e815	A year ago, non-profit organisations operating in the field of child protection met with the Ministry of Supply. They were relatively uplifted after the meeting, because the ministry gave some positive signals, but they don't feel that the practice has been as the signals could indicate. Among other things, there shall be negotiations, dialogue, negotiation, and no matrix shall be created, but one shall demand the quality and budget of the operation, and the pay and working conditions shall be no worse than the current tariff agreements. The Council of State will stop and see what the situation is now, when it comes to negotiating agreements with Bufetat, and one experiences that some of the criteria that a suspected person should be on the basis of, in practice, do not prove to be justified, for example. with regard to the child’s principle of subsidiarity? Will the Council of State ensure that new grips are taken?
ParlaMint-NO_2008-12-15.ana.ud2230e820	We have now had a competition only for the ideal institutions. It's because we don't see, like the representative from the left, that these are two sides of the same thing. We believe that they play a very special role, and are all the closer to the Christian People's Party on these issues. The principle of subsidiarity has been important. In the West, among other things, we have seen that there have been a number of drug institutions. Therefore, it has been important to build up this kind of offer in other parts of the country too, precisely in order to provide young people with stronger opportunities in their local settings. We have also seen a shortage of institutions, including: in the North Region. That's why we wanted to build more institutions of that kind in these areas as well. We are now in the process of dealing with these matters. Some have been granted an extension of the right to apply and will have a deadline of 1 p.m. 14 tomorrow. It is not right for me to give some signals as to which institutions will continue, and which institutions will not continue. We've delegated that to the department. But it's clear that regardless of whether we have our own round, we can't guarantee that all institutions will continue.
ParlaMint-NO_2008-12-15.ana.ud2230e827	The State Council administers a grant scheme for the voluntary organisations of children and young people. There is a happy increase, which is also supported by the Left, but only half of the legislation has been adopted at the same time. This leads to a huge fluctuation in the grant to the voluntary organisations. As a result, the Norwegian Federation of Scouts loses more than DKK 600 000, Norske 4H loses DKK 300 000, KFUK Scouts lose DKK 300 000, and Youth Against Narcotics loses 27.7 pst. of its grant, while the adult-run organisations may have an increase of up to 192,87 pst. Why does the Council of State choose, instead of implementing a system as a whole, to let organisations take the burden of such a huge turn in the grant? I guess the Council of State also knows how difficult it is to run a voluntary Children's and Youth's organisation.
ParlaMint-NO_2008-12-15.ana.ud2230e834	We have stressed the gradual implementation of this legislation in order to provide some predictability for organisations. That is why we have implemented these changes in close cooperation with the Norwegian Children’s and Youth Council, and I am pleased with the way this has been done.
ParlaMint-NO_2008-12-15.ana.ud2230e839	First just a brief comment on this with Oslo. State councils should probably contact the Children's Guard in the rest of the country, because the case in Oslo is not an isolated case. Those kids don't live in hotels. They don't live anywhere. But that's not what I was going to ask the Council of State for. She referred to equality in the country, that we are the most equal country in the world, and that the fathers in Norway spend most of their time with their children – and I want to add: while they live with them. The problem is that you still have normal association when you have not entered into private association agreements. I wonder, can the Council of State think of equality here, too, and give care to both mother and father?
