ParlaMint-NO_2008-04-23.ana.ud1988e22	The representative Ivar Kristiansen will present a proposal for a representative.
ParlaMint-NO_2008-04-23.ana.ud1988e474	I may feel that the questioner here invites me to conclude in advance what we intend to do with the areas outside the Lofoten and the Vesterål, but I do not intend to do so. We will have a thorough process until 2010, and it is obvious that the views of the fishing industry will be carefully assessed and listened to, just as was done when the management plan for the Barents Sea was drawn up, i.e. round 1. Of course, no matter how the conclusions are reached, we must facilitate that the fishing industry and the farming industry are industries from which we can live for generations to come, even after the petroleum resources have ended. The fishing industry does not have the exclusive right to have views on this issue, but it should be listened to.
ParlaMint-NO_2008-04-23.ana.ud1988e479	Then we move on to the next main question.
ParlaMint-NO_2008-04-23.ana.ud1988e482	Recently we had a big debate that dads have to take a greater part in the children's growth. Among other things, it was discussed how much dads should have of the maternity leave. Our new Minister for Children and Gender Equality was strongly involved in the debate. Now, it seems, the Children's Law Committee has also made a recommendation that divorce children should look more at both parents. A lot of divorce kids don't look at their father much. A proposal for a common marriage law for homosexuals and heterophiles is now under discussion in the Grand Duchy. This law allows for assisted fertilization for lesbian couples. It deprives the child of the opportunity to know his father in his upbringing. While the new law is supposed to put an end to discrimination against homosexuals, it is important not to forget the children in this process. They are the ones who are discriminated against if the state deprives them of the right to have a father. Dad's actually more than a sperm cell in a sperm bank. This must be a clear violation of the UN Convention on the Rights of the Child, which states in Article 7(1) that the child ‘as far as possible’ shall have ‘the right to know and care for his or her parents’. And Article 18(1) states that ‘both parents have a common responsibility for the child’s education and development’. It is also the case that a new law will be a violation of the Council of Europe Convention for Adoption. The party of progress is often accused of breaking international conventions in immigration debates. No one has so far shown it clearly, but we are often accused of it. But here you have an obvious breach of international conventions, carried out by the Government.
ParlaMint-NO_2008-04-23.ana.ud1988e493	The President assumes that the question will be addressed to the Minister for Children and Gender Equality.
ParlaMint-NO_2008-04-23.ana.ud1988e496	That's what I was trying to indicate, President.
ParlaMint-NO_2008-04-23.ana.ud1988e502	It is not natural for this to go to the Minister for Fisheries, I mean!
ParlaMint-NO_2008-04-23.ana.ud1988e505	After all, the government has carried out thorough investigations into whether this is in line with international conventions, and the child law consequences of a new marriage law have been reviewed, including the international consequences. So this has been thoroughly investigated. But what is the reality here is that many children are born with lesbian parents today, and I expect that Ulf Erik Knudsen and many of his colleagues have visited the Storing of children who have lesbian parents. Many of these children attend clinics in Denmark and other countries. If we give lesbians the opportunity to be inseminated in Norway, the child will have the opportunity to contact their biological father when he or she reaches the age of 18, and that is why getting this into the Norwegian law will strengthen the rights of these children compared to what is happening today.
ParlaMint-NO_2008-04-23.ana.ud1988e510	I have the pleasure of having a three-month-old son at home. He might sit and watch this broadcast on TV with his mother--he probably doesn't understand much of it. Of course, I stress that I believe that homosexuals are certainly good caregivers, but what I think is important to take into account is that children should have the right to know their father and also grow up in contact with father, not as the council says, meet Dad only when you are 18. And it should ring a bell, or rather an alarm bell, at the Council of State when we are breaking international conventions on children's rights, at least according to very many of those who have seen these conventions. The Progress Party wants an effective child perspective, with children's rights at the centre of our laws rather than the wishes and demands of adults. My question to the Council of State is: is it not wrong to make a wish to have children a right to have children?
ParlaMint-NO_2008-04-23.ana.ud1988e517	I've had the pleasure of meeting a very speaking 18-year-old. She's a student counsellor at the Nesodden high school, Sofie's name is her. And what she's saying, who's grown up with two lesbian mothers, is, stop calling your own prejudices of concern to me! She has grown up with two lesbian mothers, she can refer to research that shows that these children are not suffering from other children. So we have no knowledge that these children are hurting. On the contrary, this child is very wanted, and we have no reason to say that lesbian mothers are somewhat worse than you and me.
ParlaMint-NO_2008-04-23.ana.ud1988e522	There will be follow-up questions - first Karin S. Woldseth.
ParlaMint-NO_2008-04-23.ana.ud1988e525	In the hearing on the marriage law on Monday, one of the hearing bodies claimed that a sperm cell is no father. I guess we all agree on that. But many of us will probably claim that the source of the sperm is father. Does the Council support the statement that biological origin is not a father? And in that case, can the Council of State assure us that Norway is not in the process of breaking Article 7 of the Convention on the Rights of the Child to Know Their Parents, especially given that it is said in the Proposition that it is entirely right for lesbians to travel to Denmark, despite knowing that in Denmark the donor is unknown?
ParlaMint-NO_2008-04-23.ana.ud1988e530	It is not prohibited for lesbian couples to travel to Denmark, but we believe that we will get this into better forms, more controlled forms, if we allow this in Norway as well. As regards the question of fatherhood, it is also the case in Norwegian law that biological father does not automatically receive the right to fathership. When adopted, other than the biological father will have the role of father. We also have rules in Norway today that solitude can adopt, and I think it is relatively demanding in principle to say that a lesbian mother is allowed to adopt, but at the moment she makes a partnership or marriage, which she will now have the opportunity, yes, she is automatically unsuitable. I think that is basically very demanding to argue for. And so there is no basis for what is the claim of the Progress Party that this is contrary to international conventions. We have had a very thorough review of this.
ParlaMint-NO_2008-04-23.ana.ud1988e535	May-Helen Molvær Grimstad - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e538	We are aware that there are gay and lesbians who have children in Norway today, and that many of these children are not good enough legal certainty. It is important to ensure that all children grow up well and safely, no matter how they grow up decorate their lives. But what's eye-catching is that the government, when it makes a proposal for a new marriage law, says that it doesn't matter what framework conditions we create in the future. When we on the kindergarten front are concerned that more men are going into kindergarten, and on the school front we say that we want more male teachers into school, it's not because the children don't have contact with men at leisure, but because women and men are different, and it's important that they get different role models, considering that one can take a possibility from many children. We are concerned about the gender quota debate, but in society we are not going to have any quota in relation to facilitating the growth of children for men and women. I think it's alarming that the government doesn't see the significance of a man for the child's growth.
ParlaMint-NO_2008-04-23.ana.ud1988e543	We have no knowledge of the claims of lesbian mothers that the representative here expresses. Homofile has been met with many prejudices over many years, and both my and other parties in this room have changed their vision. We've gradually gone in the direction of saying that these are people like you and me, who have as good care as others. There is no reason to say that children who have grown up with two mothers or two fathers have had a worse form of care than others. These are parents who are very motivated for parents, and they do an excellent job. I am sure that Molvær Grimstad has had the opportunity to meet some of these children and has seen the care these children have. I believe that this is an area of society where we have gradually changed our mind, and the Christian People's Party has also changed its mind on some of these questions. I'm sure in a few years we'll look at this as completely natural. I am also sure that children who are growing up today will hear about a completely different view of this than that representative and I got when we went to school.
ParlaMint-NO_2008-04-23.ana.ud1988e548	Let's go to the last main question.
ParlaMint-NO_2008-04-23.ana.ud1988e552	I have a question for the Minister for Children and Gender Equality. For almost three years, this government has been sitting, and we have had quite a lot of controversy about child protection. We see child protection in our country in crisis. You have to do a number of things at the same time: you have to save money. You have to bring an organization into the fold. You have to take ideological action to ensure that we have a one-sided state child protection in the future. The right has repeatedly pointed out to various government councils in the Ministry of Children and Gender Equality that this is the wrong course. Now we see the results. We see that the queues are increasing, is progressive. We see that more children have to wait longer for the measures they need, and we also see many examples of complaints from municipalities that the measures they receive are not well adapted and that there are too many distances between municipalities and where the children live. In short, we see a government that gives children a very low priority in its approach to child protection policy. It is striking for a small group that we must rightly be able to say is really among the weakest. We're talking about a group of maybe 1,000 to 1,500 children. So you have to pay the bill for a government that prioritises ideology in the first place. It's obvious that the government thinks it's most important to get away from the private places. Second, the economy is given priority, and then most graciously in third place, the children seem to have a place in the queue. I really have to ask the Council of State whether this is a policy for the weakest.
ParlaMint-NO_2008-04-23.ana.ud1988e563	We have a good child protection in Norway, a child protection that can still be even better. In general, we follow up on what the previous government started, with a child protection reform that put much more emphasis on actions in the local environment and transition to foster parents. What emerged from the Riksrevision report was that we have achieved the objectives to a large extent, but that when the reform was adopted in 2004 - it was a very good reform - it was under-budgeted. It had not been followed up with enough money. That is why this government has spent a lot of money on increasing the funding for child protection, to give children a much better offer than was possible with the budgetary framework provided by the previous government. We are also committed to improving quality, and therefore we have placed far more emphasis on the schooling of foster parents. We have received good feedback that the possibility that foster parents now have to increase their skills has been important. As far as the question of whether we prioritise ideology over the best of children is concerned, there is nothing in the state guidelines that warrants it. If only private institutions exist in a state or region, they shall be used. But what has been important to us is that the money we spend on child protection should not go in private pockets to the extent that we have seen cases of earlier. We want a turn towards more foster homes, towards more state and non-profit institutions, but there is no ban in today's legislation. The use of private and commercial institutions is also widely addressed. I find it interesting to hear that the representative of the Right looked to the degrees argue for commercial institutions, when in private school policy, for example. considers that it should be prohibited. I support a turn against several NPISHs and public institutions, but I want to use private institutions as a supplement.
ParlaMint-NO_2008-04-23.ana.ud1988e572	The point is that the Council of State and the Government are running a race against the private institutions, regardless of the fact that there is a good alternative. I'm standing here with the letter of disposal for the regions. It says, among other things.\t\t You can change the ‘In order to avoid, as far as possible, the purchase of private spaces, regions shall in such cases always examine the availability of vacant spaces in other neighbouring regions.’;» It's clear that it means that you'd better move a child. You might want to travel a lot of states away, far from home, rather than choose a private institution in the neighbourhood. We also know that in the case of foster homes, for which there is a great lack, you do not go into the private schemes. It's not about any cowboys getting overpaid. We've cleaned it up, and the state has every opportunity to keep it at a good distance. The state is the only buyer, and it should just be lacking if the state can't get good solutions. In a region south you interpret it briefly and well, and here it says, in a very separate section: ‘The purchase of private foster homes shall not be made.’
ParlaMint-NO_2008-04-23.ana.ud1988e587	The 2005 Children’s, Youth and Family Directorate, which was under the previous government, issued directives to reduce the cost growth of child protection by contributing to a gradual transition from the use of expensive institutional measures to the use of effective family and community-based measures. It's the same policy we're following now. With regard to the use of private foster homes, there are very few. It's 200 today, while we have over 7 000 in public. If there are private foster homes that are good at receiving children and young people, we will use them. There are no ideological constraints in our legislation on this. With regard to the use of private institutions in the region referred to, contracts with private foster homes have been concluded in that region. So the claims made here by the representative Thommess are not in line with the guidelines to which the agency is subject.
ParlaMint-NO_2008-04-23.ana.ud1988e596	There will be follow-up questions--first Kari Lise Holmberg.
ParlaMint-NO_2008-04-23.ana.ud1988e599	Government councils are aware that in the municipality of Skien, private institutions have free families, but the Barne Youth and Family Council refuse to use them. Childcare has several examples of issues where children have to wait too long because the state agency is unable to provide foster homes. This is the status. This is reality. And that's because Bufetat refuses child protection to use private measures. In my written question about this to the Council of State it became black from the Council of State that state action should come first, then one should look at the economy, and then, in the third place, as Olemic Thommessen said, one should think about the best of the child. So, according to the Council of State, the child's best is referred to third place. Does the Council really believe that this is in line with the Child Protection Act? Isn't it the child's best to come first?
ParlaMint-NO_2008-04-23.ana.ud1988e606	It is quite right, as the representative Holmberg says, that the best of the child will come first, and so I have not written it in my reply letter to Stortinget that the best of the child comes in third place. Of course, the child law applies. With regard to the use of institutions and foster homes, we have said that state action should be given priority. So we want to use, and we also use, many non-profit organizations, and then we want to give priority to commercial measures at the bottom, because we've seen that many of these have taken huge profits. But we use a lot of private institutions. Half of the institutions we use are private. So to say that we put ideology in front of the child's best here, that doesn't lead to correctness.
ParlaMint-NO_2008-04-23.ana.ud1988e613	Karin S. Woldseth - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e616	Those of us who have been involved in child protection policy in Norway for several decades will probably remember that in the mid-1990s the municipal institutions were chosen to be built up because they wanted to invest in private services. Now, ten years later, signals were sent out - as was heard by the representative Thommess clearly and clearly - that, as far as possible and preferably, private child protection institutions should not be used. Does the Council of State think that this is a way of providing predictable frameworks for those who run private child protection institutions, and, not least, the Council of State believes - as we heard - that these are risky children? Does the Council of State think that this is a good level to put on, that rather than offering these children a private offer, you choose to let them wait in their homes where they do not get care at all?
ParlaMint-NO_2008-04-23.ana.ud1988e621	In recent years, we have focused on strict quality criteria for the recognition of institutions, so this is a significant improvement from the 1990s. We have also had a transition to more home-based interventions and to measures in foster homes. So it's the child's best that's been crucial in that revolution, because we've seen that many of the children who grew up in institutions have not worked out as well in society as we've wanted. But we've recently received a lot of input from people who've worked in institutions, that maybe we haven't given them enough attention. Some children will be part of their childhood and youth in institutions, and in particular this may be relevant to many young people. But we've now built some good institutions. We have laid down strict quality criteria, and we have, among other things, See that in North Norway, which had a few institutions before, they've got more institutions, so fewer need to move far. We put the best of children first, and therefore we have ensured the quality of institutions to a much greater extent than before.
ParlaMint-NO_2008-04-23.ana.ud1988e630	May-Helen Molvær Grimstad - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e634	However, a review carried out by the Christian People's Party shows that an increasing number of drug treatment, child protection and rehabilitation sites run by non-profit organisations are being offered, despite the fact that neighbouring countries Sweden and Denmark make considerable use of the space provided by the EU rules for exemption from these types of services. The supply policy threatens the supply of voluntary organisations, and I hope that the Council of State listens to many of these organisations. Because do we want to miss the lack? We want children or older people to experience that their home is going bankrupt, even if they live in an institution. Therefore, the question of whether the Council of State will be involved and look at the proposal put forward by the Christian People's Party in the UK that voluntary organisations providing health and care services should be exempted from the supply requirement, for something must be done if we still want to have a shortage within this range.
ParlaMint-NO_2008-04-23.ana.ud1988e639	The Christian People's Party has, in many respects, been occupied by the non-profit organisations and the institutions they operate. That is why we are also giving priority to these in front of the commercial private institutions. But I think it's necessary, as the representative here emphasizes, to go up the line between non-profit and commercial institutions and organizations, because we know that many of the collectives, for example. has an ideal purpose and cannot be described as having commercial interests. Many family-run institutions that are smaller also have an ideal character. So the answer to the representative's question is yes, we want to look at this legislation, and we should also look at the cross-border rise between non-profit organisations and commercial actors, whether that limit is set in the right place today.
ParlaMint-NO_2008-04-23.ana.ud1988e644	Step Skei Grande - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e647	The Council of State will obviously go in and look at large parts of this, and then I want to ask about another aspect of the same and whether the Council of State also wants to look at it, because we now see a great twist from institutional places to foster homes, which are certainly in many cases wise arrangements, but which may not be a fanatical choice, because institutions can also work well for many children. We've seen that we're starting to make a lot of demands on the institutions, but we have very poor supervision of foster homes. We see that we have been very good at learning from all the errors that have occurred in the institutions, while foster homes are almost asking their knees to have supervisory arrangements. It's just those foster homes that are very active, that actually get it. Will the Council of State do anything about it?
ParlaMint-NO_2008-04-23.ana.ud1988e654	In the case of home supervisors, these figures have not been good enough. We have taken action to ensure that we now have more supervisors than before, but the last numbers I have been given an overview of show that 10 pst. by foster homes today do not have a supervisor. Of course, we must look at this very seriously, and we must put in place a system of supervisors for those who are entitled to do so. But what is also important, and which we focus on in child protection, is that the talks between the supervisor and the child should be good. That is why we have issued a guide to give each supervisor the opportunity for a good dialogue with the individual child. So, in addition to putting in place more supervisors, we focus on strengthening the competence of the individual supervisor.
ParlaMint-NO_2008-04-23.ana.ud1988e661	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2008-04-23.ana.ud1988e666	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. - It is deemed to have been adopted. The changes were as follows: Questions 5 and 6 from the representatives of Per Roar Bredvold and Elisabeth Aspaker, respectively, to the Minister for Defence, are postponed to the next Question Time when the Council of State has left. Question 7, from the representative Martin Engeset to the Minister for the Environment and Development, is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2008-04-23.ana.ud1988e680	My question to the Minister of Finance is as follows: ‘Credit supervision concentrates, according to the media, its studies and follow-up to the small players in the financial market. This suggests that operators in the market are treated differently according to their size, with the consequences for the competitive situation. Is there a situation the Council of State wants or will further consider?’
ParlaMint-NO_2008-04-23.ana.ud1988e694	Under the Credit Supervision Act, credit supervision shall be exercised over those institutions that are subject to supervision. The Ministry of Finance is the overall authority of the credit supervision and provides overall leadership for the credit supervision priorities in the governance dialogue. The Ministry emphasises that, within these overall frameworks, the credit supervision has a separate responsibility for prioritising its supervisory resources. The supervisory work of the CRA has been explained in the budgets and in the annual communications to the Stortinget, at the latest in the 2007 CRA, which was submitted last Friday, with the annual report of the CRA being accompanied as an out-of-date annex. In the field of finance, a significant part of the supervisory work is directed towards the largest financial institutions, where any economic problems may have the greatest impact on financial stability, and there are examples of large players receiving critical comments from the credit supervision. In the securities field, new securities trading laws entered into force on 1 November last year, such as: means that investment advisors must have a concession as investment firms. The law also contains a number of concrete investor protection rules that advisers have to deal with. More than 60 new entities have been granted a concession as investment firms and the supervision of those actors is a priority in the Credit Supervision business plan for 2008. The credit supervision has informed that, in the context of the treatment of the concession applications, it includes, inter alia: has been revealed to have poor product knowledge of a number of managers and employees of the new undertakings, as well as lack of the experience and understanding of standards which one finds in the more established actors. There have been examples of sales of complex products directly to ordinary savings customers, partly with disproportionately high commissions and with a large element of debt financing. Accordingly, the credit supervision announced a withdrawal of the concession in one case and that entity chose to surrender its concession as an investment firm. That entity was the size of two or three in that part of the savings market. We have also been informed that the credit supervision has collected material from those investment firms that provide investment advice to the most significant extent to ordinary savings customers. Preliminary studies have revealed aspects to which the credit supervision needs to consider. The credit supervision will also monitor the activities of the major banks in these areas.
ParlaMint-NO_2008-04-23.ana.ud1988e709	I perceive the Council of State's response there to the fact that the top leaders are placed by the Ministry of Finance. It's my opinion that going on, for example. only small and newly established companies would be a parent company. Now I hear the Council of State say that one will also examine the larger banks. For what is behind this is, as the Council of State points out, the consideration of savers, investors, etc. - the usual man in the street. It's perfectly obvious that it's the big banks that have the volume and the amount of customers. I find it striking, therefore, that the newspapers also market this as a strong offensive against some segments of the operators. And I wish that the Council of State would be a little stronger and say that she also thinks that the large ones are included as much as the small ones in this.
ParlaMint-NO_2008-04-23.ana.ud1988e716	What I can say very clearly is that the premise for the question that the fleet has asked is not correct, and it is clear from my answer. It's not like you pick out the little ones and focus on them. It is, as explained in the answer, so that in the financial field, of course, the big players who are being closely followed are the ones that the credit supervision has reported. But because we have made changes to the Securities Trading Act, so that there are now many more people who are going to have a concession after that, and because we see that there are many people who don't understand what kind of commitments they now have, there has to be an extra effort towards them in the securities trade field. But it has to be control of both large and small. It is not the size that is the criterion for selection for control.
ParlaMint-NO_2008-04-23.ana.ud1988e721	The fact that the Council of State can really guarantee that what is produced in the media is that we are looking at the small and the new players more, is not really right. You want to spend at least the same amount of resources on others too, so -- and that's one of the points of this -- all of the clients and investors, wherever they go, can feel sure that the credit supervision is doing the job they're going to do, and not being led by a public discussion and debate about these savings products, but keeping their heads cold in this situation.
ParlaMint-NO_2008-04-23.ana.ud1988e726	I must say I am surprised that the representative fleet is taking a stand on how the credit supervision prioritises, as far as he does on this follow-up issue. It's not the size that matters. But for the new ones, who have not had legislation and follow-up from the Credit Authority in the past, it is of course that there is a need to clarify what the legislation is, and how things should be followed up, to make sure that you keep a high standard. Therefore, of course, I cannot say how the resources of the credit supervision are distributed between large and small institutions. What I can say is that you have to go to those institutions where you fear that the standard doesn't hold up, and then you have to follow up on it. Then it's no wonder that you have to focus more on new than on established institutions that you know from before, and that you're already aware of what kind of legislation you're going to deal with.
ParlaMint-NO_2008-04-23.ana.ud1988e734	‘In December 2007, the Government decided to drop the storage of CO2 from the test cleaning plant in Mongstad because it was too expensive. In retrospect, proposals for a much lower cost solution have been made. The proposal concerns the use of existing pipelines from the Trollfield for the transport and storage of CO2 in the Johansen formation. What is the Council of State’s assessment of such a solution to get the ‘monthly landing project’ back on track and start transporting and storing from the test facility as of 2011?’
ParlaMint-NO_2008-04-23.ana.ud1988e747	The government has set ambitious targets for CO2 management. Norwegian efforts in the field of CO2 capture and storage are one of several contributions to addressing climate challenges. The agreement on CO2 management in Mongstad is an important element in the development of forward-looking technologies for the capture and storage of CO2. I just came from a meeting in Rome, where there has been a dialogue between energy producers and consumers. I believe that from the Norwegian side, we should be pleased with the international developments in relation to the fact that the acceptance of CCS, CO2 management, is essential to help solve the climate challenges. Under the implementation agreement for CO2 management in Mongstad from October 2006, the State is responsible for the establishment of a transport and disposal solution for CO2 from the test centre. Several alternative solutions have been considered, including: temporary transport of CO2 to Snow White or Sleipner by ship, delayed time for full scale pipeline transport and postponement of transport solution from the test centre to infrastructure related to full scale facilities on Mongstad and Kårstø are in place. Based on this work, it became known before Christmas last year that the total cost of a temporary transport and storage solution would be NOK 3 billion. In this context, the government decided to close the investigation related to a temporary ship transport solution from the test centre. Gassnova and Gassco are now in the process of working out a permanent transport and storage solution for CO2 from the full-scale plants on Mongstad and Kårstø and to assess different solutions for connecting CO2 from the test centre to the permanent CO2 transport system. This work also includes assessments related to the use of existing infrastructure for CO2 transport from Mongstad, e.g. possible use of the oil pipelines from the Trollfield. Finally, I would like to point out that an important ambition in the Government's commitment to the capture and storage of CO2 is to contribute to the commercialisation of this technology, so that CO2 management can be widely applied. It is this ‘monthly landing’. We need to bring down the cost of CO2 management so low that it also becomes natural for countries like China and India to use it. Work is under way both with the test facility at Mongstad and with the full-scale facilities at Kårstø and Mongstad. In addition to contributing to the reduction of CO2 emissions, projects will contribute important knowledge and experience in disseminating the use of CO2 management technologies.
ParlaMint-NO_2008-04-23.ana.ud1988e811	Thank you to the Council of State for your answer. Yes, it is important to facilitate technology development in the handling and storage of CO2 - it is the Christian People's Party that agrees with the Government - and therefore it would really be very good to be able to use this Troll tube on the test facility as well. What we could have done now is, first of all, that we could have gained experience in storing in the Johansen formation. We need for the second more research in relation to CO2 and correlation, and this pipe is already there, so it would give us minimal costs compared to building a whole new pipe. The challenge is: why does the Government not choose to use this on the test facility, and not only in relation to the assessment of full-scale sewage treatment plants, for which the Council of State has just addressed it?
ParlaMint-NO_2008-04-23.ana.ud1988e826	These are very large, technically demanding and costly projects. In the case of Johansen formation, it is for storage. However, a significant effort must be made to ensure that this is a maximum of a good option. Just to underline the dimensions of this: a lot of the international debate is about whether it is safe to store. We have experiences from Sleipner, where we believe that we can say with our hands on the heart that it is safe. Now we're going to get experience from Snow White. This is going to be important in international work. We have to be absolutely sure that we also handle the storage bit in such a way that there can never be any doubt about safety. That's why this is demanding, and we need to know what we're doing.
ParlaMint-NO_2008-04-23.ana.ud1988e833	I thank you for your answer. Yes, technology development is demanding, but there is also the safety aspect. By using the pipeline that already exists, we have the opportunity to just show the world that this is certain, that through concrete action we will see that we have control of this, and that this should be a future solution that we in the world community will work against. The press release sent out on 29 February states: ‘The objective of TCM’, test centre for CO2 capture, ‘is to test and demonstrate CO2 capture technologies, thereby reducing the costs and risks of large-scale capture of CO2’.» My challenge is, can't we, to show the world that this is safe technology, take one step that we're using the existing Troll line?
ParlaMint-NO_2008-04-23.ana.ud1988e850	As I explained in my main response, Gassco and Gassnova also assess the possibility of using existing infrastructure to transport CO2 from Mongstad, for example. the oil pipelines from the Troll field. So this is under work. This is studied together with other ways to do it. What is crucial to me is that we are able to deal with this in such a way that we not only ensure the necessary technological development and security, but also do so in an economically sound way, so that we are not accused of spending money that could have been spent more wisely, for temporary solutions that have limited effect. I'm now busy putting in place a full-scale solution that's maximum good.
ParlaMint-NO_2008-04-23.ana.ud1988e865	‘The authorities introduced a separate price range for power in Central Norway on 20 November 2006. Then the then Minister of Energy, Enoxen, and other red-green politicians, promised that this would only give marginal price estimates, limited to some ears. This promise appears to be inconclusive when TV 2 again reports large price differences on 16 April. There are still many years until some solutions are in place in the region. Does the Council of State think that price differences are marginal, and what will the Government do to limit the extra cost of Central Norway?’
ParlaMint-NO_2008-04-23.ana.ud1988e872	The prices of power in central Norway and in northern Norway have been broadly coincident since the beginning of the new year. Sometimes prices have been slightly higher in central Norway than in northern Norway, but these are not significant differences. The greatest difference between Mid Norway and North Norway occurred in week 9, as the difference between the prices in the range was 3.6 øre/kWh on a weekly average. This must be said to be a relatively small price difference. However, the price in South Norway has often been lower than in the northern part of the country. This is related to limited transmission capacity between South Norway and the rest of the Nordic power market. In addition, the resource situation has been very good, with a high level of magazine filling and a high level of snow in the mountains. Thus, the supply of power has been high in relation to consumption. This has pushed the price down in South Norway, so that it has been temporarily significantly lower than in the rest of the market, including both Middle Norway and North Norway. A contributing cause of the limited capacity of South Norway has been technical problems with transmission connections. Statnet expects the price difference between South Norway and other price ranges to decrease when the exchange capacity of the rest of the market is back to normal. The situation is expected to change significantly in the summer. Furthermore, grid reinforcements from central Norway to south Norway will be decisive for price differences between the national parts. The plans for the Ørskog-Fardal power line will be very important in this context. The establishment of central Norway as a separate price range was one of several measures to improve power availability and security of supply in the area. The length of maintenance of the price range in Central Norway is an assessment Statnett has to do, based on the concrete physical conditions. Since central Norway is a structural deficit area, it is important that there is a signal of continued saving of water in the region. This is signalled through the price range, and it is important that actors are included in their planning.
ParlaMint-NO_2008-04-23.ana.ud1988e883	Part of my question went on what the government will do to limit the extra cost for Middle Norway. I felt that the Council of State did not touch at all. The management of Stryn Energi estimates that their customers in Central Norway will receive an extra charge of NOK 2 250 in 2008, as a result of higher power prices compared to South Norway. On average, the electricity price in 2007 was 3 ø/kWh. There is not much to be heard, but in relation to the Government's promises before the price range was introduced, this is a huge curse on the part of the Government. Arild Stokkan-Grande from the Workers' Party believed that a price level of 0,1 øre/kWh was sufficient to achieve power. Ola Borten Moe from the Senterpartiet believed that 1 ear/kWh was sufficient. So now we see that the average in 2007 was 3 centimeters/kWh - probably the triple in 2008. Does the Government feel that the government has fulfilled its promise that the electricity would not cost much more in central Norway, despite its own price range?
ParlaMint-NO_2008-04-23.ana.ud1988e892	Nothing would please me more than to come to the day when we can cancel a separate price range in Middle Norway. We are systematically working on getting into a situation where it is possible. Then I would like to stress that what is especially about the power prices in Norway these days is that we have a very low price in South Norway. It's actually South Norway that is the exception. The reason why we have a particularly low price in this part of the country is, simply told, that there is a lot of snow, a lot of resources, and that we have trouble with several of the wires out of South Norway. We are talking about the NordNed cable, which we now expect to make available to the market the second week in May. We're talking about problems related to the power connection over the Oslofjorden. We have also had challenges, and have challenges, related to the Skagerrak 3 cable.
ParlaMint-NO_2008-04-23.ana.ud1988e899	I note that the Council of State indirectly confirms that her own party traps, both red and green, have not understood how the power market works. They promised that a separate price range would give a maximum price increase of 1 centimeter/kWh, because that was all that was needed to stimulate the flow to go into Middle Norway instead of to South Norway or out of the country. I also reported that Ola Borten Moe said to the Address Paper on 23 May 2006 that ‘the inhabitants of Central Norway should not be penalised for poor planning at a central level’. There's something the Council of State doesn't want to go into at all. Because when the management of Stryn Energie - this also applies to many other energy companies - estimates that Mid-Norway will get an extra charge of more than NOK 2000 per year. household as a result of government policy, it is quite remarkable that the Council of State does not even come up with what she will do to fulfill her own promises that you will not have to pay extra for poor central planning.
ParlaMint-NO_2008-04-23.ana.ud1988e906	I cannot accept the figures that the Solvik-Olsen representative now refers to. My starting point is that we're going to have a situation where we can cancel the price range in Middle Norway. The government took over a demanding power situation in central Norway. We are now systematically working on it, both in terms of increased transmission capacity and in terms of increased production. The government has not stated a goal that this should be a separate price range, and is systematically working to get rid of it.
ParlaMint-NO_2008-04-23.ana.ud1988e915	I will ask the Minister for Oil and Energy the following questions: ‘The total hydropower potential in Norway is estimated to be 205,3 TWh by NVE. Of these, 119.7 are built-in TWh and 44.2 TWh are protected against hydropower expansion. The remaining reserve of hydropower is calculated for around 39 TWh, which is a significant power potential. At a time when the focus on environmentally friendly power generation is high, Norway has a responsibility to assess its unused power reserve for environmentally friendly hydropower generation. How does the Government view the potential to expand the remaining hydropower potential in Norway?’
