ParlaMint-NO_2008-04-09.ana.ud1393e22	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2008-04-09.ana.ud1393e523	Governments can answer the question.
ParlaMint-NO_2008-04-09.ana.ud1393e529	Yeah, I'll get to that. It's true that what we've done now has a cost. 100 billion is going to sound huge, but it's going to be distributed over 40 years. And it's not that this is going to be an extra cost compared to today's pension, but it's going to be a less savings compared to the pension reform that's in there. In sum, this means freeing funds for distribution to other welfare schemes, but not least, there is now a broad consensus about a pension system that allows many workers who do not currently earn one penny more of a job to do so, and we need that labour force to create a good welfare society.
ParlaMint-NO_2008-04-09.ana.ud1393e534	Robert Eriksson - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e537	I want to go back to the very question of Sponheim. Because, in the context of the wage settlement and settlement, or the agreement between the parties and the country, all trade unions will receive an additional pension of 0.314 pst. when they're 62 years old. Does the Minister for Finance think that it is fair and solidarity that all trade unions should receive an additional pension? If you earn 300,000 kroner, you get an additional pension only you are trade-unioned at 38 000 kroner a year, while those who are unorganised have to pay the bill. Is it fair for us to have two performance rules in the new pension scheme?
ParlaMint-NO_2008-04-09.ana.ud1393e542	The fundamental question here is whether it is reasonable to have an AFP scheme that is not only paid by the social partners, i.e. employers and employees, but where the State also contributes. Now I would like to stress once again that all those who have rights in popular security are the greatest winners of the settlement that has been concluded. That's because this change or phase-in of the lifestyle adjustment, which is a little bit softer now than it was before, benefits everyone. That we then have an arrangement with the AFP, I believe we are about whether we are served with a working life that is organized, and the answer to that is in my opinion, in the opinion of the government and in the opinion of the SV that we are. It's about a lot of things. It's about how we organize wage-fixing, it's about how we conduct negotiations, it's about the benefits we as a society have of a well-organised working life.
ParlaMint-NO_2008-04-09.ana.ud1393e549	Hans Olav Syversen - to follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e552	It was about taboos in the main question. Someone might say that the government's contribution to the AFP case was also a contribution to hold some on the taboos a little longer, but I shouldn't say anything more about that. I thought it was interesting that the Minister of Finance opened up some dilemmas that the difference between those who get rid of the AFP, and those who can't, can become so big that it can rock the upsurge of and legitimacy of the entire pension system. And it's not so strange if you've been working for 40 years without the possibility of a collective agreement and you see that you lose tens of thousands of dollars by not having had it, and you don't have the opportunity to have an AFP, and you have to pay through the tax bill for those who actually know it. So my question to the finance minister is, when she sees this dilemma, how will the government follow up more closely to see if this also contributes to weakening the overall legitimacy of the pension system?
ParlaMint-NO_2008-04-09.ana.ud1393e559	The representative of the Seven draws me way too far. I think it must be reasonable to be in a discussion and allow myself to do some reflections around it. But I've been very, very clear that I think we're served with a well-organised working life, and in sum, we're served with an AFP system that's not only financed by the social partners, but where the state also makes its contribution. I think it's legitimate that we have that discussion, that questions are asked about it. What I want to encourage people is to work for an increasingly organized working life, make sure you're part of a trade union and have a collective agreement where you work. We have a great deal of advantages in terms of employment rights, in terms of social security, in terms of the contagion effects that it has in terms of the link between employee rights and the follow-up of VAT and taxes and all of these things. All of this is part of the fissure layer that the Norwegian welfare state is.
ParlaMint-NO_2008-04-09.ana.ud1393e566	That's going to be another main question.
ParlaMint-NO_2008-04-09.ana.ud1393e569	My question goes to the Minister of Finance. I have recorded that at the beginning of this great period, the Minister of Finance was one of those who really talked about doing something special to combat poverty in Norway during this period. I absolutely believe that the Minister of Finance was honest that she had a sincere desire for this. But then, over the period, the Minister of Finance has said that combating poverty in Norway and eradicating poverty now is clearly not something to be done, but that it should nevertheless be important as an objective. It is not very many weeks since we discussed in this Chamber a case where the Progress Party made a number of proposals to facilitate the situation of many victims of debt in Norway and improve the position of taxpayers in relation to cases against the Equations Offices, how many have major problems and also come into a debt trap. We know that many minimum pensioners today have living conditions below what the EU says is the poverty line. We have about 300,000 minimum-age pensioners and young people who are struggling to pay the bill, cope with high living costs, etc. Overall, the Progress Party in this Chamber has promoted a number of proposals, including: at the latest in the autumn to increase the minimum pension to 2 G. But all the proposals we have made have been consistently put to the vote. Now we are approaching the last state budget that this government is currently sitting to present, and I am curious to know: when are you going to make concrete proposals and follow up concrete promises to combat poverty? Is the Minister of Finance satisfied with the job so far done, and what can she point out that has been done to a significant extent to combat poverty in Norway and meet many poor people?
ParlaMint-NO_2008-04-09.ana.ud1393e584	I am, if possible, even more concerned with combating differences and poverty now than I was a few years ago. Not least when I see top executives in business now allow themselves to leave the big community, not listen to anyone and contribute to their own additions and schemes giving them salary increases and income increases that others can only dream of, I am intensely concerned about stressing the value we have in Norwegian society, how important it is that we have a society with small differences between people. When it comes to combating poverty, we do it with a lot of tools. The main instrument is to ensure that as much as possible the opportunity to try out in the labour market. Fortunately, we have historically low unemployment that gives it the opportunity, but it will still be so that many people have no chance of participating, no matter how you organise for a job participation. This is the important job that the Minister of Labour and Inclusion is now doing to strengthen the rights of social assistance clients in terms of social assistance - it is on the initiative of the Civil Ombudsman - and it is about how we can make good social security arrangements. The previous social security settlement was a very good social security settlement. In addition, you should continue working with both the minimum pension and young people. Of course, this is also the case for several other support schemes, for example. housing support schemes and many other things that are important for those who are struggling with poor advice. I am very pleased that the tax rate has been one of the public authorities that has listened to people who have come into tax debt because they were unable to deal with a tax charge that at the end of the day might have been quite small, and where all the window envelopes were fined and they left to answer the phone. Now the tax rate is running out of business, calling people, getting into agreements. That makes it possible to prevent the kind of crises that we know many people can get into.
ParlaMint-NO_2008-04-09.ana.ud1393e593	In some areas, as the Minister points out, something has been tried. But these are the big grips I'm asking for, because the big grips are missing. We know that those who work specifically for poverty, for example. Here in the city, in Oslo, the Poor House and others, there is an even greater influx of people now than you did two and a half years ago, when this government joined. It was mentioned by the Minister that the social security system was good. Well, that's it. But the problem is the many years of lag, where one hangs again, and there are great challenges, especially in relation to the group of minimum-age pensioners and young disabled people, who have little to cope with in one of the world's richest and even to the most expensive countries to live in. It could be a simple grip, for example. to increase the minimum pension proposed by the Party to the Progress Party to 2 G in order to facilitate the day-to-day functioning of this Group. It would cost something about NOK 2.5 billion. I have registered that the minister disagrees with such a proposal...
ParlaMint-NO_2008-04-09.ana.ud1393e601	Now the Council of State has to answer.
ParlaMint-NO_2008-04-09.ana.ud1393e604	I've been on a one-time pledge for minimum pensioners earlier in Stortinget, and it brought us up in the following dilemma: Many who had a small supplementary pension they had earned, especially women, lost supplementary pension and became minimum pensioners. It was very painful for many, and I received many enquiries the time that was just about a long professional life, but with relatively little income, there was no payoff in retirement. And that's dilemma. Now we're going to have a new pension scheme where the minimum pension can be avoided, because you can make up your pension money anyway. What I think is the great dilemma of the Progress Party in this matter is that Ulf Leirstein has been out and put the ultimate in economic policy if there is to be a new majority. Siv Jensen canceled it. So these extra 2.5 billion that Leirstein wants to give to the minimum pensioners, we don't know if that's going to happen. For whose right is to determine economic policy, the Right is to set the right framework. And the right has never resorted to doing anything near this for the minimum pensioners. Then I'm afraid we're left with tax credits for those who have a lot, instead of a single penny for the minimum pensioners. So we will continue with good social security arrangements.
ParlaMint-NO_2008-04-09.ana.ud1393e611	There will be follow-up questions - first Gjermund Hageseter.
ParlaMint-NO_2008-04-09.ana.ud1393e614	Clearly, the three socialist parties were very focused on the fight against poverty before going to elections in 2005. Afterwards, that fight has been toned down somewhat. Now it seems more important to make the rich poor poorer than to make the poor richer. I think that's the wrong focus, because it helps very little those who have too little to walk with. Some of the problems for the poor in Norway are the high tax burden we have. The government has not done anything, but they have increased fees in a number of areas. The fuel charge has increased, the food tax is also increased, and some are also prepared to increase the food tax further. This leads to the greatest burden on the poor. My question to the Minister of Finance is: does the Minister of Finance not see that high taxes and additional charges pose the greatest problem for the poor and not for the rich?
ParlaMint-NO_2008-04-09.ana.ud1393e623	Firstly, I very much disagree with the Advancement Party that it has no significance what you do in terms of, for example, what you do. taxation of the richest. It is clear that it is important if the Progress Party is to have an impact on the removal of the property tax. That would give the hundreds of richest seven million. kr more this year. You had to use triplets to give all of the hundreds of bills to those who have a lot. We're using that money to redeploy and make good services, and it's about the splinter layer we have in the Norwegian community. The representative of Hagesetter is well-known that we are staying at the 2004 level in terms of taxes during this ageing period. That means we're redistributing. That means that if we propose a green fee, for example, increased - which is why there are good reasons - we will facilitate other taxes and taxes. And it benefits people with poor advice, because it is precisely them 'on request' for which we facilitate taxes and taxes. For example, 300,000, about half of them retired, are now dropping property taxes, and between 800,000 and 900,000 have received lower taxes on wealth with us. It's real redistribution and it benefits those who have little to go with.
ParlaMint-NO_2008-04-09.ana.ud1393e630	Svein Fleet - to follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e633	The Minister of Finance has just spent several billions on the table in increasing annual wage-earning appropriations for a gold-plated pension for all those in employment, in particular the LO-organised. On the other hand, the poor - without jobs, without pension rights of particular importance - see that the promise from Soria Moria to eliminate poverty is not near being met. What does the Minister of Finance and Party leader Kristin Halvorsen say about this priority, in the meeting with the poor?
ParlaMint-NO_2008-04-09.ana.ud1393e640	It is an obvious, planned misunderstanding that not all pensioners get the benefit of what we have now agreed on. Minimum pensioners will also benefit from a more gradual introduction of this lifestyle adjustment rather than what else was there. Pensioners, including the minimum pensioners, and those with small pensions, also benefit from the changes made to the pension reform in terms of their annual salary settlement. Then, of course, I meet many people who are impatient about achieving more in combating poverty. That's the way it's going to be, and we're going to go all the way after this. But I haven't met a single one who's been yelling at the Right. There is not one person who has said: No, now I really think you should click on some real tax slips to those who have a lot, because it will fight poverty. On the contrary, the great fight against increased differences is linked to the job done to combat poverty, and that is where we have to go to do even better than we have now. But the right does not have the answer to that.
ParlaMint-NO_2008-04-09.ana.ud1393e647	Then the oral question procedure is over.
ParlaMint-NO_2008-04-09.ana.ud1393e652	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. - It is deemed to have been adopted. The changes were as follows: Question 1, from the representative Line Henriette Holten Hemdal to the Minister for Oil and Energy, is absent, as the questioner is not present. Question 7, from the representative of Elisabeth Aspaker to the Minister for Foreign Affairs, is addressed by Mr Sonja Irene Sjøli. Question 9, from the representative of Øyvind Halleraker to the Minister for Foreign Affairs, is addressed by Peter Skovholt Gitmark. Question 12, from the representative Ine Marie Eriksen Soreide to the Minister for Research and Higher Education, is addressed by the representative Inge Wohnning. Question 13, from the representative Sonja Irene Sjøli to the Minister for Defence, has been withdrawn. Question 16, from the representative Svein Flätten to the Minister for Transport, has been transferred to the Minister for Fisheries and Coastal Affairs, who is directly responsible. Question 26, from the representative of Øyvind Korsberg to the Minister for Renewal and Administration, will be answered by the Minister for Children and Gender Equality on behalf of the Minister for Renewal and Administration, who has left.
ParlaMint-NO_2008-04-09.ana.ud1393e690	This question falls because the representative is not present.
ParlaMint-NO_2008-04-09.ana.ud1393e703	This question lapses, as the representative is not present in the Chamber.
ParlaMint-NO_2008-04-09.ana.ud1393e709	I allow myself to ask the Minister for Oil and Energy the following questions: «The article in the Official Journal of Bergen on 31 March states that a new cable technology can replace the traditional options for air voltage at an affordable cost. Several locations in the country are planned to carry out controversial air voltages. There appears to be a variety of views in the scientific community as to whether the new technology is a current alternative to the planned air voltage. How does the Council of State assess the opportunities offered by new technologies in relation to the planned deployment of lines?’
ParlaMint-NO_2008-04-09.ana.ud1393e723	I believe the representative Kvassheim raises an important and interesting question, because I am very interested in recording the signals from the cable manufacturers about a technology development that gives hope for reduced natural interference and the costs of wiring in the future. I am pleased that Statnett has entered into cooperation with technology suppliers to further develop and qualify new technologies for use in the power system. I also welcome the fact that Statnett and Svenska Kraftnet look at the possibilities for a pilot project where new technologies will be used to strengthen the transfer link between Norway and Sweden. However, this work is in a very early stage of analysis, and the decision on possible implementation on the Norwegian side is on time. It is premature to conclude on the technical, economic and environmental implications and possibilities of this technology for future power lines projects. But I'm very concerned about the early phase-in of new technology as far as it can be defended in a holistic way. New DC technology can become very topical where one is going to transfer power from point A to point B over long distances, and I am confident that Statnet is in close contact with the industrial and technological environments about this. In the case of new power lines that have come a long way in the planning process, the benefits of new technologies must also be balanced against the progress of work. If new technologies were to be used for central network reinforcements that have come a long way in concession treatment, the process of planning, impact assessments, hearings and public meetings had to be repeated in all respects. This takes several years for the largest projects. Tracing, etc. for planned projects are based on existing technology and trasé choices are leading for which municipalities, environmental values, etc. that are affected and that need to be investigated. Postponing planned projects pending new DC technology would result in considerable delays and uncertainties regarding the benefits that can be achieved. Several factors determine this. The most controversial issues require en route access points. In many types of terrain, it is not a good environmental measure with digging and/or detonation of cable trenches sail if these could be slightly narrower than existing cable technology. I do not wish here to preface the conclusions of individual cases that are subject to concessional treatment. In general, however, I can say that all relevant conditions will be carefully assessed and that the power lines that are granted a concession should be built as gently as possible, given at any time the technology available. Technological developments, however, are constantly taking place, and delays in processes need to be carefully assessed against society’s demands for good security of supply and the pressures that regional imbalances in the power system and price ranges represent. Finally, let me also warn against any oversimplification in the debate on controversial power lines, whether they should be suspended in the air or on the ground. As previously announced by the Stortinget, the Ministry of Oil and Energy and the NVE are developing a broad strategy for increasing environmental, aesthetic and community concerns in the planning of power lines. As previously announced, the strategy will be presented to Stortinget in an appropriate manner once the investigations have been completed.
ParlaMint-NO_2008-04-09.ana.ud1393e738	Thanks for the answer. I record that the Council of State has a positive basic attitude to the opportunities offered by new technology, but that it is reserved for use in relation to projects that have come a long way in planning. I understand that different considerations need to be weighed in this regard. But will the Council of State ensure that, in relation to each project, it is assessed whether new technology can be applied, so that it is not only generally rejected that this is not relevant in relation to the current project and that an assessment is made in each project to see whether this can be an alternative? The second question I would like to ask is whether the Council of States will ensure that there is maximum pressure on the development of new technology, so that these solutions become available as soon as possible. It is obvious that the use of this possibility could be counterproductive in terms of projects and that pressure is being put on the development of new technologies.
ParlaMint-NO_2008-04-09.ana.ud1393e747	I have, as the representative Kvassheim suggested, a commitment to this. In a way, I look forward to the day we can manage to get rid of these wires in the air to a great extent and keep them in the ground in such a way that it is also environmentally friendly. It's a long way until we're in an ideal world in this area. I can answer the last question, which is that we want and have maximum pressure on the development of new technology. Statnett is offensive to this. They have agreements with technology producers, and much of that work is developing very positively and in fact faster than what we had believed and hoped for. I spent a lot of time now, so I'm going to answer the first question afterwards.
ParlaMint-NO_2008-04-09.ana.ud1393e756	Thank you for that. There are slightly different points of view in different environments on how far ahead the new opportunities lie. It is obvious that Statnet, which has great competence, should be listened to. But they are also a central player in many of these controversial projects. Can the Council of State ensure that other relevant environments will also be consulted in the context of the new opportunities that are opening up, so that the views that may be on possible progress can be identified, and what must be done to ensure great progress in this? The second question I would like to ask is related to the new guidelines for cable transmission, which the Council of State has notified to Stortinget. She has previously, in response to me, said that no decision will be taken in any of the controversial issues until these new cable drive guidelines are presented. Is that still the situation?
ParlaMint-NO_2008-04-09.ana.ud1393e765	The plan is to get to Stortinget quickly with the guidelines on how to handle wires, cables. This means that it will go so fast that it will not be appropriate to make decisions related to these big, controversial tensions until this is managed in relation to the Storting. I can reply confirming that you want to have a look at the possibilities for wiring in all the projects, but with the recognition that there are some projects that are not well suited, among other things. Because in some areas we're going to have small power in, which is going to be more complicated some places if you put the wires on the ground. We are very concerned about technology development. Yes, there should be more actors than the ones Statnet is in direct contact with, with which we should follow closely in this area.
ParlaMint-NO_2008-04-09.ana.ud1393e777	‘The report of the thorium committee had many recommendations for building competences around thorium and nuclear power, resource monitoring, etc. The Council of State has sent out the report at wide consultation, and many different groups are now spending a lot of time preparing thorough consultations. On the other hand, some interviews with the State Council give the impression that the report and the consultation recordings will be put in a drawer without being presented to the Stortinget. Can the Council of State confirm that the report will be submitted to the Stortinget in an appropriate form?’
ParlaMint-NO_2008-04-09.ana.ud1393e784	The answer to the question is yes, but I will elaborate it a little more. Let me start by saying that I'm very aware of the great commitment the Progress Party has to thorium. I think that the Progress Party has contributed to an important public debate on this. It was not least the debate the Progress Party had set in motion, which provided the basis for my predecessor, Odd Roger Enoksen, to start work on the investigation mentioned in the question. I think knowledge is good. That is why the report that has come is important. That's why we're going to keep working on these questions. But at the same time, I think it is right to say that the Progress Party probably wants a more offensive bet in this field than the Government wants to facilitate. I got the report from the Thorium Committee delivered on February 15th this year. It is correct, as has been said, that the report has been sent to the hearing, and the deadline for replying is 31 May. We will go through the hearings carefully and evaluate them up against the report by the summer. Then we're going to brief the Storting about the outcome of the consultation round at an appropriate time and in an appropriate form. What I can identify with two lines below is: Yes, we will report on this work of the Stortinget.
ParlaMint-NO_2008-04-09.ana.ud1393e795	First I have to say thank you for the answer. Is it to be understood that the Government does not intend to present a big message so that we get a review of the report at Stortinget, but that there is an orientation, which was the Council's choice of words? - There's a certain difference between that. If you're going to get a political commitment and get a new political confirmation of what kind of policy you're going to pursue, you should do that by sending out a big message, because then you get a debate that either confirms that the lines of the 1970s are solid, or you have to make some changes, so that would be okay. The reason for a call for a big message is that the need to build up skills in Norway is great. In recent years, nuclear competence at Norwegian institutes and even at Staten Radiation Protection has been reduced. Although one does not want a debate about building in Norway, it is good to know if one is going to build up competence in Norway.
ParlaMint-NO_2008-04-09.ana.ud1393e802	As the representative of Solvik-Olsen, I am also concerned with knowledge. That is why the work has been done, important, and I look forward to the debate in the future. When it comes to the presentation for the Storting, I'll evaluate it when I've seen the hearings. Depending on how extensive and controversial they are, I'll evaluate what form we're going to choose when we're going to report to Stortinget. In our quest for knowledge, it's important that we don't talk past each other. The priority of the government is now primarily related to strengthening efforts on renewable energy, both in a short-term and in a long-term perspective. Therefore, there will be no large, expensive practical initiative from the Government regarding thorium.
ParlaMint-NO_2008-04-09.ana.ud1393e809	I thank you once again for your answer. I understand very well that when it comes to realising a power project, one does not want to bet on thorium as a short-term or medium-term instrument in Norway. The government is very clear on that. One sees that Finland is working on nuclear projects, three-four projects are soon on the table, Russia is building, and they are even talking about liquid nuclear power to have energy for Shtokman, Sweden is rustling up, and England is now taking a new debate on nuclear power. Knowing that the competence of the Norwegian environment is very low, will the Council of State, regardless of the current consultation, take some form of initiative to strengthen Norwegian competence, so that we can at least understand and have the opportunity to assess the work being done in other countries? In case things happen, it's okay that we can also act in relation to the crises that happen, and then we have to have competent people, and not just have competence around the debate.
ParlaMint-NO_2008-04-09.ana.ud1393e816	There is a wide and important international debate on nuclear power. The debate has changed rapidly as the climate challenges have increased on the international agenda. That is why it is necessary for us both to follow that debate and to ensure that we are able to participate in it in a competent manner. Now let's look at the recordings that come in the hearing. I'm going to promise that we're going to go through them carefully and really, and then we're going to assess whether there are things we're going to follow up on in order to strengthen the Norwegian knowledge environment so that we know that the administration also has professionally strong environments to attract in the international debate that's going on.
ParlaMint-NO_2008-04-09.ana.ud1393e826	I have the following questions for the Minister for Foreign Affairs: ‘The Narvik High School, HIN, has reduced the number of Russian quota students from 90 to about 90. 15 in 2010 according to the Government's plans. According to the Government, it is not of particular importance that Russian quota students at the Narvik High School contribute in connection with the government’s Northern Territory operation. Few Russian students will also weaken the foundation of higher education. Does the Minister for Foreign Affairs agree that the reduction of HIN's student quota from Russia also contributes to weakening our North Sea bet and Russia contact?»
ParlaMint-NO_2008-04-09.ana.ud1393e835	The scheme for the State Loan Fund for Education for Foreign Students in Norway comprises 1 100 places of study per year. years. Of these, 800 are for students from developing countries and 300 for students from the countries of the Western Balkans, Eastern Europe including Russia and Central Asia. For the period 2008-2011, an indicative maximum quantity of allowances has been established so that no individual institution can normally be allocated more than one allowance per. 100 students at the institution. At the same time, priority is given to quality and the maximum level is not absolute. The Narvik University has been an active user of this scheme. In the 2007-2008 school year, the university has 32 study places for students from Russia. This is more than other Norwegian colleges, as evidenced by Narvik High School's good and active commitment to Russia. The representative mentions the number 90 in his question. That number must be quite a number of years back in time, as far as I have been brought to the for the whole of the 2000s, the figure for the highest 75 allowances from Eastern Europe, Russia and developing countries in the 2001-2002 study year was 58 in the 2007-2008 study year, including that mentioned 32 from Russia. It is the Ministry of Knowledge that has these figures, and they can also confirm that the number of allowances allocated to Narvik will be reduced to 42 in 2008-2009, so to 32 in 2009-2010 and thus to 15 places in the 2010-2011 study year. In view of the strong growth in Russia’s economy, it is not unnatural that the provision of Norwegian-funded places for Russian students in Norway is gradually being reduced. This does not mean that wider cooperation in education and research with Russia is downgraded - rather on the contrary. This means that more emphasis is placed on other ways of working together. In this context, I would like to point out the new North Region Grant Scheme, in conjunction with the Northern Region Strategy of the Government, which was introduced in 2007 for a three-year period. For the 2008/2009 school year, 59 such scholarships have been awarded to universities and colleges in northern Norway, 27 of which to Russia. I would also like to mention that the Ministry of Foreign Affairs is financing a new programme of cooperation with Russia in higher education and research, with a framework of 12 million. kr per. years in the period 2007 to 2010. Furthermore, education and skills development are central to a number of cooperation projects between Norway and Russia in the north. Sectors such as environmental protection and resource management, energy and industrial development, health and social protection are a priority. In my view, therefore, cooperation between Norway and Russia in the field of education and research appears to be very active - and also an important part of the North Region initiative. At the same time, it is necessary to take into account the political and economic development of Russia in the choice and arrangement of instruments. In any case, it will continue to be so that teaching and research institutions in North Norway will play an active role in Norway's cooperation with Russia in the north in the future.
ParlaMint-NO_2008-04-09.ana.ud1393e861	I thank the Foreign Minister for the answer, who was very impressed that he has sought help in another department. You have to have a lot of respect for that, but I think it's a very technocratic approach to a problem that develops. In the north, therefore, there is a measure that is proven to work, which is among the very best in the Northern Region of the Government, and which the Government itself places on and mentions as a successful measure. Why does one want a policy that helps to say something about one of the few green branches that we have - and that is a good example of the North Region initiative? My question must then be: will the Foreign Minister, after perhaps he has thought a little about it, ensure that the Russia quota is removed from the quota of 1 100 to which he himself referred?
ParlaMint-NO_2008-04-09.ana.ud1393e870	I don't think removing that quota would prove to be very helpful. We want to focus on Russia in terms of this quota. As I have pointed out, there are also a number of other schemes that attract Russian students to Norwegian educational institutions. I myself was in Steinkjer yesterday and met Russian students at the High School in the North Trøndelag, HiNT. These were students who had completed studies in Norway, had been at home in Russia and were now back to further studies, funded in part by Russia and in part by Norway. Education cooperation - the representative mentioned Narvik, but we also see it at the College in Bodø, among other things, in a strong environment - we must continue to have it. But here, as in other areas, we must also take into account that Russia is today a better-managed country. In addition to having arrangements that are an incentive for Russians to come to Norway, we will see that the type of mechanism can also work with regard to the recruitment of Russian students.
ParlaMint-NO_2008-04-09.ana.ud1393e879	What the Foreign Minister is really saying today is a clear yes to the reduction of some of the things that have worked best so far in terms of the government's bet in the North Region context. A level of competence has been established in Narvik that has ‘grown through the roof’, thanks to the quota that has been held. When you develop offers in places in the country, and when you have a quota ceiling of 1,100 students - of which 800 from the developing world - it goes without saying that those who have been the first to develop offers must become the ones who have to step down the most. The answer is that the ‘left hand’ of the Government’s Northern Territory bet does not fully understand what the ‘right hand’ is doing. So my question remains: will the Government with open eyes really actively go in to build up the offer you have today? This applies to an offer in important interaction with Russia - an offer that we must have in place if we are to succeed in our North Region bet.
ParlaMint-NO_2008-04-09.ana.ud1393e888	I can say as much as that this is a question that we are going to follow continuously. I agree with the representative that education and exchange of competences are an important part. The educational institutions that have built up their skills in this area need to be particularly involved. I do not agree with the reality description provided by the representative, but I can promise him that, in the North Region bet and by the Minister of Education, this will be a field on which we should look closely. If there are unfairness and bias in this arrangement - as the representative suggested - we should like to go in and see if it can be dealt with with with liberalism. But, as I said, we must also take into account the framework we have.
ParlaMint-NO_2008-04-09.ana.ud1393e900	I allow myself to ask the following questions to the Minister for Foreign Affairs: ‘The management plan for the Barents Sea and the sea areas outside Lofoten is an important basis for further development in the northern regions. The plan will be updated in 2010. Still a great deal of knowledge is lacking to understand the consequences of human influence. What is the follow-up to the management plan for the purpose of monitoring the Lofoten and southern parts of the Barents Sea by 2010?’
ParlaMint-NO_2008-04-09.ana.ud1393e909	According to St.meld. No 8 for 2005-2006, Total management of the marine environment in the Barents Sea and the sea areas outside the Lofoten [[Management plan]] The follow-up work of the management plan is coordinated by an inter-ministerial steering group chaired by the Ministry of the Environment and Development. At the directorate level, a monitoring group has been set up to coordinate monitoring of the sea area, a forum for cooperation on environmental risks related to acute pollution in the area and a technical forum responsible for monitoring and coordination of the overall professional work on ecosystem-based management of the sea area. The management plan is based on comprehensive knowledge of the sea. But it has also revealed significant knowledge needs - as the representative pointed out - particularly related to seabirds, bottom conditions and geology. The knowledge base should therefore be strengthened through monitoring, research and monitoring. This work is now devoted to considerable resources, and a great deal of attention is being paid. The MAREANO monitoring programme shall identify the bottom conditions and impact of human activities on the seabed. The SEAPOP monitoring and monitoring programme shall enhance knowledge of the prevalence and impact of seabirds. The survey of seabirds through Seapop is prioritised in the petroleum provinces of Northland VII, Troms II and at the edge of the egg. This work is on track in relation to updating the management plan. This work on monitoring the seabed through MAREANO is under way. The results of the monitoring in the priority areas Nordland VII and Troms II will be completed by 2010. Areas along the edge of the egg are expected to be clear only in 2010, if current funding is taken into account. The MAREANO programme has a total budget of 32.6 million in 2008. kr. Monitoring throughout the southern part of the Barents Sea will not be completed by 2010 with today’s funding. The size has been notified in letters from the Minister for Fisheries and Coastal Affairs in the context of the 2008 budget review. As the Stortinget has previously been briefed on, geological mapping is to be carried out in Northland VII and Troms II under the auspices of the Oil Directorate. This includes, inter alia: the collection of seismics. In 2007 and 2008, 70 million and 140 million respectively were granted. kr for geological survey in these areas. The appropriations cover the first and second phases of the programme. The final phase of the geological mapping programme shall, as is known, be implemented according to the plans in 2009.
ParlaMint-NO_2008-04-09.ana.ud1393e930	I now record that the Council of State in and on its own confirms what we have heard from other teams, and that is the background to this issue, namely that in some areas today's funding is not such that you're going to be in the port of this in 2010, even if you're on the route with some of the research projects. This concern is linked to the fact that an important part of the Northern Region Strategy is also being able to extract more from oil and energy resources. This management plan and updating of the material are necessary in order to take the necessary decisions, such as: opening up extraction in Northland VI and Northland VII, possibly also in Troms II, and in other parts of the Barents area. There have been questions about whether there should have been a separate collective research programme about this whole complex, so that you could see where the earmarked money goes. My question to the Council of State is whether he will assess it, so in 2010 you don't say that because of lack of knowledge we can't go further with the oil and energy bet in the north.
ParlaMint-NO_2008-04-09.ana.ud1393e939	I will not go into the details of the budget of one programme on which the Stortinget has been briefed. But I share the ambition of the representative of Solberg that in 2010 we will have sufficient knowledge to start with the first update of the management plan. It is an extensive material that must then be evaluated. I can confirm, after taking part in these discussions in the Government to provide budgetary resources for these programmes, that this is a priority, and it takes attention from other areas, because this is so important. Whether you needed a joint grip or not, I'm not going to answer it now. I have seen that the issue is quite transparent with SEAPOP, MAREANO and seismics. It's in there, and it covers most of it. So we have an ambition that we should be able to get a good knowledge base to look at the management plan in 2010. But what we also know, based on knowledge and the time left, is that full monitoring of the Southern Barents Sea and other parts of the Management Plan will require further knowledge and analysis beyond 2010.
ParlaMint-NO_2008-04-09.ana.ud1393e946	Let me just say that I think it's important that we jointly actually manage to find the means that make us get to port in 2010. The lack of knowledge should not be the reason for the process to stop, nor should it be an excuse in relation to it. There will always be many forces who want to use that kind of excuse. We have been concerned on the Right that part of the general cuts that have been in the basic appropriations for higher education and research institutions also has an indirect effect, in the form that it builds up basic research, which is the background for some of this. It would have been nice if we could have got a complete overview of where we now feel that the lack of knowledge is, which disciplines should be strengthened, so that we can also have a proper management plan in the future, and that the audit is not limited by the lack of knowledge at that time.
ParlaMint-NO_2008-04-09.ana.ud1393e953	Since the representative now asks professional questions outside my area, I choose to join her main concern, namely that knowledge should not restrict our freedom of action in the northern areas in general, but also in particular that relating to the management plan area, and even more specifically the issues related to possible further petroleum development. Within the budgetary framework, the government has chosen to give priority to sub-areas outside the Lofoten and the West Pole and along the edge of the egg before the 2010 update, so that for those areas where there has been a great deal of focus in the debate, we believe that we are on track today, and we should be able to have a good knowledge base to make those assessments.
