ParlaMint-NO_2008-12-09.ana.ud1828e61	The representative Dagfinn Højbrätt, who has been on leave, has again taken the seat.
ParlaMint-NO_2008-12-09.ana.ud1828e851	The government is not voting in Stortinget, so I think you have to ask representatives from the government parties why they voted as they did. However, let me tell the representative Ludvigsen that I think it is very wise to try to gain experience from different countries. There are many things that have been tried with mixed success also in the world outside of us. We have experiences from Norway with things that have gone well, and things that have not gone well, and there are experiences from other European countries with things that have gone well, and things that have not gone well. That's why I think we're going to be a little bit ‘karåt’, to say it in trändersk, in Norwegian Russian policy – that's how to beat ourselves on the chest and think that we've really found all the answers here in Norway. What's happening out here on the street shows that it's not right. That's why I'm very susceptible to the kind of recording that, for example, the model from Sweden can contribute. And this very moment between detoxification and further treatment I think is also very important.
ParlaMint-NO_2008-12-09.ana.ud1828e858	In fact, as far as signed memories are concerned, it was that decision-makers with special competence and interest within the drug field should be able to print Subutex and Suboxone, originally a proposal from former staging representative John I. Alvheim and the then big-time representative Bjarne Håkon Hanssen – so it is important to have history in certain contexts. I think it is very positive that the Council of State has the approach to the drugs policy that he has. That's very good. Another area of concern to society is that we are now getting messages from several municipalities about proposals to remove sick homes and turn them into bookhouses and nursing homes, so that each individual becomes responsible for both food, medicine and support services. Will the Council of State take an initiative with regard to the Husbank so that the guidelines are clearly followed, that if investment grants are provided for the construction of nursing homes, they must be repaid if they are to be abandoned?
ParlaMint-NO_2008-12-09.ana.ud1828e866	The most important thing is what Mr Nesvik has just said, namely that the legislation in this area is clear. You can't get a grant to a nursing home first and then, once you've got it, just redefine it and move on in the world as if nothing has happened. It may well be that the proposal that Mr Nesvik here suggested in his reply is good that in dialogue with the House Bank we should consider whether to clarify this to the municipalities in such a way that everyone is aware of what happens if you go in that direction. I'll take that with me and discuss it with the Minister of State.
ParlaMint-NO_2008-12-09.ana.ud1828e873	The cord shift is over.
ParlaMint-NO_2008-12-09.ana.ud1828e876	There are many who have been in the field of drugs in the debate. It seems to me that I agree to confirm that it is one of the most challenging areas for Norwegian health care and Norwegian society. So in one of the world's richest countries with one of the world's best health services and one of the world's best welfare systems, we have failed in our drug policy. I think it's very tough of the Council of State that's gone a long way in admitting it. We have improved in many areas, and the government is paying more than ever in the drugs field – it is also reflected in this budget. Nevertheless, the challenges in the drugs field are great. It will require a formidable effort in the years to come, and it is a strength that the entire Health and Care Committee agrees on this. We are all concerned that overdose deaths in Norway do not go down. We are concerned that so many thousands of people are dependent on heroin, that so many use cocaine and amphetamines every day, smoke hash, chew khat and eat pills. We are also worried that people are waiting for help. In the public debate on drug and drug addiction, it is the illicit drugs that are the most focused. Of course, it's not that weird. Alcohol is a legal drug, but it is also a substance to be taken seriously. It's alcohol that's the drug that hurts the most and hurts the most. It is well known among us that, according to WHO, alcohol is one of the most common causes of illness and early death — ranging from traffic damage, domestic violence and street violence, not to mention all the mental stress in children and young people who have people who abuse alcohol in their immediate family. The vast majority of those who become drug addicts start drinking alcohol. It is known that when access increases, alcohol consumption increases. More poles, more restaurants, longer donations and more money among people make us drink more than ever. New figures published yesterday show that we drink more beer, we drink more wine, we drink more spirits, and we drink more raisins. I don't think we can turn off the light and close the tap. But we might want to think about some obvious developments. Just one small example: in many cities there are no longer places for 18-year-olds. Is it because you make more money on liquor? At least it can't be a prevention measure, because the result is that young people sit at home drinking until they get drunk, and of course they have to go out into town and meet others. It's not safe it's so clever. This is not very preventative, given neither harm nor violence nor excessive intoxication. It is possible to prevent and prevent so many from becoming addicted to drugs, but efforts are needed on several sides. There has been a lot of focus on pregnant women and alcohol. I think that's been very effective. There's going to be a big impact on that information, but we need the parents, we need the midwife, we need babysitting, the kindergartens, the school services, and the primary health services — and here at least everyone has to go. The municipality must take responsibility for its search policy, for the number of sites, opening hours and controls. If there's a place where interaction is needed that will produce results, it's here. It's not to make it difficult for people, but simply in solidarity with those who don't deal with rushing. I think there's a limit to how much addiction a society can tolerate. Many children and young people find it difficult. There are countless reasons for that. In any case, it often results in many people not dealing with their school days, perhaps not everyday life at all. Maybe you don't get a job either. It's not hard to understand that you're fleeing to something – it could be a rush. Measures to prevent drop-outs in schools and youth guarantees will be measures that have a preventative effect. I'm glad the government's taking hold. Within the drug field, we're not in the situation that we can be obtuse of anything. There are so many unanswered questions, and get clear answers. We have to turn all the stones, or we won't move on. Even the debate on heroin must be taken. I am very pleased that the Government is now considering setting up mental ambulance teams in healthcare companies, as the Committee has requested. I hope that one of the most unworthy things we've witnessed in the health care community, will soon be history: that police cars and uniformed policemen will pick up mentally ill patients. It has to happen in very special cases.
ParlaMint-NO_2008-12-09.ana.ud1828e895	Psychiatric health has received a lot of attention lately — not primarily because we have had a ten-year escalation that shows very good results, but perhaps primarily because the results are not as expected. There is reason for reflection when, after ten years of earmarked funding, an important sector has been strengthened, and it is still seen that there are so many serious shortcomings that have emerged recently. The 2007 National Audit Survey on Children and Young People, and a new report on adult mental health issues, show major shortcomings and weaknesses in all service areas, including the target indicators used to measure quality and development of services. You obviously didn't know where you were when you started. You haven't reached the goal you'd set, and there's now a lot of uncertainty about where the road goes. The acute psychiatric supply is perceived to be unsatisfactory in many places, with serious consequences especially for the most ill. We also see great differences in the offer from municipality to municipality, from district to district, and also from doctor to doctor. It's probably the most serious thing. It is by chance who is being treated in the specialist healthcare system, and it is no longer the patient’s state of health that determines, but often the offer offered by healthcare companies. There has been a much greater closure of institutional sites than was intended for the escalation plan. Many of the worst with serious mental disorders now live in the municipalities. This means that even greater demands must be made, both for the district psychiatric centres and for the competence of the municipalities. It has not been followed up along the way, this has not been as it should be. Today, too, many mentally ill people live in ordinary homes. It turns out that the elderly are forgotten in this escalation plan. The situation is not strengthened for older mentally ill people in the municipalities, and it is not professionally competent to deal with those who have serious problems. The Progress Party will also express strong concern that the daily metering of the escalation plan for children and young people was reduced from 500 to 400 places. The 400's aren't fulfilled either. We know of many young people who do not receive suitable daily services. I would like to mention the many anorexics, and Capio Anorexics Centers, which are a treatment site with many vacancies. They have almost seven patients for treatment, and they can accept 17. This is a treatment site with very good results and which the entire committee believes should be available to all anorectists who need daily treatment. But the government makes sure that it doesn't, by refusing to enter the clinic under free hospital choice. So here, the ideology is in front of patients. We also see that in many other contexts, and that's sad. There's something patients don't understand. There's something that the relatives don't understand, and there's something that most politicians don't understand either. Nevertheless, there are many red-green politicians who find themselves in it. The Progress Party sees that there are major challenges that remain. We see that they will not be met by adding money to the framework funding this year. So we're still choosing to designate the funds that have been allocated over this period. We also strengthen the supply of a total of 200 million people with mental illness. SEK, of which 160 million. kr should be used to strengthen measures in the municipalities. In the case of older people, they should not be forgotten. There is a similar challenge today in the area of care for the elderly, as it was three, four and five years ago — or perhaps one might say that the challenges have become even greater. There is a great shortage of nursing homes, and there are a lot of elderly people living at home, who are too sick to live in their own homes. There are also a lot of sick people with special diseases who don't get the professional follow-up they're going to have in a nursing home. There has been a lot of talk about creating special departments, but it happens very little. It's too late. We see that in terms of dents. You know, for many, many years, there's a lot of need for special departments, but it's going too late. The same applies to the construction of nursing homes. The government has now given a signal to strengthen the grant. The Progress Party believes that 3,000 seats are a minimum of what you can start building this year, and we have included that in our budget.
ParlaMint-NO_2008-12-09.ana.ud1828e912	Emergency medicine is getting better and better, and fortunately more and more lives are being saved after heart attacks, strokes and accidents. But when the blue lights are turned off, many people experience being forgotten. As early as 2005, there was a report from SINTEF that showed a major failure in the provision of rehabilitation and rehabilitation in municipalities and health businesses. In 2006, the Health Authority called for a major failure in the provision of child rehabilitation services. This means lost opportunities for many disabled children and a demanding everyday life for their families. As late as during the budget consultations in the Health and Care Committee in the autumn, we received evidence that the offer is very poor. Investigation by the Directorate of Health shows that 51 pst. by the scratches indicate the need for training, while only 10 pst. receive such an offer. Only one in five cardiac patients receive rehabilitation, although this will mean significantly faster improvement. Lack of provision of rehabilitation and rehabilitation means lost opportunities for many people. 750,000 people in pre-age employment are out of the labour market. For many of them, better provision of habilitation and rehabilitation will be the way back to work. The scheme Back Back is good, but it does not help all those who are out of work for different reasons. Children, young people and older people also need a better offer. For young people, there are specific challenges in ensuring an offer that is well adapted to their needs and living conditions. Therefore, the right considers that a separate plan is needed to ensure a better provision of rehabilitation for young people. For the Right, it is essential that health services provide people with the opportunity to manage themselves in everyday life and to participate actively in working and social life. A commitment to habilitation and rehabilitation is an investment in greater freedom and better quality of life for many people. At the same time, reducing the need for care and social security benefits is a good social economy. This was well illustrated during the budget consultation, where we were presented with the results of a patient training programme for asthmatics in Finland. The results were that the number of hospital days was reduced by 54 pst, and that sick leave fell by 80 pst. In the 2007 draft budget, the Right-wing Initiative noted that a commitment to rehabilitation and rehabilitation had to be the next major field of action in the health sector. We got support from all of the parties. The problem is that the government parties, who have historic opportunities through the majority of the Storting and the economic space of the times, have not been willing to follow up words of action. On the contrary, the government parties voted in favour of our proposal for a phasing out plan for rehabilitation and rehabilitation which was discussed last year. On the right, we have proposed about DKK 0.5 billion in the budget proposals in recent years to implement this escalation plan. In our 2009 alternative budget, we put a total of 600 million. kr for this purpose. We believe that this must be given priority, and therefore earmark funds for rehabilitation in the framework of the appropriations for increased activity. We believe that clear political governance and earmarking of funds are essential if we are to succeed in giving a boost to the rehabilitation field. It is not only useful to refer to increased appropriations to health businesses and hope that a neglected area such as the rehabilitation field will win the internal battle for the budget crowns. We note that the government parties have not supported such a priority this time either. On the contrary, there has been a reduction in the number of days of rehabilitation in private training institutions during this government period, according to the department’s own figures. So it might not be so strange that the slogans of the government parties met on the Lion Hill today, were: «...blah, blah...» and «Now we believe more in the Christmas Eve», because today 40 organizations demonstrated on the Lion Hill against the government's broken promises in the rehabilitation area. The organisations represent large patient groups among heart and lung disease, cancer, traffic damage, disabled people and mentally ill. Professionals and non-governmental organisations are also behind the action. When the Right confronted the Council of State with the broken promises in the rehabilitation area in the Questionnaire on 26 November, he thought it was wrong to claim that this field was not a priority. Well, patients and professionals are of a completely different opinion. In the budgetary hearings of the Committee, the clear feedback has been that patients are in a desperate situation because of lack of training. Hanssen State Council has asked for advice and recordings via its online blog. There is hardly any advice that is more unambiguous than the advice that the Government must fulfill its promise of rehabilitation to all who need it. It's fine with a state council that listens, but it would have been even better with a state council and a government that did something to follow up. However, it is gratifying to see that the civil opposition parties are united in demanding earmarked funds for rehabilitation and rehabilitation.
ParlaMint-NO_2008-12-09.ana.ud1828e929	Prevention is cheaper than repair. The problem is that the impact of interventions that we take in the prevention field is difficult to document in the short term and is therefore easy to deprioritise. The working party is concerned with prevention, as shown by several small and large items in the budget. I want to develop a field that is broad and complex in terms of prevention, namely health care and school health. They're important in many arenas, and I'll get into some of them. It is the health care sister who is going to vaccinate young people with the HPV vaccine, which is now being introduced from the school year 2009, which we are very pleased with. The knowledge base and recommendations that have concluded that vaccination against the HPV virus is an effective prevention strategy against cervical cancer have been taken as a result of the red-green government. Thus, we follow a number of countries that have already started or are in the starting pit. The HPV vaccine must also be viewed as part of measures that we have taken against social inequalities in health, as screening is not always as accurate, and not everyone is involved. Here everyone gets an offer and the same opportunity to prevent a serious disease. School health services, on which there is a cross-political consensus in the Committee that more attention needs to be paid and which in many places do not have sufficient resources, have a large and comprehensive impact area. They meet children, youth and relatives in the different situations of life. That is why we wanted to strengthen that offer. In the 2008 budget, we gave special priority to some schools, which received additional funds, for example: in Bodø, Drammen and Halden. In the 2009 budget, we are further increasing efforts against high-tech schools, which need additional measures, by 3.5 million. kr. This means that even more young people get even better offers. Good, up-to-date competence for each individual health sister is necessary. Work on information and counselling for young people in terms of sexuality, sexual health, borders and pregnancy is important. This requires continuous filling and knowledge and new methods to reach more. In this regard, I would like to refer to the job that Sex and Society, more known as KSO, here in Oslo, are doing, in terms of offering this precisely to the health care provider across the country. They have hospitation of about 500 health sisters per year. years, and they issue a methodological book that can be used in school. That we now strengthen this ministry and grant 2.5 million. kr for 2009, will contribute to this work, and will be done, even better. It is also important to focus on the mental health of young people in this context. Providing psychologists at youth health centres, which are open and available at night, is good prevention and a good low-threshold service that we need more. For example, I can. show a good example in Skien, where you have good experience with this. I also want to develop the initiative that is being made at the health stations in Groruddalen. They got $3 million. in 2007 to run three projects, with a continuation in 2008 and 2009. Measures aimed at children, young people and parents are provided here, and are related to diet, diseases, physical activity and much, much more. Elsewhere, health centres carry out prevention work, such as in the LARvik interaction facility, where parents of children from two to six years of age are recruited from the health centre. The same municipality also provides brochures on the first home visit after the birth of alcohol and on alcohol use and children, who are involved in the prevention of drug use, to show parents the responsibility they have when they become role models and caregivers. The health centres, the health sisters and the school health services do a lot, much more than what I've had time to figure out here. I have pointed out in my article the diversity, breadth and need for a strong school health service. If there's someone who can hit youth where they are, and deal with problems and challenges, it's just them. It is a low-threshold offer that I believe there is a cross-political agreement that needs to be developed even more. I am pleased that we are strengthening this sector slowly and specifically, both in terms of access to more money through increased municipal transfers, by earmarked funds for special measures, as I have mentioned here, and by giving them the opportunity to acquire even more knowledge, for example. through KSO.
ParlaMint-NO_2008-12-09.ana.ud1828e955	I want to start from a everyday example. I am pleased that the majority of the committee, the members of the Workers' Party, the Socialist Left Party, the Centre Party and the Progress Party, are concerned that there is a good offer for physical activity in the Russo. In 2006, the football team FC Hveita United, a low-threshold offer under the auspices of the Salvation Army, was launched. The purpose was to activate drug addicts who do not have any recreational services. Here, drug addicts can meet twice a week for training and physical activity in a social and drug-free arena. The football team is currently playing in the company series, and the offer leads to great motivation to run less and not least to perform better. The offer is being offered today through cooperation between the Salvation Army, Trondheim Municipality and Rosenborg Ball Club. The United League isn't like any other footballers. They are struggling with a drug addiction, and in this context they face many challenges in everyday life that are more or less difficult to deal with. Some of the players have been drug free for a period of time and are working to get out of a drug environment, while others are in active rush and are struggling with other problems such as bubble and other day-to-day challenges. In a everyday life where it doesn't always feel like the auxiliaries are there to help, players have applied to trainers and volunteers in Hveita United for advice and help. The United has from the beginning had a 20 pst. position, covered by the Salvation Army. The rest of the time has been covered by voluntary efforts. Bjørn Hansen, former landscape trainers, trainers of Rosenborg, etc., are together with several of their trainers. On Saturday, Bjørn Hansen received the award under the Trøndersk Sportgalla, among others. for their social work and commitment. Getting into an environment where you're equivalent is new to many. Here, players meet equivalents who understand what they're going through if they have a bad day. Here they are always welcome – in any case. In Wheat, no one stands alone. Many of the players have never experienced being part of a team. They haven't experienced having many friends outside the rush. In Wheat they meet people who don't judge them for what they've done. Here you can be yourself, and you learn the processes that a group belongs to. There are always known faces that are happy to see you, and to have one to share experiences and impressions with. At the same time, Wheat represents something you can always look forward to. Many of the players have a lot of time; it's really the only thing they have too much of. They want to fill leisure with something positive and something meaningful, as all other people also want to do. Most players have struggled with drug addiction since they were young. There's been a lot of bad things about physics. The body is worn out by all the rushing, and in addition physical training has been at the absolute minimum for many, many years. Wheat United has turned this around. Now many feel that they get used their body to something positive. As one of the players expressed it: “I now feel that the pumpkin knocks like a madman because I have jumped after that ball for an hour. I'm tired because I'm training! Not for everything else. And I have never trained a day in my life." They experience getting in better shape, which helps to make them feel better. More people experience that they have abused the body so much that it is incredibly good to know that you are using it for something positive. Wheat is also involved in stimulating mental development. As I said, many became involved in the drug addiction from a young age. They have fallen outside school and other social institutions. In these environments, the focus has been on baptism. At Wheatia they talk to other people about everything other than drugs. Through various chores, tours, events, etc. is often created in a social context. This is valuable experience for people working to reintegrate into society. Through a life as a drug addict, most have developed a more or less poor self-esteem. They experience that society views them in many ways as second-class people and a social burden. They must constantly ask for help for housing and daily life, and they have experienced fighting against the aid that is initially there to help them. Through Hveita United, many people experience being taken seriously for the first time and being valued for who you are. Here you meet people who are happy to see you, and you've been away from training for a while because of rushes etc., people are happy to see that you're back, and not disappointed for the time you've been gone. Even the auxiliaries are considered part of the layer. Under the theme, all of them are equal. Now it's also talking about starting a girls' team for drug addicts. I am pleased that the majority in the Committee see the value of this offer, and that one will ask the Health Directorate to give priority to applying for support for the low threshold offer FC Hveita United in particular.
ParlaMint-NO_2008-12-09.ana.ud1828e986	It is now the fourth year of the Grand Duchy to adopt a health budget from the red-green. I have to ask: what health areas are the red-greens able to solve with almost four years in position? Little or nothing has happened that has improved the situation for those who are in need of good health care. As I see it, we have the same problems in the care of the elderly and the health care system today that we had in 2005. You hear about historical bets and that you've never spent more money on health. But little has gotten better. On the contrary, much has actually become worse, with more than 250,000 queues, with more than 35,000 people in health queues in the current period, with almost 4000 drug addicts in line for weaning, with increased abstinences for chroniclers and allergy sufferers, with Corridor Asians – still a navigable view of using skills and technology in other countries, and a lack of policies in the area of rehabilitation and rehabilitation, otherwise an area that the majority of the Committee believes should be a clearly defined area of activity. None of the major challenges are solved. It's said that it has to be dark before it gets black, and everything isn't really black yet, but you can wonder where the context of the red-green policy is. The progress is very satisfied with the commitment to more physical activity. This is a good, preventive policy, but at the same time it gets weird when the government doesn't want to bet on a follow-up to the diabetes plan with drugs. Ergo will prevent inactivity, obesity and diabetes problems, but you do not want to treat those who have already had a health problem. Understand who it is who wills! I would like to refer here to the alternative budget of the Advance Party, where we put 35 million. DKK for diabetes and coal – for research, treatment and identification. Another area in which we are based is dental services — both in terms of the rate of dental specialist training, where the Advance Party in its alternative budget allocates 30 million. kr, so that dentists can train as dental specialists with support during their training period, and in the general view of oral diseases. It is unreasonable that dental treatment is separate from other medical treatments and that oral diseases should not be treated in the same way as other diseases. Furthermore, the Advance Party wants to grant 10 million. kr to the establishment of a core research centre for ADHD. We want to strengthen stem cell research at the Radium Hospital by 10 million. NOK, and we want to significantly strengthen medical research, by $70 million. in addition to the Government's proposals, where priority areas are cancer research, ME research and dementia research. Furthermore, the Progress Party wants to strengthen pandemic preparedness through a stepping-up plan of 10 million. kr in addition to the Government's proposal. The party is disappointed that treatment travel abroad has a real decline for 2009 and is strengthening this by 15 million. kr in its alternative budget. It is good that the Committee was able to reach an agreement in the comments on strengthening the treatment offered to our war veterans. Today, Norway has over 100,000 veterans, and there is a relatively high risk of mental sensitisation. This requires a special follow-up of the soldiers, especially and in general. The defense follows up the veterans for one year after duty. Then civil Norway takes over. Societies have a greater residual work to do, in which case competences need to be built up both in the primary health service, in the specialist health service and in the labour and social services for follow-up and rehabilitation. There is also an overall committee that believes that there is a need for more trauma research and research on pressure wave damage, the Traumatic Brain Injury. In its alternative budget, the Progress Party has set at 4 million. In addition to the Government's proposals to follow-up mental illness and rehabilitation of veterans of war and relatives.
ParlaMint-NO_2008-12-09.ana.ud1828e1007	As the rapporteur for the chapter on research, I will start by mentioning two areas that the Committee has mentioned, and where I am particularly concerned that we need more research. One is poverty-related diseases, which are central to the global picture of disease. Among the main causes of death in developing countries are AIDS, childhood diseases, malaria and tuberculosis — diseases that take far fewer lives in developed countries. Internationally, too few resources are used to research in areas where progress and development will have an invaluable effect globally, but less effective in rich countries. I am pleased that the majority of the Committee writes that the objective of strengthening the research effort aimed at the global picture of disease must be an important objective of the Government's efforts in the field of health research. The second is cancer research and, in particular, research on large cancer types such as prostate, lung and colon. Cancer is the second largest cause of death in Norway following cardiac arrests. In some areas, there have been many decades without great progress. Cancer research is also something that the Committee has mentioned, and I hope the Council of State will take into account that it is a topic on which the Committee is concerned. So a little bit about hospital economy. I think it has facilitated the hospital operation that the government in this period has cleared up structural challenges that have to do with funding. Renewal of hospital buildings and equipment has already increased. Large pension costs are now covered, and funds are allocated to facilitate hospital changes. The most important thing is perhaps that increased patient treatment is funded both in the budget for this year and in the budget for next year. That means that more people can get treatment, and I'm very happy that the government has got this done. As a Westerner, I am also very happy that the Magnussen Committee's attitude is followed up, and that we get fair distribution of funds between health regions. I think the hospital reform was crucial for us to get a fair distribution now. In the past, each county finally decided on the budgets, and then, in the fullness of time, there were differences between the regions. When hospitals became state-owned, there was a need for a review of it. Based on the setting of the Hagen Committee, a bias was adopted in 2003 under the previous government. But here, first of all, only half of the bias that the Hagen Committee had anticipated, and then a separate Health North supplement – reasonable enough in itself – was to be introduced, but it was to be financed by the sub-funded regions of Health West and Health Mid-Norway. In retrospect it must appear unreasonable. The previous government proposed a five-year correction period, from 2005 to 2009. If this hadn't been speeded up later, we still wouldn't have finished that round. Fortunately, we have come further. The size decision of 2003 was completed two years earlier, and the Magnussen Committee was set down. Instead of 2009 being the last year of creation after the Hagen Committee, 2009 becomes the first year of creation after the Magnussen Committee, and already in 2010 this division becomes history. Finally, as the previous speaker, I would like to highlight a special area in which the Committee has done something common and cross-political, namely in relation to the damage caused by war veterans and psychological damage, a subject among others. SIOPS, the association for damage in international operations, and the newspaper Bergen's Official Journal have focused on the recent past. Today, Norwegian soldiers are taking part in Afghanistan. The Committee notes that participation in international operations today is a central and integrated part of Norwegian security and defence policy, that soldiers involved in such operations often live in a stress situation over a long period of time, and that the length, threat level and intensity of their stay increase the risk of psychological damage. Now it is important that more competence is built on, among other things. this type of damage to the health system and that the veterans of the war meet an offer that is available and coordinated.
ParlaMint-NO_2008-12-09.ana.ud1828e1028	As much as every three crowns of municipal budgets are used for care, care and health care. The sector employs a total of more than 160 000 people. Relatives and patients are dependent on good services. Municipal health and care services affect the lives of many people every day. Care in municipalities is not just care for the elderly. In some municipalities, the other care tasks are about the same level as care for the elderly, some of which are actually larger. More than 67 years of age are still in need of services from the municipality, in some cases very costly services to ensure the necessary assistance and follow-up around the clock. In order for municipalities to be able to make a good offer, it is important that the state prepares with good framework conditions and arrangements, which are also fairly fair between municipalities in relation to the different challenges each municipality faces. Predictability of the conditions is also important in order to be able to plan good overall offers to the individual user. This is precisely what the red-green government has done by strengthening the top-level funding mechanism for resource-intensive services significantly in the last year’s budget. During the current year and next year, the appropriations for this scheme will be increased by approximately NOK 1.3 billion – a lot in two years. All parties end up about this now, but I cannot help but remember that the previous government made the conditions worse for the municipalities, as the need for such services increased. I know that someone doesn't like to hear it, but it's okay to be involved in increased appropriations when you can participate in our welfare bills, when it didn't happen to be any of the taxes. Better interaction between hospitals and municipalities are important measures to ensure a better supply for patients and to get more out of each health budget. Therefore, it is good that the Minister of Health has a strong focus on such interaction. Various studies show that 400,000 laydays in Norwegian hospitals could have been saved last year. Many of the patients involved could have been offered at least as well in the community health service, and not just in the case of care services. Also services such as drug treatment, psychiatry and rehabilitation should be provided more widely where people live, with closeness to users and their relatives. For most people it is important to be close to their closest when you are ill or caring. This is achieved by strengthening the offer outside the municipalities. As a bonus for society, estimates show that the price per cent. days of hospitalisation are lower in the municipal health service than in the hospitals. When the individual patient receives a better offer and society a lower cost, there is little doubt about what to do more of — a stronger interaction between hospitals and municipalities, or the first and second line service, as it is called in the professional language. It is obvious that new tasks for municipalities need to be followed up with additional funds for municipalities, especially when the municipal health service is to do more of what hospitals do today, such as: must result in a significant increase in the medical coverage of hospitals. Municipalities have given priority to strengthening the care sector in recent years. There is reason to give credit for building new nursing homes and providing nursing homes with staff, and for hiring more people to strengthen the services. A formidable effort is being made for which the municipalities deserve praise. That is why we must also address the seriousness of the concerns we are now receiving, about lower efforts and less ambitious efforts next year, among others. as a result of the financial crisis. The government has announced that it will deliver a fiscal policy package early next year. I am sure that many rapporteurs, local politicians and employees are ready to spend extra money on behalf of their citizens when the local community sector receives its share of the package of measures. There are major needs, both on the investment side and on the operating side. Both construction workers and health professionals are needed in this way. The 2009 State budget proposes to include the earmarked funds for the operation of municipal mental health work in the free revenues. For the vast majority of municipalities, this has no distributional impact, but some of the largest cities in the country have specific challenges and have therefore received a major urban grant. A unanimous municipal and management committee is in favour of the maintenance of this grant by major cities. This is significant in large budgets in large municipalities. We will return to this tomorrow in the consideration of the budget of the Ministry of Local Affairs. Who cares about the level of administration that the service provides, provides help and treatment? The most important thing for all of us when we need it is that we experience security, warmth and good services. The money affects the interaction. Therefore, the financial arrangements must be smart and stimulate the best solutions. Here we can get better, and we'll get better in a short time. We're going to get more momentum on the interaction and so are fewer swing door spaces.
ParlaMint-NO_2008-12-09.ana.ud1828e1055	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-12-09.ana.ud1828e1058	I listened with interest to Gunn Olsen's comments, and I think it was a very timely reminder that the Norwegian alcohol debate has been to a very small extent a health policy debate and, to a great extent, has been about things other than health policy. I don't think the challenge in this area is primarily to come up with new rules. We have rules more than enough, if they're just being observed. But it's per. today, too many minors who are given the opportunity to rush are in breach of the legal provisions in force. There are too many obviously overwhelmingly intoxicated people who are still being donated, despite the fact that the law prohibits this. If we could manage to find arrangements that would create respect for the legal provisions in force, we would have won a lot. There is also reason to recall that an overwhelming proportion of the episodes of blind violence that shake us through the media are related to the misuse of alcohol or other forms of drugs. Let me also take a little visit to the drugs policy in general. It is, in my opinion, a paradox that we have had a debate on whether we should have a debate on the drugs policy. It's always an expression of conceptual confusion. I would probably like the Council of State to do it on a slightly wider basis than one conversation with one person with experience in drug abuse. If there is any area where it would be advisable to invest in a national consensus conference with all the professional environments we have in Norway that conduct research in this area, it must be here. Then maybe we could have a debate with the earth's pipeline, and it can never hurt. Finally, a small note about my small exchange of lines with the Council of State earlier in today's debate. I called for a profiling in the budget of the thoughts that the Council of State now travels around the country and the beach, namely that there is a need for a sharp shift in the focus of Norwegian health policy. The right has taken the consequences of this by having earmarked 400 million. of the general increase in what is involved in outreach treatment where people live. The draft budget of the Council of State reminds us of the confusion about the classic that Norwegian television has now made even more known during Christmas time than the Christmas Gospel itself, namely «The Duchess and the Lord Master» – «Ssame procedure as last year, Miss Sophie? – Same procedure as every year, James. Why doesn't the Council of States take the consequences of their own understanding? Why should he wait until he gets expert help to know what we all know – a long time ago?
ParlaMint-NO_2008-12-09.ana.ud1828e1067	A little back to this with physiotherapy: I understand very well the intentions of the proposal and agree with the Minister of Health that it is incredibly important to get more physiotherapists in the municipalities of hospitals that deal with rehabilitation, etc. This conversion probably began last year with the new agreement of at least 40 pst. to the new physiotherapists. It's all right, even if it can be small for someone. But there are too many people who only have 20 pst. In the structural change, it is not suggested that the municipalities are charged with an increase for those who may now have to continue with 20 pst. It's these I'm particularly concerned about. If they fall out, there will be longer queues, and the chroniclers will be hit. If it is possible to be a bit creative and allow me to make a proposal, I could have thought – if it was possible – that the changes in the municipalities that had 20 pst. agreements could be awaited. In our ICT world, that should be possible. Or perhaps another proposal could be – if the Minister of Health would at all think about it – that a deadline for municipalities to increase and say that they should no longer have 20 pst. agreements, whether they do it alone or intermunicipally. I think it might have been a good idea. If it is possible for the Minister of Health to comment on it, it would have been fine. Otherwise it's up to you to come back to it later. As far as school health is concerned, I am very pleased with what Sonja Mandt-Bartholsen says, that it is an incredibly important sector, and I very much agree with all the representative said. The previous Minister of Health said that she was willing to look at a kind of reference offer at the school health service, because there are many places, especially in secondary and secondary schools, that are offered. This is particularly important in secondary schools. What I could have thought we'd been looking at was that you had a fixed opening time, so in all the municipalities, the young people knew that Wednesday at 4 p.m. 8–10, or maybe three days a week in large municipalities, there was an opening time where everyone could go to health care. She promised to watch this, but we have not received any feedback as to whether it is possible to do so. Then there's another thing, this is the crisis package coming from the government. It's very important, and it's something that many people look forward to in the municipalities. I hope that the Health Minister will take an assessment of some investment projects, I think, for example. in the West Health, where you have a children's clinic which is about to expire. There are complete plans, but problems with implementation. I think it's very important, and we like to get input into many more actions, which are actually clear.
