ParlaMint-BE_2015-03-10-54-commissie-ic108x.u1	Questions Nos 2019, 2309 and 2688 by Mr Top lapsed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u43	Colleagues, during the introductory visit with the Dutch Minister for Defence, Jeanine Hennis-Plasschaert, the importance of consolidating the ongoing projects was stressed by the two ministers. In addition, our new strategic plan and the new Dutch Code were considered to be of great importance for further cooperation. Quoted projects were the far-reaching BeNeSam of the two Navys, the integrated Benelux Arms Control Agency in operation in Peutie, the cooperation on airspace monitoring, the existing cooperation in the logistics domain, together with the cooperation of our Navys also the joint acquisition and management of spare parts of the Navy version of the NH-90, the joint paratrooper training in the paratrooper training centre in Schaffen, the study of the cooperation of ground fire support together with Germany, and the establishment and training of a Benelux EU Battle Group planned for 2018. The agreement signed on 4 March is a treaty between the Kingdom of Belgium, the Kingdom of the Netherlands and the Grand Duchy of Luxembourg and concerns cooperation in terms of airspace security in the event of threats by civil aircraft. This text will be subject to the consent of Parliament and set in the form of a law – as we usually do. The ratification of the treaty will then be carried out by the executive branch. In the context of the fight against terrorism, following the attacks of 11 September 2001, and in accordance with NATO guidelines, the concept of renegade was developed by the Defence Staff to describe the actions to be taken in Belgium to prevent the use of a civilian aircraft as a terrorist weapon. This concept was approved on May 18, 2014 by my predecessor. Under NATO agreements, the use of NATO's integrated air defence system is permitted only for military aircraft. This is a difference between the two devices. Against a civilian air threat, the concept of renegade provides that the use of force will be the responsibility of the national government authority, known as the NGA – National Governmental Authority. In Belgium, I am the one who bears this responsibility. Specific technical agreements common to the signatories to the Convention will ensure the computability and harmonisation of the procedures to be followed. The Convention is necessary to establish the relevant legal framework and to respect the sovereignty of the States concerned. In this context, a treaty with France has already been signed in the past and a new treaty with Germany will soon be signed. The Benelux Treaty strengthens cooperation between our three countries, Belgium, the Netherlands and Luxembourg. Under the Benelux Treaty, the decision to use force in the event of a threat by civil aircraft shall be taken by the competent national authority of the State above which the incident takes place. It's clear, in Belgium, it's me. I am in Belgium, in consultation with the Minister for the Interior and the Prime Minister. In the Netherlands, that is the Minister of Security and Justice. The settlement of any damage shall be carried out in accordance with the Convention between the States Parties to the NATO Treaty on the Status of Their Forces and with applicable international and national law in this case. Joint surveillance of the airspace of the three countries has no consequences in terms of military procurement, maintenance, maintenance or training of our pilots. Belgium and the Netherlands will be responsible for the monitoring. Joint monitoring can be carried out even if countries do not have a common platform. The realisation of scale effects, production, maintenance, logistical support, etc. will continue to be possible with these countries using the configuration that Belgium will ultimately choose for. I would ask you to make it very clear that I have said that scale effects will be possible with those countries that will have the same aircraft as we do.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u44	Thank you, Minister, for your reply on the possible forms of cooperation. The procedures are clear, harmonisation is still under way. I have an additional question that I forgot a moment ago. This cooperation may, of course, take account of the long-term strategic planning, or is it entirely separate from that? Of course, we also need to look at the efficiency gains, but we will probably get information on this when the time comes.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u45	Minister, I am very pleased to have received confirmation that a cooperation agreement does not involve cooperation on military procurement. This reassures me of what your colleague De Crem said, which we will have the opportunity to talk about in a few minutes.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u46	Minister, thank you for this information. I understand that you will make the decision with the Prime Minister and the Minister of the Interior for Belgian airspace. That seems legitimate to me. For the Netherlands, it will be the Minister of Security and the Minister of Justice. I'm a little less reassured than my PS colleague because you say two different things.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u47	I'm a fake naïve.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u48	You say it's not necessary to have the same platforms, but if we have the same platforms, you say there will be scale effects.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u49	Mr Yüksel, to what extent does this correspond or not to the strategic plan? It is clear that we are in a number of international contexts and that we must let them continue. I don't need to write a plan to know that we can take steps forward there. As such, it is stated in the coalition agreement and in my policy paper for the coming years. You may regard that as a preliminaries, but I do not see it as such. I think it's just a natural evolution of things. Mr Dallemagne, what I said was that as far as hunting planes are concerned, we will be looking for scale effects, but we will find them with countries with the same system as we do. This means that if our choice is different, we can look for scale effects with other countries.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u50	For example with France and the Rafale?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u51	For example.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u52	It's important, because in reality, there are three types of aircraft, if I understood correctly. The Dutch have the F-35.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u53	There's five of them.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u54	But among the neighbours with whom we have cooperation, there are the Rafale, the Eurofighter and the F-35.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u55	There is also the Saab, Mr Dallemagne, in Europe.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u56	But a little further.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u57	I don't want to get into this discussion. What I'm saying is that it's obvious that we'll be looking for scale effects, no matter what plane we choose. That's what I said. I have confirmed that in terms of cooperation in the protection of our airspace, it is clear that now or in the future we will have two had a week on two 24 hours a day, seven days a week. Now it's permanent. Any platform will allow us to alternate every other week. It's already a profit. I can feel that every other week costs less than every week.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u58	I'm glad. Again, I think we're going in the right direction. I think that, since we have cooperation with France, Germany and Luxembourg, it would be interesting in the future to have a five-way discussion on airspace monitoring. It would be an exercise.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u59	That's what I mean. Regardless of the type of aircraft chosen, scale effects with other countries are possible, as is already the case with F-16s (continuation, midlife update, etc.).). This can be done with any country that shares our ideas.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u60	I would just like to take a step further, Minister. I think the trend is good. There are major budgetary difficulties. We are faced with renewals of sometimes heavy equipment. In addition, greater cooperation efforts are taking place. For my part, I call for these air cooperation efforts to be examined, if possible, at five, and for this opportunity to be used to address the related air equipment issues.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u61	Madam Chair, Minister, I am a very constructive person. I am a fan of the Arlequin collection; I want an ideal world where the government loves each other. I will not hide from you that the perpetual ruptures between the CD&V and the N-VA are a great concern to me. It is with a certain astonishment that I was able to read the statements of the Secretary of State at the Diplomatic Days, in favour of an acceleration of the F-16 replacement programme. A matter that does not fall within its current competence and which, in your view, is, in particular, at the stage of reflection at the governmental but also at the parliamentary level. Mr. De Crem, however, took the opportunity to repeat his clear personal preference for the American F-35. "The purchase of such a nuclear-capable aircraft will allow Belgium to remain a reliable small partner in NATO and the European Union," he said to the heads of Belgian diplomatic posts. He also reiterated that about 40 devices would be needed and that it would be preferable for the government to hasten the process. You'll probably enjoy it, minister. This particularly shocked several participants from the diplomatic posts. I would therefore like to ask you, Minister, the following questions. How do you position yourself against the statements of the Secretary of State? Are these statements, in your opinion, likely to cast doubt on the survey he had launched for the possible replacement of the F-16s? In view of his current powers, would the Secretary of State have any other information on this matter than you or Parliament? Is its intention to "happen" the debate followed by the government?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u62	Mr Pirlot, the statements made by Mr Pieter De Crem, Secretary of State for Foreign Trade, regarding the replacement of the F-16s he made in the context of his speech on Diplomatic Days on 2 February 2015, are, in my view, a personal title and in no way an expression of the government's position. You may also address the question to my colleague Pieter De Crem. The file on the replacement of the F-16 is still in the preparatory phase, as you know, and will be carried out by me in accordance with the agreements in the government agreement in all possible transparency and in compliance with the rules in force. I would also like to point out that a strategic plan will have to be drawn up earlier and that a level of ambition will be defined there. This level of ambition will be crucial for the start of the purchase process for the aircraft that will replace the F-16. So to date, I have no preference for any kind of successor. However, if my colleague has, in his budgets, the necessary budget to buy any plane, he is free to do so.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u63	Minister, thank you. Madam President, as I said at the beginning of the speech, I am very constructive. I propose that you bring together a majority speaking group of Members with Mr. From Crem. It's very fashionable in psychology. We're all in circles. Sitting on chairs, we talk about our childhood injuries, etc. I'm sure after this therapy, Mr. De Crem will be able to overcome his frustration that he no longer deals with defence and will then be able to devote himself to the management of this gigantic department of foreign trade. If this therapy fails, then it will have to be obvious. I come from a small rural area, often caricatured by shows like L'Amour is in the meadow. A saying from home simply says, "You can't ask a sparrow to have the intelligence of an eagle."
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u64	Debates of the European Parliament Mr Top's 1952 has been postponed. Questions Nos 1957 and 2069 by Mr Top and Mr Flahaux may be postponed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u65	Madam President, Minister, following the monstrous execution of the Jordanian pilot who had fallen into Daesh's hands, and once he had passed the emolument that had aroused this act, we must consider the rescue device that is in place. According to the New York Times, as a result of the crash in the Raca region, the Arab Emirates and Morocco had decided to interrupt their overflights of Iraq and Syria, given the excessive distance of the intervention and rescue forces. Indeed, the search and rescue aircraft are officially based in Kuwait, while the fighting is mainly taking place in northern Iraq, resulting in a long displacement to implement any rescues. According to this daily newspaper, the United States intended to reposition its teams in Erbil, northern Iraq, in order to allow a faster response to rescue coalition pilots. Since the introduction of this question, a number of things have happened. The Emirates, which was in dispute with Washington on their arrangements for the rescue of the pilots serving in the coalition, resumed their raids in February. Minister, if, according to General Frederik Vansina, the conclusions of the risk analysis would not have changed for our pilots, did the removal and execution of the Jordanian pilot inform the rescue device differently? What measures are being taken to help our pilots in the event of a crash? Do you have any new information to share with us about this? Moreover, since the Jordanian army intensified its strikes on Daesh in the first half of February, the terrorists have published an Internet video in which they broadcast pictures of Jordanian pilots, threatening them with reprisals. I therefore wonder whether a similar risk could affect our troops present on the spot. If so, are measures taken to protect our men and their families?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u66	Mrs Wilmès, please excuse me, but my preparation covered the three questions.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u67	It doesn't matter.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u68	Defence is not aware of the exact content of the concerns expressed by the United Arab Emirates. The personnel recovery aspect, in this case the search, recovery and rescue of personnel, is considered as a priority task within the multinational coalition. In addition, the knowledge and skills in this field are of a high level. They build on recent experiences in Libya and Afghanistan, among others. Defence has therefore adapted from the start of operations over Iraq to the applicable personnel recovery procedures. Personnel recovery is a responsibility that is coordinated with all available resources within the multinational coalition, tous ensemble. Given the specificity of the assignment, within the multinational coalition only the United States have the vector that allows to rescue a pilot from an enemy environment. However, all members of the coalition may, with their specific means of air, provide support during the performance of that mission. Response times are constantly analysed and evolving in a favourable direction, but are influenced by the ground security situation. If necessary, personal recovery resources can be moved to a forward base to further reduce response times. During their training as a F-16 pilot, the Belgian F-16 pilots undergo a thorough training and have state-of-the-art equipment for the execution of their assignment. Refreshing their knowledge and skills in the field of personal recovery is provided periodically, and in any case for participation in an operation. Following the dramatic death of the Tunisian pilot, no additional measures have been taken for our F-16 pilots, as has already been reported in the media. That does not, of course, prevent such an incident from affecting our pilots. The close connection between the F-16 pilots allows them to ventilate their possible mental concerns through communication. If this is not enough, a network of military psychologists can be called upon to deal with the problems further. So far, none of the F-16 pilots who have been deployed have had to avail themselves of this psychological assistance. The information on the shelling of the Dutch F-16 was shared with all coalition partners immediately after the incident, in order to implement any additional precautions. The Belgian F-16 procedures and tactics were found to be safe enough, so an adjustment was not required. Our Belgian F-16 people have not yet suffered any damage during the execution of their shipments over Iraq. Finally, in order to protect Belgian personnel participating in Operations Desert Falcon missions, Defence is imposing strict measures to maintain the anonymity of deployed military personnel. Thus, no face can be photographed or filmed. The names of the military cannot be communicated. No interview of pilots can be made. Only the detachment commander is authorized to communicate with the press, etc. In addition, staff are made aware of the danger of communication on social networks before, during and after the mission.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u69	Minister, thank you for these answers. You have told us about all the various measures taken upstream to ensure the safety of our pilots and, consequently, their families. It was important to emphasize that preserving their safety and that of their loved ones was one of our priorities.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u70	Madam President, Minister, I shall ask you in two stages: firstly, the assessment of the Hélios programme and, secondly, its future. Thanks to enhanced cooperation in the military and intelligence fields, Belgium currently has a state-of-the-art satellite capability for observation and reconnaissance. Indeed, while the Helios 1A and 1B satellites, launched in 1995 and 1999, and 2A and 2B, launched in 2004 and 2009, are of French design and are ultimately under the control of the French Directorate of Military Intelligence, there are six users: France, Germany, Belgium, Italy, Spain and Greece. The Helios 2 programme is thus 90% financed by France, with a minority stake in Belgium and Spain, joined by Greece and Italy. In addition, recognition capacity exchange agreements between Hélios and its German and Italian equivalents were also signed in 2005-2006. On this basis, the use of the Hélios satellites is shared between each of the participating countries which regularly submit to the French control centre a list of the places they wish to observe and photograph. This system of European mutualisation is obviously very positive in this strategic area for all partners and for Belgium in particular. However, I would like a little more details on the characteristics of Belgian participation in this programme. How much is our cumulative financial contribution to the Hélios program since its inception? How much does it account for our annual budgets? In the end, what is the Belgian share in Helios at the financial level, but also in terms of technological and industrial implications and spin-offs? Above all, what is our right of use in proportion to the whole? At what rate can we make specific requests for comments? What did we observe, and for what reason? What assessment do you make of the added value of this information for Belgium and the cost-benefit ratio for our country? Who were the main recipients: the SGRS, the Sûreté de l'Etat, the Défense or other bodies and bodies? The question then arises of the future of this cooperation and, more specifically, of Belgian participation in the future successor of Helios, which will soon come to an end of life. A first attempt to prepare a resolutely European replacement, called MUSIS, which would have brought together the same participating countries from the outset, in association with the European Defence Agency, finally fell into the water in 2010. Nevertheless, MUSIS continued to exist, but this time as a joint co-financing structure of the French successor to Hélios, under the name CSO. There should again be a sharing between European contributing countries on the basis of an essentially French programme. It should also be composed of two satellites. The first launch would be scheduled for 2017. Minister, do you confirm this setup, this device, this timing? In what form is Belgium present in this MUSIS-CSO structure? How much? According to what right of use? For what type of program? If this is not the case, are there any difficulties in setting up this mechanism? More generally, what do you expect in the future with regard to European satellite cooperation and Belgium's financial contribution so that we can benefit from such services? Indeed, it seems to me extremely important to be able to contribute to this type of satellite device.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u71	Madam President, dear colleague, Belgium committed itself to the Helios 2 programme in 2001. This commitment represented an investment of EUR 74 million and an annual operating budget of between EUR 3 and 5 million, starting with the launch of the programme for Belgium in 2004. The cumulative financial aspect, without taking into account the initial investment, currently represents just under EUR 40 million for the operation of the Belgian CSO station, i.e. the Belgian Main Helios Centre (CPHB), and the share of the common cost of the programme. These costs are shared among partners based on their initial contribution. For Belgium, this participation amounts to 2.5%. The programme still has technological spin-offs from Belgian companies subcontracted by the manufacturer of the Airbus Defense and Space system. It is Spacebel and Cegelec who have a daily responsibility within CPHB to maintain the operationality of the system at more than 99%. The right of use of the system is linked to the partner's contribution, i.e. for Belgium 2.5% of the possibilities of shooting by satellite. In this context, Belgium can therefore set its programming and acquisition priorities according to its operational needs in coordination with the other partners in the programme, in proportion to their contribution. Our priorities for acquisitions stem mainly from the needs formulated, on the one hand, by the services of the SGRS and, on the other hand, by other departments or departments such as the Defence Operational Centre, the State Security and the FPS Foreign Affairs. The system is implemented by CPHB, which is under the responsibility of the General Intelligence and Security Service. Helios 2 thus enables Defence to create georeferenced products of different types, whether classified or not, of high added value, in order to answer both ad hoc questions and the ongoing monitoring of areas of interest. Compared with purely commercial acquisitions, it should be noted that the cost/benefit ratio is particularly positive. Indeed, for the same level of ambition in number of images, a contract with a commercial supplier could be up to four times more expensive. In addition to the financial argument, this government programme also provides Belgium with very good responsiveness, control over the confidentiality and integrity of the image and a high degree of autonomy thanks, among other things, to access to the system's programming. The end of Helios 2's life depends on the technical state of the satellites and the willingness of the partners to continue investing in the programme, given the national needs of each partner. Therefore, it is not illusory to estimate today that the programme will be able to last until 2019 or 2020. In addition, in view of the change in the objectives of the MUSIS programme under the aegis of the European Defence Agency, the French national programme Component spatial optics (CSO), which can be regarded as the successor of the Hélios 2 programme, is being followed up by some interested partners bilaterally with France. Since 2012, the Federal Science Policy Programming SPF (BELSPO) has invested €50 million in the CSO project. Since 2012, Belgium has sent requests to France to obtain a concrete offer for Belgium's participation in the CSO programme with an operational return equivalent to that of the Hélios 2 programme. I can confirm that I rested the question with my counterpart at our meeting in Germany a week ago. France has informed us that it is making every effort to respond to us in detail in a short time. To date, however, no concrete or partial response has been received. It should be noted that the complexity of political, operational, commercial and technical issues in France has somewhat delayed the possibility of responding quickly to Belgium. As long as the Defence Staff is not in possession of the French offer, it is impossible for us to make a final decision on our participation in the CSO program. In any case, in the context of cooperation in the field of Earth observation with satellite means, Belgium's ambition is dependent on the financial feasibility of integrating an observation programme into defence investments. As these are long-term commitments, various elements (financial, economic, security and military) must be taken into account during these assessments. These investments will continue to benefit from this type of information. In short, we are waiting for their offer.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u72	Minister, I appreciated the details of your answer. Nevertheless, you wait for their offer to position yourself. I believe that a principled position should be adopted from the outset. You have demonstrated the importance and usefulness of this program. The annual cost is ultimately reasonable in relation to the profits earned. Indeed, if we had to turn to the private sector for the same type of information and probably of lower quality, it would have cost us four times as much. This is a budget that you place between 3 and 5 million euros per year. Perhaps it would be interesting to confirm, now, the interest you have in keeping this contribution for such a program. Otherwise, it would be harmful for Belgium and our intelligence services. We have recently heard from the SGRS, which in fact referred to its concerns in Parliament with respect to the continuation of this program. His questions were clear in this regard. Therefore, it is important to get a quick response. I remain attentive and would indeed like to receive a reply from France. It is a pity that today, France, which seeks to position itself on other types of military markets, does not seek to respond more quickly to this issue. Overall, we all need to make an effort, within Europe, to build these defence elements and devices together. But it would be interesting for Belgium to adopt a principled position on this issue in order to be able to contribute to the future development of a satellite network, because it also has consequences for our own industries and research centres. That is why BELSPO is involved in this matter. I am counting on you to adopt this principled position pending France's response.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u73	Debates of the European Parliament Mr Vandenput (PPE). - (DE) Mr President, ladies and gentlemen. 2278 by Mrs Fernandez Fernandez.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u74	Madam President, I would like to make a comment on the report. I appreciate those Members who have a question postponed, but I do not like to hear them say that they have to wait a long time before they receive an answer.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u75	You're right.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u76	Madam President, Minister, on 6 February 2015, NATO Secretary of State met. The Readiness Action Plan was strengthened and the scale and specifications of a very high quality force or the spearhead force were determined. That decision should strengthen the NATO borders in the south and east of Europe. In addition, the relationship between NATO and Georgia was discussed, with a reference to strengthening cooperation between the organisation and Georgia, including the launch of a joint training and evaluation centre. Georgia's accession to NATO was also underlined once again. This is, of course, an important signal from NATO towards Russia. Russia has always made a distinction between NATO Member States and OSCE Member States, where countries belonging to the OSCE but not to NATO are still susceptible to their control or interference, if I may use that word for that. Mr Minister, can you explain the decisions that have been taken? Is there an additional effort required from Belgium, alongside the F-16s and the troops that sent our country to Poland? What views did you defend at that meeting on the Readiness Action Plan and the spearhead force? For our group, it remains important that NATO membership be assessed on its merits and that it be used effectively. I have three sub-questions on that. Can you give an update on Georgia's candidacy for NATO? In your opinion, is this an added value or not? What is your position on the matter?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u77	Madam President, Mr Yüksel, at the NATO meeting at the level of Defence Ministers on 5 February 2015, it was decided to strengthen the NATO Respondence Force with a very high-quality joint task force and also to establish multinational command and control elements in the Baltic States, Poland, Romania and Bulgaria. This NATO initiative is part of a package of measures, namely the Readiness Action Plan adopted at the Wales Summit, and is purely defensive, proportionate and in line with existing international agreements. As a solidarity NATO Member State, Belgian defence will participate in both the very high quality joint task force and the multinational command and control elements. Both implementations benefit the 28 Member States and are implemented by the 28 Member States. These multinational command and control elements will be half-managed by the military of the host country concerned and half by multinational personnel on a rotating basis. The command and control elements will assist the coordination of multinational exercises, the planning of collective defence and the preparation of rapid deployment of troops to the region, if necessary. These decisions were taken by consensus and all 28 NATO Member States will participate in the Readiness Action Plan according to the usual distribution key and on the basis of fair burden-sharing, including Belgium. The modalities for the implementation of these additional efforts are currently being examined within the Defence Staff. There are certainly costs involved, but we are going to try to resolve this internally. At this NATO meeting, I defended the following positions. Firstly, the alliance's security is indivisible and the alliance must be ready to address all threats, both from the east and from the south. Depending on the speaker, it was noted that there was a greater interest in the East or in the South. The more people come to us, the more people look to the south. The more one moves to the east, the more one looks to the east. NATO must ensure that the Host Nation Support is harmonised within the six eastern Member States. This is a matter of Burden Sharing and such. Belgium is in favour of involving partner countries in the Readiness Action Plan. In other words, cooperation is the key word. Finally, Belgium supports the strengthening of the German, Polish and Danish contributions to NATO structure, in particular the multinational army headquarters in Poland. As regards Georgia, this NATO meeting discussed the state of implementation of the Substantial NATO-Georgia Package on Defence Capacity Building. This package was adopted at the Wales Summit and means that NATO offers concrete support, advice and assistance to Georgia with the presence of advisors from the NATO Member States, including now also from Belgium. Like the Readiness Action Plan, this NATO initiative is 28 for 28. The aim of the package is to assist Georgia in achieving its national defence objectives. A possible accession of Georgia to NATO falls outside the competence of the Defence Ministers.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u78	Thank you, Minister, for your reply. I am pleased that we, too, are taking on board our commitments in this regard.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u79	Minister, the coalition agreement announced a strategic plan that will reflect the long-term vision of defence. Due to the heavy savings within Defence, this plan will of course become crucial because it will develop the future path of our Belgian army. The coalition agreement also indicates that the plan must be drawn up six months after the beginning of the legislature. In the meantime, we all know that the plan will be postponed. I won't say things that have become obsolete in the meantime. The strategic plan for defence must, of course, also be accompanied by accurate budgetary control. This is also important for the defence staff, who would like to be clear as soon as possible about the future implementation of the defence mandates. Everything is being postponed now, but what precise timing do you put first? What are the reasons? You indicated that you would present the broad lines to the Council of Ministers at Easter. How far will you go in drawing up the lines? Will it be clear, for example, what and how the missions will continue? Will these broad lines already be sufficient to produce and implement budget control as accurately as possible? The 2015 policy paper also states: "As far as the large investment programme is concerned, the strategic vision to be presented will be based on a ten-year military programme law. Does the postponement of the strategic plan also mean a postponement of the military programme law? When do you plan to submit the programme law to Parliament and the government?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u80	I answered the same question by Mr Tim Vandenput in plenary on 12 February. I explained the situation at the time. The coalition agreement asks the Minister of Defence to present a strategic vision for Defence within six months. I'll do the same. There will be a strategic vision for Defense within six months. I think I have said this on several occasions. So there is no question of postponing anything. It is a question of transforming a vision into a time table with strategic planning which is then translated into concrete actions and implementation. If the media means that everything has been postponed until the autumn, and if you want to believe that, Mr Yüksel, then so be it, but this is not the case. I come, as agreed in the government agreement, with a strategic vision within six months of the government's accession. I opt for this step-by-step approach, a great strategic plan, and then implementation to develop a Belgian Defence worthy of this name. I will therefore ask for an agreement by the government around Easter, which is six months after its entry into office, to continue in a certain direction with Defence. The note I will then submit will indeed contain elements relating to our ambition, coupled with the necessary capacities and budgets. That vision can then become a complete plan at different stages. If you are asking me today when I will come up with this military programme law, we will have to see it. There's no timing on that. I think it is important that we first know what we are going to do, in which we want to invest, make a good estimate of it and find a good way of putting it into a law that will provide security and stability for the defence of the future. Stability which has been sought for some time and which will be guaranteed by this military programme law. The timing: this legislature and on time to make the necessary orders.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u81	Thank you, Minister, for your reply. A lot of things have already been known through the media. There's not much you can do about that either. However, it is correct that you are now saying that a vision will be developed by Easter and that we will then have a plan that will be implemented. There is indeed no timing for the programme law. It would be logical if it were to be in line with that vision as soon as possible. It is difficult to say that we are going to wait until the end of the legislature for a programme law to come out. This will include important investments that will also be necessary to effectively implement that long-term strategic vision and to give Defence personnel a better future.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u82	Madam President, Minister, at the time when the government announced measures against terrorism, just after the attacks in Paris and the actions in Verviers and Brussels, I raised a question about Salafism. You know that a joint Committee on Justice, Defence and Internal Relations was organised at the time and my question was, as it were, snowed under; at least it was not addressed. Meanwhile, we know through the media that there is a group of Salafists active in the Defense Department. We also know that these extremists cannot simply be dismissed. During the previous period of government, it was examined what steps could be taken, but it was already established that there was no legal basis. In the meantime, Defence has already indicated that the military intelligence service ADIV is obviously keeping a close eye on these people. Our neighbours France and the Netherlands also have the same problems. Mr Minister, can you indicate how many military personnel currently active in the defence sector are likely to have been radicalised? Can you tell me how many ex-military jihadists have become and gone to fight abroad? Is there any information on that? What measures can be taken with regard to radicalizing military forces in the Defense Department? Not all radicalised militaries show this in their behavior in the workplace. In other words, does the Defense have a preventive policy to detect and, of course, neutralize radicalised military forces? If so, in what way? If not, why not?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u83	Madam President, Minister, the Minister of the Interior participated in the international summit against terrorism chaired by Barack Obama. Following this summit, your colleague announced his willingness to create a database that optimizes the transmission of information about Belgian jihadists, particularly to the police authorities. This database would be managed by the OCAM. Today, the State Security and the SGRS obtain from their own sources information about the Belgian jihadists. In the event of a judicial investigation, police and judicial investigators may then obtain such data. The aim of the Minister of the Interior is therefore to make this sharing of information more automatic at the local level and to break down the rivalries between the Sûreté and the SGRS under your control. However, this project raises many questions since, by definition, the information transmitted to the State Security or to the Directorate of Military Intelligence by third-party services is not intended to be transmitted to services other than the specific recipient. I would therefore like to ask you, Minister, the following questions. As it stands, what is the role of the SGRS in collecting and transmitting information on radicalism and Belgian jihadists? What assessment do you make of the exchange of information that exists today between the SGRS and civilian intelligence, police and judicial services? Have you ever had an exchange with your colleague from the interior on his project for a more dynamic database? Were you involved? What do you think of the proposed model? How will the SGRS be required to fit into such a device? Does this dynamic transmission of information not involve the risk to the SGRS of breaking trust with foreign secret services providing the information? What safeguards should be put in place at the SMS level in the transmission of this data? How can the SGRS objectively determine the information that can be transmitted and the persons to be reported? How to manage access to such data when the purposes of the services concerned are multiple? Finally, how can we ensure the establishment of such a new database, when we know that the resources allocated by the government to intelligence services are already insufficient to carry out their current missions?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u84	Madam President, Minister, Belgium has learned with horror that Lotfi Aoumeur, the terrorist who threatened to attack the car bomb and to kill Belgian and French citizens, had spent two years in the Belgian armed forces between 2010 and 2012. If my information is correct, he was a Navy paramedic. But he was not just an ambulance, since he learned how to handle weapons and some combat techniques. According to his former comrades, he would have learned a whole series of techniques that today are extremely dangerous for our citizens threatened by this person our army has formed. This is again and again the question of the jihadists in the army. You know that I spoke on this subject during the previous Parliament and also during this Parliament. On my initiative, there was an amendment to the military recruitment law which allows systematic screening in this area before recruitment. That was not the case before. I would like to take stock with you of this issue of jihadists in the army. At one point, there were about ten people. Are there still potentially threatening, dangerous people in the army? We talked about this in a previous committee and you already told me that the law did not allow you to act in this area. Isn't it time to have a legislative initiative? This seems particularly dangerous, shocking to me. I see in the daily Le Monde that the French are also extremely shocked to learn this information. Is it not time for Belgium finally to have the legal means to remove dangerous people? Did Defence, the SSRS, have knowledge of the dangerousness of this individual at the time he was there? Beyond the follow-up of these people, what initiatives, if any, are being taken to ensure that these people are excluded, that they do not constitute an extremely serious danger? We can imagine that these people who threaten Belgium may not go to Syria in the future to do so, but could immediately turn against Belgian citizens, in Belgium, after a passage in the army, since we also know that there are people who could be dangerous there. Isn't it time to take an effective initiative?
