ParlaMint-BE_2015-02-03-54-commissie-ic078x.u1	Mrs. Van Hoof isn't coming.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u39	Mr President, Mr Devin, since Mr Geerts had asked a question on the same subject, I had prepared an answer in both languages. Right now, we're in the selection phase. Such selection shall take into account the technical competence and the economic and financial capacity of the candidates. Candidates who meet the requirements and are not excluded on the basis of one of the exclusion grounds will be able to submit a tender on the basis of the specifications to be sent to them and which will include, in addition to the technical specifications, the criteria for granting the concession. I assume that we can bring the file to government level very quickly. After all, it has been dragging on for a long time and my cabinet has already put a lot of energy into it at the start of the government. The various stages are as follows: a preparatory phase; the publication and announcement of the concession and the call for applications. Those parts are already finished. The current phase is the selection decision of the applicants for admission to submit tenders. The transmission of the specifications documents to the registered applicants follows. The receipt of tenders, the negotiation with one or more tenderers, the question of the best and final offer, the award of the concession and, finally, the preparation of the contracts are followed. As far as timing is concerned, the aim is to arrive at a reasoned award decision in the coming months following the selection of candidates, the submission of the tenders themselves and their assessment. Discussions on the status of the project are currently under way with the services of the European Commission. We are concerned about reactions or comments at European level. That is why we have informal discussions with the European Commission in order to make our case clear and to defend it. Three applications were received: bpost, Belgium Diffusion (BD) and AMPs (Agence et Messageries de la Presse). Three candidates are now in the race. Fifth and sixth, the selection decision will look not only at the current capacities of the candidates, but also at the ability to acquire the necessary capacity within the appropriate time frame. During the tendering phase, further testing will also be carried out on the basis of the tenders submitted. Since the procedure is under way, I cannot give any additional explanations. The principles of employment were already worked out by the previous government in the announcement of the concession. It was mentioned that the specifications would impose an obligation to respect social legislation during the implementation phase. I hope I have answered your questions. I also hope that through the positive contacts we have with the European Commission, we will be able to move forward on this very delicate and very important issue.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u40	Mr President, Minister, thank you for your answer. Having said that, can you give me a deadline in terms of decision-making? Indeed, this dossier should have been completed at the end of last year. We are already at the beginning of February and this is still not the case. I'm not asking you for the day and the hour. Spring lasts three months. Can we wait for an agreement before, during or after the spring calendar?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u41	As quickly as possible! Still, we are working hard on this issue. Indeed, we must move forward because it is of enormous importance to all.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u42	Minister, I would like to thank you once again. You've been as precise as you could be. I would remind you that thousands of jobs are involved. I will therefore come back to this matter at a later stage.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u43	Mr President, Minister, as you know, many people do outdoor sports. However, there are also people who do sports in a fitness centre. This is a real business in Belgium. For the vast majority, SMEs are SMEs with fewer than 10 employees. Most practitioners can opt for a number of subscriptions: for a month, three months, six months or a year. The latter are usually cheaper than short-term subscriptions. The FPS Economy has no problem with long-term contracts paid monthly for too expensive to pay at once. Customers face a problem if they want to get out of such long-term contracts. Because of circumstances, people may not be able to keep their annual subscription and wish to cancel. One of the problems is the high cost of early termination. In some cases, it is even more expensive to cancel the subscription than simply to let it continue. In these cases, according to the FPS, creditors are spoken of and recognition as creditors is mandatory. The sector recognises the problem and may wish to resolve it by reducing the cost or compensation for cancellation, or by preventing early termination. You, too, made it clear that you wanted to enter into consultations. My questions are as follows, Minister. When are you planning to sit around the table with the sector, or has this already happened? Should the sector register as a creditor? If so, what time limit do you propose? What problems could this pose for the whole sector? Are you considering limiting notice periods by law? Or do you hope that the sector will make its own proposal?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u44	Mr Minister, Mr Janssen has outlined the situation very well. The long-term subscription formulas of fitness clubs are under attack. These are often annual subscriptions that have to be paid monthly. Stopping such subscriptions early often causes problems. The compensation to be paid by consumers is often greater than the price for the remaining duration of the contract. It has been announced that the Economic Inspectorate would conduct a large-scale investigation into such long-term subscription formulas. I would like to ask you a number of questions about this. Have any complaints been received by the FPS Economy on this issue in the last five years? The Economic Inspectorate has indicated that it wishes to carry out checks. Can you tell me how long these checks will take and how many staff will be deployed to do so? Are these checks a new fact or have there been any checks by the Economic Inspectorate in the past? If so, how many infringements were detected at the time? What should the fitness club do when an infringement is detected? How much time does the club have to adapt? What measures are being taken? Finally, as Mr Janssen has said, it would be a possible solution for a fitness club to be recognised as a creditor. This, of course, involves a number of obligations and a great deal of red tape. I believe that we need to find a balanced solution whereby consumers can stop their subscription, for example because of medical complaints, but also taking into account the rights of fitness clubs. In fact, rights are acquired from a contract concluded. In short, what balanced solution do you think is possible, Minister?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u45	We are not surprised by the fitness sector either. After the solariums and the hearing aids it is now up to the fitness subscriptions. We will leave nothing untouched, especially if you have any questions. In 2010 and 2011, the FPS Economy received 48 and 47 complaints respectively about the fitness sector. This figure was higher in 2012, 2013 and 2014. 129, 147 and 108 complaints, respectively. On the basis of the complaints from 2010 to 2014, 36 effective infringements were identified. Some offences can be rectified quickly, while others are allowed more time. It therefore depends on the type of infringement, how much time it takes to rectify the infringement. The current controls are part of a general investigation that ran from 1 October 2014 to 31 December 2014. Final results are expected by the end of next month. For the purpose of carrying out the checks, 50 control agents were employed to visit on average three fitness centres with a uniform checklist. How am I going to proceed? First of all, I believe that solutions should be balanced and that the interests of consumers and businesses should be reconciled wherever possible. Pending results at the end of February, initial consultations have already taken place with the professional federation. By analogy with the solar centres, we have also invited the professional federation to the cabinet. It has clearly confirmed its intention to develop a code of conduct to which fitness companies commit themselves. We have also used the same methodology here. We have told the sector what the problems are and asked how we will deal with them. They are prepared to draw up a code of conduct. As soon as the final report of the Economic Inspection is available, this code of conduct shall be drawn up in accordance with the findings. We want the code of conduct to fully solve the problem that these findings would reveal. As you know, it is my preference if the sector wants to self-regulation, provided that it is taken into account and that the findings of the Economic Inspectorate are met. So it should not be a rag of paper, with which one thinks to be off for a while again and to be left alone for a while. That's not how it works. I agree that a code of conduct is to be drawn up, but if that does not help, we will, as in the previous dossier, take tougher measures. The sector is prepared to draw up a code of conduct on the basis of the Economic Inspectorate's findings and final report and then the sector must comply with them. If that is not the case, we will re-act and consider what other measures need to be taken.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u46	Mr President, Minister, thank you for the comprehensive and clear answer. I am sure that the code of conduct will be drawn up and that we will check that the sector complies with it.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u47	Mr President, Minister, thank you for your answer. The numbers don't lie. There was a problem. It is a good thing that you consult first and if we can find a solution with the sector, that is of course also our preference. I welcome the fact that there is a stick behind the door so that, if the consultation and the code of conduct do not work, we can take tougher measures. I will certainly continue to follow this up and hope that you will.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u48	I don't know where the problems keep popping up, but when people hear all the questions, it seems like people are abusing their power. In the newspapers we could hear that there are problems with door-to-door vendors of energy contracts. The number has increased. In 2014, there was a doubling compared to 2013. A code of conduct has already been drawn up to ensure that consumers are not fooled by sellers. She states, among other things, that sellers should be very careful among the socially disadvantaged, the disabled and the elderly. Apparently, those groups are being endorsed. The rules are being violated more and more often. They wouldn't or wouldn't identify themselves correctly. They make up all kinds of excuses to get in, and they force the contract by not giving time to think. These malpractices are mainly found in small suppliers. Whether it is small or large suppliers, it remains unacceptable. In response to the call by the Energy Ombudsman to ban house-to-house sales of energy contracts, you announced two measures. You will launch an investigation into such practices and, if necessary, consider tightening the rules for door-to-door sale of energy contracts. How do you plan the investigation? Will you consult both large and small energy companies? Are you planning more checks to separate the bad from the good sellers? What specific measures are you planning to tighten up the door-to-door sale of energy contracts? What sanctions do you have in mind?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u49	Minister, Mr Janssen has already outlined the problem. In your previous answer on fitness centres, you mentioned the introduction of a code of conduct. There is a code of conduct in the electricity sector, but this does not guarantee fair competition. The Energy Ombudsman noted that in 2014 there was a doubling of the number of complaints about door-to-door sales of energy contracts. Despite the code of conduct, many vendors are still guilty of misinformation or incomplete information. He therefore clearly argued in favour of a ban on door-to-door selling of energy contracts or the imposition of excessive fines in the event of malpractice. First, has the FPS Economy observed a similar increase in the number of complaints? Secondly, will you once again consult with the energy sector in order to reconfirm or possibly strengthen the code of conduct? Thirdly, what do you think of the Ombudsman's position to ban the door-to-door sale of energy contracts or to substantially increase the fines?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u50	Mr Minister, there was indeed a call for a ban on the door-to-door sale of energy contracts. Your opinion has already been asked. However, I would have liked to know how that happens in other countries. Does the problem only exist in our country? Is there a similar ban in other countries? I'd like to have your views on the matter.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u51	My three fellow Members have already said everything. I'd like to get on top of it, because it could be worse. Together Stronger is a cooperative organisation that helps consumers to compare energy prices and join forces in a group purchase. She reported that door-to-door vendors abuse the name "Strengthening together" and often swindle older people with wrong price comparisons. I believe that these practices should be put to an end. There should be a ban on door-to-door vendors of energy contracts requiring customers to sign a contract on the spot. Can you tell which energy suppliers operate in this way? Which suppliers have received well-founded complaints? How will you stop these practices? Are you considering a restraining order or fines? How will you arm the consumer against such misleading practices? In the past, several successful awareness campaigns have been carried out to encourage consumers to compare energy prices. Is there a new campaign in the making?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u52	Mrs Vanheste, if you have specific files, as you have mentioned one, then you have to file a complaint. As you now put it, this is certainly misleading advertising and one must act against it. Colleagues, since the liberalisation of the energy market in Flanders in 2003, the FPS Economy has regularly received and dealt with complaints about door-to-door sales of energy contracts. Failure to comply with the code of conduct constitutes an unfair commercial practice under the conditions set out in book VI of the Code of Economic Law. We therefore have a code of conduct, which is not respected here. Thus, all complaints about possible breaches of the agreement are registered as unfair commercial practices in the released electricity and gas markets. The Economic Inspectorate does not see a significant increase in the number of complaints: 395 in 2012, 251 in 2013 and 279 in 2014. Only for complaints submitted via the automated web form, it is possible to reflect the number of complaints related to door-to-door sales. For the years listed, there are 14, 26 and 18 respectively. According to the information provided to me, four energy suppliers do door-to-door sales: EDF Luminus, Electrabel Consumer Solutions, Eni Gas & Power and Essent Belgium. These sales are usually made through independent sales organisations, which are sub-contracting for suppliers. The Economic Inspectorate therefore does monitor the practices in the energy sector. In the first instance, efforts are being made to improve compliance with the Code of Conduct by means of consultation. Where appropriate, a report shall be drawn up. Several minutes are under consideration at the competent prosecutors' office. However, my services have no idea of the application of the civil penalty in the event of a breach of the rules of the code of conduct on off-premises sales and by telephone contracts. The Code of Conduct, which was last revised in 2013, is a very useful complement to the existing rules and contains many detailed obligations that energy suppliers have assumed. In the first place, it is necessary to ensure effective compliance with the rules. That is why I have instructed the Economic Inspectorate to inform the energy suppliers that any infringement will be thoroughly investigated and rectified. As mentioned above, the latest update of the 2013 Code of Conduct dates back to 2013. I asked for a general examination of the application of the new obligations imposed by the energy suppliers in this amendment. There has been a great deal to do about the Ombudsman's call to ban door-to-door sales of energy contracts. However, I cannot prohibit door-to-door sales. Door-to-door sales are, after all, an out-of-house business. A judgment of the European Court of Justice of 10 July 2014 clearly shows that ambulant trade constitutes a commercial practice that the Unfair Commercial Practices Directive covers as much as possible. I can't ban it on the basis of that judgment. I am convinced that a ban is not really necessary. Compliance with the rules is more efficient. In countries where such a ban existed at the time of the adoption of the Directive, that ban could continue for six years. Some countries therefore had such a ban at the time of the adoption of the directive, but that goes out after six years. Mr Dierick asked about the situation abroad. Well, in Luxembourg there was a ban on door-to-door sales since 1987, but it was lifted in 2014. In Britain, on the basis of a mutual agreement in the sector, intervention was taken in the door-to-door sale of energy, which was abolished. In the Netherlands door-to-door sales can be done, but this practice still receives the special attention of the consumer authority in the context of aggressive and misleading commercial practices. In France there are specific rules for the energy sector, but they do not provide for a ban on door-to-door sales. I cannot prohibit myself on the basis of the judgment. Like I said, after six years, the possibility goes out. There is a code of conduct and we will have it respected better, because it has been commissioned. As in other cases, we will at some point re-evaluate whether the problem has been solved. If there are still serious problems, measures must be taken, in addition to the measures I have already taken.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u53	Minister, I think we should tell the consumer that he should always indicate when such practices occur. After all, I do not think that everyone indicates that, so we can watch over that a little bit. Furthermore, I think that we should make it clear to companies such as EDF, Electrabel, Eni and Essent that, if they are independent sellers, they should remove the charlatans from their organisation.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u54	Thank you, Minister, for your reply. When complaints about such practices come to the municipalities and contact the suppliers, it turns out that it is self-employed sellers who, once the contract has been concluded, are no longer concerned. Sensitisation of the four suppliers applying door-to-door sales and better functioning of the Economic Inspectorate will enable us to put an end to malpractice.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u55	Minister, I think it is very good that you speak clearly. The Energy Ombudsperson suggested that a ban be imposed. We are now finding that this is neither practical nor legal. That was better examined from the beginning, because now balloons are left out, while the suggestions cannot be realised. It is good that it is now clear that a ban is not possible. I'm also pleased that you're taking decisive action. There were a lot of complaints. It's a good thing you've given the order to investigate every infringement thoroughly. I think we should send a message to the consumer: if you have any complaints, submit them to the FPS Economy, so that a thorough investigation can be carried out.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u56	Minister, I am glad that you are doing this. I think the problems are bigger than we think. After all, few people who have been injured indicate that. I strongly believe in a prevention campaign. I choose to warn consumers about such practices.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u57	Mr President, Minister, I would like to ask you about the presence and increasing use of vending machines that are now part of our daily lives. Indeed, who did not one day succumb to the temptation of these automatic machines of drinks, chocolate, snacks and other treats at the station, in an airport or in a metro station? Two scenarios can therefore arise after introducing the currency and choosing the product. Either we get the requested product and the automatic distribution can be interesting and useful in our consumption practice. Either, the product is not delivered. In this case, a product was paid without receiving it. You will agree that this is unacceptable even if, very often, the citizens who encounter this kind of inconvenience go beyond the fact that the amount lost is not high and that there is usually not much time to solve the problem. However, I think it is important to stop for a moment at this situation that many consumers have encountered and to make a point. Minister, is there any specific regulation for the installation and use of these vending machines? Are there legal remedies for malfunctioning these devices? Are all the information concerning the exercise of these remedies clearly indicated on these machines? Is there an obligation to mention, for example, a telephone number, the name of a contact person or the name of the responsible company? How is the refund assessed and carried out? Can the injured consumer obtain compensation for small damages? Do you think that the consumer is sufficiently protected in this respect? Finally, have consumer organisations ever raised this type of problem?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u58	Mr President, Mrs Winckel, I shall begin by answering your last question. Consumer organisations have not yet reported problems in this regard. Maybe you have files? For our part, we are not aware of the problems that you have pointed out and highlighted. As far as public authorities are concerned, an important legal framework already exists. That is why I believe that additional regulation is unnecessary. Since serious problems do not arise, there is no need to change the legal framework. As I have just said, perhaps you are aware of specific problems. If that's the case, I'm ready to examine them. However, it would surprise me somewhat, since, to date, I have not received any files from consumer organisations. Having said that, I have here a list of the laws currently in force. You know that there is a 2011 European directive on consumer rights. Contracts concluded through vending machines or in automated commercial spaces are excluded from the scope of the latter. In Book VI of the Code of Economic Law, the Belgian legislator wanted to comply as closely as possible with the law on market practices and consumer protection. No exceptions are provided. The operator of vending machines is therefore subject to the provisions of the above-mentioned book. In order to avoid any ambiguity, the sale by an ATM does not constitute an off-premises sale, which requires the simultaneous physical presence of both parties. I have here for you a document that contains all these elements. If problems exist, I am prepared to examine them and react if necessary. But, for me, this is a case that does not have enough concrete elements to act on.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u59	Minister, thank you. I asked you the question because there are more and more vending machines. I therefore wondered whether the legal framework was sufficient to protect the consumer who would feel harmed. I think it has already happened to everyone to introduce parts into a distributor and not to receive the purchased product, regardless of its price. As distributors become more widespread, the amount of money is becoming more and more important as well. I will be aware of the documents that you will communicate to me and I will come back to the subject later.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u60	Mr. Chair, Mr.Minister, I am going back to a matter that I asked your predecessor, Mr. Vande Lanotte, in February 2014. I'll set the context for you. In 2009, the municipality of Vresse-sur-Semois, in the province of Namur, granted Alpeco Fireworks a concession for the 20-year occupation of the former NATO base in Sugny of which it owns. The agreement provided for the storage of fireworks in bunkers built during the Cold War. It quickly turned out that the terms of the agreement were not respected by the tenant in terms of both the payment of the rent and the security of the site. In October 2012, the Namibian Provincial College decided to close the site. Subsequently, the commune obtained from the justice of the peace the termination of the lease. In 2013, - this is where you intervene - the SPF Economy placed seals on the bunkers. The bankruptcy of Alpeco Fireworks was declared in February 2014 and a trustee was appointed. The latter wants to value part of the fireworks stock, repackaging another part of it, but it is likely that a stock will remain to be processed. The SPF Economy has a role to play in this process when it has to verify the level of dangerousness of the stock in order to assess what is evacuable, what is evacuable by reconditioning and what will have to be destroyed on the spot. Very recently, a robbery was committed in one of the sub-leased igloos by Alpeco Fireworks to another French company, Euro Bengal. Even if the loot is meagre, this incident demonstrates the need for a rapid security of the site, which, it should be recalled, represents the largest civilian site for the storage of explosive materials in Belgium and which is classified Seveso. Minister, can you tell me how this issue has evolved since February 2014? What was undertaken by the FPS Economy to help solve it? How long will the FPS Economy assess the hazardousness of the stock? Why has this not yet been achieved since February 2014, when I was questioning your predecessor? Could the cost of firework evacuation be estimated? This is a great concern for this small rural town. What is the status of contacts with regional, provincial and municipal authorities? This is indeed a multi-jurisdictional case. Could a timetable for action be established? Have any measures been taken to secure the site? Do you think that the company that was robbed, Euro Bengal, offers all the necessary security guarantees?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u61	Mr Minister, I hope that in your answer you will not set fire to the powders!
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u62	Mr. Chairman, Mr. Gilkinet, with respect to your first question, the order issued by the Court of First Instance in Dinant on February 21, 2014 provided for the designation of provisional directors, who were to ensure, among other things, the security and evacuation of the site. Three days earlier, however, the Antwerp commercial court had declared the company Alpeco to be bankrupt, since the directors were also discharged from their mandates from the outset. Some steps were then taken, notably by the SPF Économie, to resolve this situation. Some actions have been carried out for good purposes, others have been carried out in part, others are still under way. For the repackaging of non-marketable products, it is necessary to wait for the necessary means and the decisions of the curator. This has given rise to many consultations between the actors concerned. Their first concern was to make every effort to ensure that the curator could deposit the necessary financial resources for the management of the site as well as for unsold products. Second, this is primarily the responsibility of the site operator. An inventory of the products present, classified by categories, including waste to be destroyed, has been prepared. The bunkers containing these products are known and have been sealed. No intervention or manipulation of these products has been planned until further notice, which severely limits the risks. With regard to destruction, it still needs to be determined whether it can be carried out in a specialized facility or on-site. Thirdly, this exercise within the competence of the curator has not yet been carried out at this stage. Fourthly, the municipal, regional and provincial authorities have been and continue to be involved in the piloting and monitoring of this issue. Fifth, from the outset, the curator was asked to implement the appropriate measures to ensure that the site was guarded. This included the use of a guard company, which was also requested to collaborate with the local police. Recently, an anti-intrusion detection system was installed on site access. A few days ago, a meeting was held with my services to discuss further steps that could be taken to improve site monitoring. Finally, there is no reason to doubt the safety guarantees that this firm offers.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u63	Minister, thank you for your answer. The question is, of course, somewhat explosive. While this local issue is lagging behind, it nevertheless has a significant impact on a small rural entity in terms of security. You're saying everything's safe. I note that there has still been an on-site intrusion, which is worrying about the dangerousness of the products stored there. It is also important to consider the financial element that depends on the trustee's ability to properly complete the bankruptcy. Then comes a temporal element. I think everyone on the spot wants the case to be settled as quickly as possible. I hope that the SPF Economy will do its utmost to ensure that this is indeed the case and that we can turn this potentially explosive page.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u64	Mr President, Minister, Telenet has not been able to think away from the news in recent months since the announced price increase. The company is under attack and much improvement does not seem to be in it at the moment. Through the media, I learned that more than three thousand customers would have failed Telenet through the printing group. They would have filed a complaint with the FPS Economy for unfair and aggressive commercial practices. According to the protest group, customers who have been empowered enough to sue would have received all kinds of compensation, while those who are not empowered would have received nothing. It's about free movies up to free rent of the digicorder. Has there indeed been a complaint to the FPS Economy regarding unfair and aggressive commercial practices? If so, what exactly does the complaint entail and how does the FPS Economy continue to deal with this complaint?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u65	Mr President, Mr Janssen, I can answer this question quite briefly. The FPS Economy was informed of an open letter drawing attention to Telenet's alleged discrimination. Anyone who believes that there are unfair and aggressive commercial practices can, of course, lodge an official complaint so that the Economic Inspectorate can conduct a counter-examination of this. They're working on that, too. I would add that teledistribution prices have become a regional issue.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u66	Mr Minister, I will then pass on my questions to the regions.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u67	We like short questions and answers. Thank you very much for that.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u68	Question No 1608 by Mr David Clarinval is transformed into a written question.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u69	Mr President, Minister, on December 20, the Bancontact network came to saturation and broke down. The economic damage, as noted by the Neutral Union for Independents (SNI), is enormous. It was indeed the Saturday that preceded Christmas week. This day, however, had to be free for traders, since Worldline, the electronic payment system operator, wanted to compensate for the blackout just a year earlier. So, not only have the losses suffered by traders in 2013 still not been repaired, but in addition, they suffered further dry losses in 2014, to use the words of the Union des Classes Moyennes (UCM). There is something very frustrating here, as traders pay for this service. In summary, our merchants paid for a service that they lacked in a period of great financial benefits and for which they did not receive any compensation. This is an intolerable situation that needs to be clarified. So, Minister, can you tell me how Worldline justified his system's wanderings? Are you aware of the company's decisions to compensate for losses incurred in 2013 and 2014? The NIS and UCM assured that they would contact Worldline about these two unacceptable failures. What information have you obtained in this regard? What are the solutions proposed by the company to avoid a further breakdown? This is indeed the priority issue. What measures do you intend to take if, despite future developments, another breakdown is to occur?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u70	Mr President, Mr Winckel, you know very well that these are very sophisticated technical services. Unfortunately, it is impossible to ensure that no incidents occur. According to the information provided to me, Atos Worldline responded favourably to Comeos' request for an independent analysis of the December 20 failure. For my part, I immediately questioned the National Bank, which is responsible for monitoring payment systems. It provided me with an answer which shows that it considers Atos Worldline to be a market infrastructure of systemic importance and that the interruption of its computer systems has implications for card payments in almost all traders. The National Bank is of the view that the impact of the two incidents at Atos Worldline in December has, after all, remained limited, since only retailers using leased lines were affected by the breakdowns. It also confirms that Atos Worldline is taking steps to further strengthen business continuity and to offer alternatives to traders in the event of a crisis.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u71	Minister, thank you. I have been questioned by many traders who have been confronted with these problems, which have occurred at an important time for them. I have heard that you have responded, that you have requested information from the National Bank, and that Atos Worldline is going to conduct an independent analysis to determine the causes. It would be interesting if Atos Worldline offered the traders compensation, since the problems had arisen two years in a row. It is desirable that this should not happen again in 2015, but I know that you will be attentive to this issue.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u72	Debates of the European Parliament 1572 by Mrs Dierick is converted into a written question. Question No 1578 by Mr Nollet is postponed.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u73	Mr President, Minister, if our small and medium-sized enterprises want to participate in missions by foreign companies or governments, they often need certain certificates confirming the legal status and some factual data. Most of these certificates can be found on the portal of the KBO, but this cannot always, or usually not, be done in English. This is a threshold for our companies, especially SMEs, to become active on foreign markets, and if there is one thing Flanders and Belgium need to have it, it is export. Firstly, I would ask you to make some of these certificates available in English. An absolute minimum seems to me to be the limited extract from the current situation, containing the name of the company, the CBO number, the date on which the certificate was drawn up, the date of establishment of the company, the address, the names of the managers and the capital. Is this possible or are there legal objections? Secondly, what would be the cost of such an adjustment? Is such an adjustment planned? What other objections could prevent such an adjustment? After all, you know that sometimes between dreams and deeds laws and practical objections stand in the way.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u74	Mr Dedecker, I hear you know your classics, which is very good. I will try to give you an answer that you can be positive. The Crossroads Bank of Enterprises (KBO) now supplies only extracts in the three official national languages, namely Dutch, French and German. This method is in accordance with the applicable legislation, in particular the laws on the use of languages in administrative matters of 18 July 1966, to which the KBO must act as a federal central service. It is not possible to deliver official documents in languages other than the national languages. International conventions may provide for exceptions. Such a convention does not exist for the delivery of certificates from business registers. Here it comes, Mr Dedecker. On 16 January 2015, the Legal Service of the KBO requested advice from the Standing Committee on Language Monitoring on this issue. The question was asked whether the KBO can deliver extracts in English without these extracts being null and void. To date, the legal service has not received a reply. On 22 January 2015, a reminder was sent to the Permanent Commission for Language Monitoring. Unfortunately, therefore, I cannot give you an answer here today. However, we have asked for an opinion. The technical costs of adjusting the CBO application in order to deliver the extract in English are estimated at 10 man days for the development. Such an adjustment is not yet planned and it seems appropriate to wait for the opinion of the Standing Committee on Language Monitoring. However, if the answer is positive, I think it would be very good to spend those ten man days before the development, so that they can also deliver certificates in English. However, I would not like to be faced with a problem which could lead to the nullity of the extracts by not waiting for the political advice of the Standing Committee on Language Control.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u75	Thank you, Minister, for your comprehensive reply. You will understand that for me as a Flemish nationalist language legislation is very important, especially in view of the accessibility of people through the use of Dutch and the two other national languages as administrative languages. However, I am also very pragmatic in this. This must not hinder our economic development if, of course, there is respect for the people when it comes to using it. I am therefore very pleased with your initiatives in this area. If this is approved by the Standing Committee on Linguistic Supervision, this seems to me to be a very sensible investment that can mean a lot to our SMEs. I would therefore like to thank you for your initiatives in this area.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u76	Mr. Dedecker, thank you for the quote from Willem Elsschot. In my youth, I read the book Cheese, among other things.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u77	Question No 1649 by Mrs Matz is postponed. Question No 1664 by Mrs Matz is identical to that question. I think it's a new story. Debates of the European Parliament Mrs Dierick's 1715 will be converted into a written question. Mrs Cassart-Mailleux is asking questions in other committees but will join us. Question No 1740 by Mr Nollet is postponed.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u78	Mr President, it is true that we are talking about connected agents. Minister, I would like to return to a written question that I tabled in November 2014. I know some questions are technical and ask for more research. However, this is really a question in which the sector is waiting for your answer to take action. I have received signals about this from several quarters. So it really is a very difficult problem. It concerns the Royal Decree of 21 February 2014 amending the Law of 27 March 1995, which introduces the new definition of insurance agent related to the debt. What's a connected insurance agent? That is an agent who has concluded one or more contracts or powers of attorney with one or more insurance undertakings, under which he is authorised to read it out to me, because it is very technical for the insurance contracts which concern them respectively, only to act on their behalf, on their behalf and under their responsibility. A related insurance agent shall be allowed to act only in the name and on behalf of different insurance undertakings, in so far as the insurance contracts of those undertakings are not mutually competing insurance contracts. Unfortunately, in practice, the definition raises more questions and uncertainties than it appears to provide answers. The problem is that the majority of insurance agents who have an exclusive obligation with their insurance company may, in fact, cooperate with other companies. The most classic example is the following. Someone works on behalf of Company X, which offers car insurance but not caravan insurance. In this case, the insurance company allows the agent to conclude a contract of another company with customers who ask for such a caravan insurance. In concrete terms, the company can allow the agent to offer such policies and guarantees through a broker who is a 100% subsidiary of the group. Another possibility is for the agent concerned, with the approval of the company, to take over a broker's portfolio. Another possibility is that the agent in his agency contract with the bank is contractually required to do exclusive production with a company. When the bank then opts for another company, which sometimes happens, the agent is still allowed to manage the old policies. The new status of tied agents means that, although it is clear that a large number of companies operate with exclusive agents, they can no longer be registered as tied agents. However, that was just the intention of the legislative amendment. For all these reasons, I have the following specific questions. Are you aware of the current discrepancy between the legal framework and the real state of affairs in the banking and insurance sector? Have you been in contact with the professional associations in this sector on this issue? Do you already have a concrete solution to close the established gap between law and reality? As I said, the problem is very technical, but for the agents in this case, this is really a very acute problem.
