ParlaMint-BE_2015-05-06-54-commissie-ic164x.u1	Mrs Demir, you have a question. 2369 on the national pool of port workers.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u41	Mr President, ladies and gentlemen, I will give a very comprehensive answer. I hope that certain tendentious reports after my answer have been taken out of the world. After my reply, we will be able to see if that is the case. I can confirm that the amount referred to in the annual report of the RVA, which you have all read, is a cumulative amount and certainly does not relate only to unemployment benefits. It refers to various fees. Let me sum them up. Type 1, the granting of a retroactive benefit which is not cumulative with the benefits. It concerns, for example, the execution of a court ruling which grants the employee a retroactive withdrawal allowance, which requires the reimbursement of unemployment benefits for that period. This type of recovery represents around 18% of the total recovery. This is a situation in which the use of the technique of recovery cannot be avoided. Type 2, the recalculation of unemployment benefit for unemployed persons with an additional occupation after the tax assessment is known. Again, this is a retrospective correction based on the actual income of the self-employed secondary activity, while the benefits were first granted on a pre-estimated income. Type 3, the correction of errors and errors of social security. Type 4, deception or bad faith of the social insured. Type 3 therefore involves errors without fraudulent insight, which is the case with Type 4. The situations giving rise to recovery of types 3 and 4 are similar and are mainly related to the incorrect declaration of the family situation, the enjoyment of a financially non-cumulable advantage, the stay abroad or the follow-up of studies without prior authorisation from the RVA. Type 4 is clearly about undeclared work. As regards unemployment benefits, the amount indicated does not relate to errors of the RVA or of the payout institutions. It concerns, first, the granting of a retroactive advantage which is not cumulative with benefits, second, the recalculation of the unemployment benefit of the unemployed person with an additional occupation after the tax assessment is known, third, the correction of errors and errors of the social insured person and, fourth, the deception or bad faith of the social insured person. In order to avoid maximum undue payments, both the RVA and the payout institutions systematically and structurally cross all possible data databases. In 2014, there were 22 types of systematic cross-breeds of databases. This has greatly reduced the number of unjustified benefits. Given the time gap between changes in a database and its consultation, the RVA post factum carries out a second check on the basis of updated databases. The anomalies that are then identified lead to recovery. Moreover, the amounts circulating today are not new amounts. However, they relate only to unduly paid benefits. It is still a question of cumulative amounts. I would like to explain the EUR 291 million that we are talking about. It will of course be up to the journalists, who have coloured a number of things in the cucumber period. That was the case in the materials, by the way. The 291 million euros originate from, firstly, an unjustified accumulation of benefits with wages, an independent activity or illness; secondly, the intensified checks on the family situation; thirdly, checks on service cheque undertakings, as Mr Hedebouw has said; fourthly, recovery of provisional benefits from the sickness funds; fifthly, recovery of provisional benefits from the RVP; sixthly, recovery of sums from employers and compensation for damages resulting from non-compliance with the replacement obligation; seventhly, recovery of amounts from ex-employers for insufficient termination or cancellation fees; eighthly, recovery of amounts from beneficiaries of interruption benefits; and finally, recovery of amounts for various reasons which can normally be established only after the facts. In addition, the RVA transferred a cumulative amount of 118 million euros, of which 13 million euros in 2014 to the Administration of the non-fiscal collections. In order to recover these amounts, the RVA is dependent on the tax administration. There is also a cumulative amount of EUR 6 million to be recovered from the RVA abroad, which is an additional difficulty in itself. The cumulative situation of the claims at the end of 2014, to be recovered by the unemployment offices, amounts to 290 800 122 euros, an amount of about 118 million euros was transferred to the Administration of non-fiscal collections and 5.8 million euros were transferred to abroad. This gives a total of 414 million euros. The amount of EUR 291 million set out in 2014 is as follows. Firstly, 11.7 million is due to the unlawful accumulation of pay, self-employment or illness. This represents 8.4 % of the total amount of 291 million. Secondly, 36.7 million is due to intensified family control, or 26.3 %. Thirdly, there are 23.9 million or 17.1 % for service cheque companies. Fourthly, 16.7 million or 12% of provisional benefits to be recovered from the sickness funds. Fifth, 4.2 million in provisional benefits to be recovered from the RVP, which amounts to 3 %. Sixth, 0.4 million euro or 0.3 % of compensatory damages due to non-compliance with the replacement obligation, to be recovered from employers. Seventh, 4 million has to be recovered from ex-workers because of insufficient termination or termination fees and this amounts to 2.9 %. Eighth, 3.3 million must be recovered from recipients of interruption benefits, or 2.4 %. Ninth, there is 38.5 million or 27.6 % to be recovered for various reasons, which can usually be established only after the facts. The total growth in 2014 amounts to 104 million out of a total of 414 million. The RVA makes every effort to recover undue payments. Where possible, a 10% deduction is made on unemployment benefit. As the debtor is often not wealthy, payment plans are agreed if necessary. In the event of refusal of reimbursement, the RVA shall transfer the claim to the Board of Registration and Domains, which may then proceed to enforcement. The RVA will not remove these debts from the accounts until all hope of recovery has been effectively lost. This is the case if, in the last ten years, no repayment could be made if, according to the Board of Registration and Domains, the debt is not recoverable, if the debtor has disappeared, if the debtor has died and the estate does not allow the debt to be recovered and, finally, in the event of bankruptcy in the case of a legal person. The increasing debt rate of the population is a general social phenomenon faced by the RVA, as is the tax administration and private creditors. Thus, the fact that part of the rights established can only be collected with delay or never, is due to the fact that the debtor has insufficient funds to repay or can only repay in small instalments, but it is also the result of the previously outlined prudent policy of the RVA to remove debts from the accounts; 38,44 % of the outstanding amounts are more than five years old. They leave that open for ten years, yet a very long period. Hence, the cumulative amount takes that size. Should you say that after five years you would delete that from the books, 38.44 % of that amount would no longer occur. I would like to formulate a number of decisions. Firstly, without drawing anyone's attention, it is wrong to make it appear that the amounts to be recovered relate to a single year of operation and, above all, that it would be exclusively about wrongly paid payments to the unemployed. Second, the amount to be recovered at the end of 2014 is a cumulative amount covering several calendar years. Thirdly, this amount is limited to a limited proportion of unemployment benefits unduly paid. Fourthly, both the services of the RVA and the payout institutions work extremely efficiently: both perform systematic and maximum preventive controls. Fifthly, increased and better coordination of controls detects more fraud, for example in relation to family situations, and thus increases the proportion of benefits to be recovered. Sixthly, the payout settings are fully responsive. If they do not carry out the compulsory preventive checks and pay undue payments, they will be fully responsible for the recovery or charge of these sums. Seventh, the increase in the amount of recovery decisions taken in 2014 amounts to EUR 104 million. If you sell that at EUR 11.5 billion, it is of course still a large amount of money, it is only 1.27% of total RVA expenditure. Again, 104 million is still a serious amount, but it amounts to 11.5 billion in total. I come to my final point. Each euro must be recovered. The RVA is fully committed to this. In any case, maximum recovery shall be made. In my view, the approach taken by both the RVA and the payout institutions is the right one. In the long term, this will lead to less fraud, because the chances of getting caught have increased, precisely because of the stricter approach. I assume, Mr President, ladies and gentlemen, that this answer will clarify many things and that the journalists who write about them will now do so with knowledge. I hope that this debate will end in the cucumber period and that we will continue to work on it now, with the RVA and the payout institutions.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u42	Thank you, Minister, for the detailed answer. We are going to the replies and I would ask that they be kept rather short.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u43	Minister, that seems particularly clear to me! We could not know the figures in detail, but a person who had read the ONEM report was able to draw the same conclusion as you, i.e. that this amount of EUR 291 million concerned not only unemployment benefits but everything else. Mrs Demir, I have heard your attempt at retropaedaling, but be honest, admit that this EUR 291 million was about unduly paid unemployment benefits! You even continued, "since this is proof of the inefficiency of the unions involved in the payment of replacement income." You've manipulated the numbers grossly! It's obviously your favorite sport to yell "down the unions!" As much as I can imagine it's sexy on the electoral level, I think it's sad about political responsibility. Moreover, fraud is obviously unacceptable, be it social or fiscal. In this regard, we must continue our interventions - recognizing that the services have worked on this throughout these years - whether as a preventive measure, because that is how we can combat fraud, or through controls. Minister, if this matter is not directly within your purview, since it concerns your social and fiscal colleagues, it is also the responsibility of the government as a whole to continue to invest in it.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u44	Of course, Minister, everyone has an interest to defend here. I am defending the public interest and would like to return to the audit of the Court of Auditors, on which you have not said anything. As you know, the Court of Auditors, the highest authority in this country which controls the accounts, says in its audit that the RVA is facing a sharp increase in benefits to be recovered and that the information disclosed is not sufficiently transparent. Furthermore, the audit shows a whole evolution of outstanding balance debt securities. A division is made between unemployment benefits, including costs and interests, cumulatively on the date of 31 December 2013. I never said that's one year from now. I've always talked about a total amount. The audit of the Court of Auditors goes even further. He makes a division between unemployment benefits and other benefits of the RVA. For unemployment benefits, including costs and interests, the total amount in December 2013 is EUR 312 million. For other benefits from the RVA, this amounts to EUR 50 million. The total amount is therefore EUR 362 million. That is a lot of money for me, Minister. The answer to the question whether you will recover it, whether we are actually going to do something about it, is unclear. The Court of Auditors' audit report goes even further and has also checked with the payout institutions, which I have not yet discussed. Those who read the audit correctly will find that the payout settings will never be able to give back the money they have to give back. There is a financial risk there, which is even increasing. That's all in the audit. I'm not making that up. It is also stated in the audit that the amounts to be returned, the amounts finally rejected by the RVA, will then be taken into account by the payout institutions. In 2009, this was still EUR 20 million, already EUR 30 million in 2013, so in four years' time that amount has increased enormously. The Court of Auditors itself says that this is a financial risk. You, the Minister of Work, say here that the RVA is doing its best and that we are doing well. Then I wonder why the Court of Auditors gives a warning in its audit. As a Member of Parliament, I have a fucking duty to submit this audit here. Perhaps it would be useful for the people of the Court of Auditors who carried out this audit to come here and explain this dossier. I have still not received an answer from you today, Minister, except for the answer that you will not do anything, that the EUR 300 million is not really much money and that it is about EUR 1.7 million. For me, that is a great deal of money, Minister, and any euro you claim back may, as far as I am concerned, be put into social policy.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u45	Thank you, Minister, for your answer, which was certainly clear to some of us, if you want to hear it. Mrs Demir, you assume that some people are here to defend their own interests or the interests of someone else and that you are defending the public interest here. However, it was you who said that the unions should no longer make the payments, but that the RVA should do so.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u46	(...)
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u47	It's in front of me. I'm not done. No one's interrupting you. You said it was the fault of the payout institutions and that the authority came better with the RVA. In the Minister's reply, I have not heard at all that the payout institutions are to blame for this. You like to refer to the audit. If an error or an error of payment is made by a payout institution, they themselves guarantee to meet it. It's not the RVA that comes back to that. Mrs Demir, you compared the situation with a well: every day it rains and comes with water. So I will also talk about a well, perhaps you will understand. If there was 15 centimeters of rain in the well the day before yesterday, 10 centimeters of rain yesterday, and today it's raining 5 centimeters, it looks like the day before yesterday there was only 15 centimeters of water in the well, 25 centimeters yesterday and at the end of the drive 30 centimeters. We started with 15 centimeters and at the end there is 30 centimeters of water in the well. Well, that does seem more than that. However, if we look at the number and share of the years, we see that it is a reduction, but we must want to see it. I hope that, in the public interest, you will stop telling falsehoods and open your eyes.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u48	(...)
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u49	No one in Parliament claims that undue benefits should not be recovered. However, you focus on one particular group and that is wrong.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u50	(...)
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u51	I'm very calm. You're the only one on the committee chasing themselves.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u52	Mr President, this is one of the paradoxes of the figures put forward by Mrs Demir. If it wishes to see the money that needs to be recovered melt, it is enough to reduce the controls. There's a paradox there. The more checks are made, the more money will be collected. So, Mrs Demir, if you really want to see that figure melt down, you will have my support in reducing the number of checks. We also see this paradox, for example, with fines on the road. The more police people are deployed and the more controls are carried out, the more money will be collected. We can keep that point a little clear. That is my first point. Secondly, I am not going to turn around the pot, with regard to the question of money and the composition of families, suffering in Flanders, Brussels and Wallonia is becoming terrible among families who depend solely on allowances. Four hundred euros a month! I see around me more and more people looking for alternatives to this misery, not to die! That's what this is about, Mrs Demir. It's about 400 or 700 euros. It's about 300 euros to live. This is not about EUR 2 000 and EUR 2 300.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u53	(...)
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u54	I got the Minister's figures. It's about la composition de famille. You know very well what this is about. I'm telling you, it's gonna blow. People can't handle those controls and the pressure to live in misery anymore. Belgium is one of the richest countries. Mrs Demir, you should not be surprised that with the politics you conduct you are pushing people more and more to the abyss. Your party really needs to be careful with that. I warned you. I do not consider such figures to be intellectually correct in public opinion. You manipulated the figure of 290 million. You have talked about social fraud and trade union organisations, and now it is rétropédalage.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u55	Mr President, ladies and gentlemen, I think that the various nuances and explanations can make things clearer. It is true that there is deeper and more thorough control, with data mining and others. This makes everything more transparent and reveals the wrong amounts of money received. The RVA and the payout institutions have made efforts in recent years and these efforts need to be continued in full. As far as reclaimability is concerned, the metaphor of a well that fills up when it rains every day is a good explanation for the accumulated amounts. However, one must be able to recover them. This is about people and situations where it is not obvious to recover sums. They will be recovered. They include 10% of people who receive further benefits. We are making the necessary efforts there. I think it's good to bet maximum on the reclaimability. However, with all due respect, one cannot poach a rock. One cannot ask people who cannot repay to pay back. We have to take that into account, and that is what is happening. The preventive aspect, in particular that every effort is made not to pay undue benefits, is very clearly present. I hope that this debate can continue. As far as I am concerned, the RVA and the Court of Auditors are allowed to come here and explain. This is part of the organisation of the work of this committee. I'm not gonna interfere with that. However, I cannot get rid of a certain impression. Of course, that is not the fault of the Members concerned who are doing their job here. However, an atmosphere has been created to point the finger at certain institutions without giving them the necessary amounts or elements. I believe that we need to frame this correctly. If there are other elements, there can be a serene debate without creating an atmosphere that does not deserve this dossier. We are certainly not going forward with that.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u56	Minister, it is not my custom, but today I want to give you the testimony of a lady to illustrate the question of persons with disabilities who are excluded from the benefit of integration allowances. This is the case of Maria, revealed by a report by RTL-TVI. Twenty-seven years old, married and mother of two, with a vision impairment of 95% since her very premature birth, she is unemployed. A month ago, she discovered that she had been excluded from receiving the integration allowance since 1 January. Her story shows us her full of courage. Seven years after completing her studies, she had still not found a job. Her state of health has deteriorated sharply, as she has developed epilepsy. However, she applied for a suitable job, with no results. Since its first year of unemployment, it had received integration allowances amounting to EUR 420 per month and an integration allowance for disabled persons of around EUR 500 per month. This amounted to a total of just under 1,000 euros per month. She decided to resume her studies in September 2014 and obtained an exemption from the ONEM in order to be able to study while continuing to receive her unemployment benefits. She then turned to a higher level course. In October, his state of health worsened. She was forced to stop everything. She has been ill since 31 January 2015 and returned to the labour market on 1 February. It was at that time that she found that the ONEM had excluded her because of the time limitation of the insertion allowances. If it was excluded, it was because the controls of the ONEM were tightened. From now on, it is considered to be "permanent inapte au travail". This woman who is excluded from unemployment is not entitled to assistance from the CPAS or to an income replacement allowance in relation to her husband's wage of 1,400 euros. You're gonna tell me this is a personal case. That's right. At the same time, this story is also about 1,500 other people with disabilities. By the end of January, you had indicated that a solution would be found in the next few days in the form of a replacement allowance for persons with disabilities who are unable to earn at the ONEM, who are therefore in the same case as that lady, Maria. On March 18, 2015, the National High Council for Persons with Disabilities reported that several hundred of these people have not received any financial compensation at this time despite your public commitment. These situations are very special, with people who, despite their heavy handicap, bravely try to continue to pass the tests and to get involved. Minister, in the face of these humanly very difficult situations and following your promise of January, what is the situation today?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u57	Mr President, ladies and gentlemen, the measure which has had the effect since January 2015 that a number of integration recipients lose their entitlement to benefits is not an exclusionary measure but an end of law for those who have reached the prescribed maximum period of compensation. This measure is general and applies to all integration recipients, whether valid or less valid. I will provide you with a detailed note setting out the measures we have taken, but the most important thing now is that people who are unable to work because of a pre-existing disability and who have reached the end of the law for integration benefits, because the duration of unemployment exceeds three years, are entitled to benefits from the DG People with Disabilities or to a review of their disability benefits in the case of persons who have already been taken care of by this administration. DG People with Disabilities deals with the cases of people who already benefit from a disability allowance. It deals with other cases at the request of the persons concerned. If there are individual cases in which medical assessment is problematic, the ONEM is prepared to review them in consultation with the DG People with Disabilities. In addition, following an inquiry by the National Higher Council for Persons with Disabilities, a consultation meeting will be held to reconcile the methods of assessing the earning capacity of the ONEM and the DG People with Disabilities.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u58	There's a clear signal from you. I don't know if I can get the details of what you announced to me. I guess you didn't say everything orally. I am, of course, waiting for this meeting to be held in order to reach an agreement between ONEM and the DG for people with disabilities and for concrete solutions to emerge from it. We are in humanly very difficult realities for a very small number of people who have a heavy or even very heavy disability. I hear your willingness to reach solutions. I welcome this because the months are beginning to pass and these people are in sometimes extremely difficult realities. Thank you for keeping me informed on the evolution and solutions that will be found.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u59	Mr President, Minister, on February 24, 2015, the National Labour Council (NTC) issued Opinion No 1925 concerning the system of employer groups. In this opinion, the CNT takes a position in particular on the extension of the validity of the Royal Decree of 8 July 2014. As a reminder, the Act of 12 August 2000 was recently amended with a view to making the use of a group of employers more flexible and wider. The law of 25 April 2014 allowed for a group of employers to take the form of an ASBL, AISBL and/or a foundation and for the recruitment of all types of workers to be possible. This Act entered into force retroactively as of 1 February 2014. This date was fixed by the Royal Decree of 8 July 2014 which provides for the procedure for granting authorisation to groups of employers to place workers at the disposal of their members, by the Minister of Employment. The Order itself entered into force on 1 February 2014. However, the provision on the procedure for granting the abovementioned authorisation will cease to have effect on 1 July 2015. The new groups of employers established on the basis of flexible and extended legislation were initially to be regarded as pilot projects. In its Opinion No 1925, the CNT took the initiative to request a one-year extension of this provision. I asked you my question on March 20th. It has two different components. On the one hand, what assessment should be made of these pilot projects? I cannot imagine an absence of evaluation. On the other hand, does the government intend to extend the validity of the Royal Order of 8 July 2014 as requested by the CNT? In the meantime, you have issued a press release. I imagine that you will answer me in the same direction by adding details, particularly regarding the evaluation of the pilot projects of the employers' groups.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u60	Dear colleague, you are right, the draft royal decree to extend the royal decree until 1 July 2016 was submitted to the Council of Ministers on 24 April. It is now submitted to the Council of State for its opinion. In addition, I draw your attention to the fact that the law imposed a legal form on groups of employers, namely the form of economic interest groups within the meaning of the Code of Companies or ASBL within the meaning of the Act of 27 June 1921. On the other hand, the law did not provide for the legal forms of AISBL and foundation within the meaning of articles 27 and 46 respectively of the Act of 27 June 1921 referred to in your question.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u61	Minister, thank you for your answer. With regard to the last aspect of your response (ASBL, AISBL and foundation), I will allow myself to verify. Indeed, if you did not mention the law of 25 April 2014, I have the impression that we are discussing two different laws. We are both talking about groups of employers. I will re-check this first part from a legal point of view, because I think it appears there, as well as at the level of the Royal Decree on the basis of the law. Moreover, it is good that you have extended the period of validity of the Royal Decree until 2016. I do not know whether a review has been made of the pilot projects. In addition, employers' groups are very positive initiatives that we absolutely need to support. I hope that we can take a long-term structural approach. If we have an additional year, I hope you will have time to conduct an evaluation of these pilot projects by 2016.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u62	Mr President, Minister, L'Avenir recently highlighted the practices implemented by at least one temporary agency and some companies that offer job applicants to take a day of unpaid work as training. This day often follows a presentation of the company, tasks to be performed and various tests (interviews, questionnaires) sometimes spread over several days. In the eyes of the candidates, this day of delivery is understood as a test for engagement, while the acting agency officially describes it as a training. The qualification of "stage" or "test" is obviously not without consequence from a legal point of view. Thus, in 1991, the Labour Court of Liège had established "that the pre-employment test must be characterised by a lack of utility, profitability or productivity. The required test can be productive but this productivity must remain random and cannot be a profitable activity for the company." The Court added that "the duration of practical tests and/or tests must be limited to the time necessary to assess the candidate's abilities". By presenting these services as training, both the acting agency and the undertaking concerned clearly intend to escape these constraints imposed by the case law. However, it is difficult to see how the performance of an extremely repetitive task on a production chain, for a whole day, contributes to the training of a candidate. L'Avenir cites the example of a company that would have taken advantage of the free labour force of nearly 200 candidates to condition food under cover of training. The financial gain for the companies that organise these days can therefore be relatively substantial. This is almost the equivalent of a full-time worker's work for a year. Minister, do you consider the practice described above to be legal? Are you aware of complaints from individuals who have been subjected to such a practice? What was the result of these complaints? To which body can the workers concerned be contacted? Is there no need to clarify the law or to inform the temporary agencies and the workers concerned of the legislation in force in this area?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u63	Mr President, Mr Gilkinet, in the context of a recruitment procedure, several tests may be imposed in order to verify whether the candidate has the knowledge and skills required for the function concerned. Both the doctrine and the case law are unanimous on the fact that if the selection procedure includes productive work as a practical test, the duration of these tests must be limited and proportional to the capacities which are to be verified and cannot constitute a profitable activity for the enterprise. These rules apply irrespective of the qualification given to this pre-employment test and this is all the more so when the qualification does not correspond to the reality of the facts. Training is defined as the acquisition of all theoretical and practical knowledge in a technique or occupation. In principle, in a selection procedure, there can therefore be no question of training a candidate before his/her appointment, but of checking his/her abilities. If training is really necessary for the performance of a function prior to any commitment, it should be carried out within the framework of vocational training, in particular through the arrangements set up by the Regions. Moreover, in the case of temporary work agencies, all the provisions of the Law of 24 July 1987 on temporary work, temporary work and the provision of workers to users must be complied with. To date, my services are not aware of any complaints in this regard. The persons concerned can always apply to the Control of the social laws of my administration.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u64	Minister, the answer is very clear as to the illegality of the practice. I hear that there has not yet been a complaint on the subject, but I have no doubt that on the basis of your answer, they will be able to arrive! The aim is not to specifically sanction a creative employer at the expense of job seekers but simply to stop such practices, which are also symptomatic of the state of the labour market. Indeed, highly motivated workers are looking for a job; they are willing to accept a lot of things to find one. They are sometimes abused by unscrupulous employers. In addition, they may face endless harassment as a result of decisions taken by your Government, which takes too little account of the state of the labour market, particularly in some subregions.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u65	Minister, the collective labour agreement No. 98ter of 24 February 2009 amending collective labour agreement No. 98 of 20 February 2009 concerning ecocheques will enter into force on 1 June. The new Convention amends, in its annex, the list of environmentally friendly products and services that can be acquired with eco-cheques. From now on, their use for the purchase of soda machines, accessories and refills for these machines will be allowed. If we can question the advisability of such a decision in terms of public health, it is above all the political contradiction that I will highlight. Indeed, in Belgium, "Soda Stream" enjoys a de facto monopoly on this type of soda machine. It appears that this enterprise is located in territories illegally occupied by the State of Israel. We therefore have, on the one hand, the Minister for Foreign Affairs who publicly believes that the permanent expansion of the colonies is a clear obstacle to peace in the Middle East and thus advocates the establishment of a label "Made in colonies" and, on the other hand, a Minister for the Economy indirectly promoting products from the same occupied territories. Minister, I therefore wonder about the logic and consistency of this government, which seems to use dual language as it speaks to the world or to its fellow citizens. It would therefore be possible to return to greater coherence and to review the list of products open to eco-cheques before its entry into force in order to avoid financing, even indirectly, any policy which would be contrary to international law.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u66	What's the situation? Ecocheques find their basis in interprofessional social consultation. The eco-cheques system has been introduced by the social partners who sit on the National Labour Council following the 2009-10 interprofessional agreement. The agreement set the trading envelope at EUR 125 net for 2009 and EUR 250 net for 2010. To facilitate the conversion of this amount into purchasing power for workers, various measures were envisaged with the creation of eco-cheques. It is within this framework that collective labour agreement No. 98 concerning ecocheques has been concluded within the National Labour Council. In developing an eco-cheques scheme, the social partners wanted not only to safeguard the purchasing power of workers, but also to create added value in environmental awareness. In order for consumers and traders to be able to determine with certainty which products can be purchased with eco-cheques, the social partners have drawn up an exhaustive list of products and services which can be paid with eco-cheques. This list is annexed to CTC 98. The CTC does, however, provide for regular assessments to examine the desirability of adding new products. Such an assessment may be made on the basis of proposals made by the competent authorities or other concrete proposals for adaptation, transmitted directly to the National Labour Council no later than 30 June of the year in which the relevant evaluation takes place. The decision to adapt the list is ultimately up to the social partners. This is done after taking all the necessary information and precautions. The government is in no way involved in this decision-making process. In the last evaluation, which was recently carried out, the social partners decided to add to this list the purchase of soda machines, accessories and refills for these machines. This product is placed in the waste management component. These soda machines have an indisputable ecological impact in this area. You mention the fact that this modification of the list could benefit SodaStream. As I have just said, this adaptation of the list has been decided by the social partners who sit on the CNT, including three well-known trade union organisations. These organizations are committed to promoting the development of a trade that respects workers' rights and human rights in general. Their intention is certainly not to favour a company that does not respect these rights. In addition, SodaStream is not the only company marketing these machines, although it is true that it holds a significant share of the market. Finally, according to articles in the international press at the end of 2014, SodaStream is currently dismantling its production unit located in the colonies. It would close its doors in 2015.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u67	Minister, thank you for this detailed answer, which focuses more on the decision-making process around these eco-cheques and the list than on the international issue and the inconsistencies in your speech and that of Mr Reynders. I will not fail to question the social partners on this issue as well. Nevertheless, I find it difficult to believe that the government has no influence on a mechanism it finances. That raises a great deal of questions for me. In any event, I will not fail to question the social partners on this issue of SodaStream, knowing that indeed this company has almost the monopoly on the sale of soda machines in Belgium and that the possible closure is planned in 2015, but that by then the machines will continue to be sold. The planned move does not reassure me, since SodaStream intends to settle in the valley of the Negev where we expel Bedouin communities. I do not think the situation is much more favourable, even after this move. I continue to believe that it is a shame that the government is not taking its responsibilities on this issue. I will not fail to ask you again about this.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u68	Question No 3908 by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u69	Mr President, Mr Minister, the Royal Decree of 28 May 2003 on the supervision of workers' health provides in its Article 85(3) that the workers' health records cannot be destroyed but must be transmitted to the SPF Emploi in the case of files which must be kept for a period of more than 15 years. These records are related to specific worker exposure risks. I am thinking of asbestos, but it also concerns other products. Article 86 of the Royal Decree also provides for the same type of procedure in the event of the termination of a section or department of medical supervision of work, so that the files are not lost. Minister, are these paper and electronic records actually archived in the Employment FPS and readily available when physicians are confronted with a patient who has a pathology potentially associated with occupational exposure to toxic products? Under what procedure can they have access to it? I'm not asking this question to bother you, but because doctors regularly receive patients who suffer from a serious disease, for which one must look if there has been exposure to a toxic product. It takes hours to trace the patient's career path and find the products to which he or she may have been exposed. This is a major issue in the diagnosis. Today, the evolution is different because there are electronic records. What about the paper files? What about the articulation of the Employment FPS with physicians? This is an important public health issue.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u70	Mr. Chairman, Ms. Fonck, as legislators did not impose a time limit, the Labour Welfare Control Branch established as a general rule to archive these files up to the theoretical age of one hundred years. After this period, the file is destroyed. If a doctor facing a patient suspects a pathology possibly related to a professional exposure, he or she may contact the social inspector of my department directly for the management of this medical archive, respecting the principle of medical secrecy. With regard to the application of article 86 of the Royal Decree, in the event of the cessation of the medical activity of an internal service or of the department of medical supervision of an external service for prevention and protection at work, the medical officer of the service must contact, not later than three months in advance, to settle the question of the final destination of these files. For example, if there is a department with an outsourced medical department, health surveillance will be redirected to this outsourced department for prevention and protection at work to which these medical records will logically be transferred. If a company comprising a medical department permanently ceases its activities and these are not taken over by another company, the medical records will be transferred to the archives of my administration. Any access shall be governed by the same principles as those set out above. I also have general information to clarify other elements, but I believe I have read the essentials to answer your question.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u71	Minister, thank you for this summary. I'll read the documents you'll give me carefully. I think there are loopholes. This can be seen with patients who have been exposed to toxic products. In this regard, I will come back with very concrete proposals. Some aspects could be improved, including the intervention of the attending physician. This would allow for health monitoring during and after working life. Medical care would then be improved. Excuse me for holding you up for a few more minutes. Thank you very much.
