ParlaMint-BE_2015-01-28-54-commissie-ic070x.u1	Debates of the European Parliament Mr Dedecker's 1409 was converted into a written question.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u29	Mr Minister, it is also a pity that I only received the figures for East Flanders today and did not be able to integrate them into the question, because they really are interacting. You give the global figures, with about 95% of the boxes being filled in. The first question we need to ask is: are these normal frameworks, or are they even judges at the top of the boxes? If we only take the frameworks into account, but not those in excess, we naturally have other figures. With regard to East Flanders, and more specifically Dendermonde, with 7 vacancies and 2 long-term sick, this means that magistrates have to be transferred from Ghent to Dendermonde and that up to 7 rooms are closed or only one instead of twice. That's gonna be very dramatic. The Minister says that 95% of the framework has been completed, but this is not seen in the field and is faced with serious problems. I really think that this should be kept very closely in mind because the situation in East Flanders will become unsustainable in the short term if more rooms are to be closed. This has a major impact on the motivation of many magistrates, who are hardworking and supermotivated day in and day out. However, it cannot last for a long time. So you must follow it very closely and you must intervene, if necessary. And it's necessary.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u30	I follow the situation in East Flanders very closely. I will see today the realm of the seat of West- and East-Flanders. As far as the court of first instance of Ghent is concerned, a number of vacancies were not filled there last year. I have promised that the talks with the Treasury inspection are in progress and that I will reopen all the vacancies that were not filled out last year, out of my mind. That process is currently under way. In this sense, we certainly respond to the acute need you describe before the court of first instance in East Flanders.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u31	Mr Minister, it was originally a written question that could not be answered earlier. I have to put them orally. Our prisons today are almost all equipped with extensive camera surveillance systems. These images are primarily used to monitor and monitor prisons. Following incidents in prison, these sometimes contain useful information for the disciplinary procedure that may follow from an incident. However, it appears that the prison director refuses to give the prisoner and his lawyer access to the images that can give more clarity, even if the prisoner is punished in response to the incident. I have a few very specific questions about this. Firstly, do you have any knowledge of disciplinary proceedings which deny certain parties access to the images of the incident? It could also be a penitentiary officer or prisoner. Secondly, on what basis can the prison directors refuse to allow images to be seen? What are the criteria for allowing or not allowing questions? In other words, ask from the lawyer, the inmate or possibly the penitentiary officer. Thirdly, do you intend to clarify the ambiguity that exists around this for prison directors and detainees and what steps will you take to do so?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u32	Mr Van Hecke, it is true that the question concerning the use of camera images has already been raised both in the context of disciplinary proceedings against a staff member and against a prisoner. The rules applicable in these cases are the result of the application of the Law of 21 March 2007 regulating the placement and use of surveillance cameras for the purposes specified therein. (A) The staff member, the monitoring of staff, shall not be included as such in the purposes of the placement of the camera dynamometers. Where a disfunction of the staff is established, the following should be done: in the case of a criminal offence in the criminal sense of the word, Article 29 of the Code of Criminal Procedure applies, in which the official who has knowledge of a crime is obliged to inform the judicial authorities. In this context, the images must be sent to the judicial authorities. As the criminal case has to be dealt with in the current state of the law before the disciplinary case, it is necessary to await the outcome of the criminal proceedings in order to use, where appropriate, the images of the judicial file in the disciplinary proceedings. If, on the other hand, the conduct does not constitute a criminal offence, there is no reason to cite the facts in the context of the proceedings in view of the purpose of the use of the cameras which does not allow the control of the personnel. The cameras can only be used to control staff within the framework of the privacy protection law and thus through a statement to the Commission for the Protection of the Personal Life. B) With regard to the term inmate, the principles of application are the same, with the reservation that in that context the criminal case should not be dealt with in the disciplinary case. Management should be informed that in any event, the persons concerned should be able to consult any document put forward in the course of disciplinary proceedings. However, it should be stressed that the controller must take precautions, including the protection of third parties.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u33	Minister, I understand that if there is a criminal consequence that is easier and that it is a piece of criminal records that is available. However, many cases giving rise to disciplinary sanctions against detainees will not have criminal consequences. A disciplinary sanction pronounced to the detriment of a detainee can, of course, have other consequences. She enters the file and can have an impact on the advice that the prison director will give later, for example in the context of conditional release. In that sense, these elements can therefore be important, especially if the word is against the word. So I think it is a pity that we do not have the opportunity to use images in these cases.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u34	There was some commotion about the coverage of the 23 new analysts for State Security. I didn't understand it very well at first either. What was in the paper was already said in the joint committee. You then stated that 23 additional analysts would be recruited from the Close Protection service. The personal security assignment will be transferred to the federal police. In this way, 23 inspectors can be transformed into analysts, although they are not initially trained for this purpose. According to the trade unions, it's not obvious to just retrain those employees. It's gonna take a year to adjust. Moreover, the framework has not been completed today in the State Security Office. In the near future, employees will have to be replaced who will soon retire. At what time can the twenty-three analysts actually be involved in the analysis work? What training courses do they still have to take? How long will the training take? Does it require an amendment to the statute? If so, what does that mean for the staff? What is the budgetary impact of this? To what extent has the framework been completed today? I understand it's not always easy to give the brutal figures. Perhaps you can express it as a percentage. What percentage of the framework has not been filled in? It is reported that 60 to 100 full-time equivalents have not been filled in. Do those numbers make sense? Will you take the initiative to complete the framework? If so, at what time?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u35	The intelligence work of the State Security is a complex set of various functions and tasks. It is far too simple to translate this as merely operational work and analytical work carried out by the external services or the analysis services of the intelligence service. One of the functions is the so-called operational analysis. This task is at the intersection between the operational and the analysis work. It is intended that the 23 inspectors of the State Security Protection Service, who are released as a result of the transfer of the personal protection mission to the federal police, will be used for the operational analysis work of the service, in particular at the county posts of the State Security Office, where there is a significant lack of research capacity. The basic formation of the State Safety Inspector consists of a very extensive set of training courses. During an internship of two years one is trained in the various functions and tasks specific to the intelligence work. As a result, the 23 inspectors, who will be transferred to the intelligence service, will be immediately available at the provincial posts, because they have already received this training. Only a short recycling will be organised to remind inspectors of the details of the job. This does not require any amendment to the staff regulations of the inspectors concerned. With regard to your fourth question, as with the entire federal administration, the instrument of personnel frameworks is not used in the security of the State. It examines the specific needs of the service, taking into account the legally defined tasks and bearing in mind the priorities set by the government. The fight against terrorism and radicalisation is the top priority in intelligence. At present, we can decide that there are certain deficits in the security of the State. For example, there is a lack of expertise for a whole range of functions, firstly, informant managers and researchers terrorism and radicalisation, mainly for the county posts and for the so-called local task forces, secondly, observation agents, third, strategic analysts Middle East; fourth, translators of foreign languages, fifth, BIM lawyers and there are still others. With regard to your fifth question, like the Minister of the Interior, I am negotiating in the government for a budget for the security sector, including for the security of the state. I cannot give you any details on this.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u36	Minister, we now know a little more than last week after the meeting of the joint committee, because the impression arose that the 23 employees would in future strengthen the analysis services, but they will thus be involved in the provincial outdoor services. That's different information, isn't it? I also note that there seems to be no need for new training, except for a short recycling. However, you also point out that there is indeed a lack of a number of crucial functions, which will require additional recruitment. Despite the savings made, choices will have to be made and certain services will have to be strengthened.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u37	Debates of the European Parliament Question No 1644 by Mrs Sarah Smeyers has been postponed and Question No 6 by Mrs Smeyers 1646 by Mrs Sonja Becq.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u38	Mr President, Minister, in the Twentieth Activity Report of the Financial Information Processing Unit (CTIF) for 2013, on page 71, we read: "In 2013, CTIF transmitted 25 cases to the judicial authorities due to the existence of serious terrorist financing indices, for a total amount of €2.57 million. Although the number of cases transmitted and the amounts transmitted are increasing in 2013, the share of terrorist financing in the crimes identified by CTIF in 2013 remains relatively limited, as it stands at 2.14% of the total number of cases." In the light of the figures presented, the ability of CTIF to combat terrorism effectively can be questioned. Minister, is the fight against terrorism really one of the priorities of CTIF? How many people are currently working on this specific crime? Do you consider that CTIF has sufficient resources to carry out all of its missions? Do you already have figures for 2014 for this specific crime, including the number and type of cases dealt with in relation to the financing of terrorism? What about the judicial follow-up of these cases?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u39	My colleague, I can confirm to you that the fight against terrorism, and in particular its financing, is one of the priorities of the CTIF on a daily basis. With respect to your second question, the CTIF's team of analysts and assistant analysts is currently composed of about 30 people. I cannot tell you who is dealing with the aspect of the financing of terrorism. Some are specialized in the subject matter and others provide support in the light of developments in the situation. As far as your third question is concerned, at this stage the CTIF considers that it has sufficient human resources. Let me turn to your fourth question. Over the past five years, CTIF has transmitted 122 cases to the judicial authorities relating to terrorism and its financing for a total amount of EUR 35.15 million. In 2014, there were 36 cases submitted, an increase of more than 40% over the previous year, for a total amount of €9.2 million. I have the numbers of the different years you can read about. As for your last question, the Federal Public Prosecutor's Office systematically monitors the files transmitted by the CTIF. This does not mean that there is necessarily a prosecution for terrorist financing, but information is systematically taken into account by the Federal Public Prosecutor's Office for which terrorist financing is also a priority.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u40	Minister, I am pleased that this is indeed a priority for CTIF. I am surprised that with 30 people, CTIF believes it can cover all aspects related to the processing of financial information related to crime. I note with you the 40 per cent increase in the number of cases involving terrorism in a year. From a financial point of view, this is much more important as the amount has almost quadrupled compared to the previous year. Mr.Minister, I will not fail to ask you about these issues at a later stage, as this is probably a better follow-up from the services, but also an increase in this crime and an additional concern. With nearly 10 million euros, we can imagine what the consequences can be for the financing of terrorism. Unfortunately, with little money, there is much damage to terrorism. Thank you, Minister, for following this matter carefully.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u41	Mr President, Minister, there is a great deal of work to be done on the organisation of justice, and I therefore encourage the renewal operations. However, the aim of the renewal must be the efficiency of justice and bring justice into the 21st century. The Law of 1 December 2013 on reform of the judicial districts therefore promised to organise justice more efficiently, to improve services and to strengthen citizens' confidence in its operation, without questioning the proximity of justice. The latter is crucial to help citizens as well and as quickly as possible with as few thresholds as possible. The reorganisation that is now announced for the West Flanders arrondissement goes directly against that last condition. The department of Veurne in the judicial district of West Flanders would be abolished. Thousands of citizens in the Westhoek now have to go to the other side of the province for many things. This is clearly contrary to the guarantees given. It does not seem to me to be a reform of efficiency but a cover-up saving operation on the citizens' hood. The city council of Veurne is very constructive and has asked in a letter to look at other options. For example, they propose new buildings available from 2018 and whose operating costs would be significantly lower. This would not only ensure the provision of services to citizens, but would also save a hundred jobs. Minister, I would ask you to consider and consider the request of the city council in Veurne. My specific questions are as follows. Firstly, will you comment on the proposal of the city council? Secondly, is the main problem the major cost of the Veurne building or are there other considerations to close the department? Thirdly, will you discuss further reorganisations with the local authorities with such a great impact? Fourthly, what will happen to more than a hundred employees if the department closes?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u42	Mr President, Mrs Vanheste, thank you for your questions, but at the moment I can only repeat the answer I gave to some of your fellow Members last week. The federal government is facing a difficult task. It is a major challenge to make the necessary savings while maintaining the practical implementation of the core tasks. This means that we need to work more efficiently and start thinking about the use of resources in a new way. As I said last week, I can only say that there are no concrete plans yet, but that what you are quoting is a thinking path that has come from the local magistrate and has recently reached me. It is logical that such ideas should be put on the table and that they should be considered. However, it is far too early to answer your detailed questions.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u43	Thank you, Minister, for your answer, which of course does not satisfy me. I believe, however, that it is not so difficult to answer the question of whether you are taking up the proposal of the city council to hold consultations. The question would have come from the magistrate on the spot. I wonder from whom, because everyone is concerned. There's a panic in the courthouse, among the staff. Everyone wonders who that question would come from, I believe. Is the main problem the cost or does the department simply want to close down? That must have come from someone or something. One does not consider closing something if one does not know whether it is due to costs or whether one wants to do it because one simply wants to close it. I'll be in touch.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u44	Question No 1737 by Mrs Cassart-Mailleux was withdrawn.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u45	Minister, I have already asked a similar written question. I have a number of additional questions. In an ideal world, grandparents have contact with their grandchildren, either because they see them during their contacts with their own children, or because they participate in the educational tasks. The bond between grandchildren and their grandparents is special and close. It is an added value for both sides. However, the relationship may suddenly be compromised in the event of an argument between parents and grandparents, or when parents or grandparents break up or worse, when their son or daughter dies. In such cases, grandparents often lose contact with their grandchildren. Family is the cornerstone of society and rightly so the existing case law was implemented in the Civil Code and thus was given an opportunity for grandparents to turn to the family court to enforce such a right of access. Since the foundation of the family court in 2014, matters relating to rights of access are generally registered under personal contact grandparents and third parties in the application of the civil court. The answer you gave at the time to my written question shows that the statistical project is still in full development. In this we only find out what the number of cases initiated is and what the number of judgments handed down is. To date, the number of rejections or awards has not been kept up to date and grandparents are therefore dependent on the appreciation from court to court. Therefore my next questions: when will the full application of this statistical project be workable? What data is kept in this database? What is the correct content of the project? Will there be a split between personal contact grandparents and contact for third parties? Will the number of grants and/or rejections also be included in the future? Will the duration of the interaction also be recorded in that project?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u46	At the moment, the statistical project, which also contains the data of the family courts, is being converted into a more dynamic IT environment. The estimated duration for this conversion is 10 to 12 months. This conversion will be used to make some improvements and to align the project with the other statistical projects running within the seat. However, the arrival of the family court brings with it an additional analysis and development because it concerns new dates. If everything goes according to plan, the courts and departments will have to validate the first available figures by the end of 2015. As soon as this validation is complete, it can be published. The statistical project of the family court is primarily aimed at supporting the functioning of the courts and measuring their workload. This need therefore translates into figures on the number of pending, new and settled cases, as well as qualitative input and output statistics. In addition, the College of Courts and Courts, in particular Statistics and Workload Measurement, also has information on the lead time of files, the number of judgments, decisions, hearings and so on. There is no information on the content of the judgments because this information is not registered by the Registrys in their management application BGC. A split of the current Earth Code B4 personal contact grandparents and third parties is not foreseen. The power to change Earth codes lies with the courts themselves. Any adjustment shall be made on their initiative. For the time being, there is no need for such a subdivision for the courts themselves. Experience has shown that excessive diversity of Earth codes leads to incorrect and unreliable statistics. Therefore, it is appropriate not to split this earth code into personal contact grandparents on the one hand and personal contact third parties on the other. In answer to your fourth question, this is not foreseen at the moment because there was no question. Your fifth question: this type of data is not registered in the application in which the Registrys of the Family Court code the judicial files. This means that no figures can be published.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u47	Minister, if I understand correctly, the project has been designed to measure the workload rather than to evaluate the substance of the system. You replied completely to my question. But my question departed from the idea that justice at the moment is not uniform as regards the granting or rejection of grandparents' rights of access. There are differences between the judicial districts. Some almost reject it by default, others almost always grant it immediately. Thus, on the one hand, parents who were relieved of parental authority were later given access to the grandchildren for their own children, which is emotionally difficult. On the other hand, grandparents who have vouched for their grandchildren day and night after a fight or death are not granted contact. In view of this great contradiction, we consider it useful to include this in the application, possibly with a view to new legislative work in this area if it appears that the different courts have great differences. We will see what is possible in the future.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u48	Question No 54, by Mr De Pasquale 1605 by Mrs Willaert, (Parliament adopted the legislative resolution) 1614 by Mrs Van Hoof.
