ParlaMint-BE_2015-02-11-54-commissie-ic091x.u1	Mrs Jadin cannot be present for her question No. 585.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u32	Mr President, in my consultation with Mrs Thyssen and my colleague, Mr Peeters, I asked for the enforcement directive to be transposed as soon as possible. That was also confirmed by the Peeters' Cabinet this morning. We want to be an example in Europe. I know we still have a lot of time left, but the agreement between Mr Peeters and myself is that we will transpose that into Belgian law as soon as possible. I must tell you, however, that Belgian legislation already meets the enforcement directive in many areas, including the Limosa notification and the joint and several liability of wages debts. We will transpose that enforcement directive into Belgian law as soon as possible. So you can expect one of the months. Since the entry into force of the generic system of joint and several liability for pay debts on 1 September 2013, the General Executive Board has conducted a comprehensive campaign in a number of risk sectors to explain the system thoroughly and properly. The TSW will initially focus on spontaneous wage regulation by the negligent employer himself. It is almost always about foreign service providers. In three out of four cases, such regularisation is also carried out without problems, whether or not by using certain means of printing, such as the temporary seizure of outstanding invoices from the employer-debtor, in the hands of a co-contractor. Sometimes the co-contractor is also willing to postpone payment of the invoice. The investigation itself often reveals to the potentially jointly and severally liable contractor that he is taking risks once the inspection will proceed to the effective notification. Therefore, there is often no waiting-out and pressure is exerted by the contractor on its subcontractor to make the payment of wages by TSW within the prescribed time limit. In this way, there should not always be a proper procedure. A notification as provided for in the law is only delivered in practice when all other measures of conviction, pressure or coercion failed. Today 45 official notifications were delivered by TSW. These were followed by regularisations in more than half of the cases. In a number of cases, the agreement with the subcontractor was effectively broken, some disputes were brought before the labour court and about ten cases were not followed up because the subcontractor had left with the northern sun and he withdrew from the follow-up checks, resulting in a pro-justitia for obstruction of supervision. In the latter cases, it is very difficult to recover the wages due from the jointly and severally liable party if the latter has broken the contractual links immediately after the notification. However, the law does indeed have its effect, even if only as a potential deterrent effect. As you have no doubt read in my action plan, I will continue to consult with the various sectors, such as the construction sector this morning, to see how we will develop, maintain or adjust the evaluation of the system of joint and several liability for wage debts.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u33	I believe that it is indeed very useful to hold further discussions on this matter and to continue with it. Perhaps it is a deterrent for some of them and they are interrupting their work, but they may as well start over under another name. The abuses can continue in this way. So we also need to do that to avoid starting over the next day, possibly under a different name. I hope that you will do so together with the sector.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u34	Mr President, Mr Secretary of State, in November 2014 you announced that you would like to strengthen controls at the level of fictitious housing. Some people abuse isolated status to benefit from benefits to which they would not normally be entitled. Among the measures you announced, there was a first line of careful analysis of the gas, water and electricity consumption data of so-called isolated people. You wanted to be able to see if they live well where they live or if they don't live with someone. There has been a lifting of shields, some disagreeing with this way of working. Today, in the Walloon Region, a pilot study was initiated by the Centre d'Études en Habitat durable, which examined the census of this water and electricity consumption in Charleroi in order to identify unoccupied dwellings. It has been found that there are 10,800 dwellings which are thus deemed unoccupied. That's quite challenging! Secretary of State, where are you in relation to what you announced in 2014? To avoid duplication in the work to be done, could collaboration with the Walloon Region be considered for the sharing of this data? If this is possible, how could it be done? I believe that this shows that this is practically possible and would help to avoid serious social fraud.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u35	Dear colleague, I have learned that the Walloon Minister of Housing, Paul Furlan, mentioned in late January, in response to parliamentary questions, 10,853 underutilized dwellings and therefore potentially available in the City of Charleroi. This number was determined as a result of a pilot project aimed at detecting unoccupied dwellings on the basis of water and electricity consumption in the 15 old municipalities which now constitute the City of Charleroi. However, consumer records are not only used to detect empty housing, they can also be used as indicators to better identify home fraud. Isolated people benefit from a higher social benefit than cohabitants. This difference favours this type of fraud. Some social insured persons declare a fictitious address, they receive a larger allowance. The consolidation of our social protection, strong for the future, means that we must ban such abuses as far as possible. That's also my ambition. For the sake of completeness, I would like to point out that payment agencies have significantly increased the number of checks compared to previous years. I am convinced that such frauds can be detected even better thanks to data matching and data mining techniques. We are already seeing, for example, at ONEM, an increase in the number of investigations into infringements and an increase in the amounts to be recovered thanks to an even more extensive cross-checking of information from the various databases, in particular those of the National Register. As a result, verification of addresses and household compositions is increasingly targeted. I am convinced that we can still optimize this method. During the previous legislature, a legal basis was adopted for the competent bodies to provide the authorities with data on consumers of water, gas and electricity. This legislation has not yet entered into force. In the interests of privacy, which I also consider to be an important file, it would be appropriate to verify automatically, as is done in the Netherlands, whether the data correspond to the address of the home. It is not a question of organising a witch hunt among the beneficiaries of allowances, but of activating indicators on the basis of which the examination of these data can be further explored. This means targeted checks on suspected fraudsters while leaving honest recipients alone. In the long run, we should be able to move towards automatic granting of social rights, on the one hand, and to carry out automatic preventive checks on the cumulation of rights, on the other. It's closing the front door! I am all the more strengthened in my conviction in view of the figures. The ONEM alone would recover 33 million euros for 2013, but as you know, this recovery is very difficult. We can't mow an egg! In 2012, this amount amounted to 24 million, an increase of almost 10 million for 2013. In my policy statement, I also made it clear that a better fight against fraud also involves, in addition to the federal authority, the association of the Regions and local administrations in order to be able to better combat, among other things, home fraud. Home fraud is also occurring at the regional level, for example in the social housing sector.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u36	Mr Secretary of State, thank you for your answer. You've already provided me with a lot of information about your intentions. I will pay attention to this particularly important area. As you have said, exercising targeted and upstream controls will allow - not to start a witch hunt - but to be effective and not to have to recover later money that will be irrecoverable; your action will prevent the expense.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u37	Mr Janssen could not be present and his question therefore lapses.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u38	Mr President, Mr Secretary of State, on Tuesday 27 January, Horeca Flanders took action against the accompanying measures for the registered register. The need for a registered cash register is not called into question, but the practical implementation is more difficult for many catering operators than thought. They face different problems. Anyone who obtains more than 10% of the turnover from prepared meals must report spontaneously through the well-known website before 28 February. The number of registrations of catering shops has so far been small. At the end of January, the counter was only at 3 000. This means that there are 37 000 restaurants to go. On your website, you announced on 3 February that 1 009 restaurants have already been registered in West Flanders and that your province is the leader. Congratulations. Together with your colleague Elke Sleurs, you proposed a detailed catering note at the Council of Ministers. That did happen after I put my question to you. Your website states that the white checkout will not be introduced until all additional measures included in the federal government agreement are effective. By 2016, the white cash register would have been completely introduced into the sector. Mr Secretary of State, do you have any more recent figures? How many restaurants per province still have to register? How do you think the white checkout accompanying measures can be financed? Through additional government revenue or through other measures?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u39	Mr President, Mrs Van Hoof, I will give you the list of the situation on 6 February. Then there were 4 891 applications. For the record, in West Flanders there were 1 189 applications. My province was still frontrunner. This morning I received the most recent figures and I suspect that the counter is now at 6,000. Between 6 and 11 February there were more than a thousand. Last week the pace was between 200 and 250 per day and now the cruising speed was reached from about 300 to 400 per day. Unfortunately, I cannot tell you how many more registrations are required. We do not have the right idea. We only have a suspicion of the number of catering shops. There are about 55 000 catering shops and we know that there are about 125 000 staff. We can only estimate the number of hospitality stores and the number of hospitality stores required to register under the legislation, which stipulates that there is a registration requirement if more than 10% of the turnover is withdrawn from food. Estimates vary and range from 35 000 to 40 000 cases which should in principle be registered. This means that we are currently achieving 10%. Last night, people on the ground told me that they would definitely register this week or next week. I think this is important. As far as the financing of accompanying measures is concerned, you know that the government agreement clearly sets out a number of measures. Also in the note which was submitted to the Council of Ministers on Friday, we included a number of additional measures, in consultation with the sector and the government, particularly with regard to fixed contracts in the catering sector. In that note there is a sentence that is very clear in that regard, in particular that we are financing all the additional measures that may be taken with the additional public revenue that the white cash registers will generate realistically. We are not immediately putting forward concrete cuts in the burden on the catering industry, but mainly flexibility measures, which are aimed at making all black hours official. If we are trying to regulate fixed contracts, it is mainly because we do not want competition between casual work and fixed contracts, but also because many people are employed in the catering industry today with part-time contracts, while in practice they work full-time. I do not make any big comments on this because we have to deal with the various issues within the majority. However, it is about overtime and fixed contracts. We do not want to get into a situation in which catering businesses replace their permanent staff with part-time flexi-jobs included in the government agreement. We still have a long way to go. It's happening really fast now. The last digit is about 6,000. I notice that there is still some work to be done in your province, Mrs Van Hoof. However, I have good hope that in the next two weeks a lot of people will register at a rapid pace. I would like to add a small note. Those who do not register remain subject to the checks that are already taking place today. It is quite logical that we should not concentrate on those who have given a clear signal that they want to cooperate and register. That's what I said.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u40	Mr President, Mr Secretary of State, thank you for your reply. I believe that there is still a great deal to be done, including the development of the various measures within a certain time frame. If I'm not mistaken, this is the end of the year.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u41	On October 1st, most things must be done.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u42	A number of other measures are also possible. As former vessels of catering in the city of Leuven, the longest bar in the country, I know what problems the catering industry has to deal with. It is not an obvious matter to exploit a catering business, not even in Leuven. There are more and more catering shops, which means that more and more people from other sectors are seeking refuge in the hospitality industry. The fact that they do not derive the most revenue from this is sufficiently demonstrated by discussions with those concerned. In any case, I support the measures that you have already worked out today. Of course, further measures are possible if the proceeds from the white checkout become clear. It is a good thing that about one fifth of the catering shops have already been registered. By 28 February, about half of them should be registered. Once the revenue is known, the measures can be applied as extensively as possible. The catering industry needs these measures. This is also the case in other sectors, but I know that there is a very specific problem in the catering sector. The people of the sector admit that today it is no longer possible to achieve sufficient returns and to maintain them. I would therefore like to give our full support to a sector which everyone in Belgium loves as a bourgonian and which guarantees the viability of our cities.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u43	You speak to a bourgonian, Mrs. Van Hoof. I would like to make one small comment. We must all submit our capital declarations by 31 March. I haven't done it yet. Since we politicians are all waiting until the last moment to submit our asset statement, I hope that there are a lot of catering operators waiting until the last moment to register.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u44	Unfortunately, we are still unable to make this statement of assets electronically, because this has to be done by post.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u45	The CD&V has submitted a legislative proposal in this area. Perhaps you should support this?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u46	We have signed this bill. Many people are still needed to process these paper returns, but this is how jobs are created, and that is what we need to do, Mr Secretary of State.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u47	Mr Raskin, I would like to point out that our dear fellow Members of the Committee on CD&V Bill No. 314 to that effect. I have just heard that the proposal will be discussed at the sitting on Wednesday 25 February in the afternoon. In the legislative proposal, the CD&V colleagues propose that the payment of the salary should be made to the account in future and no longer in cash. Is that right? (...): (...)
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u48	Personally, I find it a very interesting bill. I am very curious to see what the Secretary of State will say about this. Mr Raskin, you have the floor.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u49	Mr Secretary of State, my question concerns the minimum wage. I am making a comparison with the Netherlands which recently launched a new measure in the fight against social fraud. From the beginning of 2015, the salary may no longer be paid in full in cash. Part of the salary, i.e. that which is at least equal to the statutory minimum wage, has to be paid in the future. Also, employers are no longer allowed to apply adjustments to the minimum wage. In this way, the evasion of the statutory minimum wage can be combated more effectively. Is there a similar problem of evasion in Belgium? If so, do you consider a measure similar to that in the Netherlands desirable? Let that be a stepping stone to the debate that will take place later this month.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u50	Ladies and gentlemen, first of all, I will make the chairman of this committee happy, because I am basically in favour of any measure aimed at reducing cash payments in favour of non-cash or electronic transactions. I therefore support, from my position and to the extent that I can and may do so, the CD&V bill, but unfortunately I have nothing to say in that regard. Mr President, I assume you will defend that in my place. Transferable transactions are not only cheaper, because they are automated, but they are also safer, more reliable, more efficient, more manageable and less susceptible to fraud than cash payments. Until there, the Secretary of State spoke for the fight against fraud. Mr Raskin, in your question you refer to a measure which is part of the Act Approach Schijnconstructuurs, which is an effect of a social agreement reached in our neighbour, the Netherlands. The Dutch authorities intend to use this law to prevent exploitation and unfair competition in the labour market. The Dutch Government has already agreed to a bill. Now the Council of State of the Kingdom of the Netherlands will examine it and deliver an opinion on it. If the Dutch law Aanpak Schijnconstructuurs soon comes into force, the salary may no longer be paid in full in cash in the Netherlands and at least the salary part equal to the statutory minimum wage must be transferred. In this way, the government wants to combat the evasion of the legal minimum wage more effectively. At a previous committee meeting, I said that the Visa affair in Antwerp would never have come to light without the use of Visa cards. In fact, the first measure should be that any city administration should require the use of cards rather than the use of cash. In our country pay must be made in accordance with the rules laid down in Article 5 of the Law of 12 April 1965, which is thus already an old law, almost would be old if I were to protect the wages of workers, as amended by Law of 26 June 1992. The payout is either hand-to-hand or in grail money. In case of hand-to-hand payment, the employer must submit a receipt to the employee for signature. The payment in cash can only be made if the employee agrees in writing and with each final payment a statement is given to the employee. In addition, the employer must draw up an individual annual account for each employee he employs. So that's a lot of paperwork. This document shall indicate on an annual basis all benefits paid by the employee and the wages paid. These two documents allow the Labour Inspectorate to verify compliance with minimum standards. There are therefore no problems with regard to Belgian employment relations. In some cases, it is less obvious to verify whether the remuneration of posted foreign workers was paid correctly. If this gives rise to problems, these problems are often solved by relying on the cooperation of the enforcement authorities of the sending country, often through the IMI system, the Internal Market Information System, which checks the authenticity of a signed-off cash payment. Since returning posted workers were willing to make statements to the authorities of the sending country, fraud cases have already been detected in the past. In the area of social fraud, paying wages in full in cash could provide more clarity on the wage paid to posted workers. It could also help to prevent falsehood in writing and scam. In other words, I am certainly not against it. It could also help to address evidence problems that often arise in cases where no payment receipt was delivered. At first glance, extrapolating the Dutch scheme, more specifically for posted workers from abroad, seems particularly useful. However, the question arises as to whether such a measure complies with European law, since the agreed method of pay may be an agreement between the employee and the employer in the sending country. Thus, breaking this agreement could be regarded as a violation of the principle of the free movement of persons and services. So it could be very useful, but we might run the risk of Europe saying that it is an obstacle. I will, in good cooperation with my colleague, Kris Peeters, in the framework of the Social Fraud Action Plan, examine whether we can implement this in Belgian legislation. So we are going to try to do something about that. I just need to examine, together with my colleague Mr Peeters, whether this is not contrary to European law. If that is not the case, we are going to do it like the Dutch.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u51	Mr Secretary of State, I think we all want to achieve the same thing. We must conduct the consultation with the Deputy Prime Minister and hope that we will not be able to circumvent Europe's yoke in a negative way, which sometimes still has perverse consequences.
