ParlaMint-BE_2015-03-03-54-commissie-ic103x.u1	Mrs Becq is absent because of illness.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u29	Mr President, Mrs Özen, at the end of last year I had a long meeting with the Director of the CSCO. I can therefore confirm that I am fully aware of the various personnel and other needs of the CSCO. I have also been more recently and to the extent that I am committed to finding solutions. Nevertheless, the figures you are putting forward seem to me to have to be nuanced. The amount of EUR 494 million you refer to is the total amount of capital managed by the OCSC. It is not intended to be allocated in full to the State budget. It goes without saying that some of this money after a court decision will be returned to the persons seized. It is not possible to outline an order of magnitude in this respect, since by definition these data are not known to us. The number of cases under way within the CSCB is around 40,000. In more than half of the cases, we are still awaiting a judicial decision that will take a position on the final allocation of the seized funds. The Director of the OCSC is clearly seeking a strengthening of the OCSC staff framework to ensure that all legal missions of this organization can be completed and that, structurally, backlogs of approximately 16,000 can be processed within a reasonable time frame. These 16,000 backlog cases represent capital of the order of €200 million. The needs of the OCSC are certainly taken into account in the ongoing discussions of budgetary control, together with the other departments of the Judicial Order. In addition to the personnel issues facing the CSO, I am also attentive to the CTI needs that are needed to enable the CSO to work in a more modern, timely and efficient manner. Earlier this week, the management of the OCSC explained its needs in this area to my colleagues. Consideration of this aspect is under way.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u30	Minister, thank you. You're saying you're committed to finding solutions. Of course I have no doubt about that. You met with your counterparts who told you about the lack of staff. You say you need to provide a tool, which is the CTI, to be able to work effectively, but in commission, you have postponed this project to 2016 or 2017. It is really difficult to set up such a system. Since justice is slow, since it lasts a long time, since there are storage costs too, and often the person, after conviction, is insolvent, it is up to the state to bear the costs that it does not need.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u31	Mr President, Minister, at a press conference following the Washington Summit on the fight against terrorism, your colleague from the Interior referred to a list of 350 to 380 names of potential terrorist fighters and the possibility of integrating this list into a dynamic database, which is more widely accessible to the various police services. This announcement has, as might be expected, elicited feedback from actors on the ground, in particular with regard to access to the list and its dissemination within the services. However, before even considering the appropriateness of responding to this request, a series of questions on the list itself arise. Indeed, the nature or legal status of this list is not clear. Is it a police file or a judicial database? Are we faced with information in the sense of State Security? The nuances can be important and numerous. On the other hand, the very question of how a name enters this list may also arise. Jambon presented it as "recording potential jihadist fighters". Even in the current circumstances, which require special attention to candidates at the outset, there is also a need to guard against the dramatic consequences for those whose names would be taken up there. What are the criteria for listing a name on this list? What is the competent supervisory body: the P Committee, the R Committee, the supervisory body? In the same vein, could you clarify the criteria for deleting a name entered on this list? This is essential to ensure the right to privacy. As I understand it, the persons concerned have not committed any act that is considered an offence. If this list has, a fortiori, a vocation to be shared with foreign authorities, and even if the threat can be real, the monitoring of the information contained therein will be made more difficult. Finally, the study of this list leads me to ask you about the means used to follow up on it. Monitoring 380 people requires substantial human and material resources. What about this stage?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u32	Mr President, Mrs Özen, the measure to which you refer is one of the twelve provisions decided by the government in the context of the fight against terrorism, and more specifically in the revision of the Foreign Fighters circular of 25 September 2014 produced by the Ministers of Justice and the Interior. The aim is to improve the list already drawn up by the OCAM in application of this circular with a view to an individual assessment of the persons included in it. Some practical aspects still need to be discussed, particularly as they have an impact in terms of resources. As regards the legal basis, the legislator has set up an information system within the OCAM consisting of a data bank and working files. The purpose and operating procedures of this bank are described in the Royal Decree of 28 November 2006. The seven OCAM support services, including the two intelligence services, as well as the police services, are required to provide the information at their disposal that is relevant to the fulfilment of OCAM's legal tasks. Embargo procedures are also provided for by law, particularly in the case of judicial intelligence. The OCAM shall be subject to joint control by the P and R Committees. The Foreign Fighters Circular states that the OCAM manages and distributes to the services the list of residents who are at risk of leaving or leaving for or returning to a conflict zone. In addition, in application of this circular, the role of the OCAM is further clarified, since it is responsible for drawing up a list of Belgians and/or residents of Belgium returning from a jihadist combat zone. In practice, this list is updated within the local task forces, which include the State Security, the federal and local police and the OCAM. Individuals are registered on the basis of information from all services. The list is updated monthly by the OCAM on the basis of the information collected. Individuals are added and deleted using the same method and periodicity. The follow-up of persons whose names are listed is not the responsibility of OCAM, but rather of the State Security and the police. The discussion on means of follow-up will be part of a broader debate for the security sector.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u33	Minister, thank you for your detailed answer. As far as control is concerned, I think your answer is quite clear. The difficulty is this: a person is on the list, but he or she does not know. Therefore, it cannot contest its mention in this document. Similarly, it is impossible to withdraw from it. The circumstances are, of course, exceptional, but no action can be taken to the detriment of safeguarding certain rights such as privacy rights. This limitation is therefore problematic.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u34	Mr President, Minister, last week the press reported on a case which had been severely compromised before the 14th Chamber of the Court of Appeal in Brussels. At the request of the Ministry of Justice, the prosecution destroyed exhibits, including two boxes of documents, for lack of space and resources, without copies being made. The storage problem raised at the Brussels courthouse would not be an exception since all the Wallonia courthouses would also find it difficult to store their exhibits. In addition, the employees of the transplants in question work in deplorable conditions. Luc Hennart, the first president of the Brussels Court of First Instance, said that "the people who work there spend the day in a cellar, without light, with dust and dirt, and even the sewers that collapse. It is a matter of concern and unworthy of justice in the 20th century." Minister, do you have a comprehensive strategic vision to deal with storage problems in different courthouses? Do you intend to increase the scope of registry staff in order to ensure the proper functioning of the justice system and avoid the destruction of evidence due to lack of space and staff?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u35	Mr President, Mrs Özen, my administration conducted an investigation under the previous legislature into the way in which seized exhibits and exhibits are managed in our courts. The aim was to improve storage, increase safety at work for staff and improve management efficiency. The problem with exhibits is that too many exhibits are stored for too long under conditions that are not always adapted. As a result of this investigation, proposals for action in various areas have recently been presented to the Joint Management Committee of the FPS Justice in which representatives of the two Colleges of the Judicial Order are present. The proposed actions include the creation of centralized depots outside the courts or the designation of reference magistrates for exhibits in each prosecutor's office and court. Other actions aim at better management of the flow of coins, in particular to enable a final decision to be taken on coins that have no or more value for the manifestation of truth. Priority actions are still being set between my administration and my firm. Since the law of 25 April 2014, there has been a legal framework for the destruction of seized documents. The law provides that the prosecutor shall order the taking of samples or a photographic or video recording of the property if the manifestation of the truth so requires. In addition, I recently concluded two protocols with my Defence colleague to organize the evacuation of ammunition and the temporary storage of fireworks seized by FPS Economy inspectors. I also want to step up collaboration with Finance to facilitate the sale of confiscated parts.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u36	Minister, thank you for your answer. You also know that this is a multi-year problem. All you have to do is go to the evidence office in Brussels and ask where it is. It's not even Ali Baba's cave anymore. You have to have strong nerves to find a room there. I am therefore glad that you are proposing solutions such as a reference magistrate or working with your colleague from the interior to relieve congestion at first. In this particular case, however, there is a big mistake: the least that can be done is to make a copy of the documents if the trial is still pending. It's a little surreal!
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u37	Debates of the European Parliament 2491 by Mrs Kristien Van Vaerenbergh has been postponed.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u38	Minister, the College of Courts and Courts, fifteen days ago, issued a warning to the government before budgetary control, arguing that "we are moving towards a frontal collision between what is being asked of us and the means granted". The newly created College believes that Justice is no longer in a position, because of the budgetary restrictions imposed on it by the government, to be decently delivered. Indeed, the overall budget of Justice increased from €2 billion in 2014 to €1.6 billion in 2015. Pending budgetary control, no more vacant places are published, while the frameworks are not yet complete. I can hear you, for some services, we are 93 or 95%. I can assure you that in some places, the situation cries famine and not a little! So, at some point, we will have to ask ourselves about the fate of 93%. Major savings are expected in terms of staff and operating costs. Under the current conditions, despite your reassuring remarks, the College of Courts and Courts considers that it is excluded from fighting the backlog of cases in the government agreement and that the policy would like to see a reduction. Investment budgets are also particularly affected by economies. However, computerization was supposed to be a priority objective. According to the College, close to 50 million euros would be needed to develop and install an efficient network. Moreover, these investments could lead to savings. Mr Minister, you have certainly heard of this alarm cry. What answers can you give already? How do you intend to ensure the goal of computerization of the judicial world, even if you have postponed it to 2016, facing a 30% reduction in investment costs? Did you meet with the College at the exit of the press and have you had a budget discussion with the College?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u39	Mr Massin, of course, I have already had several discussions with the College about these concerns. Most recently, I had a meeting with the latter on Wednesday, 25 February, well after the press release to which you refer. I share the College's view that we are facing a major challenge, including budgetary challenges. That is why I defended before my colleagues in the government the idea that savings should be made at a different rate. The aim is not that, over the term of the legislature, the savings be lower, but that they be distributed differently over time. For a number of priorities that are reflected in the government agreement or that are at the top of the agenda, following current events, I call for more resources to be made available. How are we going to be able to move towards a new justice system, in this difficult budgetary context? Thanks to a more efficient and better quality operation. That is what I will try to explain in the coming weeks when I present my justice plan. I have already mentioned this on several occasions. This is a combination of different measures and initiatives in various areas. It is true that the budget for computerisation also had to be substantially reduced in 2015 compared to 2014. But for computerization, the blocking factor is not the budget, but rather the ability to carry out computer projects to a successful end with tangible results in the field. There are now too few projects among those initiated which, for various reasons, are completed and produce the expected effects. In 2015, we will focus on this aspect. This means that, contrary to what is implied by a reduced budget, we will achieve better results in reducing workload by the end of 2015 compared to 2014. All this has to be seen in relation to the simplification of procedures provided for in the bill pot rotten. In the years following 2015, the investment budget for the CTI is expected to increase. This will be possible by rationalising the ICT budget itself by economies of scale, by shutting down old IT structures that have been renewed, etc. and transferring to the investment budget for the CTI part of the profits resulting from the efficiency gains that we will achieve in other budget items through the implementation of IT projects. I am thinking here, for example, of postal charges.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u40	Minister, let me be a little frustrated. I didn't say much... I leave it to justice to be very frustrated. I understand that you are asking your colleagues for a staggering, so as to save less in the first years and more later, the time for things to happen. But, for now, we've got linear. You announce that you will ask your colleagues for this or that. At the moment, when we make the accounts, we are 800 million in use of a 300 million reserve! So you understand that frustration is there. Perhaps you would have done well, or in any case your party president, to negotiate properly, as soon as the government and therefore the budget were formed, so that the budget of the justice system, as under previous governments, could be sanctified. You also say that the problem is not the budget but the projects, including the ICT. The problem in the area of justice is that there has never really been a project. I can tell you extraordinary stories! The computers that are given to staff members are already out of date. They were not immediately distributed at the time of purchase, the time the contract was awarded or a poor formulation was found. I fully understand the concerns of the magistrates. For years and years, we have been talking about workload. The problem, too, is that we hear everything and its opposite. A line should be decided. This line, you have to decide it. What's the workload? It's the act of making a judgment. This is the time spent on a trial, on a case in criminal, civil, tax, seizure, etc. These are the hours spent at home or elsewhere. You know, like me, that few magistrates have an office in court. Most work at home and make the judgments themselves. They send them to the transplant, which then puts them in shape. At some point, you have to face reality! Minister, rather than talking about workload, I have a suggestion for you. A study on Belgium shows that we do not have judicial statistics in Belgium. I suggest you set up an institute of judicial statistics. I believe that we are one of the only European countries not to have one. Maybe it'll be useful. Last thing. You refer to the number of magistrates in Belgium compared to other European countries. It's not necessarily them that lead to a backlog! It is not necessarily the procedures either. Beyond that, a contrario, when we see the percentage of the state budget that is invested in justice, the means are totally disproportionate to the countries you compare. When you take comparisons, you have to take all the comparisons. We may have a lot more judges per capita, but we invest less in per capita justice than all other countries. There are serious questions that need to be asked. When you invest less, for example, it means that there are fewer referendums, fewer preparations, less good computer equipment, etc. I also believe that working conditions are not excellent for judges either.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u41	Questions Nos 2513 and 2514 by Mrs Carina Van Cauter have been postponed. Debates of the European Parliament 2533 by Mr Conseil Degroote has been converted into a written question. Question No 2537 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u42	Mr President, Minister, female genital mutilation, which is widespread in Africa, does exist within the European Union and our country is no exception. For example, a study conducted by the Institute of Tropical Medicine in Antwerp in 2014 indicated that just over 48,000 women and girls whose nationality is that of a country where female circumcision is practised lived in our country as at 31 December 2012. Of these, just over 13,000 were considered "very likely to be excised" and just over 4,000 were considered "potentially at risk of excision". Flanders would be the most affected region, followed by Brussels and Wallonia. Article 409 of the Criminal Code, which entered into force on 27 March 2001, provides for imprisonment for anyone who has practiced, facilitated or promoted any form of mutilation of a woman's genital organs, with or without her consent. Penalties are increased if the victim is a minor. However, it seems that the Brussels Public Prosecutor's Office opened only one criminal case for excision in 2015 and that only 5 cases have been opened over the last seven years. Mr Minister, can you first confirm these figures for the judicial district of Brussels? Can you tell us how many cases have been opened in the other judicial districts? How do you explain the discrepancy between this finding of judicial districts and the figures put forward by the study of the Institute of Tropical Medicine? I am reminded that a circular from the Attorney General's Office on the criminal policy on female genital mutilation should be drafted shortly. Can you confirm this information? If so, do you already have any essential content elements to communicate to us and can you tell us when this circular could be applicable? In the area of violence against women, prosecutors responded only when the then minister had decided that it would be a priority. Prosecutors and police officers then took this phenomenon, which is widespread in our society, with arms. Here, it's exactly the same thing. If there is no circular and priority, I think that many girls will be excised in our country!
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u43	Mr President, Mrs Lalieux, the College of Attorneys General has in fact commissioned a working group to draw up a draft circular on female genital mutilation, forced marriages and honour-related violence. Work is still under way. The material is complex and requires careful work. The aim will be to provide police and magistrates with the tools to familiarize themselves with and understand these matters in the best possible way and to establish clear guidelines for prosecutors. I cannot give you a precise indication of the date on which this forthcoming circular may be applicable. A reasonable goal would be to reach the end of 2015 in early 2016. Notwithstanding the legislative framework and article 409 of the Criminal Code, the creation of a specific registration code for female genital mutilation in the data bank of the College of Attorneys-General, the cases that have so far been registered with the judicial authorities remain very rare. Thus, between 2009 and 2013, there were 14 cases of sexual mutilation registered in Belgian criminal prosecutors' offices under the Code of Prevention 43K: sexual mutilation. 2 in 2009, 1 in 2010, 1 in 2011, 5 in 2012 and 5 in 2013. These figures are derived from the statistical analyses of the College of Attorneys General. They were extracted on January 10, 2014. At present, I have no more recent figures. It is difficult for an oral question to ask for a new statistical extraction, given the time available. This small number of cases could be explained by the fact that the mutilations would be carried out in the most clandestine way. It may therefore be plausible that very few complaints have been lodged by the victims and that very little information has been brought back to the police and thus to the public prosecutor's offices. Thus, genital mutilation could be a reality in Belgium and yet remain almost invisible to the police and therefore to the prosecution by the absence of a victim's complaint as well as by a large extrinsic and non-attributable deficit to the judicial police authorities reporting. As regards the status of the 14 registered cases from 2009 to 2013, the situation as at 10 January 2014 is as follows: 2 cases at the information stage, 9 cases closed without further action, 1 case for disposition and 2 cases are at the level of the Chamber of Counsel. As a reminder, the classification without further action is always provisional since as long as the public action is not extinguished, the case can always be reopened. Clarifications are also given on the grounds for which no action has been taken: 6 classifications of a technical nature (2 absences of offences, 2 insufficient charges, 2 unknown perpetrators) and 3 classifications without action for reasons of expediency (2 grounds specific to the author's personality and 1 related to criminal policy). To date, no case has resulted in a conviction in Belgium. It should be recalled that the fight against female genital mutilation is a long-term work involving various departments at all stages in an integrated manner. The fact that five cases were opened in 2012 and 2013 could be an indicator that joint work and awareness-raising are doing their job, as cases are finally discovered.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u44	I thank the Minister for this concrete response. It is very good that a working group is set up since the law dates back to 2001. It's never too late, but it's not you that I'm targeting here of course. We could've gotten to it sooner. The establishment of a working group is important since it was seen when women were properly received in police stations, they had confidence in the police, they were taken seriously, prosecutors took their responsibilities, and finally women dared to file a complaint. Because it's all about that. So it is really important to do a job with the judicial actors, the actors on the ground who are applicants, and are financed in part by the justice system. They have really efficient tools. I only regret that it is necessary to wait until the end of 2015 – early 2016 because the tools are already there. They are copied in Holland, England and France. I think that Belgium should perhaps work a little faster with the organisations active today. It is positive that cases were opened in 2012 and 2013. The judiciary is, of course, working independently, but I hope that the judiciary will be sensitized enough to condemn this practice because at some point a signal must be given in relation to it.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u45	Minister, I come immediately to my questions. What still remains to be achieved in the framework of Masterplan 1 and Masterplan 2 and within what time frame? Has Masterplan 3 already been evaluated? Have any decisions been taken on how to adapt it? Has the precise situation of the prisons and their type of population been completed by the FPS Justice in collaboration with the Régie des Bâtiments? What are the conclusions? What are the main directions of the new long-term policy announced in the Government Agreement?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u46	Mr President, I agree with the fact that some Belgian prisons are archaic and in very poor condition. This is also why my predecessors have developed Masterplans 1 and 2. However, I should like to point out that the situation has since improved considerably in many establishments. Overpopulation has decreased. There are now 10,185 places for 11,400 inmates, an overpopulation of 12 per cent. But a masterplan is a living data and therefore needs to be reviewed and updated regularly. It is this exercise that we are carrying out. Once completed, a new Masterplan 3 will be submitted to the Council of Ministers for approval. As a result, no final decision has yet been taken on this issue. More details will be given after approval, but I can already say that, in any case, particular attention will be paid to specific projects for prisoners and internees, as well as to a number of smaller projects such as criminal differentiation for specific groups of prisoners. The following Masterplans 1 and 2 projects are already implemented and operational: new establishments (Beveren, Marche-en-Famenne, Leuze-en-Hainaut, CPL Ghent); capacity recovery on existing sites (project in Saint-Gilles, Forest, Tournai, Hoogstraten and Turnhout); extension to existing sites (project in Merksplas, Malines, Paifves, Turnhout, Wortel and Hoogstraten). With regard to the Masterplans 1 and 2 projects that are still in progress, in Leuven, for the recovery of wing B, the call for tenders will be launched this year by the Régie des Bâtiments so that the works can be completed in 2017. In Hoogstraten, the renovation of 15 additional cells is under way and will be completed this month. At the Antwerp PLC, construction is under way and this building will be ready at the beginning of next year. In Achêne, the construction of a youth centre is pending because of the transfer of powers to the Communities. In Dendermonde, the proceedings were suspended due to the cancellation of the Provincial Space Execution Plan (PPP). The drafting of a new PSP is under way, following which an application for a building permit will be submitted. In Sambreville, the results of the subsoil analysis and necessary remediation are reviewed and discussed. The result will also be recorded in Masterplan 3. In Haren, proceedings continue. Applications for building permits and environmental permits were submitted in Brussels at the end of 2013 and are ongoing. In Antwerp, a new site was proposed to replace the prison. Negotiations between the city of Antwerp and Blue Gate always take place. With regard to Merksplas, the overall plan for its renovation is being drafted. The results will also be reflected in Masterplan 3.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u47	Minister, thank you.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u48	Mr Minister, on Tuesday 24 February 2015, the press reported that 12 out of 13 accused persons in the case of fraud committed by the Lokerse signaliser Janssens have arrived at a friendly settlement. I can name the names because they're from the press. The case came to light in 2007 and covered facts from 2004 to 2007. Who initiated the extended friendly settlement? Were those one or more defendants or the courthouse? What is the total amount of friendly solutions agreed in the case? What amount was agreed with which defendant? Why are the concrete amounts of friendly solutions kept secret for the time being? The essence of the matter is, of course, that a law has been passed authorising the sale of criminal proceedings, but that there is a great secrecy about the amount paid in that case. I believe that this can certainly be communicated.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u49	Mr Van Hecke, the General Prosecutor of Ghent has given me the following answer. The original initiative to act on the crimes through a friendly settlement seems to have been based at that time on the counsel of two defendants. The court of first instance of East Flanders, department of Dendermonde, in consultation with the court general of Ghent, proposed an amicable settlement to all defendants. 12 of the 13 accused expressed their agreement and paid the proposed sum. The nv Janssens and Glenn Janssens first came to an agreement with the bourgeois parties and paid the agreed damages. A defendant did not accept the proposal and the prosecution therefore claimed a sentence for him. At the hearing of the Correctional Court on 24 February 2015, the Public Prosecutor submitted the agreements on the amicable settlement of 11 accused persons. Since the signed agreement of a defendant who had already paid the sum of money was missing, the court postponed the case until 21 April 2015. In the meantime, the Public Prosecutor has already obtained the signed agreement. With regard to the amounts and amicable settlements agreed and made in the case, it does not seem appropriate for the District Court General to notify those amounts, having regard to the provisions of Article 216a (2) of the Code of Criminal Procedure. The extended amicable settlement is indeed, at least until the judgment, of a confidential nature. The evaluation circular 6/2012 VVSBG, which was carried out by the Criminal Policy Service on behalf of the College of Attorneys General, and the report of 6 June 2014, which you have already requested, set out the various, also reluctant, views on the communication of the extended friendly settlement to the external public. At least as long as the court has not established the lapse of the criminal proceedings, it does not seem desirable to explain proposals for amicable settlement.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u50	Minister, I can still understand what you are saying, because the matter is still in session and because the agreement still needs to be formally confirmed. I do not think, however, that there are any reasons, after the judgment has become final, after the friendly settlements have been acted and after it has been established that the law has been applied, to maintain secrecy. This does not seem to me to be justified in a democratic rule of law. I can see from your reaction that you can also follow me in that. I requested the report. I asked you a question about this and you replied that the report is not public, but could be requested from the College of Attorneys General, and I did so. I have received the report stating in an e-mail that it is a highly confidential report that I absolutely cannot distribute. However, it is about an investigation into the application of a law in our country. I will ask you another question on that. It seems to me very bizarre when an official body such as the College of Attorneys General makes an analysis of the application of a law, with a list of the bottlenecks, the points of improvement and the good points, that report would be secret. I even hear that magistrates who are interested in that report will also receive a refusal.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u51	While you did get it?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u52	Yeah, I got it and I didn't pass it on. I'm being forced to leak, but I won't.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u53	(...)
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u54	That's unlikely. However, I will put a new question to you on this. Even though I find it an honour to receive that report, it seems to me to be a good thing, in a democratic rule of law, that such a report, which does not contain confidential information, is available, inter alia, for scientific research by interested magistrates.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u55	Debates of the European Parliament 2573 by Mrs Van Vaerenbergh was postponed.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u56	Mr President, Minister, a few weeks ago we received reports that British and American security services would have broken into Gemalto's internal computer system, the world's largest manufacturer of bank and SIM card chips. The secret services would have intercepted a lot of SIM cards and digital keys. This way they can listen to conversations later and read texts and e-mails from users, without the permission of telecom operators and/or foreign governments. Some of the Belgian customers of Proximus, Mobistar and Base also have SIM cards from Gemalto. They have therefore asked the company if the data from their SIM cards have been intercepted. Depending on this information, it may be important to take diplomatic action in this area, because it is almost the common thread in this matter that when we are being spied on by the services of so-called friendly nations such as the United Kingdom and the United States, the reaction continues to be very lukewarm. First of all, should data from Belgian SIM cards be intercepted, do you intend to take action? If so, which one? Secondly, has an investigation into these facts already started? Thirdly, were the Belgian intelligence services aware of these practices by British and American colleagues? If so, how did they react? Fourthly, how did the government react to this burglary carried out by the intelligence services of so-called friendly nations, many of which hundreds of thousands of Belgian nationals may have been victims?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u57	Mr President, Mr Van Hecke, I would like to begin by answering your second question. Neither the Public Prosecutor General in Antwerp, which is responsible for the coordination of cybercrime, nor the Federal Office or the Federal Computer Crime Unit, have currently received a complaint in response to the facts mentioned in your question. This is not surprising, since the company itself has indicated that it will not file a complaint with any judicial authorities. I can answer your first question as follows. Should it become apparent that data from Belgian SIM cards have been intercepted, the court will decide autonomously whether there are sufficient elements to initiate a search or judicial investigation. As for your third question, following the publication of documents by Edward Snowden, Gemalto has distributed a press release confirming that the company has been a victim of several cyberattacks, two of which are particularly advanced burglaries that could only be controlled by states. However, state security is not aware of any involvement of intelligence services of so-called friendly nations in the hacking of Gemalto. As regards your fourth question, since our country is not directly involved in the facts you mentioned, there was no response to this burglary.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u58	Mr President, Minister, your answer is well structured in order to reach that final point of view. I believe that everything stands or falls with the initiation of a judicial investigation. If the affected firms do not do so themselves, which is apparently their policy and which I find very strange if they have actually been the victims of hacking, then there is still the possibility that the public prosecutor will decide autonomously whether or not to prosecute. In this case, I think we should wait and see if the friendly nations are actually being targeted. I expect a reaction from the government as I expected for the other attacks in the past. I am thinking, among other things, of Belgacom. Everything indicates that it's about friendly nations. It's from his friends that one should have it.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u59	Mr Minister, your colleague, Minister of the Interior Jan Jambon, has recently expressed his support for the involvement of the State Security in this collaborative initiative. At a time when the fight against terrorism and international cooperation in this field are more than ever a hot topic, there are obviously questions about this topic. Have you already agreed with your colleague, Mr Jambon, on this matter? Has the State Security indicated to you a willingness to feed and have access to the data bank of the Terrorism Screening Center? What form could the involvement of State Security take in the exchange of information between the Terrorism Screening Center and the Federal Judicial Police?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u60	Mr President, I believe that a good exchange of information at the international level is an absolute necessity in the fight against terrorism. It is through the sharing of data processed by the security services that we can develop a sufficient vision of terrorist groups and their activities. Cooperation with the United States security services has been an important element. However, as far as the Terrorism Screening Center is concerned, the introduction of a direct line between the State Security Service and the US Security Service does not, in the eyes of the Security Service, represent an immediate added value for the exchange of information. Clearly, the State Security informed me that it was not seeking a direct link with the Terrorism Screening Center. The federal police have been designated as the central point of contact with this agency run by the FBI. From the Belgian point of view, it is above all necessary that the Federal Police and the State Security cooperate effectively. Both these departments and the relevant oversight bodies have confirmed to me that this is currently the case.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u61	Question No 2568 by Mr Peter Vanvelthoven was withdrawn. Joined Questions No 2572 by Mrs Kristien Van Vaerenbergh and No 2626 by Mr David Clarinval are postponed. Question No 2613 by Mrs Goedele Uyttersprot is transformed into a written question. Questions Nos 2627 and 2628 by Caroline Cassart-Mailleux are postponed. Question No 2632 by Mr Stéphane Crusnière is also postponed.
