ParlaMint-BE_2015-04-01-54-commissie-ic140x.u1	Mrs Cassart withdrew her question No 3527.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u40	The prison in Verviers, Madame Jadin, has been closed for some time. A renovation is no longer on the agenda, as the destruction of the prison has been decided and is under way. The Verviers project is part of the exercise that is conducted with regard to the adaptation of the masterplan. I refer to the Justice Plan point IV.1.4.1 "Modernisation of prison infrastructure", where I specify that the existing masterplan will be adapted in order to submit, for approval, a Masterplan III adapted by the summer of 2015. Only then can the details of the possible projects under this plan be communicated. The Justice Plan already gives considerable impetus to the projects and principles that will be integrated, with due attention to differentiation, to the smaller and otherwise secure forms of detention, as well as to projects for internees.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u41	Minister, thank you. Excuse me for providing you with an imperfect question. As a reminder, the reform of the judicial landscape provided for one prison per judicial district. Eupen's, for example, has no prison on its territory. I do not think that the request is to have one as long as priority is given to the reconstruction of a prison on the site of the former prison in Verviers. This argument is therefore not uninteresting. On the other hand, the infrastructure of Liège devoted to internment is close to the overcrowding – Mr.President will not contradict me – and knows its limits in terms of extension.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u42	I won't contradict you!
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u43	Minister, together with the division of the Brussels-Halle-Vilvoorde constituency, the then institutional majority in the previous legislature also reformed the judicial district of Brussels. A Dutch-speaking and French-speaking court of first instance was established at the split of the parquet. The Law of 19 July 2012 implementing this reform also provided for a provisional distribution of the establishment plan. The final distribution had to be made after a workload measurement. The result of that measurement was expressed in the Law of 6 January 2014. I was surprised when I was recently informed that seven Dutch-speaking clerks of the Dutch-speaking court of first instance were assigned by order of the first President of the Court of Appeal in Brussels to the French-speaking court of first instance, while the framework of that court would be full. Minister, I was going to ask you if this information was correct. However, this question dates back two weeks ago. We learned yesterday from the media that there was an effective warrant in that sense. In addition, a number of documents were sent to the Chambers' Committee for Justice, including the order of the first President of the Court of Appeal. In that order, the first President states that Article 64 of the Law on the division of the judicial arrondissement is not applicable, as there would no longer be a surplus of the framework. In the light of the conflicting opinion of the Chief Registrar of the Dutch Court of First Instance and of the President of that court, the first President also has the power to temporarily transfer those seven Dutch-speaking Registrars to the French-speaking Court. When I look further at the attached pieces, I actually read a negative advice from the head griffin. He explained in detail that the needs of the service were now very limited, and I am not going to allow him to give a positive opinion; on the contrary, he made a firm negative opinion. I should also like to point out that information has already been distributed to those seeking justice, and that the Registry will only be available by telephone in the morning and not during the legal hours. Nor are they accessible or accessible to access files, even when it comes to the regulation of justice and files for the council chamber. In the afternoon there is therefore no more accessibility. I do not have to tell you that this is not only not in line with the relevant legislation, but that it is also very annoying for the seeker. The needs of the service mean that the chief clerk formulates a negative opinion. In addition, there is a letter from the President of the Court of First Instance which does not actually express an opinion, but simply states that the special law abolishes the general provisions on which the President bases himself. So the chairman doesn't deliver an opinion. If we look at the article on which the President of the Court of Appeal bases himself in order to transfer staff, Article 328 states that if the needs of the service justify it, the first chairman may, on the advice of the Chief Registrar and, where appropriate, the chairman, taking into account a number of points, proceed to the secondment or transfer of staff. The requirement of service performance requirements is clearly not met and there is a negative opinion from the principal officer. I note that there is no opinion from the President of the Court of First Instance, but a legal requirement in so far as Article 328 would apply. When one reads the article in its entirety, it seems as if it is written here on the record of the chief clerk and the President of the Court of First Instance. In writing to us, and we are careful there, the legality of the order is placed in quotes, and in reading it seems to me to be something for that. Minister, is the information mentioned in the press correct? I assume so, given the existing warrant. Can anything be done about this? What will happen to the needs of the service, so that the Registrys can lodge an appeal, inspect the documents and the like in a legal manner during the hours laid down in the Code of Justice and that the necessary measures are taken to that end? What are the means to respond to this and can you do something about it?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u44	Minister, I, like Mrs Van Cauter, took note of the decision of the first President of the Brussels Appeals Court two weeks ago. It states that five clerks and two staff of the Dutch-speaking court of Brussels will be deployed at the French-speaking court of first instance from 1 April. Today is April 1st, so it will come into effect today. It was in the press yesterday. We all know that the reform of the judicial district of Brussels has created a particularly precarious balance by dividing resources and staff between the dedoubled courts. A measurement of workload was even carried out, and we all know that these reforms have been difficult. You also know that we did not support it from the outset. That's why it's even more amazing that that warrant is being issued now. It may well be that the French-speaking framework is not being filled up, but we also know that there are also problems on the Dutch-speaking side with regard to the framework and the workload. Staff, clerks and staff are now transferred from the Dutch-speaking side to the French-speaking side. The consequences of this are disastrous. We have had to take note of the action plan already drawn up by the Registry and the Court. It clearly states that the Registry will only be open in the morning and will no longer be available by telephone in the afternoon. JustScan will only be applied to a limited extent. Halle-Vilvoorde's parquet will not have any additional sessions if it so requests. We did support that new Halle-Vilvoorde parquet. The positive aspects of the whole reform are thus reversed. That is particularly regrettable. We therefore take note of the documents sent to the Committee on Justice. I think we need to ask serious questions about the legality of this whole scheme. I will therefore be brief and not elaborate. I think the situation is well known. What will you do against this delegation of clerks from the Dutch-speaking court of first instance to the French-speaking court of first instance? Can you confirm that this situation is illegal? What will you do about it or what can be done about it?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u45	Mr President, ladies and gentlemen, you will forgive me for answering a little longer, given the length of your questions. Indeed, by decision of 13 March 2015, the first President of the Court of Appeal in Brussels delegated five Registrars and two staff of the Dutch-speaking Court of First Instance in Brussels to the Registry of the French-speaking Court of First Instance in Brussels, with effect from 1 April 2015. For the purpose of its decision, the first President shall rely on Article 328 (4) and (5) of the Code of Civil Procedure. This provision is based on the Law of 1 December 2013 reforming the District Courts and amending the Code of the Court with a view to increasing the mobility of the members of the Court of Justice, the provisions of which entered into force on 1 April 2014. The provisions in question provide, inter alia, that staff members of level A or B may be ordered to perform their duties in another Registry of the jurisdiction for a period of not more than one year, even without their permission, whereas assistants and assistants may also be ordered to perform their duties in another Registry of the Division, but also in another Registry of the Arrondissement of Brussels, Walloon Brabant or Leuven, for a renewable period of not more than one year. In this specific case, the seven delegated staff concerned have all expressed their express agreement with the delegation. However, Article 328 of the Civil Code provides that the contract is to be awarded in compliance with the law of 15 July 1935 on the use of languages. These delegated staff hold a certificate, which shows that they have passed the examination on active and passive oral knowledge and also on the active and passive written knowledge of French. Moreover, they have previously worked in the French language within the court of law, when the judicial district in Brussels knew only one court of first instance. The first President considers that Article 53 of the Law of 15 June 1935 on the use of languages in court cases does not provide that only French-speaking clerks may be appointed to the French-speaking courts. In conjunction with Article 1 of the Law of 15 June 1935, no Registrar may be appointed to the French-speaking Court of First Instance in Brussels if he does not provide proof of French knowledge. Under Paragraph 6 of the same Article, the knowledge of one of the three national languages is automatically derived from the language in which the applicant has obtained a certificate of education. The knowledge of the other language is provided by passing an exam organized by Selor dealing with active and passive oral knowledge and the active and passive written knowledge of that language. Once the in-depth knowledge has been proven, the candidate may be appointed to the Registry of a court whose language is the same as that for which he has successfully completed a full examination. According to the first President, the amendments made by the Law of 19 July 2012 did not affect the existing rules on the conditions of appointment set out in Article 53 (1) of the Language Act. In other words, the first President states that, having regard to Article 53 (1) of the Language Act, it was sufficient and still sufficient for a candidate of the French-speaking Court of First Instance in Brussels to have an in-depth knowledge of French to be appointed. This knowledge can be proved either by the submission of a diploma or a certificate showing that he has received French-language education or by the passing of the examination on the passive and active written and oral knowledge of French by Selor. If, by virtue of the law of 1 December 2013, the legislator subsequently grants to the first President of the Court of Appeal the power to delegate from one Registry to another, within its jurisdiction, subject to the law of 15 June 1935, from one Registry to another, the rules already applicable to the division, the first Chairman considers. The principle of the monolingualism of the courts of first instance, the courts of commerce and labour law banks of Brussels is not affected by the appointment of judicial staff who prove their full and thorough knowledge of the language of the court concerned, even though the staff member would have followed teaching in another language of the country. In the first President's interpretation, no legal provision would preclude a delegation of members of the court staff of the Dutch-speaking court of first instance in Brussels to the French-speaking court of first instance in Brussels where, as in the present case, those staff have a certificate of full and thorough knowledge, and therefore no purely functional knowledge, of the language of the court to which they are temporarily delegated. The French-speaking court has only 38 Registrars at present, on a frame of 125. It is therefore imperative, as the first President said, that he should delegate the staff of the understaffed Dutch-speaking court of first instance in Brussels to the much more understaffed French-speaking court. Article 399 of the Code of Justice provides that the Attorney General at the Court of Appeal, the Procurator of the King and the Labour Auditors shall ensure the regular exercise of the service and the implementation of the laws and regulations in the courts. In view of the contradictory views expressed by the first President of the Brussels Appeals Court and the President of the Dutch-speaking Court of First Instance in Brussels, I have asked the Attorney General for an opinion, since I do not wish to take any risk with regard to the regularity of proceedings before the courts. Of course, at the same time, I will do everything within my powers and possibilities to provide a viable solution as soon as possible to the shortage of staff at the French-speaking court of first instance, also at the Dutch-speaking court of first instance, in consultation with the College of the courts and courts.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u46	Minister, I have often heard you say 'the first President'. I also understand that you say that. There's a double problem. Firstly, does the special law allow the general provision of Article 328 to be applied, to which the first chairman refers, or is it the result of the existence of that special law and the special arrangement relating to the judicial arrondissement of Brussels-Halle-Vilvoorde of such a nature that the general Article 328 is not taken into account in this regard? Secondly, the text of Article 328 states that there are a number of requirements not to be appointed but to be able to post or temporarily appoint in another court. Among other things, there must be an opinion from the President of the Court of First Instance. There's no advice. The President of the Court of First Instance did not give an opinion because he considered that no opinion could be sought on this matter because of the special law applicable. In any event, following a first reading, I do not think that the preconditions for reaching that order are fulfilled, especially since the general ratio of the article is so constructed that the needs of the service and the declaration of those who make up the service are actually a condition for the first chairman to be able to issue a warrant. I understand you'd like to refer the matter to the Attorney General. So we will come back to it later. That is useful and necessary. However, I would like to ask you the question which you think you are asking, in the light of your answer. What happens if someone presents himself at the Registry during opening hours, as the law provides, to appeal and the door is closed? Is there any extension of the deadline? That is the situation we find ourselves in today when what has been publicly notified is implemented, and we were told how the service will be further organized. Is that legal? You must not answer that question now. I'm not asking for an answer right now. However, I assume that you are seriously assessing the problem in order to avoid the possibility of using legal remedies in good time.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u47	Thank you, Minister, for your reply. I have often heard you say 'the first chairman'. I assume, therefore, that you will examine this issue seriously. You'd like to ask the Attorney General for advice. I think there are serious reasons for doubting the legality of this regulation. We can also read this in the President's letter, which states: "It cannot have been the intention of the legislator to order such a transfer on the basis of the general jurisdiction conferred on him by Article 328 of the Code of the Court of Justice if the exception cannot be applied." This letter also states that the decision was based on a distorted picture of the actual occupation of the Registry. I hope you will soon be able to clarify this matter. This seriously jeopardises the functioning of the Dutch-speaking court in Brussels. Who's the victim of that? The Dutch-speaking judge, who has to deal with many problems, such as longer deadlines and so on. I really don't think this is possible. I hope you'll do something about it soon. There is a great deal of concern.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u48	Question No 3310 by Mrs Kattrin Jadin is transformed into a written question.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u49	Mr President, Mr Justice, I come back to a subject on which I had asked Mrs Turtelboom, in writing, at the time, about the means dedicated to the fight against banking piracy. In the columns of the excellent French-language daily La Libre, of this 21 March, of which I know that you are an attentive reader - especially on the weekend - the investigating judge Michel Claise makes an alarming appeal regarding the problem of banking piracy, stating that, I quote: "There is a major risk that in the coming years a big blow will be made". In his view, this is a real danger when we know that the stolen sums are very difficult to recover when they are transferred very quickly to offshore structures. Justice Claise points to the shortage of staff at the Computer Crime Unit in order to effectively combat this form of crime. It refers to successful research but too long time-frames, as they are known in other areas of the fight against financial crime, for lack of sufficient staff. I would like to take stock with you of the scale of the phenomenon and the answers you intend to give to it, in the continuation of a written question that I quoted on 15 December 2011. Minister, can you tell me how many fraud files the Federal Computer Crime Unit has handled over the last five years? What are the figures for the results obtained? How many cases of bank piracy have been identified in those years? What amounts have been stolen? What sums have been recovered? What compensation have been awarded? If so, I would like that part of the answer in writing. How many people are currently working in the Computer Crime Unit on these files? What measures are you planning to take to address the shortage of staff? What other specific human and material means will be used to combat this new type of fraud? How does cooperation on this issue take place with other countries, particularly those from which computer scams originate? Are you considering legislative initiatives to combat bank cybercrime? Which ones? In what time frame?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u50	Dear colleague, the College of Attorneys General has reminded me that it cannot provide statistics on oral questions given the short response time. However, the police services were able to provide us with answers. First, the Federal Computer Crime Unit (FCCU) does not carry out a stand-alone file, except in the case of attacks on critical infrastructure. Online banking fraud files with malware or social engineering as attack vectors are, for the most part, managed by OECDFO and the support of the FCCU. The deconcentrated directorates of the Federal Judicial Police can also manage such cases with the support of the Regional Computer Crime Units (RCCU). However, there are no specific police figures for online banking frauds, but general figures for computer crime over the last five years - which you can read on the paper I have before me. For the number of cases of piracy identified, I refer to the figures of online banking cases provided by Febelfin on the same document. Fedelfin also publishes annually the loss due to online banking fraud. In addition to the OECDFO staff, two CFCU investigators specifically deal with these full-time and non-full-time files and receive support from colleagues. In addition, other members of the FCCU are collecting information on e-banking fraud at the national and international levels. The current number of CFCU staff is 39. An increase of the organic table to 44 people is expected. In addition, a RCCU is present in almost every former district. (...) for the police to hire people specialized in this field of computer crime who are highly sought after in the labour market. A budget under my department is devoted to the purchase of technical-legal ICT investigative equipment specific to the Computer Crime Units - federal and regional. The other budgets are the responsibility of my colleague from the Interior. FCCU collaborates with Europol's European Cybercrime Centre at Focal Point Cyborg, which replaces the former AWF Cyborg. Collaboration with author countries is carried out through Europol. Joint investigation teams or joint investigation teams bring together the victim countries. Investment is considerable but effective. A cybercrime working group, including members of the Public Prosecutor's Office as part of the College of Attorneys General's networks of expertise, does not fail to identify practical problems and to suggest legislative adjustments to the rapid evolution of technologies and modus operandi of criminals. Bills relating to computer-based crime will soon be submitted to you.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u51	Minister, thank you. You will admit that the answer is very general and quite little different from that given to me by the Minister of Justice who was before you. This response is a bit of a concern to me about the effective capacity to combat this new form of crime. When you say there's a staff of two people working full-time, or not, on the subject, I can only worry. I am also concerned about the ability of your services to provide conclusive statistics. This should not, of course, be their primary mission, but it is important as an indicator. Finally, with regard to the difficulty of finding qualified and willing people in the public service, I refer you to your colleagues in charge of the Public Service and Pensions. It is clear that the more the status of public service workers is degraded, the more difficult it is to find motivated and competent people. Many workers have the ethics of the public service, but if they are to be attracted to it, there must be respect and adequate social and wage conditions. If we want to save money, we come up with devices that are no longer effective, which I regret, whether they are banking or financial crime, of which you know they are of great concern to me.
