ParlaMint-BE_2015-03-11-54-commissie-ic115x.u1	Mr Luykx apologized for the meeting.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u34	Minister, my questions are numerous. I'll summarize them. I would like to ask you about the extent of the inclusiveness of the policy of the new Iraqi Government, for example when it comes to implementing the agreement on the distribution of oil revenues and the payout of salaries for Kurdish officials. I would then like to look at the state of play in the Iraqi Government's reforms to remove or reduce the breeding ground for radical Sunnis. I also have a question about the consequences of the air strikes. How many of Daesh's fighters died in those air strikes? Do you have any idea? Are there any figures on this? What is your department's assessment of the coalition's current strategy and approach? How does Daesh's access to its sources of income evolve, in particular a number of oil sources and others? Another question concerns our country's operation to train Iraqi troops. I asked the Minister of Defence about this yesterday. It was a question of the extent to which we asked for guarantees, before we started these training operations, that the soldiers we were training really form a mirror of Iraqi society. The point is that we would not only train Shiite soldiers, but also a Sunni representation. What diplomatic means do you use to monitor the situation? I ask you this question because I have heard that the Netherlands has strengthened its diplomatic network on the ground in the region. Have you taken the same measure or are you planning to do so?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u35	Mr President, Minister, among the many terrifying stories that come to us about the occupation of Iraq and Syria by the Islamic State, sexual violence seems to have become systematic and thus clearly used as a weapon of war. In particular, the Islamic State tries to attract new recruits with promises of money and women, and sells them in the markets of Mosul and Raqqa, Syria, a bit like mouth products. It seems that such mass sexual violence, both unacceptable and destructive to society as a whole, is unfortunately only one of many elements on the endless list of abuses of this organization. However, it is particularly difficult to account for them, as the victims of such attacks tend to remain silent as they face considerable taboos and social pressures. Minister, the sexual violence committed by the Islamic State destroys the stability of a society, as do the murders and ethnic cleansing. Addressing them from the perspective of the humanitarian impact of a conflict is restrictive. This is a real tactic of war, to be taken into account as such in the organized fight against the Islamic State. How does the international community take this weapon of war into account in its overall fight against the so-called Islamic State? What initiatives could this be or have already been taken by the various bodies of the international coalition?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u36	Mr President, I shall sum up in one of my two questions, which are already dated. Mr Minister, at the Council of Ministers on 27 February, the Belgian government agreed to send 35 soldiers (20 instructors and 15 men for security support) to train Iraqi soldiers, in cooperation with the Netherlands and Norway, in various tasks: shooting, medical care, commando techniques. There is also a question of training in training. If the Belgian military contribution to the fight against ISIL terrorists in Iraq adopts a new form that falls outside the scope of the resolution adopted by the House, the diplomatic, political and humanitarian aspects of our contribution are much more discreet when they were explicitly requested by the House. Minister, are these new military missions integrated within a broader international community framework in contributing to a lasting stabilization of the Iraqi and regional situation? What is the added value of Belgium in this context? From the beginning of the operation, it was agreed that the international coalition against ISIL should intervene in accordance with the 3D strategy. So far, the intervention of the international coalition has been essentially military. What initiatives and what budget will be taken at the diplomatic level by our country or even by the European Union? Have you ever discussed with your colleagues the exit strategy for the region?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u37	Minister, the context of the question has already changed a bit. The question was about the captivating moment when a Jordan pilot in the hands of IS died a cruel death. There followed an act of revenge, which is emotionally understandable, but which may not be the right way to act in a state of law. Minister, we operate from Jordan with our F16 devices. Have these events affected the Belgian operation in any way? Has the changed situation had any effects on the ground? Yesterday, I spoke with the serving ambassador of Iraq, following the meeting at the IPU. There are operations on the Iraqi side, which are rather optimistic by those involved. In the spirit of the code of ethics which we still use, will you urge Jordan to exercise restraint in the exercise of the death penalty in similar cases?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u38	Mr De Vriendt specifically asks for his apologies. He had to ask a question on another committee.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u39	The interim agreement of 13 November 2014 between Baghdad and Erbil temporarily puts an end to tensions between the central government of Iraq and the Kurdish regional authorities. The Kurdish region can export 150 000 barrels a day on its own account, which is currently half of Kurdish production. In return, Baghdad pays civil servants' late wages for the months of October and November. Apparently, the agreement has been implemented. Outstanding payments are still outstanding. A final and comprehensive agreement is still under negotiation. It should be noted that the 2015 budget is still under discussion in Parliament in Baghdad and that falling oil prices have an impact on the debate. Observers have the impression that the fight against IS in Baghdad is a priority. According to UN Special Envoy Mladenov, the political and religious leaders have now beaten up to save the country. This process has led to the formation of a national unitary government, which seeks an inclusive agenda. The Special Envoy welcomes Baghdad's efforts to improve cooperation with local tribes. It is said that Prime Minister Abadi is made of the right material. He sees the problems and wants to do a genuine job of inclusiveness. He's growing increasingly in his job. His style has clearly stirred up the political situation in Baghdad. Soon after the formation of his government, he stopped the artillery bombing of Fallujah, which did not distinguish between civilians and fighters. On 13 February 2015, the Iraqi Government reached agreement on the establishment of a national guard, which will increase Sunnis' involvement in security and the re-entry of ex-Bathists into public services. These proposals will now be submitted by the Iraqi Government to the Iraqi Parliament. The Iraqi Government is in any case responding to important questions from the Sunnis. However, it is still early to measure the results of the policy of reconciliation, but observers say that the right path has been taken. The government's first priority is to tackle security issues and ensure the unity of the country. However, the Iraqi Government clearly states that socio-economic developments must also be addressed. Indeed, the Iraqi Government states that the disadvantage of Sunnis must be reversed, including in order to promote security and deprive ISIS of its support. Development and security are therefore closely interlinked. ISIS finances itself in different ways: kidnappings against ransom, extortion, all kinds of taxes and the sale of oil from Syrian and Iraqi oil fields. These fields produced 300 000 barrels a day before the war. A UN report early November estimated production under ISIS at 47 000 barrels per day. Half of the crude oil is sold and sent to neighbouring countries. It is estimated that the proceeds are between 500 000 and 1.5 million dollars per day, but there are many missing elements in the calculation of yields. ISIS also receives financial contributions from private donors from abroad. In autumn 2014, installations were destroyed. It is claimed that the revenues of ISIS have now been reduced. However, it is difficult to assess precisely the impact of the bombing, as the destruction of fixed refineries can be compensated by the commissioning of mobile refineries. UN Security Council Resolutions 2170 and 2178 are important tools in the fight against the financing of ISIS. I always insist on the full implementation of those resolutions. On 9 November 2014, Bahrain organised a conference that resulted in the so-called Manama Declaration, which specifically aims to address the funding of ISIS. Our experts participate in such specific conferences on the funding of ISIS. They attended the conference in Bahrain and participated in the International Working Group on Sanctions Targeting ISIL, al-Nusrah Front and the Assad Regime, Washington. At the meeting of the anti-ISIS coalition in Brussels on 3 December 2014 and in London on 22 January 2015, combating funding was a priority item on the agenda. Moreover, a working group on financing will be set up in the coalition. During these and other international contacts, I call for systematic action on the basis of the guidelines set out and against the funding of ISIS. With regard to our networks, while saving on many other posts, for example on the number of deployed and locally recruited staff, the occupation of our Amman embassy has remained the same, with one ambassador, one diplomatic officer and one consul. The embassy was given the agreement to replace a locally recruited staff member, but the budgetary constraints prevent us from deploying additional diplomatic agents. However, we are committed to the additional appointment of a consul in Baghdad. For some time now, I have had a special envoy for the region and especially for Syria. As you recalled, Mr Crusnière, Belgium has joined the international coalition against Daesh in Iraq. The Chamber had indeed invited the government then in day-to-day affairs to contribute actively to this collective effort by making available the Belgian F-16s for combat missions in Iraq. The new government continued this commitment by extending it until 31 December 2014 and until 30 June 2014, following a decision by the Council of Ministers on 18 December. On the same day, the government agreed, on the proposal of the Minister of Defence, to also participate in the Building Partner Capacity programme, developed by the coalition, which aims to give Iraqi military forces the ability to guarantee their own long-term territorial sovereignty. Following the decision of the government on 27 February, thirty-five Belgian soldiers went to Iraq to participate in the collective effort to train Iraqi forces. This mission, Train & Advise, does not involve any involvement in combat operations. The external protection of our contingent is provided on the spot by the American forces. This commitment is fully in line with the overall approach desired by Belgium and implemented within the framework of the coalition of approximately sixty countries under the leadership of the United States. This strategy aims not only to weaken and hopefully eventually destroy ISIL, but also to stabilize Iraq. I have already had a long opportunity to speak in this same forum. Our action is multifaceted, combining humanitarian, political and military aspects. She's trying to fight Daesh in the area. The danger this organisation poses to our own security is just as important, with the involvement of foreign armed fighters in terrorist attacks such as in Brussels, Paris and Copenhagen. We must be aware that nothing has yet been achieved and that our efforts will bear fruit in the long term. With our coalition partners, I have always stressed the need for a coherent political approach. I am convinced that we must constantly check that our efforts on one or the other of our lines of action are in line with the objectives. The small group meeting of the coalition countries, in which I participated on 22 January in London, was part of the more operational follow-up to the plenary meeting in Brussels on 3 December. Only the most active countries of the coalition were invited to attend. The topics addressed fully reflect the multidimensional nature of the operations to be conducted against Daesh. We have, of course, talked about the airstrikes campaign, which has helped to limit the military capabilities of this organization. However, more time has been devoted to global political discussions and other dimensions, namely the fight against the financing of Daesh – I have just responded to Mr. De Vriendt – the phenomenon of foreign fighters, humanitarian actions and the ideological delegitimization of Daesh – the counter-narrative. The modalities for the implementation of all these actions were discussed as well as the need to strengthen cooperation between the Western countries and the States of the Middle East. In addition, the meeting provided an opportunity for my counterparts and myself to focus on resolving the fundamental problems in Iraq, including through greater political inclusiveness and socio-economic development for the benefit of all parts of the country. A very frank dialogue took place on these and other equally important issues, such as the regional situation or the impact of the crisis on the countries of the region. I am pleased that this meeting of the small group or core group was able to synchronize our views and guide the coalition's actions for the future. Five thematic working groups were set up: one on military actions, another on counter-financing, a third on foreign terror fighters, a fourth on counter-message and a fifth on stabilization. These various working groups are being set up on a voluntary basis. They'll meet soon. The coordination of humanitarian efforts is the responsibility of the United Nations and its specialized agencies. Belgium continues to advocate for respect for the impartiality necessary to ensure the effectiveness of humanitarian aid and the safety of staff. The small group will also meet regularly to coordinate the activities of the working groups and the general political objectives. All the results of this work will be presented to the coalition meeting in plenary. In conclusion, I repeat in response to Mr Crusnière's questions on this point, the problem of the fight against Daesh and the resolution of the crisis in Iraq and Syria is infinitely complex. As a result, our multi-faceted actions will have to focus on the long term, without it being possible at this stage to set a precise timetable and a deadline. Our objective, however, is clear: we must stop and eliminate Daesh and at the same time, if possible, strengthen regional stability with the establishment in Iraq of a society in which all religious and cultural components can participate in the governance of the country and in which socio-economic development will benefit all. The efforts of the coalition and Belgium will be long-term and, as I have already pointed out, we have no guarantee of success, but I think you will agree with me that doing nothing in the circumstances was not an option. To answer Mr Blanchart's questions, I obviously share his concerns about the atrocities committed by ISIL or Daesh in Iraq and Syria. Belgium supported the organisation of a special session of the United Nations Human Rights Council. At this session, which took place on 1 September 2014, Belgium expressed its dismay at the atrocities committed by Daesh and its concern about the precarious situation of ethnic and religious minorities, as well as that of other vulnerable groups such as women and children who are the target of violence. The resolution adopted at the end of the session condemned violence against women and children in the strongest terms. In the same resolution, the Office of the High Commissioner for Human Rights is also requested to dispatch an urgent mission to Iraq to investigate the allegations of human rights violations committed by ISIL. The universal periodic review of Iraq took place on 3 November 2014. During this review, Belgium reiterated its condemnation of the deliberate attacks against civilians and its deep concern for the deterioration of the human rights situation since the attacks by the terrorist group Daesh. Given the massive human rights violations committed by the terrorist group Islamic State and its associated militias and in order to prevent impunity for war crimes or crimes against humanity committed on Iraqi territory, both now and in the future, Belgium recommended that the Iraqi Government ratify the Rome Statute of the International Criminal Court and the agreement on the privileges and immunities of the Court. Finally, I come to the answers to Mr De Roover's questions. No official question has been asked to Belgium to step up Belgian operations against ISIS following the death of the Tunisian pilot, a barbaric act which I strongly condemn. According to our information, the United Arab Emirates are once again participating in the operations. There has indeed been a temporary interruption, apparently on the basis of a debate between the United Arab Emirates and the United States, on rescue operations for possibly crashed pilots, search and rescue operations. This disagreement would have been resolved by now. It goes without saying that it remains important for the coalition to be broadly opposed to IS, including in the Arab world. However, each member of the coalition makes its decisions in a sovereign way. Jordan's long-term plans are difficult to estimate. As Foreign Minister, it is difficult for me to speak on behalf of another country. At the moment, the coalition's strategy is based on air strikes and strengthening Iraqi security forces. In this context, I am thinking of the operation of Defence in Iraq for the training of Iraqi soldiers. With regard to the execution of the convicted terrorist by Jordan, I agree with the statement by the European Union's High Representative for Foreign Policy, Federica Mogherini, that we must do everything possible to stop these terrorists, but that our response must not go against our common values and respect for human rights and international humanitarian law. Like the rest of the European Union, Belgium is convinced that the death penalty must be abolished and that it has no deterrent effect on future terrorists. I have just underlined our position on this in a press release. In the billateral contacts I will have with Jordan, I will not fail to convey these elements. In addition, Belgium understands the difficult conditions in which Jordan finds itself, with the reception of hundreds of thousands of refugees, the direct threat to the terror of IS and the conflict in Syria and Iraq. As far as the death penalty is concerned, I was in contact with all the ambassadors from the Gulf this afternoon at the Gulf Cooperation Council (GCC). I have said, among other things, that we are calling for the abolition of the death penalty. I have also said that we understand the difficult situation of certain countries, such as Jordan. However, we are continuing our plea for the abolition of the death penalty in the widest possible number of countries.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u40	Mr President, I thank the minister for his answers.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u41	Minister, you are talking about the long term, but we are all aware that this will not be resolved quickly. I am concerned that in terms of defence, the funds available for on-site military action are planned until June. So when we talk about the long term, we can ask ourselves what solutions will be taken in the coming months. We also know that the solution will not only come from the military side and that you will indeed have an important role to play in diplomacy, as well as your colleague from Development Cooperation. We will be paying attention to the actions to be taken in the coming months and weeks.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u42	Mr President, I would like to thank the Minister for his reply.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u43	Mr President, Minister, we wanted to turn our sights to South Sudan, where there is another terrible civil war. We are talking about rebels who are on the side of the former Vice-President against the supporters of the President, in an armed conflict with an ethnic dimension, which has caused a somewhat snowy major humanitarian crisis. The practices of which both parties are accused are not minor: mass murders, rapes, the use of child soldiers, in short, all kinds of things that make us horrified. The United Nations has deployed one of the largest peacekeeping missions with 14 000 soldiers. The extension of that mission was approved in November. There are more than two million refugees, and more than seven million people are at risk of disease and famine. There are thousands of deaths on which no precise figure can be stuck. According to the think tank, the International Crisis Group, the number of deaths would be around fifty thousand, but it might as well be a hundred thousand. More than 12,000 child soldiers would have been recruited. This is enough to ask perhaps the following questions. Is there any possibility that the United Nations could proceed to a more accurate assessment of the number of deaths? What are the possibilities for us to get a better idea of the tragedy that is taking place there? My second question has to be reworded, because it has been overtaken by the facts. The negotiating deadline is over. The United Nations has adopted a resolution to allow for sanctions. What are your expectations about that? What is the situation with regard to relations between our country and South Sudan? Are there any plans by our country, which is not participating in the mission in South Sudan, to provide humanitarian aid?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u44	Mr President, on Sunday 14 December 2014, a year after the armed conflict between President Salva Kiir and his former Vice-President Riek Machar, Secretary-General Ban Ki-moon of the United Nations estimated the number of deaths in South Sudan to be tens of thousands. The UN estimate corresponds to estimates from other organisations. On the ground there was never a real ceasefire, despite a first agreement on this at the end of January 2014 between the Government of Kiir and the Sudan People's Liberation Movement/ Army in Opposition of Machar and the subsequent agreements of early May and late August, which were reached under the auspices of the Regional Organisation Intergovernmental Authority on Development of IGAD. From the start of the conflict in South Sudan, Belgium and the European Union have chosen to support the mediation efforts of the Intergovernmental Authority on Development, as demonstrated by the Foreign Affairs Council conclusions of Monday 20 January 2014. My fellow Members and I had then called for an immediate ceasefire and asked all political and military leaders to protect and act in the interests of the people. At their sixth summit on the South Sudan crisis on 7 November 2014, the seven IGAD Heads of State had given the warring parties 15 days to reach an agreement on the division of tasks between the President and the Prime Minister and an interim government. The IGAD also threatened for the first time with concrete sanctions and/or military intervention if the cease-fire was not respected. Despite the deadline, no agreement was reached and the fights continued. The most recent round of negotiations from Thursday 18 December to Sunday 21 December 2014 did not lead to significant results either. Unfortunately, therefore, there is a fear that a solution is not yet within reach. The effective establishment of the ceasefire and the start of an inclusive political dialogue remain the main challenges in the framework of the IGAD mediation efforts. On Friday 5 December 2014, the African Union Peace and Security Council decided to set up a high-level committee composed of five Heads of State and/or Government to support the IGAD efforts. Following the Foreign Affairs Council on Monday 15 December 2014, one year after the start of the armed power struggle in South Sudan, Belgium and the other 27 EU Member States once again expressed their dismay at the lack of a solution to the destructive conflict. The EU called on the parties to stop the conflict and reach a political agreement. So far, both sides have undermined the process by failing to honour their promises and to fight on. On 1 February 2015, President Salva Kiir and his former Vice President Riek Machar signed an additional agreement in Addis Ababa. However, the important questions about the distribution of power and the transitional government remained unanswered. Once again, it has been promised that the successive ceasefire agreements will be respected since 23 January 2014, but no action will be taken. During the final round of negotiations under the auspices of IGAD, which started on 23 February 2015, with a view to a full peace agreement on 5 March, the parties still did not reach agreement. Afterwards, IGAD chief negotiator Seyoum Mesfin suggested the option of a more direct role for the African Union and the United Nations to end the conflict. On Tuesday 3 March, the UN Security Council unanimously adopted a resolution with a sanctioning regime, including travel bans and the freezing of financial assets. Thirdly, Belgium and South Sudan have diplomatic relations. South Sudan belongs to the jurisdiction of the Belgian Embassy in Kampala in Uganda. South Sudan has an embassy in Brussels, which is also responsible for relations with the institutions of the European Union. The Kingdom of Belgium recognised the Republic of South Sudan as a sovereign and independent state on Thursday 14 July 2011. On Friday 14 October 2011, diplomatic and consular relations were confirmed through verbal note. The Royal Decree of Thursday 1 December 2011 on the recognition of the Republic of South Sudan was published in the Belgian Official Journal of Wednesday 14 December 2011. As far as your fourth question is concerned, I would like to draw your attention to the fact that humanitarian aid does not fall within my competence, but falls within the competence of my colleague, the Minister for Development. You can address your question to Minister De Croo. Questions about the possible participation of Belgian military and/or police personnel in the UN mission in South Sudan can be put to the Minister of Defence and/or the Minister of the Interior if you wish.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u45	Mr President, Minister, thank you for your reply. I urge that we closely monitor the situation in South Sudan. After all, South Sudan is getting a little less media attention.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u46	Mr Minister, there has also been a development in this dossier, but unfortunately not a pleasant development, quite the contrary. At the time I tabled this question, there was a major hunger strike on Kurdish political prisoners in the Iranian Orumiyeh prison. Some of those inmates were sentenced to death. They have begun their protests following the abolition of Article 12, in particular the specific section for political prisoners. They would be mixed by the new measure among serious criminals, drug addicts and other convicts of common law. According to certain Kurdish news sources, there would be a deliberate policy to subject those political prisoners to physical and psychological abuse by other detainees. Other Kurdish political activists joined in other prisons. In the meantime, this protest may have led to results. The hunger strike is over. If we are well informed, little is known about the fate of the prisoners. Iran continues to claim that human rights are an internal matter that other countries do not have to interfere with. It is nine years since Iran granted access to the country to a UN rapporteur on human rights. Of course, we can only regret that. I have a few questions about this. We are sure that a number of those sentenced to death have in the meantime actually been executed. Are you aware of the fate of the others? Are there any possibilities, in the light of the very great reluctance to use any other word in Iran for the UN or for human rights organisations to at least map the conditions of the detainees and, of course, to improve them if possible? Following on from the question just now, we would also like to ask you to exert political pressure on Iran not to execute the death penalty of the remaining prisoners and to respect human rights in that regard.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u47	Mr De Roover, I am aware of the fate of Kurdish political prisoners in Iran. According to our information, the prisoners concerned have stopped their hunger strike after their demand to be separated as political prisoners from the prisoners convicted of crimes of common law was met. In early January, one of the former hunger strikers was executed in Orumiyeh prison. Of course, it is primarily up to the country concerned itself to improve the conditions of the detainees. In any case, the UN is paying attention to the situation in prisons. For example, the recent UN resolution of the General Assembly on the human rights situation in Iran expressed deep concern about the poor conditions in Iranian prisons. Also during Iran's Universal Periodic Review, which took place in Geneva on 31 October 2014, the poor conditions in prisons were largely addressed in the questions and recommendations formulated by other countries. I see both bilateral and multilateral opportunities to express our concern about the human rights situation in Iran in general and about the issue of the death penalty and prison conditions in particular. I can assure you that in my bilateral contacts with the Iranian authorities I always place human rights on the agenda. This happened, for example, during my visit to Iran last year. In addition, our country supports the resolutions on the human rights situation in Iran of the United Nations General Assembly and of the Human Rights Council. This last resolution provides for the annual renewal of the mandate of the special rapporteur for the human rights situation in Iran. To support his work, Belgium intervenes during the interactive debate with the special rapporteur. Finally, our country intervened during the Universal Periodic Review of Iran, which I just mentioned. In particular, our country expressed its concern about the frequent use of the death penalty and made recommendations on the death penalty, the right to a fair trial and freedom of expression. We are moving in the same direction in all contacts with Iran at bilateral or multilateral level.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u48	Thank you, Minister, for your reply and for your continued attention to this situation.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u49	Mr President, Minister, this is a question in which a fellow countryman may be involved. In October 2014, British media reported that there was a trade between IS fighters and Turkish hostages, who were employees and diplomats of the Turkish consulate in Mosul. The Turkish security services reported that this was a pre-planned operation and that no ransom was paid. This means that 180 IS fighters could possibly be re-assigned. The British media reported that among those jihadists were also people from EU countries, namely British, French, Sweden and also a Belgian. That attracted our particular attention. Do you now have the guarantee that he is a Belgian Syrian warrior? If so, do we know who it is? Has there been an arrest warrant issued against this person? How are we faced with the fact that Turkey would have transferred someone of Belgian nationality to IS? Were you informed of this exchange by the Turkish authorities, at least if it took place?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u50	Mr President, Mr De Roover, unfortunately I cannot confirm that information. I will contact my colleague, the Minister of Justice. Maybe other services, such as the Federal Office or State Security, have more information that might confirm your data.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u51	Minister, I would ask that this matter be followed up. If it really is a Belgian national, it should be our special interest. In the meantime, I have heard from Mr Bellens that for the time being the Minister of Justice has little, not to say no, information. Maybe it'll come. I am counting on you to inform us in that case.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u52	Mr President, Minister, in the Burmese state of Arakan, the Rohingya, a minority Muslim population, are being persecuted by the regime. Displaced in 2012, they are housed in police-controlled camps. There are reports of deplorable living conditions and severe violations of human rights, including diseases, malnutrition, summary executions, forced labour, rape, torture and various forms of abuse. Stateless, they are considered by the UN as one of the most persecuted minorities in the world. Korea's Yanghee Lee, Special Rapporteur on the situation of human rights in Burma, presented an overwhelming report on the situation to the UN General Assembly in July. An identity problem is at the root of this crisis, which is heading towards a humanitarian catastrophe: the official thesis of the state of Arakan and the central government is that they are illegal immigrants from Bangladesh, although they have been living in Burma for decades. Mr Minister, the observers on the spot testify to a very tense situation and to the risk of massacres. What is the current status of this threat? How has the situation changed since the submission of the report to the UN General Assembly? In the context of Burma's reforms, what measures have been taken with regard to the situation of the Rohingya? What is their place in Burmese society? What initiatives have been taken to ensure that the Burmese Government fulfils its obligations to assist that population and to respect human rights? Has Belgium taken any bilateral or multilateral initiatives in this direction?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u53	Mr President, Mr Blanchart, you are right to say that the situation of the Rohingya people has been worrying for a long time and certainly continues to be so. Their living conditions in Burma are still dramatic and they continue to be discriminated against. We are also concerned about the situation of the tens of thousands of Rohingyas who have fled the country. The international community, of course, does not remain inactive in terms of both diplomatic pressure and resources. The United Nations addressed the issue of the Rohingya when it presented a report on the situation of human rights in Myanmar to the General Assembly. An appeal was made, inter alia, to end discrimination, stop violence, stop human rights violations, restore the rule of law and make every effort to improve the humanitarian situation. The European Union has maintained a human rights dialogue with Myanmar since 2014. The Rohingya issue was extensively addressed during the first dialogue, which took place in May 2014 in Rangoon. In addition, the European Union is investing large sums of money for the state of Arakan, where the Rohingya are located. More or less €70 million was spent in 2014 to improve the humanitarian situation. Belgium finances a EUR 150 000 UNESCO project in this state through conflict prevention. It aims at better understanding between communities through access to education. Finally, in all my meetings with the dignitaries of this country, I have always pleaded for citizenship to be granted to Rohingyas and for unlimited humanitarian access in the state of Arakan. I will not fail to argue in this direction again in the future. In addition, I would like to express my support for the statement made by the European Union delegation in Myanmar on 12 January on anti-Muslim bills. They relate to interreligious marriage, religious conversion, monogamy and population control. In its statement, the European Union called on Myanmar to comply with its human rights obligations and pointed out that elements of those projects were not compatible with the ongoing democratic transition. This process of democratization has entered a crucial phase. Intercommunal tensions, including the Rohingya issue, the peace process with ethnic groups and the upcoming elections scheduled for this year, are major challenges for the democratization of this country. The European Union and Belgium are following the situation closely and will continue to assist Myanmar as much as possible so that these challenges can be successfully addressed and, you are right to recall, try to ensure that minorities can be genuinely protected.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u54	Minister, thank you for your answers. I would simply say that, despite the current situation on other issues which unfortunately concern us, attention should be paid to such situations which are far less media, but which are just as disastrous.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u55	Debates of the European Parliament 1 1005 by Mr De Roover and Mr De Roover, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. Mr De Vriendt's 1325 amendments were converted into written questions.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u56	Mr President, Minister, on 16 December 2014 the report of the Council of Europe Commissioner for Human Rights on the state of human rights in Hungary was published. The report is severe. It poses a threat to media freedom, a rise in racism, intolerance towards Roma, Jews and a denigration of homosexuals and the homeless. The lack of appropriate sanctions for the perpetrators of acts of incitement to racial hatred was also pointed out, as was the lack of progress on the rights of persons with disabilities. In short, Hungary under Viktor Orbán is not improving. That is the least we can say about respect for fundamental rights and freedoms. As a reminder, on 26 January 2012, the House voted a resolution on the new Hungarian Constitution that failed to recall legally binding international obligations, such as the prohibition of discrimination on grounds of sexual orientation. The resolution called on the federal government to support all the Council of Europe's efforts to ensure Hungary's respect for international conventions protecting fundamental rights. It also asked the Minister for Foreign Affairs to report periodically to the House on the progress of the measures taken by the European Commission and the European Council to ensure compliance with the European Treaties. The report of the Council of Europe Commissioner for Human Rights gives us an opportunity to do so. So, Minister, can you let me know what the results of the measures taken by the European institutions are? Do you consider that these measures are sufficient in the light of the report of the Council of Europe Commissioner for Human Rights? Is there regular consultation with the High Representative of the European Union for Foreign Affairs on this issue? What are the suites reserved for it? Will the human rights situation in Hungary, as clarified in the report, be addressed during the Belgian Presidency of the Council of Europe? Finally, if necessary, is an interview with the Hungarian Prime Minister planned during this presidency to invite him to make his government more respectful of international commitments?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u57	Mr President, Minister, violations of certain fundamental rights and infringements of freedom of expression are a major feature of Prime Minister Viktor Orban's policy. The various bodies of the European Union (Council, Commission and Parliament) recognise that this lack of respect for European values is a problem, but seem to find it difficult to remedy it. Yet it is the credibility of the European Union to counter these attacks on European values when they are proven. As Hungary is an integral part of the European Union and the Council of Europe, this is a famous paradox. A new legal framework was presented by the Commission in March 2014 to safeguard the rule of law in the Union. It is intended to fill the political gap between the investigation procedure and the use of Article 7 of the Lisbon Treaty. It would put pressure on the Member States concerned and penalise their drifts. Minister, in this heavy context, how is diplomatic relations between Hungary, Belgium and the European Union evolving? What is the status of the Commission's plans to better protect the rule of law in Europe? In 2012, the House adopted a motion for a resolution, referred to by my colleague from the PS Group, on the revised Hungarian Constitution. One of its demands was that you periodically report to the House on the progress of the measures taken by the European Commission and the European Council to ensure compliance with the European Treaties. What is the development of the situation in Hungary, particularly in the implementation of its new Constitution? Do other Member States have or could they adopt legislation threatening European values and be involved in monitoring the European institutions? In the same theme, the Fidesz-KDNP coalition, which has dominated the Hungarian Parliament since the 2000 and 2014 parliamentary elections and brought Viktor Orbán to power, no longer has its superb two-thirds majority that it had previously enjoyed. In practice, the impact of this partial vote will be minor, since Viktor Orbán has already profoundly changed the Hungarian institutions by, among other things, having a new Constitution rejected, but entered into force on 1 January 2012. Minister, how do you view the Hungarian Conservative government's loss of its superb majority? Are there any projects that have been criticized in the light of European values that are blocked in Parliament? What are the implications for diplomatic relations between our country and Hungary in this regard?
