ParlaMint-BE_2015-10-28-54-commissie-ic255x.u1	Merged questions Nos 6373 by Mrs Van Cauter and 6732 by Mrs Lanjri are postponed.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u63	I'm also ashamed when I hear you, Mrs. De Coninck. I thought I'd still have the floor. Mr Secretary of State, it is not the case that earlier applications Mrs Pas is right to be re-examined. This would not benefit the principle of legal certainty. It is good that a decision has already been made. The Netherlands had already done so. We're doing it now. I am sure that countries will follow as the figures speak for themselves.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u64	Mr De Vriendt has the floor.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u65	Mrs Smeyers, I would first like to say that Mr Hellings has several committees at the same time. It is therefore not unusual for him, after having received the answer, to go to another committee. You were here too late, by the way. Mr Secretary of State, if you have indications of filières, stories that are manufactured, it is normal that you respond to them and give the message to the refugees that you are aware of them. You say that the Commissioner-General is independent, but you did go into a grey zone by the letter you signed. It is quite exceptional that a Secretary of State should address a letter to refugees and sign it. So that letter is not from Belgium as a state, but from yourself, in your own name. That's a gray zone. That's pretty exceptional. That's not common. It's your intention to dissuade, but you can go too far in that. You yourself say that Baghdad and Iraq are not necessarily unsafe, but an asylum seeker may be fleeing from Baghdad from an unsafe, violent situation. By signing and distributing such a letter via Facebook, you deter legitimate asylum seekers from Baghdad and Iraq. Refugees who are in such a situation and wish to make use of the internationally guaranteed right to asylum will be deterred by your letter and will not apply for asylum in our country, even though they are entitled to it. I think that's where you went. Your announcement came at the same time, of course, with a communication from your party chairman, which you cannot do anything about, but the picture was sketched that Baghdad would be safe. This is contradicted by reality. There have been attacks in Baghdad. Iraq itself is clearly unsafe. That's what's in the travel recommendations on the Foreign Affairs website. There's a war there. Today, the American President announces additional offensives in Iraq in the newspapers. In fact, you did not answer the question of the category of Iraqis who are fleeing to Baghdad from an undisputed war zone in Iraq and who then, from Baghdad, flee to Europe and apply for asylum. Are those people fleeing Baghdad, which you believe is safe, or are they effectively fleeing war zones in Iraq, but via Baghdad? That's a problem, isn't it? It seems logical to me that Iraqis from war zones may first flee to the capital to move on to Europe from there.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u66	Mr President, first of all, I can only regret the fact that intellectually unfair games are being played on the heads of refugees. Wrong quoting in committee, last week in plenary and now making it appear as if I would have said that Baghdad is safe, I find it very unfair and it is not correct. Everyone in the room knows that. The Facebook page is still online. One can find the message and the letter perfectly online. One can request that information. Then read them and come to your own judgment. However, it is clearly wrong that I would have said that Baghdad is safe and I regret these intellectually unfair games from a certain angle and from certain Members of Parliament. I can only repeat that, but most of all they continue. Such a letter is indeed quite exceptional, but the situation is, of course, quite exceptional. I think this is even the first time, but it is also the first time we have seen such a situation where suddenly, at a few weeks' time, more than 150 Iraqis a day apply from Baghdad. The majority of them are single men and a large part of them worked for the Iraqi government until recently. That's weird. I think it makes sense for people to ask questions. Stop telling me all those stories about the decision stop I would have ordered, because that's not right. I cannot repeat that enough, because it is not because it is said ten times that people will believe it. After all, I will say ten times that it is not right. That people believe above all who they want to believe. The decision stop was introduced by the Commissioner-General and anyone who knows anything about foreign contentieux knows that it is independent. I don't have a decision stop to put in, I can't. Even if I wanted to, I can't. The decision has been made. I sent a letter on that. Of course, that has been passed on to the Prime Minister. I do not know where the myths come from that Ministers Reynders and Vandeput would not agree to this. However, if you ask Minister Reynders whether he agrees with the statement made by Secretary of State Francken that Baghdad is safe, then Minister Reynders will probably reply that he does not agree with that statement. However, I have never said that myself. I can also draw up parliamentary questions in this way; there is no need to be a genius for that. The situation is therefore exceptional, but the whole situation is exceptional, and exceptional situations also require exceptional measures, I think.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u67	The final word will be given to the members of the committee. Does anyone still want to replicate? Mrs. Pas, Mrs. Smeyers, Mr. De Vriendt?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u68	Mr Secretary of State, the Commissioner-General works independently, but you do write a letter, which you sign in your own name, so there is a grey zone there. The bulkheads are no longer clear because you have entered a grey zone. You should be aware of that yourself. I insist that Iraqis who have a legitimate right to asylum are deterred by your communication. You should have added a sentence to your letter. That's why I'm making a suggestion. You could have added to your letter that Iraqis can still apply for asylum in our country and that their file will be assessed individually. That's not in your letter. With your letter, you outline an image used against Iraqis as a deterrent. You are announcing a freeze, a stop to decisions, because we are no longer convinced that the situation in Baghdad is unsafe. Anyone who, with right and reason, flees a violent situation is deterred in this way and may not apply for asylum in Belgium, which cannot be the intention. Once again, you have not answered my question as to what happens to the Iraqis fleeing to Baghdad from their country of war and from there to Europe to apply for asylum. Are they being treated as someone from Baghdad or as someone from an unsafe area in Iraq?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u69	Mr President, Mr De Vriendt, you say that I am in a grey zone and that I have crossed a line. So you say that the Commissioner-General is not independent. I find it particularly scratchy that you dare to say that.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u70	I deny that. I didn't say that.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u71	You have said that I am in a grey zone, that the Commissioner-General is no longer independent and that I have made a mistake. I didn't make a mistake. I communicated a decision, taken independently by the Commissioner-General, via a letter of information to the Iraqis in the asylum centres. I did. The day when you, or anyone else, say that the Secretary of State for Asylum and Migration is no longer allowed to communicate about the decisions taken in all independence by the Commissioner-General, we are still far from home. I have communicated about a decision taken in complete independence. If you claim that this is already a grey area, we can almost shut down all the Home Affairs websites that contain information on the Commissioner-General's policy. After all, I provide weekly information on the Commissioner-General's policy. That is also the case, for example, for all the parliamentary questions I receive. These are all answers to the Commissioner-General's policy. I just received a question from Mrs Pas on subsidiary protection and recognised refugee status. Surely I am not in a grey zone by answering how the Commissioner-General does that? I find it particularly scratching that you dare to say that this is a grey zone. You say I know perfectly well that I made a mistake. I don't know that at all. I firmly deny that a mistake would have been made here.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u72	Mr De Vriendt, you will of course have the last word, but I would like to remind you of the speaking time allowed by the Rules of Procedure for an oral question. You have already exceeded that time.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u73	I am well aware of that, Mr President, but I have not yet received an answer to those other concerns. As far as that grey zone is concerned, by signing such a letter personally, you have entered a grey zone. That's exceptional. You admitted that yourself. That's very bizarre. You are sending out the message to Iraqis that they should no longer apply for asylum in Belgium. That can't be the intention. Many Iraqis flee an unsafe situation. You are deterring those who are entitled to asylum in our country.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u74	Mr Secretary of State, in De Standaard of 30 September, I read some remarkable statements by Mr Freddy Roosemont, Director-General of the Department of Foreign Affairs. I read, among other things, the following: "I am confident that the number of closed centres can be doubled. There won't be any empty ones. Over the past few months, we've found a lot of undocumented people we couldn't remove because the closed centers were full. We urgently need to get rid of this delay." Mr Secretary of State, it is one of your policy interests, as we could read in your policy paper, in order to do more about the expulsion of illegal immigrants in future. When I read Mr Roosemont's statements, there is still some work to be done. It is indeed an observation that it is easier for this government to create a large number of shelters in a short time to accommodate the refugees who have been received, but it seems that it is more difficult to manage the outflow of illegal immigrants and rejected asylum seekers. Will the necessary resources be allocated to increase the number of places in closed centres for the expulsion of illegal immigrants in the short term to the level necessary to effectively identify all detected illegal and rejected asylum seekers? Of how many illegals do the services know that they cannot be removed because of the lack of closed shelters? That is the problem to which Mr Roosemont refers. What is the delay in this respect? Finally, Mr Secretary of State, are you considering adjusting the government's measure for the employment of refugees, as indicated by Mr Roosemont in that article?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u75	With regard to the employment of refugees, the government has decided to allow asylum seekers to work more quickly: from four months instead of six months. I think that's what you asked for?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u76	I did indeed forget to mention that in my question. In that interview Mr Roosemont also said that he did not think it was a good decision at all to reduce that period from six to four months. He felt that this should only apply to recognised asylum seekers.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u77	Acknowledged refugees.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u78	In his view, this should indeed apply to approved persons.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u79	I do not know exactly what Mr Roosemont means by that. The decision has certainly been taken to make them work faster. I think this is a good thing. You should also remember that they have to pay half of their accommodation costs if they work. It's in the shelter law. The shelter is very expensive. So I would certainly allow them to pay back the high costs of shelter if that is possible. The fact that they work is certainly not a bad thing. For the illegal residents, the necessary resources have been acquired to increase the capacity of the closed centres from 450 to 605 places. This is an unprecedented increase of 34%. In early December a new wing will be opened in Merksplas. At the beginning of next year, an empty wing, which is not currently open due to lack of staff, will be put into operation in center 127bis. The recruitments through Selor are in full swing. The aim is to have 605 places in the closed centres by 1 April 2016. That number also existed under Minister Wathelet. That number is also really necessary to enable a better return policy, voluntary if it is possible, forced if it is necessary. The forced return must also be well arranged, especially for those who have no good intentions on Belgian territory. It is especially those who do not want to return voluntarily. It is very important that we continue to work on this. You have asked for a number of figures. I would like to suggest again that you request it in writing. It is also not so easy to make the analysis of who could possibly be removed in what way, if there are more places. It is not just a question of lack of space, but of course there is also a lack of cooperation from the home country. I would like to provide you with figures, but I suggest that you submit your questions in writing.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u80	Mr Secretary of State, I will ask and study all the figures again in writing. The problem is that there are currently too few closed centres to implement an effective and efficient expulsion policy. In April there will be 605 places. That is something, but I do not think that is enough. Your asylum and migration policy stands or falls with an efficient and effective expulsion policy. I wonder why it is easy to find additional shelters to allow the refugees to stay here, but there is so little capacity to support the expulsion policy. I urge you to do so, because that is not an insignificant aspect.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u81	Mr President, Mr Secretary of State, about ten years ago, the CGRA decided to set up a "Psy cell" to train and advise the protection officers responsible for hearing asylum seekers. Indeed, refugees who have experienced situations of war and real risk to their lives may be victims of mental disorders (post-traumatic stress, depression, etc.). may affect the normal conduct of the interview with the protection officer. It is very important that this disturbed mental state does not prevent serene and objective treatment of the file. Since January, however, there are no psychologists at CGRA. And it was decided not to replace the psychologist for budgetary reasons. The Psy cell is therefore removed in fact. This recent development at the level of the bodies responsible for examining asylum applications is to be brought into line with our international obligations, which arise in particular from Directive 2013/32/EU on common procedures for the granting and withdrawal of international protection. This Directive gives special treatment to persons suffering from mental disorders or from the consequences of torture or other serious forms of psychological violence in the context of the procedure for the recognition of refugee status. Thus, Member States must endeavour to identify those applicants requiring special procedural guarantees. These applicants must be given adequate support and sufficient time to support their application for international protection. Similarly, persons interrogating applicants must have a general knowledge of the problems that may affect the ability of applicants to be interviewed, for example, to have been subjected to torture in the past. So how do you justify the removal of the Psych cell in the light of our international obligations? What is the status of the transposition of Directive 2013/32/EU on the common asylum procedure? How is the psychic status of the asylum applicant now taken into account in the examination of the application? What is planned at the level of protection officer training and council? Finally, are there currently blocked files, following the finding of disorders that make it difficult or impossible to treat the file calmly and objectively? This question, as well as the next one, is inspired by a visit we made with the commission to the Bierset Centre.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u82	Mr. Chairman, Mr. Demeyer, at the outset, the CGRA pointed out that at the time, the psychologist had the task of verifying whether the medical problems raised were relevant or well-founded with a view to examining the asylum application. Its role was not to systematically identify asylum-seekers with special needs. In order to comply with the obligation to identify and take measures to take account of asylum-seekers with special needs, it is first of all crucial to develop a system under which the asylum-seeker concerned is given the opportunity to express his/her needs. In this regard, the involvement of a psychologist is not absolutely necessary. The identification of special needs and the examination of possible medical and/or mental problems shall take place on the basis of evidence or medical certificates submitted by the asylum-seekers concerned. It is possible that at CGRA some files, the exact number of which is unknown but is very low, may be blocked by people with very serious medical or mental problems. However, their situation is rather related to the seriousness of these problems, making it impossible to audition in the absence of mentors or psychologists. Finally, however, the possibility of appointing experts for medical examinations is being examined in the context of the transposition of the Procedures Directive. I also answered a question from Mr Hellings on this point last week. My answer was even broader. I understand your concern, but steps have been taken and I think that now is in order.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u83	Mr Secretary of State, thank you for that answer. I will not fail to follow this file.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u84	Mr President, Mr Secretary of State, this question is also a follow-up to the visit to the CARDA centre in Bierset which I have made with several members of the Committee on the Interior. As a reminder, CARDA was created in 2007 at the initiative of the Red Cross. It is a residential reception centre for mentally retarded asylum seekers. CARDA also provides outpatient care for asylum seekers in other reception centres. This is the only centre of the Belgian reception network with this therapeutic specificity. CARDA has also developed a specific project for victims of torture, with the aim of identifying victims of torture and their families in reception centres and providing multidisciplinary support at all levels in order to facilitate their rehabilitation. According to information provided to us, in 2014, 25 per cent of asylum-seekers, i.e. 2,800 persons, were reported to have been subjected to torture or to acts that could be considered human rights violations. This figure must be linked, on the one hand, to the current capacity of CARDA, which is 40 places, and, on the other hand, to our international obligations regarding the treatment of victims of torture in the context of reception. Directive 2013/33/EU of the European Parliament and of the Council of 26 June 2013 laying down standards for the reception of persons seeking international protection requires States to pay particular attention to victims of torture. Member States must ensure that persons who have been subjected to torture, rape or other serious violence have access to adequate medical and psychological treatment or care. In addition, minors who have been victims of torture or abuse must have access to appropriate rehabilitation services and health care. Finally, personnel responsible for victims of torture, rape and other serious violence should continue to receive appropriate training. Mr Secretary of State, do you consider that the current arrangements are sufficient to comply with our international obligations? What is the status of the transposition of the Home Directive, which was recast in 2013? Consider additional means to increase the capacity to receive and monitor persons suffering from mental suffering or torture whose number is unfortunately not decreasing, given the changing situation.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u85	Mr Demeyer, I visited CARDA in Bierset, which is an impressive project. I think it is necessary because many asylum seekers are really traumatized. The most traumatised of them must be able to benefit from a specific reception. The attention to be paid to persons who have been subjected to torture, rape or other serious violence is not limited to the CARDA centre alone. The entire reception network for asylum seekers has social workers and health workers. All reception facilities are therefore attentive to the detection of these vulnerabilities and to their management, either within the host structure, if possible, or by addressing, for example, the CARDA centre. In addition to the CARDA centre, other specialized services may also be requested depending on the vulnerability detected, such as ASBL Solentra, Ulysses, GAMS and Intact. Fedasil also has a convention with these associations, which carry out extraordinary work. With regard to the provisions of the 2013 Home Directive in relation to Fedasil's competences, the transposition texts in the Home Law have been prepared. It should be noted that the priority of the call for projects of the European AMIF programme is the establishment of a structural approach for asylum seekers with psychological or psychiatric problems and the facilitation and organisation of home care for serious chronic patients. This appeal was opened until 21 September. I am aware that for CARDA and the Red Cross, it is important to have more security when talking about subsidies. This is why the call for projects under the European AMIF programme was launched to create a structural fund over several years. Belgium called for priority to be given to a structural approach for asylum seekers suffering from psychological problems. I'm sure the Red Cross will hand over a file. A project such as that of the CARDA centre is essential for the reception network in Belgium.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u86	Mr President, I thank the Secretary of State for his reply.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u87	Mr Secretary of State, a dispatch from Agence France Presse suggests that in addition to the 8,000 seats announced at the Council of Ministers on 11 September, you are planning to call on the private sector to create 10,000 seats. I am surprised at the principle of this appeal to the private sector. It therefore seems to me important to ask you about a series of beacons that such a project would require. First of all, I assume that it is not a question of turning to the voluntary sector, otherwise there would have been no reference to the private sector. If this track is actually explored, is it a call for tenders for the construction of spaces alone? I assume that there is no question of entrusting the private sector with the management of these new places. Secondly, I still assume that this is a call for projects for construction on land belonging to the federal state, already clearly identified, and not a real estate promotion operation in which the promoter himself owns the land on which he intends to build the order. How far will the mission of the private sector extend: design, implementation of in-house plans, public-private partnership? I think it is necessary to shed some light on this. In all cases, here again, there is the question of consultation with the municipalities involved in the development of these projects. What are they? What contacts did you make? How will these municipalities be involved in the project? Finally, I have to ask you about the budgets. There is a concern that your ambition is to favour collective centres at the expense of individual reception, which is known to be less expensive to the community at the end of the race for better results. What amounts do you intend to commit to this call to the private sector? Thank you in advance for your answers.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u88	Fernandez Fernandez, first of all, the ILA (Local Hosting Initiative) places are no less expensive. Secondly, with regard to the private sector, I understand that this is not easy. Indeed, we usually work with the Fedasil Agency and partners such as the Red Cross and Rode Kruis, CIRE (Coordination and initiatives for refugees and foreigners), Vluchtelingenwerk Vlaanderen, etc. However, in extraordinary circumstances, extraordinary measures. We made three calls. The first, for a capacity of 10,000 places to open in the course of 2016, was published on 7 August. Secondly, in view of the urgency imposed by the exceptional number of arrivals of asylum seekers, Fedasil also issued two urgent appeals on 28 August and 11 September, with a view to creating an additional 2,000 and 5,000 places respectively. This is a public procurement open to all, private operators, NGOs, ASBL. The Red Cross, for example, can participate. At the level of quality, European standards are applied. This contract concerns the opening of reception places, their day-to-day management with the usual accompanying activities and services provided in reception facilities for asylum seekers. The applicant must himself propose a site in which the reception will be organised. He may be the owner or tenant of the proposed building. The government agreement provided for the need for adequate capacity. Two thousand buffer places had been planned by the Di Rupo government. This was a good decision, but these places were occupied in two weeks; as early as August there were no more places. It is a good thing that there is this buffering device, but more is needed. Public procurement for the opening of 2,000 and 5,000 places has not been conclusive. We found about 2,200 places out of the 7,000 requested. It's hard. I expected more results.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u89	Are these 2,200 places already created or only identified?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u90	They're granted. They were to be opened within four to eight weeks. They're opening now. It takes a little time, because you have to find staff, provide catering, etc. I hope that the offer of 10,000 places for 2016 will be more successful, but I am not sure.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u91	I did not understand whether the operators who responded were private or public operators. I understand that they can be NGOs. That would be wise.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u92	Operators are private.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u93	What kind?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u94	Bridgestock, a private company that is already hosting asylum seekers in England for example.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u95	Yes, it's an international firm.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u96	I have already replied to a question by Mr De Vriendt about the companies that have won the award.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u97	I'll go see that answer. As far as the 10,000 seats are concerned, you don't have an answer?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u98	For April 2016
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u99	When you say that management is being handed over, what do you mean by that? The whole management, the reception of people, the supervision of people too? (Yes)
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u100	These are European quality levels, standardised.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u101	I get it. I'm just worried it's handled by the private sector. It's not in my philosophy. You'll understand that. I'll go read the answer to Mr. De Vriendt and I will not fail to come back as needed. I would like to make another comment on your introduction. You claim that ILA seats are no less expensive. This may be true, but in my view they remain much more effective in terms of the integration of applicants than collective places.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u102	I understand your concern and share it. As far as ILAs are concerned, 8 000, 10 000, 15 000 places cannot be opened in two months in ILA. We have to work in every field.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u103	I understand perfectly. I was reacting to your comments on equal costs, but we also have to take into account the value for money, because we have to talk about it in this area too, and I wanted to share my feeling, as you shared yours.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u104	Mr President, we could have joined the questions, but it has been a long time since they were asked according to the current situation. Maybe they're a little disjointed, and I beg you to excuse me. Mr Secretary of State, the Council of Ministers of 11 September last announced the creation of 8,000 reception places by the winter. This first announcement, made, all in all, under the pressure of events is undoubtedly good news and the sign, perhaps, that the government is beginning to appreciate the urgency it is facing. Nevertheless, a series of questions remain outstanding. Mr Secretary of State, what is the nature of these additional seats? Are these structural places that replace those that you have closed? Or are these buffer places? You have already answered these two questions in part. Given the mass, it is assumed that these are mainly places in collective reception centres. Can you tell us where these places are located? Are these new centres or extension centres? In the case of new centres, have the municipal authorities of the entities on which the land is located been involved in any way in the settlement decision? I have already asked you this question, but I do not think I have received an answer. Furthermore, will specific means be made available to enable these municipalities to meet the responsibilities they will have to assume for the maximum success of these settlements in their territory? As for the management of these new places, will it be a matter of entrusting them directly to Fedasil or do you intend to entrust some of them to associations active in the field? You have also already answered this question. In the case of direct management by Fedasil, this will undoubtedly require the hiring of additional staff. How many posts do you plan to open? Here are my questions. Excuse me for the duplicates.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u105	Mr President, Mrs Fernandez, the capacity of the Fedasil reception network currently has more than 25,000 operational places and is expected to increase further in the coming months to 36,000 places. The reception network's structural capacity is 16,200 places, with an additional 2,000 buffers available if needed. Beyond the structural capacity and the buffer places, the rest of the places created are reception places to deal with the emergency and are, therefore, of a temporary nature, what I hope. These are mainly collective reception places, but a significant proportion of individual reception places have also been provided for. In addition to the activation of buffers, ILAs, ICRÉ and Vluchtelingenwerk Vlaanderen, a total of 817 places activated or in the process of activation, the Council of Ministers also decided to create 1,600 additional reception places in ILA. This number has already been reached. We are already 1,800 places in ILA. There is a great deal of solidarity throughout the country, on the part of municipalities and CPAS. With Mr. Borsus, I launched a new call to reach 10,000 places in the ILA network. This means an additional 2,000 places. I hope that we will still receive a lot of solidarity from the municipalities and CPAS. As regards collective reception centres, the increase in capacity consists of both extensions within existing reception centres and new ones. The list of locations of the new sites is long but I can send it to you. The municipalities concerned are always informed of the decisions. In addition, as with any municipality hosting a reception centre in its territory, they may benefit from an annual subsidy under Article 53 of the 2007 Law, equivalent to EUR 248 per year and per reception place. Both Fedasil and other operators are involved. That is the answer to your fourth question. With regard to the reception centres run by Fedasil, since 1 July 251 new employees have entered service and 150 are in the process of being recruited. The numbers start to date as there are now more than 300 extra workers only for Fedasil. Not to mention the Red Cross. The situation is indeed generating enormous work.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u106	Mr Secretary of State, the municipalities concerned are informed. It's finally the least thing. Their work and proposals should be commended on a voluntary basis. I will continue to demand on behalf of my group, and you will not be surprised, a distribution plan across the country. Unless I am mistaken, I understand that this subsidy under section 53 has recently been amended but that the implementing decree has not been reviewed for several years and that the municipalities are waiting. They don't know what amounts they're going to receive. This could be the subject of a further oral question. It is important that the municipalities concerned know what they will receive. Even if it's not clear, people respond favorably. In any case, on behalf of my group, I plead for a distribution plan extending to the whole country. Of course you won't be surprised. I apologize for the repetitive nature of my questions.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u107	That's a very good question. I do not intend to increase the amounts allocated to municipalities with an open centre or to ILAs.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u108	[[...]]
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u109	You know that when you manage an ALA correctly, Fedasil's staffing is sufficient.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u110	Mr Secretary of State, at the beginning of this year an amendment has been introduced into the foreign law. As a result, a fee is possible to obtain a residence permit for certain categories of foreign nationals. It is sometimes referred to as the foreign tax. This fee is also payable to foreign students who wish to obtain a residence permit. Students who can study on the basis of a scholarship in this country are also covered by this measure, whereas they are already in a very difficult situation and are in a financially precarious situation. Both universities and a number of NGOs are asking for an exemption for such scholarship students. There has already been a consultation with you on this matter months ago. Are you prepared to apply an exemption from the fee for students and more specifically for scholarship students? If so, where do you stand with that? When can this be implemented? Is that also retrospectively possible? If the scholarship students have already paid the fee when applying for the visa, can the services repay that money? Do you need to re-adjust the foreign law to provide for that exception? Or can that be arranged through a KB?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u111	I will not repeat everything Mrs Lanjri has already said and I will ask my questions immediately. What is the state of play with regard to the implementation of the Royal Decree? Why would there only be an exemption for scholarship students? We want to encourage student migration, so the question arises as to why there is no exemption for all students. Flemish Minister Crevits is in favour of this general exemption. Why aren't you?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u112	Today, 15 from Iraq, 47 from Afghanistan, that's a lot of.... and 43 from Syria. Those are today's asylum figures. Those numbers are just coming in.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u113	Those aren't numbers about the students?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u114	No. Forty-seven students from Afghanistan, that would be a record! You will receive the information from the Foreign Office in livestream. Fifteen from Iraq. This is the first time that the number remains below 20.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u115	The day isn't over yet.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u116	The day's over. We're done for today.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u117	(...)
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u118	I didn't see any questions about that.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u119	I couldn't do that anymore.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u120	I suggest that we continue with the questions asked.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u121	There will be a plenary tomorrow. You can always submit questions. I'm not standing in the way of asking you a question. I'll be happy to answer them.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u122	(...).
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u123	The lying quality there at night... About the scholarship students, I can tell you that the project is ongoing. If accepted, the project will enter into force in the following academic year. There will be no retroactive effect. It's done by royal decree. So that is a matter for the next few days when I will present the project to the government. It was done. However, there were some discussions with the IF. The project has therefore gone over and over again. The case is now cleared and closed. It'll be for the scholarship students. Mrs De Coninck, I would also like to inform you that the current figures for the time being indicate that there is no significant reduction in the number of students' applications after the fee has been completed. So it's not true that their numbers have fallen. The number of regularization applications has fallen considerably, as you probably read. However, the number of students has not decreased. The future exemption for only the scholarship students seems sufficient to me. The fee does not therefore seem to stand in the way of internationalisation. At the request of not only the Flemish government but also some other state governments, we will exempt those scholarship students from the next school year.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u124	Do you have an idea of their number in 2015?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u125	Exempting all students costs 1.5 million euros, exempting scholarship students is estimated to cost 450 000 euros. Is that 215 euros or 160 euros?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u126	That's 215 euros.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u127	I think it's 160 euros. No, it's 215 euros anyway. If you divide 450 000 euros by 215, you will get the right number. It'll be about 2,000 students. This year, of course, we will get that amount. There will be less revenue next year.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u128	Thank you, Mr Secretary of State, for your reply. I am glad that a solution has been found and that it is recognised that it is not good not to exempt scholarship students. It is good that this will be corrected as of next academic year. I still regret that it cannot be given retrospectively for this year. I know it already happens; in some cases it can be given. Why it doesn't happen retroactively is a mystery to me, but I'm glad it's happening for those who start next year.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u129	Thank you, Mr Secretary of State, for your reply.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u130	Mr President, Secretary of State, Article 11 of the Reception Act of 12 January 2007 provides for the possibility, in exceptional circumstances, of drawing up a compulsory distribution plan by royal decision after consultation in the Council of Ministers. Until now, no such possibility has been used; attempts have been made in the past, but they were then destroyed by the Council of State. That was about the spread of asylum seekers. Mr Secretary of State, I would have liked you to answer the following questions. Is there still a preference for a voluntary distribution of asylum seekers? We also call for a balanced distribution of asylum seekers, if possible on a voluntary basis, for example on the basis of targets. If it is necessary, if a lot of municipalities remain behind or do not cooperate, we have no problem making this mandatory. What initiatives have you taken to promote such a voluntary but balanced distribution? What contacts have you had with the local authorities? Are local authorities also consulted in advance when a private partner wants to start receiving asylum seekers? What input can and should a board have in this? With regard to Corsendonck, I have been told, among other things, that they were not informed until just before the award. Private initiatives are sometimes emerging that are directed directly at the government, while local authorities are not aware of the fact that a private partner offers shelter, sometimes for 500 people, which has a certain effect on the municipality. I therefore believe that it is important to consult the local authorities in good time. Are there municipalities and OMCWs that do not have a LOI or a reception centre? If so, which one? In the meantime, I have found the list of 21 municipalities in De Standaard, and I have that list with me. Is that list still correct?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u131	The list I'm carrying isn't right anymore either.
