ParlaMint-BE_2015-10-21-54-commissie-ic252x.u1	Debates of the European Parliament Mrs Temmerman's 5175 is converted into a written question.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u32	Thank you for your answer and the elements of precision about the partially different origin, even if the coordination is at AREVA. I was much less reassured by the words "in principle exclude" and "unlikely" that you mentioned at some point in your answer.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u33	Mr President, Minister, I know that you have already been questioned by some of my colleagues in July about the environment police. I have read your answer with interest. I wanted to go back to the subject, which I think is relevant. Indeed, at the beginning of October, a fairly important event took place in Manage, where this service coordinated a targeted action on the transfer of clothing and the trafficking of waste from clothing. I will not remind you of the importance of environmental crimes, not only for the protection of nature, but also because of the link that these crimes, offences and trafficking have with organized crime and, consequently, the financing of terrorism. In the case I have just mentioned, they were Syrians and Iraqis. I would like to stress the expertise of this cell, which is staff-limited and has only six police officers – five for the time being – and two CALOGs. This unit provides important services to local police, but is mainly a coordinating body between national agencies (parquets, regional authorities, local and district police) and international (Europol, Interpol, UNEP, etc.).). On July 1st, you replied that it was very likely that this service would disappear. I am concerned about this when we know that the disappearance of a service tends to eliminate the expertise associated with it. It seems to me that it would be harmful to completely dismantle this service or to integrate it into a multitasking service in which its skills would be diluted or even lost, while the port of Antwerp is one of the major gateways to Europe and, consequently, susceptible to all kinds of smuggling. According to informal information collected by the Judicial Director of the Ghent Public Prosecutor's Office, responsible for the coordination of public prosecutors' offices on environmental crime offences, while in 2012 seizures amounted to €333,000, they increased to €647,000 in 2013 to €47 million in 2014! By the beginning of 2015, almost 4.5 million euros had already been seized. Waste trafficking ranks third after money laundering and fraud in all financial seizures. Even drugs don't reach those levels. The importance of this service is therefore not to be demonstrated. However, it is not included in the priorities chosen. Of course, I understand the desire to reduce the number of priorities. That is why I ask you, Deputy Prime Minister, whether it would not be wise, instead of completely eliminating it, to make it a non-priority support service, as is already the case for child pornography, weapons and hormones.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u34	Madam, my answer is included in your question. You are absolutely right when you refer to the link between environmental crime and organised crime. This is why these services will be consolidated. It is not because a service is removed that the skills are removed. Everything is grouped within the Directorate dealing with organised crime, including environmental crime. When different services are devoted to handling criminal organization cases, little information is available for each category. It is difficult to gather information from different services and to arrive at solutions. That is why we bring together everything related to organised crime in the same direction. This does not mean that skills in environmental crime disappear. They are grouped within this main direction to have all the pieces of the puzzle. I am confident that many problems will be solved. We will thus have a comprehensive view of all the activities of these criminal organizations. We'll be more efficient.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u35	Minister, thank you for your answer. Having said that, I hear you want to move towards centralization. But do you or do you not intend to keep the services as you have done for the support services, even if they will be covered?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u36	We will work on the different levels: the local police, the deconcentrated federal police and the central organization.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u37	You should be aware that the interest lay in the coordination that this service provided. In fact, we were able to see this on the occasion of the last case.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u38	Coordination of what? If you are talking about the coordination of environmental crime, I believe that organised crime cannot be managed separately. It is much more operational to manage it by dealing with different themes at the same time. This will make it easier for us to find the links between the different forms of organized crime through the consolidation of a service. That is the aim pursued.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u39	The services concerned will therefore retain their skills and expertise.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u40	Of course. It is very difficult to remove their skills from staff.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u41	But they still need to be integrated and continue to work!
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u42	That's right!
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u43	Mr President, Minister, on June 3, the Walloon Parliament adopted a resolution calling on the federal government to abolish the electronic voting system for regional, federal and European elections. A week later, in response to an inquiry I had made on the subject, you indicated that you had not yet received a request from the federated entities for the organisation of voting systems for the forthcoming elections. Your intention was to move towards harmonization of the voting system for all forthcoming elections. On July 2, 2015, the Walloon government announced that it had officially sent a request to the federal government to abandon the electronic voting system in Wallonia for the 2019 elections (regional, federal and European). While it is essential that guarantees be ensured in terms of the security, confidentiality, transparency and integrity of the vote, it appears that the Walloon initiative was taken without consultation with the other Regions. On the other hand, Flanders is continuing with the new generation electronic voting system known as Smartmatic. This is understandable in view of the operation of this system in the last elections held. And, at the centre of this state of affairs, you have the Brussels Region which has been organising all elections since 1994 with the electronic voting system but which is currently strangely silent, whereas the municipalities have received from you not the injunction but the council no longer to use the voting material in their possession. Considering the demands of both the Association of the City and Communes and the Conference of the Townmasters, it seems to me important that we be able to ask for a certain amount of information on the current situation. Minister, has the Walloon government communicated its intentions to the interdepartmental working group and federated entities as to the choice that was expressed by the Walloon Parliament? Have you received a formal request from the Walloon government on this matter? What exactly does this formal request include? Was it taken in consultation with the College of Experts in charge of analysing the operation of the 2014 elections? Are you aware of any consultation that the Walloon government would have undertaken with the other federated entities? Have you received a request from the Brussels government for the renewal of Jites hardware, via Smartmatic hardware? What steps have been taken by your services to the Walloon government? Is there a conciliation procedure? If so, within what time frame and with whom?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u44	Mr Minister, on 6 January last, the panel of experts presented us, in the Committee on the Interior, with an extremely critical report on the way in which election operations were conducted by computer in the May 2014 elections. These remarks, which were not just technical, concerned both the Jites system, Mr. Pivin, and the Smartmatic system. On 3 June, at the initiative of the Ecolo Group, the Walloon Parliament adopted a resolution calling on the government to abandon automated voting procedures for the next elections, for ethical but above all budgetary reasons. At the beginning of this month, a letter from the Walloon government would have come to you, as my colleague pointed out, stating this formal request. Did you receive this letter and, if so, could I get a copy of it? Six months after the conclusions of the panel of experts presented to the Committee on the Interior, could you tell me how far the Internal SPF is in the implementation of the recommendations? As a reminder, they requested, among other things, the abandonment of the Jites system, which seems obvious to me, but also the profound modification of the procedures related to the Smartmatic system. I would remind you that an average error of two votes per ballot box was detected between the paper box and the electronic ballot box. This Smartmatic system received a significant federal investment in 2014. Could you specify, according to your department's most recent studies, the average cost per elector of voting on a Smartmatic system and the average cost per elector of voting on a traditional paper method?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u45	Mr. Pivin, I confirm that the Minister-President of the Walloon Government, in a letter addressed to me on July 2nd of this year, has requested the abandonment of electronic voting for the next elections. To the extent that the Walloon Region is competent for the local elections of 2018, I take note of the abandonment of electronic voting in this Region. In this regard, I would like to remind you of my letter of March 12, 2015, addressed to the municipalities, in which I announced my decision to abandon the use of Jites and Digivote first-generation automated voting systems in the 2019 federal elections. These are the European, legislative and regional elections. This decision is based on the official report on the elections of 25 May 2014 of the College of Parliamentary Experts. I asked, as you mentioned, Mr. Pivin, not to use this dated material for the next election. I am not aware of any consultation between the Walloon government and the other federated entities regarding the abandonment of electronic voting. On 10 July 2015, I sent a letter to the Minister-President of the Brussels Region CAPITALE in order to know the prospects for the future of the Brussels Region in terms of voting procedures. More formally, I can inform you that a draft royal decree has been submitted to the Council of Ministers in order to amend the Royal Decree of 14 March 2014 designating the electoral cantons and communes for the use of an electronic voting system, in order to remove the reference to the cantons that have still used the first generation automated voting system in 2014. Once this order has been amended, it will no longer be possible to use this system in these cantons in federal elections. I confirm by mail the above to the Minister-President of the Walloon Government. In addition, I inform you that as the abandonment of first-generation systems in the Walloon Region will involve some changes in the process of organising the next elections in 2018 and 2019, my services, in collaboration with the regional authority and the Walloon municipalities concerned, will ensure that the necessary measures are taken to ensure a transition in the best conditions. Mr Hellings, with regard to the report of the College of Experts following the 2014 elections, as I have already informed this committee, on 12 March 2015 I sent a letter to the municipalities concerned, informing them of my decision to abandon the use of first-generation automated voting systems. The technical and procedural recommendations of the College of Experts in relation to the Smartmatic system are still the subject of consultations between the Internal FPS and the Flemish and Brussels administrations, which also use this system, so that common solutions can be adopted in the run-up to the 2018 and 2019 elections. After analysing these solutions and evaluating the budget, they can be presented to the College of Experts before implementation. However, it may be useful to recall that the College of Experts has always been in favour of the Smartmatic system since its chairman, Mr Willems, recalled during the exchange of views held in committee on 27 January, that "the College of Experts has no objection to the use of Smartmatic. The system proved for the second time that it was well designed and working well in practice." After the elections of 25 May 2014, the Inland FPS performed a comparison calculation of the costs of traditional paper voting and voting using the Smartmatic system. The cost of paper voting is thus estimated at 2,1145 euros per elector and per election. This cost is €4.4412 for the Smartmatic system, double the cost. Compared to the calculation made in the past, it should be noted that the cost of traditional voting has increased from 1.5 euros to 2.11 euros. This is due in particular to the fact that the price of pulp has increased significantly in recent years, but also to the fact that the 2014 elections were simultaneous. More counting offices have been set up, which has resulted in increased costs. For your information, I have also submitted a detailed calculation of these costs to the secretariat of the committee.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u46	Thank you for this very comprehensive answer, Minister. As far as my question number 4 is concerned, I asked you whether you have received a request from the Brussels government. I may have been inattentive to this aspect of the answer. So you didn't register anything as an application? No? Okay.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u47	Is it possible to have a copy of the Walloon Government letter if I request it by mail?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u48	Yes. I don't think it's a confidential letter.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u49	Okay, so I'll ask you by mail. Regarding the capital information you have given, namely the average cost per elector, it is double for the Smartmatic system. Therefore, in the context of the question which we will have to decide shortly in the discussion on the new voting arrangements for the elections, since in the Brussels Region and in the Flemish Region not all the municipalities voted by Smartmatic, we must therefore take into account the question of the reliability of the vote, the possible control of the vote by any citizen, but also of its budgetary dimension. There you have just given an argument which is particularly in line with the paper vote because twice as much is not nothing! At this time of fiscal restraint, this is a good way to save money. We'll have an opportunity to discuss it again.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u50	It is also more expensive to travel by train than to walk. And yet we use the train.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u51	But the train is going much faster.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u52	Voices are also counted much faster with an electronic system.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u53	Minister, the big difference between walking and walking on the one hand and electronic voting and paper voting on the other is that when we invested in an electronic voting system – what happened in 2014 with the Jites system – it was the outdated material that explained the problems we experienced. This has been explained in length and wide by the College of Experts. When we invest again in a Smartmatic system, possibly in 2019, and it will be old in 2024 and we will have problems again and we will have to reinvest in a new system because oldness will explain the democratic difficulties, in this case, minister, it is absolutely necessary to think in the long term. I think your party is particularly sensitive to the budget issue. You should be in this file too.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u54	Questions Nos 5796, 5797, 5798, 5800 and 5801 by Mr Ducrame are transformed into written questions. Questions Nos 5806, 5807 and 5808 by Mr Blanchart were postponed. Debates of the European Parliament Mrs Gabriels' 5820 has been converted into a written question. The combined questions Nos 5824 by Mrs De Wit and 6069 by Mrs Jadin have also been converted into written questions.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u55	Minister, the law on security at football matches was adopted on 21 December 1998. The law was amended several times, last time in 2011. Over the years, policemen and the football world have gained practical experience with the law. This shows that a number of cases could be adapted in the light of problems that have arisen in the past. For example, in youth competitions, referees or players are sometimes victims of violence in the same way as in matches of clubs of first or second class. Some games of amateur teams attract more people than races in second class, but there are less stringent safety regulations. The Belgian football law does not apply to practice matches of first-class teams abroad. The problems with practice matches abroad are not new. Mrs Turtelboom, your predecessor, said in 2011 that the Belgian football law should apply to foreign practice matches of Belgian teams. She also stated that there would be discussions at European level on some sort of international football legislation. Those conversations remained unfulfilled until today. In the Netherlands, too, we are thinking of extending the scope of the football law. The reason for this was the recent riots with Feyenoordhooligans in Rome, in which, among other things, the ancient fountain was damaged at the Spanish Steps. On 18 June 2015, your Dutch colleague for Security and Justice announced, among other things, that such an extension was not necessary for him, especially since the Netherlands would exchange information with foreign partners about persons who have been banned from playing in the Netherlands. On that subject, I have the following questions. Is there an evaluation and any revision of the current football law? If so, do you have a timing for that? What impact will the recently approved competition reform starting from the 2016-2017 season have on the current football law? In addition to the technical considerations, such as the fact that the name "second class' will no longer exist, will any substantive adjustments be made? Do you intend to provide for an extension of the scope of the football law for practice matches of Belgian teams abroad? Does Belgium share information with countries where Belgian first- and second-class players play practice games? Does that happen systematically or only when the team or the country in question requests that information? Could you give us some more information on that? As mentioned earlier, the Dutch Minister says that information is being exchanged about persons with a stadium ban. Can you tell me how that happens? Do other countries exchange such data? Do you believe that a European football law would bring added value? Have any steps been taken since 2011, since Mrs Turtelboom's announcement?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u56	Mr President, as you say, the football law has been in place since 21 December 1998. Although the law still stands, the football cell remains in contact with the actors concerned in order to be able to answer the questions of the field. Indeed, the competition reform has an impact on the football law and on the implementing decisions. The football cell is currently working on some changes. Those changes to the football law, in particular the supporter violation section, will apply until the amateur League 2. This extends the area where the offences may apply, which also provides for a long-standing demand on the ground. The club/organiser part of the football law consists of two parts. All provisions applicable to the current first and second classes will also apply to the future first class A and first class B, the two professional competitions, while only some of those obligations will apply to amateur league 1, the second part of the second class. In particular, the obligations concerning infrastructure, ticketing, stewards and security officers are also imposed on the amateur League 1. The extension of the application of the current football law to matches of Belgian teams abroad is legally very difficult and even unfeasible according to the football cell. In other countries the laws of the country in question apply, not our laws. We can hardly send decision-making that we are drafting here with our football teams abroad. As a methodology, that's rather unusual. Within the legal provisions applicable, the police services share information almost systematically with the European countries where official competitions involving a Belgian team take place. For the practice matches, the exchange usually takes place on the basis of a request from the country where the game is played. So there are international agreements for official matches and for practice contests it is rather the local police order of the host country, which will request the information. Following the Decision 2002/348 of the Justice and Home Affairs European Council of 25 April 2002 on security in connection with football matches with an international dimension, a national police information point on football was established in each Member State. The international exchange of information thus takes place via this contact point, which is located here in Belgium, with the federal police. No country systematically transmits information regarding its supporters with a stadium ban. Even if this exchange of personal data is possible to prevent any disturbance of public policy, a list alone is not sufficient to orient the action of the police forces. Moreover, certain supporters who do not have a stadium ban may also distort public order. For this reason, police forces use the support of foreign colleagues, so-called spotters, who know their risk groups, during international football matches, as well as friendly international matches or during home matches where there is information on the presence of foreign supporters who may cause problems. This support not only makes it possible to better analyse the risks associated with the presence of certain supporters, but also to communicate with those supporters in their own language, in order to neutralize any conflict. In reply to your last question, that could be an added value, but it is not evident to make one law, taking into account the different judicial systems and procedures in each country. It would therefore be better for each country to continue its efforts to prevent its own supporters going abroad to disrupt public order and to develop good cooperation with neighbouring countries. In addition, at the level of the Council of Europe, there is a convention on violence in sporting events which makes recommendations to the Member States to adopt measures. This convention has been in existence for 30 years and is currently being reworked. If one were to create a single European law, one would also have to consider that the legal systems and enforcement systems in each Member State are the same, and that is not the case for the moment.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u57	Minister, in relation to the last part of my question, I welcome your answer. I am not at all in favour of creating more Europe immediately for any problem where there is a multi-country activity. Cooperation is indeed better than a single sausage across Europe for this kind of problem. I also take note of the fact that the football cell is working on changes to the football law. For more than 15 years I have been a member of the board of directors of a second-grader who once played first-class. I am therefore more or less an expert in the field of football law. Over the past few weeks and months I have taken the initiative to question the field, both the police zones with a first or second class team, the Pro League and a number of football clubs in first and second class. I have been given a clear indication of what needs to be changed, and I myself intend to prepare a legislative proposal in that sense. I would like to contact the football cell to see that we certainly have no opposing views on this.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u58	Minister, in the Netherlands there is a bill on the table concerning the benefits to jihadists. These payments will be stopped more quickly and, moreover, the study funding and the tax administration's surcharges will also be terminated immediately. Benefits could have been discontinued in the past, but they sometimes lasted months. Also when study funding was stopped, rules were introduced which prevented and made it more difficult to stop. According to the new bill now on the table, if the intelligence services establish that a Dutchman has been drawn to Syria or Iraq as a jihadist or that a Dutchman has joined another terrorist group, all benefits are blocked. In Belgium it was already announced in September 2014 that the project BELFI was launched in Brussels. As part of that project, the Brussels FGP is looking for persons with the Belgian identity who went to Syria and still receive social benefits, such as unemployment benefit, OCMW benefit, sickness benefit or even child benefit. Once they have been detected and the facts have been established, the FGP shall draw up a report. This will be sent to the employment auditor and will in turn inform the social bodies. The benefit will then be withdrawn and recovery of benefits already paid may also be required. Minister, what is the status of the BELFI project at the moment? Is the project still active? How many Syrian fighters still receiving benefits have they been able to track down in the project? How many benefits have already been recovered? How do we deal with the withdrawal of benefits from Syrian fighters in our neighbouring countries? How does legislative work develop in this area?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u59	Mr Metsu, the project BELFI was announced by Attorney General Johan Delmulle of the Court of Appeal in Brussels in his Mercuriale of September 2014. The project was launched by the Brussels FGP and covers only the arrondissements of Brussels-Halle-Vilvoorde, Leuven and Nivelles. The project is still active and is in full effect, in close cooperation with the federal police, the judicial authorities, the RVA, the social inspection and the services responsible for the payment of child benefit. As far as natural persons are concerned, 85 initial minutes have so far been drawn up for social fraud and submitted to the employment auditor of the competent judicial district. Next, the facts were communicated by him to the various social institutions, which subsequently stopped current payments or charged unlawful payments. They are persons listed on the consolidated list of the OCAD, which was found to have received or still received unlawful compensation from the social institutions. The list is limited, because a known number of other persons are currently subject to judicial investigations. In the interests of ongoing investigations, the advice of the magistrate responsible and the investigators is awaited. Compared to the consolidated list of OCAD, there is still the possibility of further research into about 130 additional persons. Payments have been stopped so far, but no payments have yet been recovered. Stopping is easier than recovering. This may seem a long time, but the current procedures must be taken into account. Persons should be invited to be interviewed by the judicial services and by the RVA and evidence of a possible stay in the country as opposed to the data available in the judicial proceedings should be checked. As far as family allowances are concerned, the necessary searches are carried out by the Family Department of the local police areas. However, the problem requires the cooperation of certain major OMCWs of the Brussels Region. Some OMCWs do not cooperate and do not exchange information. Consequently, it is not known what amounts they have paid or what measures they have taken to stop or recover unlawful payments. Some simply do not reply and rely on their professional secrecy. Similar initiatives in our neighbouring countries are currently unknown to us.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u60	Thank you, Minister, for your reply. As regards the flow of information from certain Brussels OCMWs to the FGP, this can and must be addressed. It's all about crooked information. Although professional secrecy is important, it seems strange to me that the law is interpreted differently by various authorities. I will look into that further.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u61	Just so we're clear, there's no law in this matter. Mr Delmulle himself took the initiative to pursue this in his judicial district, based on laws. However, there is no legal obligation for the OCMWFs.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u62	Mr Mayeur relied on the law and professional secrecy. His colleagues interpret it differently. So someone must be wrong.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u63	Mr. President, Minister, two months ago, the press echoed the problem of the future of the horse police by referring to an internal note that would devalue the missions and the current role of this police integrated into the Public Security Directorate of the federal police. According to the journalists, this note would reduce the police raised to a "ceremonial role" and "support" to the local police. But we all know that this mission is not the only one of the Mounted Police that regularly supports patrols and local police law enforcement teams. Minister, can you tell me which body has produced this internal note? Was the Mounted Police Directorate involved in this analysis? Does this note indicate the number of accompanying missions carried out by the federal police on horseback to the local police, for each Region of the country? Mentoring missions during large-scale events (football, concerts, urban festivities, etc.) Have they been audited? Have local police representatives been involved in this analysis? How many police officers and horses do they currently make up the federal police on horseback?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u64	Mr. Chairman, I had prepared my answer to all three questions. So I'm going to give it as it is. Mr. Pivin, this will complete your file. The equestrian medium is integrated into all the means of the Directorate of Public Safety of the Federal Police. The federal police cavalry currently has 137 horses and 159 staff. (Organization table 3) including 113 police officers trained as horsemen. Some also carry out other operational missions within management. The other staff members are CALOGs, including palefreniers, marshals-ferrants, logistics personnel. The staff costs for this entity are EUR 11,472,000, or 57,000 per full-time equivalent. The operating and investment costs are EUR 12 688 000. They cover staff costs related to equestrian functionality, the purchase of horses, their maintenance and feeding, specific vehicles and equipment for horses. I have not yet mentioned the costs of infrastructure. According to the cavalry, it is high time to reinvest in the housing and land of the cavalry, outside the current barracks. A minimum estimate is that this service requires 12,000 square metres for stables and equestrian equipment. Taking into account a rental price of approximately EUR 80 per square metre, excluding VAT, an amount of EUR 1 178 000 on an annual basis is advanced. The total cost of this entity therefore amounts to EUR 13 866 000 on an annual basis. I have taken note of the elements transmitted by some in terms of operational added value but also of the reduction of costs already incurred in the context of the optimisation of the federal police and the reallocation of available capacities. I would like to stress first of all that the main objective is not to abolish or devalue certain services or missions. I want to breathe more oxygen in terms of capabilities for the real essential and indispensable police missions, to the benefit of the entire integrated police force. Indeed, in order to achieve the objective of modernizing and rationalizing the police, we must dare to call into question certain current services or missions that may be useful but not absolutely necessary. Of course, I want to guarantee the police services the possibility of having the appropriate means to carry out their operational tasks in order to ensure both the safety of the population and the safety of the police personnel engaged. A reorientation of resources is, in this context, absolutely necessary. Should this unit be abolished, it is clear that riders who have received basic training and are multi-purpose police officers may be reassigned to other federal or local police units. The same applies to the other members of this unit. However, this is not on the agenda. The exercise, which is therefore still ongoing, takes into account all the information gathered by the services or actors involved and which relates to the type, number and value of the tasks performed. During the various preparatory phases of the analysis of key tasks, several police areas were involved. The Standing Committee on Local Police was also involved in the discussions. This internal note is the result of a working group of police and security experts on an individual basis. My advisers are in the process of finalizing this document, on the basis of consultations with all stakeholders or on the basis of the information they have provided. This includes the steering committee of the federal police – especially the Mounted Police – but also the beneficiaries of this form of support. At this stage, no final decision has been taken. My firm is in the process of finalizing the proposals. It is only in a second phase that I will take a position with my colleagues in the government. So, to be honest, it takes a little longer than expected. I will present the report on key tasks to Kern. As far as cavalry is concerned, no decision has yet been taken.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u65	Mr President, having received more answers than I have asked questions, I will not reply!
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u66	Mr President, Minister, I have updated the inquiry following both hearings. I will focus it on the only issue of communication delays. On Thursday, 6 August, AFCN announced that it had decided to draft a pro justitia following the incident that took place on 29 July at Unit 3 of the Tihange power plant. Why did it take eight days for the Agency to publish this information on its site? It also appears that the Agency's website does not list all incidents. Is it a matter of better control of the statistics of the number of incidents on the eve of important decisions? What similar incidents have occurred? On what dates? Why has there not been a systematic survey of these incidents at the AFCN site? On the same 6th of August, the Agency also reported another incident that occurred on Unit 1 of the plant and that occurred on 25 July. It is alluded to an accumulation of human errors. What are these mistakes? How many of them are there? Again, why did it take 12 days for the Agency to publish this information on its website? Electrabel boasts a great deal of transparency in this regard. Did it transmit this information to the Federal Agency and when, in order for the Federal Agency to disseminate the information to the general public with such a delay? The same question deserves to be asked for the July 14 incident on Unit 3. Why did the Agency wait 16 days before reporting on its site? Beyond the Agency's justified criticism of Electrabel's poor management of the Tihange site, is there no reason to question how the Federal Agency manages this type of situation and its limited responsiveness, particularly in terms of the dissemination of information? When I asked Mr Bens at the committee on 19 August, he said: "(...) even if, for this kind of incident, we try to go as quickly as possible, but to put some content in it, it takes a little longer. I'm not surprised it takes two or three days." When I see that it goes from eight to sixteen days, I think it's not possible. There is a problem of speed in the transmission of information and I dare not imagine how this will happen if there is to be a more serious incident. The Agency says it wants to send a strong signal to Electrabel so that they can resume, but how long have we been talking about signals interposed in terms of nuclear safety? Should the concession made by Electrabel the next day be interpreted by means of a press release recognizing a deviation from these agreements with the Agency, as a sufficient counter-signal in your eyes? More broadly, I would like to have your feeling about the seriousness of the situation and the context in which these incidents are multiplying. At a time when some are contemplating extending the oldest power plants beyond their assigned lifespan and, on the other hand, re-launching the cracked power plants on their walls, do you think that Electrabel is in a position to face its immense responsibility in terms of nuclear safety and security? Above all, when we see with what ease this company deals with and manages situations of lesser importance and when we know, moreover, that the parent company seeks to get rid of its nuclear assets on Belgian soil as quickly as possible. You will understand, minister, I look forward to your answers and your clarifications since this inquiry was filed in August.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u67	Mr Nollet, during his hearing in the nuclear safety sub-committee on 19 August, therefore after your inquiry was filed, Mr Bens explained exactly what had happened in the incidents of 14, 27 and 29 July. He also stated that the PSAN still takes the time to analyze this type of incident before communicating with them. INES 1 or more incidents are systematically published on the AFCN website. Mr Bens was also clear on the reasons for the establishment of a pro justitia. AFCN intervened after finding a lack of rigour and responsibility at the Tihange site. Focus should not be on the specific number of incidents, although some were assessed on the INES scale. The pro justitia focused on the 29 July incident, as it was the only one to constitute a violation of the law. However, the frequency of violations of the technical specifications found is, according to the AFCN, evidence of a general weakening of the safety culture. The Agency fulfilled its role as supervisory authority and imposed corrective measures, which were developed by Mr Bens at his hearing. First, the Agency temporarily withdrew the authorization of four individuals by requiring them to re-enter their training and appear before the Enabling Committee to recover their licence. This has been done in the meantime. Next, AFCN commissioned Electrabel to develop an action plan to strengthen the nuclear safety culture. It has two components. The first includes a series of urgent measures to improve this culture in the short term. The second is a strong medium- and long-term safety culture. The first part was due by September 30th. You have normally already received a copy. As for the second part, Electrabel must introduce it before 15 January next. AFCN will continue to pay attention to the situation and ensure that the safety culture is firmly anchored in the minds of the Tihange nuclear power plant employees. In addition, it ensures the technical security of the facilities in order to ensure the safety of their operation both now and in the future. Operator Electrabel is the primary safety manager for nuclear power plants. But as the case before us illustrates, we have an independent body that verifies that Electrabel is honouring its commitments. She will not hesitate to intervene if this proves necessary. Although there are several layers of defence in-depth in nuclear facilities, one of which is a safety culture, we demand that all these layers work properly.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u68	Minister, thank you for your answers. I understand that as far as INES measures are concerned, they are only published from INES 1. A transparent publication as one deserves to have in this area would require a publication like in Switzerland of INES 0 incidents. But on the question of the deadline, it is not normal that there should be temporary retention of information. Why eight or sixteen days? Still recently, the 8 September incident was published on 16 September. Could I ask you to suggest that the Agency publish within two or three days, as she herself mentioned in committee? Could you give that instruction?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u69	In principle, yes, but as I indicated in my answer, before communicating, we must analyse the situation well. Under each circumstance, with each instance, we will get this analysis within two or three days, but on principle, I agree with you.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u70	Thank you for agreeing to give this little instruction. I agree with you, we don't know how to do everything in two or three days, but I've never seen any information disclosed before eight days. All of them are at least eight days old. Good if it changes! On the other hand, there is nothing to prevent AFCN from publishing partial information and then completing it. But waiting eight days to get first information is an issue. Thank you for examining what can be done to improve information in such a situation.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u71	My collaborator tells me that messages are still posted two or three days after the incident. He'll provide you with...
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u72	I will see this with him after the committee meeting, because frankly, since July, all statements are made eight or ten days after the incidents.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u73	Minister, I would like to take stock with you of the various dimensions of the cracks detected on the tanks of the Tihange 2 and Doel 3 reactors. At his hearing on 8 July, Mr Bens stated that Electrabel was finalizing his safety case. Can you tell us what the situation is and what steps still need to be taken? Stranger, on June 10, I was asking you about the fact that the report of the meeting of the International Review Board, which took place at the end of April, was still not published. We are now almost six months after the meeting and the conclusions of the experts who were to decide on the methodology to be used by Electrabel are still not known. What does this delay hide? Are there any exchanges, interactions between the BRI and Electrabel prior to publication of the BRI report? What is the best possible timetable for a final decision on this matter? Of course, I am not asking you to commit yourself to a deadline, but simply to tell us what is the tightest timetable possible by strictly respecting all the steps. Switzerland also had to shut down one of its reactors following the discovery of anomalies after the ultrasonic test similar to that carried out on Doel 3 and Tihange 2. Can you tell us more about this Swiss situation? Has AFCN had any recent contacts with its counterpart since recent information has been released in Switzerland? Given that the Beznau 1 reactor has not been designed and delivered by the same RDM company, the hypothesis of an error specifically related to this company is taking lead in the wing and other assumptions must now be seriously analysed. Can you tell me what is common between Tihange 2, Doel 3 and Beznau 1? Can you tell us how the "MOX hypothesis" is treated in practice in the analysis of the situation in Tihange 2 and Doel 3?
