ParlaMint-BE_2015-10-28-54-commissie-ic262x.u1	Questions Nos 4227 and 4228 by Mrs Fonck are converted into written questions.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u53	Mr President, Minister, this question also dates back to the recess and concerns supplementary pensions for sleepers. Afterwards there was some commotion about this, but in the meantime I had already tabled this question. For those who have changed their employment and have not taken up their supplementary pension but have put them to sleep, there is a provision that there is no return for that period and that simply the amount of contributions paid is capitalised, possibly at a statutory interest rate. My question about those sleepers is partly informative. How many such sleepers are there at the moment? How much capital are we talking about in total and per sleeper? How is the determination of 0 % return guarantee currently interpreted by the different funds? I am asking this question because I understand that some funds do not take it into account and simply pass on the return, while others do not. Apparently, there are different practices in this area. What returns are currently guaranteed and is this effectively different from provider to provider? What actions are being taken to deliver the capital of sleepers to those concerned when they are entitled to do so, if they do not take the initiative themselves? Let me give you an example. One works with an employer for five or ten years, one receives a letter from the supplementary pension stating that one has to do something with it, but one does not understand it well, goes to one or the other or does not know it properly and that letter is lost in the mass of paper and one forgets that a little, or the person concerned dies and the children are not aware of it. The question is a little in what way people are notified. Is there an initiative from the supplementary pension institution? What happens to the funds if they are not raised? Is it true that the FSMA would provide for a reinterpretation to extend the efficiency guarantee to sleepers? For which types would this be retrospective or not? What would be the impact of this on pension funds and/or insurance companies?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u54	The Sigedis association, which manages the supplementary pension database, has informed me that it is currently not possible to give precise figures on the extent of dormant rights for workers in the second pillar. The Sigedis vzw can only give an estimate. In 2013, there were more than 1 300 000 people with at least a dormant bill, whether or not combined with an active account. This represents 52% of the total number of individuals who had an account in 2013. The average amount of dormant reserves for these employees is 8 897.37 euros. For comparison, the average amount of total reserves, active and dormant, for all employees affiliated in 2013 is equal to 13 071, 68 euros. The return granted to dormant accounts depends on the return granted by the pension institution managing the reserves. Secondly, the law of 15 May 2014 has answered the issue you are raising, in particular the forgotten supplementary pension benefits. Citizens will be able to obtain an overall overview of what is built up in supplementary pensions. The various pension institutions can identify the person to whom they should address in order to receive the payment, thanks to the consultation of the database on supplementary pensions to which they will have access during 2016. In addition, with the entry into force on 1 January 2016, the Law of 15 May 2014 obliges Sigedis, once it finds that supplementary pension benefits have not been paid to a citizen whose statutory pension has taken effect more than six months before, to inform him or her immediately by letter of which pension institution, or in the absence of a pension institution from which institution, he or she can obtain the payment of those benefits. Consequently, even if the citizen does not succeed in what he or she is entitled to or even if a pension institution fails to find the citizen in question, a security mechanism will be introduced. The Sigedis vzw is responsible for the follow-up. As far as your third question is concerned, according to the information I have at my disposal, the FSMA has not ruled on the statutory guarantee of return on dormant accounts, the operation of which is also clearly regulated by the Act on supplementary pensions. Therefore, there is no re-interpretation or broadening of the statutory guarantee of return as regards dormant accounts. The recent agreement between the social partners on the supplementary pension dossier contains no changes to this guarantee. Nevertheless, this agreement provides for death cover for the new sleepers so that their heirs, if any, can receive the accumulated supplementary pension reserve.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u55	Thank you, Minister, for the answer. I would like to ask you if I can also get the written version, for the sake of the figures? I do remember that 1 January 2016 is an important moment because then Sigedis will be operational. The same applies to the possibility of consultation.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u56	Minister, in the context of the guarantee of income for the elderly, you, too, have been regularly looking for systems to strengthen the guarantee for the granting of the IGA. Today, people aged 65 or over who apply for a pension automatically check whether they are entitled to the IGO. Of course, 65-plussers who think they have the right to an IGO can apply to the RVP themselves. However, I still regularly come into contact with people who wonder how they can have such a low pension. In general, I recommend that you check if they are not entitled to an IGO. My question is therefore prompted by the concern that people who are entitled to such an income guarantee benefit would not receive that benefit. The intention is to close the holes in the system as much as possible. That is why I would have liked to ask you the following questions. How many files are still waiting for treatment at the RVP? What is the evolution of the backlog compared to previous years, for the allocation of IGOs? It is also true that, although an IGO was initially refused, it may still be possible to benefit from an IGO later by increasing the IGO amount or by changing the financial situation of the person concerned. There are also pensioners who were already 65 before the adoption of the law in 2001 and who were never subject to an own-initiative inquiry. People don't always know they were eligible for this. The question is whether there is any way to look at this even further or how people can be informed about it. How many applications does the RVP receive from people who were once self-employed but who might subsequently be eligible? Was an IGO actually awarded? For pensioners with only a civil servant's pension, no automatic examination of the IGA is foreseen. Perhaps this is because it is assumed that this minimum pension for civil servants is high enough not to qualify for an IGO. If there was another reason for this, you can clarify that. There are, however, a number of situations where such an examination may be necessary even in the case of a civil servant's pension, for example in the case of people who are receiving a sickness pension or who have worked only for a very short period of time. What happens to these people? Have they been notified or can they be?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u57	The catching-up operation for those who have retired early since 2001 and for whom the IGA has not been examined at the age of 65 is currently in the final phase. There are 1 215 files left. Indeed, it is possible that someone's financial situation may deteriorate after the age of 65. In such cases, the person concerned must apply to the National Pensions Office (RVP). However, it is not because one receives a low pension, that one is automatically entitled to an IGO. A condition with regard to means of subsistence must be fulfilled. It is impossible for the RVP to follow on its own initiative the 65-plussers who do not enjoy an IGO, as they only have access to pension data and not to all financial data. As regards the number of IGO applications submitted annually by persons subject to an ex-officio investigation, I can tell you the following numbers: 38 applications in 2011 of which 19 result in an IGO award; 49 applications in 2012 of which 28 result in an IGO award; 35 applications in 2013 of which 23 result in an IGO award; and 12 applications in 2014, of which six result in an IGO award. Indeed, there is currently no ex-post investigation based on a low pension of the public sector. When it comes to a person with a mixed career, they may enjoy an IGO. In addition, the civil servants' pension system provides for the granting of a minimum guaranteed amount which varies according to the situation of the staff member concerned.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u58	Thank you, Minister, for your reply. I hear that the backlog is almost eliminated, and that is a good thing. It must have been a serious effort. The Minister is right: not everyone with a low pension is eligible for the IGO. This fact also arises in response to questions we are asked about self-employed pensions: how many are eligible or not eligible? That is the reality. It means that sometimes there are people who can use it to slip through the meshes of the net. Then it is important that we try to bring that to the attention of the public on a regular basis. In this respect, the OMCWs play their part, which is an important point. As far as the last question on civil servants' pensions is concerned, I assume that the minimum paid to civil servants is at the level of the IGA and is therefore not eligible for it. I don't have a visual on those amounts, but can I assume so? If it isn't, we need to think about it again.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u59	Mr President, Minister, pensioners over 65 years of age or with a career of 45 years of age can earn unlimited additional income. In principle, this applies to all pensioners from all systems. However, there remains a legal barrier for civil servants receiving the minimum pension from the public sector. The minimum pension cannot be combined with professional income. A retired official who still has an additional income loses his entitlement to the minimum pension as soon as the earned income exceeds the limit of 900 euros per year. The pension then falls back on a lower amount, calculated on the basis of real income. A pension calculated on the basis of earned earnings may be less than or equal to EUR 300 after a career of 20 years compared to the official's minimum pension. In the case of a sickness pension as an official, the difference may even amount to EUR 800 per month. This is mainly about retired civil servants from the lowest betting scales. Mr Minister, how will the group of officials concerned be informed that they are not covered by the extension of unlimited additional earnings if they receive a minimum pension? Do you intend to adapt the minimum pensions scheme for civil servants so that they are covered by the general scheme? There may be reasons not to do this, but I would like you to explain this to me. I was also interested in the other questions that were initially merged.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u60	These questions will be dealt with later, under items 21/1 and 24/1. The cabinet has asked for these questions to be removed.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u61	Mr President, when paying any new retirement pension supplemented by a guaranteed minimum supplement, the pensioner shall be informed of the applicable cumulation rules, respectively as regards the nominal amount of the pension and the minimum supplement guaranteed. The same procedure shall be applied in the case of reimbursement of a pension which has been suspended in advance. If the Public Sector Pension Service is informed of the fact that a pensioner carries on a professional activity as a result of a declaration by the pensioner, by a third party or by the exchange of computerized information, it is also reminded of the abovementioned cumulation rules. In addition, it should be stressed that the PDOS contact centre and pension points, as well as the PDOS website, explain in detail these cumulation rules. At present, for obvious reasons, there is no provision for any measure to facilitate the cumulation rules between a minimum pension guaranteed supplement and the income of a professional activity. The supplement is a specific form of income guarantee which is granted without the corresponding contributions being paid to retired officials who do not have sufficient resources. Since this scheme is based on solidarity and is financed exclusively by the State's allowance, it is not planned to extend the benefit of the relaxation of the rules on unlimited additional earnings to that group of pensioners.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u62	Thank you, Minister, for your reply. You say that very clear information is provided at regular intervals about the fact that such cumulation is certainly not possible. I can fully understand what you said about unlimited additional income in addition to a contribution, a supplement generated on the basis of solidarity. I do have a few questions about the amounts. They are not the same as those of the IGO, for the employees. You justify that by saying that this is only about public contributions. Should we not ensure that the limits in the possibility of cumulation grow together?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u63	Mr President, mixed careers are not obvious. The coalition agreement states that the systems must grow together and we know why: the rules are often based on different legislation. The result is that people with mixed careers are covered by different systems. This is not always obvious. In the previous legislature, a number of measures have already been taken with regard to longer career and early retirement. Guarantee measures were taken to enable early retirement. These early retirement guarantees are provided for, on the one hand, in the system of employees and, on the other hand, within the civil servants' own system. However, problems arise when these two systems are put side by side. I refer to a 2014 ombudsdienst report (p.35-36) to cite a number of examples. I will put it in my own words. Someone was an employee first and then became a civil servant. Should he remain only an employee, he could fall back on the early retirement scheme. The Public Sector Pension Service (PDOS) says that they do not want to extend the other system to civil servants' pensions. Conversely, it seems to be happening, with the RVP this is apparently seen more cozyly. A person who has been a civil servant and subsequently a worker is also covered by different systems, but has been able to enjoy a favourable tantièmes, diploma bonus, time credit and so on. In the case of the public service, therefore, this flexibility is not taken over by the failure to comply with the legal provisions and a different method is used. Are you aware of this? Probably, because you will also read the annual report of the ombudsdienst, an anthology of what goes wrong in our system. Do you also think that there is discrimination here, depending on whether you start as an employee or as an official, for people entering the mixed system? Can the legislation in this area be adapted, or can you, perhaps by means of a ministerial circular, insist on a more flexible administrative practice, simply to create a system that is acceptable but which is also fair, regardless of the system in which one ends one's career?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u64	In the case of a mixed career and the maintenance of the former conditions of early retirement following an end-of-life measure in the employee system, I have instructed the Public Sector Pension Service to align itself with the administrative practice of the National Pensions Office. This practice consists in granting the private sector's pension according to the former conditions at the time when the rightholder is guaranteed the maintenance of the former conditions in the public sector following early departure. I asked PDOS, at the time the end-of-life measure was introduced into the employee scheme, to grant a public sector pension under the former conditions applicable at the time the end-of-life measure was granted.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u65	Thank you, Minister, for your reply and for the action you have taken.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u66	Mrs. Lahaye-Battheu is not here. Mr Top has the floor.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u67	Minister, at the end of August several municipalities received a letter stating that the National Pensions Office would no longer be in these places. In the region of South-West Flanders it is about the municipalities of Zwevegem, Izegem, Harelbeke, Ingelmunster, Zonnebeke and Poperinge. However, many of these municipalities receive a considerable number of visitors and the service provides added value for the local pensioner or the person in charge of the pension. In how many municipalities in Belgium will the seats of the National Pensions Office no longer be held in the future? On the basis of what criteria will this service be discontinued in the respective municipalities? Are other offices being expanded? Will additional staff be provided? Will these offices be open more often? How many offices remain open after closing?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u68	Mr Minister, my question is similar to that of our colleague. In our region there has been rather heavy protest, including from Galmaarden. There are a lot of people there with questions about pensions and it is clear that the sitting day is being abolished. If I get it right, that's the way it is in Diest. Mr President, on the basis of what criteria were the sitting days determined earlier? What system is there now in the winding down of the sitting days? The municipalities get a lot of questions from citizens about this, but how do they handle it? They are now being asked at the municipal counter for which they used to be able to refer to the immediate neighborhood, which is not so obvious anymore. If fewer people have offered, I think you can see that too. What evolutions are noticeable in the way people contact? Is there any evidence that fewer people are coming to those sitting days? How much? What is the evolution in the different places during the last five years? What percentage of people who come to a sitting day of the RVP do they ask for help with the pension application? What are the most common questions? I suspect that you have also made an evaluation of this. My question therefore also concerns the content of this evaluation.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u69	Minister, it is already clear that there are a number of questions about the RVP's permanences. I was particularly surprised that you said the day after the press release of the service that you disagreed with the unanimous decision of the management committee. That is remarkable since you should be aware of the decisions of the Management Committee, preferably before a press release is published. You also have a permanent representative there. Mr Minister, my questions are more about the way in which the management committee operates. When did the management committee take place where the unanimous decision on the reorganisation was taken? Was there a representative of yours or the government present at this meeting? I understand you want to change a number of things. On the basis of what criteria do you want to address the reorganisation of the permanences?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u70	Mr President, Mr Minister, ladies and gentlemen, I was alerted, as a mayor, by a letter from the National Pensions Office (ONP) announcing its decision to abolish decentralised permanences. For the province of Namur, this reorganization should involve the removal of 21 of the 30 local permanences, i.e. about 2 permanences out of 3! I was quite surprised because these permanences are very successful. In terms of the satisfaction of the citizens who ask questions, these permanences are followed very closely. Success is quantitative but also qualitative to the public. This decision is somewhat disconcerting, especially since some laws or reforms are currently changing the systems. So there are a lot of questions about future systems, about rights. I live in a rural area where there is a question of access to permanence services, a direct answer to questions. Mobility as well as the digital divide for a certain audience are also points to be noted. Of course, websites exist and can respond to people who use this tool, but it is not the entire population, in this particular age group. We were able to read in the press that you asked to review the system, at least to block it. We received information that the October duty stations would be maintained and that the November duty stations were scheduled. Beyond November, we don't know, you're going to tell us because it's still pretty blurry at the moment. Minister, before I ask my questions about the reorganization of the ONP's permanent offices, I would like to mention demographic developments. It is a sector that will experience an increasing number of beneficiaries and therefore of cases to be introduced, but budgetary restrictions are imposed on the ONP. What are the amounts of the budgetary restrictions imposed on the ONP for this Parliament per year? What will be the impact on the staff of this administration? We have to take the matter up front. If 800,000 more cases are to be processed with fewer staff, there will be a problem with the use of human resources. What is the change in the workforce expected at the ONP during this 2014-2019 legislature? What is the evolution of the number of pension files to be processed during the same period? How do you intend to reconcile the effective management of applications for each citizen with a decreasing number of civil servants? As far as the permanences are concerned, I expect you to tell us how you plan the system. We are in a transitional period. Some, but not all, permanences would be maintained. According to what criteria? The bad languages say that if it is an MR burger, it will be maintained, but I imagine you will tell us that this will not be the chosen criterion! It would be good for the municipalities to be informed as they are stakeholders, including the provision of premises. They are demanding that large federal governments be decentralized. The FPS Finances has moved backwards by relocating to large offices. I often highlighted the decentralization to the citizen that was organised by the ONP. Minister, what about the months and years ahead?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u71	Mr President, Minister, until the end of September, the National Pensions Office regularly organises local sitting days in almost 1 municipality on 2. As from 1 October, the government has decided to cut it down substantially, thus reducing the service provided to pensioners or the near-retirement workers. I have some questions. Firstly, in how many municipalities in Flanders and Brussels are the sitting days abolished? Secondly, can you indicate how many contacts there have been on these sitting days in 2014 per municipality? Thirdly, what were the main questions raised during such contact? Fourthly, how do you justify this decision to delete? Fifthly, do you realize that the less mobile and less mature people, or those who are less able to handle the Internet, are the victims of this? How are you gonna take that? Finally, how do you reconcile this saving with the 2013-2015 management contract concluded between the federal government and the RVP? On page 17 of that management contract, we read that information should be provided to all citizens and that information should be provided through various channels. The citizen is at the centre of the organization. Equal service for all is crucial, as is claimed, as is transparency. In Article 11 we also read about the importance of a personal welcome. How can the government defend this saving?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u72	Mr Gilkinet is absent.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u73	I understand your concerns. The whole of your questions will allow me to clarify the situation of the RVP's permanences. Allow me, Mr. Delizée, first of all to re-establish certain truths. Indeed, there has never been a question of depriving the citizen of access to personal data relating to the right to a pension. Although the National Pension Office has established its management budget for 2015 on the basis of certain savings – which is true for all administrations and IPSS...
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u74	Savings that have been imposed by the government. The administrations have not decided on them voluntarily!
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u75	All that would be missing! The revision of the mapping of the pension permanence scheme does not involve economic or budgetary considerations. The ONP has never been asked to achieve savings in this area. Moreover, it was the previous government that had taken this revision step. Let's be clear! The administrative agreements concluded in 2012 with the Di Rupo Government provide for an optimisation of the seating days of the National Pensions Office on the ground, according to Article 11. In order to implement those agreements, the RVP decided to reorganise the seating days from 1 October 2015. The main criteria that guided the selection of the new permanences were: to favour municipalities with high population density and internal employment, as well as those with a railway station and public infrastructure and clusters of activities; to avoid permanent agglomeration; to ensure good coverage of the territory by no longer limiting itself to the geographical boundaries of the provinces but to examine the territory as a whole; to maintain the populations hosting a Pointpension. On the basis of these criteria, the RVP decided to reduce the number of sitting days from 212 to 96. It was foreseen that 47 and 76 sitting days would be abolished in Flanders and Wallonia. The aim of this reorganization plan was – and I do not question the good will of the ONP – to improve the supply of services by being present in a limited number of municipalities, but more permanently and by strengthening the synergies between the ONP and the National Institute of Social Insurance for Self-Employed Workers (INASTI). Moreover, we have gone from a total of about 6,000 hours of service to a total of 8,000. In other words, the ONP plans to increase the hours spent on citizens by 30% in terms of permanent pensions. That reorganisation plan was approved at the meeting of the Management Committee on 27 April last, attended by the staff of my cabinet and the government commissioners. Social consultation is of course important, but it is equally important to consult with the municipalities. I sincerely thought that the latter had taken place. But I realized, as they reacted, that it had not taken place! It was not until the end of July that the municipalities concerned were informed by a letter from the ONP of the abolition of their permanence. By the end of September, more than 76 municipalities had indicated their opposition to the restructuring plan. On 30 September, therefore, I asked the RVP to postpone the entry into force of the new settlement of the sitting days and to examine, in consultation with the complaining municipalities, whether it could guarantee a new arrangement, a low-threshold service close to home, for their citizens. I have indicated that, if, at the end of this consultation with the complainant communes, it appears that the abolition of the permanences does not guarantee such a service, the mechanism should be reviewed to remedy this situation. As the complaints continued to flow after September 30, I told ONP that I wanted to restore the duty stations as they were organized before October 1, with a corresponding reduction in the number of hours, from more than 8,000 hours to 6,600 hours. In reply to the more specific questions put by Mrs Becq and Mr De Vriendt, I can say that the RVP has consistently reduced the number of visitors to its sitting days. The average number of visitors over the period 2012-2015 fell from 12.58 to 10.73, which means a decrease of more or less 15%. On the other hand, the number of letters received has remained stable and varies between 66 000 letters. The telephone calls increased by 31 %. Their number is estimated to be 48 000 calls in 2015. The number of users of mypension.be has increased 4.5 times and is likely to reach 930,000 users in 2015. I would add that according to the figures given to me by the RVP, 69 percent of the people who offer to attend on a sitting day wish to apply for a pension, although this can also be done at the town hall. They also ask for help in completing their documents. According to the RVP, 23 percent of people go to a sitting day to get more information about their future pension, about the impact of pension reform on their individual situation or about a career choice decision. Finally, 8 percent of visitors want information on the payment of their pension. To illustrate my speech, I make two tables available to the honourable Members of Parliament. The first table shows the total number of visitors for the period from 2012 to 2015. (...): (...)
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u76	The second table shows, at the request of Mr De Vriendt, the number of visitors per abolished sitting day in the Flemish municipalities. With regard to Mr. Delizée's questions on the evolution of staff and the number of files, I would like to make available to him the figures that have been communicated to me by the ONP, which relate to the period 2009-2015. This painting will be given to you. You will see that it was between 2009 and 2014 that the staff reduction was the most important. This reduction was offset by the automation and digitization of pension files. Many payment, control and review processes are now semi-automatic. Quality control remains necessary.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u77	Mr President, Minister, first of all I thank you for your answer, but there are a number of things that I am not quite clear about. I will first refer to my own congregation. To this day the sitting day in my own congregation is positive, in the sense that on every sitting day several people come and ask for information and submit applications. This therefore has an added value for the public and the citizens who come to ask questions. In the light of the pension reform that is coming towards us, it is strange that we are now suddenly abolishing those sitting days. It can be expected that more questions will now be asked by the citizens. I understand, of course, that a government must adapt to the changes in society. I am thinking of requests or information via telephone or internet. You have listed the criteria for deciding whether or not an office or a sitting day has been abolished. In the first place, of course, it is about municipalities with high population numbers. A second criterion, in my view, contains a certain contradiction. You are talking about the stations and I would like to point out that there is good access to public transport. Just those who are less mobile and less contactable, are punished in this way. People from municipalities who are less accessible by public transport can find less easy access to those sitting days. I would very much like to call for this measure to be reviewed. A third point of criticism concerns not only the sitting days of the RVP, but also other services by the government and this from both the federal and the Flemish authorities. You say that some applications can also be submitted to the town hall. I would urge you to stop the referral of the various governments to the local authorities. If that does not stop, I would ask you to provide at least compensation for those administrations that are given more and more tasks and assignments. They are increasingly assigned tasks and tasks without compensation. That's always more on the hood of those local boards.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u78	My concern is in line with that. Especially those who are less mobile and self-reliant, who cannot work with the internet or computer and do not easily write a letter, come with all their papers and questions. We in the region picked out some center cities or larger municipalities, but the demand remains that people can still get information close by. I am sorry about this, but I understand that you are still consulting with the municipalities.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u79	Thank you, Minister, for your answer, but I am a little surprised. You overestimate the concerns of many people with questions about the reform, about the length of the career, about the amount. What you are saying is true: it can all be done on the Internet. However, many people have not yet been able to do so. You said it was possible with mypension.be.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u80	This is one possibility among others.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u81	For many this possibility does not exist. So that's a problem. Again, this federal government really needs to stop always referring to the cities and municipalities. Offices are being closed. Moreover, I am told that tax offices will also be closed. Citizens will then be informed that they can address their local authorities. In this way, we are really not doing our citizens any service.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u82	This is a demand from the mayors.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u83	But no, it's not a demand from the mayors! I know very well my mayor who is certainly not a plaintiff, just like the one who is here next to me. I can assure you that he is not a plaintiff. Perhaps, in small villages, it can be useful to know its constituents. But in the cities, minister, it is impossible! In any case, I believe that we must ensure that people receive the right and correct information. If offices are closed, that possibility will be reduced, and that is a pity.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u84	First of all, I did not say that your intention was to remove the citizen's access to information about his current or future pension. The issue at the heart of the debate is the decentralization of information. Of course, there is the website, for those who can access it. There are permanences in the big cities. The question then arises of access, of mobility. The current system had this effect that your administration went to the citizens in the small communes, including the very small. It is in this sense that I have cited it as an example. I also thought that finance or other departments should do the same. I do not question the fact that citizens will no longer have access to information, but decentralization and the issue of rural areas. With the criterion of high population density, rural communities will necessarily not be taken into account. If all administrations do the same, we will witness the desertion of public services in rural areas. I am an elected representative of rural life and I defend rural life just as I defend cities. I believe that all citizens of this country are entitled to a quality service. In addition, your government imposes budgetary restrictions on the National Pension Board (NPB) as well as on other jurisdictions. You're giving us numbers from the past. It is true that computerization and automation have resulted in staff reductions. Now, the ageing of the population is ahead of us. I would like you to give us your staff forecasts for 2016, 2017, 2018. That was the subject of my question. Either you send me these figures, or I will ask another question about it. At the same time, I would like to know the forecast of the increase in the number of cases according to demographic changes. Is it true that in 2016 there will be an additional 800,000 beneficiaries? Can you confirm this trend? If, on the one hand, because of the budgetary restrictions decided by the current government, there are fewer staff and, on the other, the number of files increases, how will you find a balance and provide quality service to future pensioners? Secondly, it seems positive to me to stop removing the permanences. Is this a status quo ante? That would suit me. If 6 000 hours ago with decentralization, that seems good to me. But you're saying you're going to keep the permanences while doing fewer hours. I didn't get it right.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u85	You say that the reform proposed by the ONP increased from 6,600 to 8,400 hours. If we go back to the old system, we're going back from 8,400 to 6,600.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u86	In the letter sent to the communes, the counterpart was that they were going to do more permanences in medium-sized or large cities, but away from rural areas. It is therefore a return to the 6,600 hours of the previous system. In the coming months, we will therefore have confirmation that from December onwards, the permanences will be maintained for the same number of hours as before. Do I understand correctly?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u87	Except where there is such a low attendance rate that it will only be once in two.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u88	You need to know what you mean by "down there."
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u89	You can't send someone all day to a commune for two people!
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u90	You have to see it on an annual basis. As a proportion of the population, these permanences do not deplete!
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u91	For example, for a tax permanence, people go there every year. According to ONP figures, for a permanent pension, the average is 1.4 times in their lives. From burgers gaan due 1,4 keer in hun leven naar een permanentie van de RVP. This is obviously very different from tax permanences. People go there once or twice in their lives! Besides, we can't say there's an emergency. If one organizes the permanence once a month instead of once a fortnight in certain places, there is no harm for the person's information.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u92	Minister, thank you for that clarification. I am pleased to see that we are going back to the previous situation. I ask for additional figures for staff and for the number of beneficiaries planned for the coming years.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u93	Mr De Vriendt also has the floor for a reply.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u94	Mr President, I will keep it a little shorter. Thank you, Minister, for your reply. Unfortunately, your answer does not convince me. I think you may underestimate how many people have questions about their retirement, but you don't know where they can go with those questions. A local sitting day in a small municipality, such as the example of Harelbeke that we discussed, is actually very useful. Do I understand correctly that you are carrying out a decision of the previous government? Was that a decision of the previous government?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u95	[[...]]
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u96	Oh, my God. Okay. Okay, you gave me the numbers. Importantly, you said that the average number of contacts on the sitting days decreased from 12.58 in 2012 to 10.73 in 2015. So the critical mass that calls on a local sitting day is still there. Of course, the figure is falling, because more and more people are using the Internet, the phone and letters. However, a certain critical mass of 10.73 contacts per sitting day still needs such a local sitting day. That is why we cannot support that decision.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u97	Okay. Or maybe not okay, but noted.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u98	As Mrs Van Cauter is not present, her question No 1 lapses. 5959. Debates of the European Parliament Mrs Kitir's 5981 also expires. Questions Nos 6019 by Mrs Fonck and 6182 by Mr Daerden are converted into written questions. The next question is from Mrs Temmerman.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u99	Mr President, since I have a whole series of questions I would like to put to Mrs Lanjri first.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u100	No problem at all, that's very kind of you.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u101	Mr Minister, I will keep the question brief. It's my last question, and I still have to be able to ask it. Recently we have learned that there would be a delay in the final calculation of the pension amount for people who are already retired. In a specific case, for example, it was someone who became 65 years old in December 2014. From January onwards, he would retire as a self-employed and employee after a mixed career. In this case, the delay he suffered was the result of the calculation by the RSVZ. He has not yet been able to tell how much pension he would receive. In the meantime, he will receive a certain amount. According to his estimates, he should normally get a lot more. So far, we are almost a year further, Minister, that man has still not received a definitive calculation of his pension. Of course, a lot of people can't stretch it that long without getting the right amount. One retires, but does not get the right pension amount but a provisional amount. Minister, I understand that successive pension reforms sometimes take some time to complete this legislative work and to implement the new legislation. At the same time, however, we must ensure that people are not unnecessarily in doubt about their final pension amount. We can make it even less difficult for a long time not to give people the amount they are really entitled to. Of course, I know that this man will get the arrears at some point, but not everyone is able to prefinance all of that themselves. Mr Minister, I would have liked to ask you three questions. Firstly, do you have any idea of the seriousness of the delays in the final pension calculations for people who are already retired? Is this a problem with the three pension institutions, the RVP, the RSVZ and the PDOS? If so, how many pensioners per institution? I have even heard that it would be about eight hundred cases. Do you have any other figures on that? Secondly, what additional reasons can be cited in addition to successive pension reforms? I also know about software problems myself, but do you think there are other problems? Finally, the most important thing is that you solve this problem together with your administration as soon as possible. What are you going to do with your administration to give people what they are entitled to, namely their right to a pension? Especially for those who are already retired, this is important.
