ParlaMint-UA_2014-02-20-m0.u1	Ladies and gentlemen, please insert e-registration cards. Thank you.
ParlaMint-UA_2014-02-20-m0.u42	Thank you. May I have the floor of the people's representative, Bezbach?
ParlaMint-UA_2014-02-20-m0.u43	Dear People's Deputies, I would very much ask you not to speak the ultimatum. Today, at least in one party, at least in another, at least in the third, one goal today is to stop the bloodshed. That's why I'm here and everyone else in this room came here to solve this problem. Finally, we started listening to each other today for a long year that we worked together. Therefore, in order for many to not shake the air with statements, the number of deaths is understandable, but if we don't solve a single problem with you today -- let's not stop the bloodshed -- the number of deaths will go. Please, let us, distinguished colleagues, talk about our problem on both sides, but we do not need to just talk about the military. You know, you've all seen that there are provocations to what's on the other side. I'm just calling on you: let's do the question today, how do we stop the bloodshed, how do we do it in this very room today, really, without leaving, to solve all the issues. Everything else, when Parliament goes to work, we'll be fine later. Thank you.
ParlaMint-UA_2014-02-20-m0.u44	Thank you. People's deputies, please try inserting cards, so we might be rolling the system now to see how the system works, if it can already work. May I have the floor of the people's representative, Griesenka?
ParlaMint-UA_2014-02-20-m0.u45	Ladies and gentlemen of the people, citizens of Ukraine! Without exaggeration, what is happening now in Parliament is being watched by the whole world. Not just Majdan, not just our journalists -- everyone's waiting for a solution. Why? Because the country is not ruled by President Yanukovic. The country is not ruled by a government temporarily headed by Arbuzov. Snipers already rule the country. It's unacceptable. In 22 years, Ukraine has never crossed a line beyond blood. In all the conflicts that have just arisen, unlike so many republics of the Soviet Union since the collapse. With different presidents, with different governments. Janukovic crossed that line. Therefore, I support those who have made clear that our decisions should be responsible and legitimate, and we should not act as the authorities did. The press is watching, she should see, or every deputy standing up, and if she's not, she's taking responsibility for the blood, or the "Race" system, and she's working. Let's not lie to each other. I'm addressing two categories of people right now. First, to big business, those who are called oligarchs, those who have representation in the Supreme Council, and their deputies are now missing. Each of you separately, Rinat Ahmedov, Colomoysky, Firtash, Pinchuk and others, spoke publicly and said they were for refusing blood, they were for dialogue, they were for parliamentary resolution of the problem. Let's see your position here. Where are the deputies representing Ahmtov? I want to see them. The country wants to see them. And their position is whether they're blood or they're for peace or they're for peace in the country. So did Furtash and others. Everyone knows everything in this room. And everyone understands that there's a limit to being defined. That's the first one. The other one. As an officer, as former Secretary of Defense, I am now addressing all commanders and military commanders in all military structures -- the Armed Forces, the Ministry of Internal Affairs, the Security Service, the Foreign Intelligence Service, separately the Department of State Security, because, according to me, snipers are from there, with the UDF -- you have the Constitution of Ukraine and the military statutes that are for you here, in this Council, the right not to carry out a criminal order. It's your right, let me put it this way, passive right. You can't act actively -- step aside, report to the table. Your families will not be lost, there will be food for you, and there will be nothing to worry about. We will help the MPs, as we have already helped those who have left. And whoever does what's right and will be on the side not only of disobeying a criminal order, but respects the main and greatest right enshrined in the Constitution, the right to life, and will help people now, believe me, even if you're released, you'll get a higher rank and higher office and you'll be worthy to walk in life after the change of power. This authority has not long been left. But you can't, the first thing you can do is look at the screens, see the blood, and sit at home. Moreover, you have no moral right to give orders to your subjects, after which blood, when killing women, children, is given to all in a row on the street. Snipers won't rule in this country, in our country with you. So make a choice for yourself so that you do not become plagued by your conscience for the rest of your life. The word "officer" is in capital letters, remember this, so it doesn't happen. In all the power structures, be worthy. And the last. Of course, they spoke correctly of returning to the Constitution as a temporary step in 2004, forming a new majority, government and so on, the leadership of the Supreme Council. But, believe me, this is not enough today after the team of Yanukovic killed dozens of people every hour and every minute. Therefore, the Supreme Council should clearly state its position: the requirement for the immediate resignation of Yanukovich from office of President and the announcement of the presidential election for the term. Without that, we can't leave this room. If we have to announce now the decision on the permanent meeting of the Supreme Council, until the oligarchs finally get here, let them also think about their future, and until all the opposition, who is now in Midan or somewhere else, is gathered, so that there is a clear legitimate vote, and all the journalists can confirm it. Then I propose that I sit for three hours, five hours, seven hours until we make a decision. But honestly, responsible, and each person should record it with his own voice. Thank you.
ParlaMint-UA_2014-02-20-m0.u46	Thank you. May I have the floor of the Donya People's Deputy.
ParlaMint-UA_2014-02-20-m0.u47	In fact, Anatoly Gritsenko in the last paragraph of his speech has already sounded my position, because I do not see another possibility now to stop the bloodshed without the only requirement of the people standing on the barricades. Here most people participated either in Midan’s actions or helped the wounded, or they had already exported the dead. Can you please tell me something about the Constitution? Nobody talks about the Constitution. It is said that there are no more prospects for Ukraine with Yanukovic. Someone believes that only the militias, the Berkuts, and the aunt-bands themselves have killed and killed people for their initiatives? Does anyone believe that this is Sugarcane’s initiative? They'll take Zacharyczenko down, he'll be gone, Janukovic will stay. They'll kill. Each of us here can wait at the entrance. But before that, hundreds and thousands of people on Maidan could become. They could be dead. Without removing Yanukovich from power, there are no other requirements, no other prospects. Yeah. ask them how. You could say that there could be a hard choice -- today, we're going to take the Janukovich withdrawal act, maybe an easy option -- to make decisions about the election. But in any case, hiding like an ostrich, head in the sand, that we're some kind of constitutional act, some change of one or two ministers, we can solve the situation, it's wrong. He will remain in power and will kill again. They'll shoot. Someone didn't see the video of the Berkuts and Aunties killing people with sticks in the Marien Park together? Has anyone seen it? So there's blood in Yanukovich's hands, you have to understand. And we need to realize that the Supreme Council in the amount of 227, 225, you don't think 225 is legitimate? Wait a minute, and someone here wants to betray the people who joined the police, the B.S.A., now in different areas, in western areas in Ukraine, in central Ukrainian areas, did they do it legitimately or not? It's a greater legitimacy, it's a nation's right to defend against Yanukovich-Usurpater. It's legitimacy. And the Supreme Council, as it is now, must declare that this is Parliament. 220 has arrived, so 220 is Parliament. 227, so 227 – Parliament. After that, Janukovic's removal, the creation of the government, and let the government take responsibility for everything, the new government, including the people who believed, who now went not only to the barricades in Kiev, but to each of the district centers and take over the militia, the prosecutor's office, the BSS. These are our people, we have no right to throw them away. We have to take responsibility for them, which means that we form the governing bodies. Scary? It's scary for someone. Is it any less scary for the people on the barricades now under sniper bullets? Hence, the Supreme Council in the number in which it is should dare to take responsibility. After that, Janukovich was removed from power in any way. I'm willing to vote for any decision. The removal of Yanukovich and the creation of its own organs. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u48	Thank you. I would like to introduce you to Viacheslav Kirilenko.
ParlaMint-UA_2014-02-20-m0.u49	Honorable Ukrainians, respected people, above all, the eternal memory of those who perished in street fights, in street opposition to freedom and prosperity for all of us, regardless of political views! Only 67 were officially confirmed for this second, starting 9 a.m. today. Who's there to say that tomorrow we're going to meet up with some sort of commission and we're going to make decisions? Just now, just today and just an open-ended session to make a decision. These decisions must be legitimate. 226 and more people's deputies have to vote with buttons, hands, standing up, we'll decide that, but only 226 physically present deputies can do that. I don't believe we're able to provide that number of deputies. From the first approach, more and more people, representatives of the Party of Regions and Nonfractions, are coming in. I, like, talk to Sergey Tihypak. Sergey Leonidovich, you're the author of the resonant statements yesterday and the other day. Where are you? Come here. And today you've made statements. Take your men, fellow MPs, come here, don't wait till it's 226 and then you'll come. Then it may be too late. Go now! Now and only now is the fate of the country in this room resolved. We need to understand everything -- both the opposition, and the power, that authority, of course, that there's something else that we can understand that only Parliament is the only legitimate part of power that can stop the bloodshed. The President of Ukraine has shown no desire to stop killing Ukrainian citizens. So-called Minister Zacharychenko urges the police to use essentially combat bullets against citizens. Even current Ombudsperson Lutkowska has officially stated that no Ukrainian legislation and no international agreement allows the Ministry of Internal Affairs and any other force to use firearms against citizens now, even if they use the term "suppression of mass disturbances". Mr. Sugar! This responsibility lies with you personally. Putting on the form of a hacki and making a threatening appearance will not remove your responsibility. This is a question that can reach the International Tribunal in The Hague. These are crimes against mankind! Similarly, I appeal to Governor Dobkin, who today directly called for a breach of territorial integrity, and then urged those who have a different view of him and authority to destroy physically. Where in Ukraine were such heads of administrations that called for the destruction of citizens physically? And this is also a statement that goes to an international tribunal in The Hague. These statements, they confirm that only Parliament is the only place where the current deep political and already humanitarian crisis in Ukraine can be resolved peacefully. Moreover, the Security Service should not intimidate us with threatening statements, but rather engage in numerous reports that representatives of a third country are directly involved in the shooting of Ukrainian citizens. And these reports have been confirmed by the sutures of the Ministry of Internal Affairs of Russia, which have been demonstrated on the stage of Maidan today, and by numerous eyewitnesses. If there are Russian snipers working here, if there's a Russian Special Forces here, if there's a Ukrainian Security Service, it should start investigating it, not scaring its people with allegations that we're going to shoot you all, split up from Maidan. If the speaker of the Crimean Parliament of Constantinople says that, using the situation, they are willing to separate themselves and join Russia, then the Ukrainian Security Service should, in fact, address the issue of such statements by such Crimean speakers and not allow these tragic events to be heard immediately, separate the Crimea from Ukraine, which is an integral part of Ukrainian territory. This should be done by the forces if they really speak of loyalty to the oath. Therefore, honourable colleagues, honourable brothers, honourable ones who are not indifferent to what is now, we must act today until the end of the day to involve as many of our opponents as possible in this room even now. We need to make sure that they come here and vote on a few basic decisions. Clearly, the issue of change in the direction of the Supreme Council is a matter of principle. Today's Calendar Plan speaks to the plenary meeting, where's Rybak? We don't know where. So if he doesn't show up, we have to change him. Spit on that Kaletnik, boys, don't mention him, where this commune didn't come or come. The Deputy Head of the Supreme Council is honest and patriotic, and responsible, he is now in charge of the session – Ruslan Kosulinski. We need the head of the Supreme Council. None. We have to do it in a legitimate way, 226 and more. They should then proceed to the vote on the constitutional act. It's a solution that not only makes the most radical in our opposition environment, more specifically, not so much. They may not be good enough, but some who are just thinking of joining the Ukrainian people now, who have been fighting for their freedom for three months and not only their own on the Maidan of Independence. We must legitimately vote this act in 226 votes and more. And the third. The government should only be elected by Parliament, not by the submission of the President, who has lost any confidence and any ethical ability to speak now on behalf of the Ukrainian people, when the number of victims has long since passed by one hundred, if you count it since January 19th. Thus these three decisions, which are crucial, must be made today, and Majdan endures, should not be intimidated by any state of emergency. Mr. Janukovic, you've already entered it, round and round the military, round the snipers with yellow bandages, and now they're still hitting civilians, already around the DAI was trying to cover the roads. Thus, DAI has already taken off its blockposts on its driveways to Kiev and is doing the right thing, removing all the roadblocks in the center of Kiev and doing the right thing. MacKeenko gave the command to run the subway, and he wouldn't let it, so the subwaymen would have left by themselves, because they're sneezes and they're with the people. The peaceful and multimillion - dollar Kiev rides the Main Independence, never afraid, never afraid of anyone. Hundreds of thousands of people by evening will be at the Mayday of Independence. Tell me, when other deputies mention that it is their duty to the people and to make those decisions that will stop the bloodshed, restore justice and take away the power of those who have lost any adequacy, and in pursuit of just keeping their own skin, they continue to shoot their own people. Just today, only an open-ended session and only the principles of decisions that will lead Ukraine to a peaceful development and a new full Ukrainian life. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u50	Thank you. May I have the floor of the People's Deputy Chumak Victor?
ParlaMint-UA_2014-02-20-m0.u51	Good evening, dear fellows! Victor Chumak, 214th constituency, Dniprovsky district, Kiev. First of all, I would like to express my sympathy to the families who are close to those who today have been taken away by the bad hour that is in Ukraine today. It's a really bad hour, it's a really scary time. The terrible times that are not ours, not Ukrainians, which are a scenario that is brought to us by some kind of black force. But first of all, I want to go to my colleagues -- the deputies in these empty chairs. Just one of your colleagues, Deputy Hanna Herman, said that those MPs who gathered here, they're hiding. They hide, they hide behind the walls of the Supreme Council. You know, it's not hiding behind the walls of the Supreme Council when we can express our thoughts freely. Hiding is an empty chair in this room when people begin to hide from responsibility when people begin to hide from responsibility to their people. I'm asking you, colleagues, those who are sitting here in this half of the hall, come here today, come and make the decisions that the entire Ukrainian people expect of you. These decisions are simple and clear, and these decisions should be those that will stop the violence that will end the bloodshed in Ukraine today. But I understand that many of you did not believe or believe that this national rebellion is a national rebellion. You all said it was for the money you paid. You'll understand that today, in four years, you've built a state that's completely ineffective in today's information world. We're sneezing with you in the hall, and in Donetsk or in Lviv, we're told: "Please." You will realize that everything we do with you knows all of Ukraine. You realize that the state today should be built entirely on other standards. And we're told that on Maidan, your channels, there's some people on Maidan who have a "load of shit." I want to tell you what "screw" is and why people went out on these courses. "Straight" is a thousand-year pension. Nonsense is a two-thousand dollar salary. Nonsense is a militiaman who beats his own citizen. "Straight" when the D.A. keeps pressing on business and everything. It's bullshit when the courts sell their decisions. It's bullshit when the President's castles are built for billions of dollars. That's bullshit! And I've always said that people against this crap went out on the field. And they'll be standing there because they don't have to go back. They will not and will not live in such a state. They want a completely different state! They want a completely different attitude toward themselves! No, they start to say, "Oh, radicals!".. Listen, and if two months people turn to their authority, there's been eight peaceful gatherings on the stage for two months and they say, "Listen to us! Hear us!".. And the authorities pretended that nothing was happening. Any quiet and peaceful people, like the Ukrainians, can be radicalized to such a state that it comes out and will be taken into their hands and their notebooks and everything else. We probably have a last chance today. And this is the last chance in these hours that we're going to have here. We don't have to leave, nobody has to leave! We must wait for all the decisions that we make, and they must be made in a legitimate way, all decisions must be made in a legitimate way, all decisions must be made if not by consensus, and compromise is a huge number of national MPs. What kind of decisions are we going to make? Please, the set is very large — from a small packet to a large one. I'm a big bag. What's a big bag? We need to change the Constitution, we need to consider that if the leadership of the Supreme Council does not appear here, we need to change the leadership of the Supreme Council. We must turn, or not turn, but talk about the appointment of the President's next election, we must talk about what we should do first of all to make a statement about the end of the bloodshed in the country, we must talk about taking all the force forces out of Kiev. Do you realize what happened today? When snipers started working on Maidan, I called the Undersecretary of Internal Affairs and said, "Who is this?" And he says, "I don't know." I don't know! So the force doesn't control what's going on here anymore. So let's get everyone out of here who can cause another disaster. Dear colleagues, I want to say again, and I want to address citizens who know in principle where their deputies live, who know how to reach them, how to approach them, how to approach them, how to gather, citizens, go out to your deputies -- majorityists, writers -- and marry them here, in the Supreme Council Hall, so that they can sit here and make decisions. Get married. You chose them not to leave until there was peace and quiet in the country. Thank you.
ParlaMint-UA_2014-02-20-m0.u52	Thank you. I would like to introduce you to the words of the national MP Smittuh.
ParlaMint-UA_2014-02-20-m0.u53	Thank you for being able to say a few words. I don't know how you are, but it's going to be very hard for me to say today, feeling the grief that has happened to our state, there's no way to express all the pain that I personally, I think, and most of you feel what's going on in the country. In Kiev, for the last time, buildings were shot and burned in 1943 when Kiev was freed from the fascist invaders. And you know that in 1991, when Ukraine gained independence, it gained peace. And I don’t know what has happened that is such a sweet power that it is now at the expense of the lives and health of our people. I don't know what you can do to think about dividing Ukraine. I have nowhere to go, my parents, my grandparents, everyone was born and lived in Ukraine, they were defending Ukraine's independence, they were fighting for Ukraine's unity. And I have to understand in this respect that it's up to me what's going on in the country. I don't understand, and I'm talking to my colleagues and the Party of Regions, why we've been silent for three months, why we don't have the ability to listen, to do some kind of program, some kind of action. Why doesn't the Supreme Council work on purpose for three months? Why is the head of the Supreme Council of Ukraine hiding today? Why do we have blood? What happened to us? Too big a government? Is there too much desire to have money? We're not taking it with us. How did our children today talk about the war in our country in schools? How did our children not go to school today? We've had so many questions about "why?" Over these three months, or maybe in these previous years of our independent state, that we have neither the right to rest nor the right to part, nor the right to talk about these issues. I wanted to say a lot. My soul hurts. I am addressing Vladimir Vasilovich Ribak while he is still the head of the Supreme Council. I address the First Deputy Igor Kaletnik as a wise young man. I'm talking to all the majors. I'm talking to my colleagues. I do not call for an official to vote for. I'm asking them to come back to the Council so that we can work out a document here that will appease, appease and regulate the state of our country today. I don't want us to share Ukraine. We're different. We can talk differently, we can go to different churches, but we can't allow in any further state like in our own country. Dear friends! Comrades! Who has a conscience, I don't speak, I don't call you to vote for someone, or against someone. Come into the hall, find opportunities. We have to work until the issue is settled. No more tasks. If anyone disagrees, he has a mandate to say that I am not ready. (Applause) But if he's a citizen and a deputy and he hurts for the unity and integrity of our state, if he survives, even if he speaks Russian or other languages, he should be here to express his point of view. He must make his views known. But he cannot stand outside today. Nor should it be expected that the foreign minister of one country or another will settle this issue. We don't have to wait for someone to write us a document. We need to propose concrete actions. And when there's a majority here, and I'm sure it should come together, both me and our colleagues have specific suggestions on these issues. Please, I pray, I pray and the Lord God please - come to the hall, express your point of view, support intelligent decisions, support Ukraine today. Don't let her break into pieces. I think I've been able to reach out to some of my colleagues in my own words, because a lot of people are smart, educated, experienced in the world. Families, children. I don't think they think otherwise. I hope that this will happen today. None of this room has the right to leave until the issue of our state is settled. If it's not settled, we have to set up mandates. Thank you.
ParlaMint-UA_2014-02-20-m0.u54	Thank you. May I have the floor of the Zarubinsky People's Deputy.
ParlaMint-UA_2014-02-20-m0.u55	Good evening! After November 29, last year, I did not speak from this rostrum, nor during any interviews on television, and so forth. I did not speak because I realized that on November 29, a huge mistake had been made in the state. It seems to me that the vast majority of the problems in the state today are caused, including, perhaps to a large extent, by this mistake. The Agreement with the European Union on the Political Association and the Free Trade Zone was not signed. I'm a long way from thinking that this is an ideal treaty, there's no perfect agreement, but it's opened the way, the way that's clear, predictable and predictable, the way I've been since 1998, by introducing my copyright laws, which are now part of Ukrainian legislation. Not for the pianist, but I'm just passing on my emotions, for example, the Freedom of Movement Act and the free choice of residence in Ukraine, which is my law, the European law, the Anti-Trafficking Act in Ukraine, I introduced it, migration legislation, citizenship and so on. And that's why it seems to me that, despite the fact that very few people are talking about this today, but on November 29, Ukraine had to sign the Treaty with the European Union. That's the first thing I wanted to say. The other one. We have emotions today, because all ordinary and normal people and human deaths, human blood is not statistics. It's grief, it's pain. But I'd like to keep these emotions on the back of our minds. Why do I say that? Today, a lot of people have been talking about the questions that need to be taken into account at this meeting, but frankly, I did not understand what the proposed agenda was. It seems to me that the issues that need to be addressed should be unified, and that would, in fact, if not fully settled the opposition and such a conflict situation, but that would relieve the tension. Because someone's proposing one thing, someone's proposing another, but I think we should propose things that are actually going to be voted by the 226 Ukrainian national deputies who are in this room. Otherwise, any vote, believe me, I don't perform a function of some priest with a known name, but otherwise, if you repeat the hand vote, something else, getting up, and so on, it's going to be the same reaction as this half of the room had a reaction to what it used to be. So my cold mind is now in the background of emotion, and it's telling me that it's like a colleague here said, "220, 210 -- what difference does it make? Let's say we're now the Supreme Council," -- we have to be very careful not to level, I hope, important decisions that can be made here. And the last moment. And it's an important moment. You know, Seneca said that some drugs are worse or more dangerous than the disease itself. I truly believe that today's Ukrainian Constitution, in the way it now works, is no longer accepted by society, and neither do we. So I would ask you, again, to deal with the cold mind so that the drugs that are being offered do no more harm to the disease. What do I mean? You remember very well, there are respected colleagues here, as with the entry into force of these 2004 provisions of the Constitution, a legal basis was laid on which the two leaders of the State, the Prime Minister and the President of Ukraine, were still subjective. But these are subjective moments. There were objective reasons why. The country was in trouble. All the time, there were fighting and even fighting for mutual destruction because it was legally possible. And the situation of countersignals (who knows, I think, someone has read this constitution), and the situation of the double appointment of heads of district and district administrations, when this issue has been manipulated all the time, and the situation where the President could send it to the Constitutional Court and stop any legal act of the Cabinet. So, understanding that we need to get out of the constitutional deadlock in terms of the allocation of powers, I would suggest at the same time (not delaying the time, no, believe me), but at the same time implement other positions that are not in the Constitution that are much more important to Ukrainian people than to deputies and officials in terms of the distribution of powers. For it is only the Caves of the hills. Where is the situation with local self - government? Maybe there's work to do? Where is the situation of local self - government when the community determines how to use it? Where is the situation of financial independence or financial independence? Don't mess with the Federation. I am a firm opponent, and in 2000 I was and today I continue to be. Where is the incentive for the region to work? Just like you made the region, you're gonna spend it. As much as you can use on infrastructure projects, on everything else and so forth. So it seems to me that, in parallel with the fact that we have to deny and balance the relationship between the branches of power, this triangle, we have to bring what really is more important to people: local self-government, financial autonomy, independence and justice for each region, and certainly a guarantee, a real guarantee of human rights and freedoms, which no one has ever seen in the 2004 Constitution, because then it took a third round of elections to balance the situation. I apologize for speaking for a long time, but I think I spoke on the subject. Dear colleagues, I'm asking the initiators of this session, which I have come to with complete consciousness, to decide this individually without groups and statements, because I thought so. I ask you to determine what questions can be really voted on today. And I very much ask that they be voted in a valid manner. Understand me correctly. Thank you.
ParlaMint-UA_2014-02-20-m0.u56	Thank you. Dear Society, all your suggestions, all your comments, of course, we'll work out, and after the presentations you'll get materials that will be put into the agenda. Stepan Ivanovich is now invited to the floor. Please, Stepan Ivanovich.
ParlaMint-UA_2014-02-20-m0.u57	Glory to Ukraine! You know, dear Ukrainians, dear Ukrainians, because I'm in Maidan today on the 90th day and I want to talk about that there's no political party in the hall today, no political party, no political party, no one who isn't, I hope that it should come, because this morning, when I was supposed to meet and show Midan the Foreign Minister of Poland to Mr. Sikorski, I greeted my brothers. And when I went back in 15 minutes, he was dead. During this period of time, a person is rethinking the value of life. And we're people here today, not MPs, we're people today entrusted by the community to represent people in Parliament, whether it's from Donetsk or Kharkiv, whether we're from the West of Ukraine or Kiev. You know, for every human being, death is coming. And this is the purgatory that a person makes when he asks for a priest to confess both for his personal life and for personal sins. Today, we have representations not only of ourselves but of others. Just now, thanks to Michael Kostuk, I also called our representative, Freedom, who runs the medical service, Hanenko. We took 22 people to the morgue. And there is a 22 - year - old boy, and there is an 18 - year - old boy who, like a legion, lay and was covered with a Ukrainian flag, where our priests used to pray and confess and ask for forgiveness. No money is needed, no capital is needed when human blood is shed today. I'm talking to those who are afraid to come to the hall today. I want to say today an important kind of emotional, maybe my speech that doesn't apply to the MP's mandate. I saw about 70 people die in Maidan. Many of them had to be taken by the hands of our fellow brothers who were in the hall, and they had to be Christian. And here Andrew Cosemiakin just stood up, and I'll give you an example of morality. One man was severely injured in the pursuits. Does he have 15 to live on? He was bleeding for 20 minutes. He wasn't from our camp, not from what they say, on Mayan criminals. We took him on a stretcher, 8 men, and we ran. There was a "quick" where he could stand. In fact, we were injured but slightly weaker. And when our brothers from Maidan say, "Let him go, for he can die." And thank God that man is alive, not from our camp, because he is man. This is the value of human life, which today should give thought to every man who is in the hall and those who listen to us and those who are in the Maidan today. But not those who are shooting at the moment, snipers. And there are, it turns out, not alone at the moment in Maidan. I'll tell you why, I'll tell you why there aren't many members of the Supreme Council who represent other colors today. But there's no color. We had a mother and we had, God forbid, someone who had a father. You know, today you have to say a very important position like that. The position is that we can stay just people, MPs and make our choice in purgatory, and you can talk about those people who are in hell, hell, hell of an immoral behavior in society, hell of wealth and blood money, where they paid the berkutovations for $70,000, the second sherry for $50,000, and the taylors for kaif, who did everything: and they burned the House of Trades. And I was a witness when we were breaking hands here in Mariana Park, we were seven deputies, where we brought out just our citizens 50 people who beat even deputies, but we had to carry out a human mission, not a deputy mission. Today there are people in Ukraine who love Ukraine or who do not. I'm going to go talk to those people who are now called pantyhose, from other countries, Ukrainian tassels, potty. Guys, let's get out of here and get out of here. If today a parliament that does not work for an hour does not solve the issue, tomorrow we will be solved by the streets, a guerrilla war that will begin. I heard the oath of those who served in Afghanistan, here in Maidan, and today one of them died. I heard the oath of the other side, which is more radical, and it is also justified by shed blood. Our main task is to stop the bloodshed on Ukrainian soil in Kiev. We can do this as the legitimate authority of representatives of the west, east, center, south and north of Ukraine. I want to tell you why there aren't many colleagues today. They were frightened by the bells, and their families were frightened by the bells. But what's more, today those brainless fools who seem to be on the run, the great generals, have decided that at 21 hours they'll be cleaning up Maidan. That's what this is about. If there are no MPs, the ones we ask for as people, come, I have a specific offer -- women stay in the hall, all men break into barricades, the deputies of the Supreme Council, and become the first to stand in front of barricades to protect people. The MPs who are represented are the first to become the barricades, four or five today. This will be the position of man. This is the position the community is looking for. This is a position of self-science for each of us, because the most precious things: God and Ukraine. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u58	Thank you. Please let me speak to Derevyanka.
ParlaMint-UA_2014-02-20-m0.u59	Dear colleagues, dear Ukrainians! Why are we sitting here for two or three hours? Because we are waiting for the national deputies to come here to stop the bloodshed in Ukraine. Time goes by, every minute passes, snipers kill people on the street. We're waiting. Today, I personally saw several snipers on Istituto Street, who were now stationed under a press kiosk and who were aiming toward Maidan. I was personally on the phone today, and I was told not to climb the street of Gruszewski, because there is a team to shoot at injury, at total murder. We're waiting today. Question: Who are we waiting for? Today I want to thank those brave people who are really the people's deputies from the faction of the Party of Regions who came here today, who are in the hall. I want to tell you the following, today is the day and moment of truth: either we all were elected in 2012 are national deputies or a large number of those elected are not national deputies. I want us all to understand that right now, people who come here don't have time to come or think about whether to go, depends on tens, hundreds, and maybe tens of thousands of lives. Because in a matter of hours, the flames of the armed struggle can cover an even greater number of countries than just here on the Main Independence, as far as right here in the center of the capital, in Kiev. I call upon all of you, distinguished national deputies from the faction of the Party of Regions, to come here to the Supreme Council, take responsibility. God has placed great responsibility on you today. You were elected to Parliament. It is up to you now whether people will die in Ukraine or not. I address each of you. I ask that the media announce every five minutes that a national MP from the faction of the Party of Regions is obliged to come to the Supreme Council Hall, obliged to be here, in his workplace. He was obliged because he swore an oath to the people of Ukraine. It is his direct sacred duty to be here tonight, in the Supreme Council. Requesting all television channels that broadcast that five minutes to announce the names of those national deputies from the factions of the Party of Regions and Communists that are not here, reminding them that their sacred duty is to protect people, protect Ukraine, protect the constitutional system of Ukraine. I want all of us to understand that all the deputies who are here are willing to vouch for every member of the Party of the Regions and from the Communist Party, the Communists who should be here, their security, if they come to the Supreme Council, will make all the necessary decisions to stop the bloodshed in Ukraine, in order to keep Ukraine safe, so that we don't lose it, for each of us, for our families, for our children. Honourable deputies from the faction of the Party of the Regions! Come here to Parliament now, we all beg of you, and we urge you, we now have no party deputies, we now have MPs, or nationals, or not nationals. Don't embarrass yourself! Do not dishonor your family, your parents, come to Parliament, stop the bloodshed. It's up to you now. Thank you very much for your attention. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u60	May I have the floor of the people's representative, Kupreyczyk?
ParlaMint-UA_2014-02-20-m0.u61	Irina Kupreyczyk. Fatherland's Party. Dear Ukrainians! I want to address every single one of you today. Today, there is no struggle and civil war among the people. There's a struggle between power, for which it's all about money being robbed and eternal power. On the other hand, there is the Ukrainian people, for whom the main thing is honour and dignity. Today there is no fight between the East and the West, that is not all. Today, we cannot allow our country, our Ukraine, to be divided. On Maidan and here in Kiev, there are both Dnepropetrovska and Harkov and Lviv and East and West Ukraine. Today there is the greatest crime that can be. The first is killing Ukrainians. Ukrainians who came both from Lviv and from Harkov, from Dnepropetrovsk. And Ukrainians, who I mean internal troops, are the children whose mothers have sent to serve Ukraine. And today, two crimes are being committed today: killing the people of our Ukrainians and, on the other hand, wanting to divide our country. And we must all do everything we can today to prevent that. I address you to every Ukrainian: you must think you must do everything you can to preserve human lives and preserve our country, our Ukraine. Hail Ukraine!
ParlaMint-UA_2014-02-20-m0.u62	Thank you. May I have the floor of the People's Deputy Sich.
